GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
LUK.9.25	Palu aṉangungku mantatja tjuṯaku mukuringkula winki mulapa mantjiṟa kanyiṟampa ngula paluṟu ilura nyaaringkuku? Wiya, paluṟu ilura kawankatiku, panya paluṟu mantatja wiṟu tjuṯaku mukuringkula Godanya wantingi, ka mantatja tjuṯangku palunya puṯu wankaṟunanyi Godala tjunguringkula tiṯutjara nyinanytjaku.
LUK.9.26	“Ka tjinguṟu aṉangu kutjupa ngayuku tjukurpa kuliṟa ngayuku mulamularingkulampa kuṉṯaringkuku aṉangu tjuṯangka miṟangka munu ngayunya wantiku ngayuku tjukurpa kuḻu, ka palu puṟunypaṯu ngula ngayulu Watiku Katjangku pitjala palunya ngapartji wantiku ngayuku kuṉṯaringkunytjanguṟu. Panya nyara palula aṟa ngayulu Mamalanguṟu pitjaku pitalytji witulya puḻka, angelpa wiṟu tjuṯangka tjungu munuṉa ngayulu ngapartji ngayuku kuṉṯaringkupai tjuṯa wantiku. 
LUK.9.27	Kaṉa tjukaṟurungku nyurala wangkanyi, panya nyura nyanga kutjupa kutjupa tjuṯa kuwari ngaṟanyi, munu nyura kutjupa tjarangku ngula ilunytja kuwaripangka wankangku nyakuku Godalu mayatja puḻkangku aṉangu tjuṯa mulapa palumpa walytjaringkunytjaku palyannyangka.” Alatji Jesulu wangkara nintiningi palumpa nintintja tjuṯangka kuliṟa mulamularingkunytjaku.
LUK.9.28	Nyara palula maḻangka tjiṉṯu 8 ngaṟala wiyaringkunyangka Jesulu nintintja mankurpa aḻṯingu Peternya, Johnnga munu Jamesanya kuḻu, munu paluṟu tjananya puḻi murpukutu katingu puḻi katu Godala tjapintjikitja. 
LUK.9.29	Munu nyara palula Godala tjapiṟa paluṟu yunpa kutjuparira irnyaningi, ka mantara kuḻu piṟanaringu munu wanangaṟa puṟunypa irnya-irnyaṟa rawa ngaṟangi. 
LUK.9.30	Ka paluṟu ngaṟala tjapinnyangka wati Mosenya pula Ilaitjanya utiringkula palula tjungu ngaṟala wangkangi. 
LUK.9.31	Panya pula pitalytji puḻkatjara utiringu munu pula Jesula wangkangi ngaṉmanytju panya ngula nyaaringkuku Jerusalemala paluṟu ngura ilkaṟitjakutu maḻaku ankunytjaku.
LUK.9.32	Kaya Peternya tjana ngaṉmanypa pilu-piluringkula kunkunaringu munuya wankaringkula nyangu Jesunya pitalytji puḻkatjara ngaṟanyangka munuya wati panya kutjupa kutjara kuḻu nyangu.
LUK.9.33	Ka palulanguṟu wati panya kutjarangku Jesunya wantikatira ankunytjikitjangku kuliningi, ka Peterlu wangkangu, “Mayatja, nyanga kuwarila wiṟuṟa nyangangka ngaṟanyi. Wanyula wiltja maṉkurpa palyala kutju nyuntumpa, kutju Moseku, munu kutju Ilaitjaku!” Alatji paluṟu ngurpangku wangkangi ngunti kuliṟa pula mantangka tjukutjuku nyinanytjikitja pitjanyangka-palku.
LUK.9.34	Ka ngaṟala wangkanyangka ngangkaḻi pitjangu munu Jesunya Mosenya Ilaitjanya tjananya tjutuṉu munu wati panya nintintja maṉkurpa kuḻu tjutuṉu, kaya puḻkaṟa nguḻuringu. 
LUK.9.35	Ka wangka kutju utiringu ngangkaḻi unngunguṟu munu tjanala wangkangu, “Nyangatja ngayuku katja, panya ngayulu palunya iyantjikitjangku ngurkantanu. Nyanga palulaya kulinma!”
LUK.9.36	Ka wangkara wiyaringkunyangka ngangkaḻi panya katuringu, kaya nintintja panya maṉkurtu nyangu Jesunya kutju maḻaringkula ngaṟanyangka. Uwa, tjana wiṟu mulapa nyangangi nintintja panya maṉkurtu, palu tjana nyakunytjatjanungku kutjupa tjuṯangka wangkawiyangku wantingi unngu kutju kuliṟa. Munuya ngula kutju tjakultjunu.
LUK.9.37	Munuya mungawinki Jesunya tjana nintintja panya maṉkurpa kuḻu puḻinguṟu ukalingu, kaya aṉangu tjuṯa mulatu paluṟu pitjanyangka nyakula palulakutu ngaparikatingu. 
LUK.9.38	Ka wati kutjupa aṉangu tjuṯangka nguṟur-nguṟurpa mirangu munu Jesula puḻkaṟa ngatjiṟa wangkangu, “Nintilpai! Wanyutju nyawa katja nyanga! Panya nyanga paluṟu ngayuku katja kutju. 
LUK.9.39	Katju mamungku nyangatja miratjingalpai rawangku munu uritjingaṟa aṉṯawaṉipai mantangka, ka wiṯaly-wiṯalyaripai. Munu rawangku alatjingaṟa unytju kutju pakaṟa ankula mapalku pitjala piṟuku tjarpapai. Ka uriṟa uriṟa pakuringkula nguwanpa ilupai. 
LUK.9.40	Kaṉa nyuntumpa nintintja tjuṯangka ngaṉmanytju ngatjinu mamu nyanga palunya paintjaku, kaya puṯu painingi.”
LUK.9.41	Ka Jesulu kuliṟa tjituṟu-tjituṟuringu munu tjanala wangkangu, “Nyura mulapa uwankara puṯu mulamularinganyi munu tiṯutjarangku ngunti kulini. Kaṉa yaaltjiṯu aṟangku nyuranya nyinara nintilku nyura kuliṟa mulamularingkunytjaku? Pakuringanyiṉa nyuranya rawangku nintiṟa nintiṟa.” Munu palulanguṟu watingka panya wangkangu, “Katjanku ngalya-kati ngayulakutu!”
LUK.9.42	Ka tjitji panya ngalya-katinyangka mamungku piṟuku uritjingaṉu. Ka mantangka punkaṟa ngarira tjinanpungangi. Ka Jesulu mamu panya painu munu tjitji panya palyaṟunguṉu munu palumpa mama ungu. 
LUK.9.43	Kaya aṉangu tjuṯa puḻkaṟa urulyaraṉu Godalu Jesulawanungku witulya puḻkangku palyannyangka nyakula.
LUK.9.43	Ka aṉangu tjuṯa ngaṟala urulyarannyangka Jesulu palumpa nintintja tjuṯangka wangkangu alatji, 
LUK.9.44	“Kuwariya watarkuriwiyangku kulinma ngayulu nyanga wangkanytja. Panya wati kutjupangku ngayunya Watiku Katjanya nintilku wati mirpaṉtju tjuṯangka, kaṉiya witiṟa katira iluntankuku.” 
LUK.9.45	Palu nintintja tjuṯangkuya puṯu kuliningi paluṟu alatji wangkanyangka, panya Godalu tjananya puṯu kulintjaku palyaṉu. Kaya puṯu nguwanpa tjukaṟurungku kuliningi munuya nguḻuringangi palula tjapintjaku.
LUK.9.46	Palulanguṟu nintintja panya tjuṯangkuyanku anga-angangku ngaparku wangkangi alatji, “Ngananya wanyu puḻka nguwanpa nyinanyi?” 
LUK.9.47	Ka tjana wangkanyangka Jesulu kulintja wiya, palu paluṟu nintingku ngurkantanu tjana kulintjitja munu tjitji tjukutjuku aḻṯira palula itingka ngaṟatjunu. 
LUK.9.48	Munu wangkangu tjanala, “Tjinguṟu nyura ngayuku nintingku tjitji tjukutjuku nyanga puṟunypa mantjiṟa pukuḻṯu walytjanmankulampa nyura ngayunya kuḻu walytjanmananyi, munu ngayunya iyantjanya kuḻu walytjanmananyi. Panya nyura walytjangku kuliṟa tjukutjukuringkulampa kutju Godala miṟangka puḻka mulapa nyinaku.” Alatji Jesulu tjanala wangkangi.
LUK.9.49	Ka Johntu Jesula wangkangu, “Mayatja, nganaṉa nyangu wati kutjupangku aṉangu tjuṯanguṟu mamu tjuṯa painnyangka nyuntu witunnyangka-palku, panya paluṟu painingi nyuntunya ini wangkara. Kala palunya painu, panya paluṟu nganaṉala tjungutja wiya.”
LUK.9.50	Ka Jesulu wangkangu tjanala, “Wantimaya paintja wiyangku! Panya aṉangu kutjupa nganampa kuraringkunytja wiya nyinarampa nyara paluṟu nganampa walytjaṯu nyinanyi.”
LUK.9.51	Ka tjiṉṯu panya paluṟu ilaringangi Godalu Jesunya ilkaṟikutu mantjintjaku, ka paluṟu nguḻuwiyangku kulinu Jerusalemalakutu ankunytjikitjangku. 
LUK.9.52	Munu wati maṉkurpa kuranyungku iyaṉu ankula tamalmankunytjaku manta Tjamiṟiyalakutu. Kaya Tjamiṟiyalawanu ankula ngura tjukutjukungka wirkanu ngura tjanampa palyantjikitja. 
LUK.9.53	Palu aṉangu nyara palunya nguraṟa tjuṯangku Jesunya tjananya wantingi tjanampa ngurangka tjunkunytja wiyangku, panya paluṟu tjana wati Jew tjuṯa Jerusalemalakutu anangi. Nyara palulanguṟuya palunya tjananya wantingi Jew tjuṯa nyakula.
LUK.9.54	Ka palumpa panya nintintja kutjarangku Jamesalu pula Johntu nyakula wangkangu Jesula, “Mayatja, nyuntu mukuringkulampa uti nganaṉa Godala tjapinma paluṟu waṟu ilkaṟinguṟu iyantjaku, ka aṉangu nyanganpa uwankara kampara wiyala.”
LUK.9.55	Palu Jesulu pinkuraraṟa palunya pulanya painu.
LUK.9.56	Munuya ngura palunya wantikatira ma-pakaṉu ngura kutjupakutu ngapartji.
LUK.9.57	Munuya iwarangka anangi, ka wati kutjupangku palula wangkangu, “Ngayuluṉa nyuntula tjungu para-pitjalinkunytjikitja mukuringanyi nyuntu ngura tjuṯakutu ankunyangka.”
LUK.9.58	Ka Jesulu palula wangkangu, “Panya tuuka tjuṯaku nyarkalpa tjuṯa ngarinytjaku ngaṟanyi. Ka tjuḻpu tjuṯaku maṉngu tjuṯa ngaṟanyi tjana ngarinytjaku, palu Watiku Katjaku ngura ngaṟanytja wiya ngarikatira pakuwiyaringkunytjaku. Panya ngayulu ngura wiyatjara rawa para-pitjalinkupai.”
LUK.9.59	Munu paluṟu wati kutjupangka wangkangu, “Ngayula tjunguriwa munuṉi waṉanma!”
LUK.9.59	Ka wati panya paluṟu Jesula wangkangu, “Munta Mayatja! Wanyuṉi unytjungku wantir'iyala, panya ngayuku mama tjiḻpi mulapa, kaṉa ngula tjiṯularira pitjala nyuntula tjunguringkula nyuntunya waṉalku.”
LUK.9.60	Ka Jesulu palula wangkangu, “Wiya, ngayunya-waraṟa kulinma, kaya ngurpa tjuṯangku nyuntumpa mama wiyaringkunyangka tjuṉutjunkuku. Palu nyuntu ankula ngura tjuṯangka para-tjakultjunama tjukurpa panya Godalu aṉangu tjuṯa walytjanmaṟa mayatjangku kanyinytjatjara.”
LUK.9.61	Ka kutjupangku ngapartji palula wangkangu, “Mayatja, ngayulu nyuntula tjungu ankunytjikitja mukuringanyi. Palu wanyuṉi wantir'iyala-waraṟa, kaṉa ankula ngayuku walytja tjuṯa-waraṟangku tjakuṟiṟa munuṉa pitjala nyuntula tjunguringkuku.”
LUK.9.62	Ka Jesulu wangkangu, “Wiya, aṉangungku Godaku waṟka palyantjikitja mukuringkula uti tiṯutjarangku palyanma maḻakukutuṟa kulintja wiyangku. Panya paluṟu piṟuku maḻakukutuṟa kuliṟampa waṟka Godalu wituntjitja puṯu tjukaṟurungku palyaṉi.”
LUK.10.1	Ka nyanga palula maḻangka Mayatja Jesulu ngurkantanu wati 72 kutjupa, munu tjananya kutjara kutjara iyaṉu ngura uwankarakutu palula kuranyu ankunytjaku panya paluṟu ngaṉmanytju kulinu ngula ankunytjikitjangku. 
LUK.10.2	Munu paluṟu tjananya alatji wangkara iyaṉu, “Panya aṉangu mungilyi mulapa nyangatja watarku nyinara-waṉinyi Godaku walytjaringkunytjikitja paṯaṟa, palu aṉangu Godaku waṟkaripai maṉkurpa kutju ngaṟanyi palula tjanala ankula tjukurpa tjakultjunkunytjaku tjana kuḻu kuliṟa Godaku walytjaringkunytjaku. Kaya Godala tjapila palumpa waṟkaripai kutjupa tjuṯa ngurkantaṟa iyantjaku nyuranya alpamilaṟa aṉangu ngura winkitjangka Tjukurpa Palya wangkanytjaku. Kaya kuliṟa Godaku mulamularingkula palumpa walytjaringkuku.
LUK.10.3	“Ala, araya palya. Palu wanyuya kulila panya ngayulu nyuranya iyaṉi tjiipi tjuṯa puṟunypa inuṟa tjuṯangka nguṟur-nguṟurpa. 
LUK.10.4	Wantimaya yakutja katiwiyangku munu mani munu tjinatja kuḻu, munuya aṉangu kutjupa tjuṯa iwarangka nyakulampa tjanala ngaṟala wangkanytja wiyangku wantima.
LUK.10.5	“Munuya tawunu kutjupangka wirkaṟa waḻingka tjarpanytjikitjangku aṉangu waḻi pala palula nyinapai tjuṯangka alatji wangkama, ‘Uwa, Godalu nyuranya kurunpa rapa kanyinma.’ 
LUK.10.6	Ka tjinguṟu waḻiku mayatja wati mirpaṉtju nyinanyangkampa Godalu palunya munu palumpa walytja tjuṯa kuḻu kurunpa rapaṟa kanyintja wiyangku wantiku, kaya paluṟuṯu alatjiṯu nyinaku pukuḻpa wiya. Palu tjinguṟu waḻiku mayatja wati pukuḻtju nyinanyangkampa Godalu palunya kurunpa rapaṟa kanyilku palumpa walytja tjuṯa kuḻu. 
LUK.10.7	Ka nyura waḻi nyara palula tjarpara palula tjanala tjungu nyinama munuya mai kuka kuḻu ngalkula tjikinma paluṟu tjana nyuranya ungkunyangka. Panya aṉangu kutjupa nyurampa waṟkarinyangka nyura palunya ungkupai, kaya palu puṟunypa nyura aṉangu tjuṯangka ngayuku waṟka palyannyangka paluṟu tjana uti ngapartji nyuranya pukuḻarira ungama. Palya! Kaya tawunu pala palula nyinara waḻi kutju pala palula ngura tjunkula nyinama waḻi kutjupa tjuṯakutu ankunytja wiya.
LUK.10.8	“Ka nyura tawunu kutjupangka wirkankunyangka tjinguṟu aṉangu nguratja tjuṯangku pukuḻarira mantjilku, ka tjana nyuranya mai kuka kuḻu ungkunyangkampa pukuḻarira ngalkunma wantinytja wiyangku. 
LUK.10.9	Munuya ngura pala palula pikatjara tjuṯa nyakula palyaṟungunma munuya tjanala tjakultjunama alatji, ‘Panya waṯalpi ilaringanyi Godalu aṉangu tjuṯa mayatjangku walytjanmaṟa kanyintjaku.’ 
LUK.10.10	Palu tjinguṟu nyura tawunu kutjupangka ma-wirkaṟa ka aṉangu nguratjangku nyuranya papulankunyangkampa nyura iwarakutu ara tawunungka nguṟurpa munu tjanala alatji wangka, 
LUK.10.11	‘Nyura nganaṉanya wantinyangkala ulpuru nyanga tjinatja nyurampa nguranguṟu patapataṉi nyuranya nguḻutjunkunytjikitjangku.
LUK.10.12	“Panya ngula Tjiṉṯu Maḻatjangka Godalu aṉangu Tjatamanya nguraṟa tjuṯa paiṟa iyalku ngura kurakutu pika puḻkatjara nyinanytjaku. Munu paluṟu aṉangu panya nyuranya wantinytja tjuṯa kuḻu tjanala tjungu paiṟa iyalku, palu ngura nyara palula tjana nyuranya wantinytjatjanungku pika puḻka mulapa mantjilku Tjatamanya nguraṟa tjuṯangka waintaṟa.
LUK.10.13	Ka aṉangu Kuṟatjinta nyinanytja tjuṯangku munu Pitjaitala nyinanytja tjuṯangku kuḻu Jesunya wantingi palumpa mulamularingkunytja wiyangku. Ka Jesulu tjananya wantinyangka puḻkaṟa painingi alatji wangkara, “Nyurampa pika puḻka mulapa ngaṟaku ngura Kuṟatjinta nyinanytja tjuṯaku munu Pitjaitala nyinanytja tjuṯaku kuḻu, panya ngayulu nyurampa ngurangka pikatjara tjuṯa palyaṟunguningi munu miracle kutjupa kutjupa tjuṯa kuḻu witulya puḻkangku palyaningi, ka nyura nyakunytjatjanungku kura tjuṯa wantinytja wiya alatjiṯu munu panya nyura Godalakutu aṟuringkunytja wiyangku wantingi. Tjinguṟu ngayulu ngura panya Tayala pulala Tjaitanta palu puṟunypa ngaṉmanytjulpi palyannyangka aṉangu ngura nyara palula pulala nyinapai tjuṯa tjinguṟu mapalku kuranguṟu piiwiyaringama munuya mantara walyku-walykungka tjarpara tjuṉpangka yunpa nyiṯinma tjananku piiwiyaringkula kura wantinytja nintintjikitjangku.
LUK.10.14	Kulilaya! Ngula tjiṉṯu maḻatjangka Godalu aṉangu uwankara manta winkitja ngurkantaṟa tjaralku, munu paluṟu aṉangu panya ngura Tayanya pulanya Tjaintanga nguraṟa tjuṯa paiṟa iyalku ngura kurakutu pika puḻka mantjintjaku. Munu paluṟu nyuranya kuḻu tjanala tjungu paiṟa iyalku, palu ngura nyara palula nyura pika kutjupa puḻka mulapalta mantjilku aṉangu nyara palula tjanala muṉkara.”
LUK.10.15	Ka Kapunimanya nguraṟa tjuṯangku kuḻu palunya wantingi, ka Jesulu tjananya palu puṟunypaṯu wangkangi alatji, “Ka nyura Kapunimala nyinapai tjuṯangku yaaltji kulini? Godalu wanyu nyuranya ilkaṟikutu katira puḻkanmaṟa tjunkuku? Wiya, paluṟu alatjiṯu nyuranya tjaṟu mulapa waṉiku ngaṯi puḻkakutu.”
LUK.10.16	Munu Jesulu palumpa nintintja tjuṯangka wangkangu, “Kutjupangku nyurala kuliṟampa ngayula kuḻu kulini, ka kutjupangku nyuranya wantirampa ngayunya kuḻu wantinyi munu paluṟu ngayunya wantira ngayunya panya iyantjanya kuḻu wantinyi.” Alatji Jesulu tjanala wangkangu munu tjananya wituṟa iyaṉu. Kaya anu ngura uwankarakutu.
LUK.10.17	Ka ngula wati panya 72 paluṟu ngurkantaṟa iyantja tjuṯa maḻaku pitjangu pukuḻpa alatjiṯu munuya tjakultjunu palula alatji wangkara, “Mayatja! Mamu tjuṯangkulanya nganaṉanya wangaṉarangku kulilpai nganaṉa nyuntunya ini wangkara tjananya painnyangka.”
LUK.10.18	Ka Jesulu tjanala wangkangu, “Ngayulu nyangu Satannga ilkaṟinguṟu punkannyangka, panya paluṟu aṉangu tjuṯa mayatjangku kanyintjatjanungku kuwari tjananya kanyintja wiyaringu. 
LUK.10.19	Panya ngayulu nyuranya puḻkaṟa witulyanu, ka kutjupangku nyuranya puṯu alatjiṯu kuralku. Panya nyura liru tjuṯa munu pitikataḻi tjuṯa kuḻu kantuṟa nyurmintankunyangkaya nyuranya patjaṟa pikatjarantja wiya alatjiṯu. Ka mamu Satantu nyuranya arkaṟa witulyangku kurannyangka nyura kuṉpu puḻka ngaṟaku, ka paluṟu nyuranya puṯu alatjiṯu kuralku ngayulu nyuranya witulyankunyangka. 
LUK.10.20	Palu nyura uti mamu tjuṯangku nyurala wangaṉarangku kulinnyangka pukuḻarinytja wiyangku wantima, palu uti nyura pukuḻarima panya ngura ilkaṟingka nyurampa ini tjuṯa nyiringka walkatjunkunytja ngaṟanyangka.”
LUK.10.21	Munu palulanguṟu Jesulu Kurunpa Miḻmiḻngatjarangku puḻkaṟa pukuḻarira palumpa mamangka wangkangu alatji, “Uwa Mama, nyuntun Mayatja puḻka mulapa nyinanyi ilkaṟiku mantaku aṉangu uwankaraku munu ilkaṟitja uwankaraku kuḻu. Kaṉa nyuntunya kuwari mirawaṉira waḻkuṉi, panya nyuntun tjukurpa nyanga wiṟu utinu aṉangu ngurpa tjuṯangka munun nintipuka tjuṯangka utintja wiyangku kutitjuṟa wantingu. Uwa Mama, mulapa panyan nyanga palunya alatji palyaṉu nyuntu mukuringkula.”
LUK.10.22	Munu palulanguṟu Jesulu aṉangu tjuṯangka wangkangu alatji, “Panya Mamaluṉi uwankara alatjiṯu wangkara utinu. Ngayuluṉa palumpa katja ka paluṟu kutju ngayuku ninti nyinanyi, ka palu puṟunypa ngayulu kutju palumpa ninti mulapa nyinanyi. Palu ngayulu aṉangu kutjupa tjuṯa ngurkantaṟa nintilku, kaya paluṟu tjana kuḻu Mamaku nintiringkula nyinaku ngayulu nintinnyangka kutju.”
LUK.10.23	Munu palulanguṟu Jesulu pinkuraraṟa palumpa nintintja tjuṯangka kutju wangkangu alatji, “Nyura panya ngayunya kuṟu walytjangku nyanganyi. Pala palulanguṟu nyura puḻkaṟa pukuḻarinyi. 
LUK.10.24	Panya wangkatjara tjuṯa munu mayatja puḻka tjuṯa kuḻukuḻuya puḻkaṟa mukuringangi nyura nyanga nyakunytjanya nyakunytjikitja, palu nyakunytja wiyaṯuya ngaṉmanypa wiyaringu. Munuya nyura puṟunytju kulintjikitja mukuringangi palu kulintja wiyaṯuya ngaṉmanypa wiyaringu.”
LUK.10.25	Ka wati kutjungku Moseku tjukurpa nintilpaingku pakaṟa Jesunya ngunti arkaṟa tjapiningi alatji wangkara, “Nintilpai, nyaalkuṉa wanka tiṯutjara nyinanytjikitjangku?”
LUK.10.26	Ka Jesulu ngapartji palula wangkangu, “Nyaa nyiringka walkatjunkunytja ngaṟanyi? Nyara palunyan nyakula wangkara yaaltji-yaaltji kulilpai?”
LUK.10.27	Ka wati panya paluṟu wangkangu, “Alatji ngaṟanyi,
LUK.10.27	‘Mayatja Godaku puḻkaṟa mukuringama kurunpa winki, munu palunya kutju pukuḻmankunytjikitjangku kuliṟa tiṯutjarangku wiṟu palyanma.’ 
LUK.10.27	Ka kutjupa kuḻu ngaṟanyi alatji,
LUK.10.27	‘Aṉangu kutjupa tjuṯaku puḻkaṟa mukuringama nyuntunku mukuringkunytja puṟunypa.’ ” 
LUK.10.28	Ka Jesulu palula wangkangu, “Tjukaṟurungkun wangkanyi. Alatjinama munun wanka tiṯutjara nyinaku.”
LUK.10.29	Ka wati paluṟu Jesulu palunya palyanmankunytjaku mukuringkula piṟuku tjapinu palula, “Palu aṉangu nganaku tjanampaṉa wanyu mukulya puḻka nyinama?”
LUK.10.30	Ka Jesulu ngapartji palula tjukurpa wangkangu aṟa utintjikitjangku nyanga alatji, “Wati kutju iwarangka anangi Jerusalemalanguṟu Jericholakutu. Kaya wati tjulyalpai tjuṯangku palunya nguṟurpa nyangu munuya mantara araltjaṟa palunya pungkula nguwanpa iluntanu munuya iwarangka itingka uti wantikatingu ilunytjaku, ka paluṟu ngaringi. 
LUK.10.31	Ka palula maḻangka wati tjukurtjara iwara panya palula pitjangi munu wati panya pikatjara ngarinyangka nyakula wantikatira kaṯakutjara anu kampa kutjupawanu. 
LUK.10.32	Ka palula maḻangka wati kutjupa timpulangka waṟkaripai pitjangu wati Levikunu, munu palu puṟunypaṯu nyakukatira anu kampa kutjupawanu.
LUK.10.33	“Ka wati Tjamiṟiyanya nguraṟa iwara panya palulaṯu pitjangi tangkiyitjara,
LUK.10.34	Munu palulakutu ankula palunya mantjiṟa pika tjuṯa uwilangka nyiṯinu wainangka kuḻu munu paṉṯitjingka karpinu. Munu palulanguṟu wati panya pikatjara palunya tangkiyingka utitjunkula katingu waḻi ruuma tjuṯatjarakutu munu palunya ruuma kutjungka piitangka ngaritjunkula wiṟuṟa kanyiningi.
LUK.10.35	“Munu tjiṉṯungka wati panya Tjamiṟiyanya nguraṟangku mani puḻka nguwanpa ungu wati panya waḻiku mayatja. Munu palula wangkangu, ‘Nyangatjaṉanta unganyi nyuntu wati nyangatja wiṟuṟa kanyintjaku. Ka tjinguṟu mani nyanga palunya wiyaringkunyangkampa rawangkuṯu kanyinma wantinytja wiyangku, panya ngayuluṉanta ngula maḻaku pitjala nyuntunya piṟuku mani kutjupa ungkuku nyuntu rawangku kanyinnyangka.’ ”
LUK.10.36	Munu Jesulu aṟa nyanga palunya wangkara wiyaringkula wati panya Moseku tjukurpa nintilpaingka tjapiṟa wangkangu, “Yaaltjin kulini wati nyanga maṉkurnguṟu? Nyuntu ngurkantara, ngananya wanyu wati panya pikatjaraku puḻkaṟa mukuringu?”
LUK.10.37	Ka paluṟu ngapartji palula wangkangu, “Panya paluṟu, panya pikatjara ngarinyangka nyakula ngaḻṯuringu munu alpamilaṉu.”
LUK.10.37	Ka Jesulu wangkangu palula, “Ka nyuntu kuḻu wati panya paluṟu palyantja puṟunypa ankula palyanma, munu aṉangu kutjupa tjuṯa ngaḻṯuringkula alpamilanma.”
LUK.10.38	Ka ngula Jesunya munu palumpa nintintja tjuṯa kuḻu iwarangka ankula nguṟurpa wirkanu ngura tjukutjukungka. Ka minyma kutjupangku ini Marthalu Jesunya nyakula aḻṯingu pitjala palumpa waḻingka unytju nyinara mai ngalkula pakuwiyaringkunytjaku. 
LUK.10.39	Ka Jesunya waḻingka tjarpara nyinakatinyangka Marthaku maḻanypa minyma ini Mary-nya palula itingka nyinakatingu munu paluṟu nyinara kuliningi Jesulu palula tjukurpa wangkanyangka. 
LUK.10.40	Ka Marthanya maingka puḻkaṟa waṟkaringi munu pakuringkula palumpa maḻanyku unngu mirpaṉaringi nguwanpa munu pitjala Jesula wangkangu, “Mayatja, ngayuku maḻanytjuṉi wantikatingu kutju waṟkarinytjaku. Ka nyuntu wanyu kulintja wiya ngayulu kutju puḻkaṟa waṟkarinyangka? Wanyu wangka palunya kali tjungungku mai palyala.”
LUK.10.41	Palu Jesulu palunya wangkangu, “Martha, Martha! Nyangatja nyuntu kutjupa kutjupa tjuṯa rawangku kuliṟa tjituṟu-tjituṟurinyi. 
LUK.10.42	Palu kutju ngaṟanyi nyuntu puḻkaṟa kulintjaku. Ka nyangatja Mary-lu tjukaṟurungku ngurkantanu munu panya ngayulu tjukurpa wangkanyangka nyinara kulini, ka kutjupangku palunya puṯu aḻṯinyi.”
LUK.11.1	Ka ngula tjiṉṯu kutjupa Jesulu Godala tjapiningi. Ka paluṟu tjapiṟa wiyaringkunyangka palumpa nintintja kutjupangku palula wangkangu, “Mayatja, nganaṉanya wanyu nintila Godala tjukaṟurungku tjapintjaku. Panya Johntu palumpa nintintja tjuṯa nintinu, palu puṟunypa.”
LUK.11.2	Ka Jesulu tjanala wangkangu, “Nyura Godala tjapiṟampa alatji palula wangkama,
LUK.11.2	‘Mama God, nyuntun puḻka mulapa nyinanyi uwankarangka waintarinytja.
LUK.11.2	Nintinmalanya nyuntunya tjukaṟurungku waḻkuntjaku aṉangu uwankarangku.
LUK.11.2	Munu nyuntu mayatjangku pitjala nganaṉanya uwankara walytjanmaṟa kanyinma nyuntumpa walytja mulapa nyinanytjaku.
LUK.11.3	Kuwarilanya ungama mai kuka kuḻu kuwariku nganaṉa paḻtja ngalkula nyinanytjaku.
LUK.11.4	Munu nganaṉa nyuntunya kurannyangkampa nganaṉanya kalypangku wantima pungkunytja wiyangku.
LUK.11.4	Panya kutjupangku nganaṉanya kurannyangkampa nganaṉa palunya kalypangku wantipai.
LUK.11.4	Anga-kanyinmalanya nganaṉa ngunti mukuringkula kura palyantjaku-tawara.’
LUK.11.4	Alatjiya Mamala tjapinma.”
LUK.11.5+LUK.11.6	Munu palulanguṟu Jesulu tjanala wangkangu, “Tjinguṟu nyuntu nyuntumpa maḻpaku waḻikutu ankuku munga kultungka munun palula wangkaku, ‘Wati wiṟu! Ngayuku maḻpa kuwari pararinguṟu pitjangu ngayunya nyakunytjikitja. Palu ngayulu mai kanyintja wiya palunya ungkunytjikitjangku. Wanyuṉi wiṟungku ungama mai maṉkurpa.’
LUK.11.7	“Ka nyuntumpa maḻpangku waḻi unngunguṟu ngapartji wangkaku, ‘Pakulwiyangkuṉi wanti! Nyawa, tuwa pati ngaṟanyi. Katju tjitji tjuṯa munu ngayulu kuḻu ngaṉmanypa ngarikatingu kunkunarinytjikitja, munuṉa puṯu pakaṉi nyuntunya mai ungkunytjikitja.’ Alatji paluṟu wangkaku. 
LUK.11.8	Palu ngayulu nyurala wangkanyi, panya paluṟu nyuntunya maḻpa kuliṟa pakaṟa ungkunytja wiyangku wantiku, palu nyuntu kuṉṯawiyangku rawangku tjapinnyangka kutju nyuntunya pakaṟa ungkuku nyuntu mukuringkunytja.
LUK.11.9+LUK.11.10	“Kaṉa palulanguṟu nyurala wangkanyi alatji rawangkuya Godala ngatjinma nyura mukuringkunytjitjaku, ka nyuranya ungkuku. Munuya Godala rawangku tjapinma nyuranya tjukurpa palumpa nintintjaku, ka paluṟu nyuranya nintilku. Uwa, rawangkuya Godala tjapinma, panya aṉangungku tuwa pati ngaṟanyangka pungku-pungkupai pakaṟa alpamilantjaku, palu puṟunypa. Ka Godalu nyuranya kulilku, panya aṉangungku waḻi unngu nyinara tuwa pungku-pungkunyangka kuliṟa aḻaṟa ungkupai, palu puṟunypa Godalu rawangku tjapinnyangka kuliṟa ungkupai munu nintilpai munu alpamilalpai wantinytja wiyangku. 
LUK.11.11	Wati mamangku wanyu katjangku antipinaku ngatjinnyangka liru ungkupai? Wiya! 
LUK.11.12	Munu wanyu ngampuku ngatjinnyangka palunya pititjaḻiḻi ungkupai? 
