MRK.1.1	Kutatika kwa Uthenga Uweme wa Yesu Kristu, Mwana wa Mulungu. 
MRK.9.41	Nukuuzyani vyendi kuti, munthu wamene okupasani cheso cha manzi chikomo chakuti nimwe ŵake ŵa Kristu, wamene uyo akakangiwelini kupokela mphaso yake.”
MRK.9.42	“Aliyense olengesha ŵana atontho ngani aŵa kutaya chichetekelo muli newo, ni chiweme munthu uyu kumangiwa mphelo mu mukosi notayiwa mu chimumana. 
MRK.9.43	Keno kwanja yako yukutaisha chichetekelo, uyitende. Ni chiweme kuyoloŵa ku moyo wosasila na kwanja kumo kupula kuti ukaloŵe ku ngʼanjo yosasila, uli na manja aŵili. [
MRK.9.44	Kwamene uku vikusi voŵatamanisha vukufwalini, nawo mulilo woŵashoka uzimalini.] 
MRK.9.45	Keno kwendo yako yukutaisha chichetekelo, uyitende. Ni chiweme kuyoloŵa ku moyo wosasila na kwendo kumo kupula kuti ukaloŵe ku ngʼanjo yosasila, uli na mendo aŵili. [
MRK.9.46	Kwamene uku vikusi voŵatamanisha vukufwalini, nawo mulilo woŵashoka uzimalini.] 
MRK.9.47	Keno linso yako yukutaisha chichetekelo, uikoloŵole. Ni chiweme kuyoloŵa mu Ufumu wa Mulungu na linso imo, kupula kuti ukaloŵe ku ngʼanjo yosasila, uli na menso aŵili. 
MRK.9.48	 Kwamene
MRK.9.48	uku vikusi voŵatamanisha vukufwalini,
MRK.9.48	nawo mulilo woŵashoka uzimalini.
MRK.9.49	Wonse akatuŵishiwe na mulilo ngani nsembe yutuŵishiwa na munyu.
MRK.9.50	“Munyu ni uweme, koma keno munyu wala wasila mphamvu zake, ungaziwezyelemo tyani? Moyo wanu ukonkhala ngani munyu, nonkhala soti na mtendele na aliyense.”
MRK.10.1	Yesu efuma ku Kapilinamu kutauka mumana wa Yolodani kufwika ku mbali ya ku Yudeya. Ŵanthu anyinji ewela soti kwa yove, koma ngani mwachiyoŵelezi, etatika soti kuŵasambizya.
MRK.10.2	Apo kwiwela Afalisi ayakine nomukonsha kuti, “Kansi ni chololewa kuti munthu alekane na mwanakazi wake?” Pomukonsha teti, enzopangwa kumuyezya.
MRK.10.3	Koma Yesu poyasuka echiti, “Ngani Mose ekulembelani zotyani?”
MRK.10.5	Yesu echiti, “Mose ekulembelani lamulo iyi chikomo cha kuyuma mitima kwanu nosasambizyika. 
MRK.10.6	 Koma potatika pala elenga ŵanthu aŵili, mwanakazi na mwanalume. 
MRK.10.7	Ni chikomo chake mwanalume okosiya awisi na anyina na kuyopatikizyana na mwanakazi wake, 
MRK.10.8	 nipo aŵili aŵa akuŵa muŵili umo. Tetyo alilini aŵili koma yumo. 
MRK.10.9	Lomba vonse Mulungu vechilundika pamo, munthu asati avipatule.”
MRK.10.10	Pechiloŵa mu ngʼanda asambili wake, emukonsha soti Yesu za nkhani iyi. 
MRK.10.11	Yove eŵauzya kuti, “Munthu oleka mwanakazi wake nolungula muyakine, ochita uchende. 
MRK.10.12	Naye soti mwanakazi keno waleka mwanalume pa vuli pake nolunguliwa na muyakine na yove, ochita uchende.”
MRK.10.13	Ŵanthu ayakine enzoleta ŵana kwa Yesu kuti aŵakumye na kuŵadalisa, koma asambili ŵake eŵazazila avyazi wala. 
MRK.10.14	Yesu pechiwona izi eŵakalipila kuti, “Ŵalekeni ŵana aŵa awele kwa newo, musaŵaleshe. Pala Ufumu wa Mulungu ni wa ŵanthu ngani aŵa. 
MRK.10.15	Nukuuzyani vyendi kuti, wamene atiakanopokelela Ufumu wa Mulungu ngani mwana, wamene uyo akaloŵemolini.” 
MRK.10.16	Pechinena izi eŵafukatila ŵana, eŵasanzyika manja nowadalisa.
MRK.10.17	Yesu penzofumako ku malo wala, munthu muyakine emuutukila. Emufukamila nomukonsha kuti, “Asambizyi aweme, mwa nichite vinji kuti nikaloŵe ku moyo wosasila?”
MRK.10.18	Yesu emuyasuka kuti, “Uniyitilanji muweme? Muweme ni Mulungu yeka kwasila. 
MRK.10.19	 Malamulo uŵaziŵa: Osapaya, osachita uchende, osayiŵa, osachita umboni wa wenye, osatola chilichonse cha mwine monyempha, chinzika auso na anyoko.”
MRK.10.20	Ŵala munthu echiti, “Asambizyi, izi zonse nankhala nuzichita kutatika nikali mwana.”
MRK.10.21	Yesu pechimulolesha mwa chinthemwa mu mtima mwake, emuuzya kuti, “Ukalusoŵa chinthu chiyakine: nkhoya ukasitishe vonse va uli navo. Nipo ndalama zauti ukafwane ukapase ŵanthu otamana, nipo chuma ukachifwane Kululu. Pa vuli pake uwele unikonkhe.”
MRK.10.22	Pechimvwa izi wala munthu ezyolika chinso chake, nofumapo koma enze otamana mu mtima, chikomo enze wachuma chinyinji.
MRK.10.23	Yesu elolesha–lolesha noŵauzya asambili ŵake kuti, “Ni chapatali kwa ŵanthu achuma kuti akaloŵe mu Ufumu wa Mulungu.”
MRK.10.24	Asambili ŵala ekanganishiwa ngako na malizu ŵake. Yesu ewelezya soti malizu wala echiti, “Ni chendi, mwewo mweŵana ŵangu, ni chapatali kuloŵa mu Ufumu wa Mulungu. 
MRK.10.25	Ni chapafupi kuti ngamila ikapite pa kachiboo ka nsingano, kupula munthu wachuma kuti akaloŵe mu Ufumu wa Mulungu.”
MRK.10.26	Nsita yamene iyo asambili ŵala, ichi cheŵakanganisha, etatika kukonshana kuti, “Ngani angapulumuke ni ŵani?”
MRK.10.27	Yesu eŵalolesha nonena kuti, “Ichi ku ŵanthu ni chosakwanishika, koma na Mulungu ni chokwanishika. Chikomo chakuti vonse na Mulungu ni vokwanishika.”
MRK.10.28	Petulo elaŵila naye, echiti, “Sewo pala tesiya zonse kuti tikukonkheni.”
MRK.10.29	Yesu echiti, “Nukuuzyani vyendi kuti aliyense osiya ngʼanda keno akwawo, alongosi, anyina, awisi, ŵana, keno minda chikomo cha newo, koma keno chikomo cha Uthenga Uweme, 
MRK.10.30	munthu uyu pansi pano akapokele zonse mwawinji kupula kale: ngʼanda, akwawo, alongosi, anyina, ŵana, minda, koma soti manzunzo. Nipo ku nthangu akapokele moyo wosasila. 
MRK.10.31	Anyinji otatikila lomba akankhale osililila nipo ali osililila akankhale otatikila.”
MRK.10.32	Penze pa ulwendo wokwezeka kuya ku Yelusalemu, Yesu enzoyenda pa nthangu pa asambili ŵake. Asambili wala enze na mwezo ngako. Ŵanthu enzoŵakonkha mu vuli mwawo enze na mwezo. Yesu eŵaita soti pa mbali asambili kumi na aŵili wala, nipo eŵauzya vamene vitivikamuchitikile. 
MRK.10.33	Echiti, “Tili pa ulwendo wa kuya ku Yelusalemu, kwamene uko Mwana wa Munthu akatwaliwe mu manja mwa akulu ŵa ansembe na Asambizyi a Malamulo. Wove akamupingule kuti akapayiwe, nipo akatwaliwe mu manja mwa ŵanthu asali Ayuda. 
MRK.10.34	Ŵanthu aŵa akachite naye msikila, kumutila mata, kumukwapula, nomupaya. Koma pakazopita masiku atatu, yove azeauke.”
MRK.10.35	Yakobe na Yohane, ŵana ŵa Zebediyo echizouzya Yesu kuti, “Asambizyi, sewo tenze kuti tikusengeni kanthu, mwa mungatichitile?”
MRK.10.36	Yesu naye ekonsha soti, “Mwewo mwenzopangwa kuti nimuchitileni vinji?”
MRK.10.37	Wove echiti, “Tenzopangwa kuti mukazowela mu ulemelelo wanu, muzetiyike muyakine ku kwanja kwanu kwendi, muyakine ku kwanja ya manzyele.”
MRK.10.38	Yesu echiti, “Muziŵalini vumusenga. Kansi mwewo mungakwanishe kumwa nane pamo cheso cha manzunzo chamene chiti nikamwe? Kansi mwewo mungakwanishe kupokela nane ubatizo wa manzunzo wamene witinikapokele?”
MRK.10.39	Wove ŵala eyasuka kuti, “Eee, tingakwanishe.”
MRK.10.39	Yesu echiti, “Ni chiweme, cheso chitinikamwelemo newo niye chiti mukamwelemo, nipo ubatizo witinikapokele, namwe mukaupokele. 
MRK.10.40	Koma newo niliye ulamulilo wosalulila munthu kuti ankhale ku kwanja kwangu kwendi keno ku kwanja ya manzyele. Mulungu niye opasa malo aŵa kwa wove ŵechikonzela yove mwine.”
MRK.10.41	Pechimvwa izi wala kumi ayakine, echipya nawo mtima ŵanthu aŵili ŵala, Yakobe na Yohane. 
MRK.10.42	Yesu eŵaita asambili ŵake, noŵauzya kuti, “Pakati pa ŵanthu akunja, ŵanthu ŵamene ŵakunena kuti ni wopingula, olyela ŵanthu masuku pa mutu. Akuluakulu ŵawo soti owonesha chendi, mphamvu zawo pa ŵanthu ŵawo. 
MRK.10.43	Koma pakati panu osati pankhale zoteti. 
MRK.10.44	Uyo opangwa kunkhala chitangulila pakati pa mwewo ankhale muzya wa monse. 
MRK.10.45	Tetyo muchite ngani mwechichitila Mwana wa Munthu: ewela osati kuti ayakine amutumikile yai, koma kuti yove ankhale otumikila ŵanthu na kutwala moyo wake kuti awombole ŵanthu anyinji.”
MRK.10.46	Yesu na asambili ŵake pamo na winji wa ŵanthu efwika ku munzi wa Yeliko. Penzofuma mu munzi ukulu wala, efwana mpofu ongosenga–senga mu mbali mwa mseu. Munthu uyu zina yake niye Batimeyo, mwana wa Timeyo. 
MRK.10.47	Pechimvwa kuti ni Yesu wa ku Nazaleti, eŵilikizya kuti, “Yesu Mwana wa Davide! Munichitile lusungu.”
MRK.10.48	Ŵanthu anyinji emuzazila kuti ankhale chelele. Koma yove epitilizya kuŵilikizya kuti, “Mwana wa Davide! Munichitile lusungu.”
MRK.10.49	Yesu epanama, nouzya ŵanthu kuti, “Muuzyeni awele kuno.”
MRK.10.49	Ŵanthu ŵala emuita mpofu wala nomuuzya kuti, “Kosa mtima, panama okuita.” 
MRK.10.50	Potetyo etaya mkanjo wake noutukila kwa Yesu.
MRK.10.51	Yesu emukonsha kuti, “Kansi upangwa kuti nikuchitile chinji?”
MRK.10.51	Wala mpofu eyasuka kuti, “Asambizyi, nupangwa kuti niloleshe.”
MRK.10.52	Yesu emuuzya kuti, “Chiweme, nkhoya, chichetekelo chako chakupulumusha.” Nsita yamene yala elolesha nokonkha Yesu pa ulwendo wala.
MRK.11.1	Yesu na asambili ŵake penze kufupi na ku Yelusalemu, kufupi na Betifage na Betaniya, minzi ya ku Lupili ya Olivi. Yesu etuma aŵili mwa asambili ŵala, 
MRK.11.2	noŵauzya kuti, “Nkhoyani mu munzi umuwona. Mukaingoloŵa mukafwane mwana wa bulu alumangilile wamene paliye munthu ekwelapo mpaka lelo. Mukamumangulule na kuza naye. 
MRK.11.3	Munthu aliyense akakukonshani kuti, ‘Mwewo! Muchitilanji tetyo?’ Mwewo mukanene kuti, ‘Asikulu ali naye na nchito, nipo akasilizyana naye amuwezye posataya nsita.’”
MRK.11.4	Asambili wala eluta, nopeza mwana wa bulu wala, womangilila pa mulyango mu mbali mwa mseu, nipo wove emumangulula. 
MRK.11.5	Ŵanthu enzepo eŵakonsha kuti, “Mwewo! Muchitilanji tetyo, kansi bulu mumangululilanji?” 
MRK.11.6	Asambili eyasuka ngani mwechiŵauzyila Yesu. Ŵanthu wala eŵalola kuti amumangulule. 
MRK.11.7	Pechimutwala kwa Yesu mwana wa bulu wala, eyanzika vovwala pa mu msana pa bulu wala nipo Yesu ekwelapo. 
MRK.11.8	Ŵanthu anyinji enzoyanzika vovwala vawo mu mseu, ayakine misambo na vitepo vake venzothyola kusanga. 
MRK.11.9	 Ŵanthu enze pa nthangu na enze ku vuli enzoŵilikizya kuti,
MRK.11.9	“Mchinzi kwa Mulungu!
MRK.11.9	“Ni wodalisika wove amene okuza mu zina ya Leza!”
MRK.11.10	“Udalisike Ufumu wa ausu wasu Davide wamene utiuwele lomba!”
MRK.11.10	“Mchinzi kwa Mulungu Kululu!”
MRK.11.11	Yesu pechiloŵa mu Yelusalemu, echiyoloŵa mu Ngʼanda ya Mulungu, nololesha ichi na ichi mu malo wonse. Zuŵa peyeloŵa ku mchingulo Yesu eyima kuluta ku Betaniya pamo na asambili ŵake kumi na aŵili ŵala.
MRK.11.12	Mu mawa mwake, penzofumila ku Betaniya, Yesu echimvwa njala. 
MRK.11.13	Pechiwona chimuti cha nkhuyu patali poteti, chili na vitepo vake, elutapo kuti keno angafwanemo vitwalo, koma aliyofwanemo kanthu chikomo chakuti yenzelini nsita yotwala vitwalo ivi. 
MRK.11.14	Yesu euzya chimuti chala kuti, “We chimuti! Kutatikila lelo mpaka mutatakuya paliye atiakalyeko vitwalo vako.” Asambili ŵake eŵamvwa malizu aŵa.
MRK.11.15	Yesu na asambili ŵake efwika ku Yelusalemu, nipo Yesu eloŵa mu Ngʼanda ya Mulungu, etatika kufumya ŵanthu enzochitila malonda mkati. Egudubula magome ya osinthisha ndalama, na mipando ya ositisha nkhunda. 
MRK.11.16	Aliyolole munthu aliyense kupita pa malo aŵa alutwike chinthu. 
MRK.11.17	 Pa vuli pake etatika kuŵasambizya noŵauzya kuti, “Pala Malembo onena kuti, ‘Ngʼanda yangu ikayitiwe Ngʼanda ya malombelo ya ŵanthu a mitundu yonse.’ Koma mwewo mwaiyaluzya kuŵa ‘malo ya anyankapondo.’”
MRK.11.18	Akulu a Ansembe na Asambizyi a Malamulo pechimvwa ivi, esakila njila yakuti amupayilemo. Koma enzochita naye mwezo powona kuti ŵanthu wonse enzokanganishiwa navo venzoŵasambizya.
MRK.11.19	Pekwetatika kufipa, Yesu na asambili ŵake efumamo mu mzinda mwala.
MRK.11.20	Mu mawa mwake nsiku yokonkhapo, penzoyenda mu mseu, ewona nkhuyu yala yayumilatu yonse na mizyu kumo. 
MRK.11.21	Petulo ekumbukila zechitika, nipo euzya Yesu kuti, “Asambizyi, onani! Nkhuyu yala yemweshamika kuti yayuma.”
MRK.11.22	Yesu eyasuka kuti, “Mukokuŵa na chichetekelo mwa Mulungu. 
MRK.11.23	Nukuuzyani vyendi kuti aliyense angalamule lupili iyi kuti, ‘Fuma apa, nkhoya uzitaye mu chimumana,’ osakayika mu mtima mwake, na kuti ali na chichetekelo, vonse valaŵila vuchitika. 
MRK.11.24	Nukuuzyani kuti, mu malombelo ŵanu mukasenga Mulungu chinthu chilichonse, mukokuŵa nacho chichetekelo kuti mwapokela, nipo mukochipokelela chendi. 
MRK.11.25	Na pamupangwa kuti musenge, chotatika nikulekelelako muyanu ku viipa keno emuifyilani. Mukatetyo, nawo Atata ali Kululu amulekeleleni ku machimo ŵanu. [
MRK.11.26	Koma mwewo keno mulekelelakolini ayanu, ku machimo ŵawo namwe Atata ali Kululu amulekelelenilini machimo ŵanu.]”
MRK.11.27	Yesu efwika soti ku Yelusalemu nipo penzoziyendela mu Ngʼanda ya Mulungu, akulu ŵa ansembe na Asambizyi a Malamulo pamo na akulu ŵa Ayuda emukonsha kuti, 
MRK.11.28	“Kansi ulamulilo wamuchitila voteti mweutola kuni?”
MRK.11.29	Yesu echiti, “Nane soti nikuti nikukonsheni konsho imo. Mukaniyasuka, niye pati nikuuzyeni kwenetola ulamulilo wanuchitila voteti. 
MRK.11.30	Kansi Yohane penzobatiza, ulamulilo wala eutola kwaŵani, kwa Mulungu keno ku ŵanthu? Niyasukeni.”
MRK.11.31	Wove etatikolaŵizyana kuti, “Tikalaŵila kuti ezitola kwa Mulungu, yove anene kuti, ‘Chikomo ni chinji, muliye muchetekele Yohane?’ 
MRK.11.32	Koma soti tikati ezitola ku ŵanthu, apo soti nimwamenelini.” Enena tetyo pochita mwezo na ŵanthu, chikomo chakuti ŵanthu wonse enze kuti Yohane enze Mneneli ngaye–ngaye.
MRK.11.33	Niye eyingomuyasuka Yesu kuti, “Kaya nase tuziŵalini.”
MRK.11.33	Yesu echiti, “Nane soti nuziŵalini kwenetola ulamulilo wanuchitila voteti.”
MRK.12.1	Yesu etatika kulaŵila nawo mu myambi. Echiti, “Munthu muyakine ekomola mpesa mu munda mwake, nomanga mpanda kuzunguluka munda wake, ekumba nkhuti yokonzelamo mpesa, nomanga tala yopokela munda. Pa vuli pake wala munda euzyamika kwa alimi, yove echiya pa ulwendo utali ku chalo chiyakine. 
MRK.12.2	Nsita yowezya vitwalo peyifwika, wala munthu etuma wanchito wake kuli ŵala ŵechizyamika munda, kuti akampaseko vitwalo va mu munda wala. 
MRK.12.3	Koma alimi ŵala emkata nyanchito nomunyata, nomuwezya chimanja–manja. 
MRK.12.4	Wala munthu etuma soti wanchito muyakine, koma ŵala ŵechizyamika munda emutema nomutamanisha. 
MRK.12.5	Koma wala munthu etuma soti wanchito muyakine koma yove niye wechingopayilatu. Echita chimozi–mozi na anyanchito anyinji, ayakine eŵanyata noŵapayilatu.
MRK.12.6	“Wala munthu esala na munthu yumo tyala, mwana wake wa pa mtima, wotemweka chendi. Niye kuti pa vuli pake atume mwana wake, echiti, ‘Mwana wangu azemchitile mchinzi.’
MRK.12.7	“Koma anyanchito ŵala etatika kuuzyana kuti, ‘Wamene uyu niye watiazesiile chuma. Tiyeni timpaye kuti chuma chizaŵe chasu.’ 
MRK.12.8	Tetyo emukata, nomupaya nomtayila kunja kwa munda wa mpesa.
MRK.12.9	“Kansi mwine wa munda wa mpesa azechite tyani? Ni chendi azeŵapaye ŵala anyanchito, na munda wala akauzyamike kwa alimi ayakine. 
MRK.12.10	Muliyoŵelenge Malembo ŵala onena kuti,
MRK.12.10	‘Mwala wamene amisili omanga ngʼanda eukana,
MRK.12.10	wamene uyo wayaluka mwala wapangondya,
MRK.12.10	wopangwika ngako.
MRK.12.11	nipo zetikanganisha ngako.’”
MRK.12.12	Akulu ŵa Ayuda pechiwona kuti mwambi wenzonena za wove, epangwisha ngako kuti amukate, koma enzochita mwezo na umba ya ŵanthu. Tetyo eingomuleka nofumapo.
MRK.12.13	Ŵanthu ayakine a mu chipani cha Afalisi, na ayakine a mu chipani cha Helode, etumiwa kuti akatape Yesu mu kamwa. 
MRK.12.14	Pechifwika echiti, “Asambizyi tuziŵa kuti mwewo mulaŵila vyendi nipo muyopalini munthu aliyense. Muliye salulo koma musambizya Malamulo a Mulungu mu vyendi. Ngani lomba Malamulo a Mulungu ololezya kuti tiwosonkha misonkho ku mfumu ya Aroma, keno yayi? 
MRK.12.15	Kansi tiwosonkha keno osasonkha?”
MRK.12.15	Koma Yesu poziŵa kuti malingililo ŵawo ni ŵa wenye, echiti, “Chikomo ni chinji muniyeselalona? Nipeni ndalama niiwone.” 
MRK.12.16	Wove emupa ndalama. Lomba yove aŵakonsha kuti, “Kansi chinso chili apa ni chaŵani? Ngani zina ni ya ŵani?”
MRK.12.16	Wove echiti, “Vonse ni va Kaisala, mfumu ikulu ya Aroma.”
MRK.12.17	Pameneapo Yesu eŵauzya kuti, “Tetyo mutwale ku mfumu za ufumu wake, na kwa Mulungu za umulungu wake.”
MRK.12.17	Pechimvwa tetyo ŵala ŵanthu esila nzelu.
MRK.12.18	Pa vuli pake, wanthu ayakine a mu chipani cha Asaduki ayakine ewela kwa Yesu. Wove onena kuti akufwa akaukelini. Emukonsha echiti, 
MRK.12.19	 “Asambizyi, Mose etilembela lamulo yakuti, ‘Keno munthu wamwalila, nosiya mkazi wake, koma aliye ŵana, mkwawo wa uyo wamwalila aloŵe chokolo, kuti amuvyalilemo ŵana mkwawo.’ 
MRK.12.20	Tetyo penze ŵanthu asano na aŵili pokŵaŵo. Wotatika elungula mwanakazi wala, yove nomwalila aliye mwana. 
MRK.12.21	Wa chiŵili emulungula wala mwanakazi naye emwalila osasiyamo mwana. Wa chitatu naye echita chimozi–mozi. 
MRK.12.22	Kufwikila asano na aŵili emwalila osasiyamo mwana. Posilizyila mwanakazi wala emwalila. 
MRK.12.23	Lomba pa nsiku youka kwa akufwa, mwine wa mwanakazi azaŵe ŵani? Poona kuti enekwawo wonse asano na aŵili ŵala emulungulapo.”
MRK.12.24	Yesu eŵayasuka kuti, “Ni pamene pamupumvya, chikomo chosaziŵa Malembo na mphamvu za Mulungu? 
MRK.12.25	Pakuti pouka kwa akufwa kuliye kulungula keno kulunguliwa. Wonse ali ngani angelo a Kululu. 
MRK.12.26	 Tetyo zakuti ŵanthu azeauke kwa akufwa kansi muliyoŵelenge mu buku ya Mose, pala pakunena zasanga yoyaka? Nipalalini Mulungu pechimuuzya Mose kuti ‘Newo nine Mulungu wa Abulamu nine Mulungu wa Isaki, nine Mulungu wa Yakobo?’ 
MRK.12.27	Niye kuti ni Mulungulini wa ŵanthu akufwa koma wa ŵanthu amoyo. Mwewo nimwe opumvyika ngako.”
MRK.12.28	Msambizyi muyakine wa Malamulo eŵamvwa kuti osushana. Pechiwona kuti Yesu eŵayasuka luweme Asaduki ŵala, ewela pafupi, nomukonsha kuti, “Kansi pa malamulo wonse aŵa ikulu ni yotyani?”
MRK.12.29	Yesu emuyasuka echiti, “Lamulo ikulu ni iyi, ‘Mvwani mwewo Aisilayeli, Leza Mulungu wasu, yove yeka niye Mulungu. 
MRK.12.30	 Tetyo wotemwa Leza, Mulungu wako, na mtima wako wonse, na moyo wako wonse, na nzelu zako zonse, na mphamvu zako zonse.’ 
MRK.12.31	 Na lamulo ya chiŵili ni iyi, ‘Wotemwa muyako ngani mwaulitemwela wamwine.’ Paliye lamulo ikulu iyakine yopula malamulo amene aŵa.”
MRK.12.32	Msambizyi wa Malamulo wala echiti, “Yai Asambizyi, mwayasuka luweme. Ngani mwamwalaŵilila ni vyendi kuti Mulungu ni yumo, nipo paliye muyakine koma yove yeka. 
MRK.12.33	Mwalaŵila luweme kuti chinthu chopulamo nikumutemwa Mulungu na mtima wonse, na mphamvu zonse, soti kutemwa muyako ngani mwaulitemwela wemwine. Kuchita tetyo kupula kutwala nsembe zoshoka keno nsembe ziyakine zonse.”
MRK.12.34	Yesu ewona kuti wala munthu wayasuka mwa nzelu. Tetyo emuuzya kuti, “Wewo ulilini kutali na Ufumu wa Mulungu.” Kutatikila pameneapo penzeve muyakine eyezya kumukonsha kanthu kalikonse.
MRK.12.35	Yesu penzosambizya ŵanthu mu Ngʼanda ya Mulungu, eŵakonsha echiti, “Kansi ni chinji Asambizyi a Malamulo onena kuti Messiya – Mpulumushi Wolonjezewa – ni mwana wa Davide? 
MRK.12.36	 Pala Davide, na nzelu zofuma ku Mzimu Utuŵa, echiti,
MRK.12.36	‘Leza euzya Asikulu kuti,
MRK.12.36	“Nkhala ku kwanja kwangu kwendi,
MRK.12.36	mpaka nikayike alwani ŵako
MRK.12.36	kuti aŵe ngani chokandapo mendo ŵako.”’
MRK.12.37	Davide mwine onena Mpulumushi Wolonjezewa wala kuti na Asikulu ŵake. Lomba angaŵe tyani soti mwana wake?”
MRK.12.37	Ŵanthu anyinji ŵala esangalala ngako pakumvwa malizu ŵake. 
MRK.12.38	Yesu penzoŵasambizya echiti, “Ŵani menso nawo Asambizyi a Malamulo. Otemwa kuyenda–yenda aluvwale mikhanjo itali, kuti ŵanthu okoŵapokelela mwa mchinzi pa misika. 
MRK.12.39	Otemwa mipando ya mchinzi ngako mu kachisi wa Ayuda, na mu malo mwamchinzi pa malyelelo. 
MRK.12.40	Soti oŵalyela chuma chawo anakazi wofwilwa, polaŵila malombelo atali ngako aliye vyendi. Ŵanthu woteti akalangiwe ngako.”
MRK.12.41	Nsiku iyakine Yesu enkhala pansi mololesha thumba ya zopeleka ku Ngʼanda ya Mulungu, kulolesha ŵanthu mwenzopozelamo ndalama zawo zinyinji. 
MRK.12.42	Koma pechifwika mwanakazi muyakine wofwilwa wozingwa eingopozamo tundalama tuŵili.
MRK.12.43	Tetyo Yesu eita asambili ŵake noŵauzya kuti, “Nukuuzyani vyendi kuti mwanakazi wofwilwa wozingwa, wapozamo kupula ŵanthu wonse aŵa ayakine aikamo mu thumba umu. 
MRK.12.44	Chikomo aŵa aingoikamo zatapamo mu zinyinji za ali nazo. Koma mwanakazi uyu mukuzingwa kwake wapozamo zonse zenze nazo, zakuti angasitile chakulya.”
MRK.13.1	Yesu penzofuma mu Ngʼanda ya Mulungu, yumo wa asambili ŵake emuuzya kuti, “Wonani, Asambizyi! Kuwama kwa myala iyi na vimango ivi!” 
MRK.13.2	Yesu eŵauzya kuti, “Kansi muwona vimango ivi vikulu teti? Pakankhalelini mwala weka umo pa lulu pa uyakine; zonse zizegumuliwe.”
MRK.13.3	Pa vuli pake Yesu enkhala pansi, pa Lupili ya Olivi kuloleshana na Ngʼanda ya Mulungu. Tetyo Petulo, Yakobe, Yohane na Andeleya emukonsha paŵeka, echiti, 
MRK.13.4	“Tiuzyeni luweme, zamene izi, zizechitikelini? Tizeziŵe tyani kuti zonse zili pafupi kuchitika?”
MRK.13.5+MRK.13.6	Yesu etatika kuŵauzya kuti, “Ŵanthu anyinji akawele mu zina yangu nonena kuti, ‘Newo nine Kristu Messiya.’ Azeluvizye ŵanthu anyinji koma ŵani menso kuti osati azemuluvizyeni. 
MRK.13.7	Koma mukazokumvwa za nkhondo, keno mbili ya nkhondo, kosati muzechite mwezo. Zamene izi zuwamila kuchitika, koma niyelini kusila kwa chalo yayi. 
MRK.13.8	Pakuti mtundu uzewukilane na mtundu uyakine, na ufumu uzewukilane na ufumu uyakine. Kukaŵe vivomezi na njala mbali zonse. Zonse izi zizenkhale ngani kuŵaŵa kotatika kwa kuvyala.
MRK.13.9	“Koma ŵani menso. Pakuti azeamutwaleni ku maumba ŵa aweluzi, na kuti azemuniyateni mu makachisi ŵa Ayuda. Muzepaname pa menso pa azibwanamkubwa na mafumu chikomo cha newo, kutwala umboni pa menso pawo pakuti mwewo munikonkha. 
MRK.13.10	Ikaliyofwika nsita yosilizya Uthenga Uweme upangwika kuŵilizyiwa ku mitundu yonse. 
MRK.13.11	Tetyo azemukateni, nomtwalani ku ngʼanda ya milandu, osati mukankhale na mwezo nolingilila kuti, ‘Kansi tilaŵile vinji?’ Yai mwewo mukaingolaŵila zatiakakuuzyeni Mulungu pa nsita yamene iyo. Pakuti atiakalaŵile ni mwewolini yai, koma ni Mzimu Utuŵa.
MRK.13.12	“Mkwawo akotwala mkwawo kuti akapaiwe, awisi akotwala ŵana ŵawo. Ŵana akoukila avyazi ŵawo, kufwikila kuŵapayisha. 
MRK.13.13	Ŵanthu wonse azemtinkheni chikomo cha newo. Koma wala atiazekoselele kufwikila ku nsilililo, niye atiazepulumushiwe.”
MRK.13.14	Yesu epitilizya kulaŵila kuti, “Wewo uŵelenga na ŵala akumvwa amvwishishe. Mukazowona kuti chocheneka cha maloza chala, chapanama pa malo pa chuwamilalini kuŵapo, mwewo muli mu Yudeya muzeutukile ku malupili. 
MRK.13.15	Ŵala wonse ali panja asaloŵe mu mangʼanda ŵawo kutola kanthu kalikonse. 
MRK.13.16	Ŵala wonse ali ku munda osati akawelele ku ngʼanda kuti akatole mikhanjo. 
MRK.13.17	Anashamu anakazi amene atiakaŵe na pakati, na ŵala atiakonyonsha ŵana pa nsita zamene izo. 
MRK.13.18	Lombani kwa Mulungu kuti zamene izi osati zikaoneke pa nsita ya mainza, 
MRK.13.19	chikomo manzunzo atiazewoneke pa nsita iyo, akaliyowonekapo kufuma pa chilengelo cha chalo chapansi, kufwika lomba vikaonekepolini soti. 
MRK.13.20	Tetyo Asikulu akaleka kuŵachefya masiku a manzunzo, paliye munthu angankhale yumo angapulumushiwe. Koma yove eŵachefya chikomo cha ŵanthu amene ŵechisalula.
MRK.13.21	“Pa nsita yamene iyo, muyakine akazomuuzyani kuti, ‘Ali pano Kristu wala,’ keno kuti, ‘Uyo ali apo,’ osamuchetekela. 
MRK.13.22	Chikomo kuzewoneke ŵanthu awenye olaŵila kuti, ‘Ninewo Kristu wala,’ keno kuti, ‘Nine mneneli.’ Amene awo ŵanthu azochita milimo ya mphamvu nipo na zinthu zodabwisa, kuti keno ni chololeka angaluvizye na ŵala ŵanthu kumo wosaluliwa na Mulungu. 
MRK.13.23	Koma mwewo ŵani menso. Newo nakuuzyilantoni zonse.
MRK.13.24	“Mu masiku amene awo manzunzo akayosila,
MRK.13.24	zuŵa ikafipe,
MRK.13.24	mwezi ukaleke kutuŵa.
