MAT.1.1	Baa arrittiaa Yeesu Krĩstõ halaangatõõ cĩ habu Daavide
ROM.9.6	Nga hudhukia thõõth baa aduha Nyekuci. Hĩnĩngĩtĩ hõllõngaa lõhõlĩ ꞌcĩg Ĩꞌthĩraẽlĩ vẽlẽk ꞌcĩg ĩĩn Ĩꞌthĩraẽl. 
ROM.9.7	Tananga ĩĩn eeta lõhõlĩ cĩg Abũrahamĩ, hõllõngaa aaꞌnyĩk thõõth ciee ĩhõõggõ vẽlẽk hĩĩtõ lõhõlĩ cĩg Abũrahamĩ dĩdĩ. Hĩnĩngĩtĩ eheeddi ꞌBuuhaa cĩ Nyekuci aĩ, “Iꞌthaako
ROM.9.8	Aĩ thõõth ciee, aitiõõ lohollia cĩg Abũrahamĩ vẽlẽk hõllõngaa ĩĩn lõhõlĩ cĩg Nyekuci. 
ROM.9.9	Hĩnĩngĩtĩ ꞌgõõl ꞌcĩ baa aduhaanĩ Nyekuci thõõth cieeni, “Ma hõbõda naa irkit cĩ gõlla kõr ꞌcĩ aaĩ hĩ cieeni, hũmmũdeeha hatĩ Thaara ũtũhũa loholeec ꞌcĩ maacĩ.”
ROM.9.10	Nẽ hõllõngaa thõõth tĩho ciee diooni, nẽẽthĩ, ma baa ũꞌthũwan baangẽẽtĩ cĩnaac Iꞌthaako Rẽbẽka, ikia ũtũhũa Rẽbẽka lõhõlĩ ꞌcĩg ĩĩn heengti. 
ROM.9.11	Nẽẽthĩ, baa nga hittirria lohollia ꞌcĩg ĩĩn heengti ho, hode hĩdĩmanit ꞌgiimwa ꞌcĩ abũnnaa hode ꞌcĩ abathĩ, ikia ũmmũda Rẽbẽka nyeemuut umwa hĩ Nyekuc, ꞌcĩ aĩ, ẽbẽra Nyekuci eet hĩnĩngĩtĩ tabiinit cĩnnĩ. 
ROM.9.12	Baa aduhaak Makayyioohiti Rẽbẽka anneek, “Adticanoothĩk hatĩ loholeec cunni cobbi ꞌcĩ hidici.”
ROM.9.13	Hĩcĩ eheeddi ꞌBuuhaa cĩ Nyekuci aĩ, “Hammĩnani naa Yakobo
ROM.9.14	Occa ꞌyioko hõthõõth haĩ ne? Aitiõõ Nyekuci hõllõngaa abũnnaa? Aitiõõ ũdũt! 
ROM.9.15	Hĩnĩngĩtĩ baa anneek Nyekuci põrõvẽtaac Mũũꞌtha,
ROM.9.15	“Hammaannihi hatĩ naa eet ꞌcĩg hadiimi hammaannihi naana.
ROM.9.15	Hĩĩnĩ hatĩ tarbal hĩ eet ꞌcĩg hadiimi hĩĩnĩ tarbal.”
ROM.9.16	Nẽẽthĩ hoti ho, arũgĩ hẽlẽggĩ vẽlẽk tamaatittaa cĩ Nyekuci nẽ hõllõngaa hĩnĩngĩtĩ ꞌgii ꞌcĩ adiim hode adtican eeta. 
ROM.9.17	Hĩnĩngĩtĩ baa aduhaak ꞌBuuhi cĩ Nyekuci habu cĩ Ijjibi anneek, “Baa haaꞌnyii naa nganiit ĩĩ habu, hĩnĩngĩtĩ thõõth icci, hátĩ heteretheehii ꞌtirrian caannĩ nẽ ubuluꞌthi ꞌthaara cĩgannĩg looc vẽlẽk.”
ROM.9.18	Nẽẽthĩ hoti ho, ammaannĩk Nyekuci eet ꞌcĩg adiim ammaannĩk nẽẽnĩ nẽ aaꞌnyĩk ꞌlõõrĩth eet ꞌcĩg adiim nẽẽ hilloorito.
ROM.9.19	Anneeka hatĩ eet umwaa hõrggẽẽnaa cunuung nẽẽ, “Nga etteedĩkeet Nyekuci ngagĩĩt thõõth noho inni? Hĩnĩngĩtĩ nganĩ ꞌcĩ abũrĩ tabiinit cĩnnĩ ho?” 
ROM.9.20	Nẽẽthĩ, nganĩ nii ẽẽtĩ ꞌcĩ occa ajini Nyekuc ko? Occa gõõng ꞌgii ꞌcĩ ẽhẽnytaa, ajin eet ꞌcĩ ẽhẽnyta ĩnõõnnõ ho anneek, “Ẽhẽnytaannaa baa hoti inni?”
ROM.9.21	Hõllõngaa occa ẽbẽra teheꞌnyioohiti cĩ ijjioꞌnyaannu ngaatĩ ẽhẽnytaanĩ ijjioꞌnya cĩg dtiicanĩ ꞌcĩg aaddi nẽ ĩĩtõ ũgẽẽgĩ ꞌcĩg dtiicanĩ aag gõõng hõdõõkõthĩ haaga.
ROM.9.22	Baa adiim Nyekuci ẽtẽrꞌtha liilii cĩnnĩ nẽ ẽdẽẽnya ꞌtirrian cĩnnĩ hĩ eet vẽlẽk ꞌcĩg occa adiim aruhi. Nẽẽthĩ hinnianĩ, baa ẽmmẽẽthĩ nẽẽ ĩhõõggõ. 
ROM.9.23	Baa adĩman Nyekuci thõõth icci, aĩ hátĩ hẽtẽrẽtha bulẽẽnĩt cĩnnĩ cobbi, hatĩ ammaannĩk nẽẽ eet ꞌcĩg ẽbẽra nẽẽ, hotholit bulẽẽnĩt cĩnnĩ. 
ROM.9.24	Hĩĩgĩn naag eet ꞌcĩg heberriaa ho, eetinii cĩg ꞌJudeei hĩ ĩcĩg hõllõngaa ĩĩn ꞌJudeei, 
ROM.9.25	hĩcĩ õthõõth Makayyioohiti eet ꞌcĩg hõllõngaa ĩĩn ꞌJudeei ꞌBuuhaa cĩ põrõvẽtaac Hoꞌthẽa aĩ,
ROM.9.25	“Eeta baag hõllõngaa ĩĩn eet cĩgannĩg,
ROM.9.25	hũtũvva hatĩ ꞌyioko ĩhõõggõ hĩĩnnĩha eet cĩgannĩg.
ROM.9.25	Nẽ hĩmmĩnana eet
ROM.9.25	baag nga hĩmmĩnan ĩĩcĩ oou.”
ROM.9.26	Nẽ,
ROM.9.26	“Baa adukiaak ĩhõõggõ kõr umwa aĩ,
ROM.9.26	‘Hõllõngaa iiginnu niig eet cĩgannĩg,’
ROM.9.26	nẽẽthĩ ngaatĩho noho, haĩ hatĩ ĩhõõggõ, ‘Lõhõlĩ cĩg Nyekuc ꞌcĩ arũgĩ.’ ”
ROM.9.27	Baa ẽggẽrẽny põrõvẽtaacĩ Iꞌthaia, hĩnĩngĩtĩ eet cĩg Ĩꞌthĩraẽlĩ aĩ,
ROM.9.27	“Tananga hĩĩtõ mẽẽlĩg lohollia cĩg Ĩꞌthĩraẽlĩ haauto hĩ hathaac ꞌcĩ aaĩ dẽmẽtaa cĩ bũlũcõ,
ROM.9.27	eelliaa hatĩ ꞌcĩg idiongan ꞌcĩg abadtẽc diooni.
ROM.9.28	Hĩnĩngĩtĩ etteedĩk hatĩ Makayyioohiti eet thõõth loota nĩnga hẽdẽcaak hĩdĩĩkoothong.”
ROM.9.29	Baa aduha põrõvẽtaacĩ Iꞌthaia buúk aĩ,
ROM.9.29	“Má baa hiittiõõ Makayyioohiti ꞌTirriannioohiti ꞌcĩ ĩllõõan vẽlẽk
ROM.9.29	ngaatĩ anyiꞌthiaanĩ lõhõlĩ cĩggaac ũgĩ tõõ,
ROM.9.29	occa baa huduktoothĩk haauto
ROM.9.29	hĩ ꞌtaaũnniooha cĩg ꞌThõõdõmĩ hĩ ꞌGõmõõra.”
ROM.9.30	Occa ꞌyioko hõthõõth haĩ ne? Aĩ thõõth ciee, baa hõllõngaa attĩman eeta ꞌcĩg hõllõngaa ĩĩn ꞌJudeei, ngaatĩ ammũdaanĩ ꞌgõõl cĩ bũnnaiitto, nẽẽthĩ, iita ummuddia nẽẽg bũnnai ngaatĩ aꞌnyahĩ nẽẽg lemiinit hĩ Nyekuc. 
ROM.9.31	Nẽẽthĩ, eeta cĩg Ĩꞌthĩraẽlĩ baag anũ nyattal cĩ thõõth ꞌcĩ aũlanĩ, nga hummuddia buúk. 
ROM.9.32	Inni baa? Hĩnĩngĩtĩ baa attĩman nẽẽg, hátĩ hẽlẽm Nyekuci ĩhõõggõ ꞌgõõlaa ꞌcĩ aꞌthũũnnĩ nyattal, hĩllõõan ngaatĩ aꞌnyahĩ lemiinit hĩ Nyekuc. Baa adhuhoothĩk eeta ꞌcĩg Ĩꞌthĩraẽlĩ biyyiaa ꞌcĩ gõõng adaaca eet hetteedito looc. 
ROM.9.33	Hĩcĩ eheeddi ꞌBuuhaa cĩ Nyekuci aĩ,
ROM.9.33	“Ĩcĩnĩt nõõ, haarĩha naa ꞌtaaũnaa cĩ ꞌThionĩ,
ROM.9.33	hetteedito looc.
ROM.9.33	Nẽ ẽẽtĩ ꞌcĩ aꞌnyak lemiinit hĩ ĩnõõnnõ,
ROM.9.33	hõllõngaa hatĩ aggam ĩnõõnnõ ngaaoni ũdũt.”
ROM.10.1	ꞌGotoonoga hĩ ngoonoga, abũraneek nganĩĩt ꞌthĩnĩt nẽ hala naa Nyekuc, hátĩ horoong heellia eeta cĩg Ĩꞌthĩraẽlĩ. 
ROM.10.2	Hĩnĩngĩtĩ occa haduha naa haini, ammĩnan nẽẽg Nyekuc, nẽẽthĩ hinnia, mĩnnanĩ cĩnĩĩng ko, hõllõngaa aku hĩ ꞌgẽẽnyĩth. 
ROM.10.3	Hĩnĩngĩtĩ hõllõngaa aga eeta cĩg Ĩꞌthĩraẽlĩ ꞌgõõl cĩ bũnnai ꞌcĩ aku hĩ Nyekuc nẽ idiimito ngaatĩ ammũdaanĩ ꞌgõõl ꞌcĩ bũnnai cĩnĩĩng ẽmmẽn nẽ ũtũbũrĩt bũnnai cĩ Nyekuci. 
ROM.10.4	Ikia ũttũbaneek Krĩstõ dtiic baa aaꞌnyĩhõõthĩkĩ eet nyattalĩ. Hĩnĩngĩtĩ thõõth icci, eeta vẽlẽk ꞌcĩg ẽlẽmĩ ĩnõõnnõ, ikia aaꞌnyĩk Nyekuci ĩhõõggõ hũbũttaathõ.
ROM.10.5	Baa ẽdtẽbana põrõvẽtaacĩ Mũũꞌtha bũnnai ꞌcĩ aku nyattaala ꞌgõõlaa ꞌcĩ aĩ, “Ẽẽtĩ ꞌcĩ aꞌthũũnnĩ nyattal icci, arũgnĩ hatĩ nẽẽ nyattal.”
ROM.10.6	Nẽẽthĩ, aduha bũnnai ꞌcĩ aku lemiitta aĩ, “Ma hothooꞌthu ꞌthinneetinitõõ hainnu, ‘Nganĩ ꞌcĩ occa õtõd hẽẽtahujjieen?’ ”
ROM.10.7	Hode occa ajin aĩ, “Nganĩ ꞌcĩ occa allũũcĩ õkõ looccaa cĩ daakiahu?”
ROM.10.8	Nẽẽthĩ, aĩ thõõth ciee ne? Aĩ, “Õbõhĩ nyeemuut hĩ nganiit aau ojoonu, aau ũtũũga hĩ ꞌthĩnĩtaa cunni.”
ROM.10.9	Hĩnĩngĩtĩ má uduha nii ũtũũgaa cunni iinu, “Ĩĩn Yeesu Makayyioohit,” nẽ elemu ꞌthĩnĩtaa cunni iinu, baa arũgtha Nyekuci ĩnõõnnõ daahĩtha, eellia hatĩnĩ. 
ROM.10.10	Hĩnĩngĩtĩ má elemi nii ꞌthĩnĩtaa cunni aini, aaꞌnyi hatĩ Nyekuci bũna nẽ má uduha nii lemiinit hĩ Krĩstõ ũtũgaa cunni, eellia thĩ niina. 
ROM.10.11	Hĩcĩ aduha ꞌBuuhi cĩ Nyekuci aĩ, “Ẽẽtĩ ꞌcĩ ẽlẽmĩ ĩnõõnnõ, hõllõngaa hatĩ aggam ngaaoni ũdũt.”
ROM.10.12	Hĩnĩngĩtĩ aduhõõ eeta ꞌcĩg ĩĩn ꞌJudeei hĩ eet ꞌcĩg hõllõngaa ĩĩn ꞌJudeei thõng, Makayyioohit hõdẽẽthõng dioo ꞌcĩ ĩĩn Makayyioohit cĩ eet vẽlẽk nẽ aggatan eet vẽlẽk gẽrrẽẽt ꞌcĩg ẽlẽmĩ ĩnõõnnõ. 
ROM.10.13	Hĩnĩngĩtĩ, “Eeta vẽlẽk ꞌcĩg ẽlẽmĩ Makayyioohit, eelliaa hatĩnĩ.”
ROM.10.14	Nẽ occa ẽlẽmĩ nẽẽg eet ꞌcĩ nga hagaacõ hutuno? Occa ẽlẽmĩ nẽẽg eet ꞌcĩ nga hĩthĩhĩt hutuno? Nẽ occa athĩhĩ nẽẽg hatĩ aitiõõ ẽẽtĩ ꞌcĩ irrioonĩk ĩhõõggõ tõõ hutuno? 
ROM.10.15	Occa irrioonĩk nẽẽg eet hutuno hatĩ nga hĩꞌthooyyii nẽẽgĩ? Hĩcĩ eheeddi ꞌBuuhaa cĩ Nyekuci aĩ, “Ĩĩn occa ꞌlẽẽmĩthĩ cĩ ꞌthoo cĩg eet ꞌcĩg aꞌnyaha nyeemuut ꞌcĩ abũnnaa hutuno?”
ROM.10.16	Nẽẽthĩ, baa hõllõngaa ẽlẽmĩ eeta cĩg Ĩꞌthĩraẽlĩ vẽlẽk nyeemuut ꞌcĩ abũnnaa ho. Hĩnĩngĩtĩ baa ajin põrõvẽtaacĩ Iꞌthaia Makayyioohit anneek, “Nganĩ baa ꞌcĩ ẽlẽm nyeemuut cĩnaang?”
ROM.10.17	Nẽẽthĩ, aku lemiiniti, hĩnĩngĩtĩ thĩhẽẽnĩt cĩ nyeemuut ꞌcĩ abũnnaa nẽ aduha nyeemuut ciee thõõth cĩ Krĩstõ. 
ROM.10.18	Nẽẽthĩ ꞌyioko, haini naa, nga baa hĩthĩhĩt eeta cĩg Ĩꞌthĩraẽlĩ? Aitiõõ ũdũt, ĩthĩhĩta! Aduha ꞌBuuhi cĩ Nyekuci aĩ, “Baa udukia nyeemuut loonyini vẽlẽk loota nĩnga. Baa irriõõnĩ looc vẽlẽk.”
ROM.10.19	Nẽẽthĩ, hijino hĩĩna, athĩknĩ baa ꞌthẽk eeta cĩg Ĩꞌthĩraẽlĩ jurrung? Eei, baa athĩknĩ, tananga korrioohĩĩ baag Mũũꞌtha, baa õthõõth Nyekuci aĩ, “Haaꞌnyihi hatĩ naa Ĩꞌthĩraẽl hiinanit eet ꞌcĩg hõllõngaa aꞌnyak looc. Haaꞌnyihi hatĩ naa ĩhõõggõ hiliilliyyieek eet ꞌcĩg hõllõngaa aga ꞌgiimwa.”
ROM.10.20	Baa hõllõngaa itieelli põrõvẽtaacĩ Iꞌthaia ngaatĩ aduhaanĩ thõõth cĩ Makayyiookto aĩnnĩ, “Baa ummuddiaawa eeta baag hõllõngaa adiimma nganĩĩta. Nẽ huppwaannaha eet baag hõllõngaa ajinna nganĩĩta.”
ROM.10.21	Nẽẽthĩ, õthõõth Nyekuci eet cĩg Ĩꞌthĩraẽlĩ aĩ, “Waathĩn hũtũrũũr, hodongi naa athĩn cĩgannĩg hẽẽtahujjieen, hĩnĩngĩtĩ eet ꞌcĩg hõllõngaa athĩknĩ nẽ ũtũbũrĩt Nyekuc.”
ROM.11.1	Nẽẽthĩ, hajini naa thõõth ꞌcĩ haini, abũrĩ baa Nyekuci eet cĩgĩnnĩg? Aitiõõ ũdũt! Hĩĩnĩ nõõ naa eet cĩ Ĩꞌthĩraẽlĩ, ꞌcĩ hakuu hattũũgaa cĩ Abũrahamĩ, cĩ habuccieet cĩ Benyemiino. 
ROM.11.2	Baa hõllõngaa abũrĩ Nyekuci, eet cĩgĩnnĩg baag ẽbẽra nẽẽ ĩĩcĩ oou. Hõllõngaa nooyyia agayyu niig thõõth baa aduha ꞌBuuhi cĩ Nyekuci aĩ, baa ĩĩlaleek põrõvẽtaacĩ Eliijja
ROM.11.3	“Makayyioohit, uruhit eeta põrõvẽtaaꞌnya cugunnig nẽ ĩꞌthaanito altaarĩꞌnya ꞌcĩg ĩbboorini ꞌgaarriẽẽna cugunnẽẽgĩ, ĩĩ nganĩĩt dioo ꞌcĩ nga hidiongani nẽ idiimito urukta nganĩĩt buúk”?
ROM.11.4	Baa hinnia aduhaak Makayyioohiti Eliijja anneek, “Nga haꞌnyahi naa nuyyiook aalibꞌnya tũkĩramma ꞌcĩg hõllõngaa ala ꞌBaal.
ROM.11.5	Nẽẽthĩ, aaĩ thõõth noho buúk waathinnioohĩĩ nĩĩcĩg. Nga idiongan eeta ꞌcĩg Ĩꞌthĩraẽlĩ ꞌcĩg abadtẽc ꞌcĩg nga anũ ĩnõõnnõ, hĩnĩngĩtĩ baa tarbal Nyekuci hĩ ĩhõõggõ. 
ROM.11.6	Baa aaĩ thõõth ciee hoti, hĩnĩngĩtĩ tarbalꞌthẽẽt cĩ Nyekuci ꞌcĩ hõllõngaa ũũlũ eet umwaanĩ nẽ hõllõngaa, hĩnĩngĩtĩ dtiicanĩ ũgĩ ꞌcĩg abũnnaa ꞌcĩg adĩman nẽẽgĩ. Occa baa hõllõngaa adĩmanni noho, hiittiõõ tarbalꞌthẽẽt cĩ Nyekuci tõõ.
ROM.11.7	Aĩ thõõth ciee nẽẽ, eet cĩg Ĩꞌthĩraẽlĩ ꞌcĩg abadtẽc haaga ꞌcĩg eberriaa ꞌcĩg ummuddia thõõth ꞌcĩ baa attarraaban nẽẽg vẽlẽk ko. Nẽ aaꞌnyĩk Nyekuci ũgĩ hidiitti ooti pĩd, 
ROM.11.8	aaĩ hĩcĩ aduha ꞌBuuhi cĩ Nyekuci aĩ,
ROM.11.8	“Baa aaꞌnyĩk Nyekuci ĩhõõggõ hatagguutho,
ROM.11.8	hátĩ hĩĩtõ hõllõngaa acĩnĩ,
ROM.11.8	nẽ ĩdĩĩt ĩĩn cĩggĩĩng hiittiõõ hõllõngaa athĩknĩ.”
ROM.11.9	Nĩngĩtĩ õthõõthĩ habuui Daavide aĩnnĩ,
ROM.11.9	“Edettiõõĩ ꞌgẽẽn cĩnĩĩng, haggam ĩhõõggõ,
ROM.11.9	hátĩ huukti nẽẽgĩ.
ROM.11.10	Ũmmũtĩt hẽbẽrĩ cĩggĩĩng! Ma haaꞌnyiku hĩcĩttĩ.
ROM.11.10	Itihiicit bahucci cĩggĩĩng ijjiõõnnĩĩ cĩg adĩddĩngĩĩ ĩcĩg occa hõllõngaa odoꞌngi.”
ROM.11.11	Haini ꞌyioko naa ũtũbũrĩt eeta cĩg Ĩꞌthĩraẽlĩ Nyekuc ũdũt? Aitiõõ ũdũt! Aaꞌnyĩk thõõth ꞌcĩ abũrrĩ nẽẽg Nyekuc, heellia eeta ꞌcĩg hõllõngaa ĩĩn ꞌJudeei nẽ aaꞌnyĩk thõõth ciee eet ꞌcĩg Ĩꞌthĩraẽlĩ hiinanit ĩhõõggõ. 
ROM.11.12	Nẽẽthĩ, má ẽẽl eet cĩg loonyin vẽlẽk ꞌthẽccanĩ ꞌcĩ abũrrĩ eeta cĩg ꞌJudeei thõõth cĩ Nyekuci, ĩĩn occa hatĩ ꞌgattanĩ cĩ Nyekuci hutuno, hatĩ oboddia nẽẽg hĩ ĩnõõnnõ tarĩ!
ROM.11.13	Hothoothikuung naa ngagiit eet ꞌcĩg hõllõngaa iiginnu ꞌJudeei. Hõlõ, hĩcĩ hĩĩnĩ naa ꞌthooyyiahit cĩ eet ꞌcĩg hõllõngaa ĩĩn ꞌJudeei ho, haccamanoothihi hatĩ hĩnĩngĩtĩ dtiic caannĩ ho, 
ROM.11.14	haꞌnyahi muhẽẽnĩt ꞌcĩ abũnnaa hoti, haĩ haaꞌnyĩk eet cĩgannĩg ũgĩ hiinanit ngaatĩ eellianĩ. 
ROM.11.15	Baa ũtũbũrĩt eeta cĩg Ĩꞌthĩraẽlĩ Nyekuc, iita elemit eeta ꞌcĩg hõllõngaa ĩĩn ꞌJudeei ĩnõõnnõ. Nẽẽthĩ hoti ho, ma hatĩ ma ikia ẽlẽm Nyekuci eet cĩg Ĩꞌthĩraẽlĩ, aaĩ hatĩ hĩcĩ arũgtha nẽẽ daakiak. 
ROM.11.16	Má abũnnaa tũkanĩ ꞌcĩ oꞌngoꞌnyi, abũnnaa hatĩ ũbũnẽẽta vẽlẽk. Nẽ má ẽllẽẽmĩth cõrrẽẽna cĩg hẽẽtak, ẽllẽẽmĩth thĩ hatĩ tabana buúk.
ROM.11.17	Aattiyyu niig eeta ꞌcĩg hõllõngaa ĩĩgĩnnu ꞌJudeei hĩ tabana cĩg hẽẽt cĩ oliv
ROM.11.18	Nẽẽthĩ, ma hirriannu, hĩnĩngĩtĩ taba tĩko. Má adĩmannu noho, ummuhit thõõth icci. Hõllõngaa aaꞌnyĩku niig correenit hĩtĩlĩth, correenit ꞌcĩ aaꞌnyuung ngagiit ĩtĩlĩthĩt ko. 
ROM.11.19	Horoong hatĩ ammuku niig ainnu, “Baa eꞌngeddoothĩk tabana nicciag tuu, hátĩ hirigith naa nĩngĩtĩ nĩĩng.” 
ROM.11.20	Ĩĩn nẽẽꞌthẽk thõõth niccia thõõth dĩdĩ. Nẽẽthĩ, baa eꞌngeddoothĩk nẽẽg tuu, hĩnĩngĩtĩ baa aitiõõ nẽẽg hõllõngaa ẽlẽmĩ Nyekuc nẽ aattiyyu niig ngaatĩ aattiyyu ho, hĩnĩngĩtĩ aꞌnyaku lemiinit hĩ ĩnõõnnõ. Nẽẽthĩ ma hirriannu thõng, itingolli Nyekuc. 
ROM.11.21	Má baa hetengedeek Nyekuci taba nicciag tuu, occa baa hõllõngaa adĩman noho hĩ ngagiit buúk.
ROM.11.22	Nẽẽthĩ hoti ho, ummuhit tarbalꞌthẽẽt hĩ kõmĩĩth cĩ Nyekuci. Kõmĩĩth hĩ eet ꞌcĩg etteedito looc, nẽẽthĩ tarbalꞌthẽẽt hĩ ngagiita, hatĩ aallannu niig tarbalꞌthẽẽtaa cĩnnĩ. Má aitiõõ, occa hinnia hatĩ eꞌngeddoothiku niig buúk tuu. 
ROM.11.23	Má iꞌthiattaaĩ eeta cĩg Ĩꞌthĩraẽlĩ aꞌnyahit lemiinit, aku hatĩ ẽlẽmĩ Nyekuci ĩhõõggõ tarĩ. Aꞌnyak Nyekuci makaaꞌthĩt ꞌcĩ õbõdaanĩ ĩhõõggõ tarĩ. 
ROM.11.24	Baa iiginnu niig taba ꞌcĩg eꞌngeddoothĩk tuu hẽẽtaa ꞌcĩ ĩĩn oliv cĩ moru ho. Má baa hidiim hĩdĩman Nyekuci ꞌgiimwa ꞌcĩ gõõng nga hedeeꞌnyia hõdõõkõthĩ, ꞌgõõlaa ꞌcĩ aarĩkĩ taba hẽẽtaa cĩ oliv ꞌcĩ atiboolanni thõng ko, accamanoothĩk hatĩ nẽẽ ngaatĩ õbõdẽẽkĩ taba baag oou, hẽẽtaa baa nĩĩng.
ROM.11.25	ꞌGotoonoga hĩ ngoonoga, hõllõngaa hadiimmuung naa ngagiit eet ꞌcĩg hõllõngaa iiginnu eet cĩg ꞌJudeei ho, irriattĩ eleeti cugguung. Hẽdtẽbanaakuung hatĩ naa thõõth ꞌcĩ ammiꞌthi baa eet cĩg Ĩꞌthĩraẽlĩ. Baa iita ĩĩtõ ũgẽẽgĩ ꞌloorriak nẽ aalla hatĩ nẽẽg noho ĩꞌthõng hũllũngattaa eeta ꞌcĩg hõllõngaa ĩĩn ꞌJudeei. 
ROM.11.26	ꞌGõõlaa ꞌcĩ aduhõõ thõng, eelliaa hatĩ eeta cĩg Ĩꞌthĩraẽlĩ vẽlẽk, hĩcĩ aduha Nyekuci ꞌBuuhaa cĩnnĩ aĩ,
ROM.11.26	“Aku hatĩ eet umwaa ꞌtaaũnaa cĩ ꞌThionĩ hikia hẽẽla eeta.
ROM.11.26	Nẽ hatĩ iittiõõ lohollia cĩg Yakobo hõllõngaa adĩman thooꞌthiok ꞌcĩg abathĩ.
ROM.11.27	Lõhõt caannĩ ꞌcĩ hatĩ hadaka naag hĩ ĩhõõggõ cieeni,
ROM.11.27	hatĩ hittik ꞌthẽccanẽẽt cĩggĩĩng battaala.”
ROM.11.28	Mẽẽlĩg eeta cĩg Ĩꞌthĩraẽlĩ ꞌcĩg ꞌyioko ĩĩn mĩrõk cĩg nyeemuut ꞌcĩ abũnnaa nẽ abũnnaa thõõth ciee hĩ ngagiit eet ꞌcĩg hõllõngaa iiginnu ꞌJudeei. Nẽ nga ĩĩn nẽẽg eet ꞌcĩg ammĩnan Nyekuci noho, hĩnĩngĩtĩ baa ẽbẽra nẽẽ hĩbaangĩ cĩggĩĩng Abũrahaamõ hĩ Iꞌthaako hĩ Yakobo. 
ROM.11.29	Hõllõngaa õbõdĩ Nyekuci ꞌbaaninit baa aaꞌnyĩk nẽẽ eeta nẽ nga hataarõthĩ eet baag ẽbẽra nẽẽnĩ. 
ROM.11.30	Baa gõõng aburru niig eeta ꞌcĩg hõllõngaa iiginnu ꞌJudeei Nyekuc nẽ ꞌyioko, atamaatihuung nẽẽ ngagiit hĩnĩngĩtĩ ũtũbũrĩt eeta cĩg Ĩꞌthĩraẽlĩ ĩnõõnnõ, 
ROM.11.31	nĩngĩtĩ ꞌyioko au ĩllõõrrĩ nẽẽg buúk aĩ, hátĩ hummuddiaawa nẽẽg buúk tamaati cĩ Nyekuci, haau hĩ thõõth baa ammaannikuung Nyekuci ngagiita. 
ROM.11.32	Baa ũtũbũrĩt eeta vẽlẽk thõõth cĩ Nyekuci, ĩnõõ ꞌcĩ adĩmanĩ nẽẽ ĩhõõggõ hĩ eeta ꞌcĩg ĩĩn baabuuthnya ho. Hátĩ hatamaatĩk ĩhõõggõ vẽlẽk.
ROM.11.33	Nganĩ ꞌcĩ occa attĩman baliinit hĩ ꞌgẽẽnyĩth cĩ Nyekuci?
ROM.11.33	Nganĩ ꞌcĩ occa aga muhẽẽnĩt cĩnnĩ
ROM.11.33	hode nganĩ ꞌcĩ occa ẽddẽẽba ꞌgii ꞌcĩ adtican nẽẽnĩ?
ROM.11.34	“Nganĩ baa ꞌcĩ aga muhẽẽnĩt cĩ Makayyiookto?
ROM.11.34	Hode nganĩ baa ꞌcĩ ĩĩn tilooyyiohit cĩnnĩ?”
ROM.11.35	“Nganĩ baa ꞌcĩ aaꞌnyĩk Nyekuc ꞌbaaninit umwa,
ROM.11.35	hátĩ hũdũman Nyekuci ĩnõõnnõ?”
ROM.11.36	Au hẽlẽggĩ vẽlẽk hĩ Makayyioohit. Nẽ baa ẽhẽnytaa hẽlẽggĩ vẽlẽk, hĩnĩngĩtĩ ĩnõõnnõ nẽ hatĩ obodoothi hĩ ĩnõõnnõ.
ROM.11.36	Hĩdĩhĩthĩt Makayyioohit ooo! Aamẽn.
ROM.12.1	Nẽẽthĩ niig ꞌgotoonoga hĩ ngoonoga, halayyuung naa ngagiit tamaatittaa cĩ Nyekuci, aanytĩk eleeti cugguung haauto hĩ ꞌgaarriẽẽna ꞌcĩg arũgĩ, hĩĩ tẽllĩg haccamana Nyekuci, ĩĩn ciee ꞌgõõl ꞌcĩ occa alaiinnu niiga. 
ROM.12.2	Ma nga hanuyyu thooꞌthiok cĩg looc nicci tarĩ, nẽẽthĩ ũtũkẽẽc muhẽẽnĩt cĩ ꞌthinneeti cugguung hĩĩtõ ngeju. Ĩnõõ ꞌcĩ hatĩ uuluyyu ngaatĩ attĩmannu nẽ ummuddiaau tabiinit cĩ Nyekuci, ngaatĩ abũnnayyĩ hĩllõõan. 
ROM.12.3	Hĩnĩngĩtĩ bũnnai baa aaꞌnyĩhoothĩkaa nganĩĩta, haduhaakuung naa ngagiit vẽlẽk hanneekuung, ma hathĩngõõnyannu gẽrrẽẽt, nẽẽthĩ ummuhit eleeti cugguung ꞌgõõlaa ꞌcĩ abũnnaa, ꞌgõõlaa ꞌcĩ attĩmaneeku lemiinit baa aaꞌnyuung Nyekuci ngagiita. 
ROM.12.4	Aaĩ ꞌthẽk hĩcĩ haꞌnyak naag ẽlẽ hõdẽẽthõng hĩ dhooriꞌnya cũũmõ cũũmõ nẽ dhooriꞌnya cieeg vẽlẽk, hõllõngaa aduhõõ dtiici cĩnĩĩng thõng. 
ROM.12.5	Nẽẽthĩ, haattĩg naag buúk noho. Hĩĩgĩn naag mẽẽlĩg nẽ harummiaa hĩĩgĩn ẽlẽ hõdẽẽthõng hĩ Krĩstõ nẽ dhooriꞌnya cieeg vẽlẽk, ĩĩn cĩg ꞌgõõnõgĩ vẽlẽk. 
