MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
ACT.16.27	Eraarõsa que ñumumba ra. Eɨquesa eequia ji rese que mae nda. Etarõ ji uchã neɨ nguiã ee. Nyebe ñee nguiã. —Tachɨɨquia, ɨ que tiquise rirõ nda. 
ACT.16.28	Pablo que tasẽ ee ra. —¿Mbaerã nda erechɨɨquia re? ¡A urecu chõte a resẽ! ɨ que Pablo ee ra. 
ACT.16.29	—Tata eru, ɨ que eraarõsa mbia mo je ra. Ɨque que Pablo rea cote ra. Titi titi ɨ tuchɨ que ra. Ngoi que ngũíã ndese Pablo je ra. Silas abe je. 
ACT.16.30	Eraarõsa que ecuruchoɨ taicuee cote ra. Ñee ee. —Sã Dios serirõ seɨcuã sɨ. ¿Mañɨ ae ra se re? Siqui beɨ sacuã Dios rese re, ɨ que eraarõsa ra. 
ACT.16.31	Pablo que ñee ee cote ra. Silas rese. —Jesucristo eɨcua. Ũquɨ̃ mose ra Dios nderirõ ndeɨcuã sɨ. Ũquɨ̃ mose ra Dios ndechuchua jenda abe rirõ huɨɨcuã sɨ, ɨ que Pablo ee ra. 
ACT.16.32	Jesús cheẽ ngue esenei senei ee ra. Echuchua jenda je abe que erenei nenei nda. 
ACT.16.33	Pablo iruã nua ji que eraarõsa ɨreɨ ɨreɨ ra. Silas iruã nua ji abe. Itondii mose raque. Bautizar ɨ que eraarõsa je cote ra. Echuchua jenda ja je abe que bautizar ɨ ra. 
ACT.16.34	Eraarõsa que Pablo querao mbuquiaru uchuchúaa ra. Silas abe no. Ey a tuchɨ que ra. Echuchua jenda abe ia tuchɨ. —Nandeɨco Dios ɨcua co cote, ɨ ñene. Nyebe eya tuchɨ Dios rese.
ACT.16.35	Isamamɨmbe que ererecua ñee policía je ra. —Jẽso Pablo mbusẽ cote. Silas abe jembusẽ, ɨ que ee ra. 
ACT.16.36	Eraarõsa que ñee Pablo je ra. —A policía cuaẽ a. Jembusẽ sacuã. Huɨ que jẽsɨ ra. Jẽso turã cote, ɨ rei que eraarõsa Pablo je ra. 
ACT.16.37	—Nya, ɨ que Pablo ee ra. —¿Mbaerã ererecua ureiruã ñooño nde? Mbiasa. Mbae ɨcuã naa mose rocoɨ̃. Romanos ndaque ur e abe. Uretarõ ñooño ngue ra. “Nandembusẽ checuayã”, ɨ raque ure je co cote. Tei. Sã ũquɨ̃ ngaẽ urembusẽ nyecua, ɨ que Pablo ee ra. 
ACT.16.38	Pablo cheẽ ngue policía senei nguerecua je ra. “Romanos”, ɨ mose que ererecua chɨã cuaãcuã ɨ ja ra. 
ACT.16.39	Ererecua que nyoɨ Pablo rea cote ra. Silas abe rea. —Ureɨcuã ñochɨ̃ jẽje. Ureɨcuã eã nda cote. Jẽso a sɨ cote, ɨ que ererecua embusẽ turã mondo cote ra. 
ACT.16.40	Pablo que usẽ etarõsa sɨ cote ra. Silas rese. Nyoɨ que Lidia chuchua ra. Hue que echɨ mbɨrɨ̃ Jesús ɨcuasa mundua ndua ra. Nyoɨ que hue sɨ cote ra. Sucha tubɨrɨã sɨ.
ACT.17.1	Pablo que nyoɨ Antípolis rɨ̃ nda. Apolonia nɨ̃ abe echoɨ. Silas rese. Hue sɨ que echoɨ ngasẽ Tesalónicaa ra. Huee que judíos chumu nuasa mo huee ra. Sina goga, ɨ equia tuchua je. 
ACT.17.2	Pablo que oso hue sábado mose ra. Querabe que eriqui oso oso beɨ judíos chumunuásaa ra. Tres sábado que Pablo mbia mbaaquiatu quiatu huee ra. 
ACT.17.3	Dios cheẽ ngue esenei senei ee ra. —“Mbia ra Cristo mbasi tuchɨ. Manonde ra quera sɨ”, ɨ que Dios cheẽ nda. Eɨ̃ ngue mbia Jesús je cote ra. Jesús ae rɨɨ̃ aɨco ñee ñee jẽje, ae rei Cristo. Ae jẽsaarõ arõ mbeɨte quia, aque rei Jesús, ɨ que Pablo embaaquiatu quiatu ra. 
ACT.17.4	Emo emo ngue Jesús isi cote ra. Siqui que Pablo ruɨ ra. Silas ruɨ abe. Griegos tubɨrɨã ngue siqui eruɨ no nda. Dios ɨcuasa rei ũquɨ̃. Griego ninisi tubɨrɨã abe que siqui Pablo ruɨ ra. Mbia chɨɨcua tuchɨ rei ũquɨ̃. 
ACT.17.5	Judíos que ngueteãte quia mbia rese Pablo je ra. Mbia siqui mose Pablo ruɨ. Ae Dios cheẽ andu sereãte quia, ũquɨ̃ ngue ngueteãte quia mbia rese ra. Nyebe ngata chooño je munua nguiã. Ũquɨ̃ ngue sucha tubɨrɨã jenda mbupaama ɨ tuchɨ ra. Mbia tubɨrɨã ngue mbaba chee Jasón chuchua je cote ra. —¿Ma Pablo ma nde? ¿Ma Silas ma nde? Uremee nda mbia ɨcuã je, ɨ rei que judíos ra. 
ACT.17.6	Pablo oreã ngue ee ra. Silas abe oreã ngue ee ra. Nyebe que Jasón nduruchoɨ mbutiriri nguerecua je ra. Jasón ndesenda rese. Ñee nguerecua je. —Pablo ngaẽ ñochɨ̃ mbia mbɨɨcuã ɨcuã ja aa. Pe jenda mbɨɨcuã ɨcuã jare. 
ACT.17.7	Jasón eisi turã ñochɨ̃ nguia uchuchúaa a. Ũquɨ̃ ɨcuã ja que eriqui nandererecua je. César cheẽ emumba mumba beɨ chõchɨ̃ nguiã ã. “Jesús quia ererecua tuchɨ César sɨ re”, ɨ chõchɨ̃ Pablo, ɨ que mbia paama ɨ Pablo je ra. 
ACT.17.8	Mbia ataque eandu mose que paama ɨ ra. Ererecua abe que paama ɨ ra. 
ACT.17.9	Ererecua que mbae isiquia isi Jasón sɨ ra. Jasón ndesenda sɨ abe. —Uremeembe ra jẽje Pablo choɨ mose, ɨ que ererecua ee ra. Ererecua que huɨ ja esɨ cote ra.
ACT.17.10	Jesús ɨcuasa que Pablo mondochoɨ jeɨ Berea ra. Silas rese. Aque isa mose beɨ. Ngasẽ ngue Berea ra. Nyoɨ que judíos chumunuasa cote ra. 
ACT.17.11	Judíos Berea jenda que earacua ra. Tesalónica jenda sɨ. Berea jenda quiatu que Dios cheẽ ñanduse rete ra. Berea jenda que embesa ji tea jeɨ jeɨ ra. —Ma Pablo ñee Dios cheẽ nduɨ sɨ, ɨ que nyue ra. 
ACT.17.12	Nyebe que mbia tubɨrɨã Jesús ɨcua ra. Griegos tubɨrɨã abe que Jesús ɨcua ra. Griegos ninisi abe. Mbia chɨɨcua rei griego s ninisi. 
ACT.17.13	Pablo que Dios cheẽ senei senei Berea jenda je ra. Judíos Tesalónica jenda que jirandu ra. Jirandure que echoɨ Beréaa mbia mbɨɨcuã ɨcuã Pablo je ra. 
ACT.17.14	Jesús ɨcuasa que Pablo mondo ama ndɨsha quiti ra. Silas que siquichõ Beréaa ra. Timoteo rese. 
ACT.17.15	Ae Pablo curuchoɨ, ũquɨ̃ ngue tiba esɨ ra. Atenas, ɨ que sucha tubɨrɨã je ra. —A ureɨco nyebi a, ɨ que Pablo je ra. Echebi mose que Pablo ñee ee ra. —Silas jembu jeɨ seje. Timoteo rese, ɨ que Pablo ee ra.
ACT.17.16	Pablo que siqui Silas raarõ arõ Atenas nda. Timoteo abe raarõ arõ. Dios abareã tubɨrɨã ngue huee ra. Ũquɨ̃ ndese quiatu que mbia riqui oo tuchɨ ra. Pablo que mae ɨcuã ũquɨ̃ ndese ra. Pablo que paama ite mbia rese mae nda. Mbia Dios abareã nderequia requia mose. 
ACT.17.17	Nyebe Pablo oso oso beɨ nguiã judíos chumunuasa. Ñee ñee tuchɨ hue jenda je. Judíos eã je abe ñee ñee tuchɨ hue jenda mbia je. Dios ɨcuasa je. Plázaa abe que Pablo riqui ñee ñee tuchɨ mbia je ra. 
ACT.17.18	Epicúreos resenda mo ngue ngaẽ ñee tuchɨ Pablo je ra. Estoicos resenda mo abe que ngaẽ ñee Pablo je ra. —¿Mbae ɨchõte Pablo quia nande je re? Echeẽse rete eriqui reae, ɨ que emo emo nda. —Dios mo nɨɨ eriqui ñee ñee nande je reae, ɨ que emo emo nda. Pablo ñee ñee mose Jesús rɨɨ̃. Pablo Jesús quera renei nenei mose. 
ACT.17.19	Mbia que Pablo curuchoɨ ibi ato mo cote ra. Huee que ererecua riqui ñumunua nua mbeɨ ra. Ñee ngue Pablo je cote ra. —¿Mbae rɨɨ̃ ereɨco ñee ure je re? Embuchecua ure je. 
ACT.17.20	Ã ngue urechanuate quia ra. Ndecheẽ embuchecua ure je. ¿Mbae ere quia re? ɨ que mbia Pablo j e ra. 
ACT.17.21	Atenas jenda mɨngo uquia reã mbae mo ndese. Ae siqui Atenas jenda rese, ũquɨ̃ abe mɨngo uquia reã mbae mo ndese. Echeemo andu andu beɨ. Echeemo ndese beɨ.
ACT.17.22	Nyebe que Pablo juã mbia ite re ra. Ibi ato. Ñe e ngue mbia je cote ra. —Tacheẽ jẽje, Atenas jenda. Dios ata rete rese jẽɨngo reae. 
ACT.17.23	Secuatasa que amae mae dios tubɨrɨã jembae rese ra. Emo ndese que amae nda. “Co Dios mbia mae sayã”, jenye que embesa mɨ nda. Ae je jẽɨngo ñee ñee ũquɨ̃. Jemae sayã ndaque. Ae rɨɨ̃ aɨco ñe e jẽje co. 
ACT.17.24	Co Dios que ibi chao ra. Mbae ao ja. Ae rei mbae rerecua. Ibi rɨɨnda rerecua. Ibei jenda abe rerecua. Dios siquíã ño nguiã tuchuaqui re mbia chɨao. 
ACT.17.25	—¿Aba ra mbae chao seje re? ɨ eã ngue Dios quia ra. Ae quiarei mbae meesa. Nandembuquiarusa rei ae. Nande mɨngosa rei ae. 
ACT.17.26	Mbia mɨɨ ngue Dios chao ra. Aque rei mbia i ja aque. Emo eã ño nandeɨco nguiã ã. Nande ja chõ nandeɨco nguiã ã. Dios rei nandeaosa. Nyebe Dios mbae rerecua ja. —Co ra nyeacuquia co mose. Co ra mano co mose, ɨ beɨ que Dios quia ra. Mbia recuarã ngue Dios mee mee mbia je ra. 
ACT.17.27	Dios que mbia mɨngo ibi rɨ̃ nda. Ɨ̃ nda mbia Dios requia. Ɨ̃ nda mbia Dios ɨcua. Ɨsho eãte Dios riqui a. Nande ja jii eriqui a. 
ACT.17.28	Dios rɨɨ̃ ae nandeɨco nguiã. Erɨɨ̃ ae nandeɨco nguiã ngata. Jemo abe que ñee nda. “Dios riirĩ ño nandeɨco ja nguiã ã”, ɨ que jemo nda. 
ACT.17.29	Ae beɨ chõ nandeɨco nguiã ã. Dios riirĩ. “Dios” nandechɨ̃ nguiã mbia chɨao je. Oro ao ji je. Plata ao ji je. Sɨta ao ji je. 
ACT.17.30	Dios que mbia ɨcuã teachõ cose ra. Mbia aquiatuã mose. Namo ño Dios riqui nguiã ñee mbia je co. “Jẽhuɨ chõ jẽɨcuã sɨ”, ɨ Dios quia mbia jaje co. 
ACT.17.31	Dios que Jesucristo irabo ra. Jesucristo turã mbeɨ. Jesucristo ra ñee emo je. “Jẽso tata cuasu”, ɨ ra ee. “Jẽso ibate”, ɨ ra emo je no. Manose chõ nda ñee. Dios mɨɨ ño eɨcua nguiã. Dios que Jesucristo mbuquera sɨ manonde ra. Nyebe ra Jesucristo emo mondo ibate. Emo mondo tata cuasu no. 
ACT.17.32	—Jesucristo que quera sɨ manonde ra, ɨ que Pablo ee ra. Mbia que ɨquia ɨquia chõchɨ̃ nguiã Pablo cheẽ mose. Emo emo ngue ñee ee ra. —Emo mose quiatu ra ndecheẽ urechandu, ɨ que eataque ra. 
ACT.17.33	Pablo que oso mbia recha cote ra. 
ACT.17.34	Emo emo ngue siqui eruɨ ra. Ae Jesús cheẽ isi turã, ũquɨ̃ ngue siqui beɨ eruɨ ra. Dionisio, ɨ que ũquɨ̃ mo je ra. Ae rei mbia rerecua mo. Dámaris, ɨ que cuña mo je ra. Emo emo abe que siqui Pablo ruɨ ra.
ACT.18.1	Pablo que oso Atenas ndecha cote ra. Ngasẽ ngue sucha tubɨrɨã mo cote ra. Corinto, ɨ que hue je ra. 
ACT.18.2	Hue que judío mo ndiqui ee ra. Aquila, ɨ que ee ra. Ponto jenda que ae ra. Priscila, ɨ que eninisi je ra. Ũquɨ̃ ngue ngaẽ namo Italia sɨ ra. Italia recha ramo. Claudio judíos mombo ja mose Roma sɨ. Pablo que oso Aquila chuchua ra. 
ACT.18.3	Pablo que tuchua saã saã nguia mbae ɨre je ra. Eɨ̃ ngue Aquila no nda. Tuchua raã naa mbeɨ mbae ɨre je. Nyebe Pablo siquichõ nguiã erese. Quieɨ quieɨ erese. 
ACT.18.4	Sábado mose que Pablo riqui oso oso judíos chumunuasa ra. Hue que eriqui beɨ Dios cheẽ nenei nenei judíos je ra. Judíos eã je abe no.
ACT.18.5	Silas que ngasẽ Macedonia sɨ cote ra. Timoteo rese. Pablo que Dios cheẽ senei senei tuchɨ quia judíos je cote ra. Jesús mbuchecua checua tuchɨ ee. —Jesús rei Cristo. Ae jẽsaarõ arõ mbeɨt e quia, aque rei Jesús, ɨ tuchɨ que Pablo ee ra. 
ACT.18.6	Judíos que paama ɨ Pablo je cote ra. Ñee ɨcuã ɨcuã tuchɨ que ee ra. Nyebe Pablo huɨɨrao mbaaba aba ee. Taso jendecha, ɨ ñene. —“Aemɨngo beɨ ra se”, ɨ rei Dios nande je. Jẽ nguiarei Dios cheẽ isi sereã tuchɨ. “¿Mbaerã Dios cheẽ eresenei eã ure je re?” jenyechɨ̃ nda seje. ¡Dios cheẽ ngue asenei tuchɨ rei jẽje ra jẽ! Nyebe taendecha. Judíos eã je Dios cheẽ tasenei senei cote, ɨ que Pablo huɨɨrao mbaaba aba ee ra. 
ACT.18.7	Pablo que oso judíos recha cote ra. Judíos chumunuasa jii esɨ. Justo chuchúaa. Judío eã ndei Justo. Dios quiato que Justo ra. 
ACT.18.8	Crispo que judíos chumunuasa rerecua ra. Aque que Jesús ɨcua cote ra. Echuchua jenda ja abe que Jesús ɨcua cote ra. Corinto jenda tubɨrɨã ngue Dios cheẽ ñandu ra. Mbia tubɨrɨã ngue Jesús ɨcua cote ra. Bautizar ɨ que cote ra. 
ACT.18.9	Itondaru mo ngue Pablo Jesús rea ra. Ñee ngue Pablo je cuu ra. —Eresiquichechɨ̃ nda mbia sɨ jẽ. Secheẽ esenei senei mbeɨ. Erehuɨchɨ̃ nda esɨ jẽ. 
ACT.18.10	Co aɨco nderea quiatu co. Mbae ɨcuã nda ɨ̃ eã ndeje. Secheẽ esenei senei mbeɨ. A jenda ra seɨcua ja jiri cote, ɨ que Jesús Pablo je cuu ra. 
ACT.18.11	Pablo que siqui arete Corinto ra. Un año ndobeɨchõ jiri que eriqui huee ra. Mbia mbaaquiatu quiatu beɨ Dios rɨɨ̃.
ACT.18.12	Galión ngue Acayo jenda rerecua ra. Aque mose que judíos ñɨmbɨɨcuã tuchɨ Pablo je ra. Oo que erese ra. Curuchoɨ que nguerecua je ra. 
ACT.18.13	Judíos que ñee ererecua je ra.
ACT.18.13	—Pablo que mbia mbaaquiatu ɨcuã ɨcuã nguia ra. Dios rɨɨ̃. Nandererecua cheẽ nduɨ eã, ɨ que judíos ra. 
ACT.18.14	Pablo nda ñee nguiã ña. Ererecua Galión nane nguia ñee nguiã esɨ. Ñee judíos je. —Mbae ɨcuã ndese que Pablo riqui ãte. Eɨ̃ nguia nda jeñee achandu nguiã ña. 
ACT.18.15	Mbae ɨcuã ngue esaã eãte. Pablo cheẽ je chõ jẽɨngo nguiã paama ɨ. Judíos cheẽ nɨɨ ño jẽɨngo nguiã paama ɨ Pablo je. Nyebe ra jeñee achanua. Jẽ ae jeñee turã jenyue ae, ɨ que Galión judíos je ra. 
ACT.18.16	Mombo ja que uchuchua sɨ cote ra. 
ACT.18.17	Sóstenes, ɨ que judíos chumunua nuasa rerecua je ra. Judíos eã ngue paama ɨ Sóstenes je ra. Isi ɨcuã ngue ra. Iruã nua tuchɨ que ra. Ererecua Galión ndésaa que eiruã nua nda. Ererecua que teachõ nda.
ACT.18.18	Pablo que siqui atate Coríntoo ra. —Co acua quia jendecha co, ɨ que uataque je cote ra. Jesús quiato je. Aquila abe que oso erese ra. Priscila abe no. Ngasẽ ngue ama nimíaa nda. Such a tubɨrɨã. Cencrea, ɨ que hue sucha tubɨrɨã je ra. Pablo que ua chisia cote ra. —Acheẽ ngue Dios je, aque que amumbayã nda, ɨ que ua sia cote ra. Siria ɨcha ruɨ que echoɨ cote ra. Ama ndɨsha ɨcoɨ tuchɨ ruɨ. 
ACT.18.19	Sucha tubɨrɨã je que ngasẽ cote ra. Efeso, ɨ que sucha tubɨrɨã je ra. Aquila que siquichõ eresebe huee ra. Priscila, ɨ que eninisi je ra. Pablo que oso judío s chumunuásaa ra. Ñee ñee tuchɨ que judíos je ra. 
ACT.18.20	—Eɨco are jiri aa, ɨ rei que judíos ee ra. Pablo que echeẽ mumba beɨ oso ra. 
ACT.18.21	—Taso Jerusalén. Mbia chumunua mose taɨco rã Jerusalén. Achube ra mae jendese. Dios sembu mose ra achube mae jendese, ɨ que Pablo ra. Oso que Efeso sɨ cote ra. Ama ndɨsha ruɨ beɨ que echoɨ ra. 
ACT.18.22	Ngasẽ ngue Cesaréaa ra. Hue sɨ que Pablo sɨ Jerusalén cote ra. Hue jenda rese que mae nda. Jesús quiato. Hue sɨ que esɨ Antioquíaa ra. 
ACT.18.23	Siqui arete que Antioquíaa ra. Oso que Galacia cote ra. Frigia abe no. Sucha tubɨrɨã ngue embuchesea sea tuchɨ quia hue jenda ra. Jesús quiato mundua ndua hue jenda.
ACT.18.24	Aque mose que judío mo ngasẽ huee ra. Efésoo. Apolos, ɨ que ee ra. Alejandría jenda que ae ra. Dios cheẽ nenei neneisa tuchɨ mbia je. Dios cheẽ ɨcuasa tuchɨ. 
ACT.18.25	Apolos que Dios ɨcha ɨcuate ra. Mbia que embaaquiatu quiatu turã tuchɨ quia ra. Mbia mbaaquiatu turã Jesús rɨɨ̃. Juan Bautista cheẽ achõ ngue eɨcua quia ra. Juan bautizar ɨ mose mbia je. 
ACT.18.26	Apolos siquicheã tuchɨ que eriqui mbia mbaaquiatu quiatu ra. Judíos chumunuásaa. Aquil a que echandu ra. Priscila rese. Nyebe que ũquɨ̃ Apolos rerao mbaaquiatu quiatu tuchɨ ra. Dios ɨcha que embuchecua tuchɨ ee ra. 
ACT.18.27	Apolos que osose Acáyaa ra. Nyebe Jesús quiato emondo turã. Papel que embesa Acaya jenda je ra. Jesús quiato je Acaya jenda je. —Apolos jẽisi turã, ɨ ee. Apolos que ngasẽ cote ra. Ae Jesús ɨcua quia, ũquɨ̃ mbaaquiatu quiatu tuchɨ. 
ACT.18.28	Apolos que judíos cheẽ siquisã tuchɨ ra. Judíos mbia mbaaquiatu chooño mose. Jesús rɨɨ̃ eã. Nyebe Apolos echeẽ ndiquisã. Dios cheẽ ngue esenei senei nguia ee ra. —Jesús rei Cristo. Ae jẽsaarõ arõ nguia, aque rei Jesús ɨ tuchɨ que Dios cheẽ nenei ee ra.
ACT.19.1	Sɨta ibate bate ite rɨ̃ ngue Pablo sɨ ra. Ngasẽ ngue Efeso cote ra. Apolos siqui mose Corinto. Jesús quiato mo je que Pablo ngasẽ Efésoo ra. 
ACT.19.2	Pablo que ñee ee ra. —Jẽ Jesús isi mose, ¿Espíritu Turã abe ɨque jeñɨangui re re? ɨ que Pablo ee ra. —Espíritu Turã ndese ureiranuate, ɨ que mbia Pablo je ra. 
ACT.19.3	Pablo que ñee ee ra. —¿Mbae rɨɨ̃ bautizar ɨ jẽje re? ɨ que ra. —Juan ñee nɨɨ ngue bautizar ɨ ure je ra, ɨ que Pablo je cote ra. 
ACT.19.4	Pablo que ñee ee ra. —Juan ngue bautizar ɨ mbia je ra. Mbia huɨ mose huɨɨcuã sɨ. “Ae ra tu seruɨ, aque jẽɨcua jẽ. Jesucristo chõ aque re”, ɨ que Juan nda, ɨ que Pablo ra. 
ACT.19.5	Pablo cheẽ andu mose que bautizar ɨ Jesús rɨɨ̃ cote ra. 
ACT.19.6	Pablo que o chono earõ nda. Espíritu Turã ngue ɨque echɨangui re cote ra. Ucheemo ngue esaã saã nguia cote ra. Dios cheẽ ngue embuchecua checua quia mbia je cote ra. 
ACT.19.7	Doce que ũquɨ̃ nda. Jesús quiato.
ACT.19.8	Pablo que oso oso quia judíos chumunuasa ra. Tres meses. Siquicheã tuchɨ que equia Dios cheẽ nenei nenei nda. —Ererecua tuchɨ quiarei Dios. Jesús jẽɨcua rã, ɨ que Pablo quia mbia je ra. 
ACT.19.9	Emo emo ngue Pablo cheẽ ñandu sereã nda. Echeẽ mumba mumba. Jesús rɨɨ̃ ñee ɨcuã ɨcuã mbeɨ mbia ja je. Nyebe Pablo nyao nguiã esɨ. Pablo que Jesús quiato curuchoɨ esɨ ra. Curuchoɨ que Tiranno chuchúaa ra. Huee que eriqui embaaquiatu quiatu cote ra. 
ACT.19.10	Dos años ngue Pablo riqui huee ra. Nyebe mbia Asia jenda jirandu ja nguiã Jesús rese. Judíos jirandu ja erese. Judíos eã abe no.
ACT.19.11	Pablo que mbae saã saã tuchɨ quia Dios quirãcuã je ra. Mbia mae sayã ngue esaã saã nguia ra. 
ACT.19.12	Mbia rasi mbucherõ sacuã ngue mbia riqui tiru mbucha mbucha Pablo rese ra. Ũquɨ̃ tiru que ecuruchoɨ choɨ quia mbia rasi je cote ra. Ũquɨ̃ tiru ruruchoɨ mose, mbia rasi que nyerõ nyerõ nguia cote ra. Aba checuayã ɨcuã abe que usẽ usẽ nguia mbia chɨã sɨ cote ra. 
ACT.19.13	Judíos mo ngue ngata beɨte quia ra. Sucha tubɨrɨã mbuchesea sea beɨ que equia ra. —Aba checuayã ɨcuã mbusẽ aquiatute que ure ra, ɨ que equia ra. —Jesús rɨɨ̃ aba checuayã ɨcuã nandembusẽ, ɨ rei que nyue ra. Nyebe que ñee aba checuayã ɨcuã mo je ra. —Jesús quirãcuã nɨɨ aɨco jembusẽ mbia sɨ co. Ae Pablo senei senei nguia, ɨ rei que judíos aba checuayã ɨcuã je ra. 
ACT.19.14	Sacerdote rerecua riirĩ abe que eɨ̃ sɨ ra. Siete eriirĩ. Esceva, ɨ que sacerdote rerecua je ra. Judío que ae ra. Ae riirĩ ngue eɨ̃ sɨ rei no nda. 
ACT.19.15	Ũquɨ̃ ngue ñee ndei aba checuayã ɨcuã je ra. Aba checuayã ɨcuã ngue echeẽ mumba ra. —Jesús aɨcua. Pablo abe aɨcua. ¿Aba chõ jẽ nde? Jaẽɨcuayãte se, ɨ que aba checuayã ɨcuã nda. 
ACT.19.16	Aba checuayã nyɨreco que oo erese cote ra. Ucua ucua tuchɨ que ũquɨ̃ ja rese cote ra. Ũquɨ̃ siete rese. Aba checuayã ɨcuã nyɨreco quirãcuã tuchɨ que esɨ ra. Aba checuayã nyɨreco que ũquɨ̃ mbasi ja ra. Nyebe ũquɨ̃ ndasi rasi uchã aba checuayã ɨcuã sɨ. Eɨrao eã ngu e nyoɨ uchã itaicuee rɨ̃ nda. 
ACT.19.17	Efeso, ɨ que hue sucha tubɨrɨã je ra. Hue jenda que jirandu ja erese ra. Judíos que jirandu ja erese ra. Judíos eã abe no. Nyebe hue jenda siquiche ja. Nyebe mbia ñee turã turã jate Jesús rɨɨ̃. 
ACT.19.18	Jesús quiato mo ngue ngaẽ ngaẽ nguia ra. Eya eãte que huɨɨcuã ndese ra. Nyebe huɨɨcuã nenei nenei. 
ACT.19.19	Mbia tubɨrɨã ngue mbae ɨcuã papel mbesa ji curucuaẽ nda. Libros de brujería. Munua ja que huee ra. Ũquɨ̃ ngue esei sei mbia ja résaa cote ra. Mba e isiquia ata tuchɨ raque que ũquɨ̃ libros isiquia ra. Cincuenta mil plata. 
ACT.19.20	Mbia tubɨrɨã ngue Dios cheẽ isi isi quia ra. Dios cheẽ ɨrãtãte que mbia tea quia cote ra.
ACT.19.21	Aquere que Pablo ñee nda. —Taso Macedonia. Acaya abe. Aquere ra aso Jerusalén cote. Jerusalén osore ra aso Roma cote, ɨ que ra. 
ACT.19.22	Nguesenda nyeremo ngue emondo Macedonia nda. Timoteo. Erasto rese. Pablo que siquichõ are jiri huee ra. Asia.
ACT.19.23	Aque mose que mbia paama ɨ tuchɨ Jesús rɨɨ̃ nda. 
ACT.19.24	Demetrio quia rei mbia mbɨɨcuã ɨcuã nyii. Dios mbuae chuchua que esaã saã nguia ra. Mbae rendi ãtã je que eriqui sucha ñetẽ naa naa nda. Sucha ñetẽ tubɨrɨã ngue esaã saã nguia ra. Dios mbuae chuchuarã. Diana, ɨ que Dios mbuae je ra. Demetrio que mbae isi tuchɨ quia sucha ñetẽ ndɨbɨshorõ nda. Eresenda tubɨrɨãte que sucha ñetẽ naa naasa ra. 
ACT.19.25	Nguesenda ja que emunua nda. Dios mbuae chuchua raãsa que emunua ja ra. Ñee ngue ee ra. —Mbae nandeisi turãte rei nguiã nandechɨao rɨbɨshorõ ã. 
ACT.19.26	Pablo riqui ñee ñee mbia je co. “Dios mbuae mbia chɨao rei eɨcuãte”, ɨ Pablo quia co. Mbia riqui echeẽ mumbayãte ã. A jendachõ eã ñene. Efeso mɨɨ eã ñene. Asia jenda abe eriqui echeẽ andu ã. 
ACT.19.27	Ũquɨ̃ ɨcuãte nande je. Nandechɨao ra mbia isi isiã ñochɨ̃ cote re. Mbia ra huɨ ja chõchɨ̃ Diana chuchua sɨ cote re. Diana abe sɨ ra mbia huɨ chõchɨ̃ nde. Nandererecua tuchɨ que Diana. Mbia chɨɨcua tuchɨ que ae. Asia jenda chɨɨcua tuchɨ que ae. ¡Mbia ra huɨ chõchɨ̃ esɨ jẽ! ɨ que Demetrio ra.
ACT.19.28	Demetrio resenda echeẽ andu mose que paama ɨte ra. —¡Diana quirãcuãte jẽ! ¡Efeso jenda rerecua quirãcuãte jẽ! ɨ tuchɨ que mbia tasẽ tasẽ nda. 
ACT.19.29	Hue jenda que paama ɨ ja ra. Pare pare ɨ tuchɨ. Pablo resenda nyeremo ngue eisi ra. Gayo. Aristarco rese. Macedonia jenda. Ũquɨ̃ nyeremo ngue ecuruchoɨ mbia chumunuásaa ra. 
ACT.19.30	—Taɨque se abe. Tacheẽ ñee mbia je, ɨ rei que Pablo ra. Jesús quiato que Pablo siquisã nda. 
ACT.19.31	Asia jenda rerecua mo abe que ucheẽ mondo Pablo je ra. —¡Ereɨquechɨ̃ nda nde jẽ! ɨ Pablo je. Pablo quiato que ũquɨ̃ nda. 
ACT.19.32	Mbia que pare pare ɨ tuchɨ ra. Tasẽ tasẽ ja que ra. Hue rɨ̃ ja mbia ndua eãte. Mbae mɨɨ ndese ndua eã. Paama ɨ chooño ja. Eaquiatuã ño ñumunua ñooño nguiã. 
ACT.19.33	Mbia mo ngue mbae senei senei ja Alejandro je ra. Judíos que Alejandro mua mbia ite re cote ra. —Echeẽ mbia ja je, ɨ que ee ra. Alejandro que o mee mbia je ra. —¡Jẽquɨrɨrɨ chõ jẽ! ɨ rei ngue ee re. —Mbia je tacheẽ. Ɨ̃ nda paama ɨã judíos je, ɨ rei ngue re. 
ACT.19.34	—Judío chõ Alejandro riqui re, ɨ ja que mbia ra. Nyebe mbia riqui tasẽ tasẽ mbeɨte re. Dos horas. —¡Diana quirãcuãte jẽ! ¡Efeso jenda rerecua quirãcuãte jẽ! ɨ tuchɨ que mbia tasẽ tasẽ nda. 
ACT.19.35	Secretario rei ererecua mo. Aque que mbia cheẽ siquisã cote ra. Ñee ngue ee cote ra. —Tacheẽ jẽje, Efeso jenda. Efeso jenda chõ nande re. Diana ndei nandererecua. Nande rei Diana ndaarõsa. Diana naanguia ngue tu ibei sɨ, aque raarõsa chõ nande re. Diana chuchua raarõsa abe chõ nande re. Mbia jirandu jate ũquɨ̃ ndese. 
