GEN.1.4	Tsî Elob ge ge mû, ǃnâb a ǃgâi ǃkhaisa; tsî Elob ge ǀgorasa ǃnâb tsî ǃkhaenab tsîkha ǁaegu ge dī.
ISA.8.5	Tsî ǃKhūb ge ǃaruǀî tita ǃoa ge mî:
ISA.8.7	ǁNā-amaga mû, ob ge ǃKhūba ǁîna nîra hāǂam kai ǁnā ǀgaisa tsî ǁgarisa ǁgamgu ǃāb diga, Asiriab di gao-aob tsî ǁîb di ǂkhaisib tsîkha. Ob ge ǁîb di ǃarogu hoaga nîra dâuǂam, tsî amǃgâkha âb hoakha nîra ǃnā.
ISA.8.11	Nētib ge ǃKhūba tita ǁga ge mî, ǀgaisa ǃommi ǀkha, tsî ǁîb ge tita ge ǁgau, nē ǁaes di daob ai ta ǃgû tide ǃkhaisa, mî raǃâ:
ISA.8.12	Sadu ge: ǃGaeǀhaosen-i ge nē-e ti mî tide. Nē ǁaes ra mâ ǃkhai-i hoa-i xa: ǃGaeǀhaosen-i ge nē-e ti mî, xawe ǁîn di ǃaoba tā ǃao î du tā ǃhuri.
ISA.8.15	Tsî ǂguin ân ge ǃnôa tsî nîra ǁnā, tsî khôahe tsî nîra tamisen, tsî nîra ǃkhōhe.
ISA.8.17	ǁNā-amaga ta ge ǃKhūb, ais âba Jakob di ommi aiǃâ ra gaugauba nî ǃâu. Ā, ǁîba ta ge nî ǃâu.
ISA.8.20	ǂHanub tsî ǀhûǀguitimîs tsîra ǃoa! Nē mîs ǃoan ga ǃhoa tama io, o i ge nîra ī ǁgoaǂnobo-en ūhâ tide ǃkhaisa.
ISA.9.4	ǃKhammi ǁnān hîa ra ǃkhamn dib hoab ge ǀōb ǀkha hā ǃnubai, tsî saran ge ǀaob ǃnâ ǂgomhe tsî khauǃkhūhe ǃnubai ǀaes di ǂûxūse.
ISA.9.7	ǃKhūb ge mî-e ge sî Jakob ǃnâ, tsî i ge Israeli ǃnâ ge ǁnā.
ISA.9.8	Tsî nē ǁaes hoas ge ǁî ǃkhaisa nîra hōǃâ, Efraimmi tsî Samarias di ǁansaben tsîna, on ge ǃgurib tsî kaisib ǂgaob dib ǃnâ ǃhoa tsî:
ISA.9.9	ǂGoaǀuidi ge ge ǁnā ti nî mî, xawe da ge ǁhāǂhauǂhauhe hâ ǀuidi ǀkha ǁîde ǁkhawa nî ǂnubi; ǀgopehaidi ge ge ǁhāǁnâhe, xawe da ge ǁîde sederhaidi ǀkha nî ǃkhōǃkhuni.
ISA.9.10	ǃKhūb ge Resinni di mâǃoasabena ǁîb ǃoagu nîra ǀgapiǀgapi, tsî khākhoen âba nîra khâikhâiǃnâ.
ISA.9.12	Nē ǁaes ge ǁnāb ǁîna ra ǂnaubǀî ǂnan tama hâ xui-ao, tsî ǃKhūb ǂnubidi diban ôa tama hâ xui-ao.
ISA.9.14	Kairagu tsî ǀgapiǃgôasagu, ǁîgu ge a dana, xawe ǁnā kēbo-aob, hîa ǂkhabase ge ǁkhāǁkhāb, ǁîb ge a ǂare.
ISA.9.15	ǂGaeǂgui-aogu nē ǁaes digu ge a ǂgaeǂhapu-ao xui-ao, tsî ǁîgu xa ra ǂgaeǂguihen, ǁîn ra ǂgaeǂhapuhe.
ISA.9.17	Eloxoresasib ra ǀaes axase khau xui-ao, ǁkhūn tsî ǀgamin tsînab nîra hapu tsîb ǁoes di ǂgapuǃnâgu hâ haide nîra ǂhubi, ǀanni ra ǃapa khami di nî ǃapas kōse.
ISA.9.18	ǁAixasib ǂnubidi di ǃKhūb dib xab ge ǃhūba nîra ǃkhaeǃkhaehe xui-ao, tsî ǁaes ge ǀaes di ǂûse nîra ī; nēb ge nauba sâu tide.
ISA.9.19	Tsî ǀguib ga amǀkhāb ai ǃgao xaweb ge nîra ǃâ; tsî ǁareǀkhāb aib ga ǂû xaweb ge ǁâ tide; mâb hoab nî ǁôab âb di ǁgansa ǂû:
ISA.10.1	Tsūba ǁnān, ǂkhaba ǂnûiǂgāde ra ǂnûiǂgāna, ǁnā xoa-aon, tsūǃōna ra xoabana,
ISA.10.2	ǀgâsanan nî ǂhanuba xu ūdawase, tsî ǀkhomǀkhomsaben ti ǁaes din di ǂhanuban nî ǀâǀhanase, î di ǃoatarade ǁîn di ǁkhâuǁnâ kai, în ǃoaǀgôana ǂkhôa ǁkhā ti.
ISA.10.3	Xawe tare-e du nî dī, ôaǃnâs tsî hîǀhurus ǃnūseba xu ra hās di tsēs ai? Tari-i ǃoa du nî ǁhâ huib ǃaroma? Tsî mapa du nî sadu di ǂkhaisiba ǁnāxū?
ISA.10.5	Tsūba, ǁnā Asiriaǁîb, ti ǁaib di ǂnauhaiba, tsî ti ǁgôasib ge ǁîb ǃomǁae a hai.
ISA.10.6	Tita ge ǁîba nî sî ǁgauoǃnâ-i ǃoa, tsî tita ge ǁîba nî mîmā ti ǁgôasib di ǁaes ǃoagu, ǀâǀhana, îb ǁkhâuǁnâ, îb ǁîna dāǂkhūxūse ǂnûi daogu di ǂgoab khami.
ISA.10.8	Nētib ra mî xui-ao: Ti gaosabega hoatsama gao-ao tamaga?
ISA.10.9	Kalnosa Karkemis khami ī tamas hâ? Hamatsa Arpads khami ī tamas hâ, tsî Samariasa Damaskus khami ī tamas hâ?
ISA.10.11	tita ge Samarias tsî ǁîs di ǁgôa-eloga dī-ū khami ta kha ǁnâi Jerusalems tsî ǁgôa-elogu âsa dī-ū tide?
ISA.10.13	Nētib ra mî xui-ao: ǀGaib ti ǃommi dib ǀkha ta ge ǁî ǃkhaisa ge dī, tsî ti gā-aisib ǀkha, ǁnâuǃāxa ta a xui-ao. Tsî tita ge ǀkharigu ǁaedi diga ge ūbē, tsî ūn hâ xūna ge ǃnari; tsî ǀgaisa khoese ǁansabena ge ǂhāǁnâ.
ISA.10.14	Tsî ti ǃommi ge ǁaedi ūhâ ǃkhūsiga ani-oms khami ge hō, tsî ta ge ǃhūbaib hoab dina ge ǁkharoǀhaobasen; sats khoets ra ǃupun, hîa ǁnāxūhe hâna sāǀhaobasen khami, tsî khoe-i xare-i ǁgaboba gongon tsî amsa khowa tsî ra ā-i ge ǀkhai ge i.
ISA.10.16	ǁNā-amagab ge ǃKhūb ǂnubidi di ǃKhūba ǁîb di kausan ǃnâ ǂgabasa-e nîra sî, tsî ǁîb di ǂkhaisib ǃnâb ge ǀae-e nîra khau, ǀaes di khauǃkhūb khami.
ISA.10.18	ǁKhātib ge ǁîba ǂkhaisib ǁîb di ǁoes tsî ǁîb di ǂûtanixa ǃaub diba nîra hapu, ǀomsa xu ǁgans kōse; ob ge ǁnāb ǃkhau rab ge tsanaǁkhui khami nîra ī.
ISA.10.19	Os ge ǀgaus ǃgau ge hâ i haidi ǁoes disa nîra ǀoro, ā, ǀgôarob ge ǁîde nîra xoamâi ǁkhā.
ISA.10.20	Tsî i ge ǁnātsē nîra ī, ǃgau gen Israeli din tsî ûi gen Jakob ommi din, ǃaruǀî ǁnāb ǁîna ge ǂnaub ai ǂgomǃgâ tama i, tsî nî ǃKhūb Israeli di ǃAnub ai ǂhauǃnâse ǂgomǃgâ ǃkhaisa.
ISA.10.21	ǃGau gen ge nîra ǃhoba, ǃgau gen Jakob dina, ǀgaisa Elob ǃoa.
ISA.10.24	ǁNā-amagab ra ǃKhūb ǂnubidi diba nēti mî: Tā ǃao ti ǁaese, sadu Sions tawa ǁan hâdo, Asiriaǁîn ga ǀhamhaib ǀkha sado ǂnauo, tsî ǀkharub âbab ga sadu ǂama ūkhâio, Egipteǁîn di dommi ai.
ISA.10.25	ǂKhari ǁaerob kōse ǀgui ob ge ǁgôasiba nîra ǀoa, ob ge ǁaib âtaba ǁîn di hîkākāsǀî nîra ī xui-ao.
ISA.10.27	Tsî i ge ǁnā tsēs ǁkhās ai nîra ī, ǃgommi âb nî sadu di ǃhōga xu ǁgôa ǃkhaisa, tsî ǃnaob âb sadu di ǃaoba xu; ob ge ǃnaoba nîra hîkākāhe ǂkhauǀkhāsabeb ǃaroma.
ISA.10.28	ǁÎb ra hā Ajas tawa; ǁîb ra ǃgûǃkharu Migrons ǁga; Mixmas tawab ra xūn âba ǁgui.
ISA.10.29	ǁÎn ra daosa ǃgûǃganu, Gebas tawan ra hâǁgoa, Ramas ra ǀkhū, Gibea-Sauls ra ǃhū.
ISA.10.30	ǃGarise ǃau dommi âs ǀkha, Galimmi ôase! An ǁîba ǁnâu Lais kōse, ǀkhomǀkhomsa Anatotse!
ISA.10.31	Madmenas ra ǁhâ; Gebims di ǁansaben ra sâusenǃkhai-e ôa.
ISA.10.32	ǀGui tsēs ǀguisab ra hâ Nobs tawa; ǁîb ge ǃommi âba nîra gongon ǃhommi Sions ôas dibǀî, Jerusalems di ǃnomsǀî.
ISA.10.33	Xawe kō, ǃKhūb ǂnubidi di ǃKhūb ge ǀgaib ǀkha ǂgonaga nîra ǁhāǁnâ, ǁnā ǀgapi īsiga ūhâ gu, ǁîgu nîra ǁhāǁnâhe tsî ǃguriǂgaoxagu, ǁîgu nîra ǃgamǃgamhe.
ISA.10.34	Tsî ǁîb ge ǂgapuǃnâgu hâ haidi haiǀgoms dide nîra ǁhāǂui; tsî Libanonni ge nîra ǁnā ǂKhaisiba xu.
ISA.11.3	Tsî dâb âb ge ǃKhūb ǃaoǃgâb ǃnâ nîra ī, tsîb ge mûra âb ra mû khami ǀgoraǃgâ tide; ǁîb ge ǁkhāti ǂgaera âb ra ǁnâu khami ǂgōǀau tide.
ISA.11.5	ǂHanu-aisib ge ǃgaesenni ǁîb kamanab dib ase nîra ī; ǁkhātib amaba ǃgaesenni ǁîb kamanab dib ase nîra ī xui-ao.
ISA.11.7	Gomas tsî bērs tsîra ge nîra ǃûǀhao, tsî ǂkhamn âra ge nîra ǁgoeǀhao, tsî xammi ge nîra ǀgâǃû gomab khami.
ISA.11.8	Tsî dai ra ǀgôa-i ge nîra ǀhuru ǃgae-i di ās tawa, tsî ǀōǀōhe hâ ǀgôa-i ge ǁî-i di ǃomma basiliskǀaob di ās ǃnâ nîra ǀhōǂgā.
ISA.11.11	Tsî i ge ǁnā tsēs ǁkhās ai nîra ī xui-ao, ǃKhūb ge ǀgamǁî ǃnās ai ǃommi âba nîra ǁgui, ǁkhawab nî ǃgau gena hōbasense ǁîb di ǁaes din, hîa ǃgau nî hân Asiriaba xu tsî Egipteba xu tsî Patroba xu tsî Etiopiaba xu, tsî Elamma xu tsî Sinara xu tsî Hamata xu tsî huri-amma xu xui-ao.
ISA.11.12	Tsî ǁîb ge ǃkhau-e nîra ǃkhā ǁaedi ǃaroma, tsî ǁîb ge doeǁgabēhe hân Israeli dina nîra ǀhaoǀhao; tsî ǀgaruǀgaruhe hân Judab dina nîra ǀhaoǀhao, haka ǀkhâuǀamdi ǃhūbaib dide xu.
ISA.11.14	Xawen ge Filisteǁîn ǃhōs ai nîra ǁkhana huriǂoasǀî; tsîn ge ǀhûpe aiǂoas dina nîra ǀâǀhana. Edommi tsî Moab tsîkha ain ge ǃomgu âna nîra ǁgui, tsî Amonni ôan ge ǁîna nîra ǁnâuǀnam.
ISA.11.15	ǃKhūb ge ǁkhāti ǁhôas Egipteb hurib disa nîra ǀâxare; tsî ǁîb ge ǃommi âba ǃābǃî nîra gongon, ǂoab âb di ǀgaib ǀkha. Tsî ǁîb ge ǁîba nîra ǂnauǃā hû ǃāgu ǃnâ, tsî ǁîb ge nîra dī ǁharodi ǀkhan nîra xanu ǁkhāsa.
ISA.12.1	ǁNā tsēs ǁkhās ai du ge nîra mî: Tita ge ra gangan tsi, ǃKhūtse, ǁaixaǂam tets ge ǃkhaisa tsî ǁaib âts ge oa tsî sats ra ǁkhaeǂgao te ǃkhaisa.
ISA.12.5	Psalmǁnaeba ǃKhūba, ǁîb ge ǂkhaisa xūna gere dī xuige; as ǁî ǃkhaisa ǂansa ǃhūbaib hoaragab ai.
ISA.12.6	ǃGâiaǂgao, îs dâxase ǁnae, sas Sions di ǁansabese, ǃAnub Israeli dib ge sa ǃnâ a kai xuige.
ISA.13.3	Tita ge ti khaihesana mîmāsa ge mā; tita ge ti ǁaib ona ge ǂgai, ti ǁē-aogu ti ǀgapisib ǃnâ ǃgâiaǂgao hâgu tawa.
ISA.13.4	ǃGâ, ǂkhupixa dommi ge ǃhomgu ai hâ, kai ǁaes dib axase. ǃGâ, dommi gaosidi ǂkhupib ǀhû hâ ǁaedi dib axase. ǃKhūb ǂnubidi dib ra toroǂnubisa kōǃgâ.
ISA.13.5	ǁÎn ra hā ǃnū ǃhūba xu, ǀhommi di ǀkhâuǀamsa xu: ǃKhūb tsî sîsenūdan ǁgôasib âb din tsîna ǁnā ǃhūb hoaragaban nî hîkākāse.
ISA.13.7	ǁÎ ǃkhais xa gu ge ǃomgu hoaga nîra ǃopo, tsî khoen hoan di ǂgaogu ge nîra tsuni;
ISA.13.8	tsîn ge nîra ǃhuri; tsûgu tsî ǂōǂōsigu tsîgu xan ge nîra ǃkhōhe; tsîn ge ǁora ra tara-i khami nîra tsû. Mâ-i hoa-i ge ǀgūkhoeb â-i ǂama nîra burugâ, ǁîn di aidi ge ǁhapu ra ai-i xase nîra ī.
ISA.13.9	Mû, tsēs ǃKhūb dis ge ǃgoaxa ǃaoroxase ǁgôasib tsî ǀaexa ǁaib tsîkha ǀkha, ǃhūbaibab nî ǃgaroǃhū kaise, tsî ǁore-aon âbab nî ǁîba xu hîkākāse.
ISA.13.11	Tita ge ǃhūbaiba ǂkhabasib âb ǃaroma nîra ôaǃnâ, tsî eloxoresana ǂhanuoǃnâsib ân ǃaroma. Tsî ta ge ǃgurib ǁgaoǂgaoxan diba nîra ǀû kai tsî ǃguriǂgaoxasib tirangu diba nîra ǃgamǃgam.
ISA.13.13	ǁNā-amaga ta ge tita ǀhomma nîra gongon; ob ge ǃhūbaiba nîra gongonhe, ǃkhais âba xu, ǃKhūb ǂnubidi dib di ǁgôasib xa, tsî ǀaexa ǁaib âb di tsēs xa.
ISA.13.14	Tsî mâ-i hoa-i ge ǃhaexūhe hâ ǁgû-i khami nîra ī, tsî gū-i khoe-i xare-i xa ǀhaoǀhaohe tama-i khami, mâ-i hoa-i ge ǁî-i di ǁaesǀî nîra kōnǃgâ, tsî mâ-i hoa-i ge ǁî-i di ǃhūb ǃoa nîra ǃhū.
ISA.13.15	Hōhe ka-i hoa-i, ǁî-i ge nîra ǃkhāǃganuhe; tsî ǁîna ga ǁaeǁaesen-i hoa-i ge gôab xa nîra ǁnā.
ISA.13.17	Mû, tita ge Medeǁîna ǁîn ǃoagu nîra ǂkhaiǂkhaikhâi, ǁîn hîa ǀhaiǀuriba ǃgôa tama hân tsî ǃhuniǀurib ǃnâ ǃgâiǃgâisen tamana.
ISA.13.20	ǁNāpa i ge ǁanǃkhai-i xare-e hâ tide ǀamos kōse tsîs ge ǁanǃnâhe tide ǃhaosa xu ǃhaos kōse; tsî Arabiaǁîb ge ǁnāpa tentoms âba ǂnaumâi tide, tsî ǃûi-aogu ge ǁnāpa ǁgoe tide.
ISA.13.21	Tsî ǀgurun ǃgaroǃhūb din ge ǁnāpa nîra ǁgoe, tsî omgu ân ge xoxon xa nîra ǀoa; tsî ǁnāpan ge ǀamina nîra ǁan, tsî ǁgâuagu ge ǁnāpa nîra ǂnāma.
ISA.14.3	Tsî i ge ǁnātsē nîra ī, ǃKhūb ga sa tsûba xu sâba mā tsi tsî sa gongonǃnâsa xu tsî ǁnā karosa ǃoabas, hîats ge ǃoaba kaihesa xuo,
ISA.14.4	ǃnubaits ge nē ǂkhoamî-e nî tsoatsoa Babilons di gao-aob ǂama tsî nîra mî: Matisa doeǁga-aob go ǀûsa? Matisa ǃhuniǀuriǃās go ǀûsa?
ISA.14.5	ǃKhūb ge haib eloxoresan diba go khôa, gaosabegu di gaohaisa,
ISA.14.6	ǁnāb, ǁaede ǁgôasib ǃnâ ǀamo ǁnora-ai-i ǀkha ge ǁnorab, ǁaib ǃnâ ge ǀūbeǁaede gaoǂammi, ǁnāb ra ǃgôaǃgonhe, khoe-i xare-i ǁî ǃkhaisa a ǂkhā ǁoas kōse.
ISA.14.9	ǀAmo ǀaeb hîa ǃnaga hâb ge sats ǂama ge gongonǃnâhe; satsab nî ǃoase, hāts geo; ǁîb ra sats ǂama ǁō hâna ǂkhaiǂkhaikhâi, pirin ǃhūbaib din hoana, gao-aogu ǁaedi digu hoagab ra trondi âga xu khâi kai.
ISA.14.10	ǁÎn hoan ge ǃeream tsî nîra mîǀî tsi: Sats on ge go ǀaesen sida khami, sats ge sida ǀkha go ǀguiti-ī.
ISA.14.12	Matits kha ǀhomma xu go ǁnā, ǁgoaǀgamirotse, ǁgoaǂnobos ôatse! Matits kha ǃhūb ai go ǁhāǁguihe sats ǁaedi di danaotse?
ISA.14.13	Tsî ǂgaob âts ǃnâ ge mîtse: Tita ge ǀhommi ǃoa nî ǃapa; tita ge ti tronsa ǀgamirodi Elob dide nî ǀgapiǀgapiǃnâ, tsî tita ge nî ǂnû ǃhommi ǀhûs dib ai, ǀApas di ǀkhāgu ai.
ISA.14.15	Xawets ge satsa ǀamoǀaeb ǃnâ nîra ǂhāǁguihe, āb di ǀkhāga-ū.
ISA.14.16	Satsa ga mûn ge nîra kōǀî tsi, ǁîna ǃgaoǃgâ tsîn nîra mî: ǁNā aoba kha nēb ǃhūbaiba ge gongonǃnâb, gaoside ge ǀkhū kaiba?
ISA.14.17	ǃHūbaiba ge ǃgaroǃhū kaib tsî ǃādi âba ge hîkākāb, ǃkhōsan âba ǁaru kai tamaba?
ISA.14.18	Gao-aogu ǁaedi digu hoagu ge ǃgôab ǀkha ǁgoe, mâb hoaba ǁîb di ommi ǃnâ,
ISA.14.20	Sats ge ǁîna ǁaeǁaesen tide ǁkhōs ǃnâ, sa ǃhūbats ge ǁgaoǁgao tsî sa ǁaesa ǃgam xui-ao. Surib ǂkhabadī-aon dib ge ǀamosib kōse ǂgaihe tide.
ISA.14.22	Tita ge ǁîn ǃoagu nîra khâi xuige tib ra ǃKhūb ǂnubidi diba mî, tsî tita ge Babilons di ǀons tsî ǃgau nî-i, tsî ǀgôab di ôab tsîna nîra ǃhūǃnoma tib ra ǃKhūba mî.
ISA.14.23	Tsî tita ge ǁîna ǀumis ǀhonedi dis ase nîra ǂnûi, ǁgomǁgams ase; tsî tita ge ǁîna ǀnapus ǁgaoǁgaos dis ǀkha nîra ǀnapubē, tib ra ǃKhūb ǂnubidi diba mî.
ISA.14.24	ǃKhūb ǂnubidi dib ge nū tsî ge mî: Amase tita ǂâi hâ khami i ge nîra ī, tsî tita ǂâibasen hâ khami i ge nîra mâhâhâ.
ISA.14.25	Tita ge Asiriaǁîna ti ǃhūb ǃnâ nîra khôaǂkhūǂkhū; tsî ti ǃhomgu ai ǁîba nîra dāǂkhūǂkhū, ǁîb di ǃnaob ǁîga xu nî ǁgôase, tsî ǁîb di ǃgommi ǃhōb âga xu nî ǁgôase.
ISA.14.26	Nēs ge ǂâibasens, ǃhūb hoaragab ǂama ǂâibasenhe hâsa, tsî nēb ge ǁnā ǃommi ǁaedi hoadi ǂama ǀhōǂuihe hâba.
ISA.14.27	ǃKhūb ǂnubidi dib ge ǁîsa ǀapes âb ǃnâ ge ǂâibasen xui-ao, tari-e ǁîsa nî khôa? Tsî ǁîb di ǃommi ge ǀhōǂuihe hâ, tari-e ǁîba nî ǁkhaedawa?
ISA.14.30	Tsî ǂguroǃnaesaben ǀgâsan din ge nîra ǃû, tsî ǂhâ hân ge sâusase nîra ǁgoe. Xawe ǃnomab âtsa ta ge tita ǃâtsūǀkhāb ǀkha nîra ǃgam; tsî ǃgau ka-i, ǁnā-eb ge ǁîba nîra xandom.
ISA.14.31	Ā, sats ǁātse! ǃAu sas ǃāse! Tsuni, sats Filisteǁîn ǃhūts hoatse, ǀapasa xub ra ǀanna hā xuige, tsî ǃū-aihâ-i xare-i ge ǀhûdi âb ǃnâ a ǀkhai.
ISA.14.32	Tare-e kha sîsabegu ǁaes diga nî ǃereamhe? ǃKhūb ge Sionna ǃgaoǃgaosa, ǁgâiǀāhesan ǁaes âb din nî ǁîb ǃnâ ǁhaiǁhâ-e ūhâga.
ISA.15.4	Hesbons tsî Eleales tsîra ge ra ǃau, dommi âra ge Jahas kōse ra ǁnâuhe. ǁNā-amaga gu ge ǁâtanisen hâgu Moab diga ǃgarise ra ǃau, ǀoms mâ-i hoa-i dis ge ra ǀkhū.
ISA.15.6	ǁGamgu Nimrims digu nîra ǀaritoa xui-ao, ǀgâb ge a ǀhai, ǂkham ǀgâb ge a ǀkhai, tsî ǁhao-i xare-i a ǀkhai xui-ao.
ISA.15.7	ǁNā-amagan ge ǃnāǂamsasib ǀhaoǀhaon ges tsî ǁguibēn gesa, ǂhûihaidi ǃārob ǃoa ra ūsī.
ISA.15.8	ǁNā ǃnurub Moab di ǀkhariba nîra ǃgûǂnamipe xui-ao; ās âba Eglajims kōse, ā, Beer-Elims kōses ge ās âba nîra sī.
ISA.15.9	ǁGamgu Dibons digu ǀaob xa ǀoa hâ xui-ao, tita Dibonsa ǃaruǀîǀgui ganupe nîra dīǀaro xui-ao, xamgu ge ûi gen Moab din tsî ǃgau gen ǃhūb din ǂama nîra hā.
ISA.16.2	ǁNā tamas ka io, o i ge nîra ī, ǀgôadi Moab didi ǁkhanama ra ani-i omsa xu doeǁgaǂuihe hâ-i khami Arnonni di xanuǃkhaidi tawa nîra hâ ǃkhaisa.
ISA.16.3	ǀApemā î du ǀgoraǃgâ, î du sadu di sommi tsēas diba tsuxub dib khami ī kai, ǃhaexūhe hâna gaugau, î du ǁhâma rana tā ǀapexū.
ISA.16.4	An ti ǃhaexūhesana sadu tawa hâ; Moatse, îts satsa ǁîna ǁhaiǁhâǃkhaise ība hîkākā-aon ǃaroma. ǁGâiǀā-aob ge a ǀkhai, hîkākās ge ra kā, dāǃgâ-aon ǃhūba xu hîǀhuruhe hâ xuige.
ISA.16.5	Trons ǃhūb ai nîra ǁapoǁapohe xuige ǀkhomxaǂgaosiba xu; tsî ǁîb aib ge ǀguiba nîra ǂnûhâhâ, Davib di tentoms ǃnâ, ǀguib hîa ǂhanuse ra ǀgoraǃgâb tsî ǂhanuba ra ôab tsî ǂhanu-aisiba dīsa a ôasababa.
ISA.16.6	Sida ge ǃguriǂgaoxasib Moab dib xa ge ǁnâu; kaiseb a ǃgurixasa, ǃgurib âb tsî ǃguriǂgaoxasib âb tsî ǁgôasib âb ge ǁau koasens ǀguisa, ti.
ISA.16.7	ǁNāxab ge Moaba Moab ǂama nîra ā, hoatsaman ge nîra ā, ǃgaoǃgaodi Kir-Haresets didi ǂama du ge nîra ǀhâimâinǀom, ǁîdi khôaǃarihe hâ xui-ao.
ISA.16.8	ǃAugu Hesbons digu ge ǃū hâ, ǂauxûiǂûhais Sibmas dis ona. ǁAedi di ǀhonkhoegu ge ǁîs di ǂhûiǂuihesa ǂgāxūna ge ǂnauǂkhūǂkhū, ǁîn ge Jasers kōse ge sī, ǁîn ra ǁhapuma ǃgaroǃhūb ǃnâ: ǁÎn di ǂgonagu ge ge khoraǂuisen, ǁîn ge huriba ge īǂam.
ISA.16.10	ǃGâiaǂgaob tsî dâb tsîkha ge ǂûtanixa ǃauba xu go ūbēhe tsî ǂauxûiǂûǃhanagu ǃnâ i ge ǁnaehe tsî dâhe tama hâ; ǂauxûiǂûdāǃnâ-aob ge ǂauxûi-i xare-e dāǃnâ tama hâ ǂauxûiǃoregu ǃnâ, tita ge dâǃausa ǀû kai amaga.
ISA.16.11	ǁNā-amagan ra ti ǃnāxūna ā Moab ǂama harps khami, tsî ti ǃnāb din Kir-Heres ǂama.
ISA.16.12	Tsî i ge nîra ī, mûn kao, Moab ǀhupu hâsa ǀgapigu ai, ob ge ǃanusib âb ǃnâ nîra ǂgâ, ǀgoreǀîb nîga, xaweb ge dī ǁkhā tide.
ISA.16.13	Nēs ge ǁnā mîs, ǃKhūb ge Moaba ǃhoa-ūsa ǁnā ǃnūba xu.
ISA.16.14	Xawe nēsib ge ǃKhūba ǃhoa tsî go mî: ǃNona kurigu ǃnâ, ǃgaesab di kurigu ī xase, ob ge ǂkhaisib Moab diba nîra sorahe ǁnā ǂguib hoab ǀkha; ob ge ǃgau nî ǃâba îbe-îbe ǂkhari tsî nîra ǁkhāoǃnâ.
ISA.17.2	ǃĀdi Aroers didi, ǁîdi ge nîra ǁnāxūhe, gūdi di ǃkhaise di ge nîra hâ, ǁîdi ge ǁnāpa nîra ǁgoe, tsî khoe-i xare-i ge ǁîde ǃhuriǃhuri tide.
ISA.17.4	Tsî i ge ǁnātsē nîra ī, ǂkhaisib Jakob dib nîra ǁgā tsî kaub ǁîb di ǁgans dib nîra ǂgaba ǃkhaisa.
ISA.17.5	ǃGao-aob ra mâ hâ ǃhoroba ǀhaoǀhao tsî ǁôab âb ra ǃnuruga ǃgaoǁnâ khami i nîra ī xui-ao; ā, khoe-i ǃgoaǃnāb Rafaimmi ǃnâ ǃnuruga ra sā-i khami i ge nîra ī.
ISA.17.6	Xawe i sā-ai-e ǁîb ǃnâ nîra hâ, ǀkherahais di ǂûn ra ǂnauǁnâhe khami, ǀgam tsî ǃnona ǂûna ǀgapise hâ ǂgonab di ǀamsa xu, tsî haka tsî koro ǂûna ǂûtanixa ǂgonagu âba xu, tib ra ǃKhūb Israeli Eloba mî.
ISA.17.7	ǁNātsēb ge khoeba, ǁNāb ǁîba ge kurubǀî nî kōnǃgâ, tsî mûra âb ge ǃAnub Israeli diba nîra mû.
ISA.17.8	Tsîb ge ǁnā altardi ǁîb ǃomkha di sîsenniǀî kōnǃgâ tide, tsî ǁnān ǁîb ǀkhunugu ge dīnab ge kō tide, tsî ǀhomadi tsî sore-īgu tsîna.
ISA.17.9	ǁNā tsēdi ge ǁîb di ǁaposa ǃāde ǁnāxūhe hâ hai-i xase, ǀgapise hâ ǂgona-i hîa ǁnāxūhe hâ-i xase nîra ī Israeli ôan ǃaroma, tsî di ge nîra ǃū-aisa.
ISA.17.11	ǁÎnats ga ǂgā tsēs aits ge ǁîna nîra ǀom kai, tsî ǁgoagats ge sa ǃkhomma nîra ǃkhā kai, ots ge tsēs ǀaesenni tsî tsûsa ǃoab dis ai ǀoasase nîra ǃgaobasen.
ISA.17.12	Tsūba ǂguisib ǁnā kai ǁaedi hurib khami ra ǀōdi diba, tsî tsūba ǂkhupib ǁnā ǁaedi ǀgaisa ǁgamgu xase ra ǀōdi diba!
ISA.17.13	Ā, kai ǁgamgu ra ǀō xase di ge ǁaede nîra ǀō, xawe ǁîb ga ǁîna ǀauo, on ge ǃnūse nîra ǁhâbē, ā, on ge nîra doeǁgabēhe, ǀapon ǃhomgu din ra ǂoab xa doeǁgabēhe khami, tsî ǃhūba sareb xa.
ISA.18.1	Tsūba ǁnā ǃhūb, ǃhonarisa sommi â-ib, ǃāgu Etiopiab digu xōǀkhā ǁgoeba,
ISA.18.2	Nylǃāba-ū sîsabega ra sîba, ǂāǂgaudi ǃnâ ǁgamgu ai! ǃGûsī, ǃhae sîsabego, ǁnā ǁaes, gaxu sorosa ūhâs tsî ǂkhai ra ǀkhāba ūhâs ǃoa, ǁnā ǁaes, hîa hâs a khami tsî ǃaruǀî a ǃaoǃaosas ǃoa, ǁnā ǁaes, domga ūhâs tsî dāǃgâs dis, ǃhūb âsa ǃāgu xa ra dâuǀhanahes ǃoa.
ISA.18.3	Sadu ǃhūbaib di ǁansabedu hoado, tsî sadu ǃhūb di ǁansabedu tsîdo, ǃkhaub ga ǃhomgu ai ǃkhāheo, o du ge ǁîsa nî mû, tsî ǀgapadas ga xâiheo, o du ge ǁîsa nî ǁnâu.
