MAT.1.1	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
ACT.16.14	Mu' nə pɑjwǐ bɔ, tso tsyə pɑ Lidia, e pɑ nthɛ́ dzə nə̌m, bɑ yə Tiatira bɑ biŋ Si; e lə těŋ mtə̌ŋ nə pyə, nə pa' a lə bɑ Cyəpɔ ghyɛ' tʉm tsyə nə ghɔm Polo. 
ACT.16.15	E lə cwə tə ŋkwishyə pu a guŋ dyə e awɛ, nə ké wɔk gɑ pyə sɔ' dyə e gɔm gɑ: Pa' po yɔ gɑ gɑ piŋ Cyəpɔ a, po sɔ' shwə̀ la' m̀. E lə thənyə wɔk, pyə piŋ.
ACT.16.16	A lə pɑ mu' tyɛ'dzʉ pyə pɑ gɔ m tsʉ' mcwyɛ'nyə, mu' mu go gɛfa', zhwenyə gɔ́m pɑ nə e, e sɔ' nthɑ wɔk. Mpǐŋ mghɔm gɔm myə é lə gɔm a lə gə ŋkhǎp pɑ ŋkho pʉə mtǎ fa' pyə tə jɔm. 
ACT.16.17	E lə bɑ pɑ jʉ̀m kwə pyə a Polo gùŋ mcwə awɛ bɑ shwè gɔm gɑ: Pɑ bɛ pɔ gɑ bɑ mghɛ fa' Si tɑ thə. Wap bɑwə siŋ məjyə nə gɛvɔk. 
ACT.16.18	E lə ghə pɑ po'o nə mtyɛ'dzʉ jɔmyɔm. A lə pɑ po'o, Polo yɔ kəkɔ fɛ nɑ e gɔm bi zhwenyə bɔ gɑ: Nə tso Yeso Kristo, gɑ̌ ghɔm bu gɑ́ o təm nə mjwǐ yɑ. Zhwenyə wuŋ nthəm nə e pɑ cwə o bɔ. 
ACT.16.19	Mta pyə lə nə yɔ pa' fʉ' yə wap kɑ bɑwə byap a mi a, gəm Polo pù Silas fəŋ wap nə gɔ nə tsʉ' yə pu fyɛ' shɛ́ nə dəm sim a, dzə pɑ ya' shɛ́. 
ACT.16.20	Wap lə la'tə wap bi pɑ ya'shɛ́ gɔm gɑ: Pɔ pɔ gɑ wə ma' paknyə nthʉm tisuŋ pyə. Wap bɑ pɑ Yudea. 
ACT.16.21	Bɑwə da'tə shɑ mkhɛ nwə myə bi a pɑ wɔk pɑ Roma lə piŋ kɑ biŋ giŋ nə a. 
ACT.16.22	A pɑ́ po'o, lǎ' ŋkheŋtə wap; pɑ ya'shɛ́ ghə̀ pu tɔk dzə nə pu, wap ghɔ̀m gɑ́ pu lɑ ka'cyə shwɔ wap. 
ACT.16.23	Wap cəŋtə shwɔ wap, ma' wap cɛ́. Gɔm bi byap dyəcɛ̌ gɑ e pyap wap kwa' pɑpuŋ. 
ACT.16.24	Pa' wap gɔm bi e po'o a, e lɑ mghɛ nthəm nə gɔ tɑ nə mu' túŋ tsʉ' dyə̀ cɛ̌ shəŋ wap nə mkəlo' nə mkwə map.
ACT.16.25	A lə pɑ nə gwɛ a téŋ mtsʉ̌' Polo pu Silas pɑ shwyɛ'nyə Si, biŋ bɑ jwɔp ghamtə Si. Pyə shɑ̀ mghɛ cɛ́ pɑ ju' pa' wap wə jwɔp a. 
ACT.16.26	Pu lə wuŋ nə yu' cǎ' cʉ'nyə tɑ mto dyəcɛ̌ nəŋnyə. Guŋ jyədyə̌ awɛ wuŋ he pɑ cwə o bɔ, mgwɑ mghɛ cɛ́ cɑtə nə mkwə map. 
ACT.16.27	Byap cɛ́ lə vonyə, jɔ bɑ guŋ mjyədyə̌ cɛ́ awɛ ghyɛ́'; e lə kwɛ́ gɑ guŋ mghɛ cɛ́ khʉ̀, bé nyə e bɑ gɔ nə zhwə nɑ́ e. 
ACT.16.28	Tɑ́ Polo cwé tə thə gɑ: Kɑ ghə sɔm nwə cwəpuŋ nə nɑ o. Pyə̌ pɑ si awɛ. 
ACT.16.29	Byap cɛ́ lə həŋtə ŋkha', deŋ ntham dyə, nə vʉ nə mkwə Polo pu Silas bɑ səŋ. 
ACT.16.30	Biŋ nthé wap dyə cwəlɔ, gɔm bi pu gɑ: Mcyəpɔ gɑ̌ gɔ ghə gɑ kɑ̀ tə̀ vɔk? 
ACT.16.31	Wap ghɔm bi e gɑ piŋ Cyəpɔ Yeso, pu a tuŋdyə o sɔ' bvɔk. 
ACT.16.32	Polo pu Silas lə siŋ ghɔm Cyəpɔ bi byap cɛ̌ pu a pɑ dyə e. 
ACT.16.33	Byap cɛ́ lə lɑ́ wap gɔ pɑ mtsʉ' bɔ, sɔk mfiŋ map, guŋ ŋkwishyə pu a guŋ pɔ pyə awɛ tə piŋ byap sɔmywə. 
ACT.16.34	E lə lɑ Polo pu Silas bʉɔ cwəlɔ gɔ dyə e, ŋkhim wap, pu a pu ŋwɛnyə nthʉm tuŋdyə pa' wap piŋ Si a.
ACT.16.35	Dzʉ lə nə́ lɔ, pɑ ya' shɛ́ təm mco' pap gɑ wap ghɔ gɔm bi byap cɛ́ gɑ: Nəŋ pɔ pɑ̌. 
ACT.16.36	Byap cɛ lə siŋ Polo cuŋ bɔ gɑ: pɑ ya'shɛ́ təm gɔm gɑ pu nəŋ wɔ. Pa' a pɑ po' a po təm gɔ nə hwitə! 
ACT.16.37	Da' gɑ Polo ghɔm gɑ: Wap ké gə pu cwɔ wɔk dəm sim tə fyɛ' wɔk wɔk pyə pyə̌ bɑ po pɑ Roma, biŋ nyəŋ wɔk cɛ. Wap bɑwə shəŋ nə nəŋ wɔk pɑ̀ m jʉ̀mjʉ̀m a? Bi a lə pɑ̀ pa'! Pɑ̀ kwa' wap nə sɔ' nəŋ wɔk. 
ACT.16.38	Mcò' pɑ ya'shɛ́ lə ghɔ siŋ pɑ ya'shɛ́ pa' Polo gɔm a. Wap nə yu' gɑ Polo bɑ mù e Roma bwɔk 
ACT.16.39	biŋ sɔ' dó gɑ wap wa' mhɔ map, biŋ nə nə̌ŋ wap gɔm gɑ wap fɑ nthʉm tisuŋ nthəm. 
ACT.16.40	Polo pu Silas lə cwə tə nthəm cɛ cwəlɔ, gɔ ywə Lidia, jɔ mfɑ̌mfɑ́, hɑ kaktʉɔ bi pu tə gɔ̌.
ACT.17.1	Polo pu Silas lə cyə m Amfipoli ba m Apolinya, ŋwak Tesalonika tsʉ' yə pɑ Yudea lə bɑ wap ghə Sinagogə yap nə a. 
ACT.17.2	Pa' a lə bɑ mà bi Polo a, e lə ghɔ jɔ wap nə msabat mənthá tə ya', bɑ siŋ wap mghɔm; bɑ shyə m nə Mŋwa'nyə dɔlɔ̌, 
ACT.17.3	bɑ nthútə biŋ da'tə gɑ Mesia lə bɑ gɔ yɔgo' piŋ yam nə vʉ̌, biŋ gɔm gɑ: Mesia bɔ bɑ Yeso yə gɑ bɑwə siŋ wɔ a. 
ACT.17.4	Shɑ́ pɑ Yudea lə pǐŋ, jap jʉm Polo pu Silas, ba vəŋ pɑ Grikia pɑ ghamtə Si, ba bo'gwyə́ mkam pɑ jwǐ.
ACT.17.5	Da' gɑ pyə shɑ pɑ Yudea lə yɛlúŋ, shù'tə mcúŋ pyə wap lə jwɔk yap pɑ məjyə a, shyə́ pɔmnəŋ, ma' và' tisuŋ; gɔ dyə Yasoŋ nə cəŋ Polo pu Silas, dɑ wap gɔ dzə cu'tə, pu fyɛ' wap. 
ACT.17.6	Wap lə pɑ tə yɔ Polo pu Silas dɑ Yasoŋ pu a shɑ mfɑ̌mfɑ́ gɔ dzə pɑ ya'shɛ tisuŋ shwé gɔm gɑ: Pɔ pyə wap bva' dzʉ́ awɛ a pɔ tsɔ'ɔ 
ACT.17.7	bɑ Yasoŋ nyəŋ wap dyə. Guŋ pɔ́ pɔ́ gɑ̀ bɑwə nthé pɑ bya nə Kasa, bɑwə gɔm gɑ mu' fo wə, tso tsyə pɑ Yeso. 
ACT.17.8	Cwè tsap lə kwak pɔmnəŋ ba pɑ ya'shɛ, 
ACT.17.9	wap ghɔm gɑ Yasoŋ pu a pyə shɑ pɔ hɑ ywə nə nthʉcwyə tə pu tak wap nəŋ.
ACT.17.10	Mfɑmfɑ lə ghə Polo pu Silas ghɔ pɑ mtsʉ̀' m Berea. Wap lə ko Berea gɔ Sinagogə pɑ Yudea. 
ACT.17.11	Pyə bɔ pɑ Yudea lə ghə mku' shyə́ pyə Tesalonika, dɑ tʉm pɑpuŋ nə ŋkwi ghɔm. Bɑ guŋ mtyɛ'dzʉ awɛ bɑ de nthʉm Mŋwa'nyə bi a ghɔm bɑ pɑ kwa' po'o a. 
ACT.17.12	Pɔ tə jɔm cəcɑ̌ pu lə cʉ' pɑ piŋ, ba mkam pɑ jwǐ Grikia, ba pɑ bɛ kwa' vəŋ e.
ACT.17.13	Da' gɑ pɑ Yudea Tesalonika lə nə yu' gɑ Polo ko Berea siŋ ghɔm Si, biŋ sɔ' bɑ m wə ma' và' cəcɑ̌ pɔmnəŋ. 
ACT.17.14	Da' gɑ mfɑ̌mfɑ́ lə wuŋ gə Polo ghɔ tɑ ŋkhəm shyə lɑpʉə, a cʉ' Silas pu Timotio wə́. 
ACT.17.15	Pɔ pyə Polo lə bɑ bi pu a lə ghɔ tə ŋkhəm Atenya. Shya Polo, nə pɑnyə e ghɔm bi pu gɑ wap ghɔm bi Silas pu Timotio gɑ wap sɔ' m gʉ̌' ŋkwiatə e.
ACT.17.16	Polo lə nə pyap wap Atenya nwə pɑ shyə e nə yɔ gɑ mkətwɔk lə bɑ ǎ ló tisuŋ bɔ. 
ACT.17.17	E lə bɑ siŋ pɑ Yudea ghɔm dyə sinagogə, ba m bi gúŋ pyə shɑ pɑ ghamtə Si, ba guŋ mtyɛ'dzʉ awɛ dəm sim bǎ bi wɑ̌lɑ́. 
ACT.17.18	Pu a pɑ sɛnwə pɑ Epikuria ba pɑ Stoikia lə pɑ̌ shɔmnwə, shɑ pɔ nə pu pɑ gɔm gɑ yəŋ zhwya ghɔ́m da'tə gɑ kɑ? Pyə shɑ pɔ pɑ gɔm gɑ a gɔ pɑ mu' siŋ nwə msi dyɛ'. Polo lə bɑwə siŋ nwə Yeso, ba nə yám nə vʉ̌. 
ACT.17.19	Wap lə ghəm é, dɑ é gɔ dzə Areopago həŋtə é gɑ: Bi a pɑ pyə zhyə́ nwə nə yəŋ kam sə yə o bɑwə sa'a? 
ACT.17.20	Nə pa' o bɑwə dɑ mnwə sə́ baknyə mtəŋ mɔk, pyə wə́ shəŋ nə zhyə ywə yə a bɑ yá a. 
ACT.17.21	Nə pa' guŋ pɑ Atenya awɛ, ba mghʉɔ pyə wap lə shwə́ wə́ a lə jwɔk gɔ́m ghɔm biŋ bɑ nthéŋ pɑ mtə̌ŋ nə mcuŋ sə.
ACT.17.22	Polo lə tiŋnyə thə́ dzə Areopago gɔm gɑ: Pɑ Atenya, gɑ̌ yɔ wɔ nə guŋ mghəŋ awɛ, po pɑ kwa' pɑ piŋ Si. 
ACT.17.23	Nə pa' gɑ̌ pɑ giŋtə nə məjyə, jɔ mcwyəp mɔ, gɑ yɔ mu' cwyəp bɑ pu və nə gɑ: Bi si yə pu ka zhyə e a. Ywə yə po gamtə yá tə zhyə̌ yá a, a ywə yə gɑ̌ sɔ' nə siŋ wɔ a. 
ACT.17.24	Si yə e lə pə̌m dzʉ́ ba guŋ tsə tsyə́ a nthʉ̀m o a, yʉ̀ yə e bɑ Cyəpɔ kɛ́bə̀ŋ ba cǎ' a ka ghə nə cwə nə dyəsi yə pu dɑ bù tɑ nə bəm a. 
ACT.17.25	Ba fa' tsyə lə pɑ̀ shəŋ bu monəŋ, pa' cwə yə mu' ywə́ jak e a, yʉ́ yə e hɑ vɔk pu Zhwenyə pu a guŋ ywə awɛ a. 
ACT.17.26	E le shyə m nə ta' mbɛ́, bəm guŋ pɔ̀ awɛ po'o gɑ wap cwə nə guŋ dəm sica' awɛ. E lə jap mcwə dzʉ̀ tɑ kwyəpnyə, ja' dhə̀ tsʉ' yə mo gɔ kəm nə a. 
ACT.17.27	Po'o gɑ mo cəŋ Si. Mu'cwə e nə yɔ e məmtə́ məmtə, yʉ̀ yə e tə nəŋ bɑ gʉə sʉəsʉə nə sɔmmo nə pɑ a pɑ́. 
ACT.17.28	Nə pa' pɑ bvɔk, ŋaknyə, biŋ bɑwə pɑ nə e, dəŋdəŋ pa' shɑ mghɛ zhwɔp pɔ lə́ gɔm a:
ACT.17.28	nə pa' pɑ bɑ gwyá e.
ACT.17.29	Po'o pa' pɑ̌ bɑ gwya Si a, pɑ lá tə́ bɑ gɔ kwɛ gɑ Si hwə́ tʉɔ gɔl kɑ tʉɔ ŋkhap, kɑ gwɔ' tʉɔdəŋ yə mo ŋthɔmtə tɔmtə dɑ və ŋkhəm a pɑ. 
ACT.17.30	Po yɔ, cwəlɔ, Si ka sɛ́ fʉ̀mnyə̀ pɔmnəŋ, e wə siŋ gɑ guŋ pɔ awɛ, nə guŋ mtsʉ' awɛ ŋkwyəpnyə. 
ACT.17.31	Nə pa' a bɑ e yap ta' tyɛ'dzʉ yə é gɔ sɔ' fyɛ' dzʉ nthʉm dəŋdəŋ, cyə m nə mo yə e shwɔ' e a, pa' e jam e nə vʉ̌ a nə shəŋtə da'tə mtiŋ bi guŋ pɔ awɛ.
ACT.17.32	E lə cwə̌ tə gɔm gɑ: nə yam nə vʉ̌, shɑ pɔ yəmtə e, pyə shɑ pɔ ghɔm gɑ: Pyə gɔ tì tə piŋ yù' o nə́ nə mu' cʉm. 
ACT.17.33	A pɑ po'o Polo təm cəcɑ̌ pu. 
ACT.17.34	Da' gɑ shɑ pɔ la nɑ tsap nə Polo, shʉ' pɑ piŋ; mu' mo lə bɑ cəcɑ̌ pɔ bɔ̌ tso tsyə pɑ Denis, mo nə Areopago, ba mu' mjwǐ tso tsyə pɑ Damaris, ba shɑ pɔ.
ACT.18.1	Polo lə fɑ Atenya, gɔ Korinto. 
ACT.18.2	E lə ko ywə́ jɔ mu' yə Yudea tso tsyə́ pɑ Akilas, e pɑ nthəm Ponto, bɑwə tə fɑ m Italia pu jwǐ e Priska. Nə pa' a lə bɑ Klaudia yap mcò' gɑ guŋ pɑ Yudea awɛ təm Roma. Polo lə lɑ́ Akila pu Priska gə mso pyə̀. 
ACT.18.3	A piŋ bɑ̀ pa' pu a pú lə fa' pɑ ta' ywə a. Wap lə bɑ́ pɑ pa' dzə́ nə sǎm mnthap. Polo lə cwə wə pù biŋ bɑ fa'. 
ACT.18.4	A lə bɑ̀ nə guŋ msabat awɛ, Polo pɑ dɑ̀ ghɔm dyə sinagogə bɑ siŋ pɑ Yudea pu a pɑ Grikia nwə gɑ wap kwyəpnyə. 
ACT.18.5	Da' gɑ́ cwə yə Silas pu Timotio lə fɑ Makedonya sɔ' a, Polo cʉ' cwəlɔ bɑ jap guŋ yə cwə awɛ pɑ nə Ghɔm. Bɑ gɔm dzə pɑ Yudea gɑ Yeso bɑ Mesia. 
ACT.18.6	Pa' pɑ Yudea bɔ lə pɑ ŋkhəŋnyə biŋ bɑ shap Polo a, e lə cʉ' mdzə́ myə́, gɔm bi pu gɑ: Mcyə mɔ́ ko pɑ nə po; tə sɔ' m nə m̀, gɑ wə bɑ dɔlɔ̌. Tə fɑ cwəlɔ gɑ gɔ pɑ ghɔ pɑ wə pɑ tə pɑ pɑ Yudea. 
ACT.18.7	E lə lù tsʉ'u gɔ m ywə mu' Tito Zhusto biŋ Si, la' tsyə́ pɑ̀ bəŋ sinagogə. 
ACT.18.8	Krispo tadyə sinagogə lə piŋ Cyəpɔ pu a tuŋdyə e awɛ, ba shɑ pɑ Korinto tə jɔm yu' gi Polo, shʉ' pɑ piŋ, ŋkwi shyə́. 
ACT.18.9	A lə pɑ mu' mtsʉ' Cyəpɔ ghɔm bi Polo nthʉm nə yɔ m nthʉm zhwenyə gɑ: Kɑ pwɔk, ghɔm nə gɔ pɑ dzə, kɑ lɛ́tə. 
ACT.18.10	Nəpa' pu nə bəmtə bɑ́, bi a pɑ́ sɔmmo lə yap pu nə o nə lɑ o jɔgo', nə pa' pɔ pɑ̌ nthʉm tisuŋ yəŋ gɑ tə jɔ́m. 
ACT.18.11	Polo lə cwə wə ta' gu'dzʉ mkàm, bɑ̀ ji'tə wap ghɔm Si.
ACT.18.12	A lə pɑ nə cwə yə Galion lə pɑ̀ gɛ sa' Akaya, guŋ pɑ Yudea awɛ pɑ́ ŋkwishwə nə cwɔ'mkwə Polo cwəpuŋ; wap piŋ dɑ e nə gɔ dyə fyɛ'. 
ACT.18.13	Gɔm gɑ: Bɛ yə̌ŋ gɑ bɑwə shəŋ nə lɑ pɔ̀ gɔ m nə mu' cu'tə pɑ piŋ Si yə mco' ka zhyə́ ya a. 
ACT.18.14	Polo lə pɑ̀ gɔ ghɔmnwə, Galion pa' bi pɑ Yudea gɑ: A la' bɑ nə́ hɔ mco' kɑ́ nwə kuso lɑ bɑ gɑ̌ yu' wɔ m pɑ Yudea dəŋdəŋ. 
ACT.18.15	Tə pa' shɛ́ yɔ bɑ́ pɑ́ nwə nə piŋ, pu a nwə mtso ba m nə mco' myə a bɑ́ pɑ́ mɔ a, yɑ nwə wə de pɑ wɔ. Bi a pɑ ŋ də ko nə mɑ mnwə nə fyɛ' pɑ. 
ACT.18.16	E lə ghɔm po'o, jəŋ wap dyə fyɛ'. 
ACT.18.17	A pɑ po'o guŋ yap awɛ ghəm Sostɛnə tadyə sinagogə, shwɔ e dzə̌ dyə fyɛ', da' gɑ la' Galion ko nə mnwə bɔ̌.
ACT.18.18	Polo lə pǐŋ na' shwə́ Korinto biŋ nthəm cəcɑ̌ mfɑ̀mfɑ́, ŋkho kənu' gwyə nə gɔ m Siria, nə ghɔ po'o pu a Priska ba Akilas pəmtə bɑ̀. A lə nə pɑ bɑ ě kəm thə e Kɛnkrea, shyə̀ m nə shɑ̀ mka'nyə myə e lə ghə a. 
ACT.18.19	Wap lə ko Efeso, Polo pu a mso pyə hapnyə. E ghɔ sinagogə gɔm bi pɑ Yudea. 
ACT.18.20	Wap lə pɑ gɔm bi Polo gɑ pu a pu na' shwə́, e kəŋnyə. 
ACT.18.21	Da' gɑ́ nə ghɔ gɔ́m bi pu gɑ: Gɑ̌ gɔ la' piŋ sɔ' wə po mu' cʉ́m bi a Si piŋ a. E lə ko shyə lɑpʉə Efeso, 
ACT.18.22	nthəm Kaesarea, bʉɔ sha'tə cu'tə pɑ piŋ, dzəŋ gɔ Antiokia 
ACT.18.23	ŋkho wə na' shwə̀, biŋ gɔ ŋkhəka ghəŋ Galata ba m Frugia bɑ nyəŋ gʉ́' nə mghɛ zhi'nwə.
ACT.18.24	Mu' yə Yudea tso tsyə pɑ́ Apolos, nthəm m Aleksandria lə sɔ' Efeso. E lə́ bɑ mo bɑ e ghə Zhyənwə, bɑ e zhyə́ ŋwa'nyə Si. 
ACT.18.25	A lə bɑ bɑ̀ pu lě siŋ e Məjyə Cyəpɔ, e piŋ bɑ ŋkhaktʉ̀ɔ, bɑ siŋ biŋ bɑ ji'tə pɔmnəŋ nwə kwa' dəŋdəŋ nə Yeso da' gɑ bɑ e zhyə da' kwishyə Yohane. 
ACT.18.26	E lə to' nə cəŋtə gɔmnwə dyə Sinagogə. Da' gɑ Priska pu Akilas lə cwətə ju' pa' e gɔm nwə a, dɑ̀ é shəŋtə da'tə e məjyə Si. 
ACT.18.27	Pa' e lə pɑ̀ shəŋ nə ghɔ Akaya a, mfɑ̌mfɑ̀ piŋ, bvə ŋwa'nyə bi mghɛ zhi' nwə nə da'tə e bi pu gɑ wap lɑ̀ e pɑpúŋ. E lə cwətə ŋkho wə́, a cyə m nə gho' Si e cəŋtə ŋkwitə pɑ piŋ, 
ACT.18.28	nə pa' gʉ' ghɔm tsyə lə bɑ hya tsyə pɑ Yudea pɑ dəm sim nə cwə yə e lə bɑ shyə́ m nə ŋwa'nyə da'tə gɑ Yeso bɑ Mesia a.
ACT.19.1	Polo lə tsəŋ fɑ m nə gùŋ mkúŋ ŋkhəm Efeso, cwə yə Apolos lə bɑ Korinto a. E lə ko wə jɔ shɑ mghɛ zhi'nwə 
ACT.19.2	biŋ həŋtə wap gɑ: Po kě ŋkwi Zhwenyə Dɔlɔ̌ cwə yə po kɑ cʉ' mghɛ piŋ a? Da' gɑ wap pa' bi e gɑ̀, pyə lam ju' bɑ pa' pu gɔm nwə nə Zhwenyə Dɔlɔ̌ a. 
ACT.19.3	Polo həŋtə wap gɑ, pu lə nu' wɔ pɑ nə kɑ? Wap ghɔm gɑ: Pyə lə ŋkwi pɑ shyə Yohane. 
ACT.19.4	Polo piŋ gɔm gɑ: Yohane lə nu' pɔ shyə pʉɔtʉm, biŋ həŋtə bi pɔmnəŋ gɑ wap piŋ Mo yə e gɔ sɔ' təm jʉ̀m e a; yəŋ la'tə gɑ Yeso. 
ACT.19.5	Wap lə yu' shwə e, ŋkwishyə nə tsǒ Cyəpɔ Yeso, 
ACT.19.6	Polo yap bu nə pu, Zhwenyə dɔlɔ̌ sɔ' nə pu. Wap ghɔm mghɔ̀m, gɔm nwə nə tso Si. 
ACT.19.7	Guŋ yap awɛ lə bɑ pɔ shwɔppʉə mghǎm.
ACT.19.8	Polo lə́ bɑ gɔ dyə sinagogə guŋ mcwə awɛ, po'o nə mŋwə̀ tà, bɑ gɔm nwə nə Nəfo Si tə pwɔk, ŋkhaktʉɔ nə ghə gɑ pɔ pyə wap lə bɑ si ju' ywə yə é gɔm a piŋ. 
ACT.19.9	Cwə yə shɑ pɔ lə pɑ̀ sɔksɔk, dɑ nthə nə piŋ, bɑ shap məjyə̀ Si pɑ cəcɑ̌ pɔmnəŋ a, Polo tə́m nə pu, biŋ dɑ mghɛ zhi'nwə nə gɔ jʉ̀m, bɑ gɔm nwə bi pù guŋ mtyɛ'dzʉ awɛ dyə zhi'tə Tirano. 
ACT.19.10	A lə pɑ̌ pɑ po'o nə gu' pʉ̌ə, tɑ guŋ pɑ Azia, pɑ Yudea ba pɑ Grikia yu' ghɔm Cyəpɔ.
ACT.19.11	Si lə shyə́ m nə bǔ Polo bɑ́ gə kwa' msya. 
ACT.19.12	Tə́ pu pɑ dɑ bak dzə myə a kwak nə bəŋ nɑ Polo, jap nə mghɛ ghó, mghò map mi, mzhwenyə cwəpuŋ pɑ nthəm nə pù gɔ̌. 
ACT.19.13	Shɑ̀ pɑ Yudea, pɑ kəka jəŋ mzhwenyə cwəpuŋ lə to' yap nə pɑ ŋkhe tso Cyəpɔ Yeso nə pɔ pyə mzhwenyə cwəpuŋ lə bɑ̀ nə pu a. Wap lə gɔm gɑ: Gɑ gɔm bu nə tso Yeso yə Polo shyanyə a. 
ACT.19.14	Pǒ mu' tadyə mkamsi yə Yudea tso tsyə pɑ Seva, pó sɔmbʉə lə fo' yap mghətsə bɔ. 
ACT.19.15	Zhwenyə cwəpuŋ ghɔm bi pu gɑ: Gɑ zhyə́ Yeso biŋ jyə́ mo yə Polo bɑ yʉ̀ a. Tɑ sɔ' m nə po, pó bɑ̀ pɑ wɑ? 
ACT.19.16	Bɛ yə zhwenyə cwəpuŋ lə bɑ̀ nə e a lə piŋ deŋ ntham nə pu, shyə̀ wap awɛ, shwɔ wap tə wap nə thə́tə tam pe, dzə lə yɑ dəm sɔmmo, bɑ mfiŋ lo nə pu. 
ACT.19.17	Guŋ pɑ Efeso awɛ, ba pɑ Yudea pu a pɑ Grikia lə yu' nwə bɔ, pwɔk ko nə guŋ yap awɛ, wap pɑ jwɔp dəŋ pa' a bɑ tso Cyəpɔ Yeso ghú' a.
ACT.19.18	Pɑ piŋ kwa' vəŋ e lə sɔ' bɑ biŋ mnwə map tə thə́. 
ACT.19.19	Bo'gwyə pɔ pyə wap lə bɑ wap ko nə mkɛ a pɑ shu'tə mŋwa'nyə map pfɑ́ e, pɑ cəcɑ̌ pɔmnəŋ ntho. Pu pɑ sɛ dəŋ e jɔ gɑ ŋkhap lə bɑ nə bi a pɑ a twɔk tsə bɛ sha' mghamnthɔ́. 
ACT.19.20	A pɑ po' o bɑ shyə́ m nə gʉ' Cyəpɔ ghɔm pɑ ŋkwyə gɔ dzə biŋ bɑ gə dəŋ.
ACT.19.21	A lə cyə́ m nə mnwə bɔ, Polo cyə m nthʉm Zhwenyə jap gɑ̀ e gɔ ghɔ Yerusalɛm, nə ghɔ cyə m Makedonya ba m Akaya. E lə piŋ gɔm gɑ: Gɔ tə ŋkho Yerusalɛm bɑ gɑ̌ gɔ piŋ ghɔ Roma. 
ACT.19.22	E lə təm Timotio pu Erasto pyə wap lə bɑ mkwipu pyə a Makedonya, biŋ na' shwə Azia.
ACT.19.23	A lə pɑ̀ cwə o bɔ, kwa' mu' mɑ paknyə təm du nə nwə məjyə. 
ACT.19.24	Nə pa' Demetrio, mu' gɛfa' və nə mtʉɔ́ gɔl yə e lə dɑ mtʉɔ ŋkhap nthə mfo' pa' dyə Artemis lə shyə m nə və bɔ pu a mghɛ fa' pyə pɑ gə mɑ fʉ' gwyə. 
ACT.19.25	E lə cu'tə mghɛ fa' pyə pu a pɔ pyə wap lə fa' pɑ nə tsə bɔ a, gɔm bi pu gɑ: Mso pɑ pó zhyə́ gɑ pɑ̌ vɔk pɑ nə fa' tsɔ gɑ tsyə pɑ fa' a. 
ACT.19.26	A nəŋ bɑ po'o po pɑ̀wə jɔ̀ biŋ jù' pa' pu wə gɔm, tə da' Efeso pɑ̀, ba m nthʉm guŋ Azia awɛ, pa' Polo wə ŋkhenyə la'lǎ' gə gɑ̀ wap zhyə pa' e gɔm a gɑ́ msi pyə wap fɑ nə bu mɔk pɑ á tə bɑ msi pɑ̀. 
ACT.19.27	A pɑ̀ po'o pu lə pɑ̀wə gwi da' fa' tsɔk pɑ pɑ̀, a pɑwə shʉ' muywə ba mɑ dyəsi Artemis lə piŋ bɑ sɔmywə pɑ́, dəŋ mɑ ghamtə yə guŋ Azia ba gùŋ dzʉ awɛ kɑ nə gamtə a, a mǐ.
ACT.19.28	Pɔmnəŋ lə nə yu' ghɔm tsɔ gɑ, luŋ yap sə́, wap cwé pɑ dɔmnyə e gɑ: Artemis Efeso bɑ ě ghu'. 
ACT.19.29	Va' lə lɑ̌ guŋ tisuŋ awɛ, pu hyànyə̀ gɔ tsʉ' yə la' shu'tə nə a, nə cyə̀ gəm Gayo pu Aristarko pɑ Makedonya mso ghiŋ Polo. 
ACT.19.30	Polo yap gɑ e gɔ ghɔ tsʉ' cu'tə́, da'gɑ la' mghɛ zhi'nwə piŋ pɑ́. 
ACT.19.31	Bɑ shɑ́ mso pyə mtadyə Azia tɔk é gɑ e kɑ́ ghɔ tsʉ'u, nə pa' bi a pɑ̀ ywə ghə é.
ACT.19.32	Bǎ ya mo lə́ lə́ bɑ̀wə shwé pɑ yə nthi tə la' sɔmmo pɑ́wə ju' yə́ yə mu' mo. Bɑ va' yɔm tə la' shɑ pɔ pɑ́wə jyə̀ ba ywə yə pu shù'tə nə a. 
ACT.19.33	Shɑ pɔ cəcɑ̌ vəŋ po lə ghɔm gɑ a bɑ nwə Aleksandrə: Pɑ Yudea thə́ e shya dzə. Aleksandrə lə lɑ̌ pu e gə mtiŋ gɑ e gɔ ghɔmnwə dzə cu'tə. 
ACT.19.34	Pu lə nə yu' gɑ e bɑ yə Yudea, guŋ pɔ awɛ zhwyanyə nə mnam pʉ̌ə bɑ gɔm gɑ: Artemis Efeso bɑ ě ghu'! 
ACT.19.35	Dwɔ'cam lə ghə̌ tə pɔmnəŋ lɛ́tə, e ghɔm gɑ: Wɔ pɑ Efeso mu' mo wə bɑ e ka zhyə gɑ tisuŋ Efeso bɑ tisuŋ dɔlɔ̌ bi Artemis bɑ bi kətwɔk e yə a lə fɑ kɛbəŋ shʉm a? 
ACT.19.36	Pa' sɔmmo tə wə ŋkhəŋnyə a pɑ, a puŋ gɑ po lɛ́tə́ bwɔk va'. 
