GEN.1.1	Tɔɔzeizu mɔunpa GALA ge geeɠɔlɔgi ta zooi ɓɛtɛni. 
JDG.18.10	Wa zeelina náʋɛ, wa nuɓusɛiti ka ná, ti laai ɓɔɠɔ la. Zou ʋe gola wɔɔlɔai, GALA ge fea wo ya, ada ʋe nu la ʋalaga ani nɔpɛ ma ná, anii nii kpein nɔ é eteai zu.»
JDG.18.11	Zunu undɔzita (600), Dan mavofodaiti su, naati ka ti ta-ɠɔɔɠɔ zɔɔlaiti seɠeni, ti zeɠe Sɔleya ta Esetawɔle. 
JDG.18.12	Ti lɛɛni, ti kɔɔlaɠai ʋu Kiliyate-Yeyalime ʋoluʋɛ, Zuda yooi zu. Naa ɠa é ba, naama adaʋɛ laasei pɛai ga Maɠanee-Dan, zaaɠaza (nii poluʋɛ ga «Dan ná-kɔɔlaɠai»). 
JDG.18.13	Ti zeɠeni miná, ti li Efelayime ɠize yooi zu, eyɛsu ti zeeli Mika ná-pɛlɛi wu.
JDG.18.14	Zunu lɔɔlugɔi niiti ti liini Layise yooi zuʋɛtɛsu, naati ti ɠɛni ti-wɔɔlaiti ma: «Wo suɠwɛɛ nɛi ɓaa, ga zalaɠa ɠula zeɠei ɠa pɛlɛi nii ta wu, ta pɛlɛ wu zaleiti, ta vololibai, ta kɔɔɠɔ ganigi taɠili, nii é ga kɔlu ɠaawuungai? À naa leve, nii wa kɛ.» 
JDG.18.15	Ti ɠaleni ma miná, ti lɛ Leevi zunu loungoi ná-pɛlɛi wu, Mika ná-pɛlɛi wu, ti tuʋɔgi wo. 
JDG.18.16	Názu niina, Dan mavofodaiti, nu undɔzitai (600) niiti kɔɔɠɔ zɔɔlai ɠɛni ti ya, ti ɠɛʋele ɓɛtɛai kɔɔɠɔ vai ma, naati ti ɠɛni loni pɛlɛlaʋɛ. 
JDG.18.17	Zunu lɔɔlugɔi niiti ti liini zooi zuʋɛtɛsu, naati ti lɛɛni, ti vololibai zeɠe, ta zalaɠa ɠula zeɠei, ta pɛlɛ wu zaleiti, ta kɔɔɠɔ ganigi, nii é ɠɛni ga kɔlu ɠaawuungai. Zalaɠa ɠula nui ɠɛni loni pɛlɛlaʋɛ ta nu undɔzitaiti (600) niiti kɔɔɠɔ zɔɔlai ɠɛni ti ya.
JDG.18.18	Zalaɠa ɠula nui zɔiti kaai ma, ti lɛ Mika ná-pɛlɛi wu, ti vololibai zeɠe, ta zalaɠa ɠula zeɠei, ta pɛlɛ wu zaleiti, ta kɔɔɠɔ ganigi é ga kɔlu ɠaawuungai, é ɠɛni ti ma: «Leeni ɠa wo kɛɛzu miná?»
JDG.18.19	Ti gooɠaaʋoteni, ti ɠɛ ma: «Maaɠɛ kpɔ! Yeeʋɛɛ la, è ʋilɛ gi ʋolu, ɠɛ ga ɠɛɛɠɛi gi ʋɛ, ta zalaɠa ɠula nui. Fizɔgɛ è ma nɛi ɓaa, è ɠɛ ga zalaɠa ɠula nui zunu ɠilagi nɔ ʋɛ, ɓaa è ɠɛ ga zalaɠa ɠula nui bolodai ʋɛ, ta pɛlɛyeɠei ʋɛ, Izelayɛle yooi zu?»
JDG.18.20	Zalaɠa ɠula nui wola ɠoozunɛ naama vai zu. É zalaɠa ɠula zeɠei zeɠeni, ta pɛlɛ wu zaleiti, ta vololibai, é ʋilɛ nuɓusɛiti saama.
JDG.18.21	Ti pele zoni, ti ɗa li, ti doungoiti toni luɠɔ, ta toganiiti, ta kasɔiti.
JDG.18.22	Ti maaɠoozaai ma Mika ná-pɛlɛi ʋa, Mika zeiɲɔɠɔiti ti ɓɔɠɔ lolini, ti ʋilɛ Dan ná-nuiti polu. 
JDG.18.23	Ti ɠɛni kpeei loozu Dan ná-nuiti polu, naati ti ɠaleni ma, ti ɠɛ Mika ma: «Leeni ɠa kɛai, è toligi wosu ɠana?»
JDG.18.24	É ti wooɠaaʋoteni, é ɠɛ ti ma: «Nà-galagiti gè ti ɓɛtɛni, wo ti zeɠea, é ʋɛɛ zalaɠa ɠula nui ʋa, wo lia ga tiye, lee ɠili ka niina zɛgai zèa, wa gaazaɠa mà vaa zu?»
JDG.18.25	Dan ná-nuiti ti gooɠaaʋoteni, ti ɠɛ ma: «Mina gi woizuɓɔlɔ! Tanisu gi zaama, nui tanigaa yiiɠaawana, ti loo è ma. Toɠa ɠɛ ga è undaaʋili faa, wa ɗa-ʋɛlɛyeɠei.» 
JDG.18.26	Dan ná-nuiti ti pele zoni, ti ɗa li. Mika kaai ma ga ta-zobogi wɔɔlɔʋɛ nɔnɔi ʋa, é ɠaleni ma, é li ná-pɛlɛi wu.
JDG.18.27	Nii kpein Mika kpɛtɛni, zekana Dan ná-nuiti ti naati seɠeni la, ti li ga tiye, é ʋɛɛ zalaɠa ɠula nui ʋa, é ɠɛni zea. Naa ʋoluma, ti laalɛɛni Layise wu, ti nuɓusɛiti paa, niiti ti ɠaalɛini, ti laai ɓɔɠɔ la, ti zeini ziilɛigi zu, naa ʋolu ti abui loni taai ʋa. 
JDG.18.28	Nu nɔpɛ ge la ɠɛni ʋaani, é ʋa ɓɔ ti ʋa, mazɔlɔɔ ti maaɠoozani Sidɔn yooi ʋa, kpɔfaama la ɠɛni ti yɔɠɔzu ta nu nɔpɛ, ná ɠɛni nɛmɛi zu, nii é Ɓɛte-Leɠɔɓe.
JDG.18.28	Dan ná-nuiti ti taai loni ʋolu, ti zei ná. 
JDG.18.29	Ti taai laasei pɛɛni ga Dan, ti-mɛmɛwola Dan laaseigi, Izelayɛle ná-doun zunui, kɛlɛ mɔungi daaseigi ɠɛni ga Layise. 
JDG.18.30	Dan ná-nuiti ti vololibai naa ɠaalɔni ná, ti Zonatan zei ga zalaɠa ɠula nui, Dan mavofodaiti bɛ, nii é ɠɛni ga Gɛɛlesome ná-doun zunui, Moize ná-dounloin. Naa mavofodaiti ka ti ɠɛni naama wotii ma, eyɛsu ti li ga tiye duɔlai zu. 
JDG.18.31	Vololibai nii Mika kpɛtɛni, ti naa makɛni, GALA pɛlɛi nii é ɠɛni Silo, naa ná-yeeɠɛɠalai kpein daawu.
JDG.19.1	Naama ziɛgi zu, masa ge la ɠɛni Izelayɛle unda. Leevi nui ta ɠɛni ná, é ɠɛni zeini Efelayime ɠize yooi ɠaaɓelazuʋɛ, é anzai ta zeɠeni Ɓɛteleyɛme Zuda yooi zu, nii é la vuluni ga zɔiti kɛʋele. 
JDG.19.2	Kɛlɛ anzanui naa ɓɔɠɔ lɔɔni koloɠologi zu, é zeɠeni pɔ bɛ, é ɠale ma kɛɛɠɛ ʋɔ bɛ Ɓɛteleyɛme, é kɛɛni ná ga alu naanigɔ. 
JDG.19.3	Sinigi wuzeɠeni, é li pɔ bɛ, é ʋa ɓɔɛ pɔ, é ziila, é lii la. Ná-botiɠɛ zunu loungoi ɠɛni ba, ta soovale felegɔ. Anzanu loungoi naa lɛɛni kɛɛɠɛ ná-pɛlɛi wu, siɛgi zu kɛɛɠɛ zunui ɠaani la, é yeezeini bu ga koozunɛ.
JDG.19.4	Nɛkoi, anzanu loungoi kɛɛɠɛ, naa yeeʋilini su, é yɛ naa ʋɔ bɛ, é kɛ ná ga folo saʋagɔ. Ti ɗa daamii wo, ti ɗa ɓɔɔle, ti ɗa ɲi ná. 
JDG.19.5	Foloi naanisiɛi, ti wuzeɠeni ga sobuzobui, Leevi nui ɠɛʋele ɓɛtɛni ga é li. Kɛlɛ anzanu loungoi kɛɛɠɛ ɠɛni nɛkoi ma: «Ani go mi, è zɛbɛ zɔlɔɔ, wa li niina.»
JDG.19.6	Ti zeini, ti daamii wo, ti ɓɔɔle ʋɔɔma ti felegɔ. Naa ʋolu anzanu loungoi kɛɛɠɛ ɠɛni anza zinigi ma: «Deve, è ɲi ʋɛ, è yiilɛi.» 
JDG.19.7	Anza zinigi wuzeɠeni ga é li, kɛlɛ nɛkoi ɠilini ma, é kpidi ɠila kɛɛni ná mɔnɔ. 
JDG.19.8	Foloi lɔɔlusiɛi, é wuzeɠeni ga sobuzobui ga é li. Anzanui kɛɛɠɛ ɠɛni ma: «Nà è maanɛɛnɛzu, ani go mi, wo naa maaɓɔun, foloi gaayei.» Ti felegɔ pɛ ti daamii woni.
JDG.19.9	Anza zinigi wuzeɠeni, ga ti li ta anzai nii é la ɠɛni fuluni ga zɔiti kɛʋele, ta ná-botiɠɛ zunu loungoi, kɛlɛ anzai kɛɛɠɛ ɠɛni ma: «Wɛlɛ foloi gaayeiɗa, woza lia, à ɲi ʋɛ, foloi lia. À ɲi ʋɛ, è yiiɠaalɛi, lina wa wuzeɠe ga sobuzobui, wo ʋilɛ pelei zu, è li ɗa-laazu.» 
JDG.19.10	Anza zinigi la ɠɛni pɔ ga é ʋa ɲi ná, é wuzeɠeni, é li. É zeelini Yeeɓuse ɠakalaʋɛ, nii é ga Zeeluzalɛme, ta soovale felegɔiti ti maaɠiliai, ta anzai nii é la ɠɛni vuluni ga zɔiti kɛʋele.
JDG.19.11	Siɛgi zu ti zeelini la Yeeɓuse, foloi wola liini niina. Botiɠɛ zunu loungoi ɠɛni maliɠii ma: «Ade li, de lati Yeeɓuse nuiti ta-laai tɛi ma, ade ɲi ná.»
JDG.19.12	Maliɠii gooɠaaʋoteni, é ɠɛ ma: «Ɓa-o, ade la laazu zii ɠiligiti ta-laazu, ʋɛ Izelayɛle nu la ná, ada ɲiizu Giɓea.» 
JDG.19.13	É ɠɛni mɔnɔ ná-botiɠɛ zunu loungoi ma: «Ade li, de maaɓuɠa nuuma adaʋɛti ta ʋa, Giɓea ɓaa Lama, de ɲi ná.» 
JDG.19.14	Ti yɛni ziɛzu eyɛsu foloi da, siɛgi zu ti maaɓuɠani la Giɓea ʋa, nii é Ɓɛnzamɛn yooi zu. 
JDG.19.15	Ti latini eyɛsu ti zeeli miná, ti ɲi Giɓea. Leevi nui lɛɛni, é lo taa zaamaʋɛ. Nu nɔpɛ ge la ɠɛni suzoni, é ʋa daazuʋɛɛ ná-pɛlɛi wu, ga é ɲi ná.
JDG.19.16	Gaaɓelasu, kɛwola ʋɔlɔi ta ʋaani kpɔkɔi, é zeɠe boti ɠɛɛzuʋɛ kpalagaʋɛ, zunui naa ɠɛni ga Efelayime ɠize yooi zu nui ta, é ɠɛni zeini Giɓea, kɛlɛ náʋɛ nuiti ti ɠɛni ga Ɓɛnzamɛn nuiti. 
JDG.19.17	É ɠaazuwuzeɠeni, é wɛɛin ɠa taa zaamaʋɛ. Kɛwolai ɠɛni ma: «Ɗa liizu mini? Ɗa zeɠezu mini?»
JDG.19.18	É gooɠaaʋoteni, é ɠɛ ma: «Gá zeɠezu Ɓɛteleyɛme Zuda yooi zu, gá liizu Efelayime ɠize yooi ɠaaɓelazuʋɛ, miná ɠa gè zɔlɔɔni ná. Pàaʋɛ, gè zeɠe Ɓɛteleyɛme Zuda yooi zu, nà liizu Ɠɔoɠɔ GALAGI ná-pɛlɛi wu, kɛlɛ nu nɔpɛ ge la ná, nii é yeezeizu bù. 
JDG.19.19	Tama, tufai ɠa gi ya soovalegiti kɔnɔ fai zu, ta ɓului ɓalaa, ta dɔɔi, gi ʋɛ ga ànzai ta nà-botiɠɛ nui, gi ɓɛdɛ la ani nɔpɛ ba.»
JDG.19.20	Kɛwolai ɠɛni ma naazu: «Ziilɛigi ɠɛ è ʋɛ! Gè minazeɠea ga è-maavai pɛ, è la ɲia taa zaamaʋɛ.» 
JDG.19.21	É ti lɛɛni ná-pɛlɛi wu, é tufai ve soovalegiti zea. Siɛʋeaiti ti ɠɔɠɔiti maagbani, naa ʋolu ti daamii wo, ti ɓɔɔle.
JDG.19.22	Siɛgi zu ti ɠɛni ɠoozunɛɛzu la, taazuʋɛ zunuiti, nu ɲakaiti, ti ʋaani ti ɠaku pɛlɛi ma, ti ɗa daa ziɠa, ti ɗa ɠɛ kɛwola ʋɔlɔi ma, pɛlɛ kɛɛ nui: «Zunui ɠula, nii tɛai è ʋɔ bɛ, gi ɓɛdɛ ɠula la!»
JDG.19.23	Pɛlɛ kɛɛ nui ɠulani, é li ti ʋɔ bɛ, é ɠɛ ti ma: «Ɓa-o, kɛ̀ɛleaiti, à mina faa ɲɔu ɠɛ, nà wo maanɛɛnɛzu, tɔɔzei zunui nii ɠa ga mà wɛɛn, à mina tɔɠɔ ɠoloɠolo faa ɠɛ. 
JDG.19.24	Wɛlɛ dòun anzanui ʋa, kpeaai, ta zunui anzai, nà ɠulazu ga naati. À loo naati ma, wo naa ɠɛ nii wo wɔinni wo kɛ. Kɛlɛ à mina tɔɠɔ ɠoloɠolo faa wolai naa ɠɛ ga zunui nii.»
JDG.19.25	Zunui naati ti la ɠɛni woiloni goo ma. Názu ɠa Leevi nui anzai zoni la, é kula eteaʋɛ. Ti ʋuuni ma, ti ʋooʋa ma, é zo kpidii ma eyɛsu sobui, naa ʋolu sobuzobui ti yeeɓe ba. 
JDG.19.26	Sobui, anzanui naa ʋaani, é loo zunui naa ná-pɛlɛlaʋɛ, ʋɛ sinigi ɠɛni ná, eyɛsu woza ɠala.
JDG.19.27	Sobui sinigi wuzeɠeni, é pɛlɛi laalao, é ɠula, é ʋa li ná-siɛi ma. Kɛlɛ anzanui naa, é ga anzai nii é la ɠɛni fuluni ga zɔiti kɛʋele, é naa ɠaani laani nu lɛɛzuʋɛ pɛlɛi wu, zeeiti pɛai kpofalagi ma. 
JDG.19.28	É ɠɛni ma: «Wuzeɠe, de li!» Kɛlɛ gooɠaaʋote ge la ɠɛni veeni. Sinigi seɠeni, é pɛɛ soovalegi gila kɔma, é ʋilɛ pelei zu, é ɗa li ná-taazu.
JDG.19.29	Seeliai ma ná-pɛlɛi wu, é boɠai zeɠeni, é anzai leʋeleʋe, é kɛ ga ma ɓulukpulu puugɔ maazu felegɔ (12), é teʋeni Izelayɛle yooi zu ná pɛ. 
JDG.19.30	Niiti kpein ti naa ɠaani, ti ɠɛni ma: «Nii ɠɛɠala vaa nɔpɛ ge la dɛ ɠɛɛni, nu la dɛ ta ɠaani, kaipa Izelayɛle nuiti ti lɛɛni, ti ɠula Ezipete yooi ʋa, eyɛsu zaaɠaza. À ɠisiɛ su, wo ɓɔɠɔ ɠa, wo deve wo!»
JDG.20.1	Izelayɛle nuiti kpein ti ʋaani, é zo Dan é li Ɓeel-Seeɓa, eyɛsu Galaade yooi zu, bɛbɛi ɠaalɛɛni ba Ɠɔoɠɔ GALAGI ɠakala eɠɛ nu ɠila nɔ Misepa. 
JDG.20.2	Nuɓusɛiti ta-ɠundiɠiiti kpein, ti ga Izelayɛle wolodamaiti, ti ɠɛni GALA ná-nuɓusɛiti ta-maaɓɔgi zu, zunu waaunnaanigɔ (400 000) ɠɛni ná, niiti ti ɠɛni ziɛzu ɠɔɠɔa, boɠa zɔkpɔi ɠɛni ti ya. 
JDG.20.3	Ɓɛnzamɛn nuiti ti mɛnini ga Izelayɛle nuiti ti lɛɛni Misepa. Izelayɛle nuiti ti ɠɛni ma: «Ʋelei faa ɲɔi nii ʋaai la, à naa wo lɛɛ gi ma.»
JDG.20.4	Leevi nui nii ti anzai ʋaani, naa ɠɛni ti ma: «Ànzai nii é la ɠɛni vuluni ga zɔiti kɛʋele, gá naa ɠa gi ʋaani Giɓea Ɓɛnzamɛn yooi zu, ga gi ɲi ná. 
JDG.20.5	Taaʋeaiti ti laalɛɛni nɔ̀un bu. Kpidii, ti pɛlɛi maalatini, ʋɛ gè ɠɛni ná, ti ɠɛ ti pàa. Ti ʋilɛni ànzai ʋolu, ti yɛ laazu la eyɛsu ti paa. 
JDG.20.6	Gè ma ʋoomai zeɠeni, gè teʋeleʋe, gè sei su puu maazu fele (12), gè teʋe Izelayɛle yooi zu ná pɛ. Tɔɔzei ɲamaba vai é ga tɔɠɔ ɠoloɠologi niima zii ɠɛa Izelayɛle yooi zu. 
JDG.20.7	Wɛlɛ, Izelayɛle nuiti wo kpein ka, wo ɠaalɛai ba, à unpilɛna, wo faa ɠila deve!»
JDG.20.8	Nuɓusɛi kpein ge wuzeɠeni sɔ gilagi zu, ti ɠɛ ma: «Nu ɠila kpalaa ge la ɠalesu ma ná-seɠe ɠotai wu, nu ɠila kpalaa ge la liizu ná-pɛlɛi wu. 
JDG.20.9	Wɛlɛ nii ade kɛɛzu niina ga Giɓea nuiti, ada kpakutoomai ɠɛɛzu, ade kwɛɛ nii da kɛ ga tiye. 
JDG.20.10	Izelayɛle wolodai kpein su, ada nu puugɔ zeɠezu nu ungilagi (100) zu, ta nu ungila (100) nu waagilagi (1 000) zu, ta nu waagila (1 000) nu waapuugɔi (10 000) zu, ta liizu ti daamiani gaiziɛ nuɓusɛiti bɛ, naa ɠa a kɛ ta ɠalena ma, ade Giɓea zo, nii é Ɓɛnzamɛn yooi zu, eɠɛʋelei ta-ɲamaba vaa ɲɔi la, ti kɛai Izelayɛle yooi zu.» 
JDG.20.11	Zekana Izelayɛle zunuiti kpein ti ɠaalɛɛni ba la taai laalɔɠɔma, eɠɛ zunu ɠila kpe nɔ.
JDG.20.12	Izelayɛle wolodaiti ti zunuiti teʋeni Ɓɛnzamɛn ná-pɛlɛyeɠei ma, ti ɠɛ ma: «Ɲamaba vai, nii ɲɔuɗai, naa ɠɛɛʋɛ ɠale wo zaama? 
JDG.20.13	Gaamago nɔ, su mina ɠooza, à nu ɲakaiti fe gi ya, niiti ti Giɓea, gi ti undaaʋili, gi faa ɲɔi ɠula Izelayɛle zaama ɠana!»
JDG.20.13	Ɓɛnzamɛn nuiti ti la ɠɛni kɛɛni, ti ʋa woilo ti-ɠɛɛleaiti goo ma, Izelayɛle nuiti. 
JDG.20.14	Ɓɛnzamɛn nuiti ti zeɠeni ta-laa wolaiti su, ti ɠaalɛ ba Giɓea, ti ʋa li ga kɔɔi Izelayɛle laalɔɠɔma. 
JDG.20.15	Ɓɛnzamɛn nuiti gaaluni ma volo ná, ti ɠɛni ga, zunu waaʋuufele maazu lɔzita (26 000), niiti boɠa zɔkpɔi ɠɛni ti ya, Giɓea taaʋeaiti ti la naama ɠaalugi zu, tɔɔzei naati tiegi ɠɛni ga nu undɔfela (700), ti ga kɔɔɠɔ nu ɠɛzɛɠɛzɛgiti. 
JDG.20.16	Naama ɠɔɔɠɔ nuiti saama, kɔʋɛ nui ɠɛni ti zaama ga nu undɔfela (700), naati kpein ti ɠɛni zoosu ti kɔtui ʋili ga fɛlɛvɛlɛgi, ti la ʋoola nu undeɠa ɠila kpegi ʋa. 
JDG.20.17	Ti Izelayɛle nuiti gaaluni ɓalaa, ti ɠɛni ga nu waaunnaanigɔ (400 000), niiti boɠa zɔkpɔi ti ya, ti ga kɔɔɠɔ nuiti, Ɓɛnzamɛn nuiti ti la naama ɠaalugi zu.
JDG.20.18	Izelayɛle nuiti ti wuzeɠeni, ti lɛ Ɓeetɛle, ti GALA gaazaɠa, ti ɠɛ ma: «Gi zaama ɓɛ ɠa a lɛ dɛ mɔunpa, é Ɓɛnzamɛn nuiti sakpe?»
JDG.20.18	Ɠɔoɠɔ GALAGI ɠɛni ma: «Zuda nuiti ka ta lɛ ti tɔɔzei.»
JDG.20.19	Geelaalaoni nɔ feya, Izelayɛle nuiti ti wuzeɠe ti ta-ɠɔɔlaɠai ʋu Giɓea ɠobaʋɛ. 
JDG.20.20	Ti ɠulani, ti li ga ti kɔɔi ʋɛɛ Ɓɛnzamɛn nuiti ba, ti ɓɔɠɔ zeini su, ti lo Giɓea laawu. 
JDG.20.21	Ɓɛnzamɛn nuiti ti ɠulani Giɓea, ti Izelayɛle nui ʋaani kɔɔɠɔzuʋɛ naama volo ná ga nu waaʋuufele maazu fele (22 000). 
JDG.20.22	Nuɓusɛiti, Izelayɛle nuiti, ti ɓɔɠɔ iɲɔdɔɔni, ti ɠɛʋele ɓɛtɛni kɔɔɠɔ vai ma mɔnɔ ga niinɛ naama adaʋɛ nɔ, ʋɛ ti ɠɛni ʋuuni ná folo mɔungi. 
JDG.20.23	Izelayɛle nuiti ti lɛɛni, ti wɔlɔ Ɠɔoɠɔ GALAGI ɠaazu, eyɛsu kpɔkɔi zeeli. Ti Ɠɔoɠɔ GALAGI ɠaazaɠani, ti ɠɛ ma: «Gi maanɛɛʋɛ nɛi gi kɔɔ laalɛ Ɓɛnzamɛn nuiti bu, gi-ɠɛɛleaiti?»
JDG.20.23	Ɠɔoɠɔ GALAGI ɠɛni ti ma: «À li ti laalɔɠɔma.»
JDG.20.24	Poluma zobui, Izelayɛle nuiti ti laalɛɛni Ɓɛnzamɛn nuiti bu ʋolu, ná zeizu velesiɛi. 
JDG.20.25	Ná zeizu velesiɛi naa, Ɓɛnzamɛn nuiti ti ɠulani Giɓea, ti ti laaɠomi, ti nu waapuugɔ maazu lɔsaʋa (18 000) ʋaani Izelayɛle ɠɔɔɠɔ nuiti ba, kɔɔɠɔzuʋɛ, ti zoogai boɠa zɔkpɔi ʋilisu.
JDG.20.26	Izelayɛle nuiti kpein, ti ma ʋɛbɛiti ti lɛɛni Ɓeetɛle. Ti yɛni zeini ná, Ɠɔoɠɔ GALAGI ɠakala, ti ɗa wɔlɔ, ti zugi zo eyɛsu kpɔkɔi, ti gala zalaɠaiti kula, ta ziilɛi zalaɠaiti Ɠɔoɠɔ GALAGI ɠakala. 
JDG.20.27	Ti Ɠɔoɠɔ GALAGI ɠaazaɠani mɔnɔ. Naama ziɛgi zu, miná ɠa Ɠɔoɠɔ GALAGI ná-minazeɠe kesui ɠɛni ná. 
JDG.20.28	Eleazaal ná-doun zunui, Finease, nii é ga Aalɔn ná-dounloin, naa ɠa é ɠɛni botii zu naama ɠonagi. Ti ɠɛ ma: «Gi maanɛɛʋɛ gi li mɔnɔ, gi gi-ɠɛɛleaiti sakpe, Ɓɛnzamɛn mavofodaiti, ɓaa gi looɠo?»
JDG.20.28	Ɠɔoɠɔ GALAGI ɠɛni ti ma: «À li, mazɔlɔɔ lina, nà zobo feezu wo ʋɛ, wo pilɛ sɔlɔɔ ti ma.»
JDG.20.29	Izelayɛle nuiti, ti zunuiti seini dɔɔɠuzu Giɓea maaɠoolii zu. 
JDG.20.30	Naa ʋolu, ti liini, ti laalɛ Ɓɛnzamɛn nuiti bu ná foloi zaʋasiɛi. Ti ɓɔɠɔ zeini su kɔɔɠɔ vai ma Giɓea luɠɔ, eɠɛʋelei ma mɔun felegɔi ɠɛni la. 
JDG.20.31	Ɓɛnzamɛn nuiti ti ɠulani kɔɔɠɔ vai ma, ti ɓeni ɓɔɠɔ ʋa, ti yeeɓeteʋe taai ʋa. Ti tɔɔzeini ga nuiti paa nuɓusɛiti saama, eɠɛʋelei nɔ ti kɛɛni la mɔungiti su, pelei naati su, nii gilagi lɛɛzu ga Ɓeetɛle ʋele, gilagi ɗa li ga Giɓea ʋele ɓalaɠai zu. Izelayɛle zunui ti paani, é ɠɛni ga nu ʋuusaʋagɔ (30).
JDG.20.32	Ɓɛnzamɛn nuiti ti ɠɛni ɠɛɛzu ma: «Ade vɔniga ti ma ga mɔungi nɔ ɠɛʋelei.»
JDG.20.32	Kɛlɛ Izelayɛle nuiti ti ɠɛni ɠɛɛzu: «Ade ʋela ti ʋa, de ti ɓeteʋe taai ʋa, de li ga tiye pelei zu.»
JDG.20.33	Izelayɛle zunui kpein ge zeɠeni losuʋɛti, ti ɓɔɠɔ ɠɛʋele ɓɛtɛ Ɓaale-Tamaal. Izelayɛle ná-nuiti ti lɔɔɠuni, naati ti zeɠeni Maalee-Geeɓa, ʋɛ ti ɠɛni ná. 
JDG.20.34	Kɔɔɠɔ nu ɠɛzɛɠɛzɛ waapuugɔ (10 000), niiti zeelobai woni ga tiye Izelayɛle zaama, naati ti zeelini Giɓea ɠakalaʋɛ. Kɔɔi wola ɓɔini, kɛlɛ Ɓɛnzamɛn nuiti ti la ɠɛni kwɛɛ ga maanɔɠɔi ɠa ʋaazu ti ʋɔ. 
JDG.20.35	Ɠɔoɠɔ GALAGI Ɓɛnzamɛn nuiti sakpeni Izelayɛle ʋɛ, naama voloi, Izelayɛle zunu waaʋuufelegɔ maazu lɔɔlugɔ ungila (25 100) paani, ti pɛ ti zoogai kɔɔi ɠɔɔzu ga boɠa zɔkpɔi.
JDG.20.36	Ɓɛnzamɛn nuiti ti kwɛɛni ga Izelayɛle nuiti ti pilɛ sɔlɔɔga ti ma. Izelayɛle zunuiti ti kɛɛni, eɠɛ ta ɠɛ ʋelazu Ɓɛnzamɛn nuiti ba, kɛlɛ ti-ɠigi ɠɛni ta-ɠɔɔɠɔ nuiti ba, niiti ti lɔɔɠuni Giɓea ɠobaʋɛ. 
JDG.20.37	Názu ɠa nui naati ti lɔɔɠuni, ti ɠulani la, ti loo Giɓea zu, ti vaza taazuʋɛ, ti nuiti undaaʋili. 
JDG.20.38	Ti zolooni ma ta Izelayɛle ɠɔɔɠɔ nui zɔiti, ga ti abui lo, ma luului wuzeɠe taazuʋɛ, é ɗa lɛ geezuʋɛ. 
JDG.20.39	Izelayɛle zunuiti ti ɠaaʋoteni ʋolu ti ma, ga kɔɔɠɔi. Ɓɛnzamɛn nuiti ti nu ʋuusaʋagɔ (30) ɠɛɠala ʋaani niina ti ʋa, naa maaʋele ma, ti ɠɛni ɠɛɛzu ma: «Ti ʋoluazoga, ti ɗa ʋela ade ʋa, eɠɛʋelei é ɠɛni la kɔɔɠɔ volo mɔungi zu.»
JDG.20.40	Gaamanɔ, duulu wolai tɔɔzeini ga wuzeɠea taazuʋɛ. Ɓɛnzamɛn nuiti ti latini, ti ka ga abuzogi ɠa ta-laai ʋa, ma abuzogi ɗa lɛ geezuʋɛ. 
JDG.20.41	Názu ɠa Izelayɛle zunuiti ti ɠaleni ma la Ɓɛnzamɛn nuiti daalɔɠɔma, naati ti wola zuluani. Mazɔlɔɔ ti undaaʋiligi ɠaani, nii é ɠɛni ti luɠɔ. 
JDG.20.42	Ti ʋoluaveni Izelayɛle zunuiti ba, ti ɗa li ga teʋebai zu ʋele. Kɛlɛ kɔɔi la ɠɛni ɓudɛni ti maazu, niiti ti zeɠeni taazu ʋelei, naati ti ɠɛni ti ʋaazu, tɔɔzei ti ɠɛni ti yɔɠɔzu. 
JDG.20.43	Izelayɛle nuiti ti Ɓɛnzamɛn nuiti maalatini, ti ʋilɛni ti ʋolu, ti ɗa ti ʋaa, ʋɛ kpein ti ɠɛni ɠɛɛzu ti looɠo ná, eyɛsu Giɓea letemaʋɛ, folo ɠulazu ʋelei. 
JDG.20.44	Ti Ɓɛnzamɛn zunu waapuugɔ maazu lɔsaʋa (18 000) ʋaani, ti pɛ ti ga kɔɔɠɔ nu ɠɛzɛɠɛzɛgiti. 
JDG.20.45	Niiti ti yɛni vulua, naati ti ɓizɛni, ti li teʋebai zu, Limon fasai ʋɔ pelei, ti nu waadɔɔlugɔ (5 000) ʋaani naati saama pelei zu, ti ʋilɛ ti ʋolu, eyɛsu ti zeeli Gidome, ti nu waafelegɔ (2 000) ʋaa ti ʋa miná.
JDG.20.46	Ɓɛnzamɛn nui liegɔi é zaani, é ɠɛni ga zunu waaʋuufele maazu lɔɔlu (25 000), ti pɛ ti ga kɔɔɠɔ nu ɠɛzɛɠɛzɛgiti. 
JDG.20.47	Zunu undɔzita (600), niiti ti ʋoluaveni, ti ʋela ti li teʋebai zu, Limon fasai ʋɔ pelei, naati ti yɛni miná eyɛsu alu naanigɔ. 
JDG.20.48	Naa ʋoluma, Izelayɛle nuiti ti ɠaaʋoteni Ɓɛnzamɛn nuiti daalɔɠɔma, ti ɗa zunuiti paa ga boɠa zɔkpɔi taaiti su, ta toganiiti, ta niiti kpein nɔ ti ɠɛni ti ɠaazu luɠɔ. Ti abui loni taaiti kpein ba, ma yooi zu, niiti ti ti ɠaani.
JDG.21.1	Zunuiti ti ɠonani Misepa ga ti la mɔ ti-loun anzanu vea Ɓɛnzamɛn nu ʋɛ ga vulu.
