MAT.1.1	O le tala lenei i le gafa o Iesu Keriso le atali‘i o Tavita, le atali‘i o Aperaamo.
ROM.2.29	O le tagata Iutaia moni, e iloa lea i ona uiga lē va‘aia; e fa‘apea fo‘i le peritomeina moni, o le mea tau le loto ma o le mea fa‘aleagaga ‘ae lē se mea fa‘aletino. O le vi‘iga mo ia e lē maua mai tagata ‘ae maua mai le Atua.
ROM.3.1	O le ā ‘ea se mea ‘ua sili ai le tagata Iutaia? O le ā fo‘i se aogā o le peritomeina? 
ROM.3.2	E i ai mea e tele! O le mea muamua, o tagata Iutaia na tu‘uina mai i ai afioga a le Atua. 
ROM.3.3	‘Ae fa‘apefea la pe ‘āfai e lē fa‘amaoni nisi? E ‘avea ‘ea le lē fa‘amaoni o i latou ma mea e fa‘alēaogāina ai le fa‘amaoni o le Atua? 
ROM.3.4	E leai lava. Tusa lava pe lē fa‘amaoni tagata uma, e fa‘amaoni pea lava le Atua; e pei ‘ona tusia:
ROM.3.4	“E tatau ‘ona ta‘uamiotonuina oe i au ‘upu,
ROM.3.4	e tatau fo‘i ‘ona e mālō pe a fa‘amasinoina oe.”
ROM.3.5	‘Āfai ‘ua ‘avea la tatou amioleaga ma ala e fa‘aalia manino mai ai le amiotonu a le Atua, o le ā sa tatou ‘upu e fai i lea mea? ‘Ua lē amiotonu ‘ea le Atua ‘ina ‘ua fa‘ao‘o mai lona to‘asā ‘iā te i tatou? (‘Ua ‘ou tautala atu i le gagana fa‘aletagata i lenei mea.) 
ROM.3.6	E leai lava. Auā, e fa‘apefea la ‘ona fa‘amasinoina le lalolagi e le Atua?
ROM.3.7	Peita‘i, ‘āfai e ‘avea lo‘u pepelo ma mea e fa‘ateleina atili ai le fa‘amaoni o le Atua e o‘o ai i lona vi‘iga, aiseā la ‘ua fa‘amasinoina ai pea a‘u e pei o se tagata agasala? 
ROM.3.8	Aiseā fo‘i la e lē faia ai le amioleaga, ‘ina ‘ia tupu mai ai le lelei? e pei ‘ona pepelo ane ai nisi fa‘apea na matou fai atu fa‘apenā. ‘Ua sa‘o lelei le fa‘asalaga o i latou na.
ROM.3.9	O le ā ‘ea le uiga o lenei mea? E sili ‘ea i tatou tagata Iutaia i lo tagata o Nu‘u ‘ese? E leai lava! Auā ‘ua uma ‘ona ‘ou fa‘aali atu o tagata uma, o Iutaia ‘atoa ma Eleni, ‘ua nofo sala. 
ROM.3.10	E pei ‘ona tusia:
ROM.3.10	“E leai sē e amiotonu, e leai lava se isi,
ROM.3.11	e leai se isi e malamalama,
ROM.3.11	e leai fo‘i se isi o sā‘ili i le Atua.
ROM.3.12	‘Ua liliu ‘ese tagata uma,
ROM.3.12	‘ua o fa‘atasi i latou i le leaga;
ROM.3.12	e leai lava se isi o i latou e amio lelei, e o‘o lava i se tagata e to‘atasi.
ROM.3.13	‘Ua pei o se tu‘ugamau fa‘amaga o latou fa‘a‘ī,
ROM.3.13	‘ua fa‘a‘ole‘ole o latou laulaufaiva.
ROM.3.13	O lo‘o i o latou laugutu le mea ‘o‘ona a le gata.
ROM.3.14	‘Ua tumu o latou gutu i le fetu‘u ma ‘upu fa‘atigā.
ROM.3.15	‘Ua televavave o latou vae i le fa‘amaligiina o le toto.
ROM.3.16	O lo‘o i o latou ala le fa‘atafunaiina ma le puapuagā;
ROM.3.17	‘ua lē iloa e i latou le ala o le manuia.
ROM.3.18	E matuā leai lava so latou mata‘u i le Atua.”
ROM.3.19	O lenei, ‘ua tatou iloa, so o se mea lava ‘ua fai mai ai le tulafono, e fa‘asino tonu lava lea i ē o lo‘o nonofo i le tulafono, ‘ina ‘ia punitia gutu uma lava, ma ‘ia nofo sala le lalolagi uma i luma o le Atua. 
ROM.3.20	Auā e leai se tagata e to‘atasi e ta‘uamiotonuina i luma o le Atua i galuega o le tulafono; auā o le tulafono e iloa lelei ai le agasala.
ROM.3.21	A ‘ua fa‘aalia mai nei le amiotonu a le Atua, e aunoa ma le tulafono, e ui lava ‘ina molimau i ai le tulafono ma perofeta; 
ROM.3.22	o le amiotonu lea a le Atua e auala mai i le fa‘atuatua ‘iā Iesu Keriso, mo tagata uma ‘ua talitonu; auā e leai se ‘ese‘esega o i latou. 
ROM.3.23	Auā ‘ua agasala tagata uma lava, ma ‘ua lē o‘o i le mamalu o le Atua. 
ROM.3.24	‘Ua ta‘uamiotonuina fua i latou i lona alofa tunoa, e ala i le togiola ‘ua ‘iā Keriso Iesu. 
ROM.3.25	O lē ‘ua tu‘uina mai i luma e le Atua, e ‘avea ma taulaga mo agasala i lona toto, e maua i le fa‘atuatua; ‘ina ‘ia fa‘aalia manino mai lana amiotonu, ‘ina ‘ua lē tauia e ia agasala ‘ua mavae ‘ona o le ‘onosa‘i o le Atua. 
ROM.3.26	‘Ina ‘ia fa‘aalia manino mai ai fo‘i lana amiotonu i aso nei, ‘ina ‘ia iloa ai e amiotonu o ia, ma ‘ua ta‘uamiotonuina e ia lē ‘ua fa‘atuatua ‘iā Iesu.
ROM.3.27	O lenei, o le ā la se mea e mitamita ai? E leai se mea! E mitamita ‘ea ‘ona o le tulafono? ‘Ona o le tulafono ‘ea o galuega? E leai lava! Peita‘i ‘ona o le tulafono o le fa‘atuatua. 
ROM.3.28	Auā ‘ua tatou tāofi, e ta‘uamiotonuina le tagata i le fa‘atuatua e aunoa ma galuega o le tulafono. 
ROM.3.29	E fa‘apitoa ‘ea na o tagata Iutaia le Atua? E lē aofia ai ‘ea fo‘i ma Nu‘u ‘ese? Ioe, e aofia ai ma Nu‘u ‘ese. 
ROM.3.30	Auā fo‘i e to‘atasi lava le Atua; o ia lea na te ta‘uamiotonuina i le fa‘atuatua lē ‘ua peritomeina, ‘atoa ma lē e le‘i peritomeina, pe ‘āfai e fa‘atuatua i lā‘ua uma. 
ROM.3.31	A tatou fa‘alēaogāina ‘ea la le tulafono ‘ona o le fa‘atuatua? E leai lava! Peita‘i ‘ua tatou fa‘atumauina ai le tulafono.
ROM.4.1	O le ā nei sa tatou ‘upu e fai e uiga ‘iā Aperaamo lo tatou tamā fa‘aletino? 
ROM.4.2	Auā ana ta‘uamiotonuina Aperaamo i galuega, po ‘ua i ai se mea e mitamita ai o ia; peita‘i e leai se mea e mitamita ai o ia i luma o le Atua. 
ROM.4.3	Auā, o le ā ‘ea le mea o lo‘o fai mai ai le Tusi? “Na fa‘atuatua Aperaamo i le Atua, ‘ona ta‘ua ai lea o ia o le tagata amiotonu.” 
ROM.4.4	O le totogi o le tagata faigaluega e lē mafai ‘ona ta‘ua o le meaalofa, a o le taui lava o lana galuega. 
ROM.4.5	A o le tagata e lē galue, ‘ae fa‘atuatua i lē na te ta‘uamiotonuina le tagata e lē mata‘u, e ta‘ua lona fa‘atuatua o le amiotonu. 
ROM.4.6	Sa fa‘apea fo‘i ‘ona folafola atu e Tavita le fa‘a‘amu‘ia i le tagata ‘ua ta‘uamiotonuina e le Atua e aunoa ma galuega:
ROM.4.7	“ ‘Amu‘ia ē ‘ua fa‘amāgaloina o latou solitulafono,
ROM.4.7	ma ‘ua ufitia a latou agasala.
ROM.4.8	‘Amu‘ia le tagata e lē ta‘usalaina o ia e le Ali‘i.”
ROM.4.9	Po ‘ua gata ‘ea i lē ‘ua peritomeina lenei fa‘a‘amu‘ia? E lē aofia ai ‘ea ma lē e le‘i peritomeina? Auā ‘ua tatou fai ane, “ ‘Ua ta‘ua le fa‘atuatua o Aperaamo o le amiotonu.” 
ROM.4.10	O fea le taimi na ta‘ua ai o ia fa‘apea? ‘Ina ‘ua uma ‘ea ‘ona peritomeina, pe a o le‘i peritomeina? E le‘i ta‘ua ‘ina ‘ua uma ‘ona peritomeina, ‘ae na ta‘ua a o le‘i peritomeina. 
ROM.4.11	‘Ua maua fo‘i e ia le fa‘ailoga o le peritome, e fa‘amaonia ai lana amiotonu i le fa‘atuatua sa i ai lava a o le‘i peritomeina o ia. ‘Ua tupu lea mea ‘ina ‘ia ‘avea ai Aperaamo ma tamā o i latou uma o ē e fa‘atuatua ‘ae le‘i peritomeina, ma ‘ua ta‘uamiotonuina ai i latou. 
ROM.4.12	E fa‘apenā fo‘i ‘ona ‘avea o ia ma tamā o ē ‘ua peritomeina; o i latou ia e lē gata ‘ina ‘ua peritomeina, a ‘ua mulimuli atu fo‘i i le fa‘aa‘oa‘oga o le fa‘atuatua sa i lo tatou tamā o Aperaamo, a o le‘i peritomeina o ia.
ROM.4.13	E le‘i folafolaina atu ‘iā Aperaamo, po o lana fānau, o le a ‘avea le lalolagi ma o latou tofi ‘ona o le tulafono, peita‘i ‘ona o le amiotonu i le fa‘atuatua. 
ROM.4.14	Auā ‘āfai e tofia na o ē ‘ua i le tulafono, ‘ua leai la se aogā o le fa‘atuatua, ma ‘ua leai fo‘i se taunu‘uga o le folafolaga. 
ROM.4.15	O le tulafono ‘ua tupu mai ai le to‘asā; peita‘i a leai se tulafono, ‘ona leai fo‘i lea o se solitulafono.
ROM.4.16	O le mea ‘ua ala mai ai i le fa‘atuatua le mea na folafolaina, ‘ina ‘ia maua i le alofa tunoa. ‘Ina ‘ia tumau ai ia i latou uma e tupuga mai uma lava ‘iā Aperaamo, e lē na o ē ‘ua i le tulafono, a o i latou uma ‘ua au fa‘atasi i lona fa‘atuatuaga, o ia o le tamā o i tatou uma. 
ROM.4.17	E pei ‘ona tusia, “ ‘Ua ‘ou tofia oe e ‘avea ma tamā o nu‘u e tele,” i luma o le Atua lē ‘ua fa‘atuatua i ai o ia, lē e foa‘iina atu le ola i ē ‘ua oti, ma vala‘auina ia i ai mea sa lē i ai.
ROM.4.18	Na fa‘atuatua ma fa‘amoemoe o ia a o le‘i i ai se mea e fa‘amoemoe i ai, ‘ina ‘ia ‘avea o ia ma tamā o nu‘u e tele; e pei lava ‘ona ta‘uina mai ‘iā te ia, “O le a fa‘apea lava fo‘i lau fānau.” 
ROM.4.19	E le‘i fa‘avaivaia lona fa‘atuatua i le manatu ifo i lona tino, ‘ua vaivai e peiseaī ‘ua oti, auā po ‘ua tusa ma le selau ona tausaga, pe manatu fo‘i i le manava o Sara e lē fānau. 
ROM.4.20	E le‘i fa‘alētonu lona fa‘atuatua i le mea na folafolaina e le Atua, peita‘i ‘ua fa‘amalosia atili lona fa‘atuatua a o tu‘uina atu e ia le vi‘iga i le Atua. 
ROM.4.21	‘Ua mautinoa fo‘i e ia e mafai e le Atua ‘ona fa‘ataunu‘u le mea na folafolaina mai e ia. 
ROM.4.22	O le mea lea ‘ua ta‘ua ai lona fa‘atuatua o le amiotonu. 
ROM.4.23	Peita‘i, o ‘upu nei, “ ‘Ua ta‘ua ‘iā te ia,” e le‘i tusia fa‘apitoa tau o ia lava; 
ROM.4.24	‘ae aofia ai fo‘i ma tatou. ‘Ua ta‘ua ‘iā te i tatou o ē ‘ua fa‘atuatua i le Atua, na fa‘atūina mai Iesu lo tatou Ali‘i nai ē ‘ua oti. 
ROM.4.25	Na tu‘uina atu o ia ‘ina ‘ia oti ‘ona o a tatou agasala, ma toe fa‘atūina mai ‘ina ‘ia ta‘uamiotonuina ai i tatou i luma o le Atua.
ROM.5.1	O lenei, ‘ona ‘ua ta‘uamiotonuina i tatou i le fa‘atuatua, o lea fo‘i ‘ua tatou lelei ai ma le Atua, ‘ona o lo tatou Ali‘i o Iesu Keriso;
ROM.5.2	o ia fo‘i ‘ua tatou maua mai ai le ta‘ita‘iga i lenei alofa tunoa ‘ua tatou i ai nei. ‘Ua tatou ‘oli‘oli ai fo‘i i le fa‘amoemoe ‘ua tatou ‘auai fa‘atasi ai i le manuia o le Atua. 
ROM.5.3	E lē gata i lea, a ‘ua tatou ‘oli‘oli fo‘i i o tatou puapuagā, ‘ona ‘ua tatou iloa o le puapuagā e tupu ai le ‘onosa‘i, 
ROM.5.4	o le ‘onosa‘i e tupu ai le mautinoa, o le mautinoa e tupu ai le fa‘amoemoe, 
ROM.5.5	o le fa‘amoemoe fo‘i e lē i‘u ‘ina māasiasi ai i tatou, auā ‘ua liligi mai e le Atua lona alofa i o tatou loto, e ala i le Agaga Pa‘ia ‘ua foa‘iina mai ‘iā te i tatou.
ROM.5.6	Auā na maliu Keriso i le taimi tonu e tatau ai, ‘ina o aunoa i tatou ma se fesoasoani, na maliu o ia e ‘avea ma sui o tagata lē matata‘u. 
ROM.5.7	Auā e toetoe ‘ina lē mafai ‘ona oti se tagata e sui a‘i lē ‘ua amiotonu; peita‘i atonu lava e fa‘amalosi se isi e oti, e sui a‘i le tagata amiolelei. 
ROM.5.8	A ‘ua fa‘aali manino mai e le Atua lona alofa ia i tatou, ‘ina ‘ua maliu Keriso e sui ai i tatou, a o tatou agasala pea lava. 
ROM.5.9	O lenei, ‘ona ‘ua ta‘uamiotonuina nei i tatou i lona toto, e lē sili ‘ea la ‘ona lavea‘iina i tatou e ia mai le to‘asā? 
ROM.5.10	Auā ‘āfai ‘ua lelei i tatou ma le Atua i le maliu o lona Alo, a o fai i tatou ma ona fili, e sili atu ai ‘ona fa‘aolaina i tatou i lona soifua, ‘ina ‘ua tatou lelei ai ma ia. 
ROM.5.11	E lē gata fo‘i i lea, a ‘ua tatou ‘oli‘oli i le Atua ‘ona o Iesu Keriso, lē ‘ua tatou maua mai ai nei le leleiga.
ROM.5.12	O lenei, e fa‘apei ‘ona o‘o mai le agasala i le lalolagi i le tagata e to‘atasi, ma ‘ua o‘o mai ai le oti ‘ona o le agasala, ‘ona o‘o mai ai lea o le oti i tagata uma, auā ‘ua agasala tagata uma lava; 
ROM.5.13	auā sa i ai lava le agasala i le lalolagi a o le‘i tu‘uina mai le tulafono, peita‘i e leai se agasala i le mea e lē o i ai le tulafono. 
ROM.5.14	Na pule le oti talu mai ona po o Atamu se‘ia o‘o mai ia Mose, e o‘o lava fo‘i ia i latou o ē e lē tutusa a latou agasala ma le solitulafono a Atamu; ‘ua ‘avea fo‘i Atamu ma fa‘atusa o lē o le a maliu mai.
ROM.5.15	Peita‘i o le meaalofa ‘ua foa‘ifuaina mai, e lē pei o le solitulafono. Auā ‘āfai e oti tagata e to‘atele ‘ona o le agasala a le tagata e to‘atasi, e sili atu ai ‘ona tele le alofa tunoa o le Atua, ma le meaalofa foa‘ifua mai o le alofa tunoa ‘ona o le tagata e to‘atasi, o Iesu Keriso lea. 
ROM.5.16	O le meaalofa foa‘ifua, e lē pei o le taunu‘uga o le agasala a le tagata e to‘atasi. Auā o le fa‘amasinoga o le tagata e to‘atasi e o‘o mai ai le fa‘asalaga, a o le meaalofa foa‘ifua e mulimuli mai i agasala e tele; na te ‘aumaia le ta‘uamiotonuina. 
ROM.5.17	I le ‘āfai e pule le oti ‘ona o le agasala a le tagata e to‘atasi, e sili atu ai ‘ona pule i latou o ē ‘ua maua le tamao‘āiga o le alofa tunoa ma le meaalofa foa‘ifua o le amiotonu, ‘ona o le tagata e to‘atasi, o Iesu Keriso lea.
ROM.5.18	O le mea lea, e fa‘apei ‘ona fa‘asalaina tagata uma lava i le agasala a le tagata e to‘atasi, e fa‘apea fo‘i le galuega o le amiotonu a le tagata e to‘atasi, e maua ai le ta‘uamiotonuina ma le ola mo tagata uma lava. 
ROM.5.19	Auā e fa‘apei ‘ona ‘avea ma agasala a le to‘atele le lē usiusita‘i o le tagata e to‘atasi, e fa‘apea fo‘i ‘ona ta‘uamiotonuina le to‘atele ‘ona o le usiusita‘i o le tagata e to‘atasi.
ROM.5.20	‘Ua o‘o mai le tulafono e fa‘atele ai le agasala; peita‘i ‘ua o‘o ‘ina fa‘ateleina le agasala, a ‘ua sili ai ‘ona fa‘ateleina le alofa tunoa,
ROM.5.21	O lenei, e fa‘apei ‘ona pule le agasala e o‘o i le oti, e fa‘apea fo‘i ‘ona pule le alofa tunoa ‘ona o le amiotonu e o‘o i le ola e fa‘avavau, talu lo tatou Ali‘i o Iesu Keriso.
ROM.6.1	O lenei, o le ā ‘ea sa tatou ‘upu e fai? A tatou saga ola pea ‘ea i le agasala ‘ina ‘ia fa‘ateleina ai le alofa tunoa? 
ROM.6.2	E leai lava! O i tatou o ē ‘ua oti i le agasala, pe fa‘apefea ‘ona tatou saga ola ai pea fa‘apenā? 
ROM.6.3	Tou te lē iloa ‘ea, o i tatou uma nei na papatisoina ‘iā Keriso Iesu, ‘ua papatisoina i lona maliu? 
ROM.6.4	O le mea lea, ‘ua tatanu fa‘atasi ai i tatou ma ia i le papatisoga i lona maliu, ‘ina ‘ia tatou savavali i le ola fou, e pei ‘ona toe fa‘atūina o Keriso nai ē ‘ua oti i le mamalu o le Tamā.
ROM.6.5	Auā ‘āfai e fa‘atasia i tatou ma ia i le oti e pei o lona maliu, e fa‘apea fo‘i ‘ona fa‘atasia i tatou ma ia i le toetū e pei o lona toetū mai.
ROM.6.6	‘Ua tatou iloa ‘ua fa‘asatauroina lo tatou tagata tuai fa‘atasi ma ia, ‘ina ‘ia fa‘aumatia lo tatou tino agasala, ma ‘ia lē toe ‘avea i tatou ma pologa i le agasala.
ROM.6.7	Auā o lē ‘ua oti, ‘ua fa‘asa‘olotoina o ia nai le agasala.
ROM.6.8	‘Āfai fo‘i ‘ua tatou oti fa‘atasi ma Keriso, ‘ua tatou talitonu, tatou te ola fo‘i fa‘atasi ma ia. 
ROM.6.9	Auā ‘ua tatou iloa ‘ua toetū mai Keriso nai ē ‘ua oti, e lē toe maliu lava o ia, e lē toe pule fo‘i le oti ‘iā te ia. 
ROM.6.10	O le maliu na maliu ai o ia mo tagata uma i le agasala, e na o le tasi lava; peita‘i o le soifua ‘ua soifua ai o ia, e soifua ai pea lava i le Atua. 
ROM.6.11	O lea fo‘i ‘ua tatau ai ‘ona ‘outou manatu ifo ‘ua oti ‘outou i le agasala, a ‘ua ‘outou ola i le Atua ‘ona o Keriso Iesu.
ROM.6.12	O le mea lea ia ‘aua ne‘i pule le agasala i o ‘outou tino, ‘ina ‘ua ‘outou gaua‘i i ai i ona tu‘inanau. 
ROM.6.13	‘Aua fo‘i ne‘i tu‘uina atu o ‘outou tino i le agasala e fai ma ‘au‘upega a le amioleaga; a ‘ia ‘outou tu‘uina atu ‘outou lava i le Atua, fa‘apei o tagata ‘ua ‘aumaia nai le oti i le ola; ma ‘ia tu‘uina atu o ‘outou tino i le Atua e fai ma ‘au‘upega a le amiotonu. 
ROM.6.14	Auā e lē pule le agasala ‘iā te ‘outou, ‘ona ‘ua ‘outou lē o nonofo i le tulafono a o le alofa tunoa.
ROM.6.15	O le ā nei le mea a fai? A tatou faia ‘ea le agasala, ‘ona ‘ua tatou lē nonofo i le tulafono, a o le alofa tunoa? E leai lava! 
ROM.6.16	Tou te lē iloa ‘ea, ‘āfai tou te tu‘uina atu ‘outou lava e ‘avea ma ‘au‘auna a se isi, ‘ona ‘avea lea o ‘outou ma ‘au‘auna a lē ‘ua ‘outou usiusita‘i i ai; po o le agasala e o‘o ai i le oti, po o le usiusita‘i e o‘o ai i le amiotonu? 
ROM.6.17	‘Ae fa‘afetai lava i le Atua, ‘ona o ‘outou o ē sa ‘avea ma ‘au‘auna a le agasala, a ‘ua ‘outou usiusita‘i nei ma le loto ‘atoa i le fa‘aa‘oa‘oga o le matā‘upu na tu‘uina atu ‘iā te ‘outou. 
ROM.6.18	‘Ona ‘ua fa‘asa‘olotoina ‘outou nai le agasala, o lea ‘ua ‘avea ai ‘outou ma ‘au‘auna a le amiotonu. 
ROM.6.19	‘Ua ‘ou tautala atu nei fa‘aletagata, ‘ona o le vaivai o ‘outou tino; auā e pei ‘ona ‘outou tu‘uina atu o ‘outou tino e fai ma ‘au‘auna a le amioleaga, ‘atoa ma isi agasala e sili atu, o lea fo‘i ia tu‘uina atu ai o ‘outou tino e fai ma ‘au‘auna a le amiotonu, e i‘u ai i le fa‘apa‘iaina.
ROM.6.20	Auā sa aunoa ‘outou ma le amiotonu ‘ina o ‘outou ‘au‘auna i le agasala. 
ROM.6.21	O ā fo‘i ni fua aogā na ‘outou maua anamua mai mea ‘ua ‘outou māasiasi ai i aso nei? O le i‘uga lava o ia mea o le oti. 
ROM.6.22	A o lenei, ‘ua fa‘asa‘olotoina ‘outou nai le agasala, ma ‘ua ‘avea ma ‘au‘auna a le Atua; ‘ua ‘iā te ‘outou fo‘i fua aogā, o le fa‘apa‘iaina lea, ‘atoa ma lona taunu‘uga, o le ola lea e fa‘avavau. 
ROM.6.23	Auā o le oti o le totogi lea o le agasala; a o le ola e fa‘avavau, o le meaalofa foa‘ifua mai lea a le Atua e ala i lo tatou Ali‘i o Iesu Keriso.
ROM.7.1	Uso e, o lo‘o ‘ou tautala atu i ē ‘ua iloa le tulafono, tou te lē iloa ‘ea na o aso e ola ai le tagata e pule ai le tulafono ‘iā te ia? 
ROM.7.2	Auā o le fafine nofotane, ‘ua noatia o ia e le tulafono i lana tane a o ola o ia; ‘ae a oti loa lana tane, ‘ona tatalaina lea o ia e le tulafono mai lana tane. 
ROM.7.3	O lea la, ‘āfai e nofo o ia i se isi tane, a o ola pea lana tane, ‘ona ta‘ua lea o ia o le mulilua. Peita‘i, a oti loa lana tane, ‘ona sa‘oloto lea o ia mai lea tulafono; ma ‘āfai fo‘i e toe nofo o ia i se isi tane, e lē mulilua ai o ia. 
ROM.7.4	O‘u uso e, e fa‘apenā fo‘i ‘outou o ē ‘ua oti i le tulafono i le tino o Keriso; ‘ina ‘ia ‘outou nonofo i le isi tane, o lē na toetū mai nai ē ‘ua oti, ‘ina ‘ia tatou fua mai ni fua mo le Atua.
ROM.7.5	Auā ‘ua galulue mana‘o leaga i o tatou tino talu ai le tulafono, ‘ina o tatou ola i le tino, e fua mai ai fua e oti ai.
ROM.7.6	Peita‘i ‘ua tatalaina i tatou nai le tulafono sa tāofia ai i tatou ‘ina ‘ua tatou oti, o lea fo‘i ‘ua tatou ‘au‘auna atu ai i le ola fou mai le Agaga, ‘ae lē o le tusi tulafono tuai.
ROM.7.7	O le ā ‘ea sa tatou ‘upu e fai? O le agasala ‘ea le tulafono? E leai lava! Peita‘i ana leai le tulafono se manū ‘ou te lē iloa le agasala; auā ana lē fai mai le tulafono, “ ‘Aua ‘e te tu‘inanau,” po ‘ua ‘ou lē iloa le tu‘inanau. 
ROM.7.8	A ‘ua maua e le agasala le avanoa i totonu o le poloa‘iga, ‘ona fa‘atupuina ai lea ‘iā te a‘u tu‘inanau ‘ese‘ese uma lava. Auā e mate le agasala pe a leai se tulafono. 
ROM.7.9	Sa ‘ou ola i aso anamua e aunoa ma le tulafono; a ‘ua o‘o mai le poloa‘iga, ‘ona toe ola ai lea o le agasala, a ‘ua ‘ou oti. 
ROM.7.10	O le poloa‘iga na folafolaina mai ai le ola, a ‘ua ‘avea lea ma oti ‘iā te a‘u. 
ROM.7.11	Auā na maua e le agasala le avanoa i le poloa‘iga, ‘ona fa‘asesēina lea o a‘u e ia, ma ‘ua fasiotia lava a‘u.
ROM.7.12	O lenei, e pa‘ia lava le tulafono, e pa‘ia fo‘i ma tonu ma lelei le poloa‘iga. 
ROM.7.13	O lona uiga ‘ea la, ‘ua ‘avea le mea lelei ma mea ‘ou te oti ai? E leai lava! A o le agasala ‘ua mafua ai. ‘Ua fa‘aaogāina e le agasala le mea lelei e fa‘ao‘o mai ai le oti ‘iā te a‘u, ‘ina ‘ia iloa ai o le galuega moni a le agasala; ma ‘ia ‘avea fo‘i le poloa‘iga ma ala e fa‘aalia manino ai, o le agasala e silisili ‘ona leaga.
ROM.7.14	‘Ua tatou iloa o le tulafono e fa‘aleagaga, a o a‘u o le tagata fa‘aletino, ‘ua fa‘atauina e fai ma tagata o le agasala. 
ROM.7.15	‘Ou te lē malamalama i a‘u mea e fai. Auā ‘ou te lē faia le mea ‘ou te mana‘o ai, a o le mea tonu lava ‘ou te ‘ino‘ino ai, o le mea lea ‘ou te faia. 
ROM.7.16	‘Āfai fo‘i ‘ou te faia le mea ‘ou te lē mana‘o ai, ‘ona iloa ai lea ‘ou te ioe e sa‘o le tulafono. 
ROM.7.17	O lona uiga la e lē o a‘u na faia lea mea, a o le agasala o lo‘o nofo i totonu ‘iā te a‘u. 
ROM.7.18	Auā ‘ua ‘ou iloa e leai se mea lelei o i totonu ‘iā te a‘u, o lo‘u tino lea. E mafai ‘ona ‘ou loto atu e fai le mea lelei, peita‘i e lē mafai ‘ona ‘ou faia lea lava mea lelei. 
ROM.7.19	Auā ‘ou te lē faia le mea lelei ‘ou te mana‘o ai, a o le mea leaga ‘ou te lē mana‘o ai, o le mea lea ‘ou te faia. 
ROM.7.20	O lea, ‘āfai ‘ou te faia le mea ‘ou te lē mana‘o ai, e lē o a‘u ‘ua faia lea mea, a o le agasala o lo‘o i totonu ‘iā te a‘u.
ROM.7.21	‘Ua ‘ou iloa nei peiseaī o se tulafono o lo‘o ‘iā te a‘u; a ‘ou mana‘o e fai le mea lelei, ‘ua i ai ‘iā te a‘u le leaga. 
ROM.7.22	Auā ‘ou te fiafia i le tulafono a le Atua i lo‘u nei tagata i totonu. 
ROM.7.23	A ‘ua ‘ou iloa le isi tulafono ‘ese i lo‘u tino, o lo‘o fete‘ena‘i ma le tulafono a lo‘u mafaufau, ma ‘ua fa‘apologaina ai a‘u i le tulafono o le agasala o lo‘o i lo‘u tino. 
ROM.7.24	O a‘u o le tagata ‘ua malaia! O ai se isi na te lavea‘iina a‘u nai lenei tino o lo‘o ‘ona ‘aveina atu a‘u i le oti? 
ROM.7.25	Fa‘afetai lava i le Atua e ala ‘iā Iesu Keriso lo tatou Ali‘i!
ROM.7.25	O lenei, ‘ou te ‘au‘auna atu lava i le tulafono a le Atua i lo‘u mafaufau, peita‘i ‘ou te ‘au‘auna i le tulafono a le agasala i lo‘u tino.
ROM.8.1	O lenei, ‘ua leai se fa‘asalaga mo ē o lo‘o ‘iā Keriso Iesu. 
ROM.8.2	Auā o le tulafono a le Agaga, o le ola lea ‘ua ‘iā Keriso Iesu, ‘ua fa‘asa‘olotoina ai a‘u nai le tulafono a le agasala ma le oti. 
ROM.8.3	Auā o le mea na lē mafaia e le tulafono, ‘ina ‘ua vaivai o ia ‘ona o le tino, ‘ua faia lea e le Atua i lona ‘auina mai o lona lava Alo, ‘ua foliga mai e pei o tagata agasala, ma ‘ua fa‘asalaina ai e ia le agasala i le tino; 
ROM.8.4	‘ina ‘ia fa‘a‘ato‘atoaina ai ia i tatou le amiotonu e tusa ma le tulafono; o i tatou o ē e lē savavali fa‘aletino, ‘ae fa‘aleagaga. 
ROM.8.5	Auā o ē e fa‘aletino e loto atu i latou i mea a le tino; a o ē e fa‘aleagaga e loto atu i latou i mea a le Agaga. 
ROM.8.6	O le loto atu i le tino o le oti lea; a o le loto i le Agaga o le ola lea ma le manuia. 
ROM.8.7	Auā o le loto i le tino o le ita lea i le Atua; e lē usiusita‘i fo‘i i le tulafono a le Atua, ma e matuā lē mafai lava ‘ona usiusita‘i i ai. 
ROM.8.8	O i latou fo‘i o ē e fa‘aletino, e lē mafai ‘ona fiafia i ai le Atua.
ROM.8.9	A o ‘outou, tou te lē fa‘aletino ‘ae fa‘aleagaga, pe ‘āfai e nofo mau le Agaga o le Atua i totonu ‘iā te ‘outou. So o se isi e lē o ‘iā te ia le Agaga o Keriso, e lē se tagata o Keriso o ia. 
ROM.8.10	‘Ae ‘āfai ‘ua i totonu ‘iā te ‘outou Keriso, e ui lava ‘ina oti o ‘outou tino ‘ona o le agasala, e ola lava o ‘outou agaga ‘ona o le amiotonu. 
ROM.8.11	‘Ae ‘āfai e nofo i totonu ‘iā te ‘outou le Agaga o le Atua, o lē na toe fa‘atūina mai Iesu nai ē ‘ua oti, o ia lava o lē na te fa‘atūina mai Keriso Iesu nai ē ‘ua oti, o le a na foa‘iina atu le ola i o ‘outou tino fa‘aletagata, e ala i lona Agaga o lo‘o nofo i totonu ‘iā te ‘outou.
