GEN.1.1	Yäput peŋpäŋ Anututä kunum kenta kome pewän ahäŋkumän. 
MAT.28.1	Täŋpäkaŋ Juda täŋo Sabat kadäni täreŋirän Sande tamiinik Maria Makdala komeken nanik ukät wahupi Maria Jesu awaŋ gänaŋ äneŋkuŋo u käda yäŋkaŋ kuŋkumän. 
MAT.28.2	Täŋpäkaŋ kadäni ukengän koŋ pähap kwaiŋirän Ekäni täŋo aŋero kubätä kunum gänaŋ naniktä äpäŋpäŋ mobä awaŋ meni-ken täŋpipiwani u yäpmäŋ keweŋpewän päŋku parirän uterak maŋitkuk. 
MAT.28.3	 Gupi iŋami dapun yäpätä kwinit täkaŋ ude. Teki u paki-inik. 
MAT.28.4	Täŋirän komi äma u kaŋpäŋ umun pähap nadäŋpäŋ kwaiŋpäŋ kumäŋ maŋpäŋ pattäŋ kuŋkuŋ.
MAT.28.5	Täŋirä webe yarä unitä ahäwänä aŋerotä yäwetkuk; Ek umuntädeŋo yäk. Näk nadätat, Jesu päya kwakäp terak utkuŋo u kädayäŋ äbäkamän yäk. 
MAT.28.6	 Upäŋkaŋ ŋo nämo itak. U man bian täwetkuko udegän akumaŋ kuk. Ek abäŋkaŋ patpat bägupi ŋo kawun yäk. 
MAT.28.7	 Täŋkaŋä bäräŋeŋ kuŋkaŋ iwaräntäkiye ŋode yäwerun; Jesu uwä kumbani-ken naniktä akumaŋ kuk. Akumaŋ päŋku Galili komeken intäjukun it kireŋirän päŋku uken kaŋ kawut! yäŋ yäwerun. Aŋerotä ude yäwetkaŋ yäŋkuk; Man täwetat uba yäk.
MAT.28.8	Täŋpäkaŋ webe yarä uwä umuntaŋkumäno upäŋkaŋ awaŋ peŋpeŋ kuŋkaŋ oretoret terak iwaräntäkiye yäwetdayäŋ bäräŋeŋ kuŋkumän. 
MAT.28.9	Kuŋirän kädet miŋin Jesutä pengän ahäŋ yämiŋpäŋ tamimaŋ yäŋ yäwetkuk. Tamimaŋ yäŋ yäweränä gukut imäpmok täŋpäŋ kuroŋi iŋitpäŋ iniŋ oretkumän. 
MAT.28.10	 Ude täŋpänkaŋ Jesutä yäwetkuk; Ek umuntädeŋo! Kuŋkaŋ notnaye yäwerän päŋku Galili komeken kaŋ nabäwut yäk.
MAT.28.11	Webe yarä u kuŋirän komi äma awaŋ watäni itkuŋo u ätutä bäräŋeŋ kumaŋ päŋku yotpärare-ken äroŋpäŋ imaka umuri ahäŋkuko unitäŋo biŋam bämop äma yäwetkuŋ. 
MAT.28.12	Yäweräkaŋä bämop ämakät Juda täŋo ekäni ekänitä käbeyä täŋpäŋ man yäŋpäŋ-nadäk täŋpäŋ komi äma awaŋ watäni itkuŋo unita moneŋ taŋi yämiŋkuŋ. 
MAT.28.13	 Yämiŋkaŋ yäwetkuŋ; In ŋode kaŋ yäwerut yäk. Bipani nin däpmon paritna Jesutä iniken iwaräntäkiyetä päbä komegup kubo täŋpäŋ yäpmäŋ kuŋ yäŋ kaŋ yäwerut. 
MAT.28.14	Pailattä jopman u nadäŋpäŋ goret kubä täŋ nimek yäŋ nämo umuntäneŋ. Nämo, nintä täga api iniŋ bitnäne yäk. 
MAT.28.15	Ude yäŋpäŋ yäwerä komi äma uwä moneŋ u yäpmäŋpäŋ man yäwetkuŋo u buramiŋkuŋ. Täŋkuŋo unita jopman u Juda ämawebe-ken patkuko unitä pen pätak.
MAT.28.17	Äroŋpäŋ Jesu ini kaŋpäŋ ukengän gwäjiŋ äpmoŋ imiŋpäŋ iniŋ oretkuŋ. Upäŋkaŋ ätutäwä bänep yarä täŋpäŋ U Jesu nämo käwep yäŋ nadäŋkuŋ. 
MAT.28.18	 Täŋirä Jesutä dubini-ken äbäŋpäŋ ŋode yäwetkuk; Anututä kehäromi kuduptagän, kunum täŋo ba kome täŋo, näka namiŋ moreŋkuk yäk. 
MAT.28.19	 Unita in komeni komeni kuŋkaŋ äma äbori äbori näwaräntäknaye ude kaŋ täŋ yepmaŋput. Näk näwaräntäknaye täŋpäkaŋ Nan ba Nanaki ba Kudupi Munapik u wäpi terak ume kaŋ ärut yämut. 
MAT.28.20	 Täŋpäŋ man täwetpäŋ täwoŋärek täŋkuro u kudup yäwetpäŋ yäwoŋäreŋirä kaŋ buramiŋ morewut. Bureni ŋode täwera nadäwut; Näk edapi edapi inkät irira kome ŋonitäŋo kadäni api tärewek yäk.
MRK.1.1	Jesu Kristo u Anutu täŋo Nanaki. Unitäŋo Manbiŋam Täga yäput peŋpäŋ ahäŋkuko u ŋode; 
MRK.1.2	Bianä Anutu täŋo profet kubä wäpi Aisaiatä manbiŋam kubä ŋode kudän täŋkuk;
MRK.1.2	Näkŋo biŋam yäŋahäwani äma kubä ŋo.
MRK.1.2	U intäjukun kädet täwit gamikta api iniŋ kirewet yäk. 
MRK.1.3	Uwä kome jopi-ken päŋku itkaŋ ŋode api yäwek;
MRK.1.3	Ekänitä äbäkta kädet kaŋ täwirut!
MRK.1.3	Irit kuŋat-kuŋatjin kaŋ täŋsiwoŋ tawut! 
MRK.1.5	Ude yäwerirän ämawebe mäyap Judia komeken nanik ba Jerusalem yotpärare-ken naniktä Jontä itkuk-ken u päŋku wakini yäŋahäŋirä Jontä Jodan ume gänaŋ yäŋ-yäkŋat päpmo ärut yämik täŋkuk. 
MRK.1.6	Täŋpäkaŋ Jon uwä tektawä but kubä wäpi kameri unitäŋo pujiŋipäŋ täŋpani upäŋ täŋkaŋä pioŋtawä but gupipäŋ täŋpani upäŋ yamäŋ täpäneŋpäŋ kuŋat täŋkukonik. Täŋpäŋ ketemtawä käpukbam-kät kähäräp umeni bipiken nanik ugänpäŋ nak täŋkukonik. 
MRK.1.7	Ude täŋkaŋ manbiŋam ŋode yäŋahäk täŋkuk; Äma kubä biŋam ikek mäden näwatak yäk. Unitäŋo kehäromitä näkŋo kehäromina irepmitak. Näk äpani-inik unita u dubini-ken näk nämo itnaŋi. 
MRK.1.8	Nadäkaŋ? Näk ume-inikpäŋ ärut tamitat. Täŋpäkaŋ äma mäden näwatak unitäwä Anutu täŋo Munapikpäŋ api uwäktäŋ tamek yäk.
MRK.1.9	Kadäni uken Jesutä Galili kome Nasaret yotpärare u peŋpeŋ abäŋirän Jontä Jodan ume gänaŋ yäŋikŋat päpmo ärut imiŋkuk.
MRK.1.10	Ärut imänkaŋ Jesu ume gägäni-ken äbäŋpäŋ kaŋkuk; Kunum aŋeŋirän Anutu täŋo Munapiktä imaka känaräm bumik unitä äpäŋkaŋ gwäki terak maŋirayäŋ täŋkuk. 
MRK.1.11	Ude täŋirän kunum gänaŋ nanik gera kubä ŋode ahäŋkuk; Gäk näkŋaken bänepna gämäni-inik yäk. Gäk gabäŋkaŋ gäripi pähap nadäk täyat yäŋ yäŋkuk. 
MRK.1.12+MRK.1.13	Ude yäŋirän uterakgän Munapiktä iniŋ kireŋpewän Jesu kome jopi-ken, tom ägwäritä kuŋarani-ken päŋku itkuk. Uken kepma 40 ude irirän Satantä yäŋikŋat täŋkukonik. Ude täŋkuko upäŋkaŋ Anutu täŋo aŋerotä täŋkentäŋ imiŋirä it yäpmäŋ kuŋkuk.
MRK.1.15	Kadäni ahätak yäŋ yäwetkuk. Anututä intäjukun itkaŋ yabäŋ yäwat epän täŋpayäŋ täyak u tuän keräp täyak! Unita bänepjin sukureŋpäŋ Anutu täŋo Manbiŋam Täga uwä nadäŋpäŋ bänepjin-ken peŋpäŋ kaŋ yäpmäŋ kuŋarut!
MRK.1.16	Ude yäwetpäŋ Jesutä Galili gwägu pomi terak kuŋattäŋgän yabäŋkuk; Saimon-kät noripaki Andrutä yäk taŋi, gwägu tom yäpani u gwägu gänaŋ maŋpän äpmoŋ irirän yabäŋkuk. Äma yarä uwä moneŋ epänta gwägu tom yäpmäk täŋkumänonik. 
MRK.1.17	Yäk maŋpän äpmoŋ irirän Jesutä yäwetkuk; Eruk! Epän u peŋkaŋ näk näwarun! Näk näwarirän gwägu tom yäpmäk täkamän udegän ämawebe Anutu iwatta yäpmäk-yäpmäk epän api tamet yäk. 
MRK.1.18	Yäweränä uterakgän epäni u peŋpeŋ iwatkumän. 
MRK.1.19	Iwaränkaŋ ätukät kuŋpäŋä Sebedi täŋo nanaki yarä wäpi Jems kenta Jon u gäpe terak itkaŋ yäk taŋi, gwägu tom yäpani u ket täŋ irirän yabäŋkuk. 
MRK.1.20	Yabäŋpäŋ pengän yarä unita gera yäŋirän nani Sebedi-kät epän ämaniye gäpe terak itkuŋo u yepmaŋpeŋ Jesu iwatkumän.
MRK.1.23	Täŋpäkaŋ kadäni ukengän mäjo wakitä magärani kubä käbeyä yot gänaŋ penta itkuŋo unitä kähän yäŋkaŋ ŋode yäŋkuk; 
MRK.1.24	Jesu, Nasaret nanik, gäk jide täŋ nimayäŋ äbätan? Nidäpayäŋ äbätan? Gäka nadäkamäŋ. Gäk Anutu täŋo Kudupi Äma u! yäk.
MRK.1.25	Yäwänä Jesutä kaŋ-yäŋpäŋ ŋode iwetkuk; Bitnä! yäk. Äma ŋo kakätäŋpeŋ ku! 
MRK.1.26	Ude iweränä mäjotä äma uwä iŋitpäŋ kwaiŋkaŋ kähän yäŋpäŋ kakätäŋpeŋ kuŋkuk.
MRK.1.27	Täŋirän ämawebe u kaŋkaŋ nadäwätäk pähap täŋpäŋ ini-tägän näwetgäwet täŋpäŋ yäŋkuŋ; Wära! U imatäken? Man kudupi kehäromi nikek yäyak! Unitä man yäŋirän mäjo mani buramik täkaŋ. Äma jopitä ude täga tänaŋi nämo yäk. 
MRK.1.28	Ude yäŋpäŋ Jesu täŋo biŋam u bäräŋeŋ Galili kome uken-uken yäŋpäŋ-nadäŋtäŋ kuŋkuŋ.
MRK.1.29	Täŋpäkaŋ Jesu uwä Jems kenta Jon-kät käbeyä yot peŋpeŋ Andru kenta Saimontä yotken kuŋkuŋ. 
MRK.1.30	Kuŋpäŋ Jesu yot gänaŋ äroŋirän Saimon kenta Andrutä Saimon yepmani webe gup kädäp käyäm täŋkaŋ patkuko unita iwetkumän. 
MRK.1.31	Iweränkaŋ päŋku kerigän iŋitpäŋ yäpmäŋ akuŋkuk. Ude täŋirän uterakgän käyäm u paoränkaŋ päŋku ketem gwet yämiŋkuk.
MRK.1.32	Eruk kome bipmäŋirän äma käyäm ikek ba äma mäjotä magärani u yäŋ-yäkŋat yäpmäŋ Jesuken äbuŋ. 
MRK.1.33	Yäŋ-yäkŋat yäpmäŋ äbäŋpäŋ ämawebe yotpärare uken nanik kudup bumik yot yäma-ken itkuŋ. 
MRK.1.34	Äbä irirä Jesutä ämawebe käyäm mebäri mebäri nikek yäpän tägaŋit mäjotä magärani yäwat kireŋit täŋkuk. Ude täŋkaŋ mäjo u Jesu täŋo mebäri nadäŋkuŋo unita man yäkta yäniŋ bitnäŋkuk.
MRK.1.36+MRK.1.37	Yäŋ irirän Saimon-kät noriye ätutä Jesuta wäyäkŋeŋtäŋ päŋku kaŋ-ahäŋpäŋ iwetkuŋ; E! Gäk imata ŋo itan? Ämawebe kudup gäka wäyäkŋeŋ itkaŋ! 
MRK.1.38	Ude iweräwä ŋode yäwetkuk; Nin yotpärare kukŋi kukŋi it yäpmäŋ kukaŋ-ken u käda kuna! Uken kuŋkaŋ Anutu täŋo man yäŋahäŋpäŋ kaŋ yäwet täŋpa. Näk epän u täkta äbut. 
MRK.1.39	Ude yäŋpäŋ Galili komeken yotpärare kubäkubä täŋo käbeyä yot gänaŋ äroŋpäŋ man yäwerit mäjo yäwat kireŋit täŋkuk.
MRK.1.40	Täŋpäkaŋ kadäni kubä äma kubä gisik paräm ikektä Jesuken kuŋpäŋ gukut imäpmok täŋpäŋ butewaki terak ŋode iwetkuk; Gäk täŋkentäŋ namayäŋ nadäŋpäŋä näk täga nepmaŋpi kudupi iret yäŋ nadätat. 
MRK.1.41	Ude yäwänä Jesutä äma u kaŋpäŋ butewaki pähap nadäŋ imiŋpäŋ keri gupi terak peŋkaŋ iwetkuk; Täga täŋkentäŋ gamayäŋ. Eruk, paräm ŋo paorut! 
MRK.1.42	Ude yäwänä uterakgän paräm u paorirä säkgämän itkuk.
MRK.1.45	Päŋku Jesutä iwetkuko ude nämo täŋkuk. Nämo, Jesutä gupi yäpän tägaŋkuŋo unitagän ämawebe kumän yäŋahäŋpäŋ yäwettäŋ kuŋkuk. Ude täŋirän kaŋpäŋ Jesu yotpärare bämopi-ken kwawak täga nämo kwet yäŋ nadäŋkuk. Ude nadäŋpäŋ kukŋi käda, äma mäyap nämo irani-ken kuŋat täŋkuk. Äma mäyap nämo irani-ken kuŋatkukopäŋ ämawebe uken-uken naniktä ehutpäŋ pen iwarän täk täŋkuŋonik.
MRK.2.1+MRK.2.2	Eruk kepma yarägän itpäŋ Jesu äneŋi Kapeneam yotpärare-ken kuŋirän ämawebetä Jesu äbäko ude itak yäŋ nadäŋpäŋä yot itkuk-ken u äbä bumta tokŋeŋpäŋ yäman imaka, it tokŋeŋpäŋ bägup kubä nämo peŋkuŋ. Bumta tokŋeŋpäŋ irirä Jesutä Anutu täŋo manbiŋam yäwetkuk. 
MRK.2.3	Täŋkaŋ äma kwäyähäneŋ täŋpani kubä äma yaräbok-yaräboktä gäraŋ täŋpäŋ Jesuken yäpmäŋ äbuŋ. Täŋpäŋ noriye ätu täŋkentäkta penta äbuŋ. 
MRK.2.4	Yäpmäŋ äbäŋpäŋ yabäŋkuŋ; Ämawebe kätum-kätum irirä. Ude yabäŋpäŋä Jesu dubini-ken pekta kädetta wäyäkŋewä wawäpäŋ yot medäp terak punin yäpmäŋ äroŋkuŋ. Punin päro medäp äriwä tumbäpäŋ äma kwäyähäneŋ täŋpani u gäraŋ ikek tewä äpmoŋkuk. 
MRK.2.5	 Ude täŋirä Jesutä nadäkiniki yabäŋpäŋ äma kwäyähäneŋ täŋpani u iwetkuk; Notnapak, gäkŋo momika peŋ gamitat!
MRK.2.8	Ude nadäŋirä Jesutä Ude nadäkaŋ yäŋ nadäŋpäŋ ŋode yäwetkuk; Imata ude nadäkaŋ? 
MRK.2.9	Äma ŋo man jide iwerira bureni kwawak ahäŋirän känayäŋ?; Momika peŋ gamitat yäŋ iweret ba Akumaŋ ku yäŋ iweret? 
MRK.2.10+MRK.2.11	Eruk, in kome terak ŋo Äma Bureni-inik-ken momi peŋ yämik täŋo kehäromi itak yäŋ nadäkta ŋode täŋira kawut. Ude yäŋpäŋ äma kwäyähäneŋ täŋpani u iwetkuk; Näk ŋode peŋ gäwetat; Aku! Patpat bägupka yäpmäŋkaŋ yotka-ken kuyi! 
MRK.2.12	 Ude iwerirän ämawebe itkuŋo u iŋamiken akumaŋ patpat bägupi yäpmäŋkaŋ kuŋkuk. Täŋirän ämawebetä kaŋpäŋ nadäwä inide kubä täŋkuk. Täŋpäŋ yäŋkuŋ; Wära! Imaka kudupi kubä käkamäŋ! Kudän ŋodewani bian kubä nämo kak täŋkumäŋonik. Ude yäŋpäŋ Anutu iniŋ oretkuŋ.
MRK.2.13	Ude täŋpäŋ Jesu Kapeneam yotpärare peŋpeŋ äneŋi Galili gwägu u gägäni-ken kuŋkuk. Päŋku irirän ämawebe mäyaptä ahäŋ imiŋpäŋ it gwäjiŋkuŋ. It gwäjiŋirä Anutu täŋo manbiŋam yäwetpäŋ yäwoŋärek täŋkuk. 
MRK.2.14	 Yäwetpäŋ yäwoŋärek täŋtäŋ kuŋattäŋgän Alfias nanaki wäpi Livai u takis moneŋ yäpmäk-yäpmäk täŋ irirän Jesutä kaŋpäŋ iwetkuk; Gäk akumaŋ näk näwat yäk. Ude iweränä Livai mani buramiŋpäŋ epäni u peŋpeŋ akumaŋ iwatkuk.
MRK.2.15	Eruk kumaŋ päŋku Jesu Livaitä yotken äroŋpäŋ Livaikät ketem bok naŋkumän. Jesu täŋo iwaräntäkiye-kät äma takis moneŋ yäpani ätu ba äma waki täŋpani yäŋ yäwerani mäyap Jesu iwat täŋkuŋo u ketem penta naŋkuŋ. 
MRK.2.16	 Ketem naŋ irirä Baga man yäwoŋärewani äma ätu Parisi äma äbotken nanik äbä yabäwä siwoŋi nämo täŋpäpäŋ Jesu täŋo iwaräntäkiye ŋode yäwetkuŋ; E! Jesu imata takis moneŋ yäpani äma ba äma waki täŋpani-kät bok itpäŋ ketem näkaŋ?
MRK.2.17	Man ude yäŋirä Jesutä nadäŋpäŋ yäwetkuk; Äma kubä näk käyäm nämo yäŋ nadäŋpäŋä yäpätägak ämaken nämo kwek. Täŋ, äma kubä näk käyäm täyat yäŋ nadäweko unitä uyaku yäpätägak ämaken kwek yäk. Näk epän udewani täkta äput. Näk äma inita siwoŋi yäŋ yäk täkaŋ unita nämo äput. Nämo, äma inita näk momi täŋpani yäŋ nadäŋpäŋ äpani-inik kuŋat täkaŋ äma udewanita yäŋpäŋ äput.
MRK.2.18	Täŋpäkaŋ kepma uken Jon ume ärut yämani unitäŋo iwaräntäkiye ba Parisi äma ätukät baga man iwatpäŋ nakta jop itkuŋ. Ude täŋirä äma ätutä Jesu päŋku ŋode iwetkuŋ; Jon täŋo iwaräntäkiye ba Parisi äma täŋo yäwaräntäkiye u baga iwatpäŋ nakta jop it täkaŋ. Täŋ, gäkŋo gäwaräntäkaye imata nakta jop udegän nämo it täkaŋ?
MRK.2.19	Iweräwä Jesutä kowata man wärani kubä ŋode yäwetkuk; Äma ätu noripaki wäpi biŋam ikek kubäkät oretoret terak kuŋatkaŋ imata butewaki nadäŋpäŋ nakta jop itneŋ? Nämoinik! 
MRK.2.20	Täŋpäkaŋ iwantä päbä äma u iŋit yäpmäŋ kuŋirä uyaku noriyetä wäyäkŋewä wawäpäŋ butewaki nadäŋpäŋ nakta jop itneŋ.
MRK.2.21	Jesutä ude yäŋpäŋ iniken man kudupi-kät Parisi äma täŋo man ukät bok nämo awähutneŋ yäŋ nadäŋpäŋ man wärani yarä yäwetkuk. Kubä ŋode; Äma kubätä tek wewani bipa yäŋkaŋ tek moräki kodakipäŋ tek wewani biani terak täga nämo peŋpäŋ bipek yäk. Ude täŋpeko uwä tek kodaki unitä täŋpewän tek biani u taŋi wewek. 
MRK.2.22	Ude yäŋpäŋ äneŋi man wärani kubä ŋode yäwetgän täŋkuk; Äma kubätä wain umeni api täŋpanipäŋ käbot tom gupipäŋ täŋpani biani kubä gänaŋ täga nämo piwek. Ude täŋpänä wain umeni api täŋpani unitäŋo kehärominitä täŋpewän käbot biani kehäromi nämo u tumäŋpäŋ wain umeni ba käbori u bok jop awähutneŋ. Ude täga nämo täŋpek. Wain umeni api täŋpanipäŋ käbot kodaki kehäromi gänaŋ piweko uyaku täga.
MRK.2.23	Eruk Juda täŋo Orekirit kadäni kubäken Jesu iwaräntäkiye-kät säguom epän bämopi-ken kuŋatkuŋ. Kuŋattäŋgän iwaräntäkiyetä säguom ätu weŋpäŋ yäpuŋ. 
MRK.2.24	 Weŋpäŋ yäpmäŋirä Parisi äma ätutä Jesu ŋode iwetkuŋ; U yabä! Orekirit kadäni-ken epän ude täkta yäjiwärani ukeŋopäŋ ude imata täkaŋ?
MRK.2.26	 Manbiŋam u ŋode pätak; Bian-inik Devit noriye-kät Anutu täŋo yot gänaŋ äroŋpäŋä käräga Anututa pewanipäŋ yäpmäŋpäŋ naŋkaŋ noriyeta imaka yämän naŋkuŋ. Bämop äma intäjukun täŋpani wäpi Abiata kadäni unitä itkuk-ken uken ude uwä täŋkuk.
MRK.2.28	In nadäkaŋ? Äma Bureni-inik u imaka kuduptagän ba Sabat täŋo mähemi bok.
MRK.3.1	Kadäni kubä Jesutä Juda täŋo käbeyä yot kubä gänaŋ äroŋpäŋä äma keri kwäyähäneŋ täŋpani kubä irirän kaŋkuk.
MRK.3.2	Kepma u Sabat unita Parisi ämatä Jesu jide täŋpäŋ manken kaŋ tene yäŋ nadäŋpäŋ Jesu ket täŋpäŋ kaŋiwat itkuŋ. Jesutä äma keri kwäyähäneŋ täŋpani ŋokeŋowä Sabat kadäni ŋo käwep yäpän täganeŋ yäŋ nadäŋpäŋ unita. 
MRK.3.3	Ude kaŋ iwarirä Jesutä keri kwäyähäneŋ täŋpani u ŋode iwetkuk; Ämawebe päke ŋo gabäŋirä aku!
MRK.3.6	 Eruk, ude täŋirän Parisi ämatä kaŋpäŋ Jesu jide täŋpäŋ kaŋ utne yäŋ nadäŋpäŋ gapman täŋo intäjukun äma wäpi Herot unitäŋo äbotkät päŋku käbeyä täŋpäŋ yäŋpäŋ-nadäk täŋkuŋ.
MRK.3.11	 Täŋpäŋ kadäni kadäni äma mäjotä magäranitä Jesu kaŋpäŋ mäjo uwä kome terak iŋami yäpä äpmoŋpäpäŋ kähän yäŋpäŋ ŋode yäk täŋkuŋonik; Gäk Anutu täŋo nanaki yäk. 
MRK.3.12	 Ude yäwäwä Jesutä iniken mebäri yäŋahäkta yäjiwät-inik täŋkuk.
MRK.3.13	Ude yäŋpäŋ pom kubäken äroŋpäŋ Jesutä äma ini bänepitä nadäŋkuko u yäŋpewän äbuŋ. 
MRK.3.14+MRK.3.15	Ude täŋpäŋ äma 12 ude yäŋpewän äbuŋo u Jesu inikät kuŋatta ba Anutu täŋo man kudupi yäŋahäŋit, kehäromini peŋ yämiŋirän mäjotä äma magärani yäwat kireŋit täkta yäpmäŋ daniŋkuk. 
MRK.3.16	 Äma 12 uwä wäpi ŋode; Kubä Saimon. Jesutä wäpi kodaki Pita yäŋ iwetkuk. 
MRK.3.17	 Yaräwä Sebedi täŋo nanakiyat wäpi Jems kenta Jon. Yarä unita iniken man terak wäpi Boaneges yäŋ yäwetkuk. U ninin man terak Iromäŋ. 
MRK.3.18	Täŋä ätu täŋo wäpi Andru, Filip, Batorom, Matiyu, Tomas. Kubäwä Alfias täŋo nanaki wäpi Jems. Kubä wäpi Tadius. Kubä wäpi Saimon Selot. 
MRK.3.19	Kubä Judas, Kariot komeken nanik. Äma unitä Jesu iwan keri terak peŋkuk.
MRK.3.20	Eruk iwaräntäkiye ude iwoyäŋpäŋ yepmaŋkaŋ Jesu yotken kuŋkuk. Kuŋkukopäŋ ämawebe bumta äbuŋo unita Jesu ini ba iwaräntäkiye jide täŋpäŋ ketem naŋpäm! 
MRK.3.21	 Ude täŋirä Jesu täŋo noriyetä biŋam u nadäŋpäŋ, Eruk! Jesu nadäk-nadäki paotak yäŋpäŋ imagutnayäŋ Jesutä itkuk-ken äbuŋ.
MRK.3.23+MRK.3.24+MRK.3.25	Täŋpäŋ man yäŋkuŋo Jesutä u nadäŋpäŋ ämawebe yäŋ-päbä yepmaŋpäŋ man wärani terak ŋode yäwetkuk; Satantä iniken äboriye täga yäwat kirewek? Nämoinik! Ba äma äbot kubätä kowat ämiwän täneŋo uwä jide täŋpäŋ kehäromi irek? Bureni, ini buap-tägän ämineŋo uwä kehäromini paorek. 
MRK.3.26	Täŋpäŋ udegän Satantä iniken äboriye däpmäŋpäŋ yäwat kireweko uwä kehäromi täga yäpneŋ? Nämoinik! Satan ini paot-inik täŋpek. 
MRK.3.27	Ude yäŋpäŋ yäwetkuk; Äma komi kubätä iniken yot gänaŋ irirän äma kubätä siwani yäŋkaŋ päro tuŋumi täga yomägarek? Nämo! Äma komi u bäyaŋ iŋitpäŋ yentä keri kuroŋi pädät täŋpäŋ peŋkaŋ uyaku tuŋumi täga yomägarek. 
MRK.3.28	Unita ket täwera nadäwut; Waki mebäri mebäri ba Anututa yäŋärok man yäkyäk unitäŋo momi u täga penaŋi. 
MRK.3.29	Upäŋkaŋ äma kubätä Anutu täŋo Munapikta yäŋärok man yäwayäŋ täko uwä momini uwä tärek-täreki nämo pen api pärek yäk. Anututä momini uwä täga penaŋi nämo. 
MRK.3.30	Äma ekäni ekänitä Gäk mäjotä magäränkaŋ unitäŋo kehäromi terak täk täyan yäŋ iwetkuŋo unita Jesutä ude yäwetkuk.
MRK.3.32	Äroŋpäŋ Jesu äma bämopi-ken irirän kaŋpäŋ ŋode iwetkuk; Ai! Meŋka notkaye yäman itkaŋ gäka yäkaŋ yäk. 
MRK.3.33	Ude iweränä Jesutä iwetkuk; Meŋnaye notnaye bureni-inik u netä? 
MRK.3.34	Ude yäŋpäŋ ämawebe it gwäjiŋkuŋo u yabäŋpäŋ yäŋkuk; Meŋnaye, notnaye bureni ŋo! 
MRK.3.35	Ämawebe Anutu täŋo man buramik täkaŋ uwä näkŋo meŋnaye, notnaye, wanotnaye bureni-inik.
MRK.4.2	 Täŋpäŋä man wärani mäyap yäwetpäŋä kubä pen ŋode yäwetkuk; 
MRK.4.3	Juku peŋpäŋ man wärani täwerayäŋ täyat ŋo ket nadäwut! Äma kubätä ketem mujipi pikta epäni-ken päŋku mujipi täŋ-irähuttäŋ kwek. 
MRK.4.4	Täŋ-irähuttäŋ kuŋirän mujipi ätu kädet miŋin mäneŋ. Kädet miŋin mäneŋo uwä baraktä yabäŋ ahäŋpäŋ naŋ paotneŋ. 
MRK.4.5	Täŋkaŋ mujipi ätuwä kome taŋi nämo, gänaŋ umu mobä, uterak maŋ tädotneŋ. 
MRK.4.6	Kome u pidämigän, gänaŋ umu mobä unita jäwäri punin itkaŋ bäräŋeŋ tädotneŋ. Bäräŋeŋ tädotneŋo upäŋkaŋ edaptä yeŋpewän kubit täneŋ. 
MRK.4.7	Täŋ, mujipi ätuwä mup waki gänaŋ mäneŋ. Mup gänaŋ maŋirä mup waki unitä äroŋpäŋ uwäk täŋpipiŋ-pewä waŋpäŋ bureni nämo pätneŋ. 
MRK.4.8	Täŋpäkaŋ mujipi ätuwä kome gakŋi nikekken mäneŋo uwä täga äroneŋ. Äroŋpäŋ bureni ätu ähan pätneŋ. Ätuwä taŋi bumik pätneŋ. Täŋ, ätuwä bumta pätneŋ.
MRK.4.9	Man ude yäŋpäŋ yäŋkuk; Äma jukuni nikektä näkŋo man ŋo ket nadäwut!
MRK.4.10	Täŋpäkaŋ ämawebe ätu kuŋ moreŋirä Jesu iniken iwaräntäkiye-kät noriye ätukät man wärani yäwetkuko unitäŋo mebärita iwet yabäŋkuŋ. 
MRK.4.11	Iwet yabäwäwä yäŋkuk; Anututä intäjukun itkaŋ yabäŋ yäwat epän täk täyak unitäŋo manbiŋam käbop irani injingän nadäkta yäwani unita in-gänpäŋ täwetat. Upäŋkaŋ ämawebe päke u nämo nadäwä tumäk täkaŋ unita u man wäranigän yäŋ nadäk täkaŋ. 
MRK.4.12	 Man unitagän profet kubätä bian ŋode kudän täŋkuk;
MRK.4.12	Jukujin täwä api nadäneŋo upäŋkaŋ bänepjintä nämo api nadäwä täreneŋ.
MRK.4.12	Ba dapunjintäwä api käneŋo upäŋkaŋ nämo api kawä täreneŋ.
MRK.4.12	Upäŋkaŋ nadäwä tärewäpäŋ bänepi nämo sukurek täkaŋ unita Anututä momini nämo peŋ yämik täyak yäk. 
MRK.4.13	Jesutä ude yäŋpäŋ yäŋkuk; Man wärani täweraro unitäŋo mebäri nadäkaŋ ba nämo? In mebäri nämo nadäwä tumäŋirä man wärani ätu yäwawä jide täŋpäŋ nadäwä täreneŋ? 
MRK.4.14	Man wärani täweraro unitäŋo mebäri ŋode; Äma näkŋo man kudupi yäŋahäk täkaŋ uwä äma mujipi täŋ-irähuttäŋ kweko udewani. 
MRK.4.15	Täŋä ämawebe ätu näkŋo man kudupi nadäŋpäŋ bänepi-ken peŋirä Satantä yäyomägat täyak uwä mujipi kädet miŋin pewän mäneŋo udewani. 
MRK.4.16	Täŋpäŋ ämawebe ätu näkŋo man kudupi pengän nadäŋkaŋ gäripi nadäk täkaŋ uwä mujipi kome pidämi, gänaŋ umu mobä uterak piweko udewani. 
