GEN.1.1	Er pen kenta Doue a grouaz an env hag an douar.
LUK.18.38	Neuze e commansaz da grial: Jesus, Mab David, kemer truez ouzin! 
LUK.18.39	Hag ar re a iea araog a c’hourdrouze anezhan, evit hen lakaad da rei peoc’h; mes hen a grie c’hoas krenvoc’h: Mab David, kemer truez ouzin!
LUK.18.40	Ha Jesus, o choum en he za, a c’hourc’hemenaz hen digas dezhan, ha pa oe deuet 
LUK.18.41	Petra a fell d’id a rafen evidoud? Hag hen a respontaz: Aotrou, ma kavin ar gwelet. 
LUK.18.42	Ha Jesus a lavaraz dezhan: Receo ar gwelet; da feiz hen deuz da iac’heet. 
LUK.18.43	Ha rag‐tal e kavaz ar gwelet, hag ec’h heullie anezhan, o renta gloar da Zoue. Hag ar bobl holl, o velet 
LUK.19.2	Ha setu eun den hanvet Zakeus, pehini a oa chef var ar bublicaned, hag a oa pinvidic, 
LUK.19.3	a glaske gwelet piou e oa Jesus; mes dre ma oa bihan a vent, ar bobl a vire outhan 
LUK.19.4	Redec a reaz eta araog, hag e pignaz var eur vezen sicomor evit gwelet anezhan, rag dre eno e tlie tremen. 
LUK.19.5	Pa oe erruet Jesus eno, e savaz he zaou‐lagad, hag o velet Zakeus, e lavaraz dezhan: Zakeus, disken buhan; rag red eo d’in loja en da di hirio. 
LUK.19.6	He‐man a ziskennaz eta buhan, hag a zigemeraz anezhan gant joa.
LUK.19.7	Hag ar re holl a velaz 
LUK.19.8	Hogen Zakeus a zavaz, hag a lavaraz d’an Aotrou: Aotrou, an hanter euz va madou a roan d’ar beorien, ha mar em euz great gaou ouz unan‐benag, n’euz fors en pe seurt doare, e rentan dezhan peder gwech kemend all. 
LUK.19.9	Ha Jesus a lavaraz dezhan: Ar zilvidigez a zo deuet hirio en timan, rag he‐man a zo ive bugel da Abraham. 
LUK.19.10	Rag Mab an den a zo deuet evit klask ha savetei ar pez a oa kollet.
LUK.19.11	Hag evel ma selaouent 
LUK.19.12	Lavaret a reaz eta: Eun den a lignez huel a ieaz en eur vro bell evit kemer evithan he‐unan eur rouantelez, ha distrei 
LUK.19.13	Hag o veza galvet dec euz he zervicherien, e roaz dezhe deg pez 
LUK.19.14	Mes tud he vro ho doa kassoni outhan; hag e kasjont kannaded var he lerc’h, da lavaret: Na fell ket deomp e teufe he‐man da ren varnomp. 
LUK.19.15	C’hoarvezoud a reaz eta, pa oe distro, goude beza recevet ar rouantelez, ma c’hourc’hemenaz gervel d’he gavoud ar zervicherien da bere hen doa roet an arc’hant, evit gwelet pegement hen doa gounezet pep hini. 
LUK.19.16	Neuze ar c’henta a zeuaz hag a lavaraz: Aotrou, da bez arc’hant hen deuz gounezet dec pez 
LUK.19.17	Hag hen a lavaraz dezhan: Mad, servicher mad; pa’z oud bet fidel en neubeud a dra, e pezo ar gouarnamant var deg kear. 
LUK.19.18	Hag an eil a zeuaz, hag a lavaraz: Aotrou da bez arc’hant hen deuz gounezet pemp pez 
LUK.19.19	Hag hen a lavaraz ive da he‐man: Ha te, gouarn var bemp kear. 
LUK.19.20	Hag unan all a zeuaz, hag a lavaraz: Aotrou, setu aman da bez arc’hant em euz dalc’het paket en eul lienen; 
LUK.19.21	rag aoun em boa araz’oud abalamour ma’z oud eun den garo, kemeret a rez el leac’h n’ec’h euz lakeat netra, ha medi a rez el leac’h n’ec’h euz ket hadet. 
LUK.19.22	Hag 
LUK.19.23	perag eta n’ec’h euz‐te ket lakeat va arc’hant er bank; ha pa vijen distro, em bije hen tennet gant an interest? 
LUK.19.24	Hag e lavaraz d’ar re a oa eno: Lammit diganthan ar pez arc’hant, ha roit‐
LUK.19.25	Hag e lever‐jont dezhan: Aotrou, hennes hen deuz deg pez 
LUK.19.26	Hen lavaret a ran deoc’h, roet e vezo d’an hini hen deuz; mes an hini n’hen deuz ket a vezo zo‐ken lammet diganthan ar pez hen deuz. 
LUK.19.27	Evit va enebourien, pere n’eo ket fellet dezhe va c’haoud da roue, digassit 
LUK.19.28	Ha goude beza lavaret kement‐se, 
LUK.19.30	It d’ar bourg a zo diraz’oc’h, ha pa viot erru eno, c’houi a gavo eun azen yaouank stag, ha n’euz bet c’hoas den var he gein; distagit anezhan, hag hen digassit 
LUK.19.31	Ha mar goulen unan‐benag perag e tistagit 
LUK.19.32	Ar re a oe kasset a ieaz, hag a gavaz pep tra evel m’hen doa lavaret dezhe. 
LUK.19.33	Ha pa oant o tistaga an azen yaouank, ar perc’hened a lavaraz dezhe: Perag e tistagithu an azen yaouank‐
LUK.19.34	Hag e lavarjont: An Aotrou hen deuz ezom anezhan. 
LUK.19.35	Hag e tigasjont anezhan da Jesus; ha goude beza taolet ho dillad var an azen yaouank, e lekejont Jesus da pignad varnezhan. 
LUK.19.36	Hag evel ma tremene, 
LUK.19.37	Ha pa oa o tostaad d’an disken euz Menez Olived, ar foul euz an diskibien, karget a levenez, a gommansaz meuli Doue a vouez huel evit an holl burzudou ho doa gwelet. 
LUK.19.38	Hag e lavarent: 
LUK.19.39	Neuze darn euz ar Farizianed a oa e‐touez ar bobl a lavaraz dezhan: Mestr, gourdrouz da ziskibien. 
LUK.19.40	Hag hen o respont a lavaraz dezhe: Hen lavaret a ran deoc’h, mar deu ar re‐man da devel, ar vein a grio.
LUK.19.41	Ha pa oe en em gavet tost da gear, o velet anezhi, e commansaz da wela varnezhi, hag e lavaraz: 
LUK.19.42	Oh! ma’z pije anavezet, da vihana en deizman 
LUK.19.43	Rag dond a rai varnoud eun amzer ma teui da enebourien da zevel kleuziou en‐dro d’id, hag e vezi kelc’hiet, ha gwasket ganthe a bep tu; 
LUK.19.44	ha distruja a raint ac’hanoud te ha da vugale a zo o choum enoud, ha ne lezint ket enoud an eil mean var egile abalamour n’ec’h euz ket anavezet an amzer m’az oud bet bizitet.
LUK.19.45	Goude‐ze, o veza eat en templ, e commansaz da gas er meaz ar re a oa eno o verza hag o prena, 
LUK.19.46	en eur lavaret dezhe: Scrivet eo: Va zi a zo eun ti a beden; mes c’houi hoc’h euz great ganthan eur c’havern laeron.
LUK.19.47	Hag e kelenne bemdez en templ. Ha prinsed ar veleien, ar Scribed ha chefou ar bobl a glaske hen lakaad d’ar maro. 
LUK.19.48	Mes ne ouient petra da ober, rag ar bobl holl a zalc’he tost dezhan evit klevet he gomzou.
LUK.20.1	Eun devez ma oa Jesus o kelen ar bobl en templ, ha ma oa o prezeg an Aviel, prinsed ar veleien hag ar Scribed, gant ar re Ancien, o veza erruet eno, 
LUK.20.2	a gomzaz outhan hag a lavaraz: Lavar deomp dre be seurt otorite e rez‐te an traou‐ze, ha piou hen deuz roet d’id an otorite‐ze? 
LUK.20.3	Hen a respontaz hag a lavaraz dezhe: Me a c’houlenno ive eun dra diganeoc’h; respontit d’in: 
LUK.20.4	Pe euz an env, pe a‐berz an dud eo e teue badiziant Ian? 
LUK.20.5	Hogen, evel‐hen e rezonent enhe ho‐unan: Mar leveromp: Euz an env, hen a lavaro: Perag eta n’hoc’h euz‐hu ket credet dezhan? 
LUK.20.6	Ha mar leveromp: A‐berz an dud, e vezimp meinet gant ar bobl holl; rag 
LUK.20.7	Rag‐se e respontjont ne ouient ket euz a beleac’h 
LUK.20.8	Ha Jesus a lavaraz dezhe: Na me ken neubeud na livirin ket deoc’h dre be seurt otorite e ran an traou‐man.
LUK.20.9	Neuze e commansaz lavaret d’ar bobl ar barabolen‐man: Eun den a blantaz eur winien, hag a roaz anezhi e feurm da labourerien, hag ez eaz euz he vro evit pell amzer. 
LUK.20.10	Ha pa oa deuet an amzer da zastum, e kassaz eur servicher etrezeg al labourerien evit kaout diganthe frouez euz ar winien; mes al labourerien goude beza skoet varnezhan, a gassaz 
LUK.20.11	Kas a reaz c’hoas eur servicher all; mes goude beza kannet ha gwall‐dretet he‐man ive, e kasjont anezhan kuit en goullo. 
LUK.20.12	Kas a eure c’hoas unan all evit an trede gwech; mes he vlessa a rejont ive, hag e taoljont anezhan er meaz. 
LUK.20.13	Mestr ar winien a lavaraz neuze: Petra a rin‐me? Kas a rin va mab muia‐karet; marteze, pa her gwelint, e toujint dezhan. 
LUK.20.14	Mes pa velaz al labourerien anezhan, e commansjont da rezoni evel‐hen etreze: He‐man eo an heritour; deuit, lazomp anezhan, evit ma vezo he heritach deomp‐ni. 
LUK.20.15	Hag, o veza taolet anezhan er meaz euz ar winien, hen lazjont. Petra a rai eta mestr ar winien? 
LUK.20.16	Dond a rai, hag e lako al labourerein‐ze d’ar maro, hag e roio he winien da 
LUK.20.17	Neuze 
LUK.20.18	Piou‐benag a gwezo var ar mean‐ze a vezo brevet, hag an hini a gwezo ar mean‐ze varnezhan a vezo flastret.
LUK.20.19	Neuze prinsed ar veleien hag ar Scribed a glaskaz, hep dale pelloc’h, lakaad ho daouarn varnezhan; rag anavezet ho doa hen doa lavaretar barabolen‐ze a‐eneb dezhe; mes aoun ho doa rag ar bobl.
LUK.20.20	Rag‐se, o teurel evez mad outhan, e kasjont tud hag a rea seblant da veza tud just, evit 
LUK.20.21	 a c’houlennaz diganthan an dra‐man; Mestr, gouzoud a reomp e komzez hag e kelennez gant eünder, hag e teskez hent Doue hervez ar wirionez, heb sellet ouz apparans an dud. 
LUK.20.22	Ha permetet eo deomp paea an tribut da Cezar pe n’eo ket? 
LUK.20.23	Mes 
LUK.20.24	Diskouezit d’in eun diner. Euz piou eo an imach hag an hano a zo var he‐man? Respont a rejont: Euz a Cezar. 
LUK.20.25	Hag hen a lavaraz dezhe: Rentit eta da Cezar ar pez a zo da Cezar, ha da Zoue ar pez a zo da Zoue.
LUK.20.26	Ha na heljont ket hen surpren en he gomzou dirag ar bobl; mes souezet gant ar respont hen doa great, e tavjont.
LUK.20.27	Neuze eur re‐benag a‐douez ar Saduceed, pere a nac’h ar resurrection, a dostaaz, hag a c’houlennaz evel‐hen diganthan: 
LUK.20.28	Mestr, Moises hen deuz gourc’hemenet deomp, pa zigouez da eun den‐benag kaoud eur breur dimezet hag a varv heb bugale, e tle hennes kemeret ar vreg, ha sevel lignez d’he vreur. 
LUK.20.29	Hogen, bez’ e oa seiz breur. Ar c’henta, o veza dimezet, a varvaz heb bugale. 
LUK.20.30	An eil a zimezaz d’he vreg, hag a varvaz heb bugale. 
LUK.20.31	Neuze an trede a zimezaz dezhi ive, hag ho seiz e rejont ar memeus tra, hag e varvjont heb lezel bugale. 
LUK.20.32	Var lerc’h 
LUK.20.33	Da behini anezhe eta e vezo hi greg pa resussito ar re varo? Rag ho zeiz ez int bet dimezet dezhi. 
LUK.20.34	Jesus a respontaz dezhe: Bugale ar bed‐man a zimez, hag a ro da zimezi. 
LUK.20.35	Mes ar re a vezo kavet dign da gaout lod er bed da zond hag en resurrection ar re varo, na zimezint ket ha ne roint ket da zimezi. 
LUK.20.36	Rag ne hellint ket ken neubeud mervel, rag henvel e vezint ouz an elez, hag e vezint bugale da Zoue, o veza bugale a resurrection. 
LUK.20.37	Hogen Moises he‐unan a ziskouez deomp ive e teu ar re varo da resussita, pa deu, 
LUK.20.38	Hogen, Doue n’eo ket Doue ar re varo, mes 
LUK.20.39	Neuze darn euz ar Scribed, o komz, a lavaraz: Mestr, komzet mad ec’h euz. 
LUK.20.40	Ha ne gredent ken goulen netra diganthan.
LUK.20.41	Neuze e lavaraz dezhe: Penaos ec’h heller lavaret ez eo ar C’hrist Mab da Zavid? 
LUK.20.42	Pa lavar David he‐unan en levr ar Salmou: An Aotrou hen deuz lavaret d’am Aotrou: 
LUK.20.43	Azez a‐zeo d’in, ken am bezo lakeat da inimied da scabel dindan da dreid. 
LUK.20.44	Mar deu eta David d’hen gervel Aotrou, penaos ec’h hell hen beza he vab?
LUK.20.45	Hag, o veza ma oa ar bobl holl o selaou, e lavaraz d’he ziskibien: 
LUK.20.46	Diwallit ouz ar Scribed pere a blij dezhe pourmen gant saeou hir, hag a gar beza saludet var ar blasennou public ha kaoud ar c’hadoriou kenta er sinagogou, hag ar plasou kenta er festou; 
LUK.20.47	ha pere a zevor tiez an intanvezed var digarez ober pedennou hir; beza ho devezo eur gondaonation vrassoc’h.
LUK.21.1	O veza savet he zaou‐lagad, 
LUK.21.2	Gwelet a reaz ive eun intanvez paour hag a lake enhan daou liard; hag e lavaraz: 
LUK.21.3	E gwirionez hen lavaran deoc’h, an intanvez paour‐ze he deuz lakeat muioc’h eged an holl. 
LUK.21.4	Rag ar re‐ze holl ho deuz lakeat en offransou Doue ar pez a re ho devoa, mes hou‐man he deuz lakeat euz ar pez a oa necesser dezhi, kement he doa evit beva.
LUK.21.5	Hag evel ma lavare darn e oa ornet an templ gant mein kaer ha gant offransou, 
LUK.21.6	Hag e sellit euz an traou‐ze! Dond a rai an deiziou ma ne vezo ket lezet enhan an eil mean var egile heb beza diskaret.
LUK.21.7	Hag e c’houlenjont diganthan: Mestr, peur eta e c’hoarvezo an traou‐ze, ha 
LUK.21.8	Hag hen a lavaraz: Diwallit da veza tromplet; rag meur a hini a zeuio em hano, en eur lavaret: Me eo 
LUK.21.9	N’ho heullit ket. Hogen, pa glevot komz euz a vrezeliou hag euz a drouz 
LUK.21.10	Lavaret a reaz ive dezhe: Eur bobl a zavo a‐eneb eur bobl 
LUK.21.11	ha bez’ e vezo krenamanchou douar heuzuz e meur a leac’h, ha kernes ha bosen, hag e vezo gwelet traou spountus ha siniou braz ebarz an env.
LUK.21.12	Mes, araog ma c’hoarvezo kement‐se holl, e lakaint ho daouarn varnoc’h hag e persecutint 
LUK.21.13	Hag en kement‐se e kavfot leac’h da renta testeni. 
LUK.21.14	Likit eta en ho spered na dleit ket sonjal araog en ho tifen. 
LUK.21.15	Rag me a roio deoc’h eur genou hag eur furnez ha ne hallo ket hoc’h enebourien 
LUK.21.16	Livret a viot memeus gant 
LUK.21.17	Ha c’houi a vezo kaseet gant an holl abalamour d’am hano. 
LUK.21.18	Mes na vezo ket kollet eur vleven hep‐ken euz ho pen. 
LUK.21.19	Gounezit hoc’h eneou gant ho patianted.
LUK.21.20	Ha pa velot Jerusalem kelc’hiet gant armeou, gouezit neuze ema tost 
LUK.21.21	Ra dec’ho neuze var ar meneziou ar re 
LUK.21.22	Rag ar re‐ze a vezo deiziou a gastiz evit ma vezo great kement holl a zo scrivet. 
LUK.21.23	Malheur d’ar gragez o tougen frouez, ha d’ar magerezed en deiziou‐ze; rag eur walen vraz a vezo var ar vro‐man, ha coler 
LUK.21.24	Kweza a raint dindan lem ar c’hleze, hag e vezint kasset en captivite e‐touez an holl nationou; ha Jerusalem a vezo mac’het gant ar Jentiled, ken a vezo peurleuniet amzeriou ar Jentiled.
LUK.21.25	Siniou a vezo ebarz an heol, 
LUK.21.26	An dud a vezo evel prest da renta ho ene gant ar spount, o c’hortoz an traou a dle c’hoarvezout var an douar; rag puissansou an envou a vezo brallet. 
LUK.21.27	Ha neuze e velint Mab an den o tond var eur goabren, gant eur galloud hag eur gloar vraz. 
LUK.21.28	Hogen, pa gommanso an traou‐ze da c’hoarvezout, sellit d’an neac’h, ha savit ho pen, rag ho telivrans a dosta.
LUK.21.29	Hag e lavaraz dezhe eur barabolen: Sellit ouz ar vezen‐fiez hag an holl gwez 
LUK.21.30	pa gommansont dispaka, ec’h ouzoc’h hoc’h‐unan en eur velet anezhe ema tost an hanv. 
LUK.21.31	Evel‐se ive c’houi, pa velot an traou‐ze o c’hoarvezout, gouezit ema tost rouantelez Doue. 
LUK.21.32	E gwirionez e lavaran deoc’h penaos na dremeno ket ar generation‐man ken na vezo c’hoarvezet an holl draou‐ze. 
LUK.21.33	An env hag an douar a dremeno, mes va c’homzou na dremenint ket.
LUK.21.34	Likit eta evez ouzoc’h hoc’h‐unan, gant aoun na zeufe an debauch, ar vezventi ha sourciou ar vuez‐man da bouneraad ho calon, ha na gwezfe an devez‐se varnoc’h heb gouzoud deoc’h. 
LUK.21.35	Rag evel eur roued e teuio var gement hini a zo o choum var c’horre an douar. 
LUK.21.36	Beillit eta ha pedit e pep amzer, evit ma veot kavet dign da dec’het diouz an holl draou‐ze a dle c’hoarvezoud, ha da choum dirag Mab an den.
LUK.21.37	Hogen, 
LUK.21.38	Ha da c’houlou deiz, ar bobl holl a deue d’hen kavoud en templ, evit selaou anezhan.
LUK.22.1	Tostaad a rea gouel ar bara heb goell hanvet ar Pask. 
LUK.22.2	Ha prinsed ar veleien hag ar Scribed a glaske an tu da lakaad 
LUK.22.3	Hogen an Diaoul a antreaz en 
LUK.22.4	Mond a reaz eta hag e komzaz gant prinsed ar veleien ha gant chefou ar re a ziwalle an templ, var an doare d’hen livra dezhe. 
LUK.22.5	Ar re‐man ho doe joa 
LUK.22.6	Ha Judas a roaz he c’her. Hag e klaske eun occasion vad d’hen livra dezhe heb trouz.
LUK.22.7	Koulskoude devez ar bara heb goell a erruaz en pehini e oa red laza 
LUK.22.8	Ha 
LUK.22.9	Int a lavaraz dezhan: En pe leac’h e fell d’id e preparfemp 
LUK.22.10	Hag e lavaraz dezhe: Pa antreot en kear, en em gavo ganeoc’h eun den o tougen eur podad dour; it var he lerc’h en ti ma c’hantreo; 
LUK.22.11	ha livirit da berc’hen an ti: Ar mestr a lavar d’id: Pe leac’h ema ar zal en pehini e tebrin ar Pask gant va diskibien? 
LUK.22.12	Hag hen a ziskouezo deoc’h eur zal vraz d’an neac’h, meublet mad; preparit eno 
LUK.22.13	Ar re‐man eta, o veza eat kuit, a gavaz pep‐tra evel m’hen doa lavaret dezhe, hag e preparjont ar Pask.
LUK.22.14	Ha pa oe deuet an heur, hen en em lekeaz ouz taol, hag an daouzec abostol ganthan. 
LUK.22.15	Hag e lavaraz dezhe: Eur c’hoant vraz em boa da zibri ar Pask‐man ganeoc’h araog souffr. 
LUK.22.16	Rag me a lavar deoc’h n’hen debrin mui, ken a vezo accomplisset en rouantelez Doue. 
LUK.22.17	Hag o veza kemeret ar c’halir ha rentet grasou, e lavaraz: Kemerit anezhan, hag 
LUK.22.18	Rag me a lavar deoc’h, ne evin mui euz a frouez ar winien, ken a vezo deuet rouantelez Doue.
LUK.22.19	Neuze e kemeraz bara, hag o veza rentet grasou, 
LUK.22.20	Er memeus doare, goude beza koaniet, 
LUK.22.21	Hogen, setu, dorn an hini a drahis ac’hanoun 
LUK.22.22	Evit ar pez a zell Mab an den, mond a ra kuit, hervez ar pez a zo bet merket; mes malheur d’an den‐ze gant pehini eo trahisset. 
LUK.22.23	Hag e commansjont da c’houlen an eil digant egile pehini anezhe a dlie ober an dra‐ze?
LUK.22.24	Sevel a reaz ive eun disput etrezhe da c’houzout pehini anezhe a vije kemeret evit ar brassa. 
LUK.22.25	Mes 
LUK.22.26	Mes c’houi, na 
LUK.22.27	Rag pehini eo ar brassa, pe an hini a zo ouz taol, pe an hini a zo o servicha? ha n’eo ket an hini a zo ouz taol eo? ha koulskoude me a zo en ho touez, evel an hini a zo o servicha. 
LUK.22.28	Hogen, evidoc’hc’houi, oc’h euz kendalc’het ganen em zentationou; 
LUK.22.29	ha me a ro deoc’h ar rouantelez, evel ma’z eo bet roet d’in gant va Zad; 
LUK.22.30	evit ma hellot debri hag eva ouz va zaol em rouantelez, ha beza azezet var droniou, o varna an daouzec tribu a Israel.
LUK.22.31	An Aotrou a lavaraz c’hoas: Simon, Simon, setu ma hen deuz goulennet Satan tremen ac’hanoc’h dre eur c’hroe evel gwiniz. 
LUK.22.32	Mes me em euz pedet evidoud, evit na deuio ket da feiz da zemplaad. Te eta pa vezi convertisset, krenva da vreudeur. 
LUK.22.33	Ha 
LUK.22.34	Mes 
LUK.22.35	Neuze e lavaraz dezhe: Pa gassiz ac’hanoc’h hep na ialc’h, na bissac’h, na boutou, daoust hag eun dra‐benag a zo bet manket deoc’h? 
LUK.22.36	Mes breman, eme‐z’han, an hini hen deuz eur ialc’h, ra gemero 
LUK.22.37	Rag hen lavaret a ran deoc’h, red eo d’ar gomz‐man a zo bet scrivet beza accomplisset enoun: Lakeat eo bet e renk an torfetourien. Ha kement a zo bet scrivet divar va fen a zo prest da c’hoarvezout. 
LUK.22.38	Hag e lever‐jont: Aotrou, setu aman daou gleze. Hag hen a lavaraz dezhe: Awalc’h eo kement‐se.
LUK.22.39	Neuze 
LUK.22.40	Ha pa oe erruet eno, e lavaraz dezhe: Pedit gant aoun na gwezfec’h en tentation.
LUK.22.41	Neuze e pellaaz diouthe var hed eun taol mean; hag o veza eat var he zaoulin, e pede, en eur lavaret: 
LUK.22.42	 zad, pella ar c’halir‐ze diouzin, mar plij ganez! koulskoude, ra vezo great n’e ket va bolontezme mes da hini. 
LUK.22.43	Hag eun eal euz an env en em ziskouezaz dezhan evit he grenvaad. 
LUK.22.44	Hag o veza en agoni, e pede c’hoas krenvoc’h; hag e teuaz varnezhan eur c’houezen henvel ouz beradennou goad hag a zivere var an douar.
LUK.22.45	Hag o veza savet euz he beden, e teuaz etrezeg he ziskibien, hag ho c’havaz kousket gant an dristidigez, hag e lavaraz dezhe: 
LUK.22.46	Perag e kouskit‐hu? Savit ha pedit, gant aoun da gweza, pa zeui an dentation.
LUK.22.47	Pa oe c’hoas o komz, setu 
LUK.22.48	Mes Jesus a lavaraz dezhan: Judas, gant eur pok eta e trahissez Mab an den?
LUK.22.49	Hag ar re 
LUK.22.50	Hag unan anezhe a skoaz mevel ar beleg‐braz, hag a droc’haz dezhan he skouarn deo. 
LUK.22.51	Mes Jesus, o komz, a lavaraz: Paouezit. Hag o veza touchet ouz skouarn 
LUK.22.52	Neuze Jesus a lavaraz da brinsed ar veleien, da gabitaned an templ, ha d’ar re Ancien a oa deuet da gemer anezhan: C’houi a zo deuet gant klezeier ha gant bizier, evel var lerc’h eun torfetour. 
LUK.22.53	Bemdez e oann en templ assambles ganeoc’h, ha n’hoc’h euz ket lekeet ho taouarn varnoun. Mes breman ema hoc’h heur ha galloud an devalijen.
LUK.22.54	Neuze e crogjont enhan, hag 
LUK.22.55	Ha pa ho doe great tan en kreiz ar porz, ha pa oent azezet assambles, Per a azezaz en ho zouez. 
LUK.22.56	Hag eur plac’h ouz he velet azezet e‐tal an tan, hag o sellet piz outhan, a lavaraz: He‐man a oa ive gant 
LUK.22.57	Mes 
LUK.22.58	Hag eur pennadic goude, eun all, o velet anezhan, a lavaraz: Te a zo ive deuz an dud‐se. Mes Per a lavaraz: O 
LUK.22.59	Var‐dro eun heur goude, unan all a zeuaz hag a lavaraz: Sur awalc’h, hennes a oa ive ganthan; rag Galilead eo ive. 
LUK.22.60	Ha Per a lavaraz: O 
LUK.22.61	An Aotrou, o veza distroet, a reaz eur zell ouz Per; ha Per a deuaz da zonj dezhan euz a gomz an Aotrou, ha penaos hen doa lavaret dezhan: Abarz ma hen devezo kanet ar c’hilloc, e pezo nac’het ac’hanoun teir gwech. 
LUK.22.62	Ha Per, o veza eat er meaz, a welaz c’houero.
LUK.22.63	Hogen, an dud a oa crog en Jesus, a rea goab anezhan, hag a skoe ganthan; 
LUK.22.64	hag o veza he c’holoet gant eur voal, e skoent var he vizach, hag e lavarent dezhan: Difin piou hen deuz da skoet? 
LUK.22.65	Ha kalz a draou all a lavarent a‐enep dezhan, oc’h insulti anezhan.
LUK.22.66	Ha kerkent ha ma oa deuet an deiz, conseil ar re Ancien euz ar bobl, prinsed ar veleien hag ar Scribed en em assamblaz, hag a lakaz digas 
LUK.22.67	Mar d’oud ar C’hrist, lavar deomp. Hag hen a respontaz dezhe: Mar 
LUK.22.68	ha ma c’hinterrojan 
LUK.22.69	Divar‐vreman Mab an den a vezo azezet en tu‐deo da c’halloud Doue. 
LUK.22.70	Hag e lever‐jont holl: Neuze eta ez oud Mab Doue? Hag hen a respontaz dezhe: Hoc’h‐unan 
LUK.22.71	Neuze e lever‐jont: Da betra hon euzni c’hoas ezom a desteni, pa’z eo gwir hon euz 
LUK.23.1	Neuze an assamble holl, o veza savet, a gassaz anezhan da Bilat.
LUK.23.2	Hag int a gommansaz tamal anezhan, en eur lavaret: Kavet hon euz an den‐man o trompla ar bobl hag o tifen paea an tribut da Cezar, hag o lavaret ez eo hen he‐unan ar C’hrist, ar roue. 
LUK.23.3	Neuze Pilat a c’houlennaz diganthan: Ha te eo roue ar Judevien? Ha 
LUK.23.4	Ha Pilat a lavaraz da brinsed ar veleien ha d’ar bobl: Ne gavan netra da damal en den‐man. 
LUK.23.5	Mes int a zalc’he muioc’h‐mui varnezhan, en eur lavaret: Lakaad a ra ar bobl d’en em zevel, en eur brezeg dre ar Jude holl, adaleg ar Galile beteg aman.
LUK.23.6	Pa glevaz Pilat komz euz ar Galile, e c’houlennaz hag an den‐
LUK.23.7	Hag o veza klevet e oa euz a c’houarnamant Herodes, e kassaz anezhan da gavoud Herodes, pehini a oa ive en Jerusalem en deiziou‐ze.
LUK.23.8	Pa velaz Herodes Jesus, hen devoe eur joa vraz, rag abaoe pell amzer hen doa c’hoant d’he velet, o veza m’hen doa klevet lavaret kalz a draou divar he ben; hag e oa en gortoz d’he velet oc’h ober eur miracl‐benag. 
LUK.23.9	Goulen a reaz eta meur a dra diganthan; mes 
LUK.23.10	Ha prinsed ar veleien hag ar Scribed a oa 
LUK.23.11	Mes Herodes koulz hag he zoudarded hen tretaz gant disprijans; hag evit ober goab 
LUK.23.12	En deiz‐ze ive Pilat hag Herodes a zeuaz da veza mignoned; rag araog e oa droug etrezhe.
LUK.23.13	Neuze Pilat, o veza assamblet prinsed ar veleien, ar barnerien, hag ar bobl, a lavaraz dezhe: 
LUK.23.14	Digasset hoc’h euz an den‐man d’in, 
LUK.23.15	nag Herodes ken neubeud; rag kasset em euz ac’hanoc’h d’hen kavout; ha setu n’hen deuz great netra 
LUK.23.16	Rag‐se, goude beza hen castizet, e laoskin anezhan.
LUK.23.17	Hogen, bep gouel e tlie accordi dezhe liberte eur 
LUK.23.18	En em lakaad a rejont eta da grial holl assambles: Laka he‐man d’ar maro, ha laosk ganeomp Barabbas. 
LUK.23.19	Hogen, 
LUK.23.20	Pilat a gomzaz a‐nevez 
LUK.23.21	Mes int a gommansaz da grial, en eur lavaret: Crucifi, Crucifi, anezhan. 
LUK.23.22	Hag e lavaraz dezhe an trede gwech: Pe seurt droug eta hen deuz hen great? n’am euz kavet netra enhan hag a verit ar maro. Me eta a bunisso anezhan, ha neuze e laoskin 
LUK.23.23	Mes int a zalc’he muioc’h‐mui da c’houlen, en eur grial var bouez ho fen ma vije crucifiet; hag ho c’hri‐fors hag 
LUK.23.24	Neuze Pilat a c’hourc’hemenaz ma vije great ar pez a c’houlennent. 
LUK.23.25	Hag e laoskaz ganthe an hini a oa bet lakeat er prizon evit eur revolt hag 
LUK.23.26	Ha pa oant ouz hen kas ganthe, e kemerjont eun den euz a Zyren, 
LUK.23.27	Hag eur foul vraz a bobl hag a c’hragez a iea var he lerc’h, hag a skoe 
LUK.23.28	Mes Jesus o tistrei outhe, a lavaraz: Merc’hed Jerusalem, na welit ket varnoun‐me, mes gwelit varnoc’h hoc’h‐unan ha var ho pugale; 
LUK.23.29	rag dond a rai an deiziou ma vezo lavaret: Eürus ar 
LUK.23.30	Neuze en em lakaint da lavaret d’ar meneziou: Kwezit varnomp, ha d’an tossennou: Goloit ac’hanomp. 
LUK.23.31	Rag mar greont kement‐se d’ar c’hoat glaz, petra a raint‐hi d’ar 
LUK.23.32	Digas a rent ive ganthe daou dorfetour all, evit ho lakaad d’ar maro assambles ganthan.
LUK.23.33	Ha pa oent erruet el leac’h hanvet Calvar (
LUK.23.34	Mes Jesus a lavare: 
LUK.23.34	Neuze, e lodenjont he zillad, hag e tenjont d’ar zort 
LUK.23.35	Ar bobl a choume 
LUK.23.36	Ar zoudarded ive, o tostaad evit kinnig dezhan gwin‐egr, a rea goab anezhan, hag a lavare: 
LUK.23.37	Mar d’oud roue ar Judevien, en em zaveta da‐unan.
LUK.23.38	Ha bez’ e oa ive a‐uz d’
