GEN.1.2	Erd vikîvala û bêşikil bû, tariyê kûrahî rapêçabû. Ruhê Xwedê li ser rûyê avê digeriya.
MRK.2.22	Û tu kes şeraba nû naxe meşkên kevin. Eger bixeyê, şerab wê meşkan bidirîne, hem şerab ziyan dibe, hem jî meşk. Na, şeraba nû dixin meşkên nû.»
MRK.2.23	Îsa rojeke Şemiyê di nav dexlan re dibihûrî. Çaxê şagirtên wî rêve diçûn, dest pê kirin, simbilên genim çinîn. 
MRK.2.24	Fêrisiyan ji Îsa re got: «Binêre! Çima şagirtên te tiştê ku roja Şemiyê nabe dikin?» 
MRK.2.25	Îsa li wan vegerand û got: «Ma we nexwendiye ku Dawid û yên pê re gava birçî bûn û hewcedariya wan hebû, wî çi kir? 
MRK.2.26	Di dema Evyatarê Serokkahîn de ew ket Mala Xwedê û nanê pêşberiyê xwar, ku xwarina wî nanî ji bilî kahînan ji kesî din re çênabe. Bi ser de jî, Dawid nan da yên bi xwe re.»
MRK.2.27	Hingê Îsa ji wan re got: «Roja Şemiyê ji bo mirovan hat danîn, ne ku mirov ji bo roja Şemiyê! 
MRK.2.28	Bi vî awayî Kurê Mirov Xudanê roja Şemiyê ye jî.»
MRK.3.1	Îcar Îsa careke din ket kinîştê. Li wê derê mirovek hebû ku destê wî hişk bûbû. 
MRK.3.2	Çavên wan li Îsa bûn, ka ewê roja Şemiyê wî qenc bike, da ku wî sûcdar bikin. 
MRK.3.3	Îsa ji mirovê ku destê wî hişk bûbû re got: «Ka rabe, li navendê raweste!» 
MRK.3.4	Piştre ji wan re got: «Ma di roja Şemiyê de qencîkirin an xerabîkirin, xilaskirina jiyana mirovekî an kuştin cayîz e?» Lê wan devê xwe girt. 
MRK.3.5	Îsa bi hêrs li wan ên ku li hawirdora wî bûn nêrî, ji ber serhişkiya wan xemgîn bû û ji zilam re got: «Destê xwe dirêj bike.» Wî jî dirêj kir û destê wî qenc bû. 
MRK.3.6	Fêrisî derketin derve û di cih de bi alîgirên Hêrodês re şêwirîn, ka ewê çawa Îsa bidin kuştin.
MRK.3.7	Îsa bi şagirtên xwe ve xwe da perê golê. Ji Celîlê elaleteke mezin li pey wî hat. 
MRK.3.8	Gava ku wan kirinên wî bihîstin, ji Cihûstanê, ji Orşelîmê, ji Îdûmeyê û ji aliyê Urdunê, ji herêma Sûr û Saydayê gelek mirov hatin ba wî. 
MRK.3.9	Hingê Îsa ji şagirtên xwe re got ku ji wî re qeyikekê amade bikin, da ku di nav elaletê de neyê dehfandin. 
MRK.3.10	Çimkî wî gelek kes qenc kiribûn, wisa ku yên êşên wan hebûn, ji bo ku destê xwe li wî bidin, li wî teng dikirin. 
MRK.3.11	Dema ku ruhên nepak ew didîtin, li ber wî deverû xwe davêtin erdê, diqîriyan û digotin: «Tu Kurê Xwedê yî!» 
MRK.3.12	Lê Îsa hişk li wan emir dikir, da ji kesî re nebêjin ku ew kî ye.
MRK.3.13	Îsa hilkişiya çiyê û kesên ku wî dixwestin gazî ba xwe kirin. Ew jî hatin ba wî. 
MRK.3.14	Wî diwanzdeh kes hilbijartin ku bi wî re bimînin û wan bişîne ku Mizgîniyê bidin, navê wan kir Şandî 
MRK.3.15	û wî desthilatî da wan ku cinan derxin. 
MRK.3.16	Diwanzdeh kesên hilbijartî ev in: Şimûn – ku navê wî kir Petrûs – 
MRK.3.17	Aqûbê Zebedî û birayê wî Yûhenna – wî navê Boanerces li wan kir, ku tê mana «Kurên Gurîna Ezmên» – 
MRK.3.18	Endrawis, Filîpos, Bertolomeyos, Metta, Tûma, Aqûbê kurê Halfayos, Tedayos, Şimûnê welatparêz 
MRK.3.19	û Cihûdayê Îsxeryotî yê ku Îsa da dest.
MRK.3.20	Paşê Îsa çû malekê. Dîsa ewqas elalet civiya, wisa ku nikaribûn xwarinê jî bixwin. 
MRK.3.21	Dema mirovên wî ev yek bihîstin, derketin ku wî bigirin, çimkî wan digot: «Wî hişê xwe winda kiriye!» 
MRK.3.22	Û Şerîetzanên ku ji Orşelîmê daketibûn, digotin: «Belzebûl bi wî re ye. Ew bi destê mîrê cinan, cinan derdixe!» 
MRK.3.23	Îsa jî ew gazî ba xwe kirin û bi meselan ji wan re got: «Îblîs çawa dikare Îblîs derxe? 
MRK.3.24	Eger di nav padîşahiyekê de dubendî hebe, ew padîşahî nikare bimîne. 
MRK.3.25	Û eger di nav malekê de dubendî hebe, ew mal nikare bimîne. 
MRK.3.26	Û eger Îblîs li hember xwe rabe û bi xwe re bikeve dubendiyê, nikare bimîne û êdî dawiya wî hatiye. 
MRK.3.27	Lê belê tu kes nikare bikeve mala mêrxasekî û talan bike. Divê pêşî wî mêrxasî girêde û piştre mala wî talan bike.
MRK.3.28	«Bi rastî ez ji we re dibêjim, hemû guneh û çêrên kurên mirovan wê li wan bên bihûrtin, 
MRK.3.29	lê belê kî ku çêrî Ruhê Pîroz bike, tu caran lê nayê bihûrtin; ew bi gunehê herheyî sûcdar e.» 
MRK.3.30	Îsa weha peyivî, çimkî wan digot: «Ruhê nepak bi wî re heye.»
MRK.3.31	Dê û birayên Îsa hatin, li derve rawestan, yek şandin pey wî û gazî wî kirin. 
MRK.3.32	Elalet li dora wî rûdinişt, îcar jê re gotin: «Va ye, diya te û birayên te li derve ne, li te digerin.» 
MRK.3.33	Îsa li wan vegerand û got: «Diya min û birayên min kî ne?» 
MRK.3.34	Hingê li kesên li dora xwe rûniştî nêrî û got: «Va ne, diya min û birayên min! 
MRK.3.35	Kî ku daxwaza Xwedê bîne cih, birayê min, xwişka min û diya min ew e.»
MRK.4.1	Îsa dîsa li perê golê dest bi hînkirinê kir. Elaleteke wisa mezin li dora wî civiya ku ew li qeyika li ser golê siwar bû û rûnişt. Hemû elalet li perê golê bû 
MRK.4.2	û wî gelek tişt bi meselan hînî wan dikir. Di hînkirina xwe de got: 
MRK.4.3	«Guhdarî bikin! Cotkar derket ku tov biçîne. 
MRK.4.4	Çaxê wî tov direşand, hinek jê ket tenişta rê, teyr hatin û ew xwarin. 
MRK.4.5	Û hinek ket ser erdê kevirî yê ku axa wî kêm bû û ji ber ku ax ne kûr bû, ew zû şîn bû. 
MRK.4.6	Gava roj hilat, ew kizirî; ji ber ku rayê wî tunebû, hişk bû. 
MRK.4.7	Û hinekî din ket nav stiriyan, stirî mezin bûn û ew fetisandin û wî ber neda. 
MRK.4.8	Û hinek ket ser erdekî qenc û şîn bû, mezin bû û ber da, hinekan sî, hinekan şêst, hinekan sed qat ber dan.»
MRK.4.9	Û Îsa ji wan re got: «Ewê ku guhên wî ji bo bihîstinê hene, bila bibihîze.»
MRK.4.10	Gava Îsa bi tenê ma, diwanzdehan û kesên ku li hawirdora wî bûn li ser meselan jê pirsîn. 
MRK.4.11	Wî li wan vegerand û got: «Sirên Padîşahiya Xwedê ji we re hatine dayîn, lê ji bo wan ên ku li derve ne, her tişt bi meselan tê gotin, 
MRK.4.12	da ku:
MRK.4.12	‹Çiqas bibînin jî tênegihîjin;
MRK.4.12	Çiqas bibihîzin jî fêm nekin;
MRK.4.12	Nebe ku vegerin û li wan bê bihûrtin.› »
MRK.4.13	Îsa ji wan re got: «Ma hûn vê meselê fêm nakin? Nexwe hûnê çawa hemû meselan fêm bikin? 
MRK.4.14	Cotkar peyvê diçîne. 
MRK.4.15	Yên li tenişta rê, ew cihê ku peyv lê hatiye çandin, ew in ku dibihîzin, lê di cih de Îblîs tê û peyvê ji dilê wan dertîne. 
MRK.4.16	Yên li ser erdê kevirî hatine çandin jî ew in ku gava peyvê dibihîzin, di cih de bi şahî wê qebûl dikin, 
MRK.4.17	lê ji ber ku rayê wan tune, ew tenê demeke kurt dimînin. Dema ku ji bo peyvê cefa û tengahiyê dibînin, zû ji rê derdikevin. 
MRK.4.18	Û yên di nav stiriyan de hatine çandin ew in, ku peyvê dibihîzin, 
MRK.4.19	lê xema vê dinyayê û xapandina dewlemendiyê û xwestina tiştên din dikevin navê û peyvê difetisînin û peyv bêber dimîne. 
MRK.4.20	Û yên di erdê qenc de hatine çandin ew in ku peyvê dibihîzin, qebûl dikin. Hinek sî, hinek şêst û hinek jî sed qatî ber didin.»
MRK.4.21	Û Îsa ji wan re got: «Gava qendîlê tînin hundir, ma ji bo ku bixin bin melkebê an jî bin nivînan tînin? Ma ne ji bo danîna ser şamdankê ye? 
MRK.4.22	Tu tiştê veşartî tune ku neyê eşkerekirin, ne jî tiştekî nixumandî heye ku nekeve ber ronahiyê. 
MRK.4.23	Guhên kê ji bo bihîstinê hebin, bila bibihîze.» 
MRK.4.24	Û wî ji wan re got: «Bala xwe bidin tiştên ku hûn dibihîzin. Hûn bi kîjan pîvanê bipîvin, bi wê pîvanê wê ji we re jî bê pîvandin û bi ser de jî wê bê zêdekirin. 
MRK.4.25	Çimkî bi kê re hebe, wê bêtir ji wî re bê dayîn û bi kê re tunebe, tiştê ku pê re heye jî, wê jê bê standin.»
MRK.4.26	Û Îsa got: «Padîşahiya Xwedê dimîne vê yekê: Zilamek li erdê tov diçîne. 
MRK.4.27	Bi şev radize, bi roj radibe, tov şîn dibe û mezin dibe û mirov nizane ku ev çawa dibe. 
MRK.4.28	Erd ji ber xwe ber dide; pêşî zîl dide, piştre diseride, paşê jî liba gihîştî di simbil de dide. 
MRK.4.29	Gava ku ber digihîje, mirov êdî dasê davêjê, çimkî dema dirûna wî hatiye.»
MRK.4.30	Îsa got: «Gelo em Padîşahiya Xwedê bimînînin çi? An jî em wê bi kîjan meselê bêjin? 
MRK.4.31	Ew dimîne liba xerdelê. Gava tê çandin, ji hemû tovên li ser erdê biçûktir e. 
MRK.4.32	Lê gava digihîje, ji hemû pincaran mezintir dibe û çiqilên mezin dide, wisa ku teyrên ezmên dikarin di bin siya wê de bi cih bibin.»
MRK.4.33	Bi gelek meseleyên bi vî awayî li gor ku ew têdigihîştin, wî peyv ji wan re digot. 
MRK.4.34	Bê mesele ji wan re tiştek nedigot, lê gava ew bi tenê bûn, ji şagirtên xwe re her tişt vedikir.
MRK.4.35	Wê rojê, gava ku bû êvar, Îsa ji şagirtên xwe re got: «Em derbasî wî aliyê golê bibin.» 
MRK.4.36	Şagirt ji elaletê veqetiyan, ketin qeyika ku Îsa tê de bû û wan ew bi xwe re bir. Qeyikên din jî bi wî re bûn. 
MRK.4.37	Îcar bagereke mezin rabû, pêlan wisa li qeyikê dixist ku êdî ew bi avê tije dibû. 
MRK.4.38	Lê Îsa di paşiya qeyikê de serê xwe danîbû ser balgehekê û radiza. Wan ew hişyar kir û gotin: «Mamoste, ma ne xema te ye ku em helak bibin?» 
MRK.4.39	Îsa rabû, li bayê hilat û emir li golê kir: «Raweste, bêdeng be!» Ba sekinî, bêpêjiniyeke mezin çêbû. 
MRK.4.40	Îsa ji şagirtan re got: «Hûn çima ditirsin? Ma hê baweriya we tune?» 
MRK.4.41	Tirseke mezin ket ser wan û ji hevdû re gotin: «Gelo ev kî ye ku hem ba, hem jî gol bi ya wî dikin?»
MRK.5.1	Ew derbasî aliyê din ê Gola Celîlê bûn û gihîştin herêma Girasîniyan. 
MRK.5.2	Gava ku Îsa ji qeyikê derket, wê gavê ji nav goristanê mirovek rastî wî hat ku bi ruhê nepak ketibû. 
MRK.5.3	Ew di nav goran de dijiya û tu kesî nikaribû bi zincîran jî wî girêde; 
MRK.5.4	çimkî gelek caran ew bi qeyd û zincîran girêdabûn, lê wî zincîr qetandibûn û qeyd şikandibûn. Tu kesî nikaribû ew zeft bikira. 
MRK.5.5	Hergav, bi şev û roj di goristanan de, li serê çiyan diqîriya û xwe bi keviran birîndar dikir.
MRK.5.6	Gava wî Îsa ji dûr ve dît, bi lez hat, jê re çû ser çokan 
MRK.5.7	û bi dengekî bilind qîriya û got: «Ya Îsa, Kurê Xwedayê Herî Berz, ma te çi ji min e? Ji bo xatirê Xwedê, min nede ezabê!» 
MRK.5.8	Çimkî Îsa gotibû: «Hey ruhê nepak, ji vî mirovî derkeve!» 
MRK.5.9	Îsa jê pirsî: «Navê te çi ye?» Wî jî got: «Navê min Lejyon e, çimkî em gelek in.» 
MRK.5.10	Wî pirr ji Îsa lava kir ku ew wan neşîne derveyî wê herêmê. 
MRK.5.11	Û li wir, li pala çiyê garaneke mezin a berazan diçêriya. 
MRK.5.12	Ruhên nepak ji Îsa lava kirin û gotin: «Me bişîne nav berazan ku em bikevin nav wan.» 
MRK.5.13	Wî jî destûr da wan, ruhên nepak jî derketin û ketin nav berazan. Ew garana ku nêzîkî du hezar beraz bû, wê xwe di kaşê re avêt golê û xeniqî 
MRK.5.14	Gavanên berazan reviyan û ev xeber li bajêr û li gundan belav kirin. Û xelk jî hatin ku tiştên bûyî bibînin. 
MRK.5.15	Ew hatin ba Îsa û wan ew mirovê ku lejyoneke cinan tê de bû, bi cil û li ser hişê xwe û rûniştî dîtin. Hingê ew tirsiyan. 
MRK.5.16	Yên ev yeka ku ji wî mirovê cinoyî re hat kirin û tiştê ku bi berazan hat, dîtin, ji xelkê re gotin. 
MRK.5.17	Û wan dest pê kir lava ji Îsa kirin ku ew ji herêma wan here.
MRK.5.18	Gava Îsa ket qeyikê, ew mirovê ku cinoyî bû jê lava kir ku bi wî re here. 
MRK.5.19	Lê Îsa nehişt û jê re got: «Vegere mala xwe û ji maliyên xwe re bêje ku Xudan ji bo te çi kir û çawa li te hat rehmê.» 
MRK.5.20	Ew jî çû û eva ku Îsa ji bo wî kiribû li herêma Dêkapolîsê belav kir û her kes şaş ma.
MRK.5.21	Gava Îsa dîsa bi qeyikê derbasî aliyê din bû, elaleteke mezin li dora wî civiya. Ew li perê golê disekinî. 
MRK.5.22	Yek ji serekên kinîştê ku navê wî Yayîros bû, hat ba wî. Gava wî Îsa dît, xwe avêt ber lingên wî, 
MRK.5.23	jê gelek lava kir û got: «Keçika min a biçûk li ber mirinê ye. Were û destên xwe deyne ser wê, da ku ew qenc bibe û bijî.» 
MRK.5.24	Îsa rabû bi wî re çû.
MRK.5.24	Elaleteke mezin li pey wî diçû û der û dor lê teng dikir. 
MRK.5.25	Û jinikek li wir hebû ku ji diwanzdeh salan ve xwîn jê diçû. 
MRK.5.26	Wê ji destê gelek hekîman gelek êş kişandibû û hemû hebûna xwe mezaxtibû, dîsa feyde nedîtibû, lê hê xerabtir bûbû. 
MRK.5.27	Jinikê tiştên ku li ser Îsa hatibûn gotin, bihîstibû. Di nav elaletê de ji pişt ve hat û destê xwe li kirasê wî da. 
MRK.5.28	Çimkî wê di dilê xwe de digot: «Bi tenê ez destê xwe li kirasê wî bidim, ezê qenc bibim.» 
MRK.5.29	Û di cih de xwîna ku jê diçû çikiya û jinikê jî ji bedena xwe fêm kir ku ji êşa xwe qenc bû. 
MRK.5.30	Îsa di cih de pê hesiya ku hêzek jê çû, di nav elaletê de zivirî û pirsî: «Kê destê xwe li cilên min da?» 
MRK.5.31	Şagirtên wî gotin: «Tu dibînî ku elaletê der û dor li te teng kiriye, hê jî tu dibêjî: ‹Kê destê xwe li min da?›» 
MRK.5.32	Lê Îsa çav li dora xwe digerand ku bibîne, kê ev kiriye. 
MRK.5.33	Jinikê dizanibû ku çi bi wê hatiye kirin, bi tirs û lerz hat û xwe avêt ber lingên wî û hemû rastî got. 
MRK.5.34	Îsa ji wê re got: «Keça min, baweriya te tu qenc kirî. Bi silamet here û ji êşa xwe sax bibe.»
MRK.5.35	Îsa hê dipeyivî, ji mala serekê kinîştê mirov hatin û gotin: «Keçika te mir. Tu çima hê mamoste diwestînî?» 
MRK.5.36	Gava Îsa ev bihîst, wî ji serekê kinîştê re got: «Netirse, bi tenê bawer bike!» 
MRK.5.37	Wî nehişt ku ji bilî Petrûs, Aqûb û birayê wî Yûhenna kes li pey wî bê. 
MRK.5.38	Çaxê gihîştin mala serekê kinîştê, Îsa dît ku dikin qîjeqîj, digirîn û diqîrin. 
MRK.5.39	Gava ew ket hundir, ji wan re got: «Çima hûn dikin qîjeqîj û digirîn? Zarok nemiriye, lê di xew de ye.» 
MRK.5.40	Îcar ew pê keniyan.
MRK.5.40	Lê Îsa hemû derxistin derve, dê û bavê zarokê û her sê şagirtên xwe birin û ket cihê ku zarok lê bû. 
MRK.5.41	Destê zarokê girt û jê re got: «Talîta qûm!» ku bê wergerandin: «Keçikê, ez ji te re dibêjim: Rabe!» 
MRK.5.42	Keçik di cih de rabû û geriya. Ew diwanzdeh salî bû. Îcar ew yekcar şaş man. 
MRK.5.43	Îsa hişk li wan emir kir ku vê yekê ji kesî re nebêjin û ji wan re got ku xwarinê bidin keçikê.
MRK.6.1	Îsa ji wir derket û çû bajarê xwe. Şagirtên wî jî li pey wî çûn. 
MRK.6.2	Çaxê bû roja Şemiyê, wî di kinîştê de dest bi hînkirinê kir û gelekên ku ew bihîstin, gelek şaş man û gotin: «Vî mirovî ev tişt ji ku derê anîn? Ev çi şehrezayî ye ku jê re hatiye dayîn? Ev çi keramet in ku bi destê wî çêdibin? 
MRK.6.3	Ma ev ne xerat e? Ma ev ne kurê Meryemê û birayê Aqûb, Yûsês, Cihûda û Şimûn e? Ma xwişkên wî ne li vir di nav me de ne?» Bi vî awayî ew ji wî enirîn.
MRK.6.4	Îsa jî ji wan re got: «Pêxemberek ji bajarê xwe, di nav mirovên xwe de û ji mala xwe pê ve, li cihên din ne bê siyanet e.» 
MRK.6.5	Wî li wê derê nikaribû tu keramet bikira, bi tenê destên xwe danîn ser çend nexweşan û ew qenc kirin. 
MRK.6.6	Îsa li bêbaweriya wan şaş ma.
MRK.6.6	Îsa li gundên hawirdorê digeriya û hîn dikir. 
MRK.6.7	Wî her diwanzdeh gazî ba xwe kirin û dest pê kir, ew cot bi cot şandin û li ser ruhên nepak desthilatî da wan. 
MRK.6.8	Li wan emir kir û got: «Ji bo rêwîtiyê ji bilî dar tu tiştî bi xwe re nebin: Ne nan, ne tûr û ne jî di kemberê de pere. 
MRK.6.9	Çaroxên xwe bikin piyê xwe, lê du kirasan wernegirin.» 
MRK.6.10	Ser ve zêde kir û got: «Her li ku derê ku hûn bikevin malekê, heta ku hûn ji wî cihî derkevin, li wê malê bimînin. 
MRK.6.11	Ew cihên ku we qebûl nekin û guh nedin gotina we jî, gava hûn ji wir herin, toza lingên xwe biweşînin, da ku ev ji bo wan bibe şahidî.»
MRK.6.12	Ew jî bi rê ketin û wan hîn kir ku mirov tobe bikin. 
MRK.6.13	Wan gelek cin derdixistin û rûn li gelek nexweşan didan û ew qenc dikirin.
MRK.6.14	Û Hêrodês padîşah ev yek bihîst, çimkî nav û dengê Îsa derketibû. Hinekan digot: «Ev Yûhennayê imadkar e ku ji nav miriyan rabûye. Ji ber vê yekê karên hêzdar bi destê wî tên kirin.» 
MRK.6.15	Lê hinekan jî digot: «Ev Êlyas e.» Hinekên din jî digotin: «Ev pêxemberek wek pêxemberên dema berê ye.» 
MRK.6.16	Lê gava Hêrodês ev yek bihîst, wî got: «Yûhennayê ku min serê wî jêkiriye, ji nav miriyan rabûye.» 
MRK.6.17	Çimkî Hêrodês bi xwe Yûhenna dabû girtin, girêdabû û avêtibû zîndanê. Wî ev ji ber Hêrodiya jina Filîposê birayê xwe kir, çimkî wî ew ji xwe re anîbû. 
MRK.6.18	Lê Yûhenna jê re gotibû: «Nabe ku tu jinbira xwe bînî.» 
MRK.6.19	Loma kîna Hêrodiya ji Yûhenna hebû, dixwest ku wî bide kuştin, lê bi ser nediket, 
MRK.6.20	çimkî Hêrodês ji Yûhenna ditirsiya û ew diparast; ji ber ku dizanibû Yûhenna mirovekî rast û pîroz e. Gava ku guhê xwe dida gotina wî, ew heyirî dima, lê dîsa jî bi dilxweşî guhdariya wî dikir. 
MRK.6.21	Îcar fersendek derket. Hêrodês ji bo rojbûyîna xwe ziyafetek da malmezin, serdarên leşkerî û giregirên Celîlê. 
MRK.6.22	Gava keça Hêrodiyayê ket hundir, reqisî û ev yek li Hêrodês û vexwendiyên li ser sifrê rûniştî xweş hat. Hingê padîşah ji keçikê re got: «Tu ji min her çi dixwazî bixwaze, ezê bidim te.» 
MRK.6.23	Û wî jê re ji dil sond xwar û got: «Tu ji min her çi bixwazî, ezê bidim te, heta nîvê padîşahiya xwe jî!» 
MRK.6.24	Keçik derket û çû ji diya xwe pirsî: «Ez çi bixwazim?» Diya wê jî got: «Serê Yûhennayê imadkar!» 
MRK.6.25	Keçik hema bi lez çû ba padîşah û daxwaza xwe jê re got: «Ez dixwazim ku tu niha serê Yûhennayê imadkar li ser sêniyekê bidî min.» 
MRK.6.26	Padîşah gelek xemgîn bû. Lê ji ber ku li pêşberî vexwendiyan sond xwaribû, nexwest soza ku daye wê, bişikêne. 
MRK.6.27	Padîşah hema celad şand, emir lê kir ku serê Yûhenna bîne. Celad jî çû zîndanê, serê wî jêkir 
MRK.6.28	û li ser sêniyekê anî û da keçikê. Wê jî ew bir û da diya xwe. 
MRK.6.29	Gava ku şagirtên Yûhenna ev yek bihîstin, hatin cesedê wî birin û di gorekê de veşartin.
MRK.6.30	Û Şandî vegeriyan ba Îsa, her tiştê ku kiribûn û hîn kiribûn ji wî re gotin. 
MRK.6.31	Îsa ji wan re got: «Hûn bi serê xwe werin cihekî bêpêjin û piçekî bîhna xwe vedin.» Ji ber ên ku diçûn û dihatin pirr bûn, wan fersend nedidît ku xwarinê jî bixwin. 
MRK.6.32	Îcar ew bi serê xwe ketin qeyikekê û çûn cihekî bêpêjin. 
MRK.6.33	Lê gelek kesên ku çûna wan dîtin ew nas kirin. Ji hemû bajaran peya bi lez ketin rê û beriya wan gihîştin wir. 
MRK.6.34	Çaxê Îsa derket bejê, wî elaleteke mezin dît û dilê wî bi wan şewitî, çimkî mîna miyên bê şivan bûn. Dest pê kir, gelek tişt hînî wan kir. 
MRK.6.35	Êdî ji ber ku wext dereng bû, şagirtên Îsa hatin û jê re gotin: «Ev der cihekî bêpêjin e, wext jî dereng e. 
MRK.6.36	Bihêle ku ew herin gund û gundikên der û dorê û ji xwe re tiştên xwarinê bikirrin.» 
MRK.6.37	Îsa li wan vegerand û got: «Hûn xwarinê bidin wan!» Şagirtan got: «Ma em herin bi du sed zîvî nên bikirrin û bi wan bidin xwarin?»
MRK.6.38	Îsa ji wan re got: «Herin binêrin, ka çend nanên we hene.» Gava ku wan zanî, gotin: «Pênc nan û du masî hene.» 
MRK.6.39	Wî emir li wan kir ku hemûyan kom bi kom li mêrgê bidin rûniştin. 
MRK.6.40	Ew jî ji komên ku ji sed kesî û pêncî kesî pêk hatibûn li erdê rûniştin.
MRK.6.41	Îsa her pênc nan û herdu masî hildan, li ezmên nêrî, şikir kir, nan şikandin û da şagirtên xwe, da ku ew deynin ber elaletê. Û herdu masî jî li hemû elaletê leva kir. 
MRK.6.42	Hemûyan xwar û têr bûn. 
MRK.6.43	Ji nan û masiyên ji ber wan mabûn diwanzdeh selik tije parî dan hev. 
MRK.6.44	Hejmara yên ku ji wî nanî xwarin pênc hezar mêr bû.
MRK.6.45	Gava ku Îsa elalet verêdikir, wî zû pêstûrî li şagirtên xwe kir ku ew li qeyikê siwar bibin û ji beriya wî derbasî aliyê din ê golê, Beytsaydayê bibin. 
MRK.6.46	Piştî xatir ji wan xwest, ji bo ku dua bike, çû çiyê. 
MRK.6.47	Dema ku bû êvar, qeyik di nava golê de bû û Îsa jî bi serê xwe li perê avê bû. 
MRK.6.48	Îsa dît ku şagirt di kişandina bêrikan de gelek zehmet dikişînin, çimkî ba ji hember wan ve dihat. Nêzîkî berbanga sibehê, Îsa li ser golê rêve çû û nêzîkî wan bû. Wî xwest ku di ber wan re derbas bibe, 
MRK.6.49	lê gava wan dît ku Îsa li ser golê rêve diçe, wan got qey xeyaletekê dibînin û qîriyan. 
MRK.6.50	Çimkî hemûyan jî ew dîtin û bizdiyan. Lê Îsa di cih de bi wan re peyivî û got: «Bi zirav bin! Ez im. Netirsin!» 
MRK.6.51	Hingê ew li ba wan, li qeyikê siwar bû û ba rawesta. Şagirt bi carekê şaş man, 
MRK.6.52	çimkî wan ew bûyera li ser nên fêm nekiribû; hişê wan giran bûbû.
MRK.6.53	Gava ew derbasî aliyê din bûn, wan qeyik girêda, ketin bejê û hatin bajarê Cênîsartê. 
MRK.6.54	Ew ji qeyikê peya bûn û xelkê di cih de Îsa nas kir. 
MRK.6.55	Xelk bi lez li seranserê herêmê geriya, cihê ku Îsa lê bû hîn bûn û hemû nexweş bi nivînên wan ve anîn. 
MRK.6.56	Her cihên ku Îsa diçûyê, bajar be, gund be û gundik be, nexweş li ser meydanan vedizelandin û ji bo ku bi tenê destê xwe li rêşiyên kirasê wî bidin, lava dikirin. Hemû yên ku destê xwe lê didan, qenc dibûn.
MRK.7.1	Fêrisî û hinek Şerîetzanên ku ji Orşelîmê hatibûn, li dora Îsa civiyan. 
MRK.7.2	Û dîtin ku hinek ji şagirtên wî bi destên murdar xwarinê dixwin, yanî ne bi destên li gor adetê şuştî. 
MRK.7.3	– Fêrisî û hemû Cihû adetên bav û kalên xwe digirin, heta ku destên xwe baş neşon, xwarinê naxwin 
MRK.7.4	û çaxê ji sûkê tên jî, heta ku avê bi xwe de nekin, naxwin. Gelek adetên din jî hene ku ji bav û kalan distînin û bi cih tînin: Wek şuştina tas, şerbik û firaxên sifir. – 
MRK.7.5	Îcar Fêrisî û Şerîetzanan ji Îsa pirsîn: «Çima şagirtên te adetên bav û kalan nagirin, lê bi destên murdar xwarinê dixwin?» 
MRK.7.6	Wî li wan vegerand û got: «Îşaya ji bo we durûyan rast pêxemberîtî kiriye! Wek ku hatiye nivîsîn:
MRK.7.6	‹Ev gel bi devê xwe rûmetê dide min,
MRK.7.6	Lê dilê wan ji min dûr e.
MRK.7.7	Bi pûçîtî diperizin min,
MRK.7.7	Di hîndariya xwe de, emrên mirovan hîn dikin.›
MRK.7.8	«Hûn emrê Xwedê dihêlin û xwe bi adetên mirovî ve girêdidin.» 
MRK.7.9	Û wî ji wan re got: «Hûn ji bo adetên xwe çi xweş emrê Xwedê jî didin aliyekî. 
MRK.7.10	Çimkî Mûsa gotiye: ‹Qedrê dê û bavê xwe bigire›
MRK.7.11	Lê hûn dibêjin: ‹Eger mirovek ji dê an jî ji bavê xwe re bêje: Ew alîkariya ku wê ji min bigihîşta te, «qurban» e›, ku tê mana «diyariyeke ji Xwedê re» 
MRK.7.12	êdî hûn nahêlin ew qet tiştekî ji dê û bavê xwe re bike! 
MRK.7.13	Bi vî awayî, bi adetên xwe yên ku hûn derbasî nifşên nû dikin, hûn peyva Xwedê radikin. Û hûn gelek tiştên weha dikin.»
MRK.7.14	Îsa careke din elalet gazî ba xwe kir û ji wan re got: «Hûn hemû guhdariya min bikin û fêm bikin. 
MRK.7.15+MRK.7.16	Tu tişt tune ku ji derve bikeve hundirê mirov û bikare wî murdar bike, lê ew tiştên ku ji hundirê mirov derdikevin, wî murdar dikin.
MRK.7.17	Gava ji elaletê veqetiya û hat malê, şagirtên wî mana wê meselê pirsîn. 
MRK.7.18	Îsa li wan vegerand û got: «Ma hûn jî fêmkor in? Ma hûn fêm nakin, her çi tiştê ku ji derve dikeve hundirê mirov, nikare wî nepak bike. 
MRK.7.19	Çimkî ew naçin dilê wî, lê diçin zikê wî û ji wir jî dertên derve.» Bi vê yekê Îsa hemû xwarin helal kirin. 
MRK.7.20	Û got: «Ew tiştên ku ji dilê mirov derdikevin, wî murdar dikin. 
MRK.7.21	Çimkî ji dilê mirov fikrên xerab derdikevin: Fuhûşî, dizî, kuştin, 
MRK.7.22	zîna, çavbirçîtî, xerabî, hîlebazî, bêedebî, çavnebarî, çêr, quretî û bêaqilî. 
MRK.7.23	Tevahiya van xerabiyan ji dil derdikevin û mirov murdar dikin.»
MRK.7.24	Îsa ji wê derê rabû çû herêma Sûrê. Çû malekê û nexwest ku kesek pê bizane, lê nikaribû veşartî bimîne. 
