GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
1CH.12.18	Nuko Dawidi arasohoka ajya kubasanganira arababwira ati: “Niba muzanywe n'amahoro ngo mumfashe murakaza neza! Ariko niba muzanywe no kungambanira ku banzi banjye kandi nta kibi nabakoreye, Imana ya ba sogokuruza nibarebe maze ibahane.”
1CH.12.19	Nuko Mwuka w'Imana aza kuri Amasayi umutware wa za ntwari mirongo itatu, maze aravuga ati:
1CH.12.19	“Yewe Dawidi mwene Yese,
1CH.12.19	turi abawe turagushyigikiye.
1CH.12.19	Gira amahoro asesuye,
1CH.12.19	ayo mahoro asakare ku bagutabara,
1CH.12.19	koko Imana yawe iragutabaye.”
1CH.12.19	Dawidi arabakīra abagira bamwe mu bakuru b'ingabo ze.
1CH.12.20	Bamwe mu Bamanase na bo basanga Dawidi, ubwo yazanaga n'Abafilisiti kurwanya Sawuli. Icyakora Dawidi n'abo bari kumwe ntibafasha Abafilisiti, kuko abatware b'Abafilisiti bamaze kujya inama bari basezereye Dawidi bavuga bati: “Dawidi aziyunga na shebuja Sawuli maze badutsembe.” 
1CH.12.21	Igihe Dawidi yari asubiye i Sikulagi, bamwe mu Bamanase bamusanzeyo ari bo aba: Aduna na Yozabadi, na Yediyayeli na Mikayeli, na Yozabadi na Elihu na Siletayi. Bari abakuru b'imitwe y'ingabo igihumbi mu Bamanase. 
1CH.12.22	Bafashije Dawidi n'ingabo ze kurwana kuko bose bari intwari, abagira abagaba b'ingabo ze. 
1CH.12.23	Koko rero buri munsi abantu bayobokaga Dawidi kugeza ubwo ingabo ziyongereye, ndetse zirushaho kugira imbaraga.
1CH.12.24	Dore umubare w'abantu bashoboraga kujya ku rugamba basanze Dawidi i Heburoni, kugira ngo bamwegurire ubwami bwa Sawuli nk'uko Uhoraho yari yarabivuze:
1CH.12.25	Abo mu muryango wa Yuda bari ingabo ibihumbi bitandatu na magana inani bitwaje ingabo n'amacumu. 
1CH.12.26	Abo mu muryango wa Simeyoni bari ingabo z'intwari ibihumbi birindwi n'ijana biteguye urugamba. 
1CH.12.27	Abo mu muryango wa Levi bari ibihumbi bine na magana atandatu, 
1CH.12.28	wongeyeho Yehoyada umukuru w'abakomoka kuri Aroni, n'ingabo ibihumbi bitatu na magana arindwi. 
1CH.12.29	Hari n'umusore Sadoki akaba n'intwari, wari kumwe n'abakuru b'ingabo makumyabiri na babiri bo mu muryango we. 
1CH.12.30	Abo mu muryango wa Benyamini ari na wo Sawuli akomokamo bari ibihumbi bitatu, kugeza icyo gihe abenshi muri bo bari bagishyigikiye umuryango wa Sawuli. 
1CH.12.31	Abo mu muryango wa Efurayimu bari ingabo z'intwari ibihumbi makumyabiri na magana inani, bose bari ibirangirire mu muryango wabo. 
1CH.12.32	Abo muri kimwe cya kabiri cy'umuryango wa Manase, bari baratoranyijwe kuza kwimika Dawidi kugira ngo abe umwami, bari ibihumbi cumi n'umunani. 
1CH.12.33	Abo mu muryango wa Isakari bari abakuru b'ingabo magana abiri hamwe n'abo bayoboraga. Abo bakuru b'ingabo bari bazi icyo Abisiraheli bagomba gukora, n'igihe cyiza cyo kugikora. 
1CH.12.34	Abo mu muryango wa Zabuloni bari ingabo ibihumbi mirongo itanu biteguye kujya ku rugamba, bafite intwaro z'ubwoko bwose kandi bashyize hamwe. 
1CH.12.35	Abo mu muryango wa Nafutali bari abatware b'ingabo igihumbi, hamwe n'abo bayoboraga ibihumbi mirongo itatu na birindwi bitwaje ingabo n'amacumu. 
1CH.12.36	Abo mu muryango wa Dani bari ingabo ibihumbi makumyabiri n'umunani na magana atandatu, biteguye kujya ku rugamba. 
1CH.12.37	Abo mu muryango wa Ashēri bari ingabo ibihumbi mirongo ine bamenyereye iby'intambara, kandi biteguye kujya ku rugamba. 
1CH.12.38	Abo mu miryango yari iburasirazuba bw'uruzi rwa Yorodani, ni ukuvuga uwa Rubeni n'uwa Gadi, na kimwe cya kabiri cy'uwa Manase bari ingabo ibihumbi ijana na makumyabiri bafite intwaro z'ubwoko bwose.
1CH.12.39	Abo bantu bose bari biteguye kujya ku rugamba, baje i Heburoni bagambiriye kwimika Dawidi kugira ngo abe umwami w'Abisiraheli bose. Abisiraheli bandi basigaye na bo bari bahuje uwo mugambi. 
1CH.12.40	Bamazeyo iminsi itatu bari kumwe na Dawidi, barya kandi banywa ibyo bene wabo bari babateguriye. 
1CH.12.41	Byongeye kandi, abantu ba hafi aho kimwe n'aba kure bo mu ntara ya Isakari n'iya Zabuloni n'iya Nafutali, bazanye ibyo kurya byinshi bihetswe n'indogobe n'ingamiya, n'inyumbu n'ibimasa. Ibyo byokurya byari ifu n'imitini, n'imizabibu na divayi, n'amavuta y'iminzenze, ndetse babazana n'ibimasa n'intama. Koko rero Abisiraheli bose bari banezerewe.
1CH.13.1	Nuko Dawidi ajya inama n'abatware b'imitwe y'ingabo bayobora ingabo igihumbi, n'abayobora ingabo ijana hamwe n'abandi batware bose. 
1CH.13.2	Nuko Dawidi abwira imbaga y'Abisiraheli bari bateraniye aho ati: “Niba mubona ari byiza kandi bishimisha Uhoraho Imana yacu, dutume kuri bene wacu bose basigaye mu ntara z'igihugu cy'Abisiraheli, no ku batambyi n'Abalevi batuye mu mijyi no mu nzuri ziyikikije baze badusange. 
1CH.13.3	Hanyuma tuzajye kugarura Isanduku y'Imana yacu, kuko tutigeze tuyitaho uhereye mu gihe cya Sawuli.”
1CH.13.4	Abari bateraniye aho bose barabyemera, kuko byari bishimishije abantu bose. 
1CH.13.5	Nuko Dawidi akoranya Abisiraheli bose, uhereye ku mugezi wa Shihori mu Misiri ukageza i Lebo-Hamati, kugira ngo bajye i Kiriyati-Yeyarimu kuzana Isanduku y'Imana. 
1CH.13.6	Dawidi n'Abisiraheli bose bajya i Bāla ari yo Kiriyati-Yeyarimu ho mu Buyuda, bavanayo Isanduku y'Imana yitirirwa izina ry'Uhoraho, uganje hagati y'amashusho y'abakerubi. 
1CH.13.7	Bashyira iyo Sanduku y'Imana ku igare rishya rikururwa n'ibimasa bayikuye kwa Abinadabu, Uza na Ahiyo bayobora iryo gare. 
1CH.13.8	Dawidi n'Abisiraheli bose babyinaga bitakuma imbere y'Isanduku y'Imana. Baririmbaga bacuranga inanga z'indoha n'inanga nyamuduri, bavuza n'ishakwe n'ibyuma birangīra n'amakondera. 
1CH.13.9	Bageze ku mbuga y'i Kidoni ibimasa biratsikira, maze Uza arambura ukuboko kugira ngo aramire ya Sanduku. 
1CH.13.10	Uhoraho arakarira Uza cyane amutsinda aho, kuko yahangaye gukora kuri iyo Sanduku. Nuko Uza agwa aho imbere y'Imana. 
1CH.13.11	Dawidi ababazwa n'uko Uhoraho yishe Uza, aho hantu bahita Peresi-Uza
1CH.13.12	Uwo munsi Dawidi atinya Imana aribaza ati: “Isanduku y'Imana yaza iwanjye ite?”
1CH.13.13	Nuko ntiyajyana iyo Sanduku iwe mu Murwa wa Dawidi, ahubwo ayijyana kwa Obedi-Edomu w'Umunyagati. 
1CH.13.14	Nuko Isanduku y'Imana imara amezi atatu kwa Obedi-Edomu, maze Uhoraho aha umugisha umuryango we n'ibyo yari atunze byose.
1CH.14.1	Hiramu umwami w'i Tiri yohereza intumwa kuri Dawidi zimushyiriye ibiti by'amasederi, amwoherereza n'abaconzi b'amabuye n'ababaji kugira ngo bubakire Dawidi ingoro. 
1CH.14.2	Nuko Dawidi amenya ko Uhoraho yamwimitse kugira ngo abe umwami w'Abisiraheli, kandi ko Imana yakomeje ubwami bwe kubera Abisiraheli ubwoko bwayo.
1CH.14.3	Dawidi ageze i Yeruzalemu yongeye gushaka abandi bagore, babyarana abahungu n'abakobwa. 
1CH.14.4	Dore amazina y'abavukiye i Yeruzalemu: Shamuwa na Shobabu, na Natani na Salomo, 
1CH.14.5	na Yibuhari na Elishuwa na Elifeleti, 
1CH.14.6	na Noga na Nefegi na Yafiya, 
1CH.14.7	na Elishama na Bēliyada na Elifeleti.
1CH.14.8	Abafilisiti bumvise ko Dawidi yimitswe kugira ngo abe umwami w'Abisiraheli bose, baramutera. Dawidi abimenye ajya kubarwanya. 
1CH.14.9	Abafilisiti baraza batera mu kibaya cy'Abarefa
1CH.14.10	Dawidi abaza Imana ati: “Mbese njye gutera Abafilisiti urabangabiza mbatsinde?”
1CH.14.10	Uhoraho aramusubiza ati: “Genda ubatere, nzabakugabiza ubatsinde.” 
1CH.14.11	Nuko Dawidi ajya i Bāli-Perasimu, aba ari ho atsindira Abafilisiti. Aravuga ati: “Imana impaye guca icyuho mu banzi banjye nk'ahashenywe n'isuri.”
1CH.14.11	Ni cyo cyatumye aho hantu bahita Bāli-Perasimu
1CH.14.12	Abafilisiti bahasiga ibigirwamana byabo, maze Dawidi ategeka ko babitwika.
1CH.14.13	Abafilisiti bongera gutera muri cya kibaya. 
1CH.14.14	Dawidi abaza Imana maze iramusubiza iti: “Ntubatere muhanganye, ahubwo ubaturuke inyuma ahateganye n'ishyamba. 
1CH.14.15	Niwumva imirindi y'abantu mu biti uhite ugaba igitero, ndaba nkuri imbere kugira ngo nkugabize ingabo z'Abafilisiti.”
1CH.14.16	Dawidi abigenza nk'uko Imana yamutegetse, batsinda ingabo z'Abafilisiti barabirukana kuva i Gibeyoni kugeza i Gezeri. 
1CH.14.17	Uhereye ubwo Dawidi aba ikirangirire mu bihugu byose, kandi Uhoraho atuma amahanga yose amutinya.
1CH.15.1	Dawidi yiyubakira amazu mu Murwa wa Dawidi, ategura n'ahantu ho gushyira Isanduku y'Imana, ahashinga ihema ryo kuyishyiramo. 
1CH.15.2	Nuko Dawidi aravuga ati: “Abalevi bonyine ni bo bafite uburenganzira bwo guheka Isanduku y'Imana, kuko Uhoraho yabatoranyije kujya baheka Isanduku y'Uhoraho no kumukorera iteka ryose
1CH.15.3	Dawidi akoranyiriza Abisiraheli bose i Yeruzalemu, kugira ngo bajye kuzana Isanduku y'Uhoraho bayishyire aho yayiteguriye. 
1CH.15.4	Akoranya abakomoka kuri Aroni hamwe n'Abalevi, 
1CH.15.5	mu muryango wa Kehati hari Uriyeli wari umukuru wabo, hamwe n'abavandimwe be ijana na makumyabiri. 
1CH.15.6	Mu muryango wa Merari hari Asaya wari umukuru wabo, hamwe n'abavandimwe be magana abiri na makumyabiri. 
1CH.15.7	Mu muryango wa Gerushomu hari Yoweli wari umukuru wabo, hamwe n'abavandimwe be ijana na mirongo itatu. 
1CH.15.8	Mu muryango wa Elizafani hari Shimeyi wari umukuru wabo, hamwe n'abavandimwe be magana abiri. 
1CH.15.9	Mu muryango wa Heburoni hari Eliyeli wari umukuru wabo, hamwe n'abavandimwe be mirongo inani. 
1CH.15.10	Mu muryango wa Uziyeli hari Aminadabu wari umukuru wabo, hamwe n'abavandimwe be ijana na cumi na babiri.
1CH.15.11	Nuko Dawidi ahamagaza abatambyi Sadoki na Abiyatari, n'Abalevi ari bo aba: Uriyeli na Asaya na Yoweli, na Shemaya na Eliyeli na Aminadabu. 
1CH.15.12	Arababwira ati: “Ni mwe bakuru b'imiryango y'Abalevi, mwebwe ubwanyu nimwihumanure ndetse na bene wanyu, maze mujye kuzana Isanduku y'Uhoraho Imana y'Abisiraheli muyishyire aho nayiteguriye. 
1CH.15.13	Koko rero, ubwa mbere ntimwari kumwe natwe kugira ngo muyiheke, bityo Uhoraho Imana yacu yadukuyemo umuntu kubera ko tutabikoze uko bikwiye.”
1CH.15.14	Nuko abatambyi n'Abalevi barihumanura, kugira ngo bajye kuzana Isanduku y'Uhoraho Imana y'Abisiraheli. 
1CH.15.15	Abalevi baheka Isanduku y'Imana ku ntugu zabo bakoresheje imijishi, nk'uko Musa yari yarabitegetse akurikije ijambo ry'Uhoraho. 
1CH.15.16	Dawidi ategeka abakuru b'Abalevi gushyira abavandimwe babo b'abaririmbyi mu myanya yabo kugira ngo baririmbe baranguruye, bacuranga inanga z'indoha n'inanga nyamuduri n'ibyuma birangīra, kandi baririmbana umunezero. 
1CH.15.17	Nuko Abalevi batoranya Hemani mwene Yoweli n'umuvandimwe we Asafu mwene Berekiya, na Etani mwene Kushaya wo mu muryango wa Merari. 
1CH.15.18	Batoranya na bene wabo bo kubafasha, bakaba n'abarinzi b'irembo ari bo aba: Zakariya na Yāziyeli na Shemiramoti, na Yehiyeli na Uni na Eliyabu, na Benaya na Māseya na Matitiya, na Elifelehu na Mikineya, na Obedi-Edomu na Yeyiyeli. 
1CH.15.19	Abaririmbyi ari bo Hemani na Asafu na Etani bavuzaga ibyuma by'umuringa birangīra, 
1CH.15.20	na Zakariya na Aziyeli, na Shemiramoti na Yehiyeli, na Uni na Eliyabu, na Māseya na Benaya bacurangaga inanga zifite amajwi ahanitse. 
1CH.15.21	Naho Matitiya na Elifelehu, na Mikineya na Obedi-Edomu, na Yeyiyeli na Azaziya bayoboraga indirimbo bacuranga inanga zifite amajwi anihira. 
1CH.15.22	Kenaniya umukuru w'Abalevi yari ashinzwe kuyobora indirimbo kuko yari abishoboye. 
1CH.15.23	Berekiya na Elikana bari abarinzi b'Isanduku y'Isezerano, 
1CH.15.24	hamwe na Obedi-Edomu na Yehiya. Naho abatambyi ari bo Shebaniya na Yoshafati, na Netanēli na Amasayi, na Zakariya na Benaya na Eliyezeri, bagombaga kugenda imbere y'Isanduku y'Imana bavuza amakondera. Obedi-Edomu na Yehiya na bo bari abarinzi b'Isanduku y'Isezerano.
1CH.15.25	Nuko Dawidi n'abakuru b'Abisiraheli n'abatware b'imitwe y'ingabo igihumbi, bagenda bishimye bajya kuzana Isanduku y'Isezerano ry'Uhoraho bayikura kwa Obedi-Edomu. 
1CH.15.26	Kubera ko Imana yafashije Abalevi bari bahetse Isanduku y'Isezerano ry'Uhoraho, hatambwe ibimasa birindwi n'amasekurume arindwi y'intama. 
1CH.15.27	Dawidi yari yambaye ikanzu yera kimwe n'Abalevi bari bahetse Isanduku y'Isezerano, ndetse n'abaririmbyi na Kenaniya umuyobozi wabo. Dawidi kandi yari yambaye igishura cy'umweru. 
1CH.15.28	Nuko Abisiraheli bazana Isanduku y'Isezerano ry'Uhoraho. Bari banezerewe cyane bavuza amahembe n'amakondera n'ibyuma birangīra, kandi bacuranga inanga z'indoha n'inanga nyamuduri
1CH.15.29	Igihe Isanduku y'Isezerano ry'Uhoraho yinjiraga mu Murwa wa Dawidi, Mikali umukobwa wa Sawuli arebera mu idirishya abona Umwami Dawidi abyina yitakuma aramugaya.
1CH.16.1	Nuko binjiza Isanduku y'Imana mu ihema Dawidi yari yarayiteguriye, maze batambira Imana ibitambo bikongorwa n'umuriro n'iby'umusangiro. 
1CH.16.2	Dawidi arangije gutamba ibyo bitambo, asabira abantu umugisha mu izina ry'Uhoraho. 
1CH.16.3	Nuko agaburira Abisiraheli bose bahateraniye, buri mugabo na buri mugore ahabwa umugati n'inyama n'umubumbe w'imizabibu.
1CH.16.4	Dawidi ashyira bamwe mu Balevi imbere y'Isanduku y'Uhoraho kugira ngo baramye Uhoraho Imana y'Abisiraheli, bamusingize kandi bamuheshe ikuzo. 
1CH.16.5	Asafu yari umuyobozi wabo yungirijwe na Zakariya. Yeyiyeli na Shemiramoti, na Yehiyeli na Matitiya, na Eliyabu na Benaya, na Obedi-Edomu na Yeyiyeli bacurangaga inanga z'indoha n'inanga nyamuduri, naho Asafu akavuza ibyuma birangīra. 
1CH.16.6	Benaya na Yahaziyeli b'abatambyi, bahoraga imbere y'Isanduku y'Isezerano ry'Imana bavuza amakondera. 
1CH.16.7	Uwo munsi ni bwo Dawidi yahaye Asafu na bagenzi be inshingano yo gusingiza Uhoraho muri aya magambo:
1CH.16.8	Nimushimire Uhoraho, mumwambaze,
1CH.16.8	nimwamamaze mu mahanga ibyo yakoze bitangaje.
1CH.16.9	Nimumuririmbire, mumucurangire,
1CH.16.9	nimwamamaze ibitangaza byose yakoze.
1CH.16.10	Nimwirate ko Uhoraho ari Umuziranenge,
1CH.16.10	mwa bamwambaza mwe, nimwishime.
1CH.16.11	Nimwisunge Uhoraho nyiri ububasha,
1CH.16.11	muhore mumwambaza iteka ryose.
1CH.16.12+1CH.16.13	Mwa rubyaro rw'umugaragu we Aburahamu mwe,
1CH.16.12+1CH.16.13	mwebwe abo Uhoraho yitoranyirije mukomoka kuri Yakobo,
1CH.16.12+1CH.16.13	nimuzirikane ibikorwa bihambaye yakoze,
1CH.16.12+1CH.16.13	nimuzirikane ibitangaza bye n'ibyemezo yafashe.
1CH.16.14	Uhoraho ni we Mana yacu,
1CH.16.14	ibyemezo bye bikurikizwa ku isi yose.
1CH.16.15	Ahora azirikana Isezerano rye,
1CH.16.15	ni ryo jambo yavuze rizahoraho ibihe byose.
1CH.16.16	Ni Isezerano yasezeranyije Aburahamu,
1CH.16.16	ni n'indahiro yarahiye Izaki.
1CH.16.17	Iryo Sezerano yarisezeranyije na Yakobo rirahama,
1CH.16.17	riba Isezerano ridakuka kuri Isiraheli.
1CH.16.18	Uhoraho yaramubwiye ati:
1CH.16.18	“Nzaguha igihugu cya Kanāni,
1CH.16.18	nzakiguha wowe n'abazagukomokaho.”
1CH.16.19	Icyo gihe bari bakiri bake,
1CH.16.19	ari abimukīra mbarwa muri icyo gihugu.
1CH.16.20	Bavaga mu gihugu bakajya mu kindi,
1CH.16.20	bavaga no ku mwami bakajya ku wundi.
1CH.16.21	Nyamara Uhoraho nta we yemereye ko abakandamiza,
1CH.16.21	ahubwo yacyashye abami ababaziza ati:
1CH.16.22	“Muramenye ntimukagire icyo mutwara abo nitoranyirije,
1CH.16.22	ntimukagirire nabi abahanuzi banjye.”
1CH.16.23	Mwa batuye ku isi yose mwe,
1CH.16.23	nimuririmbire Uhoraho,
1CH.16.23	buri munsi mujye mutangaza ko ari we ukiza.
1CH.16.24	Ikuzo rye murimenyekanishe mu mahanga,
1CH.16.24	ibitangaza akora mubimenyeshe abantu bose.
1CH.16.25	Koko Uhoraho arakomeye akwiye gusingizwa bihebuje,
1CH.16.25	ni we ukwiye kubahwa kuruta izindi mana zose.
1CH.16.26	Erega imana z'abanyamahanga zose ni imburamumaro
1CH.16.26	Nyamara Uhoraho ni we waremye ijuru.
1CH.16.27	Ahorana icyubahiro n'ubuhangange,
1CH.16.27	ububasha n'ishimwe biganje mu Ngoro ye.
1CH.16.28	Mwa bantu b'amahanga yose mwe, nimurate Uhoraho,
1CH.16.28	nimurate ikuzo rye n'ububasha bwe,
1CH.16.29	nimurate ko Uhoraho ari nyir'ikuzo.
1CH.16.29	Nimuze mu Ngoro ye mumuzaniye amaturo,
1CH.16.29	nimuramye Uhoraho kuko ari umuziranenge.
1CH.16.30	Mwa batuye ku isi yose mwe,
1CH.16.30	nimuhinde umushyitsi imbere ye.
1CH.16.30	Koko isi irashimangiye ntizanyeganyega.
1CH.16.31	Ijuru niryishime n'isi inezerwe,
1CH.16.31	nimubwire abo mu mahanga muti:
1CH.16.31	“Uhoraho aganje ku ngoma.”
1CH.16.32	Inyanja n'ibiyirimo nibirangīre,
1CH.16.32	imisozi n'ibiyiriho byose nibyishime.
1CH.16.33	Ibiti byo mu ishyamba na byo nibivuze impundu,
1CH.16.33	ibyo byose nibyidagadure imbere y'Uhoraho,
1CH.16.33	koko agiye kuza gutegeka isi
1CH.16.34	Nimushimire Uhoraho kuko agira neza,
1CH.16.34	koko imbabazi ze zihoraho iteka ryose.
1CH.16.35	Nimuvuge muti:
1CH.16.35	“Mana Mukiza wacu, udukize,
1CH.16.35	udutarurukanye utuvane mu mahanga,
1CH.16.35	ni bwo tuzagushimira ko uri umuziranenge,
1CH.16.35	koko kugusingiza ni byo bizadutera ishema.
1CH.16.36	Uhoraho Imana ya Isiraheli nasingizwe,
1CH.16.36	nasingizwe kuva kera kose kugeza iteka ryose.”
1CH.16.36	Abantu bose baravuga bati: “Amina, Haleluya!”
1CH.16.37	Nuko Dawidi ashyiraho Asafu na bagenzi be kugira ngo bajye bahora hafi y'Isanduku y'Isezerano ry'Uhoraho, bayiteho bakurikije ibiteganyijwe buri munsi. 
1CH.16.38	Ashyiraho kandi Obedi-Edomu mwene Yedutuni, hamwe na bene wabo mirongo itandatu n'umunani kugira ngo babafashe. Hosa na Obedi-Edomu bari bashinzwe kurinda amarembo.
1CH.16.39	Dawidi ashinga umutambyi Sadoki hamwe n'abandi batambyi bene wabo, imirimo yo mu Ihema ry'Uhoraho ryari ahasengerwaga i Gibeyoni. 
1CH.16.40	Buri gitondo na buri mugoroba bagombaga gutura Uhoraho amaturo, bakayashyira ku rutambiro rw'ibitambo bikongorwa n'umuriro, kandi bagakora imirimo yose bakurikije amategeko Uhoraho yahaye Abisiraheli. 
1CH.16.41	Dawidi abongeraho Hemani na Yedutuni n'abandi bagabo batoranyijwe, kugira ngo bajye basingiza Uhoraho bati: “Imbabazi ze zihoraho iteka ryose.” 
1CH.16.42	Hemani na Yedutuni bari bashinzwe kwita ku makondera no ku byuma birangīra by'abaririmbyi, no ku bindi bikoresho byacurangwaga baririmba indirimbo zo gusingiza Imana. Bene Yedutuni ni bo bari bashinzwe kurinda amarembo.
1CH.16.43	Nuko abantu bose barataha. Dawidi na we arataha asabira abo mu rugo rwe umugisha.
1CH.17.1	Umwami Dawidi amaze gutura mu ngoro ye, abwira umuhanuzi Natani ati: “Dore ntuye mu ngoro yubakishije amasederi,
1CH.17.2	Natani aramusubiza ati: “Genda ukore uko ubitekereza kuko Imana iri kumwe nawe.”
1CH.17.3	Nyamara iryo joro Uhoraho abwira Natani ati: 
1CH.17.4	“Genda umbwirire umugaragu wanjye Dawidi uti: ‘Ntabwo ari wowe uzanyubakira inzu nzabamo. 
1CH.17.5	Kuva igihe navaniye Abisiraheli mu Misiri kugeza n'ubu sinigeze mba mu nzu, ahubwo aho bimukiraga hose niberaga mu mahema. 
1CH.17.6	None se muri icyo gihe cyose, hari n'umwe mu bayobozi nashyizeho kuyobora ubwoko bwanjye bw'Abisiraheli nigeze mbaza impamvu mutanyubakira inzu y'amasederi?’
1CH.17.7	“None rero ubwire umugaragu wanjye Dawidi uti: ‘Ni jye Uhoraho Nyiringabo wakwikuriye mu rwuri aho wari uragiye intama, nkugira umuyobozi w'ubwoko bwanjye bw'Abisiraheli. 
1CH.17.8	Aho wajyaga hose sinigeze ngutererana nagutsindiye abanzi bose, kandi nzakugira umwe mu birangirire byo ku isi. 
1CH.17.9	Igihugu cy'ubwoko bwanjye bw'Abisiraheli nzacyāgura nkibatuzemo mu mahoro. Abagome ntibazongera kubakandamiza nka kera, 
1CH.17.10	igihe nari narashyizeho abacamanza
1CH.17.11	Numara gupfa ugashyingurwa hamwe na ba sokuruza, nzatoranya umwe mu bahungu bawe agusimbure ku ngoma kandi nzakomeza ubwami bwe. 
1CH.17.12	Uwo ni we uzanyubakira inzu, nanjye nzakomeza ingoma ye iteka. 
1CH.17.13	Nzamubera Se na we ambere umwana, sinzigera mukuraho icyizere nk'uko nacyambuye umwami wakubanjirije.
1CH.17.14	Nzamuha kuyobora ubwoko bwanjye n'ubwami bwanjye iteka ryose, kandi ubwami bwe buzahoraho iteka.’ ”
1CH.17.15	Natani abwira Dawidi ayo magambo yose nk'uko yayahishuriwe.
1CH.17.16	Nuko Umwami Dawidi arinjira apfukama imbere y'Uhoraho, arasenga ati: “Uhoraho Mana, ari jye ari n'umuryango wanjye, kugeza ubu ntitwari dukwiriye ibi byiza byose utugirira. 
1CH.17.17	Nyamara wowe Mana, wabonye ko ibyo bidahagije umenyesha uko ab'umuryango wanjye bazamera no mu bihe bizaza. Ibyo ubinkoreye nk'aho ndi umuntu ukomeye cyane, Uhoraho Mana. 
1CH.17.18	Nkubwire iki se kandi kiruta icyubahiro umpaye, kandi unzi neza jyewe umugaragu wawe? 
1CH.17.19	Uhoraho, ukurikije ubushake bwawe wakoreye ibikomeye umugaragu wawe, kugira ngo ugaragaze ububasha bwawe. 
1CH.17.20	Uhoraho, nta we muhwanye. Nk'uko twabyiyumviye, koko nta yindi mana ibaho itari wowe. 
1CH.17.21	Mbese ku isi hari undi muryango uhwanye n'ubwoko bwawe bw'Abisiraheli? Ni ubwoko Imana yicunguriye ibugira ubwayo, yimenyekanisha ikora ibintu bikomeye kandi bitangaje, imenesha amahanga imbere y'ubwoko bwayo yivaniye mu Misiri. 
1CH.17.22	Uhoraho, Abisiraheli wabagize ubwoko bwawe iteka ryose, nawe uba Imana yabo. 
1CH.17.23	None rero Uhoraho, usohoze ibyo umvuzeho, n'abazankomokaho uzabakomereze iryo Sezerano iteka ryose. 
1CH.17.24	Izina ryawe rizakuzwa iteka ryose bavuge bati: ‘Uhoraho Nyiringabo Imana y'Abisiraheli, ni we Mana igoboka Abisiraheli.’ Byongeye kandi, uhe umuryango wanjye gukomera imbere yawe. 
1CH.17.25	Koko ni wowe Mana yanjye, wampishuriye ko uzaha abazankomokaho gusimburana ku ngoma. Ni cyo gitumye mpangāra kugusenga. 
1CH.17.26	Uhoraho, ni wowe Mana kandi nanjye umugaragu wawe unsezeraniye ibyiza. 
1CH.17.27	Nuko rero Uhoraho, uhe umugisha ab'umuryango wanjye kugira ngo baguhore imbere iteka ryose. Koko Uhoraho wabahaye umugisha, bityo bazawuhorana iteka ryose.”
1CH.18.1	Nyuma y'ibyo Dawidi atsinda Abafilisiti arabacogoza, yigarurira umujyi: wa Gati n'imidugudu iwukikije arayibanyaga. 
1CH.18.2	Dawidi atsinda n'Abamowabu baba abagaragu be, bakajya bamuha imisoro. 
1CH.18.3	Atsindira na Hadadezeri umwami w'i Soba
1CH.18.4	Nuko Dawidi amunyaga amagare y'intambara igihumbi, n'abarwanira ku mafarasi ibihumbi birindwi, n'ingabo zigenza amaguru ibihumbi makumyabiri. Dawidi atema ibitsi by'amafarasi yose yakururaga amagare asiga ijana gusa. 
1CH.18.5	Abanyasiriya b'i Damasi baza gutabara Hadadezeri umwami w'i Soba, Dawidi abicamo abantu ibihumbi makumyabiri na bibiri. 
1CH.18.6	Dawidi ashyiraho ibigo by'ingabo i Damasi muri Siriya, maze Abanyasiriya baba abagaragu be bakajya bamuha imisoro. Aho Dawidi yateraga hose, Uhoraho yamuhaga gutsinda. 
1CH.18.7	Dawidi anyaga ingabo zicuzwe mu izahabu z'abagaba b'ingabo ba Hadadezeri, azijyana i Yeruzalemu. 
1CH.18.8	Naho i Tibuhati n'i Kuni,
1CH.18.9	Towu umwami w'i Hamati yumvise ko Dawidi yatsinze ingabo zose za Hadadezeri umwami w'i Soba, 
1CH.18.10	yohereza umuhungu we Hadoramu kumuramukiriza Umwami Dawidi, no kumushimira ko yatsinze Hadadezeri wahoraga arwanya Towu. Hadoramu azanira Dawidi amaturo y'ibintu byakozwe mu izahabu no mu ifeza no mu muringa. 
1CH.18.11	Umwami Dawidi abyegurira Uhoraho nk'uko yari yamweguriye ifeza n'izahabu, yari yaranyaze mu Bedomu n'Abamowabu, n'Abamoni n'Abafilisiti n'Abameleki.
1CH.18.12	Abishayi mwene Seruya yica Abedomu ibihumbi cumi n'umunani, abatsinda mu kibaya cy'Umunyu. 
1CH.18.13	Nuko ashyiriraho ibigo by'ingabo muri Edomu, maze Abedomu bose baba abagaragu be. Aho Dawidi yateraga hose, Uhoraho yamuhaga gutsinda.
1CH.18.14	Dawidi yabaye umwami w'igihugu cyose cya Isiraheli, ategeka abantu be bose mu butabera n'ubutungane. 
1CH.18.15	Yowabu mwene Seruya yari umugaba w'ingabo. Yehoshafati mwene Ahiludi yari umuvugizi w'ibwami. 
1CH.18.16	Sadoki mwene Ahitubu, na Ahimeleki mwene Abiyatari bari abatambyi, Shavesha ari umunyamabanga. 
1CH.18.17	Benaya mwene Yehoyada yari umugaba w'ingabo zarindaga Dawidi, zigizwe n'Abakereti n'Abapeleti. Abahungu ba Dawidi ni bo bari ibyegera bye.
