GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
2CH.24.4	Hanyuma y'ibyo Yowasi ashaka gusana inzu y'Uwiteka. 
2CH.24.5	Ateranya abatambyi n'Abalewi arababwira ati “Nimugende mujye mu midugudu y'i Buyuda, musonzoranye mu Bisirayeli bose impiya zisanishe inzu y'Imana yanyu uko umwaka utashye, mubigire vuba.” Ariko Abalewi ntibagira vuba. 
2CH.24.6	 Bukeye umwami atumira Yehoyada w'umutambyi mukuru aramubaza ati “Ni iki cyakubujije gutegeka Abalewi, gukoresha Abayuda n'ab'i Yerusalemu ikoro rya Mose umugaragu w'Uwiteka, ryategetswe iteraniro ry'Abisirayeli kuba ikoro ry'ihema ry'ibihamya?”
2CH.24.7	Kuko abahungu ba Ataliya wa mugore mubi, bari barangije inzu y'Imana n'ibintu byose byashinganywe byo mu nzu y'Uwiteka, bakabiha Bāli.
2CH.24.8	Nuko umwami ategeka ko babāza isanduku, bakayishyira hanze ku rugi rw'inzu y'Uwiteka. 
2CH.24.9	Babyamamaza i Buyuda hose n'i Yerusalemu ngo bazane ikoro ry'Uwiteka, Mose umugaragu w'Imana yategetse Abisirayeli ubwo bari mu butayu. 
2CH.24.10	Abatware bose n'abantu bose baranezerwa, barabizana babiroha muri iyo sanduku, kugeza aho barangirije. 
2CH.24.11	Iyo Abalewi bazanaga isanduku mu nzu umwami yagiragamo inama bagasanga harimo impiya nyinshi, umwanditsi w'umwami n'umutware w'umutambyi mukuru barazaga bagasuka ibiri mu isanduku bakaranguza, bakayenda bakayisubiza ahantu hayo. Uko ni ko bagenzaga uko bukeye, bagateranya impiya nyinshi cyane.
2CH.24.12	Umwami na Yehoyada bakaziha abakoraga umurimo w'inzu y'Uwiteka, na bo bakazigurira abubatsi n'ababaji ngo basane inzu y'Uwiteka, bakagurira n'abacuzi b'ibyuma n'ab'imiringa ngo basane inzu y'Uwiteka. 
2CH.24.13	Nuko abakozi barakora umurimo barawutunganya rwose, bahagarika inzu y'Imana bayisubiza uko yari iri, barayikomeza. 
2CH.24.14	Bayujuje bazana impiya zisagutse bazishyira imbere y'umwami na Yehoyada, bazikoramo ibintu byo mu nzu y'Uwiteka, ibintu bikoreshwa n'ibyo gutambiramo n'indosho, n'ibintu by'izahabu n'ifeza.
2CH.24.14	Maze bakajya batamba ibitambo byoswa mu nzu y'Uwiteka ubudasiba, iminsi yose Yehoyada yamaze akiriho. 
2CH.24.15	Ariko Yehoyada ashyize kera agera mu za bukuru arapfa. Ubwo yapfaga yari amaze imyaka ijana na mirongo itatu avutse. 
2CH.24.16	Bamuhamba mu mudugudu wa Dawidi hamwe n'abami, kuko yakoze ibyiza mu Bisirayeli no ku Mana, no ku nzu ye.
2CH.24.17	Nuko Yehoyada apfuye, ibikomangoma by'Abayuda biraza biramya umwami, umwami arabumvira. 
2CH.24.18	Bareka inzu y'Uwiteka Imana ya ba sekuruza, bakorera ibishushanyo bya Ashera n'ibindi bishushanyo. Umujinya uza mu Bayuda n'i Yerusalemu ku bw'icyo gicumuro cyabo. 
2CH.24.19	Nyamara Imana iboherereza abahanuzi bo kubagarura ku Uwiteka, bakajya babahamya ibyaha ariko bo ntibabitegera amatwi. 
2CH.24.20	 Umwuka w'Imana aza kuri Zekariya mwene Yehoyada w'umutambyi, ahagarara haruguru y'abantu arababwira ati “Uku ni ko Imana ivuze: ‘Ni iki gituma mucumurira amategeko y'Uwiteka, bikababuza kubona umugisha? Ariko rero mwaretse Uwiteka, na we ni cyo cyamuteye kubareka.’ ” 
2CH.24.21	Baramugambanira, bamuterera amabuye mu rugo rw'inzu y'Uwiteka ku bw'itegeko ry'umwami. 
2CH.24.22	Uko ni ko Umwami Yowasi atazirikanye ineza Yehoyada se wa Zekariya yamugiriye, akamwicira umwana. Ubwo yapfaga aravuga ati “Uwiteka abirebe abyiture.”
2CH.24.23	Nuko uwo mwaka ushize, ingabo z'Abasiriya zirazamuka ziramutera, ziza i Buyuda n'i Yerusalemu zirimbura ibikomangoma by'abantu byose, zibimaraho mu bantu, zoherereza umwami w'i Damasiko iminyago babanyaze yose. 
2CH.24.24	Kandi ingabo z'Abasiriya zaje ari igitero gike, Uwiteka azigabiza ingabo 
2CH.24.25	Bamuvuyeho kandi bari basize arwaye cyane, abagaragu be bwite baramugambanira ku bw'amaraso ya mwene Yehoyada w'umutambyi, bamwicira ku gisasiro cye aratanga, bamuhamba mu mudugudu wa Dawidi ariko ntibamuhamba mu bituro by'abami. 
2CH.24.26	Kandi aba ni bo bamugambaniye: Zabadi mwene Shimeyati w'Umwamonikazi, na Yehozabadi mwene Shimuriti w'Umumowabukazi. 
2CH.24.27	Kandi iby'abahungu be n'imiburo ikomeye bamuburiraga, n'ibyo kongera kubaka inzu y'Imana, mbese ntibyanditswe mu bisobanura ibyo mu gitabo cy'abami? Maze umuhungu we Amasiya yima ingoma ye.
2CH.25.1	Amasiya yari amaze imyaka makumyabiri n'itanu avutse ubwo yatangiraga gutegeka, amara imyaka makumyabiri n'icyenda i Yerusalemu ari ku ngoma, kandi nyina yitwaga Yehoyadani w'i Yerusalemu. 
2CH.25.2	Akora ibishimwa n'Uwiteka abikorana umutima utunganye, ariko si rwose. 
2CH.25.3	Bukeye amaze kuganza mu ngoma, ahōra abagaragu be bishe se, ari umwami. 
2CH.25.4	 Ariko ntiyica abana babo, ahubwo agenza nk'uko byanditswe mu mategeko yo mu gitabo cya Mose, uko Uwiteka yategetse ati “Ba se ntibakicwe babahora abana babo kandi abana ntibakicwe babahora ba se, ahubwo umuntu wese azicwe bamuhora icye cyaha.”
2CH.25.5	Kandi Amasiya ateranya Abayuda bose n'Ababenyamini, abatunganya uko amazu ya ba sekuruza yari ari, ngo bategekwe n'abatware batwara ibihumbi n'abatwara amagana, abari bamaze imyaka makumyabiri bavutse n'abayisagije, arababara abona ari abagabo batoranijwe uduhumbi dutatu babasha gutabara, bagatwara amacumu n'ingabo. 
2CH.25.6	Kandi agurira abagabo bo mu Bisirayeli b'abanyambaraga b'intwari agahumbi, atanga italanto z'ifeza ijana. 
2CH.25.7	Hanyuma haza umuntu w'Imana, aramusanga aramubwira ati “Mwami, ntukundire ingabo z'Abisirayeli ko mujyana kuko Uwiteka atari kumwe n'Abisirayeli, bisobanurwa ngo Abefurayimu bose. 
2CH.25.8	Ariko niwanga ugatabarana na bo, nubwo warwana intambara ufite ubutwari bungana bute Imana izagutsinda imbere y'ababisha, kuko Imana ifite ububasha bwo gutabara n'ubutsinda.”
2CH.25.9	Amasiya asubiza uwo muntu w'Imana ati “Ariko se iby'italanto ijana nahaye ingabo z'Abisirayeli bibaye bite?”
2CH.25.9	Umuntu w'Imana aramusubiza ati “Uwiteka abasha kuguha izizirutaho cyane.” 
2CH.25.10	Nuko Amasiya arobanura izo ngabo zari zije aho ari zivuye i Bwefurayimu ngo zisubire iwabo. Ni cyo cyaziteye kurakarira Abayuda, zisubira iwabo zifite umujinya mwinshi.
2CH.25.11	Maze Amasiya yiyungamo atabarana n'abantu be, bajya mu kibaya cy'umunyu yica mu Baseyiri abantu inzovu. 
2CH.25.12	Abayuda bafata mpiri abandi inzovu babajyana hejuru y'igitare, babajugunya babashungura munsi yacyo maze bose baravunagurika.
2CH.25.13	Ariko ingabo Amasiya yashubijeyo ngo zidatabarana na we, zitera imidugudu y'i Buyuda uhereye i Samariya ukageza i Betihoroni ziyicamo abantu ibihumbi bitatu, banyaga iminyago myinshi.
2CH.25.14	Nuko hanyuma Amasiya atabarutse kwica Abedomu, azana ibigirwamana by'Abaseyiri arabishinga ngo bibe imana ze, arabipfukamira abyosereza imibavu. 
2CH.25.15	Ni cyo cyatumye uburakari bw'Uwiteka bukongerera Amasiya, amutumaho umuhanuzi aramubwira ati “Ni iki gituma ushaka imana zitakijije bene so amaboko yawe?”
2CH.25.16	Akivugana na we, umwami aramubaza ati “Hari ubwo twagushyize mu bajyanama b'umwami? Ceceka utavaho ukubitwa.”
2CH.25.16	Nuko umuhanuzi araceceka aravuga ati “Nzi yuko Imana yagambiriye kukurimbura, kuko ugenje utyo ntiwumve inama yanjye.”
2CH.25.17	Bukeye Amasiya umwami w'Abayuda ajya inama atuma kuri Yehowasi, mwene Yehowahazi mwene Yehu umwami w'Abisirayeli ati “Vayo twibonanire.” 
2CH.25.18	Yehowasi umwami w'Abisirayeli atuma kuri Amasiya umwami w'Abayuda ati “Igitovu cy'i Lebanoni cyatumye ku mwerezi w'i Lebanoni kiti ‘Umuhungu wanjye umushyingire umukobwa wawe.’ Bukeye inyamaswa y'i Lebanoni irahanyura ikandagira icyo gitovu. 
2CH.25.19	Uvuga yuko wanesheje Abedomu, umutima wawe wishyira hejuru urirarira. Noneho wihamira iwawe. Ni iki gituma wishyira mu bitari ibyawe ngo bikugirire nabi, ukagwa wowe ubwawe hamwe n'Abayuda?”
2CH.25.20	Ariko Amasiya ntiyabyitaho, kuko byaturutse ku Mana ngo ibahāne mu babisha babo, kuko bashakaga imana z'i Bwedomu. 
2CH.25.21	Nuko Yehowasi umwami w'Abisirayeli arazamuka atera Amasiya umwami w'Abayuda, bahanganira i Betishemeshi y'i Buyuda. 
2CH.25.22	Abayuda banesherezwa imbere y'Abisirayeli barahunga, umuntu wese ahungira mu ihema rye. 
2CH.25.23	Maze Yehowasi umwami w'Abisirayeli afata Amasiya umwami w'Abayuda, mwene Yowasi mwene Yehowahazi, amufatira i Betishemeshi amujyana i Yerusalemu, asenya inkike z'i Yerusalemu uhereye ku irembo rya Efurayimu ukageza ku irembo ryo ku nkokora, hose hari mikono magana ane. 
2CH.25.24	Anyaga izahabu n'ifeza byose, n'ibintu byose basanze mu nzu y'Imana no kwa Obededomu no mu nzu y'umwami, anyaga n'abantu b'integano baba ingwate, asubira i Samariya.
2CH.25.25	Nuko Amasiya mwene Yowasi umwami w'Abayuda amara indi myaka cumi n'itanu, Yehowasi mwene Yehowahazi umwami w'Abisirayeli amaze gutanga. 
2CH.25.26	Ariko indi mirimo ya Amasiya, iyabanje n'iyaherutse, mbese ntiyanditswe mu gitabo cy'abami b'Abayuda n'ab'Abisirayeli? 
2CH.25.27	Kandi uhereye igihe Amasiya yarekaga gukurikira Uwiteka, bamugambaniraga ari i Yerusalemu ahungira i Lakishi, ariko bohereza abo kumukurikira i Lakishi bamutsindayo. 
2CH.25.28	Maze bamuzana ku mafarashi, bamuhamba hamwe na ba sekuruza mu mudugudu wa Dawidi.
2CH.26.1	Nuko Abayuda bose bajyana Uziya amaze imyaka cumi n'itandatu avutse, baramwimika aba umwami mu cyimbo cya se Amasiya. 
2CH.26.2	Yubaka Eloti ahagarurira u Buyuda, Umwami 
2CH.26.4	 akora ibishimwa n'Uwiteka, nk'ibyo se Amasiya yakoraga byose. 
2CH.26.5	Amaramaza gushaka Imana mu bihe bya Zekariya wari ufite ubwenge bwo kumenya ibyerekanwa, kandi igihe cyose yamaze ashaka Uwiteka, Imana imuha umugisha.
2CH.26.6	Bukeye aratabara atera Abafilisitiya, asenya inkike z'i Gati n'iz'i Yabune n'iz'Ashidodi, maze yubaka imidugudu mu gihugu cya Ashidodi no mu Bafilisitiya. 
2CH.26.7	Imana imufasha arwana n'Abafilisitiya, n'Abarabu babaga i Guri Bāli, n'aba Meyunimu. 
2CH.26.8	Kandi Abamoni batura Uziya amaturo, izina rye riramamara rigera aharasukirwa ha Egiputa kuko yungutse amaboko cyane.
2CH.26.9	Kandi Uziya yubaka iminara i Yerusalemu ku irembo ryo mu nkokora y'inkike, no ku irembo ryo mu gikombe n'aho inkike ihetera, arayikomeza. 
2CH.26.10	Kandi yubaka iminara no mu butayu, afukura n'amariba menshi, kuko yari afite amatungo menshi mu gihugu cy'imisozi y'imirambi no mu kibaya. Kandi yari afite abahinzi n'abicira inzabibu mu misozi no mu masambu yera cyane, kuko yakundaga guhinga.
2CH.26.11	Kandi Uziya yari afite umutwe w'ingabo zatabaraga ari ibitero, uko umubare wabo wari uri babazwe na Yeyeli w'umwanditsi, na Māseya w'umutware watwariraga Hananiya, umwe mu bagaba b'umwami. 
2CH.26.12	Umubare wose w'abatware b'amazu ya ba sekuruza, abagabo b'abanyambaraga b'intwari, bari ibihumbi bibiri na magana atandatu. 
2CH.26.13	Kandi batwaraga ingabo zigishijwe kurwana uduhumbi dutatu n'ibihumbi birindwi na magana atanu, batabaranaga imbaraga nyinshi bakarengera umwami ku babisha be. 
2CH.26.14	Uziya atunganiriza umutwe w'ingabo wose ingabo n'amacumu, n'ingofero n'amafurebo y'ibyuma, n'imiheto n'amabuye y'imihumetso. 
2CH.26.15	Kandi i Yerusalemu ahakorera ibyuma byahimbwe n'abagabo b'abahanga, byo kuba ku minara no ku nkike aho kurwanira, ngo barase imyambi n'amabuye manini. Izina rye riramamara rigera kure kuko yafashijwe bitangaje, kugeza aho yagiriye imbaraga.
2CH.26.16	Ariko agize imbaraga ariyogeza mu mutima we, bituma akora ibyo gukiranirwa acumura ku Uwiteka Imana ye, kuko yinjiye mu rusengero rw'Uwiteka akosereza imibavu ku cyotero cy'imibavu. 
2CH.26.17	Azariya w'umutambyi aherako yinjira amukurikiye kandi ari kumwe n'abatambyi b'Uwiteka, abagabo b'intwari mirongo inani, 
2CH.26.18	 babuza Umwami Uziya baramubwira bati “Yewe Uziya we, ibyo ukora si umurimo wawe kosereza Uwiteka imibavu, ahubwo ni uw'abatambyi bene Aroni berejwe kosa imibavu. Aha Hera uhave kuko warengereye, kandi ntibizaguhesha icyubahiro kivuye ku Uwiteka Imana.”
2CH.26.19	Uziya ararakara kandi yari afite icyotero mu ntoki, yenda kosa imibavu. Akirakariye abatambyi ibibembe bisesa mu ruhanga rwe, ari imbere y'abatambyi mu nzu y'Uwiteka iruhande rw'icyotero cy'imibavu. 
2CH.26.20	Azariya umutambyi mukuru n'abatambyi bose baramureba, maze babona ibibembe bimufashe mu ruhanga bahuta bamusunika ngo ahave, ndetse na we ubwe yihutira gusohoka kuko Uwiteka amuteje indwara.
2CH.26.21	Nuko Umwami Uziya aba umubembe, ageza ku munsi yatangiyeho aba mu nzu ye y'akato ari umubembe, kuko yaciwe mu nzu y'Uwiteka. Umuhungu we Yotamu aba umutware w'inzu y'umwami, acira abantu bo mu gihugu imanza.
2CH.26.22	Ariko indi mirimo ya Uziya, iyabanje n'iyaherutse, yanditswe n'umuhanuzi Yesaya mwene Amosi. 
2CH.26.23	 Nuko Uziya aratanga asanga ba sekuruza, bamuhamba hamwe na ba sekuruza mu gikingi cy'abami kuko bavuze ko ari umubembe, maze umuhungu we Yotamu yima ingoma ye.
2CH.27.1	Yotamu atangira gutegeka yari amaze imyaka makumyabiri n'itanu avutse, amara imyaka cumi n'itandatu i Yerusalemu ari ku ngoma, nyina yitwaga Yerusha umukobwa wa Sadoki. 
2CH.27.2	Akora ibishimwa n'Uwiteka nk'ibyo se Uziya yakoraga byose, icyakora we ntiyinjiye mu rusengero rw'Uwiteka. Ariko abantu bagumya gukiranirwa.
2CH.27.3	Yubaka irembo ryo haruguru ku nzu y'Uwiteka, yubaka n'ibindi byubakwa byinshi ku nkike za Ofeli. 
2CH.27.4	Kandi yubaka n'imidugudu mu gihugu cy'imisozi y'i Buyuda, yubaka n'ibihome n'iminara mu mashyamba. 
2CH.27.5	Kandi arwana n'umwami w'Abamoni, arabanesha. Muri uwo mwaka Abamoni bamutura italanto z'ifeza ijana, n'indengo z'ingano inzovu n'iza sayiri inzovu. Mu mwaka wa kabiri n'uwa gatatu bamutuye bene ibyo. 
2CH.27.6	Nuko Yotamu arakomera, kuko yatunganije inzira ze imbere y'Uwiteka Imana ye. 
2CH.27.7	Ariko indi mirimo ya Yotamu, n'intambara ze zose n'ingeso ze, byanditswe mu gitabo cy'abami b'Abisirayeli n'ab'Abayuda. 
2CH.27.8	Kandi ubwo yatangiraga gutegeka yari amaze imyaka makumyabiri n'itanu avutse, amara imyaka cumi n'itandatu i Yerusalemu ari ku ngoma. 
2CH.27.9	Nuko Yotamu aratanga asanga ba sekuruza, bamuhamba mu mudugudu wa Dawidi, maze umuhungu we Ahazi yima ingoma ye.
2CH.28.1	Ahazi atangira gutegeka yari amaze imyaka makumyabiri avutse, amara imyaka cumi n'itandatu i Yerusalemu ari ku ngoma, ntiyakora ibishimwa n'Uwiteka nka sekuruza Dawidi. 
2CH.28.2	Ahubwo agendana ingeso z'abami b'Abisirayeli, aremera Bāli ibishushanyo biyagijwe. 
2CH.28.3	Kandi yosereza imibavu mu gikombe cya mwene Hinomu, atwika abana be mu muriro akurikiza ibizira byakorwaga n'abanyamahanga Uwiteka yirukanye imbere y'Abisirayeli. 
2CH.28.4	Agatamba, akosereza imibavu mu ngoro no ku misozi, no munsi y'igiti kibisi cyose.
2CH.28.6	Nuko uwo Mwami Peka mwene Remaliya yica mu Bayuda abantu agahumbi n'inzovu ebyiri ku munsi umwe, bose bari abantu b'intwari, kuko bimuye Uwiteka Imana ya ba sekuruza. 
2CH.28.7	Zikuri, umugabo w'umunyamaboko wo mu Befurayimu yica Māseya umwana w'umwami, na Azirikamu w'umunyarugo na Elukana uwa kabiri ku mwami. 
2CH.28.8	Nuko Abisirayeli bajyana bene wabo ho abanyagano abantu uduhumbi tubiri, abagore n'abana b'abahungu n'ab'abakobwa, babanyagamo n'iminyago myinshi babijyana i Samariya.
2CH.28.9	Ariko hariyo umuhanuzi w'Uwiteka witwaga Odedi, ajya gusanganira ingabo zijya i Samariya arazibwira ati “Uwiteka Imana ya ba sogokuruza banyu yarakariye Abayuda bituma ibabagabiza, kandi mwabicanye uburakari bwinshi bugeze mu ijuru. 
2CH.28.10	Kandi mugambiriye kunyitsa Abayuda n'ab'i Yerusalemu, ngo mubagire abaretwa n'abaja. Ariko aho mwebwe nta bicumuro mwacumuye ubwanyu ku Uwiteka Imana yanyu? 
2CH.28.11	Nuko rero none nimunyumvire musubizeyo abanyagano mwanyaze muri bene wanyu, kuko uburakari bw'inkazi bw'Uwiteka buri kuri mwe.”
2CH.28.12	Nuko bamwe mu batware b'Abefurayimu, Azariya mwene Yohanani na Berekiya mwene Meshilemoti, na Yehizikiya mwene Shalumu na Amasa mwene Hadulayi, barahaguruka bahagarika abava mu ntambara. 
2CH.28.13	Barababwira bati “Abanyagano ntimubageze hano, kuko icyo mugambiriye gukora kizatuzanira igicumuro ku Uwiteka, kikongerwa ku byaha byacu no ku bicumuro byacu, kuko ibicumuro byacu ari byinshi kandi ku Bisirayeli hariho uburakari bw'inkazi.” 
2CH.28.14	Nuko abagabo bitwaje intwaro barekurira abanyagano, barekera n'iminyago imbere y'abantu n'iteraniro ryose. 
2CH.28.15	Maze abagabo bavuze mu mazina barahaguruka bajyana abanyagano, abari bambaye ubusa bose bo muri bo babambika iminyago, babaha imyambaro babambika n'inkweto, barabagaburira babaha n'ibyokunywa, barabahezura, n'abanyantegenke bo muri bo bose babaheka ku ndogobe babageza i Yeriko umudugudu w'imikindo kwa bene wabo, baherako basubira i Samariya.
2CH.28.16	Muri iyo minsi Umwami Ahazi atabaza abami ba Ashūri ngo bamuvune, 
2CH.28.17	kuko Abedomu bongeye gutera Abayuda bakabanesha, babajyana ari imbohe. 
2CH.28.18	Kandi Abafilisitiya na bo bari bateye imidugudu yo mu bibaya n'iy'u Buyuda bw'ikusi, bahindūra i Betishemeshi na Ayaloni, n'i Gederoti n'i Soko hamwe n'ibirorero byaho, n'i Timuna n'ibirorero byaho, n'i Gimuzo n'ibirorero byaho barahatura, 
2CH.28.19	kuko Uwiteka yacishije Abayuda bugufi, abahōra Ahazi umwami wa Isirayeli kuko yakoze iby'ubugome i Buyuda, agacumura ku Uwiteka cyane. 
2CH.28.20	Bukeye Tigulatipileneseri umwami wa Ashūri aza aho ari, ariko aho kumukomeza amukura umutima. 
2CH.28.21	Kuko Ahazi yenze ibintu bimwe byo mu nzu y'Uwiteka, no mu nzu y'umwami no mu mazu y'ibikomangoma akabitura umwami wa Ashūri, ariko ntibyagira icyo bimumarira.
2CH.28.22	Umwami Ahazi mu gihe cyo gushoberwa akabya gucumura ku Uwiteka, 
2CH.28.23	kuko yatambiye imana z'i Damasiko zamunesheje akavuga ati “Imana z'abami b'i Siriya zabafashije, ni cyo kizantera kuzitambira ngo zimfashe.” Ariko zamurimburanye n'Abisirayeli bose. 
2CH.28.24	Nuko Ahazi ateranya ibintu byo mu nzu y'Imana arabitemagura, akinga inzugi z'inzu y'Uwiteka, yiremera ibicaniro ahantu hose h'i Yerusalemu. 
2CH.28.25	No mu midugudu yose y'i Buyuda yubakamo ingoro zo kosereza imibavu izindi mana, arakaza Uwiteka Imana ya ba sekuruza.
2CH.28.26	Ariko indi mirimo ye n'ingeso ze zose, ibyabanje n'ibyaherutse, byanditswe mu gitabo cy'abami b'Abayuda n'ab'Abisirayeli. 
2CH.28.27	 Ahazi aratanga asanga ba sekuruza, bamuhamba mu murwa w'i Yerusalemu, kuko batamuhambye mu mva z'abami ba Isirayeli, maze umuhungu we Hezekiya yima ingoma ye.
2CH.29.1	Hezekiya yatangiye gutegeka amaze imyaka makumyabiri n'itanu avutse, amara imyaka makumyabiri n'icyenda i Yerusalemu ari ku ngoma. Kandi nyina yitwaga Abiya, umukobwa wa Zekariya. 
2CH.29.2	Akora ibishimwa n'Uwiteka, nk'ibyo sekuruza Dawidi yakoraga byose.
2CH.29.3	Mu mwaka wa mbere wo ku ngoma ye, mu kwezi kwa mbere, akingura inzugi z'inzu y'Uwiteka, arazisana. 
2CH.29.4	Yinjiza abatambyi n'Abalewi, abateraniriza ahantu hagari herekeye iburasirazuba, 
2CH.29.5	arababwira ati “Nimunyumve mwa Balewi mwe, mwiyeze nonaha mweze n'inzu y'Uwiteka Imana ya ba sogokuruza banyu, mukure imyanda Ahantu hera. 
2CH.29.6	Ba data bacumuraga bagakora ibyangwa n'Uwiteka Imana yacu, bakayimūra bagahindukira bagakura amaso ku buturo bw'Uwiteka, bakabutera umugongo. 
2CH.29.7	Kandi bakinze inzugi z'ibaraza, bazimya amatabaza kandi ntibosereza Imana ya Isirayeli imibavu, cyangwa kuyitambira ibitambo byoswa Ahantu hera. 
2CH.29.8	Ni cyo cyatumye uburakari bw'Uwiteka buba ku Bayuda n'ab'i Yerusalemu, akabahāna ngo bateraganwe hirya no hino, bakaba ibishungero byimyozwa nk'uko namwe mubirebesha amaso yanyu. 
2CH.29.9	Dore ibyo byateye ko ba data bicwa n'inkota, kandi abahungu bacu n'abakobwa bacu n'abagore bacu baba abanyagano.
2CH.29.10	“None ngambiriye gusezerana isezerano n'Uwiteka Imana ya Isirayeli, kugira ngo uburakari bwayo bw'inkazi butuveho. 
2CH.29.11	None bana banjye, mwe gutenguha kuko Uwiteka yabatoreye kumuhagarara imbere mukamukorera, mukaba abahereza be, mukosa imibavu.”
2CH.29.12	Maze Abalewi barahaguruka, ari bo Mahati mwene Amasayi, na Yoweli mwene Azariya bo muri bene Kohati, n'abo muri bene Merari ari bo Kishi mwene Abudi na Azariya mwene Yehalelēli, n'abo muri bene Gerishoni ari bo Yowa mwene Zima na Edeni mwene Yowa. 
2CH.29.13	N'abo muri bene Elisafaniari ari bo Shimuri na Yeweli, n'abo muri bene Asafuari ari bo Zekariya na Mataniya, 
2CH.29.14	n'abo muri bene Hemani ari bo Yehweli na Shimeyi, n'abo muri bene Yedutuni ari bo Shemaya na Uziyeli, 
2CH.29.15	bateranya bene wabo bariyeza, barinjira ngo batunganye inzu y'Uwiteka nk'uko itegeko ry'umwami ryategetse, rikurikije ijambo ry'Uwiteka. 
2CH.29.16	Nuko abatambyi bajya mu mwinjiro w'inzu y'Uwiteka kuwutunganya, basohora imyanda yose babonye mu rusengero rw'Uwiteka, bayigeza mu rugo rw'inzu y'Uwiteka. Abalewi baherako barayenda bayijyana ku gasozi, bayigeza ku kagezi kitwa Kidironi.
2CH.29.17	Kandi bahera ku munsi wa mbere w'ukwezi kwa mbere batangira kweza, ku munsi wa munani w'uko kwezi bagera ku ibaraza ry'Uwiteka, maze bereza inzu y'Uwiteka indi minsi munani, nuko ku munsi wa cumi n'itandatu w'ukwezi kwa mbere bararangiza.
2CH.29.18	Hanyuma bajya i bwami, basanga Umwami Hezekiya muri kambere ye baramubwira bati “Tumaze gutunganya inzu y'Uwiteka yose, n'icyotero cy'ibitambo byoswa n'ibintu byacyo byose, n'ameza imitsima yo kumurikwa iterekwaho imbere y'Uwiteka n'ibintu byayo byose. 
2CH.29.19	Kandi n'ibintu byose Umwami Ahazi yataye ubwo yacumuraga ari ku ngoma, twabitunganije turabyeza, none biri imbere y'icyotero cy'Uwiteka.”
2CH.29.20	Bukeye Umwami Hezekiya azinduka kare ateranya abatware b'umurwa, arazamuka ajya mu nzu y'Uwiteka. 
2CH.29.21	Bazana amapfizi arindwi n'amasekurume y'intama arindwi, n'abana b'intama barindwi n'amasekurume y'ihene arindwi, ngo bibe igitambo gitambirwa ibyaha by'ubwami, n'iby'ubuturo bwera n'iby'Abayuda. Ategeka abatambyi bene Aroni kubitambira ku cyotero cy'Uwiteka. 
2CH.29.22	Nuko ayo mapfizi barayabīkīra, abatambyi batega amaraso bayamisha ku cyotero, babīkīra amasekurume y'intama bamisha amaraso yayo ku cyotero, babīkīra n'abana b'intama bamisha amaraso yabo ku cyotero. 
2CH.29.23	Maze bigiza hafi amasekurume y'ihene imbere y'umwami n'iteraniro, bayarambikaho ibiganza ngo azabe igitambo gitambirwa ibyaha. 
2CH.29.24	Abatambyi barayabīkīra, batambira amaraso yayo ku cyotero bayatambirira icyaha ngo bahongerere Abisirayeli bose, kuko umwami yategetse ko batamba igitambo cyoswa, n'igitambo gitambirwa icyaha ngo bitambirwe Abisirayeli bose.
2CH.29.25	Kandi ashyira Abalewi mu nzu y'Uwiteka bafite ibyuma bivuga na nebelu n'inanga, nk'uko byategetswe na Dawidi na Gadi bamenya w'umwami na Natani w'umuhanuzi, kuko itegeko ryavuye ku Uwiteka rivugwa n'abahanuzi be. 
2CH.29.26	Nuko Abalewi bahagarara bafite ibintu bya Dawidi, n'abatambyi bafite amakondera. 
2CH.29.27	Hezekiya ategeka gutambira igitambo cyoswa ku cyotero. Nuko igitambo cyoswa gitangiye gutambwa, indirimbo y'Uwiteka na yo iratangira, n'amakondera hamwe n'ibindi bintu bya Dawidi umwami wa Isirayeli. 
2CH.29.28	Maze iteraniro ryose riraramya, abaririmbyi bararirimba, abavuza amakondera barayavuza, byose bimera bityo kugeza aho igitambo cyoswa cyarangiye.
2CH.29.29	Nuko barangije gutamba, umwami n'abari kumwe na we bose barapfukama, bararamya. 
2CH.29.30	Kandi Umwami Hezekiya n'abatware bategeka Abalewi kuririmbira Uwiteka ishimwe, mu ndirimbo za Dawidi n'iza Asafu bamenya. Baririmba ishimwe banezerewe, bubika imitwe bararamya.
2CH.29.31	Maze Hezekiya arababwira ati “None ubwo mwihaye Uwiteka, mwigire hafi muzane ibitambo n'amaturo y'ishimwe mu nzu y'Uwiteka.” Nuko iteraniro rizana ibitambo n'amaturo y'ishimwe, n'abari bafite umutima ukunze bose bazana ibitambo byoswa. 
2CH.29.32	Umubare w'ibitambo byoswa iteraniro ryazanye, wari amapfizi mirongo irindwi n'amasekurume y'intama ijana n'abana b'intama magana abiri. Ibyo byose byari iby'igitambo cyoswa cy'Uwiteka. 
2CH.29.33	Kandi ibintu byejejwe byari inka magana atandatu, n'intama ibihumbi bitatu. 
2CH.29.34	Ariko abatambyi baba bake, ntibabasha kubaga ibitambo byoswa byose. Ni cyo cyatumye Abalewi bene wabo babafasha, kugeza aho umurimo warangiriye no kugeza aho abatambyi bamariye kwiyeza, kuko Abalewi barushaga abatambyi umutima utunganye wo kwiyeza. 
