MAT.1.1	Aganay sləm aŋa azla­baba madzi­dziga aŋa Yesu Kristu, bəzi aŋa David, bəzi aŋa Abəraham. 
ROM.4.15	Haɗay, kà uwana mapəhay kà atsala kà mapak ləv aŋa Zəzagəla à waŋ à gəl aŋa azladza uwana tanəfa aw, ama la slaka uwana mapəhay la ahəŋ aw kà, mapəsew mapəhay la ahəŋ babay aw.
ROM.4.16	Gay gà la uwaga à uwana, Zəzagəla apə̀h kà, apə̀h à ahəŋ kà aŋa azla­uwana tadiŋ gəl à masla à vok. Aɗahàŋ kiya uwanay, kà masla aŋa mav à atà tatak uwanay deyday. Asal mavày à mayyi à tsəh ala aŋa Abəraham gesina. Avày à azlaməna manəfay pəra aw, ama à azlatsəhay anik gesina, uwana tadiŋ gəl à Zəzagəla à vok bokuba à Abəraham, kà uwana Abəraham kà baba gami gesina. 
ROM.4.17	Bokuba uwana tatsetsèr à wakità Zəzagəla à abà, Zəzagəla agòɗ à Abəraham:
ROM.4.17	ˈGəfa ka à ahəŋ kà kagay baba aŋa azlatsəhay aŋuvaw.ˈ
ROM.4.17	Abəraham apakà baba gami la huma Zəzagəla, kà uwana adìŋ gəl à Zəzagəla à vok. Zəzagəla masla mav sifa à azla­ma­zim­nekiɗ, ŋgaha agəŋ la ahəŋ la afaɗ gay aŋha azla­tatak uwana amiyaka tagàhàh la ahəŋ aw.
ROM.4.18	La kità, Abəraham ahàd à huma à gay la madiŋ gəl à Zəzagəla à vok. Amiyaka uwana azladza tadzugw à tetəvi uwatà, kà Zəzagəla aɗàh uwana apə̀h à ahəŋ aya, aw. Abəraham ahàd à huma à gay la maf manəwəŋ aŋha à Zəzagəla à afik. La lig la ahəŋ Zəzagəla aɗa­hàllàŋ uwana apəhàl à ahəŋ la abatà, apakà baba aŋa azlatsəhay aŋuvaw, bokuba uwana Zəzagəla apə̀hal:
ROM.4.18	ˈMayyi à tsəh ala aŋak adagay aŋuvaw.ˈ
ROM.4.19	Mok uwana Zəzagəla apə̀h uwaga kà, Abəraham mavay aŋha kà azla­talka dzim. Asə̀l kà adagay makoz gurdza gurdza, ŋgaha bay mis aŋha Sara bay kà degər aya, ama tayà vok la madiŋal gəl à vok la abà aw, kà uwana asə̀l kà Zəzagəla adaɗàh, uwana apə̀h à ahəŋ. 
ROM.4.20	Masla babay asə̀l kà adàɓəz tatak uwana Zəzagəla apə̀hal à ahəŋ, aɓə̀k gəl à ahəŋ səla aw. Madiŋal gəl à vok aŋha adzərə̀ɗ ala kaykay, asləkàw Zəzagəla. 
ROM.4.21	Ndzer, asə̀l la lela kà Zəzagəla la maslay kà maɗàh uwana apə̀hal à ahəŋ. 
ROM.4.22	Gay gà la uwaga à uwana Zəzagəla, azalà ala: Dza dziriga la huma aŋha. 
ROM.4.23	Gay uwana Zəzagəla atùgwla Abəraham la dziriga la afik kà tatsetsèr kà aŋa Abəraham kokuɗa aŋha pəra aw. 
ROM.4.24	Tatsetsèr uwaga kà aŋami babay. Baŋa mədiŋ gəl à Zəzagəla uwana à vok awùlla Sufəl Yesu à uda la mamətsay la abà, masla adàpaka anu ala dziriga la huma aŋha babay! 
ROM.4.25	Zəzagəla avà Yesu à ahàl aŋa azladza kà makəɗay kà tsakana gami. Ŋgaha aya, Zəzagəla awùlla à uda la mamətsay, kà anu aŋa magay azladza dziriga la huma Zəzagəla kà masla.
ROM.5.1	Tsa bà, uwana Zəzagəla adapaka anu ala dziriga la huma aŋha, kà uwana mədiŋ gəl à masla à vok, lagonay kà, gay la ahəŋ la tataka gami la abà la Zəzagəla aya aw, kà uwana Sufəl Yesu Kristu adasəlla anu vok la mamətsay aŋha. 
ROM.5.2	Yesu Kristu apə̀zlla anu tetəvi, kà anu aŋa maɓəz mapis gay à vok la slaka Zəzagəla, kà uwana mədiŋ gəl à masla à vok. Mətsizlla à mapis gay à vok uwaga à afik, ŋgaha mərab la mavalàh à zagəla, kà uwana mənawaŋ kà mədàɓəz humà mazləɓay gami la huma Zəzagəla. 
ROM.5.3	Mərabay la mavalàh à zagəla kà aŋa uwaga pəra aw, məvalàh à zagəla babay kà baməraka anu la mas ŋgərpa la abà, kà uwana ndzer məsəl kà ŋgərpa azlaka anu kà aŋa magur mabasiŋ. 
ROM.5.4	Baŋa məsla mabasiŋ, mədàhənay, baŋa mədàhənay kà, mədàfa manəwəŋ gami à gay Zəzagəla à afik, adàvà anu bokuba uwana agòɗ. 
ROM.5.5	Baŋa mənawàŋ kiya uwanay, mədà­məts à vəɗah deyday aw, kà uwana Zəzagəla apə̀h à anu kà, awoya anu kà kaykay. Masasəɗok aŋha uwana avà à anu, apə̀hanula masal aŋha.
ROM.5.6	Iyay uwarà kà, ndzəɗa gami la ahəŋ aw məslàla vok aŋa matəf gəl gami aw. La kaslà uwatà Yesu asà à waŋ, amə̀ts kà aŋa azlaməna tsakana, à kaslà uwana Zəzagəla afà à ahəŋ. 
ROM.5.7	Ndzer, məsəl kà zla­zlaɗa kà dza aŋa mamətsay kà aŋa masla gamagày aŋha, bà amiyaka masla anəfa mapəhay bay kà, zla­zlaɗa. Bi dza anik kà aslala vok aŋa makəs mamətsay kà made­golay dza uwana asəl dza. 
ROM.5.8	Ama Zəzagəla apə̀hanula kaykay à mawoy anu aŋha mi, avà Yesu Kristu, amə̀ts kà aŋami à mok uwana mələg azlaməna tsakana gà dadàŋ. 
ROM.5.9	Yesu Kristu amə̀ts kà aŋami, Zəzagəla apakà anu ala dziriga la huma aŋha la aŋiz aŋha. Tsa aŋa kiya uwanay, haɗay ndzer zlà kà, Yesu Kristu adàtəf anu la mapak ləv aŋa Zəzagəla la abà. 
ROM.5.10	Dagay uwarà məgà azlaməna məzam aŋa Zəzagəla, masla asə̀lla anu vok la mamətsay aŋa Kona aŋha. Bà uwana adasəlla anu vok la uwaga kà, məsəl ndzer kà adàɓəl anu aŋa koksi­koksi kà uwana Yesu avà sifa aŋha. 
ROM.5.11	Adadəv à gay kiya uwanay pəra aw. La kaykay kà, mərabay la mavalàh à zagəla lakəl aŋa uwana Zəzagəla adà­ha­nəŋ. Sufəl gami Yesu Kristu arabà anu ləv la uwana adàla anu à slaka Zəzagəla kà mapak anu ala azla­slawda aŋha.
ROM.5.12	Aganay godega aŋa gay uwanay: Tsakana asà à gudəŋ à vok kà, kà dza tekula uwana sləm aŋha Adama, ŋgaha la tsakana aŋha uwatà la abà la uwana, mamətsay asləhà à gəl aŋa dza gesina, kà uwana dza gesina taɗahà tsakana, kà made­golay tsakana aŋa dza tekula uwaga. 
ROM.5.13	Amiyaka mok uwana Zəzagəla aləg mav mapəhay aŋha kà, tsakana kà agà la ahəŋ la gudəŋ la vok. Ama Zəzagəla atugw tsakana lakəl aŋatà aw, kà uwana mapəhay aŋa Zəzagəla la ahəŋ dadàŋ aw. 
ROM.5.14	Amiyaka la uwaga bay, ɗadzəkà vok aŋa Adama, tsəràh à Musa kà, mamətsay akòr lakəl aŋa azladza gesina, amiyaka tsakana aŋatà adəɓanì aŋa Adama uwana akweskà mapəhay aŋa Zəzagəla bay aw kà tamàtsàh.
ROM.5.14	Adama kà maftsa vok aŋa dza uwana atsa à waŋ. 
ROM.5.15	Ama mavày uwana Zəzagəla avà à anu la dza uwanay kà, adəɓanì vok la tsakana aŋa Adama ɗiki­ɗiki aw. Haɗay, aŋuvaw tamàts kà tsakana aŋa dza tekula, ndzer, ama dzəɓa aŋha səla aw aŋa Zəzagəla aɗuwa uwaga la məŋga, kiya uwaga babay mavày deyday uwaga aviyà à azladza aŋuvaw, kà made­golay dza tekula Yesu Kristu. 
ROM.5.16	Ama uwana Zəzagəla avày bay kà godega aŋha kà gərgər dəŋ awkà kiya tsakana aw. Tsakana uwana dza tekula uwatà aɗahàŋ kà adukw ala seriya à gəl. Te­ke­ɗika, baŋa Zəzagəla apis gay à azladza à vok deyday, amiyaka taɗàh tsakana aŋuvaw kà adàpaka atà ala kà azladza dziriga la huma aŋha, ŋgaha kà seriya matəɗ à atà à gəl aw. 
ROM.5.17	Ndzer kà, dza tekula aɗahà tsakana, ŋgaha tsakana akə̀s dza à gay gesina kà madegolay dza tekula uwaga. Ama dza anik, à Yesu Kristu aɗahàŋ kà sləray anik. Kà made­golay masla, Zəzagəla avà mapis gay à vok la maɗuw à vok aŋha. Ŋgaha tadàɓəz sifa, tadà­koray koksi­koksi, kà made­golay Yesu Kristu.
ROM.5.18	Kà tsakana aŋa dza tekula Adama, à uwana tsakana asà à azladza gesina à gəl, ŋgaha seriya atə̀ɗ à atà à gəl bay. Ŋgaha kà sləray dziriga aŋa dza tekula, Yesu Kristu bay la uwana adapəlla azladza ala la seriya aŋa Zəzagəla la abà, ŋgaha adàvà à atà sifa adəv à gay aw. 
ROM.5.19	Kà dza tekula Adama uwana akweskà mapəhay aŋa Zəzagəla, la uwana azladza gesina tapakà azlaməna tsakana, ŋgaha kà dza tekula Yesu Kristu bay, la uwana azladza aŋuvaw tadàpaka dziriga la huma Zəzagəla, kà uwana masla kà akə̀s gay aŋa Zəzagəla.
ROM.5.20	Ama baŋa mapəhay ada­ŋa­zila kiya uwanay kà, kà tsakana aŋa azladza aŋa maŋa­zila kaykay. La kità, baŋa tsakana aŋa azladza ada­ŋa­zahla, mapis gay aŋa Zəzagəla aŋa­zàhla kaykay bay. 
ROM.5.21	Bokuba uwana tsakana la uwana akoray lakəl aŋa mamətsay kiya uwaga la dziriga, mapis gay à vok aŋa Zəzagəla aga la maslay aŋa mapak dza ala dziriga la huma aŋha kà mapis gay à vok, uwatà kà akoray, kà anu aŋa magay la sifa, uwana adəv à gay aw la ahàl aŋa Sufəl gami Yesu Kristu.
ROM.6.1	Mana mədà­goɗay lagwa mi? Mədza à ahəŋ la tsakana la abà, ŋgaha mapis gay à vok aŋa Zəzagəla adà­ŋa­zila takay? 
ROM.6.2	Awaŋ, kiya uwaga aw, məmə̀ts kà ahàl tsakana, ŋgaha ma kakay məda à huma à gay la tsakana la abà aya zlà ma? 
ROM.6.3	Hay! Kasəlaw kà, mok uwana məɗahà batem kà, məgà à maham à gay à vok gà la Yesu Kristu la abà, la mok uwaga kà, bokuba magoɗay kà, məmə̀ts la masla babay aw takay? 
ROM.6.4	La batem kà, məkəs mamətsay la masla, kà mal anu la masla, kà anu aŋa masak à madz à ahəŋ mavi­yaga, bokuba uwana Zəzagəla awùlla Yesu à uda la ndzəɗa aŋa mazləɓay aŋha.
ROM.6.5	Haɗay, anu azla­ma­matsay gà bokuba masla. Kiya uwaga mədahama gay à vok la masla, tsa kiya uwanay kà ndzer, mədàwul à uda bokuba uwana masla awùl à uda babay. 
ROM.6.6	Məsəl kà, la mok uwana Yesu Kristu amə̀ts à ahàf à adi kà, Zəzagəla atatàsl madz à ahəŋ mavi­yaga gami à adi la abatà bay, kà vok tsakana gà uwanay aŋa mamətsay, kà anu aŋa magay azla­mayà aŋa tsakana aya aw, 
ROM.6.7	kà uwana tsakana aŋa magay la ndzəɗa la dza mamətsay gà aya aw. 
ROM.6.8	Kà uwana mok uwana Kristu amə̀ts kà, məmə̀ts la slaka gà la masla, kiya uwaga, məsəl kà anu la masla, mədàdza à ahəŋ la sifa bay la masla. 
ROM.6.9	Ŋgaha aya, məsəl babay, kà Yesu Kristu awùl à uda la mamətsay adàmətsay aya aw, kà uwana ndzəɗa aŋa mamətsay la ahəŋ lakəl aŋha aya aw. 
ROM.6.10	La mamətsay aŋha kà, avà­halla la tsakana aŋa tetuwa. Lagwa aga la ahəŋ la sifa kà aŋa Zəzagəla aŋa koksi­koksi. 
ROM.6.11	Iyay zlà, akul babay kà, kiya uwaga, sə̀làw kà, kamə̀tsàw kà ahàl tsakana. Lagwa akul la ahəŋ la sifa la huma aŋa Zəzagəla, kà uwana kahamàw gay à vok la Yesu Kristu.
ROM.6.12	Tsa aŋa kiya uwanay lagwa zlà kà, kasakaw à tsakana akor akul aw. Kanəfaw mabila aŋa vok aŋkul, uwana adàzakulla vərdi anik aw. 
ROM.6.13	Kakəsaw kà tsakana aɓəza tetəvi à tsəh aŋa madukw akul à ahəŋ, kà mawis akul ala aw. Tsa baŋa kiya uwaga zlà kà, vàw vok aŋkul à Zəzagəla, kà uwana akul azladza uwana kamətsaw, ŋgaha kawullaw à uda, vàw vok aŋkul à masla gesina, sàkàwwal aɗàhla akul sləray bokuba akul azla­ka­zlaŋa sləray delga gà. 
ROM.6.14	Kiya uwaga kà, tsakana adàdza à akul à gəl aya aw kà uwana akul la tsəh aŋa mapəhay aw, kà magay la dziriga la huma Zəzagəla kà, dzàw à ahəŋ la mapis gay à vok aŋha la abà.
ROM.6.15	Uwaga ma, mana asal magoɗay lagwa mi? Məkor gəl kà maɗehəŋ tsakana, kà uwana anu la tsəh aŋa mapəhay aya aw, kà uwana anu la mapis gay à vok aŋa Zəzagəla la abà takay? Tetuwa kiya uwaga aw! 
ROM.6.16	Kasəlaw kà, baŋa kaduwaw vok aŋkul à dza anik ala, ŋgaha kago­ɗawwal kà kakəsaw gay aŋha kà, kapakaw mayà aŋha aw takay? Baŋa tsakana la uwana adza à akul à gəl, ndzer, akul azla­mayà aŋa tsakana, ŋgaha kabiyaw mamətsay à gəl. La kità, baŋa kakəsaw kà gay aŋa Zəzagəla, kiya uwaga kagaw azla­mayà aŋha, ŋgaha adàpaka akul ala kà azla­dzi­riga la huma aŋha. 
ROM.6.17	Haɗay aw ay, uwarà kagàw mayà aŋa tsakana, ama lagonay kà, kiya uwaga aya aw. Kakə̀sàw gay uwana atàpakulla, kakə̀sàw azla­tatak uwana atàpakulla la ləv tekula, kikay məgoɗ à Zəzagəla kà uwaga. 
ROM.6.18	Mapəlla, uwana kapə̀làwla la tsakana la abà, kà kapà­kàwla azla­mayà aŋa dziriga adagay, kà akul aŋa maɗàh dziriga. 
ROM.6.19	Gəpəh à akul la gay zil kiya uwanay kà, kà uwana akul azla­guɓguɓ dadàŋ, kà matsən azla­tatak uwanay. Dagay uwarà kavàw vok aŋkul gesina à mawi­siga, kaŋazàhàw tsakana ala. Kà uwana kaɗa­hàhàw mawi­siga. Ama lagonay kà, vàw vok aŋkul à Zəzagəla aŋa ɗiki­ɗiki. Ɗahàw dziriga, ŋgaha kà madz à ahəŋ aŋkul aŋa magay sətaka.
ROM.6.20	Dagay uwarà, à mok uwana kalə̀gàw azla­mayà aŋa tsakana, tatak la ahəŋ afà à akul leri à gəl, kà manəf dziriga aŋa Zəzagəla aw. 
ROM.6.21	Mok uwana kaɗa­hàhàw azla­tatak ziruwi gà uwaga ma mana kaɓə̀zàwwal la abà lagwa zlà mi? Lakana kà kakə̀làw ziruwi à azla­tatak mawi­siga uwaga à gəl mədà­tsalah à gay, kà uwana madəv à gay aŋa uwaga kà mamətsay. 
ROM.6.22	Lagonay kà, kapə̀làwla la tsakana la abà, kagaw azla­mayà aŋa Zəzagəla. Lagwa tatak delga uwana kaɓəzàwwal la abà, kà madz à ahəŋ aŋkul adàgay sətaka la huma Zəzagəla, ŋgaha aya, akul kadà­ɓəzawwal sifa adəv à gay aw la makəɗ gəl à ahəŋ. 
ROM.6.23	Ndzer, masik aŋa tsakana kà uwaga mamətsay, ama mavày deyday aŋa Zəzagəla kà sifa adəv à gay aw, kà uwana mədahama gay à vok la Sufəl gami Yesu Kristu.
ROM.7.1	Azla­deda gulo, gəpəh à akul kà, kà uwana kasəlaw mapəhay, kasəlaw kà mapəhay kà la ndzəɗa lakəl aŋa dza, uwana la sifa dadàŋ. 
ROM.7.2	Bokuba magoɗay, baŋa mis adada à zil. La mok uwana zil aŋha aləg la sifa kà, tetəvi la ahəŋ kà aŋa mad à zil anik aw, kà uwana mapəhay avà à tetəvi aw. Ama baŋa zil aŋha adamətsay kà, tetəvi la ahəŋ adagay, kà mad à zil anik. 
ROM.7.3	Kay, ama baŋa zil aŋha aləg la sifa, nəma pəra ada à zil anik aya, masla azaɓ zil. Ama baŋa zil adamətsal à akəl ala masla la tetəvi, baməraka ada aŋha à zil, agay masla mazaɓ zil aw, kà uwana kà akə̀lla mapəhay ala aw. 
ROM.7.4	Kiya uwaga kà, aŋkul babay azla­deda. Kadzaw à ahəŋ la ahàl aŋa mapəhay kà, bokuba akul azla­ma­matsay gà, kà uwana kamətsaw la slaka gà la Yesu Kristu. Kità akul azlaaŋha, masla la uwana Zəzagəla awùlla à uda la mamətsay. Kà anu aŋa maɗa­hallaŋ sləray uwana akəsa à vok gesina. 
ROM.7.5	Mok uwana uwarà kà, mədzà à ahəŋ kà bokuba uwana asà à gəl gami, ama mapəhay aŋa Zəzagəla la uwana: Uwanay la uwanay kà tsakana, agoɗàh à anu. Kiya uwaga à uwana apə̀h à anu ala tsakana, uwana məɗa­hahàŋ tekiɗik. Azla­tatak mawi­siga uwaga takor gəl aŋatà la anu la abà, ŋgaha taɗək anu à mamətsay à abà. 
ROM.7.6	Uwarà kà, mapəhay afà à anu à ahəŋ bokuba azla­daŋay. Lagonay kà, mədamətsal à adi ala à mapəhay uwaga, ndzəɗa aŋha la ahəŋ lakəl gami aya aw. Lagonay adagay kà, məɗàh sləray aŋa Zəzagəla la madz à ahəŋ mawga la abà, la tetəvi aŋa Masasəɗok aŋha la ama, awkà la tetəvi mavi­yaga, uwana tatsetsèr à mapəhay à abà aya aw.
ROM.7.7	Kakay gəgoɗay mi? Mapəhay aŋa Zəzagəla ma tsakana takay? Awaŋ, tsakana ɗiki­ɗiki aw. Ama agayŋa mapəhay agay la ahəŋ, awkà naka gəsəl tsakana aw. Agayŋa mapəhay agoɗay: Kaɗahaw adi aw, awkà naka gəsəl adi aw. 
ROM.7.8	Hay, ama la mok uwana gətsənàŋ mapəhay uwaga kà, tsakana aɓəzà gi à tsəh, ŋgaha gədzəkà maɗàh adi à azla­tatak gesina à tsəh. Mok uwana mapəhay la ahəŋ aw kà, tsakana kà agà tsaf­tsaf. 
ROM.7.9	Mok uwana uwarà gəsəl mapəhay à dadàŋ aw kà gəgoɗ kà: ‘Gi la sifa.’ Ama mok uwana gəda­tsən mapəhay kà, tsakana aŋazà gay ala. 
ROM.7.10	Ŋgaha gəsəl kà tsa gi mamətsayga. Zəzagəla avà mapəhay uwaga kà, kà mapəhgəla tetəvi sifa, ama adàla gi kà à mamətsay. 
ROM.7.11	Mok uwana gətsənà mapəhay uwaga kà, tsakana aɓəzà gi à tsəh, apapàt gi, kà gi aŋa maɗàh tsakana, ŋgaha agə̀ɗ kà uwana gəɗahà tsakana.
ROM.7.12	Kiya uwaga kà, mapəhay atsa à waŋ kà la ahàl aŋa Zəzagəla, ŋgaha kəla mapəhay aŋha bay kà tsi­kasla gesina, dziriga. 
ROM.7.13	Baŋa kiya uwanay ma, tatak uwana delga la uwana adapaka gi matsapa vok takay? Awaŋ masla aw! Uwaga kà tsakana la uwana apaka matsapa kà makəɗ gi. Tsakana aɓə̀z gi à tsəh kà makəɗ gi ala, tatak delga uwaga kà masəlay, kà tsakana kà bà tsakana ndzer, ŋgaha kà uwana mapəhay la ahəŋ, tsakana apəhla tsakana ala kà mawi­siga la tetuwa.
ROM.7.14	Məsəl kà mapəhay kà atsà à waŋ kà la slaka Zəzagəla, ama gi kà gi dza deyday gà pəra, gəgà bokuba mayà aŋa tsakana. 
ROM.7.15	Gətsənà uwana gəɗehəŋ aw, gəɗehəŋ kà uwana asà à gi aw, hərəzka aŋa uwana asà à gi aw, la uwana gəɗehəŋ aya. 
ROM.7.16	Baŋa gəɗehəŋ, kà uwana asà à gi aŋa maɗehəŋ aw, uwaga apəhla ala kà mapəhay aŋa Zəzagəla kà delga. 
ROM.7.17	Ama mawi­siga uwaga kà gi la uwana gəɗehəŋ aw. Tsakana uwana la gi la abà la uwana aɗàh uwaga. 
ROM.7.18	Gəsəl kà delga la ahəŋ la gi la abà aw, à gi dza uwana gi dza asik aw. Kay kà, asa à gi maɗàh delga nəma, ama gəslala vok aw, kà uwaga. 
ROM.7.19	Tatak delga, uwana asa à gi maɗehəŋ kà, gəɗehəŋ aw, ama tatak mawi­siga uwana asa à gi maɗehəŋ aw, la uwana gəɗehəŋ. 
ROM.7.20	Baŋa gəɗehəŋ kà tatak, uwana asa à gi aw kà, uwaga kà gi la uwana gəɗehəŋ aw, tsakana uwana la gi la abà, la uwana aɗehəŋ.
ROM.7.21	Kiya uwaga à uwana gəɗehəŋ koksi­koksi, baŋa gəɗàh delga zlà, gi gəgoɗay kà, tsakana la uwana atsavok gi à huma. 
ROM.7.22	La madzugway gulo la abà kà, mapəhay aŋa Zəzagəla kà akəs à gi gəl ndzer. 
ROM.7.23	Ama la madz à ahəŋ gulo la abà kà, gənəŋàŋ kà tatak anik la ahəŋ à uwana apa guvəl la madzugway delga uwana la gi la abà. Tatak mawi­siga uwaga la gi la abà kà, asal mapak gi ala kà mayà aŋha. 
ROM.7.24	Yaya­tsiya, uwa à uwana adàpəl gi ala la madz à ahəŋ mawi­siga gulo uwanay la abà, adala gi à mamətsay uwa? 
ROM.7.25	Kikay gəgoɗ à Zəzagəla la ləv tekula, kà uwana masla la uwana adapəl gi ala kà ahàl aŋa Sufəl gami Yesu Kristu.
ROM.7.25	Gəgoɗ la madzugway gulo la abà kà, gəɗehəŋ kà mapəhay aŋa Zəzagəla. Ama dza sləɓ vok kà, asal kà gənəfay kà tsakana.
ROM.8.1	Lagwa kà Zəzagəla adàdukw seriya à azladza uwana à gel, tahama gay à vok la Yesu Kristu aya aw. 
ROM.8.2	Kà uwana ndzəɗa aŋa Masasəɗok Zəzagəla uwana avà à anu sifa la ahàl aŋa Yesu Kristu, adapəl gi ala la ndzəɗa aŋa tsakana la abà la mamətsay. 
ROM.8.3	Mapəhay aŋa wakità seriya asla mav sifa à azladza aw, kà uwana anu azladza asik məslala vok aŋa maɗàh uwana asa à mapəhay aw. Ama uwana mapəhay aslala vok aw kà, Zəzagəla kà ahənàŋ ala. Zəzagəla aɗahàŋ uwaga la masləl Kona aŋha à waŋ à gudəŋ à vok, la sləɓ vok kiya aŋa aŋami azlaməna tsakana. Masla asà à waŋ aŋa mazəɓ anu tsakana lakəl ala. Kiya uwaga Zəzagəla adukwà seriya aŋa tsakana aŋa azladza à gəl aŋha. 
ROM.8.4	Zəzagəla aɗahà uwaga, kà anu aŋa maslala vok, kà maɗàh delga uwana mapəhay ayahay kà uwana məkəsa gəl à ahəŋ la tsəh aŋa uwana asa à Masasəɗok Zəzagəla, awkà uwana asa à sləɓ vok gami aw. 
ROM.8.5	Azla­uwana tadzadzar vok bokuba uwana asa à gəl aŋatà kà, tatuway kà à uwaga à tsəh koksi­koksi. Ama azla­uwana tadzadzar vok bokuba uwana asa à Masasəɗok kà, atà bay tatuway kà à uwana à tsəh, asa à Masasəɗok uwaga bay. 
ROM.8.6	Baŋa anu mətuw à uwana à tsəh asa à sləɓ vok gami kà, abiyan mamətsay à gəl, ama baŋa mətuway kà à uwana à tsəh asa à Masasəɗok kà, mədàɓəza sifa la lapiya. 
ROM.8.7	Azla­uwana tatuway kà à uwana à tsəh, asa à vok aŋatà kà azlaməna məzam aŋa Zəzagəla. Atà tanəfa mapəhay aŋa Zəzagəla ɗiki­ɗiki aw. Ndzer kà, taslala vok aŋa makəsay aw. 
ROM.8.8	Azla­uwana tadzadzar vok bokuba uwana asa à gəl aŋatà kà, taslala vok aŋa mahəɗ à Zəzagəla à adi aw.
ROM.8.9	Ama akul kà kadza­dzaraw vok kà la makəs gəl à ahəŋ la tsəh aŋa Masasəɗok Zəzagəla, kà uwana Masasəɗok uwaga aga la ahəŋ la ləv aŋkul la tsəh. Dza uwana la Masasəɗok uwaga aw kà, masla kà dza aŋa Yesu Kristu aw. 
ROM.8.10	Baŋa Yesu Kristu la akul la abà kà, baməraka kamətsaw kà made­golay tsakana babay kà, bà Masasəɗok aŋha uwana avà à akul adzadzar akul, kà uwana Zəzagəla adapakakulla dziriga la huma aŋha. 
ROM.8.11	Baŋa Masasəɗok aŋa Zəzagəla uwana awùlla ala Yesu Kristu à uda la mamətsay la akul la abà, la kità bay ndzer kà, Zəzagəla uwaga adà­wulla ala akul à uda la mamətsay babay. Adàɗah uwaga kà la ndzəɗa aŋa Masasəɗok aŋha, uwana la akul la abà.
ROM.8.12	Azla­deda, tsa kiya uwanay kà, goder aga anu lakəl, kà aŋa madzadzar vok, bokuba uwana Masasəɗok Zəzagəla ayahay, awkà bokuba uwana asa à sləɓ vok gami aw. 
ROM.8.13	Baŋa kanəfaw kà tetəvi uwana asa à vok aŋkul kà, kadàmətsaw. Ama baŋa kavàw tetəvi à Masasəɗok Zəzagəla, kasaw à uda la azla­tatak mawi­siga uwaga la abà kaɗa­hawwaŋ kà, kadàɓəzaw sifa. 
ROM.8.14	Azla­uwana takəsà gəl à ahəŋ la tsəh aŋa Masasəɗok Zəzagəla, gesina kà azlabəza aŋa Zəzagəla. 
ROM.8.15	Masasəɗok uwana Zəzagəla avà à akul kà, apà­ka­kulla kà azla­mayà, ŋgaha avà à akul guba aya aw. Ama apà­ka­kulla kà azlabəza aŋha. Avà à anu gay kà magoɗay à Zəzagəla: “Baba, kak tsuŋulo!” 
ROM.8.16	Kiya uwaga Masasəɗok uwaga aɓa­ɗa­numà la ləv la tsəh: Ndzer, anu azlabəza aŋa Zəzagəla. 
ROM.8.17	Tsa bà uwana anu azlabəza aŋa Zəzagəla adagay kà, mədàɓəza azla­tatak dzəɓa aŋha səla aw gà, uwana adafa à anu à ahəŋ. Ama kà Yesu Kristu la uwana mədàɓəza azla­tatak uwaga, kità mədàɓəza mazləɓay uwaga, kà uwana məs ŋgərpa anina la slaka gà bay.
ROM.8.18	Aganay gəgoɗ à akul kà, ŋgərpa uwana məsay la abanay la vəɗah la sa uwanay kà, uwaga kà apaka kà bokuba tatak deyday. Tetuwa adà­tsizlla à mazləɓay aŋa Zəzagəla, uwana à huma adavà à anu aw. 
ROM.8.19	Tatak gesina uwana Zəzagəla aɗahàŋ, takuday la tsetsi dadàŋ à mavakay uwana Zəzagəla adàpəhla à azlabəza aŋha ala la dazu­waya, kà masla aŋa mapəhla mazləɓay aŋatà ala. 
ROM.8.20	Azla­tatak uwana Zəzagəla aɗahà à atà kà, tagahay kà bokuba azla­tatak deyday. Atà la gəl aŋatà kà, tawoyàŋ kiya uwanay aw. Zəzagəla la gəl aŋha la uwana asakàtàla à ahàl la tsəh ala, ama atà tafà manəwəŋ aŋatà à azla­tatak anik à tsəh gotənaŋ. 
ROM.8.21	Kà uwana vərdi anik kà, Zəzagəla adàtəf azla­tatak uwana aɗahà à atà, ŋgaha tadàgay kiya azla­mayà aya aw. Tadà­zinla aya aw. Atà babay tadàkor gəl, tadàɓəza mazləɓay bokuba uwana azlabəza aŋa Zəzagəla tadàɓəzal bay suwaŋ. 
ROM.8.22	Məsəl kà dagay madzəka tsəràh à lakana kà, kəla tatak uwana Zəzagəla aɗahàŋ kà, tabàs vok bokuba mis uwana huɗ bəzi azəŋ ay ŋuwaɗaw? 
ROM.8.23	Atà kokuɗa gəl aŋatà pəra tabasay aw, baməraka anu, uwana Zəzagəla avà à anu Masasəɗok aŋha bokuba tatak matapiŋ aŋa diŋa kà, məbas vok la ləv gami la tsəh bay. Məkuday la iyaw tugwi la adi, kà Zəzagəla aŋa madàpaka anu ala, kà anu azlabəza aŋha, adàsəlla anu à uda la mabas vok gami la abà aŋa tetuwa. 
ROM.8.24	Ndzer mədàɓəlay lagwa, ama mədànəŋ azla­tatak gesina dadàŋ aw, anu la manəwəŋ lakəl aŋha aŋa manəŋəŋ. Ama mok uwana mədànəŋ azla­tatak uwaga mənawàŋ la yewdi gami kà, mədà­ne­wəŋ aya aw. Uwa à uwana anaw tatak uwana ada­nəŋəŋ la yewdi aŋha zlà ma uwa? 
ROM.8.25	Haɗay gà, mənaw tatak uwana mədanəŋiŋ dadàŋ aw. Kità məkuday la tsetsi dadàŋ kiya uwanay. 
