MAT.1.1	Hehakaho Jesu Keriso oni amuhija vejajina. Jesuho Teviti 'ee Eparahami puni amuja.
ACT.27.21	'E'eme ea mapoka 'iruma pai'i kaivo hi'eme na'ia mapoka pa'arenana. 'Ejume Porura 'urine puni rira kajino nami'i kaivo ijá 'iama Eakije nuni irake heha. Nitama nú Kuriti hijaji ja nuni ira hene ve'ipisa uneunecha mapoka pasiserasaha'a. 
ACT.27.22	'Enakaivo na iviamaa ja 'waravukaho ja niho'o teamana'avara. Ja ea pina pakwahuna vo sisima ijara huhusu parahuna. 
ACT.27.23	Iviasi na'iakino Godi ka'ene na Huni kaukara vene 'ee na Huni ea rejujihuni 'ona oji'ini roe nuni 'una'i naminana. 
ACT.27.24	'Enarena ijá 'wima Poru jumujaho arema. 'Enakaivo va'e Sisa oni una'i namine 'otua ve'amana. 'Ene hena! Ea mapoka ka'ene ike sisima vaji hiju kakihija Godira a vajaha jihuna'e pu pakwamasahuna 'wimana. 
ACT.27.25	'Enakúne ea kije ja teamana'avara. Na Godi nimaa roju. Ijihuni maijaho Hura raka ka'ene rehuna 'warimajaho ija'ina rehuna. 
ACT.27.26	'Ena'omo nú va'e mutumutua pina 'ahi ninama sisima sisera'ena. 
ACT.27.27	Na'ia iropu ropu no'ona no'o ijino nú aherume Eturiatiki soha 'ahi va'ara. 'E'eme na'ia riri sisima kaukara veji'inijipo vwihajajaho pu niroe amari 'ahi rou rojara. 
ACT.27.28	'Enareja pu mina vene kavajaho toa jopatu'uma'ura (40 mita) kavara. 'Enareja pu ma'uako vanamareja iji'a kú'o mina vene kavajaho toa ma'uako arii roe (30 mita) rejume kavara. 
ACT.27.29	'Enareja pu veju ro'i kaivo va'u va'o muna 'aha reha ninama ve'ena ronareja juvara. Pu ni'aha kwinu anika no'ona no'o ijá sa'i kaivo pu hine vei nitu'amarono ura rena parajara. 
ACT.27.30	'Enareja ijí sisima kaukara veji'inijija sisima kajaho rana'ika'i va'i 'ahiumakame pu hine 'unama savara. 'Enareja pu eaha kajaho ma'uako ape karokaru ranavumakame ea 'aho'a ka'ene hija kajipo kivajaho pu anika apúsavu rojara kaivo pu nesi apena va'i 'ahiumakame avajara. 
ACT.27.31	'Ejume Porura sorutia 'ee sorutia puni natohwijihi pu'úmo ijá 'iama Ea karipo sisima vajaki pahi'avajaho ea pina niho'o pahihuna 'iamana. 
ACT.27.32	'Ejume sorutia kajipo eaha ka'ene sisima 'aha kajino vevahavajija aja 'uhusavume 'ona toa vaji va'ana. 
ACT.27.33	Sú'o vea ajiru 'e'u'i ve'eme Poru ea maho'o 'ejahie ijá 'iama Jara 'iruma pai'i kaivo hi'eme vea iropu ropu no'ona no'o ijá pa'arenanakúne 'urine 'iruma 'ekaha! 'iamana. 
ACT.27.34	Ijihuni hahi na ja 'waravukúne ja areme 'iruma 'eka iha. 'Ejakame 'iruma kajara reje joni harura namama. Ijihuni maijaho ja ea kwinu niho'o joni húmata sapasa kwinu patausiuhuna 'iamana. 
ACT.27.35	Hu ijá 'waravume pa'are'eme puretia apene puni una'i Godi teimani 'wa'ika'i tuachame aneja vene inana. 
ACT.27.36	'Ejumakame ea mapoka kajija niho'o teamana'eme pu 'iruma 'aho'a 'eka ijara. 
ACT.27.37	Nú ea ka'ene sisima vaji hijajaho ea mapoka mapoka (276) hijara. 
ACT.27.38	'Enareja pu ijume eaka mapoka kajija tú'ama parajara. 'Ejume 'witia ka'ene ijí sisima vaji navajaho ni'aha kwinu ato'aruvume sohi va'ara. Ijihuni maijaho sisima kajara nasina re'amarono avajara.
ACT.27.39	'E'eme vea ajiru 'e'u'ejume pu kwaa kaji kavajaho puruva renaana. 'Enakaivo pu tohwira ora sama kamareja pu ura va'e ijihunijino va'i 'ahiara. 
ACT.27.40	'Ejumakame pu puni anika sirirame 'ee aja ka'ene sisima vevahavajaho rasavara. 'Ejume sisima kajaho 'urina va'e asiasia roe sisima vaji ariha vejume sisima kajaho iji'a va'e kari ora rori va'iro va'ana. 
ACT.27.41	'Enuva'o va'e toa kaha'a roe tohwira rejume kama'a sohi amena roe piunaravajaho muna navara'omo ijihuni toi ajimarena kirana namana. 'E'eme soha ka'ene ajira amena roajara vipuna'ija'i ninamarena niho'o mutuusaha paranana. 
ACT.27.42	'Ejume sorutia tipuraepo ariha isume juhaha va'aji'eja ronareja 'ania kwamasahuna'e kosarame 'wavara. 
ACT.27.43	'Enakaivo sorutia puni ea natohwijara Poru ni'aja'i 'ahaume ruravume pu are'eme ea ka'ene areri isuavi'inijija ijá 'iava Ja marako mwama ato'arume isuama va'a 'iavara. 
ACT.27.44	'E'eme ea 'aho'a ka'ene ijí hijajija 'urimarame sisima ka'ene ijí mutu'usaha jihuni hasijaho 'ekume ea 'ahopo icha hasa 'eke ijihuni toi isuama va'ara. 'Enareja ea pina niho'o unenu'u pina parenana kaivo nijaa ihena va'e kari amari va'ara.
ACT.28.1	'Ejume pu mamaa roe amari ajivara. Nú iji'a hena kavajaho ijí mutumutua kajihuni ihijaho Morutana 'wavura'e hejara. 
ACT.28.2	'Ejume ijí ara kaji'urijipo nú hami hami 'ahúara. 'Ene nehi pina atuatuma jihuna'e pu vena jae roe nú aheruma va'ume nú ijí rori hijara. 'Ejume pu nú 'ajoruvara. 
ACT.28.3	Porura vena mwene iramana'omo tapara ijihuni vaji hi'eme apena va'e veni aporuvume vena kajihuni ohoi rejuma aseha ru'e'une Poru oni ija 'ahi mwatuma utiha namana. 
ACT.28.4	'Ejumakame ara kajiupo ka'eme tapara kajara Poru oni ija 'ahi mwatunanama kurima navuma kamareja pu aneja vene ijá 'wava Nimaa eakara ea 'aniu'e kwamasahara kaivo hu soha vaji roakaho unenu'u pina pare'eme hami roana kaivo mamaijaho pamaka'eje hu mai'o hihuna 'wavara. 
ACT.28.5	'Enakaivo hu tapara kajaho ahaijiuvume va'e veni renana kaivo hu unenu'u pina parenana. 
ACT.28.6	'Ejumakame pu vwihajajaho hu kwa'ena ronareja pu 'ajoha hina apene va'ajaho huni ija pahwene 'ee pa'ona kwamana. 'Ejumakame pu vwihajajaho hu godi 'wavara. 
ACT.28.7	Kwaa ka'ene núra useva kajaho ea natohwa ka'ene Pupiriasina 'wavujihuni mwe'a. 'Ena'omo hura nú aheruma va'e huni sei irechamúe hami 'ajohu'i hi'eme na'ia no'opisu pa'arenana. 
ACT.28.8	'Enakaivo ijí ea kajihuni omijaho atami 'uname huni haha ohoa ani rene tea arihe ijá venana. 'E'eme Porura va'e huni siporua 'one 'ee huni ija ea kajihuni húmata 'ahi ranamahume ea kajaho maranana. 
ACT.28.9	'Ejumakame ea mapoka ka'ene mutumutua kaji'ura ka'ene atami 'uniravi'inijija nianaa apene huni roume maraniara. 
ACT.28.10	'Enajihuna'e pu núni hura vene 'ee mavarasa veji'i hinuva'o sisima pina roume nú va'iro vejumakavi'i raka ka'ene núra pivusahajija maho'o vajúhara.
ACT.28.11	'Enakaivo nú masapa no'opisu ijí ara kajino hi'eme vea ka'ene asiasia 'anauni veijino nú Arekisanituria opuni sisima ka'ene hwaharisina puni urania navi'inijaho ijí mutumutua kajino namana'omo ijihuni 'ahi ajima va'ara. 
ACT.28.12	Nú va'e ara iha Serakusi usevara. 'Enareja nú ijino na'ia no'opisu hijara. 
ACT.28.13	'Enareja nú Serakusi are'i kaivo 'urina va'e Rijiami va'ara. 'Ena'omo ijihuni sú'uhijino asiasia kama'i ikiki hwasihumakavi'i nú 'urine Putiori va'iro va'eme na'ia no'o pa'arejara. 
ACT.28.14	'Enareja ijí ara kajino Godoni ea 'aho'a piunivara. 'Enareja nú ijino pu pu'úmo na'ia iropu'a no'ohe'i hi'avarono 'waruvume hijara. 'Enareja iji'a Romu va'ara. 
ACT.28.15	'Ejume Godoni ea ka'ene Romu hijajijahija ijí henareja Apiasi oni maketia 'ee Hoteru no'opisu namijuji rene nú piurihe roara. 'Ejume vea ka'ene Porura pu kimajaho niho'o Godi teimani 'wame oja sonanana.
ACT.28.16	Nú va'e Romu usevajaho Poruho huhusumano sorutia pini 'ajoha'eje hihuna'e 'waravara. 
ACT.28.17	'E'eme vea no'opisu pa'are'eme Porura Jua puni ea ka'ene urani'inijija 'umenaume pu roe ahuma hijumakivi'i hu aneja vene ijá 'iama Ehu nunakije na ehu nuna ea 'aho'a pasise'i 'ahiuta. 'Ee emahu núpuni tamana 'aho'a papataarohuta kaivo pu na Jerusaremi tipura apenie Romu puni ija 'ahi ranamiara. 
ACT.28.18	Pu na apenia Romu mihumakame pu hejajaho nara unenu'u pina sisea vejakame pu na 'ania kwahuna pahenareja ranamie vahuna ura renaara. 
ACT.28.19	'Enakaivo Jua kajija Romu opuni ira pata'arohumakame nuni 'unama pa'arenana. Ijihuna'e na Sisa 'waravakame hura nuni vu'a kaji he'ena 'iavuta. 'Enakaivo nara ehu nunijihi unenu'u pina vetihuna pana. 
ACT.28.20	Ijihuni hahi na ja kivi'i vu'a ijí 'wara'iro 'waravume ja iviasakaho roajivara. Isureri opo raka ka'ene túna'i reje kahuna ka'ene vwihaji'i hijujihuni hahi senia ikaho na kamorivara 'iamana. 
ACT.28.21	'Ejume pu hu ijá 'wava Jutia ea 'ahopo oni vu'a rone pasi veja rohuna pane 'ee núni ehija 'ahopo iki roajimareje nahama 'waruhuna pa'ane 'ee oni vu'a sisea rone 'warahuna pana. 
ACT.28.22	Nú ea ikihi puni vu'a ani'ina'e 'wamape ojukame nú ura oni vwiha ijí he'i 'ahúu 'wavara. 
ACT.28.23	'E'ikaivo vea ka'ene vu'a kaji 'wahunijaho iji pijahara'omo vea kaji apejumakavi'i ea mapoka nianae apena roe sea ka'ene hura hinaji roara. Hu Godoni arijihuni maiji najahe 'ee Mosisi oni tamana tahe najahe 'ee poropetia puni vu'a taha vejakame pu Jesu nimaa ro'avarono 'warama avanana. Hu vea sú'u sú'u rene vu'a 'warama va'e vea nutu 'o'unaji aremana. 
ACT.28.24	'Ejume ea 'aho'a nimaa rojume ea 'aho'a nimaa parojara. 
ACT.28.25	Pu paavacharame vai ve'eme Poru ijá 'iama Godoni 'Avenijara vejume poropeti Aisea oni vaji nimaa amuhu núna 'warama ijá 'iama 
ACT.28.26	Va'ajime eakihi ijá 'warahuna. Ja niho'o hehuna kaivo ijihuni maa pahena pakahuna. 'Ene ja niho'o hine kihuna kaivo ijihuni maa pakihuna. 
ACT.28.27	Ijihuna'e eakija puni oja kisina rene puni ataa pa'arena'e 'ee nia pa'areja jihuna'e pu pahehune pakihune pavwihanareje ta'arohe roe Nara veje pu maranihuna 'iamana. 
ACT.28.28	'Ena'omo na ura ja hami hami ataa apúsame hehuna. Godoni vu'a ka'ene ea ni'ajihunijaho Hu iviamaa ranavu'e Jenitaru puni vaja 'u'o va'una'omo pu 'u'o hehuna 'iamana. 
ACT.28.29	Hu ira kaji 'waravume pa'arejume Jua 'urina vai'i pu nakarama apene va'ara. 
ACT.28.30	'E'eme hu juara no'ohe'i sea ka'ene hura 'imenajino hinana. 'Enare'e erapo hu ka'i roujaho hu 'ajorama nirisamuna. 
ACT.28.31	'Ene hu Godoni arijihuni maiji najahe 'ee Natohwa Jesu Keriso oni vu'a najahuna. 'Eju'ukame ea pina hura vu'aka 'waramujaho pararejura.
ROM.1.1	Na Poru Jesu Keriso oni pwea 'ee apasorua re'urono iji pijihe 'ee Godoni vu'a maiu'ina 'warahuna'e ranamiana. 
ROM.1.2	Ijaho Hu nimarako Huni ira ka'ene akuavi'ina vajijino Huni poropetia nahame 'waramana. 
ROM.1.3	Huni Harihiji Huni 'unamiji rone 'waramana ka'ene haha huni 'unamijino Teviti oni amuhipo roe nahejara. 
ROM.1.4	'Avena ka'ene arimaijara 'warumajaho Hu Godoni Hariha ka'ene haruriji'i kwama 'urinajine 'ee Hu Jesu Keriso ka'ene núni Natohwijina. 
ROM.1.5	Huni vaji nú maiji vwihanúajaho apene 'ee apasorua'e rejajihuna'e nú Huni ihijihuni hahi Jenitaru maho'o 'warave roe hene nimaa rone vehuna. 
ROM.1.6	'Ene puni vaja kajino ja 'u'o Jesu Keriso una'i 'umenaana. 
ROM.1.7	Ja ea ka'ene Godira oja mihe 'ee Huni ea ariramaa'e rehuna'e iji pijihana ka'ene Romu hijujije Godi ka'ene núni Omijine 'ee Natohwa Jesu Keriso ja maijí vwihanie 'ee matauvi'ina mihu.
ROM.1.8	Na nimaraku ijaho Keriso oni vaji jonijihuna'e núni Godiji teimani 'wavu. Ijihuni maijaho jara nimaa rojuji kwaa ara mapokakaho maho'o ijí 'wama apene oju. 
ROM.1.9	Ijihuna'e Godi ka'ene nuni oja 'aveniji'i mahujara ki'eju'e vu'a maa maiu'ina ka'ene Huni Harihiji rone najahujaho na'iaka mapokakaho na ja rone 'waravura. 
ROM.1.10	Na na'ia mapoka'e siporua 'ojura'omo Godoni ura'e re'amajaho 'unama samaa'e reje na vu'a ja kihuna. 
ROM.1.11	Na ja ki'irono ura renia paranu jihuni maijaho na ura 'Avena Huni swara 'aho'a joni vaji irechavakame ja Huni ira ija kisi apene joni una'i saname vehuna. 
ROM.1.12	Nuni nimaa roijara ja ni'ajihe 'ee joni nimaa roijara na ni'ajihuna. 'Ejakame nú ja pu'úmo ni'ajarahuna. 
ROM.1.13	Ehu nune na nimarako ura roe ja ki'iro 'ahiana kaivo unenu'u pini rejumakame na parou kajaho ja nihena kavu. Ijihuni maijaho na Jenitaru 'aho'a kajihi puni vaji 'ina 'aho'a 'ekuja'ina'e 'aho'a joni vaji 'ina rukina'e rehuna ura reniu. 
ROM.1.14	Na ura Kuriki 'ee ea ka'ene Godi pahena pakavi'ina 'ee ea ka'ene kama heji'ina 'ee ea ka'ene pahena pakavi'ina 'u'o ni'ajihe najahuna. 
ROM.1.15	Nuni vajaki na ura renia paranujaho na ijino Romu joni vu'areje Godoni vu'a maa maiu'inake ja 'u'o najahuna.
ROM.1.16	Na niho'o vu'a maa maiu'inakake 'warahunijaho pajunimu. Ijihuni maijaho vu'a kakaho Godoni harura ka'ene emaapo nimaa rojakame maranihunijina. Ike vu'a kakaho maraku'a Juaru najahareja iji'a Kurikia najahara. 
ROM.1.17	Ijihuni maijaho Godoni vu'a maiu'ina vajijino Godoni 'unama ariramaijaho nimaaroa vajijino totari najaha apene roara. Godoni ira vajijino ika'ina vejara Ea ka'ene ariramaijaho nimaaroa 'ahi hihuna 'úmana.
ROM.1.18	Godoni sena kahi akúpa 'ahi rena samai najuhujaho ea ka'ene arira pahine 'ee sisearu vene 'ee Huni 'unama nimaiji panajuhujija Godiho pununa'i sena venu. 
ROM.1.19	Ijihuni maijaho Godi hena kahunijaho Godi pu nisamai najahana. 
ROM.1.20	Nitama aneja mwe'ake renaji roe iviamaa 'e'unakino eaka mapokakija uneunecha mapokaka iki mwe'i navuji kime 'ee mwe'ake kame 'ee akúpa kahe kamare'e Hura Huni majama namuni harurijine 'ee Hu icha'inijaho nikavu jihuna'e pu 'unama pa'ana'e rehuna. 
ROM.1.21	Pu nimaa Godi nihena kavu kaivo pu Hua Godia ronareje Huni hura vene 'ee ta'arohuna pana 'ee pateimani 'wavura. 'Enakaivo puni vwiha ijija niho'o unenu pina maa pana 'ee puni oja sisei nutuma parane navu. 
ROM.1.22	Pu niarerina 'wa'ika'i nanamie ojura. 
ROM.1.23	'Ene pu Godi ka'ene pakwahunijaho oja pama'ika'i pu ichina ho muni raki 'eka veju'e tapara uka emaa hanuhasa reju'ukivi'i oja mihura. 
ROM.1.24	Ijihuni hahi Godi pu ruha aremahume pu 'unama sisemaa ka'ene puni ojijipo itunavuji vejara 'ee pu puni hahijihipuni hura pavejura ka'i puni haha majikari 'eke vajúsaravura. 
ROM.1.25	'Ene pu Godoni 'unama ka'ene ariraka nimaa nimaijaho pataaro'ika'i ira'atiji nimaa rojura. Ijihuna'e pu uneunecha ka'ene Godira venajihi oja mi'ika'i Godi Venina ka'ene majama merajahi'inijaho oja pamahura. Ameni. 
ROM.1.26	Ijihuna'e Godira pu ruha aremahu'e 'unama ka'ene juname itunavuji vejura. 'Eju'e 'unama arira ka'ene parua napara 'wa'aravujaho are'ika'i 'unama ka'ene emaa pavejuji vene napapo napara ihanie ojura. 
ROM.1.27	'Unama nikwinu'ina kajino parua 'u'o 'unama arira ka'ene parupo napara ihaniu jakajaho are'ika'i 'unama ka'ene emaa pavejuji vene parupo parua 'aho'a kivujaho niho'o itunama parajura. 'Eju'e paruapo parua aherame 'unama ka'ene ea pavejujaho vejura. 'Enajihuna'e pura sisea ka'ene vejujihuni eha ijaho pu apejura. 
ROM.1.28	Pu Godi hena kahuna areri parejumakame Godira pu ruha aremahume vwiha sisearu vwihane 'ee uneunecha ka'ene areri parehuniji vejura. 
ROM.1.29	Ijihuna'e pu niho'o sisea mapoka ni'ima'ura ani ani'ina veji'i hijura. Pu niho'o sisea vene nisa'arame senapo rarene ea 'aniu'e kwamasahe roarame pisivarame ea 'aho'a sise'i 'ahi'i vwihane 'ee ea 'aho'a hana'i irechamiura. 
ROM.1.30	'Ene ea sisea ronahe Godi sename ea veju'e juname kivasuame kehi kehi one sisea vehuni 'unama saravi'ine 'ee emahwa puni ira pahejura. 
ROM.1.31	'Ene pu ea 'aho'a puni temuka pakime 'ee ea 'aho'a panimaa vetie 'ee ea oja pamihe 'ee ea 'aho'a panumiravura. 
ROM.1.32	Pu Godoni varapijaho nihejura. Ea ka'ene uneunecha ijakaji vejujaho areri kwamasahuna kaivo ijiru pana vo ea 'aho'a ka'ene ijihi vejujija puni ojiji'i nimaa veti'eju'e pu vejura.
ROM.2.1	'Enavo ijihuna'e joni 'unama pina panamu. Ja ea irahipo ea 'aho'a namahujaho joni 'unama pina panamu. Ijihuni maijaho a ea irara ea 'aho'a namahujaho a orono oni ahija'e vene avanu. Ja ea irahipo ea 'aho'a namahujaho iraka ka'ene pura vejujaho ja 'u'o ija'ina vejura. 
ROM.2.2	Nú niheju Godiho ea ija'ina veji'inijija 'otua arimaa vetiuna. 
ROM.2.3	'Ú ea ikije vea ka'ene ea ija'ina'e vejujihi namahi'i ja 'u'o ijí 'unama nikwinu'ina kaji vejujaho ja vwihajujaho Godoni 'otua asúka asina'eja? 
ROM.2.4	'Ú Godira ja hami 'ahi'i kaivo Hu eha marako pamihe 'ee makivi'i hinujaho ja senavo? Godi ja hami 'ahiu jihuni maijaho ja joni sisea are'i kaivo ta'arohe ro'avarono avanujaho ja vi hena kavo? 
ROM.2.5	'Enakaivo ja joni oja kisima'ura reju'e ja pataaroha roujihuna ja Godoni sena jona'e nianaura'omo Godoni sena vea ka'ene Hura 'otua arimaa'e ve'amajino roe samaahirave kahuna. 
ROM.2.6	Hu ea kwinu kwino pura raka ka'ene vejaja'ina'e eha areri ija'ina vajihuna. 
ROM.2.7	'Enakaivo ea ka'ene na'ia mapoka'e masuani hine mamaa vene 'ee pinana maiji sarame 'ee hura vene 'ee uneunecha ka'ene majama nahuniji saravujija Hu majama hihunijaho pu mihuna. 
ROM.2.8	'Enakaivo ea ka'ene pu pusumano vwiha'ika'i nimaiji pata'arohujaho 'ee uneunecha sisearu vejujija Godoni sena 'ee ajira pu mihuna. 
ROM.2.9	Ea ka'ene sisea veji'i hijujija pu haha hianame 'ee sisei hihuna. Amura Jua renareje iji'a Kuriki 'u'o renahuna. 
ROM.2.10	'Enakaivo ea ka'ene mamaa'e vejujija pu pinana 'ee hura 'ee matauvi'ina mihuna. Amura Jua mihareje iji'a Kuriki mihuna. 
ROM.2.11	Ijihuni hahi Godiho ronu kwino reji'ina pana. 
ROM.2.12	Ea ka'ene Godoni varapa paheji'i sisea venujaho hu varapa pa'a eha sisea apehuna kaivo ea ka'ene Godoni varapa nihe'i kaivo sisea vejujaho pu varapijara eha sisea mihuna. 
ROM.2.13	Ea ka'ene Godoni tamaneru hejujija niho'o Godoni una'ijaho ariramaa pana. 'Enavo ea ka'ene Huni tamana hena vejujija Godoni una'a ariramaa rehuna. 
ROM.2.14	Jenitarua Godoni tamana pahejura vo puni oja vaji rakijara maa'e rakijara siseijaho nihena kavu. Godoni tamana pu pahejura kaivo puni tamanijaho puni varapa 'wavi'i vejura. 
ROM.2.15	'Unama ka'ene pu vejujipo najuhujaho pu Godoni tamana kima heju. Godoni tamana 'aho'a puni oja vaji navu. 'Ena'omo pu sisea vejujaho pu niho'o junavura. Ijihuni maijaho Godoni tamana 'aho'a puni oja vaji navu. 'Ene puni oja vaji vwihane henare'e rakijara sisee rakijara maa ijaho vwihajura. 
ROM.2.16	Ijí vea kajino Godira emaapuni hema Jesu Keriso oni vaji namahuna. Ikaho nuni vu'a.
ROM.2.17	'Enakaivo a Jua 'i'eme 'ee tamana venuna 'iavi'i Godoni arovua 'warame 'ee 
ROM.2.18	Huni ura ijí hene 'ee uneunecha mamaiji kime avavu jihuni maijaho varapijara najuhana. 
ROM.2.19	'Ejume ja vwihajujaho ja ea ka'ene nia supavi'iniji 'ajoha'ina rone 'ee ea ka'ene nututi ojujihi puni hanaji'ina roju. 
ROM.2.20	Ja vwihajujaho ja tamana nimaijaho hena kavi'ini jihuna'e ja sesamaa najahe 'ee ea ka'ene puruva reti'inijija najahuna roju. 
ROM.2.21	Ijihuna'e ja ea 'aho'a najahu ja'ina'e ja vi ojono nasaravure? Ja ea 'ahopo nesa paape'avarono 'waravujaho 'ú ja nesa apejure? 
ROM.2.22	Ja ea pipuni napara paturaha 'iavujaho 'ú ja napara turamaure? Ja godi ira'ata senavujija 'ú ja Temiporua paninamaure? 
ROM.2.23	Ja Godoni tamana kajara jonuna'i namujihuna'e sa'aii 'urahoju kaivo ja varapa kaji 'ejujaho ja vi Godoni hura vejure? 
ROM.2.24	Godoni ira vaji vejaja'ina'e ja ija'ina vejujihuna'e Jenitarua puni vajijaho Godoni ihijaho matahura 'úmana.
ROM.2.25	Ja varapiji hene veji'ina re'avajaho sisa 'uhuujaho nimaa unenu pina ni'ina'e rehuna kaivo ja varapa kaji tuavi'ina'e re'avajaho joni sisa ka'ene 'uhuajaho sisa pa'uhuaha repuna'i rehuna. 
ROM.2.26	'Enavo vu ea ka'ene sisa pahuahi'inijara varapijara 'warama ja'ina'e ve'amajaho 'ú sisa pa'uhua'inijaho sisa 'uhuahare puna'i re'eja? 
ROM.2.27	Ea ka'ene puni haha sisa pa'uhui'inijipo varapa hene veji'ina re'eje ja ea ka'ene sisa 'uhue 'ee varapa he paraji'inijipo e'avajaho 'ú pu ja panama'eja? 
ROM.2.28	Hu hahijaho Jua sa'ina'e kavu kaivo hu nimaa Jua pana. 'Ene ea 'aho'a Jua puni tamana kaji maiji vene sisa 'uhu'i kaivo nimaa nimaa Jua pana. 
ROM.2.29	Ea ka'ene Jua nimaa nimaijaho 'Avenijara huni oja vaji sisa 'uhuahajina kaivo varapa 'ararihau jihuna'e Jua rehuna pana. 'Enajihuna'e emaapo hu aromahuna pana kaivo huni arovu ijaho Godina'i rene rouna.
ROM.3.1	'Enajihuna'e ivi'a iraka maijihuna'e nú Jua rejare? 'Ene iraka maijihuna'e nú sisa 'uhuure? 
ROM.3.2	Jua rejujaho niho'o mamaa. Maraku'ijaho Godira Jua'a Huni ira 'ee Huni tamana iji'i vajihana. 
ROM.3.3	Jua kajija ea 'aho'a panimaa roju. 'Ú ijí pura panimaa roju kajara veje Godira iraka ka'ene pu nuna'i ve'iro nahama 'waramajaho pave'ena? 
ROM.3.4	Ijaho veje niho'o nimaa pa'arenama. Ijihuni maijaho Godiho nimaa nimaa kaivo ea maho'o ira'asina. Godoni ira vaji ika'ina 'waramana.
ROM.3.4	Ijihuna'e Oni irijara naja'amajaho A niho'o nimaa nimaa 'ee ea 'ahopo A vena ka'avajaho A niho'o nimaa nimaa'e kahuna 'úmana.
ROM.3.5	'Enakaivo núni siseijara reje Godiho ariramaa re'amajaho nú ivi'a ichá 'wa'eja? Godira nú eha múhujihuna'e Hu sisea raka? Na emaijihuna'e nuni vwiha 'waravu. 
ROM.3.6	Niho'o Godiho ija'ina pana. Hu mwe'akaho ichá'ina'e 'otua veti'ena? 
ROM.3.7	Na ira'ata ve'ipisa ijara veje Godoni nimaa nimaijaho samaahiravakame Hu ichá'ina'e na 'otua vetie eha miha'e? 
ROM.3.8	Ea 'ahopo nú hana'i irechamúe núra 'waravara 'wavi'i ijá 'wavura Roe sisea vejakame mamaapo roa 'wavura. 'Enajihuna'e puni eha sisea ijaho niho'o arimaa apehuna.
ROM.3.9	'Enajihuna'e nú ichá'ina 'wa'eja? 'Ú nú mamaa kaivo pu sisee? Niho'o pana. Nú nimaraku najahujaho ea mapoka Jua 'ee Kuriki pu'úmo sisea. 
ROM.3.10	Godoni ira vaji ika'ina 'warumana
ROM.3.10	Ea kwinu'wi niho'o ariramaa pa'amaa. 
ROM.3.11	Ei pini Godi hena kamuna pana 'ee Godoni 'unama ariraka nimaa nimaiji sahuna pana. 
ROM.3.12	Ea maho'o 'unama ani va'ara 'ee ea maho'o maa pa'ana'e rejara. 'Ene niho'o ea kwinu mamaa vehuna pana. Niho'o pamamaa. 
ROM.3.13	Puni irijaho areri ea sakahapo 'uvuja'ina hejura. 'Ene puni mitara 'ahijaho ira'ati itu'o'una navu. Uneunecha mapoka ka'ene puni ira vaji 'wavujaho areri tapara ka'ene 'úsia rukini ja'ina. 
ROM.3.14	Puni ira vajijaho ea siripame 'ee seni itu'ona navura. 
ROM.3.15	Puni mumorijaho mamako va'e ea 'anae kwahuna ura renaura. 
ROM.3.16	Pura 'unama ka'ene ojujaho uneunecha tirakune 'ee ea mapoka sise'i 'ahiura. 
ROM.3.17	'Ene pu matauhuni 'unamijaho pahena pavwihajura. 
ROM.3.18	'Ene puni una'ijaho Godi pu pajuhavura 'úmana.
ROM.3.19	'Ena'omo nú niheju Godira Huni tamana iraka ka'ene 'waramajaho Jua ka'ene varapa hari hijujihi 'waramana. Ijihuna'e ea maho'o ira pa'a rene 'ee kwaa ara maho'o Godoni 'otua asúkijaho paasihuna. 
ROM.3.20	'Enajihuna'e Godoni tamana kajara 'waramaji hina vejujihuna'e niho'o ei pini Godoni una'i ariramaa rehuna pana. Godoni tamana kajihuni maijaho sisei jihuni maiji najuhana.
ROM.3.21	'Ene tamani jihuni 'unamijaho pana kaivo Godi iviamaa 'unama arimaa Huna najuhu. Ike 'unamakaho Godoni tamaniji'o poropetijihipo nimaa vejara. 
ROM.3.22	Ea irahipo Jesu Keriso nimaa ro'avajaho pu Godoni una'i ariramaa rehuna. Godiho ronu kwino parehuna. 
ROM.3.23	'Enajihuna'e nú ea mapoka sisea 'ee Godoni manuriji areria pana. 
ROM.3.24	Ea ka'ene Jesu nimaa roji'inijija Godi pu ariramaa 'iamu. Nú Huni unenu'u pina pavenahara vo Hu nú maiji vwihanúana 'ee Hu nú Jesu Keriso oni vajijino kú'o 'imenue 'ekana. 
ROM.3.25	Nú nimaa rojujaho Godira Jesuho ranavume roe núni tinia apene kwame Huni 'aa ka'ene arihajara vejume Godiho oja sonanana. Ija'ina'e venajaho Hu arimaiji najuhana. 'Enajihuna'e nitama ea ka'ene sisea vejajaho Godiho maraku'a matauma puni sisei jihuni eha pamihana. 
ROM.3.26	'Enajihuna'e Godi iviamaa Huni arimaiji najuhe ea ariramaa 'iamujihuni maijaho pu Jesu nimaa rojujihuna'e 'waramuna. 
ROM.3.27	Nú irakijihuna'e sasu'eja? Ijaho niarevara. Varapa iraka sa'ine 'ee kaukara mamai irakiji vejare? Niho'o pana. 'Enaka'i nú nimaa rojujihuni maiji hene vejara. 
ROM.3.28	'Enajihuna'e emaijaho hura nimaa ronujara reju'e ea arira'e renuna tamana ka'ene vejujara reje arira rehuna pana. 
ROM.3.29	'Ú Godiho Jua punaruna raka? 'Ú Hu Jenitaru puni Godia 'u'o pana raka? 'I'a Jenitaru puna 'u'una. 
