GEN.1.1	Uniotabakin ka Nukën 'Ibu Diosan uniokëxa, naíkamë 'ëo 'imainun me. 
LUK.14.15	Quia cuaquin ca anuxun piia tsócë uni achúshinën Jesús cacëxa:
LUK.14.15	—An Nucën Papa Diosan nëtënuxun aín unicamabëtan picë uni ax ca cuëëinra cuëënti 'icën.
LUK.14.16	Cacëxun ca Jesusan cacëxa:
LUK.14.16	—Ënëx ca ësa 'icën. Achúshi unin ca piti aín uni raíri 'amiquin, pi unun quixun unicama canun, aín uni itsi xuaxa. 
LUK.14.17	Usaquin piti mëníocë 'ain ca xutëcënquin ësaquian camicë unicama catánun quixun caxa: Piticama ca mëníocë 'icën. Usa 'ain ca camáxbi pi ucan. 
LUK.14.18	Usaquin caxun xucëx cuanxuan cacëxunbi ca cuainsama tanquin a paían cacë uni an ësaquin caxa: Cana mibë cuanti 'ain, 'aínbi cana me maruan, a cana isi cuanin. Usa 'aish cana mibë cuantima 'ain. 
LUK.14.19	Bëtsi unin ca caxa: Cana mibë cuanti 'ain, 'aínbi cana mëcën rabë́ vaca bënë maruan, a cana uisa cara quixun isi cuanin. Usa 'aish cana mibë cuaniman. 
LUK.14.20	Bëtsi unin ca caxa: Cana mibë cuanti 'ain, 'aínbi cana xanu bitsin. Usa 'aish cana mibë cuantima 'ain. 
LUK.14.21	Usaía quicëbëtan ca an ñu mëëxuncë uni anu cuantëcënxun an a ñu mëëmicë uni ñuixuanxa, uisai cara an camicëxbi unicama quiaxa quixun. Ñuixuncëxun cuati nishquin ca an ñu mëëxuncë uni xutëcënquin caxa: Camina bënëtishi cuantëcënquin ëmanu 'icë bai chacamanu 'imainun bai chucúmacamanu cuanquin, anu 'icë ñuñuma unicama 'imainun axa aín quisi, aín pëñan bëtsicë 'imainun aín niti bëtsicë 'imainun bëxuñu unicama bëti 'ain. 
LUK.14.22	Caquian xucëx cuanx utëcënquin ca an ñu mëëxuncë unin caxa: Minmi 'ë cacësabi oquin cana unicama bëan, camáxbi ca uaxa, usa 'aínbi ca 'iti tsitsícëma pain 'icën. 
LUK.14.23	Usaquin cacëxun ca an a ñu mëëmicë unin caxa: Bai chacamanu cuanan a rapasu 'icë mecamanu cuanquin camina uisa uni caramina isi, a camabi pi unun quixun cati 'ain, 'itsa unia 'ën xubunu atsini buáquiti cana cuëënin. 
LUK.14.24	'Ën cana mitsu cain, a pain 'ën camicëxbia ucëma unicaman ca 'ëbëtan pitima 'icën.
LUK.14.25	'Aisamaira uníxa abë cuania ca a isi cuainacëquin Jesusan ësoquin cacëxa: 
LUK.14.26	—Uix cara 'ën uni 'iisa tania an ca aín papa, aín tita, aín xanu, aín bëchicë, aín xucën, aín chirabacë, acama nuibacësamaira oi 'ëmi sinánti 'icën. Usai 'ianan ca ax upiti tsótishi sinanima 'ëmi sinani 'ëx cuëëncësabi oishi 'iti 'icën. Ui unix cara usai 'iisama tania ax ca 'ën uni 'itima 'icën. 
LUK.14.27	An asérabi 'ëmi catamëquin a 'ai bamanuxunbi 'ëmi catamëti bana quicësabi oquin 'acëma uni, ax ca 'ën uni 'itima 'icën. 
LUK.14.28	Ënëx ca ësa 'icën: Torre ënën ménma chaioruquin 'aisa tanquin ca 'anuxun pan unin upí oquin sinánquin añu ñucama cara a 'ati maruti 'icë quixun sinánan uiti curíquibëtan sënën cara a ñucaman cupí 'icë quixun sinánti 'icën. Cara aín curíqui a ñucama maruti sënë́nti 'icë quixun ca isti 'icën. 
LUK.14.29	Upí oquin sinánxunma 'aquin ca aín cimíntocama 'atancëxunbi anun aín cënë 'imainun aín mascuan 'aticama maruti 'aíma 'ain, aín torre ancëcasmati 'icën. Sënë́oianma isi ca an a iscë unicamax a uni ñuixun 'usani quiti 'icën: 
LUK.14.30	Torre 'aquinbi ca a unin ancëcasmaxun ëanxa.
LUK.14.31	Ësaquinribi ca Jesusan cacëxa:
LUK.14.31	—Ësaribi ca. Aín suntárucamaxa 'apu itsin suntárucamabë 'acananun xucëma pan 'ixun ca 'apun upí oquin sinánquin, —¿cara 'ën suntárucaman diez mil 'ixun, 'apu itsin suntárucama veinte mil 'icë, abë 'acananquin ñusmoti 'ic? —quixun sinánti 'icën. 
LUK.14.32	Usoquin pain sinánquinbi —ca 'atima 'icë —quixun sinántancëxun ca aín uni xuquin —cananuna 'acanantima 'ai —quixun, 'uracëo 'apu itsi a camiti 'icën. 
LUK.14.33	Usaquin ñuiquin cana ësaquin mitsu 'unánmin, an ax cuëëncësari 'iti ëinsama tanan aín ñucama cuëënquin ëinsama tancë uni ax ca 'ën uni 'itima 'icën.
LUK.14.34	Canan ca ësaquinribi Jesusan cacëxa:
LUK.14.34	—Ësa ca. Tashix ca asábi 'icën. Asábi 'aíshbia aín muca nëtëtia ca unin uisaxunbi amiribishi mucotëcëntima 'icën. 
LUK.14.35	Mucotëcëncëma 'aish ca a tashix mucañuma ñancáishi 'icën. Ñu 'apácë tanáin tabucunuxun ñun puicëñun mëscuti 'aíshbi ca a tashix mucañuma 'aish a puicëñun mëscucëxbi ñancáishi 'icën. Usa 'icë ca unin putia. An aín pabitan ënë bana cuacë unin ca aín nuitunënbi sinánquin cuati 'icën.
LUK.15.1	An 'apu buánmiti curíqui bicë unicama 'imainun 'uchañu uni, acamax ca Jesusan bana ñuia cuati anu cuancëxa. 
LUK.15.2	Usoquian aín bana camaxunbi cuaisa tania isi ca fariseo unicama 'imainun an Moisésnën cuënëo bana 'unáncë unicamax nishi canancëxa, ënë unin ca 'uchañu unicamabë timë́xun abëtan piia.
LUK.15.3	Usaria canania 'unánquin ca Jesusan bana itsi ñuicësoquin ësaquin cacëxa:
LUK.15.3	—Ënëx ca ësa 'icën. 
LUK.15.4	¿Uinu 'icë micama achúshinën cara cien carneroñu 'aínbia achúshi nëtëtia baritima 'ic? Raíri noventa y nueve an anu uni 'icëma menuxun pasto piia ëbianxun ca axa nëtë́cë a mëranuxun bariti 'icën, ¿usa cat? 
LUK.15.5	Bariquin mëraxun bitsi cuëënquin ca a 'iábëtsinti 'icën. 
LUK.15.6	'Iábëtsini xubunu bëbaquin ca an nuibacë unicama 'imainun axa a rapasu 'icë unicama timëtancëxun cati 'icën: 'Ën carnero nëtë́cë cana mëran. Usa 'ain cananuna cuëënti 'ain. 
LUK.15.7	Asérabi cana 'ën mitsu cain, achúshi uníxa sinanati ami sináncëbë ca Nucën Papa Dios 'imainun aín ángelcamaxribi cuëënia. Usa 'aish ca noventa y nueve uni an —'ëxbi cana asábi 'ai —quixun sináncë acama isía cuëëncësamaira oi achúshinëxa 'aisama 'aíshbi sinanati ami catamëtia isi Nucën Papa Dios cuëënia.
LUK.15.8	Ësaribi ca. ¿Xanu achúshinën cara mëcën rabë́ curíquiñu 'ixunbi, achúshi, nëtë́mixun lamparín bimixun, mëranuxun munu upí oquin baritima 'ic? 
LUK.15.9	Barixun mëraquin ca axa abë nuibanancë xanucama 'imainun axa a rapasu 'icë xanucama timëtancëxun cati 'icën, —'ën curíqui nëtë́cë cana mëran. Usa 'ain cananuna cuëënti 'ain. 
LUK.15.10	'Ën cana mitsu cain, usaribiti ca achúshi uníxa 'aisama 'aíshbi sinanati Nucën Papa Diosmi sináncëbë aín ángelcamax cuëënia.
LUK.15.11	Ësaquinribi ca Jesusan cacëxa:
LUK.15.11	—Ënëx ca ësaribi 'icën. —Achúshi unix ca rabë́ bëchicëñu 'iaxa. 
LUK.15.12	Aín bëchicë 'anácanën ca aín papa caxa: Papan, min bamaquin casunancëxa 'ënan 'iti ñucëñun camina 'ënan 'iti curíqui a 'ë 'inánti 'ain. Cacëxun ca aín papan atunan 'iti ñu aín bëchicë rabë́ 'inánxa. 
LUK.15.13	'Ináncëx ca 'itsamashi nëtë 'icëbë aín 'anácanëx aín ñucamacëñun aín curíqui mëníobiani 'ura 'icë menu 'i cuanxa. Cuanxun ca upí oquin sinanima aín cuëëncësari 'ianan anun bëtsi bëtsi ñu 'aisama 'aquin, camaishi aín curíqui cëñuaxa. 
LUK.15.14	Usoquin cëñutancëx ca, a nëtënu 'icë unicamax a piti ñuñuma 'aish panancëbë, a bëná uníxribi panancëxa. 
LUK.15.15	Usa 'aish ca a nëtënu 'icë cuchiñu uni a ñu mëëxunuxun ñucati cuanxa. Cuanxuan ñucácëxun ca aín cuchia pastonuxun bërúanun quixun caxa. 
LUK.15.16	Cacëxun ñu mëëxunibi pananquian cuchin piti abi piisa taniabi ca uinu 'icë unínbi piti 'ináncëma 'icën. 
LUK.15.17	Piti, chupa, ñuñuma 'aish sináncasmatancëx sinanaquin ca sinánxa: 'Itsaira ca 'ën papan ñu mëëmicë uni 'icën. 'Itsa 'ixunbi ca a piti ñua 'itsaira 'icë atun pucháquin piia. Piti 'itsanuxuan atun pucháquin pimainun cana 'ëx ënuax 'acëñuma bamain. 
LUK.15.18	Usa 'ain cana 'ën papanu cuanti 'ain. Cuanx bëbaquin cana ësaquin cati 'ain: Papan, cana Nucën Papa Diosmi 'uchanan mimiribi 'uchan. 
LUK.15.19	Usa 'ain camina 'ëx cana min bëchicë 'ai quiax quitima 'ain. An mi ñu mëëxuncë unisa camina 'ë 'imiti 'ain.
LUK.15.20	Usaquin sinántancëx ca aín papanu cuanxa. Cuania ca 'uránxunbi aín papan mëraxa. Mërai nuibati cuëëni abáquiani cuanxun ca 'icúquin biquin bëtsucucaxa. 
LUK.15.21	Usaquian bicëxun ca aín papa caxa: Papan, cana Nucën Papa Diosmi 'uchanan mimiribi 'uchan. Usa 'ain camina 'ëx cana min bëchicë 'ai quiax quitima 'ain. 
LUK.15.22	Cacëxun ca aín ñu mëëmicë unicama a aín papan caxa: Chupa upíira bëxun pañumianan camina mëñusuti mëñumiti 'ain, 'anan camina taxaca tañumiti 'ain. 
LUK.15.23	'Anan camina vaca bacë rëracacë bëxun rëti 'ain. A pi cananuna cuëënti 'ain. 
LUK.15.24	—Ca bamaxa —quixun 'ën sináncëbëbi ca 'ën bëchicë ënëx 'ëmi bëbaxa. Usa 'aish ca nëtë́a 'aíshbi bërí nubë 'icën. Ësai quicëbëtan ca 'atancëxun cuëënquin picanxa.
LUK.15.25	Usaía 'imainun ca aín bëchicë apanën naënuxun ñu mëëaxa. Ñu mëëbaiti xubu rarobëtsini uquinbi ca pacon bana ocëbëa sharati cuëënia cuaxa. 
LUK.15.26	Cuaquin ca cuënxun an aín papa ñu mëëxuncë uni achúshi ñucáxa: ¿Uisacasquin cara usaquin 'ain? —quixun 
LUK.15.27	Cacëxun ca caxa: Min xucë́n ca uaxa, 'insíncëma asábi 'aish. Usa 'ain ca min papan cuëënquin vaca bacë rëracacë rëmiaxa. 
LUK.15.28	Usaquian cacëxun cuati nishi 'atimaquin sinani ca xubunu atsíntisama tanxa. Usai 'icëbë uquin ca aín papan cuënquin atsínun quixun caxa. 
LUK.15.29	Cacëxunbi ca aín papa caxa: 'Itsa baritian cana mi ñu 'axuan, min bana cana uisaquinbi parë́cëma 'ain. Usa 'icëbi camina 'ëx abë nuibanancë unicamabëtan cuëënquin pinun achúshi chivo bacëratsubi 'ë 'ináncëma 'ain. 
LUK.15.30	Usa 'ixunbi camina an min curíquicama xanu 'aisamabë 'iquin cëñucë min bëchicë ënë́xa uan vaca bacë rëracacë rëmian. 
LUK.15.31	Usaquin cacëxun ca aín bëchicë apan aín papan caxa: Mix camina camabi nëtën 'ëbë 'ain. Usa 'ain ca 'ën ñucama ënëx camáxbi minan 'icën. 
LUK.15.32	Min xucën —ca bamaxa —quixun 'ën sináncëbëbi ca 'ëmi bëbaxa. Usa 'aish ca nëtë́a 'aíshbi bërí nubë 'icën. Usa 'aían cuëënquin picánti ca asábi 'icën.
LUK.16.1	Jesusan ca aín 'unánmicë unicama ësaquinribi cacëxa:
LUK.16.1	—Ësa ca. Ñuñu uni achúshinën ca aín uni achúshi aín ñua upí oquin bërúanun quixun caxa. Canbi ca uni itsin ami manánquin, an a uni ñu mëëmicë uni caxa: Min unin ca min ñu bërúanquinma nëtë́mia quixun. 
LUK.16.2	Cacëxun cuatancëxuan unun quixun camicëxa ucë ca an a ñu mëëmicë unin aín uni caxa: Mimi ca uni manania. ¿Uisa cupí cara usa 'ic? Cana mi chiquínti 'ain. Cuanuxun camina anumi 'ën mi bërúanxunun cacë 'ën ñucama cuënëocë quiricacama 'ë bëxúnti 'ain. 
LUK.16.3	Cacëxun ca an ñu mëëxuncë unin sinánxa: ¿'Ë chiquíncëxun carana añu 'ati 'ain? 'Ëx cushiirama 'ixun cana me naëquin ñu mëëtima 'ain, 'ëa ñu 'inánun uni catimi cana rabínti 'ain. ¿Añu carana 'ati 'ain? 
LUK.16.4	Ënuax chiquítancëxun carana unían aín xubunu 'inun 'ë binun añu 'ati 'ai quixun cana sinanin. 
LUK.16.5	Sinántancëxun camicëxa aia ca a unin an a ñu mëëmicë uni ribíncë unicama achúshi achúshi ñucáquin ax paían ucë uni caxa: ¿Uiti caramina an 'ë ñu mëëmicë uni ribinin? 
LUK.16.6	Ñucácëxuan —cien bidones xënin cupí cana ribinin —quixun cacëxun ca caxa: Bënëtishi tsóbuquin ca anu minmi ribíncë ñucama cuënëocë quirica ënë nianan min ribin ënë́xa 'itsamashi 'itánun bëtsi quiricanu cincuentashi cuënëot. 
LUK.16.7	Catancëxun ca aia bëtsiribi ñucáxa: ¿Uiti caramina min an 'ë ñu mëëmicë uni ribinin? Ñucácëxuan —cien burasa trigo aín cupí cana ribinin —quixun cacëxun ca caxa: Anu minmi ribíncë ñucama cuënëocë quirica ënë nianan ca min ribin ënë́xa 'itsamashi 'itánun bëtsi quiricanu ochentashi cuënëot. 
LUK.16.8	Usaquin ca an a ñu mëëxuncë unin 'axa quixun 'unánquin ca an a uni ñu mëëmicë unin sinánxa: An 'ë ñu mëëxuncë unin ca uisai cara curíquiñuma 'aíshbi 'iti 'icë quixun sinánxun ñu 'aquin 'ë paránti sinánxa quixun.
LUK.16.8	Ësaquin catancëxun ca Jesusan cacëxa:
LUK.16.8	—An ënë menushi upitax bucuti sináncë unin ca aín cuëëncësari 'iti upí oquin 'unania, Nucën Papa Diosmi sináncë unían 'acësamaira oquin. 
LUK.16.9	'Ën cana mitsu cain, mitsun curíqui anun camina uni itsi 'aquinsa 'icë 'aquinti 'ain. 'Aquincëx mitsubë nuibanancë 'ianan 'ënan 'aish bamatancëxun ca mitsúxribimi 'ëbë 'inun, 'ën 'iti anuxun mitsu caínti 'icën.
LUK.16.10	'Itsama curíquiñu 'ixunbia nëtë́miquinma upí oquin sinánquin, anun upí ñu 'acë uni an ca 'itsa curíquiñu 'ixun usabi oquin upí oquin sinánquin nëtë́miquinma anun upí ñu 'ati 'icën. 'Imainun ca 'itsama curíquiñu 'ixunbia nëtë́mianan upí oquin sinánquinma anun 'aisama ñu 'acë uni, an 'itsa curíquiñu 'ixun usabi oquin nëtë́mianan anun 'aisama ñu 'ati 'icën. 
LUK.16.11	Usaribi oquin ca mitsun curíqui anun upí oquin sinánquin ñu 'aquinma nëtë́miananmi, mitsux cuëëncësa oquinshi ñu 'acë 'icë Nucën Papa Diosan aín unicama 'unánmicësa oquin 'unánmima 'ianan aín unicama 'amicësa oquin ñu mëëmitima 'icën. 
LUK.16.12	An mitsu cacësabi oquin 'aquinmami, aín ñu 'imainun aín curíqui nëtë́mianan upí oquin bërúanxuncëma 'icë ca uínbi minan 'inun ñu 'imainun curíqui mitsu 'inántima 'icën.
LUK.16.13	Ënëx ca ësa 'icën: Achúshi unin ca rabë́ uni ñu mëëxuntima 'icën. Rabë́ uni ñu mëëxuncë 'ixun ca bëtsishi nuibaquin upí oquin ñu 'axuanan bëtsi nuibatima 'icën, ca achúshinën bana cuaquin bëtsían cacëxun aín bana parë́ti 'icën. Usaribiti ca uni curíqui 'imainun bëtsi bëtsi ñumishi sináncë 'aish Nucën Papa Diosmi upiti sinanima.
LUK.16.14	Usaía quia cuaquin ca fariseo unicaman atux 'itsa curíquiñu 'iti cuëëncë 'ixun, aín bana cuaisama tani a ñui 'atimati banaquin Jesús 'usáncëxa. 
LUK.16.15	'Usáncëxun 'unánquin ca Jesusan cacëxa:
LUK.16.15	—Mitsux isamina upí 'ai quixuan unin isnun quixun camina mitsux cuëëncë ñuishi 'ain. Usa 'aínbi ca Nucën Papa Diosan mitsun nuitu mëúmi sináncë a 'unania. Ax isa upí 'icë quixuan unin sináncë uni a ca Nucën Papa Diosan aín nuitu 'unánquin upíma isia.
LUK.16.16	Ësaquinribi ca Jesusan cacëxa:
LUK.16.16	—Juan ucëma pan 'ain ca Moisés 'imainun an Nucën Papa Dios quicë bana uni ñuixuncë unicaman 'ë ñuiquin unicama ñuixuancëxa. A unicama caxu uquin ca Juanën 'ë ñuiquin, axa utia judíos unicaman caíncë, ax ca uaxa quiquin unicama ñuixuanxa. Usa 'ain ca 'ënribi, 'ëmi catamëcë unicama ca Nucën Papa Diosnan 'iti 'icë quixun ñuixunia cuanan 'ën ñu 'aia isi 'aisamaira unix Nucën Papa Diosnan 'iti sinania.
LUK.16.17	Naí 'imainun mecama cëñúcëbëbi ca Nucën Papa Diosan bana aín unicaman cuënëo, axëshi —usai ca 'iti 'icë —quiá 'ain, usabi 'iti 'icën.
LUK.16.18	An aín xanu ënxun xanu itsi bicë uni ax ca 'uchaia, aín xanuma 'aínbi xanu itsibë 'ia 'icësaribiti. 'Imainun ca an uni itsin ëncë xanu bicë uni axribi 'uchaia, uni itsin xanubëa 'icësa 'aish.
LUK.16.19	Jesusan ca ësaquinribi cacëxa:
LUK.16.19	—Ënëx ca ësa 'icën. Achúshi uni ñuñuira 'aish chupa upíira upí minanën pucucësa 'imainun xapu 'acësa pañucë 'ianan 'aisamaira piti upíira upíñu 'ixun camabi nëtën upí oquin pucháquin picë 'iacëxa. 
LUK.16.20	A unin xubu xëcuë tanáin ca ñuñuma uni, Lázaro, aín naminua 'itsaira cuñu, ax anu racácë 'iacëxa. 
LUK.16.21	Xubu tanáin racáxun ca mesa tëmúxun ñuñu unían piti tëxëocë rëupatia uni itsían a 'inánun quixun caíancëxa. Cainia ca 'uchíticama uxun aín cucama biáxcacëxa. 
LUK.16.22	A ñuñuma uníxa bamaia ca ángelcaman anu Abraham 'icë anu buáncëxa, buáncëx ca Abrahambë 'iacëxa. Usa 'ain ca ñuñu uni axribi bamacëxa, bamacë ca maíncancëxa. 
LUK.16.23	Usa 'ixun ca a ñuñu unin anua uni 'aisamaira paë tani tëmërati anu 'ixun 'uracëo Abrahamcëñun Lázaro isacëxa. 
LUK.16.24	Isi cuëncë́nquin ca cacëxa: 'Ë ca 'aquin, Abraham. 'Ëx cana ënë tsinuax 'aisamaira paë tanin. Aín mëcën rëbu 'unpaxan chabóxuan 'ën ana matsioi unun ca Lázaro xut. 
LUK.16.25	Cacëxun ca Abrahamnën ñuñu 'iá uni cacëxa: Mix bamacëma pain 'aish camina Lázaronëxa ñuñuma 'ianan 'insíncë 'aish nuibacamainun mix 'itsa ñuñu 'ianan 'insíncëma 'aish upitax tsoócën. Usai 'iá 'aíshbi ca bërí mixmi 'aisamaira paë tani tëmëramainun Lázaro ax asábiira 'icën. 
LUK.16.26	'Imainun ca anu mix 'icë 'imainun anu nux 'icë nëbë́tsi nancë́cë nëmíinra 'icën. Usa 'ain ca unix ënuax anu cuainsa tanibi anu cuancasmati 'icën, 'imainun ca uni anuax ënu uisa tanibi utima 'icën. 
LUK.16.27	Usaquin cacëxun ca ñuñu unin cacëxa: Axa ënu uisama 'ain camina Lázaro 'ën papan xubunu xuti 'ain. 
LUK.16.28	'Ëx cana mëcën achúshi xucë́nñu 'ain. Atúxribi ënu paë tani tëmërai uaxma 'inuan, uisa cara ënu 'icë quixun atu canun camina Lázaro xuti 'ain. 
LUK.16.29	Cacëxun ca Abrahamnën cacëxa: Atux ca Moisés 'imainun an Nucën Papa Dios quicë bana uni ñuixuncë unicaman cuënëo bana anu 'icë quiricañu 'icën. A isquin ca 'unánti 'icën. 
LUK.16.30	Cacëxun ca ñuñu 'iá unin cacëxa: A bana cuatímabi ca unían anu uni bamacë 'icënuax cuanxun cacëxun cuati sinanati 'icën. 
LUK.16.31	Quiabi ca Abrahamnën cacëxa: Moisés 'imainun an Nucën Papa Dios quicë bana uni ñuixuncë unicaman cuënëo bana isquinbi cuaisama tancë 'ixun ca anu uni bamacë 'icënuax cuancë unin banaribi cuaisama tanti 'icën.
LUK.17.1	Jesusan ca aín 'unánmicë unicama cacëxa:
LUK.17.1	—Camabi nëtënu ca an uni itsi 'atima ñu 'anun quixun sinánmicë uni 'iti 'icën. Usa 'aínbi ca an sinánmiquin bëtsi uni 'atima ñu 'amicë, ax 'uchañuira 'aish 'aisamaira oquin castícancë 'iti 'icën. 
LUK.17.2	An 'ënan 'aíshbia 'ëmi cushiiracëma pain 'icën, a uni 'uchamicë uni ax ca 'uchañuira 'icën. A unix ca anun ñu rënti maxax ami tëtëcërëcatancëxuan parúnpapa nëbë́tsi nicë́xa nanë́cësamaira oi 'atimaira ocë 'iti 'icën. 
LUK.17.3	Usaquin uni 'uchamiti rabanan camina bërúancati 'ain.
LUK.17.3	Axa mix 'icësaribiti Nucën Papa Diosmi sináncë uníxa mimi 'uchaia camina —ësai camina 'ëmi 'ucha —quixun caquin sinanamiti 'ain. Usocëxa sinanatia camina mimia 'uchacë a abë mëníonanquin manumiti 'ain. 
LUK.17.4	Achúshi nëtën, mëcën achúshi 'imainun rabë́ oi, mimi 'uchatancëxbi minu cuanxuan —cana mimi 'uchatëcënima —quixun a unin cacëxun camina abë mëníonanquin a manumiti 'ain.
LUK.17.5	Aín 'unánmicë unicaman ca Nucën 'Ibu Jesús cacëxa:
LUK.17.5	—Nux Nucën Papa Diosmi catamëti 'icëbi camina asérabi, upitiira ami catamënun nu 'aquinti 'ain.
LUK.17.6	Cacëxun ca Jesusan cacëxa:
LUK.17.6	—Mostaza bëru ax ca chamaratsu 'icën. Asaribi 'aish 'itsamaratsushi Nucën Papa Diosmi sináncë 'ixun, ënë ñu cana 'atima 'ai quixun sináncëbëtanbi ca mitsúnmi a ñucácëxun mitsu 'axunti 'icën. Mitsux ami 'itsamashi catamëcë 'ixunbimi ënë i, ënuax ca ëchiquit, parunpapanu ca tacut, cacëx ca usai 'iti 'icën.
LUK.17.7	Jesusan ca ësaquinribi aín 'unánmicë unicama cacëxa:
LUK.17.7	—Ësa ca. Uinu 'icë unin cara an a ñu mëëxuncë uni naënuxun ñu mëëanan 'aracacë ñuina bërúanbaiti xubunu aia, nëri uax ca mesanu pi tsót, quixun caimá. 
LUK.17.8	Usaquin caquinma ca ësaquin caia: 'Ën piti 'aruanan a xëati ñuribi mëníotancëxun ca pinun 'ë bëxun. 'Ën pain pian camina minribi pianan xëati 'ain. Usaquin ca caia. 
LUK.17.9	An mi ñu mëëxuncë unían min cacësabi oquin 'aiabimi 'aisamaira oquin —asábi ca —quixun catima ca asábi 'icën. 
LUK.17.10	Usaribi oquin Nucën Papa Diosan a 'anun mitsu cacë ñu 'atancëx camina mitsux raíribë ësai cananti 'ain: “Cananuna an nu 'amicëxun 'ati ñucamaishi 'an. Usa 'aían Nucën Papa Diosan 'aisamaira oquin nu rabitima ca asábi 'icën”.
LUK.17.11	Jerusalénu cuani ca Samaria me 'imainun Galilea meribi nëtábiani Jesús cuancëxa. 
LUK.17.12	Cuanx achúshi ëmanu bëbaia ca axa an aín nami chëquímicë 'insínñu uni mëcën rabë́, an Jesús aia bëñai cuaníbi 'ura sëtëracëacëxa. 
LUK.17.13	Usai sëtëracëquin ca munuma banaquin cacëxa:
LUK.17.13	—Jesús, nu ca 'aquin.
LUK.17.14	Cacëxun isquin ca Jesusan cacëxa:
LUK.17.14	—Ca cuantan. Cuanxun ca judíos sacerdote usaími 'icë ismianan mitsun nami ismitan.
LUK.17.14	Usoquin cacëx cuaníbi ca atun nami chëquicëcama pëxcúacëxa. 
LUK.17.15	Usaquian pëxcucë isi cuëënquin ca acama achúshinën Jesúsnu cuantëcënquin Nucën Papa Dios munuma banaquin rabiacëxa. 
LUK.17.16	Rabiquin ca a tanáin rantin puruni tsóbuti bëúnpucuquin —ca asábi 'icë —quixun Jesús cacëxa. An usoquin cacë uni ax ca Samarianu 'icë uni 'iacëxa. 
LUK.17.17	Usaquin isi ca Jesús quiacëxa:
LUK.17.17	—Mëcën rabë́ unicama cana pëxcüan. ¿Acama achúshinëxëshia —asábi ca —quixun 'ë cai uánbi cara uinu raíri 'ic? 
LUK.17.18	¿Judíos unima, Samaritano, ënë́xëshi cara Nucën Papa Dios rabiquin —ca asábi 'icë —quixun 'ë cai uax?
LUK.17.19	Usai quitancëxun ca Jesusan Samarianu 'icë uni cacëxa:
LUK.17.19	—'Ën mi pëxcuti sinani 'ëmi catamëti camina pëxcúan. Niruquiani ca cuantan.
LUK.17.20	—¿Uínsarainra cara anúan Nucën Papa Dios aín unicaman 'apu 'iti nëtë 'iti 'ic? —quixun fariseo unicaman ñucácëxun ca ësoquin Jesusan cacëxa:
LUK.17.20	—Nucën Papa Diosan, uni ainan 'imia ca unin aín bërúnbi istima 'icën. 
LUK.17.21	Usa 'ain ca uni quitima 'icën, —ca is, ënu ca Nucën Papa Dios 'icën, unu ca —quiax. Nucën Papa Dios, ax aín 'Apu 'aish ca axa 'ëmi catamëcë unicamabë 'icën.
LUK.17.22	Usoquin atu catancëxun ca Jesusan aín 'unánmicë unicamaribishi cacëxa:
LUK.17.22	—Uni 'inux uá 'aish 'ëx Nucën Papa Diosnu cuantancëx utëcëncëma pan 'ain, camina 'ëx anun mitsubë 'itëcënti nëtë istisa tanti 'ain. A nëtëcama achúshinën 'ë istisaira tanquinbi camina mitsun 'ë istima pan 'ain. 
LUK.17.23	Unin ca 'ë ñuiquin mitsu cati 'icën, —ca unu 'icë —canan —ca ënu 'icë —quixun. Cacëxbi camina isí abë cuantima 'ain. 
LUK.17.24	Mëríquin ca canacan camabi naicamë'ëo pëcaia. Usaribi ca uni 'inux Nucën Papa Diosnuax uá 'aish, 'ëx utëcënti 'iti 'icën. 
LUK.17.25	'Ën Papanu cuancëma pan 'ixun cana unían bëtsi bëtsi ocëxun paë tanti 'ain. 'Imainun ca ënë nëtënua bucucë unicaman 'ë timaquin 'ën bana cuaisama tanti 'icën. 
LUK.17.26	Bëráma Noé 'iá nëtë usaribiti ca uni 'inux Nucën Papa Diosnuax uá 'aish, 'ëx utëcënti nëtën 'iti 'icën. 
LUK.17.27	Anúan aín nuntinu 'iruti nëtë utámainun Noénën anun ië́ti nunti cha 'amainun ca unicaman pianan xëanan xanu bianan aín bëchicë bënumianan an 'acësabi oquin cuëënquin ñu 'acëxa. Usaquian 'amainun anúan Noé aín nuntinu 'iruti nëtë sënë́ncëbë ca 'aisamaira 'uí 'ibúcëbë, baca 'aisamaira 'ëi nuntaruquin ñucamacëñunbi unicama cëñuacëxa. 
LUK.17.28	Noé 'aían 'iá usaribiti ca anun Lot 'iá nëtë 'iacëxa. Anu Lot 'icë ëma, Sodoma cacë, anu 'icë unicaman ca pianan xëanan ñu maruanan, atun naënuxun ñu 'apánan xubucama 'acëxa. 
LUK.17.29	Usaquian 'amainun ca anúan Lot anuax cuanti nëtë 'icëbëtan, Nucën Papa Diosan tsi 'imainun azufre rëquirucë 'ibúmiquin acama cëñuacëxa. 
LUK.17.30	Lot 'aían 'iá usaribiti ca uni 'inux Nucën Papa Diosnuax uá 'aish, 'ëx anun utëcënti nëtë, anúan camabi unin 'ë isti, ax 'iti 'icën.
LUK.17.31	A nëtë 'icëbë ca axa aín xubu ëman tsócë unicamax aín ñucama aín xubunu 'aínbi a bitsi cuantëcëntima 'icën. Aín naënuxuan ñu mëëcë unicamaxribi ca aín xubunu cuantëcëntima 'icën. 
