MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
LUK.22.38	Tapkualu ukaktun, “Atanek, taku, havikpagliuyugut malgunik.” Ukallautiyait, 'Naamayuk tapkuak'.
LUK.22.39	Talva anigami aavungaktuk taimaligami manilgulmun Olivesmik taiyauyumun, maligutaitalu maliktaat. 
LUK.22.40	Tikinami ukallautiyain, “Kengagitti uktuktaukunahi.” 
LUK.22.41	Tapkunangali aavungaktuk kanitumun millutim tulviatun-itumun hitkukhuni kengaktuk, 
LUK.22.42	“Angutiga piyumaguvin una kallun piekli uvamnin, uvangali ihumamniungitumik ihumangnik kihimi.” 
LUK.22.43	Talva ihalgulik hagyaektuk kilangmin tapfumunga hakugiktitugu. 
LUK.22.44	Aahin Jesus piekkaiyakhuni kengakluaktuk aumaalekhunilu auktun-itumik kuvivluni nunamun.
LUK.22.45	Kengaguegami makittuk upakhugit maligutini tautuktain hiniktillugit unagukpallaagamik kuvianaitumik. 
LUK.22.46	Ukallautiyain, “Hug hinilekkihi? Makittitti kengakpagluhilu uktuktaunakhavuhi.”
LUK.22.47	Taima Jesus ukaktillugu inuit amihut tikittun 12n ilangata atikaktuk Judasmik hivulliugmatik. Tapfuma upagahualektaa Jesus kunikuvlugu, 
LUK.22.48	Jesusimli ukallautiyagaluanga “Judas, naunaekkiuk Inum engninga kunikhugu?” 
LUK.22.49	Jesusim maligutait takugamik inuit piniaktainik, ukallaktun, “Atanek anguyaktukhauvita havikpakun?” 
LUK.22.50	Tapkualu ilangata angayyuvikpagyuakut ataningata kivganga hugiyukamiuk hiutaektaa talikpianik. 
LUK.22.51	Jesus ukaktugaluak, “Taimak”, talva aktugamiuk kivgam hiutaa naguhipkaktaa.
LUK.22.52	Aahin Jesus ukallaktuk angayyuvikpagyuakut ataningingnun, inuin atanekpainunlu, anguyaktilingnunlu kaityyutigimayyuk, “Kenigiaktukpihinga natkagluhi havikpainik, aiyaupianiglu inuaktutun-inahugigapfinga? 
LUK.22.53	Uvluk taman angayyuvikpagyuamiitpaktunga akunipfingni tigungitpiaktagaluapfinga. Tayyali pivikhaki tikittunektuk, taagnium hakugignigalu mihinaktuk.”
LUK.22.54	Talva tigugamitku agitiyaat angayyuvikpagyuakut ataningata igluanun. Peterm kanitpallaangitumik maliktagaluanga. 
LUK.22.55	Aahin inuit avalutim iluata kitkani ingnegvik ikitaat, ingivlutik, Peterlu tapkunani ikhivainaktuk. 
LUK.22.56	Angnaguheglu tapfuminga takugami ukallaktuk, ingnegvium hanianitillugu Peter, iigivlugu, “Tamnatauk inuk tapfumunga ilauvaktuk”. 
LUK.22.57	Imanakpaktugaluak ukakhuni, “Angak ilihimangnginapku”. 
LUK.22.58	Uatiagungumanlu angutim tautukamiuk ukallaktuk, “Ilvillu ilauvaktutin tapkununga”, Peter kiuyugaluak, “Inuk ilagingitpiaktatka tapkua.” 
LUK.22.59	Aahintauk ikangnek atauhek nunguman allatauk ukainaktuk, “Ilaa uma ilagivagaa tamna Galileemiutaugami.” 
LUK.22.60	Peterli ukallaktuk, “Angut ukaktan naluyaga uvanga.” Tayyainaglu taima ukaktillugu tingmiak nipyaktuk. 
LUK.22.61	Atangum kiviakhuni iigiyaa Peter. Petermlu Atangum ukauhia itkaktaa ukautimani, “Uvlumi tingmiak nipyaktinagu ikutiginiaktanga pingahunik.” 
LUK.22.62	Talva anigakuk kiavluni akhun.
LUK.22.63	Angutillu tigugamitku Jesus mitautigiyaat kektukhugu, 
LUK.22.64	akuliangalu ulikamitku apekhuktaat, “Ukagiagin takki kia tiglukpatin?” 
LUK.22.65	Aahintauk amigaitumik ukautigiyaat ukanilutigivlugu.
LUK.22.66	Talva kaulgagman, inuit ataningit, angayyuvikpagyuakut ataningillu tiitigaktillu katimavaktun katimavimingnungaktitugu ukautivlugu, 
LUK.22.67	“Christiuguvin ukautitigut.” Ukallautiyagaluangit, “Ukautigupfili ukpegunaitkaluaktuhi 
LUK.22.68	apegigupfilu kiuyunaituhi. 
LUK.22.69	Talvagaaninli Inum engniga inginiaktuk Godim hakugigningata talikpiani.” 
LUK.22.70	Tamangmik ukallaktun, “Talva Godim engnigipatin?” Tapfuma ukallautiyain, “Taima ukakkuhi.” 
LUK.22.71	Tamangmiglu ukaktun, “Ilihimayimin allamin tuhaayunaitugut, kanianin uma tuhaagaptigu.”
LUK.23.1	Talva inuit tamangmik katimavlutik makittun agitivlugu Jesus Pilatemun. 
LUK.23.2	Aahin ihuiginahualektaat ukakhutik, “Katkaktakkut una inuk pitkuivangman nunakatiptingnik ihuitumik tunihitailivluta maninik Caesarmun ukautigivlugulu inmi Christiugamiguk ataniuyuk.” 
LUK.23.3	Pilatem apegiyaa, “Jewmiunun ataniuvin?” Kiuyaa, “Ukakkutin ilvit”. 
LUK.23.4	Talva Pilatem ukallaktuk angayyuvikpagyuakut ataningingnun inungnunlu, “Inuk una ihuigingitagaluaga”. 
LUK.23.5	Tapkuali akhukhutik ukainaktun, “Uma ihuektitain inuit ilihauyyivluni Judeami tamaini, Galileeminlu hamanilu.”
LUK.23.6	Pilatem tamna tuhaagamiuk apekhiyuk Jesus Galileemiutaumangan. 
LUK.23.7	Tuhaagamilu naiyukpangman Herodim nunaani Herodmungaktitaa, Herod akuihimangman Jerusalemi tapfumani. 
LUK.23.8	Herodim Jesus takugamiuk kuviahuktuk kangagaaluk takuyumainakpagamiuk tuhaavagami umuna inungnin, aahin kungniagumainaktuk naunaikutamik Jesusmin. 
LUK.23.9	Talva Herodim Jesus apekhukpiaktaa akhun, Jesusli kiungitugaluak. 
LUK.23.10	Aahin angayyuvikpagyuakut ataningillu tiitigaktillu nangekhutik ukautigiyaat Jesus akhun ihuigivlugu. 
LUK.23.11	Herodim anguyaktingitalu mitautigiyaat anangaiyaakhutik, aahin annugakhugu pinektumik atanekpaktun-itumik utektitaa Pilatemun. 
LUK.23.12	Tapfumani Herod Pilatelu tamangmik kahuyyutiyuk ingmingnun hivungani umihutigamik.
LUK.23.13	Talva Pilatem angayyuvikpagyuakut ataningit, atanekpaillu, inuillu kaitkuyain, 
LUK.23.14	ukautivlugit “Kagitivaktakhi una inuk uvamnun ihuektitpagmagit inuit, uvangali apekhukpiagupku hapfingni, ilaa, ihuigingitpiaktagaluaga ihuigiyaugaluaktillugu ilipfingnin, 
LUK.23.15	Herodlu uvaptun pigami utektitaa uvaptingnun. Ilaa una tukutauyakhaminik piyuituk. 
LUK.23.16	Talva ungulakaalugu aullakuniagiga.” 
LUK.23.17	Aullakuiyukhauyuk inugmik atauhengmik Kangiutivik tikinman. 
LUK.23.18	Tamangmigli tukhulayun atautikun, “Una piguk tunitigut Barabbasmik”– 
LUK.23.19	tamna inuk itektauvingmiitpaktugaluak iglukagvingmi ihuektitpagamigit inuit, inuakpagamilu. 
LUK.23.20	Pilatem ukagvigimiyainlu aahin aullakuyumagamiuk Jesus, 
LUK.23.21	inuilli tukhulaukhutik ukaktun, “Kikiaktuguk, kikiaktuguk.” 
LUK.23.22	Pingahuangniglu ukallautiyain, “Hug kanugmik ihuitumik pivakka? Uma tukuttakhaanik naluyunga. Ilaa ungulakaalugu aullakuniagiga.” 
LUK.23.23	Tapkuali akhukpiakhutk nipikuktuyumik atanguhekpiaktun kikiaktuktaukuvlugu. Nipingillu takhiyun. 
LUK.23.24	Talva Pilate pitkuiyuk inuit piyumayangat taimaliukuvlugu. 
LUK.23.25	Anipkaktaa tamna inuk itektauvingmiitpaktuk ihuektihivangman, inuakpangmanlu inuit piyumamayyuk, Jesusli tuniyagaluangat tapkununga pikuvlugu ihumamingnik.
LUK.23.26	Talva agitilektillugu, inungmik akuilektumik aahinin pigamitku nangmaktitaat haniagutaanik, nangmakuvlugu Jesusim tunuani malikhugu, tamna atikaktuk Simonmik Cyrenemiutauyuk.
LUK.23.27	Talva inuit amigaitpiaktun angnallu maliktun mamiatakpiakhutik kiavlugulu. 
LUK.23.28	Jesusli kiviakhuni angnangnun ukallaktuk, “Jerusalemiun paningit, pivlunga kiatailuhi ilipfi, pivluhi nutakahilu pivlugit kihimi. 
LUK.23.29	Ilaa ilaani imaatun ukaktauniaktuk, 'Kuviahuktun angnat nutagaitun, hingayuitullu amaamagviungitullu.' 
LUK.23.30	Tapkualu tukhiagahualektun imnagnun ukaglutik, 'Iyukagvigiluta', manilgulmun, 'Uliktigut'. 
LUK.23.31	Uvlumi uminga inuit pivat kanugmik piniakkat panekpata?”
LUK.23.32	Angutiglu ihuitumik pivagamik agitiyauyuk tukutaukataukuvlugik tapfumani. 
LUK.23.33	Tikinamik nunamun, Umannagmik taiyauyumun, kikiaktuktain kukiyuktuglu, aipa talikpiata tungani, aipalu haumiata tungani. 
LUK.23.34	Jesuslu ukallaktuk, “Angutiga hapkua ihumagiyunaekit huliyatik nalumagit.” Tapkuali piyutigikuvlugit annugait imagiyain. 
LUK.23.35	Inuillu nangektun kungniakhutik, atanekpailli mitautigiyaat ukakhutik, “Allat annautivaktain, inminik annautili, Christiugumi Godmin, pilluaktaugumilu.” 
LUK.23.36	Anguyaktillu mitautigiyaat upakhugu waintuktitumavlugu mamaitumik, 
LUK.23.37	ukaktun, “Ataniuguvin Jewmiunun ilingnik annautigiut.” 
LUK.23.38	Kulaanilu tiitekhak tiitigakhimayuk, “Una Jewmiun ataningat”.
LUK.23.39	Kukiyuktuk aipa kikiaktuktaulegami kaniktaa ukakhuni, “Christiungilatin? Ilingnik annautiguit uvaguklu.” 
LUK.23.40	Aipata ihuakhakhugu tamna ukallakhuni, “Ilvit God ekhigingitpiuk ikumatun tukutaugaluaktillutin? 
LUK.23.41	Uvagukli ihuipiaktumik pivagamnuk, tamnali ihuitumik pingitpiaktugaluak.” 
LUK.23.42	Ukallangmiyuk, “Jesus, itkaginga atanguvingnun tikitkuvin.” 
LUK.23.43	Jesusim ukallautiyaa, “Ilumun ukautiyagin uvlumi uvamni-itniaktutin Paradisemi.”
LUK.23.44	Talva uvluk kitkaniitillugu talvangaanin 3mungaktinagu nuna taakhivaktuk 
LUK.23.45	hikenek kaumalimainman, angayyuvikpagyuamlu talukuyaa aliktuk kitimigun. 
LUK.23.46	Jesuslu nipikuktuyumik ukallaktuk, “Angutiga, aitutigiyaga napatiga ilingnun” Taima ukaguegami anengnigektuk. 
LUK.23.47	Anguyaktiliglu tamainik tautugami kuyagiyaa God ukakhuni, “Ilaa una inuk naguyunaktuk.” 
LUK.23.48	Inuillu amigaitun akuivaktun kungniagumavlutik, tapkuninga tautukamik angilgaktun hakiatik patekhugit. 
LUK.23.49	Jesusim ilanagiyain angnallu maliktagaluangat Galileemin kanitumiitun kungniakhutik tapkuninga.
LUK.23.50	Talvalu Jewmiuni Arimatheamiutak atikaktuk Josephmik ituk. Jewmiun katimavianun ilauyuk, nagutpiaktugaluak ilumukhuni. 
LUK.23.51	Aahin tamna angegngituk allat tukutakhautigimayyuk Jesus, negiukpaktuglu Godim atanguvianun. 
LUK.23.52	Tapfuma Pilate upaktaa tukhiagvigivlugu Jesusim timaanun. 
LUK.23.53	Talva atkaktinamiuk nimektaa kalikumik ilivlugulu iluvengmun havakhimayumun kaektumi-itumun. Aahin tamna atukhimaitpiaktuk. 
LUK.23.54	Upalungayagvium uvlua tikituk talva, Sabbathlu ituk.
LUK.23.55	Angallu malikpagaat Jesus Galileemin, kaivlutik iluvganik timaalu iliyaumangan tautuktun 
LUK.23.56	utiuvlutiglu tipigiktumik nanuniglu havagahuaktun. Sabbathlu tikinman unanguekhektun pitkuyak malikhugu.
LUK.24.1	Sundaymilu kalugaktillugu aavungaktun iluvgaanun tipigiktumik havakhimayumik natkakhutik. 
LUK.24.2	Aahin uyagak akhaluakhimayuk iluvium ukuanin tautuktaat, 
LUK.24.3	iluanunlu itegamik timaa katkangngitagaluangat. 
LUK.24.4	Aahin tapfuminga ihumalengmata naluvlutik, ilaa angutik annugakhimayuk kakuktanik kingnagnaktumiklu nangekatigiyain. 
LUK.24.5	Tapkualu ekhitakpiangmata ukuvlutik angutik tapkununga ukallaktuk, “Hug kenigiaktukkihi inuyumik tukungayuni? 
LUK.24.6	Itkaumaluhi ukautimahi Galileemiitillugu, 
LUK.24.7	Inum engniga tuniyauyukhauman huinekiyunun, kikiaktuktauluni uvlugli pingahuangni makiniaktugaluak.” 
LUK.24.8	Tapkualu ukauhiit itkaktain 
LUK.24.9	utiugamiglu iluvgaanin tamainik uniutiyain 11n allalu. 
LUK.24.10	Tapkua Mary Magdalamiutak, Joannalu, Marylu, Jamesim angnanga, angnallu allat uniuyyiyun Apostlenun. 
LUK.24.11	Tapkuali angnat unipkautain ukpegingitagaluangit.
LUK.24.12	Peterli nangekhuni iluvegmungaktuk. Talva ukuvluni kungniaktuk tautukhugit tukungayun annugain kihimi. Aahin aiyuk kuglukpiakhuni takuyaminik.
LUK.24.13	Tapfumanilu malguk angilgaktuk iglukagluangitumun Emmausmik taiyauyumun, tamna Jerusalemin 7mailguyuk. 
LUK.24.14	Pihuktillugik ukakatigiktuk tapkuninga pivaktumik. 
LUK.24.15	Aahin taimaliuktillugit ukakatigikhutik, Jesusim anguyaik pihukatauvluni. 
LUK.24.16	Tapkuakli tautukaluaktillugik ilitagiyuitpiaktaak. 
LUK.24.17	Jesusim ukallautiyaik, “Kanuk ukakatigilekkitik pihuktillutik?” Tapkualu nutkaktuk kuviahugaektutun-ilivlutik. 
LUK.24.18	Talva aipata, atikaktum Cleopasmik, kiuyaa, “Jerusalemun akuihimayunin tamainin ilviinak tuhaangitpin tapkuninga inuit pivaktainik ikpakhani?” 
LUK.24.19	Tapfuma ukallautiyaik, “Humik?” Ukallautiyaak, “Ilaa Jesus Nazarethmiutakun nalautaiyiuyugaluak hakugikpiakhuni havaamigun ukauhimigunlu, Godim inuillu takuangni. 
LUK.24.20	Ataniptalu angayyuvikpagyuakut ataningatalu tukutakhautigigamitku kikiaktukpagaat. 
LUK.24.21	Uvagulli tamna Israelmiunun annauyyiunahugivaktagaluakput. Ilaa, talva taimaliukaaktillugit uvlut pingahut nunguyun. 
LUK.24.22	Aahin angat ilavut aglingnaktumik uniuyyivaktun uvaptingnun. Kilamik uvlaami iluvgaanungaktun, 
LUK.24.23	timaali katkangngitagaluangat. Utiuvaktunlu uniutivluta tautukpagamigit ihalgulgit hagyaekhimayun, tapkua ukautigiyaat Jesus makitpangmanguk. 
LUK.24.24	Ilavullu iluvgaanungaugamik ayyikiitumik tautuktun Jesusli tautugngitagaluangat.”
LUK.24.25	Talva Jesusim ukallautiyaik, “Ilihimangngitutik ukpegluanginaptik nalautaiyit ukagiyautainik tamainik. 
LUK.24.26	Christ taimatun naglikhaktitauyukhaungilak innikhaminun tikituni?” 
LUK.24.27	Talva Jesusim Mosesim, nalautaiyillu Godim ukagiyautain inmigun kangekhipkaktain tapkununga.
LUK.24.28	Iglukagluangitumun tikitakhaanun tikilektillugit Jesus kangiutinangniakhimayutun-iliyuk, 
LUK.24.29	tapkuak pitailiyagaluangak ukakhutik, “Uvaptingniitin taakhilengman uvluk nungulengmanlu.” Talva itekatigiyaik. 
LUK.24.30	Jesuslu neginahualegami mukpauyak tiguyaa, kuyakhugami, avguktaa tapfuminga tunivlugik. 
LUK.24.31	Tapkuaglu iyigik uititaulektutun-ilivutik ilitagingnaktaak, tayyainagli tapkunanga tamakpiaktuk. 
LUK.24.32	Ingmingnunlu ukallaktuk, “Tapfuma ukautimatiguk apkunmi umativuk unakhivangngilak kangekhipkaktimatiguklu Godim ukauhianik?”
LUK.24.33	Tayyainak makinamik Jerusalemun utektuk, katkakhugit 11n maliktingillu takanani. 
LUK.24.34	Katimayun ukallaktun, “Atanek makittunektuk hagyaekhuni Simonmun” 
LUK.24.35	Talva tapkuak uniutiyain takuyamingnik tuhaayamingniglu apkunmi, aahin Jesus naunaekhimangman tapkununga mukpauyak avgugmagu.
LUK.24.36	Taima ukaktillugit, Jesus inmi hagyaektuk akunganun nangekhuni. 
LUK.24.37	Tapkuali kuglukpiakhutik ekhitaktun tamna anengniunahugivlugu. 
LUK.24.38	Jesusimlu ukallautiyain “Hug ihumalukkihi umatipfingni nalulegapfi? 
LUK.24.39	Algakka itigakkalu takulekhigit uvangaugama, aktuinaglungalunin uvaptun anengnek timikangngiman haunikangngitkivlunilu. 
LUK.24.40	Taima ukaktuk takupkaktitugit tapkua algaminik itigaminiglu. 
LUK.24.41	Tapkualu ukpeglimaitutun-ililengmata kuviatakpallakhutik tapfuma ukallautiyain, “Nekiliuyuhi?” 
LUK.24.42	Tuniyaat navluagmik uhimayumik, 
LUK.24.43	tigugamiuk tamna negiyaa takuangni.
LUK.24.44	Talva ukallautiyain, “Hapkua ukauhitka ukakhimayagaluatka ilipfingniitillunga, tamangmiglu tiitigakhimayun uvapkun Mosesim, nalautaiyillu, tiitigaini, psalmnilu ilumuktukhat.” 
LUK.24.45	Talva kangekhipkaktitain Godmin ukauhianik, 
LUK.24.46	ukautivlugit “Tiitigakhimavaktuk ilaa Christ naglikhaktitaukuvlugu uvluglu pingahuangni makititaukuvlugulu tukungayunin, 
LUK.24.47	nunakatigit tamangmik ilihauyyauyukhaumata ihumaliukikuvlugit ihumagiyauyunaekuvlugillu atkagun, Jerusalemiunilu hivullengmik. 
LUK.24.48	Ilipfilu ilihimayiuyuhi hapkuninga. 
LUK.24.49	Ilaa ilipfingnun tiliniagiga angutima ukagiyautaa, iglukagvingmiihimaluhi hakugiktitautinahi kingikiyauyumin.”
LUK.24.50	Talva Jesusim aullautiyait Bethanymun, ihakhuni naguguktitain. 
LUK.24.51	Taimalitillugu kimaktain. 
LUK.24.52	Tapkuali kuviatakpiakhutik utiuyun Jerusalemun 
LUK.24.53	naiyukhutik angayyuvikpagyuami kuyagivlugu God.
JHN.1.1	Hivullekpa Ukauhek ituk, Ukauheglu tamna Godmiituk, Ukauheglu Godiuyuk. 
JHN.1.2	Ukauhek Godmiitpaktuk hivullengmi. 
JHN.1.3	Tapfumunalu hullika tamangmik hanayauhimavaktun, tamangmik ilaa hanayauhimaikivlutik allakun. 
JHN.1.4	Tamangmiglu Ukauhengmin inunguktun tapfuma inuhiata inuit kaumaktitain. 
JHN.1.5	Kaumanek tamna kaumainaktuk taaktumun, taaktumli kamiektilimaitagaluanga tamna.
JHN.1.6	Inuglu tiliyauyuk Godmin atikaktuk Johnmik. 
JHN.1.7	Tamna tikitpaktuk ilihimayitun unipkautigikuvlugu kaumanek tapfumuna inuit ukpegluakuvlugit. 
JHN.1.8	Tiliyauyuk tamna kaumaniungituk kaivaktugaluak unipkautigikuvlugu kaumanek kihimi. 
JHN.1.9	Tamna kaumanek ilumuktuk, kaumaktitain inuit tamaita, nunamun tikilekpaktuk.
JHN.1.10	Tamna nunamiituk, tapfumunalu nuna hanayauhimavaktuk, nunaum inungita ilihimangngitagaluangat. 
JHN.1.11	Aahin tapfuma inukatini tikitpagain inukatimili piyumangngitagaluangat. 
JHN.1.12	Inuilli kialikalunin piyumakpayyuk atianun ukpeglualutik pipkakpagain kitungaulekuvlugit Godmun. 
JHN.1.13	Tapkua kitungaungitun inugamik angayukamingnin, nautauvlutiglunin inuktigun, Godim nutagagimatik kihimi. 
JHN.1.14	Ukauheglu inugukpaktuk timikakhunilu naiyuktaatigut, aahin tapfuma kaumangniga tautuktakkut Godim engniktuangata kaumangningatun-ilivluni, ilumektauvlunilu ikayuktikhamik ilumuktumiglu.
JHN.1.15	Johnim tamna unipkautigigamiuk tukhulayuk, “Tamnauyuk ukautigivaktaga ukakhimagama imaatun, 'Tamna kingunipkun tikilektuk uvamnin ataniukiyauyugaluak inuhimavagami inukaaktinanga.' ”
JHN.1.16	Tapfuma piyutainin uvagut ikayuktikhakkakpaktugut aituhiakhuta nutkakhimaitumik. 
JHN.1.17	Ilaa pitkuyait tuniyauhimavaktun Moseskun, ikayuktikhat, ilumunegli kaitauyugaluit Jesus Christikun. 
JHN.1.18	Inuit ilaa God tautuyuipiaktaat, tapfuma engniktuangata, Angumi hanianiitum, naunaekhimayagaluanga.
JHN.1.19	John ilaa apekhuktaugami tiliyauyunin angayyuvikpagyuakunin, Leviteninlu Jerusalemiitunin, ukangmata “Kinauvin?” 
JHN.1.20	Naunaitumik kiuyain ikuhimaitumik “Christiungitunga.” 
JHN.1.21	Tapkua apekhuktaat, “Kinauvinlunin? Elijauyutin? Kiuyuk, “Tamnaungitunga”. “Nalautaiyiuyutinlunin?” Kiuyugli, “Imanak.” 
JHN.1.22	Tapkua ukallautiyaat talva, “Kinauvin? Kiuyakhagigaptigit tiliyivut ilipkun, kanuk ukakkin ilipkun?” 
JHN.1.23	Ukaktuk,
JHN.1.23	“Nipainauyunga uvanga tukhulaugama inuilgulmi imaatun,
JHN.1.23	'Atangum apkutaa nalguktihiuk'”
JHN.1.23	nalautaiyi Isaiah ukakhimangman.
JHN.1.24	Pharisekullu ilait tiliyauhimagamik 
JHN.1.25	apekhuktaat ukakhutik, “Ilvin Christiungitkuvin, Eliyyaungitkuvinlunin, nalautaiyiungitkuvinlunin hug baptaihivin?” 
JHN.1.26	Johnim kiuyain, “Ila uvanga baptaihiyunga imengmun. Akunipfingnili inuk nangektuk ilihimangngitagaluakhi. 
JHN.1.27	Tamnauyuk kingunipkun kaiyauyugaluak, tapfumangalu kamiekhiyukhaungitkaluaktungalunin kanguhutikhakakpallaagama.” 
JHN.1.28	Taimalivaktun Bethanymi, kukam Jordanmik atikaktum avataani, Johnin baptaiviani.
JHN.1.29	Akagunguman Johnim tautukamiuk Jesus upagahualengmani ukaktuk, “Tamayya Godim imnainga, nunaum inungit huinekutaekhunguyain tapfuma. 
JHN.1.30	Tamnauyuk ukautigivaktaga ukagama, 'Kingunipkun inuk tikilektuk uvamnin ataniukiyauyugaluak inuhimavagami inukaatinanga.' 
JHN.1.31	Uvanga tamna kinaumangan ilihimangngitkaluaktunga, kaivaktungali baptaiekaahivlunga imengmun tamna naunaekuvlugu Israelmiunun.”
JHN.1.32	Johnlu uniuyyiyuk ukakhuni, “Uvanga tautuktaga Anengnek Naguyuk tingmiaktun atkautillugu kilangmin tikittugulu tamna. 
JHN.1.33	Uvanga ilaa ilitagiyuitagaluaga tiliyimali baptaihikuvagaminga imengmun ukautiyanga, 'Anengnimguk Naguyum inuk atkagvigipani naiyuglugulu, tamnauyuk baptaihiniaktuk Anengnimik Naguyumik.' 
JHN.1.34	Tautukpaktaga ukautigivlugulu Godim engnigimagu.”
JHN.1.35	Akagungumanlu aahin John maligutini malguk nangekatigitillugik, 
JHN.1.36	tautuktaa Jesus kangiutivluni, ukaktuglu, “Taku Godim imnainga.” 
JHN.1.37	Maligutiglu tapkuak tamna tuhaagamitku maligahualektuk Jesusmun. 
JHN.1.38	Jesusim kiviakhuni tautuktaik maligahuaktuk ukallautivlugik, “Humik kenilekkitik?” Tapkuak kiuyaak, “Rabbi (Imaatun-ituk Ilihauyyi) nani naiyulekkin ilvin?” 
JHN.1.39	Ukautiyaik, “Kailutik tapfuminga tautugiaktugittik.” Talvungaugamik naiyuktaa tautuktaak ilagivlugulu tapfumani, uvluk nungulengman.
JHN.1.40	Tapkuak tuhaahimayaak John maligumavlugulu Jesus, aipa Andrewnguyuk, Simon Peterm nukaa. 
JHN.1.41	Hivullengmik tapfuma angayuni Simon pakektaa ukautivlugu, “Messiah (Imaatun-ituk Christ) pakektakkut.” 
JHN.1.42	Talva kagitiyaa Jesusmun. Jesusimlu iigigamiuk ukallaktuk, “Simonmik atikaktutin ai, Johnim engniga, taiyauyumaktutin Cephasmik (Imaatun-ituk, Petermik, uyagagmik).
JHN.1.43	Akagunguman Jesus Galileemungaugami Philip pakektaa. Jesusim ukautiyaa, “Malinga”. 
JHN.1.44	Philiplu Bethsaidamiutauyuk, Andrewm, Petermlu iglukagvianin. 
JHN.1.45	Philipimlu Nathanael pakekamiuk ukallautiyaa, “Pakektakkut tamna Mosesim pitkuyaini nalautaiyillu tiitigautigihimayaat, Jesus, Josephim engniga Nazarethmin.” 
JHN.1.46	Nathanaelim Philip ukallautiyaa, “Nazarethmin hullika naguyuk kaitaulekka?” Philip kiuyaa ukakhuni, “Kaigiagin takuyaktuguk.”
JHN.1.47	Jesusim Nathanael takugamiuk kaiyyutigimani, ukautiyaa, “Tautuk tainga inuk Israelmiutak ilumukpiaktuk inumini.” 
JHN.1.48	Nathanaelim ukallautiyaa, “Kanuk ilitagivinga uvanga?” Jesusim kiuyaa, “Ilaa Philipim kaitkukaktinatin, napaaktum ahiakaktum fignik ataannitillutin tautuktagaluapkin.” 
JHN.1.49	Nathanaelim kiuyaa, “Rabbi, Godim engnigiyaatin, Israelmiununlu ataniuyutin.” 
JHN.1.50	Jesusim kiuyaa, “Ukautigapkin napaaktum ahiakaktum fignik ataaniitillutin tautuktagin, ukpelekkin? Hapkunanga hapengnakiyanik tautukhunguyutin.” 
JHN.1.51	Jesusim ukallautimiyaa, “Ilumuktumik ukautiyagin, kilangmik angmakhimayumik, Godim ihalgulingingniglu maiyuaglutik, atkaulutiglu Inum engnigaanun tautukhunguyutin ilaa.”
JHN.2.1	Talva uvluk malguk nungumanik Canami Galileemiitumi inuk nulianiktuk, Jesusim angnanga taikaniituk. 
JHN.2.2	Talva Jesus maligutaillu katuhekhektunun pulaakuyauyun. 
JHN.2.3	Wainlu talva nungumata Jesusim angnangata ukallautiyaa, “Tapkua waingutaektun”. 
JHN.2.4	Jesusim kiuyaa, “Angnaga, uvaptingnun hunauva tamna? Pivikhaga tikingiman.” 
JHN.2.5	Tapfuma angnangata kivgain ukautiyain, “Humik havakupahi tuhaahiuk.” 
JHN.2.6	Taikanilu imekagvit kattain 6inguyun nappakhimayun 20-lunin 30-lunin galaulgit. Jewmiut tapkua atuinaktagaluangit uakhiyyutikhainun. 
JHN.2.7	Jesusim kivgain pitkuyain, “Imekagvit tapkua immektuglugit.” Immektuktain tamaita. 
JHN.2.8	Talva ukallautiyain, “Kallutitti agitilugit negiaktukuiyimun.” Taimaliyunlu. 
JHN.2.9	Negiaktukuiyilu imengmik wainguktitauhimayumik uktugami nakin pimangan ilihimangngitpiaktuk, kivgailli imektaktun ilihimagaluaktugaluit. Tapfumalu uikhak kaitkugamiuk, 
JHN.2.10	ukallautiyaa, “Inuit ilaa wainmik naguyumik tunipkaivaktun hivullengmik, talva inuit imekaaktillugit, imektitain mamagluangitumik. Ilvilli wain mamakiat kingulliuktitagaluatinlunin.”
JHN.2.11	Jesus taimalivaktuk Canami Galileemiitumi hivullekpa naunaikutiminik pilihaktainakhuni, takupkakhugulu hakuginini inungnun, maligutaitalu ukpegiyaat. 
JHN.2.12	Kinguaguntauk Jesus, angnangalu katangutaillu, maligutaillu Capernaumungaktun takanani uvlivaktun ikitunik.
JHN.2.13	Jewmiun Kangiutiviat tikilengman Jesus Jerusalemungaktuk. 
JHN.2.14	Takanani angayyuvikpagyuami tautuktain niuvgutilgit tuktukpainik, imnainiglu, tingmiagniglu, manilekhiyillu talvaniitun ikhivainakhutik. 
JHN.2.15	Jesuslu ungulauliukhuni tapkua tamaita anipkaktain imnaingillu tuktukpaillu angayyuvikpagyuagmin. Aahin manilekhiyit maningit igitpagain ikpataillu ulgutivlugit, 
JHN.2.16	ukautivlugillu niuvayit tingmiagnik, “Hapkua agitihigik aahinun Angutimalu iglua niuvavinguktitailuhiuk.” 
JHN.2.17	Maligutaitalu itkaktaat tiitigakhimangman, “Kuviakutiga iglungnun ikualaaktutun-iliyuk nungutivlunga.” 
JHN.2.18	Jewmiut kiuyaat, “Imaliukpagavin kanuk naunaikutamik takupkaktiniakkitigut?” 
JHN.2.19	Jesusim kiuyain ukakhuni, “Una Angayyuvikpagyuak ahigukiuk, uvluglu pingahuangni nappakigniagiga.” 
