GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
PSA.119.124	Perlakukanlah aku sesuai dengan kasih-Mu,
PSA.119.124	dan ajarlah aku perintah-Mu.
PSA.119.125	Aku ini hamba-Mu, berilah aku pengertian,
PSA.119.125	supaya aku memahami ajaran-Mu.
PSA.119.126	Inilah masanya Engkau bertindak, ya TUHAN,
PSA.119.126	kerana orang melanggar Taurat-Mu.
PSA.119.127	Aku mencintai perintah-Mu lebih daripada emas,
PSA.119.127	lebih daripada emas murni.
PSA.119.128	Oleh itu aku mengikut segala peraturan-Mu;
PSA.119.128	aku benci akan segala perbuatan yang salah.
PSA.119.129	Ajaran-Mu sungguh mengagumkan;
PSA.119.129	aku mentaatinya dengan sepenuh hati.
PSA.119.130	Penjelasan ajaran-Mu memberikan cahaya,
PSA.119.130	memberikan pengertian kepada orang jahil.
PSA.119.131	Aku haus akan perintah-Mu,
PSA.119.131	aku sangat menginginkannya.
PSA.119.132	Berpalinglah kepadaku dan kasihanilah aku
PSA.119.132	seperti Engkau sentiasa mengasihani orang yang mengasihi-Mu.
PSA.119.133	Menurut janji-Mu, jangan biarkan aku jatuh;
PSA.119.133	jangan biarkan kejahatan menguasai aku.
PSA.119.134	Selamatkanlah aku daripada orang yang menindas aku,
PSA.119.134	supaya aku dapat mentaati perintah-Mu.
PSA.119.135	Berkatilah aku dengan hadirat-Mu,
PSA.119.135	dan ajarlah aku hukum-Mu.
PSA.119.136	Air mataku mengalir seperti sungai,
PSA.119.136	kerana orang tidak taat kepada Taurat-Mu.
PSA.119.137	Engkau adil, ya TUHAN,
PSA.119.137	dan hukum-Mu adil.
PSA.119.138	Peraturan yang Engkau berikan
PSA.119.138	semuanya adil dan benar.
PSA.119.139	Kemarahan membara dalam diriku
PSA.119.139	kerana musuhku melanggar perintah-Mu.
PSA.119.140	Janji-Mu dapat dipercayai,
PSA.119.140	aku sangat mencintainya.
PSA.119.141	Aku ini tidak penting dan aku terhina,
PSA.119.141	tetapi aku tidak melalaikan ajaran-Mu.
PSA.119.142	Keadilan-Mu kekal selama-lamanya,
PSA.119.142	dan Taurat-Mu tetap benar.
PSA.119.143	Kesusahan dan kekhuatiran menimpa aku,
PSA.119.143	tetapi perintah-Mu menggembirakan hatiku.
PSA.119.144	Peraturan-Mu selalu adil;
PSA.119.144	berilah aku pengertian supaya aku hidup.
PSA.119.145	Dengan sepenuh hati, aku berseru kepada-Mu;
PSA.119.145	kabulkanlah doaku, ya TUHAN;
PSA.119.145	aku akan taat kepada perintah-Mu.
PSA.119.146	Aku berseru kepada-Mu; selamatkanlah aku;
PSA.119.146	aku mahu mematuhi hukum-Mu.
PSA.119.147	Sebelum fajar aku berseru kepada-Mu minta tolong,
PSA.119.147	aku berharap kepada janji-Mu.
PSA.119.148	Sepanjang malam aku tidak tidur,
PSA.119.148	kerana merenungkan peraturan-Mu.
PSA.119.149	Demi kasih-Mu yang kekal,
PSA.119.149	ya TUHAN, dengarlah aku;
PSA.119.149	kasihanilah aku dan peliharakanlah nyawaku.
PSA.119.150	Penganiayaku yang kejam sudah dekat;
PSA.119.150	mereka tidak pernah mematuhi Taurat-Mu.
PSA.119.151	Tetapi Engkau dekat kepadaku, ya TUHAN,
PSA.119.151	dan segala perintah-Mu itu benar.
PSA.119.152	Sejak dahulu aku tahu akan peraturan-Mu,
PSA.119.152	yang Engkau kekalkan selama-lamanya.
PSA.119.153	Lihatlah penderitaanku dan selamatkanlah aku,
PSA.119.153	kerana aku tidak mengabaikan Taurat-Mu.
PSA.119.154	Belalah perkaraku dan bebaskanlah aku;
PSA.119.154	selamatkanlah aku menurut janji-Mu.
PSA.119.155	Orang jahat tidak akan diselamatkan,
PSA.119.155	kerana mereka tidak mematuhi hukum-Mu.
PSA.119.156	Sungguh besar belas kasihan-Mu, ya TUHAN;
PSA.119.156	kasihanilah aku dan peliharakanlah nyawaku.
PSA.119.157	Banyak orang memusuhi dan menindas aku,
PSA.119.157	tetapi aku tidak pernah mengabaikan hukum-Mu.
PSA.119.158	Aku benci melihat pengkhianat-pengkhianat itu,
PSA.119.158	kerana mereka tidak mematuhi perintah-Mu.
PSA.119.159	Lihatlah, aku sangat mencintai peraturan-Mu, ya TUHAN.
PSA.119.159	Selamatkanlah aku,
PSA.119.159	kerana kasih-Mu.
PSA.119.160	Segala firman-Mu benar,
PSA.119.160	dan semua ketetapan-Mu yang adil itu abadi.
PSA.119.161	Orang berkuasa menyerang aku tanpa alasan,
PSA.119.161	tetapi hanya Taurat-Mu yang aku takuti.
PSA.119.162	Janji-Mu membahagiakan aku,
PSA.119.162	seperti orang yang menemukan harta.
PSA.119.163	Aku sangat membenci segala dusta,
PSA.119.163	tetapi aku mencintai Taurat-Mu.
PSA.119.164	Aku terus-menerus
PSA.119.164	bagi ketetapan-Mu yang adil.
PSA.119.165	Orang yang mencintai Taurat-Mu mendapat kesejahteraan;
PSA.119.165	mereka tidak akan ditimpa malapetaka.
PSA.119.166	Aku menunggu Engkau untuk menyelamatkan aku, ya TUHAN,
PSA.119.166	dan aku melakukan segala perintah-Mu.
PSA.119.167	Aku mentaati ajaran-Mu,
PSA.119.167	dan mencintainya dengan segenap hati.
PSA.119.168	Aku mematuhi perintah dan peraturan-Mu,
PSA.119.168	kerana Engkau melihat segala perbuatanku.
PSA.119.169	Semoga seruanku minta tolong sampai kepada-Mu, ya TUHAN!
PSA.119.169	Berilah aku pengertian seperti yang telah Engkau janjikan.
PSA.119.170	Dengarkanlah doaku,
PSA.119.170	dan selamatkanlah aku menurut janji-Mu.
PSA.119.171	Aku akan memuji Engkau selalu,
PSA.119.171	kerana Engkau mengajar aku hukum-Mu.
PSA.119.172	Aku akan menyanyi tentang Taurat-Mu,
PSA.119.172	kerana perintah-Mu adil.
PSA.119.173	Semoga Engkau selalu bersedia menolong aku,
PSA.119.173	kerana aku mahu mengikut perintah-Mu.
PSA.119.174	Ya TUHAN, aku berharap supaya diselamatkan oleh-Mu,
PSA.119.174	Taurat-Mu menggembirakan hatiku.
PSA.119.175	Semoga aku hidup supaya aku dapat memuji Engkau;
PSA.119.175	semoga peraturan-Mu menolong aku.
PSA.119.176	Aku merayau seperti domba yang sesat;
PSA.119.176	oleh itu datanglah untuk mencari hamba-Mu,
PSA.119.176	kerana aku tidak mengabaikan hukum-Mu.
PSA.120.1	Lagu ziarah.
PSA.120.1	Dalam kesusahanku, aku berseru kepada TUHAN,
PSA.120.1	dan Dia mengabulkan doaku.
PSA.120.2	Ya TUHAN, selamatkanlah aku,
PSA.120.2	daripada pendusta dan penipu.
PSA.120.3	Hai pendusta, apakah yang akan dilakukan Allah kepada kamu?
PSA.120.3	Dengan apakah Dia akan menghukum kamu?
PSA.120.4	Dia akan menghukum kamu dengan anak panah tajam seorang askar,
PSA.120.4	dan dengan bara api yang menyala-nyala!
PSA.120.5	Hidup di kalangan kamu sangat celaka,
PSA.120.5	sama seperti hidup di Mesekh,
PSA.120.5	atau di kalangan orang Kedar!
PSA.120.6	Aku sudah hidup terlalu lama
PSA.120.6	dengan orang yang membenci kedamaian.
PSA.120.7	Apabila aku bercakap tentang kedamaian,
PSA.120.7	mereka menghendaki peperangan.
PSA.121.1	Lagu ziarah.
PSA.121.1	Aku memandang ke arah pergunungan;
PSA.121.1	dari manakah datangnya pertolonganku?
PSA.121.2	Pertolonganku datang daripada TUHAN,
PSA.121.2	yang menjadikan langit dan bumi.
PSA.121.3	Dia tidak akan membiarkan kamu jatuh;
PSA.121.3	pelindungmu tidak akan tidur.
PSA.121.4	Pelindung umat Israel
PSA.121.4	tidak pernah terlelap ataupun tertidur.
PSA.121.5	TUHAN akan menjaga kamu;
PSA.121.5	Dia di sisimu untuk melindungi kamu.
PSA.121.6	Pada waktu siang matahari tidak akan menyakiti kamu;
PSA.121.6	pada waktu malam bulan tidak akan mencederakan kamu.
PSA.121.7	TUHAN akan melindungi kamu daripada segala bahaya;
PSA.121.7	Dia menjaga kamu supaya hidupmu selamat.
PSA.121.8	TUHAN akan melindungi kamu ketika kamu pergi dan balik,
PSA.121.8	dari sekarang hingga selama-lamanya.
PSA.122.1	Lagu ziarah oleh Daud.
PSA.122.1	Aku gembira apabila orang berkata kepadaku,
PSA.122.1	“Marilah kita pergi ke rumah TUHAN.”
PSA.122.2	Sekarang kita sudah tiba
PSA.122.2	di pintu gerbang Yerusalem.
PSA.122.3	Yerusalem dibina sebagai kota,
PSA.122.3	yang tersusun rapi dan indah.
PSA.122.4	Ke sinilah suku-suku datang,
PSA.122.4	suku-suku milik TUHAN,
PSA.122.4	untuk bersyukur kepada TUHAN,
PSA.122.4	menurut perintah-Nya.
PSA.122.5	Di sinilah raja-raja Israel
PSA.122.5	memerintah rakyat dengan adil.
PSA.122.6	Berdoalah bagi kesejahteraan Yerusalem,
PSA.122.6	“Semoga orang yang mencintaimu menjadi makmur.
PSA.122.7	Semoga kesejahteraan terdapat di dalam kawasanmu,
PSA.122.7	dan keamanan di dalam semua istanamu.”
PSA.122.8	Demi kebaikan saudara dan sahabatku,
PSA.122.8	aku berkata kepada Yerusalem, “Sejahteralah engkau!”
PSA.122.9	Demi kebaikan Rumah TUHAN, Allah kita,
PSA.122.9	aku berdoa untuk kemakmuranmu.
PSA.123.1	Lagu ziarah.
PSA.123.1	Aku memandang ke syurga, tempat Engkau bersemayam;
PSA.123.1	aku berdoa kepada-Mu, ya TUHAN.
PSA.123.2	Seperti seorang hamba bergantung kepada tuannya,
PSA.123.2	dan seorang hamba perempuan kepada puannya,
PSA.123.2	demikian juga kami berharap kepada-Mu, ya TUHAN, Allah kami,
PSA.123.2	sehingga Engkau mengasihani kami.
PSA.123.3	Kasihanilah kami, ya TUHAN, kasihanilah kami,
PSA.123.3	kerana kami sudah terlalu banyak dihina.
PSA.123.4	Sudah terlalu lama kami diejek oleh orang kaya,
PSA.123.4	dan dikeji oleh penindas yang sombong.
PSA.124.1	Lagu ziarah oleh Daud.
PSA.124.1	Bagaimanakah keadaannya jika TUHAN tidak memihak kita?
PSA.124.1	Jawablah, hai Israel!
PSA.124.2	“Jika TUHAN tidak memihak kita,
PSA.124.2	ketika musuh menyerang kita,
PSA.124.3	tentu mereka sudah menelan kita hidup-hidup
PSA.124.3	kerana kemarahan mereka menyala-nyala;
PSA.124.4	tentu kita sudah dihanyutkan banjir,
PSA.124.4	dan kita digenangi air;
PSA.124.5	tentu kita sudah mati lemas
PSA.124.5	dalam air yang deras.”
PSA.124.6	Marilah kita bersyukur kepada TUHAN,
PSA.124.6	yang tidak membiarkan musuh membinasakan kita.
PSA.124.7	Kita seperti burung yang lepas dari jerat pemburu;
PSA.124.7	jerat itu sudah dirosakkan dan kita pun bebas!
PSA.124.8	Pertolongan kita datang daripada TUHAN,
PSA.124.8	yang menjadikan langit dan bumi.
PSA.125.1	Lagu ziarah.
PSA.125.1	Orang yang percaya kepada TUHAN adalah seperti Bukit Sion,
PSA.125.1	yang kukuh tidak bergoyang dan bertahan selama-lamanya.
PSA.125.2	Seperti gunung-gunung melindungi Yerusalem,
PSA.125.2	demikianlah TUHAN melindungi umat-Nya,
PSA.125.2	sekarang hingga selama-lamanya.
PSA.125.3	Orang jahat tidak akan terus memerintah negeri umat Allah,
PSA.125.3	supaya orang yang setia kepada Allah tidak ikut berbuat jahat.
PSA.125.4	Ya TUHAN, berbuat baiklah kepada orang baik,
PSA.125.4	kepada orang yang mematuhi peraturan-Mu.
PSA.125.5	Tetapi apabila Engkau menghukum orang jahat,
PSA.125.5	hukumlah juga orang yang tidak percaya kepada-Mu.
PSA.125.5	Sejahteralah Israel!
PSA.126.1	Lagu ziarah.
PSA.126.1	Apabila TUHAN membawa kita balik ke Yerusalem,
PSA.126.1	kita seperti bermimpi!
PSA.126.2	Kita tertawa dan menyanyi kerana gembira!
PSA.126.2	Lalu bangsa-bangsa lain berkata tentang kita,
PSA.126.2	“TUHAN telah melakukan perkara-perkara hebat untuk mereka.”
PSA.126.3	Memang TUHAN telah melakukan perkara-perkara yang hebat untuk kita;
PSA.126.3	itulah sebabnya kita bersukacita!
PSA.126.4	Ya TUHAN, jadikanlah kami makmur semula,
PSA.126.4	seperti sungai kering berair semula pada musim hujan.
PSA.126.5	Semoga orang yang menabur benih sambil menangis,
PSA.126.5	dapat menuai hasilnya sambil bergembira!
PSA.126.6	Orang yang menabur benih sambil mencucurkan air mata,
PSA.126.6	akan pulang membawa hasil tanaman sambil menyanyi dengan gembira.
PSA.127.1	Lagu ziarah oleh Raja Salomo.
PSA.127.1	Jika bukan TUHAN yang mendirikan rumah,
PSA.127.1	sia-sialah usaha orang yang mendirikannya;
PSA.127.1	jika bukan TUHAN yang melindungi kota,
PSA.127.1	sia-sialah usaha orang yang mengawalnya.
PSA.127.2	Sia-sia sahaja bangun pagi-pagi dan tidur larut malam,
PSA.127.2	bekerja keras mencari nafkah,
PSA.127.2	kerana TUHAN memberikan segalanya kepada orang yang dikasihi-Nya,
PSA.127.2	sementara mereka sedang tidur.
PSA.127.3	Anak-anak adalah anugerah TUHAN;
PSA.127.3	mereka adalah berkat-Nya.
PSA.127.4	Anak-anak lelaki yang diperoleh seorang bapa pada waktu mudanya,
PSA.127.4	adalah seperti anak panah di tangan seorang askar.
PSA.127.5	Berbahagialah orang yang mempunyai banyak anak panah yang sedemikian.
PSA.127.5	Dia tidak sekali-kali akan dikalahkan
PSA.127.5	ketika menghadapi musuh di tempat pengadilan.
PSA.128.1	Lagu ziarah.
PSA.128.1	Berbahagialah orang yang taat kepada TUHAN,
PSA.128.1	yang hidup menurut perintah-Nya.
PSA.128.2	Hasil jerih payahmu akan mencukupi keperluanmu;
PSA.128.2	engkau akan berbahagia dan makmur.
PSA.128.3	Isterimu akan menjadi seperti pokok anggur yang subur di dalam rumahmu,
PSA.128.3	dan anak-anakmu umpama pokok zaitun yang muda di sekeliling mejamu.
PSA.128.4	Orang yang taat kepada TUHAN
PSA.128.4	pasti akan diberkati sedemikian.
PSA.128.5	Semoga TUHAN yang di Sion memberkati kamu!
PSA.128.5	Semoga engkau melihat Yerusalem makmur seumur hidupmu!
PSA.128.6	Semoga engkau panjang umur
PSA.128.6	untuk melihat cucu-cucumu!
PSA.128.6	Sejahteralah Israel!
PSA.129.1	Lagu ziarah.
PSA.129.1	Hai Israel, ceritakanlah bagaimana musuhmu menganiaya engkau,
PSA.129.1	sejak engkau masih muda.
PSA.129.2	“Sejak aku masih muda, musuhku menganiaya aku dengan kejam,
PSA.129.2	tetapi mereka tidak dapat membinasakan aku.
PSA.129.3	Mereka melukai belakangku
PSA.129.3	sehingga menjadi seperti tanah yang dibajak.
PSA.129.4	Tetapi TUHAN yang adil
PSA.129.4	telah membebaskan aku daripada perhambaan.”
PSA.129.5	Biarlah setiap orang yang membenci Sion
PSA.129.5	dikalahkan dan dipukul mundur.
PSA.129.6	Biarlah mereka semua menjadi seperti rumput yang tumbuh di bumbung rumah,
PSA.129.6	yang layu sebelum bertambah besar;
PSA.129.7	tiada orang mengumpulkannya,
PSA.129.7	atau mengikatnya menjadi berkas.
PSA.129.8	Orang yang lalu tidak akan berkata,
PSA.129.8	“Semoga kamu diberkati TUHAN!
PSA.129.8	Kami memberkati kamu demi nama TUHAN.”
PSA.130.1	Lagu ziarah.
PSA.130.1	Dari jurang kesusahan,
PSA.130.1	aku berseru kepada-Mu, ya TUHAN.
PSA.130.2	Ya TUHAN, dengarlah rintihanku,
PSA.130.2	dengarlah seruanku minta tolong.
PSA.130.3	Jika Engkau terus mengingat dosa-dosa kami,
PSA.130.3	siapakah yang dapat terlepas daripada hukuman?
PSA.130.4	Tetapi Engkau mengampuni kami,
PSA.130.4	supaya kami hormat dan taat kepada-Mu.
PSA.130.5	Aku menanti-nantikan pertolongan TUHAN,
PSA.130.5	dan berharap kepada firman-Nya.
PSA.130.6	Aku menantikan Tuhan,
PSA.130.6	lebih daripada penjaga malam menantikan subuh,
PSA.130.6	lebih daripada penjaga malam menantikan fajar.
PSA.130.7	Hai Israel, berharaplah kepada TUHAN,
PSA.130.7	kerana Dia tetap mengasihi
PSA.130.7	dan sentiasa bersedia menyelamatkan kamu.
PSA.130.8	daripada segala dosa mereka.
PSA.131.1	Lagu ziarah oleh Daud.
PSA.131.1	Ya TUHAN, aku tidak tinggi hati,
PSA.131.1	aku tidak sombong.
PSA.131.1	Aku tidak mengejar hal-hal yang terlalu besar,
PSA.131.1	atau yang terlalu dalam bagiku.
PSA.131.2	Sebaliknya, aku puas hati dan tenteram.
PSA.131.2	Seperti anak yang tenang di pangkuan ibunya,
PSA.131.2	demikianlah juga hatiku berasa tenang.
PSA.131.3	Hai Israel, berharaplah kepada TUHAN,
PSA.131.3	sekarang sampai selama-lamanya!
PSA.132.1	Lagu ziarah.
PSA.132.1	Ya TUHAN, ingatlah akan Daud,
PSA.132.1	dan segala kesusahan yang ditanggungnya.
PSA.132.2	Ingatlah akan janjinya kepada-Mu, ya TUHAN,
PSA.132.2	dan nazarnya kepada-Mu, Yang Maha Kuat, Allah yang disembah Yakub.
PSA.132.3	Katanya, “Aku tidak akan pulang atau tidur;
PSA.132.4	aku tidak akan berehat atau melelapkan mata,
PSA.132.5	sehingga aku membina rumah bagi TUHAN,
PSA.132.5	tempat kediaman bagi Yang Maha Kuat, Allah yang disembah Yakub.”
PSA.132.6	Kami mendengar tentang Tabut Perjanjian di Betlehem,
PSA.132.6	dan menemuinya di padang Yaar.
PSA.132.7	Kami berkata, “Marilah kita pergi ke Rumah TUHAN;
PSA.132.7	marilah kita sembah Dia di hadapan takhta-Nya.”
PSA.132.8	Datanglah dan tinggallah di Rumah-Mu, ya TUHAN,
PSA.132.8	bersama-sama Tabut Perjanjian, lambang kekuasaan-Mu.
PSA.132.9	Hendaklah imam-imam-Mu sentiasa melakukan apa yang benar;
PSA.132.9	hendaklah umat-Mu bersorak-sorak kerana sukacita.
PSA.132.10	Ya TUHAN, janganlah tolak raja pilihan-Mu.
PSA.132.11	Engkau tidak akan memungkiri janji ini:
PSA.132.11	“Aku akan melantik salah seorang anakmu menjadi raja,
PSA.132.11	dan dia akan mewarisi takhtamu.
PSA.132.12	Jika anak-anakmu setia kepada perjanjian-Ku,
PSA.132.12	dan kepada perintah yang Aku beri mereka,
PSA.132.12	maka anak-anak mereka juga akan mewarisi takhtamu selama-lamanya.”
PSA.132.13	TUHAN telah memilih Sion;
PSA.132.13	Dia hendak menjadikannya tempat tinggal-Nya.
PSA.132.14	Dia berfirman, “Di sinilah tempat kediaman-Ku selama-lamanya;
PSA.132.14	Aku hendak tinggal di tempat ini.
PSA.132.15	Aku akan memberi Sion segala keperluannya sehingga berlimpah-limpah;
PSA.132.15	Aku akan mengenyangkan penduduknya yang miskin dengan makanan.
PSA.132.16	Imam-imamnya memperlihatkan penyelamatan daripada-Ku,
PSA.132.16	dan rakyatnya akan bersorak-sorak kerana sukacita.
PSA.132.17	Aku akan mengukuhkan pemerintahan raja pilihan-Ku.
PSA.132.18	Aku akan mempermalukan musuh-musuhnya,
PSA.132.18	tetapi kerajaannya aman dan makmur.”
PSA.133.1	Lagu ziarah oleh Daud.
PSA.133.1	Alangkah baiknya dan indahnya
PSA.133.1	apabila umat Allah hidup dengan rukun!
PSA.133.2	Hal itu seperti minyak yang berharga
PSA.133.2	yang dituangkan ke atas kepala Harun,
PSA.133.2	lalu mengalir ke janggut dan leher jubahnya.
PSA.133.3	Hal itu seperti embun di atas Gunung Hermon,
PSA.133.3	yang turun ke bukit-bukit Sion.
PSA.133.3	Di sanalah, di Sion, TUHAN menurunkan berkat-Nya,
PSA.133.3	iaitu kehidupan yang tidak berkesudahan.
PSA.134.1	Lagu ziarah.
PSA.134.1	Mari, pujilah TUHAN, hai semua hamba TUHAN,
PSA.134.1	yang berbakti di Rumah-Nya pada waktu malam.
PSA.134.2	Tadahlah tangan kamu sambil berdoa di Rumah TUHAN,
PSA.134.2	dan pujilah TUHAN!
PSA.134.3	Semoga TUHAN yang di Sion memberkati kamu,
PSA.134.3	TUHAN yang mencipta langit dan bumi.
PSA.135.1	Pujilah TUHAN!
PSA.135.1	Pujilah nama TUHAN, hai kamu hamba-hamba TUHAN
PSA.135.2	yang beribadat di Rumah TUHAN,
PSA.135.2	di tempat kediaman Allah kita.
PSA.135.3	Pujilah TUHAN kerana Dia baik;
PSA.135.3	pujilah nama-Nya kerana Dia murah hati.
PSA.135.4	Dia memilih Yakub bagi diri-Nya sendiri,
PSA.135.4	dan umat Israel sebagai milik-Nya sendiri.
PSA.135.5	Aku tahu bahawa TUHAN kita agung;
PSA.135.5	Dia lebih agung daripada semua dewa.
PSA.135.6	Dia melakukan apa sahaja yang dikehendaki-Nya,
PSA.135.6	di langit mahupun di bumi,
PSA.135.6	di laut mahupun di samudera.
PSA.135.7	Dia mendatangkan awan ribut dari hujung bumi;
PSA.135.7	Dia menjadikan kilat untuk ribut,
PSA.135.7	dan Dia mengeluarkan angin dari tempat simpanan-Nya.
PSA.135.8	Di Mesir Dia membunuh semua anak sulung manusia
PSA.135.8	dan semua anak sulung binatang.
PSA.135.9	Di sana Dia melakukan banyak mukjizat dan hal yang menakjubkan
PSA.135.9	untuk menghukum raja Mesir dan semua pegawainya.
PSA.135.10	Dia memusnahkan banyak bangsa,
PSA.135.10	dan membunuh raja-raja yang berkuasa:
PSA.135.11	Sihon, raja Amori dan Og, raja Basan,
PSA.135.11	dan semua raja di Kanaan.
PSA.135.12	Dia menyerahkan negeri mereka kepada umat-Nya;
PSA.135.12	Dia memberikannya kepada umat-Nya, Israel.
PSA.135.13	Ya TUHAN, Engkau akan sentiasa diisytiharkan sebagai Allah;
PSA.135.13	semua keturunan akan mengingat Engkau.
PSA.135.14	TUHAN akan membela umat-Nya;
PSA.135.14	Dia akan mengasihani hamba-hamba-Nya.
PSA.135.15	Patung berhala bangsa-bangsa dibuat daripada perak dan emas,
PSA.135.15	dan dibentuk oleh tangan manusia.
PSA.135.16	Berhala mempunyai mulut tetapi tidak dapat bercakap,
PSA.135.16	mempunyai mata tetapi tidak dapat melihat,
PSA.135.17	mempunyai telinga tetapi tidak dapat mendengar;
PSA.135.17	berhala pun tidak dapat bernafas.
PSA.135.18	dan yang percaya kepadanya,
PSA.135.18	menjadi
PSA.135.19	Pujilah TUHAN, hai umat Israel;
PSA.135.19	pujilah Dia, hai imam-imam Allah!
PSA.135.20	Pujilah TUHAN, hai orang Lewi;
PSA.135.20	pujilah TUHAN, hai kamu semua yang menyembah Dia!
PSA.135.21	Pujilah TUHAN di Sion,
PSA.135.21	di rumah-Nya di Yerusalem.
PSA.135.21	Pujilah TUHAN!
PSA.136.1	kasih-Nya kekal abadi.
PSA.136.2	Bersyukurlah kepada Allah Yang Maha Tinggi;
PSA.136.2	kasih-Nya kekal abadi.
PSA.136.3	Bersyukurlah kepada Tuhan Yang Maha Besar;
PSA.136.3	kasih-Nya kekal abadi.
PSA.136.4	Hanya Dia yang melakukan keajaiban besar;
PSA.136.4	kasih-Nya kekal abadi.
PSA.136.5	kasih-Nya kekal abadi.
PSA.136.6	kasih-Nya kekal abadi.
PSA.136.7	Dia menjadikan matahari dan bulan;
PSA.136.7	kasih-Nya kekal abadi.
PSA.136.8	Dia menjadikan matahari untuk memerintah siang;
PSA.136.8	kasih-Nya kekal abadi.
PSA.136.9	kasih-Nya kekal abadi.
PSA.136.10	kasih-Nya kekal abadi.
PSA.136.11	kasih-Nya kekal abadi.
PSA.136.12	Dia melakukan semuanya dengan tangan yang kuat dan perkasa;
PSA.136.12	kasih-Nya kekal abadi.
PSA.136.13	Dia membelah Laut Gelagah;
PSA.136.13	kasih-Nya kekal abadi.
PSA.136.14	Dia memimpin umat-Nya melalui laut itu;
PSA.136.14	kasih-Nya kekal abadi;
PSA.136.15	kasih-Nya kekal abadi.
PSA.136.16	Dia memimpin umat-Nya melalui gurun;
PSA.136.16	kasih-Nya kekal abadi.
PSA.136.17	Dia membunuh raja-raja yang berkuasa;
PSA.136.17	kasih-Nya kekal abadi.
PSA.136.18	Dia membunuh raja-raja yang termasyhur;
PSA.136.18	kasih-Nya kekal abadi.
PSA.136.19	kasih-Nya kekal abadi.
PSA.136.20	kasih-Nya kekal abadi.
PSA.136.21	Dia memberikan negeri mereka kepada umat-Nya;
PSA.136.21	kasih-Nya kekal abadi.
PSA.136.22	Dia memberikannya kepada Israel, hamba-Nya;
PSA.136.22	kasih-Nya kekal abadi.
PSA.136.23	Dia tidak melupakan kita apabila kita dikalahkan;
PSA.136.23	kasih-Nya kekal abadi.
PSA.136.24	Dia membebaskan kita daripada musuh-musuh kita;
PSA.136.24	kasih-Nya kekal abadi.
PSA.136.25	Dia memberikan makanan kepada semua makhluk hidup;
PSA.136.25	kasih-Nya kekal abadi.
PSA.136.26	Bersyukurlah kepada Allah penguasa di syurga;
PSA.136.26	kasih-Nya kekal abadi.
PSA.137.1	Di tepi sungai-sungai di Babilonia kita duduk dan meratap,
PSA.137.1	apabila kita terkenang akan Sion.
PSA.137.2	Kita menggantungkan kecapi pada pokok gandarusa di sana,
PSA.137.2	dan tidak memainkannya lagi.
PSA.137.3	Orang yang menawan kita, menyuruh kita menyanyi;
PSA.137.3	mereka menyuruh kita menghiburkan mereka,
PSA.137.3	“Nyanyikanlah lagu tentang Sion untuk kami,” kata mereka.
PSA.137.4	Bagaimanakah kita dapat menyanyikan lagu TUHAN
PSA.137.4	di negeri asing?
PSA.137.5	Biarlah aku tidak dapat memainkan kecapi lagi,
PSA.137.5	jika aku melupakan engkau, hai Yerusalem!
PSA.137.6	Biarlah aku tidak dapat menyanyi lagi,
PSA.137.6	jika aku tidak mengingati engkau,
PSA.137.6	dan tidak menjadikan engkau punca kegembiraanku.
PSA.137.7	Ingatlah, ya TUHAN, apa yang dilakukan orang Edom,
PSA.137.7	pada waktu Yerusalem ditawan.
PSA.137.7	Ingatlah bagaimana mereka berkata,
PSA.137.7	“Robohkanlah Yerusalem sampai musnah sama sekali!”
PSA.137.8	Berbahagialah orang yang membalas
PSA.137.8	perbuatan kamu terhadap kami!
PSA.137.9	Berbahagialah orang yang merampas bayi kamu
PSA.137.9	lalu menghempaskan mereka pada batu!
PSA.138.1	Mazmur Daud.
PSA.138.1	Ya TUHAN, aku bersyukur kepada-Mu
PSA.138.1	dengan sepenuh hatiku;
PSA.138.1	aku menyanyikan pujian untuk-Mu
PSA.138.1	di hadapan makhluk-makhluk syurga.
PSA.138.2	Aku menghadap Rumah-Mu yang suci,
PSA.138.2	aku sujud dan memuji nama-Mu
PSA.138.2	kerana Engkau setia dan kasih-Mu kekal,
PSA.138.2	kerana Engkau telah menunjukkan
PSA.138.2	bahawa nama-Mu dan firman-Mu agung.
PSA.138.3	Engkau menjawab apabila aku berseru kepada-Mu;
PSA.138.3	Engkau menguatkan aku sehingga aku berani.
PSA.138.4	Semua raja di dunia akan memuji Engkau, ya TUHAN,
PSA.138.4	kerana mereka telah mendengar janji-janji-Mu.
PSA.138.5	Mereka akan menyanyi tentang perbuatan-Mu,
PSA.138.5	dan tentang kemuliaan-Mu yang besar.
PSA.138.6	Walaupun Engkau begitu agung,
PSA.138.6	Engkau memperhatikan orang yang hina,
PSA.138.6	dan orang sombong tidak dapat bersembunyi daripada-Mu.
PSA.138.7	Ketika aku ditimpa kesusahan,
PSA.138.7	Engkau memelihara aku;
PSA.138.7	Engkau menentang musuhku yang ganas,
PSA.138.7	dan menyelamatkan aku dengan kuasa-Mu.
PSA.138.8	Engkau akan memenuhi segala janji-Mu kepadaku;
PSA.138.8	ya TUHAN, kasih-Mu kekal abadi.
PSA.138.8	Jangan tinggalkan umat yang telah Engkau jadikan.
PSA.139.1	Untuk pemimpin koir. Mazmur Daud.
PSA.139.1	Ya TUHAN, Engkau telah menyelami hatiku,
PSA.139.1	dan Engkau mengenal aku.
