MAT.1.1	BAHWA inilah surat katurunan Isa Almasih, iya itu anak Daud, dan anak Ibrahim.
ACT.22.20	Maka apabila tŭrtumpahlah darah shahidmu Istifanus itu, bahwa aku pun adalah halir bŭrdiri mŭmpŭrkŭnankan bunohnya itu, dŭngan mŭnunggui pakiean orang yang mŭmbunoh akan dia itu.
ACT.22.21	Maka bŭrkatalah Tuhan padaku, Pŭrgilah angkau, kŭrna aku handak mŭnyurohkan dikau katŭmpat jauh skali pada orang sŭsat.
ACT.22.22	Maka didŭngarlah ulih marika itu dŭngan sabarnya akan dia sampie kapada pŭrkataan ini, lalu bŭrtriaklah marika itu skalian dŭngan swaranya yang nyaring, katanya, Nyahlah akan orang yang dŭmkian ini deri atas bumi, kŭrna tiada patut iya hidop lagi.
ACT.22.23	Maka apabila marika itu bŭrtriak sŭrta mŭmbuangkan pakieannya, dan mŭnyiramkan pasir kaudara,
ACT.22.24	Maka pŭnghulu orang sa’ribu itu pun mŭnyuroh orang mŭmbawa Paulus itu kŭdalam kota, sŭrta disuroh siasat preksa akan dia dŭngan jari ampi, supaya dikŭtahuinya apa sŭbabnya marika itu bŭrtriak mŭlawan akan dia.
ACT.22.25	Maka sŭmŭntara diikat orang akan dia dŭngan tali kulit, maka bŭrkatalah Paulus kapada pŭnghulu orang sa’ratus yang bŭrdiri disitu, Adakah patut angkau mŭnyŭsah akan sa’orang orang Rom dŭngan tiada dipreksai?
ACT.22.26	Maka dŭmi didŭngar ulih pŭnghulu orang sa’ratus itu akan hal yang dŭmkian, maka pŭrgilah iya mŭmbri tahu kapada pŭnghulu orang sa’ribu, katanya, Fikirlah baik baik apakah yang angkau pŭrbuat, kŭrna orang ini orang Rom adanya.
ACT.22.27	Maka datanglah pŭnghulu orang sa’ribu itu, sŭrta bŭrkata kapada Paulus, Katakanlah padaku, iyakah sungguh angkau orang Rom? Maka jawabnya, Bahkan.
ACT.22.28	Maka kata pŭnghulu orang sari’bu itu, Dŭngan harga yang bŭsar aku tŭlah bŭrulih kwasa kŭbibasan itu. Maka kata Paulus, Akan tŭtapi aku tŭlah dipranakkan dŭngan kwasa kŭbibasan itu juga.
ACT.22.29	Sŭbab itu dŭngan skutika itu juga undorlah deripadanya sagala orang yang handak siasat preksa akan dia; maka pŭnghulu orang sa’ribu itu pun kŭtakotanlah, sŭbab dikŭtahuinya, bahwa iya itu orang Rom adanya, tŭgal sudah diikatnya akan dia.
ACT.22.30	Arkian maka pada kaesokkan harinya, sŭbab iya handak mŭngŭtahui kŭtŭntuannya, apa sŭbabnya ditudoh orang Yahudi akan dia, lalu dilŭpaskannya bŭlunggunya, disurohnya sagala kŭpala imam yang bŭsar, dan sagala kŭpala bichara itu datang, maka dibawanyalah Paulus, lalu didirikannya kahadapan marika itu.
ACT.23.1	SŬBARMULA maka Paulus pun mŭngamat amatilah akan mŭjlis bichara itu sŭrta bŭrkata, Hie tuan tuan dan saudaraku skalian, dŭngan sŭbaik baik pŭrasaan hatiku aku tŭlah bŭrlaku dihadapan Allah sampielah pada masa ini.
ACT.23.2	Akan tŭtapi Ananias imam yang bŭsar itu mŭnyurohkan orang yang bŭrdiri disisi Paulus itu mŭnampar mulotnya.
ACT.23.3	Maka tŭtkala itu bŭrkatalah Paulus padanya, Ditampar Allah akan dikau, hie dinding yang bŭrlabor puteh; adakah angkau ini dudok supaya mŭnghukumkan aku dŭngan mŭnurot hukum tauret, tŭtapi angkau mŭnyurohkan orang mŭnampar aku mŭlawan hukum itu?
ACT.23.4	Maka orang yang bŭrdiri dŭkat itu pun bŭrkatalah, Angkau makikah imam Allah yang bŭsar itu?
ACT.23.5	Maka jawab Paulus, Tiada kukŭtahui hie saudaraku, bahwa iya ini imam yang bŭsar adanya, kŭrna ada tŭrsŭbut dalam kitab, Bahwa janganlah bŭrkata jahat akan pŭmŭrentah kaum bangsamu.
ACT.23.6	Adapun apabila dikŭtahui ulih Paulus akan orang orang itu sŭtŭngahnya orang Sadukia, dan sŭtŭngahnya orang Farisia adanya, maka bŭrsrulah iya dalam mŭjlis itu, katanya, Hie tuan tuan skalian saudaraku, bahwa aku inilah sa’orang Farisia, anak sa’orang Farisia; adapun aku ini dida’wa deri sŭbab harap akan orang mati dibangkitkan.
ACT.23.7	Maka sŭtlah sudah iya bŭrkata dŭmkian, jadilah suatu pŭrbantahan antara orang Farisia dan Sadukia, maka sagala marika itu pun tŭrbahgilah dua.
ACT.23.8	Kŭrna sagala orang Sadukia mŭnidakkan akan hari kiamat, dan mŭliekat, dan Roh, akan tŭtapi orang Farisia mŭngaku kaduanya.
ACT.23.9	Maka riohlah bŭsar swara, lalu bŭrdirilah khatib khatib yang disŭblah orang Farisia, sambil bŭrbantah bantah, katanya, Suatu pun tiada kami mŭndapat salahnya orang itu; maka jikalau kiranya Roh, atau mŭliekat sudah bŭrkata kata kapadanya, maka janganlah kita mŭlawan Allah.
ACT.23.10	Adapun apabila jadilah pŭrbantahan bŭsar itu, maka pŭnghulu orang sa’ribu itu pun takotlah akan Paulus itu kalau kalau dikoyak koyak ulih marika itu akan dia; maka disurohlah lashkar turon mŭrŭbut akan dia deri tŭngah marika itu dibawanya kŭdalam kota.
ACT.23.11	Maka pada malam yang datang adalah Tuhan halir kapadanya, sŭrta bŭrkata, Hie Paulus, pŭrtŭtapkanlah hatimu, bahwa spŭrti angkau tŭlah bŭrsaksi derihalku diJerusalem, dŭmkianlah juga handaknya angkau bŭrsaksi dinŭgri Rom pun.
ACT.23.12	Maka sŭtlah siang hari, adalah bŭbrapa orang Yahudi tŭlah bŭrmufakat dŭngan bŭrsumpah, katanya, tiada marika itu mahu makan dan minum, kalau sŭbŭlom iya mŭmbunoh Paulus.
ACT.23.13	Maka banyak marika itu tŭrlebih deripada ampat puloh orang yang sŭfakat sudah mŭmbuat sumpah itu.
ACT.23.14	Hata maka pŭrgilah marika itu pada imam yang bŭsar, dan orang tua tua, sŭrta katanya, Kami tŭlah mufakat dŭngan bŭrsumpah yang bŭsar, bahwa tiada kami mahu makan apa apa, kalau sŭbŭlom kami mŭmbunoh Paulus.
ACT.23.15	Maka skarang pun handaklah kamu ini bŭrsama sama dŭngan mŭjlis bichara, mŭnyatakan kapada pŭnghulu orang sa’ribu, supaya esok hari dibawa akan Paulus itu kapadamu, sa’olah olah kamu mahu mŭmreksai dia dŭngan slidek baik baik akan hal ahwalnya, maka kami ini adalah sŭdia mŭmbunoh dia dahulu iya sampie kapadamu.
ACT.23.16	Maka apabila didŭngar ulih anak saudara pŭrampuan Paulus orang orang itu ada tŭrŭndap, maka datanglah iya masok kŭdalam kota mŭmbri tahu hal itu kapada Paulus.
ACT.23.17	Skutika itu dipanggillah ulih Paulus sa’orang pŭnghulu orang sa’ratus, lalu katanya, Bawa orang muda ini kapada pŭnghulu orang sa’ribu, kŭrna ada kapadanya suatu khabar handak disampiekannya itu kapadanya.
ACT.23.18	Maka dibawanyalah akan dia kapada pŭnghulu orang sa’ribu, katanya, Bahwa Paulus orang yang tŭrpŭnjara itu tŭlah mŭmanggil aku sŭrta mŭminta supaya aku mŭmbawa orang muda ini padamu, kŭrna ada kapadanya suatu khabar handak dikatakannya itu kapadamu.
ACT.23.19	Maka ulih pŭnghulu orang sa’ribu itu dipŭgang tangannya, lalu dibawanya akan dia kasŭblah sa’orang orang, sŭrta bŭrtanya kapadanya, Apakah khabar yang angkau handak mŭngatakan padaku itu?
ACT.23.20	Maka jawabnya, Bahwa orang Yahudi tŭlah bŭrmufakat handak mŭminta kapadamu, supaya esok hari angkau mŭmbawa Paulus masok katŭmpat bichara, sa’olah olah marika itu handak mŭmreksai kapadanya dŭngan sŭlidek baik baik deri hal ahwalnya.
ACT.23.21	Tŭtapi janganlah angkau luluskan kahandak marika itu, kŭrna adalah tŭrŭndap lebih deripada ampat puloh orang yang tŭlah bŭrsumpah atas dirinya, tiada iya mahu makan dan minum, kalau sŭbŭlom marika itu mŭmbunoh akan dia; maka pada skarang pun adalah marika itu mŭnantikan pŭrjanjian deripadamu.
ACT.23.22	Arkian maka dilŭpaskan ulih pŭnghulu orang sa’ribu akan orang muda itu pulang, sambil iya bŭrpŭsan, katanya, Bahwa janganlah angkau mŭngatakan pada sa’orang jua pun yang angkau tŭlah mŭnyatakan sagala pŭrkara ini padaku.
ACT.23.23	Sŭtlah itu dipanggilnyalah dua orang pŭnghulu orang sa’ratus, katanya, Langkapkanlah dua ratus orang lashkar, dan tujoh puloh orang yang bŭrkuda, sŭrta dŭngan dua ratus orang pŭrtikaman pada jam pukol sŭmbilan malam ini, supaya marika itu pŭrgi kaKesaria.
ACT.23.24	Maka biarlah marika itu mŭlangkapkan bŭbrapa kaindraan, supaya dinaikkannya Paulus ka’atasnya, sŭrta mŭmbawa dia dŭngan sŭjahtranya kapada raja Felix.
ACT.23.25	Maka disuratnya sŭpuchok surat dŭmkian bunyinya:
ACT.23.26	Bahwa Klaudius Lysias kirim sŭlam kapada Felix, raja yang amat mulia.
ACT.23.27	Bahwa adapun orang ini tŭlah ditangkap ulih orang Yahudi handak dibunohnya akan dia, maka kutika itu datanglah aku dŭngan pasukan lashkar mŭrŭbut akan dia, sŭbab tŭlah kukŭtahui, bahwa iya ini orang Rom adanya.
ACT.23.28	Maka tŭtkala aku handak mŭngŭtahui derihal ahwalnya yang ditudoh ulih orang akan dia itu, maka aku bawalah akan dia katŭmpat bichara.
ACT.23.29	Maka tŭlah kudapati akan dia ditudohi orang atasnya bŭbrapa sual derihal tauretnya, tŭtapi bukannya salah yang patut dibunoh, atau dibŭlunggu.
ACT.23.30	Maka apabila dibri tahu ulih orang akan daku, bahwa orang Yahudi handak mŭngadang akan orang itu, maka dŭngan sŭgranya aku tŭlah mŭnyuroh orang mŭmbawa dia kapadamu, sŭrta kupŭsan kapada sagala lawannya pun supaya dibawanya da’wanya itu pun kahadapanmu; sŭjahtralah kiranya atasmu.
ACT.23.31	Arkian maka diambillah ulih sagala lashkar itu akan Paulus spŭrti disurohnya, lalu dibawanyalah akan dia kanŭgri Antipatris pada malam itu.
ACT.23.32	Maka pada kaesokkan harinya, sŭtlah sudah dibrinya orang bŭrkuda itu pŭrgi bŭrsama sama dŭngan dia, maka sagala lashkar itu pun kŭmbalilah kŭdalam kota.
ACT.23.33	Maka apabila sampielah orang bŭrkuda itu kanŭgri Kesaria, lalu dibrikannyalah surat kapada raja, sŭrta dibawanyalah Paulus mŭngadap kapadanya.
ACT.23.34	Maka dŭmi dibacha ulih raja akan surat itu, lalu bŭrtanyalah iya kapadanya, Angkau ini anak nŭgri mana? Maka apabila dikŭtahui raja, bahwa dibŭnua Celisia tŭmpat jadinya;
ACT.23.35	Maka bŭrkatalah iya, Aku handak mŭnŭngar akan halmu apabila sagala lawanmu itu datang kŭmari kŭlak. Maka disurohnyalah orang mŭnunggui dia dalam rumah bichara Herodis.
ACT.24.1	SŬBARMULA maka kumdian deripada lima hari, maka datanglah Ananias imam yang bŭsar itu sŭrta dŭngan sagala orang tua tua, dan sa’orang yang peta lidahnya, bŭrnama Tertulus, yang akau mŭngadukan derihal Paulus kapada raja.
ACT.24.2	Maka apabila Paulus dipanggil, maka Tertulus pun mŭmulailah mŭnudoh Paulus, katanya, Bahwa kami tŭlah bŭrulih sŭntosa bŭsar ulih pŭrentahmu, dan bŭbrapa kŭbajikan tŭlah diadakan kapada bangsa ini ulih bijaksanamu.
ACT.24.3	Hie Felix yang amat mulia, maka sŭdiakala pada barang tŭmpat kami mŭnŭrima kasihanmu itu dŭngan bŭbrapa shukor.
ACT.24.4	Tŭtapi supaya janganlah aku mŭnyusahi angkau lagi, aku mŭminta supaya angkau mŭnŭngar dŭngan kŭmurahan hatimu akan bŭbrapa pŭrkataan kami.
ACT.24.5	Kŭrna kami tŭlah mŭndapat orang ini suatu bala, dan sa’orang yang mŭngadakan huru hara diantara orang orang Yahudi dalam sagala dunia; dan lagi iya sa’orang kŭpala guru, umat orang Nazareth itu.
ACT.24.6	Lagi pula iya handak mŭnŭjiskan ka’abah, maka kami tŭlah mŭnangkap dia, sŭrta handak mŭnghukumkan dia mŭnurot hukum tauret kami.
ACT.24.7	Tŭtapi datanglah Lysias pŭnghulu orang sa’ribu itu mŭrŭbut dia dŭngan gagahnya yang bŭsar deripada tangan kami.
ACT.24.8	Maka disurohkannya sagala orang yang handak mŭnudoh akan dia datang mŭngadap kapadamu; maka apabila angkau tŭlah mŭmreksai deri halnya itu, nŭschaya angkau sŭndiri bulih mŭngŭtahui sagala pŭrkara yang tŭlah kami tudohi akan dia itu.
ACT.24.9	Maka dibŭnarkanlah pula ulih sagala orang Yahudi akan sagala pŭrkataan itu.
ACT.24.10	Sŭtlah itu diisharatkan ulih rajalah kapada Paulus mŭnyuroh bŭrkata kata; maka dijawablah iya katanya, Adapun kukŭtahui bŭbrapa lamanya angkau tŭlah mŭnjadi hakim yang mŭmrentahkan bangsa ini, sŭbab itu tŭrlebih lagi relalah aku handak mŭmbri jawab akan halku.
ACT.24.11	Mŭlainkan angkau bulihlah mŭngŭtahui, bahwa tiadalah lebih deripada duablas hari lamanya aku bahru datang kaJerusalem handak sŭmbahyang.
ACT.24.12	Maka tiadalah didapati ulih marika itu aku bŭrbantah bantah dalam ka’abah dŭngan sa’orang jua pun, atau mŭngadakan suatu pŭrgadohan diantara kaum, baik dalam kŭnisa, baik dalam nŭgri.
ACT.24.13	Maka tiadalah pun marika itu bulih mŭmbri saksi skarang ini barang yang ditudohnya atasku.
ACT.24.14	Akan tŭtapi aku mŭngakulah dihadapanmu, bahwa adapun mŭnurot jalan yang dikatakannya mŭzhab sŭsat itu, maka dŭngan jalan itulah juga aku bŭrbakti kapada Allah nenek moyang kami, sŭrta pŭrchaya akan sagala pŭrkara yang tŭrsurat dalam tauret dan kitab nabi nabi.
ACT.24.15	Dan lagi aku harap akan Allah yang diakui ulih marika itu pun, bahwa akan dibangkitkan pula orang mati, baik deripada orang yang bŭnar, baik deripada orang yang tiada bŭnar.
ACT.24.16	Maka dalam hal inilah aku mŭngusahakan diriku, supaya sŭntiasa bŭrulih pŭrasaan hati yang tiada mŭndatangkan salah kapada Allah, atau kapada manusia.
ACT.24.17	Adapun sŭlang bŭbrapa tahun lamanya, maka aku datang mŭmbawa bŭbrapa sŭdŭkah pada kaumku, sŭrta bŭbrapa pŭrsŭmbahan.
ACT.24.18	Hata kumdian deripada hal ini, maka adalah bŭbrapa orang Yahudi deri Asia tŭlah mŭndapati aku disuchikan dalam ka’abah, bukannya dŭngan orang banyak, dan bukannya pula dŭngan huru hara.
ACT.24.19	Maka patutlah orang itu pun ada disini dihadapanmu, akan mŭnudoh aku, jikalau ada barang pŭrdawaannya atasku.
ACT.24.20	Atau biarlah marika ini sŭndiri bŭrkata kata, kalau kalau iya sudah mŭndapat barang suatu kŭjahatan deri padaku tŭtkala aku bŭrdiri mŭngadap mŭjlis itu.
ACT.24.21	Hanya deri sŭbab pŭrkataan yang tŭlah kukatakan tŭtkala aku bŭrdiri diantara marika itu mŭngatakan, bahwa derihal orang yang mati itu akan dibangkitkan pula, aku dida’wa ulih kamu pada hari ini.
ACT.24.22	Adapun dŭmi didŭngar ulih Felix akan sagala pŭrkara ini, dipŭrtanggohkannyalah marika itu, sŭbab iya mŭngŭtahui akan sagala hal ahwalnya jalan ini dŭngan katrangannya; katanya, Apabila Lysias, pŭnghulu orang sa’ribu itu datang kŭlak, aku nanti tahu sahabis habislah derihalmu.
ACT.24.23	Maka dipŭsannya kapada pŭnghulu orang sa’ratus akan mŭnunggui Paulus, sŭrta mŭmbri bibas akan dia, dan jangan dilarangkannya barang sa’orang yang bŭrkŭnal kŭnalan dŭngan dia datang, atau mŭlawat akan dia.
ACT.24.24	¶ Maka skali pŭrstua kumdian deripada bŭbrapa hari lamanya, datanglah Felix sŭrta istrinya yang bŭrnama Drusila, iya itu sa’orang pŭrampuan Yahudi, maka disurohnya panggil akan Paulus, lalu didŭngarnya dia mŭnchŭrtrakan hal iman akan Almasih.
ACT.24.25	Maka tŭtkala iya mŭngajar derihal kabŭnaran, dan mŭnahani nafsu, dan hukum yang akan datang, maka Felix pun gŭmŭntarlah sangat, sŭrta bŭrkata, Sudah skarang ini, bila kutika sŭnangku kŭlak, aku akan mŭmanggil dikau.
ACT.24.26	Dan lagi haraplah iya akan dibrikan wang ulih Paulus akan dia, supaya dilŭpaskannya dia pŭrgi, maka sŭbab itu disuronnya mŭmanggil banyak kali akan dia mŭngadap handak bŭrkata kata sŭrtanya.
ACT.24.27	Tŭtapi kumdian deripada dua tahun, datanglah Porkius Festus mŭnggantikan Felix: maka Felix sŭbab handak mŭnyukakan sagala orang Yahudi itu, dibiarkannyalah Paulus itu tŭrblunggu.
ACT.25.1	ADAPUN sŭtlah sudah Festus masok dalam jajahan itu, maka kumdian deripada tiga hari, naiklah iya deri Kesaria kaJerusalem.
ACT.25.2	Maka datanglah imam bŭsar, dan orang yang mulia mulia deri antara orang Yahudi mŭngadap Festus, akan mŭlawan Paulus, sŭrta mŭminta kapadanya,
ACT.25.3	Sambil mŭmohonkan anugrah, handak mŭlawan akan dia, supaya dipanggilnya mŭngadap kaJerusalem, tŭtkala diadangkan orang akan dia ditŭngah jalan handak mŭmbunoh dia.
ACT.25.4	Maka disahut ulih Festus, Bahwa Paulus itu patut tŭrpŭnjara diKesaria, akan tŭtapi aku sŭndiri pun handak pŭrgi kŭsana.
ACT.25.5	Sŭbab itu, katanya, Jikalau ada orang diantara kamu yang bulih pŭrgi, biarlah marika itu turon bŭrsama sama, bulih bŭrbichara mŭlawan dia, jikalau ada kiranya barang apa kŭjahatannya.
ACT.25.6	Maka sŭtlah iya tinggal disana lebih sa’puloh hari lamanya, lalu turonlah iya kaKesaria. Hata maka pada kaesokkan harinya, dudoklah iya diatas tŭmpat bichara, maka disurohnya mŭmbawa Paulus kahadapannya.
ACT.25.7	Shahadan sŭtlah datanglah iya, adapun orang Yahudi yang turon deri Jerusalem adalah mŭnglilingi akan dia dŭngan mŭmbawa tudohan banyak dan bŭrat akan Paulus, yang tiada dapat marika itu mŭmbri saksi derihal itu.
ACT.25.8	Tŭtapi ulih Paulus dibrinyalah jawab dŭmkian katanya, Bahwa tiadalah aku bŭrdosa kapada tauret orang Yahudi, atau kapada ka’abah, atau kapada Kiesar.
ACT.25.9	Akan tŭtapi Festus, sŭbab handak mŭnunjokkan kasihnya kapada orang Yahudi, maka disahutnya kapada Paulus sambil bŭrkata, Mahukah angkau naik kaJerusalem, supaya dibicharakan halmu itu dihadapanku disana?
ACT.25.10	Maka jawab Paulus, Adalah hamba ini bŭrdiri dihadapan tŭmpat bichara Kiesar, iya itu tŭmpat yang patut aku dibicharakan, maka kapada orang Yahudi tiadalah aku mŭmbuat barang apa salah, tuan hamba pun ma’lomlah.
ACT.25.11	Kŭrna jikalau ada aku mŭmbuat salah, atau mŭngŭrjakan barang apa hukum yang patut dibunoh, maka skali kali tiada aku ŭnggan; akan tŭtapi jikalau tiada bŭnar barang apa yang ditudohi ulih marika itu atasku, tiadalah sa’orang jua pun yang bulih mŭnyŭrahkan aku kapada marika itu. Aku mahu pŭrgi bichara kapada Kiesar.
ACT.25.12	Sŭtlah itu maka Festus pun apabila sudah mufakat dŭngan sagala orang orang bichara itu, maka bŭrkatalah iya, Bahwa angkau handak pŭrgi bichara kapada Kiesar, handaklah angkau pŭrgi mŭngadap Kiesar.
ACT.25.13	Adapun kumdian deri pada bŭbrapa hari antaranya, datanglah raja Agripa dan Berniki kaKesaria handak mŭlawat Festus.
ACT.25.14	Maka bŭbrapa hari lamanya iya disana, maka dichŭrtrakan ulih Festus akan sagala hal ahwal Paulus kapada raja, katanya, Ada sa’orang orang yang ditinggalkan tŭrblunggu ulih Felix.
ACT.25.15	Maka tŭtkala aku diJerusalem, sagala imam yang bŭsar dan orang orang tua tŭlah mŭngadap deri kŭrnanya, mŭminta hukumkan akan dia.
ACT.25.16	Maka sahutku kapada marika itu, Tiada adat orang Rom mŭnyurohkan barang orang yang akan dibunoh itu dahulu deripada yang ditudohi itu bŭrhadapan dŭngan orang orang yang mŭnudoh, sŭrta mŭndapat izin mŭmbri jawab akan hal pŭrdawaannya itu.
ACT.25.17	Sŭtlah itu apabila marika itu sudah datang kamari dŭngan tiada bŭrlambatan, maka pada kaesokkan harinya dudoklah aku ka’atas tŭmpat bichara, lalu orang itu pun kusuroh mŭngadap.
ACT.25.18	Maka tŭtkala halirlah sagala orang yang mŭnudoh itu, maka ta’dapatlah marika itu mŭmbawa pŭrdawaan barang suatu spŭrti yang tŭlah kusangkakan.
ACT.25.19	Mŭlainkan adalah bŭbrapa sual kapada marika itu mŭlawan akan dia derihal agamanya, dan lagi deripada sa’orang yang bŭrnama Isa yang tŭlah mati, iya itu dikatakan ulih Paulus ada hidop.
ACT.25.20	Maka sŭbab aku shaklah akan hal pŭrdawaan ini, lalu kupintalah kapadanya kalau kalau mahu iya pŭrgi kaJerusalem, supaya dibicharakan sagala halnya itu disana.
ACT.25.21	Maka apabila Paulus mŭminta tahankan supaya bichara kapada Augustus, lalu kusuroh pŭnjarakan dia, sahingga aku kirimkan dia kapada Kiesar.
ACT.25.22	Sŭtlah itu bŭrkatalah Agripa kapada Festus, Aku sŭndiri pun suka mŭnŭngar derihal pŭngaduan orang ini. Maka bŭrkatalah Festus, Bahwa esok bulihlah angkau mŭnŭngar akan dia.
ACT.25.23	Arkian maka kaesokkan harinya, sŭtlah datanglah Agripa dan Berniki dŭngan bŭbrapa kŭbŭsarannya, lalu masoklah iya katŭmpat pŭngaduan, sŭrta dŭngan pŭnghulu pŭnghulu orang sa’ribu, dan orang bŭsar bŭsar dalam nŭgri itu, maka dibawa oranglah akan Paulus itu pun mŭngadap dŭngan titah Festus.
ACT.25.24	Sŭbarmula maka bŭrkatalah Festus, Ya raja Agripa dan sagala orang yang bŭrhalir disini bŭsŭrta dŭngan kami, maka kamu mŭlihat akan orang ini, inilah dia yang dipinta tulong ulih orang Yahudi pada aku, baik diJerusalem, baik disini, dŭngan bŭrtriak, Bahwa tiadalah patut iya ini dihidopi lagi.
ACT.25.25	Tŭtapi apabila aku tŭlah mŭndapat iya itu tiada patut dihukumkan mati, dan lagi iya sŭndiri pun tŭlah mŭminta bichara kapada Augustus, maka aku tŭlah tŭntukan handak mŭngirimkan dia.
ACT.25.26	Maka tiadalah dapat aku kirimkan surat deri halnya pada tuanku, sŭbab itulah aku bawa dia mŭngadap kamu skalian, istimewa kapadamu ya raja Agripa, apabila sudah dipreksai dia, bulih dapatlah kusuratkan barang apa deri halnya.
ACT.25.27	Kŭrna pada sangkaku tiadalah patut dikirimkan sa’orang yang tŭrpŭnjara itu dŭngan tiada dinyatakan kŭsalahannya.
ACT.26.1	SŬBARMULA maka bŭrkatalah Agripa kapada Paulus, Angkau bŭrulih izin akan mŭnchŭrtrakan sagala hal ahwalmu. Maka tŭtkala itu Paulus pun mŭngisharatkan dŭngan tangannya, sŭrta mŭnchŭrtrakan derihal ahwalnya.
ACT.26.2	Maka adalah pada pŭrasaan patik, sukalah patik hie raja Agripa, kŭrna pada hari inilah patik akan mŭnchŭrtrakan derihal ahwal patik dihadapan tŭngku derihal sagala pŭngaduan orang Yahudi atas patik.
ACT.26.3	Istimewa pula bahwa ma’lomlah patik, tŭngku tŭlah pahamlah dalam sagala adat dan pŭrsŭlisihan diantara orang Yahudi itu, maka sŭbab itu patik pinta, tŭngku dŭngarlah akan hal patik dŭngan sabar hati tuan.
ACT.26.4	Adapun akan hal patik deri kŭchil, iya itu deri mula mula adalah bŭrsama sama dŭngan kaumku diJerusalem, maka dikŭtahui ulih sagala orang Yahudi akan dia.
ACT.26.5	Marika itu kŭnallah akan patik deri mulanya, jikalau iya mahu mŭnjadi saksi, bahwa patiklah sa’orang Farisia yang mŭnurot mŭzhab agama kami yang turlebih kŭras itu.
ACT.26.6	Maka skarang pun patik dida’wa sŭbab patik harap akan pŭrjanjian yang tŭlah dikurniakan Allah pada nenek moyang kami.
ACT.26.7	Adapun kŭrna pŭrjanjian itulah juga duablas suku bangsa kami sŭntiasa pada malam dan siang bŭrbuat bakti, sŭrta harap akan mŭndapat dia; maka sŭbab harap itulah, ya raja Agripa, patik dida’wa ulih orang Yahudi.
ACT.26.8	Mŭngapakah, pada sangkamu mustahilkah bagie Allah itu handak mŭnghidopkan orang yang mati itu?
ACT.26.9	Bahwa sŭsungguhnya tŭlah patik sangkakan sŭndiri, bahwa patutlah patik ini bŭrbuat bŭbrapa pŭrkara yang mŭlawan akan nama Isa orang Nazareth itu.
ACT.26.10	Spŭrti yang patik tŭlah pŭrbuat diJerusalem, dan bŭbrapa orang yang suchi patik kurongkan kŭdalam pŭnjara, tŭtkala patik tŭlah mŭndapat kwasa deripada imam yang bŭsar bŭsar: maka apabila marika itu dibunoh patik mŭmpŭrkŭnankan dia.
ACT.26.11	Maka kŭrap kali patik seksakan marika itu dalam tiap tiap kŭnisa, sŭrta mŭnggagahi dia mŭnghujat agama Isa, dan dŭngan marah yang amat garang itu patik tŭlah mŭngannyayai dia sampie kapada nŭgri asing asing.
ACT.26.12	Adapun dalam antara patik bŭrjalan kaDamsek, patik tŭlah mŭndapat kwasa dan pŭrentah deripada imam yang bŭsar bŭsar.
ACT.26.13	Hata pada tŭngah hari ya raja, tiba tiba patik lihat diantara jalan suatu chaya deri deri langit yang tŭrlebih bŭsar pada chaya matahari, gilang gumilang dikliling patik, dan sagala orang yang bŭrjalan sŭrtaku pun.
ACT.26.14	Maka kami skalian pun tŭrjŭrumuslah kabumi, lalu patik mŭnŭngar suatu swara bŭrkata pada patik dŭngan bahsa Ibrani, Hie Saul, Saul, mŭngapakah angkau mŭngannyayai aku? Sukarlah bagiemu mŭnŭndang kapada duri duri.
ACT.26.15	Maka jawab patik, Siapakah angkau ya Tuhan? Maka bŭrkatalah iya, Akulah Isa yang angkau annyayakan itu.
ACT.26.16	Maka skarang pun bangunlah bŭrdiri, kŭrna aku tŭlah mŭnunjokkan diriku kapadamu, sŭbab handak mŭnŭntukan angkau mŭnjadi utosan dan saksi bagie sagala pŭrkara, baik yang tŭlah angkau lihat, baik yang aku akan mŭnunjokkan diriku kŭlak padamu.
ACT.26.17	Maka akulah akan mŭlŭpaskan dikau deripada kaum itu, dan deripada orang sŭsat; maka skarang pun pada marika itulah juga aku mŭnyurohkan angkau.
ACT.26.18	Supaya mŭmbukakan matanya, dan mŭmbalikkan marika itu deripada kagŭlapan kapada trang, dan deripada kwasa Shietan kapada kwasa Allah, supaya dosa marika itu diampuni, sŭrta didapatinya suatu pusaka diantara orang yang tŭlah disuchikan dŭngan bŭriman akan daku.
ACT.26.19	Sŭbab itu ya raja Agripa, tiada patik dŭrhaka akan pŭnglihatan deri shorga itu.
ACT.26.20	Mŭlainkan patik mŭngatakan dahulu kapada sagala orang yang ada dinŭgri Damsek dan diJerusalem, dan pada sagala dairah tanah Yahuda, dan kapada orang orang sŭsat, bahwa patutlah marika itu bŭrtaubat, sŭrta bŭrbalik kapada Allah dŭngan mŭngŭrjakan pŭkŭrjaan yang stuju dŭngan taubat.
ACT.26.21	Adapun sŭbab sagala pŭrkara inilah, orang Yahudi tŭlah mŭnangkap patik dalam ka’abah, handak dibunohnya akan patik.
ACT.26.22	Akan tŭtapi patik ini tŭlah mŭndapat tulongan deri pada Allah, maka sŭbab itu tŭtaplah patik sampie kapada masa ini dŭngan bŭrsaksi, baik kapada orang kŭchil, baik kapada orang bŭsar, dŭngan tiada mŭngatakan barang pŭrkara yang lain deripada yang tŭlah disabdakan ulih sagala nabi, dan ulih Musa; bahwa sagala pŭrkara ini dapat tiada akan jadi adanya.
