MAT.1.1	Ekitabu kyesyondengo sya Yesu Kristo, mugala wa Dawidi, mugala wa Abrahamu.
JHN.19.19	Pilato mwasaka erimi nyisya eri mwahiraryo oko musalaba. Hasakawa hati, YESU WANAZARETI, OMWAMI WA BAYUDA. 
JHN.19.20	Neryo abangi boko baYuda mobabya bakalebya amasako ayo, kusangwa aho Yesu abambawa oko muti habya hakuhi nomuyi: kyasakawa omo kiEbrania, nomo kiRoma, nomo kiGiriki. 
JHN.19.21	Abahereri bakulu babaYuda mobabwira Pilato, bati, Susake, Omwami wabaYuda; nikwa, uti, abuga ati, Indi Mwami wabaYuda. 
JHN.19.22	Pilato mwasubiryabo, ati, Ekyo nabirisaka, inabirisaka.
JHN.19.23	Neryo abasoda, ababamba Yesu oko muti, mobaheka esyongimba siwe mobagabasyo mo magabo ani, oko buri musoda erigabo; nekanzu nibya: nekanzu eyo yabya butsira mulando, inilukire ehosi eritsuka endata. 
JHN.19.24	Kyaleka ibabwi rana, bati, Situtuleyo, nikwa tukange obukanga busana nayo, nga ikandibya yandi: erisaka ribererere, erikabuga, riti, Mobagaba esyongimba syage omukati-kati kabo, Mobakanga obukanga busana nekanzu yage.
JHN.19.25	Abasoda mobakola batya, nikwa habya himene hakuhi nomusalaba wa Yesu, nyinya, na mwali wabo nyinya, ye Maria muka Kleopa, na Maria Magdalene. 
JHN.19.26	Neryo omugulu Yesu alangira koyo wuwe, nomwiga oyo abya anzire inianimene hakuhi, mwabwira nyinya, ati, Mukali, lebaya mugala wawe! 
JHN.19.27	Neryo mwabwira omwiga oyo, ati, Lebaya, koyo wawe! Neritsuka oko ndambi eyo omwiga oyo mwamutwala ewuwe.
JHN.19.28	Enyuma waho Yesu, inianasi emyatsi yosi iyamabihwa, erisaka ribererere, mwabuga ati, Ngwire nyota. 
JHN.19.29	Neryo habya hahirirwe erirega ryoswire siki: neryo mobahira embu huma iyoswire nesiki mobahirayo oko hisopo, mobahirayo oko buno buwe. 
JHN.19.30	Neryo Yesu abere abiimya siki, mwabuga ati, Byamahwa: munamya omutwe wuwe, mwaha ekirimu kiwe kyo lugendo.
JHN.19.31	Neryo abaYuda, kusangwa kyaba ekiro kyErikokotya, emibiri sibye oko musalaba omo kiro kyasabatu (kusangwa ekiro kyasabatu ekyo kyabya kikulu), mobabulya Pilato amagulu wabo abunangawe, balusibawe ho. 
JHN.19.32	Neryo basoda mobasa, mobabuna amagulu womundu werimbere, na wogundi oyo abambawa oko muti haguma naye: 
JHN.19.33	nikwa omugulu bahika oko Yesu, mobalebya iniamabihola, mobatabuna amagulu wuwe: 
JHN.19.34	nikwa muguma wokobasoda mwatsimita omolukanga luwe omwitumo, neryo-neryo omusasi namagetsi mo byalwamo. 
JHN.19.35	Noyo walangira yukatulago, neritulago riwe ni kwenene: kandi anasi kwakabuga kwenene, imwikirirya. 
JHN.19.36	Ku sangwa emyatsi eyi moyabya erisaka ribererere, riti, Erikuha riwe siryendisyabunwa. 
JHN.19.37	Nakandi erindi erisaka riti, Basya lola ukwoyo batsimita.
JHN.19.38	Nenyuma wemyatsi eyi Yosefu wArimatea, abya omwiga wa Yesu, nikwa omo bubi-sobiso busana neriubaha baYuda, mwasaba Pilato ehamuli yeritwala omubiri wa Yesu: Pilato mwamuha hamuli, Neryo mwasa mwatwala omubiri wuwe. 
JHN.19.39	Neryo Nikodemo naye mwasa, oyo wamuhikako erimbere omo kiro, iniakaleta eritulungana ryamanemane na uvumba nge miheke ibiri. 
JHN.19.40	Neryo mobimya omubiri wa Yesu, moba sengago omo myenda haguma na manukato owakakumba ndeke ngemitsye yabaYuda omugulu werita. 
JHN.19.41	Nikwa aho bamu bamba habya eririma; nomwirima eryo habya eyisinda nyihya nyihya eyiteyatatabwa mo mundu. 
JHN.19.42	Naho hobahira Yesu, kusangwa kyabya kiro kyErikokotya kyabaYuda (kandi eyisinda eyo yabya hakuhi).
JHN.20.1	Noko kiro kyeritsuka kyeyenga Maria Magdalene mwasa okwisinda omo ngyakyangyakya omwirimya iniakineyo, mwalangira eribwe iryabirilusibwa okwisinda. 
JHN.20.2	Neryo mwa tibita, mwaya iri Simoni Petero, nogundi mwiga oyo Yesu anzire, mwabwirabo, ati, Balusirye oMukama omwisinda, sitwasi aho bamuhirire. 
JHN.20.3	Neryo Petero nogundi mwiga oyo mobaya okwisinda. 
JHN.20.4	Mobatibitira iguma: nogundi mwiga mwalengya Petero yamagulu, mwatsuka erihika okwisinda; 
JHN.20.5	neriunama mwasamariramo, mwalangira esyongimba isini kirye; nikwa mwatingiramo. 
JHN.20.6	Simoni Petero mwahikaho, inianamukwamire, mwingira omwisinda; naye mwalangira esyongimba isinikirye, 
JHN.20.7	nekihande kyolukimba, ekyabya okomutwe, isikikirye haguma nesyongimba syemisohe, nikwa ikilingire huwakyo. 
JHN.20.8	Neryo ogundi mwiga oyo mwingira oyo watsuka erihika okwisinda, mwalangira, mwikirirya. 
JHN.20.9	Ku­sangwa isibebaminya amasako, kwatolere erilubuka oko baholi. 
JHN.20.10	Neryo abiga mobasuba oko wabo.
JHN.20.11	Nikwa Maria abya imene okwisinda akarira: neryo abere enemorira, munama mwasamarira omwisinda; 
JHN.20.12	mwalola oko balaika babiri ibambite nyeronyero ibanikere, muguma aho bisegemo, nogundi aho bilambiryo, aho omubiri waYesu abya agotseribwe. 
JHN.20.13	Nabo mobamubulya, bati, Mukali, ukarira busana naki kwehi? Naye mwabwirabo, ati, Kusangwa batwere Mukama wage, nage sinyasi aho bamuhirire. 
JHN.20.14	Neryo ama bibuga atya, mwakeba, mwalola oko Yesu inianimene, isiasi kwari ini Yesu. 
JHN.20.15	Yesu mwamubulya ati. Mukali, ukarira busana naki kwehi? ukasondayandi kwehi? Naye, iniakagani raya ati yo mulimi weririma, mwamubwira ati, Mukama, wamabya ini we wamutwere handi, umbwire aho wamuhirire nage ngandimuheka. 
JHN.20.16	Yesu mwamubwira, ati, Maria. Naye mwamukebera, mwabuga naye omo kiEbrania ati, Raboni; riringene neribuga riti, Mukangirirya. 
JHN.20.17	Yesu mwamubwira ati, Sunyituleko; kusangwa sindinahetukira ewa Tata; nikwa ugende uyabwire abagala betu, ubuge uti, Namahetukira ku Tata wage na Tata wenyu, noko Mungu wage noMungu wenyu. 
JHN.20.18	Maria Magdalene mwagenda mwayabwira biga, ati, Nabirilola oko Mukama; kandi ngoko akanaya naye emyatsi eyo.
JHN.20.19	Nikwa omwigolo, ryekiro ekyo, ekyo kyeritsuka kyeyenga, omugulu esyonyuyi syabya isyamabikingwa aho abiga babya busana neriubaha baYuda, Yesu mwasa mwahangana omukati kati kabo, mwabwirabo, ati, Obuholo kwinywe. 
JHN.20.20	Neryo amabibuga atya, mwakangyabo ebyala biwe nolukanga luwe. Abiga mobatsema omugulu balola oko Mukama. 
JHN.20.21	Neryo Yesu mwaswabwirabo, ati, Obuholo kwinywe: ngoko Tata anyituma, nage kongabatuma nyitya. 
JHN.20.22	Amabibuga atya, mwahumulira kubo, ati, Mwangirire eKirimu Kibuyirire: 
JHN.20.23	abo bosi mwasyabuyira ebibi ibyamabibuyirwa kubo; nabo bosi, mwamabyegeka kwebibi byabo, ibyamabyegekwa kubo.
JHN.20.24	Nikwa Toma, muguma wokwikumi na babiri, iniakahu lawa mo Muhasa, syabya haguma nobo omugulu Yesu asa. 
JHN.20.25	Neryo abandi biga mobamubwira bati, Twabirilola oko Mukama. Nikwa mwabwirabo, ati. Namatindalola oko syo ngolu syesyotutu omo byala biwe, nerihira omunwe wage omo ngolu yesyotutu, nerihira ebyala byage omo lukanga luwe, sindiendisikirirya.
JHN.20.26	Nenyuma webiro munani kandi abiga babyamo, na Toma haguma nabo. Yesu mwasa, esyonyui isinakingire, mwahangana omukati-kati kabo, mwabuga ati, Obuholo kwinywe. 
JHN.20.27	Neryo mwabuga na Toma, ati, Leta omunwe wawe, ulebaye ebyala byage; leta ebyala byawe, uhirebyo omo lukanga lwage: subye butsira erikirirya, nikwa ubye iwikirirye. 
JHN.20.28	Toma mwamu subirya, ati, Mukama wage noMungu wage. 
JHN.20.29	Yesu mwamu bwira, ati, Kusangwa wabirinyilolako, wamikirirya: ni batsu mulwa abakikiriraya batebalangira. 
JHN.20.30	Nikwa ebindi bitikotiko bingi Yesu mwakola embere yabiga buwe, sibyetasakwa omu kitabu eki: 
JHN.20.31	nikwa ebi bisakire, imwikirirya ko Yesu ari Kristo, Mugala woMungu; nerikirirya imwabya nengebe omo rina riwe.
JHN.21.1	Enyuma yemyatsi eyi Yesu mwayiminyisya kandi oko biga oko ngetsi ya Teberia; mwayiminyisya momusindo oyu. 
JHN.21.2	Habya haguma Simoni Petero, na Toma oyo kahulawa mo Muhasa, na Natanaele weKana keGalilaya, na bagala baZebedayo, nabandi biga babiri. 
JHN.21.3	Simoni Petero mwabwi rabo, ati, Ingye ngayasoha mahere. Nabo mobamubwira, bati, Netu tukagenda nawe. Mobahuluka, mobingira omo bwato; nomo kiro ekyo mobatahambaki. 
JHN.21.4	Nikwa omugulu bwasonda ikya, Yesu mwahangana oko musike wengetsi: nikwa abiga mobataminyi kwari Yesu. 
JHN.21.5	Neryo Yesu mwabulyabo ati, Bana, munawite ekerirya kwehi? Mobamusubirya bati, Eyihi. 
JHN.21.6	Naye mwabuga nabo, ati, Muguse obutahataha oko luhande lwamali lwobwato, mukandibanago. Neryo mobagusabo, neryo-neryo mobataluka okwikurabo busana namahere mangi. 
JHN.21.7	Neryo omwiga oyo Yesu abya anzire mwabwira Petero, ati, Ka yo Mukama. Neryo omugulu Simoni Petero owa kwari iyo Mukama, mwambala olukimba luwe (kusangwa abya isyambite), mwayigusa omo ngetsi. 
JHN.21.8	Nikwa abandi biga mobasa omo bwato buke ibanemokura obutahataha ibuno swire na mahere, kusangwa sibabya hali oko musike, nikwa nga metere makumi mwenda nibiri. 
JHN.21.9	Neryo bamabilwamo erihika oko musike, mobalola oko muliro wamakala aho namahere inianeko, no bundu. 
JHN.21.10	Yesu mwabwirabo, ati, Mulete oko mahere ayo mukabisoha. 
JHN.21.11	Simoni Petero mwayayo mwakurira obutaha taha oko musike ibuno swire namahere manenemanene, erigana namakumi atano nasatu: nomwanabya mangi obutahataha mobutatwika. 
JHN.21.12	Yesu mwabuga nabo, ati, Mwase, murye. Mohatabya nomuguma woko biga oyo walenga erimubulya, ati, Uwendi, ibanasi kwabya iyo Mukama. 
JHN.21.13	Neryo Yesu mwasa, mwimya obundu, mwahabo, kandi mwayira atya namahere. 
JHN.21.14	Eyi ni ngendo ya kasatu Yesu akayiminyikalya oko biga, iniabirilubuka oko baholi.
JHN.21.15	Neryo omugulu bamabirya, Yesu mwabulya Simoni Petero, ati, Simoni, mugala waYoane, unyanzire kwilaba aba kwehi? Naye mwabuga, ati, Ega Mukama; unasi ko nyi kwanzire. Neryo mwamubwira ati, Ulisaye ebyana byesyo mbuli syage. 
JHN.21.16	Mwaswamubulya engendo ya kabiri, ati, Simoni, mugala waYoane, unyanzire kwehi? Naye mwabuga naye, ati, Ega, Mukama, unasi ko nyikwanzire. Naye mwabuga naye, ati, Tegaya esyombuli syage. 
JHN.21.17	Mwabuga naye engendo yakasatu, ati, Simoni, mugala waYoane, unanyanzire kwehi? Petero mwabya nobulige kusangwa amamubulya engendo isatu, ati, Unanyanzire kwehi? Neryo mwamubwira ati, Mukama, unasi emyatsi yosi; unasi ko nyikwanzire. Yesu mwabuga naye, ati, Ulisaye esyombuli syage. 
JHN.21.18	Kundu, kundu, ngakubwira, nyiti, OMugulu wabya mulwana, mowayambalya, ukaya ehosi wanzire: nikwa omugulu wasyabya mukulu, wasyakakya ama boko wawe, nogundi asyakwambalya, asyakutwala aho utanzire. 
JHN.21.19	Nikwa abuga eki, iniakahula omusindo woluholo olo asya pipa Mungu mulo. Neryo amabibuga atya, mwamubwira ati, Unyikwame. 
JHN.21.20	Petero anemokeba, mwalangire omwiga oyo Yesu abya anzire, inianakwamirebo; oyo wabya akegemere oko kikuba kyaYesu okwirya ryerigologolo, mwamubulya, ati, Mukama, ni ndi yukakuhotela? 
JHN.21.21	Neryo Petero abere abimu lolako mwabwira Yesu, ati, Mukama, omundu oyu asyayirati kwehi? 
JHN.21.22	Yesu mwabuga naye, ati, Namanza akasigalira erihika aho nasyasira, ekyo niki ukuwe kwehi? unyikwame. 
JHN.21.23	Neryo eKinywa eki mokyagenda-genda omukati-kati ka bagala betu kiti omwiga oyo siendisyahola: nikwa Yesu mwatabuga naye, ati, siendisyahola; nikwa mwamubwira ati, Namanza akasigalira erihika aho nasyasira, ekyo niki ukuwe kwehi?
JHN.21.24	Oyo yo mwiga oyo watula emyatsi eyi kandi yo wasaka emyatsi eyi: netu twasi eritulago riwe ni kwenene. 
JHN.21.25	Neyindi myatsi mingi ine eyo Yesu akola, yamasakwa eyosi ngaganiraya nyiti e kihugo sikyangabana omwanya webitabu ebyangasakwa ebyosi.
ACT.1.1	Omo kitabu ekyerimbere, uwe Teofilo nabirikusakira, bu sana nebyosi Yesu atsuka erikola nerikangirirya, 
ACT.1.2	erihika oko kiro akokibawa endata, amabitegeka abakwenda abo ayisoga busana neKirimu Kibuyirire: 
ACT.1.3	mwayikangya kubo inianeho enyuma wobuligo buwe busana nebiminyikalo bingi, neribu tukirabo ebiro amakumi ani akabuga emyatsi yobwami bwo Mungu: 
ACT.1.4	Neryo abere akine nabo, mwategekabo ati sibalwe eYerusalema, nikwa balindirire erilaga rya Tata, ati, eryo mowa kwingye: 
ACT.1.5	kusangwa Yoane abatisaya omo magetsi; nikwa inywe mwasyabatisibwa omo Kirimu Kibuyirire kute kwakya ebiro bingi,
ACT.1.6	Nabo, bamabihindana haguma, mobamubulya bati, Mukama, oko mugulu oyu ukandisubya obwami oko Israeli kwehi? 
ACT.1.7	Naye mwabwirabo ati, Si busana nenyu eriminya emigulu kutse ebirimo, ebyo Tata abiritegeka omo hamuli yiwe iyowene. 
ACT.1.8	Nikwa mwasyabana maka, eKirimu Kibuyirire kyabibahikako; mwasyabya abatuli bomwatsi wage eYerusa lema, nomo Yudea yosi, neSamaria, nerihika oko nduli ye kihugo. 
ACT.1.9	Neryo ambibuga emyatsi eyi, ibanatungerere, mwahetukibwa; nekitu mokyamwimya erilwa omo meso wabo. 
ACT.1.10	Nomugulu balalamira elubula akagenda, lebaya, abalume babiri mobahangana hakuhi nabo nesyongimba sihenirye, 
ACT.1.11	ababuga bati, Inywe balume beGalilaya, busana naki mu hangene mukasamalira elubula kwehi? Yesu oyu, wamatwalwa elubula erilwa kwimwe, asyasa atya ngoko mwamamulebya akaya elubula.
ACT.1.12	Neryo mobasuba eYerusalema balwa oko kitwa ekikahu lawa mo Zeituni, ekiri hakuhi neYerusalema ngolugendo lwe sabato. 
ACT.1.13	Neryo babere babiingira, mobahetukira omo ngonde yendata yenyumba, neryo mobasibamo; ye Petero na Yoane na Yakobo na Anderea, Filipo na Toma, Balitolomayo, na Matayo, Yakobo mugala wa Alfayo, na Simoni-Zelote, na Yuda mugala wa Yakobo. 
ACT.1.14	Abo bosi omwisonda iguma mobakwamirira erisaba, haguma na bakali, na Maria nyinya wa Yesu, na bagala babo.
ACT.1.15	Nomo biro ebi Petero mwahangana omukati-kati kabali kyetu mwabuga (nabo babya endeko ya bandu bahindene haguma ngerigana na makumi abiri) ati, 
ACT.1.16	Balikyetu, amasako abya atolere iniabererera, ayo eKirimu Kibuyirire kyabuga erimbere omo buno bwa Dawidi busana na Yuda, oyo wabya musondoli wa bahamba Yesu. 
ACT.1.17	Kusangwa aganzirawa kwitwe, kandi mwahabwa ekihande kiwe oko mubiri oyu. 
ACT.1.18	(Nikwa omundu oyu mwagula eririma omo luhembo lwebibi biwe; mwatoga mwatulama, mwatulika, nebila biwe byosi mobyasa ndukala. 
ACT.1.19	Neryo mokyaminyikala oko bosi abatula eYeru salema; kyaleka eririma eryo iryahula moAkeldama, omo mubuge wabo, ryeribuga ambu, Eririma ryomusasi.) 
ACT.1.20	Ku sangwa kyasakawa omo kitabu kya Sauma, kiti, Aho wuwe kibye kima, Sihasweswikala mundu, Nobukulu buwe bwimibawe nogundi.
ACT.1.21	Neryo oko bandu ababirisiba haguma netu endambi yosi eritsuka aho Mukama ingirira omukati-kati ketu neriswahika oko mugulu alwa kwitwe, 
ACT.1.22	eritsuka okwibatisya ya Yoane, erihika oko kiro atwalawa endata erilwa kwitwe, omundu muguma wakubo atolere eribya mulangiri haguma netu oweri lubuka riwe. 
ACT.1.23	Mobahira babiri embere syabo, ye Yosefu oyu kahulawa mo Baranaba, oyu waswalukawa mo Yusto, na Matia. 
ACT.1.24	Neryo mobasaba, bati, Uwe Mukama, uwe wasi emitima ya bandu bosi, ukanganaye oko aba babiri oyo wamayisoga, 
ACT.1.25	erimya omwanya omo mubiri nobukwenda bwa Yuda oyo watoga, agende ho wuwe. 
ACT.1.26	Nabo mobakola ekura busana nabo; nekura moyatogera ku Matia; naye mwaganzirwa oko bakwenda ikumi na muguma.
ACT.2.1	Nekiro kye Pentekote kyabere kyabihika, abosi mobabya hagumaguma. 
ACT.2.2	Neryo-neryo omulenge mwalwa elubula ngeribuhirira rye rihunga inene, moryusulya enyumba yosi aho babya bikere. 
ACT.2.3	Neryo mohabutuka kubo ebirimi ibigabene ngebyomuliro; mobikala oko buri mundu. 
ACT.2.4	Nabosi mobu sulibwa neKirimu Kibuyirire, mobatsuka eribuga omo yindi mibuge, ngoko Kirimu kyahabo eribuga.
ACT.2.5	Nikwa habya baYuda abikere eYerusalema, bandu bagenge, erilwa omo bihanda byosi eyikwa oko butuku. 
ACT.2.6	Nomugulu omulenge oyo ogubawa, endeko moyahindanaho, mobasweka kusangwa oburi mundu owabo bakabuga omo mubuge wuwe. 
ACT.2.7	Nabosi mobasweka mobumirwa, bati, Lebaya, abakabuga abo sibaGalilaya kwehi? 
ACT.2.8	Netu tukowa tuti kwehi, oburi mundu omo mubuge wuwe abutawa mo. 
ACT.2.9	BanyaParti na banyaMedi na banyaElamu nabatula eMesopotamia, Yudea, na Kapadokia, Ponto na eAsia, 
ACT.2.10	Furigia, na Pamfilia, Misiri nebihande bye Libia kihererenye neKurene, na bageni beRoma, abaYuda na bakwamirebo, 
ACT.2.11	banyaKrete na Barabu, tukowabo bakabuga omo mibuge yetu emibiri yamaka yoMungu. 
ACT.2.12	Nabosi moba sweka, mobabula kyeribuga mobabulania, bati, Eki kikahulaki kwehi? 
ACT.2.13	Nikwa abandi mobanegula, bati, Babirikunda nebinyu bihyabihya.
ACT.2.14	Nikwa Petero mwahangana haguma nerikumi na muguma, mwasumba omulenge wuwe, mwabuga nabo, ati, Inywe bandu beYudea, nenyu bosi abikere eYerusalema, eKinywa eki mu minyekyo, mowe ebinywa byage. 
ACT.2.15	Aba sibakundire ngoko mukaganiraya: kusangwa ni ndambi isatu syeritungi; 
ACT.2.16	nikwa eki kyabugawa nomuminyereri Yoeli, ati,
ACT.2.17	Mungu ati, kikandisyabya oko biro byenyuma.
ACT.2.17	Nasyutulira eKirimu kyage oko mibiri yosi:
ACT.2.17	Nabagala benyu nabali benyu basyaminyerera,
ACT.2.17	Nabalwana benyu basyalola oko nzoli,
ACT.2.17	Nabasyakulu benyu basyalota:
ACT.2.18	Kandi oko biro ebyo oko bagombe bage abalume na bakali
ACT.2.18	Nasyutulira eKirimu kyage; basyaminyerera,
ACT.2.19	Nasyakangania ebyeriswekera omo lubula endata
ACT.2.19	Nebitikotiko mona kihugo eyikwa;
ACT.2.19	Omusasi, nomuliro, neritumba ryomuki:
ACT.2.20	Eryuba ryasyabindulwa mo mwirimya,
ACT.2.20	Nomukera mo musasi,
ACT.2.20	Embere werihika ryekiro kyoMukama,
ACT.2.20	Ekiro ekyo kikulu ekyeriminyikala.
ACT.2.21	Neryo kyasyabya omundundi oyo wasyabirikira erina ryoMukama asyalamibwa.
ACT.2.22	Inywe balume baIsraeli, muhulikirire ebinywa ebi: Yesu we Nazareti, omundu usimirwe noMungu busana nenyu oko mibiri yamaka, nebyeriswekera nebitikotiko ebyo Mungu akola busana naye omukati-kati kenyu, ngoko nenyu munasi; 
ACT.2.23	iye abere abihoterwa ngoko Mungu ahana neriminya ebitebyabya, inywe momwamwita oko muti nerimuholya omo byala bya bandu babi; 
ACT.2.24	oyo Mungu alubukaya, iniamabibohola eri agalwa ryoluholo: kusangwa moritatokekana akabohwa muryo. 
ACT.2.25	Kusangwa Dawidi mwabuga busana naye, ati,
ACT.2.25	Monalola oko Mukama ebiro byosi embere syage:
ACT.2.25	Kusangwa ari oko byala byamali byage, isinangatundwa:
ACT.2.26	Neryo mutima wage mwatsema, no lulimi lwage molwatsanga;
ACT.2.26	Kandi mubiri wage asikala omo maha:
ACT.2.27	Kusangwa siwendisya siga ekirimu kyage omo Kurimu,
ACT.2.27	Kutse siwendisyaha oMubuyirire wawe erilola okwihonda,
ACT.2.28	Mowanyiminyisya esyonzira syengebe;
ACT.2.28	Wasyanyusulya nobutseme embere syobusu bwawe.
ACT.2.29	Balikyetu, ngabuga nenyu neriminyikalya busana na Tata mukulu ye Dawidi, kwa hola kwa tabawa, neyisinda yiwe ine ewetu na lino. 
ACT.2.30	Kwa bya muminyereri, mwaminya ko Mungu amulahiriraya nerilahirya, asyahira muguma woko lubuto luwe oko kitumbi kiwe kyobwami; 
ACT.2.31	anye erilangira bitebyabya ahula erilubuka rya Kristo, nakandi mwatamuleka ekurimu, nomubiri wuwe mwatalola okwihonda. 
ACT.2.32	Yesu oyu Mungu mwamulubukya, netu turi balangiri beritulago. 
ACT.2.33	Neryo mwa hetukibwa nebyala bya mali byoMungu, nerihabwa nIse erilaga rye Kirimu Kibuyirire, mutula eki mukalangira mukowa. 
ACT.2.34	Kusangwa Dawidi mwatahetukira elubula: nikwa iye mwa­buga ati,
ACT.2.34	OMukama mwabwira oMukama wage, ati,
ACT.2.34	Wikale oko byala byage byamali
ACT.2.35	Erihika aho nasyayirira esyonzigu syawe mokitumbi kya bisandu byawe.
ACT.2.36	Neryo enyumba yosi ya Israeli iminye ndeke, ko Mungu abirimuyira mo Mukama na Kristo oyo mwitira oko muti.
ACT.2.37	Omugulu bowa ekyo, mobahisibwa omo mitima yabo, mobabulya Petero na bandi bakwenda, bati, Balikyetu, tuyire tuti kwehi? 
ACT.2.38	Petero mwasubiryabo, ati, Mubinduke, oburi mundu abatisibawe omu rina ryaYesu Kristo mubane erilu sibwa kwe bibi byenyu; kandi mwasyimya erihitya ryeKirimu Kibuyirire. 
ACT.2.39	Kusangwa erilaga riri busana nenyu nabana benyu noko bosi bari hali, abo Mukama Mungu wetu asyabiri kira kwiye. 
ACT.2.40	Mwatula neyindi myatsi mingi, nerihanabo, ati, Muyilamaye oko lulengo luhengemire olu. 
ACT.2.41	Neryo abangirira kinywa kiwe mobabatisibwa: noko kiro ekyo mohatomekerwa kubo nga bandu elfu isatu. 
ACT.2.42	Neryo mobakwamirira ndeke erikangirirya ryabakwenda nerianzana, neritsutsanga obundu nerisaba.
ACT.2.43	Neriubaha moryahika oko buri mundu: nebyeriswekera nebitikotiko bingi mobyakolwa na bakwenda. 
ACT.2.44	Nabosi bikiriraya mobabya haguma, mobasangira ebyosi; 
ACT.2.45	moba gulya obusoki bwabo nebindu byabo, mobagababyo oko bosi, ngoko mundu ekyari nobwaga. 
ACT.2.46	Nekirokiro mobakwamirira nomutima muguma omo hekalu, neritsutsanga obundu eka, mobimya akaryo kabo nobutseme nomutima muguma, 
ACT.2.47	eri pipa Mungu nerisimwa na bandu bosi. NoMukama mwatome kera kubo ekirokiro abalamibawa.
ACT.3.1	Nikwa Petero na Yoane babya ibakahetukira omo hekalu oko ndambi yerisaba, endambi yomwenda. 
ACT.3.2	Nomundu muguma oyo wabya kirema ikwanabutawa atya, ahekawa neri mwegeka oko luyi lwehekalu olukahulawa mo Lubuya, erisaba erihitya oko bakingira omo hekalu; 
ACT.3.3	naye mwalangira Petero na Yoane ibakasonda eriingira omo hekalu, mwabulya ati, ahabawe erihitya. 
ACT.3.4	Petero mwayitegererya haguma na Yoane, mwabuga naye, ati, Utulebaye. 
ACT.3.5	Naye mwasamalirabo, mwa ringikania ati akandibana kindu kubo. 
ACT.3.6	Nikwa Petero mwa buga ati, Ebitsipa nezahabu singwitebyo; nikwa ekyo ngwite ngandikuhakyo. Omo rina rya Yesu Kristo weNazareti, uhangane ubasule. 
ACT.3.7	Neryo mwamuwata oko kuboko kwa mali, mwamuhangania: neryo-neryo ebisandu biwe na mako ngolu mwabana kagala. 
ACT.3.8	Neritwa ekika mwimana, mwatsuka Eribasula; mwingira haguma nabo omo hekalu, akayigendera, neritwa bika, neripipa oMungu. 
ACT.3.9	Nabandu bosi mobamulo lako akagenda neripipa Mungu: 
ACT.3.10	mobamuminya kwari iyoyo wabya akikala nerisaba erihabwa oko luyi Lubuya lwehekalu; mobusula nerisweka nerigasama busana nebya mubyako.
ACT.3.11	Nomugulu awata ku Petero na Yoane, abandu bosi mobatibitira iguma aho bari omo kiseku kikahulawa mo kya Solomono, ibanagasamire kutsibu. 
ACT.3.12	Nomugulu Petero alangira ekyo mwasubirya bandu ati, Inywe balume beIsraeli, busana naki mukagasamira omundu oyu kwehi? kutse busana naki mukayitegereraya itwe, nga ni busana na kagala ketu kutse obugenge bwetu twamaleka iniayigendera. 
ACT.3.13	OMungu wa Abrahamu, na Isaka, na Yakobo, oMungu wabotata wetu, mwaha olukengerwa oko Mugombe wuwe Yesu: oyo mwaho tera, oyo mwagana emuliro wa Pilato, omugulu asonda eri mubohola. 
ACT.3.14	Nikwa inywe momwagana oyu Buyirire noyu Tunganene, momwasaba omwiti muti muhabawe ye, 
ACT.3.15	mo mwita Mwenye ngebe; oyo Mungu alubukaya oko baholi: netu tuli balangiri bebyo. 
ACT.3.16	Kandi busana nerikirirya omu rina riwe, erina riwe ryabiriyira omundu oyu mo wamaka; kandi erikirirya eriri busana naye ryo ryamamuha erilama ndeke eri emuliro wenyu inywe bosi. 
ACT.3.17	Na lino, balikietu, nyasi ko mwakolabyo isimwasi, na barongani benyu nabo ko banakola batya. 
ACT.3.18	Nikwa emyatsi eyo Mungu akangaya embere omo buno bwa baminyereri bosi, ko Kristo wuwe asyagalwa, mwa berereryabyo atya. 
ACT.3.19	Neryo inywe mubinduke, musubule kandi ebibi byenyu bisangulawe, neryo emigulu yeriyisyandira iyatoka eriasa erilwa emuliro gobusu bwoMukama; 
ACT.3.20	iniatoka erituma Kristo oyo wahirawa busana nenyu, ye Yesu: 
ACT.3.21	oyo olubula lutolere eriangirira erihika oko migulu yerisubya ndeke emyatsi yosi eyo Mungu ahula omo buno bwabaminyereri babuyirire buwe ababya kera. 
ACT.3.22	Musa mwabuga, ati, OMukama Mungu asyahangania omuminyereri omukati-kati kabagala benyu oyuri nga ngye; mwasyamowa omo myatsi yosi asyabuga nenyu. 
ACT.3.23	Kandi bikandisyabya, oburi mundu oyu tindasyowa omuminyereri oyo, asyaheribwa omukati-kati ka bandu. 
ACT.3.24	Kandi abaminyereri bosi eritsuka ku Samweli nabamukwama, ababuga abosi, mobahula ebiro ebi. 
ACT.3.25	Inywe muri abagala ba baminyereri, kandi muri berilagana eryo Mungu alagana nabotata wenyu, akabuga na Abrahamu, ati, Omo lubuto lwawe ebihanda byosi bye kihugo byasyatsumulwa. 
ACT.3.26	Eritsuka kwinywe, oMungu, abere abilubukya oMugala wuwe, mwamutuma eribatsumula, iniakabindula oburi mundu kwinywe alwe omo bibi biwe.
ACT.4.1	A Nomugulu babuga na bandu, abahereri nomukulu wehekalu nabaSadukayo mobasa aho bari, 
ACT.4.2	ibamabyagarirwa kubo kusangwa bakangiriraya abandu, neritulago kwerilubuka rya baholi riri omwisi wa Yesu. 
