MAT.1.1	Mɛkana maka kɛ lɛpɔ kasi Yesus Krist nɛ̀ mɛɗinɔ mɛ ɓesaŋmbambɔ ɓenɛ. Nyɛ nday Davit, nday Abaraham. 
ACT.11.6	Ɛ mi ɓɛŋɛ nyaŋgwɛ gwey yinɔri nɛ ŋgoŋ seŋgile yo. Ɛ mi ɓɛŋɛ ɓenyamɔ ɓete ɓe nɛ mɛkol yini ɓe ɗiyɛ kɛ to mɛnɛti nɛ̀ ɓaka ɓe ɗiyɛ kɛ mɔy likɔ nɛ̀ ɓaka ɓe kɛndɛ ɗulma nɛ mɔy nɛ̀ ɓenɔn ɓete ɓe jɛ kɛ kwey, ɓo hɛnɛ ɓa̧ kɛ mɔyte. 
ACT.11.7	Kɛ kɔŋte, ɛ mi wokɛ wɛtɛ mɛn kɛ lɛpɔ nyɛ mi nde: ‹Piyɛr, tɛma, wokɔ ɓenyamɔ ɓenɔri ɗye.› 
ACT.11.8	Yasi wɛtɛ, ɛ mi yeŋsa nde: ‹Ko na, Nyaŋgwɛ Kumande! Kɛto ko yiŋa yasi te yi nɛ sɛmbɔ ho yi nɛ mɛmi tì pa kɛ̀ wɛtɛ yesɔ kɛ numbu mbɛ na.› 
ACT.11.9	Kɛ mɛŋga yiɓate, ɛ mɛn wulɛ ɗyoɓɔ lɛpɔ nde: ‹Yasi te yi Njambiyɛ ma pɛsɔ nde, yo mɛ pupunate, wɛ tî njaki ɓu̧ yo nda yasi te yi nɛ sɛmbɔ na!› 
ACT.11.10	Yo kelnama ɗete kumɔ mɛŋga yitati. Kɛ kɔŋte, ɛ yasi yinɔri hɛnɛ yɔkwɛ kɛ̀ ɗyoɓɔ. 
ACT.11.11	Yaka nɔ, ɓomɔ yitati kɛ ɗya̧ kɛ numɛy tu̧ komɛ mi ɓa̧ ya kɛ́. Ɓo tomma ɓo wulɛ Sesare njesɛ kɛ yembɛ. 
ACT.11.12	Ɛ Kimɔ Sisiŋ lɛpɛ nyɛ mi nde, mi kwâŋ sinɛ ɓo kinɛ pa simta na. Ɓemaŋ ɓusu yitan jɔ wɛtɛ ɓaka ka̧ tikiɗye mi, ɛ wusɛ ɗya̧ nyiŋɛ tu̧ Kɔrnɛy. 
ACT.11.13	Ɛ Kɔrnɛy yekiɗye nda yi nyɛ ɓɛŋma nɛ wɛtɛ jaki Njambiyɛ tɛmnate kɛ mɔy tu̧ ɗyenɛ kɛ́ nyɛ wusɛ, yekiɗye sendi nda yi jaki Njambiyɛ te lɛpima nyɛ nyɛ nde: ‹Tomɔ ɓomɔ kɛnjɛ kɛ Yope kɛ̀ jeɓa nɛ wɛtɛ mbam nde Simɔn, yiŋa ɗinɔ ɗyenɛ nde Piyɛr. 
ACT.11.14	A ta lɛpɔ mɛyasi mɛte yi ta joŋgwɛ wɛ wúnɛ ɓotu ɓe tu̧ ɗyɔ hɛnɛ kɛ́ nyɛ wɛ.› » 
ACT.11.15	Ɛ Piyɛr kɛ̀ mbɔmbu lɛpɔ nde: «Kɛ mi ma nyɛ numbu kɛ lɛpi kɛ́, ɛ Kimɔ Sisiŋ piyɛ nje kɛ yotu ɓotu ɓete ɓe ɓa̧ kɛ tu̧ ɓaka, ndi nda yi Kimɔ Sisiŋ piya nɔ mbɔmbu nje kɛ yotu su ɓejekɛ ɓe Yesus kɛ́. 
ACT.11.16	Ɛ mi takɛ lɛpi te yi Kumande Yesus lɛpima nde: ‹Jaŋ tɔpuma ɓomɔ kɛ mɔrɔku, kɛ ɓɛ wunɛ, Njambiyɛ ta tɔpɛ wunɛ kɛ Kimɔ Sisiŋ.› » 
ACT.11.17	Piyɛr ka̧ sendi mbɔmbu lɛpɔ nde: «Njambiyɛ nya ɓotu ɓete ndi kiya Kimɔ Sisiŋ te yi nyɛ nya wusɛ kɛ ŋgimɔ te yi wusɛ tikima nɛ temɔ kɛ yi Kumande Yesus Krist kɛ́. Ɗete, mi mɔ te nda, nɛ́ mi lu̧ ɗyambi nɛ Njambiyɛ?»
ACT.11.18	Kɛ ɓotu ɓe tomun ɓe Yesus nɛ̀ ɓotu ɓete ɓe ma tikɔ temɔ kɛ yenɛ kɛ Yuda ɓaka ma si wokɔ ɗete kɛ́, ɛ mɛtemɔ man si wɛyɛ. Ɛ ɓo lukse Njambiyɛ lɛpɔ nde: «Njambiyɛ jayma gbate nde, yiŋa mɛkandɔ yêŋsaŋgwɛ sendi temɔ, nɛ́ ɓo ɓɛ nɛ joŋgwɛ.»
ACT.11.19	Ɓotu ɓete ɓe wanjama kɛto nyaŋgwɛ mɛbɔnɛ mɛte yi ɓo teɗya ɓo kɛto Itɛn kɛ́ ka̧ kumɔ Fenisi, kumɔ Siprɛ nɛ̀ Aŋtiyos. Ɓo ɗikima lɛpɔ Kimɔ Tom nyɛ ndi Ɓeyudɛn ɓepɔ. 
ACT.11.20	Ko ɗete, ɓaŋa ɓomɔ kɛ njoka yan ɓe ɓa̧ ɓotu ɓe Siprɛ nɛ̀ ɓotu ɓe Sirɛn ɓaka ka̧ kumɔ kɛ Aŋtiyos. Ɛ ɓo lɛpɛ Kimɔ Tom kɛ kasi Kumande Yesus nyɛ Ɓegrɛk. 
ACT.11.21	Ɗeti te yi Baba Mbokɔ ɗiyma kɛ yotu yan, ɛ ɓomɔ ɓuɗyate yeŋsa temɔ tikɔ kɛ yi Kumande Yesus. 
ACT.11.22	Njɔŋ ɓotu ɓete ɓe ma tikɔ temɔ kɛ yi Kumande Yesus kɛ Yerusalɛm ɓaka wokuma kasi te. Ɛ ɓo tomɛ Barnabas kɛnjɛ kɛ Aŋtiyos. 
ACT.11.23	Kɛ Barnabas ma ɗya̧ mate ɓɛŋɛ nda yi Njambiyɛ teɗya nɛ ŋgikwa nɛ kɛ́, ɛ nyɛ sosa kitɛ ɓo hɛnɛ nde, ɓo kɛ̂n mbɔmbu wokuna nɛ Nyaŋgwɛ Kumande nɛ temɔ yan hɛnɛ. 
ACT.11.24	Barnabas ɓa̧ mɔ ŋgikwa. Kimɔ Sisiŋ ɓa̧ tondunate kɛ yotu nɛ. A ɓa̧ sendi kɛ tikɔ temɔ kɛ yi Njambiyɛ. Ɗete, ɛ ɓomɔ ɓuɗyate nyiŋɛ kɛ njɔŋ ɓotu ɓete ɓe ma tikɔ temɔ kɛ yi Kumande Yesus ɓaka. 
ACT.11.25	Kɛ kɔŋte, ɛ nyɛ nje kwa̧ kɛ̀ kɛ Tars kɛ̀ gɔsɔ Sol. 
ACT.11.26	Kɛ nyɛ ma si dolɔ nyɛ kɛ́, ɛ nyɛ ɓu̧ nyɛ kɛ̀ nɔ Aŋtiyos. Ɓo kwaŋɗya sew wɛtɛ nɛ yim mate. Kɛ sew wɛtɛ te, ɓo ɗikima wesiɗya ɓenɛ njɔŋ ɓotu ɓete ɓe tikima temɔ kɛ yi Kumande Yesus kɛ Aŋtiyos ɓaka. Ɛ ɓo ɗiki teɗye mɛlɛpi mɛ Njambiyɛ nyɛ ɓuɗya ɓomɔ. Yo kɛ Aŋtiyos yi ɓo kandima jeɓan ɓotu ɓete ɓe ɓeŋgwɛ mɛlɛpi mɛ Yesus Krist ɓaka nde Kritɛn.
ACT.11.27	Kɛ ŋgimɔ te yite ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ tɛmma Yerusalɛm kɛ̀ kɛ Aŋtiyos. 
ACT.11.28	Ɛ wɛtɛ kɛ njoka yan, ɗinɔ ɗyenɛ nde Agabus tɛmɛ. Kimɔ Sisiŋ lɛpinama nyɛ nyɛ, ɛ nyɛ pelɛ nde, nyaŋgwɛ kolɔ ta ɗya̧ kɛ to mɛnɛti hɛnɛ. Ɛ yo ɗya̧ gbate kɛ ŋgimɔ te yi Kolod ɓa̧ nyaŋgwɛ kumande kɛ to mɛnɛti kɛ́. 
ACT.11.29	Ɛ ɓotu ɓete ɓe ɓeŋgwɛ mɛlɛpi mɛ Yesus Krist ɓaka pɛsɛ nde, ɓo ta tomse mɛyasi yí kamɛ nɛ ɓenjɔŋ ɓan ɓe kɛ Yuda ɓaka. Mumɔ hɛnɛ nya ɓeŋgwɛ ɗeti te yenɛ. 
ACT.11.30	Ɛ ɓo tomse yo nɛ Barnabas ɓenɛ Sol kɛ̀ nyɛ ɓetomba mbanjɔ Njambiyɛ kɛ Yerusalɛm ɓaka.
ACT.12.1	Kɛ pɔku mɛtu te yite ɛ kumande Herod nyɛ ɓɔ kɛ teɗya mɛbɔnɛ nyɛ ɓaŋa ɓomɔ kɛ njoka njɔŋ ɓotu ɓete ɓe ma tikɔ temɔ kɛ yi Kumande Yesus ɓaka. 
ACT.12.2	A nya ɗeti nde, ɓo wôku Jak te maŋ nɛ Jaŋ nɛ kafa. 
ACT.12.3	Kɛ nyɛ ma ɓɛŋɛ nde, mɛkele mɛte kimɔte kɛ misi mɛ Ɓeyudɛn kɛ́, ɛ nyɛ nyɛ sendi ɗeti nde, ɓo ɓîya Piyɛr. Yo ɓa̧ kɛ ŋgimɔ jesɔ ɗyena mɛmampa mɛte yi kinɛ ŋga̧ kɛte kɛ́. 
ACT.12.4	Kɛ ɓo ma si ɓiye nyɛ ɗete kɛ́, ɛ Herod kwaŋɗye nyɛ kɛnjɛ kɛ tu̧ jɔɓɔ lɛpɔ nde, njɔŋ ɓesɔja yini ɗîki pɛmɔ Piyɛr. Njɔŋ ɓesɔja wɛtɛ ɓa̧ nɛ ɓesɔja yini. Herod kwaɗya jɔse Piyɛr kɛ misi mɛ ɓomɔ hɛnɛ kɛ kɔŋ jesɔ *Paska Ɓeyudɛn.
ACT.12.5	Ɗete, ɓo ɓa̧ kɛ pɛmɔ Piyɛr kɛ tu̧ jɔɓɔ. Yasi wɛtɛ, njɔŋ ɓotu ɓete ɓe ma tikɔ temɔ kɛ yi Kumande Yesus ɓaka ɗikima ŋgwɛta nɛ Njambiyɛ ɓuɗyate kɛto nɛ.
ACT.12.6	Kɛ tu te yi ɓa̧ nde, misi pupɛ te Herod ta jɔse Piyɛr kɛte kɛ́, Piyɛr ɓa̧ wotunate nɛ mɛkɔl sumba yiɓa. A yama kɛ njoka ɓesɔja yiɓa. Ɓesanjele ɓa̧ sendi kɛ pɛm kɛ numɛy tu̧ jɔɓɔ. 
ACT.12.7	Semɔ semɔ, ɛ wɛtɛ jaki Baba Mbokɔ ɗya̧, ɛ mɛjasi panɛ kɛ mɔy tu̧ jɔɓɔ. Ɛ nyɛ kpokɛ Piyɛr kɛ mbanjɔ jemɛ nyɛ lɛpɔ nde: «Tɛma nɛdɔ.» Ɛ mɛkɔl mɛ sumba te yi ɓo wotuma nɛ mɛɓɔ mɛnɛ kɛ́ si sɔriyɛ ɓalɔ kɛ mɛnɛti. 
ACT.12.8	Kɛ kɔŋte, ɛ jaki te lɛpɛ nyɛ nyɛ nde: «Susula kanda yɔ, lɛŋa mɛnakala mɔ.» Ɛ Piyɛr si kelɔ ɗete. Ɛ jaki nje lɛpɔ sendi nyɛ nyɛ nde: «Petɔ yotu yɔ nɛ lambɔ ɗuku yɔ, nɔ̀ ɓêŋgwɛ mi.» 
ACT.12.9	Ndana, ɛ Piyɛr pundɛ, ɓeŋgwɛ nyɛ. A tì ɓɛ kɛ duwɛ nde, yasi te yi jaki ɓa̧ kɛ kelɔ kɛ́ ɓa̧ gbakasi na, a takima nde, yo nyɛnɔ. 
ACT.12.10	Ɓo kɛndima kwa̧ bosa njɔŋ ɓotu ɓe pɛmna yasi, kɛndɔ kwa̧ sendi ɓe kɔŋte. Ɛ ɓo nje kɛndɔ kumɔ kɛ numɛy te yi ɓo kelma nɛ sumba kɔ. Wɛ kwáŋ numɛy te mbɛte nje pundɔ sɛ̧. Kɛ ɓo ma kumɔ womɛte kɛ́, ɛ numɛy ɓutuna nɛ ŋguru wenɛ kɛ mbɔmbu yan, ɛ ɓo pundɛ ɓu̧ wɛtɛ nyaŋgwɛ nje. Ndana ndana, ɛ jaki ɗimbiyɛ kɛ misi mɛnɛ. 
ACT.12.11	Ɗiyɔ kɛ́, ɛ ɗyanɔ ɗyenɛ yɔkwɛ, ɛ nyɛ lɛpɛ nde: «Mi kɛ ɓɛŋɛ ndana nde, yo gbakasi nde, Baba Mbokɔ tomma jaki wenɛ nde, a njâki joŋgwɛ mi soŋɛ kɛ mɛɓɔ mɛ Herod nɛ̀ kɛ ɓeya mɛyasi hɛnɛ te yi Ɓeyudɛn kwaɗya kelɔ nɛ mi kɛ́.» 
ACT.12.12	Kɛ ɗyanɔ ɗyenɛ ma si yɔkwɛ kɛ́, ɛ nyɛ kwa̧ tɔkɛ nje tu̧ Mariya te nyaŋgwɛ nɛ Jaŋ te yi ɓo jeɓa sendi nde Mark kɔ. Ɓaŋa ɓenjɔŋ ɓusu ɓuɗyate ɓa̧ womɛte kɛ mɛwesiɗya kɛ ŋgwɛta nɛ Njambiyɛ. 
ACT.12.13	Ɛ Piyɛr ɗya̧ ɗuŋgwɛ nyaŋgwɛ numɛy, ɛ wɛtɛ nyari nde Roda ɛ ɗikima kelɔ mɛsay womɛte kɔ kɛ̀ lɛŋgwɛ tɔ. 
ACT.12.14	Ɛ nyɛ wokɛ mɛn wɛtɛ mumɔ duwɛ nde, yo mɛn Piyɛr, ɛ mɛsosa kwa̧ nyɛ. Ɛ nyɛ yɔkwɛ nɛ sokɔ kinɛ ɓutɛ numɛy na. Ɛ nyɛ kwa̧ kɛ̀ lɛpɔ nde, Piyɛr kɛ numɛy tu̧. 
ACT.12.15	Ɛ ɓo lɛpɛ nyɛ nyɛ nde: «’Wɛ kɛ kɔnɔ ka nɛ to?» Ko ɓɛkɔ ɗete, ɛ nyɛ kombile lɛpɔ nyɛ ɓo nde, yo gbakasi. Ɛ ɓo lɛpɛ nde: «Yo yâkaŋgwɛ ɓɛ sisiŋ nɛ.» 
ACT.12.16	Ko ɗete, Piyɛr ka̧ ndi mbɔmbu yí ɗuŋgwɛ numɛy. Ɓo nja̧ ɓutɛ numɛy, ɛ ɓo ŋgbakima yí ɓɛŋɛ nyɛ. 
ACT.12.17	Ɛ nyɛ pɛpiɗye ɓɔ nyɛ ɓo nde, ɓo ɗîy nɛ sɛm. Ɛ nyɛ yekiɗye nda yi Baba Mbokɔ punja nɛ nyɛ kɛ tu̧ jɔɓɔ kɛ́. Ɛ nyɛ nje lɛpɔ nde: «Wunɛ kɛ̂n kɛ̀ yekiɗye ɗete nyɛ Jak, yekiɗye sendi ɗete nyɛ ɓemaŋ ɓusu ɓari.» Kɛ kɔŋte, ɛ nyɛ pundɛ kwa̧ kɛ̀ kɛ wɛtɛ mbɛy.
ACT.12.18	Kɛ misi ma pupɔ, ɛ lɛpi ɓanɛ ɓesɔja yí duwɛ nɛ mbɛy te yi Piyɛr ka̧ te kɛ́. 
ACT.12.19	Ɛ Herod lɛpɛ nde, ɓo sâŋ nyɛ. Yasi wɛtɛ, ɓo sáŋ nyɛ kinɛ dolɔ na. Ɛ Herod ɓeŋgwɛ ɓotu ɓe pɛmna ɓotu ɓe jɔɓɔ nɛ lɛpi te. Kɛ kɔŋte, ɛ nyɛ pɛsɛ nde, ɓo ɓôŋ ɓo kɛ̀ wo. Ɛ nyɛ nje tɛmɛ kwa̧ kɛ̀ kɛ Yuda kɛ̀ kwaŋɗye ɓuɗya mɛtu kɛ Sesare.
ACT.12.20	Herod ɓa̧ nɛ nyaŋgwɛ ŋgambi suŋgwɛ nɛ ɓotu ɓe Tir nɛ̀ Sidɔn. Ɛ ɓotu ɓaka saŋgwɛ mɛn tɛmɛ kɛ̀ ɓɛŋɛ nyɛ, yite ɓo sima kombile ŋgiŋ ɓenɛ ɓe wɛtɛ mbam nde Blat te ajiya kumande Herod. Ɓo ka̧ kɛ̀ ɓɛŋɛ Herod, nɛ́ ɓenɛ ɓo kel mbon, nɛ́ ɓo ɗiy nɛ tɛ, kɛto mɛyasi man hɛnɛ ɗikima wulɛ kɛ mɛnɛti mɛ kumande Herod. 
ACT.12.21	Kɛ yesɔ te yi ɓo kpoma nde, ɓo ta saŋgwa kɛte kɛ́ ma ɗya̧, ɛ Herod lɛŋɛ nyaŋgwɛ lambɔ ɓekumande ɗiyɔ nɔ kɛ mbanjɔ lɛpina nyɛ ɓomɔ. 
ACT.12.22	Ɛ ɓo lɛpɛ nɛ mɛn kɛ kwey nde: «Yikɛ yeti mɛn mumɔ na, yikɛ mɛn wɛtɛ njambiyɛ!» 
ACT.12.23	Ɛ wɛtɛ jaki Baba Mbokɔ ɗiɓɛ numbu nɛ kɛ kiya mbɛy, kɛto a tikima Njambiyɛ lukse yotu nɛ. Ɛ ɓekon nyiŋɛ nyɛ kɛ yotu hɛnɛ wo nyɛ. 
ACT.12.24	Ndana mɛlɛpi mɛ Njambiyɛ ka̧ ndi kɛndɔ mbɔmbu. 
ACT.12.25	Kɛ Barnabas ɓenɛ Sol ma si siɗyɛ mɛsay man kɛ Yerusalɛm kɛ́, ɛ ɓo ɓu̧ Jaŋ te yi ɓo jeɓa nde Mark kɔ yɔkwɛ nɔ kɛ̀ Aŋtiyos.
ACT.13.1	Ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ nɛ̀ nyaŋgwɛ ɓotu ɓe teɗya mɛlɛpi mɛ Njambiyɛ ɓa̧ kɛ njɔŋ ɓotu ɓete ɓe tikima temɔ kɛ yi Kumande Yesus kɛ Aŋtiyos ɓaka. Yo ɓa̧ nɛ̀ Barnabas nɛ̀ Simeyɔŋ te yi ɓo ɗikima jeɓa nde Nijɛr kɔ. Yo ɓa̧ sendi nɛ̀ Likiyus, mɔ Sirɛn nɛ̀ Manahɛn te yi ɓo ɗɔkwa nyɛ ɓenɛ Herod kɔ nje ɓu̧ Sol. 
ACT.13.2	Wɛtɛ yesɔ te yi ɓo ɓa̧ kɛ kanɔ Baba Mbokɔ kiyɔ mɛɗye kɛ́, ɛ Kimɔ Sisiŋ lɛpɛ nde: «Ndana wunɛ tɔ̂ka Barnabas ɓenɛ Sol soŋɛ kɛ njoka yun, nɛ́ ɓo kel mɛsay mɛte yi mi kpoma nde, ɓo ta kelɔ kɛ́.» 
ACT.13.3	Kɛ kiyna mɛɗye nɛ̀ mɛŋgwɛta ma siyɔ kɛ́, ɛ ɓo kasɛ mɛɓɔ kɛ yotu Barnabas ɓenɛ Sol. Kɛ kɔŋte, ɛ ɓo tikɛ ɓo nde, ɓo kwâŋ.
ACT.13.4	Kimɔ Sisiŋ tomma Barnabas ɓenɛ Sol, ɛ ɓo kwa̧ kumɔ kɛ Selesi. Ɓo nja̧ tɛmɛ womɛte nyiŋɛ kuka kumɔ kɛ wɛtɛ kiriŋgira nde Siprɛ. 
ACT.13.5	Kɛ ɓo ma kumɔ kɛ Salami kɛ́, ɛ ɓo lɛpɛ mɛlɛpi mɛ Njambiyɛ nyɛ ɓomɔ kɛ mɛmbanjɔ mɛwesiɗya mɛ Ɓeyudɛn. Jaŋ te yi ɓo jeɓa nde Mark kɔ ɗikima kamɛ ɓo.
ACT.13.6	Ɓo nja̧ saɓiyɛ kiriŋgira hɛnɛ kumɔ kɛ Pafos. Kumɔ mate, ɛ ɓo dolɛ wɛtɛ mɔ kelna mɛyasi mɛ kifi, a ɓa̧ mɔ Ɓeyudɛn, ɗinɔ ɗyenɛ nde Baryesus. A ɓa̧ mɔ punja mɛlɛpi mɛ ja̧. 
ACT.13.7	A ɓa̧ kɛ joŋna ɓenɛ Sɛrgus Polos te kum kiriŋgira. Sɛrgus Polos ɓa̧ nɛ ɗyanɔ. A tomma ɓomɔ kɛ̀ jeɓa nɛ Barnabas ɓenɛ Sol, kɛto a kwaɗya wokɔ mɛlɛpi mɛ Njambiyɛ. 
ACT.13.8	Yasi wɛtɛ, Elimas te mɔ kelna mɛyasi mɛ kifi kɔ ɗikima petɔ Barnabas ɓenɛ Sol, ma kum kiriŋgira mɛ nje tikɔ temɔ kɛ yasi te yi ɓo ta lɛpɔ nyɛ nyɛ kɛ́. Elimas, yo ɗinɔ Baryesus kɛ numbu Grɛk. 
ACT.13.9	Ndana, ɛ Kimɔ Sisiŋ tondɛ nɛ ŋgbɛŋ kɛ yotu Sol te yi ɓo jeɓa sendi nde Pol kɔ. Ɛ nyɛ ɓɛŋɛ Elimas te mɔ kelna mɛyasi mɛ kifi kɔ nɛ ŋgoŋ 
ACT.13.10	lɛpɔ nde: «Wɛ mɔ mɛseɓila nɛ̀ ɓeya mɛkele hɛnɛ! Wɛ mɔnɔ *Kum ɓeya mɛkele, wɛ kɛ lu̧ ɗyambi nɛ mɛyasi hɛnɛ te yi ɓɛ nɛ ŋgbeŋ! ’Wɛ ta ndulɔ yaŋgila yasi te yi Baba Mbokɔ si kpo kɛ́ ndenɛn? 
ACT.13.11	Ɓɛŋa ndana, Baba Mbokɔ ta teɗye wɛ mɛbɔnɛ, misi mɔ ta ɗiɓina. Wɛ tí ɓɛŋɛ se mɛjasi mɛ yesɔ na kumɔ kɛ yiŋa ŋgimɔ.» Ndana ndana, ɛ misi mɛnɛ ɗiɓina nɛ kpikip, ɛ nyɛ kandɛ ɓoɓila yasi, sa̧ mɔ te ɛ ta ɓiye nyɛ kɛ ɓɔ teɗye nyɛ nje. 
ACT.13.12	Kɛ kum kiriŋgira ma ɓɛŋɛ mɛyasi mɛte yi kwaŋnama kɛ́, ɛ nyɛ tikɛ temɔ kɛ yi Kumande Yesus, kɛto yasi te yi ɓo lɛpima nyɛ nyɛ kɛ kasi Kumande Yesus kɛ́ loŋma nyɛ kɛ temɔ.
ACT.13.13	Pol ɓenɛ ɓenjɔŋ ɓenɛ nyiŋma kuka kɛ Pafos kwa̧ kumɔ kɛ Pɛrgɛ kɛ Pamfili. Kumɔ mate, ɛ Jaŋ li̧ ɓo yɔkwɛ nɛ kɔkɔ kɛ̀ Yerusalɛm. 
ACT.13.14	Pol ɓenɛ Barnabas nja̧ tɛmɛ kɛ Pɛrgɛ kumɔ kɛ Aŋtiyos kɛ Pisidi. Kɛ yesɔ *Saba ma ɗya̧ kɛ́, ɛ ɓo nyiŋɛ kɛ mbanjɔ mɛwesiɗya mɛ Ɓeyudɛn kwa̧ ɗiyɔ mɛtiɗyɛ. 
ACT.13.15	Kɛ tɔlna mɛkana mɛ mɛmboŋga mɛ Njambiyɛ nɛ̀ tɔlna mɛkana mɛ ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ ma siyɔ kɛ́, ɛ ɓotu ɓete ɓe ɗiyɛ nɛ mbanjɔ mɛwesiɗya ɓaka tomɛ ɓomɔ kɛnjɛ kɛ yi Pol ɓenɛ Barnabas kɛ̀ lɛpɔ nyɛ ɓo nde: «Wunɛ njɔŋ, ŋgɛ ɓɛ nde, wunɛ nɛ yiŋa yasi te yi wunɛ kɛ kwaɗyɛ lɛpɔ nyɛ ɓomɔ yí nyɛ nɛ ɓo mɛŋgitɛ, wunɛ lɛ̂pi.»
ACT.13.16	Ndana, ɛ Pol tɛmɛ kaŋɛ ɓɔ nyɛ ɓomɔ lɛpɔ nde: «Wunɛ ɓotu ɓe kandɔ Isarayɛl nɛ̀ wunɛ ɓotu ɓete ɓe kambɛ sendi Njambiyɛ ɓaka, wunɛ lɛ̂ŋgwɛ mɛtɔ! 
ACT.13.17	Njambiyɛ te ɛ kandɔ Isarayɛl tɔkuma ɓesaŋmbambɔ ɓusu. Ɛ nyɛ kelɛ nde, ɓo nyɛ̂ɓi ɓuɗyate kɛ ŋgimɔ te yi ɓo ɓa̧ nɔ kɛ mɛnɛti mɛ Ejipt kɛ́. Ɛ nyɛ soŋɛ ɓo kɛ Ejipt nɛ nyaŋgwɛ ɗeti nɛ. 
ACT.13.18	A disimama ɓo kɛ mɛsew nda kamɔni kɛ mɔy koŋgor. 
ACT.13.19	Ɛ nyɛ girise mɛkandɔ yitan jɔ yiɓa kɛ mɛnɛti mɛ Kanan nje ɓu̧ mɛnɛti man nyɛ kandɔ ɗyenɛ Isarayɛl nde, ɓo nâm. Mɛyasi mɛnɔri hɛnɛ kwaŋnama kɛ mɛsew gɔmay yini jɔ kamɔtan. 
ACT.13.20	Kɛ kɔŋte, ɛ nyɛ tɛmbiɗye ɓotu ɓe pɛsina jɔsi kɛ njoka yan nyɛ ɓo kumɔ kɛ ŋgimɔ Samiyɛl te mɔ punja mɛlɛpi mɛ Njambiyɛ. 
ACT.13.21	Ɗiyɔ kɛ kɔŋte kɛ́, ɛ ɓesaŋmbambɔ ɓusu kwaɗyɛ ɓɛ nɛ kumande te ɛ ta ɗiyɔ nɛ ɓo. Ɛ Njambiyɛ tɛmbiɗye Sayul te mɔnɔ Kis, mɔ kandɔ Bɛŋjamɛ̧ nyɛ ɓo. Ɛ nyɛ ɗiyɛ nɛ ɓo yaka mɛsew kamɔni. 
ACT.13.22	Kɛ Njambiyɛ ma soŋɛ Sayul kɛ́, ɛ nyɛ nje tɛmbiɗye Davit nde, a ɓɛ̂ki kumande wan. Njambiyɛ lɛpima kɛ kasi Davit nde: ‹Mi Njambiyɛ tɔkuma Davit te mɔnɔ Isay, temɔ mbɛ ɓiyma nyɛ. A ta kelɔ mɛyasi hɛnɛ te yi mi kwaɗyɛ kɛ́.› 
ACT.13.23	Yo kɛ kandɔ Davit yi Njambiyɛ nya Isarayɛl Mɔ te ɛ ta joŋgwɛ ɓo nda yi nyɛ kpoma kɛ́. Mɔ te, yo Yesus. 
ACT.13.24	Piŋɔ te yi Yesus tì pa nje na, Jaŋ ɗikima pelɛ kasi tɔpuna ɓomɔ kɛ mɔrɔku nyɛ kandɔ Isarayɛl hɛnɛ nde, ɓo yêŋsaŋgwɛ temɔ, nɛ́ ɓo tɔpi ɓo kɛ mɔrɔku. 
ACT.13.25	Kɛ ŋgimɔ te yi mɛsay mɛ Jaŋ ɓa̧ kɛ kɛ̀ kɛ siynate kɛ́, a ɗikima lɛpɔ nyɛ ɓomɔ nde: ‹Wunɛ táka nde, mi nda? Mi yeti mɔ te yi wunɛ laɗye kɔ na. Wunɛ dûkwɛ nde, a ta nje kɛ kɔŋ mbɛ. Mi tí yaka wunjɛ kɔl mɛnakala kɛ kol nɛ na.› 
ACT.13.26	Wunɛ njɔŋ, wunɛ ɓenday ɓe Abaraham nɛ̀ wunɛ ɓotu ɓete ɓe yeti Ɓeyudɛn ɓaka, Kimɔ Tom te yi Njambiyɛ njesa nde, a ta joŋgwɛ ɓomɔ kɛ́, a njésikwɛ tom te kɛto su. 
ACT.13.27	Kɛto, ɓotu ɓe Yerusalɛm nɛ̀ ɓekum ɓan tì duwɛ nde, Yesus ɓa̧ mɔ te ɛ ta joŋgwɛ ɓo na. Ɓo tì ɓɛ sendi kɛ wokɔ to mɛlɛpi mɛte yi ɓomɔ ɗikima tɔlɔ kɛ mɛkana mɛ ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ mɛtu hɛnɛ kɛ yesɔ *Saba kɛ́ na. Ɓo pɛsima nde, Yesus sâŋgwaŋgwɛ nɛ mɛbɔnɛ. Ɗete, ɓo kelma yasi te yi mɛlɛpi mɛte lɛpima kɛ́. 
ACT.13.28	Ko ɓɛkɔ nde, ɓo tì ɓɛ nɛ to lɛpi te yi wo nɛ nyɛ, ɓo lɛpima nyɛ Pilat nde, a wôku nyɛ. 
ACT.13.29	Kɛ ɓo ma si kelɔ yasi hɛnɛ te yi ɓa̧ kɛtinate kɛ mɛkana mɛ Njambiyɛ kɛ kasi nɛ kɛ́, ɛ ɓo piɗyɛ muŋ nɛ kɛ kroa ɓu̧ kɛ̀ pumbɔ. 
ACT.13.30	Ko ɗete, Njambiyɛ womiya nyɛ soŋɛ kɛ njoka ɓemuŋ. 
