MAT.1.1	Tone nüri bama pünanaquiti Jesucristo tücañe, bama ipiarientetorrti David y arrti Abraham.
JHN.16.4	Pero chauqui tüsurapoicaü ausucarü. Arrtü pasabo aume sane, apaquiocaño iyo nisuratücaü aume.
JHN.16.4	‛Champürrtü tüsurapoi ausucarü arrüna sane auqui maübo, itopiqui anancañünqui auchepe. 
JHN.16.5	Pero caüma yecatü esati naqui uiche aicüpuruñü. Pero champüti naqui abuturuqui ñanquitioti rropünanaquiñü cauta niyücü. 
JHN.16.6	Ausuchecatai ui arrüna sane nisura aume. 
JHN.16.7	Suraboira ausucarü arrüna ñemanauncurratoe: Ümo nurria aume arrtü yecatü amopünanaqui. Itopiqui arrtü chüyecapütü, chüpuerurrüpü ayeti Espíritu Santo auna auchepe, naqui mapucünucunubu aume. Pero arrtü yecatü icüpucati aume. 
JHN.16.8	Itopiqui arrtü cuati, macuansomoconoti ümo bama macrirrtianuca icu na cürrü na atusi ümoma que ane nomünantü uimia, y causane nauqui urria nacarrüma au narrtarrti Tuparrü, y cuatü ñana carrticurrü ümoma. 
JHN.16.9	Ta tone arrüna ünantü uimia: Chirranrrüpüma aicocoromañü y nauqui oncomatü iñemo. 
JHN.16.10	Tiene que atusi ümoma ta urria niyaca aübuti Tuparrü, itopiqui arrüñü yecatü esati Tuparrü chüpuerurrüpü asaramañünqui. 
JHN.16.11	Y arrti choborese naqui yüriaburrü icu na cürrü, chauqui tüpaurramanati uiti Tuparrü, carrtigaboti ñana.
JHN.16.12	‛Aninqui cütüpürrü surapoboibo ausucarü, pero chüpuerurrüpü aüro au nautanu caüma. 
JHN.16.13	Pero arrtü cuati naqui ñemanauncurratoe Espíritu Santo, tonenti caüma naqui uiche aiñunecanati año. Urapoiti ausucarü nanaiña arrüna pasaboboiqui ñana. Arrti chümanitanatipü auqui noñemarrti, ta urapoiti ausucarü arrüna oncoiti sobi. 
JHN.16.14	Arrti ane ñanauncurrti iñemo. Oncoiti nisura, auqui urapoiti ausucarü. 
JHN.16.15	Nanaiña arrüna ane uiti naqui Iyaü tone niñenarrito. Sane nauquiche sucanañü que arrti Espíritu Santo tiene que asuriuti nisura y uraboiti ausucarü.
JHN.16.16	‛Chauqui chububiuquipü naneneca niyaca auna abarrüpecu. Auqui caüma chamasacapüñünqui. Pero iyau ba mümanantai naneneca amasacañü tatito.
JHN.16.17	Auqui arrübama ñanunecasarrti ñanquitioma pünanaquimiantoe, namatü:
JHN.16.17	—¿Isanempü ümoche arrüna sane nurarrti? ¿Causane nanti one: “Yecatü esati Iyaü”? 
JHN.16.18	¿Isane ümoche arrüna nanti “iyau ba mümanantai naneneca”? Chentienderrüpü oñü ümo nurarrti.
JHN.16.19	Tusiatai ümoti Jesús que rranrrüma anquirioma pünanaquiti. Nanti ümoma:
JHN.16.19	—Sucanañü te aume one, chububiuquipü naneneca nauqui chamasacapüñünqui. Pero iyau ba mümanantai naneneca amasacañü tato. Canapae abasiquiaiqui apapensario, ui arrüna sucanañü aume. 
JHN.16.20	Ñemanauncurratoe: Arraño tiene que abareo ui nausuchequi isiuñü, pero arrübama macrirrtianuca icu na cürrü pucünüñama. Pero arrüna tarucapae nausuchequi campiabo tato ñana au naupucünuncu. 
JHN.16.21	Pasabo aume tacana ümo taman paürrü, arrüna rranrrü ane mecu. Auqui maübo suchebo y orronene ümo. Pero arrtü tane mecu, chauqui chaquionüquipü ümo norrocorrü ümo, itopiqui nipucünuncurrü icuatati maniqui ipiaümacarrü. 
JHN.16.22	Sane ito arraño caüma ausucheca. Pero iseca tato yasaraño. Auqui caüma tarucu naupucünuncu. Champüti naqui puerurrü aiquiaübu amopünanaqui arrümanu naupucünuncu.
JHN.16.23	‛Au manu nanenese champü isane apanquitioqui rropünanaquiñü. Suraboira ausucarü ñemanauncurratoe: Arrti Iyaü bacheboti aume nanaiña arrüna apanquiquia pünanaquiti au nisüri. 
JHN.16.24	Hasta caümainqui chapanquiquiapü pünanaquiti au nisüri. Apanqui te, nauqui atorri aume uiti, auqui caüma champü nitacürü naupucünuncu.
JHN.16.25	‛Surapoi ausucarü nanaiña arrüna sane ui pururrü machepecataca. Au cuantio naneneca chauqui chisurapoiquipü ausucarü aübu machepecataca, ta rranitaca caüma aume bien besüro icütüpüti naqui Iyaü. 
JHN.16.26	Au manio naneneca apanquiquia pünanaquiti Iyaü au nisüri. Champü nümoche rranquirio pünanaquiti Tuparrü nauqui aitorrimiati aume, 
JHN.16.27	itopiqui tarucu naucua ümoti. Aucuasürüca ümoti itopiqui isuasürüca aume, itopiquito apicocota que arrüñü isecatü esaquiti. 
JHN.16.28	Arrüñü te isecatü esaquiti Iyaü auqui napese, auna acü. Pero caüma iñocota na cürrü, yasücübüca tato esati.
JHN.16.29	Auqui namatü ümoti bama ñanunecasarrti:
JHN.16.29	—Caüma anitaca bien besüro suiñemo, champürrtü urapoi aübu machepecataca. 
JHN.16.30	Sumarrtai que tusio aemo nanaiña, tusiatai aemo arrüna suirranca; champü nümoche supanquirio apünanaquicü. Ui arrüna sane sopicocota que arrücü ayecatü esaquiti Tuparrü.
JHN.16.31	Auqui aiñumuti Jesús, nanti ümoma:
JHN.16.31	—¿Así que apicococañü? 
JHN.16.32	Pero tirranrrü aiñanai manu horarrü auche apiñarrimiacacaño. Cadati taman sürotitü au quiatarrü narücüquirri. Apiñococañü. Pero chiñoncocapü tamañü, itopiqui anati Iyaü ichepeñü. 
JHN.16.33	Surapoi arrüna sane ausucarü, nauqui urria nabaca sobi. Auna icu na cürrü autaquisürüca. Pero tapü aupirruca, arrüñü torrio iñemo nanaiña isüriacaboñü ümo na cürrü.
JHN.17.1	Numo tüchauqui arrüna ñanitacarrti Jesús, asaratitü ape au napese, meaboti, nanti:
JHN.17.1	—Iyaü, chauqui tiñatai arrüna horarrü. Aitusianca nisuasürücü aemo nauqui itusianca ito nacua iñemo. 
JHN.17.2	Acheca iñemo isüriacaboñü ümo namanaiña macrirrtianuca icu na cürrü, nauqui yache isüboriquiboma bama torrioma iñemo obi. 
JHN.17.3	Tone arrüna uiche chütacürusupü nisüboriquirrimia: Arrtü isuputaramacü naqui tamancüatai ñemanauncurratoe Tuparrü, y isuputaramañü ito, ta arrüñü Jesús, naqui Cristo, obi aicüpuruñü.
JHN.17.4	‛Iñanauncü auna icu cürrü, ui arrüna isamute ito nanaiña arrüna nacüpucu iñemo. 
JHN.17.5	Iyaü, aitorrimia iñemo arrümanu champü tacanache nanentacarrü aesacü au napese, tacana tücañe, numo anancañünqui achepecü, numo churriantequipü na cürrü.
JHN.17.6	‛Chauqui tüsurapoi nüri isucarü bama torrioma iñemo tücañe obi. Tacümanauncunuma obi y torrioma iñemo y arrüma chauqui ticocotama nura. 
JHN.17.7	Chauqui tütusio ümoma que nanaiña arrüna ane sobi, ta nacumanata iñemo. 
JHN.17.8	Chauqui tüsurapoi nurria isucarüma nanaiña arrüna ucanu iñemo, y yasutiuma nurria nisura. Tütusio nurria ümoma, ta isecatü aesaquicü, arrücü aicüpucañü.
JHN.17.9	‛Rreanca itacuma. Champürrtü rreanca itacu bama maquiataca icuna cürrü. Rreanca itacu bama torrioma obi iñemo, itopiqui arrücü yaütorrümacü. 
JHN.17.10	Nanaiña arrüna ane sobi, ta naesa, y nanaiña arrüna ane obi, ta niyesa ito. Namanaiña bama perteneceboma aemo, perteneceboma ito iñemo. Sane nauquiche caüma tarucu ñanauncurrüma iñemo.
JHN.17.11	‛Arrüñü chiyasiquiapü auna icu na cürrü, ta yeca tanu caüma aesacü. Tapü arrüma onconoma sobi. Iyaü, arrücü tarucu nüriaca y nacusüu. Acuira itacu bama torrioma iñemo obi nauqui aboma ichepeñü, tari aboma aübu tamantai ñapensacarrüma, tacana arroñü. 
JHN.17.12	Nauquiche anancañü ichepema icu na cürrü, rracuiraca itacuma au nüri, y rrocümaca itacuma. Champüti eanaquimia naqui ensoro, cunauntaiñati maniqui taman, naqui tiene que aensoti, nauqui acoco arrüna nantü icu Nicororrü.
JHN.17.13	‛Caüma yeca tato aesacü. Chauqui tüsurapoi isucarüma auna icu na cürrü nanaiña arrüna sane, nauqui apucünuma, tacana arrüna nipucünuncu. 
JHN.17.14	Chauqui tisurapoi isucarüma arrüna nacüpucu. Arrübama macrirrtianuca icu na cürrü tüboricatai ümo bama nirranunecasa, itopiqui arrüma chüpertenecebopümainqui ichepe bama icuqui na cürrü, tacana ito arrüñü chüpertenecebopüñünqui ümoma. 
JHN.17.15	Chirranquiquia apünanaquicü, nauqui aiquiaüburuma eanaqui bama macrirrtianuca icuqui na cürrü, ta nauqui ocüma itacuma ñünanati choborese. 
JHN.17.16	Arrüma chüpertenecebopüma ümo bama icuqui na cürrü, tacana arrüñü. 
JHN.17.17	Anuneca ümoma nura nauqui asamamecanama aemo, tapü aboma eana nomünantü. Itopiqui nura ñemanauncurratoe. 
JHN.17.18	Icüpucama arrüpecu bama icuqui na cürrü, tacana arrücü aicüpucañü ito icu na cürrü eanama. 
JHN.17.19	Y samamecanañü aemo itopiqui bama nirranunecasa, nauqui isamune isiu narrianca, sane nauqui asamamecanama ito aemo ñemanauncurratoe.
JHN.17.20	‛Champürrtü rreanca cunauntaiña itacu bama ticocoromañü, sino itacu bama ito icocoromañünqui ñana ui bama nirranunecasa. 
JHN.17.21	Rranquiquia apünanaquicü, Iyaü, ayura ümoma nauqui urria ñaquioncorrüma aübumantoe aübu taman nacarrtai ñanensacarrüma. Tacana arroñü, urria numaquionco oemomantoe. Arrüñü yaca achepecü y arrücü aca ichepeñü, taman nacarrtai nusaca. Ui arrüna chépe nacarrüma, arrübama macrirrtianuca icuqui na cürrü icocotama ito que ta obi aicüpuruñü. 
JHN.17.22	Chauqui titorrimiata ümoma üriacaboma obi. Sane nauqui aye uimia tacana nusaca, taman nacarrtai nacarrüma. 
JHN.17.23	Arrüñü yaca au nausasürrüma. Arrücü aca au niyausasü. Sane nauquiche taman nacarrtai nusaca. Ui arrüna sane caüma tusio ümo bama icuqui na cürrü, que ta obi aicüpuruñü, y arrübama nirranunecasa cuasürüma aemo tacana nisua aemo.
JHN.17.24	‛Iyaü, obi te aitorrimianama iñemo. Irranca nauqui aboma ichepeñü ñana auna cauta niyaca achepecü, nauqui asaraimia nanentacarrü yesañü, arrüna torrio iñemo obi, itopiqui isuasürüca aemo auqui maübo, numo churriantequipü na cürrü. 
JHN.17.25	Iyaü, arrücü urria nachücoi. Arrübama macrirrtianuca icuqui na cürrü chisuputaramapücü. Pero arrüñü isuputacü, y arrübama auna tusio ümoma ta obi aicüpuruñü. 
JHN.17.26	Chauqui tisurapoi nüri isucarüma, y surapoiqui ñana. Sane caüma tusio arrüna tarucapae nisua aemo. Sane ito nauqui ucuasürü ümoma, y arrüñü yaca au nausasürrüma.
JHN.18.1	Nauquiche chauqui neancarrti Jesús, atüraiti y sürotitü au manu bertarrü ichepe bama ñanunecasarrti topü manu nusürurrü nürirri Cedrón. 
JHN.18.2	Arrti Judas, naqui ñapabentecarrü ümoti Jesús, bien isuputacaiti arrümanu bertarrü, itopiqui nantarrtai sürotitü Jesús taha aübu bama ñanunecasarrti. 
JHN.18.3	Sane nauquiche iñataitito Judas acamanu. Cuati aübu masortaboca y aübu bama policiarrü auqui niporrti Tuparrü, yacüpucurrüma bama üriatu bama sacerdoterrü y bama fariseorrü. Macanama basaruca, sueca, cüseca y ransaca. 
JHN.18.4	Arrti Jesús tütusiatai ümoti arrüna pasabobo ümoti. Sürotitü cümenuma. Ñanquitioti pünanaquimia:
JHN.18.4	—¿Quiti naqui iyoche napapachequi?
JHN.18.5	Auqui namatü:
JHN.18.5	—Iyoti Jesús, naqui auqui Nazaret.
JHN.18.5	—Abu ta arrüñü —nanti Jesús ümoma.
JHN.18.5	Arrti Judas, naqui ñapabentecarrü anancati acamanu ichepema. 
JHN.18.6	Nauquiche nanti Jesús “abu ta arrüñü”, tobüsoma tato chacuma y taübücoma acü. 
JHN.18.7	Auqui ñanquitioti tatito Jesús:
JHN.18.7	—¿Quiti iyoche apapacheca?
JHN.18.7	Iñumutama:
JHN.18.7	—Iyoti Jesús naqui auqui Nazaret.
JHN.18.8	Nanti tatito Jesús ümoma:
JHN.18.8	—Uncamo arrüñü te naqui iyoche napapachequi. Apiñocosama bama maquiataca.
JHN.18.9	Sane nauquiche cocono arrümanu neancarrti Jesús, numo nanti: “Champüti ni tamantipü ensoro eanaqui bama torrioma iñemo obi, Iyaü”. 
JHN.18.10	Arrti Simón Pedro ane nicüserrti sürümanarrü. Aiquiaübuti auqui nibiainarrti, acheti ümoti maniqui imostorrti yarusürürrü sacerdoterrü. Tüsüro uiti nepanauncu numasurrti. Arrti maniqui mosorrü nürirrti Malco. 
JHN.18.11	Tapü arrti Jesús nanti ümoti Pedro:
JHN.18.11	—Aiña tato au nabaina arrümanu nacüse. Arrüna taquisürücürrü cuatü iñemo, ta uiti Iyaü. ¿Aensapü chiyasutiupü?
JHN.18.12	Auqui arrümanuma masortaboca ichepe bama üriaturrüma y bama policiarrü israelitarrü iñenomati Jesús, itomoenomati. 
JHN.18.13	Auqui iquianamati au niporrti Anás. Ta arrti Anás yaüstoti Caifás, naqui yarusürürrü sacerdoterrü au manu añorrü. 
JHN.18.14	Arrti Caifás tonenti naqui nanti tücañe ümo bama üriatu bama israelitarrü: “Manrrü urria arrtü coiñoti naqui taman ñoñünrrü, pünanaquirrtü coiñoma namanaiña macrirrtianuca au na noesa nación”.
JHN.18.15	Arrti Pedro ichepeti maniqui quiatarrü ñanunecasarrti Jesús süromatü isiuti. Arrti maniqui quiatarrü isuputaratiti nurria maniqui yarusürürrü sacerdoterrü. Sane nauquiche puerurrü aürotipo au manu nusuara au niporrti Anás, auna cauta tiquianamati Jesús. 
JHN.18.16	Tapü arrti Pedro anancatiatai türüpo abeu tururrü. Auqui cuati tato abeu tururrü maniqui quiatarrü ñanunecasarrti Jesús, naqui isuputaratiti yarusürürrü sacerdoterrü, na anitati aübu manu cupiquirri bacuirara abeu tururrü, nauqui ache permisorrü ümoti Pedro na aürotipo ito. 
JHN.18.17	Auqui nantü manu cupiquirri ümoti Pedro:
JHN.18.17	—Canapae arrücü ito ñanunecasa manu noñünrrü Jesús.
JHN.18.17	—Champürrtü arrüñü —nanti Pedro ümo.
JHN.18.18	Rrimianene manu tobirri. Arrümanuma mamosoca y bama bacuirara maunrrimianama pese acamanu. Aboma atüraimia baperoma. Auqui arrti Pedro aürotitito esama, atüraitito ichepema, baperotito.
JHN.18.19	Arrti maniqui yarusürürrü sacerdoterrü Anás ñanaquitioti pünanaquiti Jesús, nanti:
JHN.18.19	—¿Ñacubama anunecasa? ¿Isane arrüna anunecaca?
JHN.18.20	Aiñumuti Jesús:
JHN.18.20	—Rranitaca isucarü namanaiña macrirrtianuca au niporrti Tuparrü y au ba poca sinagoga, auna cauta nantarrü iyoberabaramacü bama israelitarrü. Champürrtü iñanecatatai nirranunecaca. 
JHN.18.21	¿Causane abasiquia apanquirio rropünanaquiñü? Apanquisio pünanaqui bama oncoimia nisura, arrüma tusio nurria ümoma.
JHN.18.22	Nauquiche nanti arrüna sane, tamanti maniqui policiarrü bacheboti isuti Jesús, nanti ümoti:
JHN.18.22	—¿Causane anita sane ümoti naqui yarusürürrü sacerdoterrü?
JHN.18.23	Aiñumuti Jesús, nanti ümoti:
JHN.18.23	—Urasoi te isucarüñü arrtü churriampü nirranitaca ümoti. Tapürrtü urria nirranitaca, ¿causane ocüsi iñemo?
JHN.18.24	Auqui arrti Anás bacüpuruti nauqui aitomoenomati Jesús y aiquianamati esati Caifás, naqui quiatarrü yarusürürrü sacerdoterrü.
JHN.18.25	Tapü arrti Pedro anatiqui atüraiti baperoti manu pese. Auqui namatü ümoti:
JHN.18.25	—Arrücü ito saon ñanunecasarrti naqui ñoñünrrü.
JHN.18.25	Aiñumuti Pedro:
JHN.18.25	—No, champürrtü arrüñü.
JHN.18.26	Anancati acamanu maniqui taman imostorrti yarusürürrü sacerdoterrü, ipiarientetorrti Malco, naqui tüsüro numasurrti uiti Pedro. Arrti maniqui ñoñünrrü nanti ümoti Pedro:
JHN.18.26	—Abu arrücü te, ta yasacü ichepeti Jesús one taha au manu bertarrü.
JHN.18.27	Auqui mapañati tatito Pedro, y au manu rratorrü puru pohorrü curasürrü.
JHN.18.28	Tanati Jesús au niporrti Caifás. Tücuatü nanenese iquianamati auqui taha au niporrti maniqui yüriaburrü rromanorrü. Arrübama israelitarrü champürrtü süromampo isiuti Jesús, ui nirrucurrüma tapü ane nomünantü uimia, itopiqui arrti yüriaburrü rromanorrti. Itopiqui arrtü anempü nomünantü uimia, chüpuerurrüpü aama au manu pierrta parrcua. Sane ñaquioncorrüma. 
JHN.18.29	Sane nauquiche arrti Pilato, naqui yüriaburrü, sürotitü türüpo esama, anquirioti pünanaquimia:
JHN.18.29	—¿Isane nomünantü amarrtai isamutenti naqui ñoñünrrü?
JHN.18.30	Arrüma aiñumuma sane:
JHN.18.30	—Arrtü nampü champü nipünatenti maniqui, chüsopitorrimiacatipü aemo.
JHN.18.31	—Apiquiarrti arraño —nanti Pilato ümoma—, apacurrta aübuti, apiña isiu manu nüriacarrü aboi.
JHN.18.31	Aiñumuma tatito, namatü:
JHN.18.31	—Pero arrüsomü champü sobüriaca nauqui sopitabairoti taman ñoñünrrü.
JHN.18.32	Sane caüma cocono arrümanu urapoiti Jesús tücañe, arrüna causane niyücü niconcorrti uimia. 
JHN.18.33	Auqui arrti Pilato süroti tatopo. Itasurutiti Jesús. Ñanquitioti pünanaquiti:
JHN.18.33	—Urasoi isucarüñü, ¿arrücü üriatu bama israelitarrü?
JHN.18.34	Aiñumuti Jesús:
JHN.18.34	—¿Arrüna anquitio rropünanaquiñü, sane, noñemantoe, o arrüna oncoi nisüri ui maquiataca?
JHN.18.35	Aiñumuti Pilato:
JHN.18.35	—¿Naquionco arrüñü israelitarrüñü? No, arrüñü te rromanorrüñü. Ui bama te apariente y ui bama üriatu sacerdoterrü aiquianamacü tauna yesañü. ¿Causane obi?
JHN.18.36	Auqui nanti Jesús:
JHN.18.36	—Arrüna nisüriaca champürrtü icuqui na cürrü. Arrtü nampü icuqui na cürrü, arrübamampü aboma iquiana nisüriaca ocümanamapüma ichacuñü, tapü iñenca ui bama israelitarrü. Tapü arrüna nisüriaca champürrtü icuqui na cürrü.
JHN.18.37	Auqui ñanquitioti tatito Pilato pünanaquiti:
JHN.18.37	—¿Así que arrücü yüriaburrücü?
JHN.18.37	Aiñumuti Jesús:
JHN.18.37	—Arrüñü yüriaburrüñü. Ümo te yaca icu na cürrü, ümo te isetü. Isecatü nauqui suraboi arrüna ñemanauntu nurarrti Iyaü. Arrübama urria ümoma arrüna ñemanauntu nisura, oncoimia y icocotama.
JHN.18.38	Aiñumuti Pilato, nanti:
JHN.18.38	—¿Isanempito naca arrüna ñemanauntu?
JHN.18.38	Auqui süroti tatito türüpo esa bama israelitarrü, nanti ümoma:
JHN.18.38	—Canapae champü nipünatenti naqui ñoñünrrü. 
JHN.18.39	Pero arrüñü cada añorrü ümo na pierrta iñemecacati taman auqui preso. ¿Aurrianca caüma iñemecanati naqui üriatu bama israelitarrü, naqui Jesús?
JHN.18.40	Auqui namanaiña tosibicoma, namatü:
JHN.18.40	—¡Tapü aiñemecacati maniqui! ¡Aiñemecasarrti Barrabás!
JHN.18.40	Arrti maniqui Barrabás cusüpürrti. Anancati au preso.
JHN.19.1	Auqui arrti Pilato bacüpuruti nauqui acüboriti Jesús. 
JHN.19.2	Arrümanuma masortaboca maumenoma cümeca itarusüboti Jesús. Iñatama itati. Iñatama ito aibiboti cüturiqui. 
JHN.19.3	Atüraimia esati, tosibicoma y namatü:
JHN.19.3	—¡Viva ümoti naqui üriatu bama israelitarrü!
JHN.19.3	Ñompebairomati.
JHN.19.4	Arrti Pilato süroti tatito türüpo esa bama israelitarrü, nanti ümoma:
JHN.19.4	—Amasasatü, iquiacati tauna aubesa, nauqui atusi aume, que ta champü nipünatenti tabüco sobi.
JHN.19.5	Auqui cuati Jesús uimia türüpo aübu manio cümeca itati, y ane ito manu naibirri cüturiqui apüti. Nanti Pilato ümoma:
JHN.19.5	—Carüti naqui ñoñünrrü auna.
JHN.19.6	Nauquiche asaramatü ümoti bama üriatu bama sacerdoterrü y bama policiarrü ichépe nurria nitosibirrimia, namatü:
JHN.19.6	—¡Aiñarrti apü curusürrü! ¡Aiñarrti apü curusürrü!
JHN.19.6	Nanti Pilato ümoma:
JHN.19.6	—Apiquiarrti y apiñarrti arraño apü curusürrü. Arrüñü chirrancapü, chütabücopü sobi arrtü ane nipünatenti naqui ñoñünrrü.
JHN.19.7	Aiñumuma bama israelitarrü, namatü:
JHN.19.7	—Arrüsomü ane nüriacarrü soboi. Arrti naqui ñoñünrrü tiene que aconti isiu arrüna ane corobo au nüriacarrü, itopiqui arrti isamunutiyü tacana Tuparrti.
JHN.19.8	Numo oncoiti Pilato arrüna sane, manrrü nirrucurrti. 
JHN.19.9	Iquianatiti Jesús tatopo au niporrti. Acamanu anquirioti pünanaquiti.
JHN.19.9	—¿Auquichecü?
JHN.19.9	Pero arrti Jesús chiñumutatipü.
JHN.19.10	Nanti Pilato tatito ümoti Jesús:
JHN.19.10	—¿Causane chaiñumutapü? ¿Taqui chütusiopü aemo que arrüñü ane nisüriaca? Arrtü irrianca puerurrüñü iñemecanü, puerurrü ito iñanü curusürrü.
JHN.19.11	Aiñumuti Jesús:
JHN.19.11	—Arrücü ane nüriaca iñemo, itopiqui torrio aemo uiti Tuparrü. Sane nauquiche arrübama uiche aitorrimianamañü aemo ane manrrü nomünantü uimia apünanaquicü.
JHN.19.12	Ui arrüna sane nurarrti Jesús, arrti Pilato bapacheroti tatito niquiubuti, causane nauqui emecati Jesús. Pero arrübama israelitarrü tosibicoma, namatü:
JHN.19.12	—¡Arrtü aiñemecacati, champürrtü amigorrücü ümoti yarusürürrü yüriaburrü César, itopiqui arrti naqui isamunutiyü yüriaburrü chauqui enemigorrti ümoti yarusürürrü yüriaburrü César!
JHN.19.13	Numo oncoiti Pilato arrüna nurarrüma, bacüpuruti na aiquianamati Jesús türüpo. Auqui atümoti Pilato manu siyarrü nesa bacurrtacarrü au na cauta nürirri ito uimia “Canca”, auqui hebreo namatü “Gabata”. 
JHN.19.14	Chauqui toce au manu nanenese virrpera parrcua. Auqui nanti Pilato ümo bama israelitarrü:
JHN.19.14	—Carüti naqui yüriaburrü aume auna.
JHN.19.15	Arrüma tosibicoma, namatü:
JHN.19.15	—¡Tari comati, aiquiarrti auqui na! ¡Aiñarrti apü cursürrü!
JHN.19.15	Nanti Pilato:
JHN.19.15	—¿Aensapü puerurrü iñanati apü curusürrü naqui abüriatu? Aiñumuma manuma üriatu bama sacerdoterrü:
JHN.19.15	—Arrüsomü champüti quiatarrü yüriaburrü suiñemo, cunauntaiñatiatai naqui yarusürürrü yüriaburrü César au Roma.
JHN.19.16	Auqui arrti Pilato itorrimianatiti Jesús mecu bama masortaboca, nauqui aiñanamati apü curusürrü. 
JHN.19.16	Sürotitü Jesús uimia. 
JHN.19.17	Iñatama ito nicurusürrti ompacüti, niyücürrti uimia au manu nürirri Golgota, auqui besüro nantü “nipiai nitanu macoiñoca”. 
JHN.19.18	Acamanu crabuti uimia apü nicurusürrti. Crabuma ito acamanu ichepeti bama torrü maquiataca mañoñünca apü nicurusürrüma, tamanti au nepanauncurrti Jesús, arrti quiatarrü au nepaurrü. 
JHN.19.19	Arrti Pilato bacüpurutito nauqui aiñama nicororrü apü nicurusürrti Jesús, nantü sane: “Tonenti Jesús auqui Nazaret, naqui üriatu bama israelitarrü”. 
JHN.19.20	Sürümanama bama israelitarrü leheboma manu nicororrü, itopiqui arrümanu cauta crabuti Jesús uimia apü curusürrü ane saimiantai ümo pueblurrü. Ananca corobo auqui trerrü manitacaca, auqui hebreo, auqui griego y auqui latín. 
JHN.19.21	Tapü arrübama üriatu bama sacerdoterrü namatü ümoti Pilato:
JHN.19.21	—¡Tapü aiconomota sane que ta tonenti naqui yüriaburrü ümo bama israelitarrü! Mejor aiconomo sane: “Arrti naqui ñoñünrrü nanti que yüriaburrti ümo bama israelitarrü”.
JHN.19.22	Tapü arrti Pilato nanti:
JHN.19.22	—Arrüna ane corobo sobi, sane süsio corobo.
JHN.19.23	Numo tütanati Jesús apü curusürrü ui bama masortaboca, arrüma ichepesünatama naibirrti, cuatro peasoca uimia, omenotü taiquiana taman peasorrü ui cadati taman. Ane ito nicüburrirrti, arrüna urriante tamantai peasorrü, champürrtü quipieno. 
JHN.19.24	Namatü bama masortaboca:
JHN.19.24	—Ensoratai arrtü uiquiompünata. Mejor suerteabo osoi, na atusi quiti naqui uiche aürotü.
JHN.19.24	Sane caüma cocono uimia arrüna urapoicaü icu Nicororrü: “Rrepartibo uimia arrüba nisaibi. Suerteaboma iyo nirrüburri”. Tone arrüna isamutema bama masortaboca.
JHN.19.25	Nipiacütoti Jesús ananca atürai esa nicurusürrti ichepe naruquirri. Ane ito Mariarrü nicüpostoti Cleofas y Mariarrü Matarenarrü. 
JHN.19.26	Arrti Jesús asaratitü ümo nipiacütoti y ümotito naqui ñanunecasarrti, naqui cuasürütiapae ümoti. Anancati atüraiti esa nipiacütoti. Auqui nanti Jesús ümo:
JHN.19.26	—Arrti naqui anati aesacü, tonenti caüma ahü.
JHN.19.27	Nantito ümoti maniqui ñanunecasarrti:
JHN.19.27	—Carü manu aesacü, asusio tacana napacüma.
JHN.19.27	Au manu nanenese arrti maniqui ñanunecasarrti yasutiuti au niporrti, tonenti caüma asaratitü itacu.
JHN.19.28	Arrti Jesús tütusio ümoti, que ta tüsai aconti y atacüru yatrabacacarrti. Manitanati tatito, nauqui acoco nurria Nicororrü. Nanti:
JHN.19.28	—Ichosüca.
JHN.19.29	Ananca acamanu taman bausürrü ataso ui niyü uva pichananene. Auqui aüromatü masortaboca aiñunuma rriese eana, aiñama cutacu suema abaesa aüromatü aiñama ahiti Jesús. 
JHN.19.30	Auqui arrti chaboti chimiantai, auqui nanti:
JHN.19.30	—Chauqui tanaiña urriante.
JHN.19.30	Auqui mataconoconañati, coiñoti.
JHN.19.31	Arrübama israelitarrü ñanquitioma pünanaquiti Pilato, na acüputi masortaboca nauqui aiñaneoma nitaparrüma manuma aboma apü curusüca, nauqui conto acoma. Sane nauqui puerurrü acaübuma ubapüqui curusüca. Ñanquitioma sane itopiqui viernerrü au manu nanenese, niyücürrü ümo sabaro, manu nanenese nesa macansacarrü. Arrümanu sabaro samamecana ümoma, ta nesa pierrta parrcua. Chirranrrüpüma na abe nicunturrüma bama coiño apü curusüca au manu nanenese. 
JHN.19.32	Así que arrübama masortaboca iñataimia yobesa manio curusüca. Iñaneontama nitaparrüma manuma torrü aboma apü curusürrü petacuti Jesús. 
JHN.19.33	Numo iñataimia esati Jesús, asaramati, ta chauqui tücoiñoti. Sane nauquiche champürrtü iñaneontama nitaparrti.
JHN.19.34	Arrti maniqui taman sortaborrü ane mecuti nesarrti ransarrü. Uirri iquiusutati nipetacurrti Jesús. Auqui osüro notorrti y turrü auqui manu nobüriturrü. 
JHN.19.35	Arrüñü Juan yarrtai nurria nanaiña arrüna pasabo sane. Tusio te iñemo, que ta ñemanauntu arrüna surapoi. Sane nauquiche arraño ito puerurrü apicoco. 
JHN.19.36	Sane pasabo nauqui acoco nanaiña arrüna anancatai corobo sane: “Chüpuerurrüpü aneon ni tamampü nipiairrti”. 
JHN.19.37	Nantito sane au quiatarrü narücüquirri icu Nicororrü: “Asaramati ñana maniqui ponsüro uimia”.
