GEN.1.1	Ar y dechrau cyntaf, dyma Duw yn creu y bydysawd a'r ddaear. 
EZK.30.10	“‘Dyma mae'r 
EZK.30.11	Bydd e a'i fyddin, byddin y wlad fwya creulon yn y byd, yn dod i lawr i ddinistrio'r Aifft. Byddan nhw'n tynnu eu cleddyfau i ymosod, ac yn llenwi'r wlad gyda chyrff marw. 
EZK.30.12	Bydda i'n sychu ei ffosydd, ac yn rhoi'r wlad yn nwylo dynion drwg. Bydda i'n defnyddio byddin estron i ddinistrio'r wlad a phopeth ynddi. Yr 
EZK.30.13	“‘Dyma mae'r 
EZK.30.14	Bydda i'n dinistrio Pathros, yn cynnau tân yn Soan ac yn cosbi Thebes. 
EZK.30.15	Bydda i'n tywallt fy llid ar gaer Pelwsiwm
EZK.30.16	Ydw dw i'n mynd i gynnau tân yn yr Aifft. Bydd Pelwsiwm yn gwingo mewn poen, Thebes yn cael ei thorri i lawr a Memffis yn dioddef trais diddiwedd. 
EZK.30.17	Bydd milwyr ifanc Heliopolis a Bwbastis
EZK.30.18	Bydd hi'n ddiwrnod tywyll ar Tachpanches pan fydda i'n dod â grym gwleidyddol yr Aifft i ben.
EZK.30.19	Dw i'n mynd i farnu'r Aifft. Byddan nhw'n deall wedyn mai fi ydy'r 
EZK.30.20	Roedd hi un deg un mlynedd ar ôl i ni gael ein cymryd yn gaeth i Babilon, ar y seithfed diwrnod o'r mis cyntaf,
EZK.30.21	“Ddyn, dw i wedi torri braich y Pharo, brenin yr Aifft. Dydy'r fraich ddim wedi cael ei rhwymo i roi cyfle iddi wella, ac felly fydd hi byth yn ddigon cryf i drin cleddyf eto. 
EZK.30.22	Felly, dyma mae'r 
EZK.30.23	Bydd pobl yr Aifft yn cael eu gyrru ar chwâl drwy'r gwledydd i gyd. 
EZK.30.24	Ond bydda i'n cryfhau breichiau brenin Babilon, ac yn rhoi fy nghleddyf i yn ei law. Bydda i'n torri breichiau'r Pharo, a bydd e'n griddfan mewn poen, fel dyn wedi'i anafu ac sydd ar fin marw. 
EZK.30.25	Bydda i'n cryfhau breichiau brenin Babilon, ond bydd breichiau'r Pharo yn llipa. Byddan nhw'n deall wedyn mai fi ydy'r 
EZK.30.26	Bydd pobl yr Aifft yn cael eu gyrru ar chwâl drwy'r gwledydd i gyd. Byddan nhw'n deall wedyn mai fi ydy'r 
EZK.31.1	Roedd hi un deg un mlynedd ar ôl i ni gael ein cymryd yn gaeth i Babilon, ar ddiwrnod cynta'r trydydd mis.
EZK.31.2	“Ddyn, dywed wrth y Pharo,
EZK.31.2	‘Oes rhywbeth sy'n cymharu â dy fawredd di?
EZK.31.3	Roedd Asyria fel coeden gedrwydd yn Libanus,
EZK.31.3	a'i changhennau hardd fel cysgod y goedwig.
EZK.31.3	Roedd yn aruthrol dal, a'i brigau uchaf yn y cymylau.
EZK.31.4	Y dŵr oedd yn gwneud iddi dyfu,
EZK.31.4	a'r ffynhonnau dwfn yn ei gwneud yn dal.
EZK.31.4	Roedd nentydd yn llifo o'i chwmpas;
EZK.31.4	a sianeli dŵr yn dyfrio'r coed i gyd.
EZK.31.5	Ond roedd y goeden hon yn dalach
EZK.31.5	na'r coed o'i chwmpas i gyd.
EZK.31.5	Canghennau mawr a brigau hir,
EZK.31.5	a'i gwreiddiau'n lledu at y dŵr.
EZK.31.6	Roedd yr adar i gyd yn nythu yn ei brigau,
EZK.31.6	a'r anifeiliaid gwyllt yn geni rhai bach dan ei changhennau.
EZK.31.6	Roedd y gwledydd mawr i gyd yn byw dan ei chysgod.
EZK.31.7	Roedd yn rhyfeddol o hardd gyda'i changhennau hir,
EZK.31.7	a'i gwreiddiau'n ymestyn yn ddwfn at ddigonedd o ddŵr.
EZK.31.8	Doedd coed cedrwydd eraill gardd Duw ddim yn cystadlu â hi.
EZK.31.8	Doedd canghennau'r coed pinwydd ddim byd tebyg;
EZK.31.8	a'r coed planwydd yn ddim o'u cymharu â hi.
EZK.31.8	Doedd dim un o goed gardd Duw mor hardd â hon!
EZK.31.9	Fi wnaeth hi'n hardd gyda'i holl ganghennau.
EZK.31.9	Roedd coed Eden i gyd, gardd Duw, yn genfigennus ohoni.
EZK.31.10	“‘Felly, dyma mae'r 
EZK.31.11	rhois hi yn nwylo arweinydd y cenhedloedd, i'w chosbi am ei drygioni. Dw i wedi'i thaflu hi i ffwrdd. 
EZK.31.12	Mae byddin estron y wlad fwya creulon wedi'i thorri i lawr a'i gadael i orwedd ar y mynyddoedd. Mae ei changhennau'n gorwedd ar chwâl yn y dyffrynnoedd a'r ceunentydd. Mae pawb oedd yn cysgodi oddi tani wedi ffoi pan gafodd ei thaflu i ffwrdd. 
EZK.31.13	Mae'r adar i gyd yn clwydo ar ei boncyff marw, a'r anifeiliaid gwyllt yn cerdded dros ei changhennau.
EZK.31.14	“‘Digwyddodd hyn i stopio i unrhyw goeden arall dyfu mor dal nes bod ei brigau uchaf yn y cymylau. Byddan nhw i gyd, fel pobl feidrol, yn marw yn nyfnder y ddaear. Byddan nhw'n ymuno gyda phawb arall sydd yn y Pwll.
EZK.31.15	“‘Dyma mae'r 
EZK.31.16	Roedd y gwledydd i gyd yn crynu pan glywon nhw amdani'n syrthio, pan wnes i ei thaflu i lawr i fyd y meirw gyda phawb arall sydd yn y Pwll. Yn y byd tanddaearol cafodd coed Eden i gyd a'r gorau o goed Libanus, pob un oedd wedi cael digon o ddŵr, eu bodloni. 
EZK.31.17	Roedd ei chefnogwyr i gyd (y gwledydd oedd wedi byw dan ei chysgod) wedi mynd i lawr i fyd y meirw gyda hi, i ymuno gyda phawb arall oedd wedi'u lladd â'r cleddyf.
EZK.31.18	“‘Pa un o goed Eden sydd unrhyw beth tebyg i ti? Ond byddi dithau'n cael dy fwrw i lawr i ddyfnder y ddaear gyda choed Eden. Byddi'n byw gyda'r paganiaid eraill gafodd eu lladd â'r cleddyf!’ Dyna fydd yn digwydd i'r Pharo a'i fyddin enfawr,” meddai'r Meistr, yr 
EZK.32.1	Roedd hi ddeuddeg mlynedd ar ôl i ni gael ein cymryd yn gaeth i Babilon, ar ddiwrnod cynta'r deuddegfed mis,
EZK.32.2	“Ddyn, dw i eisiau i ti ganu cân i alaru ar ôl y Pharo, brenin yr Aifft, a dweud wrtho:
EZK.32.2	‘Roeddet ti'n gweld dy hun fel llew yng nghanol y gwledydd,
EZK.32.2	ond ti fwy fel draig yn y môr.
EZK.32.2	Rwyt ti'n sblasio yn y ffosydd,
EZK.32.2	yn corddi'r dŵr gyda dy draed
EZK.32.2	a baeddu'r ffosydd.’
EZK.32.3	Dyma mae'r 
EZK.32.3	Bydda i'n taflu fy rhwyd drosot ti
EZK.32.3	(bydd tyrfa enfawr o bobl yno),
EZK.32.3	ac yn dy lusgo allan o'r dŵr gyda'm llusgrwyd.
EZK.32.4	Wedyn bydda i'n dy daflu di ar dir sych,
EZK.32.4	a bydd yr adar yn dod ac yn byw arnat ti,
EZK.32.4	a'r anifeiliaid gwyllt yn llenwi eu hunain arnat.
EZK.32.5	Bydd dy gig ar y mynyddoedd
EZK.32.5	a'r gweddillion yn y dyffrynnoedd.
EZK.32.6	Bydda i'n socian y tir gyda dy waed di,
EZK.32.6	yr holl ffordd i ben y mynyddoedd,
EZK.32.6	a bydd dy waed yn llenwi'r ceunentydd i gyd.
EZK.32.7	Pan fydda i'n dy ddiffodd bydda i'n rhoi gorchudd ar yr awyr,
EZK.32.7	ac yn diffodd y sêr i gyd.
EZK.32.7	Bydd cwmwl yn cuddio'r haul,
EZK.32.7	ac yn rhwystro'r lleuad rhag llewyrchu.
EZK.32.8	Bydd pob golau yn yr awyr yn diffodd,
EZK.32.8	a bydd tywyllwch drwy'r wlad i gyd,”
EZK.32.8	meddai'r Meistr, yr 
EZK.32.9	“Bydd pobloedd lawer wedi cynhyrfu pan fydd y cenhedloedd yn clywed am dy ddinistr. Hyd yn oed gwledydd dwyt ti erioed wedi clywed amdanyn nhw. 
EZK.32.10	Bydd pobl mewn sioc o glywed beth fydd wedi digwydd i ti. Bydd brenhinoedd wedi dychryn am eu bywydau pan fydda i'n chwifio fy nghleddyf o'u blaenau nhw. Ar y diwrnod y byddi di'n syrthio byddan nhw'n crynu drwyddynt yn ofni am eu bywydau eu hunain.”
EZK.32.11	Dyma mae'r 
EZK.32.12	Bydda i'n gwneud i gleddyfau milwyr cryfion
EZK.32.12	ladd dy fyddin enfawr di –
EZK.32.12	nhw ydy'r milwyr mwyaf creulon sydd.
EZK.32.12	Byddan nhw'n torri balchder yr Aifft,
EZK.32.12	a bydd ei byddin enfawr yn cael ei dinistrio.
EZK.32.13	Bydd yr anifeiliaid sy'n pori ar lan y dŵr
EZK.32.13	yn cael eu lladd i gyd.
EZK.32.13	Fydd y dŵr ddim yn cael ei faeddu eto
EZK.32.13	gan draed dynol na charnau anifeiliaid.
EZK.32.14	Bydd y dŵr drwy'r Aifft yn glir,
EZK.32.14	a'r afonydd yn llifo'n llyfn fel olew.
EZK.32.14	“Dyna neges y Meistr, yr 
EZK.32.15	Pan fydda i'n troi gwlad yr Aifft yn anialwch
EZK.32.15	ac yn dinistrio popeth sydd ynddi;
EZK.32.15	Pan fydda i'n lladd pawb sy'n byw yno,
EZK.32.15	byddan nhw'n sylweddoli mai fi ydy'r 
EZK.32.16	“Dyma'r gân angladdol fyddan nhw'n ei chanu. Bydd merched y gwledydd i gyd yn ei chanu ac yn galaru am yr Aifft a'i byddin enfawr.” Dyna neges y Meistr, yr 
EZK.32.17	Ddeuddeg mlynedd ar ôl i ni gael ein cymryd yn gaeth i Babilon, ar y pymthegfed diwrnod o'r un mis,
EZK.32.18	“Ddyn, uda dros fyddin yr Aifft. ‘I lawr â hi! I lawr â hi at drefi a dinasoedd y gwledydd pwerus eraill sydd yn nyfnder y ddaear. I lawr â hi gyda phawb sy'n mynd i'r Pwll!’
EZK.32.19	Wyt ti'n harddach na'r gwledydd eraill? Na!
EZK.32.19	Dos i lawr i orwedd gyda'r gwledydd paganaidd.
EZK.32.20	Byddi'n gorwedd gyda phawb arall
EZK.32.20	sydd wedi'u lladd mewn rhyfel!
EZK.32.20	Mae'r cleddyf yn barod i'w taro nhw;
EZK.32.20	bydd yr Aifft a'i byddin yn cael eu llusgo i ffwrdd.
EZK.32.21	Bydd arweinwyr grymus y gwledydd
EZK.32.21	yn gwawdio'r Aifft a'i chefnogwyr:
EZK.32.21	‘Dyma nhw wedi cyrraedd,
EZK.32.21	i orwedd gyda'r paganiaid eraill
EZK.32.21	sydd wedi'u lladd â'r cleddyf.’
EZK.32.22	“Mae brenin Asyria yna, a beddau ei fyddin enfawr ym mhobman. Pob un wedi'i ladd â'r cleddyf. 
EZK.32.23	Mae eu beddau yn gorchuddio llethrau dyfnaf y Pwll, ac mae ei chefnogwyr o'i chwmpas. Ie, dyma nhw, y rhai oedd yn codi dychryn ar bawb drwy'r byd!
EZK.32.24	“Mae Elam yna, a beddau ei byddin enfawr hithau ym mhobman. Pob un wedi'i ladd â'r cleddyf. Hwythau'n baganiaid wedi mynd i lawr i ddyfnder y ddaear, ond ar un adeg yn codi dychryn ar bawb drwy'r byd. Bellach maen nhw'n gorwedd mewn cywilydd gyda phawb arall sy'n disgyn i'r Pwll! 
EZK.32.25	Mae hithau'n gorffwys gyda'r meirw, a beddau ei byddin enfawr ym mhobman. Paganiaid wedi'u lladd â'r cleddyf am eu bod wedi codi dychryn ar bawb drwy'r byd. Bellach maen nhw'n gorwedd mewn cywilydd gyda phawb arall sy'n disgyn i'r Pwll!
EZK.32.26	“Mae Meshech a Twbal yna, a beddau eu byddinoedd hwythau ym mhobman. Paganiaid wedi'u lladd â'r cleddyf am eu bod wedi codi dychryn ar bawb drwy'r byd. 
EZK.32.27	Dŷn nhw ddim gydag arwyr dewr y gorffennol, wedi'u claddu'n anrhydeddus gyda'u harfau – gyda'r cleddyf wedi'i osod dan y pen a'r darian yn gorwedd ar yr esgyrn. Roedden nhw hefyd yn codi dychryn ar bawb drwy'r byd. 
EZK.32.28	A byddi dithau, y Pharo, yn gorwedd wedi dy dorri gyda'r paganiaid eraill gafodd eu lladd â'r cleddyf!
EZK.32.29	“Mae Edom yna, gyda'i brenhinoedd a'i phenaethiaid i gyd. Er eu bod mor gryf ar un adeg, maen nhw'n gorwedd gyda'r rhai sydd wedi'u lladd â'r cleddyf. Maen nhw'n gorwedd gyda'r paganiaid eraill sydd wedi mynd i lawr i'r Pwll.
EZK.32.30	“Mae arweinwyr gwledydd y gogledd yno i gyd, a'r Sidoniaid. Y rhai oedd yn codi dychryn bellach yn gorwedd mewn cywilydd gyda'r meirw – gyda'r paganiaid eraill gafodd eu lladd â'r cleddyf. Maen nhw'n gorwedd mewn cywilydd gyda phawb arall sy'n disgyn i'r Pwll.
EZK.32.31	“Bydd y Pharo yn eu gweld, ac yn cael ei gysuro mai nid ei fyddin enfawr e oedd yr unig un i gael ei lladd â'r cleddyf,” meddai'r Meistr, yr 
EZK.32.32	“Er fy mod wedi'u defnyddio nhw i godi dychryn ar bawb drwy'r byd, bydd y Pharo a'i fyddin yn gorwedd gyda'r paganiaid eraill gafodd eu lladd â'r cleddyf.” Dyna neges y Meistr, yr 
EZK.33.1	A dyma fi'n cael neges arall gan yr 
EZK.33.2	“Ddyn, dywed hyn wrth dy bobl, ‘Pan dw i'n gadael i fyddin ymosod ar wlad, mae pobl y wlad honno'n dewis un o'u plith i fod yn wyliwr. 
EZK.33.3	Mae'n gweld byddin y gelyn yn dod ac yn chwythu'r corn hwrdd
EZK.33.4	Os ydy pobl yn clywed y corn hwrdd ond yn cymryd dim sylw, nhw fydd ar fai pan gân nhw eu lladd. 
EZK.33.5	Roedden nhw wedi clywed y corn hwrdd, ond ei anwybyddu. Arnyn nhw mae'r bai. Petaen nhw wedi gwrando bydden nhw'n dal yn fyw. 
EZK.33.6	Ond beth petai'r gwyliwr heb ganu'r corn hwrdd i rybuddio'r bobl pan welodd y fyddin yn dod? Mae rhywun yn cael ei ladd. Mae'r person hwnnw'n marw am ei fod e'i hun wedi pechu, ond bydda i'n dal y gwyliwr yn gyfrifol am achosi iddo gael ei ladd.
EZK.33.7	“Ddyn, ti dw i wedi'i benodi yn wyliwr
EZK.33.8	Pan dw i'n dweud wrth rywun drwg, ‘Rwyt ti'n siŵr o farw,’ a thithau ddim yn ei rybuddio fod rhaid iddo newid ei ffyrdd, bydd e'n marw am ei fod wedi pechu a bydda i'n dy ddal di'n gyfrifol ei fod wedi marw. 
EZK.33.9	Ond os byddi di wedi'i rybuddio i newid ei ffyrdd, ac yntau wedi gwrthod gwneud hynny, bydd e'n marw am ei fod wedi pechu ond byddi di wedi achub dy hun.
EZK.33.10	“Ddyn, dyma rwyt ti i'w ddweud wrth bobl Israel: ‘Dych chi wedi bod yn dweud, “Mae hyn i gyd yn digwydd am ein bod ni wedi gwrthryfela ac wedi pechu. Mae wedi darfod arnon ni. Pa obaith sydd?”’ 
EZK.33.11	Wel, dywed wrthyn nhw, ‘Mor sicr â'r ffaith mai fi ydy'r Duw byw, dydy gweld pobl ddrwg yn marw yn rhoi dim pleser i mi. Byddai'n well gen i iddyn nhw newid eu ffyrdd a chael byw. Dewch bobl Israel, trowch gefn ar eich drygioni. Pam ddylech chi farw?’
EZK.33.12	“Ddyn, dywed wrth dy bobl, ‘Fydd daioni y bobl sy'n gwneud beth sy'n iawn ddim yn eu hachub nhw pan fyddan nhw'n gwrthryfela. A fydd drygioni pobl ddrwg ddim yn eu condemnio nhw os gwnân nhw newid eu ffyrdd a stopio gwneud drwg. Fydd yr holl bethau da mae rhywun wedi'i gwneud ddim yn ei achub os ydy e'n dewis pechu wedyn.’ 
EZK.33.13	Os dw i'n dweud wrth rywun sy'n gwneud beth sy'n iawn ei fod yn cael byw ac mae e'n dewis pechu wedyn, bydd yr holl bethau da wnaeth e yn cael eu hanghofio. Bydd e'n marw am ei fod wedi pechu. 
EZK.33.14	Ond os ydw i'n dweud wrth rywun drwg, ‘Rwyt ti'n siŵr o farw,’ a hwnnw wedyn yn troi cefn ar ei bechod a gwneud beth sy'n iawn ac yn dda 
EZK.33.15	(Os bydd e'n talu'n ôl beth gafodd ei roi iddo'n ernes, yn rhoi beth mae wedi'i ddwyn yn ôl, yn cadw'r deddfau sy'n rhoi bywyd ac yn peidio pechu) bydd e'n cael byw. Fydd e ddim yn marw. 
EZK.33.16	Bydd y pechodau wnaeth e yn cael eu hanghofio. Mae e'n gwneud beth sy'n iawn ac yn dda, a bydd e'n cael byw.”
EZK.33.17	“Ond mae dy bobl yn dweud, ‘Dydy beth mae'r Meistr yn ei wneud ddim yn iawn!’ Y gwir ydy mai'r ffordd maen nhw'n ymddwyn sydd ddim yn iawn! 
EZK.33.18	Pan mae pobl sy'n gwneud beth sy'n iawn yn newid eu ffyrdd ac yn dewis gwneud drwg, byddan nhw'n marw. 
EZK.33.19	Ond os ydy pobl ddrwg yn troi cefn ar eu pechod ac yn gwneud beth sy'n iawn ac yn dda, byddan nhw'n cael byw. 
EZK.33.20	Ac eto, dych chi bobl Israel yn dweud, ‘Dydy beth mae'r Meistr yn ei wneud ddim yn iawn!’ Felly, bobl Israel, bydda i'n barnu pob un ohonoch chi ar sail beth dych chi wedi'i wneud.”
EZK.33.21	Ddeuddeg mlynedd ar ôl i ni gael ein cymryd yn gaeth i Babilon, ar y pumed diwrnod o'r degfed mis,
EZK.33.22	Roedd yr 
EZK.33.23	Dyma'r 
EZK.33.24	“Ddyn, mae'r rhai sy'n byw yng nghanol adfeilion Israel yn siarad fel yma: ‘Un dyn oedd Abraham, ac eto llwyddodd i feddiannu'r wlad i gyd! Mae yna lot fawr ohonon ni. Mae'r wlad yma'n siŵr o gael ei rhoi i ni!’ 
EZK.33.25	Felly, dywed wrthyn nhw, ‘Dyma mae'r 
EZK.33.26	Dych chi'n dibynnu ar eich arfau, yn gwneud pethau ffiaidd, ac yn cysgu gyda gwraig rhywun arall. Fydd y wlad yn cael ei rhoi i chi?’
EZK.33.27	“Dwed hyn wrthyn nhw, ‘Dyma mae'r 
EZK.33.28	Bydda i'n troi'r wlad yn anialwch diffaith. Bydd ei balchder yn ei grym yn dod i ben. Bydd mynyddoedd Israel mor anial, fydd neb yn cerdded drostyn nhw.’ 
EZK.33.29	Byddan nhw'n sylweddoli mai fi ydy'r 
EZK.33.30	“Ddyn, mae dy bobl yn siarad amdanat ti o gwmpas y ddinas ac ar y stepen drws, ac yn dweud wrth ei gilydd, ‘Dewch i wrando ar y neges gan yr 
EZK.33.31	Mae tyrfa ohonyn nhw'n dod ac yn eistedd o dy flaen di. Maen nhw'n gwrando ond dŷn nhw ddim yn gweithredu. Dŷn nhw ddim yn gwneud beth dw i'n ddweud. Maen nhw'n gofyn am fwy ond gwneud arian ac elwa ar draul pobl eraill ydy eu hobsesiwn nhw. 
EZK.33.32	Adloniant ydy'r cwbl iddyn nhw. Ti fel canwr yn canu caneuon serch. Mae gen ti lais hyfryd ac rwyt ti'n offerynnwr medrus. Maen nhw'n gwrando ond dŷn nhw ddim yn gweithredu. 
EZK.33.33	Pan fydd y cwbl yn dod yn wir – ac mae'n mynd i ddigwydd – byddan nhw'n gwybod fod proffwyd wedi bod gyda nhw.”
EZK.34.1	Dyma'r 
EZK.34.2	“Ddyn, proffwyda yn erbyn bugeiliaid Israel (sef yr arweinwyr). Dwed wrthyn nhw, ‘Dyma mae'r 
EZK.34.3	Dych chi'n yfed eu llaeth nhw, yn gwisgo'u gwlân ac yn lladd yr ŵyn gorau i'w rhostio, ond dych chi ddim yn gofalu am y praidd! 
EZK.34.4	Dych chi ddim wedi helpu'r rhai gwan, gwella y rhai sy'n sâl na rhwymo briwiau y rhai sydd wedi'u hanafu. Dych chi ddim wedi edrych am y rhai sydd wedi crwydro a mynd ar goll. Na, yn lle hynny, dych chi wedi'u rheoli nhw a'u bygwth fel meistri creulon. 
EZK.34.5	Bellach maen nhw ar chwâl am fod dim bugail wedi gofalu amdanyn nhw. Maen nhw'n cael eu llarpio gan anifeiliaid gwyllt. 
EZK.34.6	Mae fy nefaid wedi crwydro dros y mynyddoedd a'r bryniau uchel i gyd. Maen nhw ar wasgar drwy'r byd i gyd, a does neb yn edrych a chwilio amdanyn nhw.
EZK.34.7	“‘Felly, chi fugeiliaid, dyma neges yr 
EZK.34.8	Mor sicr â'r ffaith mai fi ydy'r Duw byw, meddai'r 
EZK.34.9	Felly, chi fugeiliaid, dyma neges yr 
EZK.34.10	Mae'r 
EZK.34.11	“‘Dyma mae'r 
EZK.34.12	Fel mae bugail yn chwilio am ei braidd pan maen nhw wedi mynd ar chwâl, bydda i'n dod o hyd i'm praidd i. Bydda i'n eu hachub nhw o ble bynnag aethon nhw ar y diwrnod tywyll, stormus hwnnw. 
EZK.34.13	Dw i'n mynd i ddod â nhw adre o'r gwledydd eraill; dod â nhw yn ôl i'w tir eu hunain. Dw i'n mynd i adael iddyn nhw bori ar fryniau a dyffrynnoedd Israel, ble bynnag mae porfa iddyn nhw. 
EZK.34.14	Ydw, dw i'n mynd i roi porfa iddyn nhw ar ben bryniau Israel. Byddan nhw'n gorwedd mewn porfa hyfryd ac yn bwydo ar laswellt cyfoethog bryniau Israel. 
EZK.34.15	Dw i fy hun yn mynd i ofalu amdanyn nhw, a rhoi lle iddyn nhw orwedd i lawr, meddai'r Meistr, yr 
EZK.34.16	Dw i'n mynd i chwilio am y rhai sydd ar goll, a dod â'r rhai sydd wedi crwydro yn ôl adre. Dw i'n mynd i rwymo briwiau y rhai sydd wedi'u hanafu, a helpu'r rhai sy'n wan. Ond bydd y rhai cyfoethog a chryf yn cael eu dinistrio. Bydda i'n gofalu eu bod nhw'n cael beth maen nhw'n ei haeddu!
EZK.34.17	“‘Ie, dyma beth mae'r 
EZK.34.18	Ydy bwydo ar borfa dda ddim digon i chi? Oes rhaid i chi sathru gweddill y borfa hefyd? Wrth yfed y dŵr glân oes rhaid i chi faeddu gweddill y dŵr drwy sathru'r mwd? 
EZK.34.19	Pam ddylai gweddill fy nefaid i orfod bwyta'r borfa sydd wedi'i sathru gynnoch chi ac yfed dŵr sydd wedi'i faeddu?
EZK.34.20	“‘Felly, dyma mae'r 
EZK.34.21	Dych chi'r rhai cryfion wedi gwthio'r rhai gwan o'r ffordd. Dych chi wedi'u cornio nhw a'i gyrru nhw i ffwrdd. 
EZK.34.22	Ond dw i'n mynd i achub fy nefaid. Fyddan nhw ddim yn cael eu cam-drin o hyn ymlaen. Ydw, dw i'n mynd i wahaniaethu rhwng un ddafad a'r llall.
EZK.34.23	“‘Dw i'n mynd i apwyntio un bugail i ofalu amdanyn nhw, sef fy ngwas Dafydd. Bydd e'n fugail arnyn nhw. 
EZK.34.24	Fi, yr 
EZK.34.25	“‘Bydda i'n gwneud ymrwymiad i roi heddwch iddyn nhw. Bydda i'n cael gwared â'r anifeiliaid gwyllt o'r tir. Byddan nhw'n saff i aros yn yr anialwch, ac yn gallu cysgu yn y goedwig hyd yn oed. 
EZK.34.26	Bydda i'n eu bendithio nhw, a'r ardaloedd o gwmpas fy mryn hefyd. Bydd glaw yn disgyn ar yr adeg iawn; cawodydd yn dod â bendith! 
EZK.34.27	Bydd ffrwythau'n tyfu ar y coed yng nghefn gwlad, a chnydau yn tyfu o'r tir. Byddan nhw i gyd yn teimlo'n saff. Byddan nhw'n gwybod mai fi ydy'r 
EZK.34.28	a fydd gwledydd eraill byth eto'n eu dinistrio nhw. Fydd anifeiliaid gwyllt ddim yn ymosod arnyn nhw. Byddan nhw'n hollol saff. Fyddan nhw'n ofni dim. 
EZK.34.29	Bydda i'n gwneud i'w cnydau nhw lwyddo, a fyddan nhw byth yn dioddef o newyn eto. A fyddan nhw byth eto'n destun sbort i'r gwledydd o'u cwmpas. 
EZK.34.30	Byddan nhw'n gwybod yn iawn wedyn fy mod i, yr 
EZK.34.31	“Chi, fy nefaid i sy'n byw ar fy mhorfa i, ydy fy mhobl i. A fi ydy'ch Duw chi,” meddai'r Meistr, yr 
EZK.35.1	Dyma'r 
EZK.35.2	“Ddyn, dw i eisiau i ti droi i wynebu Edom,
EZK.35.3	Dwed wrthi, ‘Dyma mae'r 
EZK.35.3	Dw i'n mynd i ddelio gyda ti, Edom.
EZK.35.3	Dw i'n mynd i dy daro di'n galed,
EZK.35.3	a dy droi di yn anialwch diffaith!
EZK.35.4	Bydda i'n gwneud dy drefi'n adfeilion.
EZK.35.4	Byddi fel anialwch!
EZK.35.4	A byddwch chi'n deall wedyn mai fi ydy'r 
EZK.35.5	“‘Rwyt ti bob amser wedi casáu pobl Israel. Roeddet ti'n ymosod arnyn nhw gyda'r cleddyf pan oedden nhw mewn trafferthion, pan o'n i eisoes wedi'u cosbi nhw. 
EZK.35.6	Felly, mor sicr â'r ffaith mai fi ydy'r Duw byw, gan dy fod ti mor hoff o dywallt gwaed mae lladdfa ar ei ffordd i ti! 
EZK.35.7	Bydda i'n troi Edom yn anialwch diffaith. Bydd hyd yn oed y rhai sy'n pasio trwodd yn cael eu lladd. 
EZK.35.8	Bydd cyrff marw yn gorchuddio dy fynyddoedd. Bydd pobl wedi'u lladd â'r cleddyf yn gorwedd ar y bryniau, yn y dyffrynnoedd ac ym mhob ceunant. 
EZK.35.9	Byddi'n adfeilion am byth. Fydd neb yn byw ynot ti. A byddwch chi'n deall wedyn mai fi ydy'r 
EZK.35.10	“‘Roeddet ti'n dweud, “Bydd y ddwy wlad yna yn perthyn i mi! Bydda i'n eu cymryd nhw,” – er bod yr 
EZK.35.11	Felly, mor sicr â'r ffaith mai fi ydy'r Duw byw,’ meddai'r Meistr, yr 
EZK.35.12	Byddi'n gwybod wedyn fy mod i, yr 
EZK.35.13	Roeddet ti'n brolio dy hun a ddim yn stopio gwneud sbort am fy mhen i – ydw, dw i wedi clywed y cwbl!’ 
EZK.35.14	Dyma mae'r 
EZK.35.15	Pan gafodd gwlad Israel ei dinistrio roeddet ti'n dathlu. Ond nawr mae'r un peth yn mynd i ddigwydd i ti! Bydd Edom, ie pawb drwy'r wlad i gyd, yn cael eu dinistrio! Byddan nhw'n deall wedyn mai fi ydy'r 
EZK.36.1	“Ddyn, dw i eisiau i ti broffwydo wrth fynyddoedd Israel, a dweud: ‘Israel fynyddig, gwrando ar neges yr 
EZK.36.2	Mae'r gelyn wedi bod yn dy wawdio di. “Ha! ha!” medden nhw, “Mae'r bryniau hynafol yna'n perthyn i ni bellach!”’ 
EZK.36.3	Felly ddyn, proffwyda a dweud: ‘Dyma mae'r 
EZK.36.4	Felly Israel, gwrando ar neges y Meistr, yr 
EZK.36.5	Ie, dyma mae'r 
EZK.36.6	“Felly dw i eisiau i ti broffwydo am wlad Israel, a dweud wrth y mynyddoedd a'r bryniau, y dyffrynnoedd a'r ceunentydd, ‘Dyma mae'r 
EZK.36.7	Dyma mae'r 
EZK.36.8	“‘Ond bydd dy ganghennau di yn tyfu, Israel fynyddig, a bydd ffrwythau'n pwyso'n drwm arnyn nhw; ffrwythau ar gyfer fy mhobl, Israel. Byddan nhw'n dod yn ôl adre'n fuan! 
EZK.36.9	Gwranda, dw i ar dy ochr di. Dw i'n mynd i dy helpu di. Bydd y tir yn cael ei aredig eto, a chnydau'n cael eu plannu. 
EZK.36.10	Bydd dy boblogaeth yn tyfu drwy'r wlad i gyd. Bydd pobl yn byw yn dy drefi, a'r adfeilion yn cael eu hadeiladu. 
EZK.36.11	Bydd y wlad yn fwrlwm o fywyd eto – pobl ac anifeiliaid yn magu rhai bach. Bydd pobl yn byw ynot ti unwaith eto, a bydd pethau'n well arnat ti nag erioed o'r blaen. Byddwch chi'n gwybod wedyn mai fi ydy'r 
