GEN.1.1	Tô tigkanayan ka langun, igimu ka Manama tô langit
JHN.1.14	Igpamanubù sikandin na ágngadanan Kagi ka Manama, asta igóddô sikandin duma áknita. Igkita dé tô séllaán din, su tuu médu-édu sikandin asta ágkasarigan tô kagi din.
JHN.1.15	Sikandin tô igulit-ulit i Juan na Tarabunyag tô igkagi sikandin ka mabákkár, na mà din, “Ni gó tô taganà ku igulit-ulit ákniyu na duwán pa dumunggù na tuu pa mallayat tô kamanubuan din ka tandingán kanak, su tô ándà a pa pamasusuwi, taganà dán sikandin.”
JHN.1.16	Dakál tô kédu i Jesus áknita, asta ándà ágtamanán katô kédu din. 
JHN.1.17	Ukit ki Moises, igbággé tô mga sugù ka Manama. Asal ukit ki Jesu-Cristo, igdunggù dini áknita tô kédu asta tô kabánnalan. 
JHN.1.18	Ándà palang manubù na ikakita ka Manama. Asal tô bugtung Batà ka Manama na inalayun ágduma ka Manama, sikandin tô igpasóddór áknita tingód katô Ámmà din.
JHN.1.19+JHN.1.20	Na, duwán mga pangulu ka templo asta mga rubbad i Levi na igsadun tun ki Juan na Tarabunyag. Igpapid dan tô mga pangulu ka Judio tikud tun ta Jerusalem ébô minsà dan ki Juan ka sadan sikandin. Ni gó tô igulit i Juan, su ándà din buluni tô kabánnalan, na mà din, “Ánnà a Mesiyas.”
JHN.1.21	Iginsà sikandan, na mà dan, “Sadan ka? Si Elias ka?”
JHN.1.21	Igtaba si Juan, na mà din, “Ánnà.”
JHN.1.21	Igkagi sikandan, na mà dan, “Sikuna basì tô propeta na gimanan dé.”
JHN.1.21	Igtaba si Juan, na mà din, “Ánnà.”
JHN.1.22	Igkagi puman sikandan, na mà dan, “Uliti ké ka sadan ka, ébô duwán taba dé katô mga manubù na igpapid áknami. Ándin tô taba nu tingód katô áknikó kamanubuan?”
JHN.1.23	Igtaba si Juan, na mà din, “Sakán tô katumanan katô igkagi katô propeta sayyan na si Isaias, na mà din,
JHN.1.23	“‘Duwán sábbad manubù na dinággán yu na gullaó tun ta disyerto: Tullid yu tô dalan na ukitan katô Áglangngagán.’”
JHN.1.24	Igpapid ka mga Pariseo tô mga manubù na iginsà ki Juan. 
JHN.1.25	Iginsà sikandan, na mà dan, “Atin ka ánnà ka Mesiyas, asta ánnà ka si Elias na iglónód, asta ánnà ka tô propeta na gimanan dé, manan ka ágbunyag ka?”
JHN.1.26	Igtaba si Juan, na mà din, “Ágbunyagga ukit ka wayig. Asal duwán sábbad manubù dini ákniyu na ándà yu pa kilalayi. 
JHN.1.27	Agad ikatapuri sikandin kanak, asal ánnà a nángngà agad lumusutta dád ka sandalyas din.”
JHN.1.28	Ilumu ni tun ta lunsud ka Betania dipag katô Wayig ka Jordan na dutun ágbunyag si Juan.
JHN.1.29	Na, pagkasimag, igkita i Juan si Jesus na ágpadani kandin. Igkagi si Juan tun ta mga manubù na ilimud, na mà din, “Na, sikandin tô Nati Karnero na igbággé ka Manama, su sikandin tô miwà ka salà katô langun manubù nit banuwa! 
JHN.1.30	Sikandin tô taganà ku igulit-ulit ákniyu na duwán pa dumunggù na tuu pa mallayat tô kamanubuan din ka tandingán kanak, su tô ándà a pa pamasusuwi, taganà dán sikandin. 
JHN.1.31	Dángngan, ándà sóddór ku ka sadan sikandin. Asal ágbunyagga ukit ka wayig ébô pasóddórán ku katô mga rubbad i Israel tô tingód kandin.”
JHN.1.32	Na, igulit-ulit si Juan, na mà din, “Igkita ku tô Ugis Espiritu na igsunnad tikud tun ta langit iring na salapati, asta igóddô tun kandin. 
JHN.1.33	Dángngan, ándà sóddór ku ka sadan sikandin, asal tô Manama na igpapid kanak ébô munyagga ukit ka wayig, sikandin tô igulit kanak na kitanán ku tô sunnadan asta óddóan katô Ugis Espiritu. Sikandin tô munyag ukit ka Ugis Espiritu. 
JHN.1.34	Igkita ku sikandin, asta gulitán ku ákniyu na sikandin tô Batà ka Manama.”
JHN.1.35	Na, pagkasimag, dutun puman si Juan na Tarabunyag asta tô duwa disipulu din. 
JHN.1.36	Tô igkita i Juan si Jesus na iglabé, igkagi si Juan, na mà din, “Na, sikandin tô Nati Karnero na igbággé ka Manama!”
JHN.1.37	Tô igdinág tô duwa disipulu i Juan katô kagi din, igtalundug dan ki Jesus. 
JHN.1.38	Igsérê si Jesus, asta igkita din na igtalundug dan. Iginsà si Jesus, na mà din, “Ándin tô ágpamasakán yu?”
JHN.1.38	Igtaba sikandan, na mà dan, “Rabbi.” (Tô kóbadan, Taratinurù.) “Ánda é góddóan nu?”
JHN.1.39	Igkagi si Jesus, na mà din, “Tákkás kó kanak ébô kitanán yu.”
JHN.1.39	Purisu igtákkás dan ki Jesus, asta igkita dan tô góddóan din. Igóddô dan tun kandin tô álló tô, su mga alas kuwatro dán ka mapun.
JHN.1.40	Si Andres tô sábbad katô duwa disipulu na ikadinág ki Juan asta igtákkás ki Jesus. Mataladi si Andres asta si Simon Pedro. 
JHN.1.41	Tigkô dád igpamasak si Andres katô kaké din na si Simon, asta igkagi sikandin, na mà din, “Igkita dé tô Mesiyas.” (Tô kóbadan, Cristo.)
JHN.1.42	Igpatákkás i Andres tô kaké din tun ki Jesus. Tô igkita si Jesus ki Simon, igkagi si Jesus, na mà din, “Sikuna si Simon na batà i Juan. Asal ngadanan ka ki Cefas.” (Magunawa tô kóbadan ka Cefas asta Pedro.)
JHN.1.43	Na, pagkasimag igtaganà si Jesus na madun tun ta probinsya ka Galilea. Igpamasak si Jesus ki Felipe, asta igkagi sikandin, na mà din, “Tákkás ka kanak.”
JHN.1.44	Na, taga Betsaida si Felipe, asta Betsaida tô lunsud na góddóan i Andres asta i Pedro. 
JHN.1.45	Igpamasak si Felipe ki Natanael, asta igkagi sikandin, na mà din, “Igkita dé sikandin na igkagi i Moises asta tô mga propeta tun ta igsulat dan sayyan. Tô gó si Jesus na taga Nazaret na batà i Jose.”
JHN.1.46	Igkagi si Natanael, na mà din, “Ándà palang madigár na ágtikud tun ta Nazaret.”
JHN.1.46	Igkagi si Felipe, na mà din, “Tákkás ka ébô kumita ka kandin.”
JHN.1.47	Tô igdunggù dan tun ki Jesus, igkagi si Jesus tingód ki Natanael, na mà din, “Na, sikandin tô bánnal rubbad i Israel, su ándà palang ágbulunán din!”
JHN.1.48	Igkagi si Natanael, na mà din, “Igpamánnu nu ka kasóddór kanak?”
JHN.1.48	Igkagi si Jesus, na mà din, “Tô ándà ka pa tawari i Felipe, igkita kud taganà sikuna tun ta siráb katô kayu igera.”
JHN.1.49	Igkagi si Natanael, na mà din, “Sir, sikuna tô bánnal Batà ka Manama! Sikuna tô Harì na mangulu áknami na mga rubbad i Israel!”
JHN.1.50	Igkagi si Jesus, na mà din, “Igpamaké ka su igkagiya na igkita ku sikuna tun ta siráb katô kayu igera. Asal kumita ka katô lumun ku na tuu pa makasalábbù.”
JHN.1.51	Igkagi si Jesus kandin, na mà din, “Paminág nu ni kagin ku áknikó. Kitanán yu tô langit na kapókéan, asta kitanán yu tô mga panaligan ka Manama na ágpénék asta ágpónóg dini kanak na Igpamanubù.”
JHN.2.1	Na, tô ikatállu ta álló, duwán kalimudan ka kasal tun ta lunsud ka Cana na sakup ka probinsya ka Galilea. Igsadun tô innà i Jesus tun ta kalimudan ka kasal. 
JHN.2.2	Igpasadun pagsik si Jesus asta tô mga disipulu din dutun. 
JHN.2.3	Na, tô inémmát tô bino, igkagi tô innà i Jesus kandin, na mà din, “Inémmát dán tô bino.”
JHN.2.4	Igkagi si Jesus, na mà din, “Innà, yaka ágtinurù kanak. Ándà pa dunggù tô oras na pakitanán ku tô katulusan ku.”
JHN.2.5	Igkagi tô innà din katô mga ágsuguánnán, na mà din, “Agad ándin tô kagin din ákniyu, lumu yu.”
JHN.2.6	Na, duwán ánnám magdakál bangà para katô ágkémun ka mga Judio tingód ka kalinis. Mga sábbad gatus (100) litro tô dalám katô tagsábbad-sábbad bangà. 
JHN.2.7	Igkagi si Jesus katô mga ágsuguánnán, na mà din, “Ipánnù yu ka wayig tô mga bangà.”
JHN.2.7	Purisu igipánnù dan tô ánnám bangà. 
JHN.2.8	Tô ipánnù dán, igkagi puman si Jesus, na mà din, “Suruk yu, asta pid yu tun ta pangulu ka kalimudan.”
JHN.2.8	Purisu igpid dan. 
JHN.2.9	Igkinnam tô pangulu katô wayig na inému na bino. Ándà sóddór din ka ánda é igtikudan katô bino, asal ikasóddór tô mga ágsuguánnán na igsuruk katô wayig. Igtawar tô pangulu katô mama na igpakasal, 
JHN.2.10	asta igkagi sikandin, na mà din, “Duwán ágkémun ta na una ágpénámmán tô bino na madigár é nanam. Pángnga iginám tô mga manubù ka dakál bino, ágpénámmán puman kandan tô bino na dì tuu madigár. Na, isalábbuanna su sippang ni ándà nu kannê pénámmi tô tuu madigár bino.”
JHN.2.11	Tô iglumu si Jesus kani kasalábbuan tun ta Cana na sakup ka probinsya ka Galilea, ni gó tô tagnà kasalábbuan na iglumu din ébô pakitanán din tô séllaán din. Igpamaké tô mga disipulu i Jesus kandin.
JHN.2.12	Pángnga katô kasal, igsadun tun ta Capernaum si Jesus, tô innà din, tô mga kataladi din, asta tô mga disipulu din. Igóddô dan dutun ka mga pira álló.
JHN.2.13	Na, masig dán dumunggù tô álló ka mga Judio na ágngadanan Kalimudan Ka Kalabé, asta igsadun si Jesus tun ta Jerusalem. 
JHN.2.14	Tô igdunggù sikandin tun ta plasa katô templo,
JHN.2.15	Na, igimu si Jesus ka paglagpás na tali, asta igabug din tô langun dan, tô mga karnero asta tô mga baka dan tikud tun ta plasa katô templo. Igsabud din tô mga salapì katô mga tarabullas, asta igbantang din tô mga lamisa dan. 
JHN.2.16	Igkagi si Jesus katô mga manubù na ágbarigyà ka salapati, na mà din, “Pid yu ni langun tun ta luwà. Yakó yu gimuwi na ágbarigyaanan ni balé katô Ámmà ku.”
JHN.2.17	Purisu isampáttan katô mga disipulu din tô kagi na igsulat tun ta kagi ka Manama sayyan, na,
JHN.2.17	“Manama, tuu ménit ni pusung ku, su ágginawaan ku tô balé nu.”
JHN.2.18	Na, iginsà tô mga pangulu ka Judio, na mà dan, “Ándin é kasalábbuan na pakitanán nu áknami ébô kasóddóran dé na nángngà ni iglumu nu?”
JHN.2.19	Igtaba si Jesus, na mà din, “Atin ka dadattan yu ni templo, patindággán ku puman dalám ka tállu álló.”
JHN.2.20	Igkagi sikandan, na mà dan, “Kappatan ánnám (46) ámmé igimu ni templo. Dì nu mému ni na patindággán puman dalám dád ka tállu álló.”
JHN.2.21	Asal ándà dan kasóddóri na tô lawa din tô ágkagin din na templo. 
JHN.2.22	Pángnga inanté puman si Jesus, isampáttan katô mga disipulu din ni igkagi din kandan, asta igbánnal dan na ituman tô kagi ka Manama na igsulat sayyan, asta igbánnal dan katô igkagi i Jesus.
JHN.2.23	Na, róggun igóddô si Jesus tun ta Jerusalem dalám ka Kalimudan Ka Kalabé, marapung tô mga manubù na igpamaké kandin, su igkita dan tô mga kasalábbuan na iglumu din. 
JHN.2.24	Asal ándà sarig si Jesus katô kapamaké dan kandin, 
JHN.2.25	su isóddóran din tô tingód katô mga manubù. Agad ándà manubù na gulit kandin, ágkasóddóran din gó tô dalám katô pusung ka mga manubù.
JHN.3.1	Na, duwán sábbad manubù na ágngadanan ki Nicodemo. Sikandin tô sábbad tun ta mga pangulu ka Judio, asta isakup sikandin tun ta mga Pariseo. 
JHN.3.2	Igsadun sikandin tun ki Jesus ka dukilám, asta igkagi sikandin, na mà din, “Sir, isóddóran dé na igpapid ka katô Manama, su ándà manubù na makalumu ka mga kasalábbuan iring katô iglumu nu ka ándà katulusan na ágbággén ka Manama kandin.”
JHN.3.3	Igkagi si Jesus, na mà din, “Paminág nu ni kagin ku áknikó. Atin ka dì puman pamasusun tô manubù, dì sikandin pasakupán tun ta pagpangulu ka Manama.”
JHN.3.4	Igkagi si Nicodemo, na mà din, “Asal dì mému na pamasusun puman tô tugál, su dì dán makalónód tun ta gátták katô innà din ébô pamasusun puman.”
JHN.3.5	Igkagi si Jesus, na mà din, “Paminág nu ni kagin ku áknikó. Atin ka dì pamasusun tô manubù ukit ka wayig asta ukit katô Ugis Espiritu, dì sikandin masakup tun ta pagpangulu ka Manama. 
JHN.3.6	Tô ágpamasusun ka manubù, tô gó tô mga gabatà ka manubù. Asal tô mga manubù na ágpamasusun puman ukit katô Ugis Espiritu, tô gó tô imun na mga gabatà ka Manama. 
JHN.3.7	Yaka ágkasalábbuan tingód katô igkagi ku áknikó na kailangan pamasusun ka puman. 
JHN.3.8	Gukit tô karamag agad ánda. Agad ágdinággán nu tô karamag, asal dì nu kasóddóran ka ánda é ágtikudan ó ánda é ágsadunan. Iring kanan tô kapamasusu katô mga manubù ukit katô Ugis Espiritu.”
JHN.3.9	Iginsà si Nicodemo, na mà din, “Pamánnun ka kalumu kanan?”
JHN.3.10	Igtaba si Jesus, na mà din, “Agad sikuna tô taratinurù ka mga rubbad i Israel, asal ándà nu ni kannê kagpátti. 
JHN.3.11	Paminág nu ni kagin ku áknikó. Ágkagin dé tô tingód katô isóddóran dé, asta gulitán dé tô tingód katô igkita dé, asal ándà kó bánnal katô igkagi dé. 
JHN.3.12	Atin ka dì kó mánnal katô igulit ku tingód ka ágkalumu nit banuwa, dì kó mánnal ka mulitta ákniyu tingód katô ágkalumu tun ta langit. 
JHN.3.13	Ándà palang manubù na ikasadun tun ta langit, asal sakán dád na Igpamanubù tô igtikud tun ta langit.
JHN.3.14	“Sayyan igtayó i Moises tô burunsi áppuy tun ta disyerto.
JHN.3.15	ébô tô langun manubù na mamaké kanak kabággayan ka kantayan na ándà ágtamanán.”
JHN.3.16	Tuu igginawaan ka Manama tô langun manubù nit banuwa. Purisu igbággé din tô bugtung Batà din ébô dì supakan tô langun manubù na mamaké kandin, asal bággayan dan ka kantayan na ándà ágtamanán. 
JHN.3.17	Igpapid ka Manama tô Batà din nit banuwa ánnà ébô ruudan tô mga manubù, asal ébô tábbusán dan ukit kandin.
JHN.3.18	Tô mga manubù na mamaké katô Batà ka Manama dì karuudan ka supak. Asal tô mga manubù na dì mamaké iruudan dán, su ándà dan pamaké katô bugtung Batà ka Manama. 
JHN.3.19	Supakan dan, su tô igdunggù tô ágngadanan na kappawaan kannun ta mga manubù nit banuwa, idigárran dan tô kangittángngan. Dì dan ágkadigárran tô kappawaan, su madat tô áglumun dan. 
JHN.3.20	Tô mga manubù na áglumu ka madat ágkaringasa asta áglili katô kappawaan agó kasóddóran na madat tô áglumun dan. 
JHN.3.21	Asal tô mga manubù na áglumu ka madigár ágpadani tun ta kappawaan ébô ágkasóddóran na kakalyag ka Manama tô áglumun dan.
JHN.3.22	Na, igsadun si Jesus asta tô mga disipulu din tun ta probinsya ka Judea. Igóddô dan, asta igpambunyag dan. 
JHN.3.23+JHN.3.24	Igbunyag pagsik si Juan na Tarabunyag tô ándà pa prisowi sikandin. Igbunyag tun ta Enon na madani ka Salim, su dakál tô wayig dutun. Igsadun tô mga manubù tun ki Juan, asta igbunyagan din sikandan.
JHN.3.25	Na, duwán sábbad Judio asta tô mga disipulu i Juan na igpapulé tingód ka ágkémun dan ka kalinis. 
JHN.3.26	Purisu igsadun dan tun ki Juan, asta igkagi sikandan, na mà dan, “Sir, tô manubù na igduma áknikó dángngan tun dipag ka Jordan asta igulit nu tô tingód kandin, tô gó kun tô ágbunyag, asta marapung dán tô mga manubù na igtákkás baling kandin.”
JHN.3.27	Igkagi si Juan, na mà din, “Manama tô ágsugù ka ándin tô áglumun ka tagsábbad-sábbad manubù. 
JHN.3.28	Isóddóran yu na igkagiya na ánnà a Mesiyas, asal igpapidda ébô tumaganà a katô kadunggù din. 
JHN.3.29	Tô bayi na kasalán, tô gó tô tumákkás katô mama na kasalán. Asal tô rarak katô kasalán mama tô ágkadayawan tingód katô igdinág din tô kagi katô rarak din na kasalán. Iringnga kandin, su tuuwa ágkadayawan.
JHN.3.30	Kailangan kumallayat tô kamanubuan i Jesus, asal kailangan kumabbabà tô kanak kamanubuan.”
JHN.3.31	Tô igdunggù tikud tun ta langit, tuu mallayat é kamanubuan din ka tandingán katô langun. Tô manubù nit banuwa, tô gó tô tikud tun ta banuwa, asta tingód katô banuwa tô ágtinuruán din. Asal tô igdunggù tikud tun ta langit, tuu mallayat é kamanubuan din ka tandingán katô langun. 
JHN.3.32	Gulit sikandin tingód ka igkita din asta igdinág din tun ta langit, asal tagsábbadé dád tô mga manubù na ágbánnal katô kagi din. 
JHN.3.33	Asal tô manubù na ágbánnal ka kagi din, tô gó tô ágpasóddór na bánnal tô Manama. 
JHN.3.34	Tô igpapid ka Manama makólit katô kagi tikud tun ta Manama, su ándà kulangi ka Manama tô Ugis Espiritu na igbággé din katô igpapid din. 
JHN.3.35	Ágginawaan katô Ámmà na Manama tô Batà din, asta igbággé din kandin tô pagpangulu katô langun. 
JHN.3.36	Tô manubù na ágpamaké katô Batà ka Manama duwán kantayan na ándà ágtamanán. Asal tô manubù na dì ágbánnal katô Batà ka Manama dì bággayan ka kantayan, asal dungguan ka supak ka Manama.
JHN.4.1	Na, igdinág katô mga Pariseo na agad marapung tô mga manubù na igtákkás ki Juan na Tarabunyag asta igbunyagan din, asal tuu pa marapung tô mga manubù na igtákkás ki Jesus asta igbunyagan din. 
JHN.4.2	Na, tô kabánnalan, ánnà si Jesus tô igbunyag, asal mga disipulu dád i Jesus tô igpambunyag. 
JHN.4.3	Tô ikasóddór tô Áglangngagán kani, igpanó sikandin tikud tun ta probinsya ka Judea, asta igsadun puman sikandin tun ta probinsya ka Galilea. 
JHN.4.4	Tô igsadun si Jesus, kailangan mukit sikandin tun ta probinsya ka Samaria.
JHN.4.5	Igpadani sikandan tun ta lunsud ka Sikar na sakup ka Samaria na tanà na igbággé i Jacob katô batà din na si Jose sayyan. 
JHN.4.6	Taddô tô balun na igpému i Jacob. Purisu igunsad si Jesus madani tun ta balun, su ibállé sikandin tingód katô kapanó din, asta malássád dán é álló. 
JHN.4.7+JHN.4.8	Na, duwán sábbad bayi na taga Samaria na igdunggù tun ta balun ébô mangé ka wayig. Sábbad dád i Jesus dutun, su igpanayun tô mga disipulu din tun ta lunsud ka Sikar ébô málli dan ka makan. Igkagi si Jesus, na mà din, “Pénámma.”
JHN.4.9	Na, su duwán ágkémun ka mga Judio asta tô mga taga Samaria na dì dan ágpatóngkóé, igkagi tô bayi, na mà din, “Sikuna tô sakup ka Judea, asta sakán tô sakup ka Samaria. Purisu manan ka igpamuyù ka kanak ka inámmán nu?”
JHN.4.10	Igtaba si Jesus, na mà din, “Atin ka isóddóran nu pád ka ándin tô bággén ka Manama áknikó, asta sadanna na igpamuyù áknikó ka inámmán, sikuna pád tô mamuyù kanak, asta bággén ku áknikó tô wayig na makabággé ka kantayan.”
JHN.4.11	Igkagi tô bayi, na mà din, “Sir, ándà áknikó pagsuruk, asta madiyù tô wayig tun dalám katô balun. Ánda tô ágkangayan nu katô wayig na makabággé ka kantayan? 
JHN.4.12	Kamónaan ta sayyan na si Jacob tô igpému kani balun na ágkangayan ta ka wayig. Ni gó tô ginámman i Jacob, tô langun gabatà din, asta tô mga mannanap din. Tuu pa mallayat tô kamanubuan nu ka tandingán kandin?”
JHN.4.13	Igtaba si Jesus, na mà din, “Tô manubù na minám kani wayig, katákkangan puman sikandin. 
JHN.4.14	Asal tô manubù na minám katô wayig na bággén ku kandin, dì dán gó katákkangan, su tô wayig na bággén ku kandin mému na sánnáp na makabággé kandin ka kantayan na ándà ágtamanán.”
JHN.4.15	Igkagi tô bayi, na mà din, “Sir, pénámma katô wayig ébô diya gó katákkangan, asta ándà dán palang kailangan na mangéya puman kani wayig kannun.”
JHN.4.16	Igkagi si Jesus, na mà din, “Na, angé nu tô duma nu, asta lónód kó kannun.”
JHN.4.17	Igkagi tô bayi, na mà din, “Ándà duma ku.”
JHN.4.17	Igkagi si Jesus, na mà din, “Bánnal tô igkagi nu na ándà duma nu, 
JHN.4.18	su ikalima ka igkalyag, asta ánnà bánnal duma nu tô mama na ágduman nu áknganni. Bánnal gó tô igkagi nu.”
JHN.4.19	Igkagi tô bayi, na mà din, “Sir, isóddóran ku na propeta ka. 
JHN.4.20	Tô mga kamónaan dé na taga Samaria, tô gó tô igpangadap ka Manama nit pabungan ni. Asal sikiyu na mga Judio, ágtinurù kó na Jerusalem dád tô ágpangadapanan ta.”
JHN.4.21	Igkagi si Jesus katô bayi, na mà din, “Paminág ka kanak. Duwán álló na dumunggù na ánnà dád nit pabungan ni tô pangadapan ka Manama, asta ánnà dád pagsik tun ta Jerusalem.
JHN.4.22	Sikiyu na mga taga Samaria, ándà yu kasóddóri ka sadan tô ágpangadapán yu. Asal sikami na mga Judio, isóddóran dé ka sadan tô ágpangadapán dé, su tikud dini áknami na mga Judio tô makatábbus katô langun manubù. 
JHN.4.23	Asal duwán álló na dumunggù, agad igdunggù dán yan, na kailangan tikud tun ta pusung tô kapangadap katô manubù ka Manama, asta kailangan kasóddóran dan tô kabánnalan tingód kandin na ágpangadapán dan, su tô gó tô kakalyag ka Manama na mangadap kandin. 
JHN.4.24	Ándà lawa ka Manama na kitanán ka manubù. Purisu kailangan tikud tun ta pusung ka manubù tô kapangadap dan ka Manama, asta kailangan kasóddóran dan tô kabánnalan tingód ka Manama na ágpangadapán dan.”
JHN.4.25	Igkagi tô bayi, na mà din, “Isóddóran ku na dumunggù tô Mesiyas na ágngadanan Cristo. Ka dumunggù sikandin, ulitán din áknita tô langun.”
JHN.4.26	Igkagi si Jesus, na mà din, “Sakán gó sikandin na ágtóngkô áknikó.”
JHN.4.27	Na, igdunggù dán tô mga disipulu din. Isalábbuan dan su igtóngkô si Jesus katô bayi. Asal ándà dan gó insà katô bayi ka ándin tô gulitán din, ó manan ka igtóngkô sikandin katô bayi. 
JHN.4.28	Na, igtananan katô bayi tô bangà din, asta iglónód sikandin tun ta lunsud. Igkagi sikandin katô mga manubù, na mà din, 
JHN.4.29	“Tákkás kó kanak ébô kitanán yu tô manubù na igulit kanak tingód katô langun na iglumu ku. Sikandin basì tô Mesiyas.”
JHN.4.30	Purisu igpampanó dan tikud tun ta lunsud, asta igpansadun dan tun ki Jesus.
JHN.4.31	Tô igtanan dán tô bayi ki Jesus, igkagi tô mga disipulu din, na mà dan, “Sir, kan kad.”
JHN.4.32	Asal igkagi si Jesus, na mà din, “Duwán ágkannán ku na ándà yu kasóddóri.”
JHN.4.33	Purisu igpénsaé tô mga disipulu din, na mà dan, “Duwán kannê igbággé kandin ka ágkannán?”
JHN.4.34	Igkagi si Jesus, na mà din, “Iring na ágkannán tô katuman ku ka kakalyag katô igpapid kanak, asta tô kapángngaan katô ágpalumun din kanak. 
JHN.4.35	Ágkagin yu na duwán áppat bulan sippang ka kumáttu. Asal kumagiya ákniyu na igdunggù dán tô álló ka kakáttu. Sállág yu ni marapung manubù na duwán kakalyag dan na mamaké, su iring dan na mga pamula na nángngà dán káttun. 
JHN.4.36	Duwán ágpulusán katô tarakáttu kani mga manubù na mamaké, asta kantayan na ándà ágtamanán tô bággén ka Manama kandan. Agad sábbad tô mamula, asta ássa tô kumáttu katô buuy, asal kadayawan dan langun. 
JHN.4.37	Purisu bánnal tô ágkagin, ‘Sábbad manubù tô mamula, asal ássa manubù tô kumáttu.’ 
JHN.4.38	Papiddán ku sikiyu ébô kumáttu kó tun ta kinamát na ándà yu pamulayi. Tingód katô pagud ka duma mga manubù, marapung tô mga manubù na káttun yu ébô masakup dan tun ta pagpangulu ka Manama.”
JHN.4.39	Na, marapung tô mga taga Samaria na igpamaké ki Jesus tingód katô igulit katô bayi, na mà din, “Igulitanna ikandin katô langun na iglumu ku.” 
JHN.4.40	Purisu tô igdunggù tô mga taga Samaria, igpédu-édu dan ki Jesus na móddô sikandin tun kandan. Purisu igóddô si Jesus tun kandan ka duwa álló. 
JHN.4.41	Tô igtinurù sikandin, tuu pa marapung tô mga manubù na igpamaké kandin. 
JHN.4.42	Igkagi sikandan katô bayi, na mà dan, “Igpamaké ké ánnà dád ukit katô igkagi nu áknami, asal igpamaké ké su igpaminág ké kandin, asta isóddóran dé na sikandin gó tô Taratábbus ka langun manubù nit banuwa.”
JHN.4.43	Na, pángnga ka duwa álló, igpanó si Jesus, asta igsadun sikandin tun ta probinsya ka Galilea. 
JHN.4.44	Taganà dán igkagi si Jesus na dì ágtanggapán é propeta tun ta probinsya na igpamasusuwan kandin. 
JHN.4.45	Asal tô igdunggù si Jesus tun ta probinsya ka Galilea, isalábbuan sikandin su madigár tô katanggap kandin katô mga taga Galilea, su marapung tô igsadun tun ta Kalimudan Ka Kalabé tun ta Jerusalem, asta igkita dan tô mga kasalábbuan na iglumu i Jesus.
JHN.4.46	Purisu igsadun puman si Jesus tun ta lunsud ka Cana na sakup ka probinsya ka Galilea. Tô gó tô lunsud na igimuwan i Jesus katô wayig na bino. Na, tun ta lunsud ka Capernaum, duwán sábbad opisyales ka gobyerno ka Roma, asta ibógókan tô batà din mama. 
JHN.4.47	Tô igdinág tô opisyales na igpanó si Jesus tikud tun ta probinsya ka Judea asta igdunggù tun ta probinsya ka Galilea, igsadun tô opisyales tun ki Jesus, asta igpédu-édu sikandin na madun si Jesus tun ta Capernaum ébô dappánnan din tô batà din, su masig dán maté. 
JHN.4.48	Igkagi si Jesus, na mà din, “Atin ka ándà kasalábbuan na kitanán yu, dì kó mamaké kanak.”
JHN.4.49	Igkagi tô opisyales, na mà din, “Sir, tákkás ka kanak palad manté pa tô batà ku.”
JHN.4.50	Igkagi si Jesus, na mà din, “Ulì kad, su inólian dán tô batà nu.”
JHN.4.50	Igbánnal tô opisyales katô igkagi i Jesus kandin, asta igpanó sikandin. 
JHN.4.51	Róggun ágpanó sikandin na gulì tun ta balé din, igsumar tô mga állang din kandin tun ta dalan, asta igulit dan na inólian dán tô batà din. 
JHN.4.52	Iginsà sikandin ka ándin urasi na inólian tô batà din. Igtaba sikandan, na mà dan, “Bani ala una ka mapun, inandà tô kalintura din.”
JHN.4.53	Na, isóddóran din na tô gó tô oras na igkagi si Jesus na inólian dán tô batà din. Purisu igpamaké sikandin ki Jesus, asta tô langun katô duma mga manubù na igóddô tun ta balé din.
JHN.4.54	Ni gó tô ikaduwa kasalábbuan na iglumu i Jesus tun ta probinsya ka Galilea pángnga igdunggù sikandin tikud tun ta probinsya ka Judea.
JHN.5.1	Na, duwán kalimudan ka mga Judio, asta igsadun si Jesus tun ta Jerusalem. 
JHN.5.2	Na, tun ta Jerusalem duwán ranó madani tun ta sállat ka mallayat koral na áglibut katô lunsud na ágngadanan Sállat ka Mga Karnero. Tô ranó ágngadanan Bitsata katô mga manubù na ágkagi ka Hebreo, asta duwán lima gállunganan tun ta ligad. 
JHN.5.3	Marapung tô ibógókan mga manubù na ágdággà tun ta lima gállunganan, asta gangat dan ka kólian. Duwán mga bólóg, mga kapig, asta mga manubù na dì ágriyu é lawa. [Inalayun dan gangat ka makálláng tô wayig, 
JHN.5.4	su duwán timpo na duwán panaligan katô Áglangngagán na ágsunnad tun ta ranó, asta áglénggó sikandin katô wayig. Atin ka makóna tô manubù suminugbu tun ta wayig, kólian sikandin.] 
JHN.5.5	Duwán sábbad manubù na ibógókan dalám dán ka tállu pulù walu (38) ámmé. 
JHN.5.6	Igkita si Jesus kandin na igdággà, asta isóddóran din na idugé dán ibógókan. Purisu iginsà si Jesus, na mà din, “Duwán kakalyag nu na kólian ka?”
JHN.5.7	Igtaba tô manubù, na mà din, “Sir, atin ka ágkalénggó tô wayig, ándà manubù na ágpasinugbu kanak tun ta wayig. Róggun ágsadunna, pakóna dán tô duma mga manubù tun ta wayig.”
JHN.5.8	Igkagi si Jesus, na mà din, “Tindág ka. Pid nu yan ágdággaan nu, asta ulì kad.”
JHN.5.9	Tigkô dád inólian sikandin. Igpid din tô igdággaan din, asta igulì sikandin.
