MAT.1.1	Yisúʻ Masíh, ibn i Dáúd, ibn i Ibráhím ká nasabnáma.
ACT.7.28	Kyá tú mujhe bhí qatl karná cháhtá hai, jis tarah kal us Misrí ko qatl kiyá thá? 
ACT.7.29	Músá yih bát sunkar bhág gayá, aur Midyán ke mulk meṉ pardesí rahá kiyá, aur waháṉ us ke do beṭe paidá húe. 
ACT.7.30	Aur jab púre chálís baras ho gaye, to Koh i Síná ke biyábán meṉ, jaltí húí jháṛí ke shuʻle ke bích, us ko ek firishta dikháí diyá. 
ACT.7.31	Jab Músá ne us par nazar kí, to us nazzáre se taʻajjub kiyá; aur jab dekhne ko nazdík gayá, to Ḳhudáwand kí áwáz ái, 
ACT.7.32	ki Maiṉ tere bápdádá ká Ḳhudá, yaʻní Ibráhím, aur Izháq, aur Yaʻqúb ká Ḳhudá húṉ. Tab to Músá káṉp gayá, aur us ko dekhne kí jurʼat na rahí. 
ACT.7.33	Ḳhudáwand ne us se kahá, ki Apne páṉwoṉ se jútí utár le: kyúṉki jis jagah tú khaṛá hai, wuh pák zamín hai. 
ACT.7.34	Maiṉ ne wáqaʻí apní us ummat kí musíbat dekhí, jo Misr meṉ hai, aur un ká áh o nála suná; pas unheṉ chhuṛáne utrá húṉ: ab á, maiṉ tujhe Misr meṉ bhejúṉgá. 
ACT.7.35	Jis Músá ká unhoṉ ne yih kahkar inkár kiyá thá, ki Tujhe kis ne hákim aur qází muqarrar kiyá? usí ko Ḳhudá ne hákim aur chhuṛánewálá ṭhahrákar us firishte ke zaríʻe se bhejá, jo use jháṛí meṉ nazar áyá thá. 
ACT.7.36	Yihí shaḳhs unheṉ nikál láyá, aur Misr, aur Bahr i Qulzum, aur biyábán meṉ chálís baras tak ʻajíb kám aur nishán dikháe. 
ACT.7.37	Yih wuhí Músá hai, jis ne baní Isráíl se kahá, ki Ḳhudá tumháre bháiyoṉ meṉ se tumháre liye mujh sá ek nabí paidá karegá. 
ACT.7.38	Yih wuhí hai, jo biyábán kí kalísiyá meṉ us firishte ke sáth, jo Koh i Síná par us se hamkalám húá, aur hamáre bápdádá ke sáth thá. Usí ko zinda kalám milá, ki ham tak pahuṉchá de; 
ACT.7.39	magar hamáre bápdádá ne us ká farmánbardár honá na cháhá, balki us ko haṭá diyá, aur un ke dil Misr kí taraf máil húe; 
ACT.7.40	aur unhoṉ ne Hárún se kahá, ki Hamáre liye aise maʻbúd baná, jo hamáre áge áge chaleṉ: ḳyúṉki yih Músá jo hameṉ Misr ke mulk se nikál láyá, ham nahíṉ jánte ki wuh kyá húá. 
ACT.7.41	Aur un dinoṉ meṉ unhoṉ ne ek bachhṛá banáyá, aur us but ko qurbání chaṛháí, aur apne háthoṉ ke kámoṉ kí ḳhushí manáí. 
ACT.7.42	Pas Ḳhudá ne muṉh moṛkar unheṉ chhoṛ diyá, ki ásmání fauj ko pújeṉ; chunáṉchi nabíoṉ kí kitáb meṉ likhá hai, ki
ACT.7.42	Ai Isráíl ke gharáne,
ACT.7.42	Kyá tum ne biyábán meṉ chálís baras
ACT.7.42	Mujh ko zabíhe aur qurbáníáṉ guzráníṉ?
ACT.7.43	Balki tum Molak ke ḳhaime,
ACT.7.43	Aur Rifán deotá ke táre ko liye phirte the,
ACT.7.43	Yaʻní un súratoṉ ko, jinheṉ tum ne sijda karne ke liye banáyá thá:
ACT.7.43	Pas maiṉ tumheṉ Bábil ke pare le jákar basáúṉgá.
ACT.7.44	Shahádat ká ḳhaima biyábán meṉ hamáre bápdádá ke pás thá, jaisá ki Músá se kalám karnewále ne hukm diyá thá, ki jo namúna tú ne dekhá hai, usí ke muwáfiq ise baná. 
ACT.7.45	Usí ḳhaime ko hamáre bápdádá agle buzurgoṉ se hásil karke, Yahoshúʻ ke sáth láe, jis waqt un qaumoṉ kí milkíyat par qabza kiyá, jin ko Ḳhudá ne hamáre bápdádá ke sámne nikál diyá, aur wuh Dáúd ke zamáne tak rahá. 
ACT.7.46	Us par Ḳhudá kí taraf se fazl húá, aur us ne darḳhwást kí, ki maiṉ Yaʻqúb ke Ḳhudá ke wáste maskan taiyár karúṉ. 
ACT.7.47	Magar Sulaímán ne us ke liye ghar banáyá. 
ACT.7.48	Lekin Bárí Taʻála háth ke banáe húe gharoṉ meṉ nahíṉ rahtá; chunáṉchi nabí kahtá hai, ki
ACT.7.49	Ḳhudáwand farmátá hai;
ACT.7.49	Ásmán merá taḳht,
ACT.7.49	Aur zamín mere páṉw tale kí chaukí hai:
ACT.7.49	Tum mere liye kaisá ghar banáoge,
ACT.7.49	Yá merí árámgáh kaun sí hai?
ACT.7.50	Kyá yih sab chízeṉ mere háth se nahíṉ baníṉ?
ACT.7.51	Ai gardankasho, aur dil aur kán ke námaḳhtúno, tum har waqt Rúhuʼl Quds kí mukhálafat karte ho; jaise tumháre bápdádá karte the, waise hí tum bhí karte ho. 
ACT.7.52	Nabíoṉ meṉ se kis ko tumháre bápdádá ne nahíṉ satáyá? Unhoṉ ne to us Rástbáz ke áne kí peshḳhabarí denewáloṉ ko qatl kiya; aur ab tum us ke pakaṛwánewále aur qátil húe: 
ACT.7.53	tum ne firishtoṉ kí maʻrifat se sharíʻat to páí, aur ʻamal na kiyá.
ACT.7.54	Jab unhoṉ ne yih báteṉ suníṉ to jí meṉ jal gaye, aur us par dáṉt písne lage. 
ACT.7.55	Magar us ne Rúhuʼl Quds se maʻmúr hokar, ásmán kí taraf gaur se nazar kí, aur Ḳhudá ká jalál, aur Yisúʻ ko Ḳhudá kí dahiní taraf khaṛá dekhkar 
ACT.7.56	kahá, ki Dekho, maiṉ ásmán ko khulá húá, aur Ibn i Ádam ko Ḳhudá kí dahiní taraf khaṛá dekhtá húṉ. 
ACT.7.57	Magar unhoṉ ne baṛe zor se chillákar apne kán band kar liye, aur ek dil hokar us par jhapṭe; 
ACT.7.58	aur shahr se báhar nikálkar us ko saṉgsár karne lage: aur gawáhoṉ ne apne kapṛe Sháúl nám ek jawán ke páṉwoṉ ke pás rakh diye. 
ACT.7.59	Pas yih Stifanus ká saṉgsár karte rahe; aur wuh yih kahkar duʻá máṉgtá rahá, ki Ai Ḳhudáwand Yisúʻ, merí rúh ko qubúl kar. 
ACT.7.60	Phir wuh ghuṭne ṭekkar baṛí áwáz se pukárá, ki Ai Ḳhudáwand, yih gunáh un ke zimme na lagá: aur yih kahkar so gayá.
ACT.8.1	Aur Sháúl us ke qatl par rází thá.
ACT.8.1	Usí din us kalísiyá par jo Yarúshalem meṉ thí, baṛá zulm barpá húá; aur rasúloṉ ke siwá sab log Yahúdiya aur Sámariya kí atráf meṉ paráganda ho gaye. 
ACT.8.2	Aur díndár log Stifanus ko dafn karne ke liye le gaye, aur us ká baṛá mátam kiyá. 
ACT.8.3	Aur Sháúl kalísiyá ko is tarah tabáh kartá rahá, ki ghar ghar ghuske, aur mardoṉ aur ʻauratoṉ ko ghasíṭkar qaid karátá thá.
ACT.8.4	Pas jo paráganda húe the, wuh kalám kí ḳhushḳhabarí dete phire. 
ACT.8.5	Aur Filippus shahr i Sámariya meṉ jákar logoṉ meṉ Masíh kí manádí karne lagá. 
ACT.8.6	Aur jo muʻjize Filippus dikhátá thá, logoṉ ne unheṉ sunkar aur dekhkar biʼl ittifáq us kí bátoṉ par jí lagáyá. 
ACT.8.7	Kyúṉki bahutere logoṉ meṉ se nápák rúheṉ baṛí áwáz se chillá chillákar nikal gayíṉ, aur bahut se maflúj aur laṉgṛe achchhe kiye gaye. 
ACT.8.8	Aur us shahr meṉ baṛí ḳhushí húí.
ACT.8.9	Is se pahle Shamaʻún nám ek shaḳhs us shahr meṉ jádúgarí kartá thá, aur Sámariya ke logoṉ ko hairán rakhtá, aur yih kahtá thá, ki Maiṉ bhí koí baṛa shaḳhs húṉ. 
ACT.8.10	Aur chhoṭe se baṛe tak sab us kí taraf mutawajjih hote aur kahte the, ki Yih shaḳhs Ḳhudá kí wuh Qudrat hai, jise Baṛí kahte haiṉ. 
ACT.8.11	Wuh is liye us kí taraf mutawajjih hote the, ki us ne baṛí muddat se apne jádú ke sabab un ko hairán kar rakkhá thá. 
ACT.8.12	Lekin jab unhoṉ ne Filippus ká yaqín kiyá, jo Ḳhudá kí bádsháhat aur Yisúʻ Masíh ke nám kí ḳhushḳhabarí detá thá, to sab log, ḳhwáh mard, ḳhwáh ʻaurat, baptisma lene lage. 
ACT.8.13	Aur Shamaʻún ne ḳhud bhí yaqín kiyá; aur baptisma lekar Filippus ke sáth rahá kiyá, aur nishán aur baṛe baṛe muʻjize hote dekhkar hairán húá.
ACT.8.14	Jab rasúloṉ ne jo Yarúshalem meṉ the suná, ki Sámaríoṉ ne Ḳhudá ká kalám qubúl kar liyá, to Patras aur Yúhanná ko un ke pás bhejá: 
ACT.8.15	inhoṉ ne jákar un ke liye duʻá máṉgí, ki Rúhuʼl Quds páeṉ; 
ACT.8.16	kyúṉki wuh us waqt tak un meṉ se kisí par názil na húá thá; unhoṉ ne sirf Ḳhudáwand Yisúʻ ke nám par baptisma liyá thá. 
ACT.8.17	Phir inhoṉ ne un par háth rakkhe, aur unhoṉ ne Rúhuʼl Quds páyá. 
ACT.8.18	Jab Shamaʻún ne dekhá, ki rasúloṉ ke háth rakhne se Rúhuʼl Quds diyá játá hai, to un ke pás rupaye lákar 
ACT.8.19	kahá, ki Mujhe bhí yih iḳhtiyár do, ki jis par maiṉ háth rakkhúṉ, wuh Rúhuʼl Quds páe. 
ACT.8.20	Patras ne us se kaha; Tere rupaye tere sáth gárat hoṉ, is liye ki tú ne Ḳhudá kí baḳhshish ko rupayoṉ se hásil karne ká ḳhayál kiyá. 
ACT.8.21	Terá is amr meṉ na hissa hai, na baḳhra; kyúṉki terá dil Ḳhudá ke nazdík ḳhális nahíṉ. 
ACT.8.22	Pas apní is badí se tauba kar, aur Ḳhudáwand se duʻá máṉg, ki sháyad tere dil ke is ḳhayál kí muʻáfí ho; 
ACT.8.23	kyúṉki maiṉ dekhtá húṉ, ki tú pitt kí sí kaṛwáhaṭ aur nárástí ke band meṉ giriftár hai. 
ACT.8.24	Shamaʻún ne jawáb meṉ kahá; Tum mere liye Ḳhudáwand se duʻá máṉgo, ki jo báteṉ tum ne kahíṉ, un meṉ se koí mujhe pesh na áe.
ACT.8.25	Phir wuh gawáhí dekar, aur Ḳhudáwand ká kalám sunákar, Yarúshalem ko wápas húe, aur Sámaríoṉ ke bahut se gáṉwoṉ meṉ ḳhushḳhabarí dete gaye.
ACT.8.26	Phir Ḳhudáwand ke firishte ne Filippus se kahá, ki Uṭhkar dakkhin kí taraf us ráh tak já, jo Yarúshalem se ʻAzzáh ko játí hai, aur jangal meṉ hai. 
ACT.8.27	Wuh uṭhkar rawána húá; to dekho ek Habshí ḳhoja á rahá thá; wuh Habshíoṉ kí malika Kandáke ká ek wazír, aur us ke sáre ḳhazáne ká muḳhtár thá; aur Yarúshalem meṉ ʻibádat ke liye áyá thá. 
ACT.8.28	Wuh apní rath par baiṭhá húá, aur Yashaʻyáh nabí ke sahífe ko paṛhtá húá, wápas já rahá thá. 
ACT.8.29	Rúh ne Filippus se kahá, ki Nazdík jákar us rath ke sáth ho le. 
ACT.8.30	Pas Filippus ne us taraf dauṛkar use Yashaʻyáh nabí ká sahífa paṛhte suná, aur kahá, ki Jo tú paṛhtá hai use samajhtá bhí hai? 
ACT.8.31	Wuh bolá, yih mujh se kyúṉkar ho saktá hai, jab tak koí mujhe hidáyat na kare? Aur us ne Filippus se darḳhwást kí, ki mere pás á baiṭh. 
ACT.8.32	Kitáb i muqaddas kí jo ʻibárat wuh paṛh rahá thá yih thí, ki
ACT.8.32	Log use bheṛ kí tarah zabh karne ko le gaye,
ACT.8.32	Aur jis tarah barra apne bál katarnewále ke sámne bezabán hotá hai,
ACT.8.32	Usí tarah wuh apná muṉh nahíṉ kholtá.
ACT.8.33	Us kí pasthálí meṉ us ká insáf na húá:
ACT.8.33	Aur kaun us kí nasl ká hál bayán karegá?
ACT.8.33	Kyúṉki zamín par se us kí zindagí miṭáí játí hai.
ACT.8.34	Ḳhoje ne Filippus se kahá; Maiṉ terí minnat karke púchhtá húṉ, ki Nabí yih kis ke haqq meṉ kahtá hai? apne, yá kisí dúsre ke? 
ACT.8.35	Filippus ne apní zabán kholkar usí nawishte se shurúʻ kiyá, aur use Yisúʻ kí ḳhushḳhabarí dí. 
ACT.8.36	Aur ráh meṉ chalte chalte, kisí pání kí jagah par pahuṉche. Ḳhoje ne kahá; Dekh, pání maujúd hai; ab mujhe baptísma lene se kaun sí chíz roktí hai? [
ACT.8.37	Pas Filippus ne kahá, ki Agar tú dil o ján se ímán láe, to baptisma le saktá hai. Us ne jawáb meṉ kahá, Maiṉ ímán látá húṉ ki Yisúʻ Masíh Ḳhudá ká Beṭá hai.] 
ACT.8.38	Pas us ne rath ke khaṛá karne ká hukm diyá: aur Filippus aur ḳhoja donoṉ pání meṉ utar paṛe; aur us ne us ko baptisma diyá. 
ACT.8.39	Jab wuh pání meṉ se nikalkar úpar áe, to Ḳhudáwand kí Rúh Filippus ko uṭhá le gayí, aur ḳhoje ne use phir na dekhá; kyúṉki ḳhushí kartá húá apní ráh chalá gayá. 
ACT.8.40	Aur Filippus Ashdod meṉ á niklá, aur Qaisariya meṉ pahuṉchne tak sab shahroṉ meṉ ḳhushḳhabarí sunátá gayá.
ACT.9.1	Aur Sháúl, jo abhí tak Ḳhudáwand ke shágirdoṉ ke dhamkáne aur qatl karne kí dhun meṉ thá, sardár káhin ke pás gayá, 
ACT.9.2	aur us se Damishq ke ʻibádatḳhánoṉ ke liye is mazmún ke ḳhatt máṉge, ki jin ko wuh is Taríq par páe, ḳhwáh mard, ḳhwáh ʻaurat, un ko báṉdhkar Yarúshalem meṉ láe. 
ACT.9.3	Jab wuh safar karte karte Damishq ke nazdík pahuṉchá, to aisá húá ki yakáyak ásmán se ek núr us ke girdágird á chamká; 
ACT.9.4	aur wuh zamín par gir paṛá, aur yih áwáz suní, ki Ai Sháúl, ai Sháúl, tú mujhe kyúṉ satátá hai? 
ACT.9.5	Us ne púchhá, kí Ai Ḳhudáwand, tú kaun hai? Us ne kahá; Maiṉ Yisúʻ húṉ, jise tú satátá hai: 
ACT.9.6	magar uṭh, shahr meṉ já, aur jo tujhe karná cháhiye, wuh tujh se kahá jáegá. 
ACT.9.7	Jo ádmí us ke hamráh the, wuh ḳhámosh khaṛe rah gaye, kyúṉki áwáz to sunte the, magar kisí ko dekhte na the. 
ACT.9.8	Aur Sháúl zamín par se uṭhá; lekin jab áṉkheṉ kholíṉ, to us ko kuchh na dikháí diyá; aur log us ká háth pakaṛke Damishq meṉ le gaye. 
ACT.9.9	Aur wuh tín din tak na dekh saká, aur na kháyá na piyá.
ACT.9.10	Damishq meṉ Hananyáh nám ek shágird thá. Us se Ḳhudáwand ne royá meṉ kahá, ki Ai Hananyáh! Us ne kahá; Ai Ḳhudáwand, maiṉ házir húṉ. 
ACT.9.11	Ḳhudáwand ne us se kahá; Uṭh, us kúche meṉ já jo Sídhá kahlátá hai, aur Yahúdáh ke ghar meṉ Sháúl nám Tarsí ko puchh le; kyúṉki dekh, wuh duʻá máṉg rahá hai; 
ACT.9.12	aur us ne Hananyáh nám ek ádmí ko andar áte, aur apne úpar háth rakhte dekhá hai, taki phir bíná ho. 
ACT.9.13	Hananyáh ne jawáb diyá, ki Ai Ḳhudáwand, maiṉ ne bahut logoṉ se is shaḳhs ká zikr suná, ki is ne Yarúshalem meṉ tere muqaddasoṉ ke sáth kaisí kaisí buráiyáṉ kí haiṉ. 
ACT.9.14	Aur yaháṉ is ko sardár káhinoṉ kí taraf se iḳhtiyár milá hai, ki jo log terá nám lete haiṉ, un sab ko báṉdh le. 
ACT.9.15	Magar Ḳhudáwand ne us se kahá, ki Tú já; kyúṉki yih qaumoṉ, bádsháhoṉ, aur baní Isráíl par merá nám záhir karne ká merá chuná húá wasíla hai. 
ACT.9.16	Aur maiṉ use jatá dúṉgá, ki use mere nám kí ḳhátir kis qadr dukh uṭháná paṛegá. 
ACT.9.17	Pas Hananyáh jákar us ghar meṉ dáḳhil húá; aur apne háth us par rakhkar kahá, ki Ai bháí Sháúl, Ḳhudáwand, yaʻní Yisúʻ, jo tujh par us ráh meṉ jis se tú áyá záhir húá thá, usí ne mujhe bhejá hai, ki tú bínáí páe aur Rúhuʼl Quds se bhar jáe. 
ACT.9.18	Aur fauran us kí áṉkhoṉ se chhilke se gire, aur wuh bíná ho gayá, aur uṭhkar baptisma liyá; 
ACT.9.19	phir kuchh kháke táqat pái.
ACT.9.19	Aur wuh kaí din un shágirdoṉ ke sáth rahá jo Damishq meṉ the. 
ACT.9.20	Aur fauran ʻibádatḳhánoṉ meṉ Yisúʻ kí manádí karne lagá, ki wuh Ḳhudá ká Beṭá hai. 
ACT.9.21	Aur sab sunnewále hairán hokar kahne lage; Kyá yih wuh shaḳhs nahíṉ hai, jo Yarúshalem meṉ is nám ke lenewáloṉ ko tabáh kartá thá, aur yaháṉ bhí sí liye áyá thá, ki un ko báṉdhkar sardár káhinoṉ ke pás le jáe? 
ACT.9.22	Lekin Sháúl ko âur bhí quwwat hásil hotí gayí, aur wuh is bát ko sábit karke ki Masíh yihí hai, Damishq ke rahnewále Yahúdíoṉ ko hairat dilátá rahá.
ACT.9.23	Aur jab bahut din guzar gaye, to Yahúdíoṉ ne us ke már ḍálne kí saláh kí; 
ACT.9.24	magar un kí sázish Sháúl ko maʻlúm ho gayí. Wuh to use már ḍálne ke liye rát din darwázoṉ par lage rahe; 
ACT.9.25	lekin rát ko us ke shágirdoṉ ne use lekar ṭokre meṉ biṭháyá aur díwár par se laṭkáke utár diyá.
ACT.9.26	Us ne Yarúshalem meṉ pahuṉchkar, shágirdoṉ meṉ mil jáne kí koshish kí: aur sab us se ḍarte the, kyúṉki un ko yaqín na átá thá, ki yih shágird hai. 
ACT.9.27	Magar Bar Nabá ne use apne sáth rasúloṉ ke pás le jákar un se bayán kiyá, ki is ne is is tarah ráh meṉ Ḳhudáwand ko dekhá, aur us ne is se báteṉ kíṉ, aur us ne Damishq meṉ kaisí dilerí ke sáth Yisúʻ ke nám se manádí kí. 
ACT.9.28	Pas wuh Yarúshalem meṉ un ke sáth átá játá rahá, 
ACT.9.29	aur dilerí ke sáth Ḳhudáwand ke nám kí manádí kartá thá: aur Yúnánímáil Yahúdíoṉ ke sáth guftgú aur bahs bhí kartá thá; magar wuh us ke már ḍálne ke darpai the. 
ACT.9.30	Aur bháiyoṉ ko jab yih maʻlúm húá to use Qaisariya meṉ le gaye, aur Tarsus ko rawána kar diyá.
ACT.9.31	Pas tamám Yahúdiyá, aur Galíl, aur Sámariya meṉ kalísiyá ko chain ho gayá, aur us kí taraqqí hotí gayí; aur wuh Ḳhudáwand ke ḳhauf aur Rúhuʼl Quds kí tasallí par chaltí aur baṛhtí játí thí.
ACT.9.32	Aur aisá húá ki Patras har jagah phirtá húá, un muqaddasoṉ ke pás bhí pahuṉchá, jo Ludda meṉ rahte the. 
ACT.9.33	Waháṉ Ainiyás nám ek maflúj ko páyá jo áṭh baras se chárpáí par paṛá thá. 
ACT.9.34	Patras ne us se kahá; Ai Ainiyás! Yisúʻ Masíh tujhe shifá detá hai; uṭh, áp apná bistar bichhá. Wuh fauran uṭh khaṛá húá. 
ACT.9.35	Tab. Ludda aur Sháron ke sab rahnewále use dekhkar Ḳhudáwand kí taraf rujúʻ láe.
ACT.9.36	Aur Yáfá meṉ ek shágird thí, Tabítá nám, jis ká tarjuma Harní hai; wuh bahut hí nek kám aur ḳhairát kiyá kartí thí. 
ACT.9.37	Unhíṉ dinoṉ meṉ aisá húá ki wuh bímár hokar mar gayí, aur use nahlákar báláḳháne meṉ rakh diyá. 
ACT.9.38	Aur chúṉki Ludda Yáfá ke nazdík thá, to shágirdoṉ ne yih sunkar ki Patras waháṉ hai, do ádmí bheje aur us se darḳhwást kí, ki Hamáre pás áne meṉ der na kar. 
ACT.9.39	Patras uṭhkar un ke sáth ho liyá. Jab pahuṉchá, to use báláḳháne meṉ le gaye: aur sab bewa ʻaurateṉ rotí húí us ke pás á khaṛí húíṉ, aur jo kurte aur kapṛe Harní ne un ke sáth meṉ rahkar banáe the dikháne lagíṉ. 
ACT.9.40	Patras ne sab ko báhar kar diyá, aur ghuṭne ṭekkar duʻá máṉgí; phir lásh kí taraf mutawajjih hokar kahá, Ai Tabítá, uṭh. Pas us ne áṉkheṉ khol díṉ; aur Patras ko dekhkar uṭh baiṭhí. 
ACT.9.41	Us ne háth pakaṛke use uṭháyá, aur muqaddasoṉ aur bewa ʻauratoṉ ko bulákar use zinda un ke supurd kiyá. 
ACT.9.42	Yih bát sáre Yáfá meṉ mashhúr ho gayí: aur bahutere Ḳhudáwand par ímán le áe. 
ACT.9.43	Aur áisá húá ki wuh bahut din Yáfá meṉ Shamaʻún nám dabbág ke háṉ rahá.
ACT.10.1	Qaisariya meṉ Kurneliyus nám ek shaḳhs thá, wuh us palṭan ká súbadár thá, jo Itáliyání kahlátí hai. 
ACT.10.2	Wuh díndár thá, aur apne sáre gharáne samet Ḳhudá se ḍartá thá, aur Yahúdíoṉ ko bahut ḳhairát detá, aur har waqt Ḳhudá se duʻá máṉgtá thá. 
ACT.10.3	Us ne tísre pahar ke qaríb royá meṉ sáf sáf dekhá, ki Ḳhudá ká firishta mere pás ákar kahtá hai; Kurneliyus. 
ACT.10.4	Us ne us ko gaur se dekhá, aur ḍarke kahá; Ḳhudáwand, kyá hai? Us ne us se kahá, ki Terí duʻáeṉ aur terí ḳhairát yádgárí ke liye Ḳhudá ke huzúr pahuṉchíṉ. 
ACT.10.5	Ab Yáfá meṉ ádmí bhejkar, Shamaʻún ko, jo Patras kahlátá hai, bulwá le. 
ACT.10.6	Wuh Shamaʻún dabbág ke háṉ mihmán hai, jis ká ghar samundar ke kanáre hai. 
ACT.10.7	Aur jab wuh firishta chalá gayá, jis ne us se báteṉ kí thíṉ, to us ne do naukaroṉ ko, aur un meṉ se jo us ke pás házir rahá karte the ek díndár sipáhí ko buláyá; 
ACT.10.8	aur sab báteṉ un se bayán karke unheṉ Yáfá meṉ bhejá.
ACT.10.9	Dúsre din, jab wuh ráh meṉ the, aur shahr ke nazdík pahuṉche to Patras do pahar ke qaríb koṭhe par duʻá máṉgne chaṛhá. 
ACT.10.10	Aur use bhúk lagí, aur kuchh kháná cháhtá thá: lekin jab log taiyár kar rahe the, to us par beḳhudí chhá gayí; 
ACT.10.11	aur us ne dekhá, ki ásmán khul gayá, aur ek chíz, baṛí chádar kí mánind chároṉ konoṉ se laṭaktí húí, zamín kí taraf utar rahí hai, 
ACT.10.12	jis meṉ zamín ke sab qism ke chaupáe, aur kíṛe makauṛe, aur hawá ke parande haiṉ. 
ACT.10.13	Aur use ek áwáz áí, ki Ai Patras, uṭh, zabh kar, aur khá. 
ACT.10.14	Magar Patras ne kahá; Ai Ḳhudáwand, hargiz nahíṉ; kyúṉki maiṉ ne kabhí koí harám yá nápák chíz nahín kháí. 
ACT.10.15	Phir dúsrí bár use áwáz áí, ki Jin ko Ḳhudá ne pák ṭhahráyá hai, tú unheṉ harám na kah. 
ACT.10.16	Tín bár aisá hí húá; aur fiʼlfaur wuh chíz ásmán par uṭhá lí gayí.
ACT.10.17	Jab Patras apne dil meṉ hairán ho rahá thá, ki yih royá jo maiṉ ne dekhí kyá hai, to dekho, wuh ádmí jinheṉ Kurneliyus ne bhejá thá, Shamaʻún ká ghar daryáft karke darwáze par á khaṛe húe, 
ACT.10.18	aur pukárke púchhne lage, ki Shamaʻún jo Patras kahlátá hai, yahíṉ mihmán hai? 
ACT.10.19	Jab Patras us royá ko soch rahá thá, to Rúh ne us se kahá, ki Dekh, tín ádmí tujhe púchh rahe haiṉ; 
ACT.10.20	pas uṭhkar níche já, aur bekhaṭke un ke sáth ho le; kyúṉki maiṉ ne hí un ko bhejá hai. 
ACT.10.21	Patras ne utarkar un ádmíoṉ se kahá; Dekho, jis ko tum púchhte ho, wuh maiṉ hí húṉ; tum kis sabab se áe ho? 
ACT.10.22	Unhoṉ ne kahá; Kurneliyus súbadár, jo rástbáz aur ḳhudátars ádmí, aur Yahúdíoṉ kí sárí qaum meṉ neknám hai, us ne pák firishte se hidáyat páí, ki tujhe apne ghar bulákar tujh se kalám sune. 
ACT.10.23	Pas us ne unheṉ andar bulákar un kí mihmání kí.
ACT.10.23	Aur dúsre din wuh uṭhkar un ke sáth rawána húá, aur Yáfá meṉ se baʻz bháí us ke sáth ho liye. 
ACT.10.24	Wuh dúsre roz Qaisariya meṉ dáḳhil húe. Aur Kurneliyus apne rishtadároṉ aur dilí dostoṉ ko jamaʻ karke un kí ráh dekh rahá thá. 
ACT.10.25	Jab Patras andar áne lagá, to aisá húá ki Kurneliyus ne us ká istiqbál kiyá, aur us ke qadamoṉ meṉ girke sijda kiyá. 
ACT.10.26	Lekin Patras ne use uṭhákar kahá, ki Khaṛá ho; maiṉ bhí to insán húṉ. 
ACT.10.27	Aur us se báteṉ kartá húá andar gayá, aur bahut se logoṉ ko ikaṭṭhá pákar 
ACT.10.28	un se kahá; Tum to jánte ho, ki Yahúdí ko gairqaumwále se suhbat rakhní, yá us ke háṉ jáná nájáiz hai; magar Ḳhudá ne mujh par záhir kiyá, ki maiṉ kisí ádmí ko najis yá nápák na kahúṉ: 
ACT.10.29	isí liye jab maiṉ buláyá gayá, to beʻuzr chalá áyá. Pas ab maiṉ púchhtá húṉ, ki mujhe kis bát ke liye buláyá hai? 
ACT.10.30	Kurneliyus ne kahá; Is waqt púre chár roz húe, ki maiṉ apne ghar meṉ tísre pahar kí duʻá máṉg rahá thá; to dekho, ek shaḳhs chamakdár poshák pahine húe mere sámne khaṛá húá 
ACT.10.31	aur kahá, ki Ai Kurneliyus, terí duʻá sun lí gayí, aur teri ḳhairát kí Ḳhudá ke huzúr yád húí. 
ACT.10.32	Pas kisí ko Yáfá meṉ bhejkar Shamaʻún ko, jo Patras kahlátá hai, apne pás bulá; wuh samundar ke kanáre Shamaʻún dabbág ke ghar meṉ mihmán hai. 
ACT.10.33	Pas usí dam maiṉ ne tere pás ádmí bheje; aur tú ne ḳhúb kiyá jo á gayá. Ab ham sab Ḳhudá ke huzúr házir haiṉ, táki jo kuchh Ḳhudáwand ne tujh se farmáyá hai, use suneṉ. 
ACT.10.34	Patras ne zabán kholkar kahá;
ACT.10.34	Ab mujhe púrá yaqín ho gayá, ki Ḳhudá kisí ká tarafdár nahíṉ: 
ACT.10.35	balki har qaum meṉ jo us se ḍartá aur rástbází kartá hai, wuh us ko pasand átá hai. 
ACT.10.36	Jo kalám us ne baní Isráíl ke pás bhejá, jab ki Yisúʻ Masíh kí maʻrifat (jo sab ká Ḳhudáwand hai) sulh kí ḳhushḳhabarí dí, 
ACT.10.37	us bát ko tum jánte ho, jo Yúhanná ke baptisma kí manádí ke baʻd, Galíl se shurúʻ hokar, tamám Yahúdiya meṉ mashhúr ho gayí; 
ACT.10.38	ki Ḳhudá ne Yisúʻ Násarí ko Rúhuʼl Quds aur qudrat se kis tarah masah kiyá: wuh bhaláí kartá, aur un sab ko jo Iblís ke háth se zulm uṭháte the, shifá detá phirá; kyúṉki Ḳhudá us ke sáth thá. 
ACT.10.39	Aur ham un sab kámoṉ ke gawáh haiṉ, jo us ne Yahúdíoṉ ke mulk aur Yarúshalem meṉ kiye; aur unhoṉ ne us ko salíb par laṭkákar már ḍálá. 
ACT.10.40	Us ko Ḳhudá ne tísre din jiláyá, aur záhir bhí kar diyá, 
ACT.10.41	na ki sárí ummat par, balki un gawáhoṉ par jo áge se Ḳhudá ke chune húe the, yaʻní ham par, jinhoṉ ne us ke murdoṉ meṉ se jí uṭhne ke baʻd us ke sáth kháyá piyá. 
