MAT.1.1	Iga nyigo marina ga waku wa Yesu Kristo awei o kyishari kya Dawidi na Abrahamu.
ACT.28.4	Kyiyeri wandu wa kyiṟingyiti kyilya walewona njoka iya inenewie kuwokonyi ko Paulo wakawiana, “Mndu-chu aṙeeye alakyeri mmbaagi-pfo. Maa chandu alekyia ndenga tsa ipalyipalyinyi ruwa ekyelago Wusumganyi eṙa alembaaga-pfo.” 
ACT.28.5	Kyaindi Paulo kakutia-kutia njoka iya moṙonyi ilammbutie kyindo kyoose. 
ACT.28.6	Wo wakakusaṟa kye nechishimba ang'u ioloka wanda kui ipfa cha ilyi; na wamumwitukuye mnu, na iwona kye kuwoṙe kyindo kyoose kyiwicho kyiwemmbutikyia-pfo, wakainduka, wakagamba kye oe nyi ruwa.
ACT.28.7	Kufuhi na handu halya hawewoṙe maṙema ga msongoru o kyiṟingyiti kyilya, awekyelago Pubilyio. Mndu-chu naleluambilyia kui mrima uwoṙe umbuya, kalugaluo wayenu wakye kyiyeri kya mfiri iṟaṟu. 
ACT.28.8	Kyikawa-ng'u awu o Pubilyio nawewoṙo nyi homa na iaṟaka samu. Paulo kaiṙa na halya-ndu awekyeri, katerewa, kayekyia mawoko gakye wuye yakye, na imkyiṟa. 
ACT.28.9	Isho shammbutikye wandu wengyi wawewoṙe ndoṟe kulya kyiṟingyitinyi wakacha wakakyiṟo. 
ACT.28.10	Nawo wakaluindia mnu. Kyasia kyiyeri lulewooka kyaro kya iiṙa ipalyipalyinyi wakawikyia ngalawenyi shindo shilya luwekundi.
ACT.28.11	Hamwiṙe mori iṟaṟu lukoyenda lukyeri ngalawenyi ya mṟi o Iskanderia, ngalawa ilekoyakaa halya kyiṟingyitinyi kyiyeri kya mbeho. Na ngalawa-yo iwekyelago “waruwa wawi.” 
ACT.28.12	Lukoshika Sirakusa, lukokaa mfiri iṟaṟu. 
ACT.28.13	Iwuka pfo lukotenga lukoshika Rekyio; hamwiṙe mfiri umwi mkuma ukokuma iwuka ura lo kyaseri, na ilya-ngama lukoafukyia Puteolyi. 
ACT.28.14	Lukokooya pfo wandu waata waiṙikyie Yesu, wakaluterewa lukae nawo mfiri mfungaaṙe; na kuṙo lukoshika Roma. 
ACT.28.15	Na iwuka pfo, kyiyeri walya waiṙikyie Yesu waleicho mbonyi tsaṙu, wakacheluambilyia, wakacha mṟasa Sangaṙa ya Apiyo na numba tsiṟaaṟu tseambilyia wayenu. Kyiyeri Paulo alewawona naleana Ruwa, kokuicho pfinya ing'anyi mrimenyi.
ACT.28.16	Kyiyeri luleiṙa na Roma Paulo naleenengo momu o ikaa amonyi hamwi na asikari alemringa. 
ACT.28.17	Kyikawa-ng'u hamwiṙe mfiri iṟaṟu kalaga wang'anyi wa Wayuda wasanzie handu hamwi, na wammbute kuṙo, kawawia, “Wana wa wama wako, maa chandu ngyilalewuta kyindo kyoose kyilaṙuṙanyi na miichiwie ya wandu waṙu ang'u miichiwie ya waku waṙu, ngyilewiko mawokonyi ga Waroma, ngyimpfungye wookyia Yerusalemu. 
ACT.28.18	Na iwo wamungyisoruo-soruo walekunda ingyilekyia, cha kyipfa kuwewoṙe kyimaṙuma kyoose kya inyi iwoogo-pfo. 
ACT.28.19	Kyaindi kyiyeri Wayuda walegamba kyilya wawekusaṟie ngyileitiko iṙuo mbonyi-tsi ko Kaisari. Chi kye ngyiwewoṙe kyindo kyiwicho ngyeiṙima igamba kye wandu wa uruka loko walewuta-pfo. 
ACT.28.20	Kyasia kyipfa kya ikyo, ngamulaga muchengyiambuya na iṙeṙa na inyi; cha kyipfa ngyimfungye na mshe-chu kyipfa kya kyilya wandu wa Isiraelyi waiweṙelyia.” 
ACT.28.21	Walya wakammbia, “Soe luleambilyia paruo tsiwoṙe mbonyi tsapfo iwuka Uyuda-pfo; maa kuwoṙe maa mndu umwi aiṙikyie Yesu aleshika iha na iluendie mbonyi ang'u igamba kyindo kyoose kyiwicho kyapfo-pfo. 
ACT.28.22	Kyaindi lukundi iicho chandu uwonyi iyoe; cha kyipfa mbonyi tsa wandu-wa iyoe ukyeri umwi owo kyimanyikyie koṙu kye tsiṙeṙe uwicho orio handu.”
ACT.28.23	Wamteṟiane na Paulo mfiri wechiwaṙa kyisanzionyi na oe wandu wafoi mnu wakacha na kulya numbenyi awekyekaa. Kawaongoya necha na iṟingyishia Wumangyi wo Ruwa, echiwaikyimbia kui mbonyi tsa Yesu, na mbonyi tsa mawawaso ga Mose na ga weonguo shisuku, wookyia ngamenyi mṟasa kyukonyi. 
ACT.28.24	Wengyi wakaiṙikyia shilya shilegambo kyaindi wengyi waleiṙikyia-pfo. 
ACT.28.25	Na kyiyeri walawewoṙe makusaṟo gamwi, wakayenda, kyiyeri Paulo amgambe kye, “Mumuyo Mweele naleṙeṙa necha na waku waṙu, kui ṙumbu lya moonguo shisuku Yesaya, 
ACT.28.26	echigamba,
ACT.28.26	‘Yenda ko wandu-wa, undewawia,
ACT.28.26	Iicho moicho, indi momanya-pfo,
ACT.28.26	na iwona mowona, indi momanya-pfo.
ACT.28.27	Cha kyipfa mrima ya wandu-wa irumai,
ACT.28.27	na maṙwi gawo nyi gamalemeri iicho,
ACT.28.27	na washingyie meso gawo;
ACT.28.27	walacheicho kui maṙwi gawo.
ACT.28.27	Na imanya kui mrima yawo,
ACT.28.27	na iilacha makusaṟo gawo, ngawakyiṟa.’ ”
ACT.28.28	“Kyasia manyenyi kye wukyiṟo-wu wo Ruwa wuleṙoo ko wandu walaiṙikyie Yesu, nawo wechiiṙikyia!” [ 
ACT.28.29	Amgambe kuṙo, Wayuda wakayenda, wechiwesana shindo shifoi wenyi ko wenyi.] 
ACT.28.30	Paulo kakaa kyiyeri kya maka iwi kulya numbenyi awekyekaa, kaambilyia wandu woose wawekyeyenda kokye, 
ACT.28.31	echionguo mbonyi tsa Wumangyi wo Ruwa, na ilosha mbonyi tsa Yesu Kristo, kulawoṙe wuowu, na kulawoṙe mndu alemshingyia.
ROM.1.1	Paruo-i yawuka koko inyi Paulo, mṟundi o Yesu Kristo, alelago nawe msu, na iteseṟo naonguoe Ndumi Ngyicha ya Ruwa; 
ROM.1.2	nayo nyiyo Ruwa alekoamwenenga kyaasa kui ṙumbu lya weonguo shisuku shiṟeionyi shiele. 
ROM.1.3	Mbonyi tsa Mono-kye alefeo kyisharinyi kya Dawidi, 
ROM.1.4	na iṟingyishio kui wuiṙimi iwa Mana o Ruwa, kui mbaṟe ya ngoo ya wuele, kui iṟutso lya wapfu, Yesu Kristo Mndumii oṙu. 
ROM.1.5	Icho ai kye kyiiṙi kyakye luleambilyia isaṟia na ndumo kundu masanga goose gaiṙime iindia kui iiṙikyia kyipfa kya rina lyakye. 
ROM.1.6	Na kyiiṙi kya iwo nyoe mulewa wasambuṟe wa Yesu Kristo; 
ROM.1.7	ko woose wakyeri Roma, wawakunde nyi Ruwa, walelago wawe wandu wa Ruwa. Isaṟia lyikae konyu na ufoṟo luwukyie ko Ruwa Awu oṙu, na ko Mndumii Yesu Kristo.
ROM.1.8	Kuwooka ngyiana Ruwa oko kyiiṙi kya Yesu Kristo kyipfa kyanyu nyoe moose, kyipfa iiṙikyia lyanyu lyiongoyo wuyanenyi koose. 
ROM.1.9	Kyipfa Ruwa, ichu ngyekyemterewa na imwindia kui mrima oko kyiiṙi kya Ndumi Ngyicha ya Mono-kye, nyi mṟingyishi oko chandu ngyekyemukumbuo kulawoṙe itsia, 
ROM.1.10	mfiri yoose shiterewonyi shako, ngyechiterewa ngyiche na konyu mfiri ya kufuhi, Ruwa kakunda ingyigoṟokyia kyaronyi kyako. 
ROM.1.11	Kyipfa ngyilangyie mnu immbona nyoe, ngyiiṙime imuenenga kyisumbo kya mrimenyi, kundu mukarisho mulalolome. 
ROM.1.12	Kyimwi na igamba, luwiyiṟiane moo inyi na nyoe, orio mndu kui iiṙikyia lya oṙoe, lyanyu na lyako. 
ROM.1.13	Kyaindi wana wa wama wako, ngyikundi muṙe mulamanya kye kafong'ui ngyilekunda icha na konyu; indi maa mṟasa wulalu ngyilalekyio, kundu ngyiiṙime igaluo wandu konyu wagalukyie Kristo taa. Chandu ngyiwoṙe wandu wagalukyie Kristo iwuka ko wandu wa masanga walai wa kunu Roma. 
ROM.1.14	Ngyiriko nyi Wakyiṟikyi na walakyeri Wakyiṟikyi, ngyiriko nyi waṟango na matondo. 
ROM.1.15	Koikyo, ko ura loko, inyi ngyikuṟeyeṟie ionguo Ndumi Ngyicha maa konyu nyoe mokyekaa Roma.
ROM.1.16	Kyipfa ngyiwonia sonu Ndumi Ngyicha-pfo; kyipfa nyi wuiṙimi wo Ruwa wokyeende wukyiṟo, ko orio mndu aiṙikyie, ko Myuda kuwooka, na ko Mkyiṟikyi taa. 
ROM.1.17	Kyipfa wusumganyi wo Ruwa wuloṟo kyiiṙi kyakye; wookyia mawookyionyi ga iiṙikyia mṟasa mafurumionyi; chandu kyikyiṟeie, “Awoṙe wusumganyi nechikaa kui iiṙikyia.”
ROM.1.18	Cha kyipfa nyashi ya Ruwa ilemanyika na pata iwuka Ruwewu kyipfa kya wunyamaṟi na wuwicho woose wo wandu wekyewingana na wuloi kui wuwicho. 
ROM.1.19	Kyipfa mbonyi tsa Ruwa tsiichio tsamanyika mrimenyi kowo kyipfa Ruwa nalewaloṟa na pata. 
ROM.1.20	Kyipfa wookyia kyiyeri Ruwa alegumba wuyana wandu weiṙima imanya na pata kye pfinya tsakye nyi tsa mlungana na kye nai Ruwa loi. Mbonyi tsi tsekyeiṙima iwono-pfo kyaindi tsekyemanyika. Wandu weiṙima imanya mbonyi-tsi tsa Ruwa kyipfa kya shindo Ruwa agumbie. Kyipfa kya ikyo wechiiṙima ikuwaṙa na kyindo kyoose kyiiṙi kya shilya wawutie-pfo. 
ROM.1.21	Cha kyipfa kyiyeri walemanya Ruwa walemṟumisha cha kye oe nyi Ruwa maa imwana-pfo; indi waleṙekyia maloshonyi gawo ga wongo, na mrima yawo iwoṙe wutondo ikawiko meema. 
ROM.1.22	Wechikuloṟa kye waṟango waletondoka. 
ROM.1.23	Wakagaluo kyiṟumi kya Ruwa alekyepfa kui mafano ga mndu, shileye, na ga mando ga saka, na shekyekukuruo na ndewu.
ROM.1.24	Kyipfa kya isho Ruwa nalewaṙa langonyi tsa mrima yawo, waoshe ukoe, mṟasa wakawutiana shindo sha sonu kui mmbiu yawo. 
ROM.1.25	Cha kyipfa walegaluo wuloi wo Ruwa iwa wongo, wakapfiria ndi kyindo Ruwa agumbie, wakawaṙima Ruwa ekyeṟumisho mlungana. Amen.
ROM.1.26	Koikyo Ruwa nalewaṙa waoshe lango tsawo tsa sonu. Waka wakailacha mkaṟo wakawutiana mbonyi tsa wolyi kui mmbiu yawo, kyindo kyilawaṟi iwa kuṙo. 
ROM.1.27	Wasoṟo nawo na wuṙo wakaṙa iwuta mbonyi tsa wolyi na waka chandu kyiwaṟi wookyia mawookyionyi, wakalangana, wasoṟo wechiwuta shilawaṟi, wakaambilyia ngapo mrimenyi kowo, ngapo ikyeri wori wawaṟi.
ROM.1.28	Na chandu walelega iwika Ruwa ngyuuṟangonyi tsawo, Ruwa nalewaṙa waoshe ngyuuṟango tsawo tsilawoṙe kyiira, wawute shilawaṟi iwuta. 
ROM.1.29	Wawoṙe wuwicho wo orio mbaṟe, wunyamaṟi na lango na wuwicho. Wawoṙe wunyeng'i, na uwaagi, na wuṟiingyi, na wulembi; wandu wa makusaṟo mawicho, wekyeṙeṙa wengyi. 
ROM.1.30	Wekyeiria woṙiawo wongo, wasuuye Ruwa, wawoṙe tiri, wekyekushela, wekyeṙamia kyiṙombo kyeṙeṙa wongo, walekyeindia wafee wawo. 
ROM.1.31	Walaichi kyindo, walekyeafutsia shilya wateṟie, walakundi wandu wa kanyi kowo, walawoṙe isaṟia. 
ROM.1.32	Waichi mnu ianduyo lya wusumganyi wo Ruwa, kye wekyewuta isho wawaṟi upfu, wekyewuta isho; maa chi isho tupu-pfo, indi wakaiṙikyiana na walya wekyewuta waṙo.
ROM.2.1	Koikyo, iyoe mndu uianduya oṙoo uwoṙe kyegamba-pfo. Kyipfa isho uanduya ungyi nukuanduya kumonyi kye nunyamaṟie; kyipfa iyoe uianduya nuiwuta shilya shilya. 
ROM.2.2	Na soe luichi kye ianduyo lyiwukyie ko Ruwa nyi lya sungusinyi ko iwo wekyewuta isho. 
ROM.2.3	Iyoe mndu, okyeanduya walya wekyeṟunda isho na iwuta isho isho kumonyi, nokusaṟa nochiiṙima iṙicha ianduyo lyiwukyie ko Ruwa? 
ROM.2.4	Ang'u nuimina wucha wokye wufoi na wusimiri wokye na ikarishia lyakye, ulamanye kye wucha wo Ruwa wukukuruo uiṙime iṙumbuya wunyamaṟi? 
ROM.2.5	Indi kyipfa kya wuumu wopfo, na kui mrima opfo ulawoṙe iṙumbuya wunyamaṟi, nuiengeṟa nyashi ya Ruwa kopfo mfiri ulya o nyashi ya Ruwa na iloṟo lya chandu Ruwa ekyeanduya kulawoṙe ikundia. 
ROM.2.6	Echitaa orio mndu iṙuana na mawuto gakye. 
ROM.2.7	Walya kui wusimiri kyiiṙi kya iwuta mecha waipfula mng'ano na kyiṟumi na ikaa ho mlungana, wechienengo moo o mlungana. 
ROM.2.8	Na walya wawoṙe wuṟiingyi, walekyeindia wuloi, indi wakaiṙikyiana na mbaka, wewona nyashi na isuo lying'anyi; 
ROM.2.9	matuuro na wukyiwa wuye ya orio mndu ekyewuta mawicho, Myuda kuwooka na Mkyiṟikyi taa. 
ROM.2.10	Indi mng'ano na kyiṟumi na ufoṟo ko orio mndu ekyewuta shicha, Myuda kuwooka na Mkyiṟikyi taa; 
ROM.2.11	kyipfa kuwoṙe ikundia ko Ruwa-pfo. 
ROM.2.12	Kyipfa iwo woose walenyamaṟa kulawoṙe mawawaso weṙeka kulawoṙe mawawaso, na woose walemyamaṟa waichi mawawaso, weanduyo kui mawawaso. 
ROM.2.13	Kyipfa chi woose wekyeicho mawawaso wai wasumganyi mbele ya Ruwa-pfo, indi nyi walya wekyewuta kyilya mawawaso gakundi wechitalyio wusumganyi. 
ROM.2.14	Kyipfa ilyi wandu wa Masanga walawoṙe mawawaso wekyewuta kui mkaṟo yawo shilya shikyeri uwawasonyi, walawoṙe mawawaso wakuenenga mawawaso wawenyi. 
ROM.2.15	Iwo wailoṟa iṟunda lya uwawaso luluṟeie mrimenyi kowo na kyilya kyikyeri mrimenyi kowo kyechiwaṟingyishia, na makusaṟo gawo gawenyi gechiloṟa kye wawawicho ang'u wawawicho-pfo, 
ROM.2.16	mfiri ulya Ruwa echianduya makusaṟo ga kyiṟika ga wandu, iṙuana na Ndumi-i Ngyicha ya Kristo Yesu ngyilemuongoya.
ROM.2.17	Kyaindi iyoe, kokooya nuilago Myuda na ikusuria uwawaso, na ikushela kyiiṙi kya Ruwa, 
ROM.2.18	na imanya kyilya akundi, na iiṙikyia mbonyi ngyicha, na iyoe numloshe mawawasonyi, 
ROM.2.19	na imanya loi kye iyoe kumonyi nyi msongoru o shipfupfuṟe, ngyeela ya iwo wakyeri meemenyi, 
ROM.2.20	mlosha o matondo, na wana wanangu, awoṙe wuṟango na wuloi uwawasonyi; 
ROM.2.21	kyasia iyoe uilosha ungyi, okulosha kumonyi-pfoe? Iyoe uionguo kye mndu alaiwe, nuiiwa kumonyi? 
ROM.2.22	Iyoe ugamba mndu alaṟuguye ang'u alaṟuguyo, nuiṟuguya ang'u iṟuguyo kumonyi? Iyoe nusuuye mafano ga waruwa na kunu nuikugaluo mnjama kui iiwa mahekalunyi ga waruwa? 
ROM.2.23	Iyoe okyekushelyia mawawaso, nokyefunjia Ruwa kyiṟumi kyakye kui ifunja uwawaso? 
ROM.2.24	Kyipfa rina lya Ruwa lyilahio wandunyi walaiṙikyie Ruwa kyipfa kyanyu, chandu kyikyiṟeie. 
ROM.2.25	Kyipfa iṙino lyiwoṙe kyiira kokooya ui mndu okyewuta kyilya mawawaso gakundi. Kyaindi kowa mofunja mawawaso iṙino lyapfo lyawa cha ilyi ulamṙine. 
ROM.2.26	Kyasia kokooya icho alamṙine nekyeosha shilya uwawaso luwawasie, ngyesa iṙa iṙino lyakye lyechitalo cha nyi iṙino-pfoe? 
ROM.2.27	Na icho alamṙine wookyia kuwooka, ekyeosha kyilya uwawaso lukundi, echikuanduya iyoe umṙine, konyamaṟa uwawaso-pfoe? 
ROM.2.28	Kyipfa oe chi Myuda ai Myuda kyanja tupu-pfo, maa iṙino chi lyilya lya kyanja tupu mmbiunyi-pfo. 
ROM.2.29	Indi oe nyi Myuda ai Myuda o mrimenyi; na iṙino nyi lya mrima, Mumuyonyi o Ruwa, chi shiṟeionyi-pfo. Uwawaso-lo kyiṟumi kyalo kyilekyewuka ko wandu indi ko Ruwa.
ROM.3.1	Kyasia Myuda nawoṙe-kyi kya ngoseṟa? Na iṙino lyiwoṙe kyiiṙa kyiha? 
ROM.3.2	Lyiwoṙe kyiiṙa ngoseṟa ko njia tsoose. Kya kuwooka nyi kyipfa wawaenengye ulogo lo Ruwa. 
ROM.3.3	Nyi kyikyi-ng'u, kokooya wandu waata walaleiṙikyia? Aa ilega iiṙikyia lyawo lyechiilacha shilya Ruwa ateṟie? 
ROM.3.4	Maa ale; kundu Ruwa nawono nyi o loi, na orio mndu nyi o wongo; chandu kyikyiṟeie,
ROM.3.4	“Kundu umanyikye kye nuwoṙe wusumganyi
ROM.3.4	maṙeṙonyi gapfo,
ROM.3.4	undewinga kyiyeri kya ianduyo.”
ROM.3.5	Kyaindi kokooya wuwicho woṙu wuṟingyishia wusumganyi wo Ruwa, lugambe kyikyi? Ruwa nyi mmbicho aiende nyashi? (Ngyigamba kui mbaṟe ya kyimndu.) 
ROM.3.6	Ote! Kyipfa iho Ruwa neiṙima kuṙa ianduya wuyana? 
ROM.3.7	Kyaindi kokooya loi ya Ruwa yaengyeṟa iṟingyishia mng'ano okye kyipfa kya iṙeṙa wongo lyako, ny' kyilyi inyi ngyiengyeṟa ianduyo kye ngyimnyamaṟi? 
ROM.3.8	Kyitewe ny' kyi lulagambe (chandu luleirio, na chandu wengyi waigamba na pfinya kye kyi wuṙo luigamba), luwute shiwicho kundu kuche mecha? Ruwa nechiwaolotsia ngapo chandu wawaṟi iwutio.
ROM.3.9	Kyasia ny' kyikyi-ng'u? Lukyeri wecha kuta wengyi? Ote! Maa ale. Cha kyipfa lomshitakyi Wayuda na Wakyiṟikyi kye wawachilyie nyi wunyamaṟi taa. 
ROM.3.10	Chandu kyikyiṟeie kye,
ROM.3.10	“Kuwoṙe msumganyi maa umwi-pfo.
ROM.3.11	Kuwoṙe aichi-pfo,
ROM.3.11	kuwoṙe aipfula Ruwa-pfo.
ROM.3.12	Woose waṙekyie,
ROM.3.12	kuwoṙe aiwuta mecha-pfo, ote! Maa umwi.
ROM.3.13	Uṟoo lowo nyi kyilome kyilakyishikyie,
ROM.3.13	kui ngyuulumi tsawo walewika ngyeṟo
ROM.3.13	wekyeṙeṙa shindo shikyeri cha uṟoi lo njoka.
ROM.3.14	Maṙumbu gawo gaichuo seso ngyiwicho.
ROM.3.15	Maṙende gawo gaipfuṟukana iwaaga wandu.
ROM.3.16	Wunyamaṟi na ikapa kawi shikyeri njienyi tsawo.
ROM.3.17	Maa njia ya ufoṟo waleimanya-pfo.
ROM.3.18	Maa wakuloshie iowuo na ikunda Ruwa-pfo.”
ROM.3.19	Kyasia luichi kye mbonyi tsoose uwawaso lugambie ko walya wawachilyie nyi uwawaso, kundu orio mndu nawio natsie, na wuyana woose wuchilyio nyi ianduyo lya Ruwa. 
ROM.3.20	Kyipfa kuwoṙe mndu oose echitalo kye namsumganyi mbele yakye kui iwuta shilya mawawaso gakundi-pfo, kyipfa mawawaso gekyeenenga mndu imanya wunyamaṟi.
ROM.3.21	Kyaindi wulalu, wusumganyi wo Ruwa womanyika kulawoṙe mawawaso. Wuṟingyishio kui uwawaso na malosho ga weonguo shisuku. 
ROM.3.22	Nyi wusumganyi wo Ruwa wukyeri kui njia ya iiṙikyia kyiiṙi kya Yesu Kristo ko woose waiṙikyie. Kyipfa kuwoṙe kya mbaṟe ingyi-pfo. 
ROM.3.23	Kyipfa woose wawutie sha wunyamaṟi na mng'ano o Ruwa otitia kowo. 
ROM.3.24	Waitalyio wusumganyi walaitaa kyindo kui isaṟia lyakye, kui njia ya wukyiṟo wukyeri kyiiṙi kya Kristo Yesu. 
ROM.3.25	Ichu Ruwa amwummbikye nawe kyisanza kui njia ya iiṙikyia samunyi yakye, kundu naloṟe wusumganyi wokye, kyipfa kya ilekyia wusimirinyi wo Ruwa maṙeko goose galesonguo iwuto. 
ROM.3.26	Naiṙime iloṟa wusumganyi wokye kyiyeri-kyi, kundu nawe msumganyi na momtalyia wusumganyi icho aiṙikyie Yesu.
ROM.3.27	Kyasia ikushela nyi kwi lyikyeri-ng'u? Lyashingyio nja. Kui iwawaso lya mbaṟe iha? Kui iwawaso lya mawuto? Ote! Indi kui iwawaso lya iiṙikyia. 
ROM.3.28	Kyasia, luwonyi kye mndu nekyetalyio wusumganyi kui iiṙikyia kulawoṙe iwuta shilya mawawaso gakundi. 
ROM.3.29	Aa ngyesa Ruwa nyi Ruwa o Wayuda tupu? Chi Ruwa o wandu walakyeri Wayuda taa-pfoe? Yee, nyi Ruwa o walakyeri Wayuda taa. 
ROM.3.30	Kokooya loi Ruwa nyi umwi, echitalyia wusumganyi walya wawaṙine iiṙikyienyi, na walya walawaṙine nechiwatalyia wusumganyi kui njia ya iiṙikyia-lyo ilyo. 
ROM.3.31	Kyasia, ngyesa luilacha mawawaso kui iiṙikyia-lyo? Ote! Cha kyipfa luindia mawawaso chandu gawaṟi iindio.
ROM.4.1	Kyasia, lugambe luṙa mbonyi tsa Abrahamu, awu oṙu? 
ROM.4.2	Kyipfa kokooya Abrahamu naletalyio wusumganyi kyipfa kya mawuto gakye, nawoṙe kyekushelyia; indi chi mbele ya Ruwa-pfo. 
ROM.4.3	Kyipfa shiṟeio shagamba-kyi? Abrahamu naleiṙikyia Ruwa, kyikatalyio kokye kye nyi wusumganyi. 
ROM.4.4	Kyaindi ko mndu aiṟunda, wori wokye wokyetalo nyi isaṟia-pfo, indi kye nyi sile. 
ROM.4.5	Kyaindi ko mndu alaiṟunda, indi kaiṙikyia ulya aimtalyia wusumganyi mndu alakundi na iowuo Ruwa, iiṙikyia lya mndu-cho lyatalo kye nyi wusumganyi. 
ROM.4.6	Chandu Dawidi alegamba agusu mndu ulya Ruwa amtalyia kye namsumganyi kulawoṙe mawuto,
ROM.4.7	“Agusu wawahooṟie maṙeko gawo
ROM.4.7	na ngyuunyamaṟi tsawo tsilatsisende nyi Ruwa.
ROM.4.8	Agusu mndu ulya Mndumii alaimtalyia ngyuunyamaṟi.”
ROM.4.9	Kyasia ngyesa sia-yo nyi ko iwo wawaṙine, ang'u nyi ko iwo walawaṙine taa? Kyipfa luigamba kye ko Abrahamu iiṙikyia lyakye lyiletalo kye nyi wusumganyi. 
ROM.4.10	Ngyesa naletalyio kuṙa-ng'u? Nyi kyiyeri amṙino ang'u alandeṙino? Chi numa ya iṙino-pfo, indi alandeṙino. 
ROM.4.11	Na oe naleambilyia kyindo-kyi kyeloṟa kye namṙine, iṟingyishia lya wusumganyi wulya wo iiṙikyia awelyiwoṙe alandeṙino. Naiṙime iwa awu o woose waiṙikyie, maa chandu walawaṙine, kundu nawo wawetalyio wusumganyi taa. 
ROM.4.12	Lyingyi-se nawe awu o wandu waṙine, na chi ko iwo waṙine tikyi-pfo, indi walya wekyeosha ndifo tsa mwiṙikyie o awu oṙu, Abrahamu, awewoṙe wookyia kyiyeri alandeṙino.
ROM.4.13	Kyipfa kyaasa kyilya kye nechiwa mokyioṟa o wuyana Abrahamu na kyishari kyakye waleenengo chi kui mawawaso-pfo indi kui wusumganyi waletalyio kui iiṙikyia. 
ROM.4.14	Kyipfa kokooya walya wa mawawaso nyiwo weoṟa, iiṙikyia lyawa wulya, na kyaasa kyailachika. 
ROM.4.15	Kyipfa mawawaso nyigo gekyeende nyashi, cha kyipfa kulawoṙe mawawaso kuwoṙe ṙeko-pfo. 
ROM.4.16	Koikyo kyaasa kyiwukyie iiṙikyienyi, kyiwe kui njia ya isaṟia, kundu kyaasa kyilya kyilalolome ko shishari shoose. Chi ko walya wa uwawaso tikyi-pfo, indi na ko walya wai wa iiṙikyia lya Abrahamu; akyeri awu oṙu soe loose; 
ROM.4.17	(chandu kyikyiṟeie, “Ngyilekuwika uwe awu o Masanga gafoi;”) mbele ya Ruwa ulya alemwiṙikyia, moenenga wapfu moo, ekyeloṟa maa shindo shilakyeri pfo. 
ROM.4.18	Na oe naleiṙikyia echiweṙelyia kyindo kyilechiiṙima iweṙelyio, kundu naiṙime iwa awu o masanga gafoi, chandu kyiwekyiṙeṙe kye, “Nyi wuṙo kyechiwa kyishari kyapfo.” 
ROM.4.19	Oe alawemfofo iiṙikyienyi, nalekusaṟa kya mmbiu okye ulekoompfa (ammbaṙe cha maka igana), na Sara awewoṙe wuiṙimi wo waṙa mana-pfo. 
ROM.4.20	Kyaindi awonyi kyaasa kya Ruwa alekapa kawi kui iṙa iiṙikyia-pfo, indi naleenengo pfinya kui iiṙikyia, echiṟumisha Ruwa. 
ROM.4.21	Echimanya kye loi Ruwa neiṙima iṟunda shilya aweteṟie. 
ROM.4.22	Koikyo kyikatalyio kokye kye nyi wusumganyi. 
ROM.4.23	Kyaindi kyikyiṟeie kye nyi Abrahamu tupu aletalyio wusumganyi-pfo; 
ROM.4.24	indi na kyipfa kyaṙu soe lochitalyio kuṙo taa, soe luiṙikyie icho aleṟutsa Yesu Mndumii oṙu ko wapfu. 
ROM.4.25	Ulya alewuto kyipfa kya maṙeko gaṙu, na iṟutso kundu luiṙime italyio wusumganyi.
ROM.5.1	Kyasia lukomtalyio wusumganyi uwukyie iiṙikyienyi luwaṙe ufoṟo na Ruwa, kui njia ya Mndumii oṙu Yesu Kristo. 
ROM.5.2	Ulya kui oe lulewona kui njia ya iiṙikyia ikooya isaṟia-lyi lugoṟokyi kyiiṙi kyalyo; na ichihiyo ikusurienyi lya mng'ano o Ruwa. 
ROM.5.3	Maa chi wuṙo tikyi-pfo, indi luchihiyo taa ngyuukyiwenyi; luichi kye wukyiwa, iṟunda lyakye nyi iende wusimiri. 
ROM.5.4	Na iṟunda lya wusimiri nyi ikarisho lya mrima. Na iṟunda lya ikarisho lya mrima nyi ikusuria. 
ROM.5.5	Na ikusuria lyekyeende sonu-pfo; cha kyipfa ikunda lya Ruwa lyamletsio mrimenyi koṙu kui Mumuyo Mweele luleenengo soe. 
ROM.5.6	Cha kyipfa kyiyeri kyilya lulawewoṙe pfinya, ilyi kyiyeri kyileafukyia, Kristo nalepfa kyipfa kya wanyamaṟi. 
ROM.5.7	Cha kyipfa nyi kyindo kyuumu; mndu ipfa kyipfa kya mndu msumganyi. Kyaindi kyeiṙimika mndu ikaria ipfa kyipfa kya mndu awoṙe mawuto mecha. 
ROM.5.8	Indi Ruwa naloṟa ikunda lyakye oe amonyi koṙu soe, kyipfa Kristo nalepfa kyipfa kyaṙu, kyiyeri luwei wanyamaṟi. 
ROM.5.9	Kyasia ngoseṟa mnu lukomtalyio wusumganyi samunyi yakye, nelushingyia lulaolokyio nyi nyashi ya Ruwa. 
ROM.5.10	Cha kyipfa kokooya kyiyeri luwewoṙe kyituwa na Ruwa lulesanzo kui upfu lo Mono-kye; ngoseṟa mnu lukomsanzo lochikyiṟo kui moo okye. 
ROM.5.11	Maa chi wuṙo tikyi-pfo, indi na ichihiyo kyiiṙi kya Ruwa kui Mndumii oṙu Yesu Kristo, ulya kui oe wulalu loambilyia isanzo-lyo.
