MAT.1.1	Jesucristo Abrahampaj Davidpajpiwan mirayninmanta carkan. Cayka Jesucristopaj abueloncuna: 
JHN.17.6	“Konawayquipaj ajllaskayquicunaman yachachiniña pi caskayquita. Kanpajta carkancu, nokamantaj kowanqui, palabrayquitataj casucuncu. 
JHN.17.7	Cunan yachancu tucuy ima ruwaskayka niskaypas kanmanta caskanta. 
JHN.17.8	Palabrayquita willaniña, paycunataj jap'ekancu. Reparacuncu ciertopuni kanmanta jamuskayta, creencutaj kan cachamuwaskayquita.
JHN.17.9	“Paycunapaj mañacuyqui, mana mana creejcunapajchu, manachayri kowaskayquicunapaj, kanpajta caskancuraycu. 
JHN.17.10	Tucuy nokapajta cajka kanpajta, kanpajta cajcunataj nokapajta. Paycunapitaj honrayka ricuchicun.
JHN.17.11	“Noka mana cay pachapiñachu casaj, paycunataj cay pachapiraj cankacu. Kanwan canaypaj purisaj. Santo Tatáy, sutiyquipaj atiyninwan, kowaskayqui sutiwan nokapi creejcunata cuiday, ujllapuni canancupaj imaynachus kan nokawan ujlla canchis jinata. 
JHN.17.12	Noka cay pachapi paycunawan cachcaspa cuidarkani, wakaycharkanitaj kowaskayqui sutiyquipaj atiyninwan. Maykennincupas chincanchu, manachayri chincaskaña carkan chaylla, Escriturapaj niskan junt'acunanpaj.
JHN.17.13	“Cunanka kanman jamusaj. Caypi cachcasparaj caycunata nini, noka quiquiypaj cusicuyniywan junt'aska canancupaj. 
JHN.17.14	Palabrayquita paycunaman willaniña. Mana creejcuna paycunata chejnincu, mana paycuna jina caskancuraycu. Nokapas mana paycuna jinachu cani. 
JHN.17.15	Nokapi creejcunata mana cay pachamanta orkhonayquipajchu mañayqui, manachayri mana allincunamanta wakaychanayquipaj. 
JHN.17.16	Imaynatachus noka mana cay pachamantachu cani, paycunapas mana cay pachamantachu cancu. 
JHN.17.17	Kan quiquillayquipaj ch'uwanchay verdadwan. Palabrayqueka verdad. 
JHN.17.18	Imaynatachus caypi caj runacunaman cachamuwarkanqui, ajinallatataj paycunata cachani manaraj creej runacunaman. 
JHN.17.19	Paycunaraycu noka quiquiy churacuni, paycunapas verdadwan kanllapaj causanancupaj.
JHN.17.20	“Mana paycunallapajchu mañacuyqui, manachayri paycunapaj willaskanta uyarispa nokapi creenkacu chaycunapajpiwan. 
JHN.17.21	Mañacuyqui, tucuynin creejcuna ujllapuni canancupaj, nokanchiswanpas ujlla canancupaj. Oh Tatáy, imaynatachus kan nokapi cachcanqui, nokataj kanpi jinata, ujllapuni cachuncu, runacuna cachamuwaskayquita creenancupaj. 
JHN.17.22	Quiquin glorioso honor kowaskayquita paycunaman koni, imaynatachus kan nokawan ujlla canchis jinata ujlla canancupaj, 
JHN.17.23	noka paycunapi, kantaj nokapi, ajinapi ujllapuni canancupaj, runacunataj cachamuwaskayquita reparacunancupaj, paycunatapas munacuskayquita nokata jina.
JHN.17.24	“Tatáy, paycunata kowanqui. Munani maypichus noka casaj chaypi canancuta, kowaskayqui honorniyta gloriaytawan ricunancupaj. Manaraj cay pacha cachcajtin, munacuwarkanqui. 
JHN.17.25	Justo Tatáy, mana creejcuna mana rejsisunquichischu; nokaka rejsiyqui, caycunapas cachamuwaskayquita yachancu. 
JHN.17.26	Caycunaman yachachini pichus caskayquita, yachachichcaniraj munacuwaskayqui paycunapi cananpaj, noka quiquiypas paycunapi canaypaj.”
JHN.18.1	Caycunata niytawan, Jesús discipuloncunawan llojsiporkan Cedrón niska wayk'o chimpaman. Chaypi uj huerto carkan. Chayman Jesús discipuloncunawan yaycorkan. 
JHN.18.2	Vendiycoj Judaspas chay lugarta rejsillarkantaj, chaypi achqha cuti Jesús discipuloncunawan tantacoj caskanraycu. 
JHN.18.3	Ajinapi Judaska chayamorkan soldadocunawan, sacerdotecunapaj jefencunawan, fariseocunapaj cachaskan templo guardiajcunapiwan. Armaska cachcarkancu, c'anchaycunata c'aspipi nina lauray jap'ichiskacunatawan apariska. 
JHN.18.4	Jesús yacharkanña tucuy ima pasananta. Paycunata taripamuspa, taporkan:
JHN.18.4	—¿Pitataj masc'anquichis?
JHN.18.5	Paycunataj contestarkancu:
JHN.18.5	—Nazaret llajtayoj Jesusta.
JHN.18.5	Jesustaj nerkan:
JHN.18.5	—Noka cani.
JHN.18.5	Vendiycoj Judastaj chaypi paycunawan cachcarkan. 
JHN.18.6	Jesús “Noka cani” nejtin, khepaman urmararkancu. 
JHN.18.7	Jesús ujtawan taporkan:
JHN.18.7	—¿Pitataj masc'anquichis?
JHN.18.7	Paycunataj nillarkancutaj:
JHN.18.7	—Nazaret llajtayoj Jesusta.
JHN.18.8	Jesús ujtawan nillarkantaj:
JHN.18.8	—Niyquichisña ‘Noka cani’ nispa. Nokata masc'awanquichis chayka, caycunata dejaychis puripojta.
JHN.18.9	Cayka pasarkan Jesús quiquinpaj niskan junt'acunanpaj: “Tatáy, kowaskayquicunamanta mana maykenpas chincanchu” nispa. 
JHN.18.10	Simón Pedro uj espadayoj carkan. Orkhospataj, curaj sacerdotej uywaskanpaj paña lado ninrinta cuchokarkan; sutintaj carkan Malco. 
JHN.18.11	Jesús Pedroman nerkan:
JHN.18.11	—Espadata maychus cananman churapuy. Tataypaj ñac'arina kowaskanta, ¿manachu ñac'arinay?
JHN.18.12	Soldadocuna, capitannincu, templo guardiaj, judiocunapiwan Jesusta jap'ispa, watarkancu. 
JHN.18.13	Ñaupajta Anaspaj wasinman aparkancu, Caifaspaj suegron caskanraycu. Chay watapi Caifás curaj sacerdote cachcarkan. 
JHN.18.14	Cay Caifás quiquin judiocunaman niska: “Kancunapaj allin canman uj runalla llajtaraycu wañunanka” nispa.
JHN.18.15	Simón Pedro waj discipulopiwan Jesuspaj khepanta purerkancu. Chay ujnincajtaj curaj sacerdotepaj rejsiskan carkan. Chayraycu Jesuswan wasinman yaycorkan. 
JHN.18.16	Pedrotaj jawapi quedacorkan puncu kayllapi. Chay ujnin discípulo, curaj sacerdotepaj rejsiskan, llojsimuspa, puncu cuidaj warmiman nerkan, Pedrota pusaycunanpaj. 
JHN.18.17	Chay puncu cuidaj warmitaj Pedrota taporkan:
JHN.18.17	—¿Manachu kanpas chay runapaj ujnin discípulon canqui?
JHN.18.17	Pedrotaj contestarkan:
JHN.18.17	—Mana, mana chaychu cani.
JHN.18.18	Chirejtin, uywaskacuna templo guardiajcunapiwan ninata jap'icherkancu, chaypi k'oñicunancupaj. Pedropas paycunawan cachcallarkantaj, nina kayllapi k'oñicuspa.
JHN.18.19	Curaj sacerdote Jesusta taporkan discipuloncunamanta, yachachiskanmantawan.
JHN.18.20	Jesús nerkan:
JHN.18.20	—Tucuy runacunapaj ñaupakenpi parlarkani. Sinagogacunapi yachachini, templopipas, maypichus tucuy judiocuna tantacuncu chaypi. Ajinaka ni imata pacapichu nini. 
JHN.18.21	¿Imaraycutaj nokata tapuwanqui? Uyariwajcunata tapuy; paycuna nichuncu imata parlaskayta. Paycuna niskayta yachancu.
JHN.18.22	Jesús chayta nejtin, templomanta ujnin guardiaj Jesuspaj uyanpi t'ajllispa, nerkan:
JHN.18.22	—¿Jinatachu curaj sacerdoteta contestanqui?
JHN.18.23	Jesús contestarkan:
JHN.18.23	—Mana allinta nejteyka, niway ari, mayken parlaskaychus mana allin caskanta. Allin cajtintaj, ¿imaraycutaj makawanqui?
JHN.18.24	Anastaj wataskata Jesusta pusachimorkan curaj sacerdote Caifaspaj wasinman.
JHN.18.25	Pedro chayllapipuni cachcarkan, nina kayllapi k'oñicuspa. Taporkancutaj:
JHN.18.25	—¿Manachu kanri chay runapaj ujnin discípulon canqui?
JHN.18.25	Pedrotaj negacorkan, nispa:
JHN.18.25	—Mana, mana chaychu cani.
JHN.18.26	Pedro ninrinta cuchokaskan Malcopaj parienten, curaj sacerdotepaj sirvienten, tapullarkantaj:
JHN.18.26	—¿Manachu kanta huertopi paytawan ricorkayqui?
JHN.18.27	Pedrotaj ujtawan negarkan; chhicapacha gallo wajach'acorkan.
JHN.18.28	Chaymanta Jesusta pusarkancu Caifaspaj wasinmanta Roma gobernaj Pilatopaj palacionman. Sut'iyamuchcaskanraycu judiocuna mana palacioman yaycorkancuchu. Chayman yaycuncuman carkan chayka, limpiochacuna costumbre leyta p'aquincuman carkan, chhicataj Pascua cenata mana miqhuncumanchu carkan. 
JHN.18.29	Chayraycu Pilato llojsispa paycunata taporkan:
JHN.18.29	—¿Imamantataj cay runata juchachanquichis?
JHN.18.30	Paycunataj contestarkancu:
JHN.18.30	—Manachus mana allinta ruwanman chayka, mana kanman pusamuyquichismanchu.
JHN.18.31	Pilatotaj paycunata nerkan:
JHN.18.31	—Kancuna pusacapuychis, juchachamuychis leyniyquichisman jina.
JHN.18.31	Judiocunataj contestarkancu:
JHN.18.31	—Mana pitapas wañuchinaycupajka derechoycu canchu.
JHN.18.32	Ajinata junt'acorkan Jesuspaj niskan imaynata pay wañunanta. 
JHN.18.33	Pilato palacionman cutiycaporkan. Jesusta wajaspataj, taporkan:
JHN.18.33	—¿Kanchu judiocunapaj Reynin canqui?
JHN.18.34	Jesustaj payman nerkan:
JHN.18.34	—¿Kanllamantachu chayta tapuwanqui, icha ujcunachu nokamanta nisunquichis?
JHN.18.35	Pilato contestarkan:
JHN.18.35	—¿Judío runachu cani nokari? Llajtamasiyquicuna sacerdotecunapaj jefencunapiwan nokaman pusamusunquichis. ¿Imatataj ruwarkanqui?
JHN.18.36	Jesús contestarkan:
JHN.18.36	—Gobiernoyka mana cay pachamantachu. Jina canman chayka, sirvejniycunaka makanacuncuman judiocunaman mana entregaska canaypaj. Gobiernoyka mana cay pachamantachu.
JHN.18.37	Chhicari Pilato taporkan:
JHN.18.37	—¿Ajinaka kan reychu canqui?
JHN.18.37	Jesús contestarkan:
JHN.18.37	—Kan ninqui noka rey caskayta. Nokaka nacini, jamunitaj cay pachaman, imachus verdad chayta ninaypaj. Tucuy verdadpi cajcunaka parlaskayta uyarincu.
JHN.18.38	Pilato tapullarkantaj:
JHN.18.38	—¿Imataj verdadri? —nispa.
JHN.18.38	Tapuy pasayta Pilato ujtawan llojserkan judiocunawan parlaj. Nerkantaj:
JHN.18.38	—Ni ima juchata cay runapi tarinichu. 
JHN.18.39	Kancunapaj costumbreyquichis can Pascua fiesta p'unchaypi uj presota cacharinapaj. ¿Munanquichischu judiocunapaj Reynincuta cacharinayta?
JHN.18.40	Tucuynincu wajach'acorkancu:
JHN.18.40	—¡Chaycajtaka ama! ¡Barrabascajta cachariy!
JHN.18.40	Barrabastaj millaycuna ruwaj carkan.
JHN.19.1	Pilatotaj mandarkan Jesusta bajtanancupaj. 
JHN.19.2	Soldadocuna qhichcacunamanta uj coronata ruwaspa, Jesuspaj umanman churaycorkancu. Uj morado katanawantaj churaycorkancu reyta jina. 
JHN.19.3	Payman chimpaycuspa, nerkancu:
JHN.19.3	—¡Causachun, judiocunapaj Reynin! —nispa.
JHN.19.3	Uyapitaj makarkancu.
JHN.19.4	Pilato ujtawan llojsispa, paycunaman nerkan:
JHN.19.4	—Khawariychis, jawaman orkhomuni yachanayquichispaj ni ima juchatapas paypi tariskayta.
JHN.19.5	Jesús llojsimorkan, umanpi qhichca coronayoj, morado katanayojtaj. Pilatotaj nerkan:
JHN.19.5	—¡Cayka chay runaka!
JHN.19.6	Sacerdotecunapaj jefencuna templo guardiajcunapiwan Jesusta ricuytawan wajach'acorkancu nispa:
JHN.19.6	—¡Chacataska cachun! ¡Chacataska cachun!
JHN.19.6	Pilatotaj nerkan:
JHN.19.6	—Kancuna apacapuychis, chacatamuychis. Nokaka mana tarinichu ni ima juchata paypi.
JHN.19.7	Judiocunataj contestarkancu:
JHN.19.7	—Uj leyniycu can, chay leyman jina wañunan, Diospaj Churinmanta pasacuskanraycu.
JHN.19.8	Cayta uyarispa Pilatoka astawan manchacorkan. 
JHN.19.9	Palacionman cutiycuspa, Jesusta taporkan:
JHN.19.9	—¿Kan maymantataj canqui?
JHN.19.9	Jesús mana contestarkanchu ni imata. 
JHN.19.10	Pilato nerkan:
JHN.19.10	—¿Manachu contestawanqui? ¿Manachu yachanqui atiyniyoj caskayta kanta chacatanaypaj, chayri cacharinaypajpas?
JHN.19.11	Jesús contestarkan:
JHN.19.11	—Mana ima atiyniyquipas nokaman canmanchu, Dios mana kosunquimanchu chayka. Chayraycu nokata kanman entregawajcunaka astawan juchayojraj cancu.
JHN.19.12	Chhicamantapacha Pilato Jesusta cachariyta munarkan. Judiocunataj wajach'acorkancu:
JHN.19.12	—¡Cacharinqui chayka, curaj gobernajpaj mana amigonchu canqui! ¡Pillapas reyman tucojka curaj gobernajpaj enemigon!
JHN.19.13	Pilato chayta uyarispa, Jesusta jawaman orkhocherkan. Chaymanta justicia ruwanan sillapi tiyaycorkan, hebreo idiomapi Gabata niska lugarpi. (Niyta munan: “Rumiwan mast'aska.”) 
JHN.19.14	Pascua fiestapaj uj p'unchayllaña cachcajtin, chaupi p'unchay jina, Pilato judiocunaman nerkan:
JHN.19.14	—¡Cayka reyniyquichis!
JHN.19.15	Paycunataj wajach'acorkancu:
JHN.19.15	—¡Wañuchun! ¡Wañuchun! ¡Chacataska cachun!
JHN.19.15	Pilatotaj taporkan:
JHN.19.15	—¿Reyniyquichistachu chacatachisaj?
JHN.19.15	Sacerdotecunapaj jefencuna contestarkancu:
JHN.19.15	—¡Nokaycupajka mana canchu waj rey, Romapi curaj gobernajniycumanta nejtenka!
JHN.19.16	Chhicataj Pilato paycunaman Jesusta entregaporkan chacataska cananpaj. Paycunataj apaporkancu.
JHN.19.17	Jesús cruzninta khewiricuspa llojsiporkan “Calavera” niska lugarman. (Hebreopitaj “Gólgota” niska carkan.) 
JHN.19.18	Chaypi chacataycorkancu iscay runacunatawan cusca, ujta pañanpi, ujtataj llok'enpi. 
JHN.19.19	Pilato Jesuspaj cruznin patapi uj escribiskata churacherkan. Escribiskataj nerkan: “Nazaret llajtayoj Jesús, Judiocunapaj Reynin.” 
JHN.19.20	Achqha judiocuna chay escribiskata leerkancu, llajta kayllapi Jesusta chacataskancuraycu. Chay escribiskataj carkan quimsa idiomapi: hebreopi, latinpi, griegopi ima. 
JHN.19.21	Chayraycu sacerdotecunapaj jefencuna Pilatoman nerkancu:
JHN.19.21	—Ama escribiychu ‘Judiocunapaj Reynin’ nispaka, manachayri ‘Pay nerkan: Judiocunapaj Reynin cani’ nispa.
JHN.19.22	Pilatotaj contestarkan:
JHN.19.22	—Escribiskayka, escribiska canan.
JHN.19.23	Soldadocuna Jesusta chacataycuy pasayta, p'achancunata jap'ispa tawaman parterkancu sapa uj soldadopaj. Túnica niska mana sirayniyoj p'achanta mana lliq'iyta munarkancuchu. 
JHN.19.24	Chayraycu soldadocuna ninacorkancu:
JHN.19.24	—Ama lliq'isunchu, manachayri suerteta khawasun pimanchá tupanka chayta.
JHN.19.24	Ajinapi Escritura niskanka junt'acorkan: “P'achayta partinacuncu, túnica p'achaypitaj suerteta khawancu.” Chayta soldadocuna ruwarkancu.
JHN.19.25	Jesuspaj cruznin kayllapi cachcarkancu maman, mamanpaj ñañan, Cleofaspaj warmin María, María Magdalenapiwan. 
JHN.19.26	Jesús mamanta ricuspa, paywan cusca munaska discipulontawan, mamanman nerkan:
JHN.19.26	—Warmi, chayka churiyqueka.
JHN.19.27	Discipulontataj nerkan:
JHN.19.27	—Chayka mamayqueka.
JHN.19.27	Chhicamantapacha chay discipuloka wasinman pusaporkan.
JHN.19.28	Chay pasayta, Jesús yachaspa tucuy junt'acuskantaña, Escriturapas junt'acunallanpajtaj, nerkan:
JHN.19.28	—Unumanta ch'aquiwan —nispa.
JHN.19.29	Chaypitaj uj p'uyñu cachcarkan, c'allcu vino junt'a. Uj esponjata c'aspiman wataycuspa vinoman chapuycuspataj, siminman churarkancu. 
JHN.19.30	Jesustaj c'allcu vinota ch'umuycorkan. Chaymanta nerkan:
JHN.19.30	—Tucuy ima junt'acunña.
JHN.19.30	Chaypacha c'uñuycuspa, wañuporkan.
JHN.19.31	K'ayantin Pascua p'unchayña caskanraycu judiocuna mana munarkancuchu chacataskacuna cruzpi quedanancuta samana p'unchaypi, paycunapaj athun p'unchay caskanraycu. Chayraycu Pilatomanta mañarkancu mandananpaj chacataska runacunapaj chaquincuta p'aquiramunancupaj, wañuskaña capojtincu cruzmanta apakapunancupaj. 
JHN.19.32	Soldadocuna purispa, ujninpaj chaquincunata p'aquerkancu, ajinallatataj ujnincajtapas, Jesuswan cusca chacataskata. 
JHN.19.33	Jesusman chimpaycuspataj, ricorkancu wañuskaña caskanta. Chayraycu chaquincunata mana p'aquerkancuchu.
JHN.19.34	Chaywanpas ujnin soldado lanzawan Jesuspaj wajtanta allaycorkan. Chaypacha yawar unupiwan jich'acamorkan. 
JHN.19.35	Chayta willajka uj ricoj, willaskantaj verdad; pay yachan verdadta niskanta, kancunapas creenayquichispaj. 
JHN.19.36	Caycunaka pasarkan Escriturapaj niskan junt'acunanpaj: “Mana p'aquincuchu mayken tulluntapas.” 
JHN.19.37	Uj chhicapi Escritura nillantaj: “Khawankacu allaycuskancuta” nispa.
JHN.19.38	Chay pasayta, Arimatea llajtayoj José Pilatomanta mañarkan Jesuspaj cuerponta apacapunanpaj. Josetaj Jesuspi creejcunamanta ujnin carkan, judiocunata manchacuspa pacallapi carkan chaywanpas. Pilatotaj permisota korkan. Josetaj purispa, cuerponta apacaporkan. 
JHN.19.39	Tutapi Jesuswan parlaj purej Nicodemopas chayamullarkantaj, quimsa chunca kilo mirrawan aloewan chhajruskata, sumaj k'apayniyoj perfumeta, apamuspa. 
JHN.19.40	Ajina ari, José Nicodemopiwan Jesuspaj cuerponta apaspa, perfumepi chapuska vendacunawan p'istuycorkancu, judiocunapaj costumbrenman jina wañuskata p'ampanapaj. 
JHN.19.41	Jesusta chacataskancu lugarpi carkan uj huerto. Chay huertopitaj uj mosoj sepultura jutc'uska, manaraj ni pitapas p'ampaskarajchu carkan. 
JHN.19.42	Chaypi Jesuspaj cuerponta churaycorkancu, imaraycuchus sepultura kayllapi cachcarkan, judiocunapaj samana p'unchayninpas kallaricuchcarkanña.
JHN.20.1	Semana kallariy p'unchaypi María Magdalena tutamanta sepulturaman purerkan, tutaraj cachcajtin. Sepultura tapaska rumita tankarpayaskata ricorkan. 
JHN.20.2	Chhicataj phawarkan Simón Pedroman Jesuspaj munaskan discipulonmanpiwan. Nerkantaj:
JHN.20.2	—¡Señorta sepulturamanta apacapuskacu, manataj yachaycuchu maypi churaskancuta!
JHN.20.3	Pedro uj discipulopiwan llojsispa, sepulturaman purerkancu. 
JHN.20.4	Iscaynincu phawachcarkancu. Ujcajtaj phawarkan astawan Pedromanta nejtin. Chayraycu sepulturaman ñaupajta chayarkan. 
JHN.20.5	C'uñuycuspa khawaycorkan, vendacunatataj ricorkan. Manataj yaycorkanchu. 
JHN.20.6	Khepanta Pedro chayaspa, sepulturaman yaycorkan. Vendacunata chaypi ricullarkantaj, 
JHN.20.7	Jesuspaj uman p'istuska pañotawan. Chay pañotaj mana vendacunawan cuscachu cachcarkan, manachayri ch'uwiska waj chhicapi. 
JHN.20.8	Chhicataj ñaupajta sepulturaman chayaj discípulo yaycullarkantaj; chay jinata ricuspa, creerkan. 
JHN.20.9	Jesús causarinanmanta Escriturapaj niskanta manaraj entendiskacuchu. 
JHN.20.10	Chaymanta discipulocuna wasiman cutiporkancu.
JHN.20.11	María sepultura kayllapi wakachcarkan. Ajina wakachcaj, c'uñuycuspa sepultura uqhuta khawaycorkan. 
JHN.20.12	Yuraj p'achayoj iscay angelcunata ricorkan tiyachcajta Jesuspaj cuerpon churaska chhicapi, ujcajta umanejpi, ujcajtataj chaquinejpi. 
JHN.20.13	Angelcunataj taporkan:
JHN.20.13	—Warmi, ¿imaraycutaj wakachcanqui?
JHN.20.13	María nerkan:
JHN.20.13	—Señorniyta apacapuncu, manataj yachanichu maypi churaskancuta.
JHN.20.14	María chayta niytawan, cutirispa Jesusta ricorkan, manataj yacharkanchu pay caskanta. 
JHN.20.15	Jesús payta taporkan:
JHN.20.15	—Warmi, ¿imaraycutaj wakachcanqui? ¿Pitataj masc'anqui?
JHN.20.15	Paytaj huerto cuidaj caskanta pensaspa, nerkan:
JHN.20.15	—Señor, kan apacapunqui chayka, niway maypi churaskayquita, purispa masc'amunaypaj.
JHN.20.16	Chhicataj Jesús nerkan:
JHN.20.16	—¡María!
JHN.20.16	Paytaj cutirispa, hebreo idiomapi nerkan:
JHN.20.16	—¡Rabuni! (Niyta munan: “Yachachej.”)
JHN.20.17	Jesustaj payman nerkan:
JHN.20.17	—Cachariway, manaraj Dios Tatayman purinichu. Puriy, waukeycunaman willamuy tantacoj puriskayta Tataywan Tatayquichiswan, Diosniywan Diosniyquichiswan.
JHN.20.18	María Magdalenataj purispa discipuloncunaman willarkan Señorta ricuskanta, payman niskantapiwan.
JHN.20.19	Chay quiquin semana kallariy p'unchay tutayajtinña, judiocunamanta manchacuspa discipuloncuna puncu wisk'aska uqhupi tantacorkancu. Jesustaj yaycuspa discipuloncuna chaupinpi sayaycuspa, saludarkan nispa:
JHN.20.19	—¡Sonko tiyaycuy kancunaman!
JHN.20.20	Cayta nispa, maquincunata wajtantawan ricuchicorkan. Paycunataj Señorta ricuspa, cusicorkancu. 
JHN.20.21	Ujtawan Jesús nillarkantaj:
JHN.20.21	—¡Sonko tiyaycuy kancunaman! Imaynatachus Tatay nokata cachamuwan, jinallatataj noka kancunata cachayquichis.
JHN.20.22	Chayta nispa, paycunaman phucuspa nerkan:
JHN.20.22	—Santo Espirituta jap'ekaychis. 
JHN.20.23	Juchancuta perdonaskayquichiska perdonaska canka, mana perdonaskayquichistaj mana perdonaskachu canka.
JHN.20.24	Chunca iscayniyoj discipuloncunamanta ujnin Tomás carkan, Mellizo niska. Jesús riqhurejtin, mana waj discipulocunawanchu cachcarkan. 
JHN.20.25	Discipulocuna payman nerkancu:
JHN.20.25	—Ricuycu Señorta —nispa.
JHN.20.25	Tomastaj contestarkan:
JHN.20.25	—Manachus maquincunapi clavocunapaj jutc'uskanta ricusaj, nitaj chaycunaman dedoyta churaycusajchu, nillataj wajtan jutc'uskaman maquiyta churaycusajchu chayka, mana creeymanchu.
JHN.20.26	Pusaj p'unchay pasaymanta discipulocuna ujtawan wasipi tantacuskacu. Cunancajka Tomaspas chaypi cachcarkan puncu wisk'aska uqhupi. Jesustaj chaupincupi sayaycuspa, saludarkan nispa:
JHN.20.26	—¡Sonko tiyaycuy kancunaman!
JHN.20.27	Tomastataj nerkan:
JHN.20.27	—Dedoyquita cayman churaycuy. Maquiycunata khawariy. Maquiyquita apamuy, wajtaymantaj churaycuy. ¡Ama mana creej caychu, manachayri creej cay!
JHN.20.28	Tomastaj nerkan:
JHN.20.28	—¡Señorníy, Diosníy! —nispa.
JHN.20.29	Jesús payman nerkan:
JHN.20.29	—Creenqui ricuwaskayquiraycu. ¡Cusicuyniyojmi cankacu mana ricuwaspa creejcunaka!
JHN.20.30	Jesús achqha waj milagrocunata ruwarkan discipuloncunapaj ñaupakenpi. Mana lliujchu escribiska cay libropi, 
JHN.20.31	caycuna escribiska cajcunataj kancuna creenayquichispaj Jesús Cristo caskanta, Diospaj Churin caskantapiwan, paypi creespataj salvación causayniyoj canayquichispaj.
JHN.21.1	Chaymanta Tiberias kocha cantopi Jesús discipuloncunaman ujtawan riqhurerkan. Cay jinata pasarkan: 
JHN.21.2	Junto cachcarkancu Simón Pedro, Mellizo niska Tomás, Galileapi caj Caná llajtamanta Natanael, Zebedeopaj churincuna, Jesuspaj iscay waj discipuloncunapiwan. 
JHN.21.3	Simón Pedro paycunata nerkan:
JHN.21.3	—Challwa jap'ej purisaj.
JHN.21.3	Paycunataj contestarkancu:
JHN.21.3	—Nokaycupas kanwan purisajcu.
JHN.21.3	Purerkancutaj uj botepi. Chay tuta entero mana ni ima challwata jap'erkancuchu. 
JHN.21.4	Pakariyamuchcaytaña Jesús kocha cantopi riqhurerkan. Discipuloncunataj mana yacharkancuchu pay caskanta. 
JHN.21.5	Jesús paycunata taporkan:
JHN.21.5	—Waynacuna, ¿manachu ni ima challwata jap'inquichis?
JHN.21.5	Paycunataj contestarkancu:
JHN.21.5	—Mana —nispa.
JHN.21.6	Jesús nillarkantaj:
JHN.21.6	—Llicata botepaj pañannejman wijch'uycuychis, jap'inquichistaj.
JHN.21.6	Ajinata ruwarkancu. Chaymantataj achqha challwayoj caskanraycu llicata mana orkhoyta aterkancuchu. 
JHN.21.7	Jesuspaj munaskan discípulo Pedroman nerkan:
JHN.21.7	—¡Cayka Señor! —nispa.
JHN.21.7	Simón Pedrotaj Señor caskanta uyariytawan, p'achanta churaycucorkan, imaraycuchus mana p'achayoj cachcarkan. Chaymanta unuman wijch'uycucorkan. 
JHN.21.8	Waquin discipulocuna playaman boteta orkhorkancu, junt'a challwayoj llicata katatispa. Kocha cantoman pachaj metro jina carkan. 
JHN.21.9	Botemanta playaman urakaspataj, nina sansa patapi uj challwata t'antatawan tariparkancu. 
JHN.21.10	Jesús paycunata nerkan:
JHN.21.10	—Apamuychis waquin jap'iskayquichis challwacunata.
JHN.21.11	Simón Pedro boteman yaycuspa, llicata jap'ispa, kataterkan playaman. Llicataj junt'a athuchaj challwacunayoj carkan, pachaj phichka chunca quimsayoj challwacuna. Achqha carkan, chaywanpas llicaka mana lliq'icorkanchu. 
JHN.21.12	Jesús paycunaman nerkan:
JHN.21.12	—Jamuychis, miqhusunchis.
JHN.21.12	Manataj maykennincupas pi caskanta tapuyta atrevicorkancuchu, imaraycuchus yacharkancu Señor caskanta. 
JHN.21.13	Jesustaj paycunaman chimpaycuspa, t'antata jap'ispa korkan, ajinallatataj challwatapas.
JHN.21.14	Caywanka quimsa cutiña carkan Jesús causariskan pasayta discipuloncunawan ricuchicuskanka.
JHN.21.15	Miqhuy pasayta, Jesús Simón Pedrota taporkan:
JHN.21.15	—Simón, Juanpaj churin, ¿astawanchu munacuwanqui caycunamanta nejtin?
JHN.21.15	Pedro contestarkan:
JHN.21.15	—Arí, Señor, kan yachanqui kanta munacuskayta.
JHN.21.15	Jesustaj nerkan:
JHN.21.15	—Ovejaycunata michipuway.
JHN.21.16	Jesús ujtawan tapullarkantaj:
JHN.21.16	—Simón, Juanpaj churin, ¿munacuwanquichu?
JHN.21.16	Pedrotaj contestarkan:
JHN.21.16	—Arí, Señor, kan yachanqui kanta munacuskayta.
JHN.21.16	Jesús payta nerkan:
JHN.21.16	—Ovejaycunata michipuway.
JHN.21.17	Quimsacaj cutipi tapullarkantaj:
JHN.21.17	—Simón, Juanpaj churin, ¿munacuwanquichu?
JHN.21.17	Quimsa cuticama “¿Munacuwanquichu?” nispa tapuskanmanta, Pedro llaquiska contestarkan:
JHN.21.17	—Señor, kan tucuy imata yachanqui, kan yachanqui kanta munacuskayta.
JHN.21.17	Jesús nillarkantaj:
JHN.21.17	—Ovejaycunata michipuway. 
JHN.21.18	Segurayqui, waynallaraj cachcaspaka, p'achayquita churaycucuspa may munaskayquita purej canqui. Machuña caspataj maquiyquicunata okharinqui. Wajtaj p'achaycusunqui, apasunquitaj mana puriy munaskayquiman.
JHN.21.19	Cayta nispataj, Jesús entendicherkan imaynatachus Pedro wañunanta, wañuynintaj Diosta honrananta. Chay pasaymanta nerkan:
JHN.21.19	—¡Nokawan puriy! —nispa.
JHN.21.20	Pedro cutirispa ricorkan Jesuspaj sinchi munaskan discípulo khepancuta jamuchcaskanta. Chay quiquin discípulo Pascua cenapi Jesuspaj ladonpi cachcaspa tapuska: “Señor, ¿pitaj vendiycusunqui?”, nispa. 
JHN.21.21	Pedro payta ricuspa, Jesusta taporkan:
JHN.21.21	—Señor, ¿caytari imataj pasanka?
JHN.21.22	Jesús contestarkan:
