LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.8.12	Yugki kawoso tä akäsogkang sag näs känggi dänge nga na zeppe tetexang, na Däniye wunodung bate nga tä mäganyga ndey ndakä men ngakä Kaläg ndä 'dox xonyad. 
LUK.8.13	Yugki kawosasa tä cobocoboriccang sag näs känggi dänge nga na bate na led, ndä mäxkanatäng song. Mene käccogos, ndä ngaka bedeccä kawunong na zalbangada. 
LUK.8.14	Mändey yugki kawosasa tä warä kunyuwang, sag näs känggi dänge nga ndä kä'docco tunyang 'doxada ngakä kanyakanyanä cabär na ngakä Kalägi samenang 'dongatasa song. 
LUK.8.15	Yä yugki kawosasa tä zägki apoccu ndä loccong, sag näs känggi dänge nga na mene pädäte tä mäganyganagi bowinyang na tegetese sogo yugic.
LUK.8.16	“Kigkandäng banye masäracane ndä xubu song na suxuludi tä boxu salany song. Basa bokasa tä zä tumu ndey känggi luso axang ox owda bow. 
LUK.8.17	'Dogi kabodwang paredäwa tunyu na 'dogi ka'danywang wedäwa tunyu tä owda bow. 
LUK.8.18	Ndelde wunggugo appoyo. Käxa 'doge tängang säposo täng, ndä käxa oxo ka 'doge täng yä wundungang, säbate täng.”
LUK.8.19	Enggä bonggu Yasuwanag na bosa kawuno täma, ndä kä'docco täma ngäte song xa xä'dä käsekä sa. 
LUK.8.20	Na saläpe täma ka, “Enggä bonggugo na bonggo satäng tunyu paye zay gi.” 
LUK.8.21	Na mägämeley täsa ka, “Ngganang na enggä bonggusko sag näs känggi dänge ngakä Kaläg na wexeng.”
LUK.8.22	Xongenendäng Yasuwa kä'doc tä kaxsä dämpejig na menggä räbke na mängade täsa ka, “Nycugo agali andi tagä colonggo.” Na sägä'docco tunyu. 
LUK.8.23	Ani säwadaccanäs na dämpejigkang Yasuwa kasändä. Na megede kasagesäng tädäxtiny täsa tä colonggo na dämpejig soro päsed na ma, ndä paye mäxasa tä ma nasa. 
LUK.8.24	Na sägänoxsas ma sängadeccä täma ka, “Bazuwec, bazuwec, kogkatäng täzänggä xäs!” Na mägoxsa na madux megede, na dampajeygä ma kädokalasa na kasebesäno.
LUK.8.25	Na mängade täsa ka, “Wi siye anggo menedeng ngakang songang?” Na nyigadäg kamen sa na sägäsaydä agäsa na samänäno ka, “Xänanang kanang? Rejede megede na ma na dänge ngakeneng!”
LUK.8.26	Yasuwa na menggä räbke käca'dä ma na dämpejig kä'docco tä cabärä Gäresa tä xining tagä Calil. 
LUK.8.27	Ani Yasuwa kebesanäs exene tä ndandangang, 'doxtiyandäng näs me nya cabäri käpasa täma kängga tasinyatäng tä wane. Ndä kaleygädä kälagä tandä song ndä uccu tä pa song basa tä warä morota.
LUK.8.28	Na mägox Yasuwa na mapere, madeläng täzäg tagä Yasuwa na mägädawa paccey ka, “Oxadi tägog tä pidi naging Yasuwa, Päxä Kalägi Tiyating! Kanyixay gi ka ndakä nycälixti agä!” 
LUK.8.29	Mängade tä Yasuwa mänang xa Yasuwa kadux käxa tasti tä wanämang ka wetä tunyu tä wanäma. Ndä nyacotädasa ma taxä mange, ndä kän cäkili exenggäma na asänggäma na kacägaliny ndä meske ma. Neng mä'dexe ndä käxa tasti tä wanämang koyadas ma tä owda kaculdoy.
LUK.8.30	Yasuwa kamän ma ka, “Säbängäs gi xäng?” Na mängade ka, “Säbangäs agä Katiba” xa kängga tasiny mangeccä tä wanäma. 
LUK.8.31	Na kängga tasiny käpaydä ta Yasuwa ka ndakä yaxsas sa tä owdi sägäpätäsuno tängang.
LUK.8.32	Ndä buduruginyatäng mange siyacca tiyati tä päxä cobocoboric na kängga tasiny käpay Yasuwa ka mädokas sa tä wadäkä buduruginy ndey ka sä'docco nang na mägä'dakas sa täng. 
LUK.8.33	Na kängga tasiny kawetäcco täwang apangzi kä'docco tä buduruginygi mangeng, na kasog buduruginy kawu'daka colonggo kamäxasa tä zäg. 
LUK.8.34	Menggä megäskä buduruginy kox 'dogi kasogkuwang na koyo kawasesäning kä'docco käduwaley tä kaxsä pa na tä enggä cabärta.
LUK.8.35	Na kän kawetäcco paye zay 'dogi kasogkuwang, na sawuno ta Yasuwa. Sa'doxa nya apangzi kängga tasiny kawetäcco tä waneneng, ze kalay appoyo, kälagäwa na tandu na kä'doc käcca tä warä exenggä Yasuwa na kän kalaye nyägadiny. 
LUK.8.36	Känggi kox 'dogi kasogkuwang ta apangzi kängga tasiny kawetäcco tä waneneng, kaläpe tä känggi kox songang.
LUK.8.37	Na kala menggä Gäresa kä'day na känggi kakukury cabär kä'dayang käpay Yasuwa ka 'doc wangasa sa xa nyigatäg kadele sa. Na Yasuwa ka'deg dämpejigse ka 'doco, 
LUK.8.38	na nya apangzi mägäcay kängga tasiny tängang käpay ka sä'docco nang, neng Yasuwa kayaxsas ma tä pa. 
LUK.8.39	Läpede täma ka, “Mele wede tä panägo na pari ngaki Kaläg kasog täging.” Na mägä'doc mägäduwaley tä kaxsä pa tä 'dogi Yasuwa kasog tämang.
LUK.8.40	Yasuwa kämel tä Calil na xä'dä käpaxas ma xa satäng tä benggä ma. 
LUK.8.41	Ndä apangandäng säbangäs Yayurus näs ngondow kamen axä paliccä Yaxudiny kä'doc kudukurusa tä warä exenggä Yasuwa, käpay ma ka sä'docco nang tä pane, 
LUK.8.42	xa penämandäng nuxung layis päxä ux jendägke asiny wang pädax paye äxsä.
LUK.8.42	Yasuwa kamen akäsog, na xä'dä kagur ma de bungu ma. 
LUK.8.43	Ndä uxandäng tä warä xä'dä tamicce colowa tä jendägka asiny wang pädax ndä käxa däxändäng song. 
LUK.8.44	Cawung tä ongu Yasuwa ndä cäpärä munu tandänäma, na tetex waxäd kädokalasa.
LUK.8.45	Na Yasuwa kamänze ka, “Xänang käpärä agäng?” Na kän kä'day kagil, na Putros kabuc ta Yasuwa ka, “Bazuwec, xä'dänong kä'day kagur gi ndä bungu gi!” 
LUK.8.46	Neng Yasuwa ngade ka, “Agä kabäle ka kigkandäng käpärä agä xa panggudug kawetäcce tä wanang.”
LUK.8.47	Na ce uxi cabäle ka cä'danyewa song na caparängwa tunyu na cawung cädätägä cadeläng ta agäma. Na caläpe 'dogi kasog cägäpärä Yasuwang na däxki tetex kasoguno täceng tagä xä'däni kä'day. 
LUK.8.48	Na Yasuwa ngade täce ka, “Penang, menekä ngakägi tagä känay gi. Wede na modey.”
LUK.8.49	Ani musku mälegeccenäsang, nuxu kigkandäng käpätäng pang Yayurus kawung ngade ta Yayurus ka, “Päxä penägi käxsä, wanga dereygä me bäldic winy.” 
LUK.8.50	Yasuwa kädäng ngaki na maläpe ta Yayurus ka, “Wanga kärekä nga, yä mene ngakang winy, xa coxsada.”
LUK.8.51	Ani Yasuwa käcogus pang Yayurusang, mawang kän kaläs ax nama song basa Putros, Yoxana, Yaxup, Yayurus na uxe.
LUK.8.52	Na'anggäsagi tä pang ngeyigkang sängeccä na sägunuccu tä ngakä ce, neng Yasuwa kawung ngade täsa ka, “Wanga ngeyig xa cägäxsä song casändä winy.” 
LUK.8.53	Na sagug ma, xa säyex beyin ka cägäxsä.
LUK.8.54	Na Yasuwa kamen andäce na ngade täce ka, “Päxä ux, ngäsa tiyati.” 
LUK.8.55	Na ronguccäce kämel, na tetex cangäsa. Na maläpe täsa ka sädoga nuxu 'dog täce cäsi. 
LUK.8.56	Menggäsa kädongo tä ngaki mänang. Na mägä'dedeyza ka ndakä säläpe 'dogi kasogkuwang tä nuxu kig.
LUK.9.1	Yasuwa kuduri känggi mägäligä asiny wang pädaxang, na madoga panggudug täng kä'dayga na butug ndey layenäs kängga makadas kängga tasiny tunyu na däxi kän 
LUK.9.2	na mayaxsa sa ndey ka säduwaley bugundugku Kaläg na sädäxä känggi täxäccäng. 
LUK.9.3	Mäläpede täsa ka, “Ndakä seley bagang nuxu 'dog nanggo tä wedäg song, kala keced na 'dogu pokakä tandu, na siyad na ariyaliny, na ndakä bagang tandu nanggo. 
LUK.9.4	Ndä pani käläsangang, nycicci täng basa xongondi wangetäsänang kaxsä pa tängang. 
LUK.9.5	Kaxsä pana känoccang täng kängge kabokasa anggo songang, ndä mpadang wangesänang kaxsä pang, 'diskisining käräptänicci ta exenggägong ndey layis ngakä ngastänggäsa ka känoccang ndä sagixi yaxsuwiccä Kaläg song.” 
LUK.9.6	Na samen sog sägä'docco sadus kaxsä pa säduwale yaxsäwecci apo lege ngakä Kalägkang na sädäxä kän tä ota bägälic.
LUK.9.7	Buguning Xirudus kädäng ngaki kä'day kasogäningang tä wexekä Yasuwang, na zäma kaxsäwa paccey xa kulung kän ngadeccä ka käxong kanang ndakä layis Yoxana me Pac kangäsa tä xäs, 
LUK.9.8	ndä kulung kän ngadeccä ka acaka layis me logey Iliya nyaza kaparaswa täsa. Ndä musku kulung kän lege ka mänang nuxu me logeyga waneng kangäsa. 
LUK.9.9	Xirudus ngade ka, “Kaluwi zä Yoxana tä pox yä mändey xänanang kalugsi sälege ngakeneng?” Na Xirudus kasäkesawa paye ox Yasuwa.
LUK.9.10	Känggi Yasuwa kälägäng kämele, na saläpe ngaki kä'day sawexang ta Yasuwa. Na mabag sa sägä'docco sapälesäning säpaxadas bo pana säbangäs Petsayida. 
LUK.9.11	Neng xä'dä kapungung owduma na käräbkädä ma. Na mabokasa sa ndä mälegey sa na ngakä butugku Kaläg na mägädäxä känggi paye däxang.
LUK.9.12	Xong paye 'däng, na känggi mägälägä asiny wang pädaxang kawuno ngadeccä täma ka, “ 'Daki xä'dänong, ndey 'docco täwang kaxsä pa ndey 'dox owdu säng na siyad, xa kogkatäng tä owda kaculdoy.” 
LUK.9.13	Neng Yasuwa kämeley täsa ka, “Anggo dogi siyad täsa.” Na sabuc täma ka, “Siyatatäng layis käka kätäx song basa raxifiny mädäg na as pädax tol. Basa anoccig anganyig siyad tä känggong kä'dayakang.” 
LUK.9.14	Sangad ngakong xa apanginyatäng päsäciny mädäg (5,000) tä warä xä'dä. Na Yasuwa läpede tä menggä räbke ka, “Wanga sa säccasäno tä ud taxä udiny pädax wang asiny (50).” 
LUK.9.15	Na sasog kala ngaki maläpasang. Na kän kä'day käcasäng täzäg.
LUK.9.16	Na mabag raxifinygi mädägkang na aski pädaxang na mägäsa tiyati na malog Kaläg ndä mälarä siyad mädoga ta menggä räbkäma ka sälarta tä xä'dä. 
LUK.9.17	Kä'daygäsa sasiza samasa, na ani kalayang sanyaptä landa asiny wang pädax.
LUK.9.18	Xongenendäng Yasuwa kangäsa kä'doc palacca watägke, ndä menggä räbkämatäng nama na mamän sa ka, “Kän ngadeccä ka agä anäs xäng?” 
LUK.9.19	Na sa sabuc täma ka, “Näs Yoxana me Pac, kulung kän ngadeccä ka me logey Iliya, na musku kulung kän ngadeccä ka nuxus menggä logeygi wane käxseng nuxungang kangäsa.” 
LUK.9.20	Na mängade täsa ka, “Yä anggo ngadaccang ka agä anäs xäng?” Na Putros kabuc ka, “Almasini Kaläg kayaxsängang.” 
LUK.9.21	Na madästä sa seley ka ndakä säläpe tä nuxu kig song, 
LUK.9.22	mängade ka, “Agä, Päxä Käxa Jul anycäläxtiwa tä nga mange, ndä ngondowiny na bazuwinygä tämed tä Kaläg na menggä lelericcä asiriyenä Musa pexke agä, na säpaxe agä ndä tä sängga kodos angäsata tä xäs.”
LUK.9.23	Yasuwa ngade tä kän kä'day ka, “Käxi paye ndey layis me räbkangang basa 'diya ngakä ngase ndä poko kalic todotol na räbkädä bangang. 
LUK.9.24	Xa käxi paye ka xony rongicce täzäg tä ngakä ngaseneng, mesede yä käxi paye mese rongicce täzäg tä ngakangang 'doxo aygä lili. 
LUK.9.25	Oxadi kig 'doxo tä bangä tangandäg tä walangic kä'day yä edekeny mese rongicceneng? 
LUK.9.26	Käxa ze maye tä agä na tä legeygangang, Agä, Päxä Käxa Jul alayis käxa ze maye täng tä xongondi awunodung täng tä xongondu dädäxticcang na tä dädäxticcä Appa na malayikadagi tedelinyang. 
LUK.9.27	Ndä gang seley aläpedäng tanggo ka, kulung känatäng tä warägo äxseccä song basa ox bugundugku Kaläg.”
LUK.9.28	Yasuwa käbäldeyze ndä mäsäng tespedespe, na mabag Putros na Yoxana na Yaxup sägä'docco tä zä cabär tä paley. 
LUK.9.29	Yasuwa palacca na toccäma kalay caka na tanduguma wuxeccä, ndä dulatulajeccä bowiny. 
LUK.9.30	Na apangas pädax kaweyesäno kadeb legey nama, apangaskenegi menggä logeyag, Musang na Iliya. 
LUK.9.31	Sägaleza na tädäxtic dulatulaje na salegeyze na Yasuwa tä ngakä melgäma tiyati ka mä'doc tä Ursalim ndey ngaki Kaläg kangatang 'desesäning täng.
LUK.9.32	Ndä Putros na känggi nangang kasändäcco, na sägoxsasa na agäsa käyer na sägox tädäxticcäma na apanginy pädax dokoloccu nama. 
LUK.9.33	Na apanginygi pädaxang kamen sog, na Putros ngade ta Yasuwa ka, “Bazuwec, wunakog todong apoccu. Nycugo abola telegudi kodos, nuxu tägi, nuxu ta me logey Musa na nuxu ta me logey Iliya.” Xa mabäle 'dogi mälegeng song.
LUK.9.34	Ani mälegeyis ngakongang timinggaric kawung kaxub sa, na salaye sänyigadiny. 
LUK.9.35	Na sägädäng ngasäwan tä kaxsä timinggaric ka, “Päxä penanggong nyang kaderesang, ndänge ngake!” 
LUK.9.36	Ani ngasäwan kalegezenäsang, Yasuwa ka'doxuwa watäke. Na sägämolosäning saläja 'dogi sägoxang tä nuxu kig song basa xongonda caka.
LUK.9.37	Edekenydeneni sacoccoleza na zä cabär na xä'dä käpasasa täma. 
LUK.9.38	Na nuxu apangandäng tä warä xä'dä kabandäsa ka, “Me bäldic, kanyäxay gi ka xony penang xa nyang nuxu tagä tolang! 
LUK.9.39	Ligida tas teldedes ma na sogo ma mädawe ndä nyäpapaxe ma na sogo guxudunic päkädäng ikäma ndä wange ma mänungu song, cäläxti ma nano. 
LUK.9.40	Ndä kampay tä menggä räbkägi ka cay ligida tas tä wanäma ndä kadeges sa.”
LUK.9.41	Na Yasuwa kabuc ka, “Anggo menggä zong menekä ngakägo bedeccä ndä näsang menggä sogo ngaka tasiny! Alayde nanggo ka'das wi dexä ampanye ngakägong? Koying päxä penägi todong.”
LUK.9.42	Sagoying päxä pipi ngäte ta Yasuwa na ligida tas kacodasa pipi täzäg pappaxe. Na Yasuwa kadux ligida tas, na kala Yasuwa känay päxä pipi na kämeles ta mena. 
LUK.9.43	Na todi kän kädongo tä panggudugku Kalägi mänangang.
LUK.9.43	Na todi xä'dä kä'day käledäning tä 'dogi Yasuwa wexeng, na Yasuwa ngade tä menggä räbke ka, 
LUK.9.44	“Mene legeygong tä mäganygägo, xa agä Päxä Käxa Jul sä'doc sämenedes agä ta asänggä menggä kurang.” 
LUK.9.45	Ndä sa sabäle legeygi malegeyag song, xa bange ka'danywa täsa ndey ka ndakä säbäle. Ndä sänyigate mänekä ma tä legeygi mägälajängang.
LUK.9.46	Na kala matakä nga kadebäning tä warä menggä räbkä Yasuwa ka xänang täsa ngake tädäxiny mo'do acängganang. 
LUK.9.47	Neng Yasuwa kabäle ngaki sabokasa tä mäganygäsa, na mabag päxä pipi mägätokalasa tä wanäma. 
LUK.9.48	Na malegeyze täsa ka, “Käxi paye päxä päxkunong na agangang, paye agä. Ndä käxi paye agäng, paye Kalägi kayaxsä agäng. Xa käxi biyey tä warägo kä'daygägong, nyang ngake tädäxiny mo'do acängganang.”
LUK.9.49	Yoxana kabuc ta Yasuwa ka, “Bazuwec, ka'doxig nuxu kigkandäng caye kängga tasiny tä wadäkä kän na agägi, ndä wa kampayedig ka andokoleyig ma xa mäs me räb na was song.” 
LUK.9.50	Neng Yasuwa ngade täma ka, “Wanga dokoleygä ma, xa käxi näs me kurog säxongang biskonogkang.”
LUK.9.51	Sänggä Yasuwa kalaye bälaxiny ndey ka Kaläg bag ma tiyati, na mägädiri Ursalim. 
LUK.9.52	Na todi Yasuwa kayaxsa menggä yaxsäwec kapäccasa tagäma, na sägäcogä ow, na saläs kaxsä pang menggä Samriya ndey säbolasa ow täma. 
LUK.9.53	Neng menggä kaxsä pa kabäle ka Yasuwa 'do tä Ursalim, na sägäsekä ma.
LUK.9.54	Ani Yaxup na Yoxana menggä räbkä Yasuwa koxäs mänangang, sängadeccä ka, “Bazuwec, mpaye was abandig masä Kaläg täzä koxa ndey tuny nycokong kä'day?” 
LUK.9.55	Neng Yasuwa kawexeswa täsa na kadux sa, 
LUK.9.56	na sawetädese tä kaxsä pana caka.
LUK.9.57	Tä zänggä wedäkäsa ta akäsog, nuxu accäsa kangad täma ka, “Agä a'dorto banggi todi noco tängang.” 
LUK.9.58	Na Yasuwa ngade täma ka, “Atorndoru axinygä kudufuganatäng na awiny axinyganatäng, yä agänang Päxä Käxa Jul panangandäng song.”
LUK.9.59	Mändey Yasuwa ngade tä nuxu accäsa ka, “ 'Dorkäda agä.” Neng kämeley täma ka, “Bazuwec, wanga agä accig anoc abosu appanang.” 
LUK.9.60	Neng Yasuwa ngade täma ka, “Wanga känggi käxseng bosu kängganagi käxseng, yä gi wede duwala bugundugku Kaläg.”
LUK.9.61	Na nuxu accäsa kasan ngade ka, “Agänang a'dorto gi, Bazuwec, neng bende agä accigäne anoc angada tä menggä panang.” 
LUK.9.62	Na Yasuwa ngade täma ka, “Käxa seley danada ande tä sicci ndä gawada ze tongang kädäppa bugundugku Kaläg song.”
LUK.10.1	Yasuwa kayaxsa menggä räbke udiny kodos wang asiny wang pädax (72) ka päccasa pädapädax tagäma tä bonggu padäg na tä otagi kä'day ma Yasuwa mäpaye mä'doc tängang. 
LUK.10.2	Mängade täsa ka, “Jeded mangeccä yä wadi menggä wexed bälaxiny. Neng gang mäne Bazuweccä jeded ndey yaxsäng menggä wexed tä jeded.
LUK.10.3	“Wesi! Ayaxsadas anggo tunyu ka'das sagunuga luluduwiny käraka tä pidi. 
LUK.10.4	Ndakä bagang ariyaliny mange, na mändey meldänä wedäg, na 'dataginy axinyga pädax, na ndakä galedetäsänang tä kän ta akäsog song.
LUK.10.5	“Känoxang käläsang pang, päcci ngada ka, ‘Wanga modeygä Kaläg laye tä panong!’ 
LUK.10.6	Ndä käxa mägaxse paye modey tä owdiyang, modey layeccä täng, yä wundungang modeygägo layeccä täsa song. 
LUK.10.7	Nycicci tä nya pani ziya na wuxi siyaki sadogung tanggong, xa me wexed kädäppa ka sädoga dericce. Wanga 'däla'dälangey tä padäg winy.
LUK.10.8	“Känoxang käläsang bo pang, ndä kän kabokasa anggong, ziya 'dogi säguxis anggo nangang. 
LUK.10.9	Ndäxi känggi täxäccä tä cabärang na lapi täsa ka, ‘Bugundugku Kalägkatäng nanggo!’
LUK.10.10	“Yä käläsang bo pa ndä kängge kabokasa anggo songang, wesi tä akänggä sota na ngada ka, 
LUK.10.11	‘Käräptäniccä bo panägonong ta exenggäskong a'diskidinig tanggo ndey layis ngakä ngastänggägo ndä bäli ngakong ka, Bugundugku Kaläg kala kawuno ngäte.’ 
LUK.10.12	Ndä ndänge, xa tä sanydä ow, ngakong layeccä tasiny täsa mo'do aki kasoguning tä Sudumang!
LUK.10.13	“Woyoy tä menggä pang Korusin! Woyoy tä menggä pang Petsayida! Xa kä'dang weränicci kasoguning tanggo sogkuwa tä Taya na Sayidunang kax sägämele mäganygäsa tä ngaka tasiny wane, säccatetäsäng tä atilisiny, säbugu zänggäsa na uskuc na saxse mäganygäsa. 
LUK.10.14	Neng xongondi xukumzä Kaläg wunodung tängang, nga layeccä bedeccä tanggo paccey 'diti aki tä Taya na Sayidunang! 
LUK.10.15	Ndä anggo menggä Kafärnaxum, anggo noxadang ka edekeny Kaläg dädäxti anggo tiyati? A'a! Wadi kala sägawadas anggo tä mas!
LUK.10.16	“Käxa kädäng ngakägong kädäng ngakang, yä käxa käpexkä anggong käpexkä agä ndä käxa käpexkä agäng käpexkä Kalägi kayaxsä agäng.”
LUK.10.17	Kala menggä räbki udiny kodos wang asiny wang pädaxang (72) kämele na led, ngadeccä ta Yasuwa ka, “Bazuwec, mändey kängga tasiny kädängäng nga täwas na agägi!” 
LUK.10.18	Na kala Yasuwa ngade täsa ka, “Agä kanox Däniye käpätäng zä koxa kadeläng kala mälamälajegä koxa. 
LUK.10.19	Ndänge, agä kadong panggudug tanggo ndey dereterejeyseng zänggä dolu na dänu na mändey ndey mo'dasang me kurugo Däniye, ndä 'doga siye anggondäng song. 
LUK.10.20	Yä musku, wanga led ka ligitiga tasiny kädängäng nga tanggo, wadi ledäning xa agägo gärekärejesäning tiyati tä pang Kaläg.”
LUK.10.21	Na tänya axä owdi Yasuwa käligäwa na Ligidä Kaläg na mägäledäwa mängade ka, “Agä andädäxti gi Appanang, Bazuweccä tiyati na täzäg, xa gi kä'dany ngakong tä menggä lelertäg na känggi yeräninyang, yä käparäng tunyu ta enggä pipu. E, Appa, xa wanägi tidi täng. 
LUK.10.22	Appananggi tiyating nyang kadong ngakong tagä kä'dayang. Appanangang tol seley yex agäng, Ndä agänangang tol seley ayex Appangang, na mändey känggi agä käpay ka aparas Appanang tängang käcag tol bäledes mang.”
LUK.10.23	Na kala Yasuwa kawexeswa ta menggä räbke kabodsa nang na ngade ka, “Baxändäg tä agäwanggi lale 'dogi anggo zayadangang! 
LUK.10.24	Ndä agä aläpedäng tanggo ka menggä logeygä Kaläg mange na buguninginy käpay ka laley wegkong laladangang ndä kox song, sapaye ka sädäng ngakong ndängedengang ndä sägädäng song.”
LUK.10.25	Xongenendäng, me lelericcä asiriyenä Musa kangäsa paye ka läbä Yasuwa, na ngade täma ka, “Me bäldic, oxadi kädäppa ka asog ndey a'dox aygä liliyang?” 
LUK.10.26	Na Yasuwa ngade täma ka, “Oxadi gärekärejesawa tä asiriyenä Musang? Anggo käbäleng wi tängang?” 
LUK.10.27	Na me lelericcä asiriyenä Musa kabuc ka, “Asiriye ngade ka, ‘Paya Bazuwec Kalägägi na mägaxsägi nuxung, na rongiccägi kä'day, na kutegtägkägi kä'day, na ngakä zägi kä'day’, na ‘paya menggä sogalinygägi kä'day ka'das paygi mpayis ngasäging.’” 
LUK.10.28	Na Yasuwa ngade täma me lelericcä asiriyenä Musa ka, “Gi kubuc ngakong appoyo, soga mänang ndey nay.”
LUK.10.29	Ndä me lelericcä asiriyenä Musa paye bokung ngase tuny, na ngade ta Yasuwa ka, “Xänang näs me sogaldangang?”
LUK.10.30	Na Yasuwa kabuc täma näs legedänic ka, “Apangandäng kacoccoleza tä Ursalim 'docco tä owda säbangäs Arixa, na kadel ta asänggä menggä bärada na kamen ma kawi'd ma, käbadä ma ndä wangasa ma tä enggä xäska bälaxiny.
LUK.10.31	“Na todi me tämed tä Kaläg kälaxäng kacoccoleza na nya akäsogi ma'doxung apangzi menggä bärada käbadäng sängo täzäg na mapopporeza mägälang cengic. 
LUK.10.32	Na mändey me Lawi me posakä me tämed kawung kälaxäng na kox apangzi sängo täzäg na kapopporeza kälang cengic. 
LUK.10.33	Yä me Samriyani näs me pungutang wede kawung tänya owdu 'doxti sägäbadäng na mägox nya 'doxti sängo na agäma kawasa täng.
LUK.10.34	“Na mägä'doc täng masenyndä penduge ndä mädoga mid täng ndä mäbodey ndä mäpoka tä kaccänäma. Magoya taxä aloc ndä mädäxä. 
LUK.10.35	Na edekenydeneni mabag ariyaliny pädax madoga ta me aloc, mängade täng ka, ‘Meskäde 'doxtong appoyo ndä wegki noco wanyäs tämang awunodung ameledäng tägi kä'day.’
LUK.10.36	“Tä känggong kodosakang, xänang kädäppa ka näs me sogal tä 'doxti menggä bärada käbadäng?” 
LUK.10.37	Na me lelericcä asiriyenä Musa ngade ka, “Käxi age kawasa tämang.” Na Yasuwa ngade täma ka, “Neng wede soga ka'das ma mänang.”
LUK.10.38	Yasuwa na menggä räbke wedetese na kala sägä'docco saläsa nuxu kaxsä pa na uxandäng säbangäs Marsa kuxis ma xa mäs palangasic. 
LUK.10.39	Ndä ce Marsa päxä bosandäng säbängäs Mariyom käcca todä exenggä Bazuwec Yasuwa delde wunde tä bäldiccäma. 
LUK.10.40	Yä Marsandäng dalewa tä wexed xa cäpaye cäwex wexed kä'day na cawung ta Yasuwa cängade ka, “Bazuwec, gining seley mpaye ngakang xa'de? Päxäsko kawangäng wexed tagä kä'day. Lapi täce ka cäpos agä.”
LUK.10.41	Na Bazuwec Yasuwa kabuc täce ka, “Marsa, Marsa, gining gäre nga ndä käwoldoxu na'do tä ngakä weg mange. 
LUK.10.42	Wadi 'dogkandäng nuxu payewa. Mariyom kadere ngaki apoccu pacceyang, 'doga bate täcendäng song.”
LUK.11.1	Xongonendäng Yasuwandäng palacca tä owandäng. Mägädokala paley na nuxu me räbkäma ngade täma ka, “Bazuwec, bälde was na paley, kala ani Yoxana käbäldeyis menggä räbkeneng.” 
LUK.11.2	Na Yasuwa läpede tä menggä räbke ka, “Känoxang mpadang palezangang, paleyzi ngada ka,
LUK.11.2	Kaläg, Appani tiyating wanga agägi laye tädäxiny
LUK.11.2	wanga bugundugkägi wuno täwas.
LUK.11.3	Togung zäx täwas todotol,
LUK.11.4	na saxäng ngaka tasinygusko täwas,
LUK.11.4	xa was wasaxedig nga tä känggi sogo ngaka tasiny täwasang.
LUK.11.4	Ndakä wang ngakä längädäsko kawas was tä sogkä ngaka tasiny.”
LUK.11.5	Na Yasuwa läpede täsa ka, “Kädäppa ka nuxu accägo biskonenendäng, ndey 'doc täng tä pälic läpe täng ka, ‘Bisko, bege agä pugandagä zäx kodos, 
LUK.11.6	xa biskonang käpätäng wedäg kawung tä panang, ndä 'doga tä andangandäng song.’ 
LUK.11.7	Ndä biskonäma meley täma ka, ‘Wanga daw tagä. Xa kala kadäränggälisnig na penggang tax kasändäccig. Päx angäsata tiyati adogodung nuxu 'dog tägi song.’ 
LUK.11.8	Agä aläpedäng tanggo ka, kax apang uccu tax na ngäsata togada nuxu 'dog ta biskone xa ka biskoneneng song. Neng apang ngäsata togada 'dogi biskone payeng xa biskone ze kama tä mäneke song.
LUK.11.9	“Aläpedäng tanggo ka, mäne owdu 'dog ndey sädogung tanggo, nyamgäda 'dogi mpadangang ndey 'doxang, dotora sogal ndey sälenge tanggo. 
LUK.11.10	Käxi mänecceng 'doxo 'dogi payeng ndä käxi nyamaccang kaledäng, na käxi totoro sogalang sälengede täng. 
LUK.11.11	Xänang tä warägo näs appa pene kanyixay axsic täng ndä doga dol tängang, yä sax togakä axsic tängang? 
LUK.11.12	Na cong pene kanyixay gäldic täng, ndä toga dän tängang? 
LUK.11.13	Anggogi ndasinyangang yexeng togakä wegka apoccu ta penggägo, neng seley Kaläg, Appani Tiyating togada Ligide tä känggi mäne mang!”
LUK.11.14	Yasuwa käcay käxa tasta kädogosojey apang. Ani käxa tas kawetäsang, apangzi kalayis togojosang kalegese, na xä'dä kädongo. 
LUK.11.15	Na kulung acänggäsa ngadeccä ka, “Yasuwa caye kängga tasiny na panggugu Pelizipul buguningzä kängga tasiny.” 
LUK.11.16	Kulung kän paye läbä ma na ngadeccä ka mäsog bolic pätäng tiyati.
LUK.11.17	Yä Yasuwa kabäle ngaki tä mäganygäsang na mängade täsa ka, “Bugundugka kälartänong wanyetäsäno, ndä caxsäwanda kälaräwang, telgedäng. 
LUK.11.18	“Yä gang butugku Däniye kälaränong, bugundugke dokoloccu key? Agä kamän anggo xa anggo gasedänang ka agä anycaye kängga tasiny na panggugu Pelizipul. 
LUK.11.19	Ndä gang agä anycaye kängga tasiny na panggugu Pelizipulang, anggo menggä räbkägo caye na panggugu wi? Neng mänangang, sa säparedäng anggo tunyu ka nyceluwinyang. 
LUK.11.20	Yä gang agänang anycaye kängga tasiny na andä Kalägkang, mänangang bugundugku Kaläg käcogu anggo.
LUK.11.21	“Apangza pädäg kayiwa na wegkä pogutang meske pane, na ka'däka'dinä pane kä'day. 
