MAT.1.1	SIN AK'SIN Jesus Christ David okkuai' Abraham okkuai' un'ix o sĭnaks' oaiĕxĕsts. 
MAT.9.37	Itŭman'ĭstsiuax otŭsksĭnĭmatsax, akauo'yi insĭn'manĭsts, ki ap'otŭkkix unna'tosĭmiau; 
MAT.9.38	Atsĭm'oiikŭttok ĭnsĭm'manĭsts ĭstsĭn'nau mŏk'itŭpskoŏsax otĭnsĭmmanĭsts apotŭkkix.
MAT.10.1	OTSIPUK'SŬPINNIKŎTŬSAX na'tsikoputtsiau otŭsksĭnĭmatsax, ikotsiu'ax otŭma'sĭnni mŏk'saipiksĭstosauax sauum'itsistaax, ki mok'ŏkuttutsĭsax amian'ĭstokhtokosĭsts ki amian'ĭstatŭnikĕsts. 
MAT.10.2	Na'tsikoputtsixk itokŏt'tsiuax otsĭn'ikŏsoauĕsts am'ostsiaukiĕsts; Matom'itappiu, Simon, mat'anistau Peter, ki Andrew oskŭn: James, Zebedee okku'i ki John oskŭn'; 
MAT.10.3	Philip, ki Bartholemew; Thomas, ki Matthew, annŏk' publicanŏk; James, Alphæus okku'i. Ki Lebbæus, mat'anistau Thaddæus; 
MAT.10.4	Simon, Canaanite; Ki Judas Iscariot annŏk' aien'ŭpanistsiuŏkaie. 
MAT.10.5	Anniks'isk natsikoputsixk Jesus itokŏt'tsiuax ki saiem'iuax ki an'ĭstsiuax, Gentiles oksoku'auĕsts pinitap'pok, ki Samaritans otakap'ioyimoauests pinŭt'sĭtsipik: 
MAT.10.6	Ki Israel oko'au otomŭk'ikĭnaumix ats'ax ĭs'tapuk. 
MAT.10.7	Ki auau'ŏkainoniki sem'okik, ki anik', spots'im ĭstsĭn'naiisĭnni aststsiu'. 
MAT.10.8	Ai'oktokosix kut'tutokau, leperix ĭssin'nomokau, enix' nipua'atsokau, sauum'itsistaawx sai'aipiksĭstokau; Kitsiksist'okoko, ksistoko'tŭkkik. 
MAT.10.9	Gold ki silver ki brass pinitsŭp'pitŭkkik kitsitai'sŭpopumatsopuauĕsts, 
MAT.10.10	Assuia'tsĭman pinots'ik aumatto'ainoainiki, pinots'ikau na'tokaists spĭks'isokŏsĭsts, ki a'tsikists, ki otoats'ists; ap'otŭkkiuã ak'otsĭmaie otso'ŏsĭn. 
MAT.10.11	Annik' akap'ioyĭsk kĭtai'akitsipipika sŭppo'ŏttsesatsĭk annok' oks'apsiuok; ki annim' stau'pik kitsauomai'sŭkskitsĭssuai. 
MAT.10.12	Ki pim'ĭnnoainiki nap'ioyĭs, ksematsĭm'attok. 
MAT.10.13	Ki ŏkhs'issi nap'ioyĭs ŭnnianĭstsito'tos kitsĭn'nŭstseisuauĕsts; ki sauŏkhs'ĭssi ŭnnianĭstsska'atok kitsĭn'nŭstseisuauĕsts. 
MAT.10.14	Ki annŏk' kikŭt'tautokŏk, ki kŭt'tauotsĭmikŏk kitse'poawsĭsts, sŭkskitsĭm'ĭnnoainiki annik' akap'ioyĭsk sostsĭk'asattok. 
MAT.10.15	Kitau'mŭnĭstopuau akŏk'itsĭmaiksĭstsikuĭk Sodom ki Gomorrha ak'skĭtstom annik' akap'ioyĭsk. 
MAT.10.16	Sat'sĭk emŭk'ikĭnax mĭs'tŭpskoawkiapis'ix neto'yik kanĭstsĭs'tŭpskopuau: mokŏk'ik manĭstsokŏkipi pitse'ksĭnax, ki ĭkkĭnaps'ik manĭstĭk'kĭnapspi kŭkku'ix, 
MAT.10.17	Ki ŭsks'kŭmokau matap'pix; kitakaumŭts'kaukoau akŏk'itsĭmani, ki otatoi'apioyimoauĕsts kitakitaipstŭsĭstsipĭs'okoau; 
MAT.10.18	Kinĭn'ax ki omŭx'ĭnax kitakittŭpĭp'iokoai, nĕsto'a kumut'aiakaitŭpipiokoai, kŏkkite'nŭpanĭstosau ki Gentiles. 
MAT.10.19	Ki aumŭts'kaukuĭnnoainiki pinstak kŏkŭnĭstse'puyĭsuai; annik' kitak'okokoau kitai'akanipuai. 
MAT.10.20	Kimats'epuyipuau, Kĭn'oau osta'aw ksĕsto'au itsĭpstai'puyiu. 
MAT.10.21	Ki umu'pappiipi akumŭts'kaiuaie umu'pappiipi mŏks'eĭnsi, ki nĭn' a akumŭts'kaiuaie okku'i; ki pokax aksenŭpanĭstaiau un'oauax ki oksĭs'toauax mŏks'enitŏsauax. 
MAT.10.22	Ki kŏnai' tappix kumut'akaukĭmokoaiau nĕsto'i; ki annŏk' eikak'imauŏk umuts'ipaitappiuaspi akitsikŏmotse'piauaie. 
MAT.10.23	Kĭm'atsĭstototsenoainiki tuks'kai akap'ioyĭs, mĭs'tŭpokskasik stsĭk'i: kitau'mŭnĭstopuau kimatakokŏnitotopuau Israel ĭstokŏnau'akapioyists otsauomai'akotosi Nĭn'au okku'i. 
MAT.10.24	Ŭsksĭnĭmats'au matskĭtsĭmiu'ats otŭsksĭnĭmats'tokiuă, ki apotŭk'kiuă matskĭtsĭmiu'ats otsĭn'aim. 
MAT.10.25	Ŏkh'siu ŭsksĭnĭmats'au mŏketŭm'anĭstsau otŭsksĭnĭmats'tokiuă, ki apotŭk'kiuă mŏketŭm'anĭstsau otsĭn'aim. Anĭstsĭn'nikŏttŭsauaie nap'ioyĭs otsĭn'aim Beelzebub, ak'staianĭstsĭnnikŏttaiau itsĭpstaupixk oko'ai? 
MAT.10.26	Pin stŭn'nokau; matsekipats akstaisaiipasokĭnnĭs; matsitsiksĭs'pats ak'staisaiĭsksĭnĭs. 
MAT.10.27	Kĭtse'itsĭnikopuai ski'natsii matai'itsĭnikok ksĭstsiku'inatsii: ki kitai'okhtsipuai kotokhĭs'suai, sem'ik spots' im nap'ioyĭsts. 
MAT.10.28	Ki pinstŭn'nokau anniks'ĭsk akenitomixk mostŭm', ki sta'aw matokotsenĭtsiau'ats: stŭn'nok annŏk' i kots'enĭts iuŏkax mostŭm' ki staaw stakhts'im. 
MAT.10.29	Natokŭmix sĭstsix kŭttomŭtaiponitau'atsax nitsipŭn'asaini? Ki tuks'kŭm matakittotstsiu'ats ksŏk'kum sauŭs'ksĭnoŭssi Kin'oau. 
MAT.10.30	Kitoku'yikĭnsĭsts ikŏnŭks'topiau. 
MAT.10.31	Piniko'puk; kitots'ĭtskŭkaiĭxkĭmĭmipuau akaiĕm'ix sĭstsix'. 
MAT.10.32	Annŏk'aie'nŭpanĭstsiuŏk matap'ii nĕsto'i, osto'i nitaks'enŭpanĭstau nĭn'ă spots'im. 
MAT.10.33	Annŏk' nĭt'saietokŏk matap'piuŏk, osto'i nĭtak'saietoau nĭn'a spots' im. 
MAT.10.34	Pinstak nimut'oto ĭnnŭst'sĭnni nŏkitsĭt'apixĭsi ksŏk'kum: nimat'otopa nŏkitsĭt'apĭxĭsi ĭnnŭst'sĭnni, innu'stoan nimut'oto (nŏkitsĭt'apiksĭstos ksŏk'kum). 
MAT.10.35	Nimut'oto nĭn'au ki un'ni mŏk'itsipotsĭstsĭmmotseĭsau, ki otŭn'ni ki oksĭs'tsi, ki ăum'si ki maawks'i mŏkitsipotsĭstsĭmmotseĭsau. 
MAT.10.36	Ki nĭn'au aks'ikatumĭmmiuax otopokau'pimix anniks'isk matap'pixk oko'ai itsĭpsts' taupixk. 
MAT.10.37	Annŏk' aiĭs'tŭpŭkomĭmmiuŏk un'ni nĕsto'i nimatokotsinanŭk'ats: ki annŏk' aiĭstŭpŭkomĭmmiuŏk oku'yi ki otŭn'ni nĕsto'i nimatokotsinanŭk'ats. 
MAT.10.38	Ki annŏk' sauots'ĭssi otauiĭnan'i sauopokiuo'osi nĕsto'ă, nimatokotsinanŭk'ats. 
MAT.10.39	Annŏk' ikon'ĭmŏk opai'tappiisĭnni, ak'atstomaie; annŏk' at'stomŏk opai'tappiisĭnni, nĕsto'i itat'stomaie, ai'akokonimaie. 
MAT.10.40	Annŏk' kĭto'tokŏk nito'tok; ki annŏk' nito'tokŏk ito'toyeuaie annŏk' nitse'tokŭkŏk. 
MAT.10.41	Annŏk' ito'toyeuŏk prophet otsiprophetisaie otak'okuyĭssi prophet osa'kinosĭnniaie; ki annŏk' ito'toyeuŏk mokŏm'otsitappiuă oto'kŏmotsitappiisaie, otak'okuyĭssi mokŏm'otsitappiuă osa'kinosĭnniaie. 
MAT.10.42	Ki annŏk' ai'akutŭkkuyiuŏk sto'kĭmi tuks'kŭmi anniks'ĭsk inŭks'tsĭmĭxk otŭs'ksĭnĭmatsŏssaie, kitau'mŭnĭstopuau matakatstom'ats osa'kinosĭnniaie.
MAT.11.1	KI un'niniitsiu otai'ksĭstanĭstŏssax na'tsikoputsix otŭsksĭnĭmats'ax itsĭstŭpa'atomaie mŏkŭsksĭnĭmatstoksi ki mŏkatsĭm'semŏksi ot'akapioyimoauĕsts. 
MAT.11.2	Annok' John itsipsts'taupĭssi itai'okiakiopi otokh'tsĭsĕsts Christ oiapĭstutsipĭsts'aie, itokŏt'tsiuax na'tokŭmix otŭsksĭnĭmats'ax, 
MAT.11.3	Ki an'ĭstsiuaie, kikŭtami'pa annŏk' aiakoto'ŏk, ki nŏk'apsŭmmŏsĭnan noke'tsĭmi? 
MAT.11.4	Jesus an'ĭstsiuax, mĭs'tapuk, matan'ĭstsĭnnomok John annists'ĭsk kĭtokh'tsipuauĕstsk ki kitŭs'satsipuauĕstsk: 
MAT.11.5	Naps' tsix ŭs'sŭpiau, ŭs'tsekaiĭx ikŏm'otauauŏkaiau, leperix ĭssin'aiau, kŭttaiai'okhtsĭmix ai'okhtsĭmiau, enix' aipuau'iau ki kĭm'atapsix atsĭmsem'aiau ŏkhs'itsĭniksĭnni. 
MAT.11.6	Ki atsĭm'siu annŏk' kŭttai'itstskĭmskŭkiuŏk nĕsto'i. 
MAT.11.7	Ki otsĭs'tapusax, Jesus otaumŭtŭpaiitsĭnnikoŏsauaie akai'tappix John, Tsanĭstappiuă kumutsitappopuai ksĭs'tapsksŏkkum kŏk'satsipuai? Kŭttaitstsip'a apai' sopu'yi itau'ŭtopăpokaiiu? 
MAT.11.8	Ki tsan'ĭstappiua kumut'sitappopuai kŏk'satsipuai? Kuttaitstsip'a nĭn'naii ĭkikĭn'ĭstotosiu? Anniks'isk ĭkikĭn'ĭstotosĭxk itot'okoyiau Omŭx'ĭnax oko'auĕsts. 
MAT.11.9	Ki tsan'ĭstappiuă kumut'sitappopuai kŏk'satsipuai? Kŭttaitstsip'a prophet? A, kitan'ĭstopuau skĭtsĭm'iuaie prophet. 
MAT.11.10	Annŏk sĭnau', sat'sit, nitse'tomotokŭttau nito'tokatatsĭsau kostoksĭs', ki ake'tomsokapapĭstutsimaie koksoku'i. 
MAT.11.11	Kitau'mŭnĭstopuau anniks'ĭsk itsipokai'ĭmmokixk akex, mats'itstsipa ŏk'skĭtsĭmiaie John Baptist: ki annŏk' inŭks'tsĭmŏk spots' im ĭstsĭn'naiisĭnni ai'skĭtsĭmiuaie. 
MAT.11.12	John Baptist ĭstsiksĭs'tsikuĭsts, puk'sŭpiksĭstsikuĭsts spots'im ĭstsĭn'naiisĭnni itŭsk'o tuitsipiop, ki ŭskotui'tsipimix itŭsk'otuitsipimiau. 
MAT.11.13	Konai'prophetix ki okŏk'itsĭmani aie'nŭpanistomiauĕsts otsauomo'tosi John. 
MAT.11.14	Ki mak'otsĭmenoainiki, am'auk Elias annŏk' ai'akotoŏk. 
MAT.11.15	Annŏk itokh'iuŏk mŏk'okhtsĭmsi ŭnanĭststokh'tsĭs. 
MAT.11.16	Tsa nitai'akanipa annŏk' o'tappiisĭnŏk manĭstsĭn'naiipuaiau? Netoinitsi'au pokax annim' itawk'pumauawpim itau'pix ki ai'sĭtsĭpsattsiau otŭk'auauax, 
MAT.11.17	Ki an'ĭstsiauax, kitsik'ŭttomopĭnan ki kimat'spiipuau; kitau'yĭmopĭnan ki kimau'kaiisuauĕsts kimatakipuauĕstsau. 
MAT.11.18	John oto'tosi matauyiu'ats ki mataisĭmiu'ats, ki an'iop pakh'tokĭnatsiu sauum'itsistaaw. 
MAT.11.19	Nĭn'au okku'i oto'tosi, au'yiu ki ai'sĭmiu, ki an'iop, sŭm'mĭs, aistoks'oyiu ki aistok'sĭmiu, publicanix ki sauum'itsitappix otŭk'auauax. Ki mokŏk'sĭnni o'kosĭx oto'kŏmotsĭstutokaie. 
MAT.11.20	Itau'mŭtŭpsĭtsĭpsattomĕsts akap'ioyĭsts annim' otsĭt'apĭstutsipĭsts ot'apĭstutŭksĭsts otsauomai'sauaitsitŭsax. 
MAT.11.21	Kitak'oksĭnip maka'pi, Chorazin! Kitak'oksĭnip maka'pi Bethsaida! Nitsĭt' tsipstsapĭstutsipĭsts kitakap'ioyimoauĕsts nitsĭttsipstsapĭstutŭkkitopiau Tyre ki Sidon ĭstak'apioyĭsts is'taisŭmmisauaitsitauopiau ĭsksĭm'matŭkkiaipĭstsĭsts ki makh'skĭtsĭsts, 
MAT.11.22	Ki kitan'ĭstopuau Okŏk'itsĭmani ĭstsiksĭs'tsikui manĭstaksiksists'papsipi ksĕsto'a, aks'ĭsiksĭstspapiau Tyre ki Sidon. 
MAT.11.23	Ki ksĕsto'a Capernaum, kitspĭn'noko spots'im, hades kitaks'ĭnnĭssimoko; omŭk'apotŭksĭsts kitakap'ioyim itap'ĭstutsipiau ittsipstsapistutŭkkiopiau Sodom, ĭs'taisakiaitaitsiopi. 
MAT.11.24	Ki kitan'ĭstopuau, Okŏk'itsĭmani ĭstsiksĭs'tsikui manĭstaksiksĭsts'papspi ksĕsto'au, aks'ĭsiksĭstspapiu Sodom. 
MAT.11.25	Annik' Jesus an'iu, nitŏkh'sitŭkki nĭn'a, spots'im ki ksŏk'kum ĭstsĭn'aimi, kitai'ksĭsattokiauests annists'isk mokok'ietappix ki kitaipaso'kĭnomoaiau inŭk'sipokax. 
MAT.11.26	Ŭnnianĭsts'it Nin'a; manĭstŏkh'sipi kitsitsi'tan. 
MAT.11.27	Nin'a otokŏnai'nanĭsts nitokok: ki matsitstsipa ĭsksĭnnu'yiuaie okku'iaie Nin'a nits'ksĭnnuyiuaie; matsitstsipa ĭsksĭnnu'yiuaie Un'ni, okku'i nits'ksĭnnuyiuaie, ki annŏk ĭsksĭnĭmats'stokŏttseuŏk Un'ni. 
MAT.11.28	Puksipa'akik kŏnai'ikapotŭkkix ki ikŏnŭs'soksĭstsix, ki kitak'okotopuau ĭssĭk'sĭstsikosĭnni. 
MAT.11.29	Nokhkĭn'ni kĭn'attok, ki ĭsksĭno'kik; nitsĭk'kĭnapsi nimat'omŭkimuspa; ki kitak'okonipuau ku'skĕttsipŏppuauĕsts ĭstsĭk'sĭstsikosĭnni. 
MAT.11.30	Nokhkĭn'ni ksĭsts'papiu, ki nitopa'tŭksĭn sŏk'otsiu.
MAT.12.1	AN NIK' Jesus Issĭk'opiiksĭstsikui itsisŭp-poka'atomĕsts napaiĕnĭnsĭmmanĭsts; ki otŭsksĭnĭmats'ax au'notsiax, ki aiin'asĭsts aumŭtŭp'otsĭmiax ki itaumŭtŭp'ioattomiax. 
MAT.12.2	Ki Pharisees otsĭnno'ŏssauax, anĭstsiauaie, sŭm'mĭsau kitŭsksĭnĭmatsax mat'ŏkhsiu otap'ĭstutsipuauĕsts annok' ĭssĭk'opiiksĭstsikuik. 
MAT.12.3	Ki anĭs'tsiuax kikŭttanĭstopuau'ats David otap'ĭstutsipi otau'notssi ki otopokom'ix; 
MAT.12.4	Manĭst'sipipi Ap'ĭstotokiuă oko'ai, manĭstau'attopiau otsitau'pipi ĭstske'tani annik' kŭt'taŏkhsiik mŏks'auattosi ki otopokom'ix mŏks'auattosaxaie, ki kak'ŏkhsiu natoi'apiekuax mŏksauattosauaie? 
MAT.12.5	Ki kikŭtanĭstopuau'ats okŏk'itsĭmani natoi'apiekuax manĭstap'otŭkkipiau ĭssĭk'opiiksĭstsikui otsitsips'taupĭsau omŭk'atoiapioyĭs kimatsikiu'ats. 
MAT.12.6	Ki kitan'ĭstopuau annom' itstsiu' tuks'kŭm ki skĭt'stom omŭk'atoiapioyĭs. 
MAT.12.7	Ki kitsksĭni'topi manĭstap'ipi nitak'ŏkh-sitsip kĭm'apiisĭnni, ki nimatakŏkhsitsipats ĭkit'stŭksĭnni, kĭs'taisauotui'mauopiau kŭt-tautuitiiaixk. 
MAT.12.8	Nin'a okku'i itsĭn'auattomĭnaai ĭssĭk'opiiksĭstsikiii. 
MAT.12.9	Ota'atsĭstapusi, otatoi'apioyimoai itsipim; 
MAT.12.10	Ki sat'sit, nĭn'au itsĭps'taupiĭnai, ki otsĭs'i ipo'kŏttsiuaie. Ki aisŭppo'ŏtsesattsiuaie, Kŭtai'ŏkhsiuats ĭssk'opiiksĭstsikuĭsts ŏk'okuttotoŏsi? Mŏks'enŭpanĭstŭssauaie. 
MAT.12.11	Ki an'ĭstsiuax, Ŭn'nats nĭn'au kitopokittappi'ĭmmoau maksinan'si tuks'kŭmi emŭk'ikĭna, ĭstsŭp'popiĭssaie atŭn'iaksĭn ĭssĭk'opiiksĭstsikui, Kŭttomai'akstaisautuyiuatsaie? 
MAT.12.12	Nĭn'au kŭttomai'skĭtsimiuats emŭk'ikĭna? Ŭn'nikaie itŏkh'siu mŏk'ŏkhsapĭstutŭksi ĭssĭk'opiiksĭstsikuĭsts. 
MAT.12.13	Itŭman'ĭstsiuaie nĭn'au, Sauksikĭns'tsiakit. Ki itsauksikĭns'tsiakiu; ki ikut'tutsipaie netoi'nitsiuaie otat'otsĭsi. 
MAT.12.14	I tŭmit'sŭksiau Pharisees, ki ikŏnau'kŏk-itsĭmattsiauaie manĭstaks'enitawpiauaie. 
MAT.12.15	Ki Jesus otsksĭnĭssaie, itsĭstapu': ki akai'tappix ipokiuo'iauaie, ki ikŏnau'kuttutuyiuax; 
MAT.12.16	Ki sokap'anĭstsiuax mŏkstaiitsĭnnikoŏsax'aie: 
MAT.12.17	Mŏks'enŭpanĭstosi Esias otan'ipi, ki an'iu, 
MAT.12.18	Sŭm'mok, nitap'otomok, annŏk' nitse'niniwattauŏk; nitŭk'omĭmmau, nu'skĕttsipŏppi nimut'ŏkhsĭmmau: nitakitsipotoai'ĭnai nitsista'awi ki akanĭs'tsĭnmomoyiuax Gentiles okŏk'itsimani. 
MAT.12.19	Mataketskau'ats mataksoksipŭppisŭm'ats; mat'akitstsipa matap'pi mŏk'okhtsĭsaie otse'poawsists moksoku'ĭsts. 
MAT.12.20	Apai' otŭk'itsĭssi mataksĭnŭkiu'ats: flax setsĭs'si matakŭtsĭm'atsaie otsauomai'tŭpskĭsaie okŏk'itsimani mŏk'itsskitsstani. 
MAT.12.21	Ki otsĭn'ikŏsim Gentiles ak'aumaitsĭmiau. 
MAT.12.22	Tŭks'kŭm ito'tsipotoau pakhts'istŭmattseu Sauum'itsiStaaw, naps'tsiu, ki mataipuyiu'ats: ki ikut'tutuyiuaie, ki naps'tsiuă it'sŭppiu ki kŭttai'puyiuă itse'puyiu. 
MAT.12.23	Ki kŏnai'tappix it'skaietŭkkiau ki aniau kŭtamiu'ats David okkiu? 
MAT.12.24	Pharisees otokh'tsĭmsau, an'iau, Am'o nĭn'au, matomaisaipiksĭstsiu'atsax Sauum'itsiStaawx, Beelzebub Sauum'itsistaawx otsĭn'aimoai, umutai'saipiksĭstopiax 
MAT.12.25	Ki Jesus isksĭnnu'yiuax otŭs'tapiax ki an'istsiuax, Nĭn'naiisĭnni ai'aketotoki ak'eitsĭnikau; ki akap'ioyis ki nap'ioyis aiaketotokiau mataksipuitsiuats: 
MAT.12.26	Sauum'itsitappiuă satŭp'iksĭstussi Sauum'itsitappiuă, aiaketsĭstotosiu; ki otsĭn'naiisinni kŭttomaksipuitsiu'atsaie? 
MAT.12.27	Satŭp'iksĭstainikiau Sauum'itsiStaawx, Beelzebub nimut'satŭpiksĭstaiau, Tŭkka'ko'kosix itsatŭpiksistsiu'atsax? Ŭn'nikaie osto'auai kitak'okŏkitsĭmŭkoau. 
MAT.12.28	Ki Satŭp'iksĭstainikiau Sauum'itsistaawx Ap'istotokiuă otsista'awmi nimut'satŭpiksĭstaiau Apistotokiuă otsĭn'aiisĭnni kito'taakoai'ĭni. 
MAT.12.29	Mĭskŏpin'ai oko'ai Tsa'akanĭstokotsitsipim'atsaie, mŏk'itauksĭstutsĭsaie ope'kanĭstsaie, sauotŭm'ĭsksipĭstŭsaie mĭskŏpin'ai? Ki ak'otŭmoksĭstutsĭmaie oko'ai. 
MAT.12.30	Annŏk' nikŭt'taispiimmokŏk, nikŏttum'a: annŏk' nikŭttaupokomoawk'iakimauŏk auanit'apiksĭstŭkkiu. 
MAT.12.31	Ŭn'nikaie kitan'ĭstopuau, amian'ĭstsauumitsitappiisĭnni ki amian'istitŭpsauokŏmotse'poawsists Apĭstotokiuă akitsksĭnoaiau matap'pi; ki annŏk' akitŭpsauo'kŏmotsepuyiuŏk Atsĭm'istaaw matakitsksĭnoau'ats. 
MAT.12.32	Annŏk' itŭp'sauokŏmotsepuyiuŏk Nĭn'au Okku'i ak'itsksĭnoau, ki annŏk' itŭpsauokŏmotsepuyiuŏk Atsĭm'iStaaw mat'akitsksĭnoau'ats annom' ksŏk'kum ki aie'nĭssi otsĭs'tŭpipuitappiisĭnni, mat'akitsksĭnoauats. 
MAT.12.33	Ŏkhs'apĭstutos mistsĭs', mŏk'ŏkhsinasiii: ki makap'ĭstutos mĭstsĭs mŏk'okapinasi: mistsĭs' ĭsksĭno'au otsin'assĭnni. 
MAT.12.34	Pitse'ksĭnaipokax! Sauum'itsitappiinoainiki Tsa'a kitakokotŭnĭstse'poattopuau'astsaii ŏkh'sĭsts? Manĭsta'kauoopi u'skĕttsipŏppi, maoi' itai'puyiu. 
MAT.12.35	Ŏkhsin'auă manĭsta'kauoopi ŏkh'si u'skĕttsipŏppi sau'otsĭmĕsts ŏkh'siĭsts: Sauumitsĭn'nauă manĭsta'kauoopi maka'pi u'skĕttsipŏppi sau'otsĭmĕsts makap'ĭsts. 
MAT.12.36	Ki Kitan'ĭstopuau Kŏnai'ksĭstapitse'poawsĭsts otakse'puyisau matap'pix aksenŭp'anĭstomiauĕsts Okŏk'itsĭmani istsiksĭs'tsikui: 
MAT.12.37	Kitse'poawsĭsts kitakokŏmotsitappiets'okoaiau ki kitse'poawsĭsts kitak'saietokoaiau. 
MAT.12.38	Stsik ix Sĭnak'ix ki Pharisees nokŭt'anĭstsiauaie ki an'iau, Nin'a nŏk'okapipĭnan itots'tsipi ksĕsto'a. 
MAT.12.39	Ki nokŭt'anistsiuax osauum'itsitappiisĭnna ki otau'ŏkotaitappiisĭnna itok'apsatsĭmiau; ki mat'akitstsipa ak'okotawpiau. Tuks'kai ak'okotapiau Jonas prophet. 
MAT.12.40	Manĭsts'itaupĭsaie Jonas mammi' o'koanniaie nioks'kai ksĭstsikuists ki nioks'kai koko'ĭsts; ŭnniak'anĭstsitaupiuaie Nĭnau Okku'i ksŏk'kum u'skĕttsipŏppi nioks'kai ksĭstsikuists ki nioks'kai koko'ĭsts. 
MAT.12.41	Nineveh istsĭn'ax, akopoksipapomiauax o'tappiisĭnna istots'tsĭssi Okŏk'itsĭmani ki akitsautŭtsepuyiopiau; aisauai'tsitaiau otatsĭm'semŏssax Jonas; ki sat'sĭt, annŏk' skĭtsĭm'iuŏk Jonas annom' ĭtau'piu. 
MAT.12.42	Amskap'iksŏkkui ĭstsĭn'nauake akopoksipapomiuaie o'tappiisĭnna ĭstots'tsĭssi okŏk'itsĭmani, ki akitsauotŭtsepoyiopiau: umuk'itsipi ksŏk'kui ito'to mŏkitokhtsĭssi Solomon otokŏk'sĭniaie; ki annŏk' skĭtsĭm'iuŏk Solomon annom' itau'piu. 
MAT.12.43	Sauum'itsistaaw otsai'piksĭstŭssi nĭn'au, ikĭtksŏk'kuyim itap'auauŏkau ĭssĭk'opĭssĭnni itap'satsĭm ki matokonĭm'atsaie. 
MAT.12.44	Itŭmau'aniu nitak'ătsko noko'ai numut'sŭx; ki oto'si ikon'ĭm nam'itaitsiiu, namokh'ipaie, ki a'natsĭstutsipaie. 
MAT.12.45	Ki itŭm'itappo ki mat'tuyiuax ikĭt'sikŭmiax sta'awx, itsĭs'tŭpokapsiax, ki itsipim'inx ki itoko'attomiax: ki otsako'itappiisĭnni eikĭs'tŭpokapiuaie ototom'itappiisĭnni. Neto'i ak'anĭstsiuaie ot'okapitappiisĭnna. 
MAT.12.46	Otsa'kiaisitsĭpsattosax matap'pix, Sat'sĭt, Oksĭs'tsi, ki omu'pappiipix săuauts'im itai'puyiax, ai'puĭnŭmiau mŏk'sĭtsĭpsattŏsauaie. 
MAT.12.47	Tuks'kŭm an'istsiuaie, Sat'sĭt, Kiksĭs'ta ki kumu'păppiipix sauauts'im itai'puyiau, ki ai'puĭnŭmiau kŏksiĭsĭpsaiisau. 
MAT.12.48	Ki anni'ĭsk otan'ikĭsk, an'istsiuaie, Tŭkka' niksĭs'ta? Tŭkka' numu'păppiipix? 
MAT.12.49	Ki itas'kotuyiuax otsĭs' otŭs'ksĭnĭmatsax ki an'iu Sŭm'mokau niksĭs'tsi ki numu'păppiipix! 
MAT.12.50	Annŏk' ai'aksĭstutsĭmŏknĭni Spots' im otsitsi'tani aie, osto'i numu'păppiipa, nĕskŭn', nit'akem, ki niksĭs'ta.
MAT.13.1	ETO'IK ksĭstsiku'ik Jesus it sŭks' ki tsĭm nap'ioyĭs, ki omŭk'sikĭmi ĭssoots'i itakau' piu. 
MAT.13.2	Isto'tuitappiix oto'taakax, ki akh'iosasĭs itsĭtsŭppo'piu, ki itakau'piu; ki ĭsto'tuitap-piix ikŏn'itŭssuipuyiau ĭssoots'i. 
MAT.13.3	Ki an'ĭstsiuax akauo'iau parables ki an'iu, Sat'sit, aisŭppipum'auă itui'sŭppipummau: 
MAT.13.4	Ki otai'sŭppipummŏssi, moksoku'yi stsĭk'ĭsts itsĭn'nĭssiĕsts, ki paiu'tax itotoiax'ĕsts ki itau'attomiaxĕsts. 
MAT.13.5	Stsik'ĭsts okotoksskui itsĭn'nĭssiĕsts otsĭts'inŭxksŏkkuaspi; ki otsai'spixksŏkkuaspi itsĭk'kŭmsŭskiiau: 
MAT.13.6	Oto'tŭmĭskŏpsi natos'i, itse'tsĭnitsiau; ki otsau'okŏtseksau itopo'kŏttsiau. 
MAT.13.7	Stsĭk'ists itsĭn'nĭssiiau ksĭssi'ix: ki ksĭssi'ix itsŭskiiau ki ito'satsiiauax: 
MAT.13.8	Stsĭk'ĭsts ŏkhs'ksŏkkui itsĭn'nĭssiau, kiitsĭn'asiau, stsĭk'ists kepĭp'pui, stsĭk'ists nai'ĭppui stsĭk'ists niĭp'pui. 
MAT.13.9	Annŏk' ito'kiuŏk, ŭnanĭstokh'tsĭms. 
MAT.13.10	Ki; ŭsksĭnĭmats'ax ito'toyiauaie, ki an'ĭstsiauaie, Kumauk'sĭtsĭpsattaiĭsksixau parables? 
MAT.13.11	Nokŭt'anĭstsiuax, kitokokoau kŏk'itsksĭniisuai spots'im istsĭn'naiisĭnni itse'kipi, ki osto'auai matokotau'axau. 
MAT.13.12	Annŏk' nan'naniuŏk, ak'okotauaie, ki akakai'naniu: annŏk kŭttainan'iiuŏk, otsinanattopi ak'otsipaie. 
MAT.13.13	Ŭn'nikaie numut'ŭnĭstsĭtsĭpsattaiau parables, ĭssŭppĭs'au mŏksta'apsau; okh'tsĭmsau mŏkstau'okhtsĭmsau, mŏkstai'ĭsksĭnnisau. 
MAT.13.14	Aien'ŭpanĭstom'ĕsts Esaias, otan'ipi, okh'tsimeniki kitak'okhtsim, ki kimat'akoksĭnipa; ki sŭppi'niki kitakŭts'api, ki kimat'aksĭnipa: 
