GEN.1.1	Kezdetben 
2KI.24.3	Csak az Úr beszéde szerint történt ez Júdán, hogy elvesse őt a maga orczája elől Manasse 
2KI.24.4	És az ártatlan 
2KI.24.5	Joákimnak egyéb dolgai pedig és minden cselekedetei, vajjon nincsenek-é megírva a Júda 
2KI.24.6	És elaluvék Joákim az ő atyáival, és az ő fia, Joákin 
2KI.24.7	És Égyiptom királya többé nem jött ki az ő földéből; mert Babilónia királya mindent elvett, a mi csak az égyiptomi királyé volt, 
2KI.24.8	Tizennyolcz esztendős volt Joákin, mikor királylyá lett, és három hónapig uralkodott Jeruzsálemben. Az ő anyjának neve Nékhusta, a Jeruzsálembeli Elnatán leánya. 
2KI.24.9	És gonoszul cselekedék az Úr szemei előtt mind a szerint, a mint az ő atyja 
2KI.24.10	Ebben az időben jöttek fel Nabukodonozornak, 
2KI.24.11	 Nabukodonozor, Babilónia királya is feljött a város ellen, a melyet már az ő szolgái megszállottak volt. 
2KI.24.12	És kiment Joákin, a Júda királya Babilónia királyához az ő anyjával, szolgáival, hadnagyaival és udvariszolgáival együtt, de fogságra vetette őt Babilónia királya az ő uralkodásának nyolczadik esztendejében. 
2KI.24.13	És elvitte onnét az Úr házának minden kincsét és a király házának kincsét, és összevagdalt minden arany edényt, a melyet Salamon, az Izráel királya csináltatott volt az Úr templomában, a mint az Úr 
2KI.24.14	És elhurczolta az egész Jeruzsálemet, összes fejedelmeit és minden vitézeit, tízezer foglyot, az összes mesterembereket és lakatosokat, 
2KI.24.15	És elhurczolta 
2KI.24.16	És az összes előkelő férfiakat, hétezeret, és a mesterembereket és a lakatosokat, ezeret, és az összes erős, harczra termett férfiakat fogva vitte Babilóniába Babilónia királya. 
2KI.24.17	És Babilónia királya Mattaniát, nagybátyját, tette ő helyette királylyá, és nevét 
2KI.24.18	Huszonegy esztendős volt Sédékiás, mikor uralkodni kezdett, és tizenegy esztendeig uralkodott Jeruzsálemben; az ő anyjának neve Hamutál, a Libnából való Jeremiás leánya. 
2KI.24.19	És gonoszul cselekedék az Úr szemei előtt mind a szerint, a mint Joákim cselekedett 
2KI.24.20	Mert az Úr haragja miatt történt ez így Jeruzsálemmel és 
2KI.25.1	És történt az ő uralkodásának kilenczedik esztendejében, a tizedik hónapban, és annak tizedik napján, hogy 
2KI.25.2	És megszállva tartatott a város Sédékiás király tizenegyedik esztendejéig; 
2KI.25.3	De a 
2KI.25.4	És betöretett a város, és a harczosok mind 
2KI.25.5	De a Káldeusok hada űzőbe vette a királyt, és utólérték őt Jerikhó mezején, és egész serege szétszóródott mellőle. 
2KI.25.6	És elfogták 
2KI.25.7	És Sédékiás fiait saját szeme láttára vágták le; Sédékiás szemeit pedig megvakították, és lánczokba verve vitték el őt 
2KI.25.8	És az ötödik hónap hetedik napján – ez a Nabukodonozor, babilóniai király uralkodásának tizenkilenczedik esztendeje – feljött Nabuzár-Adán, a vitézek hadnagya, Babilónia királyának szolgája Jeruzsálembe; 
2KI.25.9	És felgyújtotta az Úr házát és a király házát, és Jeruzsálem összes házait és mind a nagy palotákat felégette tűzzel. 
2KI.25.10	És Jeruzsálem kőfalait köröskörül lerombolta a Káldeusok serege, 
2KI.25.11	A többi népet pedig, a mely a városban még megmaradt volt, és azokat, a kik Babilónia királyához hajlottak, és a többi népet mind elhurczolta Nabuzár-Adán, a vitézek hadnagya. 
2KI.25.12	A föld népének csak a szegényéből hagyott ott a vitézek hadnagya szőlőmíveseket és szántó-vető embereket. 
2KI.25.13	És a rézoszlopokat, a melyek az Úr házában voltak, és 
2KI.25.14	Elvitték a fazekakat is, a lapátokat, a késeket, 
2KI.25.15	És elvitte a vitézek hadnagya a serpenyőket, a medenczéket, a melyek közül némelyek aranyból, némelyek pedig ezüstből voltak, 
2KI.25.16	A két 
2KI.25.17	Az egyik oszlop magassága tizennyolcz sing volt, és egy rézgömb volt rajta és a gömb három sing magas volt, a gömbön köröskörül hálózat és gránátalmák mind érczből, és ugyanilyen volt a másik oszlop is a hálózattal együtt. 
2KI.25.18	És elhurczolta a vitézek hadnagya Serája papot 
2KI.25.19	És a városból elvitt egy főembert, ki a hadakozó férfiak előljáró hadnagya volt, és öt férfiút, a kik a király körül forgolódtak volt, a kik találtattak a városban, és a sereg hadnagyának íródeákját, a ki sereget gyűjt vala a föld népe közül, és hatvan férfiakat a föld népe közül, a kik ott találtattak a városban. 
2KI.25.20	És vevé őket Nabuzár-Adán, a vitézek hadnagya, és elvitte Babilónia királyához Riblába, 
2KI.25.21	És levágta őket Babilónia királya, és megölte Riblában a Hámát földjén. És 
2KI.25.22	A Júda földjén megmaradt népnek pedig, a melyet meghagyott Nabukodonozor, Babilónia királya, Gedáliát, Ahikámnak, a Sáfán fiának fiát, rendelte tiszttartóul. 
2KI.25.23	Mikor pedig meghallották a seregek hadnagyai mind, és az ő embereik, hogy Babilónia királya Gedáliát 
2KI.25.24	És megesküdött nékik Gedália és az ő embereiknek, és monda nékik: Ne féljetek a Káldeusoknak való szolgálattól. Maradjatok az országban, és szolgáljatok Babilónia királyának, és jó dolgotok lesz. 
2KI.25.25	A hetedik hónapban azonban elment Izmáel, Nétániának, az Elisáma fiának fia, a ki királyi magból volt, és vele tíz férfiú, és megölték Gedáliát és meghalt; és a Zsidókat és a Káldeusokat, a kik ő vele voltak Mispában. 
2KI.25.26	És felkelt az egész nép kicsinytől nagyig és a seregek hadnagyai, és elmentek Égyiptomba; mert féltek a Káldeusoktól.
2KI.25.27	És lőn a harminczhetedik esztendőben, Joákinnak, a Júda királyának fogságba hurczoltatása után, a tizenkettedik hónap huszonhetedik napján, kivette Evil-Merodák, Babilónia királya, az ő uralkodásának első esztendejében Joákint, Júda királyát a fogházból; 
2KI.25.28	És kegyesen beszélt vele, és feljebb tette az ő székét a többi királyok székeinél, a kik nála voltak Babilóniában; 
2KI.25.29	És kicserélte fogsága ruháit, és mindenkor nála volt étele életének minden idejében. 
2KI.25.30	És mindenkor kijárt az ő része, a melyet a király adott néki napról-napra életének minden idejében.
1CH.1.1	Ádám, 
1CH.1.2	Kénán, Mahalálél, Járed. 
1CH.1.3	Énókh, Methuséláh, Lámekh. 
1CH.1.4	Noé, Sém, Khám és Jáfet. 
1CH.1.5	Jáfetnek 
1CH.1.6	A Gómer fiai pedig: Askhenáz, Rifáth és 
1CH.1.7	Jávánnak pedig fiai: Elisah, Thársis, Kitthim és Dodánim. 
1CH.1.8	Khámnak fiai: 
1CH.1.9	Khúsnak fiai: Széba, Hávilah, Szábthah, Rahmáh és Szabthékah; Rahmáhnak pedig fiai: Séba és Dédán. 
1CH.1.10	Khús nemzé Nimródot is; ez kezde hatalmassá 
1CH.1.11	Miczráim 
1CH.1.12	Pathruszimot és Kaszlukhimot, a kiktől a Filiszteusok származtak, és Kafthorimot. 
1CH.1.13	Kanaán 
1CH.1.14	És Jebuzeust, Emorreust és Girgazeust. 
1CH.1.15	Khivveust, Harkeust és Szineust. 
1CH.1.16	Arvadeust, Czemareust és Hamatheust. 
1CH.1.17	Sémnek fiai: Élám és Assur, Arpaksád, Lúd, Arám, Úcz, Húl, Gether és Mesek. 
1CH.1.18	Arpaksád pedig nemzé Séláht és Séláh nemzé Hébert. 
1CH.1.19	Hébernek is lett két fia, az egyiknek neve Péleg, mivelhogy az ő idejében osztatott el a föld; 
1CH.1.20	Joktán pedig nemzé Almodádot és Sélefet, Haczarmávethet és Jerákhot, 
1CH.1.21	Hadórámot, Úzált és Diklát, 
1CH.1.22	És Ebált, Abimáelt és Sébát, 
1CH.1.23	Ofirt, Havilát és Jóbábot. Ezek mind Joktán fiai. 
1CH.1.24	Sém, 
1CH.1.25	Héber, Péleg, Réu. 
1CH.1.26	Sérug, Nákhor, Tháré. 
1CH.1.27	Abrám, ez az Ábrahám. 
1CH.1.28	Ábrahám 
1CH.1.29	Ezeknek nemzetségei pedig ezek: Ismáel elsőszülötte 
1CH.1.30	Misma és Dúmah, Massza, Hadad és Théma. 
1CH.1.31	Jétur, Náfis és Kedmah; ezek az Ismáel fiai. 
1CH.1.32	Keturának pedig, az Ábrahám ágyasának 
1CH.1.33	És a Midián fiai: Éfah, Héfer, Hánok, Abida és Eldáh. Mindezek a Keturáh fiai. 
1CH.1.34	Ábrahám pedig nemzé Izsákot; Izsák 
1CH.1.35	Ézsaunak 
1CH.1.36	Elifáz fiai: Thémán, Omár, Czefi, Gahtám, Kenáz és Timna és Amálek. 
1CH.1.37	Réhuél fiai: Nakhath, Zérakh, Samma és Mizza. 
1CH.1.38	Széir fiai: Lótán és Sóbál, Czibhón, Haná, Disón, Eczer és Disán. 
1CH.1.39	Lótán fiai pedig: Hóri és Hómám: Lótánnak huga pedig Timna. 
1CH.1.40	Sóbál fiai: Alján és Mánakháth, Hébál, Sefi és Onám; Czibhón fiai pedig: Aja és Haná. 
1CH.1.41	Haná fia: Disón, Disón fiai pedig: Hamrán és Esbán, Ithrán és Kherán. 
1CH.1.42	Eczer fiai: Bilhán és Zahaván, Jakán. Disán fiai: Húcz és Arán. 
1CH.1.43	Ezek pedig a királyok, a kik uralkodának Edom földén, mielőtt az Izráel fiai között király uralkodott volna: Bela, 
1CH.1.44	 meghalván, uralkodék helyette Jóbáb, a Boczrából való Zerakh fia. 
1CH.1.45	És hogy Jóbáb meghala, uralkodék helyette a Témán földéből való Khusám. 
1CH.1.46	Meghala Khusám is, és uralkodék helyette Hadád, a Bédád fia, ki megveré a Midiánitákat a Moáb mezején; és az ő városának neve Hávit vala. 
1CH.1.47	Hadád is, hogy meghala, uralkodék helyette a Masrekából való Szamlá. 
1CH.1.48	Szamlá holta után uralkodék helyette Saul, a folyóvíz mellett való Rékhobóthból. 
1CH.1.49	Saul is meghala, és uralkodék helyette Báhál-Khanán, az Akhbór fia. 
1CH.1.50	Báhál-Khanán holta után uralkodék helyette 
1CH.1.51	Hadád halála után Edom fejedelmei valának: Timná fejedelem, Halvá fejedelem, Jetéth fejedelem, 
1CH.1.52	Ohólibámá fejedelem, Éla fejedelem és Pinon fejedelem, 
1CH.1.53	Kenáz fejedelem, Témán fejedelem és Mibczár fejedelem, 
1CH.1.54	Magdiél fejedelem és Hirám fejedelem. Ezek voltak Edom fejedelmei.
1CH.2.1	Ezek az Izráel fiai: Rúben, 
1CH.2.2	Dán, József, Benjámin, Nafthali, Gád és Áser. 
1CH.2.3	Júdának fiai: 
1CH.2.4	Thámár 
1CH.2.5	Pérecz fiai: Kheczrón 
1CH.2.6	Zerákh fiai pedig: Zimri és Ethán, Hémán, Kálkól és Dára; mindenestől öten. 
1CH.2.7	Kármi fiai: Ákán, 
1CH.2.8	Ethán fia: Azária. 
1CH.2.9	Kheczrón fiai, 
1CH.2.10	Rám nemzé Amminádábot, Amminádáb pedig nemzé Nakhsont, a Júda fiainak fejedelmét. 
1CH.2.11	Nakhson nemzé Szálmát, Szálma pedig nemzé Boázt; 
1CH.2.12	Boáz nemzé Obedet; Obed nemzé Isait; 
1CH.2.13	Isai pedig nemzé Eliábot, 
1CH.2.14	Netanéelt, negyediket, és Raddait, ötödiket. 
1CH.2.15	Osemet, hatodikat és Dávidot, a hetedik 
1CH.2.16	És nővéreiket, Séruját és Abigáilt. Sérujának pedig fiai voltak: 
1CH.2.17	Abigáil szülé 
1CH.2.18	Káleb pedig, a Kheczrón fia nemzett vala az ő Azuba nevű feleségétől és Jérióttól; és ezek az ő fiai: Jéser, Sobáb és Ardon. 
1CH.2.19	Azuba meghala, és Káleb vevé magának feleségül Efratát, és ez szülé néki Húrt. 
1CH.2.20	Húr nemzé Urit, Uri 
1CH.2.21	Azután beméne Kheczrón Mákirnak, Gileád atyjának leányához; mert ő ezt elvette vala hatvan esztendős korában, és szülé néki Ségubot. 
1CH.2.22	Ségub pedig nemzé 
1CH.2.23	De Gesur és Árám elvették tőlük Jáir falvait, Kenáthot és mezővárosait, hatvan várost. Mindezek Mákirnak, a Gileád atyjának fiaié. 
1CH.2.24	Minekutána pedig meghala Kheczrón Káleb-Efratában, akkor szülé néki Abija, a Kheczrón felesége, Ashúrt, Tékoa atyját. 
1CH.2.25	Jérakhméelnek, a Kheczrón elsőszülöttének fiai voltak: Rám, az elsőszülött, Búna, Orem, Osem és Akhija. 
1CH.2.26	Volt más felesége is Jérakhméelnek, Atára nevű; ez az Onám anyja. 
1CH.2.27	Rámnak, Jérakhméel elsőszülöttének pedig fiai voltak: Maás, Jámin és Héker. 
1CH.2.28	Onám fiai voltak: Sammai és Jáda; és Sammai fiai: Nádáb és Abisúr. 
1CH.2.29	Abisúr feleségének neve Abihail, a ki szülé néki Akhbánt és Mólidot. 
1CH.2.30	Nádáb fiai: Széled és Appaim: Széled magtalanul halt meg. 
1CH.2.31	Appaim fia: Isi; Isi fia: Sésán; Sésán fia: Ahálai. 
1CH.2.32	Jáda fiai, a ki Sammai testvére volt: Jéter és Jonathán; Jéter magtalanul halt meg. 
1CH.2.33	Jonathán fiai: Pélet és Záza. Ezek voltak a Jérakhméel fiai. 
1CH.2.34	Sésánnak nem voltak fiai, hanem csak leányai; de volt Sésánnak egy Égyiptombeli szolgája, Járha nevű. 
1CH.2.35	És adá Sésán e Járha nevű szolgájának az ő leányát feleségül, a ki szülé néki Athait. 
1CH.2.36	Athai pedig nemzé Nátánt; Nátán nemzé Zabádot; 
1CH.2.37	Zabád nemzé Eflált; Eflál nemzé Obedet; 
1CH.2.38	Obed nemzé Jéhut; Jéhu nemzé Azáriát. 
1CH.2.39	Azária nemzé Hélest; Héles nemzé Elását; 
1CH.2.40	Elása nemzé Sisémait; Sisémai nemzé Sallumot; 
1CH.2.41	Sallum nemzé Jékámiát; Jékámia pedig nemzé Elisámát. 
1CH.2.42	A Káleb fiai pedig, a ki Jérakhméel testvére vala: elsőszülötte Mésa; ez volt Zifnek és Marésa fiainak atyjok, Hebronnak atyja. 
1CH.2.43	Hebron fiai: Kórah, Tappuah, Rékem és Séma. 
1CH.2.44	Séma pedig nemzé Rahámot, a Jorkeám atyját; és Rékem nemzé Sammait, 
1CH.2.45	A Sammai fia pedig: Máon; ez a Máon 
1CH.2.46	Efa pedig, a Káleb ágyastársa, szülé Háránt és Mósát és Gázezt; és Hárán nemzé Gázezt. 
1CH.2.47	Jaddai fiai pedig: Régem, Jotám, Gésán, Pelet, Héfa és Saáf. 
1CH.2.48	A Káleb ágyasa Maaka szülé Sébert és Tirhánát. 
1CH.2.49	És szülé Saáfot, Madmanna atyját, Sevát, a Makbéna atyját és Gibea atyját; és Aksza 
1CH.2.50	Ezek voltak Káleb fiai, a ki Húrnak, az Efrata elsőszülöttének fia volt: Sobál, Kirját-Jeárim atyja. 
1CH.2.51	Szálma, Bethlehem atyja; Háref, Bethgáder atyja. 
1CH.2.52	Voltak pedig Sobálnak is, a Kirját-Jeárim atyjának fiai: Haroé, a fél Menuhót 
1CH.2.53	A Kirját-Jeárim háznépei: Jitreusok, Puteusok, Sumateusok, Misraiteusok; ezektől származának a 
1CH.2.54	Szálma fiai, Bethlehem és a Netofátbeliek, Atróth, Beth-Joáb, a Czórabeli Manahateusok fele. 
1CH.2.55	És a Jábesben lakozó tudós emberek háznépei: a Tirateusok, Simateusok, Sukateusok. Ezek a Kineusok, a kik Hámáttól, a Rékáb házának 
1CH.3.1	Ezek a Dávid fiai, a kik Hebronban születének néki: elsőszülötte vala Amnon, a 
1CH.3.2	Harmadik 
1CH.3.3	Ötödik Sefátia, Abitáltól való; hatodik Jitreám, az ő feleségétől, Eglától való. 
1CH.3.4	 hat 
1CH.3.5	Jeruzsálemben pedig ezek születének néki: Simea, Sóbáb, 
1CH.3.6	És Ibhár, Elisáma és Elifélet. 
1CH.3.7	Nógah, Néfeg és Jáfia. 
1CH.3.8	És Elisáma, Eljada és Elifélet, kilenczen. 
1CH.3.9	Mindezek a Dávid fiai, az ő ágyastársainak fiain kivül; és 
1CH.3.10	Salamonnak pedig fia volt 
1CH.3.11	Ennek fia 
1CH.3.12	Ennek fia 
1CH.3.13	Ennek fia 
1CH.3.14	Ennek fia Amon, ennek fia Jósiás. 
1CH.3.15	Jósiásnak pedig fiai: elsőszülötte Johanán, második Jójákim, harmadik Sédékiás, Sallum negyedik. 
1CH.3.16	Jójákim fiai: az ő fia 
1CH.3.17	Jékóniásnak 
1CH.3.18	És Málkirám, Pedája, Sénasár, Jékámia, Hosáma és Nédábia. 
1CH.3.19	Pedája fiai: Zerubábel és Simei. Zerubábel 
1CH.3.20	És Hásuba, Ohel, Berekia, Hasádia és Jusáb-Hésed, 
1CH.3.21	Hanánia fiai: Pelátia és Jésaia; 
1CH.3.22	És Sekánia fiai: Semája. Semája fiai: Hattus, Jigeál, Báriah, Neárja és Sáfát, ezek hatan. 
1CH.3.23	Neárja fiai: Eljohénai, Ezékiás és Azrikám, ezek hárman. 
1CH.3.24	Eljohénai fiai: Hódajéva, Eliásib, Pelája, Akkub, Johanán, Delája és Anáni; 
1CH.4.1	Júda fiai 
1CH.4.2	Reája pedig, a Sobál fia nemzé Jáhátot; Jáhát nemzé Ahumáit és Lahádot; ezek a Sorateusok 
1CH.4.3	Ezek Etám atyjától valók: Jezréel, Jisma, Jidbás; és az ő hugoknak neve Haslelponi. 
1CH.4.4	Pénuel pedig Gedor atyja, és Ezer Húsa atyja. Ezek Efrata elsőszülöttének, Húrnak fiai, a ki Bethlehem atyja vala. 
1CH.4.5	Ashúrnak pedig, a Tékoa atyjának volt két felesége, Heléa és Naára. 
1CH.4.6	És Naára szülé néki Ahuzámot, Héfert, Teménit és Ahastárit. Ezek a Naára fiai. 
1CH.4.7	Heléa fiai: Séret, Jésohár, Etnán 
1CH.4.8	Kócz pedig nemzé Hánubot, Hásobébát és Ahárhel háznépét, a ki Hárumnak fia vala. 
1CH.4.9	Jábes pedig testvéreinél tiszteletreméltóbb vala, és azért nevezé őt az ő anyja Jábesnek, mondván: Mivelhogy fájdalommal 
1CH.4.10	És Jábes az Izráel Istenét hívá segítségül, mondván: Ha engem megáldanál és az én határomat megszélesítenéd, és a te kezed én velem lenne, és engem minden veszedelemtől megoltalmaznál, hogy bút ne lássak! És megadá Isten néki, a mit kért vala. 
1CH.4.11	Kélub pedig, a Súkha testvére, nemzé Méhirt; ez az Eston atyja. 
1CH.4.12	Eston nemzé Béth-Rafát, Paseákhot, Tehinnát, Ir-Náhás atyját. Ezek a Rékától való férfiak. 
1CH.4.13	Kénáz fiai: Othniel 
1CH.4.14	Meonótai nemzé Ofrát; Serája pedig nemzé Joábot, a 
1CH.4.15	Káleb fiai, ki Jefunné fia vala: Iru, Ela és Naám; és Ela fiai; és Kénáz. 
1CH.4.16	Jéhalélel fiai: Zif, Zifa, Tirja és Asárel. 
1CH.4.17	Ezra fiai: Jéter, Méred, Efer és Jálon; és szülé Mirjámot, Sammait és Isbát, Estemóa atyját. 
1CH.4.18	Ennek felesége pedig, Jehudéja szülé Jéredet, a Gedor atyját és Hébert, a Szókó atyját, Jékuthielt, a Zánoah atyját; ezek Bithiának, a Faraó leányának fiai, a kit Méred elvett vala. 
1CH.4.19	Hódia nevű feleségének pedig fiai, ki Nahamnak, Keila atyjának nővére vala: Hagármi és a Maakátbeli Estemóa. 
1CH.4.20	Simon fiai: Amnon, Rinna, Benhanán és Thilon. Isi fiai: Zohét és Benzohét. 
1CH.4.21	Júda fiának, Sélának 
1CH.4.22	És Jókim és Kozeba lakosai, és Joás és Saráf, a kik Moáb urai voltak, és Jásubi, Léhem. De 
1CH.4.23	Ezek voltak a fazekasok, és Netaimban és Gederában laktak. A királylyal laktak ott, az ő dolgáért.
1CH.4.24	Simeon fiai: 
1CH.4.25	Kinek fia Sallum, kinek fia Mibsám, kinek fia Misma. 
1CH.4.26	Misma fiai: Hammúel az ő fia, Zakkur az ő fia, Simi az ő fia; 
1CH.4.27	Siminek tizenhat fia és hat leánya volt; de testvéreinek nem volt sok fia, s általában háznépök nem volt oly népes, mint Júda fiaié. 
1CH.4.28	Lakoznak vala pedig 
1CH.4.29	Bilhában, Eczemben és Toládban, 
1CH.4.30	Bétuelben, Hormában és Cziklágban, 
1CH.4.31	Beth-Markabótban, Haczar-Szuszimban, Beth-Biriben és Saáraimban; ezek valának az ő városaik mindaddig, míg Dávid királylyá lett. 
1CH.4.32	Faluik pedig 
1CH.4.33	És mindazok a falvaik, a melyek e városok körül voltak Bálig; ezek valának lakóhelyeik és nemzetségeik: 
1CH.4.34	Mesobáb, Jámlek és Jósa, Amásia fia. 
1CH.4.35	És Jóel és Jéhu, a Jósibia fia, ki Serája fia, ki Asiel fia 
1CH.4.36	És Eljoénai, Jaákoba, Jésohája, Asája, Adiel, Jesiméel és Benája. 
1CH.4.37	Ziza, a Sifi fia, ki Alon fia, ki Jedája fia, ki Simri fia, ki Semája fia. 
1CH.4.38	Ezek a névszerint felsoroltak voltak a főemberek nemzetségökben, a kik igen elszaporodtak volt atyjok házában, 
1CH.4.39	Azért elindulának Gedor felé, hogy a völgy keleti részére 
1CH.4.40	Találának is zsíros és jó legeltető helyet (az a föld pedig tágas, nyugodalmas és békességes), mert Khámból valók laktak ott azelőtt. 
1CH.4.41	Elmenvén pedig e névszerint megnevezettek Ezékiásnak, 
1CH.4.42	És közülök, a Simeon fiai közül, 
1CH.4.43	És valakik az Amálek 
1CH.5.1	Rúbennek, Izráel elsőszülöttének fiai (mert ő volt az elsőszülött; mikor pedig 
1CH.5.2	Mert Júda 
1CH.5.4	Jóel fiai: Semája ennek fia, Góg ennek fia, Simei ennek fia. 
1CH.5.5	Mika ennek fia, Reája ennek fia, Baál ennek fia. 
1CH.5.6	Beéra ennek fia, a kit fogságba vitt Tiglát-Piléser, az Assiriabeli király; ő a Rúbeniták fejedelme vala. 
1CH.5.7	Testvérei pedig, családjaik, nemzetségük megszámlálása szerint 
1CH.5.8	Bela, Azáz fia, ki Séma fia, ki Jóel fia vala, ki 
1CH.5.9	Napkelet felé is lakik vala a pusztában való bemenetelig, az Eufrátes folyóvíztől fogva; mert az ő barmai Gileád földén igen elszaporodtak. 
1CH.5.10	Saul királynak idejében pedig támasztának hadat a Hágárénusok ellen, és elhullának 
1CH.5.11	A Gád fiai pedig velök szemben a Básán 
1CH.5.12	Jóel vala előljárójok, Sáfám második az után; Johánai és Sáfát Básánban. 
1CH.5.13	És testvéreik, családjaik szerint 
1CH.5.14	Ezek az Abihail fiai, ki Húri fia, ki Jároáh fia, ki Gileád fia, ki Mikáel fia, ki Jésisai fia, ki Jahadó fia, ki Búz fia. 
1CH.5.15	 Ahi, a Gúni fiának, Abdielnek a fia volt a család feje. 
1CH.5.16	 Gileádban, Básánban és az ezekhez tartozó mezővárosokban laktak, és Sáronnak minden 
1CH.5.17	Kik mindnyájan megszámláltatának Jótámnak, 
1CH.5.18	A Rúben fiai közül és a Gáditák közül és a Manasse félnemzetsége közül erős paizs- és fegyverhordozó férfiak, kézívesek és a hadakozásban jártasok, negyvennégyezerhétszázhatvanan harczra kész férfiak; 
1CH.5.19	Hadakozának a Hágárénusok ellen, Jétúr, Náfis és Nódáb ellen. 
1CH.5.20	És győzedelmesek levének azokon, és kezekbe adatának a Hágárénusok és mindazok, a kik ezekkel valának; mert az Istenhez kiáltának harcz közben, és ő meghallgatá 
1CH.5.21	És elvivék az ő barmaikat, ötvenezer tevét, kétszázötvenezer juhot, kétezer szamarat és százezer embert. 
1CH.5.22	A seb miatt pedig sokan elhullának; mert Istentől vala az a harcz; és azok helyén lakának 
1CH.5.23	A Manasse nemzetsége felének fiai pedig 
1CH.5.24	És ezek voltak az ő atyjok háznépének fejedelmei: Efer, Isi, Eliel, Azriel, Irméja, Hodávia és Jahdiel, igen erős férfiak, híres férfiak, a kik az ő atyjok háznépe között fők voltak. 
1CH.5.25	Vétkezének 
1CH.5.26	Felindítá azért az Izráel Istene Pulnak, 
1CH.6.1	Lévi fiai: Gerson, 
1CH.6.2	Kéhát fiai pedig: Amrám, Ishár, Hebron és Uzziel. 
1CH.6.3	Amrám gyermekei: Áron, 
1CH.6.4	Eleázár nemzé Fineást, Fineás nemzé Abisuát; 
1CH.6.5	Abisua pedig nemzé Bukkit, Bukki nemzé Uzzit; 
1CH.6.6	Uzzi nemzé Zeráhiát, Zeráhia nemzé Mérajótot; 
1CH.6.7	Mérajót nemzé Amáriát, Amária nemzé Ahitúbot; 
1CH.6.8	Ahitúb 
1CH.6.9	Ahimáhás nemzé Azáriát, Azária nemzé Jóhanánt; 
1CH.6.10	Jóhanán nemzé Azáriát, 
1CH.6.11	Azária nemzé Amáriát; Amária nemzé Ahitúbot; 
1CH.6.12	Ahitúb nemzé Sádókot, Sádók nemzé Sallumot; 
1CH.6.13	Sallum nemzé 
1CH.6.14	Azária nemzé Séráját, 
1CH.6.15	Jéhozadák pedig 
1CH.6.16	Lévi fiai: Gerson, Kéhát és Mérári. 
1CH.6.17	Ezek a Gerson 
1CH.6.18	Kéhát fiai: Amrám, Jiczhár, Khebron és Huzziel. 
1CH.6.19	Mérári fiai: Makhli és Musi. Ezek a Lévi háznépei az ő nemzetségeik szerint. 
1CH.6.20	Gersonnak 
1CH.6.21	Jóah ennek fia, Iddó ennek fia, Zérah ennek fia és Jéathérai ennek fia. 
1CH.6.22	Kéhát fiai: Amminádáb az ő fia, Kórákh ennek fia és Asszir 
1CH.6.23	Elkána ennek fia, Ebiásáf ennek fia és Asszir ennek fia. 
1CH.6.24	Tákhát ennek fia, Uriel ennek fia, Uzzia ennek fia és Saul ennek fia. 
1CH.6.25	Elkána fiai: Amásai és Ahimót, 
1CH.6.26	Elkána. Elkána fia: Sófai az ő fia és Náhát ennek fia. 
1CH.6.27	Eliáb ennek fia, Jérohám ennek fia, Elkána ennek 
1CH.6.28	Sámuel 
1CH.6.29	Mérári fiai: Mahli, Libni ennek fia; Simhi ennek fia és Uzza ennek fia. 
1CH.6.30	Simea ennek fia, Haggija ennek fia és Asája ennek fia. 
1CH.6.31	Ezek azok, a kiket Dávid állított be az Úr házában az énekléshez, mikor az 
1CH.6.32	És a míg Salamon felépíté az Úr házát Jeruzsálemben, addig a gyülekezet sátora 
1CH.6.33	Ezek pedig a kik szolgáltak, és az ő fiaik: a Kéhátiták fiai közül Hémán főéneklő, Jóel fia, ki Sámuel fia. 
1CH.6.34	Ki Elkána fia, ki Jérohám fia, ki Eliél fia, ki Thóa fia. 
1CH.6.35	Ki Czúf fia, ki Elkána fia, ki Mahát fia, ki Amásai fia. 
1CH.6.36	Ki Elkána fia, ki Jóél fia, ki Azárja fia, ki Séfánia fia. 
1CH.6.37	Ki Tákhát fia, ki Asszir fia, ki Ebiásáf fia, ki Kórákh 
1CH.6.38	Ki Jiczhár fia, ki Kéhát fia, ki Lévi fia, ki 
1CH.6.39	És ennek testvére, Asáf, a ki jobbkeze felől áll vala; Asáf, a Berekiás fia, ki Simea fia 
1CH.6.40	Ki Mikáel fia, ki Bahásia fia, ki Melkija fia. 
1CH.6.41	Ki Ethni fia, ki Zérah fia, ki Adája fia. 
1CH.6.42	Ki Etán fia, ki Zimma fia, ki Simhi fia. 
1CH.6.43	Ki Jáhát fia, ki Gerson fia, 
1CH.6.44	Továbbá a Mérári 
1CH.6.45	Ki Kasábja fia, ki Amásia fia, ki Hilkia fia. 
1CH.6.46	Ki Amsi fia, ki Báni fia, ki Sémer fia. 
1CH.6.47	Ki Makhli fia, ki Musi fia, ki Mérári fia, ki 
1CH.6.48	És testvéreik, a Léviták rendeltetnek vala az Isten háza hajlékának egyéb szolgálatjára. 
1CH.6.49	Áron 
1CH.6.50	Áron fiai pedig ezek: Eleázár, az ő fia, ennek fia Fineás, ennek fia Abisua. 
1CH.6.51	Ennek fia Bukki, ennek fia Uzzi, ennek fia Zerája. 
1CH.6.52	Ennek fia Merájót, ennek fia Amárja, ennek fia Akhitúb. 
1CH.6.53	Ennek fia Sádók, 
