MAT.1.1	 A Krisztus Jézus származásáról 
JHN.6.23	 Tibériászból jöttek azonban csónakok annak a helynek közelébe, ahol azután, hogy az Úr hálát adott, kenyeret ettek.
JHN.6.24	 Mikor azután a tömeg látta, hogy sem Jézus, sem a tanítványai nincsenek ott, beszálltak a csónakokba és Kapernaumba mentek, hogy Jézust megkeressék.
JHN.6.25	 Mikor a tó túlsó partján rátaláltak, megkérdezték: „Rabbi, mikor érkeztél ide?”
JHN.6.26	 – „Bizony, bizony azt mondom néktek – felelte nekik Jézus –, ti nem azért kerestek engem, mert jeleket láttatok, hanem mert a kenyerekből ettetek és jóllaktatok.
JHN.6.27	 Ne az elvesző kenyéren munkálkodjatok, hanem azon a kenyéren, mely örök életre megmarad, melyet az embernek Fia fog nektek adni, mert erre az Atya ütött pecsétet.”
JHN.6.28	 Megkérdezték tőle: „Mit tegyünk, hogy az Isten munkáin dolgozhassunk?”
JHN.6.29	 „Istennek munkája az – felelte nekik Jézus –, hogy higgyetek abban, akit ő elküldött.”
JHN.6.30	 Azt kérdezték tőle: „De hát micsoda jelt teszel, hogy lássunk és higgyünk neked? Min munkálkodol?
JHN.6.31	 Atyáink mannát ettek a pusztában, amint az írva van: Az égből kenyeret adott nekik enni.”
JHN.6.32	 „Bizony, bizony azt mondom néktek – szólt most hozzájuk Jézus –, nem Mózes adta nektek a mennyből való kenyeret, hanem Atyám adja nektek az igazi mennyből való kenyeret.
JHN.6.33	 Mert Isten kenyere az, aki a mennyből száll alá és életet ad a világnak.”
JHN.6.34	 – „Uram, mindenkor add nekünk ezt a kenyeret!” – mondták neki,
JHN.6.35	 mire Jézus azt felelte nekik:- „Én vagyok az élet kenyere, aki hozzám jő, meg nem éhezik, és aki bennem hisz, meg nem szomjazik soha.
JHN.6.36	 Ám én megmondtam néktek, hogy bár láttok, mégsem hisztek.
JHN.6.37	 Minden, amit Atyám nekem ad, elérkezik majd hozzám. S azt, aki hozzám jő, ki nem vetem.
JHN.6.38	 Mert nem azért szállottam le az égből, hogy a magam akaratát tegyem, hanem hogy annak akaratát, aki elküldött engem.
JHN.6.39	 Ez pedig annak akarata, aki engem elküldött, hogy semmit el ne veszítsek abból, amit ő nekem adott, hanem feltámasszam az utolsó napon.
JHN.6.40	 Mert az az én Atyám akarata, hogy örök élete legyen mindenkinek, aki látja a Fiút, és hisz benne, és hogy az utolsó napon azt én feltámasszam.”
JHN.6.41	 Ekkor a zsidók zúgolódtak ellene amiatt, hogy azt mondta: „Én vagyok az a kenyér, mely a mennyből száll alá”
JHN.6.42	 – és azt mondták: „Hát nem Jézus ő, a József fia, akinek mi atyját is, anyját is ismerjük? Hogy mondhatja hát: A mennyből szállottam alá?”
JHN.6.43	 „Ne zúgolódjatok egymás közt! – szólította meg őket Jézus.
JHN.6.44	 Senkinek nincs arra hatalma, hogy hozzám jöjjön, csak ha az Atya vonja, aki engem elküldött és én majd feltámasztom azt az utolsó napon.
JHN.6.45	 Meg van írva a prófétákban: Mindnyájan Istentől tanítottak lesznek. Mindenki, aki az Atyát hallgatta és nála tanult, hozzám jő.
JHN.6.46	 Nem mintha az Atyát másvalaki látta volna, mint az, aki az Atya mellől származik, annak volt alkalma látni az Atyát.
JHN.6.47	 Bizony, bizony azt mondom nektek, hogy annak, aki hisz, örök élete van.
JHN.6.48	 Én vagyok az életnek kenyere.
JHN.6.49	 Atyáitok a mannát ették a pusztában és meghaltak.
JHN.6.50	 Ez az a kenyér, amely a mennyből száll alá, hogy bárki ehessék belőle, és meg ne haljon.
JHN.6.51	 Én vagyok az élő kenyér, amely a mennyből alászállott. Ha valaki ebből a kenyérből eszik, örökké élni fog. S az a kenyér; amelyet oda fogok adni a világ életéért, a húsom.”
JHN.6.52	 A zsidók most a felől harcoltak egymással: „Hogy adhatja ez nekünk enni a húsát?”
JHN.6.53	 Jézus tehát így szólt hozzájuk: „Bizony, bizony azt mondom nektek: Ha nem eszitek az ember Fiának húsát, és nem isszátok a vérét, akkor nincsen bennetek az élet.
JHN.6.54	 Annak, aki húsomat eszi, és véremet issza, örök élete van, és én azt feltámasztom majd az utolsó napon.
JHN.6.55	 Mert húsom igazi étel és vérem igazi ital.
JHN.6.56	 Az, aki húsomat eszi, és véremet issza, bennem marad és én is abban.
JHN.6.57	 Minthogy engem az élő Atya küldött el és én az Atya által élek, úgy aki engem eszik, élni fog általam.
JHN.6.58	 Ez az a kenyér, amely a mennyből szállott alá: 
JHN.6.59	 Ezeket mondta, mikor Kapernaumban a zsinagógában tanított.
JHN.6.60	 Tanítványai közül sokan, amikor hallották, így szóltak: „Kemény beszéd ez. Ki hallgathatja?”
JHN.6.61	 Jézus, miután magában tudomása volt róla, hogy tanítványai zúgolódtak emiatt, így szólt hozzájuk: „Tőrbe ejt ez titeket?
JHN.6.62	 Hátha majd azt látjátok meg, hogy az embernek Fia felmegy oda, ahol előzőleg volt?
JHN.6.63	 A szellem az, aki megelevenít, a hús nem használ semmit. Azok a beszédek, amelyeket elmondtam nektek: szellem és élet.
JHN.6.64	 De vannak közöttetek némelyek, akik nem hisznek.” Jézus ugyanis kezdettől fogva tudta, kik azok, akik nem hisznek és ki az, aki elárulni készül őt.
JHN.6.65	 „Ezért mondottam nektek – beszélt tovább –, hogy senki sem jöhet hozzám, csak akinek Atyám megadta azt!”
JHN.6.66	 Ettől fogva a tanítványok közül sokan hátravonultak és többé nem jártak vele.
JHN.6.67	 Megkérdezte hát a tizenkettőt: „Hát ti nem akartok elmenni?”
JHN.6.68	 „Uram – felelte neki Simon Péter –, kihez mehetnénk? Örök élet beszédei vannak nálad.
JHN.6.69	 S mi hisszük és tudjuk, hogy te vagy az Istennek Szentje.”
JHN.6.70	:
JHN.6.71	 Júdást, – karióti Simon 
JHN.7.1	 Ezek után Jézus Galileában járt-kelt, mert nem akart Júdeában járni, mivel a zsidók őt megölni igyekeztek.
JHN.7.2	 Közel volt a zsidók ünnepe, a sátorverés.
JHN.7.3	 Testvérei azt mondták Jézusnak: „Menj innen tovább, eredj Júdeába, hogy tanítványaid lássák tetteidet, melyeket teszel.
JHN.7.4	 Mert senki sem tesz 
JHN.7.5	 Mert még testvérei sem hittek benne.
JHN.7.6	 Jézus erre ezt mondta nekik: „Az én időm még nincs itt, a ti időtök mindenkor készen áll.
JHN.7.7	 Titeket nem gyűlölhet e világ, de engemet gyűlöl, mert én ellene teszek tanúságot, hogy az, amin munkálkodik rossz.
JHN.7.8	 Ti menjetek fel az ünnepre, én még nem megyek fel erre az ünnepre, mert az én időm még nem telt be.”
JHN.7.9	 Azután, hogy ezeket megmondta nekik, Galileában időzött.
JHN.7.10	 Amint azonban testvérei felmentek az ünnepre, akkor ő is felment nem látványosan, hanem mint aki rejtőzni 
JHN.7.11	 A zsidók keresték őt az ünnepen, és azt kérdezték: „Hol van ő?”
JHN.7.12	 Nagy zúgás volt a tömegben miatta. Némelyek azt mondták 
JHN.7.13	 A zsidóktól való félelem miatt azonban nyíltan senki sem beszélt róla.
JHN.7.14	 Már az ünnep közepén tartottak, amikor Jézus felment a szenthelyre és tanított.
JHN.7.15	 A zsidók csodálkozva szóltak: „Mi a 
JHN.7.16	 Jézus ezt felelte: „Amit én tanítok, nem enyém, hanem azé, aki elküldött engem.
JHN.7.17	 Ha valaki akarja az ő akaratát tenni, felismeri erről a tanításról, hogy Istentől való-e, vagy magamtól beszélek.
JHN.7.18	 Aki magából beszél, a saját dicsőségét keresi. Aki annak dicsőségét keresi, aki elküldte őt, az olyan 
JHN.7.19	 Úgy-e, hogy Mózes adta nektek a törvényt? Közületek mégsem teszi meg senki a törvényt. – Miért igyekeztek hát megölni engem?”
JHN.7.20	 „Ördögi Szellemed van – felelte a tömeg – Ki akar téged megölni?”
JHN.7.21	 Jézus ezt felelte nekik: „Egy munkát hajtottam végre és mindnyájan csodálkoztok rajta.
JHN.7.22	 Azért hát 
JHN.7.23	 Ha szombaton körülmetélhető az ember anélkül, hogy Mózes törvényét felbontanák, rám megharagusztok, mert szombaton egy embert egészen egészségessé tettem?
JHN.7.24	 Ne ítéljetek látszat szerint, hanem igazságos ítélettel ítéljetek!”
JHN.7.25	 „Vajon nem ő az, akit megölni akarnak? – kérdezte most néhány jeruzsálemi.
JHN.7.26	 – Nézzétek csak mily szabadon beszél, és semmit sem szólnak neki. Vajon valóban felismerték az elöljárók, hogy ő a Krisztus?
JHN.7.27	 De még nem! Erről tudjuk, hogy honnan való, ha azonban a Krisztus eljő, senki sem fogja tudni, honnan jön.”
JHN.7.28	 Jézus, aki éppen a szenthelyen tanított, ekkor felkiáltott: „Ismertek is engem, és azt is tudjátok, honnan való vagyok. Magamtól én nem jöttem, hanem van 
JHN.7.29	 Én ismerem őt, mert mellőle való vagyok és ő küldött el engem.”
JHN.7.30	 Igyekeztek elfogni őt, de senki sem vetette rá kezét, mert még nem jött el az ő órája.
JHN.7.31	 A tömegből ellenben sokan hittek benne és azt mondogatták: „Fog-e több jelt tenni a Krisztus, ha eljön, mint amennyit ő tett?”
JHN.7.32	 Meghallották a farizeusok, hogy a zúgolódó tömeg ilyeneket beszél róla, 
JHN.7.33	 „Még egy kevés ideig veletek vagyok – mondta Jézus – azután elmegyek ahhoz, aki elküldött engem.
JHN.7.34	 Keresni fogtok engem, de nem fogtok megtalálni. Ahol én vagyok, ti oda nem jöhettek.”
JHN.7.35	 Eme a zsidók azt beszélték egymás közt: „Hová készül menni, hogy mi nem fogjuk őt megtalálni? Talán a hellének közé, a szétszóródottakhoz készül a helléneket tanítani?
JHN.7.36	 Mit 
JHN.7.37	 Az ünnep utolsó nagy napján Jézus kiállott és felkiáltott: „Ha valaki szomjazik, jöjjön hozzám és igyék!
JHN.7.38	 Annak, aki hisz bennem, amint az Írás mondja, élő víznek árjai folynak majd belsejéből.”
JHN.7.39	 Ezt pedig a Szellemről mondta, akit kapniuk kellett azoknak, akik benne hittek. Nem volt ugyanis még Szellem, mert Jézus nem dicsőült meg.
JHN.7.40	 Voltak a tömegben olyanok, akik, mikor ezeket a szavakat hallották, így szóltak: „Valóban próféta ő.”
JHN.7.41	 Mások ezt mondták: „Ő a Krisztus.” Megint mások így szóltak: „Na, majd éppen Galileából jön el a Krisztus?
JHN.7.42	 Nem azt mondta az Írás: Dávid magvából, Bethlehemből, abból a faluból jön a Krisztus, ahol Dávid élt?”
JHN.7.43	 Meghasonlott a tömeg miatta.
JHN.7.44	 Közölök némelyek el akarták őt fogni, de senki sem vetette rá kezét.
JHN.7.45	 Ekkor visszamentek a szolgák a főpapokhoz és farizeusokhoz. – „Miért nem hoztátok őt ide?” – kérdezték tőlük.
JHN.7.46	 A szolgák ezt felelték: „Még soha ember úgy nem beszélt, mint ahogy ez az ember szól!”
JHN.7.47	 A farizeusok erre is feleltek: „Ti is el vagytok tévelyítve?
JHN.7.48	 Vajon az elöljárók vagy a farizeusok közül hitt valaki benne?
JHN.7.49	 De a tömeg, amely nem ismeri a törvényt, átkozott!”
JHN.7.50	 Közülük egy 
JHN.7.51	 „Elítél-e valakit a mi törvényünk, akit ki nem hallgat előbb, és nem tudja meg, miket csinál?”
JHN.7.52	 „Vajon te is Galileából való vagy? – kérdezték tőle. – Kutass utána és lásd meg, hogy Galileából nem származott próféta!”
JHN.7.53	 Azzal ki-ki házába ment.
JHN.8.1	 Jézus pedig útnak indult az Olajfák hegyére.
JHN.8.2	 Korán reggel azonban ismét megjelent a szenthelyen. Az egész nép hozzágyűlt s ő leült és úgy tanította őket.
JHN.8.3	 Közben az írástudók és farizeusok egy asszonyt vezettek eléje, kit házasságtörésen kaptak, és azt a középre állították.
JHN.8.4	 „Tanító – szóltak –, ezt az asszonyt tetten érték éppen, amikor házasságot tört.
JHN.8.5	 Mózes a törvényben azt parancsolta nekünk, hogy az ilyeneket meg kell kövezni. Hát te mit mondasz?”
JHN.8.6	 De ezt csak azért mondták, kísértésképpen, hogy legyen mivel vádolniuk őt. Jézus ezalatt lehajolva ujjával írt a földre.
JHN.8.7	 Mikor azok kitartón kérdezték őt, felemelte 
JHN.8.8	 Azután megint lehajolt és tovább írt a földre.
JHN.8.9	 Azok, ahogy ezt hallották (lelkiismeretüktől meggyőzetve), eltávoztak, először a vének, azután a többi mind egy szálig, úgyhogy egyedül maradtak ő, meg a középen álló asszony.
JHN.8.10	 Ekkor felemelte fejét és megkérdezte a nőt: „Asszony, hol vannak ők? Senki sem kárhoztatott téged?”
JHN.8.11	 „Senki, Uram!” – felelte az, mire Jézus ezt mondta: „Én sem kárhoztatlak. Eredj el, de tovább ne vétkezzél.”
JHN.8.12	 Azután újra szólt hozzájuk Jézus és ezt mondta: „Én vagyok a világ világossága, aki engem követ, nem jár sötétségben, hanem az élet világossága az övé.”
JHN.8.13	 Azt mondták neki a farizeusok: „Te magad teszel magad mellett tanúságot, tanúságtételed nem igaz.”
JHN.8.14	 De Jézus megfelelt nekik: „Még ha magam tanúskodom is magam mellett, tanúságtételem igaz, mert tudom, honnan jöttem és hová megyek, ti azonban nem tudjátok, honnan jövök és hová megyek.
JHN.8.15	 Ti hús szerint ítéltek. Én nem ítélek senkit.
JHN.8.16	 Még ha ítélnék is, ítéletem igaz, mert nem egyedül vagyok, hanem 
JHN.8.17	 A ti törvényetekben meg van írva, hogy két ember tanúságtétele igaz.
JHN.8.18	 Én vagyok, aki tanúságot teszek magam mellett, és tanúságot tesz felőlem az, aki elküldött engem, az Atya.”
JHN.8.19	 „Hol van a te Atyád?” – kérdezték tőle. Jézus így felelt: „Se engem nem ismertek, sem Atyámat, ha ismernétek engem, Atyámat is ismernétek.”
JHN.8.20	 Ezeket a beszédeket a kincstárnál tartotta, miközben a szenthelyen tanított. És senki sem tartóztatta le, mert még nem jött el az órája.
JHN.8.21	 Ismét szólt hozzájuk: „Én elmegyek s ti keresni fogtok engem, de vétketekben fogtok meghalni. Ahová én megyek, ti oda nem jöhettek.”
JHN.8.22	 A zsidók ezt kérdezték: „Talán meg akarja magát ölni, hogy azt mondja, ahová én megyek, ti oda nem jöhettek?”
JHN.8.23	 Majd így szólt hozzájuk: „Ti az alant levők közül valók vagytok, én a fent levők közül való vagyok. Ti ebből a világból valók vagytok, én nem vagyok ebből a világból való.
JHN.8.24	 Megmondtam nektek, hogy vétkeitekben fogtok meghalni. Ha ugyanis nem hiszitek, hogy én vagyok, meghaltok vétkeitekben.”
JHN.8.25	 „Ki vagy hát te?” – kérdezték tőle. Jézus ezt mondta nekik: „Amit kezdettől fogva szólok nektek.
JHN.8.26	 Sok beszélni és ítélni valóm van felőletek, de az, aki engem elküldött, igaz, és én, csak amit tőle hallottam, azt szólom a világba.”
JHN.8.27	 Nem vették észre, hogy az Atyát említette nekik.
JHN.8.28	 „Ha majd felemelitek az embernek Fiát – mondta Jézus –, akkor fel fogjátok ismerni, hogy én vagyok, s hogy semmit sem teszek magamtól, hanem ahogy az Atya tanított engem úgy beszélem e dolgokat.
JHN.8.29	 Az, aki küldött engem, velem van, nem hagyott engem egyedül, mert mindenkor neki tetsző dolgokat cselekszem.”
JHN.8.30	 Mikor ezeket mondta, sokan hittek benne.
JHN.8.31	 Jézus azután így szólt azokhoz a zsidókhoz, akik hittek benne: „Ha megmaradtok beszédemben, valóban tanítványaim vagytok
JHN.8.32	 és 
JHN.8.33	 „Ábrahám magva vagyunk – felelték neki –, soha, senkinek rabszolgái nem voltunk, hogy mondhatod hát, hogy szabadokká lesztek?”
JHN.8.34	 „Bizony, bizony azt mondom nektek – felelte nekik Jézus –, hogy mindaz, aki teszi a vétket, rabszolgája a véteknek.
JHN.8.35	 A rabszolga pedig nem marad örökké a házban, a fiú marad meg örökre.
JHN.8.36	 Így hát, ha a Fiú szabadít meg titeket, akkor lesztek tényleg szabadokká.
JHN.8.37	 Tudom, hogy Ábrahám magva vagytok, de engem megölni igyekeztek, mert beszédem nem fér meg bennetek.
JHN.8.38	 Én, amit Atyámnál láttam, azt beszélem, ti is azt teszitek, amit atyátoknál hallottatok.”
JHN.8.39	 „A mi atyánk Ábrahám” – felelték neki. Jézus meg ezt mondta nekik: „Ha Ábrahám gyermekei vagytok, Ábrahám tetteit teszitek,
JHN.8.40	 ámde ti megölni igyekeztek engem, 
JHN.8.41	 Ti a ti atyátok tetteit teszitek.” – „Nem születtünk mi paráznaságból – felelték neki –, egy Atyánk van: Isten.”
JHN.8.42	 Jézus ezt felelte nekik: „Ha Isten volna Atyátok, szeretnétek engem, mert én az Istentől jöttem, és úgy vagyok itt. Mert nem magamtól jöttem, hanem ő küldött el engem.
JHN.8.43	 Miért nem ismertek rá arra, amit beszélek? Azért, mert nem vagytok képesek meghallgatni, amit mondok.
JHN.8.44	 Ti a vádló atyjától valók vagytok, és atyátok kívánságait akarjátok megtenni. Az kezdettől fogva embergyilkos volt, nem állott meg az igazságban, mert az igazság nincs benne. Akkor a magáéból beszél, amikor a hazugságot szólja, mert hazug ő és 
JHN.8.45	 De mert én az igazságot szólom, nem hisztek nekem.
JHN.8.46	 Közületek ki bizonyít rám vétket? Ha meg az igazságot mondom, miért nem hisztek nekem?
JHN.8.47	 Aki Istenből való, hallgatja Isten beszédeit. Ti azért nem hallgatjátok, mert nem Istentől valók vagytok.”
JHN.8.48	 Megszólaltak a zsidók: „Nem helyesen mondjuk-e, hogy szamaritánus vagy és ördögi szellem van benned?”
JHN.8.49	 „Bennem nincs ördögi szellem – felelte Jézus –, ellenkezőleg, megbecsülöm Atyámat, ti azonban nem becsültök engem.
JHN.8.50	 Én nem keresem a magam dicsőségét, van, aki megkeresse és megítélje.
JHN.8.51	 Bizony, bizony azt mondom nektek, ha valaki megőrzi beszédemet, soha nem lát halált.”
JHN.8.52	 „Most tudjuk hát, hogy ördögi szellem van benned – mondták neki a zsidók. – Ábrahám meghalt, a próféták is. Te meg azt mondod: Ha valaki megőrzi beszédemet, soha nem kóstol halált.
JHN.8.53	 Nagyobb vagy te atyánknál, Ábrahámnál, aki meghalt? A próféták is meghaltak. Mivé teszed te magad?”
JHN.8.54	 Jézus ezt felelte: „Ha én magam dicsőítem magamat, dicsőségem semmit sem ér. Van, aki engem megdicsőítsen: Atyám, akiről azt mondjátok: Ő a mi Istenünk.
JHN.8.55	 De ti nem ismertétek őt, én ellenben ismerem őt, ha azt mondanám: Nem ismerem őt, hozzátok hasonló hazuggá lennék. Ám én ismerem őt, és beszédét megőrzöm.
JHN.8.56	 Atyátok, Ábrahám ujjongott annak, hogy meglátja az én napomat, meg is látta, meg is örült.”
JHN.8.57	 „Ötven éves sem vagy és láttad Ábrahámot?” – kérdezték tőle a zsidók.
JHN.8.58	 Jézus azt felelte nekik: „Bizony, bizony azt mondom nektek: Mielőtt Ábrahám lett, én 
JHN.8.59	 Köveket emeltek fel, hogy reája vessék. Jézus azonban elrejtőzött és kiment a szenthelyről.
JHN.9.1	 Elmentében meglátott egy embert, aki születésétől fogva vak volt.
JHN.9.2	 Tanítványai megkérdezték: „Rabbi, ki vétkezett, ő-e, vagy a szülei, hogy vakon született?”
JHN.9.3	 Jézus ezt felelte: „Sem ő nem vétkezett, sem a szülei, hanem 
JHN.9.4	 Amíg nappal van, annak munkáin kell dolgoznunk, aki engem küldött, éjszaka jön, amikor senki nem munkálkodhatik.
JHN.9.5	 Én, amíg a világban vagyok, a világ világossága vagyok.”
JHN.9.6	 Miután ezeket mondta, a földre köpött, sarat csinált a köpésből, a sarat rátette 
JHN.9.7	 és így szólt hozzá: „Eredj el, mosakodjál meg a Siloám medencéjében,” (aminek jelentése: küldött). 
JHN.9.8	 A szomszédok, és akik korábban koldulni látták őt, így szóltak: „Nem ő ült itt és kéregetett?”
JHN.9.9	 Némelyek ezt mondták: „Ő volt,” mások: „Nem, csak hasonlít hozzá.” Ő maga azt mondta: „Én vagyok az.”
JHN.9.10	 Megkérdezték tőle: „Hogy nyílt meg a szemed?”
JHN.9.11	 „Az az ember, akit Jézusnak mondanak, sarat csinált, szememre kente és ezt mondta: Eredj el a Siloámba, s mosakodjál meg. Elmentem, megmosakodtam és megjött a látásom.”
JHN.9.12	 Megkérdezték tőle: „Hol van az az ember?” – „Nem tudom” – felelte.
JHN.9.13	 Elvezették a farizeusokhoz, azt 
JHN.9.14	 Szombat volt az a nap, melyen Jézus a sarat csinálta, és 
JHN.9.15	 Újra megkérdezték tőle a farizeusok is, hogyan lett látóvá? Azt felelte: „Sarat tett a szememre, megmosakodtam és látok.”
JHN.9.16	 Egynéhány farizeus megjegyezte: „Az az ember nincs Istentől, mert a szombatot nem tartja meg.” Mások ezt mondták: „Hogy volna képes vétkes ember ilyen jeleket tenni?” Úgyhogy szakadás lett közöttük.
JHN.9.17	 Azután újra megkérdezték a vakot: „Mit mondasz te felőle, hisz szemedet megnyitotta?” „Azt, hogy próféta” – felelte 
JHN.9.18	 A zsidók most már nem hitték el felőle, hogy vak volt és hogy 
JHN.9.19	 és őket meg nem kérdezték: „Ez a ti fiatok, akiről azt mondjátok, hogy vakon született? Hogy 
JHN.9.20	 A szülei ezt felelték: „Azt tudjuk, hogy ő a fiunk és hogy vakon született,
JHN.9.21	 de hogy hogyan lát most, nem tudjuk, és hogy ki nyitotta meg a szemét, azt mi nem tudjuk. Őt kérdezzétek, elég koros. Majd ő felel magáért.”
JHN.9.22	 Ezeket azért mondták a szülei, mert féltek a zsidóktól. A zsidók ugyanis összebeszéltek, hogyha valaki a Krisztusnak vallja 
JHN.9.23	 Ezért mondták a szülei: „Elég koros, őt kérdezzétek.”
JHN.9.24	 Másodszor is hivatták azt az embert, aki vak volt és így szóltak hozzá: „Adj dicsőséget Istennek! Mi tudjuk, hogy ez az ember vétkes.”
JHN.9.25	 „Hogy vétkes-e, nem tudom – felelte az –, egyet tudok, hogy vak létemre most látok.”
JHN.9.26	 „Mit tett veled, hogyan nyitotta meg szemedet?” – kérdezték tőle.
JHN.9.27	 „Már megmondtam nektek – felelte nekik. Nem hallottátok? Miért akarjátok újra hallani? Vajon ti is tanítványai akartok lenni?”
JHN.9.28	 Azok gyalázkodva szóltak hozzá: „Te vagy a tanítványa neki, mi Mózes tanítványai vagyunk.
JHN.9.29	 Mi tudjuk, hogy Mózesnek Isten szólott, de erről nem tudjuk, honnan való.”
JHN.9.30	 Az ember ezt felelte nekik: „Ebben csak az a csudálatos, hogy nem tudjátok, hogy ő honnan való, bár ő nyitotta meg a szememet.
JHN.9.31	 Tudjuk, hogy vétkezőkre az Isten nem hallgat, csak arra hallgat, aki istenfélő és az ő akaratát teszi.
JHN.9.32	 Öröktől fogva nem hallotta senki, hogy született vaknak valaki megnyitotta volna a szemét.
JHN.9.33	 Ha ő nem Isten mellől 
JHN.9.34	 „Te mindenestől vétekben születtél – mondották neki –, és te tanítasz minket?” Azzal kivetették őt 
JHN.9.35	 Jézus meghallotta, hogy kivetették, s amikor rátalált, megszólította: „Hiszel az ember Fiában?”
JHN.9.36	 Az így felelt: „És ki az Uram, hogy higgyek benne?”
JHN.9.37	 „Láttad már őt – felelte neki Jézus –, az az, aki beszél veled.”
JHN.9.38	 „Hiszek Uram” – felelte ő és a földre borult előtte.
JHN.9.39	 Erre Jézus így szólt: „Ítélni jöttem e világra, hogy azok, akik nem látnak, látókká legyenek és a látók vakokká.”
JHN.9.40	 A vele 
JHN.9.41	 „Ha vakok volnátok – felelte nekik Jézus –, nem volna vétketek. De mivel azt mondjátok: Látunk –, vétketek megmarad.”
JHN.10.1	 „Bizony, bizony azt mondom néktek, aki nem az ajtón át megy be a juhok karámjába, hanem máshonnan hág be, tolvaj az, haramia.
JHN.10.2	 Aki ellenben az ajtón át megy be, az a juhok pásztora.
JHN.10.3	 Neki az ajtónálló megnyit. A juhok is hallgatnak szavára. Saját juhait nevükön szólítja és kivezeti őket.
JHN.10.4	 Ha mind kihajtotta a saját juhait, előttük megy, és a juhok követik őt, mert ismerik a hangját.
JHN.10.5	 Más embert egyáltalában nem követnek, hanem elfutnak tőle, mert nem ismerik a mások hangját.”
JHN.10.6	 Ezt a példaszót mondta nekik Jézus, de azok nem ismerték fel, hogy mi az, amit elbeszélt nekik.
JHN.10.7	 Majd újra megszólalt Jézus: „Bizony, bizony azt mondom néktek, hogy én vagyok a juhok ajtaja.
JHN.10.8	 Mindazok, akik előttem jöttek, tolvajok és haramiák, de nem hallgattak rájuk a juhok.
JHN.10.9	 Én vagyok az ajtó. Ha valaki rajtam át bemegy, megmenekül: Bemegy majd, kimegy majd, és legelőt talál.
JHN.10.10	 A tolvaj csak azért jön, hogy lopjon, öljön és elveszítsen. Én azért jöttem, hogy életük legyen és bőségük.
JHN.10.11	 Én vagyok a jó pásztor. A jó pásztor a lelkét adja oda a juhokért.
JHN.10.12	 Aki béres és nem pásztor, kinek a juhok nem tulajdonai, – amikor észreveszi, hogy jön a farkas, elhagyja a juhokat és elfut, a farkas meg elragadja és szétszórja őket,
JHN.10.13	 az 
JHN.10.14	 Én vagyok a jó pásztor. Én ismerem az enyéimet, s az enyéim ismernek engem,
JHN.10.15	 mint ahogy az Atya is ismer engem és én is ismerem az Atyát. Én lelkemet adom oda a juhokért.
JHN.10.16	 Más juhaim is vannak nékem, melyek nem ebből a karámból valók. Azokat is elő kell vezetnem. Hallgatni fognak a szavamra úgy, hogy egy nyáj lesz majd és egy pásztor.
JHN.10.17	 Azért szeret engem az Atya, mert lelkemet adom oda, hogy újra felvegyem.
JHN.10.18	 Senki nem vette el azt tőlem, magam vetem azt el magamtól. Felhatalmazást kaptam arra, hogy elvessem azt, és felhatalmazást kaptam, hogy újra 
JHN.10.19	 Hasadás támadt a zsidók közt e beszédek miatt.
JHN.10.20	 Közülük sokan ezt mondották: „Ördögi szellem van benne, nincs eszénél: Mit hallgattok rá?”
JHN.10.21	 „Ezek nem ördöngösnek beszédei, – mondották mások. – Ördögi szellemnek lehet-e hatalma arra, hogy vakok szemét megnyissa?”
JHN.10.22	 A templom újraszentelésének ünnepe következett akkor Jeruzsálemben. Tél volt.
JHN.10.23	 Jézus a szenthelyen a Salamon tornácában járt.
JHN.10.24	 Körülfogták a zsidók és megkérdezték tőle: „Meddig tartod még feszültségben a lelkünket? Ha te vagy a Krisztus, mondd ki a nyilvánosság előtt.”
JHN.10.25	 „Már mondtam, és nem hiszitek – felelte Jézus nekik. – A tettek, amelyeket Atyám nevében teszek, tanúskodnak mellettem.
JHN.10.26	 Ti azonban nem hisztek, mert nem vagytok az én juhaim közül valók.
JHN.10.27	 Az én juhaim hallgatnak szómra, én is ismerem őket, ők meg követnek engem.
JHN.10.28	 Örök életet adok nekik, úgy, hogy soha el nem vesznek, senki sem fogja kiragadni őket a kezemből.
JHN.10.29	 Atyám, aki őket nekem adta, nagyobb mindeneknél és senki sem képes kiragadni őket Atyám kezéből.
JHN.10.30	 Én és az Atya egy vagyunk.”
JHN.10.31	 A zsidók újra köveket hoztak, hogy megkövezzék.
JHN.10.32	 Jézus megszólította őket: „Sok nemes tettet mutattam nektek, 
JHN.10.33	 „Nemes tettért nem kövezünk meg téged – felelték neki a zsidók –, hanem káromlásért, azért, hogy te ember létedre Istenné teszed magad.”
JHN.10.34	 Jézus ezt felelte nekik: „Nincsen megírva törvényetekben: Én mondtam: Istenek vagytok?
JHN.10.35	 Ha isteneknek mondta azokat, akikhez az Isten szava szólott, és az Írás fel nem bontható –,
JHN.10.36	ti annak mondjátok, hogy: Káromolsz! – akit az Atya megszentelt és a világba küldött 
JHN.10.37	 Ha nem Atyámnak a munkáit végzem, ne higgyetek nekem.
JHN.10.38	 De ha azokat teszem, még ha nekem nem is hisztek, higgyetek a tetteknek, hogy felismerhessétek és tudhassátok, hogy bennem az Atya van és én az Atyában.”
JHN.10.39	 Újra azon voltak, hogy elfogják őt, de kiment a kezük közül.
JHN.10.40	 Eltávozott ismét a Jordánon túlra, arra a helyre, ahol János korábban bemerített és ott tartózkodott.
