MAT.1.1	Ǝntanay da esmawan n aljadan ǝn Ɣaysa Ǝlmǝsix, ahaya n ǝnnǝbi Dawǝd, d ǝnnǝbi Ibrahim:
ACT.10.25	As zama din-iggâz Butros ehan, issǝlkad-as-du Kornilǝyas, igaraffat ɣur daran-net, issǝjad-as. 
ACT.10.26	Mišan issǝbdad-tu Butros, inn-as: «Ǝbdǝd! Nak aggadǝm ɣas a ǝmosa.» 
ACT.10.27	Ǝggazan ehan mišawalan, os-in daɣ-as Butros aljamaɣat tagget. 
ACT.10.28	Tǝzzar inn-asan: «Tǝssânam kawanay iman-nawan as issixram ǝlqanun ǝn Kǝl-Ǝlyǝhud y iyyan daɣ-san tassaq madeɣ iguz n ahan n awedan wǝr nǝmos iyyan daɣ Kǝl-Ǝlyǝhud. Mišan nak issosan-i Mǝššina daɣ as ad wǝr agaɣ y awedan waliyyan iduf n as i xaraman wala immidas. 
ACT.10.29	Adi da fǝlas, as di-tǝssǝgmayam, ǝkkeq-qawan-du ǝddi da wǝr ǝgeɣ asarǝw waliyyan. Amaran ǝmǝrǝdda ǝmǝlat-i ǝddǝlil wa fǝl di-tǝssǝgmayam.»
ACT.10.30	Inn-as Kornilǝyas: «Ǝzǝl iyyan tattara daɣ ahan-in, ila adi ǝmǝrǝdda karad adan, wǝr ǝsleɣ a igan as dat-i ibdad alǝs ilsân isǝlsa bilazlaznen. 
ACT.10.31	Tǝzzar inn-i: "Kornilǝyas! Tǝwatray-nak tǝqbâl, šikutawen-nak deɣ iqbâl-tanat Mǝššina. 
ACT.10.32	Daɣ adi, zǝmmizǝl ǝs Yaffa, tǝssǝgmǝya Simɣon was itawannu Butros. Inniftaɣ y alǝs igân Simɣon wa išafalan igǝškan ihân tagadamayt n agaraw." 
ACT.10.33	Tǝzzar ǝssǝgmayaq-qay tamazayt tǝdi da, olâɣ deɣ as du-toseɣ. Amaran ǝmǝrǝdda ketnana nǝlla da dat Mǝššina, fǝl ad nǝssǝsǝm y arat kul was kay-omar Ǝmǝli s a danaq-qu-tanna.»
ACT.10.34	Iššewal Butros inna: «Ǝmǝrǝdda ǝgreɣ as, tidǝt daɣ a imos as Mǝššina wǝr izlay aytedan. 
ACT.10.35	Kalar awedan kul wa t-iksudan, itaggu awa oɣadan, awedan wǝdi, ad t-iqbǝl Mǝššina, a tǝqqal tawšet-net. 
ACT.10.36	Issoka-du Kǝl-Israyil awal-net imosan isalan n Ǝlinjil, ǝmmâlnen isalan n alxer wa ihakku Ɣaysa Ǝlmǝsix, ǝnta wa n Ǝmǝli n awedan kul. 
ACT.10.37	Tǝssânam daɣ awa igan daɣ akal kul ǝn Yahudǝyya, intâ-du adi daɣ wa n Galilaya dǝffǝr tǝlxutbat ta iga Yaxya y aytedan daɣ batu n alamaɣ daɣ aman; 
ACT.10.38	d ǝmmǝk was issǝkna Mǝššina aytedan as Ɣaysa wa n Nazaret a issannafran ǝs tahakkay ta t-iga Infas wa Zǝddigan ǝd tarna. Tǝssânam deɣ daɣ tilalt ta iga akal itamazal ǝlluɣ, izuzǝy aytedan kul win daɣ innoda Iblis, id tarna ǝn Mǝššina a igraw.
ACT.10.39	Nakkanay inǝmmuzal nǝggǝyat awa iga ketnet daɣ ǝɣrǝm wa n Yerusalam d akal sa hadan wa n Kǝl-Ǝlyǝhud. Ǝnta wa itawataytayan fǝl tǝgǝttawt, aba-tu; 
ACT.10.40	issǝnkar-t-idu Mǝššina ǝzǝl wa n karad dǝffǝr iba-net, ikf-ay turagat n ad itǝwǝnǝy iddâr. 
ACT.10.41	Wǝrgeɣ aytedan kul a t-ǝnaynen, kalar wǝr t-inay ar šigǝyyawen šin isannafran Mǝššina harwa dat alwaq, a tanat-imosan nakkanay win dǝr-ǝs ǝdrawnen tettay ǝd tassay dǝffǝr tanakra ta d-iga daɣ tamattant. 
ACT.10.42	Tǝzzar omar-ana Ɣaysa s ad nǝmǝl Ǝlinjil y aytedan, naggayyat-asan as, ǝnta da, a isannafran Mǝššina ig-ay ǝmašraɣ n id t-illa awedan, gǝr za win ǝddarnen wala win aba. 
ACT.10.43	Ǝnta en da as ǝggǝyyen ǝnnǝbitan kul as, i sǝr-ǝs izzǝgzanan ad igrǝw tǝsureft ǝn bakkadan-net s esǝm-net.»
ACT.10.44	Harwada iššewal Butros as d-izzǝbbat Infas wa Zǝddigan fǝl aljamaɣat ketnet ta tǝssǝsamat i tǝlxutbat-net. 
ACT.10.45	Ikna awen ǝsǝmmǝklǝl ǝs nalkiman ǝn Ɣaysa win Kǝl-Ǝlyǝhud win d-ǝddewnen ǝd Butros, âs, wala aytedan win wǝr nǝmos Kǝl-Ǝlyǝhud da garrawan s igǝt tǝhǝkkut ta n Infas wa Zǝddigan. 
ACT.10.46	Fǝlas sallan-asan ǝššewalan awalan wǝr nǝtawazday, ǝmmâlan adkul ǝn Mǝššina. Tǝzzar inna Butros: 
ACT.10.47	«Awak ma zʼigdǝlan y aytedan ǝgânen y Infas wa Zǝddigan agaraw wa das-nǝga ad tǝwǝsǝlmǝɣan daɣ aman?» 
ACT.10.48	Amaran omar s ad tǝwǝsǝlmǝɣan daɣ aman s esǝm ǝn Ɣaysa Ǝlmǝsix. Dǝffǝr awen ǝgmayan daɣ Butros a ɣur-san agu adan.
ACT.11.1	Ǝslan nǝmmuzal ǝd mǝdrayan daɣ ǝzǝgzan win ǝhanen akal wa n Yahudǝyya as, ǝllân-tu aytedan wǝr nǝmos Kǝl-Ǝlyǝhud ǝzzigzannen ǝntanay da s awal ǝn Mǝššina. 
ACT.11.2	Alwaq wad iggǝzzay Butros ǝs Yerusalam, ǝššewalan fall-as inalkiman ǝn Ɣaysa win Kǝl-Ǝlyǝhud win ǝttafnen alɣadat-nasan ta n ǝmǝnkǝd. 
ACT.11.3	Ǝnnan-as: «Manǝmmǝk as tǝtaggaza ehan n aytedan wǝr nǝmmǝnkad, wala tǝdarraw dǝr-san imensewan.»
ACT.11.4	Tǝzzar issoɣal-asan Butros awa igan kul, wa n ǝnǝtti, inn-asan: 
ACT.11.5	«Tattara daɣ ǝɣrǝm ǝn Yaffa as di-tobaz tarna n Infas wa Zǝddigan, inafalal-i arat iyyan. Arat wa, itawasaras-du daɣ jǝnnawan, olâ d ǝfǝr zǝwwǝran itiwattafan s ǝkkozat tǝsǝlkad-net, har dat-i d-imal. 
ACT.11.6	Ǝswada daɣ-as, zaggazdaq-qu, ǝnayaɣ daɣ-as eharay, ǝd tǝwaqqast ǝd dǝmǝrdǝmaran ǝd gǝḍad. 
ACT.11.7	Tǝzzar ǝsleɣ y ǝmǝsli wa di-innan: "Butros, ǝnkǝr, tǝgzǝma, tatša!" 
ACT.11.8	Mišan ǝnneɣ-as: "Kala kala Ǝmǝli, id imi-nin wǝr kala t-iggaz arat xaraman wala iyyan immidasan." 
ACT.11.9	Ǝlasa tesalay y ǝmǝsli en as inna daɣ jǝnnawan: "Awa issǝxlal Mǝššina, wǝrgeɣ kay a tu-z-agin i xaraman!" 
ACT.11.10	Har iga ǝmǝsli en y awen karadat tǝnnawen, amaran itawarkab-in awen ketnet ǝs jǝnnawan.
ACT.11.11	Tamazayt ten da a d-ǝbdadan karad meddan s ahan wa daɣ ǝssǝgana, sǝr-i d-ǝmmozalnen daɣ ǝɣrǝm ǝn Qaysarǝya. 
ACT.11.12	Tǝzzar inn-i Infas wa Zǝddigan a dǝr-san idawa ǝddi da. Ad wǝr ǝzlǝyaɣ aytedan. Ǝddewa deɣ ǝd mǝdrayan-nana sǝdis win, har nǝggaz ehan n alǝs wa di-d-issǝgmǝyan. 
ACT.11.13	Issoɣal-ana ǝmmǝk was das-inafalal angalos daɣ ahan-net, ibdad dat-ǝs inn-as: "Zǝmmizǝl awedan s ǝɣrǝm ǝn Yaffa y a dak-d-idaw ǝd Simɣon was itawannu Butros. 
ACT.11.14	A dak-agu amagrad a sǝr-ǝk du-z-awǝyan efsan kay d aɣaywan-nak ketnet." 
ACT.11.15	Harwada wǝr ǝhoga ǝššewala as fall-asan d-iga Infas wa Zǝddigan ǝzǝbbi wa fall-ana d-iga nakkanay daɣ tizarat. 
ACT.11.16	Tǝzzar ǝkteɣ-du tǝnna ta iga Ǝmǝli: "Yaxya, aman a daɣ issǝlmaɣ aytedan, mišan kawanay, Infas wa Zǝddigan a daɣ za tǝtǝwǝsǝlmǝɣam." 
ACT.11.17	Daɣ adi, dad zamas ig-asan Mǝššina tǝhǝkkut zun ta danaɣ-iga as nǝzzǝgzan s Ǝmǝli Ɣaysa Ǝlmǝsix, ma ǝmosa nak as gaddala i Mǝššina igi n awa ira?» 
ACT.11.18	As tǝsla aljamaɣat i salan win, tǝffǝsta, tǝzzar ad tǝmmal Mǝššina tǝgannu: «Daɣ adi aytedan win wǝr nǝmos Kǝl-Ǝlyǝhud, da issǝfrak-kan Mǝššina ad utaban, ǝgrǝwan tǝmǝddurt ta tǝɣlalat.»
ACT.11.19	Inalkiman ǝn Ɣaysa win izawwazawaz alɣazab wa d-izrayan ǝtǝwǝnɣa n Ǝstefanos, ǝglan wiyyad har osan akal wa n Fenisǝya, wiyyad osan akal imosan gǝrwǝtlan as itawannu Qibrus, wiyyad osan aɣrǝm wa n Antǝyoxǝya. Ǝmmâlan awal ǝn Mǝššina, eges i Kǝl-Ǝlyǝhud ɣas. 
ACT.11.20	Dǝr iga awen da ya, wiyyad daɣ-san n akal wa n Qibrus ǝd wa n Qǝrwan, as din-osan aɣrǝm wa n Antǝyoxǝya ǝššewalan y aytedan win wǝr nǝmos Kǝl-Ǝlyǝhud win ǝššewalnen tǝlyunant, ǝmmâlan-asan isalan n Ǝlinjil n Ǝmǝli Ɣaysa. 
ACT.11.21	Tǝdhal-tan tarna ǝn Mǝššina daɣ awa taggin, tǝzzar ǝzzǝgzanan aytedan aggotnen ǝs Ɣaysa Ǝlmǝsix, ǝtuban, ǝlkaman y Ǝmǝli imosan ǝmǝnokal-nasan.
ACT.11.22	Isalan n awen ewadan-in Ǝlkǝnisat ta tǝhat Yerusalam, tǝzzar tǝzammazal Barnabas s ǝɣrǝm n Antǝyoxǝya. 
ACT.11.23	As din-osa inay arraxmat ǝn Mǝššina ta du-tǝzzǝbbet den, iddǝwat. Tǝzzar ig-asan ketnasan ǝnnǝsixa imosan ad ǝlkǝman y Ǝmǝli. 
ACT.11.24	Ǝnta iman-net Barnabas, alǝs olâɣan a imos, itkâran Infas wa Zǝddigan, issohat deɣ ǝzǝgzan-net. Ǝzzǝgzanan aytedan wiyyad aggotnen s Ǝmǝli Ɣaysa. 
ACT.11.25	Amaran ikka Barnabas aɣrǝm ǝn Tarsa, isaggad i Talut. 
ACT.11.26	As t-igraw, iddew-du dǝr-ǝs s Antǝyoxǝya. Ǝgan daɣ-as awatay iɣrâdan osâɣan ǝd nalkiman ǝn Ɣaysa win ǝhanen Ǝlkǝnisat ten, sasaɣrin aytedan aggotnen. Aɣrǝm wen da n Antǝyoxǝya en a daɣ ǝssǝntan aytedan teɣaray nalkiman ǝn Ɣaysa s esǝm wa n «ǝlmǝsixitan».
ACT.11.27	Adan en da a daɣ ǝgmadan ǝnnǝbitan wiyyad Yerusalam, ǝrasan s ǝɣrǝm wa n Antǝyoxǝya. 
ACT.11.28	Ibdad iyyan daɣ-san igân esǝm Agabus, imal dat alwaq ǝs tarna n Infas wa Zǝddigan as, ilkâm ad agu laz labasan daɣ ǝddǝnet ketnet. Laz en da deɣ osa-du s ǝmmǝk was t-imal daɣ azzaman n ǝmǝnokal Klawdǝyus Qaysara. 
ACT.11.29	Tǝzzar namardan nalkiman ǝn Ɣaysa win Antǝyoxǝya fǝl tanat tǝmosat ad irǝg akkiyyan daɣ-san awa ifrag sǝssiwǝyan tadhǝlt ta i mǝdrayan-nasan daɣ ǝzǝgzan win ǝhanen akal ǝn Yahudǝyya. 
ACT.11.30	Ǝgan awen da, ǝgan širgitan-nasan daɣ ǝfus ǝn Barnabas ǝd Talut y a tanat-awǝyan i muzaran n Ǝlkǝnisat ta tǝhat Yahudǝyya.
ACT.12.1	Azzaman en da a daɣ issǝnta ǝmǝnokal Herod ǝzǝɣɣǝzzǝb n arat daɣ aytedan n Ǝlkǝnisat. 
ACT.12.2	Isassanɣa ǝs takoba Yaqub wa n amadray ǝn Yaxya. 
ACT.12.3	As inay as oggaman Kǝl-Ǝlyǝhud awen, isattarmas Butros. Itaggu awen adan n ǝmud wa daɣ tattin aytedan šigǝlwen šin wǝr iha xamira. 
ACT.12.4	Isassag-ay daɣ kasaw, issǝwǝq-qu i maraw sojitan ǝd sǝdis a tu-tinǝmǝzrǝynen s ǝkkoz ǝkkoz. Otâs a das-išrǝɣ dat awedan kul dǝffǝr ǝmud wa n Akkay. 
ACT.12.5	A iha Butros kasaw den, Ǝlkǝnisat ǝnta tǝdgâz wǝllen tǝtansay-as Mǝššina.
ACT.12.6	As ahad wad zʼifaw išrǝɣ-as Herod, insâ Butros gǝr ǝššin sojitan a t-ǝttâfnen s ǝššin sassaran, ǝbdâdan deɣ magazan wiyyad dat ǝmi ǝn kasaw. 
ACT.12.7	Wala a ihogan inafalal-du angalos iyyan n Ǝmǝli, imalawlaw adag wa daɣ insa Butros daɣ ammas ǝn kasaw. Tǝzzar idas angalos tasaga ǝn Butros, issǝnkar-tu inn-as: «Ǝbdǝd tarmâd!» Ǝrtakan sassaran win as ǝkradan fassan-net daɣ tamazayt ten. 
ACT.12.8	Harwa inn-as: «Ǝzlǝg isǝlsa-nak, tǝsǝlaɣ iɣateman-nak.» Iga Butros awen da. «Ǝmǝrǝdda ǝzlǝg ǝbǝrnuz-nak, tǝlkǝmaɣ-i-du.» 
ACT.12.9	Igmad-du Butros ilkâm y angalos, wǝr issen as awa itaggu angalos den tidǝt a imos, iɣil targǝt awen. 
ACT.12.10	Okayan fǝl magazan win azzarnen ǝd win ǝllanen dǝnnǝg-san, amaran osan-du tǝsǝhǝrt ǝn tǝzoli tǝswâdat sa sǝr ǝɣrǝm. Tǝnnolam dat-san šin man-net, ǝrdaɣan. Ǝssǝwalan ǝd tarrayt iyyat, wala a ihogan ifal-tu angalos.
ACT.12.11	Tǝzzar iggaz Butros annawalat n aɣaf-net, inna: «Ǝmǝrǝdda ǝkkasaɣ aššak daɣ-as, Ǝmǝli Mǝššina a d-izammazalan angalos-net, ikkas-i-du daɣ fassan n ǝmǝnokal Herod ǝd talbast kul tas ǝran Kǝl-Ǝlyǝhud a di-tǝgrǝw.» 
ACT.12.12	Amaran igra taɣara-net, ikka ehan ǝn Maryama ta n anna ǝn Yaxya was itawannu Markus. Ǝmminayan ɣur-ǝs aytedan aggotnen tansayan Mǝššina. 
ACT.12.13	Ikawkaw imi n aɣalla, tǝgla-du tamaššaɣalt tǝgât esǝm Ɣoda y ad tǝssǝn awa imos awedan. 
ACT.12.14	As tǝzday ǝmǝsli ǝn Butros, awa tǝga daɣ tǝdǝwit, edag n a das-talǝm, tozal tǝqqal ammas n ahan, tǝmal as Butros illa dat ǝmi n aɣalla. 
ACT.12.15	Ǝnnan-as: «Kam, ǝmmǝskǝl a tǝgeɣ!» Mišan tǝzazzayyar-asan daɣ-as ǝnta daɣ awen. Amaran ǝnnan-as: «Daɣ adi angalos-net adi.» 
ACT.12.16	A ǝgannin awen, Butros ǝnta itakawkaw-asan imi n aɣalla. As olaman, ǝnayan-tu, iga sǝr-san awen ǝsǝmmǝklǝl labasan. 
ACT.12.17	Isaddagan-asan s ǝfus-net ad affastin, tǝzzar imal-asan tǝmǝwit kul tas t-id-ikkas Ǝmǝli Mǝššina daɣ kasaw. Inn-asan deɣ: «Ǝmǝlǝt adi i Yaqub ǝd mǝdrayan-nana win hadatnen.» Amaran ifal-tan, ikka edag iyyan. 
ACT.12.18	As affaw, tǝga tǝnajarwayat labasat daɣ sojitan; akk iyyan isastan ǝmidi-net d awa iga Butros. 
ACT.12.19	As t-id-aba y aytedan win as t-issǝswad Herod, issǝstan sojitan win t-ogaznen, amaran omar s ad tawanɣin kǝrǝz. Dǝffǝr awen igmad Herod akal wa n Yahudǝyya, izagaday ikka aɣrǝm ǝn Qaysarǝya y a daɣ-as agu tamert.
ACT.12.20	Awen as itaggu, Herod ih-ay alham labasan n aytedan n ǝɣrǝm wa n Tir ǝd wa n Sidon. Idhal-tan Blastus wa n ǝmǝššewwǝr ǝn Herod, namannakan zammazalan ǝs Herod almawakkilan-nasan, fǝl a dǝr-ǝs aknin, fǝlas akal-net a du-gammadan sudar-nasan. 
ACT.12.21	As d-osa ǝzǝl wa itawasanafranan, izlag Herod isǝlsa-net win taɣmar tǝzzar iqqim fǝl tǝxawit-net ta n taɣmar, amaran iššewal i tamattay. 
ACT.12.22	Ad saɣaren aytedan, gannin: «Ǝmǝsli wa in ǝmǝli iyyan, wǝrgeɣ in awedan!» 
ACT.12.23	Wala a ihogan iwat-tu angalos n Ǝmǝli fǝlas igi a iga iman-net daɣ adag ǝn Mǝššina, wǝr iga y Ǝmǝli adkul wa dǝr ihor; tǝzzar ǝtšanat-tu tǝwakkawen, aba-tu.
ACT.12.24	Awal ǝn Mǝššina ǝnta, igla itiwǝzǝwiz, tigatan aytedan win sǝr ǝzzǝgzannen.
ACT.12.25	Amaran Barnabas ǝd Talut as ǝɣradan ǝššǝɣǝl wa tan-d-ewayan s ǝɣrǝm ǝn Yerusalam, ǝqqalan s as d-ǝhan, ǝddewan ǝd Yaxya was itawannu Markus.
ACT.13.1	Ǝlkǝnisat ta tǝhat aɣrǝm n Antǝyoxǝya ǝhân-tat ǝnnǝbitan ǝd mǝsǝssǝɣra ǝmosnen Barnabas ǝd Simɣon was itawannu "Akawel" ǝd Luqǝyus wa n akal ǝn Qǝrwan ǝd Manahin wa inamadwalan d ǝmǝnokal Herod daɣ ahan iyyanda amaran ǝd Talut. 
ACT.13.2	Ǝzǝl iyyan ad ǝmminayan ǝɣbâdan Ǝmǝli ǝzuman deɣ, inn-asan Infas wa Zǝddigan: «Sǝwǝrat-i Barnabas ǝd Talut aganna fǝl ad agin ǝššǝɣǝl was tan-d-ǝɣreɣ.» 
ACT.13.3	Ǝzuman ǝgan šiwatriwen tǝzzar, amaran ǝssǝwaran Barnabas ǝd Talut ifassan-nasan ǝgan-asan šiwatriwen, dǝffǝr adi ǝssǝglan-tan.
ACT.13.4	Issoka Infas wa Zǝddigan Barnabas ǝd Talut aɣrǝm ǝn Salukǝya. Ǝggazan daɣ-as aɣlal n aman ǝkkan akal imosan gǝrwǝtlan as itawannu Qibrus. 
ACT.13.5	As osan aɣrǝm ǝn Salamin, ad ǝmmâlan awal ǝn Mǝššina daɣ nan n ǝlɣibada win Kǝl-Ǝlyǝhud. Iddew dǝr-san Yaxya was itawannu Markus. Illil-asan idhâl-tan.
ACT.13.6	Ǝrzagan Qibrus, sannaqqaban-tu har osan aɣrǝm ǝn Bafus. Den da ad ǝmmǝnayan d alǝs iyyan ǝn Kǝl-Ǝlyǝhud igân esǝm Bar-Ɣaysa n amaššaɣaw, igannin ǝnta ǝnnǝbi. 
ACT.13.7	Amaran osâɣ ǝd Sarjǝyus Bulǝs wa n ǝnaxkim n akal, imosan awedan ilân ǝgǝrri. Issǝgmay ǝmuzar wa Barnabas ǝd Talut fǝlas ikna ǝsǝnnǝhǝl ǝn tara n ad aslu y awal ǝn Mǝššina. 
ACT.13.8	Mišan inkar Elǝymas wa n amaššaɣaw – awen da a imosan almaɣna n esǝm-net daɣ tǝlyunant – iqqal ǝllid-nasan, ad igammay d ad igdǝl y ǝnaxkim wen ǝzǝgzan. 
ACT.13.9	Tǝzzar ijajjanɣal daɣ-as Talut, as itawannu deɣ Bulǝs, igrâwan s igǝt Infas wa Zǝddigan, 
ACT.13.10	inn-as: «Agg Aššaytan, azangaw n arat kul wa oɣadan. Wǝr t-illa ǝzzǝnǝf ǝn tǝkǝrras a kay-wǝr-nǝha, ǝmǝkkerrǝs n ǝnallabus a tǝmosaɣ. Ǝmmay ad za tammazzayaɣ d agamay n ǝsǝfrǝɣ ǝn tarrayt toɣâdat n Ǝmǝli Mǝššina?
ACT.13.11	Ǝmǝrǝdda ǝnǝy, a fall-ak assansu Ǝmǝli ǝfus-net, taddarɣala. Ad tagaɣ azzaman wǝr tǝlesaɣ anay n ǝnnur ǝn tǝfuk.» Tamazayt ten da a fall-as ǝganat šiyyay, idalammat fall-as amaḍal, tǝzzar ad iddâz, igammay i t-ilwayan. 
ACT.13.12	As inay ǝnaxkim wen awa igan den, izzǝgzan. Isimaklal sǝr-ǝs ǝsǝssǝɣri was isla daɣ batu n Ǝmǝli.
ACT.13.13	Iggaz Bulǝs aɣlal n aman ǝnta ǝd midawan-net daɣ Bafus, ǝkkan aɣrǝm ǝn Bǝrge ihân akal ǝn Banfilǝya. Den da a dǝr-san immǝzzay Yaxya was itawannu Markus, iqqal Yerusalam. 
ACT.13.14	Ǝntanay amaran ǝgmadan Bǝrge, ǝkkan aɣrǝm n Antǝyoxǝya wa n akal ǝn Bissidǝya. As iga ǝzǝl wa n tǝsanfawt, ǝggazan ehan n ǝlɣibada ǝn Kǝl-Ǝlyǝhud, ǝqqiman. 
ACT.13.15	As tawaɣran daggan daɣ Ǝttǝwret d Ǝlkǝttaban win Ǝnnǝbitan sa hadan, ǝnnan-asan-in muzaran n ahan n ǝlɣibada wen: «Imǝdrayan-nana, kud tǝll-ay batu as za tǝsǝssuhet ǝzǝgzan n aytedan, tagim-tat.» 
ACT.13.16	Ibdad Bulǝs, isaddagan-asan s ǝfus-net ad affastin, amaran inna: «Meddan win Kǝl-Israyil ǝd kawanay win miksadan ǝn Mǝššina, sǝsǝmat-i!
ACT.13.17	Mǝššina di n Ǝmǝli ǝn tamattay ta da n Israyil a isannafranan imarawan-nana, tǝzzar issǝgat-tan daɣ elan win daɣ ǝmosan inaftaɣan daɣ akal ǝn Masar, dǝffǝr adi ikkas-tan-du daɣ-as ǝs tarna n ǝfus-net. 
ACT.13.18	Iga edag n ǝkkozat tǝmǝrwen n awatay, šin ǝgan daɣ taneray, izizaydar dǝr-san. 
ACT.13.19	Ikf-en as ǝrzan ǝssayat tawšeten daɣ akal ǝn Kanan, ikf-en akal-nasan, iggaz tǝkasit-nasan. 
ACT.13.20	Awen ketnet, edag n ǝkkozat tǝmad n awatay ǝd sǝmmosat tǝmǝrwen a daɣ iga. Dǝffǝr awen a dasan-izuzir ǝlqalitan taqqalan-asan imǝnokalan har azzaman n ǝnnǝbi Samǝwel.
ACT.13.21	Azzaman en da a daɣ ǝgmayan ǝmǝnokal, tǝzzar ikf-en Mǝššina Talut ag Kiš wa n tawšet ta n Benyamin. Iga ǝkkozat tǝmǝrwen n awatay ixkâm fall-asan. 
ACT.13.22	Dǝffǝr adi ikkas-tu Mǝššina da taɣmar, iga Dawǝd daɣ adag-net s ǝnta a fǝl inna Mǝššina: "Ǝgrawa Dawǝd ag Yasay, imosan alǝs ilkâman i tara-nin, wa zʼammazalan ǝs tara-nin ketnet."
ACT.13.23	Ihayawan-net a daɣ d-ikkas Mǝššina Ɣaysa s ǝnta a imosan Ǝmaɣlas was iga arkawal-net i Kǝl-Israyil. 
ACT.13.24	Dat assa-net ad iga Yaxya i tamattay n Israyil ketnet isalan ǝmosnen ad utaban, tǝwǝsǝlmǝɣan daɣ aman, assaknu adi tǝtubt-nasan. 
ACT.13.25	As ibuk Yaxya y ǝsǝndi n ǝššǝɣǝl-net, ad igannu: "Ma tǝɣilam, ma ǝmosaɣ? Wǝr ǝmosaɣ za awedan was tǝɣilam. Kala, kala! Ilkâm-i-du, nak wǝr ǝweda wala arra ǝn suɣan ǝn ɣateman-net."
ACT.13.26	Imǝdrayan-in kawanay win hayawan n Ibrahim ǝd kawanay win wǝr nǝmos Kǝl-Ǝlyǝhud tǝksudam Mǝššina, isalan n ǝlɣillas wa, nakkanay as tan-d-issoka Mǝššina. 
ACT.13.27	Amaran aytedan ǝn Yerusalam ǝd muzaran-nasan wǝr ǝgren awa imos Ɣaysa, wǝr ǝgren deɣ wala daɣ awa ǝnnan ǝnnǝbitan daɣ Ǝlkǝttaban win tawaɣrinen akk ǝzǝl wa n tǝsanfawt daɣ nan n ǝlɣibada, ǝssǝndan awa ǝnnan ǝnnǝbitan win di s abbaz wa t-ǝgan s ǝššǝriɣa. 
ACT.13.28	Wǝr ǝgrewan arat waliyyan a t-issiwaran tamattant, mišan harkid awen, ǝgmayan daɣ Bilatǝs a daɣ-as tǝwǝkkǝsan man. 
ACT.13.29	As ǝssǝndan arat kul awa fall-as ǝnnan Ǝlkǝttaban, ǝkkasan-t-idu fǝl tǝgǝttawt, ǝgan-tu daɣ ǝzǝkka. 
ACT.13.30	Mišan issǝnkar-t-idu Mǝššina daɣ tamattant. 
ACT.13.31	Iga adan aggotnen itinǝfilil y aytedan win dǝr-ǝs d-ǝddawnen daɣ akal ǝn Galilaya ǝgǝzzayyan s ǝɣrǝm ǝn Yerusalam. Ǝntanay a ǝmosnen ǝmǝrǝdda šigǝyyawen-net ɣur tamattay n Israyil.
ACT.13.32	Amaran nakkanay da, nǝtagg-awan isalan n Ǝlinjil, ǝmosnen isalan win as itawagga arkawal-nasan i marawan-nana. 
ACT.13.33	Arkawal wen issǝnd-anaq-qu Mǝššina nakkanay win hayawan-nasan s ǝsǝnkǝr wa d-iga Ɣaysa s ǝmmǝk was iktab daɣ tǝsarnat ta n sanatat n Azzabur, as inna daɣ salan ǝn Ɣaysa: 
ACT.13.34	Ǝsǝnkǝr wa t-id-iga Mǝššina daɣ tamattant, da wǝr tǝrḳa tǝɣǝssa-net daɣ ǝzǝkka imâl-tu Mǝššina daɣ Ǝlkǝttaban ǝs tǝmǝwit ta, as inna: 
ACT.13.35	Iktâb deɣ as: 
ACT.13.36	Dawǝd amaran, dǝffǝr as immozal daɣ azzaman-net s aratan win ixtas Mǝššina, aba-tu, itawanbal dǝgma ǝn marawan-net, tǝrḳa tǝɣǝssa-net; 
ACT.13.37	mišan Ɣaysa, ǝnta a d-issǝnkar Mǝššina daɣ tamattant, wǝr tǝrḳa tǝɣǝssa-net. 
ACT.13.38+ACT.13.39	Daɣ adi imǝdrayan-in ǝssǝnat as tǝsureft ǝn bakkadan, tǝttimal-awan ǝs tarrayt-net; amaran i sǝr-ǝs izzǝgzanan ad igrǝw tǝdarfit daɣ aratan kul win as wǝr ifreg tǝdarfit daɣ-san ǝs tarrayt ta n lǝkkum y ǝššǝriɣa wa d-izzǝbben fǝl ǝnnǝbi Musa.
ACT.13.40	Adi a fǝl za tǝnkǝdam y a kawan-igrǝw awa ǝmalan ǝnnǝbitan, as ǝnnan: 
ACT.13.42	Igammad Bulǝs ǝd Barnabas as daɣ-san ǝgmayan aytedan ad d-ǝlǝsan tewaɣlay ǝzǝl ǝn tǝsanfawt wa d-izayan fǝl a dasan-ǝššitin daɣ igi ǝn salan win den. 
ACT.13.43	As tǝwazawaz ǝljǝmaɣat, ǝddewan Kǝl-Ǝlyǝhud aggotnen d aytedan wiyyad ad d-ǝhdânen s ǝddin wa n Kǝl-Ǝlyǝhud ǝd Bulǝs ǝd Barnabas. Mašawalan dǝr-san, gammayan daɣ-san ad zǝzzǝwen daɣ arraxmat ǝn Mǝššina ta ǝgrawan.
ACT.13.44	As d-iɣlay ǝzǝl wa n tǝsanfawt, tǝddew-du taššam n ǝɣrǝm ketnet y ad issǝsǝm y awal n Ǝmǝli. 
ACT.13.45	As ǝnayan Kǝl-Ǝlyǝhud igǝt ǝn tamattay, ǝggaznat-tan tǝsmiten labasnen, ad sabahawan Bulǝs, rabbadan-tu. 
