MAT.1.1	Taariika iwdi Iisaa *Almasiihu mo Daawuuda mo Ibraahiima.
ACT.10.31	On wi'immi: ‹Korneliyuusu, torndeeji maa ɗin jaɓaama, Alla kadi maanditike dokke ɗe okkorɗaa miskinɓe ɓen. 
ACT.10.32	Jooni immin ko yaha Jaffaa, addane oo wi'eteeɗo Sim'uunu jammaaɗo Petruusu. On no weeri e suudu garankeejo no wi'ee kadi Sim'uunu ka daande baharu.› 
ACT.10.33	Ɗon kisan mi immini ko yahane, an kadi a moƴƴinii ko arɗaa kon. Jooni non, men fow meɗen ɗoo yeeso Alla fii heɗagol ko Joomiraaɗo on yamir-maa kon fow.»
ACT.10.34	Onsay Petruusu ƴetti haala kan, wi'i: «Ka haqiiqa mi faamii ɗun, fow no fota yeeso Alla. 
ACT.10.35	E nder leƴƴi ɗin fow, kala huluɗo mo, jokki peewal, o jaɓanay ontigi. 
ACT.10.36	O tippinanii *Banii-Isra'iila'en daaluyee on, fii ko feɲɲinana ɓe Kibaaru Moƴƴo wonduɗo e ɓuttu on, rewrude e Iisaa Almasiihu on, on Joomi yimɓe ɓen fow. 
ACT.10.37	Onon tigi hiɗon andi ko feƴƴunoo kon Jaliilu, haa hewtoyi diiwal Yahuuda ngal fow, ɓawto *lootagol maande tuubuubuyee ko Yaayaa waajinoo fii mun kon. 
ACT.10.38	E ko honno Allaahu on yeɗiri Iisaa, oo jeyaaɗo Naasirata, *Ruuhu Seniiɗo on wondude e bawgal, ɗun ko on yahaynooɗo hen fow, waɗa moƴƴere, sellina ɓe jinna nangunoo fow, sabu tawde Alla no wondunoo e makko.
ACT.10.39	«Ko men seedee kadi ko o waɗi kon fow e nder ndii leydi Yahuudiyankeeɓe haa naɓani Yerusalaam. Ɓe wariri mo fempugol mo e leggal, wenga. 
ACT.10.40	Allaahu on immintini mo ka ɲalaande tammere, o newnani mo kadi hollitagol, 
ACT.10.41	hinaa non e yimɓe ɓen fow, kono e seedeeɓe ɓe Allaahu on suɓinoo aranun ɓen, ɗun ko menen ɓee ɲaamiduɓe e makko, yaridi ɓawto immintineede makko e hakkunde mayɓe ɓen. 
ACT.10.42	Kanko Iisaa o yamiri men waajagol jamaa on, fellintinana ɓe wonde Allaahu on toɗɗike mo kanko tigi ɲaawoowo wurɓe e mayɓe. 
ACT.10.43	Awa kadi annabaaɓe ɓen fow seeditaninoke mo wonde kala gomɗinɗo mo heɓay yaafuyee junuubaaji e innde makko.»
ACT.10.44	Nde tawnoo Petruusu no waajaade fii ɗun, Ruuhu Seniiɗo on tippii e ɓen wonnooɓe heɗaade ngol kongol ɗon fow. 
ACT.10.45	Gomɗinnooɓe sunninaa ɓen fow, ɗun ko ɓee ɓe Petruusu ardii, ŋalɗi fii ko ɓe wonaa Yahuudiyanke ɓen okkaa kon Ruuhu Seniiɗo on. 
ACT.10.46	Ko fii hari hiɓe nanaynoo hiɓe wowla e *haalaaji janani, manta Alla.
ACT.10.46	Onsay Petruusu ƴetti haala kan, wi'i: 
ACT.10.47	«E hara en salanto ɓee heɓuɓe Ruuhu Seniiɗo on ndiyan ko ɓe lootora maande kisiyee wano heɓirɗen non enen kadi?» 
ACT.10.48	Onsay o yamiri yo ɓe loote maande kisiyee e innde Iisaa Almasiihu on. Kamɓe kadi ɓe torii mo wondugol e maɓɓe e nder balɗe.
ACT.11.1	Sahaabaaɓe* wonɓe ka diiwal Yahuuda ɓen e ɓe ɓe wondi e laawol gootol ɓen, nani wonde ɓe wonaa Yahuudiyanke ɓen jaɓii daaluyee Alla on. 
ACT.11.2	Ɓay kanko Petruusu o yahii Yerusalaam, gomɗinɓe sunninaa ɓen ɓanniti mo, feli, ɓe wi'i: 
ACT.11.3	«A naatii ka ɓe *sunninaaka ɓen, awa kadi a ɲaamidii e maɓɓe!»
ACT.11.4	Onsay Petruusu nangi ɓe sifanagol fii ɗun, 
ACT.11.5	o wi'i: «Fewndo ko mi woni ka saare Jaffaa, hari miɗo toroo Alla, mi feɲɲinanaa goɗɗun. E nder ɗun, mi yi'i huunde nanditaynde e sollewol fontiingol njanol jogaangol e coɓɓi ɗin nay no tippoo tawammi. 
ACT.11.6	Ɓay mi ndaarii ɗun, mi tenƴinii, mi yi'i ton kulle yaarayɗe koyɗe nay ɗen ka hoore leydi e kulle buruure ɗen e kulle daasotooɗe ɗen e colli wiirooji ɗin. 
ACT.11.7	Mi nani hawa no wi'ammi: ‹Petruusu, immo waraa, ɲaamaa!› 
ACT.11.8	Kono mi wi'i: ‹Oo'o Joomiraaɗo! Ko fii haa hande ko tuuni maa ko laaɓaa naataali ka hunduko an!› 
ACT.11.9	Ka ɗimmun hawa kan fillitii ka kammu, wi'immi: ‹Wota a jogor ko Allaahu on laɓɓini kon wa ko tuuni.› 
ACT.11.10	Ɗun warri non haa laabi tati, onsay fow ƴentinaa ka kammu.
ACT.11.11	«Tun mi yi'i yimɓe tato imminaaɓe e an iwruɓe Seezariiya no ara ka suudu ka men woni ɗon. 
ACT.11.12	Ruuhu Allaahu on yamirimmi yaadugol e maɓɓe, hara mi sikkitaaki. Ko ɓee musiɓɓe ɗoo njeegoo ɗowtimmi haa men naatoyi ka galle Korneliyuusu. 
ACT.11.13	On sifanii men ko honno o yiiri malaa'ikaajo on no darii ka suudu makko, e ko o wi'i mo: ‹Immin ko yahana oo wi'eteeɗo Sim'uunu jammaaɗo Petruusu wonɗo on Jaffaa. 
ACT.11.14	On yeetoto ma konguɗi ɗi daɗirtaa ɗin, an e ɓeynguure maa nden fow.›
ACT.11.15	«Ɓay min kadi mi nanganii yewtugol, *Ruuhu Seniiɗo on tippii e wonɓe ɗon ɓen wano o tippornoo non e men ka fuɗɗoode. 
ACT.11.16	Onsay mi anditi ngol daalol ngol Joomi on wi'unoo wonde: ‹Yaayaa kaɲun ko ndiyan lootiraynoo, kono onon ko Ruuhu Seniiɗo on lootirteɗon.› 
ACT.11.17	Ɓay Allaahu on yeɗii ɓe kamɓe kadi ko o yeɗunoo en kon, enen ɓee gomɗinɓe Iisaa Almasiihu Joomi on, hari ko mi hombo haa ka mi dartoo Alla?»
ACT.11.18	Ɓay gomɗinɓe sunninaa ɓen nanii ɗun, ɓe fanki, ɓe manti Alla, e hoore hiɓe wi'a: «Allaahu on yeɗii ɓe wonaa Yahuudiyanke ɓen tuubuubuyee fii no ɓe heɓira ngurndan!»
ACT.11.19	Saakitinooɓe ɓen sabu ɓittineede ɓawto waregol Astefaana, ɓe yahi haa Fenisii e ka suriire Siipuru e haa Antiyoosi-Sirii. Tawi ɓe alaa ɓanginande hay gooto daaluyee on si wonaa Yahuudiyankeeɓe ɓen. 
ACT.11.20	Heɓii ton e hakkunde ɓen saakitinooɓe, ɓe Siipuru e ɓe Sirenii, arɓe Antiyoosi-Sirii, yewti ɓee *Gereekiyankeeɓe, feɲɲinani ɓe fii Kibaaru Moƴƴo Iisaa Joomi on. 
ACT.11.21	Tawi jungo Joomiraaɗo on no e hoore maɓɓe, yimɓe buy gomɗini, jaɓi Joomi on.
ACT.11.22	Nde *moftal ngal Yerusalaam humpitinoo ɗun, ɓen kadi immini Barnabaasi ko yaha Antiyoosi-Sirii. 
ACT.11.23	Ɓay o hewtii, o yi'ii moƴƴere Alla nden, o weltii, o wakkilini ɓe fow catorgol e Joomi on ɓernde tabitunde, 
ACT.11.24	ko fii hari on ko aaden moƴƴo heewuɗo gomɗinal e Ruuhu Seniiɗo on. Konu yimɓe ɗuuɗungu jokki Joomi on.
ACT.11.25	Onsay Barnabaasi yaari Tarsiisu fii yahangol Saawulu. 
ACT.11.26	Ɓay o tawii mo, o ardi e makko Antiyoosi-Sirii. E nder hitaande fow hiɓe tawdeede e tumbondire moftal ngal, e hoore ɗun hiɓe jannude jamaa yimɓe ɗuuɗuɓe. (Ko Antiyoosi-Sirii ɗon taalibaaɓe ɓen attaa noddeede *Almasiiyaaɓe.)
ACT.11.27	E nder ɗen balɗe ɗon, haalooɓe ko Alla longini ɗun iwi Yerusalaam, ari Antiyoosi-Sirii. 
ACT.11.28	Goɗɗo e ɓen no wi'ee Agabuusi, on immii *hiitii tippude e Ruuhu Allaahu on, o wi'i wonde heege moolanaange waɗay e aduna on fow. (Ɗun waɗi-le e fewndo laamu Kuloodiyuusu.) 
ACT.11.29	Taalibaaɓe ɓen anniyii wonde mo bee e maɓɓe wallitoto musiɓɓe maɓɓe wonɓe ɓen ka diiwal Yahuuda embere taaqa maɓɓe on. 
ACT.11.30	Ɓe waɗi ɗun, ɓe watti e juuɗe Barnabaasi e Saawulu yo ɓen naɓu, jonna ardotooɓe moftal ngal ɓen.
ACT.12.1	Ko e fewndo on saa'i, oo lanɗo wi'eteeɗo *Heroodu nangi woɓɓe e *moftal ngal fii lettugol ɓe. 
ACT.12.2	O wariri Yaaquuba kaafa, ɗun ko oo kotiraawo Yuuhanna. 
ACT.12.3	Nde o ndaarunoo o tawi ɗun no wela Yahuudiyankeeɓe ɓen, o nangi Petruusu kadi. Ɗun hawrondiri e *Juldeere Bireedi ɗe Aldaa e Lewen nden. 
ACT.12.4	Ɓay o nangii mo, o ferii mo ka kaso, o itti mojobe nay ko ayna mo, mojobere kala suufaaɓe nayo. Hari e miijo makko ko si *Juldeere Yawtaneede nden feƴƴii o ɲaawa mo yeeso jamaa on. 
ACT.12.5	Ko kanko Petruusu o woni ka kaso, moftal ngal duumii e toranagol mo Alla.
ACT.12.6	Weetaynoo Heroodu ɲaawa mo, e on jemma mun, tawi kanko Petruusu himo jolkaa jolokooje ɗiɗi, ɗaanii hakkunde suufaaɓe ɗiɗo, tawi aynooɓe kaso ngon no dartori ka dambugal. 
ACT.12.7	Onsay malaa'ikaajo Joomiraaɗo on feeɲani mo, ka o wonnoo ɗon ndaygi. O findiniri mo kanko Petruusu mbaɓɓugol mo ka becce, o wi'i mo, «Immo tinna!» Jolokooje wonnooɗe ka juuɗe makko ɗen yani.
ACT.12.8	Malaa'ikaajo on wi'i mo kadi: «Haɓɓu duhol maa ngol, wattoɗaa paɗe maa ɗen.» O waɗi ɗun. Malaa'ikaajo on wi'i mo: «Waano burmusu maa on, jokkaa mi.» 
ACT.12.9	Petruusu yalti, jokki mo, tawi o andaa si ballal malaa'ikaajo on ko goonga, tawi himo sikka ko feɲɲinannde tun o heɓi. 
ACT.12.10	Ɓay ɓe feƴƴii ayninaaɓe yeeso ɓen e hikkuɓe ɗon ɓen, haa ɓe hewtii ka baafal njandi feƴƴeteengal si yahee ka saare, onsay ngal udditanii hoore maggal yeeso maɓɓe, ɓe yalti, ɓe yaadi haa e laawol. Tun malaa'ikaajo on seedi e makko.
ACT.12.11	Kanko Petruusu o hetti non hakkil, o wi'i: «Jooni non, ka haqiiqa, mi andii wonde Joomiraaɗo on imminii malaa'ikaajo mun on, o sortii lan e juuɗe Heroodu e kala ko jamaa Yahuudiyankeeɓe ɓen tijjinoo e hoore an.»
ACT.12.12	Ɓay o faamii ko waɗi kon, o yahi ka galle Mariyama yumma Yuuhanna jammaaɗo Markuusa, ka woɓɓe mooɓinoo no toroo. 
ACT.12.13	Ɓay o hoɗɗike baafal ngal ka naatirgal, jiwo kurkaaduujo no wi'ee Rodaasi ɓadoyii fii andugol ko hombo. 
ACT.12.14	Ɓay o anditii hawa Petruusu kan, hakkee ko o weltii, ɗoo yo o udditu baafal ngal, o yahi taho, o andinoyi ɓeya wonde Petruusu no ka naatirgal.
ACT.12.15	Ɓen wi'i mo: «A feetii!» Kono o wi'i ko goonga. Ɓen wi'i: «Awa ko malaa'ikaajo makko on!»
ACT.12.16	Kono tawi Petruusu no jokki tun hoɗɗagol. Ɓay ɓe udditoyii, ɓe yi'ii mo, ɓe ŋalɗi fota. 
ACT.12.17	O fankiniri ɓe yeƴangol ɓe juuɗe makko ɗen, o sifanii ɓe ko honno Joomiraaɗo on yaltiniri mo ka kaso. O yamiri ɓe, o wi'i: «Andinee ɗun Yaaquuba e musidal ngal.» Onsay o yalti ɗon, o yaari nokku goo.
ACT.12.18	Ɓay weetii, jiiɓoldu tiiɗundu waɗi e hakkunde suufaaɓe ɓen, ɓe woni e landondirgol ko honto Petruusu woni. 
ACT.12.19	Heroodu kadi ɗaɓɓiti mo, kono o yi'aali mo. O landii suufaaɓe ɓen, o yamiri yo ɓe ware. Onsay kanko Heroodu o iwi ka diiwal Yahuuda ɗon, o yaari Seezariiya fii wonugol ton.
ACT.12.20	Tawi kanko Heroodu himo haɓidi e Tiiriyankooɓe ɓen e Siduunayankooɓe ɓen. Ɓe ari ɓe tawi mo e nder nanondiral maɓɓe. Ɓay ɓe hettii Balastuusa oo dankotooɗo kaybonru lanɗo on, ɓe torii ɓuttu, sabu tawde ko leydi on lanɗo tambitinoo leydi maɓɓe ndin. 
ACT.12.21	Ɓay ɲalaande nde ɓe haldunoo nden hewtii, kanko Heroodu o ɓornii conci makko laamu ɗin, o jooɗii ka jullere makko laamu, o yewti ɓe kamɓe jamaa on. 
ACT.12.22	Jamaa on nangi ewnagol wi'a: «Kaa hawa ko hito allaajo nii, hinaa hawa neɗɗo!» 
ACT.12.23	Ɗon kisan malaa'ikaajo Joomiraaɗo on liɓi nawnaare e makko, sabu tawde o jonnitaali Alla mangural ngal, o yilmi, o maayi.
ACT.12.24	Kono daaluyee Alla on ɓurti yaajude.
ACT.12.25	Ɓay Barnabaasi e Saawulu gaynii golle mun ɗen Yerusalaam, ɓe yiltitii Antiyoosi-Sirii, ɓe naɓori Yuuhanna oo jammaaɗo Markuusa.
ACT.13.1	Tawi haalooɓe ko Alla longini ɗun e jannooɓe no e nder *moftal wongal ngal Antiyoosi-Sirii, ɓen-le ko Barnabaasi e Sim'uunu jammaaɗo Ɓaleejo, e Lukiyuusi, oo mo Sirenii, e Saawulu e Manayiina, ɗun ko oo ne'idaaɗo e *Heroodu lanɗo diiwal ngal. 
ACT.13.2	E nder ko ɓe rewaynoo Joomiraaɗo on kon, ɓe hoora, *Ruuhu Seniiɗo on wi'i ɓe: «Waɗanee lan Barnabaasi e Saawulu feere fii golle ɗe mi noddiri ɓe ɗen.» 
ACT.13.3	Ɓay ɓe gaynii hoorude toroo, ɓe *fawi juuɗe maɓɓe ɗen e hoore Barnabaasi e Saawulu, ɓe nuli ɓe.
ACT.13.4	Ɓen ɓe Ruuhu Seniiɗo on immini, ɗun ko Barnabaasi e Saawulu, ɓe yahi Seluusi, ɓe bakii ɗon e laana ndiyan fii yahugol Siipuru. 
ACT.13.5	Ɓay ɓe hewtii Saalamini, ɓe feɲɲini daaluyee Alla on ka juulirɗe Yahuudiyankeeɓe ɓen. Tawi hiɓe wondi e oo wi'eteeɗo Yuuhanna jammaaɗo Markuusa fii ko wallitoo ɓe.
ACT.13.6	Ɓawto ɗun, ɓay ɓe taƴitoyii ndee suriire fow haa ɓe hewtoyii Paafuusa, ɓe tawi ɗon mbileejo goo, tawi on ko Yahuudiyankeejo waɗitiiɗo annabaajo, tawi on no wi'ee Bar-Iisaa. 
ACT.13.7	Tawi himo wondi e on addaaɗo lamminaa ngal diiwal, ɗun ko oo wi'eteeɗo Sargiisu Puulusa, tawi on lanɗo ko jooma-hakkiljo. On lanɗo noddi Barnabaasi e Saawulu ɓay himo faalanoo nanude daaluyee Alla on. 
ACT.13.8	Kono oo wi'eteeɗo Elimaasi, ɗun ko mbileejo on, (ko fii ko non innde makko nden firiraa), o dartii ɓe, tawi himo ɗaɓɓude fii no o bonnira gomɗinal lanɗo on. 
ACT.13.9	Onsay Saawulu, himo wi'ee kadi Puulusa, heewuɗo Ruuhu Seniiɗo on, tenƴini on mbileejo, o wi'i: 
ACT.13.10	«Ko an yo heewuɗo kala noone ƴoyre e bonki, ɓiɗɗo Ibuliisa, gaɲo kala peewal, a accataa bonnugol laawi feewuɗi Joomiraaɗo on? 
ACT.13.11	Jooni non heɗo! Joomiraaɗo on fawete jungo, wumaa, wona e saa'i mo a yi'ataa naange ngen.» Ɗon kisan niɓɓitani mo, niwre tiiɗunde yani e makko, o woni e memugol, tawi himo ɗaɓɓa woɓɓe ko ɗowa mo. 
ACT.13.12	Ɓay on lanɗo yi'ii kon ko waɗi, o ŋalɗi fii jannde Joomi on, o gomɗini.
ACT.13.13	Ɓay kanko Puulusa e wondiɓɓe makko ɓen ɓe iwii Paafuusa, ɓe bakii ɗon e laana ndiyan fii yahugol Pergii, ɗun ko e nder ndii leydi wi'eteendi Pamfilii. Ɓay ɓe hewtii ɗon, Yuuhanna jammaaɗo Markuusa on seedi ɗon e maɓɓe, o yiltitii Yerusalaam. 
ACT.13.14	Ɓay ɓe iwii Pergii, ɓe jokkitii laawol maɓɓe haa ɓe hewti ka saare Antiyoosi-Pisidii. Ɓe naati ɗon e nder juulirde, ɓe jooɗii, ɗun hawri e *ɲalaande fowteteende, ɗun ko e *aseweere nden. 
ACT.13.15	Ɓay fii Sariya on e fii annabaaɓe ɓen gaynaama jangeede, yeesooɓe juulirde nden immini woɓɓe e maɓɓe ko wi'a ɓe: «Musiɓɓe, si tawii hiɗon mari konguɗi wakkilinayɗi jamaa on, haray yewtee.»
ACT.13.16	Onsay kanko Puulusa o immii, o townani ɓe jungo, o wi'i: «Ko onon yo *Banii-Isra'iila'en e onon ɓee hulooɓe Alla, heɗitee! 
ACT.13.17	Alla oo jamaa Isra'iilayankeeɓe suɓike baabiraaɓe men ɓen, on Yaɲɲuɗo kadi oo jamaa fewndo ko ɓe woni tuŋarankeeɓe e nder ndii leydi *Misira, o yaltiniri ɓe ton kadi sookewo makko dolnungo ngon. 
ACT.13.18	O muɲɲanii ɓe kadi wa telen duuɓi cappanɗe nay ka wulaa. 
ACT.13.19	Onsay ɓay o mulii leƴƴi jeeɗiɗi e nder ndii leydi *Kanaana, o yeɗi baabiraaɓe men ɓen laral leydi ɓen ndin. 
ACT.13.20	Ɗun fow waɗi e nder duuɓi teemeɗɗe nay e cappanɗe jowi.
ACT.13.20	«Ɓawto ɗun o addani ɓe hooreeɓe, haa e fewndo annabi Samu'iila. 
ACT.13.21	Ɓawto ɗun ɓe torii heɓugol lanɗo. Onsay Alla addani ɓe Saawulu ɓiɗɗo Kiisi on, jeyaaɗo e oo bolondaa *Buniyamiinu, ko laamoo ɓe e nder duuɓi cappanɗe nay. 
ACT.13.22	Ɓay o follii onɗon, o lamminani ɓe Daawuuda, ɗun ko on mo o seeditornoo ɗunɗoo, o daali: ‹Mi taw Daawuuda mo Yassaa'u ko neɗɗo waalaniiɗo lan e ɓernde, timminoowo faaleeji an ɗin fow.›
ACT.13.23	Kanko Puulusa o wi'i kadi: «Ko tippude e fodoore makko nden kanko Alla waɗi si Iisaa jibinaa e nder bolondaa Daawuuda on, fii ko wonana Isra'iila'en dandoowo. 
ACT.13.24	Ado o arude, hari Yaayaa waajike jamaa Isra'iilayankeeɓe ɓen fow fii *lootagol maande tuubuubuyee. 
ACT.13.25	Fewndo kanko Yaayaa o timminaynoo golle makko ɗen, o wi'uno: ‹Hinaa min woni on mo sikkuɗon, kono on no ara ɓaawo an ɗoo, on mo mi hewtaa hay firtugol ɓoggi paɗe mun!›
ACT.13.26	Kanko Puulusa o wi'i kadi: «Ko onon yo musiɓɓe an, ɓiɓɓe bolondaa Ibraahiima, e hulooɓe Alla wonɓe hakkunde mon, ko haa e men enen ngol daalol kisiyee addaa. 
ACT.13.27	Ko fii yimɓe Yerusalaam ɓen e lamɓe mun ɓen andaali ko hombo woni Iisaa, awa kadi ɓe faamaali konguɗi annabaaɓe wonaaɗi jangeede ɗin asewe kala, ɓe laatiniri ɗi ɲaawugol mo. 
ACT.13.28	E hoore ɓe heɓaali hujja happanɗo mo wareede, kono ɓe torii Pilaatu yo o waru mo. 
ACT.13.29	Ɓe laatiniri nii ko windinoo kon fii makko. Onsay ɓe tippini mo ka *leggal altindiraangal, ɓe wallini mo e nder qaburu. 
ACT.13.30	Kono Allaahu on immintini mo e hakkunde mayɓe ɓen. 
ACT.13.31	Ɓen yaadaynooɓe e makko gila Jaliilu haa Yerusalaam, yi'itike mo e nder balɗe buy, ɓen ko seedeeɓe makko jooni yeeso jamaa on.
ACT.13.32+ACT.13.33	«Menen, meɗen feɲɲinande on wonde: Alla hunnii ko o fodunoo baabiraaɓe men ɓen kon e fayɓe maɓɓe ɓen, ɗun ko enen. O hunniri ɗun immintingol Iisaa, tippude e ko windii kon ka beytol ɗimmol Zabuura, ka o wi'i ɗon:
ACT.13.32+ACT.13.33	‹Ko an woni Ɓiɗɗo an on,
ACT.13.32+ACT.13.33	hande a wonii mo an.›
ACT.13.34	«Kon ko Alla immintini Iisaa e hakkunde mayɓe ɓen, hara o luttaali ka ɲolu, ko ɗun o daalunoo, o wi'i:
ACT.13.34	‹Mi yeɗay on barkiiji laaɓuɗi holniiɗi
ACT.13.34	ɗi mi fodunoo Daawuuda ɗin.›
ACT.13.35	Kanko Puulusa o wi'i: «E hoore ɗun, no wi'aa nokku goo kadi:
ACT.13.35	‹Yaa an Alla, a jaɓataa Seniiɗo maa on laatoo ɲolɗo.›
ACT.13.36	Puulusa wi'i fahin: «Kono nde Daawuuda waɗunoo faaleeji Alla ɗin e nder jamaanu makko ngun, o maayuno, o tawtinaa baabiraaɓe makko ɓen, o ɲoli. 
ACT.13.37	Kono on mo Allaahu on immintini laataaki ɲolɗo.
ACT.13.38	«Ko onon non, yo musiɓɓe amen, andee dey ko sabu makko kanko Iisaa feɲɲiniranaɗon yaafuyee junuubaaji ɗin. 
ACT.13.39	Kala on hooliiɗo mo jogorte feewuɗo e hoore kala ko on waawetanooke jogoreede feewuɗo e nder Sariya Muusaa on. 
ACT.13.40	Ko ɗun waɗi si men wi'ay on, reenee fii wota ko wi'aa kon ka defte annabaaɓe ɓen hawru e mon, ɗun-le ko ɗunɗoo:
ACT.13.41	‹Ndaaree onon ɓee yawitiiɓe,
ACT.13.41	wonee ŋalɗuɓe, mulon!
ACT.13.41	Ko fii e fewndo mon,
ACT.13.41	mi waɗay kuugal ngal on sikkataano
ACT.13.41	hay si on sifanaama!› »
ACT.13.42	Ɓay Puulusa e Barnabaasi fokkitii yaltude ka juulirde ɗon, ɓe saatinaa e aseweere aroore nden, ɗun ko ɲalaande fowteteende nden, fii yewtugol fii ɗun. 
ACT.13.43	Ɓay mottondiral ngal lannii, Yahuudiyankeeɓe buy e naatuɓe e diina Yahuudiyanke buy jokki Puulusa e Barnabaasi, ɓe yewtidi e maɓɓe. Onsay Puulusa e Barnabaasi wakkilini ɓe fii tabitugol, haɓɓitoo e moƴƴere Alla nden.
ACT.13.44	E aseweere hikkunde ɗon nden, fayda saare nden fow mottondiri fii heɗagol daaluyee Joomiraaɗo on. 
ACT.13.45	Ɓay Yahuudiyankeeɓe ɓen yi'ii on jamaa, ɓe nawli, ɓe yeddi ko Puulusa yewtaynoo kon, ɓe hoyni mo.
ACT.13.46	Onsay Puulusa e Barnabaasi yewtiri pellital, wi'i ɓe: «Hari ko e mon taho daaluyee Allaahu on haananoo yottineede. Kono ɓay on bugitike, awa kadi on waɗaali hoore mon handuɓe e *ngurndan poomayankejan ɗan, men yaaray ka ɓe wonaa Yahuudiyanke ɓen. 
ACT.13.47	Ko fii, ko nii Joomiraaɗo on yamiriri men, o daali:
ACT.13.47	‹Mi suɓike on fii yo on wonan leƴƴi ɗin ndaygu,
ACT.13.47	e naɓugol kisiyee on haa ka kattudi leyɗe.› »
ACT.13.48	Ɓay ɓe wonaa Yahuudiyanke ɓen nanii ɗun, ɓe weltii, ɓe manti daaluyee Joomiraaɗo on, tawnooɓe no muuyanaa ngurndan poomayankejan ɗan ɓen fow gomɗini.
ACT.13.49	Tawi daaluyee Joomiraaɗo on no layude e nder leydi ndin fow. 
ACT.13.50	Kono Yahuudiyankeeɓe ɓen ƴuuni e maɓɓe rewɓe teddinaaɓe rewooɓe Alla, e mokobaaɓe saare nden, ɓen waɗi jokke e hoore Puulusa e Barnabaasi, ɓe raɗii ɓe ka diiwal maɓɓe. 
ACT.13.51	Ko ɗun waɗi si Puulusa e Barnabaasi honki mbullaari paɗe mun ɗen e Yahuudiyankeeɓe wonɓe ton ɓen, ɓe yaari Ikoniim. 
ACT.13.52	Fii kala ɗun waɗii, tawi taalibaaɓe wonɓe Antiyoosi-Pisidii ɓen kan no heewi weltaare e Ruuhu Seniiɗo on.
ACT.14.1	Ɓay Puulusa e Barnabaasi hewtii Ikoniim, ɓe naatiri ka juulirde Yahuudiyankeeɓe ɓen. Noone no ɓe yewtiri non waɗi haa Yahuudiyankeeɓe ɗuuɗuɓe e *Gereekiyankeeɓe gomɗini. 
ACT.14.2	Kono Yahuudiyankeeɓe ɓe gomɗinaali ɗun ɓen ƴuuni ɓe wonaa Yahuudiyanke ɓen fii yo ɓen waɗu gomɗinɓe ɓen bone. 
ACT.14.3	Kono laatii, ɓe woni Ikoniim ko neeɓi, tawi hiɓe yewtiraynoo pellital fii Joomiraaɗo on, on Seeditantooɗo daaluyee mun sulfu on, himo newnannoo ɓe waɗirgol juuɗe maɓɓe ɗen maandeeji e kaawakeeji moƴƴi yi'otooɗi. 
ACT.14.4	Onsay yimɓe saare nden senditii, woɓɓe wontidi e Yahuudiyankeeɓe ɓen, woɓɓe kadi wontidi e *sahaabaaɓe ɓen.
ACT.14.5+ACT.14.6	Ɓay Puulusa e Barnabaasi humpitike wonde Yahuudiyankeeɓe ɓen e ɓe wonaa Yahuudiyanke ɓen wondude e yeesooɓe maɓɓe ɓen immanike ɓe e feragol ɓe kaaƴe, ɓe tawi yo ɓe yahu, ɓe fattoyoo e ɗee ca'e jeyaaɗe e ndii leydi wi'eteendi Likayonii, ɗun ko Listaara e Derbata, e ca'e heeduɗe ɗon ɗen, 
ACT.14.7	ɓe woni e waajagol ton fii Kibaaru Moƴƴo on.
ACT.14.8	Tawi maaya-koyɗeejo no Listaara ɗon, heɓidaaɗo e boofoyaagal, mo yahaali haa hande, 
ACT.14.9	tawi on no heɗii ko Puulusa yewtaynoo kon. Puulusa tenƴini mo, ndaari tawi himo mari gomɗinal sellinayngal mo. 
ACT.14.10	Onsay kanko Puulusa o ewnii, o wi'i: «Immo daroɗaa e hoore koyɗe maa ɗen!» Tun o hawtii nde wootere, o nangi jindugol.
ACT.14.11	Ɓay ɓe yi'ii kon ko Puulusa waɗi, jamaa on ewnii e haala Likayonii, ɓe wi'i: «Allaaɓe ɓe mbaadi neɗɗanke tippike e men!» 
ACT.14.12	Ɓe inni Barnabaasi Zafsa, Puulusa kaɲun Hermiisi, ɓay ko kanko joginoo kongol ngol.
ACT.14.13	Onsay oo waɗoowo sadakaaji fii nduu allaaru maɓɓe wi'eteendu Zafsa, wondu ka yeeso saare, addi ga'i e *meetelli telen ka dambuɗe saare, tawi kanko e jamaa on hiɓe woniri waɗangol Puulusa e Barnabaasi sadaka.
ACT.14.14	Ɓay sahaabaaɓe ɓen nanii ɗun, ɗun ko Barnabaasi e Puulusa, ɓe seeki dolokkaaji maɓɓe ɗin, ɓe wubbi, ɓe ukkitoyii e hakkunde jamaa on e hoore hiɓe sonkana yimɓe ɓen, wi'a: 
ACT.14.15	«Ko honɗun waɗanton ɗun? Menen kadi ko men yimɓe wano mo'on! Meɗen waajorde on wa Kibaaru Moƴƴo fii ittugol on e ɗii piiji mehi, ruttoɗon e Alla Wuuruɗo on, on Taguɗo kammu e leydi e baharu e kala ko woni e mun. 
ACT.14.16	E ɗii jamaanuuji feƴƴuɗi, o accuno leƴƴi ɗin fow jokki faaleeji mun, 
ACT.14.17	e hoore o accaali seeditorgol moƴƴere nde o waɗata nden, ɗun ko yeɗugol on ndiyan saaƴoojan iwrude ka kammu e saa'iiji moƴƴooji fii demal, e timminangol on neemaaji e hebbingol ɓerɗe mon ɗen welo-welo.» 
