MAT.1.1	Leꞌe naŋ titinge loumwah tikin Jisas Krais. Loumwah kin kiŋ Dewit hindi Abraham.
1CO.6.19	Yip sisyeme na, wahriꞌ yip pe, yukoh tikin Yohe Yirise. Got si yal yip Yohe Yirise luku pe, kin narp nato yip. Yip yukur bepeteme yip tip, pakai. 
1CO.6.20	Got kin ŋende yitini ŋembere ŋaiye kin nambaꞌe yip. Taꞌe luku pe, pa yenge wahriꞌ yip yahraꞌe naŋ tikin Got.
1CO.7.1	Tukwini ŋam da mungwisme wusyep ŋisilih ŋaiye somohon yip yainge sai tup, ki taꞌe leꞌe: Ki bwore ŋaiye lenge miyeꞌ yukur ka dindiꞌ lakai? 
1CO.7.2	Ki bwore, kom ŋam ŋoiheryembe ŋaiye ki bwore ŋaiye miyeꞌ ka enge tuwei, topoꞌe tuwei ta windiꞌe miyeꞌ no, yukur ka yende niŋ pinip yar.
1CO.7.3	Miyeꞌ ka aŋaꞌe wahriꞌ kin elme tuwei kin, o yukur ka upwaiꞌe, na pakai. Ki ŋahilyeh taꞌe tuwei, ta waŋaꞌe wahriꞌ ti wilme miyeꞌ ti, yukur ta wupwaiꞌe. 
1CO.7.4	Tuwei yukur ti bepweteme wahriꞌ ti, pakai. Miyeꞌ ti, kin bepeteme wahriꞌ ti topoꞌe. Ki ŋahilyeh taꞌe miyeꞌ, miyeꞌ yukur kin bepeteme wahriꞌ kin, tuwei kin ti bepweteme wahriꞌ kin topoꞌe. 
1CO.7.5	Yip hindi miyeꞌ tuweinge ŋaiye si dindiꞌ pe, yukur ende ka aŋaꞌe teket me ende no, ka upwaiꞌe wahriꞌ kin, na pakai. Sai ŋaiye pa hindi tapam ilyeh no, pa hindi yupwaiꞌe wahriꞌ yip hindi ŋaiye yip da top Yai Got yininge wusyep ŋup syeꞌ. Kom ŋaiye wah uku ka miꞌe pe, pa hindi plihe juhilyeh. Yaŋah taꞌe luku pe, se pa tupwaihme miyeꞌ pupwa Satan ŋaiye ka ondolꞌme yip hindi no, pa tumbe yi yoto niŋ pinip yar. Detale, yip yukur tatame pa yupwaiꞌe ŋoihmbwaip tahar yip. 
1CO.7.6	Wusyep ŋam eꞌe ŋam manange ŋaiye ka ungwisme yip. Yukur ka bongol tuꞌe wusyep erŋeme. 
1CO.7.7	Ŋam ŋoiheryembe nange ki bwore ŋaiye lenge miyeꞌ tuweinge lalme yukur ka dindiꞌ, ka yurp ŋorombe tuꞌe ŋam. Kom Lahmborenge si pwal poi yitini ilyeh ilyeh tongonose. Got nangange yitini me lenge syeꞌ ŋaiye ka dindiꞌ, kut kin nangange lenge syeꞌ ŋaiye ka yurp ŋorombe.
1CO.7.8	Kom wusyep eꞌe nala elme lenge miyeꞌ tuweinge ŋaiye yukur dindiꞌ, topoꞌe lenge tuweinge ŋaiye miyeꞌ tinge si yule. Pe ŋam da mini yip tuꞌe leꞌe, bwore kin ŋaiye pa yurp ŋorombe tuꞌe ŋam. 
1CO.7.9	Ŋaiye yukur pa bepyeteme ŋoihmbwaip tahar yip pe, bwore kin ŋaiye pa dindiꞌ no, yukur ŋoihmbwaip yip ka tuhur ŋaiye pa yende niŋ pinip yar.
1CO.7.11	Kom ŋaiye ta woworꞌe dindiꞌ topoꞌe miyeꞌ ti pe, ta wurp tuꞌe loko, kut yukur ta plihe windiꞌe miyeꞌ ende. Tu pakai pe, ta plihe wila ŋoihmbwaip ilyeh topoꞌe miyeꞌ ti ŋaiye somohon ti windiꞌe kin. Miyeꞌ ti yukur ka ginyenme ti. Taꞌe luku pe, lenge miyeꞌ yukur ka yoworꞌe dindiꞌ.
1CO.7.12	Leꞌe wusyep ŋam tanam nala el lenge mitiŋ lalme, yukur wusyep Lahmborenge, pakai. Ŋaiye Kristen miyeꞌ ende si nenge haiten tuwei no, ti hriphrip ŋaiye ta wurp topoꞌe kin pe, yukur ka ginyenme. 
1CO.7.13	Ki ŋahilyeh taꞌe Kristen tuwei ende ŋaiye si windiꞌe haiten miyeꞌ ende no, ka hriphrip ŋaiye ka orp topoꞌe ti pe, yukur ta gwinyenme kin, na pakai. 
1CO.7.14	Ŋaiye miyeꞌ yukur nimbilme ŋoihmbwaip kin nalme Lahmborenge, kom kin nenge tuwei ŋaiye si wimbilme ŋoihmbwaip ti pe, luku ki ŋende kin si bwore prihe. Ki ŋahilyeh taꞌe tuwei ŋaiye yukur wimbilme ŋoihmbwaip ti walme Lahmborenge, kom ti windiꞌe miyeꞌ ŋaiye kin si nimbilme ŋoihmbwaip kin pe, luku ki ŋende ti si bwore prihe. Ŋaiye yukur ki taꞌe luku pe, talah tinge hindi taꞌe haiten, yukur ka tuhur prihe yil ŋembep tikin Got. Kom ŋai taꞌe luku pe, tinge si tahar prihe. 
1CO.7.15	Kom miyeꞌ lakai tuwei ŋaiye yukur yimbilme ŋoihmbwaip no, haiten miyeꞌ da osme Kristen tuwei kin, lakai haiten tuwei da wusme Kristen miyeꞌ ti pe, pa yusme ka yil. Wusyep erŋeme yukur nupwaiꞌe tinge ŋaiye lenge haiten miyeꞌ tuweinge ka yurp topoꞌme tinge. Detale, Got ŋasande ŋaiye pa yurp topoꞌe ŋoihmbwaip ŋumwaiye. 
1CO.7.16	Yip tuweinge tikin Lahmborenge, yip tatame ŋaiye pa yungwisme lenge miyeꞌ yip ka tuhur Kristen, lakai pakai? Ki ŋahilyeh taꞌe ŋaiye yip lenge miyeꞌ, yip tatame ŋaiye pa yungwis lenge tuweinge yip ka tuhur Kristen, lakai pakai?
1CO.7.17	Poi ilyeh ilyeh ya murp gunde ŋoihmbwaip tikin Got ŋaiye kin si nalaŋatme poi pe, ya murp ŋahilyeh tuꞌe luku menge mil. Leꞌe wusyep hraꞌembep ŋam nal lenge sios lalme. 
1CO.7.18	Miyeꞌ ŋaiye si ŋotombo wahriꞌ hiꞌ kin no, Got nalaŋatme kin pe, yukur ka ŋoiheryembe wula wula. Topoꞌe miyeꞌ ŋaiye yukur ŋotombo wahriꞌ hiꞌ kin no, Got nalaŋatme kin pe, yukur ka plihe otombo wahriꞌ hiꞌ kin. 
1CO.7.19	Ŋaiye yotombo wahriꞌ hiꞌ, topoꞌe ŋaiye yukur yotombo wahriꞌ hiꞌ pe, luku yukur ŋai embere. Ŋai embere kin pe, pa junde wusyep erŋeme tikin Got.
1CO.7.20	Ŋupe ŋaiye Got nalaŋatme poi pe, ya murp ŋahilyeh tuꞌe luku menge mil. 
1CO.7.21	Somohon nin narp miyeꞌ wah pakaiye, kom Got si nalaŋatme nin pe, yukur na ŋoiheryembe wula wula. Kom ŋaiye yaŋah ŋoinde sai ŋaiye na orp hlaininge pe, ende tuꞌe luku enge el. 
1CO.7.22	Miyeꞌ ŋaiye somohon narp miyeꞌ wah pakaiye no, Lahmborenge nalaŋatme kin pe, kin si miyeꞌ tikin Lahmborenge. Ŋaiye ŋembep tikin Lahmborenge pe, kin si tahar miyeꞌ hlaininge. Ki ŋahilyeh taꞌe miyeꞌ ŋaiye si narp hlaininge ŋupe ŋaiye Krais nalaŋatme kin pe, kin ka orp tuꞌe miyeꞌ wah pakaiye tikin Krais. 
1CO.7.23	Got si ŋiche yitini ŋembere nambaꞌe nin pe, yukur na plihe orp tuꞌe miyeꞌ wah pakaiye lenge miyeꞌ. 
1CO.7.24	Lenge toꞌ tatai, yaŋah ŋaiye somohon Got nalaŋatme yip no, yip jande yenge yat pe, pa junde tuꞌe luku yenge yil.
1CO.7.25	Lahmborenge yukur pwale wusyep erŋeme ende ŋaiye ma mini yip lenge miyeꞌ tuweinge ŋaiye yukur dindiꞌ, kom leꞌe ŋam da mininge wusyep ŋoihmbwaip ŋam. Detale, Got kin ŋoih miꞌmiꞌ me ŋam, topoꞌe kin si nalaŋatme ŋam pe, wusyep ŋaiye ŋam manange pe, ki bwore mise. 
1CO.7.26	Ŋam ŋoiheryembe mane ŋembere ŋaiye ka ot pe, ki bwore ŋaiye lenge miyeꞌ yukur ka dindiꞌ. 
1CO.7.27	Ŋaiye nin si nenge tuwei pe, yukur na ginyenme. O ŋaiye yukur nin nenge tuwei pe, yukur na ahaiꞌe tuwei ŋaiye na enge. 
1CO.7.28	Kom ŋaiye na enge tuwei pe, luku yukur nin ŋende pupwa, topoꞌe ŋaiye tesimbihyeꞌ ende ta windiꞌe miyeꞌ pe, yukur ti wende pupwa. Kom lenge miyeꞌ tuweinge ŋaiye si dindiꞌ pe, tinge ka yambaꞌe mane wula wula. Taꞌe luku pe, ŋam gwarnge mane luku ŋaiye ka ot me yip.
1CO.7.29	Lenge toꞌ tatai ŋam, wusyep ŋam manange taꞌe leꞌe, ŋup yuwo si nat sihei pe, tukwini nenge nal pe, lenge miyeꞌ tuweinge ŋaiye dindiꞌ, lakai yukur tinge dindiꞌ pe, yukur ŋainde ŋembere, pakai. 
1CO.7.30	Lenge miyeꞌ tuweinge ŋaiye yilil pe, prepwan ŋaiye ka ŋoiheryembe wula wula me mane tinge. Topoꞌe lenge miyeꞌ tuweinge ŋaiye hriphrip pe, prepwan ŋaiye ka ŋoiheryembe wula wula me ŋaimune ŋaiye ŋende tinge no, tinge hriphrip. Topoꞌe lenge miyeꞌ tuweinge ŋaiye yiche wuhyau yambaꞌe ŋaiꞌe ŋaiꞌe pe, tinge yukur ka ŋoiheryembe wula wula me ŋaiꞌe ŋaiꞌe bwore bwore tinge ŋaiye ka se miꞌe. 
1CO.7.31	Lenge miyeꞌ tuweinge ŋaiye yende wah me ŋaiꞌe ŋaiꞌe kekep eꞌe pe, tinge ka yetekeꞌe ŋaiꞌe ŋaiꞌe luku yukur ŋembere me tinge. Detale, poi sisyeme nange yukur wohe ŋaiye kekep eꞌe, topoꞌe ŋaiꞌe ŋaiꞌe lalme ka miꞌe.
1CO.7.32	Ŋam gwarnge ŋaiye pa ŋoihmbwaip mane. Miyeꞌ tikin Lahmborenge ŋaiye yukur nenge tuwei pe, kin ka ŋoiheryembe wah tikin Lahmborenge no, Lahmborenge ka hriphrip me kin. 
1CO.7.33	Kom miyeꞌ ŋaiye nenge tuwei pe, kin ka ŋoiheryembe ŋaiꞌe ŋaiꞌe kekep eꞌe ŋaiye ka ende tuwei kin ta hriphrip. 
1CO.7.34	Taꞌe luku pe, ŋoihmbwaip kin ŋuwor hoi. Lenge tesimbihyeꞌ topoꞌe lenge tuweinge ŋaiye yukur yindiꞌe miyeꞌ pe, ŋoihmbwaip tinge ka teŋei bongol me wah tikin Lahmborenge. Pe tinge ka yaŋaꞌe tinge yilme Lahmborenge ŋaiye ka yurp bwore bwarme yoto wahriꞌ topoꞌe yipihinge tinge. Kom tuwei ŋaiye windiꞌe miyeꞌ pe, ta ŋoiheryembe ŋaiꞌe ŋaiꞌe kekep ŋaiye ta wende no, miyeꞌ ti ka hriphrip.
1CO.7.35	Ŋam manange wusyep ŋaiye ka ungwisme yip no, pa yurp bwore bwarme. O ŋam yukur manange pakai me yip ŋaiye pa dindiꞌ, pakai. Ŋam masande ŋaiye pa yende bwore bwarme wah tikin Lahmborenge, topoꞌe pa yaŋaꞌe yiptip supule yilme Lahmborenge no, pa yurp bwore bwarme. 
1CO.7.36	Kom ŋaiye miyeꞌ ende ŋoihmbwaip kin tahar bongol ŋaiye ka enge tuwei ŋaiye tinge si yalaŋatme pe, ka enge ti, luku ki bwore. Yukur kin ŋende pupwa, pakai.
1CO.7.37	Kom ŋaiye miyeꞌ ende ka ŋoiheryembe bongol e oto ŋoihmbwaip kin nange yukur ka enge tuwei uku ŋaiye tinge si yalaŋatme kin, topoꞌe ŋaiye ka tule ŋoihmbwaip tahar kin pe, prepwan. Ki bwore, ŋaiye ka hindi yurp ŋorombe. 
1CO.7.38	Miyeꞌ nenge tuwei ŋaiye tinge si yalaŋatme kin pe, luku ki bwore, kom miyeꞌ ŋaiye yukur nenge tuwei pe, ki bwore supule.
1CO.7.39	Tuwei ŋaiye woworꞌe dindiꞌ miyeꞌ ti no, miyeꞌ ti teter narp pe, ti yukur warp hlaininge. Kom miyeꞌ ti ŋaiye ka ole pe, ti warp hlaininge ŋaiye ta windiꞌe miyeꞌ ende ŋaiye ŋasande ti. Kom ta windiꞌe miyeꞌ ŋaiye gande Lahmborenge. 
1CO.7.40	Kom ŋam ŋoiheryembe taꞌe leꞌe, ŋaiye yukur ta plihe windiꞌe miyeꞌ ende pe, ti ta wurp ŋoihmbwaip ŋumwaiye. Yohe Yirise narp nato ŋam pe, ŋam manange wusyep taꞌe leꞌe.
1CO.8.1	Tukwini ŋam da mininge wusyep me hroꞌ hau ŋaiye tinge yende ofa yalme got homboꞌe. Yip syeꞌ yanange nange luku poi lalme sisyeme. Kom sande tekeꞌe luku ŋende miyeꞌ gate bip ŋahraꞌe naŋ kitikin. Kut poi ya mende niharar lenge mitiŋ pe, luku ka ende sios ka tuhur bongol. 
1CO.8.2	Ŋaiye miyeꞌ ende ka ŋoiheryembe nange kin sisyeme ŋaiꞌe ŋaiꞌe lalme pe, kin pupwa miyeꞌ homboꞌe, topoꞌe sande tekeꞌe kin seheiꞌe. 
1CO.8.3	Kom miyeꞌ ŋaiye ŋende nihararme Got pe, sande tekeꞌe kin tatame, topoꞌe Got sisyeme kin.
1CO.8.4	Taꞌe luku pe, yuwor ŋaiye tinge yende ofa yalme got homboꞌe pe, ŋam da mininge tuꞌe leꞌe. Poi sisyeme luku: got homboꞌe yukur mise, pakai. Got mise ŋilyeh kin narp. 
1CO.8.5	Ŋaiye mitiŋ syeꞌ pe, tinge yanange na, “Got wula wula sekete pe, syeꞌ yarp yanah ŋaitem, o syeꞌ yarp jah kekep.” Tinge yanange nange ŋaiꞌe ŋaiꞌe luku got tinge, topoꞌe lahmborenge tinge.
1CO.8.6	Ŋaiye poi pe, Got sep ilyeh sai, kin Yai.
1CO.8.6	Ŋaiꞌe ŋaiꞌe lalme ŋaiye kin ŋende, topoꞌe poi pe, kitikin lalme.
1CO.8.6	Topoꞌe Jisas Krais kin Lahmborenge ŋilyeh.
1CO.8.6	Got topoꞌe Krais, tinge hindi yende ŋaiꞌe ŋaiꞌe lalme leꞌe
1CO.8.6	ŋaiye tukwini sai, topoꞌe tinge pwal poi laip.
1CO.8.7	Kom yukur miyeꞌ tuweinge lalme sisyeme wusyep mise luku. Miyeꞌ syeꞌ yip somohon yono ŋai hroꞌ hau ŋaiye tinge yende ŋersep. Tinge sisyeme ŋaiye tinge yono ŋai ŋersep uku ŋaiye tinge yende me got homboꞌe. Taꞌe luku pe, tinge ŋoiheryembe nange tinge si yende pupwa. 
1CO.8.8	Ŋai yukur ka ungwisme jahilyeh poi topoꞌe Got pe, ŋai ŋaiye poi mono, yukur ka enge poi el wohme Got. Topoꞌe ŋaiye ya mininge pakai ŋaiye yukur ya mono ŋai pe, luku yukur ka ende poi ya bwore mil ŋembep tikin Got. 
1CO.8.9	Yip tatame ŋaiye pa yono ŋai ŋaiye yip yasande. Kom ŋoihme ŋaiye pa yono hroꞌ hau pe, se ka ende lenge miyeꞌ tuweinge ŋaiye jande Lahmborenge pe, yukur tinge jan bongole pe, se ka tumbe yi yoto hwap. 
1CO.8.10	Nin sisyeme, ŋaiye got homboꞌe yukur sai pe, nin tatame ŋaiye na el luh moi ŋaiye tinge yende hroꞌ hau yahraꞌe naŋ tikin got homboꞌe pe, na top lenge ono ŋai. Kom ŋoihme ŋaiye miyeꞌ ende tikin Lahmborenge ŋaiye yukur gan bongole pe, ka etekeꞌe nin ŋaiye nin ŋono ŋai uku pe, luku se ka ahraꞌe ŋoihmbwaip kin ŋaiye ka ono ŋai topoꞌe. Taꞌe luku pe, kin ŋoiheryembe nange kin si ŋende hwap. 
1CO.8.11	Taꞌe luku pe, ŋaiye na ono hroꞌ hau pe, ka ende yumbune toꞌ nin, kom Krais nulme kin topoꞌe. 
1CO.8.12	Pe ŋaiye nin si ŋende pupwa luku no, ki ŋende yumbune ŋoiheryembe bwore tatai nin pe, luku nin si ŋende pupwa nalme Krais topoꞌe.
1CO.8.13	Taꞌe luku pe, hroꞌ hau ŋaiye kete toꞌ ŋam nato pupwa pe, yukur ma plihe mono ŋai uku no, ka ende yumbune toꞌ ŋam no, ka tumbe e oto hwap.
1CO.9.1	Taꞌe ŋam yukur marp hlaininge lakai? Taꞌe ŋam yukur aposel lakai? Taꞌe ŋam yukur metekeꞌe Jisas, Lahmborenge poi lakai? Topoꞌe taꞌe yip yukur ŋaisep wah ŋaiye ŋam mende me Lahmborenge lakai? 
1CO.9.2	Ŋaiye mitiŋ syeꞌ pe, ka ŋoiheryembe nange ŋam yukur aposel, kom yip, yip si sisyeme ŋaiye ŋam aposel. Detale, yip si tahar Kristen miꞌe pe, luku ki taꞌe wutuꞌ ŋaiye ki sasambe nange ŋam aposel mise tikin Lahmborenge.
1CO.9.3	Ŋam plihe mungwisme wusyep mal lenge miyeꞌ tuweinge ŋaiye yiniꞌe ŋam nange ŋam yukur aposel ende, pakai. 
1CO.9.4	Taꞌe ŋam yukur tatame ŋaiye ma mambaꞌe ŋai topoꞌe pinip taꞌe ŋaiye yitini me wah ŋaiye ŋam mende lakai? 
1CO.9.5	Pita hindi toꞌ tikin Jisas, topoꞌe lenge aposel pe, tinge yenge lenge tuweinge tinge yal topoꞌe tinge. O ŋam, ŋaiye ma menge tuwei pe, tatame ta wil topoꞌe ŋam lakai? 
1CO.9.6	Taꞌe poi hindi Banabas pe, poi hindi ya mende wah wuhyau ŋaiye ya bepeteme potopoi topoꞌe wah ŋaiye poi mende. O lenge syeꞌ pakai. 
1CO.9.7	Miyeꞌ ŋaiye ŋende wah wondoh tikin ami pe, kin yukur ŋiche wuhyau ŋaiye bepeteme kitikin. Topoꞌe miyeꞌ ŋaiye worsyep ŋai nato wah kin pe, kin talame ŋai nato wah uku ŋende ŋono. Topoꞌe miyeꞌ ŋaiye ŋonorh worsip pe, kin kete ŋimbirip mwaꞌ worsip kitikin ŋonoꞌe. 
1CO.9.8	Taꞌe se pa ŋoiheryembe nange ŋam manange wusyep gwande ŋoihmbwaip lenge miyeꞌ ilyehme, lakai wusyep erŋeme tikin Moses plihe ŋanange topoꞌe? 
1CO.9.9	Poi gwonose wusyep erŋeme tikin Moses ŋanange na,
1CO.9.9	Yukur na upwaiꞌe mut yuwor kau tuhwim ŋupe ŋaiye kin nesyerꞌe bundenge sep.
1CO.9.9	Taꞌe Got ŋoiheryembe lenge yuwor kau tuhwim ŋilyeh pe, kin ŋanange wusyep uku lakai?
1CO.9.10	Got ŋoiheryembe poi pe, ki nainge wusyep uku lakai? Hei, wusyep uku ki nainge natme poi miyeꞌ ŋaiye muworꞌe kekep worsyep ŋai, topoꞌe miyeꞌ ŋaiye talame ŋai pe, wah nihe ŋaiye tinge hindi yende pe, ka hindi talame ŋai syeꞌ ŋaiye si sasarme.
1CO.9.11	Poi si mononde wusyep tikin Got ma moto ŋoihmbwaip yip. Miꞌe pe, ki bwore ŋaiye pa pul poi ŋaiꞌe ŋaiꞌe ŋaiye ka ungwisme wahriꞌ poi tuwaꞌe wah ŋaiye poi si mende. 
1CO.9.12	Yip yangange ŋaiꞌe ŋaiꞌe syeꞌ yal lenge mitiŋ syeꞌ ŋaiye yende wah tikin Got bumbe me yip, kom ŋaiye poi pe, wah poi ki ŋembere nengelyembe tinge. Topoꞌe poi mambaꞌe nihe syohe, kom poi yukur mende bongol ŋaiye ya mambaꞌe ŋaiꞌe ŋaiꞌe me yip. Detale, poi hiꞌ gwarnge ŋaiye ya mambaꞌe ŋaiꞌe ŋaiꞌe me yip pe, se ka gise yaŋah me wusyep bwore mise tikin Krais ŋaiye pa yambaꞌe.
1CO.9.14	Topoꞌe Lahmborenge ŋanange na, lahmende ŋaiye ŋononde wusyep mise tikin Got nato ŋoihmbwaip lenge miyeꞌ tuweinge pe, kin ka ambaꞌe ŋai me tinge. 
1CO.9.15	Kom ŋam yukur mambaꞌe ŋainde taꞌe wuhyau lakai ŋai, topoꞌe ŋam yukur mainge tup member mal ŋaiye ma mambaꞌe ŋainde me yip, pakai supule. O nimbot ki pwambe pupwa supule ŋaiye ma mule berme wah uku, kom ŋam yukur misilih yip ŋaiye pa pule ŋainde, pakai. Yitini ŋaiye ŋam ŋoiheryembe nange ma mambaꞌe tuwaꞌe wah ŋaiye ŋam mende pe, yukur ŋam mambaꞌe. Ŋam hriphrip ŋaiye yukur ŋam misilih yip ŋainde ŋaiye pa yungwisme ŋam. Topoꞌe ŋam gwarnge ŋaiye miyeꞌ ende ka otombo yaŋah uku. 
1CO.9.16	Ŋam yukur ma gute bip ŋam, topoꞌe ma mahraꞌe naŋ ŋam me wah tikin Got ŋaiye ŋam mende. Luku wah ŋaiye Got si pwale ma mende. Ŋaiye yukur ŋam manange malaŋatme wusyep mise luku pe, mindemboi pe, ma mambaꞌe nihe syohe. 
1CO.9.17	Ŋaiye ma mende wah tuꞌe ŋaiye ŋasande ŋam pe, luku tatame ma mambaꞌe yitini. Kom pakai, Lahmborenge pwale wah uku ŋaiye ma mende pe, ma mende. 
1CO.9.18	Ma mambaꞌe yitini mune me wah uku ŋaiye ŋam mende? Yitini luku si taꞌe ŋaiye ŋam manange wusyep tikin Got. Ŋam tatame ŋaiye ma misilih yip ŋaiye pa pule yitini me wah ŋaiye ŋam mende, kom yukur ŋam misilih yip.
1CO.9.19	Ŋam miyeꞌ hlaininge, miyeꞌ ondoh ende yukur bepteme ŋam, kom ŋam miyeꞌ wah pakaiye. Ŋam ma gwah tuwihe lenge mitiŋ lalme ŋaiye wula ka yimbilme ŋoihmbwaip yilme Lahmborenge. 
1CO.9.20	Ŋupe ŋaiye ŋam mende wah top lenge Juta pe, ŋam marp ŋahilyeh taꞌe tinge. Ŋam yukur marp tuwihme wusyep erŋeme tikin Moses, kom ŋupe ŋaiye ŋam mende wah top tinge pe, tinge yetekeꞌe taꞌe ŋaiye ŋam marp tuwihme wusyep erŋeme no, ka yimbilme ŋoihmbwaip tinge. 
1CO.9.21	Ŋupe ŋaiye ŋam mende wah topoꞌe lenge haiten miyeꞌ tuweinge pe, tinge yetekeꞌe ŋam taꞌe ŋaiye ŋam yukur marp tuwihme wusyep erŋeme lenge Juta no, lenge haiten miyeꞌ tuweinge ka yimbilme ŋoihmbwaip. Luku yukur taꞌe ŋaiye ŋam masme wusyep Got. Ŋam marp tuwihe wusyep erŋeme tikin Krais.
1CO.9.22	Lenge miyeꞌ tuweinge ŋaiye yukur yarp bongol pe, ŋam marp ŋahilyeh taꞌe tinge no, ka ende tinge ka yimbilme ŋoihmbwaip. Taꞌe luku pe, ŋam mende ŋahilyeh mal lenge mitiŋ lalme ŋaiye tinge syeꞌ ka yutme Lahmborenge. 
1CO.9.23	Ŋaimune ŋaiye ŋam mende luku pe, ka ungwisme wusyep mise tikin Got ka ende embere enge el no, ŋam topoꞌe ma mambaꞌe ŋaiꞌe ŋaiꞌe bwore bwore ŋaiye Got si nupwaiꞌe wusyep nato wusyep bwore mise kin.
1CO.9.24	Yip sisyeme miyeꞌ lalme tinge jertetenge susungurh, kom miyeꞌ sep ilyeh ŋaiye nal yer pe, kin ka ambaꞌe yitini. Taꞌe luku pe, pa jertetenge bongole no, pa yambaꞌe yitini. 
1CO.9.25	Lenge miyeꞌ ŋaiye jertetenge susungurh pe, ŋendehei kin tinge yende sasaipe yer ŋaiye wahriꞌ tinge ka ambaꞌe bongol. Tinge yende luku ŋaiye ka yambaꞌe yitini ŋaiye ka yi jere ŋaiye miꞌe kin. Yitini luku mindemboi ka pupwa. Kut poi mende wah me yitini ŋaiye ka si nye nyermbe. 
1CO.9.26	Ŋupe ŋaiye ŋam kwertetenge mal pe, yukur ŋam bep malꞌe malꞌe. Ŋam kwertetenge bwarme ma tatame ŋaiye wutuꞌ kin ŋaiye miꞌe. Topoꞌe ŋupe ŋaiye ŋam marmbe pe, ŋam yukur miche syep paka pakaiye malꞌe malꞌe. 
1CO.9.27	Pakai, ŋam monombe wahriꞌ ŋam tanam mende wah ŋaiye ka gunde ŋasande ŋam tanam. Detale, ŋam hiꞌgwarnge ŋaiye ma mininge wusyep mise tikin Got mil lenge miyeꞌ tuweinge pe, mindemboi yukur ma se mambaꞌe yitini.
1CO.10.2	Ki taꞌe ŋaiye tinge lalme yambaꞌe pinip ŋupe ŋaiye tinge jande Moses ya yoto mwahit topoꞌe loh pinip. 
1CO.10.3+1CO.10.4	Tinge lalme yono kakah ŋilyeh ŋaiye Yipihinge tikin Got nangang lenge, topoꞌe tinge lalme yonoꞌe pinip ŋilyeh ŋaiye Yipihinge tikin Got nangang lenge. Tinge yonoꞌe pinip ŋeser tikin Got ŋaiye tinge top kin yal pe, ŋeser uku kin Krais. 
1CO.10.5	Kom Got yukur hriphrip me wula tinge. Taꞌe luku pe, tinge yule pe, wahriꞌ tinge ŋanar nalꞌe nalꞌe nato moi gungurar.
1CO.10.7	Topoꞌe yukur ya masarꞌe ŋimbep me got homboꞌe taꞌe ŋaiye syeꞌ tinge yende. Wusyep mise tikin Got ŋanange na,
1CO.10.7	Lenge miyeꞌ tuweinge jah yarp yono ŋai,
1CO.10.7	topoꞌe tinge yonoꞌe pinip miꞌe pe, tinge yende wenersep.
1CO.10.9	Poi yukur ya mondolꞌme ŋoihmbwaip ŋumwaiye tikin Lahmborenge tuꞌe ŋaiye syeꞌ tinge yende no, lenge hwaŋ yono lenge pe, tinge yule. 
1CO.10.10	Poi yukur ya mininge wusyep sekete tuhwarme Got tuꞌe ŋaiye syeꞌ tinge yende no, walip hlaꞌ nongomb lenge pe, tinge yule. 
1CO.10.11	Ŋaiꞌe ŋaiꞌe leꞌe ki tas taꞌe ŋaiye sasambe nal lenge syeꞌ pe, tinge yainge wusyep eꞌe yatme poi taꞌe wusyep hraꞌembep no, ya sisyeme na, ŋup eꞌe ŋaiye poi marp pe, ŋup sihei tikin ŋup yuwo.
1CO.10.12	Lahmende ŋaiye ŋoiheryembe nange kin si gan bongole no, kin tupwaihme hwap pe, kin ka ŋoiheryembe bworerme ŋaiye yukur ka plihe tumbe e oto hwap. 
1CO.10.13	Ŋondolꞌme lalme ŋaiye natme yip pe, yukur ki ŋoinde, ki ŋahilyeh taꞌe ŋaiye ki natme lenge mitiŋ. Kom Got se ka gunde wusyep tupwaiꞌ kitikin pe, yukur ka osme ŋondolꞌme ende ŋaiye ka ondolꞌme yip, ŋaiye ka engelyembe bongol yip, pakai. Ŋaiye ŋondolꞌme ka ondolꞌme yip pe, Got se ka ungwisme yip pe, ka ende yip pa jin bongol no, pa yengelyembe ŋondolꞌme luku.
1CO.10.14	Taꞌe luku pe, lenge toꞌ tatai ŋam, yusme ŋaiye pa yahraꞌe naŋ got homboꞌe. 
1CO.10.15	Wusyep eꞌe ŋaiye ŋam mana yip pe, yip miyeꞌ tuweinge mungwim sai pe, yiyarꞌe wusyep eꞌe ŋaiye ŋam mana yip. 
1CO.10.16	Ŋupe ŋaiye poi da mono ŋai tikin Lahmborenge pe, poi manange wusyep hriphrip, topoꞌe poi misilihme Got ŋaiye ka ende poi ya tongorꞌ mil Krais. Miꞌe pe, poi monoꞌe ŋemwaꞌ taꞌe ŋaiye lenge Korin yonoꞌe pinip wain ŋaiye sai yukoh uku taꞌe ŋaiye wim tikin Lahmborenge ŋaiye nenge poi lalme na gahilyeh. Topoꞌe ŋupe ŋaiye poi moworꞌe kakah no, poi mono pe, luku ki nenge poi gahilyeh taꞌe wahriꞌ tikin Krais. 
1CO.10.17	Kakah sep ilyehe sai pe, poi lalme mono kakah uku. Taꞌe luku pe, poi lalme marp wahriꞌ ilyeh tikin Krais. 
1CO.10.18	Ŋoiheryembe lenge Juta. Yowor ŋaiye tinge yikil ya yanah ŋeser hendeinge no, tinge yende ofa yalme Got pe, tinge yono yuwor uku pe, luku taꞌe ŋaiye tinge jahilyeh topoꞌme Got yal ŋeser hendeinge.
