GEN.1.1	IN die 
PSA.78.30	Hulle was nie weg van hul 
PSA.78.31	toe die toorn van God teen hulle opgegaan het en Hy 'n slagting onder hulle 
PSA.78.32	Ondanks dit alles het hulle 
PSA.78.33	So het Hy dan 
PSA.78.34	Elke keer as Hy hulle gedood het, 
PSA.78.35	en hulle het daaraan gedink dat 
PSA.78.36	En hulle het Hom met hul mond gevlei en Hom met hul tong belieg;
PSA.78.37	maar hulle hart het nie aan Hom vasgehou nie, en hulle was nie trou in sy verbond nie.
PSA.78.38	Maar Hy is 
PSA.78.39	En 
PSA.78.40	Hoe dikwels was hulle wederstrewig teen Hom in die woestyn, het 
PSA.78.41	en hulle het God opnuut versoek en die Heilige van Israel gekrenk.
PSA.78.42	Hulle het nie aan sy hand gedink, aan die dag toe Hy hulle van die teëstander verlos het nie;
PSA.78.44	En Hy het 
PSA.78.45	Hy het onder hulle 
PSA.78.46	En Hy het hulle opbrings aan die kaalvreter gegee en die vrug van hulle werk aan 
PSA.78.47	Hy 
PSA.78.48	Ook het Hy hulle diere aan die hael oorgegee en hulle vee aan die blitse.
PSA.78.49	Hy het die gloed van sy toorn onder hulle gestuur, grimmigheid en woede en benoudheid, 'n uitsending van ongeluksbodes.
PSA.78.50	Hy het 'n pad vir sy toorn gebaan, hulle siel nie gered van die dood nie, maar hulle lewe aan die pes oorgegee.
PSA.78.51	En Hy het 
PSA.78.52	Maar Hy het sy volk laat wegtrek 
PSA.78.53	Ja, Hy het hulle veilig gelei, sodat hulle nie gevrees het nie; maar 
PSA.78.54	En Hy het hulle gebring na sy 
PSA.78.55	En Hy het nasies voor hulle uit verdrywe en dié 
PSA.78.56	Maar hulle het 
PSA.78.57	En hulle was afvallig en het troueloos gehandel soos hul vaders; hulle het omgedraai 
PSA.78.58	En hulle het Hom geterg deur hul 
PSA.78.59	God het dit gehoor en toornig geword, en Hy het Israel heeltemal verwerp.
PSA.78.60	En Hy het die tabernakel in 
PSA.78.61	En Hy het 
PSA.78.62	En Hy het sy volk oorgelewer 
PSA.78.63	Die vuur het hulle jongmanne verteer, en hulle jongedogters is nie geprys nie.
PSA.78.65	Toe het die Here wakker geword soos een wat slaap, 
PSA.78.66	en Hy het sy teëstanders van agter 
PSA.78.67	En Hy het die tent van Josef verwerp, en die stam van Efraim het Hy nie uitverkies nie,
PSA.78.68	maar die stam van Juda uitverkies, die berg Sion 
PSA.78.69	En Hy het sy heiligdom soos hemelhoogtes gebou, soos die aarde wat Hy vir ewig gegrondves het.
PSA.78.71	Agter die lammerooie het Hy hom gaan weghaal, om Jakob, sy volk, 
PSA.78.72	En hy het hulle 
PSA.79.3	Hulle het húlle bloed rondom Jerusalem soos water uitgegiet 
PSA.79.4	Ons het vir ons bure 
PSA.79.5	Hoe lank, 
PSA.79.7	Want hulle het Jakob verteer en sy woning verwoes.
PSA.79.9	Help ons, o God van ons heil, om die eer van u Naam, en red ons en doen versoening oor ons sondes 
PSA.79.10	Waarom sou die heidene sê: Waar is hulle God? Laat voor ons oë onder die heidene bekend word die wraak oor die vergote bloed van u knegte.
PSA.79.11	Laat 
PSA.79.12	En vergeld ons bure 
PSA.79.13	En ons, u volk en die 
PSA.80.1	VIR die musiekleier; 
PSA.80.3	Wek u mag op 
PSA.80.6	U het hulle 
PSA.80.7	U het ons 'n voorwerp van stryd gemaak vir 
PSA.80.10	U het voor hom plek gemaak, en hy het wortels geskiet en die land vervul.
PSA.80.11	Die berge was oordek met sy skaduwee, en met sy ranke die seders van God.
PSA.80.12	Hy het sy ranke uitgebrei tot by die see en sy lote 
PSA.80.13	Waarom het U 
PSA.80.14	Die wildevark uit die bos eet hom op, en wat roer op die veld, wei hom af.
PSA.80.16	en wees 'n beskerming vir wat u regterhand geplant het, en oor die seun wat U vir Uself grootgemaak het.
PSA.80.17	Hy is 
PSA.80.19	Dan sal ons nie van U afwyk nie; hou ons in die lewe, dan sal ons u Naam aanroep.
PSA.81.1	VIR die musiekleier; 
PSA.81.2	Jubel tot eer van God, ons sterkte! 
PSA.81.3	Hef aan 'n lied en laat die tamboeryn klink, die lieflike siter saam met die harp.
PSA.81.4	Blaas die 
PSA.81.5	Want dit is 'n insetting vir Israel, 'n verordening van die God van Jakob.
PSA.81.6	Hy het dit ingestel as getuienis in 
PSA.81.7	Ek het sy skouer bevry van 
PSA.81.9	Hoor, my volk, en Ek wil jou dit inskerp; Israel, as jy tog na My wou luister!
PSA.81.10	Daar mag by jou geen 
PSA.81.12	Maar my volk het na my stem nie geluister nie, en Israel was vir My nie gewillig nie.
PSA.81.13	Toe het 
PSA.81.14	Ag, as my volk maar na My wou luister, Israel in my weë wou wandel!
PSA.81.15	Gou sou Ek hul vyande onderwerp en my hand teen hul teëstanders uitstrek.
PSA.81.16	Die haters van die 
PSA.81.17	Ja, Hy sou hulle voed met die beste van die koring; en met 
PSA.82.1	God 
PSA.82.2	Hoe lank sal julle onregverdig oordeel en 
PSA.82.3	Doen reg aan die swakke en die wees; gee aan die ellendige en die arme sy reg.
PSA.82.4	Red die swakke en behoeftige, bevry 
PSA.82.5	Hulle weet nie en verstaan nie; 
PSA.82.7	nogtans 
PSA.82.8	Staan op, o God, oordeel die aarde! 
PSA.83.3	Want kyk, u vyande maak rumoer, en u haters steek die hoof op.
PSA.83.4	Teen u volk smee hulle listig 'n plan en hou onder mekaar raad teen 
PSA.83.5	Hulle sê: Kom, 
PSA.83.6	Want hulle het van harte saam raad gehou; teen U sluit hulle 'n verbond:
PSA.83.7	die tente van 
PSA.83.9	Ook het 
PSA.83.10	Maak met hulle soos met 
PSA.83.11	hulle is verdelg by En-Dor, hulle het 
PSA.83.12	Maak hulle, hul edeles, soos 
PSA.83.13	wat sê: 
PSA.83.14	My God, maak hulle 
PSA.83.15	Soos vuur wat 'n bos verbrand, en soos die vlam wat berge aan die brand steek —
PSA.83.16	vervolg hulle só met u storm en verskrik hulle met u stormwind.
PSA.83.17	Oordek hulle aangesig met skande, dat hulle u Naam kan soek, o 
PSA.83.18	Laat hulle beskaamd staan en verskrik wees vir ewig, en laat hulle rooi van skaamte word en omkom;
PSA.83.19	sodat hulle 
PSA.84.1	VIR die musiekleier; 
PSA.84.2	Hoe lieflik is 
PSA.84.4	Selfs vind die 
PSA.84.5	Welgeluksalig is hulle wat woon in u huis; hulle 
PSA.84.6	Welgeluksalig is die mens wie se sterkte in U is, in wie se hart die gebaande weë is.
PSA.84.7	As hulle deur die Droë Laagte trek, maak hulle dit 'n fonteinland; ook oordek die vroeë reën dit met seëninge.
PSA.84.8	Hulle gaan van krag tot krag; elkeen 
PSA.84.11	Want 'n dag in u voorhowe is beter as duisend; ek wil liewer by die drumpel staan in die huis van my God as om te woon in die tente van goddeloosheid.
PSA.84.12	Want die 
PSA.85.1	VIR die musiekleier. Van die kinders van Korag. 'n Psalm.
PSA.85.2	U het, o 
PSA.85.3	U het die ongeregtigheid van u volk 
PSA.85.4	U het al u grimmigheid teruggetrek, U het U van die gloed van u toorn 
PSA.85.6	Sal U vir ewig teen ons toornig wees, u toorn laat duur van geslag tot geslag?
PSA.85.7	Sal Ú ons nie weer lewend maak, sodat u volk in U bly kan wees nie?
PSA.85.8	Laat ons u goedertierenheid sien, o 
PSA.85.10	Gewis, sy heil is naby die wat Hom vrees, sodat 
PSA.85.12	Trou spruit uit die aarde en geregtigheid kyk uit die hemel neer.
PSA.85.13	Ook 
PSA.85.14	Geregtigheid gaan voor Hom uit, en dit let op die weg van sy voetstappe.
PSA.86.2	Bewaar my siel, want 'n gunsgenoot is ek; U, my God, verlos u kneg wat op U vertrou.
PSA.86.3	Wees my genadig, o Here, want ek roep U aan die hele dag deur.
PSA.86.4	Verbly die siel van u kneg, want 
PSA.86.5	Want U, o Here, is goed en vergewensgesind en 
PSA.86.8	Daar is 
PSA.86.9	Al die nasies wat U gemaak het, 
PSA.86.10	want U is groot en doen wonders, 
PSA.86.12	Here, my God, ek wil U loof met my hele hart en u Naam vir ewig eer;
PSA.86.13	want u goedertierenheid is groot oor my, en U het 
PSA.86.17	Doen aan my 'n teken 
PSA.87.1	VAN die kinders van Korag. 'n Psalm. 'n Lied.
PSA.87.1	Sy 
PSA.87.2	Die 
PSA.87.3	Heerlike dinge word van u gesê, o 
PSA.87.4	Ek wil 
PSA.87.5	En van Sion sal gesê word: Man vir man is daarin gebore, en Hy, die Allerhoogste, hou dit in stand.
PSA.87.6	Die 
PSA.87.7	En die wat sing sowel as die wat vrolik is, 
PSA.88.3	Laat my gebed voor u aangesig kom, neig u oor tot my smeking.
PSA.88.4	Want my siel is sat van teëspoede, en 
PSA.88.5	Ek word gereken 
PSA.88.6	vrygelaat onder die dooies, soos die wat verslaan is, wat in die graf lê, aan wie U 
PSA.88.7	U het my gesit in die kuil diep daaronder, 
PSA.88.8	U grimmigheid rus op my, en U druk 
PSA.88.9	U het 
PSA.88.10	My oog vergaan van ellende. 
PSA.88.11	Kan U aan die dooies 'n wonder doen? Of kan skimme opstaan, kan hulle U loof? Sela.
PSA.88.12	Kan u goedertierenheid vertel word in die graf, u trou in 
PSA.88.13	Kan u wondermag in 
PSA.88.14	Maar ék, 
PSA.88.16	Van jongs af is ek ellendig en klaar om te sterwe; ek dra u verskrikkinge, ek is radeloos.
PSA.88.17	U toorngloed het oor my gegaan; u verskrikkinge vernietig my;
PSA.88.18	die hele dag omring hulle my soos water, saam omsingel hulle my.
PSA.88.19	U het 
PSA.89.2	Die 
PSA.89.3	Want ek het gesê: Goedertierenheid sal vir ewig gebou word; in die hemele — daar bevestig U u trou.
PSA.89.4	Ek het 'n verbond gesluit met my uitverkorene, 
PSA.89.5	Tot in ewigheid sal Ek jou nageslag bevestig en 
PSA.89.6	En 
PSA.89.7	Want wie kan in die hemel met die 
PSA.89.8	'n God grootliks gedug in die raad van die heiliges en vreeslik bo almal wat rondom Hom is?
PSA.89.10	Ú heers oor die trotsheid van die see; as sy golwe hulle verhef, 
PSA.89.12	Aan U behoort die hemel, aan U ook die aarde; die wêreld en sy volheid — Ú het dit 
PSA.89.13	Die noorde en die suide — Ú het dit geskape; 
PSA.89.14	U het 'n arm met mag; u hand is sterk, u regterhand verhewe.
PSA.89.16	Welgeluksalig is die volk wat die 
PSA.89.17	In u Naam juig hulle die hele dag, en deur u geregtigheid word hulle verhef.
PSA.89.18	Want U is hulle magtige sieraad, en deur u welbehae word 
PSA.89.19	Want aan die 
PSA.89.22	met wie my hand bestendig sal wees; ook sal my arm hom versterk.
PSA.89.23	Die vyand sal hom nie oorval en 
PSA.89.24	maar Ek sal sy teëstanders voor hom weg verpletter; en die wat hom haat, sal Ek verslaan.
PSA.89.25	En my trou en my goedertierenheid sal met hom wees, en deur my Naam 
PSA.89.26	En Ek sal sy hand lê op 
PSA.89.27	Hy is dit wat My sal noem: U is 
PSA.89.28	Ja, Ék sal hom 'n 
PSA.89.29	Vir ewig sal Ek my goedertierenheid vir hom bewaar, en my verbond bly vir hom vas.
PSA.89.30	En Ek sal sy nageslag vir ewig laat duur en sy troon 
PSA.89.32	as hulle my insettinge ontheilig en my gebooie nie hou nie,
PSA.89.33	dan sal Ek hulle oortreding met die roede besoek en met plae hulle ongeregtigheid.
PSA.89.34	Maar my goedertierenheid sal Ek van hom nie wegneem en my trou nie verbreek nie.
PSA.89.35	Ek sal my verbond nie ontheilig nie, en wat oor my lippe gegaan het, sal Ek nie verander nie.
PSA.89.36	Een maal het Ek gesweer 
PSA.89.37	Sy nageslag sal vir ewig wees en sy troon 
PSA.89.38	Soos die maan sal hy vir ewig vasstaan, en die 
PSA.89.39	Maar U het self 
PSA.89.40	U het die verbond van u kneg tot niet gemaak, 
PSA.89.43	U het die regterhand van sy teëstanders verhef, al sy vyande bly gemaak.
PSA.89.44	Ook het U die skerpte van sy swaard laat omdraai en hom nie laat standhou in die geveg nie.
PSA.89.45	U het aan hom sy glans onttrek en sy troon teen die grond neergewerp.
PSA.89.46	U het 
PSA.89.49	Watter mens leef daar wat die dood nie sal sien nie, wat sy siel sal kan red uit die mag van die doderyk? Sela.
PSA.89.50	Here, waar is u vorige goedertierenhede wat U 
PSA.89.52	waarmee u vyande, o 
PSA.90.1	Here, 
PSA.90.2	Voordat die berge gebore was en U die aarde en die wêreld voortgebring het, ja, van ewigheid tot ewigheid is U God.
PSA.90.3	U 
PSA.90.4	Want 
PSA.90.5	Weggespoel het U hulle; 
PSA.90.6	in die môre bloei dit en spruit weer uit; in die aand sny 'n mens dit af, en dit verdor.
PSA.90.7	Want ons vergaan deur u toorn, en deur u grimmigheid word ons verskrik.
PSA.90.9	Want al ons dae gaan verby deur u grimmigheid, ons bring ons jare deur soos 'n gedagte.
PSA.90.10	Die dae van ons jare — daarin is sewentig jaar, of as ons baie sterk is, tagtig jaar; en die uitnemendste daarvan is moeite en verdriet; want gou gaan dit verby, en ons vlieg daarheen.
PSA.90.11	Wie ken die sterkte van u toorn en u grimmigheid, ooreenkomstig die vrees wat aan U verskuldig is?
PSA.90.14	Versadig ons in die môre met u goedertierenheid, sodat ons kan jubel en bly wees in al ons dae.
PSA.90.15	Maak ons bly na die dae waarin U ons verdruk het, na die jare waarin ons onheil gesien het.
PSA.90.16	Laat 
PSA.90.17	En laat 
PSA.91.1	HY wat in 
PSA.91.2	Ek sal tot die 
PSA.91.3	Want Hy is dit wat jou sal red uit 
PSA.91.4	Hy sal jou dek met sy vlerke, en 
PSA.91.5	Jy hoef nie te vrees vir die skrik van die nag, vir die pyl wat bedags vlieg nie,
PSA.91.6	vir die pes wat in die donker wandel, vir die 
PSA.91.7	Al val daar duisend aan jou sy en tienduisend aan jou regterhand — na jou sal dit nie aankom nie.
PSA.91.8	Net met jou oë sal jy dit aanskou en 
PSA.91.9	Want U, 
PSA.91.10	Geen onheil sal jou tref en geen plaag naby jou tent kom nie;
PSA.91.12	Hulle sal jou op die hande dra, sodat jy jou voet teen geen klip stamp nie.
PSA.91.13	Op die leeu en die adder sal jy trap, die jong leeu en die slang 
PSA.91.14	Omdat hy My liefhet, 
PSA.91.15	Hy sal My aanroep, en Ek sal hom verhoor; in die nood sal Ek by hom wees; Ek sal hom uitred en 
PSA.92.3	om in die môre u goedertierenheid te verkondig en u getrouheid in die nagte;
PSA.92.5	Want U het my bly gemaak, 
PSA.92.7	'n 
PSA.92.8	as die goddelose mense groei soos die plante en al die werkers van ongeregtigheid bloei, 
PSA.92.9	Maar U is hoog verhewe tot in ewigheid, 
PSA.92.10	Want kyk, 
PSA.92.11	Maar U 
PSA.92.15	In die gryse ouderdom sal hulle nog vrugte dra, hulle sal vet en groen wees,
PSA.92.16	om te verkondig dat die 
PSA.93.3	Die riviere, o 
PSA.93.5	U getuienisse is baie betroubaar. Heiligheid pas by u huis, 
PSA.94.1	GOD van wraak, o 
PSA.94.2	Verhef U, o 
PSA.94.4	Hulle smaal, hulle praat onbeskaamd — al die werkers van ongeregtigheid verhef hulle.
PSA.94.6	Hulle maak die weduwee en die vreemdeling dood en vermoor die wese
PSA.94.8	Let op, o onverstandiges onder die volk, en julle dwase, wanneer sal julle verstandig word?
PSA.94.9	Sou 
PSA.94.10	Sou Hy wat 
PSA.94.12	Welgeluksalig is die man, o 
PSA.94.13	om hom rus te gee van die dae van teëspoed, totdat 
PSA.94.14	Want 
PSA.94.15	want die regspraak sal terugkeer tot geregtigheid, en al die opregtes van hart sal dit volg.
PSA.94.16	Wie sal vir my optree teen die kwaaddoeners? Wie sal my bystaan teen die werkers van ongeregtigheid?
PSA.94.18	As ek dink: 
PSA.94.19	As my gedagtes binne-in my vermenigvuldig, dan verkwik u vertroostinge my siel.
PSA.94.20	Het die regterstoel wat onheil stig, met U gemeenskap; wat moeite versin 
PSA.94.21	Hulle bestorm die lewe van die regverdige en 
PSA.94.22	Maar die 
PSA.94.23	En Hy laat hulle ongeregtigheid op hulle terugkeer en verdelg hulle in hul boosheid; die 
PSA.95.1	KOM, laat ons jubel tot eer van die 
PSA.95.2	Laat ons sy aangesig tegemoetgaan met lof, met lofsange Hom toejuig!
PSA.95.3	Want die 
PSA.95.4	In wie se hand die diepste plekke van die aarde is, en die toppe van die berge is syne.
PSA.95.5	Aan wie die see behoort wat Hy self gemaak het, en die droë land wat sy hande geformeer het.
PSA.95.6	Kom, laat ons aanbid en neerbuk; laat ons kniel voor die 
PSA.95.7	Want Hy is onse God, en ons is 
PSA.95.8	Verhard julle hart nie 
PSA.95.9	waar julle vaders 
PSA.95.10	Veertig jaar het Ek 'n afkeer gehad van 
PSA.95.11	sodat Ek 
PSA.96.2	Sing tot eer van die 
PSA.96.3	Vertel onder die nasies sy eer, onder al die volke sy wonders.
PSA.96.4	Want die 
PSA.96.5	Want al die gode van die volke is afgode, maar die 
PSA.96.6	Majesteit en heerlikheid is voor sy aangesig, 
PSA.96.7	Gee aan die 
PSA.96.8	Gee aan die 
PSA.96.9	Aanbid die 
PSA.96.10	Sê onder die volke: Die 
PSA.96.11	Laat die hemele bly wees en die aarde juig; laat die see en sy volheid bruis.
PSA.96.13	voor die aangesig van die 
PSA.97.3	'n Vuur gaan voor sy aangesig uit en steek sy teëstanders rondom aan die brand.
PSA.97.7	Beskaamd staan almal wat die beelde dien, wat hulle op afgode beroem; al die gode 
PSA.97.8	Sion hoor dit en is bly, en die dogters van Juda juig oor u oordele, o 
PSA.97.9	Want U, 
PSA.98.3	Hy het 
PSA.98.4	Juig voor die 
PSA.98.5	Psalmsing tot eer van die 
PSA.98.6	met 
PSA.98.8	Laat die riviere 
PSA.98.9	voor die aangesig van die 
PSA.99.2	Die 
PSA.99.3	Laat hulle u grote en gedugte Naam loof! 
PSA.99.4	Ook die sterkte van die Koning wat die reg liefhet. Ú het bevestig wat regverdig is; Ú het reg en geregtigheid gedoen in Jakob.
PSA.99.5	Verhef die 
PSA.99.7	In die 
PSA.99.9	Verhef die 
PSA.100.2	Dien die 
PSA.100.3	Erken dat die 
PSA.100.4	Gaan sy poorte in met lof, sy 
PSA.100.5	Want die 
PSA.101.1	VAN Dawid. 'n Psalm.
PSA.101.1	Ek wil sing van goedertierenheid en reg; tot u eer wil ek psalmsing, o 
PSA.101.2	Ek wil ag gee op regskape wandel — 
PSA.101.3	Ek stel geen lae ding voor my oë nie; die dade van afvalliges haat ek; dié sal my nie aankleef nie.
PSA.101.5	Hy wat heimlik van sy naaste kwaad spreek, hom sal ek 
PSA.101.6	My oë sal wees op die getroues in die land, dat hulle by my kan woon; hy wat wandel in die weg van opregtheid, dié mag my dien.
PSA.101.7	Hy wat bedrog pleeg, mag binne-in my huis nie bly nie; wie leuens praat, kan voor my oë nie bestaan nie.
PSA.101.8	Elke môre sal ek al die goddelose van die land vernietig, om al die werkers van ongeregtigheid uit 
PSA.102.5	Platgeslaan soos die plante en verdor is my hart; 
PSA.102.6	Vanweë my harde gesug kleef my gebeente aan my vlees.
PSA.102.7	Ek is soos 'n pelikaan van die woestyn, ek het geword soos 'n uil op die puinhope.
PSA.102.8	Ek is slapeloos en het geword soos 'n eensame voël op die dak.
PSA.102.9	Die hele dag smaad my vyande my; die wat teen my raas, gebruik my naam as 'n vloek.
PSA.102.10	Want ek eet as soos brood en 
PSA.102.11	vanweë u grimmigheid en u toorn; want U het my opgehef en my weggewerp.
PSA.102.12	My dae is 
PSA.102.13	Maar 
PSA.102.14	Ú sal opstaan, U 
PSA.102.15	Want u knegte het sy klippe lief en het medelyde met sy puin.
PSA.102.16	Dan sal die heidene 
PSA.102.17	omdat die 
PSA.102.19	Dit sal vir die volgende geslag 
PSA.102.20	omdat Hy van sy heilige hoogte 
PSA.102.21	om 
PSA.102.22	sodat hulle in Sion 
PSA.102.23	as die volke almal saam vergader, ook die koninkryke om die 
PSA.102.24	Hy het my krag op die weg swak gemaak, my dae verkort.
PSA.102.25	My God, 
PSA.102.28	Maar 
PSA.103.2	Loof die 
PSA.103.3	Wat 
PSA.103.4	wat jou lewe verlos van die verderf, wat 
PSA.103.5	wat jou siel versadig met die goeie, sodat jou jeug weer nuut word 
PSA.103.6	Die 
PSA.103.10	Hy handel met ons nie na ons sondes en vergeld ons nie na ons ongeregtighede nie.
PSA.103.11	Want so hoog as die hemel is bo die aarde, so geweldig is sy goedertierenheid oor 
PSA.103.12	So ver as die ooste verwyderd is van die weste, so ver verwyder Hy ons oortredinge van ons.
PSA.103.14	Want Hy, Hy weet watter maaksel ons is, 
PSA.103.15	Die mens — soos die 
PSA.103.16	As die wind daaroor gaan, is dit nie meer nie en sy plek ken hom nie meer nie.
PSA.103.17	Maar die goedertierenheid van die 
PSA.103.18	vir die wat sy verbond hou en aan sy bevele dink om dié te doen.
PSA.103.19	Die 
PSA.103.20	Loof die 
PSA.103.21	Loof die 
PSA.104.2	wat Uself omhul met die lig soos met 'n kleed, wat die hemel uitspan soos 
PSA.104.3	wat sy 
PSA.104.5	Hy het die aarde gegrond op sy grondveste, sodat dit vir ewig en altyd nie wankel nie.
PSA.104.6	U het dit met die wêreldvloed soos met 'n kleed oordek; die waters het bo-oor die berge gestaan.
PSA.104.8	berge het opgerys, laagtes het weggesak — na die plek wat U vir hulle reggemaak het.
PSA.104.10	Hy wat die fonteine uitstuur in die holtes: tussen die berge loop hulle deur.
PSA.104.11	Hulle laat al die diere van die veld drink; die wilde-esels les hulle dors.
PSA.104.12	By hulle woon die voëls van die hemel; tussen die takke uit laat hulle die stem hoor.
PSA.104.13	Hy laat die berge drink uit sy boonste kamers; die aarde word versadig uit die vrug van u werke.
PSA.104.14	Hy laat gras uitspruit vir die diere en die plante tot diens van die mens: om broodkoring uit die aarde te laat voortkom,
PSA.104.15	en dat 
PSA.104.16	Die bome van die 
PSA.104.17	waar die voëls hulle neste maak, die ooievaar wie se huis die sipresse is.
PSA.104.18	Die hoë berge is vir die steenbokke, die rotse is 'n skuilplek vir die dasse.
PSA.104.19	Hy het die maan gemaak 
PSA.104.20	U beskik die duisternis, en dit word nag, waarin al die diere van die bos uitkruip.
PSA.104.21	Die 
PSA.104.22	As die son opgaan, dan trek hulle hul terug en gaan lê in hul slaapplekke.
PSA.104.23	Die mens gaan uit na 
PSA.104.24	Hoe talryk is u werke, o 
PSA.104.25	Daar is die see, groot en alkante toe wyd — daar is 'n gewemel sonder getal, klein diere saam met grotes.
PSA.104.26	Daar gaan die skepe 
PSA.104.27	Hulle almal wag op U, dat U hulle 
PSA.104.28	U gee 
PSA.104.30	U stuur u Gees uit, hulle word geskape; en U maak die gelaat van die aarde nuut.
PSA.104.31	Laat die heerlikheid van die 
PSA.104.32	Hy wat die aarde aankyk, en dit bewe; Hy 
PSA.104.33	Ek wil sing tot eer van die 
PSA.104.34	Mag my oordenking Hom welgevallig wees; ék sal bly wees in die 
PSA.104.35	Mag 
PSA.105.2	Sing, psalmsing tot sy eer, spreek van al sy wonders.
PSA.105.3	Beroem julle in sy heilige Naam; laat die hart van die wat die 
PSA.105.4	Vra na die 
PSA.105.5	Dink aan sy 
PSA.105.7	Hy, die 
PSA.105.8	Hy dink vir ewig aan sy verbond, aan die woord wat Hy ingestel het vir duisend geslagte —
PSA.105.10	wat Hy ook vir Jakob as insetting bekragtig het, vir Israel as 'n ewige verbond,
PSA.105.11	met die woorde: Ek sal aan jou die land Kanaän gee, julle aangewese erfdeel.
PSA.105.12	Toe hulle min mense was, min en vreemdelinge daarin,
PSA.105.13	en hulle getrek het van nasie tot nasie, van die een koninkryk na die ander volk,
PSA.105.14	het Hy geen mens toegelaat om hulle te verdruk nie; ook het Hy konings om hulle ontwil gestraf 
PSA.105.16	En 
PSA.105.19	tot op die tyd dat 
PSA.105.24	En 
PSA.105.25	Hy het hulle hart verander, om sy volk te haat, om listig teen sy knegte te handel.
PSA.105.30	Hulle land het gewemel van paddas, in die kamers van hulle konings.
PSA.105.31	Hy het gespreek, en daar het steekvlieë gekom, 
PSA.105.32	Hy het hulle reëns hael gemaak, 
PSA.105.33	En Hy het hulle wingerdstok en hulle vyeboom geslaan en die bome van hulle grondgebied verbreek.
PSA.105.34	Hy het gespreek, en daar het 
PSA.105.35	wat al die plante in hulle land opgeëet het, ja, opgeëet het die vrugte van hulle grond.
PSA.105.37	Toe het Hy hulle laat uitgaan 
PSA.105.40	Hulle het gebid: toe 
PSA.105.42	Want 
PSA.105.43	En Hy het sy volk laat uitgaan met vreugde, sy uitverkorenes met gejubel.
PSA.105.44	En 
PSA.106.1	HALLELUJA! 
PSA.106.2	Wie kan die magtige dade van die 
PSA.106.3	Welgeluksalig is hulle wat die reg bewaar, die wat altyd geregtigheid doen.
PSA.106.5	dat ek kan aanskou die geluk van 
PSA.106.6	Ons het 
PSA.106.7	Ons vaders in Egipte het nie ag gegee op u wonders, hulle het nie gedink aan die menigte van u goedertierenhede nie, maar 
PSA.106.8	Maar Hy het hulle verlos 
PSA.106.10	En 
PSA.106.11	En 
PSA.106.12	Toe het hulle aan sy woorde geglo, hulle het sy lof gesing.
PSA.106.15	Toe 
PSA.106.18	En 
PSA.106.20	En hulle het hul Heerlikheid verruil vir die afbeelding van 'n bees wat gras eet.
PSA.106.21	Hulle het God vergeet, hulle Verlosser, wat groot dinge gedoen het in Egipte,
PSA.106.22	wonders in die land 
PSA.106.25	en hulle het gemurmureer in hul tente, na die stem van die 
PSA.106.26	Toe het Hy sy hand teen hulle opgehef om hulle neer te slaan in die woestyn,
PSA.106.27	en om hulle nageslag te versprei onder die nasies en hulle te verstrooi in die lande.
PSA.106.28	Ook 
PSA.106.29	en hulle het 
PSA.106.30	Toe 
PSA.106.31	en 
PSA.106.33	want hulle was wederstrewig teen sy Gees, 
PSA.106.36	En 
PSA.106.37	Bowendien 
PSA.106.38	en onskuldige bloed vergiet — die bloed van hul seuns en hul dogters wat hulle aan die afgode van Kanaän geoffer het — sodat 
PSA.106.39	En hulle het onrein geword deur hul werke en gehoereer 
PSA.106.40	Toe 
PSA.106.41	En Hy het hulle in die hand van die heidene gegee, en hulle haters het oor hulle geheers;
PSA.106.42	en hulle vyande 
PSA.106.44	Nogtans het Hy hulle benoudheid aangesien toe Hy hulle smeking gehoor het;
PSA.106.45	en Hy 
PSA.107.2	Dit moet 
PSA.107.3	en 
PSA.107.4	Hulle 
PSA.107.5	Honger, ook dors was hulle; hulle siel het in hulle versmag.
PSA.107.6	Toe 
PSA.107.7	En Hy het hulle gelei op 'n regte pad om te gaan na 'n stad om in te woon.
PSA.107.10	Die wat 
PSA.107.11	omdat hulle wederstrewig was teen die woorde van God en 
PSA.107.12	het Hy hulle hart deur moeite verneder; hulle het gestruikel, en daar was geen helper nie.
PSA.107.16	want Hy 
PSA.107.17	Die 
PSA.107.18	hulle siel het 'n afsku gehad van elke soort voedsel, en hulle het tot by 
PSA.107.20	Hy het 
PSA.107.22	en laat hulle 
PSA.107.24	húlle het die werke van die 
PSA.107.25	Want Hy het gespreek en 'n stormwind laat opsteek wat die golwe daarvan opgesweep het.
PSA.107.26	Hulle het opgerys na die hemel, neergedaal na die dieptes — hulle siel 
PSA.107.27	Hulle het getuimel en 
PSA.107.29	Hy het die storm 'n gesuis gemaak, en hulle golwe het stil geword.
PSA.107.30	Toe was hulle bly, omdat dit rustig geword het, en Hy het hulle gelei na die hawe van hul begeerte.
PSA.107.32	En laat hulle Hom verhoog 
PSA.107.33	Hy het riviere 'n woestyn gemaak en waterfonteine 'n dorsland,
PSA.107.35	Hy het die woestyn 'n waterplas gemaak en die dor land waterfonteine;
PSA.107.36	en Hy het hongeriges daar laat bly, en hulle het 'n stad gestig om in te woon.
PSA.107.37	En hulle het lande gesaai en wingerde geplant wat vrugte as opbrings verskaf het.
PSA.107.38	En Hy het hulle geseën, sodat hulle sterk vermenigvuldig het, en hulle vee het Hy nie min gemaak nie.
PSA.107.39	Toe het hulle min geword en weggesink deur die druk van onheil en kommer —
PSA.107.41	Hy 
