GEN.1_1.1	I. 
EST.8_1.14	Ba ha siʼaikõ tebeʼe goroisa andrõ, ba gõdo ba Zoesa, ba mofanõ zinenge andrõ, saõsõ, si fakoedo ba hoeloe koedo chõ razo, salio ahe, laʼoʼõ niw̃aʼõ razo, laʼaliogõ ira, lafandroeo koedo.
EST.8_1.15	III. 
EST.8_1.16	Noa sa faloecha waʼohahaoe dõdõ ba faʼomoeso dõdõ ba faʼowoeawoea dõdõ ba soemange Niha Jehoeda. 
EST.8_1.17	Ba dozi õri ba dozi banoea, heza iroegi niw̃aʼõ razo ba oroisania andrõ, ba so waʼomoeso dõdõ ba Niha Jehoeda ba faʼowoeawoea dõdõ ba femangamanga, ba owoeloa. Ba ato zi tobali Niha Jehoeda niha baero, me no ihawoei ira faʼataʼoera Niha Jehoeda.
EST.9_1.1	I. 
EST.9_1.2	ba mbanoeara, ba danõ barõ mbawa razo Ahasiwero, ba wamoenoe samoenoe jaʼira enaʼõ. Ba lõ solaw̃a jaʼira, me no dozi soi ihawoei faʼataʼoera Niha Jehoeda. 
EST.9_1.3	Ba latolo Niha Jehoeda dozi salaw̃a ba danõ, ba he nifataro razo ba koemandroe ba koemandra, me no ihawoei ira faʼataʼoera Morodochai. 
EST.9_1.4	No seboea ae Morodochai, ba genoni razo, ba itõrõi danõ fefoe toeriania, me itoegoe tedooe manõ waʼeboea Morodochai andrõ. 
EST.9_1.5	Ba teʼala sibai zi fatioe tõdõ chõra fefoe labeʼe Niha Jehoeda, lafafahõ ba laʼõʼõtõ, laboeboenoe; somasi ira lafatõrõ ba zi fatioe tõdõ chõra. 
EST.9_1.6	Ba ba hati ba Zoesa, ba 500 niha laboenoe Niha Jehoeda, lafakiko. 
EST.9_1.7	Fabaja Farasandrata ba Dalafono ba Asafata, 
EST.9_1.8	ba Forata ba Adalia ba Aridata, 
EST.9_1.9	ba Faramasa ba Arisai ba Aridaʼi ba Wajesata, ono Hamano andrõ, 
EST.9_1.10	si dafoeloe, ba ba laboeboenoe, ono Hamano ono Hamedata, oedoe Niha Jehoeda, ba si so chõra, ba lõ lababaja. 
EST.9_1.11	Ba me loeo daʼõ, ba irongo razo waʼato niboenoe ba hati ba Zoesa. 
EST.9_1.12	Ba imane razo chõ woʼomonia Esitera: Ba hati, ba Soesa, ba no 500 niboenoe Niha Jehoeda niha, fabaja ono Hamano, si dafoeloe, ba taʼila he wisa wolaoera ba nõri bõʼõ barõ mbawa razo! Ba hadia niʼandrõoe, enaʼõ latehe chõoe? Ba hadia zomasiʼõ, enaʼõ latõrõ chõoe? 
EST.9_1.13	Ba imane Esitera: Na atoelõ chõ razo, ba enaʼõ mahemoloe gõi latehe ba Niha Jehoeda ba Zoesa nilaoera maʼõchṍ; ba ono Hamano andrõ, si dafoeloe, ba enaʼõ na lataw̃i ba gatoenga. 
EST.9_1.14	Ba ibeʼe li razo, laʼoʼõ daʼõ; ba tebeʼe goroisa ba Zoesa, ba ono Hamano andrõ, si dafoeloe, ba lataw̃i. 
EST.9_1.15	Ba owoelo zoei Niha Jehoeda ba Zoesa, ba zi me 14, ba mbaw̃a Adara, ba 300 laboenoe niha ba Zoesa. Ba si so chõra, ba lõ lababaja. 
EST.9_1.16	Ba Niha Jehoeda ba nõri bõʼõ barõ mbawa razo, ba owoelo, ba latimba zamoenoe jaʼira enaʼõ, wolaoe balõra ba noedoera andrõ, ba 75,000 laboenoe si fatioe tõdõ chõra, ba si so chõra, ba lõ lababaja.
EST.9_1.17	II. 
EST.9_1.18	Ba Niha Jehoeda ba Zoesa, ba no faoma owoelo [ba wamoenoe oedoera], he ba zi me 13, ba he ba zi me 14, ba tobali ba zi me 15 molombase ira, ba loeo daʼõ labaliʼõ baw̃a gowoeloa ba baw̃a waʼomoeso dõdõ. 
EST.9_1.19	Andrõ wa si me 14, ba mbaw̃a Adara, labaliʼõ baw̃a waʼomoeso dõdõ ba baw̃a gowoeloa, si no amaedola gowasa Niha Jehoeda ba danõ, ba mbanoea si zaewe ba danõ misa, ba faoma lafaʼoheʼõ chõ nawõra goeracha. 
EST.9_1.20	Ba itanõ ba zoera daʼõ fefoe Morodochai, ba ifaʼoheʼõ zoera ba Niha Jehoeda, idozigõ õri barõ mbawa razo Ahasiwero, he sahatõ, ba he sarõoe; 
EST.9_1.21	ifachoi hoekoe daʼõ chõra: ero rõfi, ba labeʼe baw̃a si sõchi zi me 14 ba si me 15, ba mbaw̃a Adara, — 
EST.9_1.22	laʼohiaʼõ mbaw̃a andrõ mege, ba nitimba Niha Jehoeda si fatioe tõdõ chõra, ba baw̃a si tobali faʼomoeso dõdõ faʼatosasa, ba sitobali loeo gowoeloa faʼaboe dõdõ — wamaliʼõ baw̃a gowoeloa ba baw̃a waʼomoeso dõdõ, ba zi faoma lafaʼoheʼõ chõ nawõra oeracha, ba ba nibeʼebeʼe boeala ba zi noemana. 
EST.9_1.23	Ba labeʼe hoekoe [ba chõra Niha Jehoeda] zi no lafobõrõ andrõ, awõ nisoera Morodochai chõra. 
EST.9_1.24	Me no tõdõ Hamano andrõ, ono Hamedata, maʼoewoe Agagi, oedoe Niha Jehoeda fefoe, wamoenoe Niha Jehoeda, ba me no ifalaoeʼõ ”woeri” — dahõdahõ —, ba wamakiko jaʼira ba ba wangohori, 
EST.9_1.25	ba me no iw̃aʼõ razo — me no fahoehoeo chõnia Gesitera — me no ibeʼe zoera, alacha chõnia tofana mangawoeli dõdõnia famakiko andrõ ba lataw̃i ia ba gatoenga, fabaja iraononia. 
EST.9_1.26	Andrõ wa labeʼe tõi mbaw̃a andrõ ”woerimi”, bõrõ ”woeri” andrõ, ba õsi zoera no mege fefoe, awõ zi no faloecha ira, ba he nirongora. 
EST.9_1.27	Ba lahonogõi hoekoe daʼõ Niha Jehoeda, ba chõra ba ba ngaʼõtõra dania, ba he ba zi mõi banoeara, hoekoe si tebai awoeʼa: laʼamoniʼõ mbaw̃a andrõ, si doea ngaloeo, dali zi no moebeʼe ba zoera ba fangohonogõi jaʼia. 
EST.9_1.28	Ba fa bõi olifoe ira mbaw̃a daʼõ ba enaʼõ latõrõ, gõtõgõtõ waʼara dania, dozi omo ba dozi õri ba dozi banoea, fa bõi taja ba Niha Jehoeda mbaw̃a ”woerimi” andrõ, bõi manõ olifoe ngaʼõtõra mitooe. 
EST.9_1.29	Ba labeʼe ba zoera foʼomo razo, Esitera, ono Gabihailo, ba Morodochai, Niha Jehoeda andrõ, labeʼe fangaronia waʼasalaw̃ara andrõ, ba wameʼe soera ”woerimi” andrõ si samboea. 
EST.9_1.30	Ba ifaʼoheʼõ zoera ba Niha Jehoeda fefoe ba nõri andrõ si 127, amatõrõw̃a Gahasiwero maʼasagõrõ ihaogõ linia chõra, soroi ba dõdõ, 
EST.9_1.31	ba wameʼe hoekoe mbaw̃a ”woerimi” andrõ, ba ginõtõ nihonogõi, dali wa no labeʼe hoekoe Morodochai Niha Jehoeda ba foʼomo razo Esitera, awõ wa no labeʼe hoekoe chõra ba ba ngaʼõtõra mitooe gamachoita andrõ ba wamoni ba gõ ba ba wangarõngarõ. 
EST.9_1.32	Ba tobali hoekoe nifachoi ba ”woerimi” andrõ ba goroisa Gesitera; ba tetanõ ba zoera.
EST.10_1.2	Ba fangoromaʼõnia faʼeboeania ba faʼabõlõnia, ba fangombacha lachõmi Morodochai, me no ifolachõmi ia razo, ba no moetanõ ba zoera hikaja razo ba Media ba ba Weresia. 
EST.10_1.3	Niha Jehoeda andrõ Morodochai, ba no tambalina razo Ahasiwero, ba no eboea dõinia ba niha Jehoeda, ba omasiõ niwara fefoe ia, me no sangaloei fangorifi madora, ba me sohare niwara iʼaloei ba hoehoeonia iefoe.
JOB.1_1.1	I. 
JOB.1_1.2	Ba fitoe nononia matoea ba tõloe nono alawe. 
JOB.1_1.3	Ba 7000 chõnia mbiribiri ba 3000 gondra, ba 500 fasa zaw̃i ba 500 galide si alawe, ba ato sibai zawoejoenia; tobali salaw̃a niha daʼõ, moroi ba niha bõʼõ fefoe, tánõ ba gatoemboecha loeo. 
JOB.1_1.4	Ba maosomaoso nononia matoea, lalaoe fatome, samõsa maʼṍchõ, ba lafakaonikaoniʼõ dalifoesõra alawe si datõloe andrõ, ba wemanga chõra. 
JOB.1_1.5	Ba na no fatoetoe watomesa andrõ, ba ifaw̃aʼõgõ chõra Jobi, enaʼõ na lasalaʼõ ira. Ba ihoelõ wongi wemaoso, ibeʼe zoemange nitoenoe, iʼohiaʼõ waʼatora. Imane saʼae Jobi: Ma dania no molalõ nonogoe andrõ, ma no laʼerogõ Lowalangi tõdõra! Si manõmanõ wolaoe Jobi andrõ.
JOB.1_1.6	II. 
JOB.1_1.7	Ba imane Jehowa chõ Zatana: Heza õʼotarai? Itema li Jehowa Satana, imane: Oeʼotarai koemoli, no oetõrõi goeli danõ! 
JOB.1_1.8	Ba imane Jehowa chõ Zatana: Hadia, no õnehegõ gõi genonigoe Jobi andrõ? Lõʼõ sa famaedonia ba goeli danõ, ba waʼatoelõ ba ba waʼadõlõ dõdõ, ba wangataʼoefinia Lowalangi ba ba waʼoedoesa ba zi lõ sõchi. 
JOB.1_1.9	Itema li Jehowa Satana, imane: Hadia, iʼataʼoefi gõi Lowalangi Jobi, lõ bõli gõlõnia? Tenga no õfobaʼabaʼa ia ba omonia, fabaja fefoe zi so chõnia, fasoei? 
JOB.1_1.10	Halõw̃õ dangania, ba no õfahowoeʼõ, ba itoegoe oja manõ goerifõnia ba danõ. 
JOB.1_1.11	Ba tema oroʼõ dangaoe ba babaja zi so chõnia fefoe, ba lõ zi lõ ikaoni ba mbawaoe, wa iʼerogõ ndraʼoegõ. 
JOB.1_1.12	Ba imane Jehowa chõ Zatana: Hiza, fefoe hadia ia, zi so chõnia, ba ja so ba dangaoe, ba bõi babaja mbotonia! Ba mofanõ Zatana, irõi Jehowa.
JOB.1_1.13	III. 
JOB.1_1.14	ba so zangombacha toeria chõ Jobi; imane: No mangoehoendra laza zaw̃i ba mangaloei gõra galide si alawe, ba hinõloe, 
JOB.1_1.15	ba so manõ Ndrawa Zaba, laʼoloiʼõ, ba laʼõʼõtõ siʼõli zawoejoe, ba ha jaʼo zoloi, ba wangombacha chõoe. 
JOB.1_1.16	Ba lõ saetoe na li daʼõ, ba so zamõsa tõ, imane: No aechoe galitõ Lowalangi, moroi ba mbanoea si jaw̃a, ba no iʼā mbiribiri, fabaja sawoejoe, ba ha jaʼo zoloi, ba wangombacha chõoe. 
JOB.1_1.17	Ba lõ saetoe na li daʼõ, ba so zamõsa tõ, imane: Tõloe bawá zabõlõ Ndrawa Galedaia, ba lahawoei manõ gondra, laraboe; ba sawoejoe, ba laʼõʼõtõ siʼõli, ba ba jaʼo zoloi, ba wangombacha chõoe. 
JOB.1_1.18	Ba lõ saetoe na li daʼõ zoei, ba so zamõsa tõ, imane: Mangamanga mege nonooe matoea ba onooe alawe, ba nomo gaʼara si aʼa, 
JOB.1_1.19	ba iʼozoemagõ so nangi sabõlõ, moroi ba danõ si mate, telobi ba nomo andrõ, ba watalingania maʼaʼõfa, ba adoedoe, ilangõ ndraonooe andrõ ba mate ira, ba ha jaʼo zoloi, ba wangombacha chõoe. 
JOB.1_1.20	Ba maoso Jobi, isika noechania, ifatõwõʼõ mboenia; ba ifalõgoe tooe ia ba danõ, mangaloeloe ia. 
JOB.1_1.21	Imane: Lõ noechagoe, me oeʼotarai daloe ninagoe, ba lõ noechagoe, na mangawoelido dania, 
JOB.1_1.22	Ba daʼõ fefoe, ba lõ lalõ Jobi, ba lõ iw̃aʼõ si lõ gõna nilaoe Lowalangi. 
JOB.2_1.1	I. 
JOB.2_1.2	Ba imane Jehowa chõ Zatana: Heza õʼotarai? Itema li Jehowa Satana, imane: Oeʼotarai koemoli, no oetõrõi goeli danõ. 
JOB.2_1.3	Ba imane Jehowa chõ Zatana: Hadia, noa gõi õnehegõ genonigoe Jobi andrõ? Lõʼõ sa famaedonia ba goeli danõ, ba waʼatoelõ ba ba waʼadõlõ dõdõ ba ba wangataʼoefi Lowalangi ba ba waʼoedoesa ba zi lõ sõchi. Lõʼõ na nibõhõlinia satoelõ andrõ chõnia, ba no õfarooe ndraʼo, ba wamakao jaʼia, lõ bõrõbõrõ! 
JOB.2_1.4	Itema li Jehowa Satana, imane: Oeli zalahi goeli! — ba fefoe hadia ia, ochõta niha, ba iloeloe, asala aoeri ia! 
JOB.2_1.5	Ba tema oroʼõ dangaoe, babaja nõsinia, ba lõ zi lõ ikaoni ba mbawaoe, wa iʼerogõ ndraʼoegõ! 
JOB.2_1.6	Ba imane Jehowa chõ Zatana: Hiza, ba dangaoe so ia, ba bõi etoeʼõ nosonia! 
JOB.2_1.7	Ba mofanõ Zatana, irõi Jehowa, ba ibõzi Jobi bio, iʼotarai narõ kahe, noemalõ ba gagalizoezoe. 
JOB.2_1.8	Ba ihalõ doega lawoe, ba wogaʼagaʼa õsinia, doemadao ia bawoe. 
JOB.2_1.9	Ba imane chõnia foʼomonia: Hadia, aro zoei na dõdõoe ba zatoelõ andrõ chõoe? Tema efaʼõgõ chõ Lowalangi ba jagõ mate! 
JOB.2_1.10	Ba imane chõnia: Fehede zi lõ tõdõ wehedeoe. 
JOB.2_1.11	II. 
JOB.2_1.12	Ba me lafaõga hõrõra, me arõoe na maʼifoe ira, ba lõ laʼila wa jaʼia; ba megeʼege ira, ba lasika noechara, dozi ira, lafazaoemba mijaw̃a gawoegawoe, satoroe ba hõgõra. 
JOB.2_1.13	Ba doemadao ira, awõnia, ba zalo, fitoe ngaloeo ba fitoe mbongi, samõsa lõ sihede chõnia, samboea li lõʼõ, me no laʼila, wa no falawoe waʼafõchõ andrõ chõnia.
JOB.3_1.1	I. 
JOB.3_1.2	Hoemede ia, imane:
JOB.3_1.3	”Jatekiko mbaw̃a andrõ, ba zi toemboe ndraʼo, ba bongi andrõ, me law̃aʼõ: No toemoege nono matoea!
JOB.3_1.4	Jaʼogõmigõmi mbaw̃a daʼõ; bõi jamoesofoe ia Lowalangi si jaw̃a ba bõi jatobaha chõnia faʼamoloeo!
JOB.3_1.5	Ndramoeʼandrõ mangawoeli ia faʼogõmigõmi ba si bongi; jamoehawoei ia salōē ba jamoefetaʼoe ia fangogõmigõmisi zi moloeo. 
JOB.3_1.6	Bongi andrõ, ba jamõi ondraʼoea zogõmigõmi: Bõi omoeso dõdõnia ba ngenoli mbaw̃a ndrõfi andrõ, bõi jalaʼerai awõ mbaw̃a bõʼõ.
JOB.3_1.7	Ja lõ toemboe niha saʼae ba mbongi daʼõ: bõi jaʼowoeawoea dõdõ niha ba chõnia!
JOB.3_1.8	Ndramoeʼelifi ia sangelifi baw̃a, sangila mamarooe malioe.
JOB.3_1.9	Jandroendroemõ ndrõfinia na aracha moloeo: jamoedõnadõna haga — zajazaja gõlõ! alõsoe bõi jamoeʼila hõrõ waʼamoloeo!
JOB.3_1.10	Me lõ nidoehõnia chõgoe taloe ninagoe ba me lõ nibiniʼõnia chõgoe famakao, fa bõi iʼila hõrõgoe!
JOB.3_1.11	II. 
JOB.3_1.12	Hana wa nihagi na ndraʼodo ba hana wa laʼoroʼõ chõgoe mbalõ meme, nisisiõgoe?
JOB.3_1.13	Tobali no adõlõ tooe ndraʼo menaʼõ iadaʼe, ba molombase; mõrõ menaʼõ ndraʼo ba ahono dõdõgoe,
JOB.3_1.14	awõ razo ba awõ goemandroe, sangotomosi chõra adoedoela,
JOB.3_1.15	ba ma awõ zalaw̃a seboea anaʼa, samoʼõsi omora firõ.
JOB.3_1.16	Ba ma zoei si mane tabina saechoe, nikoʼo ba danõ; lõʼõ manõ jaʼodo, si mane tabina, si lõ irai mangila haga zi moloeo.
JOB.3_1.17	Ba daʼõ labato wabõtoesa seboea horõ ba ba daʼõ ahono zi no atage.
JOB.3_1.18	Sohahaoe dõdõ nikoeroe fefoe, lõ larongo li mandroe.
JOB.3_1.19	He iraono ba he satoea, ba fagõlõgõlõ ba daʼõ, ba aefa zawoejoe chõ zochõ jaʼia.
JOB.3_1.20	Hana wa ifohaga zi noemana, ba hana wa iʼorifi zaboe tõdõ?
JOB.3_1.21	Si dõnadõna faʼamate ba lõ aloea, sangaloei jaʼia moroi ba wangaloeinia anaʼa. 
JOB.3_1.22	Somoeso sibai tõdõ, si karaini faʼiki enaʼõ, na faloecha lewatõ. —
JOB.3_1.23	Hana wa tefohaga niha, si no tobini lala, nibaʼa Lowalangi fasoei? 
JOB.3_1.24	Noa sa salahi gõgoe wangarõngarõ ba no amaedola gelea wegeʼegegoe andre.
JOB.3_1.25	Na ataʼoedo hadia ia, ba no gõnado jaʼia, ba hadia zihocha mboegoe, ba itõrõdo.
JOB.3_1.26	Lõ si faloechado na waʼahono, ba he folombase ba he faʼohahaoe dõdõ, ba hiza saʼae [zoei] wamahoefa!”
JOB.4_1.1	I. 
JOB.4_1.2	”Ma dania aboea chõoe, na taw̃aʼõ maʼifoe chõoe niw̃aʼõda; ba ha niha zangila mombaʼa taroma linia?
JOB.4_1.3	Hiza, no ato nifolalamõ tõdõ, ba no õfoeli õʼabeʼebeʼeʼõ danga si no adada.
JOB.4_1.4	Ha niha zalaoe menaʼõ, ba no taroma lioe zangabeʼe, ba no õʼabõlõʼõ gahe si no mangiwa.
JOB.4_1.5	Ba iadaʼe, me jaʼoegõ zi gõna, ba aboe dõdõoe; me itõrõ ndraʼoegõ, ba tokeaʼõ.
JOB.4_1.6	Hadia, tenga fangabeʼe dõdõoe wangataʼoefioe Lowalangi, ba tenga tõtõnafõoe waʼatoelõmõ andrõ?
JOB.4_1.7	Eraʼera tõdõoe, na no irai faloecha zi tekiko, si lõ horõ; hadia, no irai tehori zatoelõ tõdõ?
JOB.4_1.8	Ndrege niʼilagoe, ba samakoe si lõ sõchi ba sanaroe famakao, daʼõ gõi zamasi jaʼia. 
JOB.4_1.9	Ihehaini ira Lowalangi, ba tekiko ira, ba hanoehanoe wõnoenia andrõ ariri.
JOB.4_1.10	Fendrõndrõndrõndrõ zingo ba li harimo — ba ifõ nono zingo, ba no moefatõ.
JOB.4_1.11	Mowaõwaõ manõ zingo, si lõ boto, me no ambõ ahoeloea — ba ono zingo, ba moezaewe.
JOB.4_1.12	II. 
JOB.4_1.13	Na ifakoli ia eraʼera ba gangilata ba zi bongi, na ihawoei niha femõrõ sabeʼe.
JOB.4_1.14	No ihawoeido fanizinizi ba fogichi, manizinizi dõlagoe fefoe.
JOB.4_1.15	Itõrõdo angi ba moetaro mbõrõ boe ba nõsigoe.
JOB.4_1.16	Ba so ia fõnagoe — chalachala mbawania, ba lõ oeʼila — famaedo niha ba doedoema hõrõgoe; ba oerongo wangõngõngõngõsa, imane:
JOB.4_1.17	’Hadia, so maõ niha, satoelõ fõna Lowalangi, hadia, so zamõsa, si no ohaoehaoe fõna zombõi jaʼia?’ 
JOB.4_1.18	Hiza, ba genoninia andrõ aombõ dõdõnia ba ba malaʼika andrõ chõnia so waʼeloengoe iw̃aʼõ. 
JOB.4_1.19	Ba tenga mendroea manõ ba zi so ba nose laʼoeri, si otarai gawoegawoe tooe wamobõrõ, safoefoe na itõrõ hama. 
JOB.4_1.20	Lõ ichamõ maʼṍchõ, ba arasa, tekiko ira lõ fangorifi saʼae, ba lõ sameʼe ba dõdõ.
JOB.4_1.21	Na aetoe zinali ba nosera andrõ [nosora] ba mate manõ ira, ba waʼambõ tõdõ andrõ.
JOB.5_1.1	I. ”
JOB.5_1.2	Ba zambõ tõdõ, ba mõi famoenoenia walõsõchisõchi dõdõnia, ba sowõhõ mowa, ba iboenoe fõchõ dõdõnia.
JOB.5_1.3	No oeʼila zambõ tõdõ sow̃aʼa, ba oeʼanemaʼõ oeʼelifi nahiania. 
JOB.5_1.4	Ba ndraononia, ba no arõoe wangorifi; mõi ira nihoendragõ ba mbawa gõli, lõ sangorifi.
JOB.5_1.5	Basitõnia, ba iʼā solofo — he nibaʼa doi, ba ihalõ — ba sowõchi tõdõ zoraboe nibajabajania.
JOB.5_1.6	Tenga sa ba gawoegawoe toemboe wamakiko, ba famakao, ba tenga saoeri ba danõ.
JOB.5_1.7	Niha andrõ, ba ba wamakao saʼae toemboe, si mane faʼatokana mijaw̃a nono galitõ ba holahola galitõ.
JOB.5_1.8	II. 
JOB.5_1.9	Ba zolaoe seboea, si tebai aboto ba dõdõ niha, ba sahõlihõli dõdõ, si lõ moetaha moeʼerai, 
JOB.5_1.10	sameʼe teoe ba danõ ba somboewoei bolo nowi.
JOB.5_1.11	Sangalaw̃aʼõ jaw̃a si so tooe, ba wolohe ba wangorifi saboe tõdõ, 
JOB.5_1.12	Si lõ boto ibeʼe nifachai zoneche, fa tebai mofozoe nilaoe dangara. 
JOB.5_1.13	Iraʼoe zatoeatoea, ba waʼonechera andrõ, ba amaedola zi tetaroe bagi nichoi dõdõ zi tõrá faʼoneche. 
JOB.5_1.14	Ba zi maʼṍchõ ihawoei ira faʼogõmigõmi, ba hoelõ na ba zi bongi labajaisi lalara ba zi laloeo. 
JOB.5_1.15	Ba tobali iʼefaʼõ zi noemana ba mbawa ziʼõli si otarai mbewera, ba ba danga zabõlõ iʼefaʼõ.
JOB.5_1.16	Ba toemboe wanõtõna [fangorifi], ba zideʼide ba tefaʼafoe mbawa walõsõchi. 
JOB.5_1.17	III. 
JOB.5_1.20	Na lofo mbanoea, ba iʼorifiʼõ, fa lõ mate ndraʼoegõ, ba ba wanoewõ, ba itimba chõoe mbawa ziʼõli. 
JOB.5_1.21	Tebaʼa ndraʼoegõ ba mbõzibõzi lela andrõ, ba lõ ataʼoeʼõ na itõrõ famoefoe.
JOB.5_1.22	Saʼiki ndraʼoegõ, na so wamoefoe ba ma faʼeboea mbõli mbalazo, ba alacha lõ ataʼoeʼõ goetoe ndroeʼoe.
JOB.5_1.23	Noa sa fawoeʼoe li ndraʼoegõ ba gara ba danõ, ba no fahoewoe chõoe goetoe ndroeʼoe. 
JOB.5_1.24	Ba faloechaʼõ lõ hadia ia ba noseoe, ba na õfaigi nibajabajamõ ba nahiaoe, ba lõ hadia zi lõʼõ.
JOB.5_1.25	Ba faloechaʼõ ato maʼoewoemõ, ba madooemõ, ba si mane doeʼoe ba danõ.
JOB.5_1.26	Ba ginõtõ waʼatoea õroegi lewatõ, si mane na teʼohe mijaw̃a mboea nowi, na inõtõ.
JOB.5_1.27	Hiza, daʼõ ia niʼaloealoeima tõdõma, si manõ ia; fondrondrongo, ba beʼe ba dõdõoe!”
JOB.6_1.1	I. 
JOB.6_1.2	”Enaʼõ na latoelo walõsõchisõchi dõdõgoe, ba enaʼõ na labeʼe ba waliëra wamakao andre chõgoe,
JOB.6_1.3	ba aboea enaʼõ, taʼila, moroi ba waʼaboea nene ba mbewe nasi, — andrõ eloengoeloengoe ligoe.
JOB.6_1.4	Noa sa tetaroe ba nõsigoe nono wana Zi lõ ambõ faʼabõlõ: ibadoe zõfoenia tõdõgoe, isoewõ, ndraʼodo ametaʼoeõ andrõ chõ Lowalangi! 
JOB.6_1.5	Hadia, moedele maõ galide ba zabõlõ doeʼoe, ba hadia moendrõndrõ zaw̃i si matoea ba zí sõchi gõ?
JOB.6_1.6	Hadia, tola taʼā zi naminamitõ lõ asio, ba hadia, ami zafoesi gadoelo?
JOB.6_1.7	Anoezoe dõdõgoe wanoejoe jaʼia; õ sowojoe zi manõ, oew̃aʼõ.
JOB.6_1.8	Enaʼõ na itõrõ zomasido, ba enaʼõ na ibeʼe Lowalangi zihoeloe dõdõgoe!
JOB.6_1.9	Enaʼõ na nilaoe dõdõ Lowalangi ifoefoe ndraʼodo, enaʼõ na ifonoemalõ dangania, ba wangetoeʼõ jaʼo!
JOB.6_1.10	Ba fondrara dõdõgoe na atṍ [daʼõ], — ba oefarõga enaʼõ ndraʼodo ba waʼafõchõ andre, si lõ faʼahachõ dõdõ — wa lõ oerai oebõhõli daroma li Niʼamoniʼõ andrõ.
JOB.6_1.11	Ba hadia atṍ wangabeʼegoe, wa mombasembase na ndraʼo, ba he wisa wozoe chõgoe, wa oetaha manõ dõdõgoe?
JOB.6_1.12	Hadia, faʼabeʼe gowe waʼabeʼegoe andrõ, hadia, no tõla garamba nõsigoe?
JOB.6_1.13	Hadia, tenga si lõʼõ manõ fangorifi ndraʼodo; tenga no tetimba manõ chõgoe weʼeweʼe fefoe?
JOB.6_1.14	II. 
JOB.6_1.15	No lalimodo talifoesõgoe, si mane mbombo, si mane oengo nidanõ, si falawoe.
JOB.6_1.16	No olotoe idanõ sabeʼe, ilaoe ia bacha si bakoe deoe.
JOB.6_1.17	Na aoechoe zino chõnia, ba ogoʼõ; na abeʼe lõchõ, ba taja ba nahania.
JOB.6_1.18	Laholeʼõ ira sikoli, lasaw̃a mijaw̃a danõ si mate ba tekiko.
JOB.6_1.19	Lafaigifaigi sikoli, banoea Dema; sanõrõ, Dawa Zaba, ba ladõnadõna.
JOB.6_1.20	Ba tobali si lõ boto wanõtõnara andrõ; laroegi, ba no saechoe õlõ.
JOB.6_1.21	Si manõ saʼae ami chõgoe: miʼila zataʼoe ita; ba hoemocha mboemi!
JOB.6_1.22	Hadia, no oew̃aʼõ: ’Miʼohe chõgoe, ba mibeʼe boeala famaweʼe ganaʼami, chõgoe;
JOB.6_1.23	miʼefaʼõ ndraʼo ba danga zi faʼoedoe ba mihõli ndraʼodo ba waʼabõlõ zamakao jaʼo?’
JOB.6_1.24	Mifahaõ ndraʼo, ba oebato wehede, ba si no eloengoe ndraʼo, ba miʼombachaʼõ chõgoe.
JOB.6_1.25	Hiza, taroma li si doehoe, ba manandrõsa! Ba hadia nitegoe wanegoemi andrõ?!
JOB.6_1.26	Hadia, mitegoe daroma li, niw̃aʼõ? — Fehede zaragoeragoe tõdõ, ba hoemombo ba nangi!
JOB.6_1.27	He ba zi lõ ama si lõ ina, ba milaoe fadahõdahõ enaʼõ, ba si fahoewoe chõmi, ba miʼamawa.
JOB.6_1.28	Ba iadaʼe, ba mitõngõni ndraʼodo; hadia, si ndroehoe lõ ataʼoedo oelimo ami.
JOB.6_1.29	Mitandraigõ zamoeza tõ, bõi mifatõrõ zi lõ atoelõ; mifoeli mitandraigõ, atoelõ na chõgoe.
JOB.6_1.30	Hadia, so ba mbewegoe zabila? Hadia, lõ iʼila wamakiko ararogoe?” 
JOB.7_1.1	I. ”
JOB.7_1.2	Si mane sawoejoe sihoeloe tõdõ, ba weʼamõi ba loemõ ba si mane enoni, si dõnadõna loeonia,
JOB.7_1.3	si manõ wa no moetõrõ chõgoe mbaw̃a wamakao, awõ wa no teʼerai chõgoe mbongi waʼafõchõ.
JOB.7_1.4	Na mõido mõrõ, ba oemane: Ha waʼara dania maosodo? Ba ara zi bongi, ba atage ndraʼo wombalimbali jaʼodo, irege ibõrõtaigõ moloeo.
JOB.7_1.5	Baloebaloe nõsigoe goekoeõ ba goagoa, si hoelõ danõ; molawa koeligoe, ba ifoeli atõla.
JOB.7_1.6	Alio welalõ mbaw̃agoe, moroi ba ziʼoea ba zanoso; tajataja manõ, lõ tõtõnafõ.
JOB.7_1.7	II. 
JOB.7_1.8	Hõrõ zangila jaʼodo iadaʼe, ba lõʼõ saʼae iʼilado dania; na iʼaloei ndraʼo hõrõoe, ba lõ jaʼodo saʼae.
JOB.7_1.9	Si mane lawoeo si taja ba silalõ misa, si manõ wa lõ mangawoeli mijaw̃a zi no noemalõ ba mbanoea tooe.
JOB.7_1.10	Lõʼõ saʼae ifoeli ia ba nomonia, ba lõʼõ saʼae iʼila ia nahiania mege.
JOB.7_1.11	Ba lõʼõ sa gõi oetenaw̃a mbewegoe, moehede ndraʼo, ba waʼatosasa dõdõgoe andre, ba mangarõngarõdo, ba waʼaboe dõdõgoe.
JOB.7_1.12	Hadia, asi ndraʼodo, ba ma hioe, wa õfataro zanaro jaʼodo?
