MAT.1.1	Ăṭṭarex n-
1CO.5.13	Ăddinăt wi n-ajăma wăren ămoos ălmăssexităn, Măssinăɣ a-s ilkam ad-tăn-išrăɣ, isəḍləm-tăn, măšan, kăwăneḍ, innă əlkəttab n-Măssinăɣ:
1CO.5.13	«Ǝkkəsăt enăllăbăs jere-wăn.»
1CO.6.1	Ǝndʼ-e-d-ilʼ ălmăɣna n-a-s e-d iɣšăd iyyăn dăɣ-wăn hărăt i-ăŋŋa-s, ad-ăyy-wen ălžămaɣăt wa n-iməššeddəjăn-i s-ăniihăjja ad-dăɣ-săn ăj isălan, ašəl, isərrəwrəw-as s-ăššăreɣa wa n-inəẓẓulam
1CO.6.2	Meɣ kăwăneḍ, wăr təssenăm a-s iməššeddəjăn a he-əšrăɣnen kăl-ăddunya-ta-dăɣ? Kunta daɣ dăɣ-təssəba-nănăɣ năkkăneḍ-i-dăɣ a-s ilkam, ad-išrăɣ Măssinăɣ ăddinăt, mafăl hawăn-indar ad-təjrəwăm ăddăbara jer-iman-năwăn i-hărăt wărăn făror. 
1CO.6.3	Ajăn wăr təssenăm a-s wăla ănjălosăn, ilkam ad-tăn-nəšrăɣ ăbʼ ăṭṭăma n-ad-hanăɣ-indăr ad-nəjrəw ăddăbara i-talɣa wărăt făror jat făll-ărori n-ăkall-wa-dăɣ. 
1CO.6.4	Kunta illʼ-e a ikkan jere-wăn, kăwăneḍ-i n-imumənăn, ma tattărăn isălan n-a-wen s-kăl-ăššăreɣa wăren oher hărăt d-
1CO.6.5	Ăsikărakăḍ a-wa jăm, ɣas kăwăneḍ, ălžămaɣăt-năwăn imda, ăbă-dd dăɣ-s enəsdebbăr iwar sărho ikkăn jer-əssin ăŋŋatăn jer-ikka hărăt. 
1CO.6.6	Wăr kăwăn-əjrehăɣ! Ma n-əmmək n-ad-itišk iyyăn dăɣ-wăn i-amidi-net s-inəẓẓulam, iɣaššăd isəm-net.
1CO.6.7	Ăyyăt-ahi ad-kăwăn-səlmədăɣ a-s uɣšad-wen-dăɣ toyyăm ikka jere-wăn, ənta a ăssiitbătăn iba n-iqqud-năwăn. Uhən kăwăneḍ, ma ja taẓidert-năwăn? Kunta iḍlăm-kăwăn ăwadəm, ma hawăn-ikkasăn ad-fălla-s təṣbărăm? 
1CO.6.8	Ɣas, kăwăneḍ, tokăyăm-dd a-wen har ămăra-dăɣ, wăr t-illa ere s-wădden, issan s-iba n-iqqud-năwăn, kăwăneḍ-di-dăɣ a iwar uḍlem ed tihăɣăm ayətma-wăn. 
1CO.6.9	Ajăn wăr təssenăm a-s ăddinăt wi wăren oɣed, xăram-asăn ujəš n-
1CO.6.10	imăkrăḍăn, kăl-taxărbənit, imăswan n-asməd, kăl-tinawen d-wi tihăɣnen, xăram-asăn ujəš n-
1CO.6.11	Ǝntăneḍ-den-dăɣ hărătăn wi s-tăkkilem ibda, tamašalăn-tăn iyyăḍ dăɣ-wăn măšan, ašăl-i-dăɣ, tărridăm-dd dăɣ-a-wen, iššəšdăj-kăwăn Măssinăɣ, ikfʼ-iwăn idəm s-isəm n-Emăli-nănăɣ 
1CO.6.12	Ǝjrawăɣ s-hărăt iket-net, măšan wădden hărăt iket-net a infan hărăt, wăr t-illa a-s wădden əjrawăɣ săr-s măšan, wăr-e ăyyăɣ hărăt wălʼ iyyăn ănnihăḍ dăɣ-i. 
1CO.6.13	Iyyăḍ dăɣ-wăn, jannen: imənsiwăn, tăsa a takkăn, tăsa daɣ, imənsiwăn a-s dd-tăxlăk, tidət a-wen, măšan, əlmədăt a-s tăsa hakd imənsiwăn, ilkam ad-tăn-iba. Taɣəssa, wăr tănhăjja d-ad-tăt-isamăḍas ăwadəm ed taɣəssa, ti n-Emăli, Emăli daɣ, i n-taɣəssa, ənta a ilan s-ad-dăɣ-s ănnăhăḍ. 
1CO.6.14	Măssinăɣ daɣ-i dd-issənkărăn Emăli Ɣisa jer-inəmmuttan, ənta daɣ a-s ilkam ad-hanăɣ-dd-isənkăr jere-săn s-tărna-net.
1CO.6.15	Ajăn wăr təssenăm a-s taɣəssa-năwăn, ašrut n-ta n-Ălmasex a tămoos? Ɣas əndʼ-e-d-ilʼ əmmək ad-iḍkəl ăwadəm ašrut la taɣəssa n-Ălmasex, asăɣ-t d-taɣəssa n-tălkăxbat? Xăša! 
1CO.6.16	Meɣ, ajăn, wăr təssenăm a-s ere ohărăn isəftaɣ d-tălkăxbat, ămoos dăr-s tiyyăt taɣəssa ed iktab a-s:
1CO.6.16	«Ăhaləs, afăl osăɣ d-tamăḍt, ămoosăn tiyyăt taɣəssa.»
1CO.6.17	Ǝmmək-wen-dăɣ daɣ a-s ere ikfăn iman-net i-Emăli, ad-dăr-s ahăr iyyăn n-ənniyăt.
1CO.6.18	Ayətma, jawăḍăt i-asəmmăḍəs n-iman-năwăn. Abăkkaḍ ămešăl ăwadəm-dăɣ, wăr-oher hărăt d-taɣəssa-net, măšan, ere isamăḍasăn iman-net, han-t iman-net. 
1CO.6.19	Meɣ ajăn, wăr təssenăm a-s taɣəssa-năwăn ămăra, ənta a-s 
1CO.6.20	Ăsdărfăt-kăwăn Măssinăɣ s-ălqim măqqărăn, a-wen-dăɣ a făl, səmɣărăt-t dăɣ-ənniyăt-năwăn hakd-dăɣ tiɣəswen-năwăn. [Dăɣ-isălan n-a-wen-dăɣ a făl iktab a-s:
1CO.6.20	Taɣəssa hakd ənniyăt, i n-Măssinăɣ.]
1CO.7.1	Ămăra, ad-hawăn-dd-ăqqəlăɣ isəstanăn wi hi-jăm dăɣ-tăkarḍe ta hi-dd-təktăbăm. Dăɣ-a-wa ordeɣ, ufa ad-ăqqayəm ăhaləs wăr-ădobăn 
1CO.7.2	măšan, i-ad-wăr-itiḍəw ăwadəm dăɣ-asəmmăḍəs n-iman-net, hak ăhaləs, ikrəšet hănne-s, təkrəšet daɣ hak tamăḍt ăhaləs-net. 
1CO.7.3	Ăkfet ăhaləs hănne-s ălxaqq wa fălla-s la, tăkfet daɣ tamăḍt ălxaqq wa fălla-s ila ăhaləs-net. 
1CO.7.4	A-wen-dăɣ a ănihăjjăn făl-a-s, wădden tamăḍt a tănnihăḍăt dăɣ-taɣəssa-net, ăhaləs-net a dăɣ-s ănnihăḍăn; wădden daɣ ăhaləs a ănnihăḍăn dăɣ-taɣəssa-net, hănne-s a dăɣ-s tănnihăḍăt. 
1CO.7.5	Wăr-igăddălet wălʼ iyyăn iman-net i-wa iyyăḍăn kunta wădden ad-tănimărḍăm s-a-wen i-hărăt n-ăzzăman i-ad-təkfəm iman-năwăn i-tamădilt n-Măssinăɣ. A-wa săl a-wen, udaɣ făw, ad-igdəl iyyăn iman-net i-amidi-net i-ad-wăr kăwăn-jămmăḍ tanămagiẓt, ijrəw săr-wăn Iblis tašləlt s-kăwăn-ăžžurrăb, isiḍəw-kăwăn dăɣ-abăkkaḍ.
1CO.7.6	Măjrăd wa hawăn-in-jeɣ ămăra-dăɣ, əssəyasa wădden alămăr. 
1CO.7.7	Ǝnnăr săr-i tăqqal năkk ɣas, iket-di, ănnăɣ i-e d t-illăm ăhaləs ad-dăr-i alăh iba n-adubən măšan, hak ăwadəm, wăr-e ăj ar a-wa dăr-t-ăskăllăf Măssinăɣ: ăwadəm iyyăn, ijraw a-wa, a-s ija a-wen, iyyăn daɣ ijraw hărăt iyyăn săl wa ijrăw amidi-net.
1CO.7.8	Ămăra, ăddinăt wi wăren ădobăn, əntăneḍ d-tinuḍăfen, ənneɣ-asăn: kunta ăddoben ad-əjən a-wa jeɣ, adiš, ăqqaymənet wăr-ădobănăn, ikna 
1CO.7.9	măšan, kunta hannăyăn a-s, wăr-ăddoben ad-ănnăhăḍăn dăɣ-iblis-năsăn, adiš dubənnet, ed ufa, ad-idubən ăwadəm, uhən ad-t-ăj derhan-net dăɣ-a t-e-išəkšən temse.
1CO.7.10	Ăddinăt wi ădobănnen, omarăɣ-tăn, ănn-ak, Emăli a tăn-omarăn s-a-wen, wădden năkk, wăr băḍḍəwet tamăḍt d-ăhaləs-net, 
1CO.7.11	kunta daɣ făl-t, adiš wăr tiləset adubən, təttăret əmmək s-tăt-dd-ăssoɣăl ăhaləs-net; ăhaləs daɣ ənta, wăr hin-itəyyet hănne-s.
1CO.7.12	Ăddinăt wi iyyăḍnen, ənneɣ-asăn, năkk daɣ a hasăn-ijannen, wădden Emăli: afăl ădobăn amumən tamăḍt wărăt tămoos tamumənt, wăr tăt-in-itəyyet a təkkăs tărḍa s-taɣimit ɣur-s, 
1CO.7.13	kunta daɣ ădobăn ăhaləs wărăn ămoos amumən tamumənt, wăr tăttăret tamumənt-en efel-net a ikkăs ăhaləs-en irḍʼ-as s-taɣimit ɣur-s, 
1CO.7.14	făl-a-s, tamăḍt-en, tăddoobăt ad-tumas əssəbab wa t-madăn-ăj dăɣ-tabarăt n-Măssinăɣ, išdaj. Ăhaləs daɣ wa n-amumən s-wăr tămoos hănne-s tamumənt, ăddoobăt ad-umas əssəbab wa madăn-ăj hănne-s dăɣ-tabarăt n-Măssinăɣ. Afăl wăr jem a-wen, har təbḍăm, wăr mad-ărməsăn aratăn-năwăn zăbo olaɣăn. 
1CO.7.15	Jer-ăhaləs wa wărăn omen wăla tamăḍt ta wărăt tomen, afăl ăbas irha iyyăn dăɣ-săn taɣimit ɣur-amidi-net, adiš, ijrəwet-as tekle, dihen, wăr t-illa uḍlem iwarăn amumən wăla tamumənt ed Măssinăɣ-i hanăɣ-dd-iɣrăn s-iman-net, ălxer jer-iman-nănăɣ a-s hanăɣ-dd-iɣra. 
1CO.7.16	Kămm-i n-tamăḍt, ma təssanăd kunta wădden kămm a madăt-tumas i-ăhaləs-năm əssəbab wa s-t-mad-iɣləs Măssinăɣ? Kăyy daɣ-i n-ăhaləs, ma təssanăd kunta wădden kăyy a madăn-umas əssəbab wa s-mad-iɣləs Măssinăɣ hănne-k?
1CO.7.17	Ḍarăt-a-wen daɣ, hak ăwadəm-dăɣ, iṭṭəfet tămudre ta t-ikfa Emăli, hak ăwadəm, iṭṭəfet tămudre ta iha a-s t-dd-iɣră Măssinăɣ s-iman-net; ənta-den-dăɣ a-wa săɣreɣ dăɣ-
1CO.7.18	Kunta iyyăn dăɣ-wăn a-s dd-ătwăɣra, wăr-ămelăy, wăr-ităttăret ad-isəmmiləy iman-net; kunta daɣ kăyy a-s kăy-dd-iɣra Măssinăɣ tămelăyăd, adiš, wăr hak itumaset a-wen asăkor. 
1CO.7.19	Jer-amili wăla iba-net, wădden a-wen a infan hărăt, hărăt a t-infan, amišəl n-alămărăn n-Măssinăɣ.
1CO.7.20	Hak iyyăn dăɣ-wăn, iṭṭəfet əmmək wa s-t-dd-iɣră Măssinăɣ s-iman-net. 
1CO.7.21	Kunta a-s kăy-dd-iɣră Măssinăɣ, akli a tămoosăd, wăr tămmujrăẓăd tumast-năk; măšan kunta illʼ-e əmmək s-təjrăwăd iman-năk, ăjʼ-e. 
1CO.7.22	Akli daɣ wa dd-iɣră Emăli s-iman-net, ămoos elăll-net; wa n-elăll daɣ dd-iɣră Emăli s-iman-net, ămoos ămăra, akli n-
1CO.7.23	Wăr toyyem ăddinăt ăsikălen-kăwăn ed Emăli-i kăwăn-dd-iɣrăn s-iman-net i-ad-kăwăn-isəddărfət, a ilan ălqim a-s kăwăn-ăslăllăt. 
1CO.7.24	Ayətma, hak iyyăn dăɣ-wăn-dăɣ, ăqqaymet dăɣ-əmmək wa s-t-dd-iɣră Măssinăɣ s-iman-net, ɣaymăt təlkamăm i-Măssinăɣ.
1CO.7.25	Dăɣ-isălan n-timawaḍen ti wăren əzzey meddən d-ti s-kăla wăr-ădobănnăt, wăr ɣur-i t-illa alămăr hi-ikfa Emăli hasnăt, măšan, ad-kăwăn-sənnəmhəlăɣ dăɣ-isălan-năsnăt, ăjăɣ-awăn daɣ asənnəmhəl n-ăhaləs ijrawăn ɣur-Măssinăɣ s-a-wa ijănna tidət, ed Măssinăɣ a dd-ifal a-wen.
1CO.7.26	Ǝnta da a-wa hawăn-janneɣ: ordeɣ a-s dăɣ-təssəba n-tirəmmaɣ ti t-əllănen ămăra-dăɣ, ufa i-hak ăwadəm-dăɣ, ad-ăqqayəm dăɣ-taɣărha-ta-dăɣ-t-dd-iɣră Emăli. 
1CO.7.27	Ak kăyy, osaɣ-kăy hărăt d-tamăḍt? Wăr tətterăd aməzzi. Ak kăyy, wăr kăy-oseɣ hărăt d-iyyăt? Adiš, wăr tətterăd adubən 
1CO.7.28	măšan, hakd a-wen-dăɣ, kud tădobănăd-dăɣ, wăr tofed abăkkaḍ; tămawaḍt daɣ ta wărăt təzzey meddən tăssofăt ad-tədubən, afăl ja a-wen, wăr tofʼ abăkkaḍ. A ărheɣ ad-təssanăm a-s təlkam tissust s-ăssofăɣ ad-kăwăn-əkkəsăɣ dăɣ-taɣdărt-net i-ad-has-tăsidăwăm iket-di dd-tiḍəw fălla-wăn.
1CO.7.29	Ayətma, ajilal n-ăddunya a nəha, a-wen-dăɣ a făl ɣur-ašăl-i-dăɣ, wa ădobănăn, idgəẓet hullan dăɣ-ălxidmăt n-Emăli wa iha šund wăr-ădobăn, 
1CO.7.30	wa s-ăsninăn iman-net, idgəẓet hullan dăɣ-ălxidmăt n-Emăli wa iha šund ɣas wăr t-illa a t-ijrawăn; wa ăsriwăn, idgəẓet hullan dăɣ-ălxidmăt n-Emăli wa iha šund ɣas a-s wăr-iddəwət; wa ižănšen, idgəẓet hullan dăɣ-ălxidmăt n-Emăli wa iha šund ɣas wăr t-illa a ižănša; 
1CO.7.31	wi rabbăxnen dăɣ-ăddunya-ta-dăɣ, əjənet iman-năsăn šund a-s wăr t-illa a dăɣ-s əjrawăn ed ăddunya-ta-dăɣ d-a-wa tăt-ihăn, ilkam ad-t-iba.
1CO.7.32	Wăr kăwăn-isărmaɣet hărăt. Idgəẓet wa wărăn ădobăn dăɣ-hărătăn wi n-Emăli, wen ənta, a ităjj-dăɣ, ad-t-ăj i-ad-iẓəjrəẓ iman-net i-Emăli 
1CO.7.33	măšan, wa ădobănăn, hărătăn n-ăddunya-ta-dăɣ a dăɣ-idgaẓ, a ităjj-dăɣ, ad-t-ăj dăɣ-umaɣ n-ad-iẓəjrəẓ iman-net i-hănne-s, 
1CO.7.34	ad-ănimăntaš ənniyăt-net ebre n-hănne-s d-ebre n-Măssinăɣ. Ǝmmək-wen-dăɣ daɣ a-s tamăḍt wărăt tădobăn meɣ tămawaḍt wărăt təzzey meddən, tiɣəswen-năsnăt d-ənniyătăn-năsnăt, ebre n-ălxidmăt i-Emăli ɣas a-s orakăn măšan, tamăḍt tădobănăt, wăr zənnəzjumət ɣas ar dăɣ-ăddunya-i-dăɣ d-əmmək s-təẓẓəjrăẓ iman-net i-ăhaləs-net.
1CO.7.35	A-wa hawăn-ənneɣ, tănfo-năwăn a dăɣ-hawăn-t-ənneɣ, wăr hawăn-əgdelăɣ adubən, ănn-ak, a ărheɣ, ad-təlkəmăm i-Emăli s-ulh imdan, təjəm tămudre wăr ihʼ anməntaš, tămudre, tăssiitbătăt tuksəḍa-năwăn i-Măssinăɣ.
1CO.7.36	Kunta inhăy abba n-talyaḍt elle-s har tokăy adubən har has-ămoos a-wen a ăsikărakăḍăn, kunta ijrăw ăddăbara s-təja elle-s ehăn, ăjet-as-t, wăr-ofa abăkkaḍ. 
1CO.7.37	Ăwadəm wa irhăn adubən, idubənet măšan daɣ, afăl dd-inkăr abba innă, wăr t-ăšhăššăl ăwadəm s-a-wen, a-s tăqqaymet elle-s wăla adubən, ăjet-as a-wa t-dd-ijjăšăn, ikna. 
1CO.7.38	Abba, wa irḍăn s-ad-tăj elle-s wărăt təzzey meddən ehăn, ija a iknan, wa ăqqimăn daɣ wăr-ăsdobăn elle-s, ija a ufăn a-wa ija-wənnin.
1CO.7.39	Tamăḍt a ikkăs ăhaləs-net iddar, wăr has-t-illa adubən iyyăn săl-wen-dăɣ ha, măšan, afăl t-ăba, idubənet-tăt ere wa s-tărha, tăjet ɣas a-wen s-ălmăɣna ilkamăn i-Emăli. 
1CO.7.40	Hakd a-wen-dăɣ, tənḍəḍ i-tamăḍt ta tăqqimăt wăr toles adubən. Ǝnta-den-dăɣ măjrăd wa s-ărheɣ ad-hawăn-t-in-səssiwəḍăɣ dăɣ-isălan-wi-dăɣ, ordeɣ daɣ a-s a-wa ənneɣ, iha erhet n-Unfas Šăddijăn n-Măssinăɣ iket-net.
1CO.8.1	Ayətma! Dăɣ-a-wa dd-iqqălăn isălan n-isan wi itəkkat ăwadəm i-ăṣṣănămăn, ənta da a-wa hawăn-janneɣ dăɣ-săn: musnăt, iket-nănăɣ nəla dăɣ-s hărăt măšan, musnăt, isabăraj, a-s ija a-wen, tărha, sartay; 
1CO.8.2	ere ordăn iman-net musnăt, ilmədet a-s wăr-ăzzăbbăt almud hărwa 
1CO.8.3	măšan, ăwadəm wa irhăn Măssinăɣ s-ulh imdan, wen ənta, izzay-t Măssinăɣ.
1CO.8.4	Dăɣ-isălan n-isan wi ămoosnen takute i-ăṣṣănămăn, ăṣṣănămăn, wădden wăla a ənḍărrăn, Măssinăɣ, ənta ɣas, wăr-ila amidi. 
1CO.8.5	Tidət, han hărătăn ăjjootnen išənnawăn d-ăkall jan ăddinăt imălan făll-iman-năsăn, ordan daɣ ăddinăt a-s a-wen-dăɣ tidət 
1CO.8.6	măšan, ɣur-năɣ năkkăneḍ, wăr t-illa a săl Măssinăɣ, ənta a-s Abba-nănăɣ, ənta a dd-ixlăkăn a-wa t-illăn iket-net, ənta a hanăɣ-ilăn; wăr t-illa ar iyyăn n-Emăli, Ɣisa Ălmasex, idəm-net a dăɣ-dd-ixlăk hărăt iket-net, ənta daɣ a hanăɣ-iṭṭafăn tămudre.
1CO.8.7	Măšan, kud-dăɣ nəssan a-s ăṣṣănămăn wădden hărăt-dăɣ, ăddinăt, wăr-ogdehăn musnăt. Iyyăḍ, ăynayăn s-ălɣibadăt n-ăṣṣănămăn, a-wen-dăɣ a făl ed əkšăn isan ikat ăwadəm i-ăṣṣănămăn, ad-əššəkăn iman-năsăn a-s jan a ămmiḍăsăn. 
1CO.8.8	Ḍarăt-a-wen daɣ, wădden amənsi a hanăɣ-e-iẓənnəmihəẓăn d-Măssinăɣ; isan-win-dăɣ, jer-təkšed-tăn wăla, wăr kăy-ifneẓ, wăr kăy-ăssewăḍ a-wen s-wăla a ənḍărrăn.
1CO.8.9	Ăjăt ənniyăt i-iman-năwăn, wăr t-illa a-s wădden xălal-awăn măšan, a tăttăm-dăɣ, wăr-itumaset a ăddoben ad-isiḍəw ere wărăn ikna əṣṣuhu dăɣ-immun-net dăɣ-abăkkaḍ. 
1CO.8.10	Kunta kăyy-i ijrăhăn hărăt, inhay-kăy ere wărăn ikna ujreh n-hărăt tăqqiimăd tattăd dăɣ-ehăn n-ăṣṣănămăn, wădden ad-kăy-iššək, arəw-dd săr-s a-wen-dăɣ ad-ăkš ənta-dăɣ isan-win-dăɣ ikăt ăwadəm i-ăṣṣănămăn? 
1CO.8.11	Dihen, ad-umas ujreh-năk i-hărăt əssəbab n-tanməšrayt i-ăŋŋa-k wa wărăn ikna ujreh n-hărăt s-ənta dăɣ-ămmut-as 
1CO.8.12	Ere ăssoḍăn ăŋŋa-s dăɣ-tanməšrayt šund-ten-dăɣ, ad-dăɣ-s əḍmənăn iman-net ed a-wa ija abăkkaḍ, toyyăm-t daɣ kăwăneḍ, ijʼ-e. Ere daɣ wa ijăn a-wen, Ălmasex a-s itajj tihăyyen, itirəm-t. 
1CO.8.13	A-wen-dăɣ a făl kunta amənsi a madăn-umas əssəbab n-tanməšrayt i-ăŋŋa-k, adiš săxrəm-t i-ad-wăr-itumas a-wen, tanməšrayt i-ăŋŋa-k dăɣ-ăddin.
1CO.9.1	Ayətma, năkk-i-dăɣ, wădden əjrawăɣ iman-in. Ajăn wădden, ănămmašul a ămoosăɣ? Ajăn wădden ənhayăɣ Emăli-nănăɣ 
1CO.9.2	Kud-dăɣ ija ɣur-iyyăḍ a-s wădden ănămmašul a ămoosăɣ, ăniihăjja a-s wădden kăwăneḍ ed kăwăneḍ-di-dăɣ a-s tasətbat n-tənnəmušəla-nin dat-Emăli.
1CO.9.3	Ăddinăt daɣ wi hi-tiẓəmnen, sawarăn-ahi bahu, ălwižab-in hasăn da: 
1CO.9.4	wădden năkkăneḍ nəjraw s-ad-năkš, nəsəw s-əmmək wa s-t-tăjjăn ăddinăt wi iyyăḍnen? 
1CO.9.5	Meɣ əndek diha d-ătiwănna a-s wăr năddobăt ad-nədubən hărăt dăɣ-šătma-năɣ ti n-tălmăssexiten, nidaw dăr-snăt dăɣ-isikilăn-nănăɣ s-əmmək wa s-t-jăn inəmmušal wi iyyăḍnen d-ayətma-s n-Ɣisa d-Bəṭrus? 
1CO.9.6	Meɣ năkk d-Bărnăbbas ɣas a iwar ălxidmăt s-ifassăn-nănăɣ i-ad-nəṭṭəf tămudre n-iman-nănăɣ? 
1CO.9.7	Mi s-kăla inhăy əssărdasi ihan əlɣəskăr wăla timẓal, meɣ mi s-kăla ăddomăt ašəkrəš ăqqayəm wăr dăɣ-s ikša? Mi s-kăla iḍăn ehăre, ăqqayəm wăr-ăẓoẓăj, isəw?
1CO.9.8	A-wa hawăn-janneɣ, wădden ălɣadăt dd-əkkasăn dăgg-adəm dăɣ-iɣăfawăn-năsăn, ănn-ak, alămăr wa n-Mosa a tăn-innăn. 
1CO.9.9	Iktab dăɣ-
1CO.9.9	«E-d jed awdes dăɣ-tijenen n-ălkăma
1CO.9.9	i-ad-dăɣ-snăt išəbbăɣtəš i-ad-hak-ibḍəw tiblalen d-ahošăr,
1CO.9.9	wăr has-jed ăkinbăb.»
1CO.9.9	Ak tordam a-s Măssinăɣ-i-dăɣ, iwdesăn a dăɣ-idgaẓ s-əmmək-wen-dăɣ? 
1CO.9.10	Năkkăneḍ-i-dăɣ n-inəmmušal a-s iha isălan-nănăɣ. Tidət-dăɣ a-s dăɣ-təssəba-nănăɣ a făl dd-ăzzăbbăt alămăr-wen-dăɣ ed ăwadəm ăddomen ašəkrəš-net, ăhhuuššăl-t ɣas ad-ijar ăṭṭăma n-ad-has-t-dd-izjăr hărăt. 
1CO.9.11	Năkkăneḍ, năxṭăb-awăn măjrăd n-Măssinăɣ, ămoos a-wen šund ašəkrəš năddoomăt, ajăn afăl dd-izjăr hărăt ifassăn-năwăn săr-năɣ, ajăn a-wen a iqqanăn eɣăf ḍarăt ălxer n-Măssinăɣ wa nəja dăɣ-ulhawăn-năwăn? 
1CO.9.12	Kunta illʼ-e ere s-kăwăn-iwar ălxaqq-net, ajăn wăr t-nojer săr-wăn? Măšan, hakd a-wen-dăɣ, wăr kăwăn-iha i năzzilzăm d-hărăt, ănn-ak, năqbăl hărăt iket-net i-ad-wăr nəja tăsahaɣt wălʼ iyyăt i-
1CO.9.13	Ajăn, wăr təssenăm a-s ăddinăt wi ăxdamnen dăɣ-ehăn n-ămudd wa măqqărăn, ehăn-en-dăɣ a hasăn-iṭṭafăn tămudre? Meɣ, ajăn wăr təssenăm a-s ăddinăt wi ɣarrăsnen i-tikutawen făll-tasəskărt ta n-tikutawen, a-s ăɣrăsăn-dăɣ, lan dăɣ-s ejădăr? 
1CO.9.14	Ǝmmək-wen-dăɣ daɣ a făl omăr Emăli a-s ăddinăt wi xaṭṭăbnen Ălənžil, əddărnet s-Ălənžil.
1CO.9.15	Năkk, wăr t-illa ăẓuk fălla-wăn jeɣ. Akătab daɣ wa hawăn-in-tajjăɣ ămăra-dăɣ, wăr hawăn-t-in-təjjăɣ făl-a-s innin ărheɣ dăɣ-wăn hărăt, wăr t-illa a dăɣ-wăn ărheɣ, ănn-ak, ăsidăwăt-ahi hullan a-wa s-hawăn-ăxṭăbăɣ Ălənžil wăr t-illa a dăɣ-wăn əttarăɣ, ăssofăɣ făw tamăttant uhən ad-dăɣ-i ikkəs ăwadəm tedăwit-ten-dăɣ n-a-s wăr t-illa a dăɣ-wăn əttarăɣ a-s hawăn ăxṭăbăɣ Ălənžil. 
1CO.9.16	Asəllənži wa tăjjăɣ i-ăddinăt, wăr təttărăɣ ad-hi-umas abăraj, ănn-ak, fărəḍ a hi-ămoos, amăskoy năkk afăl ăqqimăɣ wăr-ăxṭebăɣ 
1CO.9.17	Ǝnnăr ălxuṭbăt wa tăjjăɣ, ămoos a tajjăɣ dăɣ-iẓəjraẓ n-iman-in, adiš, ăniihăjja d-ad-əjrəwăɣ ălxaqq n-tide-nin măšan, wădden a-wen a ijăn, Măssinăɣ a hi-ijăn dăɣ-a-wen, ənta a hi-issăɣlăfăn ămašal-wen-dăɣ. 
1CO.9.18	Ma săr-i dd-issăɣsăl a-wen-dăɣ? Adiš, emărked-in ɣur-Măssinăɣ a t-ămoosăn ad-salănžeɣ ăddinăt dăɣ-a-s, wăr t-illa a dăɣ-săn rammăsăɣ i-ad-umasăn isălan-en, a əjrawăn bănnan.
1CO.9.19	Năkk, wăr t-illa ere s-ămoosăɣ akli-net măšan, hakd a-wen-dăɣ, wăr t-illa ere s-wădden ăsrăsăɣ iman-in data-s i-ad-umas a-wen, əssəbab n-əlɣəllas n-təššəm n-ăddinăt. 
1CO.9.20	Kăl-Ălyăhud, jeɣ-asăn iman-in ăgg-Ălyăhud i-ad-səjədən i-a-wa hasăn-janneɣ, utabăn, iɣləs-tăn Măssinăɣ; wi əglănen s-a-wa tənnă Ăṭṭăwrăt, jeɣ-asăn iman-in ere iglan făll-a-wa tənna Ăṭṭăwrăt kud-dăɣ ădduuttăt a-s wădden ənta a tănniihăḍăt dăɣ-a-wa făll-əgleɣ; a-wen, jeɣ-t i-ad-səjədən i-a-wa hasăn-xaṭṭăbăɣ, utabăn, iɣləs-tăn Măssinăɣ. 
1CO.9.21	Ăddinăt wi wăren əssen făll-Măssinăɣ, ăssalăhăɣ iman-in dăr-săn, a-s ija a-wen, năkk, ijmaḍ-t ăššăk a-s əssanăɣ s-Măssinăɣ ed ălqanun wa n-
1CO.9.22	Ăddinăt wi rəkkəmnen, jeɣ-asăn iman-in iyyăn dăɣ-săn i-ad-ăɣləsăn əntăneḍ-dăɣ, ălxal hi-ijjăš ăgg-adəm-dăɣ, ad-has-səssilăhăɣ iman-in dăr-s i-ad-umas a-s emăremar jeɣ-dăɣ, ad-iɣləs Măssinăɣ iyyăḍ dăɣ-săn. 
1CO.9.23	Jeɣ a-wen-dăɣ iket-net dăɣ-təssəba n-Ălənžil i-ad-əjrəwăɣ năkk-dăɣ ejădăr-in.
1CO.9.24	Ajăn, wăr təssenăm a-s ăddinăt wi timšəšijnen dăɣ-eɣărɣăr, ošalăn iket-dăɣ-năsăn măšan, iyyăn dăɣ-săn ɣas a madăn-ijrəw ălhăk wa făll-igla azzal. Dăɣ-isălan wi n-immun, ašəlăt kăwăneḍ-dăɣ i-ad-təjrəwăm ălhăk-wen-dăɣ. 
1CO.9.25	Təssanăm a-s kăl-azzal, wăr t-illa arăkan d-asəmănənnăḍ s-wădden tajjăn-t i-tiɣəswen-năsăn i-ad-ănnehăḍăn dăɣ-snăt. Ǝntăneḍ-i išla a-wen-dăɣ, ălhăk wărăn-e ăhaj a dăɣ-săn ilkamăn, a-s ija a-wen năkkăneḍ, ălhăk wa mad-nəjrəw, afăl nəjlăy dăɣ-azzal wa n-immun-nănăɣ, iɣlal. 
1CO.9.26	A-wen-dăɣ a făl năkk, ošalăɣ măšan, wădden azzal n-derhan n-iman-in ɣas a jeɣ s-tənnəd ăwadəm ănikăfnăkăfăn siha d-siha, wăr-issen a iha, năkk, wăr šəšləyăɣ, 
