MAT.1.1	Dawute naa, Abrahaame naa gidida Yesus Kirstoosa yeletetha zarkey hayssafe kaallizayssa;
JHN.16.32	gido attin inte inte baggara baggara laalettidi tana xalla aggana wodey gakkides; he saateyakka ha7i gakkadus. Gido attin Aaway tanara gidida gish ta tarka diikke. 
JHN.16.33	Ta hayssa intes yootizay inte tanan de7in intes sarotethi daana mala gaada yootays. Inte ha alamen dishin intes waayey dees; gido attin aykkoy ba ta alame xoonadis” gides.
JHN.17.1	Yesusi hessa gidappe guye pude salo dhoqu gi xeelidi “Ta Aawawu! Hekko ha7i saatey gakkides; ne nay nena bonchana mala neni ne naaza boncha. 
JHN.17.2	Ne bonchanaykka ne izas immidaytas izi merna de7o immana mala ne izas asa ubba bolla godateth immida gishassa. 
JHN.17.3	Merna de7oyka ne xalala tumu Xoossanne Ne kiittida Yesus Kirstoosa ero guussa. 
JHN.17.4	Ne taas immida ooso tani wursada ha biitta bolla nena bonchadis. 
JHN.17.5	Ta Aawawu! Alamey medhetanappe kase taas nenara diza bonchon ha7ikka tana ne achchan boncharki.
JHN.17.6	“Hayssa alame asappe ne taas doorada immida asatas ne oonakkonne ta istas nena qoncisadis; isti kasekka neyta shin ne taas immadasa; istika ne qaala naagida. 
JHN.17.7	Ne taas immidayssi wurikka neeppe gididayssa isti ha7i erida. 
JHN.17.8	Ne taas immida qaalataka istas immadis; istika ekkida; ta ne achchafe yidayssa isti tumappe erida; ne tana kiittidayssakka isti ammanida.
JHN.17.9	“Ta istas woossays; heyti ne taas immidayti isti neyta gidida gish ta istas woossays; gido attin hanko alame asas woossikke. 
JHN.17.10	Taas gididay wurikka neyssa; neyssi wurikka tayssa; takka istan bonchettana. 
JHN.17.11	Hayssafe guye tani hayssa alame bolla diikke; isti gidikko ha alame bolla deettes. Ha7i ta neekko bays; Geeshsha ta Aawawu! Hayta ne taas immidayta isti nu mala ba giddon issino gidana mala ne taas immida ne sunthan ista naaga. 
JHN.17.12	Ta istara issife dashe ne taas immida ne sunthan ta ista naagadis; hessa gish kase xaafetida Geeeshsha Maxaafa qaalay polettana mala izi kasekka dhayoos diza naazappe attin istafe oonikka dhaybenna. 
JHN.17.13	Ta qasse ha7i neekko bays; ta ha alameza bolla dashe hayssa yootizay ta ufayssi istan polettana mala gaada yootays. 
JHN.17.14	Tani ne qaala istas immadis; tani ha alame as gidontayssa mala istika ha alame as gidettenna. Hessa gish ha alame asay ista ixxides. 
JHN.17.15	Ne ista iitappe naagana mala ta nena woossays attin ne ista ha alameppe dentha efana mala ta nena woossikke. 
JHN.17.16	Tani alame as gidontayssa mala istika ha alame as gidettenna. 
JHN.17.17	Ne ista ne tuman nees shaaka; ne qaalayka tumu qaala. 
JHN.17.18	Ne tana ha alame kiittoyssatho takka ista alameza bolla kiittadis. 
JHN.17.19	Isti tumappe nees dumma as gidida mala tanikka tana ista gish dummassays.
JHN.17.20	“Ista qaala markatethan tana ammananayta gishara ta nena woossays attin ta nena ista gish xalala woossikke. 
JHN.17.21	Ta woossizay isti wurikka issino gidana malassa. Ta Aawawu! Qasseka ne tanan diza mala istika nunan gidana malanne ne tana kiittidayssa ha alamey ammanana mala ta nena woossays. 
JHN.17.22	Nuni nu giddon issino gidida mala istika ba giddon issino gidana mala ne taas immida bonchoza takka istas immadis. 
JHN.17.23	Ta nena woossizay ta istan; nekka tanan gidida mala istika kumeth issino gidana malassa. Qasseka neni tana kiittida malanne tana ne siiqida mala istaka ne siiqidaysa alame asay eranaassa.
JHN.17.24	“Ta Aawawu! Ne tana hayssi alamey medhetanappe kase dossida gish ne taas immida ta bonchoza isti beyana mala hayta ne taas immidaytikka ta dizason tanara daana mala dosays. 
JHN.17.25	Xillo gidida ta Aawawu! Nena alamey eribenna; Ta gidikko nena erays; haytikka ne tana kiittidayssa erida. 
JHN.17.26	Ne tana siiqida siiqoy istan gidana malanne takka istan gidana mala istikka nena erana mala ooththadis. Qasseka isti erana mala ooththana” gides.
JHN.18.1	Hessa wursi yootidappe guye Yesusi bana kaallizaytara Qediroone geetettiza shoobba pinnidi atakilte giddo gelides. 
JHN.18.2	Yesusinne iza kaallizayti kasekka he gadeyin daro wode issife shiiqiza gish Yesusa aaththi immida Yuhuday he gadeyo kasekka erees. 
JHN.18.3	Hessa gish Yuhuday wotadarata, Qeeseta halaqatanne Farsaaweetappe kiitetti yida ashkarata wursi kaalethi ekkidi he isti shiiqizaso yides. Izara yida asay paanose, xompe, mashshanne toora oykkidi yides. 
JHN.18.4	Yesusi ba bolla gakkanayssa wursi eridi yida asaakko biidi “Oona koyetii?” gides.
JHN.18.5	Isti qasse “Naazirete Yesusa koyoos” gida. Izikka istas “Tani iza” gides. Istas aaththi immida Yuhuday istara issife eqqides. 
JHN.18.6	Yesusi “Ta iza” gida mala asati guye gandigaridi biitta bolla kundida. 
JHN.18.7	Yesusi ha7ikka “Oona koyetii?” giidi oychin isti zaaridi “Naazirete Yesusa koyoos” gida. 
JHN.18.8	Izikka zaaridi “Tani izakko! Histin inte koyizay tana gidikko hayti betto bochchofte” gides. 
JHN.18.9	Hessi haniday “Ta Aawawu! Ne taas immidaytappe issadekka ta dhayssabeykke” gida qaalay polettana malassa.
JHN.18.10	Simoona geetettiza Phexroosi giththa mashsha oykkida gish mashsha koohoppe shoddidi issi Qeeseta halaqa ashkara dizayssa haythe mashshara qanxi yeggides. He ashkaraza sunthi “Malkoosa” geetettes.
JHN.18.11	Yesusi qasse Phexroosa “Ne mashsha gede koohon zaara geltha. Aaway taas immida waaye ushsha ta uyonta aggana misatizee?” gides. 
JHN.18.12	Hessafe guye wotadarati, ista azazizayssinne Ayhudata ashkarati Yesusa oykkidi qachida. 
JHN.18.13	Koyro he laythan Qeesetas halaqa Qayaafa bollo Haannakko efida. 
JHN.18.14	Qayaafay “Dere gish issadey hayqqikko lo7o” giidi Ayhudata daannata kase zoridade. 
JHN.18.15	Simoona geetettiza Phexroosinne Yesusa kaallizaytappe issadey Yesusa kaallida. Hessadey Qeeseta halaqa achchan keehi eretidade. Hessa gish Yesusara issife Qeeseta halaqaza gibbe gelides. 
JHN.18.16	Phexroosi gidikko pengefe kare baggara eqqides. Qeeseta halaqa achchan keehi eretidi Yesusa kaallizayssi yiidinne pengen diza garadeya Phexroosa gibbe giddo gelthana mala yootidi Phexroosa ekki gelides. 
JHN.18.17	Penge naagiza garadeya Phexroosa “Nekka hessa addeza kaalliza asatappe issa diikkii?” gadus. Izi qasse “Tani iza kaallizade gidikke” gides.
JHN.18.18	Wodey meeggiza wode gidida gish oosanchatinne ashkarati tama eththidi eqqon ho7ettes. Phexroosikka istara eqqidi ho7ees.
JHN.18.19	He wode Qeeseta halaqay Yesusa iza kaallizayta gishshinne izi tamarsida timirte gish oychides. 
JHN.18.20	Yesusikka izas “Ta asa ubbas qoncen yootadis; Ayhudati shiiqiza ista Woosa Keeththan gidinka Xoossa Keeththan tamarsadis; ta qotan haasayidazi aykkoykka deenna. 
JHN.18.21	Histin ne tana oychizay aazee? Ta yootishin siyidayta oycha; ta yootidayssa isti ereetes” gides.
JHN.18.22	Yesusi hessa gida mala heen eqqida ashkaratappe issoy “Qeeseta halaqas hayssatho wosta zaaray” gishe Yesusa shagalan baqa shaayides.
JHN.18.23	Yesusikka zaaridi “Ta iita haasayida gidikko ane ta gooyssa ne markata; Ta yootiday likke gidikko tana aazas baqqay?” gides. 
JHN.18.24	Hessafe guye Haannay Yesusa qachida mala Qeeseta halaqa Qayaafakko yeddides.
JHN.18.25	He wode Simoona geetettiza Phexroosi eqqidi tama ho7ishin hanko asay iza haysso! Ne Yesusa kaallizaytappe issa diikkii?” gida. Izikka zaaridi “Ta iza kaallizade diikke” giidi kadides.
JHN.18.26	Kase Phexroosi iza hayth qanxidayssa dabboy Qeeseta halaqa ashkaratappe issoy “Wona ta nena atakilteson istara dishin beyabekkinaa?” gides.
JHN.18.27	Phexroosi qasseka kadides; heerakka kuttoy waassides.
JHN.18.28	Hessafe guye Yesusa Qayaafa keeththafe dere ayssiza kawoza gibbe malado wontara ekki bida. Ayhuda asas Paaziga ba7aale dorsa asho miza wode gidida gish bana tunisonta mala giidi maladora dere ayssizayssa gibbe giddo gelibetenna.
JHN.18.29	Hessa gish Philaxoosi gede istako kezidi “Hayssa addeza inte aazas mootetii?” giidi oychides.
JHN.18.30	Isti qasse “Hayssi addezi iita ooththontade gididakko nu iza nees aaththi immokkoshin” gida
JHN.18.31	Philaxoosika “Inte iza ekki biidi inte woga mala pirdite” gides. Ayhudata ayssizayti qasse zaaridi “Nu asi wodhana mala nuus piqadey imettibenna” gides.
JHN.18.32	Hessika haniday Yesusi kase istas izi waani hayqqanakkonne yootida qaalay polettana gishassa. 
JHN.18.33	Philaxoosi qasseka guye gibbe giddo gelidi Yesusa xeygisidi “Ne Ayhudata kawoo?” giidi oychides.
JHN.18.34	Yesusikka zaaridi “Ne hessa gizay neeppeyee? woykko hara asati ta gish nees yootidoo?” gides. 
JHN.18.35	Philaxoosikka “Ta Ayhuda asee? Nena taas aaththi immidayti ne baggatanne Qeeseta halaqatakko; ne ay ooththadii?” gides.
JHN.18.36	Yesusikka “Ta kawotethi hayssa ha alame bolla gidenna. Ta kawotethi hayssa ha alame bolla gididakko Ayhudata daannata kushen ta kundonta mala ta ashkarati ta gish olettanakkoshin ta kawotethi gidikko ha alame bolla gidenna” gides. 
JHN.18.37	Philaxoosika “Histin ne kawoo?” gides; Yesusi qasse “Tani ne gidayssa mala ee kawo; ta yeletidaynne ha biitta yiday tuma gish markattanassa. Tumappe gididay wuri ta qaala siyees” gides.
JHN.18.38	Philaxoosikka “Tumay aazee?” gides. Hessafe guye Philaxoosi nam7antho Ayhudatakko kezidi “Ta iza bolla aykko bala beyabekke. 
JHN.18.39	Gido attin kasekka ta intes Paaziga ba7aale gallas issi qasho asi birshiza mala hayssa Ayhudata kawo intes birshana mala koyeetii?” gides.
JHN.18.40	Isti gidikko “Nuus Barbaane birsha attin hayssa deenna!” giidi waassida. Barbaaney ba hu7es panga.
JHN.19.1	Hessafe guye Philaxoosi Yesusa efidi garafissides. 
JHN.19.2	Wotadaratikka aguntha zawude xaaxidi Yesusa hu7en woththida; zo7o kaabaka mayzida. 
JHN.19.3	Izakko shiiqi shiiqidi “Ayhuda kawo saro! saro!” gi giidi iza shagalan baqqida.
JHN.19.4	Philaxoosi qasseka kare kessidi “Hekko ta iza bolla aykko mooroka demmontayssa inte erana mala ta iza intes haa kare kessana” gides. 
JHN.19.5	Hessa gish Yesusi aguntha zawude hu7en woththi ekkidinne zo7o kaaba may7idi kare kezides. Philaxoosika istas “Hekko addezi hayssich!” gides.
JHN.19.6	Qeeseta halaqatinne ista ashkarati Yesusa beyidi “Ne iza kaqqa! Kaqqa!” gishe waassida.
JHN.19.6	Philaxoosi qasse “Ta ta baggara iza bolla issi mooroka demmabekke; koykko inte efidi kaqqite” gides.
JHN.19.7	Ayhuda asati qasse “Nuus wogay dees; hayssi addezi bana Xoossa naa giza gish nu woga mala izas hayqoy bessees” gida. 
JHN.19.8	Philaxoosi hessa isti gizayssa siydi daro babbides. 
JHN.19.9	Gede gibbe gelidi Yesusa “Ne awappe yadii?” giidi oychides. Yesusi qasse izas ay zaaroka immibenna.
JHN.19.10	Hessa gish Philaxoosi “Ne taas yootikii? Ta nena kaqqanas woykko birsha yeddanas godateththi taas dizayssa erikii?” gides.
JHN.19.11	Yesusikka izas zaaridi “Sheney nees Xoossafe imettontako nees ta bolla ay godateththika deennashin; gido attin tana nees aaththi immidade bolla gita nagaray dees” gides.
JHN.19.12	Philaxoosi hessa Yesusa haasaya siyidappe guye iza birshi yeddana koyides shin Ayhudatas babbida gish isti “Ne hayssa addeza birshikko Oroome Kawo Qeesare bagga gidakka; gaasoykka bana barka kawothizadey wuri Qeesares morke” gishe wurikka waassida.
JHN.19.13	Philaxoosi hessa siyida mala Yesusa gede kare kessidi “Lochcha shuch” geetettiza soon pirda womboran uttides. He pirdasoy Ayhudata qaalara “Gabata” geetettes. 
JHN.19.14	He wode gadey asi Paaziga ba7aales giigettiza gallassa. Wodeykka gallassafe usuppun saate mala gidides. He wode Philaxoosi Ayhudata “Hekko inte kawoy hayssich!” gides.
JHN.19.15	Gido attin isti qas “Gede digga! Gede digga! Kaqqa!” gishe waassida. Philaxoosika “Ta inte kawo kaqqoo?” gides. Qeeseta halaqati zaaridi “Nuus Qeesareppe hara kawoy deenna” gida.
JHN.19.16	Hessafe simmidi Philaxoosi Yesusa kaqqana mala istas aaththi immides. Istika Yesusa oykki ekki efida.
JHN.19.17	Hessafe guye Yesusi ba kaqqettana masqaleza tookkidi “Asa hu7e guuge” geetettizaso kezides. Hesoy Ayhudata qaalara “Golgota” geettettes. 
JHN.19.18	Iza heen kaqqida. Yesusa giddo gelthidi hara nam7u asata izatho hadirisaranne ushachara kaqqida.
JHN.19.19	Philaxoosi “Naazirete Yesusi Ayhudata kawo” giza qaala xaafidi iza masqale bolla izas hu7esora qaaphides. 
JHN.19.20	Yesusi kaqqettidasoy katamas mata gidida gish daro Ayhuda asay Philaxoosi xaafidayssa nabebides. Xaafetidaysikka Ayhudata qaalara, Laatine geetettiza qaalaranne Girike qaalara. 
JHN.19.21	Ayhudata Qeeseta halaqati Philaxoosa “Ne iza Ayhudata kawo” gaada xaafoppa. Gido attin “ ‘Hayssi addezi bana ta Ayhudata kawo gides’ gaada xaafa” gida.
JHN.19.22	Philaxoosi qas “Ta xaafidayssa xaafadis” gides. 
JHN.19.23	Wotadarati Yesusa kaqqidappe guye iza may7oza ekkidi wotadarata issa issa gakkana mala oyddu kessi shaakerethida. Garsara may7iza may7ozakka hessatho shaakerethida. Gido attin giddora may7iza may7ozi siketonta pudeppe duge gakkanaas coo yeda dees. 
JHN.19.24	Hessa gish wotadarati ba giddon “Gishan oona gakkanakkonne erana mala iza bolla saama yeggana attin daakkokko” gida. Hessika haniday kase
JHN.19.24	“Ta may7o isti gishetti ekkida,
JHN.19.24	ta bollara may7iza may7oza bolla saama yeggida”
JHN.19.24	geetettida Geeshsha maxaafa qaalay polettana malassa. Wotadaratikka hessa ooththida.
JHN.19.25	Yesusa masqale achchan iza aayeyanne aayeyi micheya Qaliyoopha macha Maaramanne Meg dale geetettizasoppe yida Maarama heen eqqida. 
JHN.19.26	Yesusi ba aayeyonne izi siiqiza iza kaallizayssi ba achchan eqqidayta beyidi, ba aayeyo “Aayee! Ne naaza hessa beya” gides.
JHN.19.27	Hessafe kaaleththidi bana kaallizayssa “Ne aayo hinno beya” gides. Hinno he saateyppe simmin he iza kaallizayssi aayeyo baso efides.
JHN.19.28	Hessafe guye Yesusi ha7i wurikka poletidayssa eridi Geeshsha Maxaafan xaafetidayssi polettana mala “Tana saamees” gides. 
JHN.19.29	Heen gadaan caala phanqida ushshi kumi uttida issi xaaro malay dees. Hessa gish heen gadaan dizayti he caala ushsha zandza misatiza safnage geetettizayssara hisophe geetettiza mitha xeeran qaaphidi iza duunakko shiishida. 
JHN.19.30	Yesusi he caala ushsha xunxi xeelidi “Polettides!” gides. Ba hu7e duge ziqqisidi shempo kezides.
JHN.19.31	Hessafe guye Ayhudata daannati kaqettida asata meqeth wodirappe menthidi isti iza masqale bollafe wothana mala Philaxoosa woossida. Isti hessa ooththiday Ayhudati sambatas giigettiza gallas gidida gishshinne he sambataykka daro gita ba7aale gidida gish Sambata gallas ahay masqale bolla gam7onta mala koyda gishassa. 
JHN.19.32	Hessa gish wotadarati biidi Yesusara kaqettida asata meqeth wodirappe wodirappe menthida. 
JHN.19.33	Isti Yesusakko biin izi kasetidinne hayqqidayssa beyidi iza wodira meqeth menthibeetenna. 
JHN.19.34	Gido attin wotadarata giddofe issadey toorara iza millen caddin heerakka suuthinne haaththi gukkides. 
JHN.19.35	Hessa beyidaddey inte izan ammanana mala markattides. Iza markaykka tuma. Izi yootizaykka tumu gididayssa izi erees. 
JHN.19.36	Hessika haniday “Iza meqethafe issinaka meqquku” geetettida Geeshsha maxaafa qaalay poletanassa. 
JHN.19.37	Qasseka Geeshsha Maxaafan harason “Isti ba cadidade beyana” gees.
JHN.19.38	Ayhudata daannata babbidi qotan Yesusa kaalliza Armatiyasa geetettizasoppe yida Yoosefey Yesusa aha ekkanas Philaxoosa woossin Philaxoosikka izas ero gides. Hessa gish Yoosefey biidi Yesusa aha ekkides. 
JHN.19.39	Kase Yesusakko qamara yida Niqodimoosikka bagga kilo gidiza karbenne godare uuthara walaketida shitto ekki yides. 
JHN.19.40	He nam7u asati Yesusa aha ekkidi Ayhudati aha xaaxiza mala shiito puukkidi lee7e may7ora xaaxida. 
JHN.19.41	Yesusi kaqqettidason issi atakiltesoy dees. He atakiltezason oonikka moogetonta ooratha duufoy dees. 
JHN.19.42	Ayhudata sambatas giigetiza gallas gidida gishshinne duufoykka matan diza gish Yesusa aha heen moogida.
JHN.20.1	Wogga gallas wonta malado buro bazzoy zo7ishin Magdale Maarama Yesusa duufokko badus. Iza he gakkishin kase Yesusa duufo izara gordida shuchchay duufoza duunappe dendidi genderidayssa beyadus. 
JHN.20.2	Hessa gish iza Yesusa kaallizaytappe Simoona geetettiza Phexroosakko Yesusi dosiza hanko iza kaallizayssako woxxa baada “Goda duufoppe kessi ekkidi awan woththidakkone nu erokko” gadus.
JHN.20.3	Heerakka Phexroosinne Yesusa kaalliza hinko issoy kezidi gede duufoy dizaso bida. 
JHN.20.4	Nam7aykka issife woxxida. Gido attin Yesusa kaalliza hinkoyssi Phexroosappe pilati woxxidi kaseti duufoy dizaso gakkides. 
JHN.20.5	Duufoza hokki xeelidi ahay izan xaaxettida may7oy xalla dizayssa beyides; gido attin gede duufoza giddo gellibeenna. 
JHN.20.6	Simoona geetettiza Phexroosikka iza kaalli gakkidi duufoza giddo gelides; ahay izan xaaxettida carqay heen dizayssa beyides. 
JHN.20.7	Yesusa hu7ey xaaxettida carqay hanko xaaththa carqatara gidonta dumma harason xaaxetti dizayssa beyides. 
JHN.20.8	Koyrotti gakkida Yesusa kaallizayssika duufoza giddo geli beyidi ammanides. 
JHN.20.9	Gaasoyka “Izi hayqoppe dendana bessees” giza maxaafa qaala isti buro haasayibeetenna. 
JHN.20.10	Hessafe guye nam7atikka simmidi baso baso bida.
JHN.20.11	Magdale Maarama yeekkashe Yesusa duufoppe karera eqqada hokka duufoza giddo xeelladus. 
JHN.20.12	Yesusa ahay dizason bootha may7o may7ida nam7u kiitanchatappe issoy hu7eson issoy tohoson uttidayta beyadus. 
JHN.20.13	Istika Maaramo “Hanne macasaye! Aazas yeekkay?” gida. Izakka “Isti ta Goda efidi awan woththidakkone ta erike” gadus.
JHN.20.14	Iza hinno gaada guye yuuyishin Yesusi eqqidayssa demmadus shin izi Yesusa gididayssa erabeyku. 
JHN.20.15	Yesusi izo “Hanne macasayee! Aazas yeekkay? Qasse oona kooyay?” gides; izikka izis atakilte naagizade misatin “Godo! Ne ekkida gidikko ne woththidaso taas yootarki; Ta iza taas ekkana” gadus.
JHN.20.16	Yesusi izo “Maarame!” gides; izakka gede izakko simmada Ayhudata qaalara “Rebuune!” gadus; Hessa birsheththi “Astamaree!” guussa.
JHN.20.17	Yesusi qas “Ta buro pude ta Aawakko kezabeekke; tana bochofa; gido attin ne ha7i ta ishataako baada ‘Tani ta Aawakkone inte Aawakko, ta Xoossakkonne inte Xoossako kezana gides’ gaada istas yoota” gides. 
JHN.20.18	Hessa gish Magdale Maarama Yesusa kaallizaytakko baada iza Yesusa beyidayssanne izi izis yootidayssa istas yootadus.
JHN.20.19	He gallas wogga omars Yesusa kaallizayti Ayhudata daannatas babbidi kare ba bolla goordidi keeththa giddon shiiqon dishin karey doyettonta Yesusi iza kaallizayti shiiqi diza keeththa gelides; ista giddon eqqidi “Saroy intes gido!” gides. 
JHN.20.20	Hessa gi simmidi ba kushetanne ba mille ista bessides; iza kaallizaytikka Goda beyidi keehi ufayetida.
JHN.20.21	Hessafe guye qasseka Yesusi ista “Intes saroy gido! Ta Aaway tana kiittida mala takka intena kiittays” gides. 
JHN.20.22	Hessa gi simmidi ista bolla ufu giidi “Inte Xillo Ayana ekkite. 
JHN.20.23	Inte asa nagara atto giikko istas atto geetettana; inte asa nagara atto goonta ixikko qas intes atto geetettenna” gides. 
JHN.20.24	Yesusi bana kaallizaytakko yida wode tammanne nam7atappe issoy Didimoosa geetettiza Toomaassi istara deenna. 
JHN.20.25	Hessa gish hanko Yesusa kaallizayti Toomaasa “Nu Goda beydos” gida. Toomaassi qas “Misimaaren cadettida iza kusheta tani ta ayfera beyonta dashe, qasseka ta biradhdhe misimaarey gelidason geltha xeellonta dashenne ta kushe iza mille madunthan geltha xeellonta dashe ammanikke” gides.
JHN.20.26	Hessafe kaallin osupun gallassafe guye iza kaallizayti qasseka keeththa giddon dishin; Toomaaska istara issife dishin; kareykka gordan dishin Yesusi yiidi ista giddon eqqidi “Saroy intes gido!” gides. 
JHN.20.27	Hessafe guye Toomaasa “Ne biradhdhe ha ehada ta kusheta beya. Ne kushe ha ehada ta millen geltha ammana attin ammanontade gidoppa” gides.
JHN.20.28	Toomaassi “Ta Godo! Ta Xoosso!” gides.
JHN.20.29	Yesusikka Toomaasa “Neni tana beyida gish ammanadasa; tana beyonta ammanizayti gidikko isti anjettidayta” gides.
JHN.20.30	Hayssa maxaafan xaafetonta daro malatata bana kaallizayta sinthan Yesusi ooththides. 
JHN.20.31	Gido attin Yesusi izi Masihe, Xoossa naa gididayssa inte erana malanne inte iza sunthan ammanidi de7o demmana mala hayssi xaafetides.
JHN.21.1	Hessafe guye Yesusi Xibiraadoose Abba achchan bana kaallizaytas qasseka beettides. 
JHN.21.2	Simoona geetettiza Phexroosi, Didimoosa geetettiza Toomaassi, Galila Qaana as gidida Natina7eeley, Zabidoosa naytikka Yesusa kaallizaytappe hara nam7atikka wuri issife dishin 
JHN.21.3	Simoona geetettiza Phexroosi istas “Ta mole oykkana bays” gides; istika izas “Nukka nenara baana” gida. Izara kezi biidi wogolon gelida shin he gallas omars issi molekka oykkibetenna. 
JHN.21.4	Gadey wontishin Yesusi abba achchan eqqides; iza kaallizayti qas izi Yesusa gididayssa eribeetenna. 
JHN.21.5	Yesusi ista “Nayto moley dizee?” gides; istika “Aykkoyka baawa” gida.
JHN.21.6	Izikka “Giteza wogolozappe ushacha baggara abban yeggite; inte demmana” gida gish giteza abba giddo yeggidanne daro moley oyketida gish giteza molezara goochana dandaybeetenna. 
JHN.21.7	Hessa wode Yesusa kaallizaytappe izi siiqiza issoy Phexroosas “Hessi Godakko!” gides. Simoona geetettiza Phexroosi “Hessi Godakko!” giza qaala siyida mala kase ooso diggofo giidi may7o qaari woththidi kallo diza gish heerakka may7o ekki may7idi abba giddo guppi gelides. 
JHN.21.8	Yesusa kaalliza hankoyti qas biittafe xeetu metre mala haakki diza gish moley kumi diza giteza goochchi ekkidi wogolora gakkida. 
JHN.21.9	Isti wogolozappe wodhdhishin moley iza bolla diza bonqo tammanne ukethi beyida.
JHN.21.10	Yesusi ista “Ha7i inte oykkida molezappe ane ha ekki yiite” gides.
JHN.21.11	Hessa gish Simoona geetettiza Phexroosi wogoloza giddo gelidi xeetanne ichashu tammanne heedzdzu wogga gita moleti kumida giteza abbafe gede gade bolla goochchides. Hessa mala daro molera diinka gitezi daakkettibenna. 
JHN.21.12	Hessafe guye Yesusi ista “Ha yiidi miite” gides. Izi Goda Yesusa gididayssa wuri erida gish iza kaallizaytappe issadeykka “Ne oonnee?” gi oychanas xalidadey baawa. 
JHN.21.13	Yesusi yiidi ukethanne moleza ekkidi istas immides.
JHN.21.14	Yesusi hayqoppe dendin iza kaallizayti iza beyishin hayssi heedzdzantho.
JHN.21.15	Isti mi giigishin Yesusi Simoona Phexroosa “Yoona naa Simoona! Haytantafe ne tana aaththa tana dosay?” gides. Izikka “Ee ta Godo! Ta nena dosizayssa nekka eraasa” gides. 
JHN.21.16	Yesusi iza “Ta dhammizayta heemma” gides; nam7anthokka “Yoona naa Simoona! Ne tana dosay?” gides; Izikka zaaridi “Ee Godo! Ta nena dosizayssa nekka eraasa” gides; Yesusi qasseka “Laaqqata naaga” gides.
JHN.21.17	Heedzdzantho “Yoona naa Simoona! Ne tana dosay?” gides. Izi heedzdzantho “Ne tana dosay?” gida gish Phexroosi michetidinne “Godo! Ne wursa eraasa ta nena dosizayssakka ne eraasa” gides; Yesusikka qasseka “Ta dorsata heemma. 
JHN.21.18	Ta nees tumu gays; ne naatethan dashe ne giththe nerka gixxada ne koyidaso baasashin; ne cimmiza wode gidikko neni ne kusheta piddisin hara asi nena gixxisananne ne dosontaso nena efana” gides. 
JHN.21.19	Yesusi iza hessatho giday Phexroosi ay mala hayqon Xoosse bonchanakkone izas erisanassa; hessafe guye Phexroosa “Ne tana kaalla” gides.
JHN.21.20	Phexroosi yuushi xeelidi Yesusi dosizayssi iza kaallishin beyides; hessadey kase isti kawo miishin Yesusa haythako shiiqidi “Godo! Nena aaththi immanadey izi oonnee?” gi oychides. 
JHN.21.21	Phexroosi iza beyidi “Godo! Hayssadey waanandee?” giidi Yesusa oychides.
JHN.21.22	Yesusikka izas “Ta ha simma yaana gakkanawu ta iza paxa woththikko nena aazi gaththidee? Ne tana kaalla” gides.
JHN.21.23	Hessa gaason ishata giddon “Izi hayqo hayqqenna” giza worey laalettides. Gido attin Yesusi “Ta yaana gakkanaas paxa daana mala ta koykko nena aaze gaththiday?” gides attin “Hayqqaka” gibenna. 
JHN.21.24	He yo7ota gish markattidaynne xaafiday ha Yesusa kaallizayssa; iza markatethikka tumu gididayssa nuni eroos.
JHN.21.25	Yesusi ooththida hara daroti deettes. Taas misatiza mala izi ooththida miishata wursi issi bolla xaafizakko xaafetiza maxaafata hayssi alamey tookkana dandayenna.
ACT.1.1	Tofiloosa, Yesusi ooththanassinne tamarsanas oykkidayssa wursa ta nees koyro maxaafan xaafadis. 
ACT.1.2	Hessika izi pude dentha gallas gakkanaas ba doori kiittidaytas Xillo Ayana baggara izi istas immida azazokko. 
ACT.1.3	Izi daro waaye beyidappe guye Istako shiiqidi hayqoppe dendanayssa istas daro markara qoncisishe oyddu tammu gallas gakkanaas istas gallas gallas beettishe Xoossa Kawoteththa gish yootides. 
ACT.1.4	Istara issife maaddan utti dishe ista “Yerusalameppe kezoppite; gido attin ta intes yootishin inte siyidayssa ta Aaway immida ufayssa naagite. 
ACT.1.5	Yohannisi haaththan xammaqides shin inte qas guuththa wodeppe guye Xillo Ayanan xammaqettana” giidi azazides. 
ACT.1.6	Istika issi bolla shiiqeti dishe “Godo! Ne Isra7eeleta kawoteth zaarada ha7i essanee?” gi oychida.
ACT.1.7	Izikka istas “Aaway ba shenen woththida wode eroy intes imettibenna. 
ACT.1.8	Gido attin Xillo Ayanay inte bolla wodhdhida wode inte wolqa ekkana. Yerusalamenka, Yuhudanikka, Samaariyanka ubbason biitta gaxa gakkanaas inte taas markata gidana” gides. 
ACT.1.9	Hessa gi yootidappe guye isti xeellishin pude salo dendides. Salo shaaraykka ista ayfeppe iza geenthides. 
ACT.1.10	Izi bishin isti iza tishshi histi pude salo xeellishin booththa may7o may7ida nam7u asati qopponta ista achchan eqqidi; 
ACT.1.11	“Inteno Galila asato! Inte pude salo xeellishe hayssan aazas eqqidetii? Hayssi inte matappe pude salo dendishin inte beyiza Yesusi salo kezishin inte beyida mala hessathoka izi ha simmi yaana” gida.
ACT.1.12	Hessafe guye Dabrazayte geetettiza zuma bollafe wodhdhidi Yerusalame simmida. He zumaykka Yerusalameppe issi kilo metre mala haakkees. 
