GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.18.22	Niŋi n na, dabsi bayi nyisigi n yi ba saani, a naa ba nufu to Sodom soori wara, ama ka Duuma wune na ba Ibrahim saani. 
GEN.18.23	Ibrahim vuu n paa Duuma, ka boosi u, “Yamonsitiri, e ya n murini yasuma ni yabeeri dima zaa? 
GEN.18.24	Ka nivusuma pisinu ba tiŋŋa maa puwa, e ni muri tiŋŋa maa zaa? E ki cheli u kpali niriba pisinu maa zu? 
GEN.18.25	Yamonsitiri, e ki ku nivusuma ni nivubeeri maa zaa. Lala ki tee n niŋi. Ka e yi niŋi lala, nivusuma la ni nye tubidarigirisim paasi nivubeeri la niŋi. Lala ki tee n niŋi. Durinye ŋa zaa seriya dira daga o niŋi yela ni a soori.”
GEN.18.26	Duuma yeli, “Ka nivusuma pisinu yi ba Sodom, a kpali ba zu, m ni che tiŋŋa maa.”
GEN.18.27	Ibrahim lee n togsi, “M Duuma, jaande, che n paŋŋi ma, dabilim so ni kpari n ma n togsira e saani a, nisaala n niŋi ma, m ka soori zaa m tee n yeli i sen. 
GEN.18.28	Ama ka nivusuma pisinaasi ni banu n ba niŋi, ka ba bi paa pisinu, e ni muri tiŋŋa maa?” Duuma yeli, “M ki muri tiŋŋa maa, ka nivusuma pisinaasi ni banu n ba niŋi.”
GEN.18.29	Ibrahim lee n boosi u, “Ka a niŋi maa niriba pisinaasi ko n na?” O yeli, “M ki muri ba, ka ba paa niriba pisinaasi.”
GEN.18.30	Ibrahim suusi u, “Jaande, da je suuri, Duuma, a daga m na togsi. Ka ba niŋi maa nivusuma pisita ko?” O yeli u, “M ki muri tiŋŋa maa, ka ba ba pisita.”
GEN.18.31	Ibrahim yeli u, “Jaande, M Duuma, cheli n togsi e saani. Ka niriba pisiyi ko n ba niŋi?” O yeli u, “M ki muri tiŋŋa maa, ka niriba pisiyi ko ba niŋi.”
GEN.18.32	Ibrahim yeli u, “Jaande, da ti e suuri nyisigi, Duuma, m kpabira n togsi bunluŋko paasi. Ka nivusi pii ko ba niŋi?” O yeli u, “M ki muri ba, ka niriba pii ko ba niŋi.” 
GEN.18.33	O ni Ibrahim ni togsi n baasi, Duuma gaari, ka Ibrahim pori n gaari o yiri.
GEN.19.1	Dindaari maa zaanoori, malaakasi bayi la ta Sodom, ka Loti ba n zi tiŋŋa maa voori noori. Noba maa niŋi, o nye ba, ka nyisigi n wa ti tuusi ba. A gba, ka zulisi o zu tiŋŋa. 
GEN.19.2	Ka yeli ba, “Ya gaafira, m bani kpe n tumini ya, a zu, ya jaande, ka ta m laanta. Ni ti ya koom, ya pegi ya noba, ka do bee o chee ya nyisigi n wara.” Ba yeli u, “Akai, kulooni ŋa zu n na ti n ya do yiiŋaa.” 
GEN.19.3	O suusi ba ga, ba sagi, ka we o laanta, o niŋi bindira ti ba, ba di.
GEN.19.4	Poin, ka saamba maa ba do, tiŋŋa maa dabsi ti poli n jili laanta maa. Dabsi zaa, bipola ni dabkura. 
GEN.19.5	Ba booli Loti tasi n boosi u, “Dabsi la n ta e saani yiiŋaa la ba ya? Mari ba yi n ta, ti mari ba do.”
GEN.19.6	Loti yi, ka yo dinoori maa, ka ta ba saani. 
GEN.19.7	O yeli ba, “M zodima, m suusira ya ni, ya da pa ti niŋi niribaa, n ŋa yabeegaa. 
GEN.19.8	Ya nyaasi, m mari suŋgurisi bayi, seesi na n bi baŋŋi dabsi. Ya cheli m mari ba yi n ti ya, ya n tee n niŋi ba seema zaa ya n kpabira. Ama, ya da niŋi dabsaa yelli zaa, m saamba n na, ka a daga ni kogi ba.”
GEN.19.9	Niŋi n na, ba yeli u, “Maali n za ti nufu niŋi, ka ti ti soori, nyini saana, ŋani n niŋi i, e wusi ti bunso ti n di niŋi? Ti ni namsi i gaa ba.” Ba turi Loti basi nyaaŋa, ka gaa ba wa ti saami dinoori maa. 
GEN.19.10	Dabsi bayi maa ba laanta ka darigi Loti kpe, ka yo dinoori maa. 
GEN.19.11	Ka ba ti niriba maa zaa, nivukura ni bipola, n ba yaŋŋa la zoomi, ba kpabi dinoori maa je.
GEN.19.12	Dabsi bayi maa yeli Loti, “Ka e mari niriba kpe, biduusi, bipunsi, deendabsi koo e nira zaa n ba tiŋaa niŋi, mari ba zaa yi kpe. 
GEN.19.13	A kpali, ti ya n saami u ni. Duuma wumini yabeseesi tiŋaa dima ni niŋina, ka tumi ti, ti ti saami u.”
GEN.19.14	Niŋi n na, Loti wa ti yeli o deendima seesi n belimina o bipunsi la, “Ya yi kpe yomyom, Duuma ya n saamini kpe.” Ba nyaasi maa o yomsira ba ni.
GEN.19.15	Bogufiili, nodakumisi jemani, malaakasi maa yeli Loti, ni ba yi yoom. “Mari e poga ni e bipunsi bayi ŋa yi, lala jemani ya ki koŋŋi ya nyevuya, jemanso tiŋaa n ya n saami a.” 
GEN.19.16	Loti na mari nagima, ama Duuma zo u nimbaa, lala zu, dabsi bayi maa gbaa o ni o poga ni biisi nuusi darigi ba yi tiŋŋa maa puwa. 
GEN.19.17	Malaakasi maa yindaana yeli ba, “Ya chee, a moligi ya nyevuya. Ya da pa loobi n nyaasi nyaaŋa, ka da pa za nantaŋaa puwa. Ya chee n du zoogaa, lala wune, ya ki kpi.”
GEN.19.18	Niŋi n na, Loti yeli u, “Jaande, da ti ti chee lala. 
GEN.19.19	Ya niŋi yatintaa ga ti ma, ya ni moligi n nyevuraa. Ama, zoori maa zu ba wogilim ga, ka m n ya n chee paa nisaaniŋi, daaŋu maa ni gbaa ma, m kpi, ka m na bi paa nisaaniŋi. 
GEN.19.20	Nyaasi tiŋbilaa. Wune n leeli, ka bi zoo. Cheli m du n gaa niŋi. Niŋi n na, ma ni nye moligirisim.”
GEN.19.21	O yeli u, “O veela, m sagiya, m ki saami lala tiŋŋa maa. 
GEN.19.22	Chee yomyom, m ki tee n niŋi bunso zaa, ama, e paani niŋi poin.” A kpali Loti ni booli u tiŋbila la zu, ba boona u Zowa.
GEN.19.23	Wuluŋu daa n si n pusirini, ka Loti paa zowa. 
GEN.19.24	Noba maa niŋi, Duuma ti jiribi ni bugum yi saa ti sigi Sodom ni Gomora niŋi, 
GEN.19.25	a di tiŋsi ayi maa ni a tiŋgbana, a ni a niriba ni bumbula zaa nyem, 
GEN.19.26	Ama, Loti poga loobi n nyaasi, ka loobi yaarim kugiri.
GEN.19.27	A n chee bee boguuniŋi, Ibrahim chaŋŋi yoom ta seela o ni Duuma n si n za la, 
GEN.19.28	ka nyaasi Sodom ni Gomora a ni tiŋgbaŋŋu maa zaa, o nyeni bugum karigu wusi n duura tiŋgbaŋŋu maa niŋi.
GEN.19.29	Jemanso Naawunni n daa n muri tiŋgbaŋŋu maa ni tiŋsi ayi la, o teesi Ibrahim yela, ka nyisi Loti yi tiŋŋa maa mutigu niŋi, o nye tuligirisim.
GEN.19.30	Loti daa n zorini dabeem, a kpali o n zi Zowa la zu, o ni o bipunsi bayi maa yi tiŋŋa maa puu zo n wa ti ba zovoori puwa. 
GEN.19.31	Bikpeema daana la yeli o sunzo, “Ti ba kurigiya, dabsi mi ka tiŋgbaŋaa niŋi ti n di n kulisi ba, a dogi biisi seema n daga. 
GEN.19.32	Ti ti m ba o kuuli, lala ti ni tee n mari u do, a dolli o niŋi dogi biisi.” 
GEN.19.33	A dindaari yiiŋu, ba ti u daam o ŋu, kpeemdaana la mari o ba do. Ama, o n daa kuuli n gali zu, o bi baŋŋi bunso n niŋi.
GEN.19.34	Bee n chee, bikpeema la yeli o sunzo, “M mari u do yiiŋu la, ti lee n ti o kuuli yiiŋaa, ka e mi nunu ya do. Lala jemani, ti zaa ni dolli m ba niŋi dogi biisi, ti baligaa o da muri.” 
GEN.19.35	A yiiŋu, ba lee n ŋuusi u, ka bibila daana maa mari u do. Kuuligu aligaaya zu, ŋala gba o bi baŋŋi. 
GEN.19.36	N ŋa soori a niŋi n na Loti bipunsi bayi ŋa dolli ba ba niŋi nye puusi. 
GEN.19.37	Kpeema daana la dogi biduwa, ka digili o yuuri Mowabi, nivuseesi ba n boona Mowabi dima la yaadaba n na la. 
GEN.19.38	Bibila daana la gba dogi biduwa, ka digili o yuuri Benami. Wune n niŋi Amoni dima yaadaba.
GEN.20.1	Ŋama nyaaŋa, Ibrahim nyisigi Mamiri gaa Keenan sazu kiŋkagili wa ti zi Kadesi ni Sora sunsuuniŋi. A nyaaŋa, o lee n wa ti zi Gera, 
GEN.20.2	ka wusi maa Saara niŋini o sunzopoga. Gera naaba, Abimeliki ti ba naa Saara ti ti u. 
GEN.20.3	Dindaso yiiŋu Naawunni ta o saani yi zaasim niŋi, a ti yeli u, “E ni kpi, a kpali e n naa poga a, o kulisirini.”
GEN.20.4	Ama, Abimeliki daa na bi kpabi u. Niŋi n na, o yeli, “Duuma, nivupeeli n niŋi ma. E ni ku m ni m niriba a? 
GEN.20.5	Ibrahim gbagba n yeli maa o sunzopoga n na, ka o gba yeli lala, m naagi u ni a ni feresuŋŋu, m bi niŋi yabee.”
GEN.20.6	Naawunni yeli u zaasim maa niŋi, “Mm, m baŋiya maa e naagi u ni, a ni feresuŋŋu, a zu ma ti e bi kpabi u, a niŋi yabee kpe n niŋi la. 
GEN.20.7	Pimparaŋa, pori n naag u ti o sira, Naawun tumu n na, ka o suusi Naawunni ti i, lala jemani, e ki kpi. Ama ka e yi bi pori u ti u, m kpaasira e tubiri maa e ni kpi, e ni e niriba zaa.”
GEN.20.8	Bee n chee boguuniŋi, Abimeliki booli o kpemba zaa, a yeli ba bunso zaa n ba niŋi, dabeem gbaa ba. 
GEN.20.9	Niŋi n na, Abimeliki booli Ibrahim, a ti boosi u, “Bo n na e niŋi ti n ŋa? Bo yabee n na ma niŋi i, a taasi e ti yadagaa o ta m ni m paaligu zaa niŋi? E niŋi ma yaso n bi daga nira zaa, o niŋi o todaana. 
GEN.20.10	Wula zu e niŋi lala?”
GEN.20.11	Ibrahim yeli u, “M fe ni maa nira zaa bi zora Naawunni kpe, a kpali lala zu, ba ni ku ma ka naa m poga maa. 
GEN.20.12	M sunzopoga n na yamonsi, m ba bii n na, ama, ka m ma biya. Ka ma naag u. 
GEN.20.13	A zu jemanso Naawunni n nyisi ma yi m ba laanta wara paaligu yindaana tiŋgbaŋŋu niŋi la, m yeli u ni maa ka ti si n gaa seela zaa o paasi m niŋi yeli maa o sunzodaba n niŋi ma.”
GEN.20.14	Niŋi n na, Abimeliki naag o poga pori n ti u, ka ti u peeri, naagi a ni gurunsi. 
GEN.20.15	Ka yeli Ibrahim, “M tiŋgbaŋŋu n na la, seela zaa n peri i, e zima.” 
GEN.20.16	O yeli Saara, m naa ni gbitisi tusiri ti e sunzodaba, a wusi maa nivupeeli n niŋi i, a yi seesi zaa n ba kpe, so zaa ni baŋŋi maa e zu pegiya.
GEN.20.17	A kpali ya so n niŋi, a yi Ibrahim poga Saara la zu, Naawunni niŋi u maa poga zaa o da tee n dogi, a yi nayiri maa. A zu, Ibrahim suusi Naawun ti Abimeliki. 
GEN.20.18	Naawun tibi u, ka tibi o poga ni guruŋpogiseesi zaa n ba niŋi, lala jemani, ba zaa ni tee n dogi biisi.
GEN.21.1	Duuma nafa Saara, a maa seema o ti noori la, 
GEN.21.2	o mari puwa, a dogi biduu ti Ibrahim jemanso o n kurigi. Ba daa n dogini bii maa jemanso Naawun n daa zaali maa ba n di n dogi u. 
GEN.21.3	Ibrahim digili o yuuri Yisaaka. 
GEN.21.4	O dabaanii daari Ibrahim ŋma o yoori, a maa seema Naawunni n zaali u la. 
GEN.21.5	Ba n daa dogi Yisaaka maa, ka Ibrahim daa n niŋini yuma koowa. 
GEN.21.6	Saara yeli, “Naawunni mari sufupeelim ni laari ti ti ma, niso zaa ni wumi n ŋa ni paa ma la.” 
GEN.21.7	Niŋi n na, o lee n maali n yeli, “Ŋani n di n tee n yeli Ibrahim maa Saara ni dogi biisi? Ama a zaa jaga, m dogi biduu ti u, a yi o nivukuritiri jemani.”
GEN.21.8	Niŋi n na, bii maa n karigi, dindaso ba n ŋma u bisiri, Ibrahim daa n ti ba di sufupeelim bindirigbaliŋu.
GEN.21.9	Ama, Saara nyeya maa, biduso Heega, Yijipiti poga la n dogi n ti Ibrahim la n deemina. 
GEN.21.10	Saara nye ba, ka yeli Ibrahim, “Ti guruŋpogaa ni o biyaa ba wara. Pogaa biyaa bi daga o barigi e bini, kapete seesi m bii Yisaaka ni ya n ti di.” 
GEN.21.11	N ŋa yelaa niŋi Ibrahim sufusaaŋu ga, a kpali Isimeel gba niŋini o biya. 
GEN.21.12	Ama Naawunni yeli Ibrahim, “Da ti bii maa ni e guruŋpoga Heega yela tiri i. Niŋi bunso zaa Saara ni yeli i la, a kpali Yisaaka niŋi n na, e ni dolli n nye e yaŋseesi ni digili i noori la. 
GEN.21.13	M ni ti e guruŋpoga bii maa gba bidamta, ba gba ba niŋi baligu. O gba niŋini e biya.”
GEN.21.14	A chee bee boguuniŋi, Ibrahim naa bindira, a ni koom loŋkoŋŋu, a nyegi Heega, ka yeli o ni bii maa, ba wara. O yi n wa ti ba Beesiiba tiirigu puu chaŋina. 
GEN.21.15	Koom maa n ti baasi, o naa bii maa digili tii maasim, 
GEN.21.16	ka larimi u wa ti zi, ka yeli, “M ki tee n nyaasira m biya, ka o kpiira.” Ka zi niŋi kumina.
GEN.21.17	Naawunni wumi bii maa ni chaatira. Malaaka togsi n ti Heega a yi saazu, “Heega, bo n niŋi i sufusaaŋu? Da zora dabeem, Naawunni wumi bii maa kumsi. 
GEN.21.18	Nyisigi saa wa ti naa bii maa, ka yeli u o sabi. Ni dolli o niŋi ti u balitintaa.” 
GEN.21.19	Niŋi n na, Naawunni ti o nufu yoo, o nye bulugu. O naa loŋkoŋŋu la ŋoo koom paali u, a naa n ŋuusi bii maa. 
GEN.21.20	Naawunni daa bani bii maa saani, halli o ti karigi, a yi Paran tiirigu puwa, a baŋŋi toosim yela ga. 
GEN.21.21	O ma naa Yijipiti poga ti u.
GEN.21.22	A jemani maa, Abimeliki ni Fikoli n niŋi o soojasi kpeema we Ibrahim saani wa ti yeli u, “Bunso zaa e n niŋina, Naawunni ba ni e saani. 
GEN.21.23	A zu, pe Naawunni maa, e ki yomsi m ni m biisi ni m yaŋsi zaa. Jemandamta zaa, m paasira e niŋi, a zu, pe n ti ma maa, e ni paasi m ni m paaligu so niŋi e n niŋi saanaa.”
GEN.21.24	Ibrahim yeli u, “M digili i noori lala.”
GEN.21.25	Niŋi n na, Ibrahim yeli Abimeliki seema o gurunsi n fa o bulugu,
GEN.21.26	Abimeliki yeli u, “M bi baŋŋi o yela, e bi yeli ma, m na si n wumina u ni n na la.”
GEN.21.27	Niŋi n na, Ibrahim naa peeri ni naagi ti Abimeliki, ba bayi maa zaa niŋi naŋgbanluŋko. 
GEN.21.28	Ibrahim barigi pesaasi ayapoin yi o peeri niŋi.
GEN.21.29	Abimeliki boosi u, “Bo n na e niŋi lala?”
GEN.21.30	Ibrahim yeli u, “Dee pesaasi ayapoin ŋa. Ka e niŋi lala, e sagini maa mani n gbi bulugu a.” 
GEN.21.31	Lala zu, nisaaniŋi yuuri n niŋi Beesiiba
GEN.21.32	Ba n sagi n ti taaba yi Beesiiba maa, Abimeliki ni Fikoli pori n gaari Filisiti dima paaligu.
GEN.21.33	Niŋi n na, Ibrahim buri tiya, a yi Beesiiba, ka puusi Duuma, Naawunni so n ba niŋi wara saŋa ni saŋa zaa la. 
GEN.21.34	Jemanwogili n na Ibrahim daa zi Filisiti dima paaligu.
GEN.22.1	Jemanso n daa ti paa, Naawunni niŋi Ibrahim yeride nyaasi. A booli u yeli, “Ibrahim.” O sagi, “Mani n ŋa.” 
GEN.22.2	Niŋi n na, Naawunni yeli u, “Naag e biduluŋko, Yisaaka, so e n kpabira ga la, a gaa Moriya tiŋgbaŋŋu niŋi, a wa ti ku u, a kusi bugum, a nyisi sariga ti ma, a yi zo so ni ya n wusi i ŋa zu.”
GEN.22.3	A n chee bee bogufiili, Ibrahim kpabi sariga daari pa o buŋŋu niŋi, ka mari o gurunsi bayi, a naa Yisaaka paasi, a wara seela Naawunni n wusi u la. 
GEN.22.4	A dabaata daari, cheni maa puwa, Ibrahim nyaasi yii wogila, ka nye seela n na maa. 
GEN.22.5	Niŋi n na, Ibrahim yeli o gurunsi maa, “Ya ni buŋaa, ya ba kpe, ka m ni biyaa ti gaa sunsuwaa niŋi, a wa ti puusi Naawunni, ka ta.”
GEN.22.6	Ibrahim naa daari la ziili o bii Yisaaka, ka mi naa bugum ni suwa mari, ba bayi maa naa n wara. 
GEN.22.7	Yisaaka booli Ibrahim, “M ba.” O ba sagi, “Mm.” O boosi u, “Ti mari bugum, a ni daari, ka peso ti n ya ku, a kusi u nyisi sariga maa ba ya?”
GEN.22.8	Ibrahim yeli, “M biya, Naawunni ni ti ti sariga pee maa.” Niŋi n na, ba lee n gbaa ba soori wara. 
GEN.22.9	Ba n ti paa seela Naawunni ni wusi Ibrahim la, o maali sariga daaŋu, ka kaasi daari la pa o niŋi, ka gbaag o bii la, a le u pa sariga daaŋu maa niŋi. 
GEN.22.10	Ka voo suwa, o ku o bii maa. 
GEN.22.11	Niŋi n na, Naawunni malaaka goo yi saazu tasi n booli u yeli, “Ibrahim, Ibrahim.” O sagi, “Mani n ŋa.”
GEN.22.12	Malaaka maa yeli, “Da pa siisi biyaa, a ti u daaŋu. Pimparaŋa m pa baŋŋi e n zora Naawunni, a ni wumintiibu, a kpali e naag e biluŋko nyisi sariga.”
GEN.22.13	Ibrahim n wumi goo maa, o lalli o zu, ka nye pedaa siila n gari tipolli za. O gbaa pee maa nyisi sariga maa, ka che o bii la. 
GEN.22.14	Niŋi n na, Ibrahim digili nisaaniŋi yuuri “Duuma ni ti.” Halli zinni, niriba na yetirini, ni Naawunni zoo zu, o ni ti.
GEN.22.15	Niŋi n na, Duuma malaaka goo lee n booli Ibrahim yi saazu buyi daana yeli, 
GEN.22.16	Duuma yeli, “A kpali, e n bi zagsi e n di naa e biluŋko nyisi sariga ti ma la zu, m pe m maŋŋa yuuri niŋi maa, 
GEN.22.17	nafa n na ma ni nafa i, e yaŋsi ni zoo maa ŋmeribiisi n ba saazu, a maa teeku noori tambisigu. E yaŋsi ni zabi n nyaŋŋi ba dindima. 
GEN.22.18	A kpali e ni wumi n ti ma la zu, durinye puu balisi zaa ni nye nafa, a yi e yaŋsi puwa.”
GEN.22.19	Niŋi n na, Ibrahim loobi n we o gurunsi saani, ba zaa gaa Beesiiba, Ibrahim zi nisaaniŋi.
GEN.22.20	Jemanso n daa ti paa, Ibrahim wumi ni o sunzo Naho poga Milika dogini biisi banii ti u. 
GEN.22.21	Wuz n daa niŋi wurikoŋ, a naa o sunzo Buz, Kemuwel so n daa dogi Aram. 
GEN.22.22	Keesi ni Hazo ni Pilidasi ni Jidalap a ni Betuwel. 
GEN.22.23	Betuwel n niŋi Rabeeka ba. Milika n dogi biduusi banii ŋa ti Ibrahim sunzo Naho.
GEN.22.24	Naho pogibila so ba daa n boona Reema gba daa n dogi Teba ni Gaham ni Tahasi a ni Maaka.
GEN.23.1	Saara daa n niŋini yuma koowa ni pisiyi ni ayapoin, 
GEN.23.2	ka kpi Kiriyaf-Aba (Hebiron n na la), a yi Keenan tiŋgbaŋŋu niŋi. Ibrahim daa n kumi o kuuri.
GEN.23.3	Kpiiŋu maa daa na doni, ka Ibrahim nyisigi n wa ti togsi n ti Hititi dima, a yeli. 
GEN.23.4	M niŋini saana yi ya puwa, ya koosi tiŋgbaŋŋu ti ma, o niŋi seela m di n piira m kpiinsi.
GEN.23.5	Ba yeli Ibrahim, 
GEN.23.6	“Ti yidaana, wumi ti saani. E niŋini nivutimsigu yi ti puwa, nyaasi ti piiba ziisaa, seela n peri i e pi u. Ti yindaana zaa ki moŋŋi i, seela e di n pi e kpiima.”
GEN.23.7	Niŋi n na, Ibrahim dobi ba tiŋŋa jilimatiri, 
GEN.23.8	ka yeli ba, “Ka o niŋi ya kiperi maa, ya n ti m pi u seela n peri ma, lala wune ya suusi Zoha bii Efuron ti ma, 
GEN.23.9	ni o koosi o zovoori n ba Makipela, ka niŋi o tiŋgbaŋŋu torigu la ti ma. Samiso zaa o n zaali ma, m ni yo u ya nufu niŋi, ka nisaaniŋi o loobi m niriba piibu ziya.”
GEN.23.10	Efuron gba daa n zinni niriba maa puwa, ka togsira Ibrahim saani, ka niriba maa zaa wumina, a yi tiŋŋa maa voori noori, seela ba n ziira. 
GEN.23.11	“Akai, m yidaana, wumi m saani, m naa tiŋgbaŋŋu maa ni zovoori maa zaa ti i, m naa n ti i niribaa zaa nufu niŋi, e naa n piira e niriba.”
GEN.23.12	Niŋi n na, Ibrahim dobi niriba maa zaa tiŋŋa, 
GEN.23.13	ka yeli Efuron, a yi niriba maa zaa nufu niŋi, “Ka e yi naa n ti ma, jaande wumi n ti ma, m ni ti i tiŋgbaŋŋu maa ligiri, deeg a, ka m piira m niriba nisaaniŋi.”
GEN.23.14	Niŋi n na, Efuron yeli Ibrahim, 
GEN.23.15	“M yidaana, wumi n saani, tiŋgbaŋŋu maa samini niŋini gbitisi kobsinaasi. Ŋama bi niŋi sen yi ti sunsuuniŋi. A zu, piira e niriba nisaaniŋi.” 
GEN.23.16	Ibrahim n wumi n ŋa, o zamsi gbitisi kobsinaasi ti Efuron, seema o n yeli niriba maa nufu niŋi la.
GEN.23.17	A zu, Ibrahim da Efuron tiŋgbanso n ba Makipela tiŋgbaŋŋu niŋi la, a leeli Mamiri, tiŋgbaŋŋu maa ni zovoori ni tiisi zaa n ba o sunsuuniŋi ni gbarima niŋi zaa. 
GEN.23.18	A zaa n daa loobi Ibrahim toori, a yi Hititi dima seesi zaa n daa n laŋsi tiŋŋa maa voori noori la nufu niŋi.
GEN.23.19	Ŋama nyaaŋa n na, Ibrahim pi o poga Saara zovoori maa n ba tiŋgbaŋŋu maa niŋi, a leeli Mamiri (Hebiron n na la) Keenan paaligu. 
GEN.23.20	A zu, tiŋgbaŋŋu maa ni zovoori la zaa daa n loobini Ibrahim kapete, a dolli Hititi dima niŋi, o piira o niriba.
GEN.24.1	Ibrahim daa n kurigi n kpe kpebilim niŋi, Naawunni mi daa n nafa u soori zaa niŋi. 
GEN.24.2	O yeli o gurunsi zaa kpeema, so n nyaasira o yiri bunso zaa, ni o naa o nuu niŋi o kpiiligu gbinniŋi. 
GEN.24.3	“M kpabirini maa, e pe, a yi Naawunni so n niŋi saazu ni tiŋŋa zaa Duuma la yuuri niŋi, maa e ki naa Keenan paaligu poga ti m bii Yisaaka. 
GEN.24.4	Ama, e gaa m yiri paaligu, m niriba gbagba puwa, a wa ti naa poga ti ti m bii Yisaaka.”
GEN.24.5	Niŋi n na, guruŋu maa boosi u, “Ka poga maa bi kpabira o pa n zu ta kpe, ni tee n mari e bii maa pori n gaa niŋi?”
GEN.24.6	Ibrahim yeli u, “Da pa ti ti m bii maa nobiri no nisaaniŋi. 
GEN.24.7	M Duuma Naawunni n ba alizaana, so n nyisi ma yi m ba yiri, a yi ti paaligu niŋi, ka togsi m saani, a digili noori ti ma maa, o ni naa kpe tiŋgbaŋaa ti m yaŋsi. O ni ti malaaka pa i yiya, e wa ti naa poga yi nisaaniŋi, a ti ti m biya. 
GEN.24.8	Ka poga maa bi kpabira o pa e zu ta, naŋgbandigiligu maa bi lee n pa i. Ama, da pa mari m bii pori n gaa nisaaniŋi”. 
GEN.24.9	A zu, guruŋu maa naa o nuu niŋi Ibrahim kpiiligu gbinniŋi, ka pe, seema o n yeli u maa.
GEN.24.10	Niŋi n na, guruŋu maa naa o yidaana nyogimasi piiya, ka naa piinisuma baligu zaa paasi n gaari Mesopoteemiya paaligu, Naho yiri.
GEN.24.11	O n wa ti paa tiŋŋa maa, o ti nyogimasi maa gba tiŋŋa, bulugu see, zaanoori jemani, jemanso pogiba ni wara kulisi.
GEN.24.12	Niŋi n na, o suusi Naawunni, “M Duuma, m yidaana Ibrahim Naawunni, ti ma zusuŋŋu zinaa, a wusi m yidaana Ibrahim e nivumantiri. 
GEN.24.13	Nyaasi, m zani begi bulugaa, tiŋaa suŋgurisi ni ta n ti ŋoo koom. 
GEN.24.14	Ti ba so zaa ni ya n yeli maa o ti ma koom n ŋu, o sagi n ti ma, ka o lee n yeli ni o ni ŋoo koom ti m nyogimasi gba, cheli lala poga maa o niŋi so e n nyisi n ti e guruŋu Yisaaka. Ka lala yi niŋi, ni baŋŋi maa nyini n niŋi m yidaana Ibrahim yasuŋŋu yamonsitiri.”
GEN.24.15	O na suusirini Naawunni maa, ka Rabeeka bugi yuuri ta bulugu maa puwa, o ti ŋoo koom. (Rabeeka daa niŋini Betuwel biya, ka Betuwel mi daa niŋi Naho ni o poga Milika biya. Naho daa n niŋini Ibrahim sunzo.) 
GEN.24.16	Bipuŋŋu maa daa n veela pogisara ga, ka mi na bi baŋŋi dabsi. O sigi kuliga maa puu wa ti ŋoo koom pori n du.
GEN.24.17	Guruŋu maa chee n tuusi u, ka suusi u, “Jaande, ti ma koom beela m ŋu.”
GEN.24.18	O tuu koom maa yoom, ka yeli u, “M yidaana, dee n ŋu.”
GEN.24.19	O n ti u koom maa, o ŋu n baasi, o yeli u, “Ni ŋoo n ti e nyogimasi ŋa gba, a ŋu.” 
GEN.24.20	O kpaa koom maa yomyom niŋi buŋkobiri maa koŋuurigu buŋ niŋi, ka lee n chee wa ti ŋoo koom ti kpaa n paasira, a zaa ti ŋu n piri. 
GEN.24.21	Daba maa naa nufu digili tiŋŋa nyaasira u boin, a nye? Naawunni wumi o suusigu maa?
GEN.24.22	Nyogimasi maa n ti ŋu n baasi, daba maa naa suga kunde niŋi o ŋoya, ka naa suga bensi ayi niŋi o nusogsi. 
GEN.24.23	Ka boosi u, “Ŋani bii n niŋi i? Jaande, ka wusi ma, ti ni nye dii yi e ba laanta do?”
GEN.24.24	O yeli u, “M ba n niŋi Betuwel, Naho ni Milika biya.” 
GEN.24.25	Ŋama nyaaŋa, o lee n yeli, “Ti mari buŋkobiri bindira, a ni a bindoori, a ni saamba dii, ya n di n do.”
GEN.24.26	Daba maa n wumi n ŋa, o gba tiŋŋa, a kpeesi Naawunni. 
GEN.24.27	Ka yeli, “Kpeesigu niŋini Duuma, m yidaana Ibrahim Naawunni la toori, so n bi zagsi o nivumantiri ni yamonsitiri yi m yidaana Ibrahim niŋi. Ama, ma wune, Duuma pa ma ni yii soori maa puu ta m yidaana niriba yiri.”
GEN.24.28	Bipuŋŋu maa chee n gaa o ma laanta, a wa ti yeli yela maa zaa. 
GEN.24.29+GEN.24.30	Rabeeka sunzodaba Leban n si n nye o ŋoya kunde la ni bensi la n ba o sunzopoga nuusi, ka wumi seema Rabeeka n yeli bunso daba maa n yeli u, o yi yoom gaa daba maa saani, a wa ti nye o n za n begi o nyogimasi, a yi kuliga maa noori. 
GEN.24.31	O yeli u, “Chena, nyini so Duuma n nafa, bo n na e za yaŋŋa? M maali dii zaali i, e nyogimasi ŋa gba zii ba niŋi.”
GEN.24.32	Niŋi n na, daba maa gaa laanta, ka Leban lerigi nyogimasi la ziiri, ka naa kaga ni bindira ti ti a, ka ŋoo n ti ti daba maa ni niseesi n pa o zu la, ba pegi ba noba. 
GEN.24.33	Ba mari bindira ti ti u, ni o di, o yeli, “M ki di, ama m nyisini m soori baaru.” Leban yeli u, “Togsima.”
GEN.24.34	Niŋi o yeli, “Ibrahim guruŋu n niŋi ma. 
GEN.24.35	Duuma nafa m yidaana ga, o loobi bindaana, o ti u peeri, buusi, naagi, gbitisi, sugasi, gurunsi dabsi ni pogiba, nyogimasi, a ni buŋsi. 
GEN.24.36	M yidaana poga Saara, nivukuritiri jemani n na o dogi biduu ti Ibrahim, ka o naag o bunso zaa ti bii maa. 
