MAT.1.1	Neney na ɗeriwel ma mezley ma baba tete ma Yezu Kriste hay, bəzey ma David, bəzey ma Abraham.
JHN.8.13	Arka Fariziyeŋ hay ma ləvamar tok: «Ka key seydewe ma bay ’ar ma vaw ɗek ana, seydewe ɗek ana na, a təɓey vaw kakay.» 
JHN.8.14	Yezu ma mbəɗafatara kava: «Ayaw dərka na i key seydewe ma bay ’ar ma vaw ɗaw ana, ama akwa seydewe ɗaw ana na, a təɓey, kavəday ma mey na i sərada, i sawa na da may, i daw na a may, ama kuray na, kwa ka səradama, i sawa na da may, kwa i daw na a may tikay. 
JHN.8.15	Ka kama sariya kwar na, ɗerre ma slaw vaw, ama yah na, i key sariya ka ndaw tikay. 
JHN.8.16	Hana kendzey i ka key sariya na, sariya ɗaw ana na kassla dərka na, hərway i makəra ɗaw kakay, ama ndaw ma sləradiyawa na na ŋga daha tiyatsa. 
JHN.8.17	Akwa ma winda ha da 
JHN.8.18	I key seydewe ma bay ’ar ma vaw ɗaw ana, Baba ma sləradiyawa na, ŋga a kaya seydewe ɗaw ana satsa.» 
JHN.8.19	Taya ma ləvamar tok: «Ɗagay Baba ɗek ana na ŋga da may?.» Yezu ma mbəɗatar kava: «Ka səradəmaya kakay, ka səradama Baba ɗaw kakay. Hana kuray ka səradəmaya ba na, ka da səradama Baba ɗaw ana ba tiyatsa.» 
JHN.8.20	Yezu a tsa guma ŋga neney hay na, ka slam ma zəlamar zleley ana, andza a tatəkadata ha ndaw hay da 'Ay me key 
JHN.8.21	Yezu ma ləvatar sa: «I daway tek a ɗaw, ka da spəmaya, amana ka mətsam re da meŋgəsey kwar. Slam a ɗaw, i ma daway a huɗa na na, ka slafama ma daway a huɗa kakay.» 
JHN.8.22	 hay ma ləvam tok: «Agəna a dzeley aha ma da kəɗa vaw ŋga ba vagay aha ɗaw? Hərway a ləvey a neney: slam a ɗaw ma daway na, ka dawam a huɗa tata kakay ana na?» 
JHN.8.23	Yezu ma mbəɗatar kava: «Kuray na ndaw ma dala hay, yah na ndaw ma 'ərlam; kuray na ndaw ma bəla ɗey hay, yah na ndaw ma bəla ɗey tikay. 
JHN.8.24	Ka vəday, i ləvakwar ka da mətsam da meŋgəsey kwar hay na, hərwuiya. Akwa haɗaw kuray ka təɓama ka mevel a kwar yah na,‹Yah daha› kakay na, na ŋga na na ka da mətsam na da meŋgəsey kwar.» 
JHN.8.25	Taya ma ləvamar tok: «Ɗagay kah ana na way?» Yezu ma mbəɗatar kava: «Na kwa ka mətsaya har kakay ma ləvakwar zla da mezley ana. 
JHN.8.26	Ka kuray ekəɗey na, guma ɗaw ta sariya ɗaw ma kafakwar haɗadzidzay daha. Ama Ndaw ma sləradiyawa na na, a tsey dərka, tek a ɗaw ma tsənadərawa ka tsakay ŋga na na, i ɓar a bəla na ŋga.» 
JHN.8.27	Taya ka tsənadama a tsatar na ka Baba kakay. 
JHN.8.28	Arka Yezu ma ləvatar tok: «Aza andza kuray ka da tsakafadama 
JHN.8.29	Ndaw ma sləradiyawa na na, ŋga ta yah, ɗaɗa ŋga ka mbəkadaya makəra ɗaw kakay, ka vəday i key ka pas ka pas na tek na ma dar 'ar ana hay.» 
JHN.8.30	Andza a tsey aha andza neney na ndaw hay haɗadzidzay ma pam 'ar ka ŋga.
JHN.8.31	Arka Yezu ma ləvatar a zuif na ma pəmawa 'ar ka ŋga na hay tok: «Haɗaw ka ndzam da guma ɗaw me ləvey na, dərka na, kuray na gawla ɗaw hay. 
JHN.8.32	Ka da səradama dərka na, arka dərka na a da təradakwar na, ndaw ma wama 'ar ata na hay.» 
JHN.8.33	Taya ma mbəɗamar kava: «La na bəzey ma hwoɗ ma Abraham hay, ɗaɗa ndaw ka kadandar beke tikay sana, ka ləvandar la da wama 'ar ala na, ka mey?» 
JHN.8.34	Yezu ma mbəɗatar kava: «Dərka dərka na i ɓadakwar ekəɗey: Haɗaw ndaw ana ka ŋgəsey ba na, ŋga na beke ma meŋgəsey aha. 
JHN.8.35	Beke na, a ndzey na da 'ay ana ma tsoy aha kakay, ama Bəzey ma 'ay ana na, a ndzey na ma tsoy aha. 
JHN.8.36	Zla ekəɗey haɗaw Bəzey ma 'ay ana ma mbəɗəkurawa na, ka da ndzam na ndaw ma wama 'ar ata na hay dərka na. 
JHN.8.37	Ayaw i sərada ha kuray na bəzey ma hwoɗ ma Abraham hay, ama hərway ma guma ɗaw ma fuləkakwar a vaw kakay ana na, ka səpəmaya ma kəɗəmaya ba vagay aha. 
JHN.8.38	Yah na i tsey na ka tek i ma nəkadərawa ka slam ma Baba ɗaw ana, ama kuray na ka kam na tek na kuray ma tsənadəmərawa ka tsakay ma baba kwar ana.» 
JHN.8.39	Taya ma mbəɗam kava: «Baba la, na Abraham.» Yezu ma ləvatar: «Haɗaw kuray bəzey ma Abraham hay na, kam mber andza ma Abraham ana tok. 
JHN.8.40	Azlakwa tok na, ka səpəmaya ekəɗey, ma da kəɗəmaya ba vagay aha, yah a neney ma tsakwar mey ma dərka na i ma tsənadərawa ka tsakay ma Bay ma Bəla na, tek na Abraham ka kərawa kakay ana. 
JHN.8.41	Ama kuray na, ka kam na mber ma baba kwar hay.» Taya ma mbəɗamar kava: «La na bəzey ma ndaw me tsəley so na hay tikay, Baba la na, Bay ma Bəla asləta.» 
JHN.8.42	Yezu ma ləvatar: «Hana Baba kwar Bay ma Bəla na, akwatay ka wuɗəmaya, hərway i bawa na da Bay ma Bəla, i sawa na da ŋga, i sawa na ma bay 'ar ma vaw ɗaw ana kakay, ma sləradiyawa na ŋga. 
JHN.8.43	Ɗagay ka tsənadama guma ɗaw me tsey kakay na ka mey? kavəday ka slafama ma dzəkafa sləmay ka guma ɗaw kakay. 
JHN.8.44	Baba kwar na, 
JHN.8.45	Andza ŋga ɗaw tey na, i tsakwar na mey ma dərka, ka pəmaya 'ar kakay na, kavədiya. 
JHN.8.46	Ndaw da walaŋ a kwar ma slafa me ləvey: i ka ŋgəsar ba, na way? Azlakwa i tsey na dərka sana, ka pəmaya 'ar kakay na, ka mey tok? 
JHN.8.47	Ndaw ana ndaw ma Bay ma Bəla na, a pey sləmay ka mey ma Bay ma Bəla na. Ka pəmaya sləmay kakay na, ma vəday kuray ndaw ma Bay ma Bəla ahiya kakay. 
JHN.8.48	 hay ma mbəɗafəmara kava: «La ma ləvafəmaka kah na ndaw 
JHN.8.49	Yezu ma mbəɗafatara kava: «A'ay, 'ar a mbəɗaya kakay, i key na, i hasəkadara bəzay a Baba ɗaw, ama kuray tey na ka wuɗam ma hasəkadəmaya bəzay kakay. 
JHN.8.50	Akwa ɗagay na, i səpey aha ndaw hay ka hasəkadəmaya bəzay tikay, ndaw ma nəkafaya dey, ma ka sariya na na daha. 
JHN.8.51	Dərka dərka na i ləvakwar, haɗaw ndaw ana ka wafa vaw ba ka guma ɗaw na, a da nəkada ha memətsey tikay.» 
JHN.8.52	 hay ma ləvamar: «Ekəɗey na, la səradama dərka na fakalaw da 'ar eɗek ka dəba tok. Abraham na ka mətsey ba, ndaw sek hay ka mətsam ba atsa, ama kah ekəɗey ka ləvey: haɗaw ndaw ana ka wafa vaw ba ka guma ɗaw na, a da nəkada ha memətsey tikay na teŋgey? 
JHN.8.53	Kah na ka fəna baba la Abraham, me mətsey ana ɗaw? 
JHN.8.54	Yezu me mbəɗey kava: «Kendzey i ka hasəkadara bəzay a vaw ɗaw ana na, maram a ɗaw ana a da nefey aha dakay. Ma hasəkadaya bəzay na, Baba ɗaw, na kuray ma ləvam Bay ma Bəla a kwar ana. 
JHN.8.55	Kuray na ka səradəmərawa tikay, ama yah na, i sərada, i ka ləvey: i sərada kakay na, na ŋga na na, i ka tərey ndaw maləwaɗay aha ba, kal kal andza kuray, ama yah na, i sərada, i wafa vaw ka guma ŋga. 
JHN.8.56	Baba kwar Abraham ma kawa wuiya da ’ar aŋga ma dzalawa na ka nəkada pas a ɗaw: ŋga ma nəkada na, ŋga me rəhey ta wuiya.» 
JHN.8.57	A dəba ma guma ɗey na, zuif hay ma ləvamar: «Mevey ɗek ana na, ka husada kokurow zlam kakay tok na, ka ləvey kah ka nəkada Abraham ba.» 
JHN.8.58	Yezu ma mbəɗatar kava: «I ɓadakwar dərka dərka na, da zla ka yəmərawa Abraham tsaray kakay na, Yah daha.» 
JHN.8.59	Taya na ma kwakusam ŋgwa, ma da kweytsa, ama Yezu ma ləha vaw ŋga, ma bawa ŋga da 'Ay me key 
JHN.9.1	Andza Yezu a daw aha na, ŋga ma nəkada ndaw ana daha wulaf aha, a yadəmərawa da hwoɗ. 
JHN.9.2	Gawla ŋga hay ma tsəhafama guma neney: «Rabi, a yəmərawa ndaw a neney wulaf aha na, ɗagay ma ŋgəsafa tek na way? Bay 'ar ma vaw ŋga na tsukuɗu, baba ŋga, ta may ŋga ɗaw?» 
JHN.9.3	Yezu me mbəɗey kava: «Kwa ŋga ka ŋgəsey kakay, kwa baba ŋga, ta may ŋga, ka ŋgəsam tek kakay, amana hayna mber ma Bay ma Bəla ka nəkey da ŋga. 
JHN.9.4	Ekəɗey rəpas mba na, a dafa na me key mber ma Ndaw ma sləradiyawa na: dəvaɗ a sawa ha na, ndaw a slafa me key mber sakay. 
JHN.9.5	Da mendzey ɗaw a neney ka bəla na, yah na, waw me nəkey dey ma bəla.» 
JHN.9.6	Andza a dəba ma guma ŋga neney me tsey na, Yezu me təfey sleslem ka dala, ma heləɓey hahay ta sleslem, ma fəɗadara ka dey ma ndaw wulaf a hana. 
JHN.9.7	Arka ŋga ma ləvar: «Daw da pəra vaw ba da slam me pərey vaw ma Silowey.» Silowey ka ləva na: maslaŋ. Ndaw wulaf ana hana, ma daway, ma pərərawa vaw, a da mawa na, a nəkada dey ka dəba. 
JHN.9.8	Ndaw mambaw hay, ta ndaw ma nəkadama zlekete, ma ləvam: «Neney na ndaw aŋga na ma ndza ha, a rəkey aha tek ana, seŋgey?» -Hərway ŋga ndaw me rəkey tek aha-. 
JHN.9.9	Sa ma ndaw hay, ma ləvam: «Neney na ŋga təŋga.» Sa na hay tey waya: «A-ay neney na ndaw ma zəga ndaw.» Ama ndaw wulaf ana me mbəɗey kava: «Yah ana təŋga!» 
JHN.9.10	Taya ma ləvamar tok: «Ɗagay azlakwa dey ɗek ana hay a da wuram na teŋgey?» 
JHN.9.11	Ŋga me mbəɗey kava: «Ndaw aŋga na, ma zəlamar Yezu ana, me heləɓey hahay, ma fəɗaya ka dey na, ma ləvaya: daw a Silowey, da pəra vaw; yah ma daway, i ma pərərawa, arka na, i ma nəkada dey tok.» 
JHN.9.12	Taya ma ləvamar: «Ɗagay ndaw ana na ŋga da may?» Ŋga me mbəɗey kava: «I sərada kakay.» 
JHN.9.13	Ma dadama ndaw a kete wulaf aha na, ka tsakay ma Fariziyeŋ hay. 
JHN.9.14	Azlakwa Yezu a heləɓey hahay, ma wuradara dey ŋga na na, ta pas ma mesley. 
JHN.9.15	Fariziyeŋ hay satsa na, ma tsəhafama: ɗagay a wuradəmara dey ŋga na na, teŋgey? Ŋga ma mbəɗatar kava: «Ŋga ma fəɗaya hahay ka dey, i ma pəra vaw na, i ma nəkada dey.» 
JHN.9.16	Da walaŋ ma Fariziyeŋ na hay na, sa na hay ma ləvam: «Ndaw a neney na, a tsənar sləmay a mesley kakay, a sawa da Bay ma Bəla tikay.» Ama, sa na hay ma ləvam: «Ndaw ma ŋgəsa ha na, a slafa me key zeheɗ andza ha tata ɗaw?.» Arka, a da key da walaŋ ata na na, me tsey vaw. 
JHN.9.17	Arka taya ma tsəhafama, ka ndaw wulaf ana sa: «Kah ekəɗey na, ka ləvafa ka ndaw ana ma wuradaka dey ɗek ana na, teŋgey?» Ŋga na me mbəɗey kava: «Ndaw ana na, ndaw sek.» 
JHN.9.18	Andza taya ka zələmatərawa, andza baba ŋga na, ta may ŋga na tsaray kakay na, 
JHN.9.19	Taya ma tsəhafəmata kandza baba na, ta maya na: «Ndaw a neney na, bəzey kwar na kuray ma ləvam, a yəmərawa wulaf aha na kakay ɗaw? Azlakwa ekəɗey a da nəkada dey ka dəba na, teŋgey?» 
JHN.9.20	Baba na, ta may na ma mbəɗafəmatara kava: «La səradama dey ta kava, neney na bəzey la dərkana, a yəmərawa na wulaf aha. 
JHN.9.21	Ekəɗey a da nəkada dey ka dəba na teŋgey na, la səradama tikay; ma wuradara dey ana way na, la səradama kakay, tsəhafama ka ŋga na, ŋga ɗuhwaha ɗa, ka vaw ŋga sana, ŋga na ta ’ar aŋga na ka wandzaladakwar kwa!» 
JHN.9.22	Baba na ta may na a tsam andza ha na, hərway a wasam ta 
JHN.9.23	Nəkafama baba na, ta may na, a da ləvam: «Ŋga ɗa ka vaw ŋga sana, tsəhafama kwa», na hərwuiya. 
JHN.9.24	Dey ma tsetsew ana, 
JHN.9.25	ŋga ma mbəɗatar kava: «Kendzey ŋga ndaw ma ŋgəsa ha na, i sərada tikay; tek a ɗaw ma sərada na neney: tsəfəmey aha na, i wulaf aha, ama ekəɗey na, i nəkada dey ka dəba.» 
JHN.9.26	Taya ma ləvamar: «Ɗagay a kaka na mey? A da wuradaka dey ana na, teŋgey?» 
JHN.9.27	Ŋga ma mbəɗatar kava: «I ka ɓadakwar tsoy, amana ka wuɗam me pey sləmay kava kakay, ka wuɗam ma tsənadama dey mekelehe na, ka mey? Tsukuɗu ka wuɗam na, ma da tərey gawla ŋga hay tiyatsa ɗaw?.» 
JHN.9.28	Fariziyeŋ hay ma zlamar ma tsaɗama ma ləvamar: «Kah na, kah gawla ŋga! Ama la na, gawla ma Moyiz hay. 
JHN.9.29	La səradama ha Bay ma Bəla na, ka tsərawa guma ba a Moyiz, ama ndaw a neney na, la səradama a sawa na da may tikay!» 
JHN.9.30	Ndaw ana ma mbəɗatar kava: «Ana dzadzak, me rəzley ndaw na ŋga ha tok, hərway ma mey na, ka səradama a sawa na da may kakay ana, ama zlənemey na, ka wuradaya dey ba! 
JHN.9.31	Ka səradakwa ha seŋgey: Bay ma Bəla na, a patar sləmay a ndaw ma ŋgəsa na hay kakay, ama haɗaw ndaw ana ma ɗamara ’ar aha, a key tek andza ma Bay ma Bəla me wuɗey ana na, a vəladara. 
JHN.9.32	Ɗaɗa, ndaw ka tsənada ndaw ka wurey dey ma ndaw wulaf aha, a yadəmərawa da hwoɗ na, dakay seŋgey. 
JHN.9.33	Haɗaw ndaw a neney na, ndaw ma Bay ma Bəla kakay na, a slafa me key tek andza neney kakay.» 
JHN.9.34	Taya na ma mbəɗamar kava: «Kah na, a yəməkawa na da meŋgəsey tok na, dzadzak na, ka da tsandar guma a 'ar tok ɗaw?» Arka taya ma kəladəmərawa ba a bəla. 
JHN.9.35	Yezu ma tsənada waya ka ɓələmərawa ba a bəla na, ŋga ma sawa, ma ndzafa ma ləvar: «Ka pey 'ar ka 
JHN.9.36	Ŋga tey ma mbəɗar kava: «Ŋga na na way Bay’ərlam a ɗaw, ma i ka pey 'ar ka ŋga na na?» 
JHN.9.37	Yezu ma ləvar: «Ka nəkada ha, ma tsaka guma neney na ŋga.» 
JHN.9.38	Ndaw ana me ləvey: «I pey 'ar Bay’ərlam a ɗaw.» Arka ŋga me gərdey ka mey dey ŋga. 
JHN.9.39	Arka Yezu me ləvey tok: «I sawa ka bəla na, ma da key sariya, ma aza ndaw ma nəkadama dey kakay ana hay, ka nəkadama dey, ndaw ma nəkadama dey ana hay tey na, ka təram wulaf ahiya.» 
JHN.9.40	Fariziyeŋ hay daha ka tsakay ŋga, ma tsənadama guma neney na, ma ləvamar: «Ka ləva na, ta la adzay na, la wulaf ahiya tiyatsa ɗaw?» 
JHN.9.41	Yezu ma mbəɗatar kava: «Kendzey akwatay kuray ka kam wulaf ahiya na, meŋgəsey ka kuray dakay, ama ekəɗey ka ləvam, ka nəkadama dey sana, meŋgəsey kwar ŋga re.»
JHN.10.1	Dərka dərka na, i ɓadakwar, haɗaw ndaw ana a fuləkwey a welde ma təɓaŋ hay ta mambaw kakay, ama a hərɗey ta 'ar ma zlagam na, ndaw ana ŋga na na mahal, katsala. 
JHN.10.2	Ama ndaw me fuləkwey ta mambaw ana na, ŋga na ndaw me tsukurey təɓaŋ ana hay. 
JHN.10.3	Ndaw me hutey ka mambaw ana a wuradara mambaw, arka təɓaŋ hay, a pam sləmay ka veɗ ma ɗay ŋga. Təɓaŋ aŋga hay na, a zəlata na, kwa way way, ta mezəley ŋga. A badatərawa a bəla. 
JHN.10.4	Andza ka badatərawa tsoy a bəla na, a kəlatar ka mey, arka na a səpama zləna, kavəday a səradama vəɗe ma ɗay ŋga. 
JHN.10.5	Ɗaɗa a səpamar bəzay a ndaw mbəlak aha tikay. A fəna satsa na, a da hwadama zləna, ka vəɗay a səradama ɗay ma mbəlak hay kakay.» 
JHN.10.6	Yezu ma tsadatara bəzay ma guma neney ma mala ha, ta meley ana; amana taya ka tsənadama a tsatar na ka mey kakay. 
JHN.10.7	Yezu me ləvey sa: «Dərka, dərka na, i ləvakwar: yah na mambaw ma təɓaŋ ana hay. 
JHN.10.8	Tobiyaha ndaw ma səmawa ka mey ɗaw ana hay na, ndaw mahal hay, ta katsala hay. Amana təɓaŋ ana hay, ka pəmatar sləmay kakay. 
JHN.10.9	Yah na mambaw, haɗaw ndaw ana a fuləkwey ta yah na, a da buwama, a daway, a mawa, a ndzefey tek me zəmey. 
JHN.10.10	Mahal a daw ma ŋga na, ma da huley, ma da təzey, me zəɗey tek. Ama yah na, i sawa na ma ndaw hay ka ndzafam mendzey, ka ndzafam na haɗadzidzay. 
JHN.10.11	Yah na ndaw me tsukurey hayna, ndaw me tsukurey hayna na, a vəlada mendzey ŋga hərway ma təɓaŋ aŋga hay.
JHN.10.12	Ndaw me key mber ma sumkwo na, təɓaŋ ana hay na, ma ŋga hay kakay, kendzey andza ŋga ka nəkada dəvar ba a sawa ha na, a mbəkadata təɓaŋ hay, a hway ta vaw ŋga. Dəvar a sawa, a həley, a zlaɗadatara 'ar ta sa na hay. 
JHN.10.13	Hərway a key na mber ma sumkwo, təɓaŋ hay a kamar da 'ar kakay. 
JHN.10.14	Yah na ndaw me tsukurey hayna, i səradata təɓaŋ a ɗaw hay, təɓaŋ a ɗaw hay a səradəmaya. 
JHN.10.15	Andza ma Baba ɗaw ma səradaya na na, i sərada Baba ɗaw; andza ha tey, i vəlada mendzey ɗaw hərway ma təɓaŋ a ɗaw hay. 
JHN.10.16	Təɓaŋ a ɗaw a sa na hay daha, ka fuləkumawa a welde na tsaray kakay, taya na ŋga na na hay tiyatsa na, hayna i ka tsəhadatərawa 'ar, a da dzəkam sləmay ka vəɗe ma ɗay ɗaw, a da key na welde na asləta, ndaw me tsukurey ana asləta. 
JHN.10.17	Baba a wuɗaya na, mavəday i ma vəlada mendzey ɗaw, i da təɓa tek a ɗaw ka mey. 
JHN.10.18	Ndaw ma təɓadaya ba na dakay, ama ma vəlada na yah ana ta ’ar a ɗaw ana. I slafa ma vəlada, i slafa ma da təɓa tek a ɗaw. Neney na mey ma mewey ana i ma ndzafawa da har ma Baba ɗaw ana.» 
JHN.10.19	Guma neney na, ma sadatərawa me tsey vaw da walaŋ ma 
JHN.10.20	Ndaw hay da walaŋ ata haɗadzidzay ma ləvam: «Fakalaw a kar, a key na a dzadzuvey guma soha sana, ka pafama sləmay na, ka mey?» 
JHN.10.21	Ama sa na hay, ma ləvam: «Neney na guma ma ndaw ta fakalaw aha da 'ar kakay, zləna, fakalaw na a slafa ma wuradara dey ma ndaw wulaf aha ɗaw?.»
JHN.10.22	Da har ana ŋga na na, a kam aha magurlam ma bəzləmey ’Ay me Key 
JHN.10.23	Da 'Ay me key 
JHN.10.24	 hay ma ɗawalama, ma ləvamar: «Ka da ndzadandar da waway na, kasl ka waray, haɗaw kah Kriste na, ɓadandar ndar ndar kwa.» 
JHN.10.25	Yezu ma mbəɗatar kava: «I ka tsakwar ba, amana kuray ka təɓama kakay, tek a ɗaw ana hay yah ma kata da mezəley ma Baba ɗaw ana na, a kaya seydewe ɗaw ana. 
JHN.10.26	Ama ekəɗey ka pəmaya 'ar kakay na, kavəday kuray da walaŋ ma təɓaŋ a ɗaw hay kakay. 
JHN.10.27	Təɓaŋ a ɗaw hay na, a pam sləmay ka vəɗe ma ɗay ɗaw, i səradata, a səpəmaya bəzay. 
JHN.10.28	Arka yah tey na, i vəlatar mendzey me ndəvey kakay ana, ɗaɗa a da mətsam aha kakay, ɗaɗa ndaw ma slafa ma buwatərawa ba da har a ɗaw na, dakay. 
JHN.10.29	Baba ɗaw ana ma vəladatiyawa na na, a fənata tek hay tabiyaha, kwa ndaw ma slafa me təɓey tek da har ma Baba na dakay. 
JHN.10.30	Yah ta Baba na, la na ndaw asləta. 
JHN.10.31	Arka 
JHN.10.32	Ama Yezu ma ləvatar sa: «I ka ɓakwar mber hayna ma Baba ɗaw ba haɗadzidzay, ka slam dey kwar, ka wuɗam ma kwuytsəmaya na ka mber ana waray?» 
JHN.10.33	 hay ma mbəɗamar kava: «La wuɗam ma kweytsəmaka na ka mber hayna me key ana kakay, amana, ka guma ɗek a neney, kah ma tsaɗa Bay ma Bəla ana. Ka vəɗay kah na ndaw tok na, ka tərada vaw ɗek Bay ma Bəla aha.» 
JHN.10.34	Yezu ma mbəɗatar kava: «Ma winda ha da 
JHN.10.35	Azlakwa a da key na, 
JHN.10.36	A ndaw ana Baba ma wala na, ma sləradərawa ka bəla na na, ka ləvamar: «Ka tseɗey 
JHN.10.37	Kendzey hana i key aha mber ma Baba ɗaw kakay ŋgey, na ŋga na na, ka pəmaya 'ar zlay! 
JHN.10.38	Ama haɗaw i kata ha na, kwa ha pəmaya 'ar kakay na, pam 'ar ka mber a neney hay, ma kuray ka səradama, ha səradama haya hayaha, Baba ŋga da yah, andza yah da Baba na tey.» 
JHN.10.39	Arka satsa a səpama ma da zəga, amana, ma ləhafata ba da har ata. 
JHN.10.40	Arka Yezu ma mey təŋga a diya ma Zurdeŋ, ka slam ma Zaŋ ma zlar me dzuhəɓey ndaw hay kava na, me ndzey təŋga da huɗa. 
JHN.10.41	Ndaw hay haɗadzidzay ma dawam ka tsakay ŋga, ma ləvam: «Zaŋ na ɗaɗa, ka key zeheɗ ma tek daha tikay, ama guma ŋga na me tsawa ka ndaw a neney tabiyaha na, dərka na.» 
JHN.10.42	Arka a da key na, ndaw hay haɗadzidzay ma pam 'ar ka ŋga.
JHN.11.1	Ndaw ana daha vaw a tsafa, a zəlamar Lazar, ŋga da Betani, wuraw mandza Mariya ta malam aŋga Marta. 
JHN.11.2	Mariya ana na, Mariya ana ŋga na, ma mbəɗafa mal ta wurdey aha ka Bay’ərlam Yezu, ma takaɗadara sek aŋga hay ta mbez 'ar aŋga na. Vaw a tsey na ka malam aŋga Lazar. 
JHN.11.3	Malam aŋga diŋgwas ana hay ma sləram ndaw ka Yezu ka ləvamar: «Bay’ərlam, ndaw ana kah ma wuɗa na na, vaw a tsafa.» 
JHN.11.4	Andza ŋga ma tsənada ba tsana, Yezu me ləvey: «Dzedzey ŋga neney na, a da mətsada ha kakay, ama a da nefey na ma da ɓada maram ma Bay ma Bəla, Bəzey ma Bay ma Bəla ada ndzefey maram na ta ŋga.» 
JHN.11.5	Akwa na Yezu ana na, a wuɗata Marta ta malam aŋga Mariya ta Lazar. 
JHN.11.6	Amana, kwa andza ka sərafa tsoy, Lazar ŋga gwa kakay tekeɗe na, ŋga me ney ba dəvaɗ tsew ka slam aŋga na hana na sa təŋga. 
JHN.11.7	Arka a dəba ŋga na tok na, ŋga ma ləvatar a gawla ŋga hay: «Makwa a Zudey.» 
JHN.11.8	Gawla ŋga hay ma ləvamar: «Rabi, da bəse ekəɗey na, zuif hay a səpəmaka ha ma kwuytsəmaka ba vagay aha tok na, re ka wuɗey ma mey a huɗa sa təŋga ɗaw?» 
JHN.11.9	Yezu ma mbəɗey kava: «Rəpas na, da huɗa na ndzemdey kurow kava tsew kakay ɗaw? Haɗaw ndaw a heley ta rəpas na metsembeɗ a ndzar kakay zləna, kavəday a nəkada ha waw ma bəla neney seŋgey. 
JHN.11.10	Ama haɗaw ndaw me heley ta dəvaɗ na, metsembeɗ a ndzar, zləna kavəday waw me nəkey dey da ŋga dakay.» 
JHN.11.11	A dəba ma guma ŋga neney hay na, ŋga me ləvey: «Dzam a lakwa Lazar ka nerey ba, i daway i da pərkadərawa.» 
JHN.11.12	Gawla ŋga hay ma ləvamar: «Bay’ərlam, kendzey ka nerey ba na a da buwama seŋgey.» 
JHN.11.13	Azlakwa Yezu a tsatar na ka me mətsey ma Lazar, ka taya na, waya a tsatar na ka me nerey dada tsa. 
JHN.11.14	Arka Yezu ma ɓadatara ndar ndar: «Lazar ka mətsey ba, 
JHN.11.15	a daya ’ar bəza kakay, ma kuray ma kam ka slam ana dakay ana na, ma aza kuray ka da pam 'ar. Amana, nakwa ka slam aŋga!» 
JHN.11.16	Arka Tomas, na ma zəlamar Didim ana, ma ləvatar a sa ma gawla ma Yezu ana hay: «Nakwa tiyatsa, lakwa ka mətsakwama andza ŋga.» 
JHN.11.17	Me husey ŋga na, Yezu a da ndzafa Lazar ŋga da tsəvay, ka key tsoy da huɗa dəvaɗ faɗ. 
JHN.11.18	Andza mabaŋ ma ndza Zeruzalem ta Betani a key kilometre makar na, 
JHN.11.19	zuif hay haɗadzidzay ma səmawa a 'ay mandza Marta ta Mariya ma da tsəmatəraɓa guma, hərway ma malam ata. 
JHN.11.20	Andza Marta ma tsənada Yezu a sawa ha na, ŋga ma daway ma da tsam 'ar, Mariya tey na ma ndza ha da mbaw. 
JHN.11.21	Marta ma ləvar a Yezu: «Bay’ərlam a ɗaw, kendzey kah ka key daha ka sləna na, akwatay malam a ɗaw a mətsey kakay seŋgey. 
JHN.11.22	Ama ekəɗey təŋga dzay na, i sərada, tek eɗek me tsəhey ka Bay ma Bəla tabiyaha na, Bay ma Bəla a da vəladaka.» 
JHN.11.23	Yezu ma ləvar: «Malam eɗek a da mbəlawa.» 
JHN.11.24	Ŋga ma mbəɗar kava: «I sərada ha a da mbəlawa ta pas madakwaydok ana.» 
JHN.11.25	Yezu ma ləvar: «Yah na, ndaw me mbəley ndaw, yah na mesəfrey, ndaw me pey 'ar ka yah na, kwa andza ka mətsey ba tekeɗe na, a da səfrey. 
JHN.11.26	Kwa way way da mendzey ŋga a pey 'ar ka yah na, ɗaɗa a da mətsey aha tikay. Ka pey 'ar kava ɗaw?» 
JHN.11.27	Ŋga me mbəɗey kava: «Ayaw Bay’ərlam ɗaw, i pey 'ar, kah na Kriste, Bəzey ma Bay ma Bəla, Ndaw na ma da sawa ka bəla na.» 
JHN.11.28	A dəba na na, ŋga ma daway ma da zələrawa malam aŋga Mariya, ma ləvar ta mesesəkwey aha: «Miter ka sawa ba, a zəlaka ha.» 
JHN.11.29	Andza ma tsənada ba tsana, Mariya me lətsey huram, ma daway 'ar ka tsakay ŋga. 
JHN.11.30	Akwa Yezu ana na ka fuləkwey a wuraw ana tsaray kakay, ŋga re ka slam ana hana, Marta ma zlam ’ar kava na. 
JHN.11.31	 hay na taya da mbaw andza Mariya, a səpam ma bədama. Andza taya ma nəkadama ma lətsawa ŋga huram tsana, taya ma səpəmərawa bəzay, ka taya na waya a daway ka ɗay tsəvay ma da tuway. 
JHN.11.32	Andza ma Mariya me husey ba ka slam ma Yezu ŋga kava na na, andza ma nəkada ba tsana, ŋga me kəley ka slam sek aŋga ma ləvar: « Bay’ərlam a ɗaw, hana kah ka key ka sləna daha na, akwatay malam a ɗaw a mətsey kakay seŋgey.» 
JHN.11.33	Andza Yezu ma nəkadata Mariya a tuwam aha andza zuif hay, na ma kəsadəməraɓa na hay na, a kar tossa da mevel, ma gagəra. 
