GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
NEH.9.12	Ve dne jsi je vodil sloupem oblakovým, v noci pak sloupem ohnivým svítils jim na cestu, po které měli jít. 
NEH.9.13	Na horu Sinaj jsi sestoupil, z nebe jsi s nimi promlouval. Dal jsi jim poctivá pravidla a spravedlivé zákony, dobrá nařízení a příkazy. 
NEH.9.14	Dal jsi jim poznat svou svatou sobotu, skrze svého služebníka Mojžíše jsi jim vydal příkazy, nařízení a zákony. 
NEH.9.15	Chléb z nebe jsi jim dal, když hladověli, a když žíznili, vyvedl jsi vodu ze skály. Řekl jsi jim, ať jdou obsadit zemi, o níž jsi přísahal, že jim ji dáš. 
NEH.9.16	Oni však se svými otci pyšně zatvrdili šíji a odmítli poslouchat tvé příkazy. 
NEH.9.17	Odmítli poslouchat, nepomysleli na divy, které jsi pro ně vykonal. Zatvrdili šíji, zvolili si vůdce, aby se ve vzpouře vrátili do poroby! Ty jsi ale Bůh odpuštění, milostivý a soucitný, nesmírně trpělivý a velmi laskavý.
NEH.9.18	když si odlili tele a řekli: ‚To je tvůj Bůh, který tě vyvedl z Egypta.‘ Jak velice se rouhali! 
NEH.9.19	Ty jsi je ale ve svém nesmírném slitování nenechal samotné tehdy na poušti. Oblakový sloup je nikdy neopouštěl, ve dne je vodil po cestě; ohnivý sloup byl s nimi v noci, svítil jim na cestu, po které měli jít. 
NEH.9.20	Svého laskavého Ducha jsi jim udělil, aby je učil. Jejich ústům jsi neodepřel svou manu, dal jsi jim vodu, když žíznili. 
NEH.9.21	Čtyřicet let ses o ně na poušti staral; nic jim nechybělo, oděv nechátral, nohy neotekly. 
NEH.9.22	Vydal jsi jim království a národy, každý kout jsi jim přidělil. Získali zemi Sichona, krále Chešbonu, i zemi Oga, krále Bášanu. 
NEH.9.23	Rozmnožil jsi jejich syny jako hvězdy na nebi a uvedl jsi je do země, o níž jsi řekl jejich otcům, ať ji obsadí. 
NEH.9.24	Synové pak do té země vešli a obsadili ji; Kananejce, kteří tam bydleli, jsi před nimi porazil. Do rukou jsi jim vydal krále i národy země, takže s nimi naložili podle libosti. 
NEH.9.25	Dobyli hrazená města i úrodnou zemi, obsadili domy plné cenností, už vykopané studny, vinice, olivy i ovocné sady. Jedli až do sytosti, tukem se obalili, s rozkoší užívali tvé velké dobroty. 
NEH.9.26	Tehdy se vzbouřili, tobě se postavili, tvůj Zákon zahodili za hlavu! Tvé proroky vraždili, když je vyzývali, aby se k tobě vrátili. Jak velice se rouhali! 
NEH.9.27	Vydával jsi je proto krutým nepřátelům, a tehdy k tobě volali v dobách soužení. Tys je pak vyslýchal z nebe v nesmírném slitování, dával jsi jim zachránce z rukou nepřátel. 
NEH.9.28	Když si však vydechli, znovu tě popouzeli, a proto jsi je nechával v područí nepřátel. Když potom k tobě volali znovu, tys je vyslýchal z nebe v nesmírném slitování a vždy znovu jsi je zachránil. 
NEH.9.29	Varoval jsi je, ať se vrátí k tvému Zákonu, oni však zpychli a nechtěli poslouchat tvé příkazy. Provinili se proti tvým řádům, z nichž ten, kdo je plní, bude žít. Zády se obraceli, zatvrzovali šíji, slyšet nechtěli. 
NEH.9.30	Tolik let ses s nimi trpělivě vláčel! Svým Duchem jsi je varoval skrze proroky, když ale přesto odmítali slyšet, vydal jsi je národům světa do rukou. 
NEH.9.31	V nesmírném slitování jsi ale s nimi neskoncoval, neopustil jsi je, neboť jsi Bůh milostivý a soucitný. 
NEH.9.32	A tak, Bože náš, Bože veliký, mocný a hrozný, zachovávající smlouvu a milosrdenství, nepovažuj za nicotné všechny ty útrapy, které nás potkaly – naše krále i hodnostáře, naše kněze i proroky, naše otce i všechen lid. Od doby asyrských králů až dodnes 
NEH.9.33	jsi byl spravedlivý ve všem, co nás postihlo. Ty jednáš věrně, to my jsme se provinili 
NEH.9.34	i naši králové, hodnostáři, kněží a otcové. Tvůj Zákon neplnili, nedbali na tvé příkazy ani na výstrahy, jimiž jsi je varoval. 
NEH.9.35	Když ještě měli své království a hojnost tvé dobroty, kterou jsi jim prokazoval, když ještě měli tu širou, úrodnou zemi, kterou jsi jim dal, nesloužili ti a od svých zlých skutků se nechtěli odvrátit. 
NEH.9.36	A hle, dnes jsme otroci v zemi, kterou jsi daroval našim otcům, aby jedli její plody a užívali její dobroty – v té zemi jsme dnes otroci! 
NEH.9.37	Její hojná úroda připadá králům, jimž jsi nás pro naše hříchy podmanil. S námi i s naším dobytkem dělají, co se jim zlíbí – ocitli jsme se ve velkém soužení!“ 
NEH.10.1	„Kvůli tomu všemu teď sepisujeme závaznou smlouvu stvrzenou pečetěmi našich hodnostářů, levitů a kněží.“ 
NEH.10.2	Svou pečeť připojili: 
NEH.10.2	Guvernér Nehemiáš, syn Chakaliášův. 
NEH.10.2	Cidkiáš, 
NEH.10.3	Serajáš, Azariáš, Jeremiáš, 
NEH.10.4	Pašchur, Amariáš, Malkiáš, 
NEH.10.5	Chatuš, Šebaniáš, Maluk, 
NEH.10.6	Charim, Meremot, Obadiáš, 
NEH.10.7	Daniel, Gineton, Baruch, 
NEH.10.8	Mešulam, Abiáš, Mijamin, 
NEH.10.9	Maaziáš, Bilgaj a Šemajáš. 
NEH.10.9	To byli kněží. 
NEH.10.10	Levité: 
NEH.10.10	Ješua, syn Azaniášův, Binui ze synů Chenadadových, Kadmiel 
NEH.10.11	a jejich bratři: 
NEH.10.11	Šebaniáš, Hodiáš, Kelíta, Pelajáš, Chanan, 
NEH.10.12	Míka, Rechob, Chašabiáš, 
NEH.10.13	Zakur, Šerebiáš, Šebaniáš, 
NEH.10.14	Hodiáš, Bani a Beninu. 
NEH.10.15	Vůdcové lidu: 
NEH.10.15	Paroš, Pachat-moáb, Elam, Zatu, Bani, 
NEH.10.16	Buni, Azgad, Bebaj, 
NEH.10.17	Adoniáš, Bigvaj, Adin, 
NEH.10.18	Ater, Chizkiáš, Azur, 
NEH.10.19	Hodiáš, Chašum, Becaj, 
NEH.10.20	Charif, Anatot, Nebaj, 
NEH.10.21	Magpiaš, Mešulam, Chezir, 
NEH.10.22	Mešezabel, Sádok, Jadua, 
NEH.10.23	Pelatiáš, Chanan, Anajáš, 
NEH.10.24	Hošea, Chananiáš, Chašub, 
NEH.10.25	Halocheš, Pilcha, Šobek, 
NEH.10.26	Rechum, Chašabna, Maasejáš, 
NEH.10.27	Achiáš, Chanan, Anan, 
NEH.10.28	Maluk, Charim a Baana. 
NEH.10.29	Také ostatní z lidu, kněží, levité, strážní, zpěváci, chrámoví sluhové a každý, kdo se oddělil od okolních národů pro Boží zákon, jejich ženy, synové a dcery, každý, kdo byl schopen rozumět, 
NEH.10.30	ti všichni se připojovali ke svým urozeným bratřím a skládali přísežný slib, že budou žít podle Božího zákona, vydaného skrze Božího služebníka Mojžíše. Slibovali, že budou dodržovat a plnit všechna přikázání Hospodina, našeho Pána, i jeho zákony a pravidla: 
NEH.10.31	„Nebudeme vdávat své dcery do cizích národů a s jejich dcerami nebudeme ženit své syny. 
NEH.10.32	Když k nám z okolních národů přivezou zboží nebo obilí, aby je prodávali v den odpočinku, nebudeme je kupovat v sobotu ani ve svátek. Sedmého roku ustaneme a zrušíme každý dluh. 
NEH.10.33	Zavazujeme se odevzdávat třetinu šekelu
NEH.10.34	na chleby předložení, na pravidelné oběti moučné i zápalné o sobotách, novoluních a slavnostech, na svaté dary, na smírčí oběti za hřích Izraele a na veškeré dílo při domě našeho Boha. 
NEH.10.35	Dávky dřeva pro chrám našeho Boha si rozdělujeme losem. Kněží, levité i lid je budou přinášet každoročně podle svých otcovských rodů v určený čas, aby na oltáři Hospodina, našeho Boha, plál oheň, jak je psáno v Zákoně.
NEH.10.36	Zavazujeme se každoročně přinášet do Hospodinova domu své prvotiny z půdy a z veškerého ovoce všech stromů. 
NEH.10.37	Jak je psáno v Zákoně, budeme přinášet prvorozené ze svých synů i ze svého dobytka, ze svého skotu i bravu do domu našeho Boha ke kněžím sloužícím v jeho domě.
NEH.10.38	Prvotiny ze svého těsta a ze svých obětních příspěvků, z ovoce všech stromů, z vína i oleje budeme přinášet kněžím do komor v domě našeho Boha. 
NEH.10.38	Levitům budeme přinášet desátek ze svých pozemků a oni budou vybírat desátky ve všech městech, kde pracujeme. 
NEH.10.39	Při vybírání desátků s nimi bude kněz, syn Áronův, a levité pak přinesou desátek z desátků do domu našeho Boha, do komor ve skladu. 
NEH.10.40	Synové Izraele včetně synů Leviho budou přinášet tyto obětní příspěvky z obilí, vína a oleje do komor, kde je uloženo náčiní svatyně a kde jsou i sloužící kněží, strážní a zpěváci. 
NEH.10.40	Dům svého Boha nebudeme zanedbávat.“ 
NEH.11.1	Vůdcové lidu se usadili v Jeruzalémě. Ostatní lid losoval: každého desátého vybrali, aby bydlel ve svatém městě Jeruzalémě, a zbylých devět zůstalo v ostatních městech. 
NEH.11.2	Lidé žehnali všem, kdo se sami nabídli, že budou bydlet v Jeruzalémě. 
NEH.11.3	Toto jsou přední obyvatelé provincie, kteří se usadili v Jeruzalémě. V judských městech přebýval každý na svém majetku, ve vlastních městečkách, Izrael, kněží, levité, chrámoví sluhové i synové služebníků Šalomounových. 
NEH.11.4	Někteří ze synů Judy a Benjamína se ale usadili v Jeruzalémě. 
NEH.11.4	Ze synů Judy: 
NEH.11.4	Atajáš, syn Uziáše, syna Zachariáše, syna Amariáše, syna Šefatiáše, syna Mahlalelova ze synů Perecových, 
NEH.11.5	a Maasejáš, syn Baruka, syna Kol-chozeho, syna Chazajáše, syna Adajáše, syna Jojariba, syna Zachariáše, syna Šílonského. 
NEH.11.6	Ze synů Perecových bydlelo v Jeruzalémě celkem 468 udatných mužů. 
NEH.11.7	Ze synů Benjamínových: 
NEH.11.7	Salu, syn Mešulama, syna Joedova, syna Pedajášova, syna Kolajášova, syna Maasejášova, syna Itielova, syna Ješajášova. 
NEH.11.8	Po něm Gabaj a Salaj, tedy 928 mužů. 
NEH.11.9	Jejich velitelem byl Joel, syn Zikriho. Druhým velitelem města byl Juda, syn Senuy. 
NEH.11.10	Z kněží: 
NEH.11.10	Jedajáš, syn Jojaribův, Jakin, 
NEH.11.11	Sarajáš, syn Chilkiáše, syna Mešulamova, syna Sádokova, syna Merajotova, syna Achitubova, správce Božího chrámu. 
NEH.11.12	Dále 822 jejich bratří, konajících službu v chrámu. Dále Adajáš, syn Jerochamův, syna Pelaliášova, syna Amciho, syna Zachariášova, syna Pašchurova, syna Malkiášova, 
NEH.11.13	a 242 jeho bratří, vůdců otcovských rodů. Dále Amašsaj, syn Azarela, syna Achzajova, syna Mešilemotova, syna Imerova. 
NEH.11.14	S ním
NEH.11.15	Z levitů: 
NEH.11.15	Šemajáš, syn Chašuba, syna Azrikamova, syna Chašabiášova, syna Buniho. 
NEH.11.16	Dva z předních levitů Šabetaj a Jozabad, zodpovědní za vnější záležitosti Božího chrámu. 
NEH.11.17	Vedoucí levita Mataniáš, syn Míky, syna Zabdiho, syna Asafova, který zahajoval chvály modlitbou. Dále Bakbukiáš, druhý po něm, a Abda, syn Šamuy, syna Galalova, syna Jedutunova. 
NEH.11.18	Celkem bylo ve svatém městě 284 levitů. 
NEH.11.19	Strážní: 
NEH.11.19	Akub, Talmon a 172 jejich bratrů, strážců bran. 
NEH.11.20	Ostatní Izraelci, kněží a levité bydleli každý na svém vlastnictví ve všech judských městech. 
NEH.11.21	Chrámoví sluhové pod vedením Cichy a Gišpy bydleli na Ofelu. 
NEH.11.22	Levité v Jeruzalémě byli pod vedením Uziho, syna Baniho, syna Chašabiášova, syna Mataniášova, syna Míkova ze synů Asafových, což byli zpěváci zodpovědní za službu Božího chrámu. 
NEH.11.23	Platil pro ně královský výnos určující den po dni, co mají zpěváci dělat. 
NEH.11.24	Petachiáš, syn Mešezabelův ze synů Zeracha, syna Judova, byl k ruce králi ve všech záležitostech lidu. 
NEH.11.25	Pokud jde o venkovské usedlosti, synové Judovi bydleli v Kirjat-arbě a jejích vesnicích, v Dibonu a jeho vesnicích, v Jekabceelu a jeho usedlostech, 
NEH.11.26	v Ješuovi, Moladě, Bet-peletu, 
NEH.11.27	Chacar-šualu, v Beer-šebě a jejích vesnicích, 
NEH.11.28	v Ciklagu, v Mekoně a jejích vesnicích, 
NEH.11.29	v En-rimonu, Coreji, Jarmutu, 
NEH.11.30	Zanoachu, v Adulamu a jeho usedlostech, v Lachiši a jeho polnostech, v Azece a jejích vesnicích. Sídlili od Beer-šeby až k údolí Hinom. 
NEH.11.31	Synové Benjamínovi byli v Gebě, Michmasu, Aji, v Bet-elu a jeho vesnicích, 
NEH.11.32	v Anatotu, Nobu, Ananji, 
NEH.11.33	v Chacoru, Rámě, Gitajimu, 
NEH.11.34	v Chadidu, Ceboimu, Nebalatu, 
NEH.11.35	v Lodu, Onu a v údolí řemeslníků. 
NEH.11.36	K Benjamínovi byly přičleněny také některé levitské oddíly z Judy. 
NEH.12.1	Toto jsou kněží a levité, kteří se navrátili se Zerubábelem, synem Šealtielovým a s Jošuou:
NEH.12.1	Serajáš, Jeremiáš, Ezdráš, 
NEH.12.2	Amariáš, Maluk, Chatuš, 
NEH.12.3	Šekaniáš, Rechum, Meremot, 
NEH.12.4	Ido, Gineton,
NEH.12.5	Mijamin, Mahadiáš, Bilga, 
NEH.12.6	Šemajáš a Jojarib, Jedajáš, 
NEH.12.7	Salu, Amok, Chilkiáš, Jedajáš – to jsou přední kněží a jejich bratři za dnů Jošuových. 
NEH.12.8	Dále levité: Ješua, Binui, Kadmiel, Šerebiáš, Juda, Mataniáš. Ten se svými bratry odpovídal za písně díkuvzdání. 
NEH.12.9	Jejich bratři Bakbukiáš a Uni během služeb stáli naproti nim. 
NEH.12.10	Jošua zplodil Joakima, 
NEH.12.10	Joakim zplodil Eliašiba, 
NEH.12.10	Eliašib zplodil Jojadu, 
NEH.12.11	Jojada zplodil Jonatana, 
NEH.12.11	Jonatan zplodil Jaduu. 
NEH.12.12	Toto byli vůdcové kněžských otcovských rodů za dnů Joakimových: 
NEH.12.12	v Serajášově rodu Merajáš, 
NEH.12.12	v Jeremiášově rodu Chananiáš, 
NEH.12.13	v Ezdrášově rodu Mešulam, 
NEH.12.13	v Amariášově rodu Jochanan, 
NEH.12.14	v Melukiho rodu Jonatan, 
NEH.12.14	v Šekaniášově
NEH.12.15	v Charimově rodu Adna, 
NEH.12.15	v Meremotově
NEH.12.16	v Idově rodu Zachariáš, 
NEH.12.16	v Ginetonově rodu Mešulam, 
NEH.12.17	v Abiášově rodu Zikri, 
NEH.12.17	v Minjaminově rodu, 
NEH.12.17	v Moadiášově rodu Piltaj, 
NEH.12.18	v Bilgově rodu Šamua, 
NEH.12.18	v Šemajášově rodu Jonatan, 
NEH.12.19	v Jojaribově rodu Matenaj, 
NEH.12.19	v Jedahiášově rodu Uzi, 
NEH.12.20	v Salajově rodu Kalaj, 
NEH.12.20	v Amokově rodu Eber, 
NEH.12.21	v Chilkiášově rodu Chašabiáš, 
NEH.12.21	v Jedahiášově rodu Netanel. 
NEH.12.22	Levité za dnů Eliašiba, Jojady, Jochanana a Jaduy v čele otcovských rodů jakož i kněží byli zapsáni během kralování Dareia Perského. 
NEH.12.23	Vůdcové levitských otcovských rodů jsou zapsáni v Knize letopisů až do doby Jochanana, syna Eliašibova. 
NEH.12.24	Přední levité: Chašabiáš, Šerebiáš, Ješua, syn Kadmielův, a jejich bratři, kteří podle příkazu Davida, muže Božího, měli chválit a vzdávat díky naproti nim střídavě sbor po sboru. 
NEH.12.25	Mataniáš i Bakbukiáš, Obadiáš, Mešulam, Talmon i Akub drželi stráž při branách a hlídky při skladech v branách. 
NEH.12.26	Ti působili za dnů Joakima, syna Jošuova, syna Jocadakova, a za dnů místodržitele Nehemiáše a učeného kněze Ezdráše. 
NEH.12.27	Když se posvěcovaly hradby Jeruzaléma, byli vyhledáni levité ze všech míst, kde bydleli, a byli přivedeni do Jeruzaléma, aby radostně oslavovali zasvěcení hradeb zpěvy díků a hraním na činely, lyry a citery. 
NEH.12.28	Zpěváci byli shromážděni ze širokého okolí Jeruzaléma – z netofských usedlostí, 
NEH.12.29	z Bet-gilgalu a z okolí Geby a Azmavetu. Zpěváci si totiž vystavěli usedlosti v okolí Jeruzaléma. 
NEH.12.30	Kněží a levité se očistili a očistili také lid, brány a hradby. 
NEH.12.31	Judské hodnostáře jsem vyvedl na hradby a postavil dva veliké děkovné průvody. Průvod na jih mířil po hradbách ke Hnojné bráně. 
NEH.12.32	Šel s nimi Hošajáš a polovina judských hodnostářů, 
NEH.12.33	Azariáš, Ezdráš a Mešulam, 
NEH.12.34	Juda, Benjamín, Šemajáš a Jeremiáš. 
NEH.12.35	Z kněžských synů s trubkami tu byl Zachariáš, syn Jonatana, syna Šemajášova, syna Mataniášova, syna Mikajášova, syna Zakurova, syna Asafova; 
NEH.12.36	a rovněž jeho bratři Šemajáš, Azarel, Milalaj, Gilalaj, Mahaj, Netanel, Juda a Chanani s hudebními nástroji Davida, muže Božího. V čele průvodu šel učenec Ezdráš. 
NEH.12.37	Prošli Studniční bránou naproti nim, stoupali po schodech Města Davidova vzhůru ke hradbám, podél Davidova paláce a na východ k Vodní bráně. 
NEH.12.38	Druhý děkovný průvod šel opačným směrem. Šel jsem s ním i já s polovinou lidu: po hradbě směrem k Pecné věži a až k Široké hradbě, 
NEH.12.39	podél Efraimovy brány přes Ješanskou bránu, přes Rybnou bránu, věž Chananel, věž Mea až k Ovčí bráně. Zastavili jsme u Strážní brány. 
NEH.12.40	Oba děkovné průvody stanuly na nádvoří Božího chrámu, také já a se mnou polovina hodnostářů 
NEH.12.41	a rovněž kněží: Eliakim, Maasejáš, Minjamin, Míka, Eljoenaj, Zachariáš a Chananiáš s trubkami, 
NEH.12.42	dále Maasejáš, Šemajáš, Eleazar, Uzi, Jochanan, Malkiáš, Elam a Ezer. Zpěváci pozvedli hlas, vedeni Jizrachiášem. 
NEH.12.43	Toho dne se obětovaly veliké oběti a všichni se radovali, neboť je Bůh rozveselil velikou radostí. Radovaly se i ženy a děti a jeruzalémské veselí se rozléhalo široko daleko. 
NEH.12.44	Toho dne byli ustanoveni muži zodpovědní za komory, pokladnice, obětiny, prvotiny a desátky, aby shromažďovali zákonné příděly obecních polností pro kněze a levity. Všechen Juda se radoval z toho, že kněží a levité byli postaveni do služby. 
NEH.12.45	Ti konali službu svému Bohu a dbali na očišťování podle příkazů Davida a jeho syna Šalomouna stejně jako zpěváci a strážní. 
NEH.12.46	(Již dávno, za dnů Davidových a Asafových, totiž byli ustanoveni vedoucí zpěváků, chval a díkůvzdání Bohu.) 
NEH.12.47	Všechen Izrael tedy za dnů Zerubábela a Nehemiáše odevzdával příspěvky na zpěváky a strážné, jak bylo stanoveno den po dni. Také levitům zasvěcovali odvody a levité zasvěcovali odvody synům Áronovým. 
NEH.13.1	Onoho dne se veřejně předčítalo z Knihy Mojžíšovy. Našlo se tam zapsáno: „Do Božího shromáždění nesmí vejít nikdo z Amonců ani z Moábců, 
NEH.13.2	protože synům Izraele nevyšli naproti s chlebem a vodou. Namísto toho si najali Balaáma, aby je proklel. Náš Bůh ale obrátil kletbu v požehnání.“
NEH.13.3	Jakmile ten zákon uslyšeli, vyloučili z Izraele všechny, kdo se mezi ně přimísili. 
NEH.13.4	Ještě předtím se ale kněz Eliašib, přidělený ke komorám chrámu našeho Boha, spříznil s Tobiášem 
NEH.13.5	a poskytl mu velikou komoru, kde předtím ukládali obětiny, kadidlo, nádoby a desátky z obilí, vína i oleje, předepsaného pro levity, zpěváky a strážné, jakož i obětiny pro kněze. 
NEH.13.6	V té době jsem nebyl v Jeruzalémě, protože jsem ve dvaatřicátém roce
NEH.13.7	a vrátil se do Jeruzaléma. Tehdy jsem se dozvěděl, jakou špatnost Eliašib provedl, když Tobiášovi poskytl komoru na nádvoří Božího chrámu. 
NEH.13.8	Nesmírně rozhněván jsem všechny Tobiášovy rodinné věci vyházel ven z komory. 
NEH.13.9	Pak jsem nařídil komory očistit a nechal tam nanosit věci Božího domu, obětiny a kadidlo. 
NEH.13.10	Také jsem zjistil, že se neodváděly příděly pro levity, takže se všichni levité i zpěváci konající bohoslužbu uchýlili ke svým polím. 
NEH.13.11	Vytkl jsem to hodnostářům. „Jak to že je zanedbáván Boží dům?!“ ptal jsem se. Povolal jsem je tedy zpět a poslal je na jejich místa. 
NEH.13.12	Všechen judský lid pak přinášel do pokladnic desátky z obilí, vína i oleje. 
NEH.13.13	Pokladnice jsem svěřil knězi Šelemiášovi, písaři Sádokovi a levitovi Pedajášovi a k ruce jsem jim dal Chanana, syna Zakurova, syna Mataniášova. Byli spolehliví lidé, a tak dostali za úkol rozdělovat příděly svým bratřím. 
NEH.13.14	Pamatuj za to na mě, Bože můj, a nevymaž mou oddanost, kterou jsem prokazoval domu svého Boha a jeho službám! 
NEH.13.15	V těch dnech jsem v Judsku viděl, jak v sobotu šlapou vinný lis, jak snášejí obilí na hromady, nakládají na osly a převážejí do Jeruzaléma víno, hrozny, fíky a všemožné náklady. Ještě téhož sobotního dne, kdy ty potraviny prodávali, jsem je varoval. 
NEH.13.16	Zdržovali se tam také Tyřané a přiváželi ryby a všemožné zboží, které v sobotu prodávali Židům přímo v Jeruzalémě. 
NEH.13.17	Vytýkal jsem to judské šlechtě. „Co to děláte za špatnost?!“ ptal jsem se jich. „Vždyť znesvěcujete sobotu! 
NEH.13.18	Právě tohle dělali vaši otcové, a náš Bůh pak na nás a na toto město dopustil všechno to zlo! Když poskvrňujete sobotu, znovu rozněcujete jeho hněv proti Izraeli!“ 
NEH.13.19	Když se tedy v jeruzalémských branách začínalo šeřit před sobotou, přikázal jsem, ať zavřou vrata. Zakázal jsem je otevírat, dokud neskončí sobota. Do bran jsem postavil některé ze svých mužů, aby se v sobotu nemohl přivážet náklad. 
NEH.13.20	Jednou nebo dvakrát museli obchodníci a prodavači veškerého zboží přenocovat venku před Jeruzalémem. 
NEH.13.21	Já jsem je ale varoval. „Co tady nocujete před hradbami?“ říkal jsem jim. „Ještě jednou, a vztáhnu na vás ruku!“ Od té doby už v sobotu nechodili. 
NEH.13.22	Levitům jsem nařídil, aby se očistili a přišli hlídat brány, aby sobotní den zůstal svatý. 
NEH.13.22	I za to na mě pamatuj, Bože můj, a ve své veliké lásce se slituj nade mnou. 
NEH.13.23	V té době jsem také viděl, jak si Židé berou ženy z Ašdodu a také Amonky a Moábky. 
NEH.13.24	Jejich děti místo židovsky mluvily napůl ašdodsky anebo jazyky ostatních národů. 
NEH.13.25	Vytýkal jsem jim to, zlořečil jim, některé muže jsem i bil a rval jim vlasy. Zapřísahal jsem je při Bohu: „Nedávejte své dcery jejich synům a nežeňte své syny ani sebe s jejich dcerami! 
NEH.13.26	Copak právě kvůli nim nezhřešil izraelský král Šalomoun?! Mezi tolika národy nebylo krále jako on – Boží miláček, jehož Bůh učinil králem celého Izraele. I jeho zavedly cizí ženy do hříchu.
NEH.13.27	Co teprve vás? Je neslýchané, abyste prováděli takovou hanebnost, zrazovali našeho Boha a ženili se s cizinkami!“ 
NEH.13.28	Jeden ze synů Jojady, syna velekněze Eliašiba, byl zetěm Sanbalata Choronského. Proto jsem ho vykázal ze své blízkosti. 
NEH.13.29	Pamatuj na ně, Bože můj, že poskvrnili kněžství a smlouvu kněžskou i levitskou. 
NEH.13.30	Tak jsem je očistil ode všeho cizího. Stanovil jsem kněžské i levitské služby, každému jeho úkol. 
NEH.13.31	Určil jsem také pravidelné dávky dřeva a prvotin. 
NEH.13.31	Pamatuj na mě, Bože můj, v dobrém. 
EST.1.1	Stalo se to za dnůkrále Xerxe,
EST.1.2	Xerxes toho času trůnil v královském sídelním paláci v Súsách. 
EST.1.3	Tehdy, třetího roku své vlády, uspořádal slavnost pro všechny své velmože a dvořany, mocné Peršany a Médy jakož i přítomné hodnostáře a představitele provincií. 
EST.1.4	Po dlouhých sto osmdesát dnů vystavoval na odiv bohatství a slávu své říše, přepych a nádheru svého majestátu. 
EST.1.5	Na závěr král vystrojil sedmidenní hostinu na nádvoří královské zámecké zahrady a pozval všechny vznešené i prosté, co jich jen bylo v královském sídle v Súsách. 
EST.1.6	Toho plátna bílého a modrého, na stříbrných tyčích šňůrami z kmentu a purpuru vázaného, těch sloupů z bělostného mramoru, těch lůžek zlatých i stříbrných na dláždění z porfyru, bělostného mramoru i perleti a drahých kamenů! 
EST.1.7	Královské víno teklo královsky štědře do zlatých číší, jedna číše za druhou a každá jiná. 
EST.1.8	Dle nařízení se pilo bez omezení; král nařídil všem dvorním služebníkům, ať každého obsluhují, co hrdlo ráčí. 
EST.1.9	Královna Vašti zatím v Xerxově královském paláci uspořádala hostinu pro ženy. 
EST.1.10	Sedmého dne si král Xerxes, rozjařen vínem, zavolal Mehumana, Bizta, Charbona, Bigta, Abagta, Zetara a Karkasa. Těmto sedmi eunuchům, kteří ho obsluhovali, 
EST.1.11	nařídil, ať před něj přivedou královnu Vašti v královské koruně, aby lidu i velmožům předvedl její krásu. A že to byla krasavice! 
EST.1.12	Když jí ale eunuchové vyřídili královský rozkaz, královna Vašti přijít odmítla. 
EST.1.12	Král se rozlítil, že hněvem jen hořel. 
EST.1.13	Poradil se však s mudrci znalými postupů (královské záležitosti se totiž řešily se všemi znalci práv a řádů; 
EST.1.14	nejblíže mu byli Karšena, Šetar, Admata, Taršiš, Meres, Marsena a Memuchan – sedm perských a médských velmožů, kteří měli přístup k samému králi a zaujímali přední místa v říši): 
EST.1.15	„Jak se má podle práva naložit s královnou Vašti za to, že neuposlechla Xerxův královský rozkaz, když za ní poslal eunuchy?“ 
EST.1.16	Slova se před králem a velmoži ujal Memuchan: „Královna Vašti se neprovinila jen proti králi, ale i proti všem velmožům a všem národům ve všech provinciích krále Xerxe. 
EST.1.17	Když se ta zpráva o královně donese všem ženám, přestanou si vážit svých manželů! Budou říkat: ‚Král Xerxes poslal pro královnu Vašti, a nepřišla!‘ 
EST.1.18	Ještě dnes se manželky perských a médských velmožů doslechnou zprávu o královně a začnou všem královským velmožům odmlouvat! Jako by nebylo dost nevážnosti a hádek! 
EST.1.19	Nechť král ráčí vydat královské slovo, jež bude zapsáno mezi práva perská a médská jako nepomíjivé, a sice že Vašti už nesmí přijít před krále Xerxe. Král si pak bude moci vybrat za královnu jinou, lepší. 
EST.1.20	A nechť král vydá výnos, který bude rozhlášen po celé jeho veliké říši: Všechny manželky ať ctí své manžely, vznešené i prosté!“ 
EST.1.21	Ta rada se králi i velmožům líbila. Král se zařídil podle Memuchanovy rady 
EST.1.22	a rozeslal listy do všech říšských provincií. Do každé jedné provincie vzkázal jejich vlastním písmem, každému národu jejich jazykem: „Každý muž ať je doma pánem a ať se mluví jeho jazykem!“ 
EST.2.1	Když bylo po všem a hněv krále Xerxe opadl, vzpomněl si na Vašti, na to, co provedla a jak se proti ní zakročilo. 
EST.2.2	Právě ho obsluhovali královští panoši a ti mu poradili: „Nechť se pro krále dají vyhledat krásné mladé panny. 
EST.2.3	Král nechť ve všech provinciích své říše ustanoví úředníky, kteří shromáždí všechny krásné mladé panny do harému paláce v Súsách, kde o ně bude pečovat královský eunuch Hegaj, strážce žen, a nechá je krášlit. 
EST.2.4	Dívka, která se králi zalíbí, nechť se pak stane královnou namísto Vašti.“ To se králi zalíbilo a učinil tak. 
EST.2.5	V paláci v Súsách byl jeden Žid. Jmenoval se Mordechaj, syn Jaira, syna Šimeiho, syna Kišova z pokolení Benjamínova. 
EST.2.6	Ten byl spolu s dalšími vyhnanci vystěhován z Jeruzaléma s judským králem Jekoniášem,
EST.2.7	Mordechaj se staral o dceru svého strýce Hadasu zvanou Ester, protože neměla otce ani matku. Byla to velmi krásná, překrásná dívka. Po smrti jejího otce i matky ji Mordechaj přijal za vlastní. 
