GEN.1.1	Na počátku
JER.44.24	Potom Jeremjáš všemu lidu a všem ženám řekl: Slyšte Hospodinovo slovo, všichni Judejci,
JER.44.25	Toto praví Hospodin zástupů, Bůh Izraele: Vy i vaše ženy jste svými ústy vyslovili 
JER.44.26	Proto slyšte Hospodinovo slovo, všichni Judejci,
JER.44.27	Hle, bdím nad nimi ke zlu a ne k dobru. Všichni Judejci,
JER.44.28	 unikli meči, se z egyptské země 
JER.44.29	A toto vám 
JER.44.30	Toto praví Hospodin: Hle, dávám faraona Chofru,
JER.45.1	Slovo, které mluvil prorok Jeremjáš k Bárukovi, synu Nerijášovu, když zapisoval
JER.45.2	Toto praví Hospodin, Bůh Izraele, o tobě, Báruku: 
JER.45.3	Říkáš: Běda mi, neboť Hospodin přidal k mé bolesti žal.
JER.45.4	Řekni mu toto: Takto praví Hospodin: Hle, co jsem vystavěl, bořím, co jsem zasadil, vyvracím -- celou tuto zemi. 
JER.45.5	Hledáš
JER.46.1	Hospodinovo
JER.46.2	O Egyptu; proti vojsku faraona Néka, egyptského krále, které bylo u řeky Eufratu v Karkemíši 
JER.46.3	Připravte malý
JER.46.4	Zapřáhněte koně a nasedněte, jezdci!
JER.46.5	Proč vidím, 
JER.46.6	Rychlonohý neuteče,
JER.46.7	Kdo to vystupuje jako Nil,
JER.46.8	Egypt vystupuje jako Nil, jako řeky, 
JER.46.9	Nasedněte 
JER.46.10	Tento den patří Panovníku, Hospodinu zástupů, 
JER.46.11	Vystup 
JER.46.12	Národy uslyšely
JER.46.13	Slovo, které promluvil Hospodin k proroku Jeremjášovi o 
JER.46.14	Oznamte v Egyptě, zvěstujte v Migdólu, zvěstujte v Memfidě a v Tachpanchésu! Řekněte: Postav se a připrav se, protože meč požírá tvé okolí.
JER.46.15	Proč utekl
JER.46.16	Způsobil, že mnozí klopýtli, jeden padal přes druhého. Říkali: Vstaňme a vraťme se ke svému lidu a do své rodné země před krutým mečem. 
JER.46.17	Faraona, egyptského krále, nazvěte:
JER.46.18	 jsem živ, 
JER.46.19	Sbal
JER.46.20	Egypt 
JER.46.21	I jeho žoldnéři
JER.46.22	 zvuk jako prchající had,
JER.46.23	Pokácejí jeho les, 
JER.46.24	Egyptská dcera je zahanbena, je vydána do ruky lidu 
JER.46.25	Hospodin zástupů, Bůh Izraele, praví: Hle, navštívím Amóna
JER.46.26	Vydám je do ruky těch, kdo usilují 
JER.46.27	Ty však se neboj, můj otroku Jákobe, a neděs se, Izraeli, protože hle, já tě zachráním z dalekých končin a tvé potomstvo ze země jejich zajetí. Jákob se navrátí, bude mít klid, bude bezstarostný a nikdo 
JER.46.28	Ty se neboj, můj otroku Jákobe, 
JER.47.1	Hospodinovo slovo, které se stalo k proroku Jeremjášovi o Pelištejcích, dříve nežli faraon pobil
JER.47.2	Toto praví Hospodin: Hle, voda vystupuje
JER.47.3	Pro zvuk dusotu kopyt jeho hřebců,
JER.47.4	kvůli dni, který přichází zničit všechny Pelištejce, vyhladit Týru a Sidónu každého zbylého pomocníka, protože Hospodin zničí Pelištejce, ostatek ostrova Kaftór.
JER.47.5	Gaza oplešatěla,
JER.47.6	Ach, Hospodinův meči! Jak dlouho nebudeš mít klid? Stáhni se do pochvy, zastav a ustrň! 
JER.47.7	Jak 
JER.48.1	O Moábu.
JER.48.2	Už ne
JER.48.3	Slyš! Volání z Chóronajimu, zkáza a velká pohroma. 
JER.48.4	Moáb je rozdrcen! Rozhlašují úpěnlivým křikem jeho služebníci.
JER.48.5	 luchítském svahu vystupují
JER.48.6	Utečte, zachraňte své duše a budete jako jalovec
JER.48.7	Protože jsi spoléhal na své statky
JER.48.8	Ničitel přijde do
JER.48.9	Postavte Moábovi náhrobní kámen,
JER.48.10	Proklet je 
JER.48.11	Od svého mládí byl Moáb bezstarostný, byl usazen 
JER.48.12	Proto hle, přicházejí dny, 
JER.48.13	Moáb se bude stydět za Kemóše, tak jako se dům izraelský styděl
JER.48.14	Jak to, že říkáte: Jsme hrdinové, udatní bojovníci? 
JER.48.15	Moáb je zničen, 
JER.48.16	Moábova pohroma přijde brzy; jeho zlo velmi pospíchá. 
JER.48.17	Naříkej nad ním celé jeho okolí,
JER.48.18	Sestup ze slávy a usaď se ve vyprahlém 
JER.48.19	Stůj na cestě a vyhlížej, obyvatelko Aróeru! Vyptávej se 
JER.48.20	Moáb se stydí, protože je rozdrcen.
JER.48.21	Soud přišel na Rovinu -- na Cholón, na Jahas i na Méfaat, 
JER.48.22	na Díbón, na Nebó, na Bétdiblatajim, 
JER.48.23	na Kirjatajim, na Bétgamúl, na Bétmeón, 
JER.48.24	na Kerijót, na Bosru i na všechna vzdálená i blízká města moábské země. 
JER.48.25	Moábův roh byl useknut a jeho paže
JER.48.26	Opijte ho, protože se vyvyšoval na Hospodina. 
JER.48.27	Cožpak se ti nestal Izrael posměchem? Cožpak byl nalezen mezi zloději, že pokaždé, 
JER.48.28	Opusťte města, usídlete se na skále, obyvatelé Moábu! Buďte jako holubice, 
JER.48.29	Slyšeli
JER.48.30	Já znám jeho nadutost,
JER.48.31	Proto naříkám nad Moábem, volám o pomoc pro celý Moáb, vzdychám
JER.48.32	Víc než 
JER.48.33	Vzaty byly radost i jásání z ovocného sadu, z moábské země. Způsobil jsem, že zmizelo víno z lisů, 
JER.48.34	Úpěnlivý křik z Chešbónu 
JER.48.35	Způsobím, 
JER.48.36	Proto mé srdce vzlyká nad Moábem jako flétna, mé srdce vzlyká jako flétna nad muži Kircheresu, protože úspory,
JER.48.37	Vždyť každá hlava je lysá,
JER.48.38	Na všech Moábových střechách a na jeho náměstích 
JER.48.39	Jak je rozdrcen, naříkají! Jak Moáb obrací záda 
JER.48.40	Neboť toto praví Hospodin: Hle, poletí jako orel
JER.48.41	Kerijót
JER.48.42	Moáb bude zničen jako národ,
JER.48.43	Strach, propast a past
JER.48.44	Kdo uteče strachem, padne do propasti a kdo vyleze z propasti, bude polapen do pasti,
JER.48.45	Vysílení utečenci zůstali stát ve stínu Chešbónu. Avšak z Chešbónu vyšlehl oheň a z domu
JER.48.46	Běda tobě, Moábe! Kemóšův lid zahynul, neboť tvoji synové byli vzati do zajetí a tvoje dcery do vyhnanství. 
JER.48.47	Ale v posledních dnech Moábův úděl změním, 
JER.49.1	O synech Amónových. Toto praví Hospodin: Cožpak Izrael nemá syny? Copak nemá dědice? Proč Milkóm
JER.49.2	Proto hle, přicházejí dny, 
JER.49.3	Naříkej Chešbóne, protože Aj je zničen! Křičte, dcery
JER.49.4	Proč se chlubíš údolími, svým oplývajícím
JER.49.5	Hle, přivedu na tebe strach z celého tvého okolí,
JER.49.6	Potom však změním úděl synů Amónových, 
JER.49.7	O Edómu.
JER.49.8	Utečte, obraťte se a usídlete se v hlubinách, obyvatelé Dedánu!
JER.49.9	Kdyby na tebe přišli česači hroznů, 
JER.49.10	Neboť já jsem obnažil Ezaua, odhalil jsem jeho skrýše, nebude se moci ukrýt. Jeho potomstvo je zničeno, jeho bratři i jeho sousedi -- 
JER.49.11	Zanech svoje sirotky, já 
JER.49.12	Neboť toto praví Hospodin: Hle, ti, kteří pít kalich správně neměli,
JER.49.13	Vždyť jsem přísahal při sobě, 
JER.49.14	Slyšel jsem zprávu od Hospodina, vyslanec
JER.49.15	Neboť hle, učiním tě malým mezi národy, opovrženým mezi lidmi. 
JER.49.16	Hrůza,
JER.49.17	Edóm se stane děsivou 
JER.49.18	Jako 
JER.49.19	Hle, vystupuje jako lev z jordánské houštiny na stále 
JER.49.20	Proto slyšte Hospodinovo rozhodnutí,
JER.49.21	Zvukem jejich pádu se třese země.
JER.49.22	Hle, vzlétne jako orel, poletí a roztáhne svá křídla nad Bosrou.
JER.49.23	O Damašku.
JER.49.24	Damašek ochabl,
JER.49.25	Jak je opuštěné
JER.49.26	Proto jeho mládenci padnou na jeho náměstích a v onen den všichni bojovníci zahynou,
JER.49.27	Zapálím oheň na hradbách Damašku a 
JER.49.28	O Kédaru
JER.49.29	Vezmou jejich stany a jejich stáda, jejich stanové plachty a všechny jejich nástroje; jejich velbloudy odvedou pro sebe a budou na ně volat: Všude kolem hrůza. 
JER.49.30	Utečte, rychle prchněte, usídlete se v hlubinách, obyvatelé Chasóru, 
JER.49.31	Vstaňte, vytáhněte proti národu, který bezstarostně bydlí v bezpečí, 
JER.49.32	Jejich velbloudi se stanou kořistí, stáda jejich dobytka lupem. Rozptýlím je do všech větrů, 
JER.49.33	Chasór se stane doupětem šakalů, zcela opuštěným 
JER.49.34	Hospodinovo slovo, které se stalo k proroku Jeremjášovi o Élamu
JER.49.35	Toto praví Hospodin zástupů: Hle, zlomím luk Élamu, prvotinu jeho síly.
JER.49.36	Přivedu proti Élamu čtyři větry
JER.49.37	Roztřesu Élam strachem před jejich nepřáteli, před těmi, kdo usilují 
JER.49.38	Postavím v Élamu svůj trůn a odstraním odtamtud krále i knížata, 
JER.49.39	Ale v posledních dnech se stane, 
JER.50.1	Slovo, které mluvil Hospodin o Babylonu, o chaldejské zemi, prostřednictvím proroka Jeremjáše. 
JER.50.2	Oznamte a rozhlaste 
JER.50.3	Protože ze severu
JER.50.4	V oněch dnech a v onom čase, 
JER.50.5	Cestou se budou vyptávat
JER.50.6	Můj lid byl ztracené stádo.
JER.50.7	Všichni, kdo je našli, je požírali a jejich protivníci říkali: Neproviníme se, protože hřešili proti Hospodinu, pravé
JER.50.8	Prchněte z Babylona, vyjděte z chaldejské země a buďte jako beran
JER.50.9	Protože hle, podnítím a přivedu proti Babylonu shromáždění velkých národů ze severní země. Sešikují se proti němu, bude odtamtud dobyt. Jejich šípy 
JER.50.10	Chaldejsko se stane kořistí; všichni jeho kořistníci
JER.50.11	Ačkoliv se radujete, ačkoliv jásáte, pustošitelé mého dědictví,
JER.50.12	vaše matka
JER.50.13	Kvůli Hospodinovu hněvu ne
JER.50.14	Sešikujte se proti Babylonu ze všech stran, všichni, kdo napínáte luk,
JER.50.15	Křičte proti němu ze všech stran! Vzdal
JER.50.16	Vyhlaďte z Babylona rozsévače i toho, kdo nosí srp v čas žně! Před krutým mečem se každý vrátí ke svému lidu a každý uteče do své země.
JER.50.17	Izrael 
JER.50.18	Proto takto praví Hospodin zástupů, Bůh Izraele: Hle, navštívím babylonského krále a jeho zemi tak jako jsem navštívil asyrského krále. 
JER.50.19	Přivedu Izrael zpět na jeho pastvinu a bude se pást 
JER.50.20	V oněch dnech a v onom čase, 
JER.50.21	Proti
JER.50.22	V zemi 
JER.50.23	Jak je rozbito a rozdrceno kladivo celé země! Jak se Babylon stal děsivou 
JER.50.24	Nastražil jsem na tebe past a byl jsi polapen, Babylone, ani jsi 
JER.50.25	Hospodin otevřel svoji zbrojnici a vybral zbraně
JER.50.26	Přitáhněte proti němu ze 
JER.50.27	Pobijte všechny jeho býčky,
JER.50.28	Slyš! Utečenci a uprchlíci z babylonské země 
JER.50.29	Svolejte proti Babylonu lukostřelce,
JER.50.30	Proto jeho mládenci padnou na jeho náměstích a všichni jeho bojovníci v onen den zahynou, 
JER.50.31	Hle, jsem proti tobě, domýšlivče, 
JER.50.32	Domýšlivec klopýtne a padne a ne
JER.50.33	Toto praví Hospodin zástupů: Synové izraelští jsou utlačováni spolu se syny judskými. Všichni, kdo je odvedli do zajetí, je pevně drželi 
JER.50.34	Jejich Vykupitel 
JER.50.35	Meč proti Chaldejcům, 
JER.50.36	Meč proti žvanilům
JER.50.37	Meč proti jejich
JER.50.38	Sucho
JER.50.39	Proto 
JER.50.40	Jako když Bůh vyvrátil Sodomu, Gomoru a jejich sousední 
JER.50.41	Hle, ze severu přichází lid, velký národ, mnozí králové se dávají do pohybu z nejvzdálenějších částí země. 
JER.50.42	Chopí se luku a srpáče, jsou krutí a nebudou mít slitování. Jejich křik bude burácet jako moře. Připraveni jako muž do boje pojedou na koních proti tobě, babylonská dcero. 
JER.50.43	Babylonský král 
JER.50.44	Hle, vystupuje jako lev z jordánské houštiny na stále 
JER.50.45	Proto slyšte Hospodinovo rozhodnutí, které učinil o Babylonu, jeho plán, který vymýšlí proti chaldejské zemi: Jistě je budou vláčet, 
JER.50.46	Voláním: Babylon je dobyt! Třese se země. 
JER.51.1	Toto praví Hospodin: Hle, vzbudím proti Babylonu a proti obyvatelům LébKamaje
JER.51.2	Pošlu do Babylona cizince,
JER.51.3	Střelec 
JER.51.4	V chaldejské zemi budou padat pobití, probodení na ulicích 
JER.51.5	Neboť Izrael ani Juda ne
JER.51.6	Utečte z Babylona, zachraňte si každý svou duši, ať nezahynete pro jeho viny,
JER.51.7	Babylon 
JER.51.8	Babylon náhle padl,
JER.51.9	Léčili jsme Babylon, ale nebyl uzdraven. Opusťte jej a pojďme každý do své země, protože jeho soud dosáhl k nebesům,
JER.51.10	Hospodin vyvedl 
JER.51.11	Naostřete šípy, uchopte štíty!
JER.51.12	Pozdvihněte korouhev proti babylonským hradbám, zesilte stráž, ustanovte hlídky, připravte zálohy,
JER.51.13	Ty, který bydlíš na velkých vodách, 
JER.51.14	Hospodin zástupů přísahal při sobě samém:
JER.51.15	Svou silou učinil zemi, svou moudrostí založil svět a svou rozumností roztáhl nebesa. 
JER.51.16	Když vydá hlas, bouří se voda v nebesích, dává vystupovat mlze z končin země, působí blesky s deštěm, ze svých skladů vyvádí vítr. 
JER.51.17	Všichni lidé jsou hloupí 
JER.51.18	Jsou nicotností, směšným dílem, v čase svého navštívení zahynou. 
JER.51.19	Podíl Jákobův jim není podobný, neboť on 
JER.51.20	Jsi
JER.51.21	Skrze tebe roztříštím koně i jeho
JER.51.22	Skrze tebe roztříštím muže i ženu, skrze tebe roztříštím starce i chlapce, skrze tebe roztříštím mládence i pannu. 
JER.51.23	Skrze tebe roztříštím pastýře i jeho stádo, skrze tebe roztříštím oráče i jeho spřežení, skrze tebe roztříštím místodržitele i správce.
JER.51.24	Před vašima očima odplatím Babylonu a všem obyvatelům Chaldejska za všechno jejich zlo, které páchali na Sijónu, 
JER.51.25	Hle, jsem proti tobě, horo ničiteli, 
JER.51.26	Nevezmou z tebe úhelný kámen
JER.51.27	Pozdvihněte korouhev v zemi, trubte 
JER.51.28	Nachystejte 
JER.51.29	Země se třese
JER.51.30	Babylonští hrdinové přestali bojovat, sedí v pevnostech; jejich síla vyschla, stali se 
JER.51.31	Běžec běží, aby potkal 
JER.51.32	Brody jsou obsazeny, bašty spáleny ohněm a bojovníci se děsí.
JER.51.33	Neboť toto praví Hospodin zástupů, Bůh Izraele: Dcera babylonská 
JER.51.34	Babylonský král Nebúkadnesar mě požíral 
JER.51.35	Násilí 
JER.51.36	Proto takto praví Hospodin: Hle, povedu tvůj spor a vykonám tvou pomstu. Vysuším jeho moře a nechám vyschnout jeho pramen. 
JER.51.37	Babylon se stane hromadou 
JER.51.38	Společně budou řvát jako mladí lvi, kňučet jako lví mláďata. 
JER.51.39	Až se rozpálí, připravím jim hostinu, opiji je do bujarosti; pak usnou věčným spánkem a neprobudí se, 
JER.51.40	Povedu je na porážku jako jehňata, jako berany s kozly. 
JER.51.41	Jak byl Šéšak polapen a chvála celé země byla dobyta! Jak se Babylon stal děsivou 
JER.51.42	Na Babylon vystoupilo moře, byl přikryt množstvím
JER.51.43	Jeho města se stala děsivou 
JER.51.44	Navštívím Béla v Babyloně a vyberu z jeho úst to, co pozřel. Nebudou již k němu proudit národy. Také hradby Babylona padnou. 
JER.51.45	Vyjděte z něho, můj lide! Zachraňte každý svou duši před Hospodinovým planoucím hněvem. 
JER.51.46	Vaše srdce ať neochabne, 
JER.51.47	Proto hle, přicházejí dny, kdy modly Babylona navštívím 
JER.51.48	Nebesa i země a všechno, co 
JER.51.49	Také Babylon musí padnout 
JER.51.50	Utečenci před mečem, jděte, nestůjte! Připomínejte si z daleka Hospodina, na vaši mysl 
JER.51.51	Stydíme se, protože jsme slyšeli 
JER.51.52	Proto hle, přicházejí dny, 
JER.51.53	I kdyby Babylon vystoupil 
JER.51.54	Slyš! Úpěnlivý křik z Babylona a velká zkáza z chaldejské země! 
JER.51.55	Neboť Hospodin ničí Babylon a tiší jeho halas,
JER.51.56	Neboť na něho, na Babylon, přišel ničitel. Jeho hrdinové jsou polapeni, jejich luky jsou zlomeny, protože Hospodin 
JER.51.57	Opiji jeho knížata i jeho mudrce, jeho místodržitele, jeho správce a jeho hrdiny; pak usnou věčným spánkem a neprobudí se, 
JER.51.58	Toto praví Hospodin zástupů: Široké hradby Babylona budou zcela zbořeny, jeho vysoké brány budou spáleny ohněm. Národy se namáhají zbytečně,
JER.51.59	Slovo, které přikázal prorok Jeremjáš Serajášovi, synu Nerijášovu, vnuku Machsejášovu, když šel s judským králem Sidkijášem 
JER.51.60	Jeremjáš zapsal všechno zlo, které mělo přijít na Babylon, do jedné knihy, 
JER.51.61	A Jeremjáš řekl Serajášovi: Až přijdeš do Babylona, hleď, abys přečetl všechna tato slova. 
JER.51.62	Řekni: Hospodine, ty jsi promluvil proti tomuto místu, že ho vyhladíš, 
JER.51.63	Až dočteš tuto knihu, přivaž k ní kámen, hoď ji doprostřed Eufratu 
JER.51.64	a řekni: Takto klesne Babylon a nepovstane kvůli zlu, které na něj přivedu. Unaví se.
JER.52.1	Sidkijášovi 
JER.52.2	Páchal to, co je zlé v Hospodinových očích,
JER.52.3	Neboť kvůli Hospodinovu hněvu se v Jeruzalémě a 
JER.52.4	V devátém roce jeho kralování, v desátém měsíci, desátého 
JER.52.5	Město zůstalo v obležení až do jedenáctého roku 
JER.52.6	Ve čtvrtém měsíci, devátého 
JER.52.7	byly 
JER.52.8	Chaldejské vojsko pronásledovalo krále a dostihlo Sidkijáše na jerišských pustinách; celé jeho vojsko se od něj rozprchlo. 
JER.52.9	Krále chytili a přivedli ho k babylonskému králi do Ribly v zemi Chamátu. 
JER.52.10	Babylonský král pobil Sidkijášovy syny před jeho zraky a také pobil v Rible všechna judská knížata. 
JER.52.11	Oslepil Sidkijášovy oči, svázal ho bronzovými okovy 
JER.52.12	V pátém měsíci, desátého 
JER.52.13	Spálil Hospodinův dům i královský palác, všechny jeruzalémské domy; každý velký
JER.52.14	Celé chaldejské vojsko, které 
JER.52.15	 z chudých lidí, zbytek lidu, který ve městě zůstal, i přeběhlíky, kteří přeběhli k babylonskému králi, a zbytek řemeslníků velitel tělesné stráže Nebúzaradán odvedl. 
JER.52.16	Ale 
JER.52.17	Bronzové sloupy, které 
JER.52.18	Vzali hrnce, lopaty, nůžky na knoty, misky, kadidlové pánvičky a všechny bronzové nádoby, s nimiž konali bohoslužbu. 
JER.52.19	Velitel tělesné stráže vzal i číše, pánvičky na uhlíky, misky, hrnce, svícny, kadidlové pánvičky a obětní misky; co 
JER.52.20	Dva sloupy, jedno moře, dvanáct bronzových býků, kteří 
JER.52.21	 sloupů 
JER.52.22	 na něm bronzová hlavice; výška jedné hlavice 
JER.52.23	Granátových jablek bylo po stranách devadesát šest; všech granátových jablek kolem mřížování 
JER.52.24	Velitel tělesné stráže vzal vrchního kněze Serajáše, druhého kněze Sefanjáše a tři strážce prahu. 
JER.52.25	Z města vzal jednoho dvorního úředníka, který byl dohlížitelem nad bojovníky, a sedm mužů z těch, kteří bývali 
JER.52.26	Velitel tělesné stráže Nebúzaradán je pak vzal a předvedl je k babylonskému králi do Ribly. 
JER.52.27	Babylonský král je pobil a usmrtil je v Rible v zemi Chamátu. Tak byl Juda odveden ze své země.
JER.52.28	Toto 
JER.52.29	v osmnáctém
JER.52.30	Ve dvacátém
JER.52.31	V třicátém sedmém roce vyhnanství judského krále Jójakína, ve dvanáctém měsíci, dvacátého pátého
JER.52.32	Mluvil s ním laskavě
JER.52.33	 svlékl
JER.52.34	Jeho zaopatření,
LAM.1.1	Jak
LAM.1.2	V noci hořce pláče a slzy jí 
LAM.1.3	Juda
LAM.1.4	Cesty 
LAM.1.5	Jeho protivníci
LAM.1.6	Od dcery sijónské
LAM.1.7	Jeruzalém vzpomíná 
LAM.1.8	Jeruzalémská 
LAM.1.9	Na jejích sukních 
LAM.1.10	Protivník vztáhl svou ruku na všechny její vzácnosti, ano, viděla pohanské národy, 
LAM.1.11	Všechen její lid vzdychá, hledají
LAM.1.12	 ničím pro vás všechny, 
LAM.1.13	Z výšiny poslal oheň do mých kostí a opanoval je. Rozprostřel síť pro mé nohy, obrátil mě zpět. Učinil 
LAM.1.14	Má přestoupení jsou svázána 
LAM.1.15	Panovník zavrhl všechny mé siláky v mém středu, svolal proti mně shromáždění, aby rozdrtil mé mládence. 
LAM.1.16	Nad tím pláču, 
LAM.1.17	 sijónská rozhazuje rukama, nemá utěšitele. Hospodin přikazuje o Jákobovi, 
LAM.1.18	Hospodin je spravedlivý,
LAM.1.19	Volala jsem své milence, 
LAM.1.20	Hospodine, pohleď, neboť je mi úzko, mé nitro vře; srdce se ve mně
LAM.1.21	Slyšeli, že vzdychám, nemám utěšitele, všichni moji nepřátelé slyšeli 
LAM.1.22	Všechno jejich zlo 
LAM.2.1	Jak Panovník přikryl
LAM.2.2	Panovník pohltil bez soucitu všechny Jákobovy příbytky,
LAM.2.3	Usekl v planoucím hněvu všechny rohy
LAM.2.4	Napjal svůj luk jako nepřítel, pozvedl svou pravici; jako protivník zabil
LAM.2.5	Panovník se stal nepřítelem, pohltil Izrael, pohltil všechny jeho paláce, zničil jeho pevnosti, rozmnožil dceři
LAM.2.6	Jednal 
LAM.2.7	Panovník odvrhl svůj oltář, opustil svou svatyni, do ruky nepřítele vydal hradby jeho paláců. Pozvedli hlas
LAM.2.8	Hospodin se rozhodl zničit hradby dcery sijónské, natáhl 
LAM.2.9	Její brány se ponořily
LAM.2.10	Starší dcery sijónské sedí na zemi, mlčí. Házely si prach na hlavu, přepásaly se pytlovinou. Jeruzalémské panny svěsily hlavu k zemi.
LAM.2.11	Zrak mi slábne
LAM.2.12	Svým matkám říkají: Kde 
LAM.2.13	Jak 
LAM.2.14	Tvoji proroci pro tebe viděli klam a nesmysly; neodhalili tvoji vinu, aby změnili tvůj úděl. Viděli pro tebe klamné a svůdné
LAM.2.15	Všichni, kdo procházejí kolem, nad tebou tleskají rukama; pošklebují se a potřásají hlavou nad jeruzalémskou dcerou: To 
LAM.2.16	Všichni
LAM.2.17	Hospodin učinil to, co měl v úmyslu, naplnil své slovo, co přikázal od dávných časů, zbořil a neměl soucit. Dal nepříteli radovat se nad tebou, vyvýšil roh tvého protivníka.
LAM.2.18	Jejich srdce křičelo
LAM.2.19	Povstaň, křič v noci, na počátku nočních hlídek!
LAM.2.20	Podívej
LAM.2.21	Na zemi 
LAM.2.22	Svolal jsi jako 
LAM.3.1	Já 
LAM.3.2	Hnal
LAM.3.3	Jen proti mně obrací znovu a znovu svou ruku, celý den.
LAM.3.4	Nechal chřadnout mé tělo a mou kůži, rozlámal mé kosti. 
LAM.3.5	Oblehl
LAM.3.6	Způsobil, že bydlím v temnotách
LAM.3.7	Zazdil mě, abych ne
LAM.3.8	I když volám a křičím o pomoc, zadržuje
LAM.3.9	Moje cesty zazdil tesanými kameny, zkazil
LAM.3.10	Je pro mě 
LAM.3.11	Odvlekl mě 
LAM.3.12	Napjal svůj luk a učinil mě terčem pro šíp.
LAM.3.13	Střelil do mého nitra
LAM.3.14	Stal jsem se posměchem všemu svému lidu,
LAM.3.15	Nasytil mě hořkostí,
LAM.3.16	Moje zuby rozdrtil štěrkem, přimáčkl mě do popela. 
LAM.3.17	Má duše byla zbavena pokoje,
LAM.3.18	Takže jsem řekl: Je pryč
LAM.3.19	Pamatuj 
LAM.3.20	Má duše 
LAM.3.21	To si připomínám v mysli,
LAM.3.22	 Hospodinovo milosrdenství,
LAM.3.23	 nová 
LAM.3.24	Mým podílem
LAM.3.25	Hospodin 
LAM.3.26	 dobré, aby 
LAM.3.27	Pro muže 
LAM.3.28	 sedí o samotě a mlčí, když 
LAM.3.29	 položí svá ústa do prachu, snad je 
LAM.3.30	 nastaví tvář tomu, kdo ho bije, 
LAM.3.31	Neboť Panovník neodvrhne navěky; 
LAM.3.32	neboť jestliže sklíčil, slituje se podle svého hojného milosrdenství. 
LAM.3.33	Neboť ne z vlastního rozmaru
LAM.3.34	Srazit pod nohy všechny vězně země, 
LAM.3.35	převracet právo muže před tváří Nejvyššího, 
LAM.3.36	podvádět člověka při jeho sporu, 
LAM.3.37	 někdo, kdo
LAM.3.38	 zlé 
LAM.3.39	Co si 
LAM.3.40	Prozkoumejme svoje cesty, vyzpytujme 
LAM.3.41	Pozvedněme svoje srdce
LAM.3.42	Bouřili jsme se a byli vzpurní 
LAM.3.43	Zahalil ses hněvem a stíhal jsi nás, zabíjel jsi 
LAM.3.44	Zahalil ses oblakem, aby nepronikla 
LAM.3.45	Učinil jsi nás smetím a odpadem
LAM.3.46	Všichni naši nepřátelé si na nás otvírali ústa. 
LAM.3.47	Přišel na nás strach a propast, zpustošení a zkáza. 
LAM.3.48	 mých očí plynou proudy vody nad zkázou dcery mého lidu.
LAM.3.49	Moje oči vylévají 
LAM.3.50	dokud Hospodin 
LAM.3.51	Moje oči
LAM.3.52	Moji nepřátelé mě bezdůvodně lovili
LAM.3.53	Snažili se ukončit můj život v cisterně a hodili na mě kamení. 
LAM.3.54	Na mou hlavu natekla voda. Řekl jsem: Jsem ztracen.
LAM.3.55	Ze dna cisterny jsem vzýval
LAM.3.56	Uslyšel jsi můj hlas: Nezavírej své ucho před mojí 
LAM.3.57	Přiblížil ses v den, 
LAM.3.58	Vedl jsi, Panovníku, spory mé duše, vykoupil jsi můj život. 
LAM.3.59	Viděl jsi, Hospodine, mně 
LAM.3.60	Viděl jsi všechnu jejich pomstu, všechny jejich plány proti mně.
LAM.3.61	Slyšel jsi jejich hanění, Hospodine, všechny jejich plány proti mně. 
LAM.3.62	Slova
LAM.3.63	Pohleď, 
LAM.3.64	Odplať jim, Hospodine, 
LAM.3.65	Dej jim zatvrzelé srdce, 
LAM.3.66	Stíhej 
LAM.4.1	Jak zčernalo
LAM.4.2	Vzácní synové Sijónu, vážení s ryzím zlatem, jak to, že jsou 
LAM.4.3	I šakalové obnažují prs 
LAM.4.4	Jazyk kojence přilnul žízní k patru; děti se dožadují chleba, nikdo jim 
LAM.4.5	Ti, kdo jídali lahůdky,
LAM.4.6	Vina
LAM.4.7	Její nazíři
LAM.4.8	 je jejich vzezření temnější nežli saze,
LAM.4.9	Lépe 
LAM.4.10	Ruce soucitných žen vařily svoje děti; staly se jejich jídlem při zkáze dcery mého lidu.
LAM.4.11	Hospodin dovršil
LAM.4.12	Králové země ani všichni obyvatelé světa 
LAM.4.13	 pro hříchy jeho proroků 
LAM.4.14	 slepí se potáceli po ulicích, znečištění krví, takže se 
LAM.4.15	Ustupte!
LAM.4.16	Hospodinova tvář je rozdělila,
LAM.4.17	Ještě nám zrak slábne 
LAM.4.18	Sledovali
LAM.4.19	Naši pronásledovatelé byli rychlejší nežli nebeští orlové. Honili nás na horách, v pustině na nás číhali.
LAM.4.20	Dech našeho života,
LAM.4.21	Jásej a raduj se, dcero edómská, která bydlíš v zemi Úsu! I k tobě přijde kalich, opiješ se a obnažíš.
LAM.4.22	Skončil 
LAM.5.1	Pamatuj,
LAM.5.2	Naše dědictví
LAM.5.3	Stali jsme se sirotky bez otce, naše matky 
LAM.5.4	Vlastní vodu pijeme za stříbro
LAM.5.5	Jho
LAM.5.6	Dali jsme ruku Egyptu 
LAM.5.7	Naši otcové hřešili a 
LAM.5.8	Vládnou nám otroci
LAM.5.9	S 
LAM.5.10	Naše kůže je rozpálená
LAM.5.11	Znásilnili
LAM.5.12	Knížata byla jejich rukou pověšena, starci
LAM.5.13	Mládenci nosili mlýnek,
LAM.5.14	Starci zmizeli z brány,
LAM.5.15	Ustalo
LAM.5.16	Koruna
LAM.5.17	Proto onemocnělo naše srdce, proto ztemněly naše oči. 
LAM.5.18	Pro horu Sijón, která je zpustošená, 
