MAT.1.1	Antuyawino neturakkanneno gagginafuwera i Jesu Kristo a gaka i Ari David a gaka kappayi Abraham. 
ACT.21.18	Waso kadaramaꞌna, inangkami anni Pablo a naddoraw ki Santiago. Nagyangkappay amminino pangafuwanirana manguruwira sey Jerusalem. 
ACT.21.19	Nepakimustera i Pablo, kasena sinapit amminino inangwa i Dios sino bakkannira a Judyu gafu sino nanulduwanna.
ACT.21.20	Waso diningngaddeno amminino sinapiꞌna, naddayawira ammin ki Dios. Udde sinapiꞌda ki Pablo si, “Kolak, dandammannu nad si rinifurifuweno Judyuwera a mangurug ki Jesus, e nattalaginarira ammina manuntul sino lintiyi Moises. 
ACT.21.21	Nadingngadda si manulduka sino Judyuwera a magyan sino lulubbunino bakkannira a Judyu ta talekkurandeno lintiyi Moises. Sinapiꞌnu kanu si ammera nad pakugitino aanaꞌdera anna ammera nad tuntulannino gagangetama Judyu. 
ACT.21.22	Maammuwanda a maammuwanino gamwangannu sitaw. Sanna mantuweno akwantam ta maammuwanda si tuntulannu kepayino gagangetam? 
ACT.21.23	Kunnayawino anggammiya akwannu. Aneno appatira a lallaki sitawa gababalininnino nesapatara ki Dios. 
ACT.21.24	Bulunannuwera a umang sino Templo ta mesapakka sino akwanda a mappabaggaw sino baggira, kasem paganino partinda takesi damara a mappausip sino padiyera a pimunuwan si nabalininnino sinapatanda. Nu kunnenoyino akwannu, maammuwan amminino tolayira si ammena gakkuruwino diningngadda mappeafu sikwam, se aggitanda si nattalaginagga a manuntul sino lintiyi Moises. 
ACT.21.25	Udde mappeafu sino bakkannira a Judyu a mangurug, antu pelang yawino neturaꞌmi sikwara a tuntulanda nad. Ammera nad kanannino newaꞌlat sino sinandiosira onnu ino ada onnu ino lamana ammena naariyeno adana. E ammera nad makidurug si bakkanna atawara.”
ACT.21.26	Antuweno si kadaramaꞌna, nebuluni Pablo sino appatira a lallaki, e nesapat sikwara sino inangwara a mappabaggaw sino baggira, kasera inang sino Templo. Netulduwi Pablo sino padiyeno kabalinanneno nesapatara, takesi antuneno pamartiyanda anna pappausipanda.
ACT.21.27	Wasin mappitu awin, nagyanino korwanira a Judyu a naggabwat sey Asia a nakaita ki Pablo sino Templo, e sinussuwandeno tolayira ta doꞌmanda i Pablo, 
ACT.21.28	e nekokwara a nassapit si, “Ikkayu bufulummiya gakagaka i Israel, umangkayu taw ta duffunandakami. Se iyawa tolayino manuldu si ammina tolay si palulubbun si narakkattetama Judyu, anna narakkakkappayino lintiyi Moises anyo Templotam. Sitoya, nedaggaꞌna a dinakkutan yo Templotam, se nepatallungngeno bakkanna Judyu.”
ACT.21.29	(Sinapiꞌdenay, se naitara a nebuluni Pablo sino taga-Efeso a i Trofimo, e aridda si nepatallungnga sino Templo.)
ACT.21.30	Ammena mabayag e nakungkul amminino tolayira sey Jerusalem. Nalayawira a inang sino Templo, e dinoꞌmanda i Pablo. Binuꞌbuꞌda a nelawan sino Templo. E neakuꞌdanino Templo. 
ACT.21.31	Papatayandan naddi Pablo, udde aneno nangipakaammu sino komanderna sindaluwera a taga-Roma a maguluweno tolayira. 
ACT.21.32	Nalana nayino komander si sindalunera annino kapitanda e nalayawira a inang sino katolayan. Waso initeno tolayireno sindaluwera, nibbattandeno manusultuk ki Pablo. 
ACT.21.33	Dinoꞌmanino komanderi Pablo e nepagakanneno kamaꞌna si adwa a kawad, kasena nebebut sino tolayira si, “Inya yawa tolay? Sanneno inangwana?” 
ACT.21.34	Naddadarumeno ikulawura, e ganawawira, antuweno amme maalimutaranino komanderino kakuruwanna. Gafu sinoy, sinapiꞌna sino sindalunera si iyanda sino kampora. 
ACT.21.35	Wasin aneran sino addan, inaꞌlidda i Pablo se ilalassetino tolayira gafu sino bunguꞌda. 
ACT.21.36	Dumadandanira a mikakkulawu si, “Papatayantam!”
ACT.21.37	Wasin itallundan naddi Pablo sino kampora, sinapiti Pablo sino komander si, “Ayaw abbu yo sapitangku sikwam.”
ACT.21.37	Sinabbino komander si, “Inammum ikka a maddamit si Griego? 
ACT.21.38	Ariggu si ikkeno taga-Egipto a nakiyubat sino gubiyernu siꞌin, a inang sey kalolowata nifuyut sino appatarifuwera a lallakiya gumapapatay si tolay.”
ACT.21.39	“Bakkannak,” kunni Pablo, “se Judyuwak e neyanakak sey Tarso a lubbunna probinsiya a Cilicia, e awana ammena nangammu sino lubbungku. Ammena kad dama ta aneno sapitangku sino tolayira?”
ACT.21.40	“Damana,” kunnino komander. Nattaꞌdaggi Pablo sino addan, e sinengyattanneno tolayira ta suminakkira. Wasin sininakkiran, naddamit sino aꞌlanda si Hebreo a damiꞌna Judyu, e nekunna si,
ACT.22.1	“Ikkayuwa aꞌama anna kakkolakku, dingngaggandaw yo sapitangku ta itandaw nu wara narakkat si inangwak.” 
ACT.22.2	Wasin diningngadda si Hebreoweno damiꞌna, nansasinakkira. E netupakki Pablo a nassapit si, 
ACT.22.3	“Ikkanak, tatappaya Judyu a neyanak sey Tarso a lubbunna Cilicia, udde sito Jerusalemino nadalangku. I Gamalielino nanuldu sikwak, e inillalappattanna a nituldu sikwak sino lintiyino gagginafutamira. Nattalaginarappaya masserbi ki Dios a kakunnayu. 
ACT.22.4	Antu gafuna, pinadyatangkuweno manguruwira ki Jesus, kiyad si nepapapatekino korwanira. Massiki bafabbayira onnu lallaki, dinoꞌmangku e nepabalugguwera. 
ACT.22.5	Dameno afafuna padi andino pangafuwantamira a taꞌdaggan si gakkurug yo sapitangku, se ireno nangaꞌda sikwak si turak ta iyangku sino kasiJudyutamira sey Damasco, takesi damaka manoꞌma sino manguruwira ki Jesus sinay. Inangngak sinay ta appangkuwera e iyangkuwera sito Jerusalem a aggakawad, takesi makastiguwera.”
ACT.22.6	Sinubburani Pabloweno sinapiꞌna si, “Wasin agyanak sey dalan si tangnganawa makkatam sey Damasco, kakaꞌmeng kelang nalebaddanak si mangngilikilita baggawa naggabwat sey langit. 
ACT.22.7	Naletwarak e diningngagguweno damita nekunna sikwak si, ‘Saulo, Saulo, mayan padyatandak?’ 
ACT.22.8	‘Inyaka, Afu?’ kungku. ‘Ikkanaki Jesus a taga-Nazaret a padyatannu,’ kunna. 
ACT.22.9	Ino bulungkuwera, initareno baggawa mangngilikilit, udde ammera naawatanino sinapitino naddamit sikwak. 
ACT.22.10	Sinapikku kappay sikwana si, ‘Sanneno anggammuwa akwangku, Afu?’ E nesombaꞌna sikwak si, ‘Mattaꞌdagga ta umangka sey Damasco, e ananeno mituldu sikwam sino ammina dinandammi Dios a akwannu.’ 
ACT.22.11	Nalappattak sino nangitangku sino mangngilikilita baggaw, e kinewiddakino bulungkuwera a neyang sey Damasco.
ACT.22.12	“Nagyanino tata lalaki sinaya mingngan si Ananias a nattalaginara manuntul si ammina lintiddam, e dayawan amminino kasiJudyutamira sey Damasco. 
ACT.22.13	Inang sikwak e nattaꞌdag sino aruruggu, e sinapiꞌna si, ‘Kolaka Saulo, makaitakammanin!’ Assapiꞌlangi Ananias sinoy, nabbaggawino angngitak, e initaki Ananias. 
ACT.22.14	E sinapiꞌna sikwak si, ‘Ino Dios a dinayawino gagginafutamira, piniliraka takesi ammunnuweno anggamma anna itannuweno nadiosana Abbingnga a masserbi sikwana anna dingngaggannu kappayino damiꞌna. 
ACT.22.15	Se ikkaneno mangipakaammu si ammina tolay sino nadingngangngu anna naitam. 
ACT.22.16	Ma, annamata taronannu? Gumabwakka ta umangka mappabawtisar, e marangka si duffun ki Jesus takesi mapakomanino liwaꞌnu.’ ”
ACT.22.17	Wasinoy, sinapikkappayi Pablo si, “Wasin nuliyak sey Jerusalem, inangngak nakkararag sino Templo, e agyanino nepaita i Dios sikwak si kunnangke tenap. 
ACT.22.18	Nappadda i Afu Jesus sikwak, e sinapiꞌna si, ‘Kangkamannu! Manokan sito Jerusalem, se ino tolayira sitaw, ammerana kuruwannino sapitannu mappeafu sikwak.’ 
ACT.22.19	Udde sinabbaggu si, ‘Afu, tantaro nu kuruwandaꞌnga, se inammura si ikkanakino sinallung sino sinagogarera, e dinoꞌmangkuweno manguruwira sikwam, e nepabaluggu anna nepasiwaꞌwakkuwera. 
ACT.22.20	E ammura kappay si inanggangkuweno inangwara a namapatay ki Esteban a tistigum, se agyanak sinaya nimut sino barawasiyeno namapatayira sikwana.’ 
ACT.22.21	Udde sinombati Jesus sikwak si, ‘Manoka lud, se dundunantaka si aroyu ta angka tulduwanino bakkannira a Judyu.’ ”
ACT.22.22	Ino tolayira a nakkakarampat sinay, naddingngaggira ki Pablo makkiyad si sinapiꞌneno mappeafu sino bakkannira a Judyu. Udde wasin diningngadda, nekulawura a nassapit si, “Papatayantam! Ammena mepangngat si mabiyag yana tolay!”
ACT.22.23	Nakakulakulawuwera e newayawayawaddeno barawasirera anna niburayitira si lafuk sey kalekay gafu sino bunguꞌda. 
ACT.22.24	Nepetallungino komander sino sindalunera i Pablo sino kampora, e sinapiꞌna si siwaꞌwattanda nad takesi ipunnuneno gafuneno nabbungubungutanino Judyuwera sikwana. 
ACT.22.25	Udde wasin nerappaꞌda i Pablo e siwaꞌwattanda nad, nassapiti Pablo sino kapitanna sindaluwa aggataꞌdag sinay si, “Wara kalintiyandawa mabbeꞌbek si tolaya Roma a ammena kepay naimbistigar?”
ACT.22.26	Wasin diningngaggino kapitanino sinapiti Pablo, inang sino komander, e sinapiꞌna si, “Dandammannu naddino akwannu sinaya tolay, se tolaya Roma kanu.”
ACT.22.27	Inangngino komander ki Pablo e nebebuꞌna si, “Sapitannu sikwak nu gakkuruwa toleka a Roma.”
ACT.22.27	“On,” kunni Pablo.
ACT.22.28	E nekunnino komander si, “Odduweno nagastuk kasek nebilang si tolaya Roma.”
ACT.22.28	“Udde ikkanak, gagangayaka Roma se neyanakaka tolaya Roma,” kunni Pablo.
ACT.22.29	Wasinoy, ino sindaluwera a massiwaꞌwaꞌnad ki Pablo, nappaꞌniyera. Massiki ino komander, nakatalopay se nepagakanneno tata tolaya Roma.
ACT.22.30	Waso kunnenoy, anggangkepayino komandera maammuwanino kakuruwanino nidarumanino Judyuwera ki Pablo. Antu gafuna, waso metufara aw, nepakakarampaꞌneno pangafuwanirana padi andino korwanira a afafuna Judyu. Wasin nakkakarampattiran, nepaarineno kawari Pablo e nepeyangnga sino naraꞌlanganda.
ACT.23.1	Sinulangngani Pabloweno pangafuwanira, kasena nekun si, “Kakkolakku, kiyarino nabiyayangku, amminino inangwak, dinandangkuwa nalawad sino aꞌlangi Dios.” 
ACT.23.2	Wasinoy, i Ananias a afafuna padi, sinapiꞌna sino tolayira a araꞌni ki Pablo ta tappapandeno wangiꞌna. 
ACT.23.3	E sinapiti Pablo sikwana, “Ikka a sinan ukum, tappapandaka pena i Dios. Se aggatuttugga sitana mangukum sikwak mappeafu sino lintiddam, gampade kinontaramino lintig se sinapiꞌnu si matappapak.”
ACT.23.4	Sinapitino tolayira a araꞌni ki Pablo si, “Iyatatalnuweno afafuna padiyi Dios.”
ACT.23.5	E nekunni Pablo si, “Kakkolak, ammek maꞌlud inammu si antuweno afafuna padi. Nu inammuꞌngad, ammeꞌngad sinapitino kunnenoy, se aneno neturak sino sapiti Dios a ‘Ammekayu massapit si narakkat mappeafu sino pangafuwanino lubbundaw.’ ”
ACT.23.6	Waso kunnenoy, gafu se inammuwi Pablo si Saduceoweno korwanira a pangafuwan anna Fariseoweno korwan, nekokwana a nassapit si, “Kakkolakku, Fariseowappay, e kunna kappayino gagginafukira. Antu gafuna a ayawak sitawa maimbistigar, gafu se innanamangku si mangngangoliyeno natayira.”
ACT.23.7	Assapiꞌlangi Pablo sinoy, masasarombatinnino Fariseowera andino Saduceowera, se nassasarulyatino nakanda. 
ACT.23.8	(Se ino Saduceowera, ammera kuruwan si mangngangoliyeno natayira, ammera kuruwan si wara anghel, anna ammera kappay kuruwan si wara kararuwana tolay. Udde ino Fariseowera, kuruwanda ammin yaw.) 
ACT.23.9	Nekokwara lullangino nakkulawu. Ino korwanira a Fariseo a mammesturuna lintig, nattaꞌdaggira a nipatut sino ana sino nakanda, e sinapiꞌda si, “Awana dingngammi si narakkatta inangwana yan. Se nu wara naddamit sikwana si anghel onnu korwana ammena maita, awana rakkaꞌnenay.”
ACT.23.10	Waso kunnenoy, nedaggaꞌda lullanga massasarombat makkiyad si naddararanino komander tantaro nu pappipiꞌngetanda i Pablo. Antu gafuna, dinundunneno sindaluwera a miyanaw ki Pablo takesi iyanda sino kampora.
ACT.23.11	Sinoya gafi, nappadda i Afu Jesus ki Pablo e sinapiꞌna si, “Ammeka mattalaw, Pablo, se taꞌdaggannaꞌngad sey Roma, a kunna kappayino inangwam sito Jerusalem.”
ACT.23.12+ACT.23.13	Waso kadaramaꞌna, agyanino nasuruk si appatafuluwera a Judyu a nattatarabba mamapatay ki Pablo. Nesapatara si ammera mangngan anna uminum kiyad si ammera mapapatayi Pablo. 
ACT.23.14	E inangngira sino pangafuwanirana padi andino korwanira a pangafuwanna Judyu, e sinapiꞌda si, “Gakkuruwingke a ammekami mangngan anna uminum kiyad si ammemi mapapatayi Pablo. 
ACT.23.15	Kunna mantu, ikkayu andino korwanira a pangafuwan, manundungkayu si umang massapit sino komander ta peyangnga i Pablo sitaw takesi bistigarandaw si nalawad. Lakkappammina sey dalan ta papatayammi liyena gumamwang sitaw.”
ACT.23.16	Udde ino panganakanni Pablo, a abbingino kolaꞌnga a bafay, naammuwanneno nattatarabbanino Judyuwera, e inang sino kampoweno sindaluwera a nattattifug ki Pablo. 
ACT.23.17	Inayani Pabloweno tata kapitan, e sinapiꞌna sikwana, “Itulunnu abbu yo buwanak sino komander se ana kanuweno itulduna sikwana.”
ACT.23.18	Netulurino kapitanino buwanak sino komander, e sinapiꞌna sikwana si, “Ino balura i Pablo, inayannak e nepeyangnga sikwak yaw buwanak sikwam, se ana kanuweno sapitanna.”
ACT.23.19	Wasinoy, kinewirino komanderino buwanak, e neyangnga sino bakkang, kasena binebut si, “Sanneno sapitannu sikwak?”
ACT.23.20	E sinapitino buwanak si, “Agyanino Judyuwera a nattatarabba marang sikwam si peyangngu kanuna i Pablo sino pammamitinganda nu daramat. Ino rasonda, bistigaranda kanu si nalawad. 
ACT.23.21	Udde ammemira nad kuruwan, se aneno nasuruk si appatafuluwera a mallakkap sikwana, a nesapatarangke si ammera mangngan anna uminum kiyad si ammera mapapatay. Naddadaniran, taronanda pelang si onannu.”
ACT.23.22	E sinapitino komander si, “Ammem sapitan si korwan si wara sinapiꞌnu sikwak.” E nepaanoneno buwanak.
ACT.23.23	Wasin inanawinnino buwanak, inayanino komanderino adwera a kapitanna e nekunna si, “Itulduyu sino adwatutira a sindalu andino adwatutira a sissasayyang andino pitufuluwera a sikkakabayu ta maddadanirana a umang mitulud ki Pablo sey Cesarea. Gumikkakkayuna nu alas nuwebe nu gafi. 
ACT.23.24	Idadanandopayi Pablo si kabayuwa pattakayanna. Itandopay takesi awana narakkat si makwa sikwana kiyad si iyamwandaw ki Gubernador Felix.” 
ACT.23.25	Nanurak kappayino komander ki Gubernador Felix, e neturaꞌnga si,
ACT.23.26	“Afu Gubernador Felix, ikkanaki Claudio Lisias a nanurak sikwam. 
ACT.23.27	Manantokayu pay sitan? Iyana tolaya nepetuluggu sikwam, dinoꞌmanino Judyuwera e papatayanda nad. Udde wasin naammuwangku si tolaya Roma, inangkami andino sindalukira a nisalak sikwana. 
ACT.23.28	Gafu se anggangkuwa maammuwan nu sanneno nidarumanda sikwana, neyangku sino pangafuwanira. 
ACT.23.29	Udde wasin binistigarda, naammuwangku si awana liwaꞌna a pamapatayanda sikwana onnu kebaluranna, se mappeafu pelang sino lintidda a Judyuweno nidarumanda sikwana. 
ACT.23.30	Wasin naammuwangku si nattatarabbaninnino Judyuwera a papatayan, kinangkamangkuwa nepeyang sikwam. Netulduk sino naddarumira sikwana si ikkeno pidarumanda. Antuwen inoy.”
ACT.23.31	Wasin gafenin, kinuruwino sindaluwereno sinapitino komander, e inappara i Pablo e neyanda sey Antipatrisa. 
ACT.23.32	Wasi kadaramaꞌna, nuliyennino nallakarira a sindaluwera sino kampora sey Jerusalem, e ino nakkabayuweranino nitulud ki Pablo. 
ACT.23.33	Wasin ginamwangiran sey Cesarea, neyaꞌdareno turak sino gubernador, e nealawaꞌda i Pablo sikwana. 
ACT.23.34	Binaseno gubernadorino turak, kasena nabbebut ki Pablo nu sanneno probinsiya a neyanakanna. E sinapiti Pablo si taga-Cilicia. 
ACT.23.35	E kunnino gubernador sikwana, “Kasetakana mantu bistigaran nu gumamwangino nidarumira sikwam.” E sinapiꞌna si magwardiyani Pablo sino balaya nepaangwa i Ari Herodes.
ACT.24.1	Wasin nallaꞌwutino lima aw, inangngira sey Cesarea ino afafuna padiya i Ananias andino korwanira a pangafuwanna Judyu. Agyanino tata a abugaduwa mingngan si Tertulo a nebulun sikwara. Inangngira ammin ki Gubernador Felix a midarum ki Pablo. 
ACT.24.2	Wasin nepaayadda i Pablo, sinapiti Tertulo ino pamaliwaꞌda sikwana. Sinapiꞌna si, “Afu Gubernador, gafu so kinalaingnguwa matturay sikwami, nabayinna nassiyanakkami, se odduwa inangwama pallawarammiya talubbun. 
ACT.24.3	Maanggangkamingke ammin gafu sino nalawara inangwam, e kanayungkamiya mappasalamat sikwam. 
ACT.24.4	Ammemi anggam si matalantangka, udde dingngaggannu abbu si bisangngino sapitammi.
ACT.24.5	“Iyawa tolay, antu pelangino mangaꞌda si narakkat, se kinungkulneno Judyuwera si palulubbun. Antu kappayino tata a afafuweno sumuntulira sino tulduweno tolaya taga-Nazaret. 
ACT.24.6	Dakkutanna naggappayino Templomi sey Jerusalem, udde dinoꞌmammi, [se anggammiya tuntulannino lintimmiya mimbistigar sikwana. 
ACT.24.7	Udde ginamwangi Komander Lisias e nelasseꞌna i Pablo sikwami. 
ACT.24.8	E sinapiꞌna si umangkami sitaw ta idarummi sikwam.]
ACT.24.9	Ino bulunnera kappaya Judyu, sinaꞌdagganda si gakkurug amminino sinapiꞌna a nappaliwat ki Pablo.
ACT.24.10	Wasin nabaliniran, sinengyattanino gubernadori Pablo ta mepataliya maddamit, e nekunni Pablo si, “Afu Gubernador, ammuk si nabayaggana matturay anna mangukum sikwamiya Judyu. Antu gafuna a maanggammaka manombat sino nidarumanda sikwak sikwam. 
ACT.24.11	Naladda a maammuwannu sino tolayira nu gakkuruwino sapitangku se awangkepay kadwafulu si adwa a awa nallaꞌwut kiyad sin inangngangku sey Jerusalem a maddayaw ki Dios. 
ACT.24.12	E awaningke a nita sikwaka makisosombat sino Templo, onnu mappagagarunut sino tolayira sino sinagogera onnu massiki sino korwanira a nagyanangku sey Jerusalem. 
ACT.24.13	Bakkanna gakkuruwino nidarumanda sikwak se awana pamakurudda. 
ACT.24.14	Udde gakkuruwino tata a sinapiꞌda, a tuntulangkuweno annuldu mappeafu ki Jesus a kunda si tanganan anna bakkanna gakkurug. Gampade antuweno addayok sino Dios a dinayokappayino gagginafumiyera siꞌin. E kuruwangku kappay amminino lintiyi Moises anna amminino neturakkino gumalabbunira i Dios siꞌin. 
ACT.24.15	Innanamangku si pangngangolinna i Dios amminino natayira, massiki ino narakkattira andino nalawarira, a kunna kappayino kuruwanda. 
ACT.24.16	E gafu se antuweno innanamangku, gakkuruwangkungke a mangwa si nalawad, takesi awana palliwatangku ki Dios anda sino tolayira.
ACT.24.17	“Wasin pipidya runa ammek inang sey Jerusalem,
ACT.24.18	E antuwennino aꞌakwangku sino Templo sin dinaꞌngarakino Judyuwera a taga-Asia. Nabalingkunnino gagangemiya mamaggaw. Awana oddu si tolay sinay e awana nakkanawakaw. 
ACT.24.19	Udde ira a taga-Asia, ira naddino umang sitawa mangidarum sikwak nu gakkuruwa wara ipaliwaꞌda sikwak. 
ACT.24.20	Udde nu awan, massiki ino tolayira sitaw, sapitanda nad nu wara inammuwanda si liwakku sin inaꞌlangak sikwara sey Jerusalem. 
ACT.24.21	Ino pelang sinapikku sino naraꞌlanganda, nekokwaka nassapit si, ‘Ayawak sitawa maimbistigar, gafu se innanamangku si mangngangolineno natayira.’ ”
ACT.24.22	Wasinoy, gafu se odduweno inammuwi Gubernador Felix mappeafu sino tulduwi Jesus, nepaibbaꞌneno pimbistigaranda ki Pablo, e nekunna si, “Ammeyu abbu, ta gumamwangi Komander Lisias, kasetaka usiyan.” 
ACT.24.23	E sinapiꞌna sino kapitanna sindalu ta pagwardiyara i Pablo, udde wayawayanda si bisang, e ammera iyallangngino umangnganino bulunnera a manuffun sikwana nu wara maawangnga.
ACT.24.24	Wasin nallaꞌwutino pipidya aw, nuliyi Gubernador Felix annino atawana a Judyu a i Drusila. Nepaayangnga i Pablo takesi dingngagganda payino sapitanna mappeafu si angngurug ki Kristo Jesus. 
ACT.24.25	Udde wasin nanulduwani Pablo sikwana mappeafu sino nalawara aggangwa, ino paffuwaddan naddino tolayira sino baggira, andino gumamwanganneno awa pangukumani Dios si tolay, nakatalawi Felix e sinapiꞌna si, “Kunden abbu. Ayantakammanna nu tata si aw.” 
ACT.24.26	Dayandananni Felix a paayi Pablo ta tatabbanna, udde ino ana sino nakamma, anggamma si pasussukan naddi Pablo si pirak.
ACT.24.27	Waso nallaꞌwutino adwarun, nepataliyi Porcio Festo ki Felix a naggubernador. Udde wasin inanawinni Felix, ammena nepalawani Pablo sey abbaluran, takesi aanggammannino Judyuwera.
ACT.25.1	Waso kunnenoy, ginamwangi Festo sey Cesarea a maggubernador sinaya probinsiya. Wasin pakaꞌlunan, naggikkata inang sey Jerusalem. 
ACT.25.2	E wasin ginamwang sinay, ino pangafuwanirana papadi andino afafuweno Judyuwera, inangngira sikwana a nidarum ki Pablo. E nappekakallakkira ki Festo 
ACT.25.3	si peyangnga i Pablo sey Jerusalem, se gakkadda a lakkappan sey dalan ta papatayanda. 
ACT.25.4	Udde sinabbi Festo si, “Aggabaluri Pablo sey Cesarea, e malanaka muli sinay. 
ACT.25.5	Massiki mabbafulungkami andino korwanira a tattureyu ta idarunda sinay nu wara liwaꞌna.”
ACT.25.6	Nagyani Festo sey Jerusalem si walu onnu tafulu aw, kasena nuli sey Cesarea. Wasin kadaramaꞌna, inang sino kwartuwa attatarabbanda si asonto, e nepaayangnga i Pablo sinay. 
ACT.25.7	Wasin ginamwanginni Pablo, ilebaddino Judyuwera a naggabwat sey Jerusalem, e nadammattingke ino nepaliwaꞌda sikwana. Udde awana pamakurudda sino ipaliwaꞌda sikwana.
ACT.25.8	Sinaꞌdagganingkepayi Pabloweno baggina, e nekunna si, “Awaningke a nalliwatangku sino lintimmiya Judyu onnu sino Templomi. Awangkappay nalliwatangku sino lintiyino Emperador sey Roma.”
ACT.25.9	Udde gafu se anggammi Festo a aanggammannino Judyuwera, sinapiꞌna ki Pablo si, “Anggammuwa umang sey Jerusalem ta sinayino pangusiyangku sino nidarumanda sikwam?”
ACT.25.10	Udde sinabbi Pablo si, “Ammek anggam, se ayawakun sitaw, e sitawino pangukumannu nad sikwak, se ikkeno piniliyeno Emperador a mangukum. Aggaammunnu kena si awana liwakku sino Judyuwera. 
ACT.25.11	Nu wara nalliwatangku si pamapatayanda sikwak, ammek mappekakallak si meliꞌwak. Udde nu awana kakuruwanneno nidarumanda sikwak, awana kalintiyanino massiki inya a tolaya mangiyalawat sikwak sikwara. Arangngangku si umaꞌlangak sino Emperador sey Roma ta antuweno musig sikwak.”
ACT.25.12	Waso kunnenoy, sinatabbi Festoweno tatturayira a nanuffun sikwana, kasena sinapit ki Pablo si, “Inarangnguwa umaꞌlang sino Emperador sey Roma, e peyantakan sikwana.”
ACT.25.13	Ammena nabayag, ino ariyeno Judyu a i Agripa annino kolaꞌnga a bafaya i Bernice, ginamwangira sey Cesarea se angganda a itanino bawuwa gubernador a i Festo. 
ACT.25.14	Wasin pipidya awiran sinay, sinapiti Festo ki Ari Agripeno mappeafu ki Pablo. Sinapiꞌna si, “Ayawino tata a balud sitawa inanawani Gubernador Felix. 
ACT.25.15	Wasin nagyanak sey Jerusalem, inang sikwakino pangafuwanirana padi andino korwanira a pangafuwanna Judyu a nidarum sikwana. Inaranda si onangkuweno katayanna. 
ACT.25.16	Udde sinabbaggu si bakkanna gagangemiya Roma a mangiyalawat sino nedaruma tolay sino korwanira ta makastigu nu ammena kepay nausig. Maawag si umaꞌlang abbu sino nidarumira sikwana takesi damana a taꞌdagganingkepayino baggina. 
ACT.25.17	Wasin ginamwangira sitaw, ammek nattalantan, nu ammek lud inang sino attatarabban si kadaramaꞌna, e nepaayagguwi Pablo. 
ACT.25.18	Naddamitino nangidarum sikwana. Ariggu si wara nadammat si ipaliwaꞌda sikwana, gampade awan. 
ACT.25.19	Ino pelang nassasarombatanda, mappeafu sino angngurudda a Judyu anna mappeafu sino natay a i Jesus a kunni Pablo si nangngangoli. 
ACT.25.20	Gafu se ammek ammuwa mimbistigar si kunnayan, binebukku ki Pablo nu anggamma a umang sey Jerusalem ta antuweno kaimbistigaranna. 
ACT.25.21	Udde ammena anggam, se ino anggamma, mebalud sitaw kiyad si ino Emperador sey Romeno musig sikwana. Antu gafuna, nepaindaggu makkiyad si wara wayaka mappetulud sikwana sino Emperador.”
ACT.25.22	Wasinoy, sinapiti Agripa ki Festo si, “Anggangku nadda dingngaggan inaya tolay.”
ACT.25.22	“Nu daramatinna mantu,” kunni Festo.
ACT.25.23	Waso kadaramaꞌna, inanda Agripa anni Bernice sino attatarabbanda, e nangipaitera si kedayawanda. Nebulunino komanderirana sindalu andino bafaꞌnangngira a tolay sinaya lubbun. Wasino sinallungira, inayani Festowi Pablo. 
ACT.25.24	Sinapiti Festo si, “Ikka Ari Agripa anna ikkayu ammina ana sitaw, iyawa tolaya aggitandaw, antuweno nedarumino Judyuwera sitaw andino Judyuwera sey Jerusalem, a ikakkulawura ammin si ammena naddinna matolay. 
ACT.25.25	Awana naammuwangku si liwaꞌna a mepangngat si ipatena, udde gafu se inarangnga si umaꞌlang sino Emperador sey Roma, nadandangku si petulud sinay. 
ACT.25.26	Udde awana ammuk si fustuwa iturakku sino Emperador mappeafu sikwana. Antu gafuna, nepaaꞌlangku sikwayu ammin, kumarallingke sikwam Ari Agripa, takesi nu warana mafuꞌngaddantam sikwana, warana iturakku. 
ACT.25.27	Se ammena mepangngat si iyalawakku sino Emperadorino tata balud nu awana kedarumanna.”
ACT.26.1	Wasin kunnenoy, kunni Agripa ki Pablo si, “Damama massapit sino anggammu.” Nesengyatti Pabloweno kamaꞌna sino tolayira, kasena neyafuwa maddamit, e nekunna si, 
ACT.26.2	“Ikka Ari Agripa, nalawad se ayoka sitaw ta dingngaggannu payino itabbaggu sino ammina pidarumanino kasiJudyutamira sikwak. 
ACT.26.3	Se ammuk si ammum amminino gagangetama Judyu annino passasarombatantam. Arangngangku sikwam ta dingngaggandak abbu.
ACT.26.4	“Ammu amminino kasiJudyutamireno katotolek kiyad sin neyanakangku, sino lubbuna dinokallangku anna sey Jerusalem a nadalangku. 
ACT.26.5	Nu angganda, ammura a sapitan, se ammura si kiyad siꞌin nesapatak sino Fariseowera, a ireno katalanggaddan sino aggangwatama Judyu. 
ACT.26.6	Sitoya, ayawak sitawa mausig gafu se minnanamak si gakkuruwanni Diosino nekarina sino gagginafutamira siꞌina pangngangolinnaneno natayira. 
ACT.26.7	Amminino kasiJudyutamira, maddandayawira ki Dios si aw anna gafi, se innanamanda si mesapatira sino nekariyi Dios siꞌin. Udde Afu Ari, gafu se kuruwangku si neyakkuruwinnino nekariyi Dios, antuweno pidarumanda sikwak. 
ACT.26.8	Ikkayu ammin sitaw, mayan natuꞌnakkayungke a mangurug si pangngangolini Diosino natayira?
ACT.26.9	“Massiki ikkanak, ino dinandangku siꞌin, nalawad nu gakkuruwangkungke a makkontara sino manguruwira ki Jesus a taga-Nazaret. 
