MAT.1.1	Nkanda ya mbutukulu ya Yesu Klisto, mwana ya Davidi, mwana ya Abalahami. 
ACT.9.24	Kansi mambu yina monikaka kwa Sauli. Bau kengaka mielo ya mbanza mpe mu ntangu ye mpimpa sambu na kufwa yandi.
ACT.9.25	Mu mpimpa banlonguki bakaka yandi ye basisaka yandi na lupangu ye kulumusaka yandi mu kitunga.
ACT.9.26	Bu yandi kwizaka ku Yelusalemi, yandi sosaka kubundana na banlonguki, kansi bau yonso titaka yandi, kadi bau kwikilaka ve, yandi ikele nlonguki.
ACT.9.27	Banaba bakaka yandi, ye twalaka yandi kwa bantumwa, ye songaka bau mpilamosi Mfumu monikaka kwa yandi mu nzila ye tubaka kwa yandi, ye yandi samunaka na kikesa mu nkumbu ya Yesu mu Damasko. 
ACT.9.28	Yandi vandaka sikamosi na bau ye kotaka ye basikaka mu Yelusalemi, yandi samunaka na kikesa mu nkumbu ya Mfumu.
ACT.9.29	Yandi tubaka ye tulaka ntembe na baYuda ya baElene, kansi bau sosaka kufwa yandi.
ACT.9.30	Bu bampangi imene kuzaba yo, bau twalaka yandi ku Kaisalia ye fidisaka yandi ku Talaso. 
ACT.9.31	Buna dibundu vandaka na yenge mu Yuda yonso ye Ngalili ye Samalia, bau tungwaka ye tambulaka mu vumi ya Mfumu ye mu bombola ya Mpeve Yanlongo, ye bau kwizaka mingi. 
ACT.9.32	Yo vandaka, bu Petelo zieataka ndambu yonso, yandi kwizaka mpe kwa banlongo ya vandaka mu Lida.
ACT.9.33	Kuna yandi monaka muntu, nkumbu ya yandi Ene, yandi imene kulala na mbeto ya yandi mvu nana, sambu yandi vandaka na mianzi.
ACT.9.34	Petelo tubaka kwa yandi: Ene, Yesu Klisto belula nge, telema ye yidika mbeto ya nge. Nswalu yandi telemaka. 
ACT.9.35	Bau yonso ya vandaka mu Lida ye Saloni monaka yandi, ye bau pindulaka kwa Mfumu.
ACT.9.36	Nlonguki mosi ya nkento vandaka mu Yope, nkumbu ya yandi Tabita, na tendula ikele Doloka. Yandi fulukaka na bisalu mbote ye matabisi ya nkenda ya yandi salaka.
ACT.9.37	Yo vandaka mu bilumbu yina yandi bakaka maladi ye kufwaka. Bu bau imene kusukula yandi, bau tulaka yandi mu nzo ya zulu.
ACT.9.38	Sambu na Lida vandaka mfinama Yope, banlonguki kuwaka Petelo ikele kuna, bau fidisaka bantu zole kwa yandi kubombidila yandi: Vingila ve kwiza kwa beto.
ACT.9.39	Petelo telemaka ye kwendaka sikamosi na bau, Bu yandi kwizaka, bau twalaka yandi ku nzo ya zulu, bafwola yonso telemaka mfinama na yandi ye dilaka ye songaka yandi bakazaku ye mvwatu yonso ya Doloka salaka bu yandi vandaka na bau.
ACT.9.40	Petelo basisaka bau yonso, ye fukamaka, ye lombaka; ye pindulaka ku mvumbi, ye tubaka: Tabita, telema! Yandi kangulaka meso ya yandi, bu yandi monaka Petelo, yandi vumbukaka.
ACT.9.41	Yandi pesaka yandi diboko, ye telemisaka yandi, bu yandi imene kubinga banlongo ye bafwola, yandi pesaka yandi kwa bau na moyo.
ACT.9.42	Bantu yonso ya Yope zabaka mambu yina, ye mingi kwikilaka Mfumu.
ACT.9.43	Petelo vandaka bilumbu mingi mu Yope mu nzo ya Simoni ya yidika mikanda ya bambizi. 
ACT.10.1	Muntu vandaka mu Kaisalia, nkumbu ya yandi Konelio, nkuluntu ya ndonga ya basoldat ya bingwa ya Italia,
ACT.10.2	Nkwa lunungu ya vumina Nzambi ye nzo ya yandi yamvimba, yandi pesaka matabisi mingi ya nkenda kwa bantu, ye lombaka Nzambi ntangu yonso.
ACT.10.3	Yandi monaka mona-meso, mu lokula tatu ya kilumbu, wanjo ya Nzambi kotaka kwa yandi ye tubaka kwa yandi: Konelio.
ACT.10.4	Yandi talaka yandi ngolo ye vandaka na boma, ye tubaka: Mambu nki, Mfumu ? Yandi tubaka kwa yandi: Lombilu ya nge ye matabisi ya nge ya nkenda imene kwenda nantwala na Nzambi, sambu kubambuka nge.
ACT.10.5	Ntangu yai, fidisa bantu ku Yope, ye twala Simoni ya bingwa Petelo. 
ACT.10.6	Yandi ikele kuvanda na Simoni ya yidika mikanda ya bambizi, nzo ya yandi ikele mfinama ku mbu.
ACT.10.7	Bu wanjo ya tubaka kwa yandi imene kwenda, Konelio bingaka basielo zole ya yandi ye soldat mosi ya vumina Nzambi, mosi ya bau ya sadilaka yandi ntangu yonso.
ACT.10.8	Bu yandi imene kutuba kwa bau mambu yonso, yandi fidisaka bau ku Yope.
ACT.10.9	Kilumbu ya landa, bu bau vandaka mu nzila ye mfinamaka ku mbanza, Petelo tombokaka ku zulu ya nzo kulomba, mfinama lokula ya kumi ye zole.
ACT.10.10	Yandi vandaka na nzala ye zolaka kudia, kansi bu bau yidikaka madia, yandi monaka monameso; 
ACT.10.11	yandi monaka zulu kanguka ye kima mpilamosi lele ya nene ya kangwa na nsongi iya, kulumuka va ntoto;
ACT.10.12	mu yo vandaka bambizi mutindu yonso ya ntoto, ya makulu iya iya, ye bambizi ya dibenda, ye bandeke ya zulu.
ACT.10.13	Ndinga tubaka kwa yandi: Petelo, telema kufwa ye kudia.
ACT.10.14	Petelo tubaka: Mpilayai ve, Mfumu; kansi mono imene kudia kima ya sumuka keti ya mvindu ta mbala mosi ve.
ACT.10.15	Ndinga vutulaka kutuba kwa yandi mbala ya zole: Yina ya Nzambi imene kuvedisa, tuba ve na yo ikele kusumuka. 
ACT.10.16	Mambu yai salwaka mbala tatu, buna kima yina vutukaka ku zulu.
ACT.10.17	Bu Petelo kubanzaka mingi mu ntima ya yandi, kana monameso ya yandi monaka ikele mpila nki, tala, bantu ya Konelio fidisaka, telemaka na mwelo, kadi bau imene kuyuvula nzila ya nzo ya Simoni. 
ACT.10.18	Bau bokaka ye yuvulaka kana Simoni ya bingwa Petelo ikele muna.
ACT.10.19	Bu Petelo yindulaka monameso, Mpeve tubaka kwa yandi: Tala, bantu ikele kusosa nge. 
ACT.10.20	Telema, kulumuka ye kwenda kwa bau, ye vanda na ntembe ve, kadi mono imene kufidisa bau.
ACT.10.21	Petelo kulumukaka kwa bantu yina, ye tubaka: Tala, mono ikele yandi ya beno sosa, beno kwiza sambu na mambu nki ?
ACT.10.22	Bau tubaka: Konelio, nkuluntu ya basoldat, muntu ya lunungu ya vumina Nzambi, ye kikanda yonso ya baYuda ikele kupesa yandi kitemo ya mbote, wanjo ya nlongo tubaka na yandi fidisa kubinga nge ku nzo ya yandi, ye kuwa mambu ya nge.
ACT.10.23	Mpilayai yandi tubaka na bau kota ye yandi pesaka bau sika ya kulala. Na kilumbu ya landa, yandi telemaka ye kwendaka na bau, bampangi yankaka ya Yope kwendaka na yandi mpe.
ACT.10.24	Kilumbu ya landa, bau kumaka ku Kaisalia, Konelio vingilaka bau, yandi imene kutikisa bampangi ya yandi ye banduku ya yandi.
ACT.10.25	Bu Petelo kotaka, Konelio kutanaka na yandi ye fukamaka na makulu ya yandi ye sambilaka yandi.
ACT.10.26	Kansi Petelo telemisaka yandi, ye tubaka: Telema, mono kibeni ikele muntu mpe. 
ACT.10.27	Bu yandi solulaka na yandi, yandi kotaka ye monaka bantu mingi imene kukutakana.
ACT.10.28	Yandi tubaka kwa bau: Beno kibeni zaba nsiku buya muntu ya Yuda kuvanda ve sikamosi keti kota mu nzo ya muntu ya kikanda yankaka, kansi Nzambi imene kusonga mono, na mono tabinga muntu mosi sumuka keti mvindu ve. 
ACT.10.29	Sambu na yai mono kwizaka na ntembe ve, bu mono bingwaka, Buna mono yuvula; Sambu na nki nge bingaka mono ?
ACT.10.30	Konelio tubaka: Bilumbu iya imene kuluta, lokula yai mono vandaka kulomba mu nzo ya mono mu lokula uvwa, tala, muntu telemaka nantwala na mono mu mvwatu ya kenzima,
ACT.10.31	yandi tubaka: Konelio, Nzambi imene kuwa lombilu ya nge, ye matabisi ya nkenda ya nge ikele kubambukwa na luse ya Nzambi.
ACT.10.32	Sambu na yai, fidisa ku Yope ye binga Simoni ya bingwa Petelo; yandi ikele kuvanda mu nzo ya Simoni muyidiki ya mukanda ya bambizi, ikele mfinama kuna mbu.
ACT.10.33	Nswalu mono fidisaka kwa nge, ye nge imene kusala mbote sambu na nge imene kwiza. Sambu na yai beto yonso ikele awa na luse ya Nzambi na mambu yonso ya Mfumu sikidikisaka nge.
ACT.10.34	Petelo kangulaka munoko ya yandi, ye tubaka: Kieleka, mono zaba Nzambi ikele kutala luse ya muntu ve. 
ACT.10.35	Kansi mu makanda yonso ya bantu, konso ya vumina yandi, ye sala lunungu, Nzambi tabaka yandi.
ACT.10.36	Mambu ya yandi fidisaka kwa bana ya Isaeli, mu samuna ya nsamu mbote ya yenge mu Yesu Klisto, yandi ikele Mfumu ya bantu yonso. 
ACT.10.37	Beno zaba mambu yai, ya mwanganaka mu Yuda yamvimba, yo yantikaka mu Ngalili nanima na mbotika ya Yoane samunaka. 
ACT.10.38	Ikele Yesu ya Nazaleti, ya Nzambi sitaka na Mpeve Yanlongo ye na ngolo, yandi zietaka ye salaka mbote ye belulaka bau yonso ya moniswa mpasi ya diable, kadi Nzambi vandaka na yandi.
ACT.10.39	Beto ikele bantemo na mambu yonso ya yandi salaka mu nsi ya baYuda ye Yelusalemi; bau kufwaka yandi bu bau tulaka yandi va nti. 
ACT.10.40	Nzambi fulukisaka yandi mu kilumbu ya tatu ye kumonikisaka yandi. 
ACT.10.41	Kwa bantu yonso ve, kansi kwa bantemo ya Nzambi solaka ntete; ikele beto ya kudiaka ye kunwaka sikamosi na yandi bu yandi imene kufulukiswa tuka bafwa. 
ACT.10.42	Yandi sikidikisaka beto kusamuna kwa bantu, ye kutuba kitemo, ya yandi kibeni ikele solwa ya Nzambi kuvanda mfundisi ya bankwa moyo ye bafwa. 
ACT.10.43	Bambikudi yonso ikele kutuba kitemo na konsonani ya kwikila yandi, masumu ya yandi tavidiswa mu nkumbu ya yandi. 
ACT.10.44	Bu Petelo ikele kutuba mambu yai, Mpeve Yanlongo kubwaka va bau yonso ya kuwaka mambu yai.
ACT.10.45	Bakwikidi ya nzengolo ya kwizaka na Petelo, yitukaka sambu na matabisi ya Mpeve Yanlongo imene kupeswa kwa bapaien mpe,
ACT.10.46	kadi bau kuwaka bau tuba mu tudimi yankaka, ye kembisa Nzambi. Buna Petelo vutulaka. 
ACT.10.47	Muntu lenda kubuya masa, na bau yai tabotikwa ve, bau ya imene kubaka Mpeve Yanlongo bonso beto ? 
ACT.10.48	Yandi sikidikisaka na bau kubotikwa mu nkumbu ya Yesu Klisto. Buna bau yuvulaka yandi kuvanda na bau bilumbu yankaka.
ACT.11.1	Bantumwa ye bampangi ya vandaka mu Yuda kuwaka, bapaien mpe imene kubaka mambu ya Nzambi.
ACT.11.2	Bu Petelo imene kukuma ku Yelusalemi, bankwa nzengolo tulaka ntembe na yandi,
ACT.11.3	bau tubaka: Nge kotaka na bantu ya konda nzengolo ye imene kudia na bau. 
ACT.11.4	Buna Petelo yantikaka kusonga bau mambu bonso yo vandaka, kutuba: 
ACT.11.5	Mono vandaka mu mbanza ya Yope kulomba, mono monaka mu mona-meso kima mpilamosi lele ya nene ya kangwa na nsongi iya, kulumukaka tuka zulu ye kwizaka kwa mono. Bis. 10:9
ACT.11.6	Bu mono talaka ti, mono talaka ye monaka bambizi ya ntoto ya makulu iya iya, ye bambizi ya mfinda, ye bambizi ya dibenda ye bandeke ya zulu.
ACT.11.7	Mono kuwaka ndinga mpe kutuba kwa mono: Petelo, telema, kufwa ye kudia.
ACT.11.8	Mono tubaka: Mpilayai ve, Mfumu, kadi kima ya sumuka keti ya mvindu imene kukota mu munoko ya mono ntangu mosi ve.
ACT.11.9	Ndinga katukaka na zulu ye tubaka kwa mono mbala ya zole: Yina ya Nzambi imene kuvedisa, tuba ve yo ikele kusumuka.
ACT.11.10	Yo vandaka mpilayai mbala tatu, buna yonso tombolwa diaka ku zulu.
ACT.11.11	Tala, nswalu bantu tatu telemaka nantwala na nzo ya beto vandaka, bau fidiswaka kwa mono tuka Kaisalia.
ACT.11.12	Mpeve tubaka kwa mono kwenda na bau, ye tula ntembe ve. Bampangi yai sambanu kwendaka na mono mpe, ye beto kotaka mu nzo ya muntu yina. 
ACT.11.13	Yandi songaka beto mpilamosi yandi monaka wanjo telema mu nzo ya yandi, ye tubaka: Fidisa ku Yope ye binga Simoni ya bingwa Petelo. 
ACT.11.14	Yandi tatuba mambu kwa nge ya tavulusa nge, nge ye nzo ya nge yamvimba.
ACT.11.15	Bu mono yantikaka kutuba, Mpeve Yanlongo kubwaka va bau, bonso va beto na luyantiku. 
ACT.11.16	Mono bambukaka mambu ya Mfumu ya yandi tubaka: Yoane botikaka na masa, kansi beno tabotikwa na Mpeve Yanlongo. 
ACT.11.17	Sambu na yai, kana Nzambi pesaka bau matabisi mutindu mosi ya yandi pesaka beto, bu beto kwikilaka Mfumu Yesu Klisto, buna mono ikele nani, na mono lenda kubuya Nzambi. 
ACT.11.18	Bu bau kuwaka mambu yai, bau vandaka napi ye kembilaka Nzambi, kutuba: Buna Nzambi imene kupesa kwa bapaien mpe nzila ya pindula ku moyo.
ACT.11.19	Buna bau ya mwanganaka sambu na mambu ya mpasi ya kwizaka sambu na Stefano, bau zietaka ti na Fenike ye Kipelo ye Antiokia, bau tubaka mambu kwa bankaka ve kansi kwa baYuda kaka. 
ACT.11.20	Kansi nakati na bau vandaka bantu yankaka ya Kipelo ye Kilene, bu bau kwizaka ku Antiokia, bau tubaka mpe kwa baElene, ye samunaka nsamu mbote ya Mfumu Yesu.
ACT.11.21	Diboko ya Mfumu vandaka na bau, ntalu ya nene ya bantu ya kwikilaka pindulaka kwa Mfumu.
ACT.11.22	Nsangu ya bau kwizaka na makutu ya dibundu ya vandaka mu Yelusalemi, sambu na yai bau fidisaka Banaba ku Antiokia. 
ACT.11.23	Bu yandi kumaka kuna, ye monaka nlemvo ya Nzambi, yandi yangalalaka, ye bombidilaka bau yonso kukanga ngolo mu Mfumu na lukanu ya ntima.
ACT.11.24	Kadi yandi vandaka muntu ya mbote ye fuluka na Mpeve Yanlongo ye lukwikilu, ye bantu mingi kutikiswa kwa Mfumu.
ACT.11.25	Banaba kwendaka ku Talaso kusosa Sauli. 
ACT.11.26	Bu yandi monaka yandi, yandi twalaka yandi ku Antiokia. Yo vandaka mpilayai, bau kutakanaka mu dibundu mvu yamvimba ye longaka bantu mingi. Banlonguki bingwaka bankwa Klisto ntete mu Antiokia.
ACT.11.27	Mu bilumbu yina, bambikudi katukaka na Yelusalemi ye kulumukaka ku Antiokia.
ACT.11.28	Mosi ya bau, nkumbu ya yandi Agabu telemaka ye songaka mu Mpeve, malema ya nene takwiza mu nsi yonso ya bantu, yo kwizaka mu bilumbu ya Klaudio. 
ACT.11.29	Banlonguki yonso muntu na muntu bonso yandi lenda, kutulaka ntima kufidisa sambu na kusadisa bampangi ya vandaka mu Yuda. 
ACT.11.30	Bau salaka mpilayina, ye fidisaka yau mu maboko ya Banaba ye Sauli, kwa bambuta.
ACT.12.1	Ntangu yina, Elode ntinu basisaka maboko ya yandi kumonisa mpasi kwa bankaka ya dibundu.
ACT.12.2	Yandi kufwaka Yakobi mpangi ya Yoane na mbele.
ACT.12.3	Bu yandi monaka na yo yangidisaka baYuda, yandi simbaka Petelo mpe; kansi yo vandaka bilumbu ya mampa ya konda lufunusu.
ACT.12.4	Bu yandi imene kubaka yandi, yandi tulaka yandi mu boloko, ye pesaka yandi kwa ndonga iya ya basoldat, ndonga mosi mosi ikele na basoldat iya iya, sambu na kukenga yandi; yandi banzaka kutulwa yandi kwa bantu nanima na Pake.
ACT.12.5	Sambu na yai, Petelo kebwaka mu boloko, kansi dibundu bikaka ve kulomba Nzambi ngolo sambu na yandi.
ACT.12.6	Bu ntangu zola kulunga Elode kubasisa yandi, mu mpimpa yina Petelo lalaka nakati basoldat zole, ye kengwa na minyololo zole, ye bankengi vandaka nantwala ya mwelo kukenga boloko.
ACT.12.7	Tala, wanjo ya Mfumu telemaka ndambu na yandi ye mwini kienzulaka mu boloko, yandi bulaka Petelo va lubanzi ye sikamisaka yandi, kutuba: Telema nswalu. Minyololo katukaka na maboko ya yandi. 
ACT.12.8	Wanjo tubaka kwa yandi: Kanga mukaba ya nge ye vwata nsampatu ya nge. Yandi salaka mpilayina. Wanjo tubaka kwa yandi: Vwata kazaku ya nge ye landa mono.
ACT.12.9	Yandi basikaka ye landaka yandi, kansi yandi zabaka ve kana yo ikele kieleka ya wanjo salaka, kansi yandi banzaka yandi monaka mona-meso.
ACT.12.10	Bu bau imene kuluta nkengi ya ntete ye ya zole, bau kwizaka ku mwelo ya bisengu ya kwenda ku mbanza, yo kibeni kanguka kwa bau; bau basikaka ye luta mu balabala mosi, nswalu wanjo katukaka tuka yandi. 
ACT.12.11	Bu Petelo toma kuyindula yandi tubaka: Ntangu yai, mono zaba kieleka na Mfumu imene kufidisa wanjo ya yandi kangula mono na maboko ya Elode, ye na mambu yonso ya baYuda vingilaka.
ACT.12.12	Bu yandi zabaka yo, yandi kwizaka ku nzo ya Malia ngudi ya Yoane ya bingwa Malako mpe, muna bantu mingi kutakanaka kulomba.
ACT.12.13	Bu yandi kunkuta na kielo ya lupangu, sielo nkento kwizaka kuwidikila, nkumbu ya yandi Lode.
ACT.12.14	Bu yandi zabaka ndinga ya Petelo, yandi kangulaka kielo ve sambu na kiese, kansi yandi kotaka nswalu, ye tubaka kwa Petelo ikele kutelema na kielo.
ACT.12.15	Bau tubaka kwa yandi: Nge ikele kulauka. Kansi yandi bikaka ve kutuba yo ikele kaka mpilayina. Bau tubaka: Yo ikele wanjo ya yandi.
ACT.12.16	Petelo bikaka ve kunkuta; bu bau kangulaka, bau monaka yandi ye bau yitukwaka mingi.
ACT.12.17	Kansi yandi labisaka kwa bau na diboko kuvanda napi, yandi songaka bau mpila nki Mfumu basisaka yandi tuka boloko. Yandi tubaka: Songa mambu yai kwa Yakobi ye kwa bampangi. Yandi katukaka ye kwendaka ku sika yankaka.
ACT.12.18	Bu kuma kia, makelele mingi kwizaka nakati basoldat, bu bau monaka Petelo ve.
ACT.12.19	Bu Elode sosaka yandi ye monaka yandi ve, yandi yuvulaka bankengi, ye sikidikisaka kufwa bau. Yandi kulumukaka ku Kaisalia tuka Yuda, ye vandaka kuna.
ACT.12.20	Elode vandaka na kimbeni kwa bantu ya Tilo ye Sidoni. Bau kwizaka sikamosi kwa yandi, bau kitulaka Blastu kapita ya bima ya ntinu, kwiza nduku ya bau, bau lombaka yenge, kadi ntoto ya bau bakaka madia na ntoto ya ntinu.
ACT.12.21	Mu kilumbu ya Elode tulaka, yandi vwataka mvwatu ya ntinu, ye vandaka va kiti ya ntinu, ye tubaka mambu kwa bau.
ACT.12.22	Bantu bokaka: Yai ikele ndinga ya nzambi, ya muntu ve.
ACT.12.23	Nswalu wanjo ya Nzambi bulaka yandi sambu na yandi pesaka ve nkembo kwa Nzambi, ye banyama kudiaka yandi, ye yandi kufwaka.
ACT.12.24	Kansi mambu ya Nzambi kulaka ye mwanganaka. 
ACT.12.25	Banaba ye Sauli katukaka na Yelusalemi ye vutukaka, bu bau manisaka bisalu ya bau kuna, bau twalaka Yoane ya bingwa Malako. 
ACT.13.1	Mu dibundu ya Antiokia vandaka bambikudi ye banlongi, Banaba ye Simeoni ya bingwa Ningeli, ye Lukiu ya Kilene, ye Manaeni ya kulaka sikamosi na Elode nyadi, ye Sauli.
ACT.13.2	Bu bau sadilaka Mfumu ye buya madia, Mpeve Yanlongo tubaka: Sodila mono Banaba ye Sauli sambu na kisalu ya mono imene kubinga bau. 
ACT.13.3	Bu bau imene kubuya madia ye lomba ye tulaka bau maboko, bau sindikaka bau. 
ACT.13.4	Bu bau fidiswaka na Mpeve Yanlongo, bau kwendaka ku Seleukia, tuka kuna bau sabukaka ku Kipelo.
ACT.13.5	Bu bau kumaka ku Salami, bau samunaka mambu ya Nzambi mu banzo ya sambilu ya baYuda; Yoane vandaka bonso nsadisi ya bau.
ACT.13.6	Bu bau imene kuluta sanga yamvimba ti ku Pafo, bau monaka nkwa kindoki, ikele mbikudi ya luvunu, muntu ya Yuda, nkumbu ya yandi Balyesu. Bis. 8:9; 19:19
ACT.13.7	Yandi vandaka sikamosi na nyadi, Selengio Paulu, nkwa ngangu. Yandi bingaka Banaba ye Sauli, ye sosaka kuwa mambu ya Nzambi.
ACT.13.8	Kansi Elima muntu ya kindoki, ikele kutendula ya nkumbu ya yandi, buyaka bau, ye sosaka kuvengumuna nyadi mu lukwikilu.
ACT.13.9	Kansi Sauli, ya bingwa Paulu mpe, fulukaka na Mpeve Yanlongo, talaka yandi ti,
ACT.13.10	yandi tubaka: Nge ya fuluka na luvunu yonso, ye yiba mutindu yonso, mwana ya diable, ye mbeni ya lunungu yonso, nge tabika ve kuvengumuna banzila ya sungama ya Mfumu ?
ACT.13.11	Ntangu yai, tala, diboko ya Mfumu ikele va nge, meso ya nge takufwa, ye nge tamona ntangu ve bilumbu ndambu. Nswalu mbungi ye tombe kubwilaka yandi, yandi zietaka kusosa muntu kutwadisa yandi na diboko. 
ACT.13.12	Nyadi kwikilaka bu yandi monaka kisalu yina, yandi yitukaka sambu na malongi ya Mfumu.
ACT.13.13	Paulu ye bau ya vandaka na yandi sabukaka tuka Pafo, ye kwizaka ku Pelenge mu Pampfilia; kansi Yoane bikaka bau ye vutukaka ku Yelusalemi.
ACT.13.14	Bau katukaka na Pelenge ye lutaka ye kumaka ku Antiokia mu Pisidia. Bau kotaka mu nzo ya sambilu mu kilumbu ya luvundu, ye vandaka.
ACT.13.15	Bu bau imene kutanga nsiku ye bambikudi, bakuluntu ya nzo ya sambilu fidisaka kwa bau, kutuba: Bampangi, kana beno ikele na mambu ya bombodolo kulonga bantu, longa yo. 
ACT.13.16	Paulu telemaka ye labisaka na diboko, ye tubaka: Bantu ya Isaeli ye beno ya vumina Nzambi, kuwa.
ACT.13.17	Nzambi ya bantu yai Isaeli solaka batata ya beto, ye zitisaka bantu bu bau vandaka banzenza mu nsi ya Ngipiti, ye basisaka bau mu diboko ya ngolo. 
ACT.13.18	Kitezo na mvu makumi iya, yandi vibidilaka bifu ya bau mu nsi ya mpamba. 
ACT.13.19	Bu yandi imene kufwa makanda nsambwadi ya bantu mu nsi ya Kanana, yandi pesaka bau nsi yina difwa, kitezo ya mvu nkama iya ye makumi tanu. 
ACT.13.20	Nanima na mambu yai, yandi pesaka bau bamfundisi ti mbikudi Samueli.
ACT.13.21	Nanima na yai bau lombaka ntinu. Nzambi pesaka bau Sauli mwana ya Kisi, muntu ya kikanda ya Benjamini, kitezo ya mvu makumi iya. 
ACT.13.22	Bu yandi imene kukatula yandi, yandi telemisaka Davidi kuvanda ntinu ya bau, yandi tubaka kitemo sambu na yandi mpe, ye tubaka: Mono imene kumona Davidi, mwana ya Isai, muntu ya yangidisa ntima ya mono, yandi tasala luzolo yonso ya mono. 
ACT.13.23	Ya nkuna ya yandi, Nzambi imene kutwala Mvulusi kwa Isaeli, yandi Yesu bonso ya vandaka mu nsilulu. 
ACT.13.24	Bu Yoane imene kusamuna mbotika ya mpindulu mabanza kwa bantu yonso ya Isaeli, buna Yesu kwizaka. 
ACT.13.25	Bu Yoane vandaka kumanisa kisalu ya yandi, yandi tubaka: Beno banza mono ikele nani ? Mono ikele yandi ve. Kansi tala, muntu ikele kwiza nanima na mono ya mono lunga ve kukangula nsampatu ya makulu ya yandi, ya Abalahami, ye beno ya vumina
ACT.13.26	Bampangi, bana ya kikanda Nzambi, kwa beto mambu ya mpulusu yai ikele kufidiswa. 
ACT.13.27	Bau ya vandaka mu Yelusalemi, ye bakuluntu ya bau, sambu na bau zabaka Yesu ve ye ndinga ya bambikudi, ya bau tangaka kilumbu ya luvundu na lumbu ya luvundu, bau manisaka mambu yina bu bau bedisaka yandi. 
ACT.13.28	Bau monaka mambu ve ya lunga kufwa yandi, kansi bau yuvulaka Pilatu kufwa yandi. 
ACT.13.29	Bu bau lungisaka mambu yonso ya sonamaka sambu na yandi, bau katulaka yandi na nti ye tulaka yandi mu ndiamu. 
ACT.13.30	Kansi Nzambi fulukisaka yandi tuka bafwa. 
ACT.13.31	Yandi monikaka bilumbu mingi kwa bau ya kwizaka sikamosi na yandi ku Yelusalemi tuka Ngalili, ntangu yai bau ikele bantemo ya yandi kwa bantu. 
ACT.13.32	Beto twala kwa beno nsamu mbote ya nsilulu ya peswaka kwa batata. 
ACT.13.33	Nzambi manisaka nsilulu yina kwa bana ya beto, bu yandi fulukisaka Yesu; bonso yo ikele kusonama mu Nkunga ya zole: Nge ikele Mwana ya mono, bubu yai mono imene kubuta nge. 
ACT.13.34	Mu mambu ya yandi fulukisaka yandi tuka bafwa, na yandi tavutuka kubola diaka ve, yandi tubaka mpilayai: Mono tapesa nge lusakumunu ya nlongo ye ya kwikama ya Davidi. 
ACT.13.35	Sambu na yandi tuba mu Nkunga yankaka: Nge tabika Nkwa Yanlongo ya nge mona kubola ve. 
ACT.13.36	Kadi Davidi, bu yandi imene kusala lukanu ya Nzambi mu mbandu ya yandi, yandi lalaka tulu, ye yandi zikwaka sikamosi na batata ya yandi, ye yandi monaka kubola.
ACT.13.37	Kansi yandi ya Nzambi fulukisaka monaka kubola ve.
ACT.13.38	Sambu na yai bampangi, bika beno zaba, yo ikele mu muntu yai, na mvidisilu ya masumu ikele kusamunwa kwa beno. 
ACT.13.39	Konsonani ya kwikila ikele kununguswa na mambu yonso mu yandi, kansi bau lendaka ve nunguswa mu nsiku ya Mose. 
ACT.13.40	Sambu na yai, dikeba, na mambu yina tabwila beno ve ya ikele kutubwa mu bambikudi:
ACT.13.41	Tala, beno ya buya, yituka ye kufwa, kadi mono ikele kusala kisalu mu bilumbu ya beno, kisalu yina beno takwikila yo ve, kana muntu tuba yo kwa beno. 
ACT.13.42	Bu bau basikaka, bau lomba na mambu yai lenda kutubwa kwa bau na kilumbu ya luvundu ya landa mpe.
ACT.13.43	Bu bantu ya nzo ya sambilu mwanganaka, baYuda mingi ye bau ya kituka baYuda ya vuminaka Nzambi landaka Paulu ye Banaba, bau tubaka kwa bau ye lombaka bau kukanga ngolo mu nlemvo ya Nzambi.
ACT.13.44	Na kilumbu ya luvundu ya landaka bika fioti mbanza yamvimba kutakanaka kuwa mambu ya Nzambi.
ACT.13.45	Bu baYuda monaka bibuka, bau fulukaka na kimpala ye buyaka mambu ya Paulu tubaka, ye tubaka mbi sambu na yandi.
ACT.13.46	Buna Paulu ye Banaba tubaka na kikesa, kutuba: Yo lunga na mambu ya Nzambi tubwa ntete kwa beno. Kansi sambu na beno imene kubuya yo, ye beno imene kuzenga mambu ya beno mosi lunga ve kubaka moyo ya mvu ya mvu, tala, beto pindula kwa bapaien. 
ACT.13.47	Kadi Mfumu sikidikisaka beto, kutuba: Mono imene kutula nge bonso mwini kwa bapaien, sambu na kunata mpulusu ti nsuka ya ntoto. 
ACT.13.48	Bu bapaien kuwaka mambu yai, bau yangalalaka ye kembilaka mambu ya Mfumu, bau yonso ya imene kusolwa kuvanda na moyo ya mvu ya mvu, bau kwikilaka. 
ACT.13.49	Mambu ya Mfumu mwanganaka mu nsi yina yamvimba.
ACT.13.50	BaYuda telemisaka ntima ya bankento ya luzitu ye ya mawete, ye babakala ya luzitu mu mbanza, telemisaka bau kumonisaka Paulu ye Banaba mpasi ye basisaka bau tuka ntoto ya bau.
ACT.13.51	Kansi bau katulaka mfumfuta na makulu ya bau, ye kwendaka ku Ikone. 
ACT.13.52	Banlonguki fulukaka na kiese ye Mpeve Yanlongo.
ACT.14.1	Yo vandaka mpilayai mu Ikone, bau kotaka sikamosi mu nzo ya sambilu ya baYuda, bau tubaka ti kibuka ya nene ya baYuda ye baElene kwikilaka.
