MAT.1.1	ایسّا مَسیه، 
LUK.8.30	ایسّایا چه آییا جُست کرت: «تئیی نام کئے اِنت؟» آییا پَسّئو دات: «منی نام لشکر اِنت،» چیا که بازێن جِنّے آییئے جسم و جانا پُترتگ‌اَت. 
LUK.8.31	جِنّان گۆن ایسّایا دَزبندی کرت که آیان، جُهلێن تَهتَرونئے
LUK.8.32	همۆدا، جُمپێئے سرا، هوکّانی مزنێن رمگے چَرگا اَت، 
LUK.8.33	جِنّان آ مرد یله دات و هوکّانی جسما پُترتنت و اَناگت، هوکّانی رمگ چه جُمپا جَهلگا اێر کپانا گوَرما بُکِّت.
LUK.8.34	وهدے هوکّانی شْوانگان چُش دیست، په دْرِکّے مێتگ و شهرا شتنت و مردمِش هال داتنت. 
LUK.8.35	مردم شتنت تان گۆن وتی چمّان اے سرگوَستا بگندنت. ایسّائے کِرّا آتکنت و هما مردِش دیست که 
LUK.8.36	آ که وت چَمدیستێن شاهد اتنت، آ دگه مردمِش هال داتنت که اے جِنّی گنۆک چۆنکا دْراه بوتگ. 
LUK.8.37	گِراسینائے سرڈگارئے مردمان، گۆن ایسّایا دَزبندی کرت که آیانی سرڈگارا یله بدنت و برئوت، چیا که آیان بازَ تُرست. پمێشکا ایسّا بۆجیگا سوار بوت و شت.
LUK.8.38	هما مردا که ایسّایا آییئے 
LUK.8.39	«لۆگا برئو و وتی مردمان هال بدئے که هُدایا گۆن تئو چۆنێن کارے کرتگ.» آ مرد شت و وتی شهرا جاری جت که ایسّایا گۆن آییا چے کرتگ.
LUK.8.40	وهدے ایسّا پِر ترّت، رُمبے مردما وشّ‌آتک کرت، چیا که سجّهێن آییئے رَهچار اتنت. 
LUK.8.41	هما وهدا، یایْروس نامێن یک مردے که 
LUK.8.42	چیا که آییئے یکّێن جنک، که اُمری دوازده سالئے کِساسا اَت، مَرکیگ اَت. وهدے ایسّا آییئے لۆگئے نێمگا رئوگا اَت، مردم چَکّا کپان و تێلانک دئیان آییئے گوَرا مُچّ بوتنت.
LUK.8.43	همۆدا یک جنێنے هم هست‌اَت که دوازده سال اَت آییئے هۆن بند نبوتگ‌اَت. هچکَسا هم آ دْراه کرت نکرتگ‌اَت.
LUK.8.44	هما جنێن، ایسّائے پُشتی نێمگا آتک و آییئے کباهئے لَمبی دست جت و هما دمانا هۆن بند بوت. 
LUK.8.45	گڑا ایسّایا گوَشت: «کئیا منی کباه دست جت؟» وهدے هچکَسا نمَنِّت، گڑا پِتْرُسا گوَشت: «واجه! وت گِندگا ائے که مردمان ترا چۆن اَنگِرّ کرتگ
LUK.8.46	بله ایسّایا پدا گوَشت: «اَلّما کَسێا منا دست پِر کرت، من مارت
LUK.8.47	وهدے جنێنا زانت که اے هبر چێر دئیگَ نبیت، گڑا لَرزانا آتک و ایسّائے پادان کپت. آییا سجّهێنانی دێما گوَشت که چیا ایسّائے کباهی دست پِر کرتگ و چِه پئیما، هما دمانا چه وتی نادْراهیا رَکّتگ. 
LUK.8.48	ایسّایا گوَشت: «او منی جنک! تئیی سِتک و باورا ترا رَکّێنتگ، په وشّی و سلامتی برئو.»
LUK.8.49	ایسّا اَنگت هبرا اَت، که چه 
LUK.8.50	ایسّایا اے هبر اِشکت و گۆن یایْروسا گوَشتی: «متُرس، باور کن، تئیی جنکَ رَکّیت.»
LUK.8.51	وهدے ایسّا یایْروسئے لۆگا رَست، آییا پِتْرُس، یوهَنّا، آکوب و هما جنکئے پت و ماتا اَبێد، دگه هچکَس همراهیئے اجازت ندات. 
LUK.8.52	سجّهێن مردم په جنکئے مَرکا مۆتک و زاری کنگا اتنت. بله آییا گوَشت: «مگرێوێت، آ نمرتگ، بَسّ واب اِنت.» 
LUK.8.53	آیان ایسّائے سرا کندت و کلاگ گپت، چیا که زانتگ‌اَتِش جنک مرتگ. 
LUK.8.54	ایسّایا جنکئے دست گپت و گۆن بُرزێن تئوارے گوَشتی: «او منی چُکّ! پاد آ.» 
LUK.8.55	جنکئے ساه پِر ترّت و هما دمانا پاد آتک. ایسّایا گوَشت: «چُکّا وَرَگ بدئیێت.» 
LUK.8.56	چُکّئے مات و پت هئیران و هَبَکّه منتنت، بله ایسّایا کَڈّن کرتنت که اے هبرا گۆن هچکَسا مگوَشنت.
LUK.9.1	ایسّایا وتی دوازدهێن 
LUK.9.2	په 
LUK.9.3	گوَشتی: «راها، گۆن وت چیزے مبرێت، نه اَسا و دَزلَٹّے، نه لۆت
LUK.9.4	وهدے لۆگێا رئوێت، تان شهرئے یله دئیگا هما لۆگا بمانێت. 
LUK.9.5	اگن یک شهرێئے مردم شمارا وشّ‌آتکَ نکننت، گڑا در آیگئے وهدا، وتی پادانی دَنزان همۆدا بچَنڈێت و بتکێنێت تان آیانی هِلاپا شاهدی ببیت که شما هُدائے کُلئو په آیان رَسێنتگ.» 
LUK.9.6	گڑا ایسّائے مرید در کپت و مێتگ په مێتگ هر جاه، وشّێن 
LUK.9.7	وهدے 
LUK.9.8	دگه لهتێن گوَشگا اَت که: «
LUK.9.9	گڑا هیرودیسا گوَشت: «یَهیائے سر وه من بُرِّتگ، نون اے کئے اِنت که آییئے بارئوا من اے ڈئولێن هال اِشکنگا آن؟» آ په ایسّائے گِندگا هُدۆناک
LUK.9.10	وهدے ایسّائے 
LUK.9.11	بله وهدے مردم سَهیگ بوتنت، آییئے رَندا راه گپتنت. ایسّایا آ وشّ‌آتک کرتنت، 
LUK.9.12	رۆنندئے وهدا، دوازدهێن 
LUK.9.13	بله ایسّایا گوَشت: «شما وت اِشان وراک بدئیێت.» آیان پَسّئو دات: «مئے کِرّا پنچ نَگَن و دو ماهیگا گێشتر چیزے نێست، بله هئو، اگن برئوێن په اے سجّهێن مردمان وراک په بها بگرێن.» 
LUK.9.14	چه آ مردمان، کِساس پنچ هزار مردێن اتنت. ایسّایا گۆن مریدان گوَشت: «مردمان پنجاه پنجاهئے ٹۆلیا بنندارێنێت.» 
LUK.9.15	مریدان انچُش کرت و مردم نندارێنتنت.
LUK.9.16	ایسّایا پنچێن نان و دوێن ماهیگ زرتنت و آسمانئے نێمگا چارت، هُدائے شگری گپت و پدا نان و ماهیگی چُنڈ چُنڈ کرت و مریدانی دستا داتنتی تانکه مردمانی سرا بهر بکننت. 
LUK.9.17	سجّهێن مردمان لاپ‌سێرا ورگ وارت و اَنگت چه سر آتکگێن چُنڈان، دوازده سَپْت پُرّ بوت.
LUK.9.18	یک رۆچے، ایسّا اێوکا دْوا کنگا اَت و مرید گۆن آییا گۆن اتنت. چه مریدان جُستی کرت: «مردم منی بارئوا چے گوَشنت، من کئے آن؟» 
LUK.9.19	آیان پَسّئو دات: «لهتێنَ گوَشیت تئو پاکشۆدۆکێن یَهیا ائے و لهتێنَ گوَشیت تئو 
LUK.9.20	آییا جُست کرت: «شما وت منی بارئوا چے گوَشێت، من کئے آن؟» پِتْرُسا پَسّئو دات: «تئو هُدائے راه داتگێن هما 
LUK.9.21	بله ایسّایا آ هُکم کرتنت که: «اے هبرا گۆن هچکَسا مگوَشێت.» 
LUK.9.22	گوَشتی: «
LUK.9.23	ایسّایا سجّهێن مردم گوَشتنت: «اگن کَسے لۆٹیت منی رَندگیریا بکنت، وتی دلئے واهگ و لۆٹان یله بدنت و هر رۆچ وتی جندئے 
LUK.9.24	هرکَس که وتی ساهئے رَکّێنگئے جُهدا ببیت، آییا باهێنیت.
LUK.9.25	اگن یکّێا سجّهێن 
LUK.9.26	اگن کَسے چه من و منی هبران لَجّ
LUK.9.27	بله من شمارا راستێنَ گوَشان، اِدا لهتێن مردم اۆشتاتگ که تان آیانی دێما 
LUK.9.28	چه اے هبران، کِساس هشت رۆچا رَند، ایسّایا پِتْرُس، یوهَنّا و آکوب همراه کرتنت و په دْوایا یک کۆهێئے سرا شت. 
LUK.9.29	وهدے ایسّا دْوا کنگا اَت، آییئے دێمئے رَنگ بدل بوت و گوَرئے گُد سکّ اِسپێت بوت و دْرپشگا
LUK.9.30	یک اَناگت دو مردم پَدّر بوت و گۆن ایسّایا هبر کنگا اتنت، یکّے موسّا و آ دگه 
LUK.9.31	آ دوێن گۆن مزنێن شان و شئوکتێا زاهر بوتنت و ایسّائے مَرکئے بارئوا هبر کنگا اتنت که اَلّما 
LUK.9.32	پِتْرُس و آییئے همراه آکوب و یوهَنّا سکّ وابێنگ اتنت، بله وهدے شَرّ آگاه بوتنت، گڑا دیستِش که ایسّا په شان و شئوکتے گۆن موسّا و 
LUK.9.33	وهدے آ دوێن ایسّایا رُکست کنگ و رئوگی اتنت، پِتْرُسا گوَشت: «واجه! مئے اِدا بئیگ سکّ شَرّ اِنت، بِلّ که ما سئے ساهگ و کاپارَ
LUK.9.34	اَنگت پِتْرُس هبرا اَت که جمبرێا
LUK.9.35	چه جمبرا تئوارے رُست: «اے منی گچێنی بَچّ اِنت. شما اِشیئے هبران گۆش بدارێت.» 
LUK.9.36	تئوارئے اِشکنگا رَند، مریدان ایسّا اێوکا دیست. آیان اے سَرگوَست وتی دلا داشت و آ وهدا وتی دیستگێنِش گۆن هچکَسا نگوَشت.
LUK.9.37	دومی رۆچا وهدے ایسّا و سئیێن مرید چه کۆها اێر آتکنت، مردمانی مزنێن مُچّیے آتک و گۆن ایسّایا دُچار کپت. 
LUK.9.38	چه مردمانی نیاما یک مردمێا کوکّار کنانا گوَشت: «او استاد! گۆن تئو دَزبندیَ کنان که ترا منی بچکئے سرا بَزّگ ببیت، آ منی یکّێن چُکّ اِنت. 
LUK.9.39	 اَناگه منی چُکّا گیپت و ژامبلێنیت
LUK.9.40	من گۆن تئیی مریدان دَزبندی کرت که اے جِنّا بکَشّنت، بله آیان کَشّت نکرت.» 
LUK.9.41	ایسّایا گوَشت: «او بێباور و گمراهێن نَسل و پدرێچ! من تان کدێنا گۆن شما بمانان و بسگّان؟ چُکّا اِدا بیار.» 
LUK.9.42	وهدے چُکّ پێداک اَت، جِنّا ژامبلێنت و ڈگارا جت. ایسّایا جِنّ گۆن نِهرّ و هَکّلان مان بست، چُکّ دْراه کرت و پتئے دستا دات. 
LUK.9.43	سجّهێن مردم چه هُدائے مزنیا هئیران بوت و بَه منتنت.
LUK.9.43	وهدے سجّهێن مردم چه ایسّائے مۆجزه و اَجَبێن کاران هئیران اتنت، گۆن وتی مریدان گوَشتی: 
LUK.9.44	«منی اے هبران په شَرّی دلگۆش کنێت، 
LUK.9.45	بله مرید آییئے اے هبرا سرپد نبوتنت، چیا که په آیان رَمز و رازے اَت. چه ایسّایا جُست کنگِش هم تُرست.
LUK.9.46	ایسّائے مرید وت‌مان‌وتا اے گپّئے سرا دَپ‌جاک کنگا اتنت: «بارێن، مئے نیاما سجّهێنانی مستر و کماش کئے اِنت؟» 
LUK.9.47	ایسّایا آیانی دلئے هبر زانت و یک کسانێن چُکّے وتی کَشا اۆشتارێنت و 
LUK.9.48	گۆن مریدان گوَشتی: «هرکَس که په منی نامئیگی اے کسانێن چُکّا گۆن وشواهگی بزوریت و وتی گوَرا بداریت، بزان آییا منا زرتگ و مَنِّتگ. هرکَس که منا بمَنّیت هما هُدایا مَنّیت که منا راهی داتگ، چیا که چه شما، هما مستر اِنت که وتا چه سجّهێنان کَسترَ زانت.»
LUK.9.49	یوهَنّایا گۆن ایسّایا گوَشت: «واجه! ما یک مردے دیست که گۆن تئیی نامئے گِرگا چه مردمان پلیتێن روهان درَ کنت، بله ما آ مَکَن و مَنَه کرت، چیا که آ مرد چه ما نه‌اَت.» 
LUK.9.50	ایسّایا گوَشت: «نه، اے کارا مکنێت، چیا که اگن کَسے شمئے بدواه مبیت، گۆن شما اِنت.»
LUK.9.51	وهدے ایسّائے چِست بئیگ و آسمانا رئوگئے وهد نزّیک بوت، گڑا گۆن دلجمێن شئورے دێم په 
LUK.9.52	بله چه وتا پێسر، لهتێن 
LUK.9.53	بله اۆدئے مردمان ایسّا وشّ‌آتک نکرت چیا که آ اورْشَلیما رئوگا اَت.
LUK.9.54	وهدے ایسّائے مرید، آکوب و یوهَنّا چه اے هالا سَهیگ بوتنت، گوَشتِش: «او 
LUK.9.55	بله ایسّایا چَکّ تَرّێنت، آ نِهرّ و هَکّل داتنت.
LUK.9.56	رَندا گۆن وتی مریدان، دگه مێتگێا شت.
LUK.9.57	ایسّا و آییئے مرید، راها رئوگا اتنت. یک مردێا گوَشت: «هر جاه که تئو رئوئے من تئیی همراهَ بان.» 
LUK.9.58	ایسّایا گوَشت: «رۆباهان هۆنڈ و جاگه هست و بالی مُرگان کدۆه و کُدام، بله من که 
LUK.9.59	ایسّایا گۆن دگه مردێا گوَشت: «بیا، منی رَندگیریا بکن.» بله آییا پَسّئو دات: «او واجه! منا مۆکل بدئے پێسرا رئوان وتی پتا کبرَ کنان.» 
LUK.9.60	ایسّایا گوَشت: «بِلّ که مُردگ وتی مُردگان وت کَبر و کپنَ کننت، تئو برئو و 
LUK.9.61	دگرێا گوَشت: «او واجه! من تئیی رَندگیریا کنان، بله منا بِلّ تان پێسرا وتی لۆگئے مردمان رُکست بکنان.» 
LUK.9.62	ایسّایا آییئے پَسّئوا گوَشت: «آ کَس که نَنگار کنگئے وهدا پُشتا چاریت، 
LUK.10.1	چه اِشیا رَند، 
LUK.10.2	گۆن آیان گوَشتی: «کِشار باز اِنت، بله رُنۆک
LUK.10.3	برئوێت، که من شمارا گوَرگانی ڈئولا، گُرکانی نیاما رئوانَ کنان. 
LUK.10.4	وتی سات و سپرا گۆن وت، نه زَرتورَگ و لۆت و پێلک
LUK.10.5	«هر لۆگێا که رئوێت ائولا بگوَشێت: ‹اے لۆگئے مردم دْراه و اێمِن باتنت›. 
LUK.10.6	چه آ لۆگئے مردمان، اگن کَسے سُهل و اێمنیئے لۆٹۆک اِنت، شمئے اے اێمنیئے واهگ په آییا رسیت و اگن آ نکرزیت، شمئے اے واهگ پدا په شما پِرَ ترّیت. 
LUK.10.7	هما یکّێن لۆگا بدارێت و لۆگ په لۆگ مرئوێت. هرچے که شمارا په ورگا داتِش، بوَرێت و بنۆشێت، چیا که کار کنۆک وتی رۆزیگئے هکدار اِنت.
LUK.10.8	«هر شهرێا که رئوێت و آ شهرئے مردم شمارا وشّ‌آتکَ کننت، گڑا هرچے که په ورگا کارنت، بوَرێت. 
LUK.10.9	هما شهرئے نادْراهان دْراه کنێت و مردمان بگوَشێت که 
LUK.10.10	بله اگن شهرێا شتێت که آ شهرئے مردمان شمارا وشّ‌آتک نکرت، گڑا چه اۆدا در بیاێت و هما شهرئے رَهسران هرکَسا که گندێت، آیان بگوَشێت: 
LUK.10.11	‹شمئے شهرئے هما دَنز که مئے پادان لگّتگ، ما آ دَنزان همِدا چَنڈێن و تکێنێن، تانکه اے دَنز شاهدی بدئینت که ما هُدائے وشّێن کُلئو په شما آورت. بله بزانێت که هُدائے بادشاهی نزّیک اِنت.› 
LUK.10.12	باور کنێت، جُست و پُرسئے رۆچا سُدومئے مردمانی سزا چه آ شهرئے مردمانی سزا و اَزابا آسانتر و کمترَ بیت.
LUK.10.13	«بَژن و اَپسۆز په شما، او کُرازینئے مردمان! بَژن و اَپسۆز په شما، او بئیت‌سئیدائے مردمان! هما مۆجزه و اَجِکّایی
LUK.10.14	جُست و پُرسئے رۆچا، سور و سئیدونئے مردمانی سِزا چه شمئے سِزا و اَزابا آسانتر و کمترَ بیت. 
LUK.10.15	او کَپَرناهومئے مردمان! شما چِست کنگ و آسمانا برگَ بێت؟ هچبر! تَهتَرونئے جُهلانکیان سَرْشَکونَ بێت.
LUK.10.16	«اگن کَسے شمئے هبران گۆش بداریت، آ منی هبران هم گۆشَ داریت. هرکَس شمارا ممَنّیت، آ منا هم نمَنّیت و منی نمَنّۆک آییا هم نمَنّیت که منا راهی داتگ.»
LUK.10.17	ایسّائے هپتادێن مرید گۆن شادهی پِر ترّتنت و گوَشتِش: «او 
LUK.10.18	ایسّایا درّاێنت: «من شئیتان دیست که گرۆکێئے ڈئولا چه آسمانا کپت. 
LUK.10.19	من شمارا هما واک و اِهتیار داتگ که مار و زیمّ و دژمنئے سجّهێن واک و کُدرتا لگتمال بکنێت. هچ چیز شمارا تاوان داتَ نکنت و نُکسانَ نرسێنیت. 
LUK.10.20	بله په اِشیا دِلوشّ مبێت که جِنّ شمئے هُکما مَنّنت، شمئے دِلوشّی اے ببیت که نامۆ آسمانا نبیسگ بوتگ.»
LUK.10.21	هما دمانا، گۆن 
LUK.10.22	سجّهێن چیز، پتا منی دستا داتگ‌اَنت. اَبێد چه پتا، هچکَس چُکّا نزانت، همے ڈئولا، اَبێد چه چُکّا و هما مردمان که چُکّ بلۆٹیت پتا په آیان پَدّر بکنت، دگه هچکَس پتا نزانت.»
LUK.10.23	پدا ایسّایا په اِهوت و هَلوتا دێم گۆن مریدان کرت و گوَشتی: «بَهتاور اَنت هما چمّ که هرچے شما دیستگ آ هم بگندنت. 
LUK.10.24	من شمارا گوَشان، بازێن پئیگمبر و بادشاهانی واهگ و مُراد همے بوتگ که هرچے شما گِندگا اێت آیان هم بدیستێن، بله ندیستِش و هرچے شما اِشکنگا اێت آیان هم بِشکُتێن بله نه‌اِشکتِش.»
LUK.10.25	چه 
LUK.10.26	ایسّایا پَسّئو دات: «شَریَتا چے نبشته اِنت، چه آییئے وانگا تئو چے سرپدَ بئے؟» 
LUK.10.27	آییا پَسّئو دات: 
LUK.10.28	ایسّایا گوَشت: «تئو شَرّ گوَشتگ، همے ڈئولا بکن، ترا 
LUK.10.29	نون 
LUK.10.30	آییئے پَسّئوا، ایسّایا چُش گوَشت: «یَهودی مردے چه 
LUK.10.31	بے گَت و گُمانا، چه همے راها یک 
LUK.10.32	همے ڈئولا، 
LUK.10.33	بله رَندترا، 
LUK.10.34	آییئے کِرّا آتک و ٹَپّی گۆن شراب و ٹێل درمان کرت و بستنت، وتی اۆلاکا سوار کرت، یک کاروانسراێا آورت و آییئے هئیالداری‌ای کرت. 
LUK.10.35	دومی رۆچا، کاروانسرائے هُدابُندی دو دینار دات و گوَشتی: ‹اے مردئے هئیالداریا بکن، اگن چه اے زَرّان گێشتر پَکار بوت پِر ترّگئے وهدا ترا دئیان.›»
LUK.10.36	گڑا ایسّایا چه هما 
LUK.10.37	آییا پَسّئو دات: «هما که آییئے سرا بَزّگی بوت.» ایسّایا گوَشت: «برئو تئو هم انچُش بکن.»
LUK.10.38	ایسّا و آییئے مرید، گوَزان و پَند جنان، آتک و مێتگێا رَستنت. اۆدا، مَرتا نامێن جنێنێا ایسّا وتی لۆگا مهمان کرت. 
LUK.10.39	مَرتایا مَریم نامێن گهارے هست‌اَت که په 
LUK.10.40	بله مَرتا که مهمانیئے کارانی چِن و لانچا دَزگٹّ اَت، ایسّائے کِرّا آتک و گوَشتی: «او 
LUK.10.41	بله هُداوندێن ایسّایا پَسّئو دات: «مَرتا، او مَرتا! تئو بازێن کار و بارانی سرا وتا نگران و دِلتَپَرکهَ
LUK.10.42	بله تهنا یک چیز زلورت اِنت. مَریما هما گهترێن په وت گچێن کرتگ که چه آییا پَچ گِرگَ نبیت.»
LUK.11.1	یک بَرے ایسّا جاگهے دْوا کنگا اَت، وهدے دْوایی هلّێنت، چه آییئے مریدان یکّێا گوَشت: «او 
LUK.11.2	ایسّایا گوَشت: «هروهد دْوا کنێت، اے ڈئولا بگوَشێت:
LUK.11.2	‹او پت!
LUK.11.3	مئے هر رۆچیگێن رِزک و رۆزیگا هر رۆچ مارا بدئے.
LUK.11.4	مئے گناه و رَدیان ببَکش، انچُش که ما وتی سجّهێن دئینکارانَ بَکشێن. مارا آزمایش و چَکّاسا دئور مدئے.›»
LUK.11.5	گڑا ایسّایا گوَشت: «چه شما یکّے، اگن شپنێما وتی سَنگتئے لۆگا برئوت و بگوَشیت: ‹او برات! منا سئے نان په بدل بدئے، 
LUK.11.6	که دۆستے چه سپرا آتکگ و منی لۆگا په ورگا هچّ نێست،› 
LUK.11.7	بوتَ کنت آ چه وتی لۆگا جواب بدنت و بگوَشیت: ‹او دۆست! منا دلسیاه مکن، لۆگئے دپ بند اِنت و من گۆن چُکّان وپتگان. انّون پاد آتکَ نکنان ترا چیزے بدئیان.› 
LUK.11.8	شمارا گوَشان، اے مرد اگن په دۆستیا پاد مئیئیت و آییا چیزے مدنت، بله چه آییئے بازێن لێزگی و لێس و پِلّێسا
LUK.11.9	«نون شمارا گوَشان: بلۆٹێت، شمارا دئیگَ بیت. شۆهاز بکنێت، درَ گێجێت. دروازگا بٹُکّێت، پَچَ بیت. 
LUK.11.10	چیا که هرکَس بلۆٹیت، آییا رسیت. هرکَس شۆهاز بکنت، درَ گێجیت. هرکَس دروازگا بٹُکّیت، په آییا پَچَ بیت.
LUK.11.11	«شمئے نیاما چُشێن پتے هست که اگن آییئے چُکّ ماهیگ بلۆٹیت مارے بدنتی؟ 
LUK.11.12	یا اگن هئیکے بلۆٹیت، زیمّے بدنتی؟ 
LUK.11.13	نون اگن شما که رَدکار اێت، اَنگت هم وتی چُکّان شَرّێن چیزانی دئیگا زانێت، گڑا مئے آسمانی پت چنکدر شرترَ زانت که وتی لۆٹۆکێن چُکّان 
LUK.11.14	یک بَرے، ایسّا چه یکّێا 
LUK.11.15	بله لهتێنا گوَشت: «ایسّا چه جِنّانی سردار 
LUK.11.16	دگه لهتێنا په ایسّائے چَکّاسگا چه آییا آسمانی نشانیے لۆٹت. 
LUK.11.17	بله ایسّایا آیانی دلئے هال و هبر زانتنت و گوَشتی: «اگن یک مُلکێا ناتِپاکی بکپیت، آ مُلک گار و زئوالَ بیت، اگن یک لۆگێئے مردم گۆن وت جنْگ و جێڑه بکننت، آ لۆگ هراب و بربادَ بیت. 
LUK.11.18	اگن شئیتان گۆن وت جنْگ بکنت، گڑا آییئے بادشاهی چۆن برجاهَ مانیت؟ شما گوَشێت که من چه جِنّانی سردار، بِلزَبولئے کُمکا جِنّان درَ کنان. 
LUK.11.19	نون اگن من گۆن بِلزَبولئے سرۆکیا جِنّان درَ کنان، گڑا شمئے جندئے چُکّ و مرید گۆن کئیی زۆر و واکا جِنّان درَ کننت؟ اے پئیما، شمئے مرید وت شمارا مئیاریگَ کننت. 
LUK.11.20	بله اگن من گۆن هُدائے زۆر و واکا جِنّان درَ کنان، بزانێت که 
LUK.11.21	«اگن یک زۆراورێن مردمے سِلاهبند ببیت و وتی لۆگئے نِگهپانیا بکنت، گڑا آییئے مال و مِلکت برجاهَ ماننت. 
LUK.11.22	بله اگن زۆرمندترێن مردمے آییئے لۆگئے سرا هَمله و اُرُش
LUK.11.23	کَسے که منی همراه و دۆستواه نه‌اِنت آ منی بدواه اِنت، کَسے که مُچّ و یکجاه کنگا گۆن من هۆر نه‌اِنت، آ تَک و پَرک و شِنگ و شانگَ کنت.
LUK.11.24	«وهدے 
LUK.11.25	وهدے پِرَ ترّیت و گندیت که آ جاگه رُپتگ و ساپ و سَلّه اِنت، 
LUK.11.26	گڑا رئوت و چه وتا دگه هپت سِلترێن جِنَّ کاریت. آ سجّهێن، هۆریگا اۆدا رئونت و اُرد و بُنگَ کننت. اے ڈئولا، آ مردمئے آسر و آکبت چه پێسریگێنا اَنگت بدترَ بیت.»
LUK.11.27	همے وهدا که ایسّا اے هبران کنگا اَت چه مردمانی نیاما یک جنێنێا گوانک جت: «بَهتاور هما مات اِنت که چه آییئے لاپا تئو پێدا بوتگئے و ترا شیری مێچێنتگ.» 
LUK.11.28	ایسّایا آییئے پَسّئوا درّاێنت: «بَهتاور هما اَنت که 
LUK.11.29	وهدے مردمانی مُچّی گێشتر بئیان اَت، ایسّایا گوَشت: «اے زمانگئے مردم شِرّ و زِنهکارێن مردم اَنت. اَجَبَّتێن نشانیَ لۆٹنت، بله آیان 
LUK.11.30	انچُش که په نئینَوائے مردمان یونِس یک نشانیے اَت، همے پئیما 
LUK.11.31	جُست و پُرسئے رۆچا، سَبائے مَلکه
LUK.11.32	جُست و پُرسئے رۆچا، نئینَوائے مردم گۆن اے زمانگئے مردمان هۆریگا پادَ کاینت و آیان مئیاریگَ کننت، چیا که آ، یونِسئے ڈاه و هُژّارباشئے سرا چه وتی گناهان پشۆمان بوتنت. بله نون چه یونِسا مسترێنے اِدا اِنت.
LUK.11.33	«هچکَس چِراگا په چێر دئیگا رۆکَ نکنت و نه آییا تَگارئے چێرا اێرَ کنت. آییا چِراگجاهئے سرا اێرَ کنت، تان هرکَس که لۆگا کئیت آییئے رُژناییا بگندیت. 
LUK.11.34	تئیی چمّ، جسم و جانئے چِراگ اِنت. وهدے تئیی چمّ وشّ و دْراه اِنت، تئیی سجّهێن جسم و جان رُژناگَ بیت، بله اگن تئیی چمّ نادْراه ببیت، گڑا تئیی جسم و جان هم تهارَ بیت. 
LUK.11.35	هُژّار بئے، اے نور و رُژن که ترا هست‌اِنت، تهار مبیت. 
LUK.11.36	اگن تئیی سجّهێن جسم و جان رُژناگ ببیت و آییئے هچ بهرے تهار مبیت، گڑا سرجمیا دْرپشناکَ بیت، انچُش که چِراگئے شَهم ترا رُژناگَ کنت.»
LUK.11.37	وهدے ایسّایا هبر هلاس کرت، یک 
LUK.11.38	بله وهدے پَریسیا دیست که ایسّایا چه ورگا پێسر دست نشُشتنت هئیران مَنت. 
LUK.11.39	گڑا 
LUK.11.40	او ناسرپدان! آییا که شمئے ڈنّی نێمگ، بزان جسم و جان اڈّ کرتگ، شمئے دل و درون هم هماییا نجۆڑێنتگ؟ 
LUK.11.41	گڑا چه درونئے چیزان هئیرات بدئیێت تان سجّهێن چیز په شما پاک و سَلّه ببنت.
LUK.11.42	«او 
LUK.11.43	او پَریسیان! بَژن و اَپسۆز په شما که 
LUK.11.44	بَژن اِنت، شما هما کبرانی پئیما اێت که آیانی سرا سِنگ و شَکّ
LUK.11.45	اے هبرانی سرا 
LUK.11.46	ایسّایا گوَشت: «او شَریَتئے کازیان! په شما هم بَژن و اَپسۆز اِنت. شما مردمانی چَکّا گرانێن بارَ لَڈّێت که چه آیانی زۆرا گێش اِنت، بله وت په کُمک کنگا، لَنکُک و مۆردانگے
LUK.11.47	«بَژن و اَپسۆز په شما! هما نبیانی کبرانی سرا گُمبُد و اَدّیرهَ بندێت که شمئے پت و پیرُکان کُشتگ‌اَنت. 
LUK.11.48	اے پئیما، شما وت آیانی اے کارئے شاهد و مَنّۆگر اێت. شمئے پت و پیرُکان پئیگمبر کُشتگ‌اَنت و شما آیانی کبرانی سرا اَدّیرهَ بندێت. 
LUK.11.49	پمێشکا، هُدایا چه وتی هِکمتا گوَشتگ: من پئیگمبر و 
LUK.11.50	پمێشکا چه 
LUK.11.51	بزان هابیلئے هۆنا بگر تان زَکَریائے هۆنا، که کُربانجاه و 
LUK.11.52	«او 
LUK.11.53+LUK.11.54	وهدے ایسّا چه اۆدا در آتک، 
LUK.12.1	هما وهدا، هزاران مردم مُچّ بوت و یکدومیا گوَرمۆش دئیان و لپاشان اَت. ایسّایا پێسرا دێم گۆن مریدان تَرّێنت، وتی گپّ و تْرانی بُنگێج کرت و گوَشتی: «چه 
LUK.12.2	چیا که هچ چێرێن کارے نێست که زاهر و پَدّر مبیت و چُشێن اَندێم و پناهێن چیزے نێست که آشکار و دێمدرا مبیت. 
LUK.12.3	پمێشکا، هر هبرے که شما شپئے تهاریا کرتگ، رۆچئے رُژناییا اِشکنگَ بیت و هر هبرے که شما دَپبندێن لۆگانی تها په هلوَت کرتگ، چه لۆگ و بانانی سرا جار جنَگَ بیت.
LUK.12.4	«او منی دۆستان! شمارا گوَشان که چه مردمان متُرسێت. آ شمئے جِسم و جانا کُشتَ کننت، بله چه اِشیا گێشتر هچّ کرتَ نکننت. 
