MAT.1.1	Igioroni jio abuk ana afureta hohonyiok Yesu Kristo to woyo ba Dafide, lonyi Abramo.
ACT.27.14	Ati ojio ihalu kai, odioto nyia noyyami onno obolo anna anya 'to “Ehiji Samal iko eduoŋi holoŋ.” Ohutuno nyia tottono aful ania. 
ACT.27.15	Ninyia ittanniŋ oyyami ababur ania, ette igolon jio ababur ilari attany oloyyami; ania, ette hohoi iŋatana oyyami hotohutaru inyi. 
ACT.27.16	Ninyia ejafaru hohoi totto ŋati obo aful ollo odiha alla anya Kauda onno obiaŋari noyyami; ta agolon, eremik nyia hohoi italuahuna atogol ninyia owon 'to ibabur. 
ACT.27.17	Ipihuni nyia isi atogol ette ihanana ibabur, attati ififit ababur 'tid 'tid to omuk oofi. Abaŋi nyia isi jio hara hefuo isi isiak efuri suluŋayo teger lotifor Libia. Ania, ette isi ihouna addi amusiama onno osuliere oyyami ababur, ette iŋatana oyyami ohutaru ababur. 
ACT.27.18	Jio ebotie holoŋ, odulo nyia addiŋilla etaburaŋio ababur onno orroho bebe, ette isi ibiroro omuk erre hunyia iwwahatio ababur. 
ACT.27.19	Ojio iholoŋ etahunihi ette isi ipipuasara addi omuk egemita babur. 
ACT.27.20	Oŋitek arriai ebeŋ nyia hohoi egonyu oloŋ kuyya elelefi. Odulo nyia buo fe addiŋilla nyia ihutan onno orroho bebe. Tania, ebeŋ nyia hohoi eyihi jio italuahuno adi tulo.
ACT.27.21	Ninyia atuhi aati oŋitek arriai obeŋi anyai obo ariŋ, ette Paulo iwotia ihosiere hosi, ette jiaran, “Hottohulo, hara nyia enne itayiriete itai eram hoŋ, ebeŋ nyia efuonni to Krit; ebeŋ duo buo fe enyurak ettarrohoja hirre iko eriafai ana. 
ACT.27.22	Ati attana ni itai, itagoloto atajia! Obeŋ adi obo tehiji hatai ojio aye, ati ababur adi hama orroho. 
ACT.27.23	Nyio, Hollum alla ara ni aholonyi, elle etahabuyo ni, oleyehino duo ajilo honyi jihoŋ duo arue; 
ACT.27.24	ette jiaran, ‘Paulo, hèbaŋ! Ilo adi iyye luŋa iwotia ihosiere Hobu elle ittokon. Buo ta ayiji Hollum jihoi, obeŋ adi obo tehiji waati hulle idahati 'to hulia ikoye ta ababur ajio aye.’ 
ACT.27.25	Tania, hottohulo, itagoloto atajia! Nyio, eyihi ni jio Hollum jio ara adi luŋa ihuo iramani duo jihoŋ. 
ACT.27.26	Ati ipoŋoni adi hohoi jio obo aful.”
ACT.27.27	Jio arue etattomoni haŋuan, odulo nyia addiŋilla ipipoŋio hohoi ihari enne ittokon ono Adriya. Ninyia ara ihuo attiŋ harue, igigiloi nyia ayirok babur jio eliaha hohoi jio obo olotifor. 
ACT.27.28	Ania, ette isi ikem awudori hari, ette inyurana jio ara nyia ayardahien atomuana aŋuan. Ihutoni nyia isi ahosiere kai, ette inyiak ikem, ette inyurana ayardahien atomuana hunihoi. 
ACT.27.29	Abaŋi nyia isi jio ara holo ababur isiahina ahuan imoruoi, ania, ette isi ibironia anyafadaa aŋuan totto horuoŋ babur attua hari itawojiere ababur, ette imojo jio ijiara amotie hatafaŋa. 
ACT.27.30	Awahi nyia ayirok babur iluny addi to tua babur; ania, ette isi itusuronia atogol itua hari, ette itihanio ahuattek ihuo onno ofuoi isi ibironia omuk anyafadaa totto hosiere babur. 
ACT.27.31	Attati Paulo jiaran jio lajafit oseŋer iko jio oseŋer jio, “Alla abeŋi ayirok babur hulia arasai itua babur, obeŋ adi tulo italuahuno.” 
ACT.27.32	Ania, ette oseŋer hulia iŋiŋot oofi hunne iriatari atogol ania, ette iŋatana inyi hetelo.
ACT.27.33	Ninyia iliaha amotie hanyik, ette Paulo ittana isi 'daŋ oŋida anyauni obo aŋiria; ette jiaran, “Ihuania itilati itai oŋitek 'tomon haŋuan ibiaŋata inyata obo aŋiyo. 
ACT.27.34	Attana ni itai, anyata obo aŋiyo itagoliere ahuattek hatai. Obeŋ adi riŋ iriafu obo jihatai, ara duadi bu ofitti.” 
ACT.27.35	Ninyia iken inyi ihuo nyia, ette inyi iduhuna obo emune, ette isio ahumo jio Hollum ihosiere hosi 'daŋ, ette ibeny, ette itter aŋiyo. 
ACT.27.36	Attati isi 'daŋ itagol atajia, ette buo fe 'daŋ ababo iŋiyo obo aŋiyo. 
ACT.27.37	Era nyia hohoi 'daŋ aati esiha arrihai iko atomuana hattarik helle (276
ACT.27.38	Ninyia anyai isi 'daŋ many ifoŋi, ette isi ibironia emma 'daŋ itua hari jio oŋida ababur itawwaha.
ACT.27.39	Ninyia afaŋ amotie, obeŋi nyia ayirok babur oheruni anani lotifor ania. Ati igonyuni nyia isi obo olotifor onno owon iko agul hari, ette isi igigilo iyirori ababur many jio amaji nyia, ollo oremik. 
ACT.27.40	Ania, ette isi iŋutoro addi anyafadaa etawojita babur, ette idehina isi odiori attua hari enne ittokon. Jio asaa nyia, ette isi buo fe ihouna addi oofi huno eyek hunne igurierek ababur, ette isihina amusiama otto hosiere babur oŋida noyyami ohutaru ababur ahosiere, ette hohoi ifuatan attany olotifor. 
ACT.27.41	Ati isiak nyia ababur efuri suluŋayo ette iwotia; ette osiere honyi iriata, ette igolihina 'tiŋ 'tiŋ, buo apoŋia poŋia hari ette iwuwur ehalu honyi tuny tuny.
ACT.27.42	Iwwahuni nyia oseŋer ittohori aati babus 'daŋ, nyio, ŋadi isi oriŋari many ilotifor ette iruat. 
ACT.27.43	Ati itik nyia ajafit isi ihaniere ihuo nyia, nyio, awak nyia inyi italuahuna Paulo. Attati inyi ihum iramana hia daŋ hullo omijani 'to arriŋita, oŋida itterie alluhina itua hari, ijiara oriŋarai ilotifor, 
ACT.27.44	buo atimok inefi abauhien iko omuk eŋuanyiti babur ette ijifana. Ania, ette hohoi 'daŋ ifanyan onno oyyu ilotifor.
ACT.28.1	Ninyia efany hohoi onno oyyu ilotifor, enyurak hohoi jio anya aful ania, Molta. 
ACT.28.2	Imoroti nyia aati hulo amaji ania bebe jihohoi. Nyio, ifuotuni nyia isi hohoi 'daŋ, ette inahina jihohoi eema ninyia itterio ahide asayo buo fe ihacoro. 
ACT.28.3	Owuruno nyia Paulo efuri heyek; buo ninyia henohio inyi isi iyali, ette enohit hima itapuhuna amunu, ette amunu ania ihony aani Paulo, ette iriata diya. 
ACT.28.4	Ninyia igonyuni aati amiji ania amunu ania illica ihani Paulo, ette isi ikiana isi hama jio, “Ara atulo olo luŋa a hattohoni. Duadi bu irisu inyi to tua owore, ittallik luŋa ajiok ono Abisan ibusana inyi.” 
ACT.28.5	Ati iwassak nyia Paulo amunu ania ihima, buo amunu ania obeŋ iriafu inyi. 
ACT.28.6	Igigiloi nyia isi jio, olo adi ahuan Paulo iyejana, kuyya imok adi inyi ihuania, ette iye. Ati ninyia attohori isi etila, buo obeŋi igonyuni obo ariŋ onno orroho iduoŋ jihonyi, ette isi iloit egigilo hosi, ette jiaran, “Ara inyi ajiok!”
ACT.28.7	Owoni nyia omuk amatta iger amaji ania huno Pabilos, elettok olo aful ania. Ifuotu nyia inyi hohoi onno oyyu, ette ittoŋotio hohoi amorot honyi oŋitek hunihoi. 
ACT.28.8	Ififiata nyia monye Pabilos iko anahan huan buo ayotti. Ania, ette Paulo leten jihonyi itua haji, ette imojo, ette iyabana ahas honyi jihonyi, ette itaŋida inyi. 
ACT.28.9	Ninyia ihani ariŋ ania, ofuonni nyia aŋuak hutta aful ania 'daŋ, buo ette itaŋida isi. 
ACT.28.10	Isiori nyia isi jihohoi esiorita arriai. Buo ninyia ejio hohoi efuo idioto, ette isi ihanana, itua babur, erre 'daŋ hunne ewak hohoi.
ACT.28.11	Ihalu ayafajin hunihoi, ette hohoi ifuatan addi jio aful ania ta ababur ninyia ottu 'to to Alesandariya anna anya, “Ajiohin Atturot.” Itoŋok nyia inyi ayafajin hacoro diya. 
ACT.28.12	Efany nyia hohoi ibore gala Siracos, ette itoŋo diya oŋitek hunihoi. 
ACT.28.13	Teya, ette hohoi ifuatan ahosiere many efanyari hohoi ibore gala Renyum. Jio ebotie holoŋ, itterio nyia oyyami ahutuno totto junub; ania, jio oloŋ etarrihi ette hohoi ifanyan ibore gala Puteli. 
ACT.28.14	Enyurak nyia hohoi omuk eruhok diya. Awahi nyia isi hohoi etoŋok ikosi esabit abotie. Ania, efanyari hohoi Roma ihuo nyia. 
ACT.28.15	Ninyia itaniŋuni eruhok hutto Roma afuanna hohoi, ette isi irrirraŋuno hohoi many jio Asuk ono Apios iko Asik Hunihoi Eyiriti. Ninyia igonyu Paulo isi, ette inyi isio ahumo jio Hollum, ette itagol ataji.
ACT.28.16	Ninyia efany hohoi Roma, aŋatani nyia Paulo itoŋo inyi hama iko olo oseŋer linyia irriria 'to inyi.
ACT.28.17	Ihalu oŋitek hunihoi, iloŋu nyia Paulo elettaha Yudei hunyia owoni 'to diya iwwaha. Ninyia attubanie isi, ette inyi jiaran jihosi, “Illarak hoŋ, duadi bu abeŋ ni ehan obo ariŋ onno orroho jio aati hohoi kuyya etarrohojo emanyiti huno hohonyiok hohoi, ifitani nyia nani Yerusalem, ette isiarana nani ihas gala Roma. 
ACT.28.18	Awahi nyia gala Roma ihohina nani ninyia ihumi isi ittittif nani. Nyio, obeŋi nyia isi onyurani obo epali enne ehan ni onno osiru 'to jihoŋ iyeri. 
ACT.28.19	Ati ninyia ihari Yudei eram ania, ania, ejulumori ni jio Hobu elle ittokon duadi bu obeŋ obo ariŋ anna aremik ni itisiahiniere aati hohoi. 
ACT.28.20	Inyi eram ania enne eloŋuniere ni itai ikianari ikatai. Hode hode, efita ni ihua ana ibabus te eram lia, elle iyihini aati Israele jihonyi.”
ACT.28.21	Itarraŋi nyia elettaha Yudei hulia inyi jio, “Hèbeŋ hohoi efuotu omuk awaragaa to Yudea hunne ikianai 'to teyye. Hobeŋ buo fe tulo jio aati hohoi hullo ofuonni 'to teya, iyabu omuk asayyo kuyya ikenu obo eram onno orroho teyye. 
ACT.28.22	Ati, ewak hohoi itaniŋuna ekiana onno owon 'to jihoi. Nyio, emijak hohoi jio ikianai aati jio amasik 'daŋ onno orroho te eram ono eluluŋ enne iwattari iyye ania.”
ACT.28.23	Tania, ofuonni nyia isi arriai imaji ninyia itoŋori Paulo, ninyia anyimuni isi oloŋ itaniŋiere jihonyi. Attati Paulo ihum ikukubonia jihosi eram ania nyia motie many arari attari. Ittittoyo nyia inyi jihosi eram ono Olobie Hollum. Te ehianatta honyi jihosi efahita Mose iko egierita hekianak Hollum, awak nyia inyi itahutana jihosi jio ara eram Yesu hode. 
ACT.28.24	Iruhi nyia omuk hulosi ekenita honyi buo omuk ihari. 
ACT.28.25	Ania, ofuoi nyia isi addi hulle itarisai isi hama, ninyia iken Paulo eram annabotie ana: “Obis nyia Loholio Olibo to ninyia ikianari inyi jio hohonyiok hatai te etuk Isaya ekianani Hollum jio:
ACT.28.26	‘Ilo iramak aati hulia jio:
ACT.28.26	Itayiriete adi itai, itayiriete, buo ibiaŋata imijana;
ACT.28.26	imijiete adi itai, imijiete, buo ibiaŋata igonyuna.
ACT.28.27	Nyio, oddiŋi ossi aati hulia,
ACT.28.27	ottuhi isi ayyaha hosi;
ACT.28.27	buo fe imuti oŋite hosi.
ACT.28.27	Nyio, ŋaduo oŋite hosi igonyuni,
ACT.28.27	buo fe ayyaha hosi itayiruni;
ACT.28.27	buo fe ossi hosi duo ette imijana,
ACT.28.27	ette duo isi iyituno jihoŋ, buo ni ette itaŋida isi.’ ”
ACT.28.28	Attati Paulo itisidonia jiojio, “Omijana ti jio, isiori jio Alufajak asayyo Hollum hunne iyaŋunie 'to etalahuno. Itayirie adi isi!” [
ACT.28.29	Ninyia ikenu Paulo eram ana, ofuoi nyia Yudei hulia addi, buo itarisai onno orroho isi hama.]
ACT.28.30	Otuk nyia Paulo aŋasi arrihai jio amaji ninyia ojura inyi, buo ifuotutta aati 'daŋ hunyia ofuonnuttai 'to mijio inyi. 
ACT.28.31	Ittittoyotio nyia inyi eram ono Olobie Hollum, buo fe ittiyanatio sool eram Yesu Kristo, Lamonye, buo tulo obeŋ itik inyi.
ROM.1.1	Ani alia Paulo, egiamani Yesu Kristo, linyia onyimu Hollum irari elefahata elle iloŋuni ittittoyere Asayyo Ayijok huno Hollum.
ROM.1.2	Ocorok nyia Hollum Asayyo hunia many berien te etuhe hekianak honyi ihuo igioroni Ibuk honyi Elibo. 
ROM.1.3	Arai Asayyo hunia to Lonyi honyi Yesu Kristo, Lamonye hohoi. Ara inyi atulo, ta adetuno honyi to woyo Dafide. 
ROM.1.4	Ta attuna honyi jio Hollum iko ta alibori honyi, itahutani jio ara inyi Lonyi Hollum ta aduaran onno obolo 'to ninyia itubuhunierek inyi toye. 
ROM.1.5	Tenyi, etasiru ani Hollum amiji irari elefahata, iyaŋuniere aniŋio iko eruk jio aati hutta fau 'daŋ te eram Kristo. 
ROM.1.6	Ara buo fe eram ania tetai, hutto Roma, hulle iloŋu Hollum irari a hulo Yesu Kristo.
ROM.1.7	Ania, egiorori ni jihatai 'daŋ hutto Roma hullo obuor ataji Hollum, buo fe inyi iloŋu itai irari awaati honyi:
ROM.1.7	Ijiara Hollum Monye hohoi iko Yesu Kristo, Lamonye, isiarani jihatai ayiji taji iko elik tajia.
ROM.1.8	Ahosiere, esiarak ni ahumo jio Hollum hoŋ, ta afure Yesu Kristo tetai 'daŋ, nyio itayiru afau 'daŋ eruk hatai. 
ROM.1.9	Ara Hollum asuut hoŋ, Hollum elle egiama ni jihonyi ta ataji hoŋ 'daŋ, te ettittoyo hoŋ Asayyo Ayijok huno Lonyi honyi. Omijak inyi jio, adulo ni agilutta itai, 
ROM.1.10	alla amojo ni. Amojo ni jio alla ara awahan Hollum, ijiara inyi aŋatak ani ilari imijuniere itai ihuania. 
ROM.1.11	Nyio, awak atua hoŋ bebe igonyuna itai, oŋida bati nani eyaŋuno jihatai esiorita huno Oloholio Hollum itagoliere itai. 
ROM.1.12	Ajiaran ania jio, eluahi adi nani ikatai arabotie, nyio, itagol adi eruk hoŋ itai, buo fe anatai itagol nani.
ROM.1.14	Ara egiama hoŋ ta aati bore gala iko hutto miji, hulle iheni 'to iko hullo obeŋi 'to iheni. 
ROM.1.15	Tania, awak buo fe atua hoŋ bebe ittittoyo Asayyo Ayijok jihatai, aati Roma.
ROM.1.17	Nyio, itahutani Asayyo Ayijok aŋai itabisak Hollum aati ajihonyi. Ara inyi te eruk ijiai, ihuo igioroni Ibuk Hollum jio, “Isu adi luŋa atulo elle itabisani jio Hollum te neruk.
ROM.1.18	Italeyehi Hollum ajore honyi tedou jio aati 'daŋ eyyak iko epalak, hulle itihotie 'to elahode jio aati te ekotia hosi hunno orrohoji 'to. 
ROM.1.19	Ittigemio Hollum isi, nyio, omijani isi eram Hollum 'daŋ; nyio, itahutak nyia Hollum, ta ahuan honyi, jihosi erre hunia sar sar. 
ROM.1.20	Many berien ninyia oyyeuniere Hollum nedou iko nafau, oremehini aati mijana 'tel 'tel jio obeŋ agolon honyi otuhoro, buo fe jio ara inyi hode Hollum. Oremehini aati imijana erre hunia, te erre 'daŋ hunyia oyyeu inyi. Tania, obeŋ obo eliet jihosi 'tuŋ! 
ROM.1.21	Omijani isi Hollum, ati obeŋi isi abaŋi inyi ihuo Hollum buo fe obeŋi isiori jihonyi ahumo. Ati obeŋi luŋa egigilita hosi obisi, itiriohi buo fe ossi hosi hunno orrohoji 'to hunia. 
ROM.1.22	Ojiori isi jio elofioro isi, ati obeŋi isi ossi. 
ROM.1.23	Idehini isi etahabuyo Hollum elle isu 'to 'tulaŋ, buo ette ihuhumuna arrijiorita hirre hunno oremehini 'to ye, hunne iyyaluni atulo, kuyya aheny, kuyya aciaŋi, kuyya asaŋ hunno oretiai 'to retia, ette itahabuyo isi.
ROM.1.24	Tania, obusak nyia Hollum isi hétehaniehe erre hunne iboti 'to hunia ihuo awahi atajia hosi, nyio, obeŋi isi ossi. Ihanie isi erre somon jio ahuattek hosi isi hama. 
ROM.1.25	Iloiti isi nelahode ono Hollum agesemi, ette itahabuyo buo fe igiamai jio erre hunno oyyeu Hollum, buo idehini Layyani ollo ojiori oŋida itahabuye 'tulaŋ 'tulaŋ! 
ROM.1.26	Te ehanio hosi erre hunia, inyi onno obusaniere Hollum isi jio esomiti hunia. Abalarik aŋoruo hosi ahuattek iko aŋoruo ihuo isi, buo idehini ekoi onno oyyehiniere Hollum isi. 
ROM.1.27	Ihuo nyia buo fe idehini aliawa aŋoruo buo abalarik ahuattek hosi. Ihanie isi erre somon jio ahuattek hosi isi hama, tania, iyaŋunie isi jio ahuattek hosi ettigemita hunno osiruni 'to te epalita hosi hunia.
ROM.1.28	Te ehara hosi eram Hollum, inyi onno obusaniere Hollum isi jio ossi hosi hunno omuyahi 'to hunia; oŋida isi ihanie erre hunno obeŋi 'to osiruni jihosi ihaniere. 
ROM.1.29	Ottubai awoi hirre 'daŋ hunno orrohoji 'to jihosi; erre ihuo eyyau, eŋaru buo, epal. Jihosi, ifut ahaini, attohio waati, aŋalafa, enyobio, iko etarrohojio huattek. Arai isi ahamuaŋak 
ROM.1.30	buo fe ittarrohojie afureta hosi isi hama. Oliwarik isi Hollum buo fe arai a hetadarak
ROM.1.31	Obeŋi ossi jihosi, buo fe obeŋi ogottierek elamita hosi. Obeŋ abuaran taji kuyya amehino jihosi. 
ROM.1.32	Omijani isi jio ojiori efahita Hollum jio, aati hulle ihanie 'to erre hunia, osiru naye jihosi. Obeŋi isi ihanie erre hunia ijiai, ati omunoi buo fe isi hia, hulle ihanie 'to erre hunia.
ROM.2.1	Tania, illa, ira duo bu iyye ŋai, obeŋ obo eliet jihoi, elle iŋot iyye eram obo atulo. Nyio, ta aŋocio hoi eram honyi, iŋotok iyye epali ihuan hoi nyio, iyye aŋotoni hiram, ihanio buo fe iyye erre hunne ihanio inyi. 
ROM.2.2	Emijak jio, obis Hollum alla aŋot inyi eram waati hulle ihanie 'to erre ihuo hunia. 
ROM.2.3	Illa, igigilo iyye jio iris adi iyye aŋocio Hollum elle iŋocio iyye eram waati hulle ihanie 'to erre ihuo hunia, buo iyye ta ahuan hoi ihanio isi? 
ROM.2.4	Iyasiete ti itai abolori nyalami iko adihan buo abolori taji honyi? Ibiaŋata soho itai imijana jio, anyalam Hollum, iyaŋuniere jihatai ehara eyyata? 
ROM.2.5	Ati ta agolon hossi hatai luŋa, ifuronia itai ettigemita jihatai jio Oloŋ enne italeyehiniere Hollum ajore honyi iko aŋocio hiram onno obis 'to. 
ROM.2.6	Nyio, isiarak adi Hollum aati 'daŋ ababo edumiti hunno oremehini 'to te ehanita hosi. 
ROM.2.7	Isio adi inyi nesu onno osio 'to 'tulaŋ jio hia hullo odulori 'to ehanio onno oyyu; buo fe ottifiai akuatan, olohuo iko abiaŋan ye. 
ROM.2.8	Ati jio aati hullo onohi tajia, buo fe ihari elahode buo iruhi erre hunne ipali 'to, osehi adi Hollum jihosi ajore onno orroho 'to bebe. 
ROM.2.9	Owon adi ettigemio iko adiaha jio atulo 'daŋ eyyani: itterio do jio Yudei, attati buo fe jio Alufajak. 
ROM.2.10	Ati isiarak adi Hollum akuatan, olohuo iko nelik tajia jio hia 'daŋ hulle ihanie 'to onno oyyu: itterio do jio Yudei, attati buo fe jio Alufajak. 
ROM.2.11	Nyio, orriama aŋocio hiram Hollum jio aati 'daŋ.
ROM.2.12	Hia 'daŋ hulle iyyauni 'to buo obeŋi owoni iko efahita Mose, iyyauni isi ette litohina obeŋi efahita; buo hia 'daŋ hulle iyyauni 'to buo owoni iko efahita, oŋoti adi eram hosi te efahita. 
ROM.2.13	Nyio, obiaŋara etayirak ifahita hullo obisi 'to to hosiere Hollum, ati hulle ihanie 'to erre hunna awahi Efahita isi hullo obisi 'to. 
ROM.2.14	Obeŋi Alufajak owoni iko Efahita; buo elle ihani isi, to ossi hosi erre hunna awahi Efahita; itahutak jio omijani isi anyio anna awahi ihanie kuyya obeŋi awahi ihanie, duadi bu obeŋi Efahita jihosi. 
ROM.2.15	Itahutani ehanita hosi hunia jio, igioronie erre hunna awahi efahita itajia hosi. Itahutani buo fe atuajin hosi hunno oye 'to jio, ara eram ania hode. Nyio, iramattai atuajin hosi hunno oye 'to jio, oyiji kuyya ipali ehanita hosi. 
ROM.2.16	Ojiori Asayyo Ayijok hunne ettittoyo ni jio, ara adi ihuo nyia jio Oloŋ anna alari Hollum iŋociere egigilita hutto hossi waati to Yesu Kristo.
ROM.2.17	Buo iyye? Ijio iyye jio, iyye olo Yudei, imanya iyye te Efahita, itadara iyye te eram Hollum; 
ROM.2.18	buo fe imijak ariŋ anna awak Hollum iyye oŋida ihanio. Ittiyenu iyye jio Efahita inyimuniere erre hunno obisi 'to. 
ROM.2.19	Ifut ihou hoi jio, ira iyye aharihoni ŋodok, buo fe ira afaŋan jio hia hullo owoni 'to idumele, 
ROM.2.20	buo fe ahettiyanani waati hullo obeŋi hossi iko atimok hirre. Ifut buo fe inyi luŋa ihou hoi jio, imijak iyye Efahita iko elahode 'daŋ. 
ROM.2.21	Ittiyenio iyye aati hullomuk…nyio ati ibeŋ iyye ittiyanaru ahuan hoi? Ittittoyo iyye jio, “Hèhoholio”…buo iyye ta ahuan hoi ihoholio? 
ROM.2.22	Ijio iyye jio, “Hèhanio erre somon”…buo iyye ta ahuan hoi ihanio erre somon? Iha iyye buo fe arrijiorita jiohin…buo iyye, ta ahuan hoi, ihoholio iyye erre hutto hasik Imojiti hunne ittaha? 
ROM.2.23	Itadara iyye ta amijana hoi Efahita Hollum — buo iyye ta ahuan hoi iyaŋuno ariri jio Hollum ta amesio hoi efahita honyi? 
ROM.2.24	Igioroni Ibuk Hollum jio, “Ittarrohojie Alufajak afure Hollum te eram hatai, Yudei.” 
ROM.2.25	Elle iniŋiete itai efahita, itasiruno adi aboso hatai; buo elle imesiete itai efahita, orriama inyi ihuo elle ibiaŋata itai ibosoti. 
ROM.2.26	Buo alla aniŋio atulo ollo obeŋ 'to oboso erre hunno ojiori efahita, obeŋ 'tadi Hollum ihianak inyi ihuo alla aboso? 
ROM.2.27	Tania, oŋotoni adi Alufajak epali jihatai, Yudei. Nyio, oniŋie isi efahita duadi bu obeŋi isi obosoi, buo itai imesiete efahita duadi bu igioronie isi jihatai buo fe itai ibosoti. 
ROM.2.28	Obiaŋara aboso itihan atulo aholo Yudei hode, nyio, ittallik aboso ono ahuan ihanana atulo aholo Yudei hode. 
ROM.2.29	Ati atulo Yudei hode, inyi atulo alla ara 'to aholo Yudei ta atua honyi. Inyi atulo elle italibori atua honyi. Ara etaliborio tua egiama ono Oloholio Hollum, buo obiaŋara egiama ono efahita hunne igioroni. Ifuotu atulo alla ara 'to ihuo nyia etahabuyo jio Hollum buo obiaŋara jio aati.
ROM.3.1	Agalihini ti Yudei Alufajak ta anyio? Kuyya, owon ti obo ayiji jio aboso? 
ROM.3.2	Aafe, ara ihuo nyia te ekotia 'daŋ! Nyio, ahosiere do, isiarak nyia Hollum asayyo honyi jio Yudei. 
ROM.3.3	Buo alla abeŋi omuk hulosi ogottierek asayyo Hollum hunia; itahutak ati inyi jio, obeŋ adi Hollum ogottiere ekenita honyi? 
ROM.3.4	Obeŋ 'tuŋ! Duadi bu ogesemi aati 'daŋ, arasa Hollum ikiana ahode hode, ihuo igioroni ibuk Honyi jio;
ROM.3.4	“Ijiara luŋa ekiana hoi itahutak abisan hoi.
ROM.3.4	Elle itiwwahie iyye, ijiara luŋa omijani jio ibis iyye.”
ROM.3.5	Ejio adi anyio elle itahutani epalita hohoi jio obisi ehanita Hollum? Eremik ti jiaran jio, ipal Hollum elle ettigemio inyi hohoi? (Ekiana ni jihatai ihuo atulo.) 
ROM.3.6	Obeŋ 'tuŋ! Alla abeŋ duo aŋocio Hollum obis, oremik duo inyi aŋai iŋot eram waati 'daŋ?
ROM.3.7	Buo elle iyaŋuno agesemi hoŋ akuatan jio Hollum te etahutana honyi 'tel 'tel elahode Hollum, nyioti arasai iŋotonia jihoŋ eyyau? 
ROM.3.8	Nyioti ebeŋ ejio jio, “Héyyauna oŋida iyaŋuno ayiji”? Hode, ittarrohojie omuk aati afure hoŋ te etisiahina hosi nani jio, ekenita hoŋ luŋa hunia! Osiru luŋa aŋotonia epali jihosi.
ROM.3.9	Anyio 'tadi? Egalik ti hohoi Yudei Alufajak ta anyio? Obeŋ riŋ!
ROM.3.10	Ihuo igioroni Ibuk Hollum jio,
ROM.3.10	“Obeŋ obo ollo obis 'to,
ROM.3.11	obeŋ obo elle ilofioro 'to,
ROM.3.11	kuyya elle itahabuyo Hollum.
ROM.3.12	Ayitoni aati 'daŋ Hollum oruoŋitek.
ROM.3.12	Ipali isi 'daŋ;
ROM.3.12	obeŋ obo, ara duadi bu abotie, elle ihanio 'to onno oyyu.
ROM.3.13	Ifut enyobio onno orroho 'to bebe ihutuhe hosi.
ROM.3.13	Ottutta agesemi onno orroho 'to ta ŋadiafa hosi;
ROM.3.13	buo fe eyeri munu ottutta to hutuhe hosi.
ROM.3.14	Ifuti etuhe hosi iko epitita hunno oduari 'to 'tek 'tek.
ROM.3.15	Itawahai ahuattek hosi iriafuniere iko ittohori atulo.
ROM.3.16	Idiaharai isi arrohoji iko ettigemio jio amasik 'daŋ hunno ofuarik isi.
ROM.3.17	Otimoi isi amanya te nelik tajia.
ROM.3.18	Obeŋi atajia hosi abaŋi Hollum.”
ROM.3.19	Ihuania, emijak jiojio, ikianai erre 'daŋ hunne igioroni Ifahita, to hia, hulla amanyai te Efahita jio, oŋida obo atulo obeŋ owon iko obo eliet. Tania, oŋot adi Hollum eram tulo 'daŋ ta fau. 
ROM.3.20	Nyio, to hosiere Hollum, obeŋ tulo ara a habisani te ehanio hirre hunna awahi Efahita. Nyio, Efahita itamijanani hohoi eyyau.
ROM.3.21	Ati ihuania, italeyehini ekoi enne ihananiere Hollum aati ahabisak, buo obiaŋara te Efahita; duadi bu arai Efahita iko ekianak Hollum asuuti honyi. 
ROM.3.22	Itabisak Hollum aati te eruk hosi jio Yesu Kristo. Ihan inyi ariŋ ania jio aati 'daŋ hulle iruhi 'to jio Kristo, nyio, obeŋ obo alufaji owon ihiji waati. 
ROM.3.23	Iyyauni aati 'daŋ, ania, alamajak akuatan Hollum isi 'daŋ. 
ROM.3.24	Ati te esiorio ono ayiji taji Hollum, itabisani isi 'daŋ to Kristo Yesu, elle italahu 'to isi. 
ROM.3.25+ROM.3.26	Isio nyia Hollum inyi irari ehumi, to nooto honyi
ROM.3.27	Eremik ti itadara te eram nyio? Obeŋ nyio! Nyioti etadara? Ara ti inyi ta aniŋio Efahita? Obeŋ, etadara te eram ono neruk. 
ROM.3.28	Nyio, eruk jiojio, itabisani atulo jio Hollum te eruk, buo obiaŋara ta aniŋio hirre hunno ojiori efahita. 
ROM.3.29	Ara soho Hollum a Hollum olo Yudei hama? Obeŋ soho inyi buo fe ara a Hollum olo Alufajak? Aafe, ara buo fe inyi aholosi. 
ROM.3.30	Owon Hollum abotie. Inyi adi ihanak Yudei ahabisak to hosiere honyi te neruk hosi; buo fe itabisak Alufajak te neruk hosi. 
ROM.3.31	Itahutak ti ania jio, etapuak Efahita te neruk? Obeŋ 'tuŋ! Ati, etagol atibuo efahita.
ROM.4.1	Ejio attadi anyio te eram hohonyi hohoi Abramo? Owon nyia amanya honyi aŋai? 
ROM.4.2	Nyio, ollo obis nyia Abramo to hosiere Hollum te ehanita honyi, osiru duo etadara jihonyi. Ati ittallik inyi itadara ihosiere Hollum. 
ROM.4.3	Ojio Abuk Hollum jio, “Iruk nyia Abramo Hollum, ania, ifuotuniere Hollum inyi a habisani te eruk honyi.” 
ROM.4.4	Odumani arobiyaa jio atulo elle igiama 'to, ati obeŋi edumiti honyi arai ihuo esiorita. Arai isi asaŋ hunne igemuni igemuna. 
