MAT.1.1	Jiꞌi sen kuachrjenixin ndo Jesucristo. Jeꞌe ndo kuachrjenixin ndo, ndo David ko ndo Abraham.
ROM.4.1	Xraxaonna, ¿á kuitee ngeꞌe juincheꞌe ndo Abraham, ndo kuachrjenixinna ó saꞌó? 
ROM.4.2	Siá ti ndako juincheꞌe ndo Abraham meꞌe xrokoméexin ixi ti ndakoꞌa juincheꞌe ndo, juaxruxin xrobakeꞌe ndo ixi meꞌe, ko chao xrojuinchejié aséen ndo, ko kain meꞌe tjinteꞌa ngajin ndo Dio. 
ROM.4.3	*Ko ndachro xroon jitaxin chijnie ndo Dio: “Ndo Abraham tsango chuntia ndo ngajin ndo Dio, méxin koméꞌe jíee ndo.” 
ROM.4.4	Ko noi̱na ixi naa ngisen ncheꞌe ixra̱ xengeꞌe sen ꞌna̱, jeꞌa jañao tayéꞌe sen tomi. Ixi ixra̱ juincheꞌe sen, méxin tjachaxin sen. 
ROM.4.5	Ko jeꞌa naxrajeꞌo xraxaon ndo Dio. Ndo Dio ncheméꞌe ndo jíee chujni maski xroꞌan ixra̱ juincheꞌe na̱, jeꞌo xrokonda xrochuntia na̱ ndo. 
ROM.4.6	Xranchi ndachro ndo David: Juaxruxin tsintee ni koméꞌe jíee, maski xroꞌan ngeꞌe jian juincheꞌe na̱, jeꞌo kuitikaon na̱ ndo Dio. 
ROM.4.7	Ko jaꞌin jitaxin xroon chijnie ndo Dio:
ROM.4.7	Juaxruxin tsintee na̱ ixi ndo Dio juincheméꞌe ndo jíee na̱,
ROM.4.7	maski ndakoꞌa juincheꞌe na̱,
ROM.4.7	ko tjáñeꞌe ndo Dio ijie̱ juincheꞌe na̱.
ROM.4.8	Juaxruxin tsintee na̱ ixi Ncháina juincheméꞌe ndo ijie̱ kuachónda na̱.
ROM.4.9	A̱ juaxruxin jiꞌi, ¿á jeꞌo ni chónda chjiꞌe ndo tikinixinꞌen juaxruxin?, o̱, ¿á kaxon ni chóndaꞌi chjiꞌe ndo? Ko ó ndachrja̱n ixi ndo Dio juincheméꞌe ndo jíee ndo Abraham ixi ndo Abraham chuntia ndo ndo Dio. 
ROM.4.10	Méxin, ¿ngisa juincheméꞌe ndo Dio jíee ndo Abraham? ¿Á ti ó tsikaa ndo Abraham chjiꞌe ndo Dio?, o̱, ¿á ti xratsikaꞌi ndo chjiꞌe ndo Dio? Saꞌó juincheméꞌe ndo Dio jíee ndo Abraham, ko tjumeꞌe ndo Abraham kua ndo chjiꞌe ndo Dio. 
ROM.4.11	Ko ndo Abraham tjumeꞌe kua ndo chjiꞌe ndo Dio ixi jaña xrojuako ndo ixi ndo Dio ó juincheméꞌe ndo jíee ndo Abraham ixi chuntia ndo ndo Dio. Tjumeꞌe jaña ikjan ndo Abraham ndotée kain sen chuntia
ROM.4.12	Ko kaxon ndo Abraham, ndotée kain chujni tsikaa chjiꞌe ndo Dio, siá chuntia sen ndo Dio xranchi chuntia jeꞌe ndo Abraham, nchakon xratsikaꞌi ndo chjiꞌe ndo Dio.
ROM.4.14	*Méxin, siá ndo Dio xrokuajon ndo ngeꞌe ndachro ndo jeꞌo ngajin ni titikaon ley, méxin xroꞌan tjintee ti xrochúntiani ndo Dio ko méxin tjinteꞌa ti ngeꞌe ndachro ndo xrokuajon ndo. 
ROM.4.15	Siá tsitikaonꞌani ngeꞌe jitaxin ley, tangi tsonꞌenni. Ko siá xroꞌan ley xrokuakeꞌe, kaxon xrokuamaꞌi ijie̱.
ROM.4.17	Xranchi jitaxin chijnie ndo Dio: “Janꞌan kuajon juachaxin ixi jaꞌanta xrokjannta ndotée itsjé ni ste nunte xasintajni.” Méxin ndo Dio sincheꞌe ndo ngeꞌe tsindachro ndo ixi ndo Abraham jian kuitikaon ndo. Ndo Dio jeꞌo jeꞌe ndo nchexechón ndo ni tsikenꞌen, ko tituanꞌan ndo ixi tsakeꞌe ngeꞌe koꞌa.
ROM.4.18	Maski xroꞌan ichjan kuachónda ndo Abraham, jeꞌe ndo kuitikaon ndo ndo Dio, méxin ikjan ndo ndotée kueya chujni xranchi tsindachro ndo Dio ngajin ndo Abraham: “Kueya chujni tsachrjenixin jaꞌanta.” 
ROM.4.19	Maski ndo Abraham ó kuachónda ndo xranchi naa ciento nano, ko noꞌe ndo ixi ó taka xrokuenꞌen ndo, ko janchriꞌe ndo, jan Sara, ó nachríi jan ko juaꞌi xrochónda jan ichjan, jeꞌe ndo chuntia ndo ndo Dio, 
ROM.4.20	ko jian noꞌe ndo ixi ndo Dio xrokuajon ndo ngeꞌe ndachro ndo. Ko tsango chúntia ndo ndo Dio ko bakajon ndo juasaya ngajin ndo Dio. 
ROM.4.21	Ko noꞌe ndo Abraham ixi chónda ndo Dio ijié juachaxin sincheꞌe ndo kain ngeꞌe ti tsindachro ndo. 
ROM.4.22	Méxin, ndo Dio jian bikon ndo ngeꞌe juincheꞌe ndo Abraham ti chuntia ndo, ko jaña ndo Dio juincheméꞌe ndo ijie̱ kuachónda ndo Abraham.
ROM.4.23	Ko ti jitaxin xroon ixi ndo Dio juincheméꞌe ndo jíee ndo Abraham, jeꞌa jeꞌo jíee ndo; 
ROM.4.24	kaxon sincheméꞌe ndo jíei̱na ixi tsitikaonna ndo, ndo juinchexechón Ncháina Jesucristo, 
ROM.4.25	ko kuajon ndo ndo Jesucristo kuenxin ndo ixi jai̱na. Ko xechón ndo íjngo ixi jaña xrokoméꞌe jíei̱na ko jai íxroꞌan ngeꞌe sinkana.
ROM.5.1	Koméꞌe kain jíei̱na ixi chuntiana ndo Cristo ko chao stena ngajin ndo Dio ixi Ncháina
ROM.5.2	Ixi juasie Ncháina Cristo Jesús, chao tonchjiñeꞌena ngajin ndo Dio ixi chuntiana ndo ko jeꞌe ndo tjaunna ndo ko méxin jaña ícha chuntiana. Ko juaxruxin stena ixi stechonꞌenna tsayéꞌena juachaxin ijié chónda ndo. 
ROM.5.3	Ko jeꞌa jeꞌo meꞌe. Kaxon juaxruxin tsinteena maski tangi stena ngataꞌa nunte ntiꞌi ixi noi̱na kain juachjaon meꞌe, ícha nchesoji aséei̱na. 
ROM.5.4	Ko ti soji tsintee aséei̱na, meꞌe jaña jian tsatsingana kain ngeꞌe tangi ixi stechonꞌenna naa ngeꞌe jian tsi̱i̱. 
ROM.5.5	Ko ti jian stechonꞌenna nduaxin tsi̱i̱ ixi ndo Dio tsango tjaunna ndo ko tsichjai̱na ndo Espíritue ndo.
ROM.5.6	Ko jai̱na chondana ijie̱, ko juaꞌi jai̱ona sincheméꞌena ijie̱ meꞌe. Ndo Cristo kuenꞌen ndo ixi kain chujni chónda jie̱, kuenꞌen ndo nchakon ndachro ndo Dio kondeexin ijie̱ chónda kain chujni. 
ROM.5.7	Xroꞌan ngisen teenxin ixi inaa ngisen maski sen meꞌe jian sen. Maski chao xrokuenxinni ixi inaa ngisen nduaxin juincheꞌe ti jian. 
ROM.5.8	Ko ndo Dio juakoi̱na ndo ixi tsango tjuai̱na ndo; maski chondana ijie̱, xruanꞌan ndo ndo Cristo kuenxin ndo ixi jai̱na. 
ROM.5.9	Méxin, ndo Dio juincheméꞌe ndo jíei̱na ixi ndo Cristo kuenxin ndo ixi jai̱na. Jai ó noi̱na ixi jeꞌe ndo chjai̱na ndo juachaxin tsechónna kain nchakon
ROM.5.10	Ixi, maski bakoñaoꞌena ndo Dio, jeꞌe ndo kuajon ndo juachaxin tsonchjiñeꞌena ngajin ndo ixi Chjenꞌen ndo kuenxin xjan ixi jai̱na, ko jai noi̱na ixi tsingijna ndo tsechónna kain nchakon ixi jichón chjenꞌen ndo ko juaxruxin tsonjokuꞌuna xjan. 
ROM.5.11	Ko jeꞌa jeꞌo jiꞌi. Kaxon ndo Dio chjai̱na ndo juaxruxin ixi chao tonchjiñeꞌena ngajin ndo ixi juasie Ncháina Jesucristo.
ROM.5.12	Saꞌó naakua naa sen juincheꞌe ti ndakoꞌa, méxin, chujni nchijíi nunte xasintajni kuama na̱ ijie̱. Jaña kui̱i̱ kaxon ti tenꞌen aséenni, méxin kainna chondana ijie̱ ko kainna tikinixinꞌenna tsenꞌen na̱. 
ROM.5.13	Saꞌó ti xrabakeꞌa ley tsiketuanꞌan ndo Dio, kain chujni nunte xasintajni kuancheꞌe na̱ ti ndakoꞌa, ko ixi xroꞌan ley jii, méxin, juaꞌi sinchekamani ijie̱ naa ngisen ndakoꞌa juincheꞌe. 
ROM.5.14	Xra ti bakeꞌe ndo Adán ko kuiji nchakon bakeꞌe ndo Moisés, kuintekenꞌen aséen chujni kondeexin ijie̱ juincheꞌe na̱. Maski jíee na̱ jeꞌa ti kuitikaonꞌa na̱ xranchi juincheꞌe ndo Adán, ixi jeꞌe ndo kuitikaonꞌa ndo ngeꞌe kuetuanꞌan ndo Dio. Ko ndo Adán juako ndo xranchi xrokui̱i̱ inaa ndo ícha tjumeꞌe.
ROM.5.15	Ko ijie̱ juincheꞌe ndo Adán juaꞌi xrondachrona naxrajeꞌo ixi ti ngeꞌe jian nchekitui̱na ndo Dio. Ko ixi naakua ngisen kuitikaonꞌa, kondeexin meꞌe, kueya na̱ kuintekenꞌen na̱. Jai juasie ndo Dio, xruanꞌan ndo naakua naa ngisen, ndo Jesucristo, ko ixi jeꞌe ndo koméꞌe jíei̱na. Jiꞌi naa ngeꞌe ícha jian juinchekitoi̱na ndo ixi kueya na̱ tsayéꞌe na̱ juachaxin tsechón na̱ kain nchakon. 
ROM.5.16	Ijie̱ juincheꞌe naakua naa ngisen jeꞌa naxrajeꞌo ixi ti juachaxin juinchekitoi̱na ndo Dio, ti tsechónna kain nchakon. Kondeexin ijie̱ ti kuitikaonꞌa ndo Adán, méxin kuamana ijie̱ ko tikinixianna tsenꞌenna. Ko jai juasie ndo Dio juinchekitoi̱na ndo juachaxin tsechónna kain nchakon, ko jeꞌe ndo ncheméꞌe ndo kain ijie̱ chondana maski tikinixianꞌina meꞌe. 
ROM.5.17	Méxin, siá kondeexin ijie̱ juincheꞌe ndo Adán, tsenꞌen kain chujni, jai chao xrondachrona ixi naakua naa ngisen, meꞌe ndo Jesucristo, jeꞌe ndo kontjúáxin ijie̱ kuachondana, méxin chondana juachaxin tsojuna jian ngajin ndo ixi ndo Dio tjuai̱na ndo, ko xrokondaꞌi jai̱na sintuꞌuna naa ngeꞌe ixi tsjachana juachaxin meꞌe.
ROM.5.18	Méxin, ixi ijie̱ juincheꞌe ndo Adán, kain chujni kuama na̱ ijie̱ ko kuintekenꞌen na̱. Ko jai ndo Cristo juincheméꞌe ndo ijie̱ chónda kain chujni, ko kuajon ndo juachaxin tsechón na̱ ixi jian ndo ko kuenxin ndo ixi jai̱na. 
ROM.5.19	Ixi naakua naa ngisen kuitikaonꞌa, ndo Adán juincheꞌe meꞌe, méxin kueya chujni kuama na̱ ijie̱. Jaña jai, kaxon naakua naa ngisen jian kuitikaon, meꞌe ndo Cristo, ko ixi jeꞌe ndo tsoméxin jíei̱na.
ROM.5.20	Bakeꞌe ley kuetuanꞌan ndo Dio ko chujni ícha juincheꞌe na̱ ti ndakoꞌa ko kuama na̱ ijie̱. Ko maski jaña ícha ijie̱ kuama chujni, ndo Dio ícha bikonóeꞌe ndo na̱. 
ROM.5.21	Kondeexin ijie̱ meꞌe bakeꞌe juachaxin tsenꞌen chujni. Ko jaña kaxon ndo Dio ícha chónda ndo juachaxin sincheméꞌe ndo jíee chujni ko tsajon ndo juachaxin tsechónna kain nchakon ixi Ncháina Jesucristo kuenxin ndo ixi jai̱na.
ROM.6.1	Ko jai, ¿á xraxraxaonna sintuꞌuna ti ndakoꞌa ixi jaña ndo Dio ícha tsikonoi̱na ndo? 
ROM.6.2	Naꞌi. Jai jai̱na í chondaꞌina ngeꞌe xrotsjeꞌena ngajin kain ti ndakoꞌa ko kain ijie̱ tamani ixi ó kuintuꞌena kain meꞌe. 
ROM.6.3	¿Á noaꞌinta ixi nchakon bikitéena ó kuitikaonna ko ruéꞌena ndo Cristo, jiꞌi xrokjui kaxon xranchi xrokueꞌenna xranchi jeꞌe ndo? 
ROM.6.4	*Nchakon bikitéena, nchakon meꞌe kuenꞌenna ko xrabaana xranchi jeꞌe ndo ixi xroxechónna ko xrochondana juachaxin tsechónna kain nchakon ko jian tsajina, xranchi ndo Cristo xechón ndo ixi juachaxin ijié chónda Ndotée ndo, ndo Dio.
ROM.6.5	Siá kuenꞌenna xranchi kuenꞌen ndo Cristo, kaxon xroxechónna xranchi xechón jeꞌe ndo. 
ROM.6.6	Ó noi̱na ixi saꞌó bakamana ijie̱, ko nchakon ndo Cristo kuenꞌen ndo nganito nta̱cru jaña kuitjáña kain ijie̱ kuachondana, jai̱na kaxon kuenꞌenna ko ijie̱ ítituanꞌi ngajinna. 
ROM.6.7	Ixi nchakon tenꞌen naa ngisen íxroꞌan juachaxin jii tsama sen ijie̱. 
ROM.6.8	Ko jai̱na, siá kuenꞌenna ixi kuenꞌen ndo Cristo, noi̱na ixi xroxechónna kaxon, ko tsonjokuꞌuna ndo kain nchakon. 
ROM.6.9	Noi̱na ixi ndo Cristo xechón ndo ko ínaiꞌa tsenꞌen ndo ixi xichononte
ROM.6.10	Nchakon kuenꞌen ndo Cristo, kain ijie̱ í chondaꞌi juachaxin ngajin chujni. Ko jai jichón ndo Cristo ko jii ndo ngajin ndo Dio. 
ROM.6.11	Jaña kaxon jaꞌanta xraxaonnta ixi kain ijie̱ íxroꞌan juachaxin chónda ngajinnta ixi ó titikaonnta ndo Cristo Jesús ko jeꞌe ndo tjáanta ndo juachaxin tsaricho̱nnta kain nchakon, ko ti jai stechonnta, meꞌe sincheꞌenta ngeꞌe tjaun ndo Dio.
ROM.6.12	Méxin, tintueꞌanta tsituanꞌannta ti ndakoꞌa íjngo ko sinchekateyaꞌi cuerpoanta sincheꞌenta ti ndakoꞌa. 
ROM.6.13	Tintueꞌanta cuerpoanta sincheꞌe ti ndakoꞌa, cháña tájonnta asáanta ngajin ndo Dio xranchi tikinixin sincheꞌe naa ngisen tsikenꞌen ko tsixechón íjngo. Tájonnta cuerpoanta ngajin ndo Dio ixi sincheꞌenta naa ixra̱ jian xranchi tjaun jeꞌe ndo. 
ROM.6.14	Ixi jai ijie̱ íxrochóndaꞌi juachaxin tsetuanꞌannta jai ixi í jeꞌa ley tituanꞌannta. Naꞌi, ti tjuaꞌanta ndo Dio meꞌe tituanꞌannta.
ROM.6.15	Ko jai, ¿ngeꞌe sintuꞌuna? ¿Á xrasintuꞌuna ti ndakoꞌa, meꞌe tsamana ijie̱ ixi ítituanꞌina ley ko ti tjuai̱na ndo Dio meꞌe tituai̱nna? Sintuꞌina jaña. 
ROM.6.16	Jaꞌanta jian noꞌanta ixi, siá titikaonni kain ngeꞌe tituanꞌan naa ngisen, jeꞌeni ikjanni ni nchexrée sen meꞌe. Jaña tonꞌen kaxon, siá titikaonnta ko ncheꞌenta ngeꞌe ndakoꞌa, jaꞌanta ikjannta ni ncheꞌe xrée ti ndakoꞌa ko jiꞌi tsenxinni. Ko nchakon tsitikaonnta ndo Dio, jeꞌe ndo xrotjáanta ndo juachaxin tsakeꞌenta ngajin ndo. 
ROM.6.17	Jai juasie ndo Dio, bikonóaꞌanta ndo. Saꞌó kuachondanta ijie̱ ko ijie̱ meꞌe baketuanꞌanta, ko jai ixi nchijíi asáanta kuitikaonnta ngeꞌe jian kuinꞌennta. 
ROM.6.18	Ko jai kuintuꞌenta ti bakamaxinta ijie̱ ko kuajonnta asáanta ngajin ndo Dio ixi jian ncheꞌenta xrée Ncháina Jesucristo. 
ROM.6.19	Janꞌan rinichja xranchi nichja ngixeꞌi naa chujni ixi jaꞌanta xratienxinꞌanta jian ngeꞌe jiꞌi. Saꞌó kuitikaonnta ngeꞌe ñaꞌi ko bakajonta cuerpoanta ixi kuancheꞌenta ngeꞌe ndakoꞌa. Ko jai xrokonda tsajonnta cuerpoanta ngajin ndo Dio ixi sincheꞌenta ixra̱ jian xranchi tjaun jeꞌe ndo.
ROM.6.20	Nchakon ti ñaꞌi batituanꞌannta kondeexin meꞌe bakamaxinta ijie̱, juaꞌi kuancheꞌanta ngeꞌe tjaun ndo Dio. 
ROM.6.21	¿Ko ngeꞌe juachanta ixi jaña kuancheꞌenta? Jai kain ti ndakoꞌa juincheꞌenta, kain meꞌe, tosuaxinnta ko kain meꞌe teenxin chujni. 
ROM.6.22	Ko jai ó koméꞌe jíanta ko ítetuanꞌinta ti ndakoꞌa. Jai xrée ndo Dio ncheꞌenta. Ko jiꞌi jian tsingijnanta ixi ti tsitikaonnta ndo Dio meꞌe noaxinnta tsaricho̱nnta kain nchakon. 
ROM.6.23	Siá sincheꞌenta ti ndakoꞌa, tsamanta ijie̱, ko ti tsjachanta meꞌe tsenꞌennta. A̱ ndo Dio jeꞌe ndo tajon ndo juachaxin tsechónna kain nchakon siá titikaꞌonna Ncháina Cristo Jesús.
ROM.7.1	Kichuuna, jaꞌanta chuxinnta ley ko noꞌanta ixi ley chónda juachaxin tsetuenꞌenni jeꞌo ti xrajichónni. 
ROM.7.2	Jiꞌi jii xranchi naa nchri tsikuteꞌe, ley tituanꞌan ixi jeꞌe nchra tsitikaon nchra xixiꞌe nchra, ko jeꞌe xa chónda xa juachaxin tsetuenꞌen xa nchra ixi xrajichón xa. Ko siá tsi̱i̱ nchakon tsenꞌen xixiꞌe nchra, ley meꞌe ítituanꞌi ngajin nchra. 
ROM.7.3	Ko siá jeꞌe nchra satsikao nchra inaa xi ko xrajichón xixiꞌe nchra, jeꞌe nchra tsama nchra ijie̱. Ko siá xixiꞌe nchra tsenꞌen xa, jeꞌe nchra íxroꞌan ijie̱ tsama nchra, ko chao xrokjan tsuteꞌe nchra ko íxroꞌan ijie̱ tsitsingataꞌa nchra.
ROM.7.4	Jaña jaꞌanta kaxon, kichuuna, ndo Cristo kuenxin ndo ixi jai̱na, méxin, ley ítetuanꞌi ngajinna. Jai jai̱na tikinixinꞌenna ndo Cristo ixi ndo Dio juinchexechón ndo ndo Cristo, méxin chao sintuꞌuna xrée ndo. 
ROM.7.5	Ixi nchakon juaꞌi bakintuꞌena ti ndakoꞌa, ley jeꞌo bancheꞌe ixi jai̱na ícha tjaunna sincheꞌena ti ndakoꞌa, ko meꞌe kui̱xi̱n ti tsenꞌenna. 
ROM.7.6	Ko jai ley í chóndaꞌi juachaxin tsetuai̱nna ixi xranchi ó kuenꞌenna. Íxroꞌan ngeꞌe tingakoi̱na ixi sintuꞌuna xrée ndo Dio xranchi naa ngisen natjúá, ixi Espíritue ndo Dio chjai̱na ndo ko ítsetuanꞌina naa ley nta̱xi jitaxin xroon.
ROM.7.7	¿Ngeꞌe xrondachrona ixi jiꞌi? ¿Á xrondachrona ixi ley meꞌe ndakoꞌa? Naꞌi. Janꞌan xrokonónaꞌi ngeꞌe xrondachro ti tamani ijie̱ siá xrobakeꞌa ley xrochronga. Xrokonónaꞌi ngeꞌe xrondachro ti chjuyeꞌeni siá ley xrondachroꞌa: “Tuchjuyaꞌinta ngeꞌe chónda inaa ngisen.” 
ROM.7.8	Tjumeꞌe nchakon konóna ngeꞌe jitaxin ley, ti ndakoꞌa ícha kuetuanꞌan ko ícha tjaꞌon sintaꞌa kain ngeꞌe ndakuaꞌi. Ko siá xrokuakeꞌa ley, kaxon koꞌa ti ñaꞌi nchekateyani sincheꞌeni ti ndakoꞌa. 
ROM.7.9	Ko nchakon kuichuxinꞌa ley, janꞌan xroꞌan juachjaon kuachonda, ko nchakon kuichuxin ley, konóna ixi janꞌan tsango yama ijie̱, 
ROM.7.10	ko kuichuxinꞌa ndo Dio, ko ley kuajonꞌa juachaxin tsechón chujni, jeꞌo kuajon juachaxin tsenꞌeni. 
ROM.7.11	Ixi ti konona ley, meꞌe ti ndakoꞌa juincheyana, méxin kuama ijie̱ ko tikinixin tsenꞌenna.
ROM.7.12	Chao xrondachrja̱n ixi ndo Dio tsikajon ndo ley, ko ngeꞌe tituanꞌan ndo Dio, jian meꞌe. 
ROM.7.13	Ko juaꞌi xrondachrona ixi kondeexin ley tsenꞌenni. Naꞌi. Tsenꞌenni kondeexin ijie̱ chóndani ko ti ndakoꞌa ncheꞌeni, ixi ley naa ngeꞌe ndako tituanꞌan, ko jaña chao tonoi̱na ngeꞌe ndakuaꞌi jii, ko kaxon noꞌeni ixi tsango ñaꞌini siá sincheꞌeni ti ndakuaꞌi.
ROM.7.14	Jai̱na noi̱na ixi ley meꞌe kuajon ndo Dio. Ko janꞌan juaꞌi tintuꞌa ngeꞌe tjaun cuerpona; janꞌan ícha tjaꞌon sintaꞌa ti ndakuaꞌi. 
ROM.7.15	*Janꞌan tianxinꞌa, ixi ti tjaunꞌa sintaꞌa meꞌe ntaꞌa, ko ti tjaꞌon sintaꞌa, meꞌe ntaꞌi. 
ROM.7.16	Ko maski ntaꞌa ngeꞌe tjaunꞌa sintaꞌa, nóna ixi ley kuajon ndo Dio, jian ley. 
ROM.7.17	Méxin, jeꞌa janꞌan ntaꞌa ngeꞌe ndakoꞌa. Naꞌi, ti ncheꞌe meꞌe, meꞌe juachaxien ti ndakoꞌa jii ngaya aséenna. 
ROM.7.18	Janꞌan tonóna ixi cuerpona tajonꞌa juachaxin sintaꞌa ti jian, ixi maski tjaꞌon sintaꞌa ngeꞌe jian, juaꞌi ntaꞌa meꞌe. 
ROM.7.19	Ko tjaꞌon sintaꞌa ngeꞌe jian ko juaꞌi ntaꞌa meꞌe, ko ntaꞌa ngeꞌe ndakoꞌa ti tjaunꞌa sintaꞌa. 
ROM.7.20	Ko siá ntaꞌa ngeꞌe tjaunꞌa, ko jeꞌa janꞌan tjaꞌon sintaꞌa jiꞌi, kain jiꞌi ncheꞌe ti ndakuaꞌi jii ngaya aséenna.
ROM.7.21	Ko nóna ixi nchakon tjaꞌon sintaꞌa ngeꞌe jian, jeꞌo ntaꞌa ngeꞌe ndakoꞌa. 
ROM.7.22	Ko nóna ixi aséenna tsango takeꞌe juaxruxin ixi ley kuetuanꞌan ndo Dio. 
ROM.7.23	Ko tonóna ixi ti tetuanꞌan cuerpona, meꞌe ti ndakoꞌa, ko jiꞌi te̱to̱kaꞌo ley jian jii ngaya aséenna; ko ti ndakoꞌa tjacha tetuanꞌan.
ROM.7.24	Lastuna nóana. ¿Ngisen tsingijnana ixi kondeexin ti ncheꞌe cuerpona tsenxinna? 
ROM.7.25	Juasie ndo Dio ixi jeꞌe ndo tsingijnana ndo ixi kui̱i̱ Ncháina Jesucristo ko ixi Ncháina tsechónna kain nchakon. Janꞌan nóna ixi xrokonda tsitikaꞌon ley kuetuanꞌan ndo Dio, maski cuerpona tjaun sincheꞌe ti ndakoꞌa.
ROM.8.1	Jai sen titikaon ndo Cristo Jesús, íxroꞌan ijie̱ sínká sen. Jeꞌo tjaun sen tsitikaon sen Espíritue ndo Dio ko ncheꞌa sen ti tjaun cuerpoe sen. 
ROM.8.2	Ixi ti tetuanꞌan Espíritue ndo Dio tajon juachaxin tsechónna kain nchakon ixi titikaꞌonna ndo Cristo Jesús. Ko ti ndakoꞌa ko juachaxien xichononte ítituanꞌi ngajinna 
ROM.8.3	ixi ndo Dio juincheꞌe ndo ngeꞌe juaꞌi juincheꞌe ley kuayéꞌe ndo Moisés ixi juaꞌi tintuꞌeni ti ndakoꞌa. Ndo Dio xruanꞌan ndo Chjenꞌen ndo ko ikjan xjan xranchi ngixeꞌi chujni chónda ijie̱. Kui̱i̱ ndo kuenxin ndo ixi jíee kain chujni nunte xasintajni, ko kuantsjengíꞌe ndo ijie̱ xrokuitjáñaxinna. 
ROM.8.4	Jaña konꞌen ixi jai̱na jian xrokuitikaonna kain ti tetuanꞌan ley ko xrokuitikaonꞌana ti ndachro cuerpoi̱na. Ícha jian xrokuitikaonna Espíritue ndo Dio.
ROM.8.5	Ni titikaon ngeꞌe ndakoꞌa tjaun cuerpoe na̱, ni meꞌe jeꞌo xraxaon na̱ ngeꞌe jii nunte xasintajni. Ko ni tjaun tsitikaon Espíritue ndo Dio jitjee na̱ ngeꞌe tikinixinꞌen Espíritue ndo Dio. 
ROM.8.6	Siá xroxraxaonna jeꞌo ngeꞌe tjaun cuerpoi̱na, tsenꞌenna. Siá xroxraxaonna ngeꞌe tikinixinꞌen Espíritue ndo Dio, xrochondana juaxruxin ko juachaxin tsechónna kain nchakon. 
ROM.8.7	Tjumeꞌe ni tsango takeꞌe juaxruxin ixi ti ndakoꞌa ncheꞌe na̱, ni meꞌe ningakonꞌen na̱ ndo Dio, ixi tjaunꞌa na̱ ko juaꞌi titikaon na̱ ti tituanꞌan ndo. 
ROM.8.8	Ko ni takeꞌe juaxruxin ixi ncheꞌe na̱ ti ndakoꞌa, ni meꞌe juaꞌi sincheꞌe na̱ naa ngeꞌe tsakeꞌexin juaxruxin ndo Dio.
ROM.8.9	Ko jaꞌanta ítitikaonꞌanta ti tjaun cuerpoanta. Jaꞌanta titikaonnta Espíritue ndo Dio, siá nduaxin chondanta Espíritue ndo, ko ngisen chóndaꞌi Espíritue ndo Cristo, tikinixienꞌa na̱ ndo. 
ROM.8.10	Siá ndo Cristo jii ngajinnta, maski cuerpoanta ndatsenꞌen kondeexin ti ndakoꞌa juincheꞌenta, asáanta tsechón ixi ó chondanta juachaxien ndo Dio ixi jeꞌe ndo bikonóaꞌanta ndo, ko juinchetjúá ndo asáanta. 
ROM.8.11	*Ko siá chondanta Espíritue ndo Dio, ndo juinchexechón ndo Cristo, kaxon sinchexechón ndo cuerpoanta tsikenꞌen, ixi Espíritue ndo Dio jii ngajinnta.
ROM.8.12	Méxin kichuuna, xrokonda tsitikaonna ti tetuanꞌan ndo Dio, ko ítsitikaonꞌana ngeꞌe tjaun cuerpoi̱na. 
ROM.8.13	Ko siá sincheꞌenta ngeꞌe tjaun cuerpoanta, ndatsenꞌennta ko ínaiꞌa xrotsechónnta. Ko siá tsitikaonnta Espíritue ndo Dio, tsintuꞌenta kain ngeꞌe tjaun cuerpoanta, jaña tsaricho̱nnta kain nchakon.
ROM.8.14	Kain sen titikaon Espíritue ndo Dio ó ikjan sen chjenꞌen ndo Dio. 
ROM.8.15	*
ROM.8.16	Espíritue ndo Dio tonuexin aséei̱na ixi ikjanna chjenꞌen ndo Dio. 
ROM.8.17	Ko siá ikjanna chjenꞌen ndo Dio, tikinixianna tsayéꞌena ngeꞌe tsajon ndo ti tsindachro ndo ó saꞌó, jaña tikinixinna ngeꞌe tsajon ndo Dio tsayéꞌe ndo Cristo ko jai̱na. Siá tsikaonna ko tangi tsatsingana xranchi ndo Cristo konꞌen ndo, jaña kaxon tsayéꞌena juachaxin xranchi juachaxin tayéꞌe jeꞌe ndo.
ROM.8.18	Ko jai, maski tsatsingana ngeꞌe tangi, xroꞌan ngeꞌe ncheꞌe meꞌe, ixi ngeꞌe tsayéꞌena tjumeꞌe ícha jian ko ícha tjintee. 
ROM.8.19	Kain ngeꞌe jii ngataꞌa inche jichónꞌen ixi ndo Dio tsjakoxin ndo ixi jai̱na chjenꞌen ndo. 
ROM.8.20	Ixi nunte xasintajni ko kain ngeꞌe jii ndá tsingachrue, ko jeꞌa ixi jaña tjaun. Naꞌi. Jaña tsiketuanꞌan ndo Dio. Ko kain ngeꞌe jii ngataꞌa nunte kaxon jichónꞌen 
ROM.8.21	ixi tsayéꞌe kain ngeꞌe ti chaxro ko tsakeꞌe juaxruxin xranchi ste ni tsikjan chjenꞌen ndo Dio. 
ROM.8.22	Ó noi̱na ixi kain ngeꞌe juinchéña ndo Dio xra tangi tsikon, xranchi tangi tikon naa nchri, nchri nchejongíꞌe chjenꞌen. 
