MAT.1.1	Níilii caasamuncii Yéesu 
ACT.12.5	Fodaama, Peeꞌ yaa watuku ga kasaa ee kerceencaa enussa ga kikíimiꞌti Kooh ga daa ɓa wëñ kimínɗa.
ACT.12.6	Buuꞌ 
ACT.12.7	Laakka 
ACT.12.7	- Kolka gaaw! Ceencaa poksee ga yahcaa Peeꞌɗa, keennda. 
ACT.12.8	Malaakaa woꞌissari an:
ACT.12.8	- Pëkírukka, fu ekuk ñafaꞌciigaraa. Peeꞌ tummba ɗa. Malaakaa tíkka ga an:
ACT.12.8	- Ekukaa kúltífiigaraa, fu taam ga fenooroo.
ACT.12.9	Peeꞌ taammba ga fenoo malaakaa, meƴca kasaa. Ya gëméeríi sah an iñaa malaakaa tum yaama laakin kayoh-kayohɗa, ya foogee an iñaa heeƴ. 
ACT.12.10	Fodaama ɓa paaffa soldaaꞌcaa ɓa ɗeɓ gaɓa kileꞌɗa, ɓa paaffa ɓaa tík gaɗa, ɓa leꞌꞌa hal-pewiñaa ëewruk teeraaɗa. Halaa lëgíssa hafwa ga fíkíiɓa, ɓa meƴca, ɓa taammba mbedi ɓaa ƴah. Malaakaa ennda mes, foñnjari.
ACT.12.11	Ga ɗekataama, Peeꞌ hannda kiꞌínoh iñaa laakɗa, ya woꞌꞌa an:
ACT.12.11	- Mi ínohin kimma, kayoh-kayohɗa Haꞌmudii yërí wos malaakii garoo, ya músalinndoo ga yah 
ACT.12.12	Fodaama tóoh leeꞌta ga hafaagari, ya yaa ƴah kaan 
ACT.12.13	Peeꞌ fëekíꞌta ga hal-kaadaa, laakka súrga yiɓeti yaa teeku Root, hayya kimalak. 
ACT.12.14	Daa ya ínohsohee koonaakaa Peeꞌ, keeñci soossa ga bi ya lëgíssii sah halaa, wayee ya nammba kifool hen kiyéegalnee ɓuwaa ga ɗuuƴɗa an:
ACT.12.14	- Peeꞌ yërí, yaa tuukka ga halaa, ga fooh.
ACT.12.15	Ɓa woꞌꞌari an:
ACT.12.15	- Hanaa fu dof hen! Wayee ya yëgíssa ga an iñaa kayoh. Ɓa dalla kiwoꞌ an:
ACT.12.15	- Kon Malaakaagari yërí.
ACT.12.16	Peeꞌ nak líssa kifëekíꞌ ga halaa. Daa ɓa lëgísee, ɓa hotta an yërí ya, ɓa waaruꞌꞌa. 
ACT.12.17	Peeꞌ múuffa yah ga kúuw kiɗékóhíꞌ ɓuwaa, ya ɓéestíꞌtaɓa daa Haꞌmudii tum bi meƴdohhari ga kasaaɗa. Lëehíꞌta ya woꞌꞌaɓa an:
ACT.12.17	- Karat ɗú yéegalka Saak na mbok-kerceencaa tesɗa. Lëehíꞌta ya meƴca, yaa ƴah ɗekat wiliis.
ACT.12.18	Ga waa Kooh wíisɗa, soldaaꞌcaa lëyussa lool, ɓa ɓaa meekisoh iñaa mín Peeꞌ kidalɗa. 
ACT.12.19	Eroot ebilohha kiraasnee Peeꞌ, wayee ken hottiiri. Ya ɓaylukka soldaaꞌcaa, ya meekissaɓa daa ɓa tumee bi Peeꞌ saanndaɗa, lëehíꞌta ya nakohhaɓa kiꞌap. Waa ennda ɗa Eroot meyohha gohaa Yúudée, kaꞌta teeraa Sesaree, ya ennda daama bi sammba kimaañ.
ACT.12.20	Wiima lak buuꞌ 
ACT.12.21	Ga waa besaa ɓa abeeɗa leꞌꞌa, 
ACT.12.22	Ɓuwaa ɓaa fiip an:
ACT.12.22	- Laak Kooh yaa en na kiwoꞌ, enndii ɓoꞌ-súusúus doŋ woꞌ naruu!
ACT.12.23	Ga wahtaama siiƴ, laakka 
ACT.12.24	Waa ennda ɗa woꞌeenaa Kooh waa wëñ kisíw, tëelíbéecaa ɓaa wëñ kiɓaatuk.
ACT.12.25	Barnabaas na Sóol nak, ga waa ɓa lëehíꞌ kitum lëgëyaagaɓa ga Yéerúsaleemɗa, ɓa ɓoƴkissa ee ɓa ɓaydohha Saŋ, yaa ɓaysi Markaɗa.
ACT.13.1	Ga Añcoos nak laakeera 
ACT.13.2	Laakka bes, ɓa enee na kijaamuk 
ACT.13.2	- Faanɗattoo haŋ Barnabaas na Sóol, ɓa tum lëgëyaa tah mi ɓayohɓaɗa.
ACT.13.3	Waa ennda ɗa, ɓa lëestíꞌta kiꞌooꞌ na kikíim Kooh, ɓa tíkka Barnabaas na Sóol yah ga haf, ɓa íissaɓa, ɓa ɓaa ƴah.
ACT.13.4	Fodaama Helaa yiselaꞌíꞌyaa wossa Barnabaas na Sóol kikaꞌ dëkaa woꞌu Selësíi, ɓa aasohha gaal-giiƴ daama, ɓa ɓaa ƴah Sípaꞌ dëkaa giiyaa wíilɗa. 
ACT.13.5	Ga waa ɓa leꞌꞌa Salamín, ɓa aawwa kiyéegaloh woꞌeenaa Kooh ga ɗuuƴ 
ACT.13.6	Ɓa húussa dëkaa giiyaa wíilɗa bi ɓa meƴneeraa teeraa Paafos. Daama, ɓa hídohha na luhusohaa teeku Baaꞌ-Yéesu. Ya enee yaawúuꞌ ee tíkee hafci 
ACT.13.7	Ya bokee ga ɓuwaa taabi na Sersíyus Polus yaa enee gúwernëeꞌ ga teeraaɗa. Sersíyus Polus yaama nak enee ɓoꞌ yilëekíꞌ-hel. Ya ɓaylukka Barnabaas na Sóol ndaga ya waaree kikeloh woꞌeenaa Kooh. 
ACT.13.8	Wayee Baaꞌ-Yéesu ee ɓaysi ɓan Elímaas, luhusohaaɗa (teekaa wërí en iñaama ga kiGerek) aawwaɓa kiheñoh, yaa heel kiꞌëewdoh gúwernëeraa ga iñaa enndii kigëm ga Yéesu. 
ACT.13.9	Waa ennda ɗa, Sóol ee ɓaysi ɓan 
ACT.13.10	woꞌꞌari an:
ACT.13.10	- Fu Elímaas, fu líif na saboh na kibon ee fu kowu Seytaani mat. Fu waaꞌtii kihot ga iñaa júwin. Fu íisoo 
ACT.13.11	Ínohaa an diima deŋ yahii Haꞌmudii hayin kidal ga ɗookfu. Fu hay kibúum, fu tes ɗa bi maañ, fu hotoo nohii.
ACT.13.11	Ga saasi, hascaa Elímaas ñúussa, ya búummba yaa túut ga ɓakaa en ɓéeɓ kisëesíꞌ ɓaa nookanndi. 
ACT.13.12	Gúwernëeraa nak, daa ya hotee iñaa laak yaama, dalla kigëm ga Yéesu. En kiꞌenaa, ya waaruꞌeera lool ga iñaa ya jëgíru ga loo Haꞌmudii yaama.
ACT.13.13	Waa ennda ɗa, 
ACT.13.14	Ɓa nak, ɓa meyohha teeraa Persi, ɓa abissa waasaagaɓa, ɓaa ƴah bi ɓa leꞌꞌa Añcoos Písídíi. Laakka bes, ɓa aassa 
ACT.13.15	Laakka iñaa jagu ga Këyítfaa Waasii Móyíis na faa 
ACT.13.15	- Mbokcii, en laakin iñaa ɗú waaꞌ kiwoꞌ kidaas mbooloomiinaa, ɗú míninnndi kiwoꞌ.
ACT.13.16	Waa ennda ɗa, Pool kolukka, ya ɓëwíꞌta yah, ɓuwaa een paaƴ, ya woꞌꞌa an:
ACT.13.16	- Ɗú 
ACT.13.17	Koohyii 
ACT.13.18	Ee ga ɗuuƴ ëgíꞌ-dúndagaa ɓicaasammbuu enoheeɗa, Kooh toputuꞌꞌaɓa iñaa leꞌ tíkíis tidaaŋkaah-nikiis. 
ACT.13.19	Waa ennda ɗa, ya ɗúbíꞌta heet ciyitnakanak ga kúlkaa Kanaa, ya eꞌta ɓu-Isarayeel heetiigari kúlkaama. 
ACT.13.20	Ee ɓa lamin ka iñaa jomin kileꞌ tíkíis titéeméeꞌ-nikiis na tidaaŋkaah-yëtúus. Tíkka ga, ya eꞌtaɓa ɓiꞌattiꞌoh ɓaa kuliyukanɓa bi ga daa Samiyeel, sëldíiga-Koohaa hayohɗa. 
ACT.13.21	Waa ennda ɗa, ɓa kíimmba Kooh ya onɓa buuꞌ. Kooh nak, onndaɓa Sawúl, kowu Kíis ee bokee ga geñaa Beesamee. Sawúl nguurukka bi ennda tíkíis tidaaŋkaah-nikiis. 
ACT.13.22	Lëehíꞌta, Kooh níssa Sawúl ga nguuraa, ya falla 
ACT.13.23	Ee fodaama, Kooh meƴdohɗin ɓu-Isarayeel Músalkaat ga níilaa buuꞌ Dëwít fodaa ya dígoheekaɗa, ennda Yéesu. 
ACT.13.24	Ee balaa Yéesu hayaa, Saŋ-Bëtís enee ga kijangat, ya yaa ɓëytoh ɓéeɓ ɓu-Isarayeel kisúpít kipeskiigaɓa, ɓa bëtísiꞌuk. 
ACT.13.25	Bi ga daa kikaanci deeƴɗa, Saŋ lísee kiwoꞌ an: «Ɗú fooŋ an mi yërí en ɓa? Mi enndii ɓii ɗú sekɗa. Ɓaama yii hay ga fenooroo ee kipëkís liiɓcaa ñafaꞌcaagari sah joobinndoo.» 
ACT.13.26	Pool woꞌissa an:
ACT.13.26	- Ɗú mbokciigoo, ɗú ɓii ɗú en tucaasamuntii 
ACT.13.27	En kiꞌenaa, ɓu-Yéerúsaleem na ɓuwaa kuliyuk gaɓaɗa ínohséeríi ɓaa Yéesu enɗa ee woꞌeencaa sëldíiga-Koohcaa ɓa jagee ga bes Sabataa en ɓéeɓɗa ɓan, ɓa ínohéeríi iñaa ca waaꞌ kiwoꞌɗa. Ee fodaama, ga waa ɓa tíkki kikaanɗa, ɓa mëtíꞌta woꞌeencaa sëldíiga-Koohcaa. 
ACT.13.28	Hídaa ɓan ga daa ɓa hottii dara iñaa cal ɓa tíkki kikaanɗa, ɓa kíimmba 
ACT.13.29	Ga waa ɓa mëtíꞌ kitum tóoh iñcaa Bíncaa ciselaꞌíꞌcaa woꞌ ga loo Yéesuɗa, ɓa yóoskíꞌtari ga kuraanaa, ɓa ekkari ga ɗuuƴ loyaa. 
ACT.13.30	Wayee Kooh mílísiꞌtari ga ɓuwaa kaaninɗa. 
ACT.13.31	Ɓuwaa taabee nari, aboh ga gohaa Gëlílée bi ga Yéerúsaleemɗa, ga waa ya mílísɗa ya feeñukkaɓa bes ciyewin, ee ɓéeɓ ɓuwaama wati ɓërí en seedi ga fíkíi heetii. 
ACT.13.32	Ee ɗí, ɗí hay kiyéegallúu 
ACT.13.33	Iñaa Kooh dígee ɓicaasammbuuɗa ya tumɗinnduuri, ɗu, tucaasamuntiigaɓa, ga waa ya mílísiꞌ Yéesu fodaa daa ka bídu ga Këyítfaa kañcaa fukanakfaaɗa an: «Fu yërí en Kowukiigoo, mi enin Paamfu wati. 
ACT.13.34	Kooh yéegaloheera an ya hay kimílísiꞌ Yéesu, ee Yéesu ɓoƴkisissoo ga loy.» Iñaama yërí ya woꞌee an: «Mi hayyúu kiꞌeꞌ iñcaa ciselaꞌíꞌcaa mi dígee Dëwít, ee ca calin kigëmɗa.» 
ACT.13.35	Ee ga ɗekat wiliis, ga këyítfaa, ya woꞌissa an: «Fu tookanndii ɓiigaraa yiselaꞌíꞌyii nop ga ɗuuƴ loy.»
ACT.13.36	Dëwít, ga jamaanaagari, enee súrga Kooh, ya tummba iñaa Haꞌmudii waareeɗa, ya kaannda, ya acussa ga yahaa ɓicaasamci, ee faanfaagari nopin ga ɗuuƴ loy. 
ACT.13.37	Wayee ɓaa Kooh mílísiꞌɗa, faanfaagari noppii ga ɗuuƴ loy. 
ACT.13.38+ACT.13.39	Kon mbokcii, ínohat gaka an yërí tah ɗú yéegalussa an baakaaꞌcaagarúu bayaluununndúu. Ɓéeɓ ɓaa gëm gari, Kooh hayyi kiꞌaboh ɓoꞌ yijúwíꞌ, ee iñaama Waasaa Móyíis mínoori.
ACT.13.40	Kon watukat iñcaa sëldíiga-Koohcaa woꞌeeɗa keen ga ɗookkúu.
ACT.13.41	«Ɗú hot gane, ɗú ɓii ɗú ɓëwíri haffúuɗa, hebukaa ɗú tíit ɗú aaw kinúp, ndaga mi hay kitum ga ɗuuƴ kipessúu iñaa wëeꞌtaa ga an yii ɗú ɓéestíruwanaa, ɗú gëmoo.»
ACT.13.42	Ga waa Pool na Barnabaas meyu jaangu-yaawúuraaɗa, ɓuwaa kíimmbaɓa ɓa ɓoƴkis kijëgíroh woꞌeenaa waama ga bes Sabataa tík gaɗa. 
ACT.13.43	Ga waa ɓuwaa tasohɗa, yaawúuꞌ ɓiyewin na ɓoꞌ ɓiyewin ɓiliis ɓaa niikin Kooh ɓedussa Pool na Barnabaas. Ga ɗuuƴ saawalaagaɓa, Pool na Barnabaas ɓaa daasɓa doonaa ɓa wëñ kitík yaakaaꞌɓa ga kijofkaa Kooh teeɓɓaɗa.
ACT.13.44	Ga bes Sabataa tík gaɗa, iñaa wëñ kiyewin ga ɓu-teeraaɗa, hídírukohussa kisúkúruk Woꞌeenii Haꞌmudii. 
ACT.13.45	Daa yaawúuꞌcaa hotee ɓuwaa ɓiyewinɓaa, ɓa líiffa na keeñ-tam, ɓa taammba ga iñaa Pool jëgírohɗa ɓaa nís, ɓa ɓaa ɓassi. 
ACT.13.46	Waa ennda ɗa, Pool na Barnabaas laakussa fít kiwoꞌɓa an:
ACT.13.46	- Ɗú ɓërí jomee kiɗeɓ kiyéegalu woꞌeenii Kooh. Waa ɗú saginwa kiteꞌ, ɗú attiꞌin haffúu an kipeskaa leehoo taaꞌɗa joobinndúu. Kërí tah ɗí ɓii ƴah ga ɓuwaa enussii yaawúuꞌɗa 
ACT.13.47	En kiꞌenaa, iñii yii yërí Yéesu, Haꞌmudii ebillíi: «Mi falinndaa kiꞌen leerii heetcii, doonaa fu leꞌdoh kimúckii bi ga daa ëldúna topohɗa.»
ACT.13.48	Ɓuwaa enussii yaawúuꞌɗa safarussa ga woꞌeenaa ɓa kelohɗa, ɓa ɓaa kañ Kooh ga woꞌeencaagari ee ɓéeɓ ɓuwaa jom kilaas kipeskaa leehoo taaꞌɗa gëmussa.
ACT.13.49	Woꞌeenii Haꞌmudii waa wëñ kisíw ga ɗuuƴ kúlkaa ɓéeɓka. 
ACT.13.50	Wayee yaawúuꞌcaa hícísohussa helcaa ɓeticaa ɓilëekíꞌ-teekɓaa ga dëkaa ee niikuunun Koohɗa, na yaakcaa dëkaa. Ɓa sodalla Pool na Barnabaas ga kipesɓa, kaalussaɓa kúlkaa. 
ACT.13.51	Ɓaama përtukaɓa pëndëlaa kotcaa ga dëkaagaɓa, lëehíꞌta ɓaa ƴah Íkoñom. 
ACT.13.52	Tëelíbéecaa ga teeraa Añcoosɗa, keeñɓa soossa, ɓa líiffa na Helaa yiselaꞌíꞌyaa.
ACT.14.2	Wayee yaawúuꞌcaa sagu kigëm ga Yéesuɗa yasohussa helcaa ɓuwaa enussii yaawúuꞌɗa bi ɓa ekkaɓa ga kisaŋ ɓuwaa gëm ga Yéesuɗa. 
ACT.14.3	Hoonohhii bi Pool na Barnabaas maañussa ga Íkoñom, ɓa ɓaa jangat na fít wiyëgísíꞌ ndaga ɓa óolukeera 
ACT.14.4	Ɓu-teeraa Íkoñom júwohsissii, ɓa hëgískohha: ɓii faꞌta na yaawúuꞌcaa, ɓíinoo farussa na apotaaꞌcaa.
ACT.14.5	Yaawúuꞌcaa na ɓuwaa enussii yaawúuꞌɗa, na ɓuwaa kuliyuk gaɓaɗa tuukussa ga kisodal Pool na Barnabaas, na kitapisohɓa atoh bi ɓa kaan. 
ACT.14.6	Wayee daa ɓa yéegeeka, ɓa kaꞌta kisomuknee ga teerucaa ga gohaa Líkawooníiɗa, ennda Lístaꞌ, Derbe na iñaa wíil daamaɗa. 
ACT.14.7	Daama ɓan, ɓa aawwa kiyéegaloh 
ACT.14.8	Laakeera ga Lísta, ɓoꞌ yiƴaal yaa yugee daa díinoo rek mínoo kituuk, ya límdohu na kilafañ ee mosoo kitíin na kotci. 
ACT.14.9	Laakka bes, ya enee na kisúkúruk jangataa 
ACT.14.10	ya woꞌꞌari didóolíꞌ an:
ACT.14.10	- Kolka, fu tuuk tek ga kotciigaraa! Ɓaa dalla kiꞌen bërít, tuukka, yaa tíin. 
ACT.14.11	Daa mbooloomaa hotee iñaa Pool tum yaama, ɓa ɓaa woꞌ didóolí ga lakaa ɓu-Líkawooníi an:
ACT.14.11	- Koohcii súpítukuunun ɓoꞌ, yoosukuunun garuu.
ACT.14.12	Ɓa teekka Barnabaas Sës, ɓa teekka Pool Ermes
ACT.14.13	Laakeera ga yahaa halaa teeraa kaanfaa ɓa jaamukohi Sës, Koohyaagaɓa. Ɓaa tumɗi Sës sarah ga kaanfaaɗa haydohha, ga kúuw-halcaa, naal-kuuy, yaa líkuunun enaama cimóríꞌ caa taam na sapuus. Ya na mbooloomaa, naalcaama ɓa waareeɓa kiꞌap kitumiꞌ Barnabaas na Pool sarah.
ACT.14.14	Daa Barnabaas na Pool yéegee iñaama, ɓa ɗaꞌsohha kúltícaagaɓa kiteewoh an ɓa faꞌtii ga, ɓa íisukka ga mbooloomaa ɓaa fiipɓa an:
ACT.14.15	- Héey, ɓiƴaay, ɗú ƴah ya kitum yuma? Ɗí ga kihaffíi, ɗí ɓiɓoꞌ doŋ fodii garúu. Ɗí hay dii kiyéegallúu Hewhewii winéwíꞌwii, ɗú foñ iñcii cii laakoo jeriñɗa, ɗú mëeñsuk, ɗú ëewdoh haffúu ga Koohyii en na kipesɗa, yii sak asamaanii, kakayfii, giiyii na ɓéeɓ iñcii en gaɗa. 
ACT.14.16	Kuɗewaa, ya íisee heetcii, waa en tóoh waa taabuk waasaagari. 
ACT.14.17	Moona déy, ya dëk ga kitum enaama cijófíꞌ, kiteewoh ɓaa ya enɗa: yërí onirúu towii meyohi asamaanɗa, ɗú laak gëñ iñaa ɗú ñaman, ya sóosíꞌ keeñnjúu.
ACT.14.18	Hídaa ga iñaa ɓa woꞌɓa yaama tóoh, apotaaꞌcaa laakussa coonu fiyaak kinís mbooloomaa ga kitumiꞌɓa sarah.
ACT.14.19	Waa ennda ɗa, laakka yaawúuꞌcaa meyohu teeraa Añcoos Písídíi na waa Íkoñom, nookussa ɓuwaa ga hafɓa, lëehíꞌta ɓa tapisohha Pool na atoh kiꞌappi, ɓa fassari bi meyussa nari teeraa, ɓa foogee an ya kaanin. 
ACT.14.20	Wayee, ga waa ɓuwaa gëm ga Yéesu hayu, gíwussariɗa, ya kolukka, ya aassa teeraa. Ga kooh-wíisfaa, ya taammba na Barnabaas, ɓa kaꞌta teeraa Derbe.
ACT.14.21	Pool na Barnabaas yéegalohussa Hewhewii winéwíꞌwii ga teeraa Derbe. Ɓa laakka tëelíbée Yéesu ɓiyewin daama. Lëehíꞌta, ɓa ɓoyukka teeraa Lístaꞌ, waa Íkoñom na waa Añcoos Písídíi. 
ACT.14.22	Ɓa ɓaa yëgísíꞌ keeñcaa ɓuwaa gëm ga Yéesuɗa, ɓa ɓaa daasɓa ɓa yëgís ga ngëmaa. Ɓa woꞌee an: «Ɗu jomin kikooroh ga coonu ciyewin paaƴ, ɗu han kiꞌaas ga 
ACT.14.23	Ga jaangaa en ɓéeɓ, ɓa tannda ga ɓiɓoꞌ ɓaa kuliyukan ga ɓuwaa. Lëehíꞌta, ɓa kíimmba Kooh, ɓa ooꞌta, ɓa díŋkaanndaɓa Haꞌmudii, yii ɓa gëm gariɗa. 
ACT.14.24	Ga waa ɓa meyoh daamaɗa, ɓa koorohha gohaa Písídíi, ɓa kaꞌta waa Pamfílíi. 
ACT.14.25	Ɓa yéegalohha woꞌeenii Kooh ga teeraa Persi, lëehíꞌta ɓa hayya teeraa Atalíi ga daa gaal-giiƴcaa teeriɗa. 
ACT.14.26	Ɓa aassa gaal-giiƴ daama, ɓa ɓaa ɓoyuk teeraa Añcoos Síríi, daa ɓa díŋkaanohsee ga kijofkaa Kooh ɓa tum lëgëyaa ɓa meyoh kimëtíꞌɗa.
ACT.14.27	Ga waa ɓa leꞌɗa, ɓa hídírohha ɓuwaa gëm ga Yéesuɗa, ɓa ɓéestíꞌtaɓa tóoh iñcaa Kooh tum koorohha gaɓaɗa. Ɓa ɓéestíꞌtaɓa ɓan daa ɓuwaa enussii yaawúuꞌ aasu ga ngëmaaɗa. 
ACT.14.28	Ɓa tessa na ɓuwaa gëm ga Yéesuɗa bi sammba kimaañ.
ACT.15.1	Laakka ɓiɓoꞌ ɓaa meyoh gohaa Yúudée hayussa Añcoos Síríi. Ɓa aawwa kijëgíꞌ ɓuwaa gëmin ga Yéesuɗa an: «Binaa ɗú gúrukkii fodaa daa 
ACT.15.2	 na Barnabaas leŋkohussa naɓa, laakussa naɓa ñaroh witamóhíꞌ ga iñaama. Waa ennda ɗa, ɓuwaa gëm ga Yéesuɗa abussa an Pool na Barnabaas na ɓiɓoꞌ ɓaa bok gaɓa jomuunun kikaꞌ Yéerúsaleem ga apotaaꞌcaa na ɓuwaa kuliyuk ga jaangaa Yéesu en daamaɗa, ɓa woꞌ ga iñaama.
ACT.15.3	Ɓu-jaangaa Añcoos erussaɓa iñaa ɓa sooluk ga ɓaawaagaɓaɗa, ɓa ɓaa ƴah. Ɓa kooꞌta gohaa Fenísíi na waa 
ACT.15.4	Ga waa ɓa leꞌ Yéerúsaleemɗa, ɓu-jaangaa na apotaaꞌcaa na ɓuwaa kuliyuk ga jaangaaɗa teerukkaɓa. Lëehíꞌta, ɓa ɓéestíꞌtaɓa tóoh iñcaa Kooh tum kooroh gaɓaɗa. 
ACT.15.5	Wayee, laakka ɓiɓoꞌ ga 
ACT.15.5	- Ɓuwaa enussii yaawúuꞌ ɓaama ee gëmu ga Yéesuɗa jomuunun kigúruk, ee ɓa woꞌu kitaabuk iñaa Waasii Móyíis nakoh kitumɗa. 
ACT.15.6	Apotaaꞌcaa na ɓuwaa kuliyuk ga jaangaaɗa hídírukohussa kimalak iñaama. 
ACT.15.7	Ga waa ɓa nookohha ga iñaama bi maañnja, Peeꞌ dalla kikoluk, woꞌꞌa an:
ACT.15.7	- Mbokcii, fodii ɗú ínohkaɗa iñaa Kooh tanukeeroo ga díkaantirúu maañin. Ya tanukeeroo kiyéegal ɓuwii enussii yaawúuꞌɗa 
ACT.15.8	Ee Kooh yii ínohin iñaa en ga keeñ ɓaa en ɓéeɓɗa, teewohin an ya tookinɓa ga waa ya onɓa Helii yiselaꞌíꞌyii fodaa ya oneeruuriɗa. 
ACT.15.9	Ee laakkii kitansoh kíinoo kaa Kooh tum ga díkaantiruu naɓa. Ee ɓa setɗin keeñcaagaɓa ndaga ngëmaa ɓa laak gariɗa. 
ACT.15.10	Kon iñii tah ya ɗú waaꞌ Kooh kitooñ ga kikooꞌ ɓuwii enussii yaawúuꞌ gëmu gariɗa ɗofcaa, ennda ɗu, ennda ɓicaasammbuu, ɗu mosooca kimín kikooruk. 
ACT.15.11	Ee sah, ɗu yaawúuꞌcii ɗu gëmin an ɗu múcin ndaga yërmaandaa Yéesu, ee ɓa ɓan, ɓa gëm iñaama.
ACT.15.12	Waa ennda ɗa, mbooloomaa ennda cel. Buwaa ɓaa súkúruk Pool na Barnabaas, ɓaama ɓaa ɓéestíꞌɓa kíntaancaa na enaamacaa cidóoyíꞌ-waaꞌcaa Kooh tumee, kooroh gaɓa ga leeloo ɓuwaa enussii yaawúuꞌɗa. 
ACT.15.13	Ga waa ɓa lëehíꞌ kiwoꞌɗa, Saak tíkka ga an:
ACT.15.13	- Súkúrukat mbokcii! 
ACT.15.14	Simoŋ ɓéestírinndúu daa ga dalaaraa, Kooh hayya ga ɓuwii enussii yaawúuꞌɗa, ya tanukka ga ɗuuƴɓa heetaa enan wuuci. 
ACT.15.15	Ee iñii ya woꞌɗa taabohin na iñaa 
ACT.15.16	«Iñii yii paafaa, mi hay kihayis ee mi hay kitawahis kaanfii 
ACT.15.17	Fodaama, iñii tes ɓoꞌ ga ëldúnaɗa aaw kiraas 
ACT.15.18	Iñaama yërí Haꞌmudii woꞌ, ee ya mëtíꞌsi iñaa ya waayukee kitum ee ínohukin kumëeñíꞌɗa.»
ACT.15.19	Saak tíkka ga an:
ACT.15.19	- Tahin bi mi ga kihaffoo, mi am an ɗu hanat kisodal ɓuwaa enussii yaawúuꞌ ɓaama mëeñsukuunun ɓa ɓii gëm ga Koohɗa. 
ACT.15.20	Wayee hoonohoo ɗu bínɓa ɓan, ɗu woꞌɓa an: ɓa hanat kiñam koynohkaa sarahohu ga koofcaa, ɓa abuk ga kifaanuk na ɓaa en ɓéeɓ, ɓa abuk ɓan ga kiñam koynoh júuraa apu ee ñífaa aamussii, wala kiꞌan ñíf. 
ACT.15.21	En kiꞌenaa, daloh ga cosaan bi ga wati, laakin ga teeraa en ɓéeɓ ɓiɓoꞌ, ɓaa jëgírohi iñaa Waasii Móyíis nakoh kitumɗa, bes 
ACT.15.22	Waa ennda ɗa, apotaaꞌcaa na ɓuwaa kuliyuk ga jaangaa Yéerúsaleemɗa na ɓéeɓ kerceencaa daamaɗa júwohussa an ɓa hay kitan ɓiɓoꞌ ga ɗuuƴɓa, ɓa wosɓa Añcoos, ɓa taam na 
ACT.15.23	Ɓa eꞌtaɓa këyít, ee iñii yii yërí bídu ga an: «Ɗú mbokciigaríi dëku Añcoos, Síríi na Sílísíiɗa, ɗú ɓii ɗú enndii yaawúuꞌɗa, ɗí ɓii këñíꞌtúu ɗí apotaaꞌcii na ɓuwii kuliyuk ga jaangii Yéerúsaleemɗa. 
ACT.15.24	Ɗí kelohin an laakin ɓuwaa meyohu dii, hayuunun garúu. Ɓa ɓum jaahallúu, ɓa ɓum hícoh helcumgarúu na woꞌeencumgaɓa ee ɗí nakkiiɓa ka. 
ACT.15.25	Kërí tah ɗí ɓéeɓpíi ɗí júwohin, ɗí tanin ɓiɓoꞌ ɓaa ɗí wos garúu. Ɗí akitohinɓa na Pool na Barnabaas, fiiliimunciigaríi, 
ACT.15.26	ɓii erohin kumuunɓa ndaga teekii Yéesu 
ACT.15.27	Kon ɗí ɓii wosoh garúu Yúdaa na Sílaas, ɓa woꞌꞌúu iñii ɗí bín ga këyítfiiɗa. 
ACT.15.28	En kiꞌenaa, Helii yiselaꞌíꞌyii yii naríi, ɗí waaꞌtiirúu dara kitík yiɓítíꞌ, enndii iñcii ɓoꞌ mínoo kifoñ ciinaa: 
ACT.15.29	kaa ñamat koynohkaa tumu sarah ga koofcaa, kaa anat ɓan ñíf wala kiñam koynoh júuraa apu hen ee ñífaa aamussii, ee kaa faanukat na ɓaa en ɓéeɓ. Binaa ɗú watuk iñcaamanaa, ɗú hay kitum yijófíꞌ. Kijaammu-jaammu!»
ACT.15.30	Waa ennda ɗa, ɓuwaa tansee wosussaɗa ɓaa ƴah Añcoos. Ga waa ɓa leꞌɗa, ɓa hídírohha ɓéeɓ ɓuwaa gëm ga Yéesuɗa, lëehíꞌta, ɓa eꞌtaɓa këyítfaa. 
ACT.15.31	Fa jagussa ee ɓuwaa ɓéeɓɓa keeñɓa soossa ga iñaa bídu ga këhítfaa yaama ee daasinɓa ga ngëmɗa. 
ACT.15.32	Yúdaa na Sílaas ga kihafɓa, ensee 
ACT.15.33	Ɓa tessa daama bi sammba kimaañ, lëehíꞌta, Ɓuwaa íisussaɓa ɓa ɓoyuk na jam ga ɓuwaa woseeɓaɗa. 
ACT.15.34	[Wayee Sílaas nak ɓoyukkii, ya tessa ga Añcoos.]
ACT.15.35	Pool na Barnabaas ɓan tesussa ga Añcoos, ee ɓa ɓanak taabussa na ɓiɓoꞌ ɓiyewin ɓiliis, ɓaa jëgíroh, ɓaa yéegaloh Hewhewii winéwíꞌwii en woꞌeenii Haꞌmudiiɗa.
ACT.15.36	Ga besaa tík gaɗa, 
ACT.15.36	- Ɗu kaꞌsat, ɗu wíil tóoh teerucaa ɗu yéegalohee woꞌeenii Haꞌmudii gacaɗa, ɗu waaknee mbokcaa gëmuunun ga Yéesu enu daɗa.
ACT.15.37	Barnabaas nak, waaꞌta kiɓaydoh Saŋ yaa ɓaysi Markaɗa, 
ACT.15.38	wayee Pool tookkii Marka taam naɓa ndaga daa yaama foñeeɓa ga teeraa Pamfílíi, taabissii naɓa ga lëgëyaa ɓa enee na kitumɗa. 
