GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
EZK.34.5	 A cing om lo ahi manin kithehthang uh a, a kikhenthang uh ciangin gamsa gilo khempeuh an a suak uh hi. 
EZK.34.6	 Mual lian khempeuh tung le mual sang neu citeng tungah ka tuute vakzau uh hi. Amaute leitung bupah kithehthang uh a, kuamah in zongin a kan kei hi.
EZK.34.7	 "’Tua ahi ciangin no tuucingte aw, 
EZK.34.8	 Thupipen 
EZK.34.9	 Tua ahi ciangin tuucingte aw, 
EZK.34.10	 Hih in Thupipen 
EZK.34.11	 "’Ahang in, hih in Thupipen 
EZK.34.12	 Tuucingpa khat in a kithehthang ama tuute a cin bangin ka tuute ka cing ding hi. ‘Meiipi lak, khuamial lakah a kithehthang hun uh cingin amaute omna munmun ah ka hukhia ding hi. 
EZK.34.13	 Minamte panin ka samkhia dinga, gam tuamtuam pan kaikhawmin amaute neihsa gamah ka puak ding hi. Israel mualte tung le kuam sung, mite tenna khempeuh ah ka gamtasak ding hi. 
EZK.34.14	 Amaute lonona munah ka cing dinga Israel mualsangte a gamtatna mun uh hi ding hi. Gamtatna mun hoih ah lum ding uh a, Israel mualte tung lonona mun tua lai-ah ka kigamtasak ding hi. 
EZK.34.15	 Keimah in ka tuute ka cing dinga amaute ka lumsak ding hi. Thupipen 
EZK.34.16	 A mangte ka zong dinga lam khialte ka kaikhawm ding hi; a liamnate ka tunsak dinga a zawngkhalte ka khoi ding hi. Ahi hangin athau a hatte ka susia ding hi. Ka tuuhonte thutangin ka cing ding hi.
EZK.34.17	 "’Ka tuuhonte aw, hih in note adingin Thupipen 
EZK.34.18	 Lonona munah an hong kivak ciangin tua tawh lungkim zo nai lo na hi uh hiam? Na nek loh teng uh zong tuancil lai hi lo na hi uh hiam? Tui siangtho na dawn uh tawh lungkim zo nai lo na hi uh hiam? Na dawn loh teng uh na khe un tuanbuan hi lo na hi uh hiam? 
EZK.34.19	 Na tuatcilsate uh le na tuat buansate uh tawh keima tuuhonte kivak kul hi lo hiam?
EZK.34.20	 "’Tua ahi ciangin amaute tungah Thupipen 
EZK.34.21	 Bang hang hiam cih leh na pang uh le na liangdaak un tuu gina lote khempeuh phu in na hawlkhiat zawh matengun na ki uh tawh na pik uh hi. 
EZK.34.22	 Ka tuuhonte ka hon dinga amaute kikaikhiamang nawn lo ding hi. Ka tuute khat le khat kikal ah thu ka khen ding hi. 
EZK.34.23	 Amaute a uk ding tuucing khat ka nasempa David ka koih dinga amah in amaute a vak ding hi; amah in amaute vakin amaute a cingpa hi ding hi. 
EZK.34.24	 Keimah 
EZK.34.25	 "Amaute gamsimtham ah tenga, lungmuangtakin tulakah a lup theih nadingun amaute tawh kilemna thukhun ka bawl ding hi. 
EZK.34.26	 Amaute le ka mual a
EZK.34.27	 Lo sunga singkungte gah ding uh a, leitang in an tampi piangsakin mite amau leitang ciatah nuamtakin a teng ding uh hi. A hakkol zawlte uh kuaihtansak a, sila a, khawite khut pan ka hutkhiat ciangin amaute in keimah 
EZK.34.28	 Minamte in amaute galmatin kai nawn lo ding uh a, gamsate an a suak nawn kei ding uh hi. Lungnuamtakin teng ding uh a, kuamah in a lausak kei ding hi. 
EZK.34.29	 Amaute an pianna a minthang gam khat ka pia dinga a gam-uah kialpi tung nawn lo dinga minamte in zong a simmawh nawn kei ding uh hi. 
EZK.34.30	 Tua ciangin keimah 
EZK.34.31	 No ka tuute, ka lonona-a gamta ka tuute, ka mite na hi uh a, keimah note Pasian ka hi hi,’ Thupipen 
EZK.35.1	 thu kei tungah hong tunga: 
EZK.35.2	 "Mihing tapa aw, Seir Vum lam nga inla, a siat nading genkhol in: 
EZK.35.3	 Hih in Thupipen 
EZK.35.4	 Na khuapite ka siasak dinga gamkhing ka suaksak ding hi. Tua ciangin keimah 
EZK.35.5	 "’Bang hang hiam cih leh nang in tang lai-a kigalneihna na ciamteh gige-a Israel-te dan thuak ding hun nunung pen a tun laitak, a lungkham laitakun amaute namsau-a thah dingin na piakhia hi. 
EZK.35.6	 Tua ahi ciangin ka nuntakna ka lo hi, 
EZK.35.7	 Bangmah a kimang lo Seir Vum gamkhing ka suaksak dinga, tua lai-a a ciah a kuante ka khaktan ding hi. 
EZK.35.8	 Na mualliante misi tawh ka dimsak dinga, na mualneute tung, na kuam sung le na kuam thukpite sungah namsau-a kithatte a puk ding uh hi. 
EZK.35.9	 Gamkhing kong suaksak den dinga; na khuapite ah a kiteng kei ding hi. Tua ciangin keimah 
EZK.35.10	 "’Bang hang hiam cih leh nang in keimah 
EZK.35.11	 tua ahi ciangin Thupipen 
EZK.35.12	 Tua ciangin Israel mualte langkhat ah a zakdahhuai na gente keimah 
EZK.35.13	 Kei langkhat ah kiliansakin kidawm het loin kam na pau a, keimah in ka za zo hi. 
EZK.35.14	 Hih in Thupipen 
EZK.35.15	 Bang hang hiam cih leh Israel innkuante gouluah gamkhing a kisuahsak laitakin nang na lungdam hi; nang zong a tuaci-in kong bawl ding hi. Seir Vum aw, nang le Edom-te khempeuh gamkhing hong kisuaksak ding hi. Tua ciangin amaute in keimah 
EZK.36.1	"Mihing tapa aw, Israel mualliante kiangah thu genkhol inla, ‘Israel mualliante aw, 
EZK.36.2	 Hih in Thupipen 
EZK.36.3	 Tua ahi ciangin thu genkhol inla, ‘Hih in Thupipen 
EZK.36.4	 Tua ahi ciangin Israel mualliante aw, Thupipen 
EZK.36.5	 Thupipen 
EZK.36.6	 Tua ahi ciangin Israel gam tawh kisai-in thu genkhol inla mualliante le mualneute tung, kuamte le kuamthukpite tungah: "Hih in Thupipen 
EZK.36.7	 Tua ahi ciangin hih in Thupipen 
EZK.36.8	 "’Ahi hangin no Israel mualliante aw, na hiangte uh zaamin ka mi Israel-te adingin gah na gah ding uh hi, ahang in, amaute inn ah hong ciah baih ta ding uh hi. 
EZK.36.9	 No lamah ka panga kong angvan ding hi; note hong kitovuungin, hong kivawh dinga 
EZK.36.10	 note tung le Israel innkuan tung nangawnah mi ka kibehlapsak ding hi; khuapite ah mite tung kikin a siasate kilam kik ding hi. 
EZK.36.11	 Note tungah mihing ganhing ka khangsak dinga amaute gahpha mahmahin tampitak a pha ding uh hi. A beisa huna bangin na tungah mi ka tengsak dinga, a beisa hun sangin kong daupaisak zaw ding hi. Tua ciangin keimah 
EZK.36.12	 Note tungah mi, ka mi Israel-te ka vaksak ding hi. Amaute in nang hong nei ding uh a, nang amaute’ gouluah na hi ding hi; nang in amaute tate na sutkhia ngei nawn kei ding hi.
EZK.36.13	 "’Hih in Thupipen 
EZK.36.14	 Tua ahi ciangin mi na nawmvalh nawn kei dinga na minamte ta nei loin a om nawn kei ding hi, Thupipen 
EZK.36.15	 Minamte hong engkona hong zasak nawn loin, mite kong simmawhbawlsak nawn kei dinga na minam ka puksak nawn kei ding hi, Thupipen 
EZK.36.17	 "Mihing tapa aw, Israel mite amau gamah a ten lai-un amaute gamtatna le a nasepnate-un a gam uh ninsak uh hi. Kei muhna ah amaute gamtatna, khasima numeite’ nin tawh kibang hi. 
EZK.36.18	 Tua ahi ciangin amau gamah mihing sisan a luansakna uh le a gam uh milimte-in ninsak uh ahi manin amaute tungah ka thangpaihna ka sungkhia hi. 
EZK.36.19	 Minamte lakah ka delhzaka, gam citengah kithehthang uh hi. Amaute gamtatna le a nasepnate uh tawh kizui-in amaute tungah thu ka khen hi. 
EZK.36.20	 Minamte laka a paina peuhpeuh uah ka min siangtho a daisak uh hi, tua hangin amaute tawh kisai-in, ‘Hihte 
EZK.36.21	 Israel innkuante in a paina peuhpeuh uh minamte laka a daisak uh ka min siangtho ka khual hi.
EZK.36.22	 "Tua ahi ciangin Israel innkuante tungah: Hih in Thupipen 
EZK.36.23	 Minamte laka na daisak uh, amaute laka na daisak uh ka min alian mahmah ka min a sianthona kong lak ding hi. Note tungtawnin amaute mai-ah keimah ka sianthona kong kilah ciangin minamte in keimah 
EZK.36.24	 " ‘Ahang in, minamte lak panin kong lakhia ding hi; gam khempeuh panin kong khawm dinga nomau gamah kong puak kik ding hi. 
EZK.36.25	 Note tungah tui siangtho kong theh dinga na siang ding uh hi; na siantho lohna khempeuh uh ahi na milimte khempeuh panun kong siangsak ding hi. 
EZK.36.26	 Note lungsim thak kong guan dinga; na sunguah kha thak ka guang ding hi. Na suang lungtang uh ka lakhia dinga satak lungtang kong guan ding hi. 
EZK.36.27	 Note sungah ka Kha ka guang dinga ka thukipte hong zuisakin ka thukhamte limtakin kong tangsak ding hi. 
EZK.36.28	 Na pute uh ka piaksa gam sungah na teng ding uh hi; note keima mi na hi ding uh a, keimah note Pasian ka hi ding hi. 
EZK.36.29	 Na siantholohna khempeuh panun kong honkhia ding hi. An ka sam dinga tampi phasakin kialpi hong tung nawn kei ding hi. 
EZK.36.30	 Kialpi hangin minamte lakah na maimawl nawn loh nadingun na singgahte uh gahphasakin na lo-uah an tampi ka piangsak ding hi. 
EZK.36.31	 Tua ciangin na gamtat hoihlohna uh le na gitlohna uh na phawk ding uh a, na mawhnate uh le a kihhuai na gamtatnate uh hangin no le no na kikih ding uh hi. 
EZK.36.32	 Keimah in note kong khualna-a ka hih loh ahilam na theih ding uh ka deih hi, Thupipen 
EZK.36.33	 "’Hih in Thupipen 
EZK.36.34	 A tawnkhate muhna ah gamval a suak gamte gamval hi nawn loin kikho ta ding hi. 
EZK.36.35	 Amaute in, "Hih a kimawk nusiat gam, Eden huan bang ta hi; a kisusia gamkhinga om a kisia khuapite tu-in mi tenga kulhin ki-um ta hi," ci ding uh hi. 
EZK.36.36	 Tua ciangin note kima om minamte in, keimah 
EZK.36.37	 "Hih in Thupipen 
EZK.36.38	 Jerusalem-a a kisehsa pawite a biakna ding tuuhonte zahin ka tamsak ding hi. Tua ciangin a kisiasa khuapite ah mihing honpi dim ding hi. Tua ciangin amaute in keimah 
EZK.37.1	 khut ka tungah hong kinga a, 
EZK.37.2	 Amah in tuate lakah kei hong vakpih kawikawi a, tua kuam sungah guh tampitak kiphah ziahzuahin tua guhte a keu giugeu hi. 
EZK.37.3	 Amah in kei kiangah, "Mihing tapa aw, hih guhte a nungta thei ding hiam?" ci-in hong dong hi.
EZK.37.3	"Thupipen 
EZK.37.4	 Tua ciangin kei kiangah, " Hih guhte tungah thu genkhol inla amaute kiangah, ‘Guhkeute aw, 
EZK.37.5	 Hih guhte tunga Thupipen 
EZK.37.6	 Note tungah thagui ka thuah dinga satak dimsakin vunin kong tuam ding hi; note sungah huu ka lutsak dinga tua ciangin na nungta ding uh hi. Tua ciangin keimah 
EZK.37.7	 Tua ciangin hong kisawl bangin thu ka genkhol hi. Ka thugen hun sungin a gamlum khat hong om a kitat luapluapin guhte amau mun ciatah a kithuah uh hi. 
EZK.37.8	 Ka et leh tuate tungah thagui le satak hong kithuah a, vun in a tuam hi, ahi hangin amaute sungah huu a om nai kei hi.
EZK.37.9	 Tua ciangin kei kiangah, "Huu tungah thu gen in, mihing tapa aw, thu gen inla tua tungah,’ Hih in Thupipen 
EZK.37.10	 Ama hong sawl bangin thu ka gena amaute sungah huu a lut hi. Amaute nungta uh a, a khe-un a ding uh hi- galkap honpi khat ahi hi.
EZK.37.11	 Tua ciangin amah in kei kiangah: Mihing tapa aw, hih guhte Israel innkuan bup ahi hi. Amaute in, ‘Ka guhte uh keugaw a, ka lametna uh beita hi; kote hong kikhenkhia ta hi,’ ci uh hi. 
EZK.37.12	 Tua ahi ciangin thu gen inla amaute tungah: Hih in Thupipen 
EZK.37.13	 Na hankhukte uh honga kong lakkhiattoh ciangin keima mi note in keimah 
EZK.37.14	 Ka Kha note sungah ka koih dinga nungta-in na gamuah kong tengsak ding hi. Tua ciangin keimah 
EZK.37.16	 "Mihing tapa aw, ciang khat la inla a tungah, ‘Ama kipawlpih Judah le Israel mite aa’ ci-in gelh in. Tua ciangin ciang dang khat la leuleu inla a tungah, ‘Ephraim ciang, ama kipawlpih Joseph le Israel innkuante khempeuh aa,’ ci-in gelh in. 
EZK.37.17	 Na khut sungah ciang khat a suak dingin ciang khat tungah a khat zom in.
EZK.37.18	 "Na gam mite in na kiangah,’ Hih a deihna bang hiam?’ ci-a hong dot uh ciangin 
EZK.37.19	 amaute kiangah, ‘Hih in Thupipen 
EZK.37.20	 A tunga lai na gelhsa ciangte amau muhin tawi inla 
EZK.37.21	 amaute kiangah, ‘Hih in Thupipen 
EZK.37.22	 Keimah in Israel mualliante tungah amaute minam khat ka suaksak ding hi. Amaute khempeuh a uk kumpi khat omin minam nih suak ngei nawn lo ding uh a, kumpi-gam nihin a kikhen ngei nawn kei ding uh hi. 
EZK.37.23	 Keimah in a nungtolhna a
EZK.37.24	 "’Ka nasempa David amaute kumpi hi dinga, amaute khempeuh a cing ding tuucing khat ahi ding hi. Ka thukhamte zui ding uh a, ka thukipte limtakin a tang ding uh hi. 
EZK.37.25	 Ka nasempa Jacob ka piaksa na pate uh tenna gamah amaute a teng ding uh hi. Amaute le a tate uh le a tute uh tua lai-ah teng tawntung ding uh a, ka nasempa David a ukpa uh hi tawntung ding hi. 
EZK.37.26	 Amaute tawh kilemna thukhun ka bawl dinga, tua pen tawntung thukhun hi ding hi. Amaute kipsakin ka pungsak dinga, amaute lakah ka munsiangtho a tawntungin ka koih ding hi. 
EZK.37.27	 Ka tenna mun amaute tawh a om ding hi; keimah amaute Pasian ka hi dinga, amaute ka mite hi ding uh hi. 
EZK.37.28	 Amaute lakah ka munsiangtho a om den ciangin minamte in Israel-te a siangthosak keimah 
EZK.38.1	 thu kei tungah hong tunga: 
EZK.38.2	 "Mihing tapa aw, Magog gama Gog, Meshech le Tubal ukpipa b
EZK.38.3	 ‘Hih in Thupipen 
EZK.38.4	 Na khaguh ah sikkawi thuahin nang kong pumpei dinga, na galkap buppi, na sakolte, galhiam kimtaka a nei na sakol tuangte, lumneu lumlian a tawi mipite, a vekpi-un a namsau uh a teesak zuahzuahte tawh kong kaikhia ding hi. 
EZK.38.5	 Persia, Cush d
EZK.38.6	 Gomer a galkap khempeuh tawh, leilu-lam pek panin Beth Togarmah a galkapte tawh - minam tampi nang tawh a kop uh hi.
EZK.38.7	 "’Kithawi un! Nang le nang kianga hong kikhawm mipi khempeuh kigingsa-in om unla amaute uk in. 
EZK.38.8	 Ni tampi khit ciangin galhiam hong kitawisak ding hi. Sawtpi hun lai-a gamkhing a suaksa Israel mualliante tunga om minamte pana kikaikhawm gal sunga a suaktate’ gam khat mailam hun ciangin kong simsak ding hi. Amaute pen minamte lak pana kikaikhia hi uh a, tu-in a vekun lungmuangtakin teng uh hi. 
EZK.38.9	 Nang le na galkap khempeuh le nang tawh a omkhawm minam tampite huihpi nung bangin na kuanto ding uh hi; meiipi in leitung a tuam tawh na kibang ding uh hi.
EZK.38.10	 "’Hih in Thupipen 
EZK.38.11	 "Kulh-a ki-um lo khuanote omna gam khat ka sim ding hi; bangmah a phawk lo lungmuangtaka om - kulh-a ki-um lo, kongpi le kongpi kalhna a nei lo mite ka sim ding hi; 
EZK.38.12	 a kisiasa muna a lalkik minamte pana kikaikhawm, ganhing le van a hau, gam laizanga tengte langkhatah ka khut ka liik dinga luhgawpin a nate uh ka laksak ding hi," na ci ding hi. 
EZK.38.13	 Sheba, Dedan, Tarshish sumbukte le a khuaneute e
EZK.38.14	 "Tua ahi ciangin mihing tapa aw, tua thu genkhol inla Gog tungah: Hih in Thupipen 
EZK.38.15	 Na omna mun leilu-lam gamla pek panin hong pai-in minam tampite nong tonpih dinga, a vekpi un sakol tunga tuang a thahat galkap hon tampitak hi ding uh hi. 
EZK.38.16	 Meii in leitung a tuam bangin ka mi Israel-te sim dingin na kuan ding uh hi. Gog aw, hong tung ding nite ah ka sianthona hong kitheih nadingin minamte mitmuhin nang tungtawna ka kilah theih nadingin ka gam sim dingin kong puak ding hi.
EZK.38.17	 "’Hih in Thupipen 
EZK.38.18	 Tua ni ciangin hih bangin a piang ding hi: Gog in Israel gam a sim ciangin a sa mahmah ka hehna a kuangkhia ding hi, Thupipen 
EZK.38.19	 Ka aamna le ka thangpaihluatna hanga ka cihinah tua hun ciangin Israel gamah zin nakpi-in ling ding hi. 
EZK.38.20	 Keima maitang ah, tuipi ngasate, huihlak vasate, gamsung ganhingte, leithama vak ganhing khempeuh le lei maitanga om mihing khempeuh ling ding uh hi. Mualliante pukin keente cim ding uh a, kulh peuhmah leilakah a puk ding hi. 
EZK.38.21	 Ka mualliante khempeuh tunga om Gog sim dingin namsau khat ka sam ding hi, Thupipen 
EZK.38.22	 Pulpi le sisan luanna tawh ama tungah thu ka khen ding hi; amah le a galkapte tung le amah tawh a omkhawm minamte tungah guahsiapi, gialpi, kaat kuanglai ka buaksuk ding hi. 
EZK.38.23	 Tua bangin ka liatna le ka sianthona ka lak dinga minam tampite muhin kei le kei ka kitheisak ding hi. Tua ciangin amaute in keimah 
EZK.39.1	"Mihing tapa aw, Gog siat ding genkhol inla: ‘Hih in Thupipen 
EZK.39.2	 Kong pingpei dinga kong talkaihgawp ding hi. Leilu-lam gamlapi panin kong lakhia dinga Israel mualliante kong simsak ding hi. 
EZK.39.3	 Tua ciangin na veilam khuta na thal ka bengkhia dinga, na taklam khuta na thaltang ka kiasak ding hi. 
EZK.39.4	 Israel mualtung ah nang le na galkapte khempeuh, nang tawh a kop minamte khempeuh a puk ding uh hi. Vasa nam khempeuh le gamsa khempeuh an dingin nang kong pia ding hi. 
EZK.39.5	 Keimah in ka gensa ahi manin gam sungah na puk ding uh hi, Thupipen 
EZK.39.6	 Magog le tuipi gei-a lungmuangtaka tengte mei-in ka hal dinga tua ciangin keimah 
EZK.39.7	 "’Ka mi Israel lakah ka min a sianthona ka kitheisak ding hi. Ka min siangtho ka daisak nawn kei dinga, minamte in Israel gam sunga keimah 
EZK.39.8	 Tua hun hong tung ta hi! A piang takpi ding ahi hi, Thupipen 
EZK.39.9	 "’Tua ciangin Israel khuapi sunga tengte paikhia-in galvante - lumlian lumneute, thal le thaltangte, gal khetbukte le teipite mei-in cihin a haltum ding uh hi. Ansing dingin tuate kum sagih sung a khom ding uh hi. 
EZK.39.10	 Amaute in gamlakah sing tom loin sing phuk a kul kei ding hi. Ahang in, galhiamte singin a cih ding uh hi. Tua ciangin amaute in amau van a laksakte’ van laksak ding uh a amau na a sutte’ na a sut ding uh hi, Thupipen 
EZK.39.11	 "’Tua ni ciangin Israel gam sungah Gog han mun dingin Tuipi b
EZK.39.12	 "’Israel innkuante in a gamsung uh a hahsiang nadingun kha sagih sung amaute a vui khop ding uh hi. 
EZK.39.13	 Tua gam mite in amaute vui ding uh a, amau adingin kei hong kiminthansak ni, a kiphawk den ni khat a suak ding hi, Thupipen 
EZK.39.14	 "’Leitang hahsiang dingin ahunhunin mi kicial ding hi. Pawlkhatte in gamsung khempeuh zong ding uh a, tuate banah adangte in leitunga omte a phum ding uh hi. Kha sagih a cin ciangin a zong dingin a kipan ding uh hi. 
EZK.39.15	 Gam sung teng a zonna uah mi khat in misi guh khat a muh leh khul tote in Hamon Gog Kuam ah a vui khit mateng a kiangah ciamtehna khat a phut ding hi. 
EZK.39.16	 (Tua lai-ah Hamonah e
EZK.39.17	 "Mihing tapa aw, hih in Thupipen 
EZK.39.18	 Note in tuutal le tuuno, keeltal le bawngtal tawh kibang mi thahatte sa ne-in, gam-ukte si na dawn ding uh hi - amaute a vekpi un Bashan a kivakthau ganhingte vive ahi uh hi. 
EZK.39.19	 Tua biakpiakna no adingin ka bawl hi-a, a thau na duh zahzah uh ne-in a sisan na khamgawp dong uh na dawn ding uh hi. 
EZK.39.20	 Note in ka sabuai ah sakolte le a tunga tuangte, mi thahatte le galkap namkimte khamtakin na ne ding uh hi, Thupipen 
EZK.39.21	 Minamte lakah ka minthanna ka lak dinga, minamte khempeuh in amaute tungah ka khut liikin dan ka tuahsakna a mu ding uh hi. 
EZK.39.22	 Tua ni-a kipan mailam ah Israel innkuante in keimah 
EZK.39.23	 Kei tungah ‘Israel mite muanhuai lo uh ahi manin amaute mawhna hangin sal-a kikai ahilam minamte in a thei ding uh hi. Tua ciangin amaute muh loh dingin ka maitang ka seel a, a galte uh khutah pia-in amaute namsau-in a puk uh hi. 
EZK.39.24	 Amaute siantholohna le a gitlohna uh tawh kituakin ka thuaksaka amau muh loh dingin ka maitang ka seel hi.
EZK.39.25	 "Tua ahi ciangin hih in Thupipen 
EZK.39.26	 Amaute a gam uah omin kuamah in a lauthawngsak loh hun ciangin kei tunga a bawl uh a muanhuai lohnate uh le maizumhuainate mangngilh ta ding uh hi. 
EZK.39.27	 Minamte lak pan kaikhawm kika, a galte uh gam pan ka khop kik ciangin amaute tungtawnin minam tampite mai-ah ka sianthona ka kilak ding hi. 
EZK.39.28	 Tua ciangin amaute in keimah 
EZK.39.29	 Israel innkuante tungah ka Kha buakhia ding ka hi manin amaute kiang panin ka maitang ka seel nawn kei ding hi, Thupipen 
EZK.40.1	Khuapi a puk zawh a kum sawm le lina kum, sal-a hong kikaih a kum sawm nih le ngana kum kipat tung tua kha a ni sawm ni - tua ni tektekin 
EZK.40.2	 Pasian mang ka muhna ah, Israel gamah hong paipih a mual sangpi dawn khatah hong koih hi; tua mual leitaw-lam pangah khuapi tawh a kibang inn lianpipi omna khat a om hi. 
EZK.40.3	 Amah in tua lai-ah kei hong tuna a mel puakzia sumngo tawh a kibang mi khat ka mu hi. Tuapa in a khutah pikhau le piciang tawi-in kongpi laizangah na ding hi. 
EZK.40.4	 Mipa in kei kiangah, "Mihing tapa aw, na mitin en inla, na bilin za-in, kong lah dingte khempeuh limtakin thudon in, ahang in, tua dingin nang hih lai-ah hong kipuak ahi hi. Na muh khempeuh Israel innkuante tungah gen in," hong ci hi.
EZK.40.5	 Biakinnpi huang a umcih bikbek kulh khat ka mu hi. Mipa khuta tehna pen a sauna tong guk hi a, tong khat pen tong b
EZK.40.6	 Tua ciangin nisuahna-lam nga kongpi ah a pai hi. Kahleite ah kahto in kongpi lutna teh a, piciang tun khat a thuk d
EZK.40.7	 Galvilte galvil bukte piciang khat sau-in, piciang khat a zai a, galvil buk khat le khat kawmna kulhte zong tong nga mah a sah hi. Biakinnpi lam nga talaap zoma kongpi vang zong piciang khat mah a thuk hi.
EZK.40.8	 Tua ciangin kongpi talaap a teh hi. 
EZK.40.9	 Tua e
EZK.40.10	 Nisuahna kongpi sunglam lang tuakah galvil buk thum tuak om a; a thumin kikima a kikala kawm sahna zong a kikim hi. 
EZK.40.11	 Tua ciangin lutna kongpi zaina a teh hi; tua pen tong sawm hi-a tong sawm le thum a sau hi. 
EZK.40.12	 Galvil bukte mai ciatah tong khat a sah kawm om a, a galvil bukte tongguk ningkim ahi hi. 
EZK.40.13	 Tua ciangin galvil buk kawm nunglam ah a gala galvil buk kawm nunglam dong galdal-kulh teh a; galvilbuk khat pan a gal-a khat dong tong sawmnih le tong nga a pha hi. 
EZK.40.14	 Amah in kulh tung zui-in kongpi sungnung teh a, - tong sawmguk a pha hi. A tehna pen inntual f
EZK.40.15	 Tumna kongpi panin a talaap mongdawn dong tong sawmnga a pha hi. 
EZK.40.16	 Lutna kongpi sunglam a, kulh khuam le galvil bukte a kimkot kihonga talaap tawh a kibangin vangneu a kineisak ciat hi. Tua khuam pang khempeuh nisuh kungin kizem hi.
EZK.40.17	 Tua ciangin a pualam tualah hong paipih hi. Tua lai-ah inn dei pawlkhat le inntual kimkota suangphah ka mu a; tua suangphah kimkot ah inndei sawm thum a om hi. 
EZK.40.18	 Suangphah pen kongpi khat pan kongpi khat bana kiphah hi-a, a zaina le a sauna a kikim suak hi; hih pen suangphah niamzaw ahi hi. 
EZK.40.19	 Tua ciangin kongpi niamzaw pena kipan huang sungnung pen pualam dong teh a, nisuahna-lam le leilu-lam kikimin tong zakhat tuak a pha hi.
EZK.40.20	 Tua ciangin amah in a pualam tual paina leilu-lam maingatin asauna a teh hi. 
EZK.40.21	 Tua a masa kongpi mah bangin a pang kimkota galvil buk thum ciatte - a kulh khuamte le a innmengte a phacia kikim hi. Tua kongpi paina pen tong sawmnga sau-in tong sawmnih le nga a zai hi. 
EZK.40.22	 A vangte, a inn mengte, nisuh kunga zepnate, nisuahna-lam a maingat kongpi-a tawh kikim hi. Tua lampi matna kahlei cial sagih pha khat om a, tuate tawh kigalsai-ah innmeng a om hi. 
EZK.40.23	 Nisuahna-lam panga om bang tektekin leilu-lam kongpi maingatin a tual sungnung kongpi a om hi. Amah in a kigalsaipih kongpi pen tawh a kikal teh a; tong zakhat a pha hi.
EZK.40.24	 Tua ciangin amah in leitaw-lam pangah hong paipih a, leitaw-lam a maingat kongpi khat ka mu hi. Amah in a kong nangte le a talaap teh a, a dangte tawh a kikim hi. 
EZK.40.25	 Kongpi lampi le innmeng in adangte neih mah bangin kong vangneu a nei ciat hi. Tua lampi pen tong sawmnga sau a, tong sawmnih le tong nga mah a zai hi. 
EZK.40.26	 Tua lampi mat nading kahlei cial sagih mah om a, tua tawh kigalsai-in innmeng a om hi; a kulh khuampang maitang khempeuh nisuh kungin kizem ciat hi. 
EZK.40.27	 A sungnung tual in zong leitaw-lam nga kongpi khat mah nei a, amah in tua kongpi panin leitaw-lam pang a pualam tual dong a teh hi; tong zakhat a pha hi.
EZK.40.28	 Tua ciangin amah in leitaw-lam kongpi tawnin a sungnung tual ah kei hong paipih a leitaw-lam kongpi a teh hi. Tua zong adangte mah tawh kikim hi. 
EZK.40.29	 A galvil bukte a kulh khuamte le a innmengte adangte cia mah pha kim hi. A kongpi lampi le a innmengte in a kimkotah vangte a nei hi. Tua lampi tong sawm nga sau a, tong sawmnih le nga a zai hi. 
EZK.40.30	 (Tual sungnung kimkota kongpi lampi-a innmengte tong sawmnih le nga zai-in tong nga thuk hi.) 
EZK.40.31	 A talaap tual puanung lam a nga hi; a kong nangte nisuh kungin kizema tua lampi mat nadingin kahlei cial giat a om hi.
EZK.40.32	 Tua ciangin amah in tual sungnung nisuahna-lam pangah hong puak a, kongpi lampi a teh hi. 
EZK.40.33	 A galvil buk, a kulhkhuam le a talaapte zong a dangte mah tawh kikim hi. A kongpi lampi le talaap in a kimkotah a vangneu a nei hi. Tua lampi tong sawmnga sau a, tong sawmnih le nga a zai hi. 
EZK.40.34	 A talaap in tual puanung lam maingat hi. Kong nangte pang nisuh kungin kizem ciat a, lampi mat nading kahlei cial giat a om hi.
EZK.40.35	 Tua ciangin leilu-lam kongpi ah kei hong paipih a, kongpi a teh hi. Tua zong adangte mah tawh kikim a, 
EZK.40.36	 galvil bukte, kulh khuamte le talaap zong tua mah bang hi-a a kimkot ah a vangte zong a nei hi. Tua lampi tong sawmnga sau-in tong sawmnih le nga a zai hi. 
EZK.40.37	 A talaap a
EZK.40.38	 Tual sungnung pen kongpi lampi kima talaap zomah kongvang a nei meihal biaknate sawpna inndei khat a om hi. 
EZK.40.39	 Talaap sunga kongpi lampi lang tuakah meihal biakna, mawhna hanga biakna, le khialhna hanga biaknate gawhna sabuai nih tuak a om hi. 
EZK.40.40	 Kongpi lampi-a talaap kawm pualam, leilu-lam kongpi lampi lutna kahlei gei-ah sabuai nih om a, a kahlei lang tuakah nih mah a om hi. 
EZK.40.41	 Tua ciangin kongpi lampi langkhat ah sabuai li om a, a vekin sabuai giat pha in - tuate tungah biak piaknate kigo hi. 
EZK.40.42	 Meihal biakna-a piak dingte semna a kiseek suang sabuai li zong a om hi. Khat ciangin tong khat le a lang sau a, tong khat le a lang mah zai-in tong khat a sang hi. Tuate tungah meihal biakna le adang biakna dingte a kigawh ciangin van zat dingte kikoih hi. 
EZK.40.43	 A gei kimkot tungah zapek tan asau ka li nei sikkawite kibulh hi. Tua sabuaite biakna-a kipia sate koh nading ahi hi.
EZK.40.44	 Tual sungnung kongpi pua-ah inndei nih om a, khat leilu-lam kongpi lam pangah omin b
