GEN.1.1	In the beginning when God created
ISA.37.23	‘Whom have you mocked and reviled?
ISA.37.23	Against whom have you raised your voice
ISA.37.23	and haughtily lifted your eyes?
ISA.37.23	Against the Holy One of Israel!
ISA.37.24	By your servants you have mocked the Lord,
ISA.37.24	and you have said, “With my many chariots
ISA.37.24	I have gone up the heights of the mountains,
ISA.37.24	to the far recesses of Lebanon;
ISA.37.24	I felled its tallest cedars,
ISA.37.24	its choicest cypresses;
ISA.37.24	I came to its remotest height,
ISA.37.24	its densest forest.
ISA.37.25	I dug wells
ISA.37.25	and drank waters,
ISA.37.25	I dried up with the sole of my foot
ISA.37.25	all the streams of Egypt.”
ISA.37.26	‘Have you not heard
ISA.37.26	that I determined it long ago?
ISA.37.26	I planned from days of old
ISA.37.26	what now I bring to pass,
ISA.37.26	that you should make fortified cities
ISA.37.26	crash into heaps of ruins,
ISA.37.27	while their inhabitants, shorn of strength,
ISA.37.27	are dismayed and confounded;
ISA.37.27	they have become like plants of the field
ISA.37.27	and like tender grass,
ISA.37.27	like grass on the housetops,
ISA.37.27	blighted
ISA.37.28	‘I know your rising up
ISA.37.28	your going out and coming in,
ISA.37.28	and your raging against me.
ISA.37.29	Because you have raged against me
ISA.37.29	and your arrogance has come to my ears,
ISA.37.29	I will put my hook in your nose
ISA.37.29	and my bit in your mouth;
ISA.37.29	I will turn you back on the way
ISA.37.29	by which you came.
ISA.37.30	“ ‘And this shall be the sign for you: This year eat what grows of itself, and in the second year what springs from that; then in the third year sow, reap, plant vineyards, and eat their fruit. 
ISA.37.31	The surviving remnant of the house of Judah shall again take root downward, and bear fruit upward; 
ISA.37.32	for from Jerusalem a remnant shall go out, and from Mount Zion a band of survivors. The zeal of the 
ISA.37.33	“ ‘Therefore thus says the 
ISA.37.34	By the way that he came, by the same he shall return; he shall not come into this city, says the 
ISA.37.35	For I will defend this city to save it, for my own sake and for the sake of my servant David.’ ”
ISA.37.36	Then the angel of the 
ISA.37.37	Then King Sennacherib of Assyria left, went home, and lived at Nineveh. 
ISA.37.38	As he was worshiping in the house of his god Nisroch, his sons Adrammelech and Sharezer killed him with the sword, and they escaped into the land of Ararat. His son Esar-haddon succeeded him.
ISA.38.1	In those days Hezekiah became sick and was at the point of death. The prophet Isaiah son of Amoz came to him, and said to him, “Thus says the 
ISA.38.2	Then Hezekiah turned his face to the wall, and prayed to the 
ISA.38.3	“Remember now, O 
ISA.38.4	Then the word of the 
ISA.38.5	“Go and say to Hezekiah, Thus says the 
ISA.38.6	I will deliver you and this city out of the hand of the king of Assyria, and defend this city.
ISA.38.7	“This is the sign to you from the 
ISA.38.8	See, I will make the shadow cast by the declining sun on the dial of Ahaz turn back ten steps.” So the sun turned back on the dial the ten steps by which it had declined.
ISA.38.9	A writing of King Hezekiah of Judah, after he had been sick and had recovered from his sickness:
ISA.38.10	I said: In the noontide of my days
ISA.38.10	I must depart;
ISA.38.10	I am consigned to the gates of Sheol
ISA.38.10	for the rest of my years.
ISA.38.11	I said, I shall not see the 
ISA.38.11	in the land of the living;
ISA.38.11	I shall look upon mortals no more
ISA.38.11	among the inhabitants of the world.
ISA.38.12	My dwelling is plucked up and removed from me
ISA.38.12	like a shepherd's tent;
ISA.38.12	like a weaver I have rolled up my life;
ISA.38.12	he cuts me off from the loom;
ISA.38.12	from day to night you bring me to an end;
ISA.38.13	I cry for help
ISA.38.13	like a lion he breaks all my bones;
ISA.38.13	from day to night you bring me to an end.
ISA.38.14	Like a swallow or a crane
ISA.38.14	I moan like a dove.
ISA.38.14	My eyes are weary with looking upward.
ISA.38.14	O Lord, I am oppressed; be my security!
ISA.38.15	But what can I say? For he has spoken to me,
ISA.38.15	and he himself has done it.
ISA.38.15	All my sleep has fled
ISA.38.15	because of the bitterness of my soul.
ISA.38.16	O Lord, by these things people live,
ISA.38.16	and in all these is the life of my spirit.
ISA.38.16	Oh, restore me to health and make me live!
ISA.38.17	Surely it was for my welfare
ISA.38.17	that I had great bitterness;
ISA.38.17	but you have held back
ISA.38.17	from the pit of destruction,
ISA.38.17	for you have cast all my sins
ISA.38.17	behind your back.
ISA.38.18	For Sheol cannot thank you,
ISA.38.18	death cannot praise you;
ISA.38.18	those who go down to the Pit cannot hope
ISA.38.18	for your faithfulness.
ISA.38.19	The living, the living, they thank you,
ISA.38.19	as I do this day;
ISA.38.19	fathers make known to children
ISA.38.19	your faithfulness.
ISA.38.20	The 
ISA.38.20	and we will sing to stringed instruments
ISA.38.20	all the days of our lives,
ISA.38.20	at the house of the 
ISA.38.21	Now Isaiah had said, “Let them take a lump of figs, and apply it to the boil, so that he may recover.” 
ISA.38.22	Hezekiah also had said, “What is the sign that I shall go up to the house of the 
ISA.39.1	At that time King Merodach-baladan son of Baladan of Babylon sent envoys with letters and a present to Hezekiah, for he heard that he had been sick and had recovered. 
ISA.39.2	Hezekiah welcomed them; he showed them his treasure house, the silver, the gold, the spices, the precious oil, his whole armory, all that was found in his storehouses. There was nothing in his house or in all his realm that Hezekiah did not show them. 
ISA.39.3	Then the prophet Isaiah came to King Hezekiah and said to him, “What did these men say? From where did they come to you?” Hezekiah answered, “They have come to me from a far country, from Babylon.” 
ISA.39.4	He said, “What have they seen in your house?” Hezekiah answered, “They have seen all that is in my house; there is nothing in my storehouses that I did not show them.”
ISA.39.5	Then Isaiah said to Hezekiah, “Hear the word of the 
ISA.39.6	Days are coming when all that is in your house, and that which your ancestors have stored up until this day, shall be carried to Babylon; nothing shall be left, says the 
ISA.39.7	Some of your own sons who are born to you shall be taken away; they shall be eunuchs in the palace of the king of Babylon.” 
ISA.39.8	Then Hezekiah said to Isaiah, “The word of the 
ISA.40.1	Comfort, O comfort my people,
ISA.40.1	says your God.
ISA.40.2	Speak tenderly to Jerusalem,
ISA.40.2	and cry to her
ISA.40.2	that she has served her term,
ISA.40.2	that her penalty is paid,
ISA.40.2	that she has received from the 
ISA.40.2	double for all her sins.
ISA.40.3	A voice cries out:
ISA.40.3	“In the wilderness prepare the way of the 
ISA.40.3	make straight in the desert a highway for our God.
ISA.40.4	Every valley shall be lifted up,
ISA.40.4	and every mountain and hill be made low;
ISA.40.4	the uneven ground shall become level,
ISA.40.4	and the rough places a plain.
ISA.40.5	Then the glory of the 
ISA.40.5	and all people shall see it together,
ISA.40.5	for the mouth of the 
ISA.40.6	A voice says, “Cry out!”
ISA.40.6	And I said, “What shall I cry?”
ISA.40.6	All people are grass,
ISA.40.6	their constancy is like the flower of the field.
ISA.40.7	The grass withers, the flower fades,
ISA.40.7	when the breath of the 
ISA.40.7	surely the people are grass.
ISA.40.8	The grass withers, the flower fades;
ISA.40.8	but the word of our God will stand forever.
ISA.40.9	Get you up to a high mountain,
ISA.40.9	O Zion, herald of good tidings;
ISA.40.9	lift up your voice with strength,
ISA.40.9	O Jerusalem, herald of good tidings,
ISA.40.9	lift it up, do not fear;
ISA.40.9	say to the cities of Judah,
ISA.40.9	“Here is your God!”
ISA.40.10	See, the Lord 
ISA.40.10	and his arm rules for him;
ISA.40.10	his reward is with him,
ISA.40.10	and his recompense before him.
ISA.40.11	He will feed his flock like a shepherd;
ISA.40.11	he will gather the lambs in his arms,
ISA.40.11	and carry them in his bosom,
ISA.40.11	and gently lead the mother sheep.
ISA.40.12	Who has measured the waters in the hollow of his hand
ISA.40.12	and marked off the heavens with a span,
ISA.40.12	enclosed the dust of the earth in a measure,
ISA.40.12	and weighed the mountains in scales
ISA.40.12	and the hills in a balance?
ISA.40.13	Who has directed the spirit of the 
ISA.40.13	or as his counselor has instructed him?
ISA.40.14	Whom did he consult for his enlightenment,
ISA.40.14	and who taught him the path of justice?
ISA.40.14	Who taught him knowledge,
ISA.40.14	and showed him the way of understanding?
ISA.40.15	Even the nations are like a drop from a bucket,
ISA.40.15	and are accounted as dust on the scales;
ISA.40.15	see, he takes up the isles like fine dust.
ISA.40.16	Lebanon would not provide fuel enough,
ISA.40.16	nor are its animals enough for a burnt offering.
ISA.40.17	All the nations are as nothing before him;
ISA.40.17	they are accounted by him as less than nothing and emptiness.
ISA.40.18	To whom then will you liken God,
ISA.40.18	or what likeness compare with him?
ISA.40.19	An idol? —A workman casts it,
ISA.40.19	and a goldsmith overlays it with gold,
ISA.40.19	and casts for it silver chains.
ISA.40.20	As a gift one chooses mulberry wood
ISA.40.20	—wood that will not rot—
ISA.40.20	then seeks out a skilled artisan
ISA.40.20	to set up an image that will not topple.
ISA.40.21	Have you not known? Have you not heard?
ISA.40.21	Has it not been told you from the beginning?
ISA.40.21	Have you not understood from the foundations of the earth?
ISA.40.22	It is he who sits above the circle of the earth,
ISA.40.22	and its inhabitants are like grasshoppers;
ISA.40.22	who stretches out the heavens like a curtain,
ISA.40.22	and spreads them like a tent to live in;
ISA.40.23	who brings princes to naught,
ISA.40.23	and makes the rulers of the earth as nothing.
ISA.40.24	Scarcely are they planted, scarcely sown,
ISA.40.24	scarcely has their stem taken root in the earth,
ISA.40.24	when he blows upon them, and they wither,
ISA.40.24	and the tempest carries them off like stubble.
ISA.40.25	To whom then will you compare me,
ISA.40.25	or who is my equal? says the Holy One.
ISA.40.26	Lift up your eyes on high and see:
ISA.40.26	Who created these?
ISA.40.26	He who brings out their host and numbers them,
ISA.40.26	calling them all by name;
ISA.40.26	because he is great in strength,
ISA.40.26	mighty in power,
ISA.40.26	not one is missing.
ISA.40.27	Why do you say, O Jacob,
ISA.40.27	and speak, O Israel,
ISA.40.27	“My way is hidden from the 
ISA.40.27	and my right is disregarded by my God”?
ISA.40.28	Have you not known? Have you not heard?
ISA.40.28	The 
ISA.40.28	the Creator of the ends of the earth.
ISA.40.28	He does not faint or grow weary;
ISA.40.28	his understanding is unsearchable.
ISA.40.29	He gives power to the faint,
ISA.40.29	and strengthens the powerless.
ISA.40.30	Even youths will faint and be weary,
ISA.40.30	and the young will fall exhausted;
ISA.40.31	but those who wait for the 
ISA.40.31	they shall mount up with wings like eagles,
ISA.40.31	they shall run and not be weary,
ISA.40.31	they shall walk and not faint.
ISA.41.1	Listen to me in silence, O coastlands;
ISA.41.1	let the peoples renew their strength;
ISA.41.1	let them approach, then let them speak;
ISA.41.1	let us together draw near for judgment.
ISA.41.2	Who has roused a victor from the east,
ISA.41.2	summoned him to his service?
ISA.41.2	He delivers up nations to him,
ISA.41.2	and tramples kings under foot;
ISA.41.2	he makes them like dust with his sword,
ISA.41.2	like driven stubble with his bow.
ISA.41.3	He pursues them and passes on safely,
ISA.41.3	scarcely touching the path with his feet.
ISA.41.4	Who has performed and done this,
ISA.41.4	calling the generations from the beginning?
ISA.41.4	I, the 
ISA.41.4	and will be with the last.
ISA.41.5	The coastlands have seen and are afraid,
ISA.41.5	the ends of the earth tremble;
ISA.41.5	they have drawn near and come.
ISA.41.6	Each one helps the other,
ISA.41.6	saying to one another, “Take courage!”
ISA.41.7	The artisan encourages the goldsmith,
ISA.41.7	and the one who smooths with the hammer encourages the one who strikes the anvil,
ISA.41.7	saying of the soldering, “It is good”;
ISA.41.7	and they fasten it with nails so that it cannot be moved.
ISA.41.8	But you, Israel, my servant,
ISA.41.8	Jacob, whom I have chosen,
ISA.41.8	the offspring of Abraham, my friend;
ISA.41.9	you whom I took from the ends of the earth,
ISA.41.9	and called from its farthest corners,
ISA.41.9	saying to you, “You are my servant,
ISA.41.9	I have chosen you and not cast you off!”;
ISA.41.10	do not fear, for I am with you,
ISA.41.10	do not be afraid, for I am your God;
ISA.41.10	I will strengthen you, I will help you,
ISA.41.10	I will uphold you with my victorious right hand.
ISA.41.11	Yes, all who are incensed against you
ISA.41.11	shall be ashamed and disgraced;
ISA.41.11	those who strive against you
ISA.41.11	shall be as nothing and shall perish.
ISA.41.12	You shall seek those who contend with you,
ISA.41.12	but you shall not find them;
ISA.41.12	those who war against you
ISA.41.12	shall be as nothing at all.
ISA.41.13	For I, the 
ISA.41.13	hold your right hand;
ISA.41.13	it is I who say to you, “Do not fear,
ISA.41.13	I will help you.”
ISA.41.14	Do not fear, you worm Jacob,
ISA.41.14	you insect
ISA.41.14	I will help you, says the 
ISA.41.14	your Redeemer is the Holy One of Israel.
ISA.41.15	Now, I will make of you a threshing sledge,
ISA.41.15	sharp, new, and having teeth;
ISA.41.15	you shall thresh the mountains and crush them,
ISA.41.15	and you shall make the hills like chaff.
ISA.41.16	You shall winnow them and the wind shall carry them away,
ISA.41.16	and the tempest shall scatter them.
ISA.41.16	Then you shall rejoice in the 
ISA.41.16	in the Holy One of Israel you shall glory.
ISA.41.17	When the poor and needy seek water,
ISA.41.17	and there is none,
ISA.41.17	and their tongue is parched with thirst,
ISA.41.17	I the 
ISA.41.17	I the God of Israel will not forsake them.
ISA.41.18	I will open rivers on the bare heights,
ISA.41.18	and fountains in the midst of the valleys;
ISA.41.18	I will make the wilderness a pool of water,
ISA.41.18	and the dry land springs of water.
ISA.41.19	I will put in the wilderness the cedar,
ISA.41.19	the acacia, the myrtle, and the olive;
ISA.41.19	I will set in the desert the cypress,
ISA.41.19	the plane and the pine together,
ISA.41.20	so that all may see and know,
ISA.41.20	all may consider and understand,
ISA.41.20	that the hand of the 
ISA.41.20	the Holy One of Israel has created it.
ISA.41.21	Set forth your case, says the 
ISA.41.21	bring your proofs, says the King of Jacob.
ISA.41.22	Let them bring them, and tell us
ISA.41.22	what is to happen.
ISA.41.22	Tell us the former things, what they are,
ISA.41.22	so that we may consider them,
ISA.41.22	and that we may know their outcome;
ISA.41.22	or declare to us the things to come.
ISA.41.23	Tell us what is to come hereafter,
ISA.41.23	that we may know that you are gods;
ISA.41.23	do good, or do harm,
ISA.41.23	that we may be afraid and terrified.
ISA.41.24	You, indeed, are nothing
ISA.41.24	and your work is nothing at all;
ISA.41.24	whoever chooses you is an abomination.
ISA.41.25	I stirred up one from the north, and he has come,
ISA.41.25	from the rising of the sun he was summoned by name.
ISA.41.25	He shall trample
ISA.41.25	as the potter treads clay.
ISA.41.26	Who declared it from the beginning, so that we might know,
ISA.41.26	and beforehand, so that we might say, “He is right”?
ISA.41.26	There was no one who declared it, none who proclaimed,
ISA.41.26	none who heard your words.
ISA.41.27	I first have declared it to Zion,
ISA.41.27	and I give to Jerusalem a herald of good tidings.
ISA.41.28	But when I look there is no one;
ISA.41.28	among these there is no counselor
ISA.41.28	who, when I ask, gives an answer.
ISA.41.29	No, they are all a delusion;
ISA.41.29	their works are nothing;
ISA.41.29	their images are empty wind.
ISA.42.1	Here is my servant, whom I uphold,
ISA.42.1	my chosen, in whom my soul delights;
ISA.42.1	I have put my spirit upon him;
ISA.42.1	he will bring forth justice to the nations.
ISA.42.2	He will not cry or lift up his voice,
ISA.42.2	or make it heard in the street;
ISA.42.3	a bruised reed he will not break,
ISA.42.3	and a dimly burning wick he will not quench;
ISA.42.3	he will faithfully bring forth justice.
ISA.42.4	He will not grow faint or be crushed
ISA.42.4	until he has established justice in the earth;
ISA.42.4	and the coastlands wait for his teaching.
ISA.42.5	Thus says God, the 
ISA.42.5	who created the heavens and stretched them out,
ISA.42.5	who spread out the earth and what comes from it,
ISA.42.5	who gives breath to the people upon it
ISA.42.5	and spirit to those who walk in it:
ISA.42.6	I am the 
ISA.42.6	I have taken you by the hand and kept you;
ISA.42.6	I have given you as a covenant to the people,
ISA.42.6	a light to the nations,
ISA.42.7	to open the eyes that are blind,
ISA.42.7	to bring out the prisoners from the dungeon,
ISA.42.7	from the prison those who sit in darkness.
ISA.42.8	I am the 
ISA.42.8	my glory I give to no other,
ISA.42.8	nor my praise to idols.
ISA.42.9	See, the former things have come to pass,
ISA.42.9	and new things I now declare;
ISA.42.9	before they spring forth,
ISA.42.9	I tell you of them.
ISA.42.10	Sing to the 
ISA.42.10	his praise from the end of the earth!
ISA.42.10	Let the sea roar
ISA.42.10	the coastlands and their inhabitants.
ISA.42.11	Let the desert and its towns lift up their voice,
ISA.42.11	the villages that Kedar inhabits;
ISA.42.11	let the inhabitants of Sela sing for joy,
ISA.42.11	let them shout from the tops of the mountains.
ISA.42.12	Let them give glory to the 
ISA.42.12	and declare his praise in the coastlands.
ISA.42.13	The 
ISA.42.13	like a warrior he stirs up his fury;
ISA.42.13	he cries out, he shouts aloud,
ISA.42.13	he shows himself mighty against his foes.
ISA.42.14	For a long time I have held my peace,
ISA.42.14	I have kept still and restrained myself;
ISA.42.14	now I will cry out like a woman in labor,
ISA.42.14	I will gasp and pant.
ISA.42.15	I will lay waste mountains and hills,
ISA.42.15	and dry up all their herbage;
ISA.42.15	I will turn the rivers into islands,
ISA.42.15	and dry up the pools.
ISA.42.16	I will lead the blind
ISA.42.16	by a road they do not know,
ISA.42.16	by paths they have not known
ISA.42.16	I will guide them.
ISA.42.16	I will turn the darkness before them into light,
ISA.42.16	the rough places into level ground.
ISA.42.16	These are the things I will do,
ISA.42.16	and I will not forsake them.
ISA.42.17	They shall be turned back and utterly put to shame—
ISA.42.17	those who trust in carved images,
ISA.42.17	who say to cast images,
ISA.42.17	“You are our gods.”
ISA.42.18	Listen, you that are deaf;
ISA.42.18	and you that are blind, look up and see!
ISA.42.19	Who is blind but my servant,
ISA.42.19	or deaf like my messenger whom I send?
ISA.42.19	Who is blind like my dedicated one,
ISA.42.19	or blind like the servant of the 
ISA.42.20	He sees many things, but does
ISA.42.20	his ears are open, but he does not hear.
ISA.42.21	The 
ISA.42.21	to magnify his teaching and make it glorious.
ISA.42.22	But this is a people robbed and plundered,
ISA.42.22	all of them are trapped in holes
ISA.42.22	and hidden in prisons;
ISA.42.22	they have become a prey with no one to rescue,
ISA.42.22	a spoil with no one to say, “Restore!”
ISA.42.23	Who among you will give heed to this,
ISA.42.23	who will attend and listen for the time to come?
ISA.42.24	Who gave up Jacob to the spoiler,
ISA.42.24	and Israel to the robbers?
ISA.42.24	Was it not the 
ISA.42.24	in whose ways they would not walk,
ISA.42.24	and whose law they would not obey?
ISA.42.25	So he poured upon him the heat of his anger
ISA.42.25	and the fury of war;
ISA.42.25	it set him on fire all around, but he did not understand;
ISA.42.25	it burned him, but he did not take it to heart.
ISA.43.1	But now thus says the 
ISA.43.1	he who created you, O Jacob,
ISA.43.1	he who formed you, O Israel:
ISA.43.1	Do not fear, for I have redeemed you;
ISA.43.1	I have called you by name, you are mine.
ISA.43.2	When you pass through the waters, I will be with you;
ISA.43.2	and through the rivers, they shall not overwhelm you;
ISA.43.2	when you walk through fire you shall not be burned,
ISA.43.2	and the flame shall not consume you.
ISA.43.3	For I am the 
ISA.43.3	the Holy One of Israel, your Savior.
ISA.43.3	I give Egypt as your ransom,
ISA.43.3	Ethiopia
ISA.43.4	Because you are precious in my sight,
ISA.43.4	and honored, and I love you,
ISA.43.4	I give people in return for you,
ISA.43.4	nations in exchange for your life.
ISA.43.5	Do not fear, for I am with you;
ISA.43.5	I will bring your offspring from the east,
ISA.43.5	and from the west I will gather you;
ISA.43.6	I will say to the north, “Give them up,”
ISA.43.6	and to the south, “Do not withhold;
ISA.43.6	bring my sons from far away
ISA.43.6	and my daughters from the end of the earth—
ISA.43.7	everyone who is called by my name,
ISA.43.7	whom I created for my glory,
ISA.43.7	whom I formed and made.”
ISA.43.8	Bring forth the people who are blind, yet have eyes,
ISA.43.8	who are deaf, yet have ears!
ISA.43.9	Let all the nations gather together,
ISA.43.9	and let the peoples assemble.
ISA.43.9	Who among them declared this,
ISA.43.9	and foretold to us the former things?
ISA.43.9	Let them bring their witnesses to justify them,
ISA.43.9	and let them hear and say, “It is true.”
ISA.43.10	You are my witnesses, says the 
ISA.43.10	and my servant whom I have chosen,
ISA.43.10	so that you may know and believe me
ISA.43.10	and understand that I am he.
ISA.43.10	Before me no god was formed,
ISA.43.10	nor shall there be any after me.
ISA.43.11	I, I am the 
ISA.43.11	and besides me there is no savior.
ISA.43.12	I declared and saved and proclaimed,
ISA.43.12	when there was no strange god among you;
ISA.43.12	and you are my witnesses, says the 
ISA.43.13	I am God, and also henceforth I am He;
ISA.43.13	there is no one who can deliver from my hand;
ISA.43.13	I work and who can hinder it?
ISA.43.14	Thus says the 
ISA.43.14	your Redeemer, the Holy One of Israel:
ISA.43.14	For your sake I will send to Babylon
ISA.43.14	and break down all the bars,
ISA.43.14	and the shouting of the Chaldeans will be turned to lamentation.
ISA.43.15	I am the 
ISA.43.15	the Creator of Israel, your King.
ISA.43.16	Thus says the 
ISA.43.16	who makes a way in the sea,
ISA.43.16	a path in the mighty waters,
ISA.43.17	who brings out chariot and horse,
ISA.43.17	army and warrior;
ISA.43.17	they lie down, they cannot rise,
ISA.43.17	they are extinguished, quenched like a wick:
ISA.43.18	Do not remember the former things,
ISA.43.18	or consider the things of old.
ISA.43.19	I am about to do a new thing;
ISA.43.19	now it springs forth, do you not perceive it?
ISA.43.19	I will make a way in the wilderness
ISA.43.19	and rivers in the desert.
ISA.43.20	The wild animals will honor me,
ISA.43.20	the jackals and the ostriches;
ISA.43.20	for I give water in the wilderness,
ISA.43.20	rivers in the desert,
ISA.43.20	to give drink to my chosen people,
ISA.43.21	the people whom I formed for myself
ISA.43.21	so that they might declare my praise.
ISA.43.22	Yet you did not call upon me, O Jacob;
ISA.43.22	but you have been weary of me, O Israel!
ISA.43.23	You have not brought me your sheep for burnt offerings,
ISA.43.23	or honored me with your sacrifices.
ISA.43.23	I have not burdened you with offerings,
ISA.43.23	or wearied you with frankincense.
ISA.43.24	You have not bought me sweet cane with money,
ISA.43.24	or satisfied me with the fat of your sacrifices.
ISA.43.24	But you have burdened me with your sins;
ISA.43.24	you have wearied me with your iniquities.
ISA.43.25	I, I am He
ISA.43.25	who blots out your transgressions for my own sake,
ISA.43.25	and I will not remember your sins.
ISA.43.26	Accuse me, let us go to trial;
ISA.43.26	set forth your case, so that you may be proved right.
ISA.43.27	Your first ancestor sinned,
ISA.43.27	and your interpreters transgressed against me.
ISA.43.28	Therefore I profaned the princes of the sanctuary,
ISA.43.28	I delivered Jacob to utter destruction,
ISA.43.28	and Israel to reviling.
ISA.44.1	But now hear, O Jacob my servant,
ISA.44.1	Israel whom I have chosen!
ISA.44.2	Thus says the 
ISA.44.2	who formed you in the womb and will help you:
ISA.44.2	Do not fear, O Jacob my servant,
ISA.44.2	Jeshurun whom I have chosen.
ISA.44.3	For I will pour water on the thirsty land,
ISA.44.3	and streams on the dry ground;
ISA.44.3	I will pour my spirit upon your descendants,
ISA.44.3	and my blessing on your offspring.
ISA.44.4	They shall spring up like a green tamarisk,
ISA.44.4	like willows by flowing streams.
ISA.44.5	This one will say, “I am the 
ISA.44.5	another will be called by the name of Jacob,
ISA.44.5	yet another will write on the hand, “The 
ISA.44.5	and adopt the name of Israel.
ISA.44.6	Thus says the 
ISA.44.6	and his Redeemer, the 
ISA.44.6	I am the first and I am the last;
ISA.44.6	besides me there is no god.
ISA.44.7	Who is like me? Let them proclaim it,
ISA.44.7	let them declare and set it forth before me.
ISA.44.7	Who has announced from of old the things to come?
ISA.44.7	Let them tell us
ISA.44.8	Do not fear, or be afraid;
ISA.44.8	have I not told you from of old and declared it?
ISA.44.8	You are my witnesses!
ISA.44.8	Is there any god besides me?
ISA.44.8	There is no other rock; I know not one.
ISA.44.9	All who make idols are nothing, and the things they delight in do not profit; their witnesses neither see nor know. And so they will be put to shame. 
ISA.44.10	Who would fashion a god or cast an image that can do no good? 
ISA.44.11	Look, all its devotees shall be put to shame; the artisans too are merely human. Let them all assemble, let them stand up; they shall be terrified, they shall all be put to shame.
ISA.44.12	The ironsmith fashions it
ISA.44.13	The carpenter stretches a line, marks it out with a stylus, fashions it with planes, and marks it with a compass; he makes it in human form, with human beauty, to be set up in a shrine. 
ISA.44.14	He cuts down cedars or chooses a holm tree or an oak and lets it grow strong among the trees of the forest. He plants a cedar and the rain nourishes it. 
ISA.44.15	Then it can be used as fuel. Part of it he takes and warms himself; he kindles a fire and bakes bread. Then he makes a god and worships it, makes it a carved image and bows down before it. 
ISA.44.16	Half of it he burns in the fire; over this half he roasts meat, eats it and is satisfied. He also warms himself and says, “Ah, I am warm, I can feel the fire!” 
ISA.44.17	The rest of it he makes into a god, his idol, bows down to it and worships it; he prays to it and says, “Save me, for you are my god!”
ISA.44.18	They do not know, nor do they comprehend; for their eyes are shut, so that they cannot see, and their minds as well, so that they cannot understand. 
ISA.44.19	No one considers, nor is there knowledge or discernment to say, “Half of it I burned in the fire; I also baked bread on its coals, I roasted meat and have eaten. Now shall I make the rest of it an abomination? Shall I fall down before a block of wood?” 
ISA.44.20	He feeds on ashes; a deluded mind has led him astray, and he cannot save himself or say, “Is not this thing in my right hand a fraud?”
ISA.44.21	Remember these things, O Jacob,
ISA.44.21	and Israel, for you are my servant;
ISA.44.21	I formed you, you are my servant;
ISA.44.21	O Israel, you will not be forgotten by me.
ISA.44.22	I have swept away your transgressions like a cloud,
ISA.44.22	and your sins like mist;
ISA.44.22	return to me, for I have redeemed you.
ISA.44.23	Sing, O heavens, for the 
ISA.44.23	shout, O depths of the earth;
ISA.44.23	break forth into singing, O mountains,
ISA.44.23	O forest, and every tree in it!
ISA.44.23	For the 
ISA.44.23	and will be glorified in Israel.
ISA.44.24	Thus says the 
ISA.44.24	who formed you in the womb:
ISA.44.24	I am the 
ISA.44.24	who alone stretched out the heavens,
ISA.44.24	who by myself spread out the earth;
ISA.44.25	who frustrates the omens of liars,
ISA.44.25	and makes fools of diviners;
ISA.44.25	who turns back the wise,
ISA.44.25	and makes their knowledge foolish;
ISA.44.26	who confirms the word of his servant,
ISA.44.26	and fulfills the prediction of his messengers;
ISA.44.26	who says of Jerusalem, “It shall be inhabited,”
ISA.44.26	and of the cities of Judah, “They shall be rebuilt,
ISA.44.26	and I will raise up their ruins”;
ISA.44.27	who says to the deep, “Be dry—
ISA.44.27	I will dry up your rivers”;
ISA.44.28	who says of Cyrus, “He is my shepherd,
ISA.44.28	and he shall carry out all my purpose”;
ISA.44.28	and who says of Jerusalem, “It shall be rebuilt,”
ISA.44.28	and of the temple, “Your foundation shall be laid.”
ISA.45.1	Thus says the 
ISA.45.1	whose right hand I have grasped
ISA.45.1	to subdue nations before him
ISA.45.1	and strip kings of their robes,
ISA.45.1	to open doors before him—
ISA.45.1	and the gates shall not be closed:
ISA.45.2	I will go before you
ISA.45.2	and level the mountains,
ISA.45.2	I will break in pieces the doors of bronze
ISA.45.2	and cut through the bars of iron,
ISA.45.3	I will give you the treasures of darkness
ISA.45.3	and riches hidden in secret places,
ISA.45.3	so that you may know that it is I, the 
ISA.45.3	the God of Israel, who call you by your name.
ISA.45.4	For the sake of my servant Jacob,
ISA.45.4	and Israel my chosen,
ISA.45.4	I call you by your name,
ISA.45.4	I surname you, though you do not know me.
ISA.45.5	I am the 
ISA.45.5	besides me there is no god.
ISA.45.5	I arm you, though you do not know me,
ISA.45.6	so that they may know, from the rising of the sun
ISA.45.6	and from the west, that there is no one besides me;
ISA.45.6	I am the 
ISA.45.7	I form light and create darkness,
ISA.45.7	I make weal and create woe;
ISA.45.7	I the 
ISA.45.8	Shower, O heavens, from above,
ISA.45.8	and let the skies rain down righteousness;
ISA.45.8	let the earth open, that salvation may spring up,
ISA.45.8	and let it cause righteousness to sprout up also;
ISA.45.8	I the 
ISA.45.9	Woe to you who strive with your Maker,
ISA.45.9	earthen vessels with the potter!
ISA.45.9	Does the clay say to the one who fashions it, “What are you making”?
ISA.45.9	or “Your work has no handles”?
ISA.45.10	Woe to anyone who says to a father, “What are you begetting?”
ISA.45.10	or to a woman, “With what are you in labor?”
ISA.45.11	Thus says the 
ISA.45.11	the Holy One of Israel, and its Maker:
ISA.45.11	Will you question me
ISA.45.11	or command me concerning the work of my hands?
ISA.45.12	I made the earth,
ISA.45.12	and created humankind upon it;
ISA.45.12	it was my hands that stretched out the heavens,
ISA.45.12	and I commanded all their host.
ISA.45.13	I have aroused Cyrus
ISA.45.13	and I will make all his paths straight;
ISA.45.13	he shall build my city
