GEN.1.1	In the beginning God (
HOS.10.1	The more his fruit,
HOS.10.1	The more altars he made [to Baal];
HOS.10.1	The richer his land,
HOS.10.1	The better he made the [idolatrous] pillars.
HOS.10.2	Their heart is divided (faithless);
HOS.10.2	Now they must bear their guilt 
HOS.10.2	The L
HOS.10.2	He will destroy their 
HOS.10.3	Surely now they will say [in despair], “We have no [true] king,
HOS.10.3	For we do not revere the L
HOS.10.3	And as for the king, what can he do for us [to rescue us]?”
HOS.10.4	They have spoken 
HOS.10.4	Swearing falsely to make covenants [they intend to break];
HOS.10.4	Therefore, judgment springs up like poisonous weeds in the furrows of the field.
HOS.10.5	The people of Samaria will fear 
HOS.10.5	For the [idolatrous] calf of 
HOS.10.5	Indeed, its people will mourn over it
HOS.10.5	And its idolatrous priests will cry out 
HOS.10.5	Over its glory, because the glory [of their calf god] has departed from it.
HOS.10.6	The golden calf itself will be carried to Assyria
HOS.10.6	As tribute to King Jareb;
HOS.10.6	Ephraim will be seized with shame
HOS.10.6	And Israel will be ashamed of his own counsel [to worship the calf and separate Israel from Judah].
HOS.10.7	As for Samaria, her king will be cut off 
HOS.10.7	Like a twig on the surface of the water.
HOS.10.8	Also the high places of Aven (Beth-aven), the sin of Israel, will be destroyed;
HOS.10.8	The thorn and the thistle will grow on their [pagan] altars,
HOS.10.8	And [in despair] they will say to the mountains,
HOS.10.8	“Cover us!” And to the hills, “Fall on us!”
HOS.10.9	O Israel, you have [willfully] sinned since the days of Gibeah;
HOS.10.9	There they (Israel) stand!
HOS.10.9	Will not the battle against the sons of wickedness overtake them at Gibeah?
HOS.10.10	When it is my desire [to defend My righteousness], I will chastise them;
HOS.10.10	And [hostile] peoples will be gathered against them
HOS.10.10	When they are bound 
HOS.10.11	Ephraim is a trained heifer that loves to tread out the grain,
HOS.10.11	But I will come over her fair neck 
HOS.10.11	I will harness Ephraim;
HOS.10.11	Judah will plow and Jacob will harrow 
HOS.10.12	Sow with a view to righteousness [that righteousness, like seed, may germinate];
HOS.10.12	Reap in accordance with mercy 
HOS.10.12	Break up your uncultivated ground,
HOS.10.12	For it is time to seek 
HOS.10.12	Until He comes to rain righteousness 
HOS.10.13	You have plowed 
HOS.10.13	You have eaten the fruit of lies.
HOS.10.13	Because you have trusted in your own way 
HOS.10.14	Therefore an uproar will arise among your people,
HOS.10.14	And all your fortresses will be destroyed,
HOS.10.14	As Shalman destroyed Beth-arbel on the day of battle,
HOS.10.14	When mothers were dashed in pieces with their children.
HOS.10.15	In this way it will be done to you at [idolatrous] Bethel because of your great wickedness;
HOS.10.15	At daybreak the king of Israel will be completely cut off.
HOS.11.1	When Israel was a child [a young nation], I loved him,
HOS.11.1	And I called My son out of Egypt.
HOS.11.2	The more they [the prophets] called them [to repentance and obedience],
HOS.11.2	The more they went away from them;
HOS.11.2	They kept sacrificing to the Baals
HOS.11.2	And burning incense to the carved images.
HOS.11.3	Yet it is I who taught Ephraim to walk,
HOS.11.3	Taking them in My arms [nurturing the young nation];
HOS.11.3	But they did not know that I healed them.
HOS.11.4	I led them 
HOS.11.4	And I was to them as one who lifts up 
HOS.11.4	And I bent down to them and fed them.
HOS.11.5	They will not return to the land of Egypt,
HOS.11.5	But Assyria will be their king [bringing them into captivity]
HOS.11.5	Because they refused to return 
HOS.11.6	The sword will whirl against 
HOS.11.6	And will demolish the bars of their gates 
HOS.11.6	And will consume them because of their counsels.
HOS.11.7	My people are bent on turning from Me;
HOS.11.7	Though the prophets call them to 
HOS.11.7	None at all exalts 
HOS.11.8	How can I give you up, O Ephraim?
HOS.11.8	How can I surrender you, O Israel?
HOS.11.8	How can I make you like Admah?
HOS.11.8	How can I treat you like 
HOS.11.8	My heart recoils within Me;
HOS.11.8	All My compassions are kindled together [for My nation of Israel].
HOS.11.9	I will not execute the fierceness of My anger;
HOS.11.9	I will not return to Ephraim to destroy him again.
HOS.11.9	For I am God and not man, the Holy One in your midst [who will not revoke My covenant],
HOS.11.9	And I will not come in wrath 
HOS.11.10	They will walk after the L
HOS.11.10	Who will roar like a lion;
HOS.11.10	He will roar [summoning them]
HOS.11.10	And 
HOS.11.11	They will come trembling 
HOS.11.11	And like doves from the land of Assyria;
HOS.11.11	And I will settle them in their houses [in the land of their inheritance], declares the L
HOS.11.12	Ephraim surrounds Me with lies
HOS.11.12	And the house of Israel with deceit;
HOS.11.12	Judah is also unruly against God,
HOS.11.12	Even against the faithful Holy One.
HOS.12.1	Ephraim feeds on the [emptiness of the] wind
HOS.12.1	And [continually] pursues the [parching] east wind [which brings destruction];
HOS.12.1	Every day he multiplies lies and violence.
HOS.12.1	Further, he makes a covenant with Assyria
HOS.12.1	And (olive) oil is carried to Egypt [to seek alliances].
HOS.12.2	The L
HOS.12.2	And He will punish Jacob in accordance with his ways;
HOS.12.2	He will repay him in accordance with his deeds.
HOS.12.3	In 
HOS.12.3	And in his maturity he contended with God.
HOS.12.4	He wrestled with the angel and prevailed;
HOS.12.4	He wept [in repentance] and sought His favor.
HOS.12.4	He met Him at Bethel
HOS.12.4	And there God spoke with [him and through him with] us—
HOS.12.5	Even the L
HOS.12.5	The name of Him [who spoke with Jacob] is the L
HOS.12.6	Therefore, return [in repentance] to your God,
HOS.12.6	Observe 
HOS.12.6	And wait [expectantly] for your God continually.
HOS.12.7	A merchant, in whose hand are false 
HOS.12.7	He loves to oppress 
HOS.12.8	Ephraim said, “I have indeed become rich [and powerful as a nation];
HOS.12.8	I have found wealth for myself.
HOS.12.8	In all my labors they will not find in me
HOS.12.8	Any wickedness that 
HOS.12.9	But I 
HOS.12.9	I will make you live in tents again,
HOS.12.9	As in the days of the appointed 
HOS.12.10	I have also spoken to [you through] the prophets,
HOS.12.10	And I gave [them] many visions [to make My will known],
HOS.12.10	And through the prophets I gave parables [to appeal to your sense of right and wrong].
HOS.12.11	Is there wickedness (idolatry) in Gilead?
HOS.12.11	Surely the people there are worthless.
HOS.12.11	In Gilgal [they defy Me when] they sacrifice bulls,
HOS.12.11	Yes, [after My judgment] their [pagan] altars are like the stone heaps
HOS.12.11	In the furrows of the fields.
HOS.12.12	Now Jacob (Israel) fled into the open country of Aram (Paddan-aram),
HOS.12.12	And [there] Israel (Jacob) worked 
HOS.12.12	And for a wife he kept 
HOS.12.13	And by a prophet (Moses) the L
HOS.12.13	And by a prophet Israel was preserved.
HOS.12.14	Ephraim has provoked most bitter anger;
HOS.12.14	So his Lord will leave his bloodguilt on him [invoking punishment]
HOS.12.14	And bring back to him his shame 
HOS.13.1	When Ephraim spoke, 
HOS.13.1	He exalted himself [above the other tribes] in Israel;
HOS.13.1	But through [the worship of] Baal he became guilty and died [spiritually, and then came ruin, sealing Israel’s doom as a nation].
HOS.13.2	And now they sin more and more,
HOS.13.2	And make for themselves molten images,
HOS.13.2	Idols skillfully made from their silver [as it pleased them],
HOS.13.2	All of them the work of the craftsmen.
HOS.13.2	They say of these [very works of their hands], “Let those who sacrifice kiss 
HOS.13.3	Therefore they will be [swiftly dissipated] like the morning cloud
HOS.13.3	Or like dew which soon disappears,
HOS.13.3	Like chaff which swirls with the whirlwind from the threshing floor,
HOS.13.3	And like smoke from the chimney 
HOS.13.4	Yet I 
HOS.13.4	Since [the time you became a nation in] the land of Egypt;
HOS.13.4	And you were not to know any god except Me,
HOS.13.4	For there is no savior besides Me.
HOS.13.5	I knew 
HOS.13.5	In the land of drought.
HOS.13.6	When 
HOS.13.6	And being satisfied, their heart became proud (self-centered);
HOS.13.6	Therefore they forgot Me.
HOS.13.7	So I will be like a lion to them;
HOS.13.7	Like a leopard I will watch 
HOS.13.8	I will encounter them like a bear robbed of her cubs,
HOS.13.8	And I will tear open their chests;
HOS.13.8	There I will also devour them like a lioness,
HOS.13.8	As a wild beast would tear them.
HOS.13.9	It is your destruction, O Israel,
HOS.13.9	Because 
HOS.13.10	Where now is your king
HOS.13.10	That he may save you [when you are attacked] in all your cities?
HOS.13.10	And your judges of whom you asked,
HOS.13.10	“Give me a king and princes”?
HOS.13.11	I gave you a king in My anger,
HOS.13.11	And I took him away in My wrath [as punishment].
HOS.13.12	The wickedness of Ephraim [which is not yet completely punished] is bound up [as in a bag];
HOS.13.12	His sin is stored up [for judgment and destruction].
HOS.13.13	The pains of childbirth come on him;
HOS.13.13	But he is not a wise son,
HOS.13.13	For it is not the time to delay [his chance at a new birth] as the womb opens [but he ignores the opportunity to change].
HOS.13.14	Shall I ransom them from the power of Sheol (the place of the dead)?
HOS.13.14	Shall I redeem them from death?
HOS.13.14	O Sheol, where is your sting?
HOS.13.14	Compassion is hidden from My eyes [because of their failure to repent].
HOS.13.15	For though he flourishes among the reeds (his fellow tribes),
HOS.13.15	An east wind (Assyria) will come,
HOS.13.15	The breath of the L
HOS.13.15	And Ephraim’s spring will become dry
HOS.13.15	And his fountain will be dried up.
HOS.13.15	Assyria will plunder his treasury of every precious object.
HOS.13.16	Samaria will be found guilty [and become desolate],
HOS.13.16	Because she rebelled against her God;
HOS.13.16	They will fall by the sword,
HOS.13.16	Their infants will be dashed in pieces,
HOS.13.16	And their pregnant women will be ripped open.
HOS.14.1	O Israel, return [in repentance] to the L
HOS.14.1	For you have stumbled 
HOS.14.2	Take the words [confessing your guilt] with you and return to the L
HOS.14.2	Say to Him, “Take away all our wickedness;
HOS.14.2	Accept what is good 
HOS.14.2	So that we may present the fruit of our lips (gratitude).
HOS.14.3	Assyria will not save us;
HOS.14.3	We will not ride on horses [relying on military might],
HOS.14.3	Nor will we say again to [the idols who are] the work of our hands,
HOS.14.3	‘You are our gods.’
HOS.14.3	For in You [O L
HOS.14.4	I will heal their apostasy 
HOS.14.4	I will love them freely,
HOS.14.4	For My anger has turned away from Israel.
HOS.14.5	I shall be like the dew to Israel;
HOS.14.5	He will blossom like the lily,
HOS.14.5	And he will take root like 
HOS.14.6	His shoots will sprout,
HOS.14.6	And his beauty will be like the olive tree
HOS.14.6	And his fragrance like 
HOS.14.7	Those who live in his shadow
HOS.14.7	Will again raise grain,
HOS.14.7	And they will blossom like the vine.
HOS.14.7	His renown 
HOS.14.8	O Ephraim, what more have I to do with idols?
HOS.14.8	It is I who have answered and will care for you 
HOS.14.8	I am like a luxuriant cypress tree;
HOS.14.8	With Me your fruit is found [which is to nourish you].
HOS.14.9	Whoever is [spiritually] wise, let him understand these things;
HOS.14.9	For the ways of the L
HOS.14.9	And the righteous will walk in them,
HOS.14.9	But transgressors will stumble 
JOL.1.1	The word of the L
JOL.1.2	Hear this, O elders,
JOL.1.2	Listen closely, all inhabitants of the land!
JOL.1.2	Has 
JOL.1.2	Or even in the days of your fathers?
JOL.1.3	Tell your children about it,
JOL.1.3	And let your children tell their children,
JOL.1.3	And their children the next generation.
JOL.1.4	What the gnawing locust has left, the swarming locust has eaten;
JOL.1.4	And what the swarming locust has left, the creeping locust has eaten;
JOL.1.4	And what the creeping locust has left, the stripping locust has eaten [in judgment of Judah].
JOL.1.5	Awake [from your intoxication], you drunkards, and weep;
JOL.1.5	Wail, all you drinkers of wine,
JOL.1.5	Because of the [fresh] sweet wine
JOL.1.5	That is cut off from your mouth.
JOL.1.6	For a [pagan and hostile] nation has invaded My land [like locusts],
JOL.1.6	Mighty and without number;
JOL.1.6	Its teeth are the teeth of a lion,
JOL.1.6	And it has the fangs of a lioness.
JOL.1.7	It has made My vine (My people) a waste 
JOL.1.7	And splintered 
JOL.1.7	It has stripped them completely bare and thrown them away;
JOL.1.7	Their branches have become white.
JOL.1.8	Wail like a virgin [bride] clothed with 
JOL.1.8	For the bridegroom of her youth [who has died].
JOL.1.9	The [daily] grain offering and the drink offering are cut off
JOL.1.9	From the house of the L
JOL.1.9	The priests mourn
JOL.1.9	Who minister to the L
JOL.1.10	The field is ruined,
JOL.1.10	The ground mourns;
JOL.1.10	For the grain is ruined,
JOL.1.10	The new wine is dried up,
JOL.1.10	The fresh oil fails.
JOL.1.11	Be ashamed, O farmers;
JOL.1.11	Wail, O vinedressers,
JOL.1.11	For the wheat and for the barley,
JOL.1.11	Because the harvest of the field has perished.
JOL.1.12	The vine dries up
JOL.1.12	And the fig tree fails;
JOL.1.12	The pomegranate, the palm also, and the apple tree,
JOL.1.12	All the trees of the field dry up,
JOL.1.12	Indeed, joy dries up 
JOL.1.12	From the sons of men.
JOL.1.13	Clothe yourselves 
JOL.1.13	And lament (cry out in grief), O priests;
JOL.1.13	Wail, O ministers of the altar!
JOL.1.13	Come, spend the night in sackcloth [and pray without ceasing],
JOL.1.13	O ministers of my God,
JOL.1.13	For the grain offering and the drink offering
JOL.1.13	Are withheld from the house of your God.
JOL.1.14	Consecrate a fast,
JOL.1.14	Proclaim a solemn assembly,
JOL.1.14	Gather the elders
JOL.1.14	And all the inhabitants of the land
JOL.1.14	To the house of the L
JOL.1.14	And cry out to the L
JOL.1.15	Alas for the day!
JOL.1.15	For the [judgment] day of the L
JOL.1.15	And it will come [upon the nation] as a destruction from the 
JOL.1.16	Has not the food been cut off before our eyes,
JOL.1.16	Joy and gladness from the house of our God?
JOL.1.17	The seeds [of grain] shrivel under the clods,
JOL.1.17	The storehouses are desolate 
JOL.1.17	The barns are in ruins
JOL.1.17	Because the grain is dried up.
JOL.1.18	How the animals groan!
JOL.1.18	The herds of cattle are bewildered 
JOL.1.18	Because they have no pasture;
JOL.1.18	Even the flocks of sheep suffer.
JOL.1.19	O L
JOL.1.19	For fire has devoured the pastures of the wilderness,
JOL.1.19	And the flame has burned up all the trees of the field.
JOL.1.20	Even the wild animals pant [in longing] for You;
JOL.1.20	For the water brooks are dried up
JOL.1.20	And fire has consumed the pastures of the wilderness.
JOL.2.1	Blow the trumpet in Zion [warning of impending judgment],
JOL.2.1	Sound an alarm on My holy mountain [Zion]!
JOL.2.1	Let all the inhabitants of the land tremble 
JOL.2.1	For the [judgment] day of the L
JOL.2.1	It is close at hand,
JOL.2.2	A day of darkness and gloom,
JOL.2.2	A day of clouds and of thick [dark] mist,
JOL.2.2	Like the dawn spread over the mountains;
JOL.2.2	There is a [pagan, hostile] people numerous and mighty,
JOL.2.2	The like of which has never been before
JOL.2.2	Nor will be again afterward
JOL.2.2	Even for years of many generations.
JOL.2.3	Before them a fire devours,
JOL.2.3	And behind them a flame burns;
JOL.2.3	Before them the land is like the Garden of Eden,
JOL.2.3	But behind them a desolate wilderness;
JOL.2.3	And nothing at all escapes them.
JOL.2.4	Their appearance is like the appearance of horses,
JOL.2.4	And they run like war horses.
JOL.2.5	Like the noise of chariots
JOL.2.5	They leap on the tops of the mountains,
JOL.2.5	Like the crackling of a flame of fire devouring the stubble,
JOL.2.5	Like a mighty people set in battle formation.
JOL.2.6	Before them the people are in anguish;
JOL.2.6	All faces become pale [with terror].
JOL.2.7	They run like warriors;
JOL.2.7	They climb the wall like soldiers.
JOL.2.7	They each march [straight ahead] in line,
JOL.2.7	And they do not deviate from their paths.
JOL.2.8	They do not crowd each other;
JOL.2.8	Each one marches in his path.
JOL.2.8	When they burst through the defenses (weapons),
JOL.2.8	They do not break ranks.
JOL.2.9	They rush over the city,
JOL.2.9	They run on the wall;
JOL.2.9	They climb up into the houses,
JOL.2.9	They enter at the windows like a thief.
JOL.2.10	The earth quakes before them,
JOL.2.10	The heavens tremble,
JOL.2.10	The sun and the moon grow dark
JOL.2.10	And the stars lose their brightness.
JOL.2.11	The L
JOL.2.11	For His camp is very great,
JOL.2.11	Because strong 
JOL.2.11	For the day of the L
JOL.2.11	Who can endure it?
JOL.2.12	“Even now,” says the L
JOL.2.12	“Turn 
JOL.2.12	With fasting and weeping and mourning [until every barrier is removed and the broken fellowship is restored];
JOL.2.13	Rip your heart to pieces [in sorrow and contrition] and not your garments.”
JOL.2.13	Now return [in repentance] to the L
JOL.2.13	For He is gracious and compassionate,
JOL.2.13	Slow to anger, abounding in lovingkindness [faithful to His covenant with His people];
JOL.2.13	And He relents [His sentence of] evil [when His people genuinely repent].
JOL.2.14	Who knows whether He will relent [and revoke your sentence],
JOL.2.14	And leave a blessing behind Him,
JOL.2.14	Even a grain offering and a drink offering [from the bounty He provides you]
JOL.2.14	For the L
JOL.2.15	Blow a trumpet in Zion [warning of impending judgment],
JOL.2.15	Dedicate a fast [as a day of restraint and humility], call a solemn assembly.
JOL.2.16	Gather the people, sanctify the congregation,
JOL.2.16	Assemble the elders,
JOL.2.16	Gather the children and the nursing infants.
JOL.2.16	Let the bridegroom come out of his room
JOL.2.16	And the bride out of her bridal chamber. [No one is excused from the assembly.]
JOL.2.17	Let the priests, the ministers of the L
JOL.2.17	Weep between the porch and the altar,
JOL.2.17	And let them say, “Have compassion 
JOL.2.17	And do not make Your inheritance (Israel) an object of ridicule,
JOL.2.17	Or a [humiliating] byword among the [Gentile] nations.
JOL.2.17	Why should they say among the peoples,
JOL.2.17	‘Where is their God?’ ”
JOL.2.18	Then the L
JOL.2.18	And will have compassion on His people [and will spare them].
JOL.2.19	The L
JOL.2.19	“Behold, I am going to send you grain and new wine and oil,
JOL.2.19	And you will be satisfied 
JOL.2.19	And I will never again make you an object of ridicule among the [Gentile] nations.
JOL.2.20	But I will remove the northern 
JOL.2.20	And I will drive it into a parched and desolate land,
JOL.2.20	With its forward guard into the eastern sea (Dead Sea)
JOL.2.20	And with its rear guard into the western sea (Mediterranean Sea).
JOL.2.20	And its stench will arise and its foul odor of decay will come up [this is the fate of the northern army in the final day of the L
JOL.2.20	For 
JOL.2.21	Do not fear, O land; be glad and rejoice,
JOL.2.21	For the L
JOL.2.22	Do not be afraid, you animals of the field,
JOL.2.22	For the pastures of the wilderness have turned green;
JOL.2.22	The tree has produced its fruit,
JOL.2.22	And the fig tree and the vine have yielded in full.
JOL.2.23	So rejoice, O children of Zion,
JOL.2.23	And delight in the L
JOL.2.23	For He has given you the early [autumn] rain in vindication
JOL.2.23	And He has poured down the rain for you,
JOL.2.23	The early [autumn] rain and the late [spring] rain, as before.
JOL.2.24	And the threshing floors shall be full of grain,
JOL.2.24	And the vats shall overflow with new wine and oil.
JOL.2.25	“And I will compensate you for the years
JOL.2.25	That the swarming locust has eaten,
JOL.2.25	The creeping locust, the stripping locust, and the gnawing locust—
JOL.2.25	My great army which I sent among you.
JOL.2.26	You will have plenty to eat and be satisfied
JOL.2.26	And praise the name of the L
JOL.2.26	Who has dealt wondrously with you;
JOL.2.26	And My people shall never be put to shame.
JOL.2.27	And you shall know [without any doubt] that I am in the midst of Israel [to protect and bless you],
JOL.2.27	And that I am the L
JOL.2.27	And there is no other;
JOL.2.27	My people will never be put to shame.
JOL.2.28	“It shall come about after this
JOL.2.28	That I shall pour out My Spirit on all mankind;
JOL.2.28	And your sons and your daughters will prophesy,
JOL.2.28	Your old men will dream dreams,
JOL.2.28	Your young men will see visions.
JOL.2.29	Even on the male and female servants
JOL.2.29	I will pour out My Spirit in those days.
JOL.2.30	I will show signs 
JOL.2.30	Blood and fire and columns of smoke.
JOL.2.31	The sun will be turned into darkness
JOL.2.31	And the moon into blood
JOL.2.31	Before the great and terrible day of the L
JOL.2.32	And it shall come about that whoever calls on the name of the L
JOL.2.32	Will be saved [from the coming judgment]
JOL.2.32	For on Mount Zion and in Jerusalem
JOL.2.32	There will be those who escape,
JOL.2.32	As the L
JOL.2.32	Even among the remnant [of survivors] whom the L
JOL.3.1	“For behold, in those [climactic] days and at that time,
JOL.3.1	When I restore the fortunes of Judah and Jerusalem,
JOL.3.2	I will gather together all the [Gentile] nations [that were hostile to My people]
JOL.3.2	And bring them down into the Valley of Jehoshaphat (the L
JOL.3.2	And there I will deal with them 
JOL.3.2	For [their treatment of] My people, My inheritance, Israel,
JOL.3.2	Whom they have scattered among the nations,
JOL.3.2	And [because] they have encroached on My land 
JOL.3.3	They have also cast lots for My people,
JOL.3.3	And have traded a boy for a prostitute
JOL.3.3	And have sold a girl for wine that they may drink.
JOL.3.4	Moreover, what are you to Me, O Tyre and Sidon and all the [five small] regions of Philistia? Will you pay Me back for something [I have supposedly done to you]? Even if you do pay Me back, I will swiftly and speedily return your deed [of retaliation] on your own head. 
JOL.3.5	Because you have taken My silver and My gold and have carried My precious treasures to your temples 
JOL.3.6	and have sold the children of Judah and the children of Jerusalem to the Greeks, so that you may send them far away from their territory, 
JOL.3.7	behold, I am going to stir them up from the place where you have sold them [and return them to their land], and I shall return your action [of retaliation] on your own head. 
JOL.3.8	Also I will sell your sons and your daughters into the hand of the children of Judah, and they will sell them to the 
JOL.3.9	Proclaim this among the [pagan] nations:
JOL.3.9	Prepare a war! Stir up the mighty men!
JOL.3.9	Let all the men of war come near, let them come up!
JOL.3.10	Beat your plowshares into swords
JOL.3.10	And your pruning hooks into spears;
JOL.3.10	Let the weak say, “I am strong!”
JOL.3.11	Hurry and come, all you surrounding nations,
JOL.3.11	And gather yourselves there;
JOL.3.11	Bring down, O L
JOL.3.12	Let the nations be stirred [to action]
JOL.3.12	And come up to the Valley of Jehoshaphat,
JOL.3.12	For there I will sit to judge 
JOL.3.12	All the surrounding nations.
JOL.3.13	Put in the sickle [of judgment], for the harvest is ripe;
JOL.3.13	Come, tread [the grapes], for the wine press is full;
JOL.3.13	The vats overflow, for the wickedness [of the people] is great.
JOL.3.14	Multitudes, multitudes in the valley of decision (judgment)!
JOL.3.14	For the day of the L
JOL.3.15	The sun and the moon grow dark
JOL.3.15	And the stars lose their brightness.
JOL.3.16	The L
JOL.3.16	And utters His voice from Jerusalem [in judgment of His enemies],
JOL.3.16	And the heavens and the earth tremble 
JOL.3.16	But the L
JOL.3.16	And a stronghold [of protection] to the children of Israel.
JOL.3.17	Then you will know 
JOL.3.17	Dwelling in Zion, My holy mountain.
JOL.3.17	Then Jerusalem will be holy,
JOL.3.17	And strangers [who do not belong] will no longer pass through it.
JOL.3.18	And in that day
JOL.3.18	The mountains will drip with sweet wine
JOL.3.18	And the hills will flow with milk;
JOL.3.18	And all the brooks 
JOL.3.18	And a fountain will go out from the house of the L
JOL.3.18	To water the [desert] Valley of Shittim.
JOL.3.19	Egypt will become a waste,
JOL.3.19	And Edom will become a desolate wilderness,
JOL.3.19	Because of their violence against the children of Judah,
JOL.3.19	In whose land they have shed innocent blood.
JOL.3.20	But Judah shall be inhabited forever
JOL.3.20	And Jerusalem from generation to generation.
JOL.3.21	And I shall avenge their blood which I have not avenged,
JOL.3.21	For the L
AMO.1.1	The words of Amos, who was among the sheepherders of 
AMO.1.2	And he said,
AMO.1.2	“The L
AMO.1.2	And utters His voice from Jerusalem;
AMO.1.2	Then the pastures of the shepherds mourn,
AMO.1.2	And the summit of [Mount] Carmel dries up [because of God’s judgment].”
AMO.1.3	Thus says the L
AMO.1.3	“For three transgressions of Damascus and for four (multiplied delinquencies)
AMO.1.3	I shall not reverse its punishment 
AMO.1.3	Because they have threshed Gilead [east of the Jordan River] with sharp iron sledges [having spikes that crushed and shredded].
AMO.1.4	So I will send a fire [of war, conquest, and destruction] upon the house of 
AMO.1.4	And it shall devour the palaces 
AMO.1.5	I also will break the bar [of the gate] of Damascus,
AMO.1.5	And cut off 
AMO.1.5	And the ruler who holds the scepter, from Beth-eden (Damascus);
AMO.1.5	And the people of Aram [conquered by the Assyrians] will go into exile to 
AMO.1.5	Says the L
AMO.1.6	Thus says the L
AMO.1.6	“For three transgressions of Gaza [in Philistia] and for four (multiplied delinquencies)
AMO.1.6	I will not reverse its punishment 
AMO.1.6	Because [as slave traders] they took captive the entire [Jewish] population [of defenseless Judean border villages, of which none was spared]
AMO.1.6	And deported them to Edom [for the slave trade].
AMO.1.7	So I will send a fire [of war, conquest, and destruction] on the wall of Gaza
AMO.1.7	And it shall consume her citadels.
AMO.1.8	And I will cut off 
AMO.1.8	And the ruler who holds the scepter, from Ashkelon;
AMO.1.8	And I will unleash My power 
AMO.1.8	And the rest of the Philistines [in Gath and the towns dependent on these four Philistine cities] shall die,”
AMO.1.8	Says the Lord G
AMO.1.9	Thus says the L
AMO.1.9	“For three transgressions of Tyre and for four (multiplied delinquencies)
AMO.1.9	I will not reverse its punishment 
AMO.1.9	Because they [as middlemen] deported an entire [Jewish] population to Edom
AMO.1.9	And did not [seriously] remember their covenant of brotherhood.
AMO.1.10	So I will send a fire [of war, conquest, and destruction] on the wall of Tyre,
AMO.1.10	And it shall consume her citadels.”
AMO.1.11	Thus says the L
AMO.1.11	“For three transgressions of Edom [the descendants of Esau] and for four (multiplied delinquencies)
AMO.1.11	I will not reverse its punishment 
AMO.1.11	Because he pursued his brother Jacob (Israel) with the sword,
AMO.1.11	Corrupting 
AMO.1.11	His destructive anger raged continually,
AMO.1.11	And he maintained [and nurtured] his wrath forever.
AMO.1.12	So I will send a fire [of war, conquest, and destruction] upon Teman,
AMO.1.12	And it shall consume the citadels of Bozrah [in Edom].”
AMO.1.13	Thus says the L
AMO.1.13	“For three transgressions of the children of 
AMO.1.13	I will not reverse its punishment 
AMO.1.13	Because the Ammonites have ripped open the pregnant women of Gilead,
AMO.1.13	That they might enlarge their border.
AMO.1.14	So I will kindle a fire [of war, conquest, and destruction] on the wall of Rabbah [in Ammon]
AMO.1.14	And it shall devour its strongholds
AMO.1.14	Amid war cries 
AMO.1.14	And a tempest on the day of the whirlwind [when the enemy captures the city].
AMO.1.15	Their king shall go into exile,
AMO.1.15	He and his princes together,” says the L
AMO.2.1	Thus says the L
AMO.2.1	“For three transgressions of 
AMO.2.1	I will not reverse its punishment 
AMO.2.1	Because he burned the bones of the king of Edom [Esau’s descendant] into lime [and used it to plaster a Moabite house].
AMO.2.2	So I will send a fire [of war, conquest, and destruction] upon Moab
AMO.2.2	And it shall devour the strongholds of Kerioth;
AMO.2.2	And Moab shall die amid tumult 
AMO.2.2	With war cries 
AMO.2.3	I will also cut off 
AMO.2.3	And slay all the princes with him,” says the L
AMO.2.4	Thus says the L
AMO.2.4	“For three transgressions of Judah and for four (multiplied delinquencies)
AMO.2.4	I will not reverse its punishment 
AMO.2.4	Because they have rejected the law of the L
AMO.2.4	And have not kept His commandments;
AMO.2.4	But their lies [and their idols], after which their fathers walked,
AMO.2.4	Caused them to go astray.
AMO.2.5	So I will send a fire [of war, conquest, and destruction by the Babylonians] upon Judah
AMO.2.5	And it will devour the strongholds of Jerusalem.”
AMO.2.6	Thus says the L
AMO.2.6	“For three transgressions of Israel and for four (multiplied delinquencies)
AMO.2.6	I will not reverse its punishment 
AMO.2.6	Because they sell the righteous 
AMO.2.6	And the needy for the price of a pair of sandals.
AMO.2.7	These who pant after (long to see) the dust of the earth on the head of the helpless [as sign of their grief and distress]
AMO.2.7	Also turn aside the way of the humble;
AMO.2.7	And a man and his father will go to the same 
AMO.2.7	So that My holy name is profaned.
AMO.2.8	They stretch out beside every [pagan] altar on clothes taken in pledge [to secure a loan, disregarding God’s command],
AMO.2.8	And in the house of their God [in contempt of Him] they frivolously drink the wine [which has been] taken from those who have been fined.
AMO.2.9	“Yet it was I [not the false gods] who destroyed the Amorite before them,
AMO.2.9	Though his height was like the height of the cedars,
AMO.2.9	And he was as strong as the oaks;
AMO.2.9	I even destroyed his fruit above and his root below.
AMO.2.10	Also it was I who brought you up out of the land of Egypt,
AMO.2.10	And I led you forty years through the wilderness
AMO.2.10	That you might possess the land of the Amorite.
AMO.2.11	Then I raised up some of your sons to be prophets [who gave you My revelation],
AMO.2.11	And some of your young men to be Nazirites (dedicated ones).
AMO.2.11	Is this not true, O you children of Israel?” says the L
AMO.2.12	“But you gave the Nazirites wine to drink [despite their vows]
AMO.2.12	And commanded the prophets, saying, ‘You shall not prophesy!’
AMO.2.13	Behold, I am weighted down beneath you
AMO.2.13	As a cart that is weighted down when it is full of sheaves.
AMO.2.14	Flight will be lost to the swift [so they will be unable to escape],
AMO.2.14	And the strong shall not strengthen 
AMO.2.14	Nor shall the mighty man save his own life.
AMO.2.15	He who handles the bow will not stand 
AMO.2.15	The one who is swift of foot will not escape,
