GEN.1.1	In the beginning, when God created the universe,
2CH.16.13	Two years later he died 
2CH.16.14	and was buried in the rock tomb which he had carved out for himself in David's City. They used spices and perfumed oils to prepare his body for burial, and they built a huge bonfire to mourn his death.
2CH.17.1	Jehoshaphat succeeded his father Asa as king and strengthened his position against Israel. 
2CH.17.2	He stationed troops in the fortified cities of Judah, in the Judean countryside, and in the cities which Asa had captured in the territory of Ephraim. 
2CH.17.3	The 
2CH.17.4	He served his father's God, obeyed God's commands, and did not act the way the kings of Israel did. 
2CH.17.5	The 
2CH.17.6	He took pride in serving the 
2CH.17.7	In the third year of his reign he sent out the following officials to teach in the cities of Judah: Benhail, Obadiah, Zechariah, Nethanel, and Micaiah. 
2CH.17.8	They were accompanied by nine Levites and two priests. The Levites were Shemaiah, Nethaniah, Zebadiah, Asahel, Shemiramoth, Jehonathan, Adonijah, Tobijah, and Tobadonijah; and the priests were Elishama and Jehoram. 
2CH.17.9	They took the book of the Law of the 
2CH.17.10	The 
2CH.17.11	Some of the Philistines brought Jehoshaphat a large amount of silver and other gifts, and some Arabs brought him 7,700 sheep and 7,700 goats. 
2CH.17.12	So Jehoshaphat continued to grow more and more powerful. Throughout Judah he built fortifications and cities, 
2CH.17.13	where supplies were stored in huge amounts.
2CH.17.13	In Jerusalem he stationed outstanding officers, 
2CH.17.14	according to their clans. Adnah was the commander of the troops from the clans of Judah, and he had 300,000 soldiers under him. 
2CH.17.15	Second in rank was Jehohanan, with 280,000 soldiers, 
2CH.17.16	and third was Amasiah son of Zichri, with 200,000. (Amasiah had volunteered to serve the 
2CH.17.17	The commander of the troops from the clans of Benjamin was Eliada, an outstanding soldier, in command of 200,000 men armed with shields and bows. 
2CH.17.18	His second in command was Jehozabad with 180,000 men, well-equipped for battle. 
2CH.17.19	These soldiers served the king in Jerusalem, and in addition he stationed others in the other fortified cities of Judah.
2CH.18.1	When King Jehoshaphat of Judah became rich and famous, he arranged a marriage between a member of his family and the family of King Ahab of Israel. 
2CH.18.2	A number of years later Jehoshaphat went to the city of Samaria to visit Ahab. To honor Jehoshaphat and those with him, Ahab had a large number of sheep and cattle slaughtered for a feast. He tried to persuade Jehoshaphat to join him in attacking the city of Ramoth in Gilead. 
2CH.18.3	He asked, “Will you go with me to attack Ramoth?”
2CH.18.3	Jehoshaphat replied, “I am ready when you are, and so is my army. We will join you.” 
2CH.18.4	Then he added, “But first let's consult the 
2CH.18.5	So Ahab called in the prophets, about four hundred of them, and asked them, “Should I go and attack Ramoth, or not?”
2CH.18.5	“Attack it,” they answered. “God will give you victory.”
2CH.18.6	But Jehoshaphat asked, “Isn't there another prophet through whom we can consult the 
2CH.18.7	Ahab answered, “There is one more, Micaiah son of Imlah. But I hate him because he never prophesies anything good for me; it's always something bad.”
2CH.18.7	“You shouldn't say that!” Jehoshaphat replied.
2CH.18.8	So King Ahab called in a court official and told him to go and get Micaiah at once.
2CH.18.9	The two kings, dressed in their royal robes, were sitting on their thrones at the threshing place just outside the gate of Samaria, and all the prophets were prophesying in front of them. 
2CH.18.10	One of them, Zedekiah son of Chenaanah, made iron horns and said to Ahab, “This is what the 
2CH.18.11	All the other prophets said the same thing. “March against Ramoth and you will win,” they said. “The 
2CH.18.12	Meanwhile, the official who had gone to get Micaiah said to him, “All the other prophets have prophesied success for the king, and you had better do the same.”
2CH.18.13	But Micaiah answered, “By the living 
2CH.18.14	When he appeared before King Ahab, the king asked him, “Micaiah, should King Jehoshaphat and I go and attack Ramoth, or not?”
2CH.18.14	“Attack!” Micaiah answered. “Of course you'll win. The 
2CH.18.15	But Ahab replied, “When you speak to me in the name of the 
2CH.18.17	Ahab said to Jehoshaphat, “I told you that he never prophesies anything good for me; it's always something bad!”
2CH.18.18	Micaiah went on: “Now listen to what the 
2CH.18.19	The 
2CH.18.20	until a spirit stepped forward, approached the 
2CH.18.21	The spirit replied, ‘I will go and make all of Ahab's prophets tell lies.’ The 
2CH.18.22	And Micaiah concluded: “This is what has happened. The 
2CH.18.23	Then the prophet Zedekiah went up to Micaiah, slapped his face, and asked, “Since when did the 
2CH.18.24	“You will find out when you go into some back room to hide,” Micaiah replied.
2CH.18.25	Then King Ahab ordered one of his officers, “Arrest Micaiah and take him to Amon, the governor of the city, and to Prince Joash. 
2CH.18.26	Tell them to throw him in prison and to put him on bread and water until I return safely.”
2CH.18.27	“If you return safely,” Micaiah exclaimed, “then the 
2CH.18.28	Then King Ahab of Israel and King Jehoshaphat of Judah went to attack the city of Ramoth in Gilead. 
2CH.18.29	Ahab said to Jehoshaphat, “As we go into battle, I will disguise myself, but you wear your royal garments.” So the king of Israel went into battle in disguise.
2CH.18.30	The king of Syria had ordered his chariot commanders to attack no one else except the king of Israel. 
2CH.18.31	So when they saw King Jehoshaphat, they all thought that he was the king of Israel, and they turned to attack him. But Jehoshaphat gave a shout, and the 
2CH.18.32	The chariot commanders saw that he was not the king of Israel, so they stopped pursuing him. 
2CH.18.33	By chance, however, a Syrian soldier shot an arrow which struck King Ahab between the joints of his armor. “I'm wounded!” he cried out to his chariot driver. “Turn around and pull out of the battle!” 
2CH.18.34	While the battle raged on, King Ahab remained propped up in his chariot, facing the Syrians. At sunset he died.
2CH.19.1	King Jehoshaphat of Judah returned safely to his palace in Jerusalem. 
2CH.19.2	A prophet, Jehu son of Hanani, went to meet the king and said to him, “Do you think it is right to help those who are wicked and to take the side of those who hate the 
2CH.19.3	But even so, there is some good in you. You have removed all the symbols of the goddess Asherah which people worshiped, and you have tried to follow God's will.”
2CH.19.4	Even though King Jehoshaphat lived in Jerusalem, he traveled regularly among the people, from Beersheba in the south to the edge of the hill country of Ephraim in the north, in order to call the people back to the 
2CH.19.5	He appointed judges in each of the fortified cities of Judah 
2CH.19.6	and instructed them: “Be careful in pronouncing judgment; you are not acting on human authority, but on the authority of the 
2CH.19.7	Honor the 
2CH.19.8	In Jerusalem Jehoshaphat appointed Levites, priests, and some of the leading citizens as judges in cases involving a violation of the Law of the 
2CH.19.9	He gave them the following instructions: “You must perform your duties in reverence for the 
2CH.19.10	Whenever your fellow citizens from any of the cities bring before you a case of homicide or any other violation of a law or commandment, you must instruct them carefully how to conduct themselves during the trial, so that they do not become guilty of sinning against the 
2CH.19.11	Amariah the High Priest will have final authority in all religious cases, and Zebadiah son of Ishmael, governor of Judah, will have final authority in all civil cases. The Levites have the responsibility of seeing that the decisions of the courts are carried out. Be courageous and carry out these instructions, and may the 
2CH.20.1	Some time later the armies of Moab and Ammon, together with their allies, the Meunites,
2CH.20.2	Some messengers came and announced to King Jehoshaphat: “A large army from Edom has come from the other side of the Dead Sea to attack you. They have already captured Hazazon Tamar.” (This is another name for Engedi.) 
2CH.20.3	Jehoshaphat was frightened and prayed to the 
2CH.20.4	From every city of Judah people hurried to Jerusalem to ask the 
2CH.20.5	and they and the people of Jerusalem gathered in the new courtyard of the Temple. King Jehoshaphat went and stood before them 
2CH.20.6	and prayed aloud, “O 
2CH.20.7	 You are our God. When your people Israel moved into this land, you drove out the people who were living here and gave the land to the descendants of Abraham, your friend, to be theirs forever. 
2CH.20.8	They have lived here and have built a temple to honor you, knowing 
2CH.20.9	that if any disaster struck them to punish them—a war,
2CH.20.11	This is how they repay us—they come to drive us out of the land that you gave us. 
2CH.20.12	You are our God! Punish them, for we are helpless in the face of this large army that is attacking us. We do not know what to do, but we look to you for help.”
2CH.20.13	All the men of Judah, with their wives and children, were standing there at the Temple. 
2CH.20.14	The spirit of the 
2CH.20.15	 Jahaziel said, “Your Majesty and all you people of Judah and Jerusalem, the 
2CH.20.16	Attack them tomorrow as they come up the pass at Ziz. You will meet them at the end of the valley that leads to the wild country near Jeruel. 
2CH.20.17	 You will not have to fight this battle. Just take up your positions and wait; you will see the 
2CH.20.18	Then King Jehoshaphat bowed low, with his face touching the ground, and all the people bowed with him and worshiped the 
2CH.20.19	The members of the Levite clans of Kohath and Korah stood up and with a loud shout praised the 
2CH.20.20	Early the next morning the people went out to the wild country near Tekoa. As they were starting out, Jehoshaphat addressed them with these words: “People of Judah and Jerusalem! Put your trust in the 
2CH.20.21	After consulting with the people, the king ordered some musicians to put on the robes they wore on sacred occasions and to march ahead of the army, singing: “Praise the 
2CH.20.22	When they began to sing, the 
2CH.20.23	The Ammonites and the Moabites attacked the Edomite army and completely destroyed it, and then they turned on each other in savage fighting. 
2CH.20.24	When the Judean army reached a tower that was in the desert, they looked toward the enemy and saw that they were all lying on the ground dead. Not one had escaped.
2CH.20.25	Jehoshaphat and his troops moved in to take the loot, and they found many cattle,
2CH.20.26	On the fourth day they assembled in Beracah Valley and praised the 
2CH.20.27	Jehoshaphat led his troops back to Jerusalem in triumph, because the 
2CH.20.28	When they reached the city, they marched to the Temple to the music of harps and trumpets. 
2CH.20.29	Every nation that heard how the 
2CH.20.30	so Jehoshaphat ruled in peace, and God gave him security on every side.
2CH.20.31	Jehoshaphat had become king of Judah at the age of thirty-five and had ruled in Jerusalem for twenty-five years. His mother was Azubah, the daughter of Shilhi. 
2CH.20.32	Like his father Asa before him, he did what was right in the sight of the 
2CH.20.33	but the pagan places of worship were not destroyed. The people still did not turn wholeheartedly to the worship of the God of their ancestors.
2CH.20.34	Everything else that Jehoshaphat did, from the beginning of his reign to its end, is recorded in 
2CH.20.35	At one time King Jehoshaphat of Judah made an alliance with King Ahaziah of Israel, who did many wicked things. 
2CH.20.36	At the port of Eziongeber they built ocean-going ships. 
2CH.20.37	But Eliezer son of Dodavahu, from the town of Mareshah, warned Jehoshaphat, “Because you have made an alliance with Ahaziah, the 
2CH.21.1	Jehoshaphat died and was buried in the royal tombs in David's City and his son Jehoram succeeded him as king.
2CH.21.2	Jehoram son of King Jehoshaphat of Judah had six brothers: Azariah, Jehiel, Zechariah, Azariahu, Michael, and Shephatiah. 
2CH.21.3	Their father gave them large amounts of gold, silver, and other valuable possessions, and placed each one in charge of one of the fortified cities of Judah. But because Jehoram was the oldest, Jehoshaphat made him his successor. 
2CH.21.4	When Jehoram was in firm control of the kingdom, he had all his brothers killed, and also some Israelite officials.
2CH.21.5	Jehoram became king at the age of thirty-two, and he ruled in Jerusalem for eight years. 
2CH.21.6	He followed the wicked example of King Ahab and the other kings of Israel, because he had married one of Ahab's daughters. He sinned against the 
2CH.21.7	 but the 
2CH.21.9	So Jehoram and his officers set out with chariots and invaded Edom. There the Edomite army surrounded them, but during the night they managed to break out and escape. 
2CH.21.10	Edom has been independent of
2CH.21.11	He even built pagan places of worship in the Judean highlands and led the people of Judah and Jerusalem to sin against the 
2CH.21.12	The prophet Elijah sent Jehoram a letter, which read as follows: “The 
2CH.21.13	Instead, you have followed the example of the kings of Israel and have led the people of Judah and Jerusalem into being unfaithful to God, just as Ahab and his successors led Israel into unfaithfulness. You even murdered your brothers, who were better men than you are. 
2CH.21.14	As a result, the 
2CH.21.15	You yourself will suffer a painful intestinal disease that will grow worse day by day.”
2CH.21.16	Some Philistines and Arabs lived near where some Ethiopians
2CH.21.17	They invaded Judah, looted the royal palace, and carried off as prisoners all the king's wives and sons except Ahaziah, his youngest son.
2CH.21.18	Then after all this, the 
2CH.21.19	For almost two years it grew steadily worse until finally the king died in agony. His subjects did not light a bonfire in mourning for him as had been done for his ancestors.
2CH.21.20	Jehoram had become king at the age of thirty-two and had ruled in Jerusalem for eight years. Nobody was sorry when he died. They buried him in David's City, but not in the royal tombs.
2CH.22.1	Some Arabs had led a raid and killed all of King Jehoram's sons except Ahaziah, the youngest. So now the people of Jerusalem made Ahaziah king as his father's successor. 
2CH.22.2+2CH.22.3	Ahaziah became king at the age of twenty-two,
2CH.22.4	He sinned against the 
2CH.22.5	Following their advice, he joined King Joram of Israel in a war against King Hazael of Syria. The armies clashed at Ramoth in Gilead, and Joram was wounded in battle. 
2CH.22.6	He returned to the city of Jezreel to recover from his wounds, and Ahaziah went there to visit him.
2CH.22.7	God used this visit to Joram to bring about Ahaziah's downfall. While Ahaziah was there, he and Joram were confronted by a man named Jehu son of Nimshi, whom the 
2CH.22.8	As Jehu was carrying out God's sentence on the dynasty, he came across a group made up of Judean leaders and of Ahaziah's nephews that had accompanied Ahaziah on his visit. Jehu killed them all. 
2CH.22.9	A search was made for Ahaziah, and he was found hiding in Samaria. They took him to Jehu and put him to death. But they did bury his body out of respect for his grandfather King Jehoshaphat, who had done all he could to serve the 
2CH.22.9	No member of Ahaziah's family was left who could rule the kingdom.
2CH.22.10	As soon as King Ahaziah's mother Athaliah learned of her son's murder, she gave orders for all the members of the royal family of Judah to be killed. 
2CH.22.11	Ahaziah had a half sister, Jehosheba, who was married to a priest named Jehoiada. She secretly rescued one of Ahaziah's sons, Joash, took him away from the other princes who were about to be murdered and hid him and a nurse in a bedroom at the Temple. By keeping him hidden, she saved him from death at the hands of Athaliah. 
2CH.22.12	For six years he remained there in hiding, while Athaliah ruled as queen.
2CH.23.1	After waiting six years Jehoiada the priest decided that it was time to take action. He made a pact with five army officers: Azariah son of Jeroham, Ishmael son of Jehohanan, Azariah son of Obed, Maaseiah son of Adaiah, and Elishaphat son of Zichri. 
2CH.23.2	They traveled to all the cities of Judah and brought back with them to Jerusalem the Levites and all the heads of the clans.
2CH.23.4	This is what we will do. When the priests and Levites come on duty on the Sabbath, one third of them will guard the Temple gates, 
2CH.23.5	another third will guard the royal palace, and the rest will be stationed at the Foundation Gate. All the people will assemble in the Temple courtyard. 
2CH.23.6	No one is to enter the Temple buildings except the priests and the Levites who are on duty. They may enter, because they are consecrated, but the rest of the people must obey the 
2CH.23.7	The Levites are to stand guard around the king, with their swords drawn, and are to stay with the king wherever he goes. Anyone who tries to enter the Temple is to be killed.”
2CH.23.8	The Levites and the people of Judah carried out Jehoiada's instructions. The men were not dismissed when they went off duty on the Sabbath, so the commanders had available both those coming on duty and those going off. 
2CH.23.9	Jehoiada gave the officers the spears and shields that had belonged to King David and had been kept in the Temple. 
2CH.23.10	He stationed the men with drawn swords all around the front of the Temple, to protect the king. 
2CH.23.11	Then Jehoiada led Joash out, placed the crown on his head, and gave him a copy of the laws governing kingship. And so he was made king. Jehoiada the priest and his sons anointed Joash, and everyone shouted, “Long live the king!”
2CH.23.12	Athaliah heard the people cheering for the king, so she hurried to the Temple, where the crowd had gathered. 
2CH.23.13	There she saw the new king at the Temple entrance, standing by the column reserved for kings and surrounded by the army officers and the trumpeters. All the people were shouting joyfully and blowing trumpets, and the Temple musicians with their instruments were leading the celebration. She tore her clothes in distress and shouted, “Treason! Treason!”
2CH.23.14	Jehoiada did not want Athaliah killed in the Temple area, so he called out the army officers and said, “Take her out between the rows of guards, and kill anyone who tries to rescue her.”
2CH.23.15	They seized her, took her to the palace, and there at the Horse Gate they killed her.
2CH.23.16	The priest Jehoiada had King Joash and the people join him in making a covenant that they would be the 
2CH.23.17	Then they all went to the temple of Baal and tore it down. They smashed the altars and idols there and killed Mattan, the priest of Baal, in front of the altars. 
2CH.23.18	Jehoiada put the priests and Levites in charge of the work of the Temple. They were to carry out the duties assigned to them by King David and to burn the sacrifices offered to the 
2CH.23.19	Jehoiada also put guards on duty at the Temple gates to keep out anyone who was ritually unclean.
2CH.23.20	The army officers, the leading citizens, the officials, and all the rest of the people joined Jehoiada in a procession that brought the king from the Temple to the palace. They entered by the main gate, and the king took his place on the throne. 
2CH.23.21	All the people were filled with happiness, and the city was quiet, now that Athaliah had been killed.
2CH.24.1	Joash became king of Judah at the age of seven, and he ruled in Jerusalem for forty years. His mother was Zibiah from the city of Beersheba. 
2CH.24.2	He did what was pleasing to the 
2CH.24.3	Jehoiada chose two wives for King Joash, and they bore him sons and daughters.
2CH.24.4	After he had been king for a while, Joash decided to have the Temple repaired. 
2CH.24.5	He ordered the priests and the Levites to go to the cities of Judah and collect from all the people enough money to make the annual repairs on the Temple. He told them to act promptly, but the Levites delayed, 
2CH.24.6	 so he called in Jehoiada, their leader, and demanded, “Why haven't you seen to it that the Levites collect from Judah and Jerusalem the tax which Moses, the servant of the 
2CH.24.6	( 
2CH.24.7	The followers of Athaliah, that corrupt woman,
2CH.24.8	The king ordered the Levites to make a box for contributions and to place it at the Temple gate. 
2CH.24.9	They sent word throughout Jerusalem and Judah for everyone to bring to the 
2CH.24.10	This pleased the people and their leaders, and they brought their tax money and filled the box with it. 
2CH.24.11	Every day the Levites would take the box to the royal official who was in charge of it. Whenever it was full, the royal secretary and the High Priest's representative would take the money out and return the box to its place. And so they collected a large sum of money.
2CH.24.12	The king and Jehoiada would give the money to those who were in charge of repairing the Temple, and they hired stonemasons, carpenters, and metalworkers to make the repairs. 
2CH.24.13	All of them worked hard, and they restored the Temple to its original condition, as solid as ever. 
2CH.24.14	When the repairs were finished, the remaining gold and silver was given to the king and Jehoiada, who used it to have bowls and other utensils made for the Temple.
2CH.24.14	As long as Jehoiada was alive, sacrifices were offered regularly at the Temple. 
2CH.24.15	After reaching the very old age of a hundred and thirty, he died. 
2CH.24.16	They buried him in the royal tombs in David's City in recognition of the service he had done for the people of Israel, for God, and for the Temple.
2CH.24.17	But once Jehoiada was dead, the leaders of Judah persuaded King Joash to listen to them instead. 
2CH.24.18	And so the people stopped worshiping in the Temple of the 
2CH.24.19	The 
2CH.24.20	 Then the spirit of God took control of Zechariah son of Jehoiada the priest. He stood where the people could see him and called out, “The 
2CH.24.21	King Joash joined in a conspiracy against Zechariah, and on the king's orders the people stoned Zechariah in the Temple courtyard. 
2CH.24.22	The king forgot about the loyal service that Zechariah's father Jehoiada had given him, and he had Zechariah killed. As Zechariah was dying, he called out, “May the 
2CH.24.23	When autumn came that year, the Syrian army attacked Judah and Jerusalem, killed all the leaders, and took large amounts of loot back to Damascus. 
2CH.24.24	The Syrian army was small, but the 
2CH.24.25	He was severely wounded, and when the enemy withdrew, two of his officials plotted against him and killed him in his bed to avenge the murder of the son
2CH.24.26	Those who plotted against him were Zabad, the son of an Ammonite woman named Shimeath, and Jehozabad, the son of a Moabite woman named Shimrith.) 
2CH.24.27	The 
2CH.25.1	Amaziah became king at the age of twenty-five, and he ruled in Jerusalem for twenty-nine years. His mother was Jehoaddin from Jerusalem. 
2CH.25.2	He did what was pleasing to the 
2CH.25.3	As soon as he was firmly in power, he executed the officials who had murdered his father. 
2CH.25.4	 He did not, however, execute their children, but followed what the 
2CH.25.5	King Amaziah organized all the men of the tribes of Judah and Benjamin into army units, according to the clans they belonged to, and placed officers in command of units of a thousand and units of a hundred. This included all men twenty years of age or older, 300,000 in all. They were picked troops, ready for battle, skilled in using spears and shields. 
2CH.25.6	In addition, he hired 100,000 soldiers from Israel at a cost of about four tons of silver. 
2CH.25.7	But a prophet went to the king and said to him, “Don't take these Israelite soldiers with you. The 
2CH.25.8	You may think that they will make you stronger
2CH.25.9	Amaziah asked the prophet, “But what about all that silver I have already paid for them?”
2CH.25.9	The prophet replied, “The 
2CH.25.10	So Amaziah sent the hired troops away and told them to go home. At this they went home, bitterly angry with the people of Judah.
2CH.25.11	Amaziah summoned up his courage and led his army to Salt Valley. There they fought and killed ten thousand Edomite soldiers 
2CH.25.12	and captured another ten thousand. They took the prisoners to the top of the cliff at the city of Sela and threw them off, so that they were killed on the rocks below.
2CH.25.13	Meanwhile the Israelite soldiers that Amaziah had not allowed to go into battle with him attacked the Judean cities between Samaria and Beth Horon, killed three thousand men, and captured quantities of loot.
2CH.25.14	When Amaziah returned from defeating the Edomites, he brought their idols back with him, set them up, worshiped them, and burned incense to them. 
2CH.25.15	This made the 
2CH.25.16	“Since when,” Amaziah interrupted, “have we made you adviser to the king? Stop talking, or I'll have you killed!”
2CH.25.16	The prophet stopped, but not before saying, “Now I know that God has decided to destroy you because you have done all this and have ignored my advice.”
2CH.25.17	King Amaziah of Judah and his advisers plotted against Israel. He then sent a message to King Jehoash of Israel, who was the son of Jehoahaz and grandson of Jehu, challenging him to fight.
2CH.25.18	Jehoash sent this answer to Amaziah: “Once a thorn bush in the Lebanon Mountains sent a message to a cedar: ‘Give your daughter in marriage to my son.’ A wild animal passed by and trampled the bush down. 
2CH.25.19	Now Amaziah, you boast that you have defeated the Edomites, but I advise you to stay at home. Why stir up trouble that will only bring disaster on you and your people?”
2CH.25.20	But Amaziah refused to listen. It was God's will for Amaziah to be defeated, because he had worshiped the Edomite idols. 
2CH.25.21	So King Jehoash of Israel went into battle against King Amaziah of Judah. They met at Beth Shemesh in Judah, 
2CH.25.22	the Judean army was defeated, and the soldiers fled to their homes. 
2CH.25.23	Jehoash captured Amaziah and took him to Jerusalem. There he tore down the city wall from Ephraim Gate to the Corner Gate, a distance of two hundred yards. 
2CH.25.24	He took back to Samaria as loot all the gold and silver in the Temple, the Temple equipment guarded by the descendants of Obed Edom, and the palace treasures. He also took hostages with him.
2CH.25.25	King Amaziah of Judah outlived King Jehoash of Israel by fifteen years. 
2CH.25.26	All the other things that Amaziah did from the beginning to the end of his reign are recorded in 
2CH.25.27	Ever since the time when he rebelled against the 
2CH.25.28	His body was carried to Jerusalem on a horse, and he was buried in the royal tombs in David's City.
2CH.26.1	All the people of Judah chose Amaziah's sixteen-year-old son Uzziah to succeed his father as king. ( 
2CH.26.2	It was after the death of Amaziah that Uzziah recaptured Elath and rebuilt the city.)
2CH.26.3	Uzziah became king at the age of sixteen, and he ruled in Jerusalem for fifty-two years. His mother was Jecoliah from Jerusalem. 
2CH.26.4	Following the example of his father, he did what was pleasing to the 
2CH.26.5	As long as Zechariah, his religious adviser, was living, he served the 
2CH.26.6	Uzziah went to war against the Philistines. He tore down the walls of the cities of Gath, Jamnia, and Ashdod, and built fortified cities near Ashdod and in the rest of Philistia. 
2CH.26.7	God helped him defeat the Philistines, the Arabs living at Gurbaal, and the Meunites. 
2CH.26.8	The Ammonites paid tribute to Uzziah, and he became so powerful that his fame spread even to Egypt.
2CH.26.9	Uzziah strengthened the fortifications of Jerusalem by building towers at the Corner Gate, at the Valley Gate, and where the wall turned. 
2CH.26.10	He also built fortified towers in the open country and dug many cisterns, because he had large herds of livestock in the western foothills and plains. Because he loved farming, he encouraged the people to plant vineyards in the hill country and to farm the fertile land.
2CH.26.11	He had a large army ready for battle. Its records were kept by his secretaries Jeiel and Maaseiah under the supervision of Hananiah, a member of the king's staff. 
2CH.26.12	The army was commanded by 2,600 officers. 
2CH.26.13	Under them were 307,500 soldiers able to fight effectively for the king against his enemies. 
2CH.26.14	Uzziah supplied the army with shields, spears, helmets, coats of armor, bows and arrows, and stones for slinging. 
2CH.26.15	In Jerusalem his inventors made equipment for shooting arrows and for throwing large stones from the towers and corners of the city wall. His fame spread everywhere, and he became very powerful because of the help he received from God.
2CH.26.16	But when King Uzziah became strong, he grew arrogant, and that led to his downfall. He defied the 
2CH.26.17	Azariah the priest, accompanied by eighty strong and courageous priests, followed the king 
2CH.26.18	 to resist him. They said, “Uzziah! You have no right to burn incense to the 
2CH.26.19	Uzziah was standing there in the Temple beside the incense altar and was holding an incense burner. He became angry with the priests, and immediately a dreaded skin disease broke out on his forehead. 
2CH.26.20	Azariah and the other priests stared at the king's forehead in horror and then forced him to leave the Temple. He hurried to get out, because the 
2CH.26.21	For the rest of his life King Uzziah was ritually unclean because of his disease. Unable to enter the Temple again, he lived in his own house, relieved of all duties, while his son Jotham governed the country.
2CH.26.22	The prophet Isaiah son of Amoz recorded all the other things that King Uzziah did during his reign. 
2CH.26.23	 Uzziah died and was buried in the royal burial ground, but because of his disease he was not buried in the royal tombs. His son Jotham succeeded him as king.
2CH.27.1	Jotham became king at the age of twenty-five, and he ruled in Jerusalem for sixteen years. His mother was Jerushah, the daughter of Zadok. 
2CH.27.2	He did what was pleasing to the 
2CH.27.3	It was Jotham who built the North Gate of the Temple and did extensive work on the city wall in the area of Jerusalem called Ophel. 
2CH.27.4	In the mountains of Judah he built cities, and in the forests he built forts and towers. 
2CH.27.5	He fought against the king of Ammon and his army and defeated them. Then he forced the Ammonites to pay him the following tribute each year for three years: four tons of silver, fifty thousand bushels of wheat, and fifty thousand bushels of barley. 
2CH.27.6	Jotham grew powerful because he faithfully obeyed the 
2CH.27.7	The other events of Jotham's reign, his wars, and his policies, are all recorded in 
2CH.27.8	Jotham was twenty-five years old when he became king, and he ruled in Jerusalem for sixteen years. 
2CH.27.9	He died and was buried in David's City and his son Ahaz succeeded him as king.
2CH.28.1	Ahaz became king at the age of twenty, and he ruled in Jerusalem for sixteen years. He did not follow the good example of his ancestor King David; instead, he did what was not pleasing to the 
2CH.28.2	and followed the example of the kings of Israel. He had metal images of Baal made, 
2CH.28.3	burned incense in Hinnom Valley, and even sacrificed his own sons as burnt offerings to idols, imitating the disgusting practice of the people whom the 
2CH.28.4	At the pagan places of worship, on the hills, and under every shady tree Ahaz offered sacrifices and burned incense.
2CH.28.7	An Israelite soldier named Zichri killed King Ahaz' son Maaseiah, the palace administrator Azrikam, and Elkanah, who was second in command to the king. 
2CH.28.8	Even though the Judeans were their own relatives, the Israelite army captured 200,000 women and children as prisoners and took them back to Samaria, along with large amounts of loot.
2CH.28.9	A man named Oded, a prophet of the 
2CH.28.10	And now you intend to make the men and women of Jerusalem and Judah your slaves. Don't you know that you also have committed sins against the 
2CH.28.11	Listen to me! These prisoners are your brothers and sisters. Let them go, or the 
2CH.28.12	Four of the leading men of the Northern Kingdom, Azariah son of Jehohanan, Berechiah son of Meshillemoth, Jehizkiah son of Shallum, and Amasa son of Hadlai also opposed the actions of the army. 
2CH.28.13	They said, “Don't bring those prisoners here! We have already sinned against the 
2CH.28.14	So then the army handed the prisoners and the loot over to the people and their leaders, 
2CH.28.15	and the four men were appointed to provide the prisoners with clothing from the captured loot. They gave them clothes and sandals to wear, gave them enough to eat and drink, and put olive oil on their wounds. Those who were too weak to walk were put on donkeys, and all the prisoners were taken back to Judean territory at Jericho, the city of palm trees. Then the Israelites returned home to Samaria.
2CH.28.16+2CH.28.17	The Edomites began to raid Judah again and captured many prisoners, so King Ahaz asked Tiglath Pileser, the emperor of Assyria, to send help. 
2CH.28.18	At this same time the Philistines were raiding the towns in the western foothills and in southern Judah. They captured the cities of Beth Shemesh, Aijalon, and Gederoth, and the cities of Soco, Timnah, and Gimzo with their villages, and settled there permanently. 
2CH.28.19	Because King Ahaz of Judah had violated the rights of his people and had defied the 
2CH.28.20	The Assyrian emperor, instead of helping Ahaz, opposed him and caused him trouble. 
2CH.28.21	So Ahaz took the gold from the Temple, the palace, and the homes of the leaders of the people, and gave it to the emperor, but even this did not help.
2CH.28.22	When his troubles were at their worst, that man Ahaz sinned against the 
2CH.28.23	He offered sacrifices to the gods of the Syrians, who had defeated him. He said, “The Syrian gods helped the kings of Syria, so if I sacrifice to them, they may help me too.” This brought disaster on him and on his nation. 
2CH.28.24	In addition, he took all the Temple equipment and broke it in pieces. He closed the Temple and set up altars in every part of Jerusalem. 
2CH.28.25	In every city and town in Judah he built pagan places of worship, where incense was to be burned to foreign gods. In this way he brought on himself the anger of the 
2CH.28.26	All the other events of his reign, from beginning to end, are recorded in 
2CH.28.27	 King Ahaz died and was buried in Jerusalem, but not in the royal tombs. His son Hezekiah succeeded him as king.
2CH.29.1	Hezekiah became king of Judah at the age of twenty-five, and he ruled in Jerusalem for twenty-nine years. His mother was Abijah, the daughter of Zechariah. 
2CH.29.2	Following the example of his ancestor King David, he did what was pleasing to the 
2CH.29.3	In the first month of the year after Hezekiah became king, he reopened the gates of the Temple and had them repaired. 
2CH.29.4	He assembled a group of priests and Levites in the east courtyard of the Temple 
2CH.29.5	and spoke to them there. He said, “You Levites are to consecrate yourselves and purify the Temple of the 
2CH.29.6	Our ancestors were unfaithful to the 
2CH.29.7	They closed the doors of the Temple, let the lamps go out, and failed to burn incense or offer burnt offerings in the Temple of the God of Israel. 
2CH.29.8	Because of this the 
2CH.29.9	Our fathers were killed in battle, and our wives and children have been taken away as prisoners.
2CH.29.10	“I have now decided to make a covenant with the 
2CH.29.11	My sons, do not lose any time. You are the ones that the 
