GEN.1.1	In the beginning of God's preparing the heavens and the earth —
EZR.9.3	And at my hearing this word, I have rent my garment and my upper robe, and pluck out of the hair of my head, and of my beard, and sit astonished,
EZR.9.4	and unto me are gathered every one trembling at the words of the God of Israel, because of the trespass of the removal, and I am sitting astonished till the present of the evening.
EZR.9.5	And at the present of the evening I have risen from mine affliction, and at my rending my garment and my upper robe, then I bow down on my knees, and spread out my hands unto 
EZR.9.6	and say, ‘O my God, I have been ashamed, and have blushed to lift up, O my God, my face unto Thee, for our iniquities have increased over the head, and our guilt hath become great unto the heavens.
EZR.9.7	‘From the days of our fathers we [are] in great guilt unto this day, and in our iniquities we have been given — we, our kings, our priests — into the hand of the kings of the lands, with sword, with captivity, and with spoiling, and with shame of face, as [at] this day.
EZR.9.8	‘And now, as a small moment hath grace been from 
EZR.9.9	for servants we [are], and in our servitude our God hath not forsaken us, and stretcheth out unto us kindness before the kings of Persia, to give to us a quickening to lift up the house of our God, and to cause its wastes to cease, and to give to us a wall in Judah and in Jerusalem.
EZR.9.10	‘And now, what do we say, O our God, after this? for we have forsaken Thy commands,
EZR.9.11	that Thou hast commanded by the hands of thy servants the prophets, saying, The land into which ye are going to possess it, [is] a land of impurity, by the impurity of the people of the lands, by their abominations with which they have filled it — from mouth unto mouth — by their uncleanness;
EZR.9.12	and now, your daughters ye do not give to their sons, and their daughters ye do not take to your sons, and ye do not seek their peace, and their good — unto the age, so that ye are strong, and have eaten the good of the land, and given possession to your sons unto the age.
EZR.9.13	‘And after all that hath come upon us for our evil works, and for our great guilt (for Thou, O our God, hast kept back of the rod from our iniquities, and hast given to us an escape like this),
EZR.9.14	do we turn back to break Thy commands, and to join ourselves in marriage with the people of these abominations? art not Thou angry against us — even to consumption — till there is no remnant and escaped part?
EZR.9.15	‘O 
EZR.10.1	And at Ezra's praying, and at his making confession, weeping and casting himself down before the house of God, there have been gathered unto him out of Israel an assembly very great — men and women and children — for the people have wept, multiplying weeping.
EZR.10.2	And Shechaniah son of Jehiel, of the sons of Elam, answereth and saith to Ezra, ‘We — we have trespassed against our God, and we settle strange women of the peoples of the land; and now there is hope for Israel concerning this,
EZR.10.3	and now, let us make a covenant with our God, to cause all the women to go out, and that which is born of them, by the counsel of the Lord, and of those trembling at the command of our God, and according to law it is done;
EZR.10.4	rise, for on thee [is] the matter, and we [are] with thee; be strong, and do.’
EZR.10.5	And Ezra riseth, and causeth the heads of the priests, the Levites, and all Israel, to swear to do according to this word — and they swear.
EZR.10.6	And Ezra riseth from before the house of God, and goeth unto the chamber of Jehohanan son of Eliashib; yea, he goeth there, bread he hath not eaten, and water he hath not drunk, for he is mourning because of the trespass of the removal.
EZR.10.7	And they cause a voice to pass over into Judah and Jerusalem, to all sons of the removal, to be gathered to Jerusalem,
EZR.10.8	and every one who cometh not in by the third day, according to the counsel of the heads and of the elders, all his substance is devoted, and himself separated from the assembly of the removal.
EZR.10.9	And gathered are all the men of Judah and Benjamin to Jerusalem by the third day, it [is] the ninth month, on the twentieth of the month, and all the people sit in the broad place of the house of God, trembling on account of the matter and of the showers.
EZR.10.10	And Ezra the priest riseth, and saith unto them, ‘Ye — ye have trespassed, and ye settle strange women, to add to the guilt of Israel;
EZR.10.11	and, now, make confession to 
EZR.10.12	And all the assembly answer and say [with] a great voice, ‘Right; according to thy word — on us to do;
EZR.10.13	but the people [are] many, and [it is] the time of showers, and there is no power to stand without, and the work [is] not for one day, nor for two, for we have multiplied to transgress in this thing.
EZR.10.14	‘Let, we pray thee, our heads of all the assembly stand, and all who [are] in our cities, who have settled strange wives, do come in at the times appointed, and with them the elders of city and city, and its judges, till the turning back of the fury of the wrath of our God from us, for this thing.’
EZR.10.15	Only Jonathan son of Asahel, and Jahaziah son of Tikvah, stood against this, and Meshullam, and Shabbethai the Levite, helped them.
EZR.10.16	And the sons of the removal do so, and Ezra the priest, [and] men, heads of the fathers, for the house of their fathers, are separated, even all of them by name, and they sit on the first day of the tenth month, to examine the matter;
EZR.10.17	and they finish with all the men who have settled strange women unto the first day of the first month.
EZR.10.18	And there are found of the sons of the priests that have settled strange women: of the sons of Jeshua son of Jozadak, and his brethren, Maaseiah, and Eliezer, and Jarib, and Gedaliah;
EZR.10.19	and they give their hand to send out their wives, and, being guilty, a ram of the flock, for their guilt.
EZR.10.20	And of the sons of Immer: Hanani and Zebadiah;
EZR.10.21	and of the sons of Harim: Masseiah, and Elijah, and Shemaiah, and Jehiel, and Uzziah;
EZR.10.22	and of the sons of Pashhur: Elioenai, Maaseiah, Ishmael, Nethaneel, Jozabad, and Elasah.
EZR.10.23	And of the Levites: Jozabad, and Shimei, and Kelaiah — he [is] Kelita, — Pethahiah, Judah, and Eliezer.
EZR.10.24	And of the singers: Eliashib. And of the gatekeepers: Shallum, and Telem, and Uri.
EZR.10.25	And of Israel: of the sons of Parosh: Ramiah, and Jeziah, and Malchijah, and Miamin, and Eleazar, and Malchijah, and Benaiah.
EZR.10.26	And of the sons of Elam: Mattaniah, Zechariah, and Jehiel, and Abdi, and Jeremoth, and Elijah.
EZR.10.27	And of the sons of Zattu: Elioenai, Eliashib, Mattaniah, and Jeremoth, and Zabad, and Aziza.
EZR.10.28	And of the sons of Bebai: Jehohanan, Hananiah, Zabbai, Athlai.
EZR.10.29	And of the sons of Bani: Meshullam, Malluch, and Adaiah, Jashub, and Sheal, and Ramoth.
EZR.10.30	And of the sons of Pahath-Moab: Adna, and Chelal, Benaiah, Maaseiah, Mattaniah, Bezaleel, and Binnui, and Manasseh.
EZR.10.31	And of the sons of Harim: Eliezer, Ishijah, Malchiah, Shemaiah, Shimeon,
EZR.10.32	Benjamin, Malluch, Shemariah.
EZR.10.33	Of the sons of Hashum: Mattenai, Mattathah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.
EZR.10.34	Of the sons of Bani: Maadai, Amram, and Uel,
EZR.10.35	Benaiah, Bedeiah, Cheluhu,
EZR.10.36	Vaniah, Meremoth, Eliashib,
EZR.10.37	Mattaniah, Mattenai, and Jaasau,
EZR.10.38	and Bani, and Binnui, Shimei,
EZR.10.39	and Shelemiah, and Nathan, and Adaiah,
EZR.10.40	Machnadbai, Shashai, Sharai,
EZR.10.41	Azareel, and Shelemiah, Shemariah,
EZR.10.42	Shallum, Amariah, Joseph.
EZR.10.43	Of the sons of Nebo: Jeiel, Mattithiah, Zabad, Zebina, Jadau, and Joel, Benaiah;
EZR.10.44	all these have taken strange women, and there are of them women — who adopt sons.
NEH.1.1	Words of Nehemiah son of Hachaliah. And it cometh to pass, in the month of Chisleu, the twentieth year, and I have been in Shushan the palace,
NEH.1.2	and come in doth Hanani, one of my brethren, he and men of Judah, and I ask them concerning the Jews, the escaped part that have been left of the captivity, and concerning Jerusalem;
NEH.1.3	and they say to me, ‘Those left, who have been left of the captivity there in the province, [are] in great evil, and in reproach, and the wall of Jerusalem is broken down, and its gates have been burnt with fire.’
NEH.1.4	And it cometh to pass, at my hearing these words, I have sat down, and I weep and mourn [for] days, and I am fasting and praying before the God of the heavens.
NEH.1.5	And I say, ‘I beseech thee, O 
NEH.1.6	let Thine ear be, I pray Thee, attentive, and Thine eyes open, to hearken unto the prayer of Thy servant, that I am praying before Thee to-day, by day and by night, concerning the sons of Israel Thy servants, and confessing concerning the sins of the sons of Israel, that we have sinned against Thee; yea, I and the house of my father have sinned;
NEH.1.7	we have acted very corruptly against Thee, and have not kept the commands, and the statutes, and the judgments, that Thou didst command Moses Thy servant.
NEH.1.8	‘Remember, I pray Thee, the word that Thou didst command Moses Thy servant, saying, Ye — ye trespass — I scatter you among peoples;
NEH.1.9	and ye have turned back unto Me, and kept My commands, and done them — if your outcast is in the end of the heavens, thence I gather them, and have brought them in unto the place that I have chosen to cause My name to tabernacle there.
NEH.1.10	And they [are] Thy servants, and Thy people, whom Thou hast ransomed by Thy great power, and by Thy strong hand.
NEH.1.11	‘I beseech Thee, O Lord, let, I pray Thee, Thine ear be attentive unto the prayer of Thy servant, and unto the prayer of Thy servants, those delighting to fear Thy Name; and give prosperity, I pray Thee, to Thy servant to-day, and give him for mercies before this man;’ and I have been butler to the king.
NEH.2.1	And it cometh to pass, in the month of Nisan, the twentieth year of Artaxerxes the king, wine [is] before him, and I lift up the wine, and give to the king, and I had not been sad before him;
NEH.2.2	and the king saith to me, ‘Wherefore [is] thy face sad, and thou not sick? this is nothing except sadness of heart;’ and I fear very much,
NEH.2.3	and say to the king, ‘Let the king to the age live! wherefore should not my face be sad, when the city, the place of the graves of my fathers, [is] a waste, and its gates have been consumed with fire?’
NEH.2.4	And the king saith to me, ‘For what art thou seeking?’ and I pray unto the God of the heavens,
NEH.2.5	and say to the king, ‘If to the king [it be] good, and if thy servant be pleasing before thee, that thou send me unto Judah, unto the city of the graves of my fathers, and I built it.’
NEH.2.6	And the king saith to me (and the queen is sitting near him), ‘How long is thy journey? and when dost thou return?’ and it is good before the king, and he sendeth me away, and I set to him a time.
NEH.2.7	And I say to the king, ‘If to the king [it be] good, letters let be given to me for the governors beyond the River, that they let me pass over till that I come in unto Judah:
NEH.2.8	and a letter unto Asaph, keeper of the paradise that the king hath, that he give to me trees for beams [for] the gates of the palace that the house hath, and for the wall of the city, and for the house into which I enter;’ and the king giveth to me, according to the good hand of my God upon me.
NEH.2.9	And I come in unto the governors beyond the River, and give to them the letters of the king; and the king sendeth with me heads of a force, and horsemen;
NEH.2.10	and Sanballat the Horonite heareth, and Tobiah the servant, the Ammonite, and it is evil to them — a great evil — that a man hath come in to seek good for the sons of Israel.
NEH.2.11	And I come in unto Jerusalem, and I am there three days,
NEH.2.12	and I rise by night, I and a few men with me, and have not declared to a man what my God is giving unto my heart to do for Jerusalem, and there is no beast with me except the beast on which I am riding.
NEH.2.13	And I go out through the gate of the valley by night, and unto the front of the fountain of the dragon, and unto the gate of the dunghill, and I am measuring about the walls of Jerusalem, that are broken down, and its gates consumed with fire.
NEH.2.14	And I pass over unto the gate of the fountain, and unto the pool of the king, and there is no place for the beast under me to pass over,
NEH.2.15	and I am going up through the brook by night, and am measuring about the wall, and turn back, and come in through the gate of the valley, and turn back.
NEH.2.16	And the prefects have not known whither I have gone, and what I am doing; and to the Jews, and to the priests, and to the freemen, and to the prefects, and to the rest of those doing the work, hitherto I have not declared [it];
NEH.2.17	and I say unto them, ‘Ye are seeing the evil that we are in, in that Jerusalem [is] waste, and its gates have been burnt with fire; come and we build the wall of Jerusalem, and we are not any more a reproach.’
NEH.2.18	And I declare to them the hand of my God that is good upon me, and also the words of the king that he said to me, and they say, ‘Let us rise, and we have built;’ and they strengthen their hands for good.
NEH.2.19	And Sanballat the Horonite heareth, and Tobiah the servant, the Ammonite, and Geshem the Arabian, and they mock at us, and despise us, and say, ‘What [is] this thing that ye are doing? against the king are ye rebelling?’
NEH.2.20	And I return them word, and say to them, ‘The God of the heavens — He doth give prosperity to us, and we His servants rise and have built; and to you there is no portion, and right, and memorial in Jerusalem.’
NEH.3.1	And Eliashib the high priest riseth, and his brethren the priests, and they build the sheep-gate; they have sanctified it, and set up its doors, even unto the tower of Meah they have sanctified it, unto the tower of Hananeel;
NEH.3.2	and by his hand have men of Jericho built; and by their hand hath Zaccur son of Imri built;
NEH.3.3	and the fish-gate have sons of Hassenaah built, they have walled it, and set up its doors, its locks, and its bars.
NEH.3.4	And by their hand hath Merimoth son of Urijah, son of Koz, strengthened; and by his hand hath Meshullam son of Berechiah, son of Meshezabeel, strengthened; and by his hand hath Zadok son of Baana strengthened;
NEH.3.5	and by his hand have the Tekoites strengthened, and their honourable ones have not brought in their neck to the service of their Lord.
NEH.3.6	And the old gate have Jehoiada son of Paseah, and Meshullam son of Besodeiah, strengthened; they have walled it, and set up its doors, and its locks, and its bars.
NEH.3.7	And by their hand hath Melatiah the Gibeonite strengthened, and Jadon the Meronothite, men of Gibeon and of Mizpah, to the throne of the governor beyond the River.
NEH.3.8	By his hand hath Uzziel son of Harhaiah of the refiners strengthened; and by his hand hath Hananiah son of [one of] the compounders strengthened; and they leave Jerusalem unto the broad wall.
NEH.3.9	And by their hand hath Rephaiah son of Hur, head of the half of the district of Jerusalem, strengthened.
NEH.3.10	And by their hand hath Jedaiah son of Harumaph strengthened, and over-against his own house; and by his hand hath Hattush son of Hashabniah strengthened.
NEH.3.11	A second measure hath Malchijah son of Harim strengthened, and Hashub son of Pahath-Moab, even the tower of the furnaces.
NEH.3.12	And by his hand hath Shallum son of Halohesh, head of the half of the district of Jerusalem, strengthened, he and his daughters.
NEH.3.13	The gate of the valley hath Hanun strengthened, and the inhabitants of Zanoah; they have built it, and set up its doors, its locks, and its bars, and a thousand cubits in the wall unto the dung-gate.
NEH.3.14	And the dung-gate hath Malchijah son of Rechab, head of the district of Beth-Haccerem, strengthened; he doth built it, and set up its doors, its locks, and its bars.
NEH.3.15	And the gate of the fountain hath Shallum son of Col-Hozeh, head of the district of Mizpah, strengthened: he doth build it, and cover it, and set up its doors, its locks, and its bars, and the wall of the pool of Siloah, to the garden of the king, and unto the steps that are going down from the city of David.
NEH.3.16	After him hath Nehemiah son of Azbuk, head of the half of the district of Beth-Zur, strengthened, unto over-against the graves of David, and unto the pool that is made, and unto the house of the mighty ones.
NEH.3.17	After him have the Levites strengthened, [and] Rehum son of Bani: by his hand hath Hashabiah, head of the half of the district of Keilah, strengthened, for his district.
NEH.3.18	After him have their brethren strengthened, [and] Bavvai son of Henadad, head of the half of the district of Keilah.
NEH.3.19	And Ezer son of Jeshua, head of Mizpah, doth strengthen, by his hand, a second measure, from over-against the ascent of the armoury at the angle.
NEH.3.20	After him hath Baruch son of Zabbai hastened to strengthen a second measure from the angle unto the opening of the house of Eliashib the high priest.
NEH.3.21	After him hath Meremoth son of Urijah, son of Koz, strengthened, a second measure, from the opening of the house of Eliashib even unto the completion of the house of Eliashib.
NEH.3.22	And after him have the priests, men of the circuit, strengthened.
NEH.3.23	After them hath Benjamin strengthened, and Hashub, over-against their house; after him hath Azariah son of Maaseiah, son of Ananiah, strengthened, near his house.
NEH.3.24	After him hath Binnui son of Henadad strengthened, a second measure, from the house of Azariah unto the angle, and unto the corner.
NEH.3.25	Palal son of Uzai, from over-against the angle, and the tower that is going out from the upper house of the king that [is] at the court of the prison; after him Pedaiah son of Parosh.
NEH.3.26	And the Nethinim have been dwelling in Ophel, unto over-against the water-gate at the east, and the tower that goeth out.
NEH.3.27	After him have the Tekoites strengthened, a second measure, from over-against the great tower that goeth out, and unto the wall of Ophel.
NEH.3.28	From above the horse-gate have the priests strengthened, each over-against his house.
NEH.3.29	After them hath Zadok son of Immer strengthened, over against his house; and after him hath Shemaiah son of Shechaniah, keeper of the east gate, strengthened.
NEH.3.30	After him hath Hananiah son of Shelemiah strengthened, and Hanun the sixth son of Zalaph, a second measure; after him hath Meshullam son of Berechiah strengthened, overagainst his chamber.
NEH.3.31	After him hath Malchijah son of the refiner strengthened, unto the house of the Nethinim, and of the merchants, over-against the gate of the Miphkad, and unto the ascent of the corner.
NEH.3.32	And between the ascent of the corner and the sheep-gate, have the refiners and the merchants strengthened.
NEH.4.1	And it cometh to pass, when Sanballat hath heard that we are building the wall, that it is displeasing to him, and he is very angry and mocketh at the Jews,
NEH.4.2	and saith before his brethren and the force of Samaria, yea, he saith, ‘What [are] the weak Jews doing? are they left to themselves? do they sacrifice? do they complete in a day? do they revive the stones out of the heaps of the rubbish? — and they burnt!’
NEH.4.3	And Tobiah the Ammonite [is] by him and saith, ‘Also, that which they are building — if a fox doth go up, then it hath broken down their stone wall.’
NEH.4.4	Hear, O our God, for we have been despised; and turn back their reproach on their own head, and give them for a spoil in a land of captivity;
NEH.4.5	and do not cover over their iniquity, and their sin from before Thee let not be blotted out, for they have provoked to anger — over-against those building.
NEH.4.6	And we build the wall, and all the wall is joined — unto its half, and the people have a heart to work.
NEH.4.7	And it cometh to pass, when Sanballat hath heard, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodites, that lengthening hath gone up to the walls of Jerusalem, that the breeches have begun to be stopped, then it is very displeasing to them,
NEH.4.8	and they conspire, all of them together, to come in to fight against Jerusalem, and to do to it injury.
NEH.4.9	And we pray unto our God, and appoint a watch against them, by day and by night, because of them.
NEH.4.10	And Judah saith, ‘The power of the burden-bearers hath become feeble, and the rubbish [is] abundant, and we are not able to build on the wall.’
NEH.4.11	And our adversaries say, ‘They do not know, nor see, till that we come in to their midst, and have slain them, and caused the work to cease.’
NEH.4.12	And it cometh to pass, when the Jews have come who are dwelling near them, that they say to us ten times from all the places whither ye return — [they are] against us.
NEH.4.13	And I appoint at the lowest of the places, at the back of the wall, in the clear places, yea, I appoint the people, by their families, with their swords, their spears, and their bows.
NEH.4.14	And I see, and rise up, and say unto the freemen, and unto the prefects, and unto the rest of the people, ‘Be not afraid of them; the Lord, the great and the fearful, remember ye, and fight for your brethren, your sons, and your daughters, your wives, and your houses.’
NEH.4.15	And it cometh to pass, when our enemies have heard that it hath been known to us, and God doth frustrate their counsel, and we turn back, all of us, unto the wall, each unto his work;
NEH.4.16	yea, it cometh to pass, from that day, half of my servants are working in the business, and half of them are keeping hold of both the spears, the shields, and the bows, and the coats of mail; and the heads [are] behind all the house of Judah.
NEH.4.17	The builders on the wall, and the bearers of the burden, those lading, [each] with one of his hands is working in the business, and one is laying hold of the missile.
NEH.4.18	And the builders [are] each with his sword, girded on his loins, and building, and he who is blowing with a trumpet [is] beside me.
NEH.4.19	And I say unto the freemen, and unto the prefects, and unto the rest of the people, ‘The work is abundant, and large, and we are separated on the wall, far off one from another;
NEH.4.20	in the place that ye hear the voice of the trumpet thither ye are gathered unto us; our God doth fight for us.’
NEH.4.21	And we are working in the business, and half of them are keeping hold of the spears, from the going up of the dawn till the coming forth of the stars.
NEH.4.22	Also, at that time I said to the people, ‘Let each with his servant lodge in the midst of Jerusalem, and they have been to us by night a guard, and by day [for] the work:’
NEH.4.23	and there are none — I and my brethren and my servants, the men of the guard who [are] after me — there are none of us putting off our garments, each [hath] his vessel of water.
NEH.5.1	And there is a great cry of the people and their wives, concerning their brethren the Jews,
NEH.5.2	yea, there are who are saying, ‘Our sons, and our daughters, we — are many, and we receive corn, and eat, and live.’
NEH.5.3	And there are who are saying, ‘Our fields, and our vineyards, and our houses, we are pledging, and we receive corn for the famine.’
NEH.5.4	And there are who are saying, ‘We have borrowed money for the tribute of the king, [on] our fields, and our vineyards;
NEH.5.5	and now, as the flesh of our brethren [is] our flesh, as their sons [are] our sons, and lo, we are subduing our sons and our daughters for servants, and there are of our daughters subdued, and our hand hath no might, and our fields and our vineyards [are] to others.’
NEH.5.6	And it is very displeasing to me when I have heard their cry and these words,
NEH.5.7	and my heart reigneth over me, and I strive with the freemen, and with the prefects, and say to them, ‘Usury one upon another ye are exacting;’ and I set against them a great assembly,
NEH.5.8	and say to them, ‘We have acquired our brethren the Jews, those sold to the nations, according to the ability that [is] in us, and ye also sell your brethren, and they have been sold to us!’ and they are silent, and have not found a word.
NEH.5.9	And I say, ‘Not good [is] the thing that ye are doing; in the fear of our God do ye not walk, because of the reproach of the nations our enemies?
NEH.5.10	And also, I, my brethren, and my servants, are exacting of them silver and corn; let us leave off, I pray you, this usury.
NEH.5.11	Give back, I pray you, to them, as to-day, their fields, their vineyards, their oliveyards, and their houses, and the hundredth [part] of the money, and of the corn, of the new wine, and of the oil, that ye are exacting of them.’
NEH.5.12	And they say, ‘We give back, and of them we seek nothing; so we do as thou art saying.’ And I call the priests, and cause them to swear to do according to this thing;
NEH.5.13	also, my lap I have shaken, and I say, ‘Thus doth God shake out every man, who doth not perform this thing, from his house, and from his labour; yea, thus is he shaken out and empty;’ and all the assembly say, ‘Amen,’ and praise 
NEH.5.14	Also, from the day that he appointed me to be their governor in the land of Judah, from the twentieth year even unto the thirty and second year of Artaxerxes the king — twelve years — I, and my brethren, the bread of the governor have not eaten:
NEH.5.15	the former governors who [are] before me have made themselves heavy on the people, and take of them in bread and wine, besides in silver forty shekels; also, their servants have ruled over the people — and I have not done so, because of the fear of God.
NEH.5.16	And also, in the work of this wall I have done mightily, even a field we have not bought, and all my servants are gathered there for the work;
NEH.5.17	and of the Jews, and of the prefects, a hundred and fifty men, and those coming in unto us of the nations that [are] round about us, [are] at my table;
NEH.5.18	and that which hath been prepared for one day [is] one ox, six fat sheep, also fowls have been prepared for me, and once in ten days of all wines abundantly, and with this, the bread of the governor I have not sought, for heavy is the service on this people.
NEH.5.19	Remember for me, O my God, for good, all that I have done for this people.
NEH.6.1	And it cometh to pass, when it hath been heard by Sanballat, and Tobiah, and by Geshem the Arabian, and by the rest of our enemies, that I have builded the wall, and there hath not been left in it a breach, (also, till that time the doors Ihad not set up in the gates,)
NEH.6.2	that Sanballat sendeth, also Geshem, unto me, saying, ‘Come and we meet together in the villages, in the valley of Ono;’ and they are thinking to do to me evil.
NEH.6.3	And I send unto them messengers, saying, ‘A great work I am doing, and I am not able to come down; why doth the work cease when I let it alone, and have come down unto you?’
NEH.6.4	and they send unto me, according to this word, four times, and I return them [word] according to this word.
NEH.6.5	And Sanballat sendeth unto me, according to this word, a fifth time, his servant, and an open letter in his hand;
NEH.6.6	it is written in it, ‘Among the nations it hath been heard, and Gashmu is saying: Thou and the Jews are thinking to rebel, therefore thou art building the wall, and thou hast been to them for a king — according to these words!
NEH.6.7	And also, prophets thou hast appointed to call for thee in Jerusalem, saying, A king [is] in Judah, and now it is heard by the king according to these words; and now come, and we take counsel together.’
NEH.6.8	And I send unto him, saying, ‘It hath not been according to these words that thou art saying, for from thine own heart thou art devising them;’
NEH.6.9	for all of them are making us afraid, saying, ‘Their hands are too feeble for the work, and it is not done;’ and now, strengthen Thou my hands.
NEH.6.10	And I have entered the house of Shemaiah son of Delaiah, son of Mehetabeel — and he is restrained — and he saith, ‘Let us meet at the house of God, at the inside of the temple, and we shut the doors of the temple, for they are coming in to slay thee — yea, by night they are coming in to slay thee.’
NEH.6.11	And I say, ‘A man such as I — doth he flee? and who as I, that doth go in unto the temple, and live? — I do not go in.’
NEH.6.12	And I discern, and lo, God hath not sent him, for in the prophecy he hath spoken unto me both Tobiah and Sanballat hired him,
NEH.6.13	so that he [is] an hireling, that I may fear and do so, and I had sinned, and it had been to them for an evil name that they may reproach me.
NEH.6.14	Be mindful, O my God, of Tobiah, and of Sanballat, according to these his works, and also, of Noadiah the prophetess, and of the rest of the prophets who have been making me afraid.
NEH.6.15	And the wall is completed in the twenty and fifth of Elul, on the fifty and second day;
NEH.6.16	and it cometh to pass, when all our enemies have heard, and all the nations who are round about us see, that they fall greatly in their own eyes, and know that by our God hath this work been done.
NEH.6.17	Also, in those days the freemen of Judah are multiplying their letters going unto Tobiah, and those of Tobiah are coming in unto them;
NEH.6.18	for many in Judah are sworn to him, for he [is] son-in-law to Shechaniah son of Arah, and Jehohanan his son hath taken the daughter of Meshullam son of Berechiah;
NEH.6.19	also, his good deeds they have been saying before me, and my words they have been taking out to him; letters hath Tobiah sent to make me afraid.
NEH.7.1	And it cometh to pass, when the wall hath been built, that I set up the doors, and the gatekeepers are appointed, and the singers, and the Levites,
NEH.7.2	and I charge Hanani my brother, and Hananiah head of the palace, concerning Jerusalem — for he [is] as a man of truth, and fearing God above many —
NEH.7.3	and I say to them, ‘Let not the gates of Jerusalem be opened till the heat of the sun, and while they are standing by let them shut the doors, and fasten, and appoint guards of the inhabitants of Jerusalem, each in his guard, and each over-against his house.’
NEH.7.4	And the city [is] broad on both sides, and great, and the people [are] few in its midst, and there are no houses builded;
NEH.7.5	and my God putteth it unto my heart, and I gather the freeman, and the prefects, and the people, for the genealogy, and I find a book of the genealogy of those coming up at the beginning, and I find written in it: —
NEH.7.6	These [are] sons of the province, those coming up of the captives of the removal that Nebuchadnezzar king of Babylon removed — and they turn back to Jerusalem and to Judah, each to his city —
NEH.7.7	who are coming in with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. Number of the men of the people of Israel:
NEH.7.8	Sons of Parosh: two thousand a hundred and seventy and two.
NEH.7.9	Sons of Shephatiah: three hundred seventy and two.
NEH.7.10	Sons of Arah: six hundred fifty and two.
NEH.7.11	Sons of Pahath-Moab, of the sons of Jeshua and Joab: two thousand and eight hundred [and] eighteen.
NEH.7.12	Sons of Elam: a thousand two hundred fifty and four.
NEH.7.13	Sons of Zattu: eight hundred forty and five.
NEH.7.14	Sons of Zaccai: seven hundred and sixty.
NEH.7.15	Sons of Binnui: six hundred forty and eight.
NEH.7.16	Sons of Bebai: six hundred twenty and eight.
NEH.7.17	Sons of Azgad: two thousand three hundred twenty and two.
NEH.7.18	Sons of Adonikam: six hundred sixty and seven.
NEH.7.19	Sons of Bigvai: two thousand sixty and seven.
NEH.7.20	Sons of Adin: six hundred fifty and five.
NEH.7.21	Sons of Ater of Hezekiah: ninety and eight.
NEH.7.22	Sons of Hashum: three hundred twenty and eight.
NEH.7.23	Sons of Bezai: three hundred twenty and four.
NEH.7.24	Sons of Hariph: a hundred [and] twelve.
NEH.7.25	Sons of Gibeon: ninety and five.
NEH.7.26	Men of Beth-Lehem and Netophah: a hundred eighty and eight.
NEH.7.27	Men of Anathoth: a hundred twenty and eight.
NEH.7.28	Men of Beth-Azmaveth: forty and two.
NEH.7.29	Men of Kirjath-Jearim, Chephirah, and Beeroth: seven hundred forty and three.
NEH.7.30	Men of Ramah and Gaba: six hundred twenty and one.
NEH.7.31	Men of Michmas: a hundred and twenty and two.
NEH.7.32	Men of Bethel and Ai: a hundred twenty and three.
NEH.7.33	Men of the other Nebo: fifty and two.
NEH.7.34	Sons of the other Elam: a thousand two hundred fifty and four.
NEH.7.35	Sons of Harim: three hundred and twenty.
NEH.7.36	Sons of Jericho: three hundred forty and five.
NEH.7.37	Sons of Lod, Hadid, and Ono: seven hundred and twenty and one.
NEH.7.38	Sons of Senaah: three thousand nine hundred and thirty.
NEH.7.39	The priests: sons of Jedaiah: of the house of Jeshua: nine hundred seventy and three;
NEH.7.40	sons of Immer: a thousand fifty and two;
NEH.7.41	sons of Pashur: a thousand two hundred forty and seven;
NEH.7.42	sons of Harim: a thousand and seventeen.
NEH.7.43	The Levites: sons of Jeshua, of Kadmiel: of sons of Hodevah: seventy and four.
NEH.7.44	The singers: sons of Asaph: a hundred forty and eight.
NEH.7.45	The gatekeepers: sons of Shallum, sons of Ater, sons of Talmon, sons of Akkub, sons of Hatita, sons of Shobai: a hundred thirty and eight.
NEH.7.46	The Nethinim: sons of Ziha, sons of Hasupha, sons of Tabbaoth,
NEH.7.47	sons of Keros, sons of Sia, sons of Padon,
NEH.7.48	sons of Lebanah, sons of Hagaba, sons of Shalmai,
NEH.7.49	sons of Hanan, sons of Giddel, sons of Gahar,
NEH.7.50	sons of Reaiah, sons of Rezin, sons of Nekoda,
NEH.7.51	sons of Gazzam, sons of Uzza, sons of Phaseah,
NEH.7.52	sons of Bezai, sons of Meunim, sons of Nephishesim,
NEH.7.53	sons of Bakbuk, sons of Hakupha, sons of Harhur,
NEH.7.54	sons of Bazlith, sons of Mehida, sons of Harsha,
NEH.7.55	sons of Barkos, sons of Sisera, sons of Tamah,
NEH.7.56	sons of Neziah, sons of Hatipha.
NEH.7.57	Sons of the servants of Solomon: sons of Sotai, sons of Sophereth, sons of Perida,
NEH.7.58	sons of Jaala, sons of Darkon, sons of Giddel,
NEH.7.59	sons of Shephatiah, sons of Hattil, sons of Pochereth of Zebaim, sons of Amon.
NEH.7.60	All the Nethinim and the sons of the servants of Solomon [are] three hundred ninety and two.
NEH.7.61	And these [are] those coming up from Tel-Melah, Tel-Harsha, Cherub, Addon, and Immer — and they have not been able to declare the house of their fathers, and their seed, whether they [are] of Israel —
NEH.7.62	sons of Delaiah, sons of Tobiah, sons of Nekoda, six hundred forty and two.
