GEN.1.1	In the beginning God created the sky and the earth. 
PRO.19.15	Lazy people sleep a lot,
PRO.19.15	and idle people will go hungry.
PRO.19.16	Those who obey the commands protect themselves,
PRO.19.16	but those who are careless will die.
PRO.19.17	Being kind to the poor is like lending to the L
PRO.19.17	he will reward you for what you have done.
PRO.19.18	Correct your children while there is still hope;
PRO.19.18	do not let them destroy themselves.
PRO.19.19	People with quick tempers will have to pay for it.
PRO.19.19	If you help them out once, you will have to do it again.
PRO.19.20	Listen to advice and accept correction,
PRO.19.20	and in the end you will be wise.
PRO.19.21	People can make all kinds of plans,
PRO.19.21	but only the L
PRO.19.22	People want others to be loyal,
PRO.19.22	so it is better to be poor than to be a liar.
PRO.19.23	Those who respect the L
PRO.19.23	and be satisfied, unbothered by trouble.
PRO.19.24	Though the lazy person puts his hand in the dish,
PRO.19.24	he won’t lift the food to his mouth.
PRO.19.25	Whip those who make fun of wisdom, and perhaps foolish people will gain some wisdom.
PRO.19.25	Correct those with understanding, and they will gain knowledge.
PRO.19.26	A child who robs his father and sends away his mother
PRO.19.26	brings shame and disgrace on himself.
PRO.19.27	Don’t stop listening to correction, my child,
PRO.19.27	or you will forget what you have already learned.
PRO.19.28	An evil witness makes fun of fairness,
PRO.19.28	and wicked people love what is evil.
PRO.19.29	People who make fun of wisdom will be punished,
PRO.19.29	and the backs of foolish people will be beaten.
PRO.20.1	Wine and beer make people loud and uncontrolled;
PRO.20.1	it is not wise to get drunk on them.
PRO.20.2	An angry king is like a roaring lion.
PRO.20.2	Making him angry may cost you your life.
PRO.20.3	Foolish people are always fighting,
PRO.20.3	but avoiding quarrels will bring you honor.
PRO.20.4	Lazy farmers don’t plow when they should;
PRO.20.4	they expect a harvest, but there is none.
PRO.20.5	People’s thoughts can be like a deep well,
PRO.20.5	but someone with understanding can find the wisdom there.
PRO.20.6	Many people claim to be loyal,
PRO.20.6	but it is hard to find a trustworthy person.
PRO.20.7	The good people who live honest lives
PRO.20.7	will be a blessing to their children.
PRO.20.8	When a king sits on his throne to judge,
PRO.20.8	he knows evil when he sees it.
PRO.20.9	No one can say, “I am innocent;
PRO.20.9	I have never done anything wrong.”
PRO.20.10	The L
PRO.20.10	dishonest weights and dishonest measures.
PRO.20.11	Even children are known by their behavior;
PRO.20.11	their actions show if they are innocent and good.
PRO.20.12	The L
PRO.20.12	ears to hear and eyes to see.
PRO.20.13	If you love to sleep, you will be poor.
PRO.20.13	If you stay awake, you will have plenty of food.
PRO.20.14	Buyers say, “This is bad. It’s no good.”
PRO.20.14	Then they go away and brag about what they bought.
PRO.20.15	There is gold and plenty of rubies,
PRO.20.15	but only a few people speak with knowledge.
PRO.20.16	Take the coat of someone who promises to pay a stranger’s debts,
PRO.20.16	and keep it until he pays what the stranger owes.
PRO.20.17	Stolen food may taste sweet at first,
PRO.20.17	but later it will feel like a mouth full of gravel.
PRO.20.18	Get advice if you want your plans to work.
PRO.20.18	If you go to war, get the advice of others.
PRO.20.19	Gossips can’t keep secrets,
PRO.20.19	so avoid people who talk too much.
PRO.20.20	Those who curse their father or mother
PRO.20.20	will be like a light going out in darkness.
PRO.20.21	Wealth inherited quickly in the beginning
PRO.20.21	will do you no good in the end.
PRO.20.22	Don’t say, “I’ll pay you back for the wrong you did.”
PRO.20.22	Wait for the L
PRO.20.23	The L
PRO.20.23	and dishonest scales do not please him.
PRO.20.24	The L
PRO.20.24	no one understands what his life is all about.
PRO.20.25	It’s dangerous to promise something to God too quickly.
PRO.20.25	After you’ve thought about it, it may be too late.
PRO.20.26	A wise king sorts out the evil people,
PRO.20.26	and he punishes them as they deserve.
PRO.20.27	The L
PRO.20.27	and searches through their thoughts.
PRO.20.28	Loyalty and truth keep a king in power;
PRO.20.28	he continues to rule if he is loyal.
PRO.20.29	The young glory in their strength,
PRO.20.29	and the old are honored for their gray hair.
PRO.20.30	Hard punishment will get rid of evil,
PRO.20.30	and whippings can change an evil heart.
PRO.21.1	The L
PRO.21.1	he can direct it as he pleases.
PRO.21.2	You may believe you are doing right,
PRO.21.2	but the L
PRO.21.3	Doing what is right and fair
PRO.21.3	is more important to the L
PRO.21.4	Proud looks, proud thoughts,
PRO.21.4	and evil actions are sin.
PRO.21.5	The plans of hard-working people earn a profit,
PRO.21.5	but those who act too quickly become poor.
PRO.21.6	Wealth that comes from telling lies
PRO.21.6	vanishes like a mist and leads to death.
PRO.21.7	The violence of the wicked will destroy them,
PRO.21.7	because they refuse to do what is right.
PRO.21.8	Guilty people live dishonest lives,
PRO.21.8	but honest people do right.
PRO.21.9	It is better to live in a corner on the roof
PRO.21.9	than inside the house with a quarreling wife.
PRO.21.10	Evil people only want to harm others.
PRO.21.10	Their neighbors get no mercy from them.
PRO.21.11	If you punish those who make fun of wisdom, a foolish person may gain some wisdom.
PRO.21.11	But if you teach the wise, they will get knowledge.
PRO.21.12	God, who is always right, watches the house of the wicked
PRO.21.12	and brings ruin on every evil person.
PRO.21.13	Whoever ignores the poor when they cry for help
PRO.21.13	will also cry for help and not be answered.
PRO.21.14	A secret gift will calm an angry person;
PRO.21.14	a present given in secrecy will quiet great anger.
PRO.21.15	When justice is done, good people are happy,
PRO.21.15	but evil people are ruined.
PRO.21.16	Whoever does not use good sense
PRO.21.16	will end up among the dead.
PRO.21.17	Whoever loves pleasure will become poor;
PRO.21.17	whoever loves wine and perfume will never be rich.
PRO.21.18	Wicked people will suffer instead of good people,
PRO.21.18	and those who cannot be trusted will suffer instead of those who do right.
PRO.21.19	It is better to live alone in the desert
PRO.21.19	than with a quarreling and complaining wife.
PRO.21.20	Wise people’s houses are full of the best foods and olive oil,
PRO.21.20	but fools waste everything they have.
PRO.21.21	Whoever tries to live right and be loyal
PRO.21.21	finds life, success, and honor.
PRO.21.22	A wise person can defeat a city full of warriors
PRO.21.22	and tear down the defenses they trust in.
PRO.21.23	Those who are careful about what they say
PRO.21.23	keep themselves out of trouble.
PRO.21.24	People who act with stubborn pride
PRO.21.24	are called “proud,” “bragger,” and “mocker.”
PRO.21.25	Lazy people’s desire for sleep will kill them,
PRO.21.25	because they refuse to work.
PRO.21.26	All day long they wish for more,
PRO.21.26	but good people give without holding back.
PRO.21.27	The L
PRO.21.27	particularly when they offer them for the wrong reasons.
PRO.21.28	A lying witness will be forgotten,
PRO.21.28	but a truthful witness will speak on.
PRO.21.29	Wicked people are stubborn,
PRO.21.29	but good people think carefully about what they do.
PRO.21.30	There is no wisdom, understanding, or advice
PRO.21.30	that can succeed against the L
PRO.21.31	You can get the horses ready for battle,
PRO.21.31	but it is the L
PRO.22.1	Being respected is more important than having great riches.
PRO.22.1	To be well thought of is better than silver or gold.
PRO.22.2	The rich and the poor are alike
PRO.22.2	in that the L
PRO.22.3	The wise see danger ahead and avoid it,
PRO.22.3	but fools keep going and get into trouble.
PRO.22.4	Respecting the L
PRO.22.4	will bring you wealth, honor, and life.
PRO.22.5	Evil people’s lives are like paths covered with thorns and traps.
PRO.22.5	People who guard themselves don’t have such problems.
PRO.22.6	Train children to live the right way,
PRO.22.6	and when they are old, they will not stray from it.
PRO.22.7	The rich rule over the poor,
PRO.22.7	and borrowers are servants to lenders.
PRO.22.8	Those who plan evil will receive trouble.
PRO.22.8	Their cruel anger will come to an end.
PRO.22.9	Generous people will be blessed,
PRO.22.9	because they share their food with the poor.
PRO.22.10	Get rid of the one who makes fun of wisdom.
PRO.22.10	Then fighting, quarrels, and insults will stop.
PRO.22.11	Whoever loves pure thoughts and kind words
PRO.22.11	will have even the king as a friend.
PRO.22.12	The L
PRO.22.12	but he destroys false words.
PRO.22.13	The lazy person says, “There’s a lion outside!
PRO.22.13	I might get killed out in the street!”
PRO.22.14	The words of an unfaithful wife are like a deep trap.
PRO.22.14	Those who make the L
PRO.22.15	Every child is full of foolishness,
PRO.22.15	but punishment can get rid of it.
PRO.22.16	Whoever gets rich by mistreating the poor,
PRO.22.16	and gives presents to the wealthy, will become poor.
PRO.22.17	Listen carefully to what wise people say;
PRO.22.17	pay attention to what I am teaching you.
PRO.22.18	It will be good to keep these things in mind
PRO.22.18	so that you are ready to repeat them.
PRO.22.19	I am teaching them to you now
PRO.22.19	so that you will put your trust in the L
PRO.22.20	I have written thirty sayings for you,
PRO.22.20	which give knowledge and good advice.
PRO.22.21	I am teaching you true and reliable words
PRO.22.21	so that you can give true answers to anyone who asks.
PRO.22.22	Do not abuse poor people because they are poor,
PRO.22.22	and do not take away the rights of the needy in court.
PRO.22.23	The L
PRO.22.23	and will take the life of those who take away their rights.
PRO.22.24	Don’t make friends with quick-tempered people
PRO.22.24	or spend time with those who have bad tempers.
PRO.22.25	If you do, you will be like them.
PRO.22.25	Then you will be in real danger.
PRO.22.26	Don’t promise to pay what someone else owes,
PRO.22.26	and don’t guarantee anyone’s loan.
PRO.22.27	If you cannot pay the loan,
PRO.22.27	your own bed may be taken right out from under you.
PRO.22.28	Don’t move an old stone that marks a border,
PRO.22.28	because those stones were set up by your ancestors.
PRO.22.29	Do you see people skilled in their work?
PRO.22.29	They will work for kings, not for ordinary people.
PRO.23.1	If you sit down to eat with a ruler,
PRO.23.1	notice the food that is in front of you.
PRO.23.2	Control yourself
PRO.23.2	if you have a big appetite.
PRO.23.3	Don’t be greedy for his fine foods,
PRO.23.3	because that food might be a trick.
PRO.23.4	Don’t wear yourself out trying to get rich;
PRO.23.4	be wise enough to control yourself.
PRO.23.5	Wealth can vanish in the wink of an eye.
PRO.23.5	It can seem to grow wings
PRO.23.5	and fly away like an eagle.
PRO.23.6	Don’t eat the food of selfish people;
PRO.23.6	don’t be greedy for their fine foods.
PRO.23.7	Selfish people are always worrying
PRO.23.7	about how much the food costs.
PRO.23.7	They tell you, “Eat and drink,”
PRO.23.7	but they don’t really mean it.
PRO.23.8	You will throw up the little you have eaten,
PRO.23.8	and you will have wasted your kind words.
PRO.23.9	Don’t speak to fools;
PRO.23.9	they will only ignore your wise words.
PRO.23.10	Don’t move an old stone that marks a border,
PRO.23.10	and don’t take fields that belong to orphans.
PRO.23.11	God, their defender, is strong;
PRO.23.11	he will take their side against you.
PRO.23.12	Remember what you are taught,
PRO.23.12	and listen carefully to words of knowledge.
PRO.23.13	Don’t fail to punish children.
PRO.23.13	If you spank them, they won’t die.
PRO.23.14	If you spank them,
PRO.23.14	you will save them from death.
PRO.23.15	My child, if you are wise,
PRO.23.15	then I will be happy.
PRO.23.16	I will be so pleased
PRO.23.16	if you speak what is right.
PRO.23.17	Don’t envy sinners,
PRO.23.17	but always respect the L
PRO.23.18	Then you will have hope for the future,
PRO.23.18	and your wishes will come true.
PRO.23.19	Listen, my child, and be wise.
PRO.23.19	Keep your mind on what is right.
PRO.23.20	Don’t drink too much wine
PRO.23.20	or eat too much food.
PRO.23.21	Those who drink and eat too much become poor.
PRO.23.21	They sleep too much and end up wearing rags.
PRO.23.22	Listen to your father, who gave you life,
PRO.23.22	and do not forget your mother when she is old.
PRO.23.23	Learn the truth and never reject it.
PRO.23.23	Get wisdom, self-control, and understanding.
PRO.23.24	The father of a good child is very happy;
PRO.23.24	parents who have wise children are glad because of them.
PRO.23.25	Make your father and mother happy;
PRO.23.25	give your mother a reason to be glad.
PRO.23.26	My son, pay attention to me,
PRO.23.26	and watch closely what I do.
PRO.23.27	A prostitute is as dangerous as a deep pit,
PRO.23.27	and an unfaithful wife is like a narrow well.
PRO.23.28	They ambush you like robbers
PRO.23.28	and cause many men to be unfaithful to their wives.
PRO.23.29	Who has trouble? Who has pain?
PRO.23.29	Who fights? Who complains?
PRO.23.29	Who has unnecessary bruises?
PRO.23.29	Who has bloodshot eyes?
PRO.23.30	It is people who drink too much wine,
PRO.23.30	who try out all different kinds of strong drinks.
PRO.23.31	Don’t stare at the wine when it is red,
PRO.23.31	when it sparkles in the cup,
PRO.23.31	when it goes down smoothly.
PRO.23.32	Later it bites like a snake
PRO.23.32	with poison in its fangs.
PRO.23.33	Your eyes will see strange sights,
PRO.23.33	and your mind will be confused.
PRO.23.34	You will feel dizzy as if you’re in a storm on the ocean,
PRO.23.34	as if you’re on top of a ship’s sails.
PRO.23.35	You will think, “They hit me, but I’m not hurt.
PRO.23.35	They beat me up, but I don’t remember it.
PRO.23.35	I wish I could wake up.
PRO.23.35	Then I would get another drink.”
PRO.24.1	Don’t envy evil people
PRO.24.1	or try to be friends with them.
PRO.24.2	Their minds are always planning violence,
PRO.24.2	and they always talk about making trouble.
PRO.24.3	It takes wisdom to have a good family,
PRO.24.3	and it takes understanding to make it strong.
PRO.24.4	It takes knowledge to fill a home
PRO.24.4	with rare and beautiful treasures.
PRO.24.5	Wise people have great power,
PRO.24.5	and those with knowledge have great strength.
PRO.24.6	So you need advice when you go to war.
PRO.24.6	If you have lots of good advice, you will win.
PRO.24.7	Foolish people cannot understand wisdom.
PRO.24.7	They have nothing to say in a discussion.
PRO.24.8	Whoever makes evil plans
PRO.24.8	will be known as a troublemaker.
PRO.24.9	Making foolish plans is sinful,
PRO.24.9	and making fun of wisdom is hateful.
PRO.24.10	If you give up when trouble comes,
PRO.24.10	it shows that you are weak.
PRO.24.11	Save those who are being led to their death;
PRO.24.11	rescue those who are about to be killed.
PRO.24.12	If you say, “We don’t know anything about this,”
PRO.24.12	God, who knows what’s in your mind, will notice.
PRO.24.12	He is watching you, and he will know.
PRO.24.12	He will reward each person for what he has done.
PRO.24.13	My child, eat honey because it is good.
PRO.24.13	Honey from the honeycomb tastes sweet.
PRO.24.14	In the same way, wisdom is pleasing to you.
PRO.24.14	If you find it, you have hope for the future,
PRO.24.14	and your wishes will come true.
PRO.24.15	Don’t be wicked and attack a good family’s house;
PRO.24.15	don’t rob the place where they live.
PRO.24.16	Even though good people may be bothered by trouble seven times, they are never defeated,
PRO.24.16	but the wicked are overwhelmed by trouble.
PRO.24.17	Don’t be happy when your enemy is defeated;
PRO.24.17	don’t be glad when he is overwhelmed.
PRO.24.18	The L
PRO.24.18	He may not be angry with them anymore.
PRO.24.19	Don’t envy evil people,
PRO.24.19	and don’t be jealous of the wicked.
PRO.24.20	An evil person has nothing to hope for;
PRO.24.20	the wicked will die like a flame that is put out.
PRO.24.21	My child, respect the L
PRO.24.21	Don’t join those people who refuse to obey them.
PRO.24.22	The L
PRO.24.22	Those two can cause great disaster!
PRO.24.23	These are also sayings of the wise:
PRO.24.23	It is not good to take sides when you are the judge.
PRO.24.24	Don’t tell the wicked that they are innocent;
PRO.24.24	people will curse you, and nations will hate you.
PRO.24.25	But things will go well if you punish the guilty,
PRO.24.25	and you will receive rich blessings.
PRO.24.26	An honest answer is as pleasing
PRO.24.26	as a kiss on the lips.
PRO.24.27	First, finish your outside work
PRO.24.27	and prepare your fields.
PRO.24.27	After that, you can build your house.
PRO.24.28	Don’t testify against your neighbor for no good reason.
PRO.24.28	Don’t say things that are false.
PRO.24.29	Don’t say, “I’ll get even;
PRO.24.29	I’ll do to him what he did to me.”
PRO.24.30	I passed by a lazy person’s field
PRO.24.30	and by the vineyard of someone with no sense.
PRO.24.31	Thorns had grown up everywhere.
PRO.24.31	The ground was covered with weeds,
PRO.24.31	and the stone walls had fallen down.
PRO.24.32	I thought about what I had seen;
PRO.24.32	I learned this lesson from what I saw.
PRO.24.33	You sleep a little; you take a nap.
PRO.24.33	You fold your hands and lie down to rest.
PRO.24.34	Soon you will be as poor as if you had been robbed;
PRO.24.34	you will have as little as if you had been held up.
PRO.25.1	These are more wise sayings of Solomon, copied by the men of Hezekiah king of Judah.
PRO.25.2	God is honored for what he keeps secret.
PRO.25.2	Kings are honored for what they can discover.
PRO.25.3	No one can measure the height of the skies or the depth of the earth.
PRO.25.3	So also no one can understand the mind of a king.
PRO.25.4	Remove the scum from the silver,
PRO.25.4	so the silver can be used by the silversmith.
PRO.25.5	Remove wicked people from the king’s presence;
PRO.25.5	then his government will be honest and last a long time.
PRO.25.6	Don’t brag to the king
PRO.25.6	and act as if you are great.
PRO.25.7	It is better for him to give you a higher position
PRO.25.7	than to bring you down in front of the prince.
PRO.25.7	Because of something you have seen,
PRO.25.8	do not quickly take someone to court.
PRO.25.8	What will you do later
PRO.25.8	when your neighbor proves you wrong?
PRO.25.9	If you have an argument with your neighbor,
PRO.25.9	don’t tell other people what was said.
PRO.25.10	Whoever hears it might shame you,
PRO.25.10	and you might not ever be respected again.
PRO.25.11	The right word spoken at the right time
PRO.25.11	is as beautiful as gold apples in a silver bowl.
PRO.25.12	A wise warning to someone who will listen
PRO.25.12	is as valuable as gold earrings or fine gold jewelry.
PRO.25.13	Trustworthy messengers refresh those who send them,
PRO.25.13	like the coolness of snow in the summertime.
PRO.25.14	People who brag about gifts they never give
PRO.25.14	are like clouds and wind that give no rain.
PRO.25.15	With patience you can convince a ruler,
PRO.25.15	and a gentle word can get through to the hard-headed.
PRO.25.16	If you find honey, don’t eat too much,
PRO.25.16	or it will make you throw up.
PRO.25.17	Don’t go to your neighbor’s house too often;
PRO.25.17	too much of you will make him hate you.
PRO.25.18	When you lie about your neighbors,
PRO.25.18	it hurts them as much as a club, a sword, or a sharp arrow.
PRO.25.19	Trusting unfaithful people when you are in trouble
PRO.25.19	is like eating with a broken tooth or walking with a crippled foot.
PRO.25.20	Singing songs to someone who is sad
PRO.25.20	is like taking away his coat on a cold day
PRO.25.20	or pouring vinegar on soda.
PRO.25.21	If your enemy is hungry, feed him.
PRO.25.21	If he is thirsty, give him a drink.
PRO.25.22	Doing this will be like pouring burning coals on his head,
PRO.25.22	and the L
PRO.25.23	As the north wind brings rain,
PRO.25.23	telling gossip brings angry looks.
PRO.25.24	It is better to live in a corner on the roof
PRO.25.24	than inside the house with a quarreling wife.
PRO.25.25	Good news from a faraway place
PRO.25.25	is like a cool drink when you are tired.
PRO.25.26	A good person who gives in to evil
PRO.25.26	is like a muddy spring or a dirty well.
PRO.25.27	It is not good to eat too much honey,
PRO.25.27	nor does it bring you honor to brag about yourself.
PRO.25.28	Those who do not control themselves
PRO.25.28	are like a city whose walls are broken down.
PRO.26.1	It shouldn’t snow in summer or rain at harvest.
PRO.26.1	Neither should a foolish person ever be honored.
PRO.26.2	Curses will not harm someone who is innocent;
PRO.26.2	they are like sparrows or swallows that fly around and never land.
PRO.26.3	Whips are for horses, and harnesses are for donkeys,
PRO.26.3	so paddles are good for fools.
PRO.26.4	Don’t answer fools when they speak foolishly,
PRO.26.4	or you will be just like them.
PRO.26.5	Answer fools when they speak foolishly,
PRO.26.5	or they will think they are really wise.
PRO.26.6	Sending a message by a foolish person
PRO.26.6	is like cutting off your feet or drinking poison.
PRO.26.7	A wise saying spoken by a fool
PRO.26.7	is as useless as the legs of a crippled person.
PRO.26.8	Giving honor to a foolish person
PRO.26.8	is like tying a stone in a slingshot.
PRO.26.9	A wise saying spoken by a fool
PRO.26.9	is like a thorn stuck in the hand of a drunk.
PRO.26.10	Hiring a foolish person or anyone just passing by
PRO.26.10	is like an archer shooting at just anything.
PRO.26.11	A fool who repeats his foolishness
PRO.26.11	is like a dog that goes back to what it has thrown up.
PRO.26.12	There is more hope for a foolish person
PRO.26.12	than for those who think they are wise.
PRO.26.13	The lazy person says, “There’s a lion in the road!
PRO.26.13	There’s a lion in the streets!”
PRO.26.14	Like a door turning back and forth on its hinges,
PRO.26.14	the lazy person turns over and over in bed.
PRO.26.15	Lazy people may put their hands in the dish,
PRO.26.15	but they are too tired to lift the food to their mouths.
PRO.26.16	The lazy person thinks he is wiser
PRO.26.16	than seven people who give sensible answers.
PRO.26.17	Interfering in someone else’s quarrel as you pass by
PRO.26.17	is like grabbing a dog by the ears.
PRO.26.18	Like a madman shooting
PRO.26.18	deadly, burning arrows
PRO.26.19	is the one who tricks a neighbor
PRO.26.19	and then says, “I was just joking.”
PRO.26.20	Without wood, a fire will go out,
PRO.26.20	and without gossip, quarreling will stop.
PRO.26.21	Just as charcoal and wood keep a fire going,
PRO.26.21	a quarrelsome person keeps an argument going.
PRO.26.22	The words of a gossip are like tasty bits of food;
PRO.26.22	people like to gobble them up.
PRO.26.23	Kind words from a wicked mind
PRO.26.23	are like a shiny coating on a clay pot.
PRO.26.24	Those who hate you may try to fool you with their words,
PRO.26.24	but in their minds they are planning evil.
PRO.26.25	People’s words may be kind, but don’t believe them,
PRO.26.25	because their minds are full of evil thoughts.
PRO.26.26	Lies can hide hate,
PRO.26.26	but the evil will be plain to everyone.
PRO.26.27	Whoever digs a pit for others will fall into it.
PRO.26.27	Whoever tries to roll a boulder down on others will be crushed by it.
PRO.26.28	Liars hate the people they hurt,
PRO.26.28	and false praise can ruin others.
PRO.27.1	Don’t brag about tomorrow;
PRO.27.1	you don’t know what may happen then.
PRO.27.2	Don’t praise yourself. Let someone else do it.
PRO.27.2	Let the praise come from a stranger and not from your own mouth.
PRO.27.3	Stone is heavy, and sand is weighty,
PRO.27.3	but a complaining fool is worse than either.
PRO.27.4	Anger is cruel and destroys like a flood,
PRO.27.4	but no one can put up with jealousy!
PRO.27.5	It is better to correct someone openly
PRO.27.5	than to have love and not show it.
PRO.27.6	The slap of a friend can be trusted to help you,
PRO.27.6	but the kisses of an enemy are nothing but lies.
PRO.27.7	When you are full, not even honey tastes good,
PRO.27.7	but when you are hungry, even something bitter tastes sweet.
PRO.27.8	A person who leaves his home
PRO.27.8	is like a bird that leaves its nest.
PRO.27.9	The sweet smell of perfume and oils is pleasant,
PRO.27.9	and so is good advice from a friend.
PRO.27.10	Don’t forget your friend or your parent’s friend.
PRO.27.10	Don’t always go to your family for help when trouble comes.
PRO.27.10	A neighbor close by is better than a family far away.
PRO.27.11	Be wise, my child, and make me happy.
PRO.27.11	Then I can respond to any insult.
PRO.27.12	The wise see danger ahead and avoid it,
PRO.27.12	but fools keep going and get into trouble.
PRO.27.13	Take the coat of someone who promises to pay a stranger’s loan,
PRO.27.13	and keep it until he pays what the stranger owes.
PRO.27.14	If you loudly greet your neighbor early in the morning,
PRO.27.14	he will think of it as a curse.
PRO.27.15	A quarreling wife is as bothersome
PRO.27.15	as a continual dripping on a rainy day.
PRO.27.16	Stopping her is like stopping the wind
PRO.27.16	or trying to grab oil in your hand.
PRO.27.17	As iron sharpens iron,
PRO.27.17	so people can improve each other.
PRO.27.18	Whoever tends a fig tree gets to eat its fruit,
PRO.27.18	and whoever takes care of his master will receive honor.
PRO.27.19	As water reflects your face,
PRO.27.19	so your mind shows what kind of person you are.
PRO.27.20	People will never stop dying and being destroyed,
PRO.27.20	and they will never stop wanting more than they have.
PRO.27.21	A hot furnace tests silver and gold,
PRO.27.21	and people are tested by the praise they receive.
PRO.27.22	Even if you ground up a foolish person like grain in a bowl,
PRO.27.22	you couldn’t remove the foolishness.
PRO.27.23	Be sure you know how your sheep are doing,
PRO.27.23	and pay attention to the condition of your cattle.
PRO.27.24	Riches will not go on forever,
PRO.27.24	nor do governments go on forever.
PRO.27.25	Bring in the hay, and let the new grass appear.
PRO.27.25	Gather the grass from the hills.
PRO.27.26	Make clothes from the lambs’ wool,
PRO.27.26	and sell some goats to buy a field.
PRO.27.27	There will be plenty of goat’s milk
PRO.27.27	to feed you and your family
PRO.27.27	and to make your servant girls healthy.
PRO.28.1	Evil people run even though no one is chasing them,
PRO.28.1	but good people are as brave as a lion.
PRO.28.2	When a country is lawless, it has one ruler after another;
PRO.28.2	but when it is led by a leader with understanding and knowledge, it continues strong.
PRO.28.3	Rulers who mistreat the poor
PRO.28.3	are like a hard rain that destroys the crops.
PRO.28.4	Those who disobey what they have been taught praise the wicked,
PRO.28.4	but those who obey what they have been taught are against them.
PRO.28.5	Evil people do not understand justice,
PRO.28.5	but those who follow the L
PRO.28.6	It is better to be poor and innocent
PRO.28.6	than to be rich and wicked.
PRO.28.7	Children who obey what they have been taught are wise,
PRO.28.7	but friends of troublemakers disgrace their parents.
PRO.28.8	Some people get rich by overcharging others,
PRO.28.8	but their wealth will be given to those who are kind to the poor.
PRO.28.9	If you refuse to obey what you have been taught,
PRO.28.9	your prayers will not be heard.
PRO.28.10	Those who lead good people to do wrong
PRO.28.10	will be ruined by their own evil,
PRO.28.10	but the innocent will be rewarded with good things.
PRO.28.11	Rich people may think they are wise,
PRO.28.11	but the poor with understanding will prove them wrong.
PRO.28.12	When good people triumph, there is great happiness,
PRO.28.12	but when the wicked get control, everybody hides.
PRO.28.13	If you hide your sins, you will not succeed.
PRO.28.13	If you confess and reject them, you will receive mercy.
PRO.28.14	Those who are always respectful will be happy,
PRO.28.14	but those who are stubborn will get into trouble.
PRO.28.15	A wicked ruler is as dangerous to poor people
PRO.28.15	as a roaring lion or a charging bear.
PRO.28.16	A ruler without wisdom will be cruel,
PRO.28.16	but the one who refuses to take dishonest money will rule a long time.
PRO.28.17	Don’t help those who are guilty of murder;
PRO.28.17	let them run until they die.
PRO.28.18	Innocent people will be kept safe,
PRO.28.18	but those who are dishonest will suddenly be ruined.
PRO.28.19	Those who work their land will have plenty of food,
PRO.28.19	but the ones who chase empty dreams instead will end up poor.
PRO.28.20	A truthful person will have many blessings,
PRO.28.20	but those eager to get rich will be punished.
PRO.28.21	It is not good for a judge to take sides,
PRO.28.21	but some will sin for only a piece of bread.
PRO.28.22	Selfish people are in a hurry to get rich
PRO.28.22	and do not realize they soon will be poor.
PRO.28.23	Those who correct others will later be liked
PRO.28.23	more than those who give false praise.
PRO.28.24	Whoever robs father or mother
PRO.28.24	and says, “It’s not wrong,”
PRO.28.24	is just like someone who destroys things.
PRO.28.25	A greedy person causes trouble,
PRO.28.25	but the one who trusts the L
PRO.28.26	Those who trust in themselves are foolish,
PRO.28.26	but those who live wisely will be kept safe.
PRO.28.27	Whoever gives to the poor will have everything he needs,
PRO.28.27	but the one who ignores the poor will receive many curses.
PRO.28.28	When the wicked get control, everybody hides,
PRO.28.28	but when they die, good people do well.
PRO.29.1	Whoever is stubborn after being corrected many times
PRO.29.1	will suddenly be hurt beyond cure.
PRO.29.2	When good people do well, everyone is happy,
PRO.29.2	but when evil people rule, everyone groans.
PRO.29.3	Those who love wisdom make their parents happy,
PRO.29.3	but friends of prostitutes waste their money.
PRO.29.4	If a king is fair, he makes his country strong,
PRO.29.4	but if he takes gifts dishonestly, he tears his country down.
PRO.29.5	Those who give false praise to their neighbors
PRO.29.5	are setting a trap for them.
PRO.29.6	Evil people are trapped by their own sin,
PRO.29.6	but good people can sing and be happy.
PRO.29.7	Good people care about justice for the poor,
PRO.29.7	but the wicked are not concerned.
PRO.29.8	People who make fun of wisdom cause trouble in a city,
PRO.29.8	but wise people calm anger down.
PRO.29.9	When a wise person takes a foolish person to court,
PRO.29.9	the fool only shouts or laughs, and there is no peace.
PRO.29.10	Murderers hate an honest person
PRO.29.10	and try to kill those who do right.
PRO.29.11	Foolish people lose their tempers,
PRO.29.11	but wise people control theirs.
PRO.29.12	If a ruler pays attention to lies,
PRO.29.12	all his officers will become wicked.
PRO.29.13	The poor person and the cruel person are alike
PRO.29.13	in that the L
PRO.29.14	If a king judges poor people fairly,
PRO.29.14	his government will continue forever.
PRO.29.15	Correction and punishment make children wise,
PRO.29.15	but those left alone will disgrace their mother.
PRO.29.16	When there are many wicked people, there is much sin,
PRO.29.16	but those who do right will see them destroyed.
PRO.29.17	Correct your children, and you will be proud;
PRO.29.17	they will give you satisfaction.
PRO.29.18	Where there is no word from God, people are uncontrolled,
PRO.29.18	but those who obey what they have been taught are happy.
PRO.29.19	Words alone cannot correct a servant,
PRO.29.19	because even if they understand, they won’t respond.
PRO.29.20	Do you see people who speak too quickly?
PRO.29.20	There is more hope for a foolish person than for them.
PRO.29.21	If you spoil your servants when they are young,
PRO.29.21	they will bring you grief later on.
PRO.29.22	An angry person causes trouble;
PRO.29.22	a person with a quick temper sins a lot.
PRO.29.23	Pride will ruin people,
PRO.29.23	but those who are humble will be honored.
PRO.29.24	Partners of thieves are their own worst enemies.
PRO.29.24	If they have to testify in court, they are afraid to say anything.
