GEN.1.1	In the beginning, God
PSA.68.14	it snowed on Zalmon.
PSA.68.15	The mountains of Bashan are majestic mountains.
PSA.68.15	The mountains of Bashan are rugged.
PSA.68.16	Why do you look in envy, you rugged mountains,
PSA.68.16	at the mountain where God chooses to reign?
PSA.68.16	Yes, the 
PSA.68.17	The chariots of God are tens of thousands and thousands of thousands.
PSA.68.17	The Lord is amongst them, from Sinai, into the sanctuary.
PSA.68.18	You have ascended on high.
PSA.68.18	You have led away captives.
PSA.68.18	You have received gifts amongst people,
PSA.68.18	yes, amongst the rebellious also, that the 
PSA.68.19	Blessed be the Lord, who daily bears our burdens,
PSA.68.19	even the God who is our salvation. 
PSA.68.20	God is to us a God of deliverance.
PSA.68.20	To the 
PSA.68.21	But God will strike through the head of his enemies,
PSA.68.21	the hairy scalp of such a one as still continues in his guiltiness.
PSA.68.22	The Lord said, “I will bring you again from Bashan,
PSA.68.22	I will bring you again from the depths of the sea,
PSA.68.23	that you may crush them, dipping your foot in blood,
PSA.68.23	that the tongues of your dogs may have their portion from your enemies.”
PSA.68.24	They have seen your processions, God,
PSA.68.24	even the processions of my God, my King, into the sanctuary.
PSA.68.25	The singers went before, the minstrels followed after,
PSA.68.25	amongst the ladies playing with tambourines,
PSA.68.26	“Bless God in the congregations,
PSA.68.26	even the Lord in the assembly of Israel!”
PSA.68.27	There is little Benjamin, their ruler,
PSA.68.27	the princes of Judah, their council,
PSA.68.27	the princes of Zebulun, and the princes of Naphtali.
PSA.68.28	Your God has commanded your strength.
PSA.68.28	Strengthen, God, that which you have done for us.
PSA.68.29	Because of your temple at Jerusalem,
PSA.68.29	kings shall bring presents to you.
PSA.68.30	Rebuke the wild animal of the reeds,
PSA.68.30	the multitude of the bulls, with the calves of the peoples.
PSA.68.30	Being humbled, may it bring bars of silver.
PSA.68.30	Scatter the nations that delight in war.
PSA.68.31	Princes shall come out of Egypt.
PSA.68.31	Ethiopia shall hurry to stretch out her hands to God.
PSA.68.32	Sing to God, you kingdoms of the earth!
PSA.68.32	Sing praises to the Lord— 
PSA.68.33	to him who rides on the heaven of heavens, which are of old;
PSA.68.33	behold, he utters his voice, a mighty voice.
PSA.68.34	Ascribe strength to God!
PSA.68.34	His excellency is over Israel,
PSA.68.34	his strength is in the skies.
PSA.68.35	You are awesome, God, in your sanctuaries.
PSA.68.35	The God of Israel gives strength and power to his people.
PSA.68.35	Praise be to God!
PSA.69.1	Save me, God,
PSA.69.1	for the waters have come up to my neck!
PSA.69.2	I sink in deep mire, where there is no foothold.
PSA.69.2	I have come into deep waters, where the floods overflow me.
PSA.69.3	I am weary with my crying.
PSA.69.3	My throat is dry.
PSA.69.3	My eyes fail looking for my God.
PSA.69.4	Those who hate me without a cause are more than the hairs of my head.
PSA.69.4	Those who want to cut me off, being my enemies wrongfully, are mighty.
PSA.69.4	I have to restore what I didn’t take away.
PSA.69.5	God, you know my foolishness.
PSA.69.5	My sins aren’t hidden from you.
PSA.69.6	Don’t let those who wait for you be shamed through me, Lord GOD of Armies.
PSA.69.6	Don’t let those who seek you be brought to dishonour through me, God of Israel.
PSA.69.7	Because for your sake, I have borne reproach.
PSA.69.7	Shame has covered my face.
PSA.69.8	I have become a stranger to my brothers,
PSA.69.8	an alien to my mother’s children.
PSA.69.9	For the zeal of your house consumes me.
PSA.69.9	The reproaches of those who reproach you have fallen on me.
PSA.69.10	When I wept and I fasted,
PSA.69.10	that was to my reproach.
PSA.69.11	When I made sackcloth my clothing,
PSA.69.11	I became a byword to them.
PSA.69.12	Those who sit in the gate talk about me.
PSA.69.12	I am the song of the drunkards.
PSA.69.13	But as for me, my prayer is to you, 
PSA.69.13	God, in the abundance of your loving kindness, answer me in the truth of your salvation.
PSA.69.14	Deliver me out of the mire, and don’t let me sink.
PSA.69.14	Let me be delivered from those who hate me, and out of the deep waters.
PSA.69.15	Don’t let the flood waters overwhelm me,
PSA.69.15	neither let the deep swallow me up.
PSA.69.15	Don’t let the pit shut its mouth on me.
PSA.69.16	Answer me, 
PSA.69.16	According to the multitude of your tender mercies, turn to me.
PSA.69.17	Don’t hide your face from your servant,
PSA.69.17	for I am in distress.
PSA.69.17	Answer me speedily!
PSA.69.18	Draw near to my soul and redeem it.
PSA.69.18	Ransom me because of my enemies.
PSA.69.19	You know my reproach, my shame, and my dishonour.
PSA.69.19	My adversaries are all before you.
PSA.69.20	Reproach has broken my heart, and I am full of heaviness.
PSA.69.20	I looked for some to take pity, but there was none;
PSA.69.20	for comforters, but I found none.
PSA.69.21	They also gave me poison for my food.
PSA.69.21	In my thirst, they gave me vinegar to drink.
PSA.69.22	Let their table before them become a snare.
PSA.69.22	May it become a retribution and a trap.
PSA.69.23	Let their eyes be darkened, so that they can’t see.
PSA.69.23	Let their backs be continually bent.
PSA.69.24	Pour out your indignation on them.
PSA.69.24	Let the fierceness of your anger overtake them.
PSA.69.25	Let their habitation be desolate.
PSA.69.25	Let no one dwell in their tents.
PSA.69.26	For they persecute him whom you have wounded.
PSA.69.26	They tell of the sorrow of those whom you have hurt.
PSA.69.27	Charge them with crime upon crime.
PSA.69.27	Don’t let them come into your righteousness.
PSA.69.28	Let them be blotted out of the book of life,
PSA.69.28	and not be written with the righteous.
PSA.69.29	But I am in pain and distress.
PSA.69.29	Let your salvation, God, protect me.
PSA.69.30	I will praise the name of God with a song,
PSA.69.30	and will magnify him with thanksgiving.
PSA.69.31	It will please the 
PSA.69.31	or a bull that has horns and hoofs.
PSA.69.32	The humble have seen it, and are glad.
PSA.69.32	You who seek after God, let your heart live.
PSA.69.33	For the 
PSA.69.33	and doesn’t despise his captive people.
PSA.69.34	Let heaven and earth praise him;
PSA.69.34	the seas, and everything that moves therein!
PSA.69.35	For God will save Zion, and build the cities of Judah.
PSA.69.35	They shall settle there, and own it.
PSA.69.36	The children also of his servants shall inherit it.
PSA.69.36	Those who love his name shall dwell therein.
PSA.70.1	Hurry, God, to deliver me.
PSA.70.1	Come quickly to help me, 
PSA.70.2	Let them be disappointed and confounded who seek my soul.
PSA.70.2	Let those who desire my ruin be turned back in disgrace.
PSA.70.3	Let them be turned because of their shame
PSA.70.3	who say, “Aha! Aha!”
PSA.70.4	Let all those who seek you rejoice and be glad in you.
PSA.70.4	Let those who love your salvation continually say,
PSA.70.4	“Let God be exalted!”
PSA.70.5	But I am poor and needy.
PSA.70.5	Come to me quickly, God.
PSA.70.5	You are my help and my deliverer.
PSA.70.5	, don’t delay.
PSA.71.1	In you, 
PSA.71.1	Never let me be disappointed.
PSA.71.2	Deliver me in your righteousness, and rescue me.
PSA.71.2	Turn your ear to me, and save me.
PSA.71.3	Be to me a rock of refuge to which I may always go.
PSA.71.3	Give the command to save me,
PSA.71.3	for you are my rock and my fortress.
PSA.71.4	Rescue me, my God, from the hand of the wicked,
PSA.71.4	from the hand of the unrighteous and cruel man.
PSA.71.5	For you are my hope, Lord GOD,
PSA.71.5	my confidence from my youth.
PSA.71.6	I have relied on you from the womb.
PSA.71.6	You are he who took me out of my mother’s womb.
PSA.71.6	I will always praise you.
PSA.71.7	I am a marvel to many,
PSA.71.7	but you are my strong refuge.
PSA.71.8	My mouth shall be filled with your praise,
PSA.71.8	with your honour all day long.
PSA.71.9	Don’t reject me in my old age.
PSA.71.9	Don’t forsake me when my strength fails.
PSA.71.10	For my enemies talk about me.
PSA.71.10	Those who watch for my soul conspire together,
PSA.71.11	saying, “God has forsaken him.
PSA.71.11	Pursue and take him, for no one will rescue him.”
PSA.71.12	God, don’t be far from me.
PSA.71.12	My God, hurry to help me.
PSA.71.13	Let my accusers be disappointed and consumed.
PSA.71.13	Let them be covered with disgrace and scorn who want to harm me.
PSA.71.14	But I will always hope,
PSA.71.14	and will add to all of your praise.
PSA.71.15	My mouth will tell about your righteousness,
PSA.71.15	and of your salvation all day,
PSA.71.15	though I don’t know its full measure.
PSA.71.16	I will come with the mighty acts of the Lord GOD.
PSA.71.16	I will make mention of your righteousness, even of yours alone.
PSA.71.17	God, you have taught me from my youth.
PSA.71.17	Until now, I have declared your wondrous works.
PSA.71.18	Yes, even when I am old and grey-haired, God, don’t forsake me,
PSA.71.18	until I have declared your strength to the next generation,
PSA.71.18	your might to everyone who is to come.
PSA.71.19	God, your righteousness also reaches to the heavens.
PSA.71.19	You have done great things.
PSA.71.19	God, who is like you?
PSA.71.20	You, who have shown us many and bitter troubles,
PSA.71.20	you will let me live.
PSA.71.20	You will bring us up again from the depths of the earth.
PSA.71.21	Increase my honour
PSA.71.21	and comfort me again.
PSA.71.22	I will also praise you with the harp for your faithfulness, my God.
PSA.71.22	I sing praises to you with the lyre, Holy One of Israel.
PSA.71.23	My lips shall shout for joy!
PSA.71.23	My soul, which you have redeemed, sings praises to you!
PSA.71.24	My tongue will also talk about your righteousness all day long,
PSA.71.24	for they are disappointed, and they are confounded,
PSA.71.24	who want to harm me.
PSA.72.1	God, give the king your justice;
PSA.72.1	your righteousness to the royal son.
PSA.72.2	He will judge your people with righteousness,
PSA.72.2	and your poor with justice.
PSA.72.3	The mountains shall bring prosperity to the people.
PSA.72.3	The hills bring the fruit of righteousness.
PSA.72.4	He will judge the poor of the people.
PSA.72.4	He will save the children of the needy,
PSA.72.4	and will break the oppressor in pieces.
PSA.72.5	They shall fear you while the sun endures;
PSA.72.5	and as long as the moon, throughout all generations.
PSA.72.6	He will come down like rain on the mown grass,
PSA.72.6	as showers that water the earth.
PSA.72.7	In his days, the righteous shall flourish,
PSA.72.7	and abundance of peace, until the moon is no more.
PSA.72.8	He shall have dominion also from sea to sea,
PSA.72.8	from the River to the ends of the earth.
PSA.72.9	Those who dwell in the wilderness shall bow before him.
PSA.72.9	His enemies shall lick the dust.
PSA.72.10	The kings of Tarshish and of the islands will bring tribute.
PSA.72.10	The kings of Sheba and Seba shall offer gifts.
PSA.72.11	Yes, all kings shall fall down before him.
PSA.72.11	All nations shall serve him.
PSA.72.12	For he will deliver the needy when he cries;
PSA.72.12	the poor, who has no helper.
PSA.72.13	He will have pity on the poor and needy.
PSA.72.13	He will save the souls of the needy.
PSA.72.14	He will redeem their soul from oppression and violence.
PSA.72.14	Their blood will be precious in his sight.
PSA.72.15	They shall live, and to him shall be given of the gold of Sheba.
PSA.72.15	Men shall pray for him continually.
PSA.72.15	They shall bless him all day long.
PSA.72.16	Abundance of grain shall be throughout the land.
PSA.72.16	Its fruit sways like Lebanon.
PSA.72.16	Let it flourish, thriving like the grass of the field.
PSA.72.17	His name endures forever.
PSA.72.17	His name continues as long as the sun.
PSA.72.17	Men shall be blessed by him.
PSA.72.17	All nations will call him blessed.
PSA.72.18	Praise be to the 
PSA.72.18	who alone does marvellous deeds.
PSA.72.19	Blessed be his glorious name forever!
PSA.72.19	Let the whole earth be filled with his glory!
PSA.72.19	Amen and amen.
PSA.72.20	This ends the prayers by David, the son of Jesse.
PSA.73.1	Surely God
PSA.73.1	to those who are pure in heart.
PSA.73.2	But as for me, my feet were almost gone.
PSA.73.2	My steps had nearly slipped.
PSA.73.3	For I was envious of the arrogant,
PSA.73.3	when I saw the prosperity of the wicked.
PSA.73.4	For there are no struggles in their death,
PSA.73.4	but their strength is firm.
PSA.73.5	They are free from burdens of men,
PSA.73.5	neither are they plagued like other men.
PSA.73.6	Therefore pride is like a chain around their neck.
PSA.73.6	Violence covers them like a garment.
PSA.73.7	Their eyes bulge with fat.
PSA.73.7	Their minds pass the limits of conceit.
PSA.73.8	They scoff and speak with malice.
PSA.73.8	In arrogance, they threaten oppression.
PSA.73.9	They have set their mouth in the heavens.
PSA.73.9	Their tongue walks through the earth.
PSA.73.10	Therefore their people return to them,
PSA.73.10	and they drink up waters of abundance.
PSA.73.11	They say, “How does God know?
PSA.73.11	Is there knowledge in the Most High?”
PSA.73.12	Behold, these are the wicked.
PSA.73.12	Being always at ease, they increase in riches.
PSA.73.13	Surely I have cleansed my heart in vain,
PSA.73.13	and washed my hands in innocence,
PSA.73.14	For all day long I have been plagued,
PSA.73.14	and punished every morning.
PSA.73.15	If I had said, “I will speak thus”;
PSA.73.15	behold, I would have betrayed the generation of your children.
PSA.73.16	When I tried to understand this,
PSA.73.16	it was too painful for me,
PSA.73.17	until I entered God’s sanctuary,
PSA.73.17	and considered their latter end.
PSA.73.18	Surely you set them in slippery places.
PSA.73.18	You throw them down to destruction.
PSA.73.19	How they are suddenly destroyed!
PSA.73.19	They are completely swept away with terrors.
PSA.73.20	As a dream when one wakes up,
PSA.73.20	so, Lord,
PSA.73.21	For my soul was grieved.
PSA.73.21	I was embittered in my heart.
PSA.73.22	I was so senseless and ignorant.
PSA.73.22	I was a brute beast before you.
PSA.73.23	Nevertheless, I am continually with you.
PSA.73.23	You have held my right hand.
PSA.73.24	You will guide me with your counsel,
PSA.73.24	and afterward receive me to glory.
PSA.73.25	Whom do I have in heaven?
PSA.73.25	There is no one on earth whom I desire besides you.
PSA.73.26	My flesh and my heart fails,
PSA.73.26	but God is the strength of my heart and my portion forever.
PSA.73.27	For, behold, those who are far from you shall perish.
PSA.73.27	You have destroyed all those who are unfaithful to you.
PSA.73.28	But it is good for me to come close to God.
PSA.73.28	I have made the Lord the 
PSA.73.28	that I may tell of all your works.
PSA.74.1	God, why have you rejected us forever?
PSA.74.1	Why does your anger smoulder against the sheep of your pasture?
PSA.74.2	Remember your congregation, which you purchased of old,
PSA.74.2	which you have redeemed to be the tribe of your inheritance:
PSA.74.2	Mount Zion, in which you have lived.
PSA.74.3	Lift up your feet to the perpetual ruins,
PSA.74.3	all the evil that the enemy has done in the sanctuary.
PSA.74.4	Your adversaries have roared in the middle of your assembly.
PSA.74.4	They have set up their standards as signs.
PSA.74.5	They behaved like men wielding axes,
PSA.74.5	cutting through a thicket of trees.
PSA.74.6	Now they break all its carved work down with hatchet and hammers.
PSA.74.7	They have burnt your sanctuary to the ground.
PSA.74.7	They have profaned the dwelling place of your Name.
PSA.74.8	They said in their heart, “We will crush them completely.”
PSA.74.8	They have burnt up all the places in the land where God was worshipped.
PSA.74.9	We see no miraculous signs.
PSA.74.9	There is no longer any prophet,
PSA.74.9	neither is there amongst us anyone who knows how long.
PSA.74.10	How long, God, shall the adversary reproach?
PSA.74.10	Shall the enemy blaspheme your name forever?
PSA.74.11	Why do you draw back your hand, even your right hand?
PSA.74.11	Take it from your chest and consume them!
PSA.74.12	Yet God is my King of old,
PSA.74.12	working salvation throughout the earth.
PSA.74.13	You divided the sea by your strength.
PSA.74.13	You broke the heads of the sea monsters in the waters.
PSA.74.14	You broke the heads of Leviathan in pieces.
PSA.74.14	You gave him as food to people and desert creatures.
PSA.74.15	You opened up spring and stream.
PSA.74.15	You dried up mighty rivers.
PSA.74.16	The day is yours, the night is also yours.
PSA.74.16	You have prepared the light and the sun.
PSA.74.17	You have set all the boundaries of the earth.
PSA.74.17	You have made summer and winter.
PSA.74.18	Remember this, that the enemy has mocked you, 
PSA.74.18	Foolish people have blasphemed your name.
PSA.74.19	Don’t deliver the soul of your dove to wild beasts.
PSA.74.19	Don’t forget the life of your poor forever.
PSA.74.20	Honour your covenant,
PSA.74.20	for haunts of violence fill the dark places of the earth.
PSA.74.21	Don’t let the oppressed return ashamed.
PSA.74.21	Let the poor and needy praise your name.
PSA.74.22	Arise, God! Plead your own cause.
PSA.74.22	Remember how the foolish man mocks you all day.
PSA.74.23	Don’t forget the voice of your adversaries.
PSA.74.23	The tumult of those who rise up against you ascends continually.
PSA.75.1	We give thanks to you, God.
PSA.75.1	We give thanks, for your Name is near.
PSA.75.1	Men tell about your wondrous works.
PSA.75.2	When I choose the appointed time,
PSA.75.2	I will judge blamelessly.
PSA.75.3	The earth and all its inhabitants quake.
PSA.75.3	I firmly hold its pillars. 
PSA.75.4	I said to the arrogant, “Don’t boast!”
PSA.75.4	I said to the wicked, “Don’t lift up the horn.
PSA.75.5	Don’t lift up your horn on high.
PSA.75.5	Don’t speak with a stiff neck.”
PSA.75.6	For neither from the east, nor from the west,
PSA.75.6	nor yet from the south, comes exaltation.
PSA.75.7	But God is the judge.
PSA.75.7	He puts down one, and lifts up another.
PSA.75.8	For in the 
PSA.75.8	full of foaming wine mixed with spices.
PSA.75.8	He pours it out.
PSA.75.8	Indeed the wicked of the earth drink and drink it to its very dregs.
PSA.75.9	But I will declare this forever:
PSA.75.9	I will sing praises to the God of Jacob.
PSA.75.10	I will cut off all the horns of the wicked,
PSA.75.10	but the horns of the righteous shall be lifted up.
PSA.76.1	In Judah, God is known.
PSA.76.1	His name is great in Israel.
PSA.76.2	His tabernacle is also in Salem;
PSA.76.2	His dwelling place in Zion.
PSA.76.3	There he broke the flaming arrows of the bow,
PSA.76.3	the shield, and the sword, and the weapons of war. 
PSA.76.4	Glorious are you, and excellent,
PSA.76.4	more than mountains of game.
PSA.76.5	Valiant men lie plundered,
PSA.76.5	they have slept their last sleep.
PSA.76.5	None of the men of war can lift their hands.
PSA.76.6	At your rebuke, God of Jacob,
PSA.76.6	both chariot and horse are cast into a dead sleep.
PSA.76.7	You, even you, are to be feared.
PSA.76.7	Who can stand in your sight when you are angry?
PSA.76.8	You pronounced judgement from heaven.
PSA.76.8	The earth feared, and was silent,
PSA.76.9	when God arose to judgement,
PSA.76.9	to save all the afflicted ones of the earth. 
PSA.76.10	Surely the wrath of man praises you.
PSA.76.10	The survivors of your wrath are restrained.
PSA.76.11	Make vows to the 
PSA.76.11	Let all of his neighbours bring presents to him who is to be feared.
PSA.76.12	He will cut off the spirit of princes.
PSA.76.12	He is feared by the kings of the earth.
PSA.77.1	My cry goes to God!
PSA.77.1	Indeed, I cry to God for help,
PSA.77.1	and for him to listen to me.
PSA.77.2	In the day of my trouble I sought the Lord.
PSA.77.2	My hand was stretched out in the night, and didn’t get tired.
PSA.77.2	My soul refused to be comforted.
PSA.77.3	I remember God, and I groan.
PSA.77.3	I complain, and my spirit is overwhelmed. 
PSA.77.4	You hold my eyelids open.
PSA.77.4	I am so troubled that I can’t speak.
PSA.77.5	I have considered the days of old,
PSA.77.5	the years of ancient times.
PSA.77.6	I remember my song in the night.
PSA.77.6	I consider in my own heart;
PSA.77.6	my spirit diligently enquires:
PSA.77.7	“Will the Lord reject us forever?
PSA.77.7	Will he be favourable no more?
PSA.77.8	Has his loving kindness vanished forever?
PSA.77.8	Does his promise fail for generations?
PSA.77.9	Has God forgotten to be gracious?
PSA.77.9	Has he, in anger, withheld his compassion?” 
PSA.77.10	Then I thought, “I will appeal to this:
PSA.77.10	the years of the right hand of the Most High.”
PSA.77.11	I will remember the 
PSA.77.11	for I will remember your wonders of old.
PSA.77.12	I will also meditate on all your work,
PSA.77.12	and consider your doings.
PSA.77.13	Your way, God, is in the sanctuary.
PSA.77.13	What god is great like God?
PSA.77.14	You are the God who does wonders.
PSA.77.14	You have made your strength known amongst the peoples.
PSA.77.15	You have redeemed your people with your arm,
PSA.77.15	the sons of Jacob and Joseph. 
PSA.77.16	The waters saw you, God.
PSA.77.16	The waters saw you, and they writhed.
PSA.77.16	The depths also convulsed.
PSA.77.17	The clouds poured out water.
PSA.77.17	The skies resounded with thunder.
PSA.77.17	Your arrows also flashed around.
PSA.77.18	The voice of your thunder was in the whirlwind.
PSA.77.18	The lightnings lit up the world.
PSA.77.18	The earth trembled and shook.
PSA.77.19	Your way was through the sea;
PSA.77.19	your paths through the great waters.
PSA.77.19	Your footsteps were not known.
PSA.77.20	You led your people like a flock,
PSA.77.20	by the hand of Moses and Aaron.
PSA.78.1	Hear my teaching, my people.
PSA.78.1	Turn your ears to the words of my mouth.
PSA.78.2	I will open my mouth in a parable.
PSA.78.2	I will utter dark sayings of old,
PSA.78.3	Which we have heard and known,
PSA.78.3	and our fathers have told us.
PSA.78.4	We will not hide them from their children,
PSA.78.4	telling to the generation to come the praises of the 
PSA.78.4	his strength, and his wondrous deeds that he has done.
PSA.78.5	For he established a covenant in Jacob,
PSA.78.5	and appointed a teaching in Israel,
PSA.78.5	which he commanded our fathers,
PSA.78.5	that they should make them known to their children;
PSA.78.6	that the generation to come might know, even the children who should be born;
PSA.78.6	who should arise and tell their children,
PSA.78.7	that they might set their hope in God,
PSA.78.7	and not forget God’s deeds,
PSA.78.7	but keep his commandments,
PSA.78.8	and might not be as their fathers,
PSA.78.8	a stubborn and rebellious generation,
PSA.78.8	a generation that didn’t make their hearts loyal,
PSA.78.8	whose spirit was not steadfast with God.
PSA.78.9	The children of Ephraim, being armed and carrying bows,
PSA.78.9	turned back in the day of battle.
PSA.78.10	They didn’t keep God’s covenant,
PSA.78.10	and refused to walk in his law.
PSA.78.11	They forgot his doings,
PSA.78.11	his wondrous deeds that he had shown them.
PSA.78.12	He did marvellous things in the sight of their fathers,
PSA.78.12	in the land of Egypt, in the field of Zoan.
PSA.78.13	He split the sea, and caused them to pass through.
PSA.78.13	He made the waters stand as a heap.
PSA.78.14	In the daytime he also led them with a cloud,
PSA.78.14	and all night with a light of fire.
PSA.78.15	He split rocks in the wilderness,
PSA.78.15	and gave them drink abundantly as out of the depths.
PSA.78.16	He brought streams also out of the rock,
PSA.78.16	and caused waters to run down like rivers.
PSA.78.17	Yet they still went on to sin against him,
PSA.78.17	to rebel against the Most High in the desert.
PSA.78.18	They tempted God in their heart
PSA.78.18	by asking food according to their desire.
PSA.78.19	Yes, they spoke against God.
PSA.78.19	They said, “Can God prepare a table in the wilderness?
PSA.78.20	Behold, he struck the rock, so that waters gushed out,
PSA.78.20	and streams overflowed.
PSA.78.20	Can he give bread also?
PSA.78.20	Will he provide meat for his people?”
PSA.78.21	Therefore the 
PSA.78.21	A fire was kindled against Jacob,
PSA.78.21	anger also went up against Israel,
PSA.78.22	because they didn’t believe in God,
PSA.78.22	and didn’t trust in his salvation.
PSA.78.23	Yet he commanded the skies above,
PSA.78.23	and opened the doors of heaven.
PSA.78.24	He rained down manna on them to eat,
PSA.78.24	and gave them food from the sky.
PSA.78.25	Man ate the bread of angels.
PSA.78.25	He sent them food to the full.
PSA.78.26	He caused the east wind to blow in the sky.
PSA.78.26	By his power he guided the south wind.
PSA.78.27	He also rained meat on them as the dust,
PSA.78.27	winged birds as the sand of the seas.
PSA.78.28	He let them fall in the middle of their camp,
PSA.78.28	around their habitations.
PSA.78.29	So they ate, and were well filled.
PSA.78.29	He gave them their own desire.
PSA.78.30	They didn’t turn from their cravings.
PSA.78.30	Their food was yet in their mouths,
PSA.78.31	when the anger of God went up against them,
PSA.78.31	killed some of their fattest,
PSA.78.31	and struck down the young men of Israel.
PSA.78.32	For all this they still sinned,
PSA.78.32	and didn’t believe in his wondrous works.
PSA.78.33	Therefore he consumed their days in vanity,
PSA.78.33	and their years in terror.
PSA.78.34	When he killed them, then they enquired after him.
PSA.78.34	They returned and sought God earnestly.
PSA.78.35	They remembered that God was their rock,
PSA.78.35	the Most High God, their redeemer.
PSA.78.36	But they flattered him with their mouth,
PSA.78.36	and lied to him with their tongue.
PSA.78.37	For their heart was not right with him,
PSA.78.37	neither were they faithful in his covenant.
PSA.78.38	But he, being merciful, forgave iniquity, and didn’t destroy them.
PSA.78.38	Yes, many times he turned his anger away,
PSA.78.38	and didn’t stir up all his wrath.
PSA.78.39	He remembered that they were but flesh,
PSA.78.39	a wind that passes away, and doesn’t come again.
PSA.78.40	How often they rebelled against him in the wilderness,
PSA.78.40	and grieved him in the desert!
PSA.78.41	They turned again and tempted God,
PSA.78.41	and provoked the Holy One of Israel.
PSA.78.42	They didn’t remember his hand,
PSA.78.42	nor the day when he redeemed them from the adversary;
PSA.78.43	how he set his signs in Egypt,
PSA.78.43	his wonders in the field of Zoan,
PSA.78.44	he turned their rivers into blood,
PSA.78.44	and their streams, so that they could not drink.
PSA.78.45	He sent amongst them swarms of flies, which devoured them;
PSA.78.45	and frogs, which destroyed them.
PSA.78.46	He also gave their increase to the caterpillar,
PSA.78.46	and their labour to the locust.
PSA.78.47	He destroyed their vines with hail,
PSA.78.47	their sycamore fig trees with frost.
PSA.78.48	He also gave over their livestock to the hail,
PSA.78.48	and their flocks to hot thunderbolts.
PSA.78.49	He threw on them the fierceness of his anger,
PSA.78.49	wrath, indignation, and trouble,
PSA.78.49	and a band of angels of evil.
PSA.78.50	He made a path for his anger.
PSA.78.50	He didn’t spare their soul from death,
PSA.78.50	but gave their life over to the pestilence,
PSA.78.51	and struck all the firstborn in Egypt,
PSA.78.51	the chief of their strength in the tents of Ham.
PSA.78.52	But he led out his own people like sheep,
PSA.78.52	and guided them in the wilderness like a flock.
PSA.78.53	He led them safely, so that they weren’t afraid,
PSA.78.53	but the sea overwhelmed their enemies.
PSA.78.54	He brought them to the border of his sanctuary,
PSA.78.54	to this mountain, which his right hand had taken.
PSA.78.55	He also drove out the nations before them,
PSA.78.55	allotted them for an inheritance by line,
PSA.78.55	and made the tribes of Israel to dwell in their tents.
PSA.78.56	Yet they tempted and rebelled against the Most High God,
PSA.78.56	and didn’t keep his testimonies,
PSA.78.57	but turned back, and dealt treacherously like their fathers.
PSA.78.57	They were twisted like a deceitful bow.
PSA.78.58	For they provoked him to anger with their high places,
PSA.78.58	and moved him to jealousy with their engraved images.
PSA.78.59	When God heard this, he was angry,
PSA.78.59	and greatly abhorred Israel,
PSA.78.60	so that he abandoned the tent of Shiloh,
PSA.78.60	the tent which he placed amongst men,
PSA.78.61	and delivered his strength into captivity,
PSA.78.61	his glory into the adversary’s hand.
PSA.78.62	He also gave his people over to the sword,
PSA.78.62	and was angry with his inheritance.
PSA.78.63	Fire devoured their young men.
PSA.78.63	Their virgins had no wedding song.
PSA.78.64	Their priests fell by the sword,
PSA.78.64	and their widows couldn’t weep.
PSA.78.65	Then the Lord awakened as one out of sleep,
PSA.78.65	like a mighty man who shouts by reason of wine.
PSA.78.66	He struck his adversaries backward.
PSA.78.66	He put them to a perpetual reproach.
PSA.78.67	Moreover he rejected the tent of Joseph,
PSA.78.67	and didn’t choose the tribe of Ephraim,
PSA.78.68	But chose the tribe of Judah,
PSA.78.68	Mount Zion which he loved.
PSA.78.69	He built his sanctuary like the heights,
PSA.78.69	like the earth which he has established forever.
PSA.78.70	He also chose David his servant,
PSA.78.70	and took him from the sheepfolds;
PSA.78.71	from following the ewes that have their young,
PSA.78.71	he brought him to be the shepherd of Jacob, his people,
PSA.78.71	and Israel, his inheritance.
PSA.78.72	So he was their shepherd according to the integrity of his heart,
PSA.78.72	and guided them by the skilfulness of his hands.
PSA.79.1	God, the nations have come into your inheritance.
PSA.79.1	They have defiled your holy temple.
PSA.79.1	They have laid Jerusalem in heaps.
PSA.79.2	They have given the dead bodies of your servants to be food for the birds of the sky,
PSA.79.2	the flesh of your saints to the animals of the earth.
PSA.79.3	They have shed their blood like water around Jerusalem.
PSA.79.3	There was no one to bury them.
PSA.79.4	We have become a reproach to our neighbours,
PSA.79.4	a scoffing and derision to those who are around us.
PSA.79.5	How long, 
PSA.79.5	Will you be angry forever?
PSA.79.5	Will your jealousy burn like fire?
PSA.79.6	Pour out your wrath on the nations that don’t know you,
PSA.79.6	on the kingdoms that don’t call on your name;
PSA.79.7	for they have devoured Jacob,
PSA.79.7	and destroyed his homeland.
PSA.79.8	Don’t hold the iniquities of our forefathers against us.
PSA.79.8	Let your tender mercies speedily meet us,
PSA.79.8	for we are in desperate need.
PSA.79.9	Help us, God of our salvation, for the glory of your name.
PSA.79.9	Deliver us, and forgive our sins, for your name’s sake.
PSA.79.10	Why should the nations say, “Where is their God?”
PSA.79.10	Let it be known amongst the nations, before our eyes,
PSA.79.10	that vengeance for your servants’ blood is being poured out.
PSA.79.11	Let the sighing of the prisoner come before you.
PSA.79.11	According to the greatness of your power, preserve those who are sentenced to death.
PSA.79.12	Pay back to our neighbours seven times into their bosom
PSA.79.12	their reproach with which they have reproached you, Lord.
PSA.79.13	So we, your people and sheep of your pasture,
PSA.79.13	will give you thanks forever.
PSA.79.13	We will praise you forever, to all generations.
