LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
PHP.3.20	But our citizenship is in heaven. And we eagerly await a Savior from there, the Lord Jesus Christ, 
PHP.3.21	who, by the power that enables him to bring everything under his control, will transform our lowly bodies so that they will be like his glorious body.
PHP.4.1	Therefore, my brothers and sisters, you whom I love and long for, my joy and crown, stand firm in the Lord in this way, dear friends!
PHP.4.2	I plead with Euodia and I plead with Syntyche to be of the same mind in the Lord. 
PHP.4.3	Yes, and I ask you, my true companion, help these women since they have contended at my side in the cause of the gospel, along with Clement and the rest of my co-workers, whose names are in the book of life.
PHP.4.4	Rejoice in the Lord always. I will say it again: Rejoice! 
PHP.4.5	Let your gentleness be evident to all. The Lord is near. 
PHP.4.6	Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. 
PHP.4.7	And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.
PHP.4.8	Finally, brothers and sisters, whatever is true, whatever is noble, whatever is right, whatever is pure, whatever is lovely, whatever is admirable — if anything is excellent or praiseworthy — think about such things. 
PHP.4.9	Whatever you have learned or received or heard from me, or seen in me — put it into practice. And the God of peace will be with you.
PHP.4.10	I rejoiced greatly in the Lord that at last you renewed your concern for me. Indeed, you were concerned, but you had no opportunity to show it. 
PHP.4.11	I am not saying this because I am in need, for I have learned to be content whatever the circumstances. 
PHP.4.12	I know what it is to be in need, and I know what it is to have plenty. I have learned the secret of being content in any and every situation, whether well fed or hungry, whether living in plenty or in want. 
PHP.4.13	I can do all this through him who gives me strength.
PHP.4.14	Yet it was good of you to share in my troubles. 
PHP.4.15	Moreover, as you Philippians know, in the early days of your acquaintance with the gospel, when I set out from Macedonia, not one church shared with me in the matter of giving and receiving, except you only; 
PHP.4.16	for even when I was in Thessalonica, you sent me aid more than once when I was in need. 
PHP.4.17	Not that I desire your gifts; what I desire is that more be credited to your account. 
PHP.4.18	I have received full payment and have more than enough. I am amply supplied, now that I have received from Epaphroditus the gifts you sent. They are a fragrant offering, an acceptable sacrifice, pleasing to God. 
PHP.4.19	And my God will meet all your needs according to the riches of his glory in Christ Jesus.
PHP.4.20	To our God and Father be glory for ever and ever. Amen.
PHP.4.21	Greet all Godʼs people in Christ Jesus. The brothers and sisters who are with me send greetings. 
PHP.4.22	All Godʼs people here send you greetings, especially those who belong to Caesarʼs household.
PHP.4.23	The grace of the Lord Jesus Christ be with your spirit. Amen.
1TI.1.1	Paul, an apostle of Christ Jesus by the command of God our Savior and of Christ Jesus our hope,
1TI.1.2	To Timothy my true son in the faith:
1TI.1.2	Grace, mercy and peace from God the Father and Christ Jesus our Lord.
1TI.1.3	As I urged you when I went into Macedonia, stay there in Ephesus so that you may command certain people not to teach false doctrines any longer 
1TI.1.4	or to devote themselves to myths and endless genealogies. Such things promote controversial speculations rather than advancing Godʼs work — which is by faith. 
1TI.1.5	The goal of this command is love, which comes from a pure heart and a good conscience and a sincere faith. 
1TI.1.6	Some have departed from these and have turned to meaningless talk. 
1TI.1.7	They want to be teachers of the law, but they do not know what they are talking about or what they so confidently affirm.
1TI.1.8	We know that the law is good if one uses it properly. 
1TI.1.9	We also know that the law is made not for the righteous but for lawbreakers and rebels, the ungodly and sinful, the unholy and irreligious, for those who kill their fathers or mothers, for murderers, 
1TI.1.10	for the sexually immoral, for those practicing homosexuality, for slave traders and liars and perjurers — and for whatever else is contrary to the sound doctrine 
1TI.1.11	that conforms to the gospel concerning the glory of the blessed God, which he entrusted to me.
1TI.1.12	I thank Christ Jesus our Lord, who has given me strength, that he considered me trustworthy, appointing me to his service. 
1TI.1.13	Even though I was once a blasphemer and a persecutor and a violent man, I was shown mercy because I acted in ignorance and unbelief. 
1TI.1.14	The grace of our Lord was poured out on me abundantly, along with the faith and love that are in Christ Jesus.
1TI.1.15	Here is a trustworthy saying that deserves full acceptance: Christ Jesus came into the world to save sinners — of whom I am the worst. 
1TI.1.16	But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his immense patience as an example for those who would believe in him and receive eternal life. 
1TI.1.17	Now to the King eternal, immortal, invisible, the only God, be honor and glory for ever and ever. Amen.
1TI.1.18	Timothy, my son, I am giving you this command in keeping with the prophecies once made about you, so that by recalling them you may fight the battle well, 
1TI.1.19	holding on to faith and a good conscience, which some have rejected and so have suffered shipwreck with regard to the faith. 
1TI.1.20	Among them are Hymenaeus and Alexander, whom I have handed over to Satan to be taught not to blaspheme.
1TI.2.1	I urge, then, first of all, that petitions, prayers, intercession and thanksgiving be made for all people —  
1TI.2.2	for kings and all those in authority, that we may live peaceful and quiet lives in all godliness and holiness. 
1TI.2.3	This is good, and pleases God our Savior, 
1TI.2.4	who wants all people to be saved and to come to a knowledge of the truth. 
1TI.2.5	For there is one God and one mediator between God and mankind, the man Christ Jesus, 
1TI.2.6	who gave himself as a ransom for all people. This has now been witnessed to at the proper time. 
1TI.2.7	And for this purpose I was appointed a herald and an apostle — I am telling the truth, I am not lying — and a true and faithful teacher of the Gentiles.
1TI.2.8	Therefore I want the men everywhere to pray, lifting up holy hands without anger or disputing. 
1TI.2.9	I also want the women to dress modestly, with decency and propriety, adorning themselves, not with elaborate hairstyles or gold or pearls or expensive clothes, 
1TI.2.10	but with good deeds, appropriate for women who profess to worship God.
1TI.2.11	A woman
1TI.2.12	I do not permit a woman to teach or to assume authority over a man;
1TI.2.13	For Adam was formed first, then Eve. 
1TI.2.14	And Adam was not the one deceived; it was the woman who was deceived and became a sinner. 
1TI.2.15	But women
1TI.3.1	Here is a trustworthy saying: Whoever aspires to be an overseer desires a noble task. 
1TI.3.2	Now the overseer is to be above reproach, faithful to his wife, temperate, self-controlled, respectable, hospitable, able to teach, 
1TI.3.3	not given to drunkenness, not violent but gentle, not quarrelsome, not a lover of money. 
1TI.3.4	He must manage his own family well and see that his children obey him, and he must do so in a manner worthy of full
1TI.3.5	(If anyone does not know how to manage his own family, how can he take care of Godʼs church?) 
1TI.3.6	He must not be a recent convert, or he may become conceited and fall under the same judgment as the devil. 
1TI.3.7	He must also have a good reputation with outsiders, so that he will not fall into disgrace and into the devilʼs trap.
1TI.3.8	In the same way, deacons
1TI.3.9	They must keep hold of the deep truths of the faith with a clear conscience. 
1TI.3.10	They must first be tested; and then if there is nothing against them, let them serve as deacons.
1TI.3.11	In the same way, the women
1TI.3.12	A deacon must be faithful to his wife and must manage his children and his household well. 
1TI.3.13	Those who have served well gain an excellent standing and great assurance in their faith in Christ Jesus.
1TI.3.14	Although I hope to come to you soon, I am writing you these instructions so that, 
1TI.3.15	if I am delayed, you will know how people ought to conduct themselves in Godʼs household, which is the church of the living God, the pillar and foundation of the truth. 
1TI.3.16	Beyond all question, the mystery from which true godliness springs is great:
1TI.3.16	He appeared in the flesh,
1TI.3.16	was vindicated by the Spirit,
1TI.3.16	was seen by angels,
1TI.3.16	was preached among the nations,
1TI.3.16	was believed on in the world,
1TI.3.16	was taken up in glory.
1TI.4.1	The Spirit clearly says that in later times some will abandon the faith and follow deceiving spirits and things taught by demons. 
1TI.4.2	Such teachings come through hypocritical liars, whose consciences have been seared as with a hot iron. 
1TI.4.3	They forbid people to marry and order them to abstain from certain foods, which God created to be received with thanksgiving by those who believe and who know the truth. 
1TI.4.4	For everything God created is good, and nothing is to be rejected if it is received with thanksgiving, 
1TI.4.5	because it is consecrated by the word of God and prayer.
1TI.4.6	If you point these things out to the brothers and sisters,
1TI.4.7	Have nothing to do with godless myths and old wivesʼ tales; rather, train yourself to be godly. 
1TI.4.8	For physical training is of some value, but godliness has value for all things, holding promise for both the present life and the life to come. 
1TI.4.9	This is a trustworthy saying that deserves full acceptance. 
1TI.4.10	That is why we labor and strive, because we have put our hope in the living God, who is the Savior of all people, and especially of those who believe.
1TI.4.11	Command and teach these things. 
1TI.4.12	Donʼt let anyone look down on you because you are young, but set an example for the believers in speech, in conduct, in love, in faith and in purity. 
1TI.4.13	Until I come, devote yourself to the public reading of Scripture, to preaching and to teaching. 
1TI.4.14	Do not neglect your gift, which was given you through prophecy when the body of elders laid their hands on you.
1TI.4.15	Be diligent in these matters; give yourself wholly to them, so that everyone may see your progress. 
1TI.4.16	Watch your life and doctrine closely. Persevere in them, because if you do, you will save both yourself and your hearers.
1TI.5.1	Do not rebuke an older man harshly, but exhort him as if he were your father. Treat younger men as brothers, 
1TI.5.2	older women as mothers, and younger women as sisters, with absolute purity.
1TI.5.3	Give proper recognition to those widows who are really in need. 
1TI.5.4	But if a widow has children or grandchildren, these should learn first of all to put their religion into practice by caring for their own family and so repaying their parents and grandparents, for this is pleasing to God. 
1TI.5.5	The widow who is really in need and left all alone puts her hope in God and continues night and day to pray and to ask God for help. 
1TI.5.6	But the widow who lives for pleasure is dead even while she lives. 
1TI.5.7	Give the people these instructions, so that no one may be open to blame. 
1TI.5.8	Anyone who does not provide for their relatives, and especially for their own household, has denied the faith and is worse than an unbeliever.
1TI.5.9	No widow may be put on the list of widows unless she is over sixty, has been faithful to her husband, 
1TI.5.10	and is well known for her good deeds, such as bringing up children, showing hospitality, washing the feet of the Lordʼs people, helping those in trouble and devoting herself to all kinds of good deeds.
1TI.5.11	As for younger widows, do not put them on such a list. For when their sensual desires overcome their dedication to Christ, they want to marry. 
1TI.5.12	Thus they bring judgment on themselves, because they have broken their first pledge. 
1TI.5.13	Besides, they get into the habit of being idle and going about from house to house. And not only do they become idlers, but also busybodies who talk nonsense, saying things they ought not to. 
1TI.5.14	So I counsel younger widows to marry, to have children, to manage their homes and to give the enemy no opportunity for slander. 
1TI.5.15	Some have in fact already turned away to follow Satan.
1TI.5.16	If any woman who is a believer has widows in her care, she should continue to help them and not let the church be burdened with them, so that the church can help those widows who are really in need.
1TI.5.17	The elders who direct the affairs of the church well are worthy of double honor, especially those whose work is preaching and teaching. 
1TI.5.18	For Scripture says, “Do not muzzle an ox while it is treading out the grain,”
1TI.5.19	Do not entertain an accusation against an elder unless it is brought by two or three witnesses. 
1TI.5.20	But those elders who are sinning you are to reprove before everyone, so that the others may take warning. 
1TI.5.21	I charge you, in the sight of God and Christ Jesus and the elect angels, to keep these instructions without partiality, and to do nothing out of favoritism.
1TI.5.22	Do not be hasty in the laying on of hands, and do not share in the sins of others. Keep yourself pure.
1TI.5.23	Stop drinking only water, and use a little wine because of your stomach and your frequent illnesses.
1TI.5.24	The sins of some are obvious, reaching the place of judgment ahead of them; the sins of others trail behind them. 
1TI.5.25	In the same way, good deeds are obvious, and even those that are not obvious cannot remain hidden forever.
1TI.6.1	All who are under the yoke of slavery should consider their masters worthy of full respect, so that Godʼs name and our teaching may not be slandered. 
1TI.6.2	Those who have believing masters should not show them disrespect just because they are fellow believers. Instead, they should serve them even better because their masters are dear to them as fellow believers and are devoted to the welfare
1TI.6.2	These are the things you are to teach and insist on. 
1TI.6.3	If anyone teaches otherwise and does not agree to the sound instruction of our Lord Jesus Christ and to godly teaching, 
1TI.6.4	they are conceited and understand nothing. They have an unhealthy interest in controversies and quarrels about words that result in envy, strife, malicious talk, evil suspicions 
1TI.6.5	and constant friction between people of corrupt mind, who have been robbed of the truth and who think that godliness is a means to financial gain.
1TI.6.6	But godliness with contentment is great gain. 
1TI.6.7	For we brought nothing into the world, and we can take nothing out of it. 
1TI.6.8	But if we have food and clothing, we will be content with that. 
1TI.6.9	Those who want to get rich fall into temptation and a trap and into many foolish and harmful desires that plunge people into ruin and destruction. 
1TI.6.10	For the love of money is a root of all kinds of evil. Some people, eager for money, have wandered from the faith and pierced themselves with many griefs.
1TI.6.11	But you, man of God, flee from all this, and pursue righteousness, godliness, faith, love, endurance and gentleness. 
1TI.6.12	Fight the good fight of the faith. Take hold of the eternal life to which you were called when you made your good confession in the presence of many witnesses. 
1TI.6.13	In the sight of God, who gives life to everything, and of Christ Jesus, who while testifying before Pontius Pilate made the good confession, I charge you 
1TI.6.14	to keep this command without spot or blame until the appearing of our Lord Jesus Christ, 
1TI.6.15	which God will bring about in his own time — God, the blessed and only Ruler, the King of kings and Lord of lords, 
1TI.6.16	who alone is immortal and who lives in unapproachable light, whom no one has seen or can see. To him be honor and might forever. Amen.
1TI.6.17	Command those who are rich in this present world not to be arrogant nor to put their hope in wealth, which is so uncertain, but to put their hope in God, who richly provides us with everything for our enjoyment. 
1TI.6.18	Command them to do good, to be rich in good deeds, and to be generous and willing to share. 
1TI.6.19	In this way they will lay up treasure for themselves as a firm foundation for the coming age, so that they may take hold of the life that is truly life.
1TI.6.20	Timothy, guard what has been entrusted to your care. Turn away from godless chatter and the opposing ideas of what is falsely called knowledge, 
1TI.6.21	which some have professed and in so doing have departed from the faith.
1TI.6.21	Grace be with you all.
TIT.1.1	Paul, a servant of God and an apostle of Jesus Christ to further the faith of Godʼs elect and their knowledge of the truth that leads to godliness —  
TIT.1.2	in the hope of eternal life, which God, who does not lie, promised before the beginning of time, 
TIT.1.3	and which now at his appointed season he has brought to light through the preaching entrusted to me by the command of God our Savior,
TIT.1.4	To Titus, my true son in our common faith:
TIT.1.4	Grace and peace from God the Father and Christ Jesus our Savior.
TIT.1.5	The reason I left you in Crete was that you might put in order what was left unfinished and appoint
TIT.1.6	An elder must be blameless, faithful to his wife, a man whose children believe
TIT.1.7	Since an overseer manages Godʼs household, he must be blameless — not overbearing, not quick-tempered, not given to drunkenness, not violent, not pursuing dishonest gain. 
TIT.1.8	Rather, he must be hospitable, one who loves what is good, who is self-controlled, upright, holy and disciplined. 
TIT.1.9	He must hold firmly to the trustworthy message as it has been taught, so that he can encourage others by sound doctrine and refute those who oppose it.
TIT.1.10	For there are many rebellious people, full of meaningless talk and deception, especially those of the circumcision group. 
TIT.1.11	They must be silenced, because they are disrupting whole households by teaching things they ought not to teach — and that for the sake of dishonest gain. 
TIT.1.12	One of Creteʼs own prophets has said it: “Cretans are always liars, evil brutes, lazy gluttons.”
TIT.1.13	This saying is true. Therefore rebuke them sharply, so that they will be sound in the faith 
TIT.1.14	and will pay no attention to Jewish myths or to the merely human commands of those who reject the truth. 
TIT.1.15	To the pure, all things are pure, but to those who are corrupted and do not believe, nothing is pure. In fact, both their minds and consciences are corrupted. 
TIT.1.16	They claim to know God, but by their actions they deny him. They are detestable, disobedient and unfit for doing anything good.
TIT.2.1	You, however, must teach what is appropriate to sound doctrine. 
TIT.2.2	Teach the older men to be temperate, worthy of respect, self-controlled, and sound in faith, in love and in endurance.
TIT.2.3	Likewise, teach the older women to be reverent in the way they live, not to be slanderers or addicted to much wine, but to teach what is good. 
TIT.2.4	Then they can urge the younger women to love their husbands and children, 
TIT.2.5	to be self-controlled and pure, to be busy at home, to be kind, and to be subject to their husbands, so that no one will malign the word of God.
TIT.2.6	Similarly, encourage the young men to be self-controlled. 
TIT.2.7	In everything set them an example by doing what is good. In your teaching show integrity, seriousness 
TIT.2.8	and soundness of speech that cannot be condemned, so that those who oppose you may be ashamed because they have nothing bad to say about us.
TIT.2.9	Teach slaves to be subject to their masters in everything, to try to please them, not to talk back to them, 
TIT.2.10	and not to steal from them, but to show that they can be fully trusted, so that in every way they will make the teaching about God our Savior attractive.
TIT.2.11	For the grace of God has appeared that offers salvation to all people. 
TIT.2.12	It teaches us to say “No” to ungodliness and worldly passions, and to live self-controlled, upright and godly lives in this present age, 
TIT.2.13	while we wait for the blessed hope — the appearing of the glory of our great God and Savior, Jesus Christ, 
TIT.2.14	who gave himself for us to redeem us from all wickedness and to purify for himself a people that are his very own, eager to do what is good.
TIT.2.15	These, then, are the things you should teach. Encourage and rebuke with all authority. Do not let anyone despise you.
TIT.3.1	Remind the people to be subject to rulers and authorities, to be obedient, to be ready to do whatever is good, 
TIT.3.2	to slander no one, to be peaceable and considerate, and always to be gentle toward everyone.
TIT.3.3	At one time we too were foolish, disobedient, deceived and enslaved by all kinds of passions and pleasures. We lived in malice and envy, being hated and hating one another. 
TIT.3.4	But when the kindness and love of God our Savior appeared, 
TIT.3.5	he saved us, not because of righteous things we had done, but because of his mercy. He saved us through the washing of rebirth and renewal by the Holy Spirit, 
TIT.3.6	whom he poured out on us generously through Jesus Christ our Savior, 
TIT.3.7	so that, having been justified by his grace, we might become heirs having the hope of eternal life. 
TIT.3.8	This is a trustworthy saying. And I want you to stress these things, so that those who have trusted in God may be careful to devote themselves to doing what is good. These things are excellent and profitable for everyone.
TIT.3.9	But avoid foolish controversies and genealogies and arguments and quarrels about the law, because these are unprofitable and useless. 
TIT.3.10	Warn a divisive person once, and then warn them a second time. After that, have nothing to do with them. 
TIT.3.11	You may be sure that such people are warped and sinful; they are self-condemned.
TIT.3.12	As soon as I send Artemas or Tychicus to you, do your best to come to me at Nicopolis, because I have decided to winter there. 
TIT.3.13	Do everything you can to help Zenas the lawyer and Apollos on their way and see that they have everything they need. 
TIT.3.14	Our people must learn to devote themselves to doing what is good, in order to provide for urgent needs and not live unproductive lives.
TIT.3.15	Everyone with me sends you greetings. Greet those who love us in the faith.
TIT.3.15	Grace be with you all.
2TI.1.1	Paul, an apostle of Christ Jesus by the will of God, in keeping with the promise of life that is in Christ Jesus,
2TI.1.2	To Timothy, my dear son:
2TI.1.2	Grace, mercy and peace from God the Father and Christ Jesus our Lord.
2TI.1.3	I thank God, whom I serve, as my ancestors did, with a clear conscience, as night and day I constantly remember you in my prayers. 
2TI.1.4	Recalling your tears, I long to see you, so that I may be filled with joy. 
2TI.1.5	I am reminded of your sincere faith, which first lived in your grandmother Lois and in your mother Eunice and, I am persuaded, now lives in you also.
2TI.1.6	For this reason I remind you to fan into flame the gift of God, which is in you through the laying on of my hands. 
2TI.1.7	For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline. 
2TI.1.8	So do not be ashamed of the testimony about our Lord or of me his prisoner. Rather, join with me in suffering for the gospel, by the power of God. 
2TI.1.9	He has saved us and called us to a holy life — not because of anything we have done but because of his own purpose and grace. This grace was given us in Christ Jesus before the beginning of time, 
2TI.1.10	but it has now been revealed through the appearing of our Savior, Christ Jesus, who has destroyed death and has brought life and immortality to light through the gospel. 
2TI.1.11	And of this gospel I was appointed a herald and an apostle and a teacher. 
2TI.1.12	That is why I am suffering as I am. Yet this is no cause for shame, because I know whom I have believed, and am convinced that he is able to guard what I have entrusted to him until that day.
2TI.1.13	What you heard from me, keep as the pattern of sound teaching, with faith and love in Christ Jesus. 
2TI.1.14	Guard the good deposit that was entrusted to you — guard it with the help of the Holy Spirit who lives in us.
2TI.1.15	You know that everyone in the province of Asia has deserted me, including Phygelus and Hermogenes.
2TI.1.16	May the Lord show mercy to the household of Onesiphorus, because he often refreshed me and was not ashamed of my chains. 
2TI.1.17	On the contrary, when he was in Rome, he searched hard for me until he found me. 
2TI.1.18	May the Lord grant that he will find mercy from the Lord on that day! You know very well in how many ways he helped me in Ephesus.
2TI.2.1	You then, my son, be strong in the grace that is in Christ Jesus. 
2TI.2.2	And the things you have heard me say in the presence of many witnesses entrust to reliable people who will also be qualified to teach others. 
2TI.2.3	Join with me in suffering, like a good soldier of Christ Jesus. 
2TI.2.4	No one serving as a soldier gets entangled in civilian affairs, but rather tries to please his commanding officer. 
2TI.2.5	Similarly, anyone who competes as an athlete does not receive the victorʼs crown except by competing according to the rules. 
2TI.2.6	The hardworking farmer should be the first to receive a share of the crops. 
2TI.2.7	Reflect on what I am saying, for the Lord will give you insight into all this.
2TI.2.8	Remember Jesus Christ, raised from the dead, descended from David. This is my gospel, 
2TI.2.9	for which I am suffering even to the point of being chained like a criminal. But Godʼs word is not chained. 
2TI.2.10	Therefore I endure everything for the sake of the elect, that they too may obtain the salvation that is in Christ Jesus, with eternal glory.
2TI.2.11	Here is a trustworthy saying:
2TI.2.11	If we died with him,
2TI.2.11	we will also live with him;
2TI.2.12	if we endure,
2TI.2.12	we will also reign with him.
2TI.2.12	If we disown him,
2TI.2.12	he will also disown us;
2TI.2.13	if we are faithless,
2TI.2.13	he remains faithful,
2TI.2.13	for he cannot disown himself.
2TI.2.14	Keep reminding Godʼs people of these things. Warn them before God against quarreling about words; it is of no value, and only ruins those who listen. 
2TI.2.15	Do your best to present yourself to God as one approved, a worker who does not need to be ashamed and who correctly handles the word of truth. 
2TI.2.16	Avoid godless chatter, because those who indulge in it will become more and more ungodly. 
2TI.2.17	Their teaching will spread like gangrene. Among them are Hymenaeus and Philetus, 
2TI.2.18	who have departed from the truth. They say that the resurrection has already taken place, and they destroy the faith of some. 
2TI.2.19	Nevertheless, Godʼs solid foundation stands firm, sealed with this inscription: “The Lord knows those who are his,” and, “Everyone who confesses the name of the Lord must turn away from wickedness.”
2TI.2.20	In a large house there are articles not only of gold and silver, but also of wood and clay; some are for special purposes and some for common use. 
2TI.2.21	Those who cleanse themselves from the latter will be instruments for special purposes, made holy, useful to the Master and prepared to do any good work.
2TI.2.22	Flee the evil desires of youth and pursue righteousness, faith, love and peace, along with those who call on the Lord out of a pure heart. 
2TI.2.23	Donʼt have anything to do with foolish and stupid arguments, because you know they produce quarrels. 
2TI.2.24	And the Lordʼs servant must not be quarrelsome but must be kind to everyone, able to teach, not resentful. 
2TI.2.25	Opponents must be gently instructed, in the hope that God will grant them repentance leading them to a knowledge of the truth, 
2TI.2.26	and that they will come to their senses and escape from the trap of the devil, who has taken them captive to do his will.
2TI.3.1	But mark this: There will be terrible times in the last days. 
2TI.3.2	People will be lovers of themselves, lovers of money, boastful, proud, abusive, disobedient to their parents, ungrateful, unholy, 
2TI.3.3	without love, unforgiving, slanderous, without self-control, brutal, not lovers of the good, 
2TI.3.4	treacherous, rash, conceited, lovers of pleasure rather than lovers of God —  
2TI.3.5	having a form of godliness but denying its power. Have nothing to do with such people.
2TI.3.6	They are the kind who worm their way into homes and gain control over gullible women, who are loaded down with sins and are swayed by all kinds of evil desires, 
2TI.3.7	always learning but never able to come to a knowledge of the truth. 
2TI.3.8	Just as Jannes and Jambres opposed Moses, so also these teachers oppose the truth. They are men of depraved minds, who, as far as the faith is concerned, are rejected. 
2TI.3.9	But they will not get very far because, as in the case of those men, their folly will be clear to everyone.
2TI.3.10	You, however, know all about my teaching, my way of life, my purpose, faith, patience, love, endurance, 
2TI.3.11	persecutions, sufferings — what kinds of things happened to me in Antioch, Iconium and Lystra, the persecutions I endured. Yet the Lord rescued me from all of them. 
2TI.3.12	In fact, everyone who wants to live a godly life in Christ Jesus will be persecuted, 
2TI.3.13	while evildoers and impostors will go from bad to worse, deceiving and being deceived. 
2TI.3.14	But as for you, continue in what you have learned and have become convinced of, because you know those from whom you learned it, 
2TI.3.15	and how from infancy you have known the Holy Scriptures, which are able to make you wise for salvation through faith in Christ Jesus. 
2TI.3.16	All Scripture is God-breathed and is useful for teaching, rebuking, correcting and training in righteousness, 
2TI.3.17	so that the servant of God
2TI.4.1	In the presence of God and of Christ Jesus, who will judge the living and the dead, and in view of his appearing and his kingdom, I give you this charge: 
2TI.4.2	Preach the word; be prepared in season and out of season; correct, rebuke and encourage — with great patience and careful instruction. 
2TI.4.3	For the time will come when people will not put up with sound doctrine. Instead, to suit their own desires, they will gather around them a great number of teachers to say what their itching ears want to hear. 
2TI.4.4	They will turn their ears away from the truth and turn aside to myths. 
2TI.4.5	But you, keep your head in all situations, endure hardship, do the work of an evangelist, discharge all the duties of your ministry.
2TI.4.6	For I am already being poured out like a drink offering, and the time for my departure is near. 
2TI.4.7	I have fought the good fight, I have finished the race, I have kept the faith. 
2TI.4.8	Now there is in store for me the crown of righteousness, which the Lord, the righteous Judge, will award to me on that day — and not only to me, but also to all who have longed for his appearing.
2TI.4.9	Do your best to come to me quickly, 
2TI.4.10	for Demas, because he loved this world, has deserted me and has gone to Thessalonica. Crescens has gone to Galatia, and Titus to Dalmatia. 
2TI.4.11	Only Luke is with me. Get Mark and bring him with you, because he is helpful to me in my ministry. 
2TI.4.12	I sent Tychicus to Ephesus. 
2TI.4.13	When you come, bring the cloak that I left with Carpus at Troas, and my scrolls, especially the parchments.
2TI.4.14	Alexander the metalworker did me a great deal of harm. The Lord will repay him for what he has done. 
2TI.4.15	You too should be on your guard against him, because he strongly opposed our message.
2TI.4.16	At my first defense, no one came to my support, but everyone deserted me. May it not be held against them. 
2TI.4.17	But the Lord stood at my side and gave me strength, so that through me the message might be fully proclaimed and all the Gentiles might hear it. And I was delivered from the lionʼs mouth. 
2TI.4.18	The Lord will rescue me from every evil attack and will bring me safely to his heavenly kingdom. To him be glory for ever and ever. Amen.
2TI.4.19	Greet Priscilla
2TI.4.20	Erastus stayed in Corinth, and I left Trophimus sick in Miletus. 
2TI.4.21	Do your best to get here before winter. Eubulus greets you, and so do Pudens, Linus, Claudia and all the brothers and sisters.
2TI.4.22	The Lord be with your spirit. Grace be with you all.
MAT.1.1	This is the genealogy
MAT.1.2	Abraham was the father of Isaac,
MAT.1.2	Isaac the father of Jacob,
MAT.1.2	Jacob the father of Judah and his brothers,
MAT.1.3	Judah the father of Perez and Zerah, whose mother was Tamar,
MAT.1.3	Perez the father of Hezron,
MAT.1.3	Hezron the father of Ram,
MAT.1.4	Ram the father of Amminadab,
MAT.1.4	Amminadab the father of Nahshon,
MAT.1.4	Nahshon the father of Salmon,
MAT.1.5	Salmon the father of Boaz, whose mother was Rahab,
MAT.1.5	Boaz the father of Obed, whose mother was Ruth,
MAT.1.5	Obed the father of Jesse,
MAT.1.6	and Jesse the father of King David.
MAT.1.6	David was the father of Solomon, whose mother had been Uriahʼs wife,
MAT.1.7	Solomon the father of Rehoboam,
MAT.1.7	Rehoboam the father of Abijah,
MAT.1.7	Abijah the father of Asa,
MAT.1.8	Asa the father of Jehoshaphat,
MAT.1.8	Jehoshaphat the father of Jehoram,
MAT.1.8	Jehoram the father of Uzziah,
MAT.1.9	Uzziah the father of Jotham,
MAT.1.9	Jotham the father of Ahaz,
MAT.1.9	Ahaz the father of Hezekiah,
MAT.1.10	Hezekiah the father of Manasseh,
MAT.1.10	Manasseh the father of Amon,
MAT.1.10	Amon the father of Josiah,
MAT.1.11	and Josiah the father of Jeconiah
MAT.1.12	After the exile to Babylon:
MAT.1.12	Jeconiah was the father of Shealtiel,
MAT.1.12	Shealtiel the father of Zerubbabel,
MAT.1.13	Zerubbabel the father of Abihud,
MAT.1.13	Abihud the father of Eliakim,
MAT.1.13	Eliakim the father of Azor,
MAT.1.14	Azor the father of Zadok,
MAT.1.14	Zadok the father of Akim,
MAT.1.14	Akim the father of Elihud,
MAT.1.15	Elihud the father of Eleazar,
MAT.1.15	Eleazar the father of Matthan,
MAT.1.15	Matthan the father of Jacob,
MAT.1.16	and Jacob the father of Joseph, the husband of Mary, and Mary was the mother of Jesus who is called the Messiah.
MAT.1.17	Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Messiah.
MAT.1.18	This is how the birth of Jesus the Messiah came about
MAT.1.19	Because Joseph her husband was faithful to the law, and yet
MAT.1.20	But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit. 
MAT.1.21	She will give birth to a son, and you are to give him the name Jesus,
MAT.1.22	All this took place to fulfill what the Lord had said through the prophet: 
MAT.1.23	“The virgin will conceive and give birth to a son, and they will call him Immanuel”
MAT.1.24	When Joseph woke up, he did what the angel of the Lord had commanded him and took Mary home as his wife. 
MAT.1.25	But he did not consummate their marriage until she gave birth to a son. And he gave him the name Jesus.
MAT.2.1	After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi
MAT.2.2	and asked, “Where is the one who has been born king of the Jews? We saw his star when it rose and have come to worship him.”
MAT.2.3	When King Herod heard this he was disturbed, and all Jerusalem with him. 
MAT.2.4	When he had called together all the peopleʼs chief priests and teachers of the law, he asked them where the Messiah was to be born. 
MAT.2.5	“In Bethlehem in Judea,” they replied, “for this is what the prophet has written:
MAT.2.6	“ ‘But you, Bethlehem, in the land of Judah,
MAT.2.6	are by no means least among the rulers of Judah;
