GEN.1.1	 In the beginning God created heaven and earth.
LAM.1.21	 “All my enemies have heard that I am groaning.
LAM.1.21	No one offers me comfort.
LAM.1.21	All my enemies have heard about my disaster.
LAM.1.21	They are happy that you did it.
LAM.1.21	You have allowed the day to come, the one that you had announced.
LAM.1.21	Let my enemies be like me now.
LAM.1.22	 Recall all of their wickedness.
LAM.1.22	Then deal with them as you have dealt with me
LAM.1.22	because of all my rebellious acts.
LAM.1.22	I groan so much and feel so sick at heart.”
LAM.2.1	 “Look how the Lord has covered the people of Zion
LAM.2.1	with the cloud of his anger!
LAM.2.1	He has thrown down Israel’s beauty from heaven to earth.
LAM.2.1	He didn’t ⌊even⌋ remember his footstool on the day of his anger.
LAM.2.2	 The Lord swallowed up all of Jacob’s pastures without any pity.
LAM.2.2	He tore down the fortified cities of Judah in his fury.
LAM.2.2	He brought the kingdom ⌊of Judah⌋ and its leaders
LAM.2.2	down to the ground in dishonor.
LAM.2.3	 In his burning anger he cut off all of Israel’s strength.
LAM.2.3	He withdrew his right hand when they faced their enemy.
LAM.2.3	He burned like a raging fire in ⌊the land of⌋ Jacob,
LAM.2.3	destroying everything around him.
LAM.2.4	 Like an enemy he bent his bow.
LAM.2.4	Like an opponent his right hand held the arrow steady.
LAM.2.4	He killed all the beautiful people.
LAM.2.4	He poured out his fury like fire on the tent of Zion’s people.
LAM.2.5	 The Lord became an enemy.
LAM.2.5	He swallowed up Israel.
LAM.2.5	He swallowed up all of its palaces.
LAM.2.5	He destroyed its strongholds.
LAM.2.5	He made the people of Judah mourn and moan.
LAM.2.6	 He stripped his own booth as if it were a garden
LAM.2.6	and destroyed his own festivals.
LAM.2.6	The L
LAM.2.6	He expelled kings and priests because of his fierce anger.
LAM.2.7	 The Lord rejected his altar and disowned his holy place.
LAM.2.7	He handed the walls of Zion’s palaces over to its enemies.
LAM.2.7	The enemies made noise in the L
LAM.2.7	as though it were a festival day.
LAM.2.8	 The L
LAM.2.8	He marked it off with a line.
LAM.2.8	He didn’t take his hand away until he had swallowed it up.
LAM.2.8	He made the towers and walls mourn.
LAM.2.8	They are completely dejected.
LAM.2.9	 “⌊Zion’s⌋ gates have sunk into the ground.
LAM.2.9	⌊The L
LAM.2.9	Its king and influential people are ⌊scattered⌋ among the nations.
LAM.2.9	There is no longer any instruction ⌊from Moses’ Teachings⌋.
LAM.2.9	Its prophets can find no visions from the L
LAM.2.10	 The respected leaders of Zion’s people sit silently on the ground.
LAM.2.10	They throw dirt on their heads and put on sackcloth.
LAM.2.10	The young women of Jerusalem bow their heads to the ground.
LAM.2.11	 My eyes are worn out with tears.
LAM.2.11	My stomach is churning.
LAM.2.11	My heart is poured out on the ground
LAM.2.11	because of the destruction of my people.
LAM.2.11	Little children and infants faint in the city streets.
LAM.2.12	 They’re asking their mothers for some bread and wine
LAM.2.12	as they faint like wounded people in the city streets.
LAM.2.12	Their lives dwindle away in their mothers’ arms.
LAM.2.13	 “What example can I give you?
LAM.2.13	What parallel can I show you, people of Jerusalem?
LAM.2.13	What comparison can I make that will comfort you, beloved people of Zion?
LAM.2.13	Your wounds are as deep as the sea.
LAM.2.13	Who can heal you?
LAM.2.14	 Your prophets saw misleading visions about you.
LAM.2.14	They painted a good picture of you.
LAM.2.14	They didn’t expose your guilt in order to make things better again.
LAM.2.14	They gave you false prophecies that misled you.
LAM.2.15	 Everyone who walks along the road shakes a fist at you.
LAM.2.15	They hiss and shake their heads at Jerusalem’s people:
LAM.2.15	‘Is this the city they used to call absolutely beautiful,
LAM.2.15	the joy of the whole world?’
LAM.2.16	 All your enemies gawk at you.
LAM.2.16	They hiss and grit their teeth.
LAM.2.16	They say, ‘We’ve swallowed it up.
LAM.2.16	Yes, this is the day we’ve been waiting for.
LAM.2.16	At last we have seen it!’
LAM.2.17	 The L
LAM.2.17	He carried out the threat he announced long ago.
LAM.2.17	He tore you down without any pity, ⌊Jerusalem⌋.
LAM.2.17	He made your enemies gloat over you.
LAM.2.17	He raised the weapons of your opponents.
LAM.2.18	 The hearts of Jerusalem’s people
LAM.2.18	cried out to the L
LAM.2.18	Let your tears run down like a river day and night.
LAM.2.18	Don’t let them stop.
LAM.2.18	Don’t let your eyes rest.
LAM.2.19	 Get up! Cry out at night, every hour on the hour.
LAM.2.19	Pour your heart out like water in the presence of the L
LAM.2.19	Lift up your hands to him ⌊in prayer⌋
LAM.2.19	for the life of your little children
LAM.2.19	who faint from hunger at every street corner.”
LAM.2.20	 “O L
LAM.2.20	Have you ever treated anyone like this?
LAM.2.20	Should women eat their own children,
LAM.2.20	the children they have nursed?
LAM.2.20	Should priests and prophets be killed in the Lord’s holy place?
LAM.2.21	 Young and old lie on the ground in the streets.
LAM.2.21	My young women and men are cut down by swords.
LAM.2.21	You killed them on the day of your anger.
LAM.2.21	You slaughtered them without any pity.
LAM.2.22	 You have invited those who terrorize me on every side,
LAM.2.22	as though they were invited to a festival.
LAM.2.22	No one escaped or survived on the day of the L
LAM.2.22	My enemy has murdered the children I nursed and raised.”
LAM.3.1	 “I am the man who has experienced suffering under the rod of God’s fury.
LAM.3.2	 God has driven me away
LAM.3.2	and made me walk in darkness instead of light.
LAM.3.3	 He beat me again and again all day long.
LAM.3.4	 He has made my flesh and my skin waste away.
LAM.3.4	He has broken my bones.
LAM.3.5	 He has attacked me and surrounded me with bitterness and hardship.
LAM.3.6	 He has made me live in darkness,
LAM.3.6	like those who died a long time ago.
LAM.3.7	 He has blocked me so that I can’t get out.
LAM.3.7	He has put heavy chains on me.
LAM.3.8	 Even when I cry and call for help, he shuts out my prayer.
LAM.3.9	 He has blocked my way with cut stones and made my paths crooked.
LAM.3.10	 He is like a bear waiting to ambush me, like a lion in hiding.
LAM.3.11	 He has forced me off the road I was taking, torn me to pieces,
LAM.3.11	and left me with nothing.
LAM.3.12	 He has drawn his bow and made me the target for his arrows.
LAM.3.13	 He has shot the arrows from his quiver into my heart.
LAM.3.14	 I have become a laughingstock to all my people.
LAM.3.14	All day long ⌊they make fun of me⌋ with their songs.
LAM.3.15	 He has filled me with bitterness.
LAM.3.15	He has made me drink wormwood.
LAM.3.16	 He has ground my teeth with gravel.
LAM.3.16	He has trampled me into the dust.
LAM.3.17	 “My soul has been kept from enjoying peace.
LAM.3.17	I have forgotten what happiness is.
LAM.3.18	 I said, ‘I’ve lost my strength ⌊to live⌋ and my hope in the L
LAM.3.19	 Remember my suffering and my ⌊aimless⌋ wandering,
LAM.3.19	the wormwood and poison.
LAM.3.20	 My soul continues to remember ⌊these things⌋ and is so discouraged.
LAM.3.21	 “The reason I can ⌊still⌋ find hope is that I keep this one thing in mind:
LAM.3.22	 the L
LAM.3.22	We were not completely wiped out.
LAM.3.22	His compassion is never limited.
LAM.3.23	 It is new every morning.
LAM.3.23	His faithfulness is great.
LAM.3.24	 My soul can say, ‘The L
LAM.3.24	That is why I find hope in him.’
LAM.3.25	 The L
LAM.3.25	to anyone who seeks help from him.
LAM.3.26	 “It is good to continue to hope and wait silently
LAM.3.26	for the L
LAM.3.27	 It is good for people to endure burdens when they’re young.
LAM.3.28	 They should sit alone and remain silent
LAM.3.28	because the L
LAM.3.29	 They should put their mouths in the dust.
LAM.3.29	Maybe a reason to hope exists.
LAM.3.30	 They should turn their cheeks to the one who strikes them
LAM.3.30	and take their fill of insults.
LAM.3.31	 “The Lord will not reject ⌊such⌋ people forever.
LAM.3.32	 Even if he makes us suffer,
LAM.3.32	he will have compassion
LAM.3.32	in keeping with the richness of his mercy.
LAM.3.33	 He does not willingly bring suffering or grief to anyone,
LAM.3.34	 crush any prisoner on earth underfoot,
LAM.3.35	 deny people their rights in the presence of the Most High God,
LAM.3.36	 or deprive people of justice in court.
LAM.3.36	The Lord isn’t happy to see ⌊these things⌋.
LAM.3.37	 Who was it who spoke and it came into being?
LAM.3.37	It was the Lord who gave the order.
LAM.3.38	 Both good and bad come from the mouth of the Most High God.
LAM.3.39	 “Why should any living mortal (any person)
LAM.3.39	complain about being punished for sin?
LAM.3.40	 Let us look closely at our ways and examine them
LAM.3.40	and then return to the L
LAM.3.41	 Let us raise our hearts and hands to God in heaven.
LAM.3.42	 “We have been disobedient and rebellious.
LAM.3.42	You haven’t forgiven us.
LAM.3.43	 You covered yourself with anger and pursued us.
LAM.3.43	You killed without pity.
LAM.3.44	 You covered yourself with a cloud
LAM.3.44	so that no prayer could get through it.
LAM.3.45	 You made us the scum and trash of the nations.
LAM.3.46	 All our enemies gawk at us.
LAM.3.47	 Panic and pitfalls have found us, so have devastation and destruction.
LAM.3.48	 “Streams of tears run down from my eyes
LAM.3.48	over the ruin of my dear people.
LAM.3.49	 My eyes will keep flowing without stopping for a moment
LAM.3.50	 until the L
LAM.3.51	 What I see with my eyes disturbs me deeply
LAM.3.51	because of all the young women in my city.
LAM.3.52	 “Those who were my enemies for no reason hunted me like a bird.
LAM.3.53	 They threw me alive into a pit and threw rocks at me.
LAM.3.54	 Water flowed over my head. I thought I was finished.
LAM.3.55	 “I call your name from the deepest pit, O L
LAM.3.56	 Listen to my cry ⌊for help⌋.
LAM.3.56	Don’t close your ears when I cry out for relief.
LAM.3.57	 Be close at hand when I call to you. You told me not to be afraid.
LAM.3.58	 Plead my case for me, O L
LAM.3.59	 Look at the wrong that has been done to me, O L
LAM.3.59	Give me a fair verdict.
LAM.3.60	 Look at all their malice, all their plots against me.
LAM.3.61	 Listen to their insults, all their plots against me.
LAM.3.62	 The words and thoughts of those who attack me
LAM.3.62	are directed against me all day long.
LAM.3.63	 Look at them! Whether they are sitting or standing,
LAM.3.63	they make fun of me in their songs.
LAM.3.64	 Pay them back, O L
LAM.3.64	for what their own hands have done.
LAM.3.65	 Make them stubborn. Let your curse be on them.
LAM.3.66	 Pursue them in anger, and wipe them out from under the L
LAM.4.1	 “Look how the gold has become tarnished!
LAM.4.1	The fine gold has changed!
LAM.4.1	The sacred stones are scattered at every street corner.
LAM.4.2	 “Zion’s precious children, who are worth their weight in fine gold,
LAM.4.2	are now treated like clay pots,
LAM.4.2	like those made by a potter’s hands.
LAM.4.3	 Even jackals offer their breasts to nurse their young,
LAM.4.3	but the women of my people are as cruel as wild ostriches.
LAM.4.4	 The tongues of nursing infants stick to the roofs of their mouths
LAM.4.4	because of their thirst.
LAM.4.4	Little children beg for bread,
LAM.4.4	but no one will break off a piece for them.
LAM.4.5	 Those who used to eat delicacies are now destitute in the streets.
LAM.4.5	Those who used to wear expensive clothes now pick through piles of garbage.
LAM.4.6	 The punishment for my people’s wickedness has been more severe
LAM.4.6	than the punishment for the sins of Sodom.
LAM.4.6	Sodom was destroyed instantly, without one human hand touching it.
LAM.4.7	 Zion’s princes were purer than snow, whiter than milk.
LAM.4.7	Their bodies were more pink than coral.
LAM.4.7	Their hair was like sapphires.
LAM.4.8	 Their faces are ⌊now⌋ blacker than soot.
LAM.4.8	No one recognizes them on the streets.
LAM.4.8	Their skin has shriveled on their bones.
LAM.4.8	It has become as dry as bark.
LAM.4.9	 Those who were killed with swords are better off
LAM.4.9	than those who are dying from starvation.
LAM.4.9	Those who were stabbed bled to death.
LAM.4.9	The others are dying because there is nothing in the fields to eat.
LAM.4.10	 The hands of loving mothers cooked their own children.
LAM.4.10	The children were used for food by my people
LAM.4.10	when they were being destroyed ⌊by a blockade⌋.
LAM.4.11	 The L
LAM.4.11	He unleashed his burning anger.
LAM.4.11	He started a fire in Zion that even burned its foundations.
LAM.4.12	 Neither the kings of the earth nor anyone living on earth could believe
LAM.4.12	that enemies or invaders would ever get through the gates of Jerusalem.
LAM.4.13	 ⌊They got through⌋ because of the sins of Jerusalem’s prophets
LAM.4.13	and the crimes of its priests,
LAM.4.13	who spilled the blood of righteous people within it.
LAM.4.14	 My people staggered blindly through the streets.
LAM.4.14	They were so contaminated with bloodstains
LAM.4.14	that no one would touch their clothes.
LAM.4.15	 ‘Get away! You’re unclean,’ 
LAM.4.15	‘Get away! Get away! Don’t touch anyone.’
LAM.4.15	When they fled and wandered around,
LAM.4.15	the people of the nations said, ‘They can’t stay here any longer.’
LAM.4.16	 The L
LAM.4.16	He will no longer look favorably on them.
LAM.4.16	They no longer respected the priests,
LAM.4.16	nor did they honor their older leaders.”
LAM.4.17	 “We are still straining our eyes, trying in vain to find help.
LAM.4.17	We waited and waited for a nation that didn’t save us.
LAM.4.18	 ⌊The enemy⌋ kept tracking us down,
LAM.4.18	so we couldn’t even go out into the streets.
LAM.4.18	Our end was near.
LAM.4.18	Our time was up.
LAM.4.18	Our end had come.
LAM.4.19	 Those who were hunting us were faster than eagles in the sky.
LAM.4.19	They chased us in the mountains and ambushed us in the wilderness.
LAM.4.20	 The person the L
LAM.4.20	was caught in their pits.
LAM.4.20	We had thought that we would live
LAM.4.20	in our king’s shadow among the nations.”
LAM.4.21	 “Rejoice and be glad, people of Edom, inhabitants of the country of Uz.
LAM.4.21	The cup ⌊of the L
LAM.4.21	You’ll get drunk and take off all your clothes.
LAM.4.22	 People of Zion, the punishment for your wickedness will end.
LAM.4.22	The L
LAM.4.22	People of Edom, he will punish you for your wickedness.
LAM.4.22	He will expose your sins.”
LAM.5.1	 “Remember, O L
LAM.5.1	Take a look at our disgrace!
LAM.5.2	 “The land we inherited has been turned over to strangers.
LAM.5.2	Our homes have been turned over to foreigners.
LAM.5.3	 We are orphans without a father.
LAM.5.3	Our mothers are like widows.
LAM.5.4	 We have to pay to drink our own water.
LAM.5.4	We have to pay to chop our own wood.
LAM.5.5	 ⌊Our enemies⌋ are breathing down our necks.
LAM.5.5	We are worn out ⌊and⌋ not permitted to rest.
LAM.5.6	 We had to beg Egypt and Assyria for food.
LAM.5.7	 Our ancestors sinned.
LAM.5.7	Now they are gone,
LAM.5.7	⌊but⌋ we have to take the punishment for their wickedness.
LAM.5.8	 Slaves rule us.
LAM.5.8	There is no one to rescue us from them.
LAM.5.9	 To get our food, we have to risk our lives
LAM.5.9	in the heat 
LAM.5.10	 Our skin is as hot as an oven from the burning heat of starvation.
LAM.5.11	 Women in Zion are raped, so are the girls in the cities of Judah.
LAM.5.12	 ⌊Our⌋ leaders are hung by their hands.
LAM.5.12	⌊Our⌋ older leaders are shown no respect.
LAM.5.13	 ⌊Our⌋ young men work at the mill,
LAM.5.13	and ⌊our⌋ boys stagger under loads of wood.
LAM.5.14	 ⌊Our⌋ older leaders have stopped meeting at the city gate,
LAM.5.14	and ⌊our⌋ young men no longer play their music.
LAM.5.15	 There is no joy left in our hearts.
LAM.5.15	Our dancing has turned into mourning.
LAM.5.16	 The crown has fallen from our head.
LAM.5.16	Because we have sinned, it has been disastrous for us.
LAM.5.17	 This is why we feel sick.
LAM.5.17	This is why our eyes see less and less.
LAM.5.18	 Foxes roam around on Mount Zion, which lies in ruins.
LAM.5.19	 “But you, O L
LAM.5.19	and your reign continues throughout every generation.
LAM.5.20	 Why have you completely forgotten us?
LAM.5.20	Why have you abandoned us for such a long time?
LAM.5.21	 O L
LAM.5.21	Give us back the life we had long ago,
LAM.5.22	 unless you have completely rejected us
LAM.5.22	⌊and⌋ are very angry with us.”
EZK.1.1	 On the fifth day of the fourth month in the thirtieth year, while I was living among the exiles by the Chebar River, the sky opened, and I saw visions from God. 
EZK.1.2	 On the fifth day of the month, during the fifth year of the exile of King Jehoiakin, 
EZK.1.3	 the L
EZK.1.4	 As I looked, I saw a storm coming from the north. There was an immense cloud with flashing lightning surrounded by a bright light. The middle of the lightning looked like glowing metal. 
EZK.1.5	 In the center of the cloud I saw what looked like four living creatures. They were shaped like humans, 
EZK.1.6	 but each of them had four faces and four wings. 
EZK.1.7	 Their legs were straight, their feet were like those of calves, and they glittered like polished bronze. 
EZK.1.8	 They had human hands under their wings on each of their four sides. All four of them had faces and wings. 
EZK.1.9	 Their wings touched each other. The creatures went straight ahead, and they did not turn as they moved.
EZK.1.10	 Their faces looked like this: From the front, each creature had the face of a human. From the right, each one had the face of a lion. From the left, each one had the face of a bull. And from the back, each one had the face of an eagle. 
EZK.1.11	 That is what their faces looked like. Their wings were spread out, pointing upward. Each creature had two wings with which they touched each other. The other two wings covered their bodies. 
EZK.1.12	 Each of the creatures went straight ahead. They went wherever their spirit wanted to go, and they didn’t turn as they moved. 
EZK.1.13	 The living creatures looked like burning coals and torches. Fire moved back and forth between the living creatures. The fire was bright, and lightning came out of the fire. 
EZK.1.14	 The living creatures ran back and forth like lightning.
EZK.1.15	 As I looked at the living creatures, I saw a wheel on the ground beside each of them. 
EZK.1.16	 This is how the wheels looked and how they were made: They looked like beryl. All four wheels looked the same. They looked like a wheel within a wheel. 
EZK.1.17	 Whenever they moved, they moved in any of the four directions without turning as they moved. 
EZK.1.18	 The rims of the wheels were large and frightening. They were covered with eyes.
EZK.1.19	 When the living creatures moved, the wheels moved with them. When the living creatures rose from the earth, the wheels rose. 
EZK.1.20	 Wherever their spirit wanted to go, the creatures went. The wheels rose with them, because the spirit of the living creatures was in the wheels. 
EZK.1.21	 So whenever the creatures moved, the wheels moved. Whenever the creatures stood still, the wheels stood still. And whenever the creatures rose from the earth, the wheels rose with them, because the spirit of the living creatures was in the wheels.
EZK.1.22	 Something like a dome was spread over the heads of the living creatures. It looked like dazzling crystal. 
EZK.1.23	 Under the dome, each creature had two wings that were stretched out straight, touching one another. Each creature had two wings that covered its body. 
EZK.1.24	 When the creatures moved, I heard the sound of their wings. The sound was like the noise of rushing water, like the thunder of the Almighty, like the commotion in an army camp. When the creatures stood still, they lowered their wings.
EZK.1.25	 A voice came from above the dome over their heads as they stood still with their wings lowered. 
EZK.1.26	 Above the dome over their heads was something that looked like a throne made of sapphire. On the throne was a figure that looked like a human. 
EZK.1.27	 Then I saw what he looked like from the waist up. He looked like glowing bronze with fire all around it. From the waist down, he looked like fire. A bright light surrounded him. 
EZK.1.28	 The brightness all around him looked like a rainbow in the clouds. It was like the L
EZK.2.1	 He said to me, “Son of man, stand up, and I will speak to you.” 
EZK.2.2	 As he spoke to me, the Spirit entered me, stood me on my feet, and I heard him speaking to me.
EZK.2.3	 He said to me, “Son of man, I am sending you to the people of Israel. They are people from a nation that has rebelled against me. They and their ancestors have rebelled against me to this day. 
EZK.2.4	 I am sending you to these defiant and stubborn children. Tell them, ‘This is what the Almighty L
EZK.2.5	 Whether these rebellious people listen or not, they will realize that a prophet has been among them. 
EZK.2.6	 Son of man, don’t be afraid of them or the things they say. Don’t be afraid, even though thorns and thistles are around you and you live among scorpions. Don’t let the things they say frighten you. Don’t be terrified in their presence, even though they are rebellious people. 
EZK.2.7	 Speak my words to them whether they listen or not, because they are rebellious. 
EZK.2.8	 But you, son of man, listen to what I say. Don’t be rebellious like those rebellious people. Open your mouth, and eat what I am giving to you.”
EZK.2.9	 As I looked, I saw a hand stretched out toward me. In it was a scroll. 
EZK.2.10	 He spread the scroll in front of me. There was writing on the front and back. There were funeral songs, songs of mourning, and horrible things written on it.
EZK.3.1	 The L
EZK.3.2	 So I opened my mouth, and he gave me the scroll to eat.
EZK.3.3	 He said to me, “Son of man, eat this scroll I’m giving you, and fill your stomach with it.” So I ate it, and it tasted as sweet as honey in my mouth.
EZK.3.4	 He said to me, “Son of man, go to the people of Israel, and speak my words to them. 
EZK.3.5	 I am not sending you to people whose language is hard to understand or difficult to speak. I am sending you to Israel. 
EZK.3.6	 I am not sending you to nations whose language is hard to understand, difficult to speak, or whose words you cannot understand. If I send you to those nations, they will certainly listen to you. 
EZK.3.7	 But the people of Israel will refuse to listen to you because they refuse to listen to me. All the people of Israel are very stubborn and hardheaded. 
EZK.3.8	 Yet, I will make you as stubborn and as hardheaded as they are. 
EZK.3.9	 I will make you as hard as a diamond, harder than stone. Don’t be afraid of them. Don’t be terrified in their presence, even though they are rebellious people.”
EZK.3.10	 He also said to me, “Son of man, take to heart everything I have spoken to you, and listen closely. 
EZK.3.11	 Go to the exiles, to your people. Whether they listen or not, tell them, ‘This is what the Almighty L
EZK.3.12	 Then the Spirit lifted me, and behind me I heard a loud thundering voice say, “Blessed is the L
EZK.3.13	 I also heard the noise of the wings of the living creatures touching one another and the noise of the wheels beside them as well as a loud rumbling. 
EZK.3.14	 Then the Spirit lifted me and took me away. I went away feeling bitter and angry. The strong power of the L
EZK.3.15	 I went to Tel Abib, to the exiles who lived by the Chebar River. I sat there among them for seven days. I was stunned.
EZK.3.16	 After seven days the L
EZK.3.17	 “Son of man, I have made you a watchman over the people of Israel. Listen to what I say, and warn them for me. 
EZK.3.18	 Suppose I tell you that wicked people will surely die, but you don’t warn them or speak out so that they can change their wicked ways in order to save their lives. Then these wicked people will die because of their sin, but I will hold you responsible for their deaths. 
EZK.3.19	 But suppose you warn the wicked people, and they don’t turn from their wicked ways. Then they will die because of their sin, but you will save yourself. 
EZK.3.20	 If righteous people turn from living the right way and do wrong, I will make them stumble, and they will die. If you don’t warn them, they will die because of their sin, and the right things they did will not be remembered. I will hold you responsible for their deaths. 
EZK.3.21	 But if you warn righteous people not to sin, and they don’t sin, they will certainly live because they listened to the warning. You will save yourself.”
EZK.3.22	 The power of the L
EZK.3.23	 I got up and went to the plain. The L
EZK.3.24	 Then the Spirit entered me and stood me on my feet. He talked to me. He said, “Go into your home, and shut yourself inside. 
EZK.3.25	 People will tie you up with ropes, son of man, so that you can’t go outside. 
EZK.3.26	 I will make your tongue stick to the roof of your mouth so that you can’t talk or criticize them, even though they are rebellious people. 
EZK.3.27	 But when I speak to you, I will open your mouth. You will tell them, ‘This is what the Almighty L
EZK.4.1	 ⌊The L
EZK.4.2	 Set up a blockade against it, build attack walls around it, put up dirt ramps around it, have troops ready to attack it, and place battering rams all around it. 
EZK.4.3	 Then take an iron pan, and set it up as a wall between you and the city. Turn your face toward the city as if you were going to attack it, and then attack it. This is a sign for the people of Israel.
EZK.4.4	 “Then lie on your left side and take the punishment of the nation of Israel yourself. You will bear its punishment as many days as you lie on that side. 
EZK.4.5	 I have assigned to you one day for each year its punishment will last. So for 390 days, you will bear the punishment for the sins of the nation of Israel. 
EZK.4.6	 When you finish this, you will lie down again, this time on your right side. You will bear the punishment for the sins of the nation of Judah for 40 days, one day for each year I have assigned to you. 
EZK.4.7	 Turn your face toward the blockaded Jerusalem. Shake your fist and prophesy against it. 
EZK.4.8	 I will tie you up with ropes so that you will not be able to turn from one side to the other until you have finished attacking ⌊Jerusalem⌋.
EZK.4.9	 “Then take wheat, barley, beans, lentils, millet, and winter wheat. Put them in a container, and use them to make bread for yourself. Eat it during the 390 days that you are lying on your side. 
EZK.4.10	 The food that you eat should be weighed. Eat eight ounces of food every day at set times. 
EZK.4.11	 Measure out two-thirds of a quart of water, and drink it at set times. 
EZK.4.12	 Eat the bread as you would eat barley loaves. Bake the bread in front of people, using human excrement for fuel.”
EZK.4.13	 Then the L
EZK.4.14	 I answered, “Almighty L
EZK.4.15	 He said to me, “I will let you use cow manure in place of human excrement. Bake your bread over it.”
EZK.4.16	 He also said to me, “Son of man, I am going to cut off the bread supply in Jerusalem. People will anxiously eat rationed bread and fearfully drink rationed water. 
EZK.4.17	 They will be shocked at the sight of each other because of the lack of food and water. They will waste away because of their sin.”
EZK.5.1	 ⌊The L
EZK.5.2	 When the blockade is over, burn one-third of your hair in a fire in the middle of the city. Take another third, and cut it up with a blade around the city. Then scatter the remaining third to the wind, and I will draw a sword and go after it. 
EZK.5.3	 Take a few strands of hair, and wrap them in the hem of your clothes. 
EZK.5.4	 Later, take some of them, and throw them in a fire and burn them up. From there a fire will spread throughout the whole nation of Israel.
EZK.5.5	 “This is what the Almighty L
EZK.5.6	 The people of Jerusalem have rebelled against my rules and my laws more than the surrounding nations. They have rejected my rules, and they don’t live by my laws.
EZK.5.7	 “So this is what the Almighty L
EZK.5.8	 “So this is what the Almighty L
EZK.5.9	 Because of all the detestable things that you do, I will do things to you that I have never done before and will never do again. 
EZK.5.10	 That is why parents will eat their children, and children will eat their parents. I will punish you and scatter whoever is left to the wind.
EZK.5.11	 “As I live, declares the Almighty L
EZK.5.12	 One-third of you will die in plagues and be devoured in famines. Another third will die in battles against those around you. I will scatter the remaining third to the wind, and I will pursue them with a sword.
EZK.5.13	 “I will unleash my anger. I will use my fury against you, and I will get revenge. When my fury is unleashed against you, you will know that I, the L
EZK.5.14	 I will turn you into a wasteland and an object of ridicule among the nations around you and in the presence of everyone who passes by you. 
EZK.5.15	 The nations that are around you will ridicule you and laugh at you. When I punish you because of my anger, fury, and fierce revenge, you will become something ridiculed and something horrible. I, the L
EZK.5.16	 When I shoot my destructive arrows of famine at you, I will shoot to kill you. I will bring more and more famines into your land, and I will cut off your food supply. 
EZK.5.17	 I will send famines and wild animals against you, and they will rob you of your children. I will send plagues, violence, and wars to kill you. I, the L
EZK.6.1	 The L
EZK.6.2	 “Son of man, look toward the mountains of Israel, and prophesy against them. 
EZK.6.3	 Say this, ‘You mountains of Israel, listen to the word of the Almighty L
EZK.6.4	 Your altars will be destroyed, and your incense burners will be smashed. I will kill people in front of your idols. 
EZK.6.5	 I will lay the dead bodies of the people of Israel in front of your idols, and I will scatter their bones around your altars. 
EZK.6.6	 Wherever people live, the cities will be ruined, and the worship sites will be wrecked. Your altars will be ruined and demolished. Your idols will be smashed and completely destroyed. Your incense burners will be cut down, and everything you have done will be wiped out. 
EZK.6.7	 People will be killed, and they will fall among you. Then you will know that I am the L
EZK.6.8	 “‘But I will let some people live. Some people will escape the battle among the nations and be scattered throughout the countries. 
EZK.6.9	 Then those who escape will remember me among the nations where they are taken captive. I was hurt by their adulterous hearts, which turned away from me, and by their eyes, which lusted after idols. They will hate themselves for the evil and disgusting things that they have done. 
EZK.6.10	 Then you will know that I am the L
EZK.6.11	 “‘This is what the Almighty L
EZK.6.12	 Plagues will kill those who are far away. Those who are near will die in wars, and anyone who is left and has escaped will die in famines. This is how I will unleash my anger. 
EZK.6.13	 Then you will know that I am the L
EZK.6.13	“‘Those who are killed will lie beside the idols around their altars. They will lie on every high hill, on all the mountaintops, and under every large tree and every leafy oak. These are the places where they made offerings to their disgusting idols. 
EZK.6.14	 I will use my power against them and destroy the land, from the desert to Diblah. Then they will know that I am the L
EZK.7.1	 The L
EZK.7.2	 “Son of man, this is what the Almighty L
EZK.7.3	 Now the end is coming for you. I will send my anger against you. I will judge you for the way you have lived, and I will punish you for all the detestable things that you have done. 
EZK.7.4	 I will not have compassion for you or feel sorry for you. I will pay you back for the way you have lived and for the detestable things you have done. Then you will know that I am the L
EZK.7.5	 “This is what the Almighty L
EZK.7.6	 The end is coming. The end is coming. It is stirring itself up against you. It is coming! 
EZK.7.7	 Destruction is coming to you, inhabitants of the land. The time is coming. The day is near. There will be confusion. There will be no joy in the mountains. 
EZK.7.8	 Soon I will pour out my fury on you and unleash my anger on you. I will judge you for the way you have lived, and I will punish you for all the detestable things that you have done. 
EZK.7.9	 I will not have compassion or feel sorry. I will pay you back for the way you have lived and for the detestable things that you are still doing. Then you will know that I am the L
EZK.7.10	 “The day is near! It is coming! Destruction is coming! Wrongdoing has blossomed. Arrogance has flourished. 
EZK.7.11	 Violence has grown into a weapon for punishing wickedness. None of the people will be left. None of that crowd, none of their wealth, and nothing of value will be left. 
EZK.7.12	 The time is coming. The day is near. Buyers will not rejoice, and sellers will not mourn, because ⌊my⌋ fury will be against the whole crowd. 
EZK.7.13	 Sellers will not live long enough to buy back what they have sold. The visions against that crowd will not change. Because of their sins, none of the people will live. 
EZK.7.14	 They have blown a ram’s horn, and everything is ready. But no one will go into battle, because my fury is against their whole crowd.
EZK.7.15	 “Outside are swords, and inside are plagues and famines. Whoever is in a field will die in battle. Whoever is in the city will be devoured by famines and plagues. 
EZK.7.16	 Those who survive will escape to the mountains. They will moan like doves in the valleys. They will moan because of their sins. 
EZK.7.17	 Every hand will hang limp, and every knee will be as weak as water. 
EZK.7.18	 They will put on sackcloth, and horror will cover them. All their faces will be covered with shame, and every head will be shaved. 
