GEN.1.1	In the beginning, when God created the universe,
PSA.74.9	there are no prophets left,
PSA.74.9	and no one knows how long this will last.
PSA.74.10	How long, O God, will our enemies laugh at you?
PSA.74.10	Will they insult your name forever?
PSA.74.11	Why have you refused to help us?
PSA.74.11	Why do you keep your hands behind you?
PSA.74.12	But you have been our king from the beginning, O God;
PSA.74.12	you have saved us many times.
PSA.74.13	and smashed the heads of the sea monsters;
PSA.74.14	and fed his body to desert animals.
PSA.74.15	You made springs and fountains flow;
PSA.74.15	you dried up large rivers.
PSA.74.16	You created the day and the night;
PSA.74.16	you set the sun and the moon in their places;
PSA.74.17	you set the limits of the earth;
PSA.74.17	you made summer and winter.
PSA.74.18	But remember, O 
PSA.74.18	that they are godless and despise you.
PSA.74.19	Don't abandon your helpless people to their cruel enemies;
PSA.74.19	don't forget your persecuted people!
PSA.74.20	Remember the covenant you made with us.
PSA.74.20	There is violence in every dark corner of the land.
PSA.74.21	Don't let the oppressed be put to shame;
PSA.74.21	let those poor and needy people praise you.
PSA.74.22	Rouse yourself, God, and defend your cause!
PSA.74.22	Remember that godless people laugh at you all day long.
PSA.74.23	Don't forget the angry shouts of your enemies,
PSA.74.23	the continuous noise made by your foes.
PSA.75.1	We give thanks to you, O God, we give thanks to you!
PSA.75.1	We proclaim how great you are
PSA.75.1	and tell of
PSA.75.2	“I have set a time for judgment,” says God,
PSA.75.2	“and I will judge with fairness.
PSA.75.3	Though every living creature tremble
PSA.75.3	and the earth itself be shaken,
PSA.75.3	I will keep its foundations firm.
PSA.75.4	I tell the wicked not to be arrogant;
PSA.75.5	I tell them to stop their boasting.”
PSA.75.6	Judgment does not come from the east or from the west,
PSA.75.6	from the north or from the south;
PSA.75.7	it is God who is the judge,
PSA.75.7	condemning some and acquitting others.
PSA.75.8	The 
PSA.75.8	filled with the strong wine of his anger.
PSA.75.8	He pours it out, and all the wicked drink it;
PSA.75.8	they drink it down to the last drop.
PSA.75.9	But I will never stop speaking of the God of Jacob
PSA.75.9	or singing praises to him.
PSA.75.10	He will break the power of the wicked,
PSA.75.10	but the power of the righteous will be increased.
PSA.76.1	God is known in Judah;
PSA.76.1	his name is honored in Israel.
PSA.76.2	He has his home in Jerusalem;
PSA.76.2	he lives on Mount Zion.
PSA.76.3	There he broke the arrows of the enemy,
PSA.76.3	their shields and swords, yes, all their weapons.
PSA.76.4	How glorious you are, O God!
PSA.76.4	How majestic, as you return from the mountains
PSA.76.4	where you defeated your foes.
PSA.76.5	Their brave soldiers have been stripped of all they had
PSA.76.5	and now are sleeping the sleep of death;
PSA.76.5	all their strength and skill was useless.
PSA.76.6	When you threatened them, O God of Jacob,
PSA.76.6	the horses and their riders fell dead.
PSA.76.7	But you, 
PSA.76.7	No one can stand in your presence
PSA.76.7	when you are angry.
PSA.76.8	You made your judgment known from heaven;
PSA.76.8	the world was afraid and kept silent,
PSA.76.9	when you rose up to pronounce judgment,
PSA.76.9	to save all the oppressed on earth.
PSA.76.10	Human anger only results in more praise for you;
PSA.76.10	those who survive the wars will keep your festivals.
PSA.76.11	Give the 
PSA.76.11	bring gifts to him, all you nearby nations.
PSA.76.11	God makes everyone fear him;
PSA.76.12	he humbles proud princes
PSA.76.12	and terrifies great kings.
PSA.77.1	I cry aloud to God;
PSA.77.1	I cry aloud, and he hears me.
PSA.77.2	In times of trouble I pray to the Lord;
PSA.77.2	all night long I lift my hands in prayer,
PSA.77.2	but I cannot find comfort.
PSA.77.3	When I think of God, I sigh;
PSA.77.3	when I meditate, I feel discouraged.
PSA.77.4	He keeps me awake all night;
PSA.77.4	I am so worried that I cannot speak.
PSA.77.5	I think of days gone by
PSA.77.5	and remember years of long ago.
PSA.77.6	I spend the night in deep thought;
PSA.77.6	I meditate, and this is what I ask myself:
PSA.77.7	“Will the Lord always reject us?
PSA.77.7	Will he never again be pleased with us?
PSA.77.8	Has he stopped loving us?
PSA.77.8	Does his promise no longer stand?
PSA.77.9	Has God forgotten to be merciful?
PSA.77.9	Has anger taken the place of his compassion?”
PSA.77.10	Then I said, “What hurts me most is this—
PSA.77.10	that God is no longer powerful.”
PSA.77.11	I will remember your great deeds, 
PSA.77.11	I will recall the wonders you did in the past.
PSA.77.12	I will think about all that you have done;
PSA.77.12	I will meditate on all your mighty acts.
PSA.77.13	Everything you do, O God, is holy.
PSA.77.13	No god is as great as you.
PSA.77.14	You are the God who works miracles;
PSA.77.14	you showed your might among the nations.
PSA.77.15	By your power you saved your people,
PSA.77.15	the descendants of Jacob and of Joseph.
PSA.77.16	When the waters saw you, O God, they were afraid,
PSA.77.16	and the depths of the sea trembled.
PSA.77.17	The clouds poured down rain;
PSA.77.17	thunder crashed from the sky,
PSA.77.17	and lightning flashed in all directions.
PSA.77.18	The crash of your thunder rolled out,
PSA.77.18	and flashes of lightning lit up the world;
PSA.77.18	the earth trembled and shook.
PSA.77.19	You walked through the waves;
PSA.77.19	you crossed the deep sea,
PSA.77.19	but your footprints could not be seen.
PSA.77.20	You led your people like a shepherd,
PSA.77.20	with Moses and Aaron in charge.
PSA.78.1	Listen, my people, to my teaching,
PSA.78.1	and pay attention to what I say.
PSA.78.2	and explain mysteries from the past,
PSA.78.3	things we have heard and known,
PSA.78.3	things that our ancestors told us.
PSA.78.4	We will not keep them from our children;
PSA.78.4	we will tell the next generation
PSA.78.4	about the 
PSA.78.4	and the wonderful things he has done.
PSA.78.5	He gave laws to the people of Israel
PSA.78.5	and commandments to the descendants of Jacob.
PSA.78.5	He instructed our ancestors
PSA.78.5	to teach his laws to their children,
PSA.78.6	so that the next generation might learn them
PSA.78.6	and in turn should tell their children.
PSA.78.7	In this way they also will put their trust in God
PSA.78.7	and not forget what he has done,
PSA.78.7	but always obey his commandments.
PSA.78.8	They will not be like their ancestors,
PSA.78.8	a rebellious and disobedient people,
PSA.78.8	whose trust in God was never firm
PSA.78.8	and who did not remain faithful to him.
PSA.78.9	The Ephraimites, armed with bows and arrows,
PSA.78.9	ran away on the day of battle.
PSA.78.10	They did not keep their covenant with God;
PSA.78.10	they refused to obey his law.
PSA.78.11	They forgot what he had done,
PSA.78.11	the miracles they had seen him perform.
PSA.78.12	in the plain of Zoan in the land of Egypt.
PSA.78.13	he made the waters stand like walls.
PSA.78.14	and all night long with the light of a fire.
PSA.78.15	and gave them water from the depths.
PSA.78.16	He caused a stream to come out of the rock
PSA.78.16	and made water flow like a river.
PSA.78.17	But they continued to sin against God,
PSA.78.17	and in the desert they rebelled against the Most High.
PSA.78.18	by demanding the food they wanted.
PSA.78.19	They spoke against God and said,
PSA.78.19	“Can God supply food in the desert?
PSA.78.20	It is true that he struck the rock,
PSA.78.20	and water flowed out in a torrent;
PSA.78.20	but can he also provide us with bread
PSA.78.20	and give his people meat?”
PSA.78.21	And so the 
PSA.78.21	he attacked his people with fire,
PSA.78.21	and his anger against them grew,
PSA.78.22	because they had no faith in him
PSA.78.22	and did not believe that he would save them.
PSA.78.23	But he spoke to the sky above
PSA.78.23	and commanded its doors to open;
PSA.78.24	by sending down manna for them to eat.
PSA.78.25	So they ate the food of angels,
PSA.78.25	and God gave them all they wanted.
PSA.78.26	He also caused the east wind to blow,
PSA.78.26	and by his power he stirred up the south wind;
PSA.78.27	and to his people he sent down birds,
PSA.78.27	as many as the grains of sand on the shore;
PSA.78.28	they fell in the middle of the camp
PSA.78.28	all around the tents.
PSA.78.29	So the people ate and were satisfied;
PSA.78.29	God gave them what they wanted.
PSA.78.30	But they had not yet satisfied their craving
PSA.78.30	and were still eating,
PSA.78.31	when God became angry with them
PSA.78.31	and killed their strongest men,
PSA.78.31	the best young men of Israel.
PSA.78.32	In spite of all this the people kept sinning;
PSA.78.32	in spite of his miracles they did not trust him.
PSA.78.33	So he ended their days like a breath
PSA.78.33	and their lives with sudden disaster.
PSA.78.34	Whenever he killed some of them,
PSA.78.34	the rest would turn to him;
PSA.78.34	they would repent and pray earnestly to him.
PSA.78.35	They remembered that God was their protector,
PSA.78.35	that the Almighty came to their aid.
PSA.78.36	But their words were all lies;
PSA.78.36	nothing they said was sincere.
PSA.78.37	they were not faithful to their covenant with him.
PSA.78.38	But God was merciful to his people.
PSA.78.38	He forgave their sin
PSA.78.38	and did not destroy them.
PSA.78.38	Many times he held back his anger
PSA.78.38	and restrained his fury.
PSA.78.39	He remembered that they were only mortal beings,
PSA.78.39	like a wind that blows by and is gone.
PSA.78.40	How often they rebelled against him in the desert;
PSA.78.40	how many times they made him sad!
PSA.78.41	Again and again they put God to the test
PSA.78.41	and brought pain to the Holy God of Israel.
PSA.78.42	They forgot his great power
PSA.78.42	and the day when he saved them from their enemies
PSA.78.43	and performed his mighty acts and miracles
PSA.78.43	in the plain of Zoan in the land of Egypt.
PSA.78.44	and the Egyptians had no water to drink.
PSA.78.45	and frogs that ruined their land.
PSA.78.46	and to destroy their fields.
PSA.78.47	and their fig trees with frost.
PSA.78.48	He killed their cattle with hail
PSA.78.48	and their flocks with lightning.
PSA.78.49	He caused them great distress
PSA.78.49	by pouring out his anger and fierce rage,
PSA.78.49	which came as messengers of death.
PSA.78.50	He did not restrain his anger
PSA.78.50	or spare their lives,
PSA.78.50	but killed them with a plague.
PSA.78.51	of all the families of Egypt.
PSA.78.52	and guided them through the desert.
PSA.78.53	but the sea came rolling over their enemies.
PSA.78.54	to the mountains which he himself conquered.
PSA.78.55	he divided their land among the tribes of Israel
PSA.78.55	and gave their homes to his people.
PSA.78.56	and put him to the test.
PSA.78.56	They did not obey his commandments,
PSA.78.57	but were rebellious and disloyal like their ancestors,
PSA.78.57	unreliable as a crooked arrow.
PSA.78.58	They angered him with their heathen places of worship,
PSA.78.58	and with their idols they made him furious.
PSA.78.59	God was angry when he saw it,
PSA.78.59	so he rejected his people completely.
PSA.78.60	the home where he had lived among us.
PSA.78.61	the symbol of his power and glory.
PSA.78.62	He was angry with his own people
PSA.78.62	and let them be killed by their enemies.
PSA.78.63	Young men were killed in war,
PSA.78.63	and young women had no one to marry.
PSA.78.64	Priests died by violence,
PSA.78.64	and their widows were not allowed to mourn.
PSA.78.65	At last the Lord woke up as though from sleep;
PSA.78.65	he was like a strong man excited by wine.
PSA.78.66	He drove his enemies back
PSA.78.66	in lasting and shameful defeat.
PSA.78.67	But he rejected the descendants of Joseph;
PSA.78.67	he did not select the tribe of Ephraim.
PSA.78.68	Instead he chose the tribe of Judah
PSA.78.68	and Mount Zion, which he dearly loves.
PSA.78.69	There he built his Temple
PSA.78.69	like his home in heaven;
PSA.78.69	he made it firm like the earth itself,
PSA.78.69	secure for all time.
PSA.78.70	he took him from the pastures,
PSA.78.71	where he looked after his flocks,
PSA.78.71	and he made him king of Israel,
PSA.78.71	the shepherd of the people of God.
PSA.78.72	David took care of them with unselfish devotion
PSA.78.72	and led them with skill.
PSA.79.1	They have desecrated your holy Temple
PSA.79.1	and left Jerusalem in ruins.
PSA.79.2	They left the bodies of your people for the vultures,
PSA.79.2	the bodies of your servants for wild animals to eat.
PSA.79.3	They shed your people's blood like water;
PSA.79.3	blood flowed like water all through Jerusalem,
PSA.79.3	and no one was left to bury the dead.
PSA.79.4	The surrounding nations insult us;
PSA.79.4	they laugh at us and mock us.
PSA.79.5	Will your anger continue to burn like fire?
PSA.79.6	Turn your anger on the nations that do not worship you,
PSA.79.6	on the people who do not pray to you.
PSA.79.7	For they have killed your people;
PSA.79.7	they have ruined your country.
PSA.79.8	Do not punish us for the sins of our ancestors.
PSA.79.8	Have mercy on us now;
PSA.79.8	we have lost all hope.
PSA.79.9	Help us, O God, and save us;
PSA.79.9	rescue us and forgive our sins
PSA.79.9	for the sake of your own honor.
PSA.79.10	Why should the nations ask us,
PSA.79.10	“Where is your God?”
PSA.79.10	Let us see you punish the nations
PSA.79.10	for shedding the blood of your servants.
PSA.79.11	Listen to the groans of the prisoners,
PSA.79.11	and by your great power free those who are condemned to die.
PSA.79.12	Lord, pay the other nations back seven times
PSA.79.12	for all the insults they have hurled at you.
PSA.79.13	Then we, your people, the sheep of your flock,
PSA.79.13	will thank you forever
PSA.79.13	and praise you for all time to come.
PSA.80.1	hear us, leader of your flock.
PSA.80.1	Seated on your throne above the winged creatures,
PSA.80.2	reveal yourself to the tribes of Ephraim, Benjamin, and Manasseh.
PSA.80.2	Show us your strength;
PSA.80.2	come and save us!
PSA.80.3	Bring us back, O God!
PSA.80.3	Show us your mercy, and we will be saved!
PSA.80.4	How much longer, 
PSA.80.4	will you be angry with your people's prayers?
PSA.80.5	You have given us sorrow to eat,
PSA.80.5	a large cup of tears to drink.
PSA.80.6	You let the surrounding nations fight over our land;
PSA.80.6	our enemies insult us.
PSA.80.7	Bring us back, Almighty God!
PSA.80.7	Show us your mercy, and we will be saved!
PSA.80.8	You brought a grapevine out of Egypt;
PSA.80.8	you drove out other nations and planted it in their land.
PSA.80.9	You cleared a place for it to grow;
PSA.80.9	its roots went deep, and it spread out over the whole land.
PSA.80.10	It covered the hills with its shade;
PSA.80.10	its branches overshadowed the giant cedars.
PSA.80.11	It extended its branches to the Mediterranean Sea
PSA.80.11	and as far as the Euphrates River.
PSA.80.12	Why did you break down the fences around it?
PSA.80.12	Now anyone passing by can steal its grapes;
PSA.80.13	wild hogs trample it down,
PSA.80.13	and wild animals feed on it.
PSA.80.14	Turn to us, Almighty God!
PSA.80.14	Look down from heaven at us;
PSA.80.14	come and save your people!
PSA.80.15	Come and save this grapevine that you planted,
PSA.80.15	this young vine you made grow so strong!
PSA.80.16	Our enemies have set it on fire and cut it down;
PSA.80.16	look at them in anger and destroy them!
PSA.80.17	Preserve and protect the people you have chosen,
PSA.80.17	the nation you made so strong.
PSA.80.18	We will never turn away from you again;
PSA.80.18	keep us alive, and we will praise you.
PSA.80.19	Bring us back, 
PSA.80.19	Show us your mercy, and we will be saved.
PSA.81.1	Shout for joy to God our defender;
PSA.81.1	sing praise to the God of Jacob!
PSA.81.2	Start the music and beat the tambourines;
PSA.81.2	play pleasant music on the harps and the lyres.
PSA.81.3	when the moon is new and when the moon is full.
PSA.81.4	This is the law in Israel,
PSA.81.4	an order from the God of Jacob.
PSA.81.5	He gave it to the people of Israel
PSA.81.5	when he attacked the land of Egypt.
PSA.81.5	I hear an unknown voice saying,
PSA.81.6	“I took the burdens off your backs;
PSA.81.6	I let you put down your loads of bricks.
PSA.81.7	From my hiding place in the storm, I answered you.
PSA.81.7	I put you to the test at the springs of Meribah.
PSA.81.8	Listen, my people, to my warning;
PSA.81.8	Israel, how I wish you would listen to me!
PSA.81.10	I am the 
PSA.81.10	who brought you out of Egypt.
PSA.81.10	Open your mouth, and I will feed you.
PSA.81.11	“But my people would not listen to me;
PSA.81.11	Israel would not obey me.
PSA.81.12	So I let them go their stubborn ways
PSA.81.12	and do whatever they wanted.
PSA.81.13	How I wish my people would listen to me;
PSA.81.13	how I wish they would obey me!
PSA.81.14	I would quickly defeat their enemies
PSA.81.14	and conquer all their foes.
PSA.81.15	Those who hate me would bow in fear before me;
PSA.81.15	their punishment would last forever.
PSA.81.16	But I would feed you with the finest wheat
PSA.81.16	and satisfy you with wild honey.”
PSA.82.1	God presides in the heavenly council;
PSA.82.1	in the assembly of the gods he gives his decision:
PSA.82.2	“You must stop judging unjustly;
PSA.82.2	you must no longer be partial to the wicked!
PSA.82.3	Defend the rights of the poor and the orphans;
PSA.82.3	be fair to the needy and the helpless.
PSA.82.4	Rescue them from the power of evil people.
PSA.82.5	“How ignorant you are! How stupid!
PSA.82.5	You are completely corrupt,
PSA.82.5	and justice has disappeared from the world.
PSA.82.6	‘all of you are children of the Most High.’
PSA.82.7	But you will die like mortals;
PSA.82.7	your life will end like that of any prince.”
PSA.82.8	Come, O God, and rule the world;
PSA.82.8	all the nations are yours.
PSA.83.1	O God, do not keep silent;
PSA.83.1	do not be still, do not be quiet!
PSA.83.2	Look! Your enemies are in revolt,
PSA.83.2	and those who hate you are rebelling.
PSA.83.3	They are making secret plans against your people;
PSA.83.3	they are plotting against those you protect.
PSA.83.4	“Come,” they say, “let us destroy their nation,
PSA.83.4	so that Israel will be forgotten forever.”
PSA.83.5	They agree on their plan
PSA.83.5	and form an alliance against you:
PSA.83.6	the people of Edom and the Ishmaelites;
PSA.83.6	the people of Moab and the Hagrites;
PSA.83.7	the people of Gebal, Ammon, and Amalek,
PSA.83.7	and of Philistia and Tyre.
PSA.83.8	Assyria has also joined them
PSA.83.8	as a strong ally of the Ammonites and Moabites, the descendants of Lot.
PSA.83.9	and to Sisera and Jabin at the Kishon River.
PSA.83.10	You defeated them at Endor,
PSA.83.10	and their bodies rotted on the ground.
PSA.83.11	defeat all their rulers as you did Zebah and Zalmunna,
PSA.83.12	who said, “We will take for our own
PSA.83.12	the land that belongs to God.”
PSA.83.13	Scatter them like dust, O God,
PSA.83.13	like straw blown away by the wind.
PSA.83.14	As fire burns the forest,
PSA.83.14	as flames set the hills on fire,
PSA.83.15	chase them away with your storm
PSA.83.15	and terrify them with your fierce winds.
PSA.83.16	Cover their faces with shame, O 
PSA.83.16	and make them acknowledge your power.
PSA.83.17	May they be defeated and terrified forever;
PSA.83.17	may they die in complete disgrace.
PSA.83.18	May they know that you alone are the 
PSA.83.18	supreme ruler over all the earth.
PSA.84.1	How I love your Temple, 
PSA.84.2	How I want to be there!
PSA.84.2	I long to be in the 
PSA.84.2	With my whole being I sing for joy
PSA.84.2	to the living God.
PSA.84.3	Even the sparrows have built a nest,
PSA.84.3	and the swallows have their own home;
PSA.84.3	they keep their young near your altars,
PSA.84.4	How happy are those who live in your Temple,
PSA.84.4	always singing praise to you.
PSA.84.5	How happy are those whose strength comes from you,
PSA.84.5	who are eager to make the pilgrimage to Mount Zion.
PSA.84.6	As they pass through the dry valley of Baca,
PSA.84.6	it becomes a place of springs;
PSA.84.6	the autumn rain fills it with pools.
PSA.84.7	They grow stronger as they go;
PSA.84.7	they will see the God of gods on Zion.
PSA.84.8	Hear my prayer, 
PSA.84.8	Listen, O God of Jacob!
PSA.84.9	Bless our king, O God,
PSA.84.9	the king you have chosen.
PSA.84.10	One day spent in your Temple
PSA.84.10	is better than a thousand anywhere else;
PSA.84.10	I would rather stand at the gate of the house of my God
PSA.84.10	than live in the homes of the wicked.
PSA.84.11	The 
PSA.84.11	blessing us with kindness and honor.
PSA.84.11	He does not refuse any good thing
PSA.84.11	to those who do what is right.
PSA.85.1	you have made Israel prosperous again.
PSA.85.2	You have forgiven your people's sins
PSA.85.2	and pardoned all their wrongs.
PSA.85.3	You stopped being angry with them
PSA.85.3	and held back your furious rage.
PSA.85.4	Bring us back, O God our savior,
PSA.85.4	and stop being displeased with us!
PSA.85.5	Will you be angry with us forever?
PSA.85.5	Will your anger never cease?
PSA.85.6	Make us strong again,
PSA.85.6	and we, your people, will praise you.
PSA.85.7	Show us your constant love, O 
PSA.85.7	and give us your saving help.
PSA.85.8	I am listening to what the 
PSA.85.8	he promises peace to us, his own people,
PSA.85.8	if we do not go back to our foolish ways.
PSA.85.9	Surely he is ready to save those who honor him,
PSA.85.9	and his saving presence will remain in our land.
PSA.85.10	Love and faithfulness will meet;
PSA.85.10	righteousness and peace will embrace.
PSA.85.11	Human loyalty will reach up from the earth,
PSA.85.11	and God's righteousness will look down from heaven.
PSA.85.12	The 
PSA.85.12	and our land will produce rich harvests.
PSA.85.13	Righteousness will go before the 
PSA.85.13	and prepare the path for him.
PSA.86.1	Listen to me, 
PSA.86.1	for I am helpless and weak.
PSA.86.2	Save me from death, because I am loyal to you;
PSA.86.2	save me, for I am your servant and I trust in you.
PSA.86.3	You are my God, so be merciful to me;
PSA.86.3	I pray to you all day long.
PSA.86.4	Make your servant glad, O Lord,
PSA.86.4	because my prayers go up to you.
PSA.86.5	You are good to us and forgiving,
PSA.86.5	full of constant love for all who pray to you.
PSA.86.6	Listen, 
PSA.86.6	hear my cries for help.
PSA.86.7	I call to you in times of trouble,
PSA.86.7	because you answer my prayers.
PSA.86.8	There is no god like you, O Lord,
PSA.86.8	not one has done what you have done.
PSA.86.9	will come and bow down to you;
PSA.86.9	they will praise your greatness.
PSA.86.10	You are mighty and do wonderful things;
PSA.86.10	you alone are God.
PSA.86.11	Teach me, 
PSA.86.11	and I will obey you faithfully;
PSA.86.11	teach me to serve you with complete devotion.
PSA.86.12	I will praise you with all my heart, O Lord my God;
PSA.86.12	I will proclaim your greatness forever.
PSA.86.13	How great is your constant love for me!
PSA.86.13	You have saved me from the grave itself.
PSA.86.14	Proud people are coming against me, O God;
PSA.86.14	a cruel gang is trying to kill me—
PSA.86.14	people who pay no attention to you.
PSA.86.15	But you, O Lord, are a merciful and loving God,
PSA.86.15	always patient, always kind and faithful.
PSA.86.16	Turn to me and have mercy on me;
PSA.86.16	strengthen me and save me,
PSA.86.16	because I serve you just as my mother did.
PSA.86.17	Show me proof of your goodness, 
PSA.86.17	those who hate me will be ashamed
PSA.86.17	when they see that you have given me comfort and help.
PSA.87.1	The 
PSA.87.2	more than any other place in Israel
PSA.87.2	he loves the city of Jerusalem.
PSA.87.3	Listen, city of God,
PSA.87.3	to the wonderful things he says about you:
PSA.87.4	“I will include Egypt and Babylonia
PSA.87.4	when I list the nations that obey me;
PSA.87.4	the people of Philistia, Tyre, and Ethiopia
PSA.87.4	I will number among the inhabitants of Jerusalem.”
PSA.87.5	Of Zion it will be said
PSA.87.5	that all nations belong there
PSA.87.5	and that the Almighty will make her strong.
PSA.87.6	The 
PSA.87.6	and include them all as citizens of Jerusalem.
PSA.87.7	They dance and sing,
PSA.87.7	“In Zion is the source of all our blessings.”
PSA.88.1	and at night I come before you.
PSA.88.2	Hear my prayer;
PSA.88.2	listen to my cry for help!
PSA.88.3	So many troubles have fallen on me
PSA.88.3	that I am close to death.
PSA.88.4	I am like all others who are about to die;
PSA.88.4	all my strength is gone.
PSA.88.5	I am abandoned among the dead;
PSA.88.5	I am like the slain lying in their graves,
PSA.88.5	those you have forgotten completely,
PSA.88.5	who are beyond your help.
PSA.88.6	You have thrown me into the depths of the tomb,
PSA.88.6	into the darkest and deepest pit.
PSA.88.7	Your anger lies heavy on me,
PSA.88.7	and I am crushed beneath its waves.
PSA.88.8	You have caused my friends to abandon me;
PSA.88.8	you have made me repulsive to them.
PSA.88.8	I am closed in and cannot escape;
PSA.88.9	my eyes are weak from suffering.
PSA.88.9	and lift my hands to you in prayer.
PSA.88.10	Do you perform miracles for the dead?
PSA.88.10	Do they rise up and praise you?
PSA.88.11	Is your constant love spoken of in the grave
PSA.88.11	or your faithfulness in the place of destruction?
PSA.88.12	Are your miracles seen in that place of darkness
PSA.88.12	or your goodness in the land of the forgotten?
PSA.88.13	every morning I pray to you.
PSA.88.14	Why do you reject me, 
PSA.88.14	Why do you turn away from me?
PSA.88.15	Ever since I was young, I have suffered and been near death;
PSA.88.15	I am worn out
PSA.88.16	Your furious anger crushes me;
PSA.88.16	your terrible attacks destroy me.
PSA.88.17	All day long they surround me like a flood;
PSA.88.17	they close in on me from every side.
PSA.88.18	You have made even my closest friends abandon me,
PSA.88.18	and darkness is my only companion.
PSA.89.1	O 
PSA.89.1	I will proclaim your faithfulness forever.
PSA.89.2	I know that your love will last for all time,
PSA.89.2	that your faithfulness is as permanent as the sky.
PSA.89.3	You said, “I have made a covenant with the man I chose;
PSA.89.3	I have promised my servant David,
PSA.89.4	I will preserve your dynasty forever.’”
PSA.89.5	The heavens sing of the wonderful things you do;
PSA.89.5	the holy ones sing of your faithfulness, 
PSA.89.6	No one in heaven is like you, 
PSA.89.6	none of the heavenly beings is your equal.
PSA.89.7	You are feared in the council of the holy ones;
PSA.89.7	they all stand in awe of you.
PSA.89.8	in all things you are faithful, O 
PSA.89.9	You rule over the powerful sea;
PSA.89.9	you calm its angry waves.
PSA.89.10	You crushed the monster Rahab
PSA.89.10	with your mighty strength you defeated your enemies.
PSA.89.11	Heaven is yours, the earth also;
PSA.89.11	you made the world and everything in it.
PSA.89.12	You created the north and the south;
PSA.89.12	Mount Tabor and Mount Hermon sing to you for joy.
PSA.89.13	How powerful you are!
PSA.89.13	How great is your strength!
PSA.89.14	Your kingdom is founded on righteousness and justice;
PSA.89.14	love and faithfulness are shown in all you do.
PSA.89.15	How happy are the people who worship you with songs,
PSA.89.15	who live in the light of your kindness!
PSA.89.16	Because of you they rejoice all day long,
PSA.89.16	and they praise you for your goodness.
PSA.89.17	You give us great victories;
PSA.89.17	in your love you make us triumphant.
PSA.89.18	You, O 
PSA.89.18	you, the Holy God of Israel, gave us our king.
PSA.89.19	In a vision long ago you said to your faithful servants,
PSA.89.19	“I have given help to a famous soldier;
PSA.89.19	I have given the throne to one I chose from the people.
PSA.89.20	by anointing him with holy oil.
PSA.89.21	My strength will always be with him,
PSA.89.21	my power will make him strong.
PSA.89.22	His enemies will never succeed against him;
PSA.89.22	the wicked will not defeat him.
PSA.89.23	I will crush his foes
PSA.89.23	and kill everyone who hates him.
PSA.89.24	I will love him and be loyal to him;
PSA.89.24	I will make him always victorious.
PSA.89.25	I will extend his kingdom
PSA.89.25	from the Mediterranean to the Euphrates River.
PSA.89.26	He will say to me,
PSA.89.26	‘You are my father and my God;
PSA.89.26	you are my protector and savior.’
PSA.89.27	the greatest of all kings.
PSA.89.28	I will always keep my promise to him,
PSA.89.28	and my covenant with him will last forever.
PSA.89.29	His dynasty will be as permanent as the sky;
PSA.89.29	a descendant of his will always be king.
PSA.89.30	“But if his descendants disobey my law
PSA.89.30	and do not live according to my commands,
PSA.89.31	if they disregard my instructions
PSA.89.31	and do not keep my commandments,
PSA.89.32	then I will punish them for their sins;
PSA.89.32	I will make them suffer for their wrongs.
PSA.89.33	But I will not stop loving David
PSA.89.33	or fail to keep my promise to him.
PSA.89.34	I will not break my covenant with him
PSA.89.34	or take back even one promise I made him.
PSA.89.35	“Once and for all I have promised by my holy name:
PSA.89.35	I will never lie to David.
PSA.89.36	He will always have descendants,
PSA.89.36	and I will watch over his kingdom as long as the sun shines.
PSA.89.37	It will be as permanent as the moon,
PSA.89.37	that faithful witness in the sky.”
PSA.89.38	But you are angry with your chosen king;
PSA.89.38	you have deserted and rejected him.
PSA.89.39	You have broken your covenant with your servant
PSA.89.39	and thrown his crown in the dirt.
PSA.89.40	You have torn down the walls of his city
PSA.89.40	and left his forts in ruins.
PSA.89.41	All who pass by steal his belongings;
PSA.89.41	all his neighbors laugh at him.
PSA.89.42	You have given the victory to his enemies;
PSA.89.42	you have made them all happy.
PSA.89.43	You have made his weapons useless
PSA.89.43	and let him be defeated in battle.
PSA.89.44	You have taken away his royal scepter
PSA.89.44	and knocked his throne to the ground.
PSA.89.45	You have made him old before his time
PSA.89.45	and covered him with disgrace.
PSA.89.46	How long will your anger burn like fire?
PSA.89.47	Remember how short my life is;
PSA.89.47	remember that you created all of us mortal!
PSA.89.48	Who can live and never die?
PSA.89.48	How can we humans keep ourselves from the grave?
PSA.89.49	Lord, where are the former proofs of your love?
PSA.89.49	Where are the promises you made to David?
PSA.89.50	Don't forget how I, your servant, am insulted,
PSA.89.50	how I endure all the curses
PSA.89.51	Your enemies insult your chosen king, O 
PSA.89.51	They insult him wherever he goes.
PSA.89.52	Praise the 
PSA.89.52	Amen! Amen!
PSA.90.1	O Lord, you have always been our home.
PSA.90.2	Before you created the hills
PSA.90.2	or brought the world into being,
PSA.90.2	you were eternally God,
PSA.90.2	and will be God forever.
PSA.90.3	You tell us to return to what we were;
PSA.90.3	you change us back to dust.
PSA.90.4	they are like yesterday, already gone,
PSA.90.4	like a short hour in the night.
PSA.90.5	You carry us away like a flood;
PSA.90.5	we last no longer than a dream.
PSA.90.5	We are like weeds that sprout in the morning,
PSA.90.6	that grow and burst into bloom,
PSA.90.6	then dry up and die in the evening.
PSA.90.7	We are destroyed by your anger;
PSA.90.7	we are terrified by your fury.
PSA.90.8	You place our sins before you,
PSA.90.8	our secret sins where you can see them.
