GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
PSA.78.5	to teach to their children;
PSA.78.6	that the next generation might know them,
PSA.78.6	the children yet unborn,
PSA.78.6	and arise and tell them to their children,
PSA.78.7	so that they should set their hope in God,
PSA.78.7	and not forget the works of God,
PSA.78.7	but keep his commandments;
PSA.78.8	and that they should not be like their fathers,
PSA.78.8	a stubborn and rebellious generation,
PSA.78.8	a generation whose heart was not steadfast,
PSA.78.8	whose spirit was not faithful to God.
PSA.78.9	The Ephraimites, armed with
PSA.78.9	turned back on the day of battle.
PSA.78.10	They did not keep God's covenant,
PSA.78.10	but refused to walk according to his law.
PSA.78.11	They forgot what he had done,
PSA.78.11	and the miracles that he had shown them.
PSA.78.12	In the sight of their fathers he wrought marvels
PSA.78.12	in the land of Egypt, in the fields of Zoan.
PSA.78.13	He divided the sea and let them pass through it,
PSA.78.13	and made the waters stand like a heap.
PSA.78.14	In the daytime he led them with a cloud,
PSA.78.14	and all the night with a fiery light.
PSA.78.15	He cleft rocks in the wilderness,
PSA.78.15	and gave them drink abundantly as from the deep.
PSA.78.16	He made streams come out of the rock,
PSA.78.16	and caused waters to flow down like rivers.
PSA.78.17	Yet they sinned still more against him,
PSA.78.17	rebelling against the Most High in the desert.
PSA.78.18	They tested God in their heart
PSA.78.18	by demanding the food they craved.
PSA.78.19	They spoke against God, saying,
PSA.78.19	“Can God spread a table in the wilderness?
PSA.78.20	He smote the rock so that water gushed out
PSA.78.20	and streams overflowed.
PSA.78.20	Can he also give bread,
PSA.78.20	or provide meat for his people?”
PSA.78.21	Therefore, when the 
PSA.78.21	a fire was kindled against Jacob,
PSA.78.21	his anger mounted against Israel;
PSA.78.22	because they had no faith in God,
PSA.78.22	and did not trust his saving power.
PSA.78.23	Yet he commanded the skies above,
PSA.78.23	and opened the doors of heaven;
PSA.78.24	and gave them the grain of heaven.
PSA.78.25	Man ate of the bread of the angels;
PSA.78.25	he sent them food in abundance.
PSA.78.26	He caused the east wind to blow in the heavens,
PSA.78.26	and by his power he led out the south wind;
PSA.78.27	he rained flesh upon them like dust,
PSA.78.27	winged birds like the sand of the seas;
PSA.78.28	he let them fall in the midst of their camp,
PSA.78.28	all around their habitations.
PSA.78.29	And they ate and were well filled,
PSA.78.29	for he gave them what they craved.
PSA.78.30	But before they had sated their craving,
PSA.78.30	while the food was still in their mouths,
PSA.78.31	the anger of God rose against them
PSA.78.31	and he slew the strongest of them,
PSA.78.31	and laid low the picked men of Israel.
PSA.78.32	In spite of all this they still sinned;
PSA.78.32	despite his wonders they did not believe.
PSA.78.33	So he made their days vanish like a breath,
PSA.78.33	and their years in terror.
PSA.78.34	When he slew them, they sought for him;
PSA.78.34	they repented and sought God earnestly.
PSA.78.35	They remembered that God was their rock,
PSA.78.35	the Most High God their redeemer.
PSA.78.36	But they flattered him with their mouths;
PSA.78.36	they lied to him with their tongues.
PSA.78.37	they were not true to his covenant.
PSA.78.38	Yet he, being compassionate,
PSA.78.38	forgave their iniquity,
PSA.78.38	and did not destroy them;
PSA.78.38	he restrained his anger often,
PSA.78.38	and did not stir up all his wrath.
PSA.78.39	He remembered that they were but flesh,
PSA.78.39	a wind that passes and comes not again.
PSA.78.40	How often they rebelled against him in the wilderness
PSA.78.40	and grieved him in the desert!
PSA.78.41	They tested him again and again,
PSA.78.41	and provoked the Holy One of Israel.
PSA.78.42	They did not keep in mind his power,
PSA.78.42	or the day when he redeemed them from the foe;
PSA.78.43	when he wrought his signs in Egypt,
PSA.78.43	and his miracles in the fields of Zoan.
PSA.78.44	He turned their rivers to blood,
PSA.78.44	so that they could not drink of their streams.
PSA.78.45	He sent among them swarms of flies, which devoured them,
PSA.78.45	and frogs, which destroyed them.
PSA.78.46	He gave their crops to the caterpillar,
PSA.78.46	and the fruit of their labor to the locust.
PSA.78.47	He destroyed their vines with hail,
PSA.78.47	and their sycamores with frost.
PSA.78.48	He gave over their cattle to the hail,
PSA.78.48	and their flocks to thunderbolts.
PSA.78.49	He let loose on them his fierce anger,
PSA.78.49	wrath, indignation, and distress,
PSA.78.49	a company of destroying angels.
PSA.78.50	He made a path for his anger;
PSA.78.50	he did not spare them from death,
PSA.78.50	but gave their lives over to the plague.
PSA.78.51	He smote all the first-born in Egypt,
PSA.78.51	the first issue of their strength in the tents of Ham.
PSA.78.52	Then he led forth his people like sheep,
PSA.78.52	and guided them in the wilderness like a flock.
PSA.78.53	He led them in safety, so that they were not afraid;
PSA.78.53	but the sea overwhelmed their enemies.
PSA.78.54	And he brought them to his holy land,
PSA.78.54	to the mountain which his right hand had won.
PSA.78.55	He drove out nations before them;
PSA.78.55	he apportioned them for a possession
PSA.78.55	and settled the tribes of Israel in their tents.
PSA.78.56	Yet they tested and rebelled against the Most High God,
PSA.78.56	and did not observe his testimonies,
PSA.78.57	but turned away and acted treacherously like their fathers;
PSA.78.57	they twisted like a deceitful bow.
PSA.78.58	For they provoked him to anger with their high places;
PSA.78.58	they moved him to jealousy with their graven images.
PSA.78.59	When God heard, he was full of wrath,
PSA.78.59	and he utterly rejected Israel.
PSA.78.60	He forsook his dwelling at Shiloh,
PSA.78.60	the tent where he dwelt among men,
PSA.78.61	and delivered his power to captivity,
PSA.78.61	his glory to the hand of the foe.
PSA.78.62	He gave his people over to the sword,
PSA.78.62	and vented his wrath on his heritage.
PSA.78.63	Fire devoured their young men,
PSA.78.63	and their maidens had no marriage song.
PSA.78.64	Their priests fell by the sword,
PSA.78.64	and their widows made no lamentation.
PSA.78.65	Then the Lord awoke as from sleep,
PSA.78.65	like a strong man shouting because of wine.
PSA.78.66	And he put his adversaries to rout;
PSA.78.66	he put them to everlasting shame.
PSA.78.67	He rejected the tent of Joseph,
PSA.78.67	he did not choose the tribe of Ephraim;
PSA.78.68	but he chose the tribe of Judah,
PSA.78.68	Mount Zion, which he loves.
PSA.78.69	He built his sanctuary like the high heavens,
PSA.78.69	like the earth, which he has founded for ever.
PSA.78.70	He chose David his servant,
PSA.78.70	and took him from the sheepfolds;
PSA.78.71	from tending the ewes that had young he brought him
PSA.78.71	to be the shepherd of Jacob his people,
PSA.78.71	of Israel his inheritance.
PSA.78.72	With upright heart he tended them,
PSA.78.72	and guided them with skilful hand.
PSA.79.1	O God, the heathen have come into thy inheritance;
PSA.79.1	they have defiled thy holy temple;
PSA.79.1	they have laid Jerusalem in ruins.
PSA.79.2	They have given the bodies of thy servants
PSA.79.2	to the birds of the air for food,
PSA.79.2	the flesh of thy saints to the beasts of the earth.
PSA.79.3	They have poured out their blood like water
PSA.79.3	round about Jerusalem,
PSA.79.3	and there was none to bury them.
PSA.79.4	We have become a taunt to our neighbors,
PSA.79.4	mocked and derided by those round about us.
PSA.79.5	How long, O 
PSA.79.5	Will thy jealous wrath burn like fire?
PSA.79.6	Pour out thy anger on the nations
PSA.79.6	that do not know thee,
PSA.79.6	and on the kingdoms
PSA.79.6	that do not call on thy name!
PSA.79.7	For they have devoured Jacob,
PSA.79.7	and laid waste his habitation.
PSA.79.8	Do not remember against us the iniquities of our forefathers;
PSA.79.8	let thy compassion come speedily to meet us,
PSA.79.8	for we are brought very low.
PSA.79.9	Help us, O God of our salvation,
PSA.79.9	for the glory of thy name;
PSA.79.9	deliver us, and forgive our sins,
PSA.79.9	for thy name's sake!
PSA.79.10	Why should the nations say,
PSA.79.10	“Where is their God?”
PSA.79.10	Let the avenging of the outpoured blood of thy servants
PSA.79.10	be known among the nations before our eyes!
PSA.79.11	Let the groans of the prisoners come before thee;
PSA.79.11	according to thy great power preserve those doomed to die!
PSA.79.12	Return sevenfold into the bosom of our neighbors
PSA.79.12	the taunts with which they have taunted thee, O Lord!
PSA.79.13	Then we thy people, the flock of thy pasture,
PSA.79.13	will give thanks to thee for ever;
PSA.79.13	from generation to generation we will recount thy praise.
PSA.80.1	Give ear, O Shepherd of Israel,
PSA.80.1	thou who leadest Joseph like a flock!
PSA.80.1	Thou who art enthroned upon the cherubim, shine forth
PSA.80.2	before Ephraim and Benjamin and Manasseh!
PSA.80.2	Stir up thy might,
PSA.80.2	and come to save us!
PSA.80.3	Restore us, O God;
PSA.80.3	let thy face shine, that we may be saved!
PSA.80.4	O 
PSA.80.4	how long wilt thou be angry with thy people's prayers?
PSA.80.5	Thou hast fed them with the bread of tears,
PSA.80.5	and given them tears to drink in full measure.
PSA.80.6	Thou dost make us the scorn
PSA.80.6	and our enemies laugh among themselves.
PSA.80.7	Restore us, O God of hosts;
PSA.80.7	let thy face shine, that we may be saved!
PSA.80.8	Thou didst bring a vine out of Egypt;
PSA.80.8	thou didst drive out the nations and plant it.
PSA.80.9	Thou didst clear the ground for it;
PSA.80.9	it took deep root and filled the land.
PSA.80.10	The mountains were covered with its shade,
PSA.80.10	the mighty cedars with its branches;
PSA.80.11	it sent out its branches to the sea,
PSA.80.11	and its shoots to the River.
PSA.80.12	Why then hast thou broken down its walls,
PSA.80.12	so that all who pass along the way pluck its fruit?
PSA.80.13	The boar from the forest ravages it,
PSA.80.13	and all that move in the field feed on it.
PSA.80.14	Turn again, O God of hosts!
PSA.80.14	Look down from heaven, and see;
PSA.80.14	have regard for this vine,
PSA.80.15	the stock which thy right hand planted.
PSA.80.16	They have burned it with fire, they have cut it down;
PSA.80.16	may they perish at the rebuke of thy countenance!
PSA.80.17	But let thy hand be upon the man of thy right hand,
PSA.80.17	the son of man whom thou hast made strong for thyself!
PSA.80.18	Then we will never turn back from thee;
PSA.80.18	give us life, and we will call on thy name!
PSA.80.19	Restore us, O 
PSA.80.19	let thy face shine, that we may be saved!
PSA.81.1	Sing aloud to God our strength;
PSA.81.1	shout for joy to the God of Jacob!
PSA.81.2	Raise a song, sound the timbrel,
PSA.81.2	the sweet lyre with the harp.
PSA.81.3	Blow the trumpet at the new moon,
PSA.81.3	at the full moon, on our feast day.
PSA.81.4	For it is a statute for Israel,
PSA.81.4	an ordinance of the God of Jacob.
PSA.81.5	He made it a decree in Joseph,
PSA.81.5	when he went out over
PSA.81.5	I hear a voice I had not known:
PSA.81.6	“I relieved your
PSA.81.6	your
PSA.81.7	In distress you called, and I delivered you;
PSA.81.7	I answered you in the secret place of thunder;
PSA.81.7	I tested you at the waters of Meribah. 
PSA.81.8	Hear, O my people, while I admonish you!
PSA.81.8	O Israel, if you would but listen to me!
PSA.81.9	There shall be no strange god among you;
PSA.81.9	you shall not bow down to a foreign god.
PSA.81.10	I am the 
PSA.81.10	who brought you up out of the land of Egypt.
PSA.81.10	Open your mouth wide, and I will fill it.
PSA.81.11	“But my people did not listen to my voice;
PSA.81.11	Israel would have none of me.
PSA.81.12	So I gave them over to their stubborn hearts,
PSA.81.12	to follow their own counsels.
PSA.81.13	O that my people would listen to me,
PSA.81.13	that Israel would walk in my ways!
PSA.81.14	I would soon subdue their enemies,
PSA.81.14	and turn my hand against their foes.
PSA.81.15	Those who hate the 
PSA.81.15	and their fate would last for ever.
PSA.81.16	I would feed you
PSA.81.16	and with honey from the rock I would satisfy you.”
PSA.82.1	God has taken his place in the divine council;
PSA.82.1	in the midst of the gods he holds judgment:
PSA.82.2	“How long will you judge unjustly
PSA.82.2	and show partiality to the wicked? 
PSA.82.3	Give justice to the weak and the fatherless;
PSA.82.3	maintain the right of the afflicted and the destitute.
PSA.82.4	Rescue the weak and the needy;
PSA.82.4	deliver them from the hand of the wicked.”
PSA.82.5	They have neither knowledge nor understanding,
PSA.82.5	they walk about in darkness;
PSA.82.5	all the foundations of the earth are shaken.
PSA.82.6	sons of the Most High, all of you;
PSA.82.7	nevertheless, you shall die like men,
PSA.82.7	and fall like any prince.”
PSA.82.8	Arise, O God, judge the earth;
PSA.82.8	for to thee belong all the nations!
PSA.83.1	O God, do not keep silence;
PSA.83.1	do not hold thy peace or be still, O God!
PSA.83.2	For lo, thy enemies are in tumult;
PSA.83.2	those who hate thee have raised their heads.
PSA.83.3	They lay crafty plans against thy people;
PSA.83.3	they consult together against thy protected ones.
PSA.83.4	They say, “Come, let us wipe them out as a nation;
PSA.83.4	let the name of Israel be remembered no more!”
PSA.83.5	Yea, they conspire with one accord;
PSA.83.5	against thee they make a covenant—
PSA.83.6	the tents of Edom and the Ishmaelites,
PSA.83.6	Moab and the Hagrites,
PSA.83.7	Gebal and Ammon and Amalek,
PSA.83.7	Philistia with the inhabitants of Tyre;
PSA.83.8	Assyria also has joined them;
PSA.83.8	they are the strong arm of the children of Lot. 
PSA.83.9	Do to them as thou didst to Midian,
PSA.83.9	as to Sisera and Jabin at the river Kishon,
PSA.83.10	who were destroyed at En-dor,
PSA.83.10	who became dung for the ground.
PSA.83.11	Make their nobles like Oreb and Zeeb,
PSA.83.11	all their princes like Zebah and Zalmunna,
PSA.83.12	who said, “Let us take possession for ourselves
PSA.83.12	of the pastures of God.”
PSA.83.13	O my God, make them like whirling dust,
PSA.83.13	like chaff before the wind.
PSA.83.14	As fire consumes the forest,
PSA.83.14	as the flame sets the mountains ablaze,
PSA.83.15	so do thou pursue them with thy tempest
PSA.83.15	and terrify them with thy hurricane!
PSA.83.16	Fill their faces with shame,
PSA.83.16	that they may seek thy name, O 
PSA.83.17	Let them be put to shame and dismayed for ever;
PSA.83.17	let them perish in disgrace.
PSA.83.18	Let them know that thou alone,
PSA.83.18	whose name is the 
PSA.83.18	art the Most High over all the earth.
PSA.84.1	How lovely is thy dwelling place,
PSA.84.1	O 
PSA.84.2	My soul longs, yea, faints
PSA.84.2	for the courts of the 
PSA.84.2	my heart and flesh sing for joy
PSA.84.2	to the living God.
PSA.84.3	Even the sparrow finds a home,
PSA.84.3	and the swallow a nest for herself,
PSA.84.3	where she may lay her young,
PSA.84.3	at thy altars, O 
PSA.84.3	my King and my God.
PSA.84.4	Blessed are those who dwell in thy house,
PSA.84.4	ever singing thy praise! 
PSA.84.5	Blessed are the men whose strength is in thee,
PSA.84.5	in whose heart are the highways to Zion.
PSA.84.6	As they go through the valley of Baca
PSA.84.6	they make it a place of springs;
PSA.84.6	the early rain also covers it with pools.
PSA.84.7	They go from strength to strength;
PSA.84.7	the God of gods will be seen in Zion.
PSA.84.8	O 
PSA.84.8	give ear, O God of Jacob! 
PSA.84.9	Behold our shield, O God;
PSA.84.9	look upon the face of thine anointed!
PSA.84.10	For a day in thy courts is better
PSA.84.10	than a thousand elsewhere.
PSA.84.10	I would rather be a doorkeeper in the house of my God
PSA.84.10	than dwell in the tents of wickedness.
PSA.84.11	For the 
PSA.84.11	he bestows favor and honor.
PSA.84.11	No good thing does the 
PSA.84.11	from those who walk uprightly.
PSA.84.12	O 
PSA.84.12	blessed is the man who trusts in thee!
PSA.85.1	thou didst restore the fortunes of Jacob.
PSA.85.2	Thou didst forgive the iniquity of thy people;
PSA.85.2	thou didst pardon all their sin. 
PSA.85.3	Thou didst withdraw all thy wrath;
PSA.85.3	thou didst turn from thy hot anger.
PSA.85.4	Restore us again, O God of our salvation,
PSA.85.4	and put away thy indignation toward us!
PSA.85.5	Wilt thou be angry with us for ever?
PSA.85.5	Wilt thou prolong thy anger to all generations?
PSA.85.6	Wilt thou not revive us again,
PSA.85.6	that thy people may rejoice in thee?
PSA.85.7	Show us thy steadfast love, O 
PSA.85.7	and grant us thy salvation.
PSA.85.8	Let me hear what God the 
PSA.85.8	for he will speak peace to his people,
PSA.85.8	to his saints, to those who turn to him in their hearts.
PSA.85.9	Surely his salvation is at hand for those who fear him,
PSA.85.9	that glory may dwell in our land.
PSA.85.10	Steadfast love and faithfulness will meet;
PSA.85.10	righteousness and peace will kiss each other.
PSA.85.11	Faithfulness will spring up from the ground,
PSA.85.11	and righteousness will look down from the sky.
PSA.85.12	Yea, the 
PSA.85.12	and our land will yield its increase.
PSA.85.13	Righteousness will go before him,
PSA.85.13	and make his footsteps a way.
PSA.86.1	Incline thy ear, O 
PSA.86.1	for I am poor and needy.
PSA.86.2	Preserve my life, for I am godly;
PSA.86.2	save thy servant who trusts in thee.
PSA.86.2	Thou art my God; 
PSA.86.3	be gracious to me, O Lord,
PSA.86.3	for to thee do I cry all the day.
PSA.86.4	Gladden the soul of thy servant,
PSA.86.4	for to thee, O Lord, do I lift up my soul.
PSA.86.5	For thou, O Lord, art good and forgiving,
PSA.86.5	abounding in steadfast love to all who call on thee.
PSA.86.6	Give ear, O 
PSA.86.6	hearken to my cry of supplication.
PSA.86.7	In the day of my trouble I call on thee,
PSA.86.7	for thou dost answer me.
PSA.86.8	There is none like thee among the gods, O Lord,
PSA.86.8	nor are there any works like thine.
PSA.86.9	All the nations thou hast made shall come
PSA.86.9	and bow down before thee, O Lord,
PSA.86.9	and shall glorify thy name.
PSA.86.10	For thou art great and doest wondrous things,
PSA.86.10	thou alone art God.
PSA.86.11	Teach me thy way, O 
PSA.86.11	that I may walk in thy truth;
PSA.86.11	unite my heart to fear thy name.
PSA.86.12	I give thanks to thee, O Lord my God, with my whole heart,
PSA.86.12	and I will glorify thy name for ever.
PSA.86.13	For great is thy steadfast love toward me;
PSA.86.13	thou hast delivered my soul from the depths of Sheol.
PSA.86.14	O God, insolent men have risen up against me;
PSA.86.14	a band of ruthless men seek my life,
PSA.86.14	and they do not set thee before them.
PSA.86.15	But thou, O Lord, art a God merciful and gracious,
PSA.86.15	slow to anger and abounding in steadfast love and faithfulness.
PSA.86.16	Turn to me and take pity on me;
PSA.86.16	give thy strength to thy servant,
PSA.86.16	and save the son of thy handmaid.
PSA.86.17	Show me a sign of thy favor,
PSA.86.17	that those who hate me may see and be put to shame
PSA.86.17	because thou, 
PSA.87.1	On the holy mount stands the city he founded;
PSA.87.2	the 
PSA.87.2	more than all the dwelling places of Jacob.
PSA.87.3	Glorious things are spoken of you,
PSA.87.3	O city of God. 
PSA.87.4	Among those who know me I mention Rahab and Babylon;
PSA.87.4	behold, Philistia and Tyre, with Ethiopia—
PSA.87.4	“This one was born there,” they say.
PSA.87.5	And of Zion it shall be said,
PSA.87.5	“This one and that one were born in her”;
PSA.87.5	for the Most High himself will establish her.
PSA.87.6	The 
PSA.87.6	“This one was born there.” 
PSA.87.7	Singers and dancers alike say,
PSA.87.7	“All my springs are in you.”
PSA.88.1	O 
PSA.88.1	I cry out in the night before thee.
PSA.88.2	Let my prayer come before thee,
PSA.88.2	incline thy ear to my cry!
PSA.88.3	For my soul is full of troubles,
PSA.88.3	and my life draws near to Sheol.
PSA.88.4	I am reckoned among those who go down to the Pit;
PSA.88.4	I am a man who has no strength,
PSA.88.5	like one forsaken among the dead,
PSA.88.5	like the slain that lie in the grave,
PSA.88.5	like those whom thou dost remember no more,
PSA.88.5	for they are cut off from thy hand.
PSA.88.6	Thou hast put me in the depths of the Pit,
PSA.88.6	in the regions dark and deep.
PSA.88.7	Thy wrath lies heavy upon me,
PSA.88.7	and thou dost overwhelm me with all thy waves. 
PSA.88.8	Thou hast caused my companions to shun me;
PSA.88.8	thou hast made me a thing of horror to them.
PSA.88.8	I am shut in so that I cannot escape;
PSA.88.9	my eye grows dim through sorrow.
PSA.88.9	Every day I call upon thee, O 
PSA.88.9	I spread out my hands to thee.
PSA.88.10	Dost thou work wonders for the dead?
PSA.88.10	Do the shades rise up to praise thee? 
PSA.88.11	Is thy steadfast love declared in the grave,
PSA.88.11	or thy faithfulness in Abaddon?
PSA.88.12	Are thy wonders known in the darkness,
PSA.88.12	or thy saving help in the land of forgetfulness?
PSA.88.13	But I, O 
PSA.88.13	in the morning my prayer comes before thee.
PSA.88.14	O 
PSA.88.14	Why dost thou hide thy face from me?
PSA.88.15	Afflicted and close to death from my youth up,
PSA.88.15	I suffer thy terrors; I am helpless.
PSA.88.16	Thy wrath has swept over me;
PSA.88.16	thy dread assaults destroy me.
PSA.88.17	They surround me like a flood all day long;
PSA.88.17	they close in upon me together.
PSA.88.18	Thou hast caused lover and friend to shun me;
PSA.88.18	my companions are in darkness.
PSA.89.1	I will sing of thy steadfast love, O 
PSA.89.1	with my mouth I will proclaim thy faithfulness to all generations.
PSA.89.2	For thy steadfast love was established for ever,
PSA.89.2	thy faithfulness is firm as the heavens.
PSA.89.3	I have sworn to David my servant:
PSA.89.4	‘I will establish your descendants for ever,
PSA.89.4	and build your throne for all generations.’ ” 
PSA.89.5	Let the heavens praise thy wonders, O 
PSA.89.5	thy faithfulness in the assembly of the holy ones!
PSA.89.6	For who in the skies can be compared to the 
PSA.89.6	Who among the heavenly beings
PSA.89.7	a God feared in the council of the holy ones,
PSA.89.7	great and terrible
PSA.89.8	O 
PSA.89.8	who is mighty as thou art, O 
PSA.89.8	with thy faithfulness round about thee?
PSA.89.9	Thou dost rule the raging of the sea;
PSA.89.9	when its waves rise, thou stillest them.
PSA.89.10	Thou didst crush Rahab like a carcass,
PSA.89.10	thou didst scatter thy enemies with thy mighty arm.
PSA.89.11	The heavens are thine, the earth also is thine;
PSA.89.11	the world and all that is in it, thou hast founded them.
PSA.89.12	The north and the south, thou hast created them;
PSA.89.12	Tabor and Hermon joyously praise thy name.
PSA.89.13	Thou hast a mighty arm;
PSA.89.13	strong is thy hand, high thy right hand.
PSA.89.14	Righteousness and justice are the foundation of thy throne;
PSA.89.14	steadfast love and faithfulness go before thee.
PSA.89.15	Blessed are the people who know the festal shout,
PSA.89.15	who walk, O 
PSA.89.16	who exult in thy name all the day,
PSA.89.16	and extol
PSA.89.17	For thou art the glory of their strength;
PSA.89.17	by thy favor our horn is exalted.
PSA.89.18	For our shield belongs to the 
PSA.89.18	our king to the Holy One of Israel.
PSA.89.19	Of old thou didst speak in a vision
PSA.89.19	to thy faithful one, and say:
PSA.89.19	“I have set the crown
PSA.89.19	I have exalted one chosen from the people.
PSA.89.20	with my holy oil I have anointed him;
PSA.89.21	so that my hand shall ever abide with him,
PSA.89.21	my arm also shall strengthen him.
PSA.89.22	The enemy shall not outwit him,
PSA.89.22	the wicked shall not humble him.
PSA.89.23	I will crush his foes before him
PSA.89.23	and strike down those who hate him.
PSA.89.24	My faithfulness and my steadfast love shall be with him,
PSA.89.24	and in my name shall his horn be exalted.
PSA.89.25	I will set his hand on the sea
PSA.89.25	and his right hand on the rivers.
PSA.89.26	He shall cry to me, ‘Thou art my Father,
PSA.89.26	my God, and the Rock of my salvation.’
PSA.89.27	the highest of the kings of the earth.
PSA.89.28	My steadfast love I will keep for him for ever,
PSA.89.28	and my covenant will stand firm for him.
PSA.89.29	I will establish his line for ever
PSA.89.29	and his throne as the days of the heavens.
PSA.89.30	If his children forsake my law
PSA.89.30	and do not walk according to my ordinances,
PSA.89.31	if they violate my statutes
PSA.89.31	and do not keep my commandments,
PSA.89.32	then I will punish their transgression with the rod
PSA.89.32	and their iniquity with scourges;
PSA.89.33	but I will not remove from him my steadfast love,
PSA.89.33	or be false to my faithfulness.
PSA.89.34	I will not violate my covenant,
PSA.89.34	or alter the word that went forth from my lips.
PSA.89.35	Once for all I have sworn by my holiness;
PSA.89.35	I will not lie to David.
PSA.89.36	His line shall endure for ever,
PSA.89.36	his throne as long as the sun before me.
PSA.89.37	it shall stand firm while the skies endure.”
PSA.89.38	But now thou hast cast off and rejected,
PSA.89.38	thou art full of wrath against thy anointed.
PSA.89.39	Thou hast renounced the covenant with thy servant;
PSA.89.39	thou hast defiled his crown in the dust.
PSA.89.40	Thou hast breached all his walls;
PSA.89.40	thou hast laid his strongholds in ruins.
PSA.89.41	All that pass by despoil him;
PSA.89.41	he has become the scorn of his neighbors.
PSA.89.42	Thou hast exalted the right hand of his foes;
PSA.89.42	thou hast made all his enemies rejoice.
PSA.89.43	Yea, thou hast turned back the edge of his sword,
PSA.89.43	and thou hast not made him stand in battle.
PSA.89.44	Thou hast removed the scepter from his hand,
PSA.89.44	and cast his throne to the ground.
PSA.89.45	Thou hast cut short the days of his youth;
PSA.89.45	thou hast covered him with shame. 
PSA.89.46	How long, O 
PSA.89.46	How long will thy wrath burn like fire?
PSA.89.47	Remember, O Lord,
PSA.89.47	for what vanity thou hast created all the sons of men!
PSA.89.48	What man can live and never see death?
PSA.89.48	Who can deliver his soul from the power of Sheol? 
PSA.89.49	Lord, where is thy steadfast love of old,
PSA.89.49	which by thy faithfulness thou didst swear to David?
PSA.89.50	Remember, O Lord, how thy servant is scorned;
PSA.89.50	how I bear in my bosom the insults
PSA.89.51	with which thy enemies taunt, O 
PSA.89.51	with which they mock the footsteps of thy anointed.
PSA.89.52	Blessed be the 
PSA.89.52	Amen and Amen.
PSA.90.1	Lord, thou hast been our dwelling place
PSA.90.1	in all generations.
PSA.90.2	Before the mountains were brought forth,
PSA.90.2	or ever thou hadst formed the earth and the world,
PSA.90.2	from everlasting to everlasting thou art God.
PSA.90.3	Thou turnest man back to the dust,
PSA.90.3	and sayest, “Turn back, O children of men!”
PSA.90.4	are but as yesterday when it is past,
PSA.90.4	or as a watch in the night.
PSA.90.5	Thou dost sweep men away; they are like a dream,
PSA.90.5	like grass which is renewed in the morning:
PSA.90.6	in the morning it flourishes and is renewed;
PSA.90.6	in the evening it fades and withers.
PSA.90.7	For we are consumed by thy anger;
PSA.90.7	by thy wrath we are overwhelmed.
PSA.90.8	Thou hast set our iniquities before thee,
PSA.90.8	our secret sins in the light of thy countenance.
PSA.90.9	For all our days pass away under thy wrath,
PSA.90.9	our years come to an end
PSA.90.10	The years of our life are threescore and ten,
PSA.90.10	or even by reason of strength fourscore;
PSA.90.10	yet their span
PSA.90.10	they are soon gone, and we fly away.
PSA.90.11	Who considers the power of thy anger,
PSA.90.11	and thy wrath according to the fear of thee?
PSA.90.12	So teach us to number our days
PSA.90.12	that we may get a heart of wisdom.
PSA.90.13	Return, O 
PSA.90.13	Have pity on thy servants!
PSA.90.14	Satisfy us in the morning with thy steadfast love,
PSA.90.14	that we may rejoice and be glad all our days.
PSA.90.15	Make us glad as many days as thou hast afflicted us,
PSA.90.15	and as many years as we have seen evil.
PSA.90.16	Let thy work be manifest to thy servants,
PSA.90.16	and thy glorious power to their children.
PSA.90.17	Let the favor of the Lord our God be upon us,
PSA.90.17	and establish thou the work of our hands upon us,
PSA.90.17	yea, the work of our hands establish thou it.
PSA.91.1	He who dwells in the shelter of the Most High,
PSA.91.1	who abides in the shadow of the Almighty,
PSA.91.2	will say to the 
PSA.91.2	my God, in whom I trust.”
PSA.91.3	For he will deliver you from the snare of the fowler
PSA.91.3	and from the deadly pestilence;
PSA.91.4	he will cover you with his pinions,
PSA.91.4	and under his wings you will find refuge;
PSA.91.4	his faithfulness is a shield and buckler.
PSA.91.5	You will not fear the terror of the night,
PSA.91.5	nor the arrow that flies by day,
PSA.91.6	nor the pestilence that stalks in darkness,
PSA.91.6	nor the destruction that wastes at noonday.
PSA.91.7	A thousand may fall at your side,
PSA.91.7	ten thousand at your right hand;
PSA.91.7	but it will not come near you.
PSA.91.8	You will only look with your eyes
PSA.91.8	and see the recompense of the wicked.
PSA.91.9	Because you have made the 
PSA.91.9	the Most High your habitation,
PSA.91.10	no evil shall befall you,
PSA.91.10	no scourge come near your tent.
PSA.91.11	to guard you in all your ways.
PSA.91.12	On their hands they will bear you up,
PSA.91.12	lest you dash your foot against a stone.
PSA.91.13	the young lion and the serpent you will trample under foot.
PSA.91.14	Because he cleaves to me in love, I will deliver him;
PSA.91.14	I will protect him, because he knows my name.
PSA.91.15	When he calls to me, I will answer him;
PSA.91.15	I will be with him in trouble,
PSA.91.15	I will rescue him and honor him.
PSA.91.16	With long life I will satisfy him,
PSA.91.16	and show him my salvation.
PSA.92.1	It is good to give thanks to the 
PSA.92.1	to sing praises to thy name, O Most High;
PSA.92.2	to declare thy steadfast love in the morning,
PSA.92.2	and thy faithfulness by night,
PSA.92.3	to the music of the lute and the harp,
PSA.92.3	to the melody of the lyre.
PSA.92.4	For thou, O 
PSA.92.4	at the works of thy hands I sing for joy.
PSA.92.5	How great are thy works, O 
PSA.92.5	Thy thoughts are very deep!
PSA.92.6	The dull man cannot know,
