GEN.1.1	In the 
JOB.21.17	“How often is the lamp of the wicked put out?
JOB.21.17	The sorrows 
JOB.21.18	They are like straw before the wind,
JOB.21.18	And like chaff that a storm carries away.
JOB.21.19	Let Him recompense him, that he may know 
JOB.21.20	Let his eyes see his destruction,
JOB.21.20	And 
JOB.21.21	For what does he care about his household after him,
JOB.21.21	When the number of his months is cut in half?
JOB.21.22	“Can
JOB.21.22	Since He judges those on high?
JOB.21.23	One dies in his full strength,
JOB.21.23	Being wholly at ease and secure;
JOB.21.24	His pails are full of milk,
JOB.21.24	And the marrow of his bones is moist.
JOB.21.25	Another man dies in the bitterness of his soul,
JOB.21.25	Never having eaten with pleasure.
JOB.21.26	They 
JOB.21.26	And worms cover them.
JOB.21.27	“Look, I know your thoughts,
JOB.21.27	And the schemes 
JOB.21.28	For you say,
JOB.21.28	‘Where 
JOB.21.28	And where 
JOB.21.28	The dwelling place of the wicked?’
JOB.21.29	Have you not asked those who travel the road?
JOB.21.29	And do you not know their signs?
JOB.21.30	For the wicked are reserved for the day of doom;
JOB.21.30	They shall be brought out on the day of wrath.
JOB.21.31	Who condemns his way to his face?
JOB.21.31	And who repays him 
JOB.21.32	Yet he shall be brought to the grave,
JOB.21.32	And a vigil kept over the tomb.
JOB.21.33	The clods of the valley shall be sweet to him;
JOB.21.33	Everyone shall follow him,
JOB.21.33	As countless 
JOB.21.34	How then can you comfort me with empty words,
JOB.21.34	Since falsehood remains in your answers?”
JOB.22.1	Then 
JOB.22.2	“Can
JOB.22.2	Though he who is wise may be profitable to himself?
JOB.22.3	Or 
JOB.22.4	“Is it because of your fear of Him that He corrects you,
JOB.22.4	And enters into judgment with you?
JOB.22.5	 not your wickedness great,
JOB.22.5	And your iniquity without end?
JOB.22.6	For you have 
JOB.22.6	And stripped the naked of their clothing.
JOB.22.7	You have not given the weary water to drink,
JOB.22.7	And you 
JOB.22.8	But the mighty man possessed the land,
JOB.22.8	And the honorable man dwelt in it.
JOB.22.9	You have sent widows away empty,
JOB.22.9	And the strength of the fatherless was crushed.
JOB.22.10	Therefore snares 
JOB.22.10	And sudden fear troubles you,
JOB.22.11	Or darkness 
JOB.22.11	And an abundance of 
JOB.22.12	“Is not God in the height of heaven?
JOB.22.12	And see the highest stars, how lofty they are!
JOB.22.13	And you say, 
JOB.22.13	Can He judge through the deep darkness?
JOB.22.14	Thick clouds cover Him, so that He cannot see,
JOB.22.14	And He walks above the circle of heaven.’
JOB.22.15	Will you keep to the old way
JOB.22.15	Which wicked men have trod,
JOB.22.16	Who 
JOB.22.16	Whose foundations were swept away by a flood?
JOB.22.17	They said to God, ‘Depart from us!
JOB.22.17	What can the Almighty do to them?’
JOB.22.18	Yet He filled their houses with good 
JOB.22.18	But the counsel of the wicked is far from me.
JOB.22.19	“The
JOB.22.19	And the innocent laugh at them:
JOB.22.20	‘Surely our adversaries are cut down,
JOB.22.20	And the fire consumes their remnant.’
JOB.22.21	“Now acquaint yourself with Him, and 
JOB.22.21	Thereby good will come to you.
JOB.22.22	Receive, please, 
JOB.22.22	And 
JOB.22.23	If you return to the Almighty, you will be built up;
JOB.22.23	You will remove iniquity far from your tents.
JOB.22.24	Then you will 
JOB.22.24	And the 
JOB.22.25	Yes, the Almighty will be your gold
JOB.22.25	And your precious silver;
JOB.22.26	For then you will have your 
JOB.22.26	And lift up your face to God.
JOB.22.27	You will make your prayer to Him,
JOB.22.27	He will hear you,
JOB.22.27	And you will pay your vows.
JOB.22.28	You will also declare a thing,
JOB.22.28	And it will be established for you;
JOB.22.28	So light will shine on your ways.
JOB.22.29	When they cast 
JOB.22.29	Then 
JOB.22.30	He will 
JOB.22.30	Yes, he will be delivered by the purity of your hands.”
JOB.23.1	Then Job answered and said:
JOB.23.2	“Even today my 
JOB.23.2	My hand is listless because of my groaning.
JOB.23.3	Oh, that I knew where I might find Him,
JOB.23.3	 I might come to His seat!
JOB.23.4	I would present 
JOB.23.4	And fill my mouth with arguments.
JOB.23.5	I would know the words 
JOB.23.5	And understand what He would say to me.
JOB.23.6	Would He contend with me in His great power?
JOB.23.6	No! But He would take 
JOB.23.7	There the upright could reason with Him,
JOB.23.7	And I would be delivered forever from my Judge.
JOB.23.8	“Look,
JOB.23.8	And backward, but I cannot perceive Him;
JOB.23.9	When He works on the left hand, I cannot behold 
JOB.23.9	When He turns to the right hand, I cannot see 
JOB.23.10	But 
JOB.23.11	My foot has held fast to His steps;
JOB.23.11	I have kept His way and not turned aside.
JOB.23.12	I have not departed from the 
JOB.23.12	I have treasured the words of His mouth
JOB.23.12	More than my necessary 
JOB.23.13	“But He 
JOB.23.13	And 
JOB.23.14	For He performs 
JOB.23.14	And many such 
JOB.23.15	Therefore I am terrified at His presence;
JOB.23.15	When I consider 
JOB.23.16	For God 
JOB.23.16	And the Almighty terrifies me;
JOB.23.17	Because I was not 
JOB.23.17	And He did 
JOB.24.1	“
JOB.24.1	Why do those who know Him see not His 
JOB.24.2	“
JOB.24.2	They seize flocks violently and feed 
JOB.24.3	They drive away the donkey of the fatherless;
JOB.24.3	They 
JOB.24.4	They push the needy off the road;
JOB.24.4	All the 
JOB.24.5	Indeed, 
JOB.24.5	They go out to their work, searching for food.
JOB.24.5	The wilderness 
JOB.24.6	They gather their fodder in the field
JOB.24.6	And glean in the vineyard of the wicked.
JOB.24.7	They 
JOB.24.7	And have no covering in the cold.
JOB.24.8	They are wet with the showers of the mountains,
JOB.24.8	And 
JOB.24.9	“
JOB.24.9	And take a pledge from the poor.
JOB.24.10	They cause 
JOB.24.10	And they take away the sheaves from the hungry.
JOB.24.11	They press out oil within their walls,
JOB.24.11	And tread winepresses, yet suffer thirst.
JOB.24.12	The dying groan in the city,
JOB.24.12	And the souls of the wounded cry out;
JOB.24.12	Yet God does not charge 
JOB.24.13	“There are those who rebel against the light;
JOB.24.13	They do not know its ways
JOB.24.13	Nor abide in its paths.
JOB.24.14	The murderer rises with the light;
JOB.24.14	He kills the poor and needy;
JOB.24.14	And in the night he is like a thief.
JOB.24.15	The eye of the adulterer waits for the twilight,
JOB.24.15	Saying, ‘No eye will see me’;
JOB.24.15	And he disguises 
JOB.24.16	In the dark they break into houses
JOB.24.16	Which they marked for themselves in the daytime;
JOB.24.16	They do not know the light.
JOB.24.17	For the morning is the same to them as the shadow of death;
JOB.24.17	If 
JOB.24.18	“They 
JOB.24.18	Their portion 
JOB.24.19	As drought and heat consume the snow waters,
JOB.24.19	 the grave 
JOB.24.20	The womb 
JOB.24.20	The worm 
JOB.24.20	He 
JOB.24.20	And wickedness 
JOB.24.21	For he preys on the barren 
JOB.24.21	And does no good for the widow.
JOB.24.22	“But 
JOB.24.22	He rises up, but no 
JOB.24.23	He gives them security, and they rely 
JOB.24.23	Yet 
JOB.24.24	They are exalted for a little while,
JOB.24.24	Then they are gone.
JOB.24.24	They are brought low;
JOB.24.24	They are taken out of the way like all 
JOB.24.24	They dry out like the heads of grain.
JOB.24.25	“Now if 
JOB.24.25	And make my speech worth nothing?”
JOB.25.1	Then 
JOB.25.2	“Dominion and fear 
JOB.25.2	He makes peace in His high places.
JOB.25.3	Is there any number to His armies?
JOB.25.3	Upon whom does 
JOB.25.4	How then can man be righteous before God?
JOB.25.4	Or how can he be 
JOB.25.5	If even the moon does not shine,
JOB.25.5	And the stars are not pure in His 
JOB.25.6	How much less man, 
JOB.25.6	And a son of man, 
JOB.26.1	But Job answered and said:
JOB.26.2	“How have you helped 
JOB.26.2	 have you saved the arm 
JOB.26.3	How have you counseled 
JOB.26.3	And 
JOB.26.4	To whom have you uttered words?
JOB.26.4	And whose spirit came from you?
JOB.26.5	“The dead tremble,
JOB.26.5	Those under the waters and those inhabiting them.
JOB.26.6	Sheol 
JOB.26.6	And Destruction has no covering.
JOB.26.7	He stretches out the north over empty space;
JOB.26.7	 hangs the earth on nothing.
JOB.26.8	He binds up the water in His thick clouds,
JOB.26.8	Yet the clouds are not broken under it.
JOB.26.9	He covers the face of 
JOB.26.9	 spreads His cloud over it.
JOB.26.10	He drew a circular horizon on the face of the waters,
JOB.26.10	At the boundary of light and darkness.
JOB.26.11	The pillars of heaven tremble,
JOB.26.11	And are astonished at His rebuke.
JOB.26.12	He stirs up the sea with His power,
JOB.26.12	And by His understanding He breaks up the storm.
JOB.26.13	By His Spirit He adorned the heavens;
JOB.26.13	His hand pierced 
JOB.26.14	Indeed these 
JOB.26.14	And how small a whisper we hear of Him!
JOB.26.14	But the thunder of His power who can understand?”
JOB.27.1	Moreover Job continued his discourse, and said:
JOB.27.2	“
JOB.27.2	And the Almighty, 
JOB.27.3	As long as my breath 
JOB.27.3	And the breath of God in my nostrils,
JOB.27.4	My lips will not speak wickedness,
JOB.27.4	Nor my tongue utter deceit.
JOB.27.5	Far be it from me
JOB.27.5	That I should say you are right;
JOB.27.5	Till I die 
JOB.27.6	My righteousness I 
JOB.27.6	My heart shall not reproach 
JOB.27.7	“May my enemy be like the wicked,
JOB.27.7	And he who rises up against me like the unrighteous.
JOB.27.8	For what is the hope of the hypocrite,
JOB.27.8	Though he may gain 
JOB.27.8	If God takes away his life?
JOB.27.9	Will God hear his cry
JOB.27.9	When trouble comes upon him?
JOB.27.10	Will he delight himself in the Almighty?
JOB.27.10	Will he always call on God?
JOB.27.11	“I will teach you about the hand of God;
JOB.27.11	What 
JOB.27.12	Surely all of you have seen 
JOB.27.12	Why then do you behave with complete nonsense?
JOB.27.13	“This
JOB.27.13	And the heritage of oppressors, received from the Almighty:
JOB.27.14	If his children are multiplied, 
JOB.27.14	And his offspring shall not be satisfied with bread.
JOB.27.15	Those who survive him shall be buried in death,
JOB.27.15	And 
JOB.27.16	Though he heaps up silver like dust,
JOB.27.16	And piles up clothing like clay—
JOB.27.17	He may pile 
JOB.27.17	And the innocent will divide the silver.
JOB.27.18	He builds his house like a moth,
JOB.27.18	Like a booth 
JOB.27.19	The rich man will lie down,
JOB.27.19	But not be gathered 
JOB.27.19	He opens his eyes,
JOB.27.19	And he 
JOB.27.20	Terrors overtake him like a flood;
JOB.27.20	A tempest steals him away in the night.
JOB.27.21	The east wind carries him away, and he is gone;
JOB.27.21	It sweeps him out of his place.
JOB.27.22	It hurls against him and does not 
JOB.27.22	He flees desperately from its power.
JOB.27.23	 shall clap their hands at him,
JOB.27.23	And shall hiss him out of his place.
JOB.28.1	“Surely there is a mine for silver,
JOB.28.1	And a place 
JOB.28.2	Iron is taken from the earth,
JOB.28.2	And copper 
JOB.28.3	 puts an end to darkness,
JOB.28.3	And searches every recess
JOB.28.3	For ore in the darkness and the shadow of death.
JOB.28.4	He breaks open a shaft away from people;
JOB.28.4	They hang far away from men;
JOB.28.4	They swing to and fro.
JOB.28.5	But underneath it is turned up as by fire;
JOB.28.6	Its stones 
JOB.28.6	And it contains gold dust.
JOB.28.7	 path no bird knows,
JOB.28.7	Nor has the falcon’s eye seen it.
JOB.28.8	The proud lions have not trodden it,
JOB.28.8	Nor has the fierce lion passed over it.
JOB.28.9	He puts his hand on the flint;
JOB.28.9	He overturns the mountains at the roots.
JOB.28.10	He cuts out channels in the rocks,
JOB.28.10	And his eye sees every precious thing.
JOB.28.11	He dams up the streams from trickling;
JOB.28.12	“But
JOB.28.12	And where 
JOB.28.13	Man does not know its 
JOB.28.13	Nor is it found in the land of the living.
JOB.28.14	The deep says, 
JOB.28.14	And the sea says, 
JOB.28.15	It 
JOB.28.15	Nor can silver be weighed 
JOB.28.16	It cannot be valued in the gold of Ophir,
JOB.28.16	In precious onyx or sapphire.
JOB.28.17	Neither 
JOB.28.17	Nor can it be exchanged for jewelry of fine gold.
JOB.28.18	No mention shall be made of coral or quartz,
JOB.28.18	For the price of wisdom 
JOB.28.19	The topaz of Ethiopia cannot equal it,
JOB.28.19	Nor can it be valued in pure 
JOB.28.20	“From
JOB.28.20	And where 
JOB.28.21	It is hidden from the eyes of all living,
JOB.28.21	And concealed from the birds of the air.
JOB.28.22	Destruction and Death say,
JOB.28.22	‘We have heard a report about it with our ears.’
JOB.28.23	God understands its way,
JOB.28.23	And He knows its place.
JOB.28.24	For He looks to the ends of the earth,
JOB.28.25	To establish a weight for the wind,
JOB.28.25	And apportion the waters by measure.
JOB.28.26	When He 
JOB.28.26	And a path for the thunderbolt,
JOB.28.27	Then He saw 
JOB.28.27	He prepared it, indeed, He searched it out.
JOB.28.28	And to man He said,
JOB.28.28	‘Behold, 
JOB.28.28	And to depart from evil 
JOB.29.1	Job further continued his discourse, and said:
JOB.29.2	“Oh, that I were as 
JOB.29.2	As 
JOB.29.3	When His lamp shone upon my head,
JOB.29.4	Just as I was in the days of my prime,
JOB.29.4	When 
JOB.29.5	When the Almighty 
JOB.29.5	 my children 
JOB.29.6	When 
JOB.29.6	And 
JOB.29.7	“When I went out to the gate by the city,
JOB.29.7	 I took my seat in the open square,
JOB.29.8	The young men saw me and hid,
JOB.29.8	And the aged arose 
JOB.29.9	The princes refrained from talking,
JOB.29.9	And 
JOB.29.10	The voice of nobles was hushed,
JOB.29.10	And their 
JOB.29.11	When the ear heard, then it blessed me,
JOB.29.11	And when the eye saw, then it approved me;
JOB.29.12	Because 
JOB.29.12	The fatherless and 
JOB.29.13	The blessing of a perishing 
JOB.29.13	And I caused the widow’s heart to sing for joy.
JOB.29.14	I put on righteousness, and it clothed me;
JOB.29.14	My justice 
JOB.29.15	I 
JOB.29.15	And I 
JOB.29.16	I 
JOB.29.16	And 
JOB.29.17	I broke 
JOB.29.17	And plucked the victim from his teeth.
JOB.29.18	“Then I said, 
JOB.29.18	And multiply 
JOB.29.19	My root 
JOB.29.19	And the dew lies all night on my branch.
JOB.29.20	My glory 
JOB.29.20	And my 
JOB.29.21	“
JOB.29.21	And kept silence for my counsel.
JOB.29.22	After my words they did not speak again,
JOB.29.22	And my speech settled on them 
JOB.29.23	They waited for me 
JOB.29.23	And they opened their mouth wide 
JOB.29.24	 I mocked at them, they did not believe 
JOB.29.24	And the light of my countenance they did not cast down.
JOB.29.25	I chose the way for them, and sat as chief;
JOB.29.25	So I dwelt as a king in the army,
JOB.29.25	As one 
JOB.30.1	“But now they mock at me, 
JOB.30.1	Whose fathers I disdained to put with the dogs of my flock.
JOB.30.2	Indeed, what 
JOB.30.2	Their vigor has perished.
JOB.30.3	Fleeing late to the wilderness, desolate and waste,
JOB.30.4	Who pluck mallow by the bushes,
JOB.30.4	And broom tree roots 
JOB.30.5	They were driven out from among 
JOB.30.5	They shouted at them as 
JOB.30.6	 caves of the earth and the rocks.
JOB.30.7	Among the bushes they brayed,
JOB.30.7	Under the nettles they nestled.
JOB.30.8	Yes, sons of vile men;
JOB.30.8	They were scourged from the land.
JOB.30.9	“And
JOB.30.9	Yes, I am their byword.
JOB.30.10	They abhor me, they keep far from me;
JOB.30.10	They do not hesitate 
JOB.30.11	Because 
JOB.30.11	They have cast off restraint before me.
JOB.30.12	At 
JOB.30.12	They push away my feet,
JOB.30.12	And 
JOB.30.13	They break up my path,
JOB.30.13	They promote my calamity;
JOB.30.13	They have no helper.
JOB.30.14	They come as broad breakers;
JOB.30.14	Under the ruinous storm they roll along.
JOB.30.15	Terrors are turned upon me;
JOB.30.15	They pursue my honor as the wind,
JOB.30.15	And my prosperity has passed like a cloud.
JOB.30.16	“And
JOB.30.16	The days of affliction take hold of me.
JOB.30.17	My bones are pierced in me at night,
JOB.30.17	And my gnawing pains take no rest.
JOB.30.18	By great force my garment is disfigured;
JOB.30.18	It binds me about as the collar of my coat.
JOB.30.19	He has cast me into the mire,
JOB.30.19	And I have become like dust and ashes.
JOB.30.20	“I 
JOB.30.20	I stand up, and You regard me.
JOB.30.21	 You have become cruel to me;
JOB.30.21	With the strength of Your hand You 
JOB.30.22	You lift me up to the wind and cause me to ride 
JOB.30.22	You spoil my success.
JOB.30.23	For I know 
JOB.30.23	And 
JOB.30.24	“Surely He would not stretch out 
JOB.30.24	If they cry out when He destroys 
JOB.30.25	Have I not wept for him who was in trouble?
JOB.30.25	Has 
JOB.30.26	But when I looked for good, evil came 
JOB.30.26	And when I waited for light, then came darkness.
JOB.30.27	My heart is in turmoil and cannot rest;
JOB.30.27	Days of affliction confront me.
JOB.30.28	I go about mourning, but not in the sun;
JOB.30.28	I stand up in the assembly 
JOB.30.29	I am a brother of jackals,
JOB.30.29	And a companion of ostriches.
JOB.30.30	My skin grows black and falls from me;
JOB.30.30	My bones burn with fever.
JOB.30.31	My harp is 
JOB.30.31	And my flute to the voice of those who weep.
JOB.31.1	“I have made a covenant with my eyes;
JOB.31.1	Why then should I look upon a 
JOB.31.2	For what 
JOB.31.2	And the inheritance of the Almighty from on high?
JOB.31.3	 it not destruction for the wicked,
JOB.31.3	And disaster for the workers of iniquity?
JOB.31.4	Does He not see my ways,
JOB.31.4	And count all my steps?
JOB.31.5	“If I have walked with falsehood,
JOB.31.5	Or if my foot has hastened to deceit,
JOB.31.6	Let me be weighed on honest scales,
JOB.31.6	That God may know my 
JOB.31.7	If my step has turned from the way,
JOB.31.7	Or 
JOB.31.7	Or if any spot adheres to my hands,
JOB.31.8	Yes, let my harvest be rooted out.
JOB.31.9	“If my heart has been enticed by a woman,
JOB.31.9	Or 
JOB.31.10	 let my wife grind for 
JOB.31.10	And let others bow down over her.
JOB.31.11	For that 
JOB.31.11	Yes, 
JOB.31.12	For that 
JOB.31.12	And would root out all my increase.
JOB.31.13	“If I have 
JOB.31.13	When they complained against me,
JOB.31.14	What then shall I do when 
JOB.31.14	When He punishes, how shall I answer Him?
JOB.31.15	Did not He who made me in the womb make them?
JOB.31.15	Did not the same One fashion us in the womb?
JOB.31.16	“If I have kept the poor from 
JOB.31.16	Or caused the eyes of the widow to 
JOB.31.17	Or eaten my morsel by myself,
JOB.31.17	So that the fatherless could not eat of it
JOB.31.18	(But from my youth I reared him as a father,
JOB.31.18	And from my mother’s womb I guided 
JOB.31.19	If I have seen anyone perish for lack of clothing,
JOB.31.19	Or any poor 
JOB.31.20	If his heart has not 
JOB.31.20	And 
JOB.31.21	If I have raised my hand 
JOB.31.21	When I saw I had help in the gate;
JOB.31.22	 let my arm fall from my shoulder,
JOB.31.22	Let my arm be torn from the socket.
JOB.31.23	For 
JOB.31.23	And because of His magnificence I cannot endure.
JOB.31.24	“If
JOB.31.24	Or said to fine gold, ‘
JOB.31.25	If I have rejoiced because my wealth 
JOB.31.25	And because my hand had gained much;
JOB.31.26	If I have observed the sun when it shines,
JOB.31.26	Or the moon moving 
JOB.31.27	So that my heart has been secretly enticed,
JOB.31.27	And my mouth has kissed my hand;
JOB.31.28	This also 
JOB.31.28	For I would have denied God 
JOB.31.29	“If
JOB.31.29	Or lifted myself up when evil found him
JOB.31.30	(Indeed I have not allowed my mouth to sin
JOB.31.30	By asking for a curse on his soul);
JOB.31.31	If the men of my tent have not said,
JOB.31.31	‘Who is there that has not been satisfied with his meat?’
JOB.31.32	(
JOB.31.32	 I have opened my doors to the traveler);
JOB.31.33	If I have covered my transgressions 
JOB.31.33	By hiding my iniquity in my bosom,
JOB.31.34	Because I feared the great 
JOB.31.34	And dreaded the contempt of families,
JOB.31.34	So that I kept silence
JOB.31.34	 did not go out of the door—
JOB.31.35	Oh, that I had one to hear me!
JOB.31.35	Here is my mark.
JOB.31.35	that the Almighty would answer me,
JOB.31.35	 my Prosecutor had written a book!
JOB.31.36	Surely I would carry it on my shoulder,
JOB.31.36	 bind it on me 
JOB.31.37	I would declare to Him the number of my steps;
JOB.31.37	Like a prince I would approach Him.
JOB.31.38	“If my land cries out against me,
JOB.31.38	And its furrows weep together;
JOB.31.39	If 
JOB.31.39	Or 
JOB.31.40	 let 
JOB.31.40	And weeds instead of barley.”
JOB.31.40	The words of Job are ended.
JOB.32.1	So these three men ceased answering Job, because he 
JOB.32.2	Then the wrath of Elihu, the son of Barachel the 
JOB.32.3	Also against his three friends his wrath was aroused, because they had found no answer, and 
JOB.32.4	Now because they 
JOB.32.5	When Elihu saw that 
JOB.32.6	So Elihu, the son of Barachel the Buzite, answered and said:
JOB.32.6	“I 
JOB.32.6	Therefore I was afraid,
JOB.32.6	And dared not declare my opinion to you.
JOB.32.7	I said, ‘Age should speak,
JOB.32.7	And multitude of years should teach wisdom.’
JOB.32.8	But 
JOB.32.8	And 
JOB.32.9	Great men are not 
JOB.32.9	Nor do the aged 
JOB.32.10	“Therefore I say, ‘Listen to me,
JOB.32.10	I also will declare my opinion.’
JOB.32.11	Indeed I waited for your words,
JOB.32.11	I listened to your reasonings, while you searched out what to say.
JOB.32.12	I paid close attention to you;
JOB.32.12	And surely not one of you convinced Job,
JOB.32.12	 answered his words—
JOB.32.13	Lest you say,
JOB.32.13	‘We have found wisdom’;
JOB.32.13	God will vanquish him, not man.
JOB.32.14	Now he has not directed 
JOB.32.14	So I will not answer him with your words.
JOB.32.15	“They are dismayed and answer no more;
JOB.32.15	Words escape them.
JOB.32.16	And I have waited, because they did not speak,
JOB.32.16	Because they stood still 
JOB.32.17	I also will answer my part,
JOB.32.17	I too will declare my opinion.
JOB.32.18	For I am full of words;
JOB.32.18	The spirit within me compels me.
JOB.32.19	Indeed my belly 
JOB.32.19	It is ready to burst like new wineskins.
JOB.32.20	I will speak, that I may find relief;
JOB.32.20	I must open my lips and answer.
JOB.32.21	Let me not, I pray, show partiality to anyone;
JOB.32.21	Nor let me flatter any man.
JOB.32.22	For I do not know how to flatter,
JOB.32.22	 my Maker would soon take me 
JOB.33.1	“But please, Job, hear my speech,
JOB.33.1	And listen to all my words.
JOB.33.2	Now, I open my mouth;
JOB.33.2	My tongue speaks in my mouth.
JOB.33.3	My words 
JOB.33.3	My lips utter pure knowledge.
JOB.33.4	The Spirit of God has made me,
JOB.33.4	And the breath of the Almighty gives me life.
JOB.33.5	If you can answer me,
JOB.33.5	Set 
JOB.33.5	Take your stand.
JOB.33.6	Truly I 
JOB.33.6	I also have been formed out of clay.
JOB.33.7	Surely no fear of me will terrify you,
JOB.33.7	Nor will my hand be heavy on you.
JOB.33.8	“Surely you have spoken in my hearing,
JOB.33.8	And I have heard the sound of 
JOB.33.9	‘I
JOB.33.9	I 
JOB.33.10	Yet He finds occasions against me,
JOB.33.10	He counts me as His enemy;
JOB.33.11	He puts my feet in the stocks,
JOB.33.11	He watches all my paths.’
JOB.33.12	“Look, 
JOB.33.12	I will answer you,
JOB.33.12	For God is greater than man.
JOB.33.13	Why do you 
JOB.33.13	For He does not give an accounting of any of His words.
JOB.33.14	For God may speak in one way, or in another,
JOB.33.15	In a dream, in a vision of the night,
JOB.33.15	When deep sleep falls upon men,
JOB.33.15	While slumbering on their beds,
JOB.33.16	Then He opens the ears of men,
JOB.33.16	And seals their instruction.
JOB.33.17	In order to turn man 
JOB.33.17	And conceal pride from man,
JOB.33.18	He keeps back his soul from the Pit,
JOB.33.18	And his life from perishing by the sword.
JOB.33.19	“
JOB.33.19	And with strong 
JOB.33.20	So that his life abhors 
JOB.33.20	And his soul succulent food.
JOB.33.21	His flesh wastes away from sight,
JOB.33.21	And his bones stick out 
JOB.33.22	Yes, his soul draws near the Pit,
JOB.33.22	And his life to the executioners.
JOB.33.23	“If there is a messenger for him,
JOB.33.23	A mediator, one among a thousand,
JOB.33.23	To show man His uprightness,
JOB.33.24	Then He is gracious to him, and says,
JOB.33.24	‘Deliver him from going down to the Pit;
JOB.33.24	I have found a ransom’;
JOB.33.25	His flesh shall be young like a child’s,
JOB.33.25	He shall return to the days of his youth.
JOB.33.26	He shall pray to God, and He will delight in him,
JOB.33.26	He shall see His face with joy,
JOB.33.26	For He restores to man His righteousness.
JOB.33.27	Then he looks at men and 
JOB.33.27	‘I have sinned, and perverted 
JOB.33.27	And it 
JOB.33.28	He will 
JOB.33.28	And his life shall see the light.
JOB.33.29	“Behold, God works all these 
JOB.33.29	Twice, 
JOB.33.30	To bring back his soul from the Pit,
JOB.33.30	That he may be enlightened with the light of life.
JOB.33.31	“Give ear, Job, listen to me;
JOB.33.31	Hold your peace, and I will speak.
JOB.33.32	If you have anything to say, answer me;
JOB.33.32	Speak, for I desire to justify you.
JOB.33.33	If not, 
JOB.33.33	Hold your peace, and I will teach you wisdom.”
JOB.34.1	Elihu further answered and said:
JOB.34.2	“Hear my words, you wise 
JOB.34.2	Give ear to me, you who have knowledge.
JOB.34.3	For the ear tests words
JOB.34.3	As the palate tastes food.
JOB.34.4	Let us choose justice for ourselves;
JOB.34.4	Let us know among ourselves what 
JOB.34.5	“For Job has said, 
JOB.34.5	But 
JOB.34.6	Should I lie concerning my right?
JOB.34.6	My wound 
JOB.34.7	What man 
JOB.34.7	 drinks scorn like water,
JOB.34.8	Who goes in company with the workers of iniquity,
JOB.34.8	And walks with wicked men?
JOB.34.9	For 
JOB.34.9	That he should delight in God.’
JOB.34.10	“Therefore listen to me, you men of understanding:
JOB.34.10	Far be it from God 
JOB.34.10	And 
JOB.34.11	For He repays man 
JOB.34.11	And makes man to find a reward according to 
JOB.34.12	Surely God will never do wickedly,
JOB.34.12	Nor will the Almighty 
JOB.34.13	Who gave Him charge over the earth?
JOB.34.13	Or who appointed 
JOB.34.14	If He should set His heart on it,
JOB.34.14	 He should 
JOB.34.15	All flesh would perish together,
JOB.34.15	And man would return to dust.
JOB.34.16	“If 
JOB.34.16	Listen to the sound of my words:
JOB.34.17	Should one who hates justice govern?
JOB.34.17	Will you 
JOB.34.18	 to nobles, ‘
JOB.34.19	Yet He 
JOB.34.19	Nor does He regard the rich more than the poor;
JOB.34.19	For 
JOB.34.20	In a moment they die, 
JOB.34.20	The people are shaken and pass away;
JOB.34.20	The mighty are taken away without a hand.
JOB.34.21	“For
JOB.34.21	And He sees all his steps.
JOB.34.22	There is no darkness nor shadow of death
JOB.34.22	Where the workers of iniquity may hide themselves.
JOB.34.23	For He need not further consider a man,
JOB.34.23	That he should go before God in judgment.
JOB.34.24	He breaks in pieces mighty men without inquiry,
JOB.34.24	And sets others in their place.
JOB.34.25	Therefore He knows their works;
JOB.34.25	He overthrows 
JOB.34.25	And they are crushed.
JOB.34.26	He strikes them as wicked 
JOB.34.26	In the open sight of others,
JOB.34.27	Because they 
JOB.34.27	And 
JOB.34.28	So that they 
JOB.34.28	For He 
JOB.34.29	When He gives quietness, who then can make trouble?
JOB.34.29	And when He hides 
JOB.34.29	Whether 
JOB.34.30	That the hypocrite should not reign,
JOB.34.30	Lest the people be ensnared.
JOB.34.31	“For has 
JOB.34.31	‘I have borne 
JOB.34.31	I will offend no more;
JOB.34.32	Teach me 
JOB.34.32	If I have done iniquity, I will do no more’?
JOB.34.33	Should He repay 
JOB.34.33	 because you disavow it?
JOB.34.33	You must choose, and not I;
JOB.34.33	Therefore speak what you know.
JOB.34.34	“Men of understanding say to me,
JOB.34.34	Wise men who listen to me:
JOB.34.35	‘Job
JOB.34.35	His words 
JOB.34.36	Oh, that Job were tried to the utmost,
JOB.34.36	Because 
JOB.34.37	For he adds 
JOB.34.37	He claps 
JOB.34.37	And multiplies his words against God.”
JOB.35.1	Moreover Elihu answered and said:
JOB.35.2	“Do you think this is right?
JOB.35.2	Do you say,
JOB.35.2	‘My righteousness is more than God’s’?
JOB.35.3	For 
JOB.35.3	‘What advantage will it be to You?
JOB.35.3	What profit shall I have, more than 
JOB.35.4	“I will answer you,
JOB.35.4	And 
JOB.35.5	Look to the heavens and see;
JOB.35.5	And behold the clouds—
JOB.35.5	They are higher than you.
JOB.35.6	If you sin, what do you accomplish 
JOB.35.6	Or, 
JOB.35.7	If you are righteous, what do you give Him?
JOB.35.7	Or what does He receive from your hand?
JOB.35.8	Your wickedness affects a man such as you,
JOB.35.8	And your righteousness a son of man.
JOB.35.9	“Because
JOB.35.9	They cry out for help because of the arm of the mighty.
JOB.35.10	But no one says, 
JOB.35.10	Who gives songs in the night,
JOB.35.11	Who 
JOB.35.11	And makes us wiser than the birds of heaven?’
