GEN.1.1	Ku lubereberye Katonda yatonda eggulu n'ensi.
ISA.47.11	akabi kalikugwako;
ISA.47.11	toliyinza kukaggyawo,
ISA.47.11	okuzikirira kuli kugwako mangu ago
ISA.47.11	nga totegedde.
ISA.47.12	Yimirira nno n'obusawo bwo
ISA.47.12	n'obulogo bwo obwayinga obungi,
ISA.47.12	obwakutengezzanga okuva mu buto bwo;
ISA.47.12	oba nga mpozzi oliyinza okugasa,
ISA.47.12	oba nga mpozzi oliyinza okusobola.
ISA.47.13	Abateesa naawe abayinga obungi bakukooyezza;
ISA.47.13	abalaguza eggulu,
ISA.47.13	abalengera emmunyeenye,
ISA.47.13	abalanga eby'emyezi
ISA.47.13	bayimirire nno bakulokole mu ebyo ebirikujjako.
ISA.47.14	Laba, baliba ng'ebisusunku;
ISA.47.14	omuliro gulibookya;
ISA.47.14	tebalyewonya mu buyinza bw'omuliro;
ISA.47.14	teguliba lyanda lya kwota,
ISA.47.14	newakubadde ekyoto eky'okutuulako.
ISA.47.15	Bwe bityo bwe biriba gy'oli ebyo ebyakutengezzanga;
ISA.47.15	abaagulaananga naawe okuva mu buto bwo
ISA.47.15	balibulubuuta buli muntu ku luuyi lwe ye;
ISA.47.15	tewaliba wa kukulokola.
ISA.48.1	Muwulire kino, mmwe ennyumba ya Yakobo,
ISA.48.1	abaatuumibwa erinnya lya Isiraeri
ISA.48.1	era abaava munda ya Yuda;
ISA.48.1	abalayira erinnya lya Mukama,
ISA.48.1	era abaatula Katonda wa Isiraeri,
ISA.48.1	naye si mu mazima wadde mu butuukirivu.
ISA.48.2	Kubanga beeyita ba mu kibuga kitukuvu,
ISA.48.2	era beesigama ku Katonda wa Isiraeri;
ISA.48.2	Mukama ow'eggye lye linnya lye.
ISA.48.3	N'abuulira ebigambo ebyasooka okuva edda; weewaawo,
ISA.48.3	byava mu kamwa kange ne mbiranga;
ISA.48.3	nabikola mangu ne bituukirira.
ISA.48.4	Kubanga nnamanya ng'oli mukakanyavu,
ISA.48.4	n'ensingo yo kinywa kya kyuma,
ISA.48.4	n'ekyenyi kyo kikomo;
ISA.48.5	kyennava nkikubuulira okuva edda;
ISA.48.5	nga tekinnatuukirira nnakiranga gy'oli;
ISA.48.5	olemenga okwogera nti, “Ekifaananyi kyange kye kibikoze,
ISA.48.5	n'ekifaananyi kyange ekyole n'ekifaananyi kyange ekisaanuuse bye bibiragidde.”
ISA.48.6	Wakiwulira; laba bino byonna;
ISA.48.6	nammwe temulikibuulira?
ISA.48.6	Nkulaze ebigambo ebiggya okuva mu biro bino,
ISA.48.6	ebigambo ebyakwekebwa, by'otomanyanga.
ISA.48.7	Bitondeddwa kaakano so si kuva dda;
ISA.48.7	era okusooka olwa leero tobiwuliranga;
ISA.48.7	olemenga okwogera nti Laba, nali mbimanyi.
ISA.48.8	Towuliranga wadde okutegeera,
ISA.48.8	obw'edda bwonna okutu kwo tekuggukanga;
ISA.48.8	kubanga nnamanya nga walyazaamaanya nnyo,
ISA.48.8	era wayitibwa mujeemu okuva lwe wazaalibwa.
ISA.48.9	Olw'erinnya lyange ndirwisaawo obusungu bwange,
ISA.48.9	olw'ettendo lyange ndizibiikiriza,
ISA.48.9	nneme okukuzikiriza.
ISA.48.10	Laba, nkulongoosezza naye si nga ffeeza;
ISA.48.10	nkugezesezza mu kirombe ky'okubonaabona.
ISA.48.11	Ku lwange nze, ku lwange nze kyendiva nkikola;
ISA.48.11	kubanga erinnya lyange bandirivumye batya?
ISA.48.11	n'ekitiibwa kyange sirikiwa mulala.
ISA.48.12	Mpuliriza, ggwe Yakobo,
ISA.48.12	ne Isiraeri gwe nnayita,
ISA.48.12	nze nzuuyo; nze w'olubereberye,
ISA.48.12	era nze w'enkomerero.
ISA.48.13	Omukono gwange gwe gwateekawo omusingi gw'ensi,
ISA.48.13	n'omukono gwange ogwa ddyo gwe gwabamba eggulu;
ISA.48.13	bwe mbiyita
ISA.48.13	byombi bijja.
ISA.48.14	Mwekuŋŋaanye, mmwe mwenna, muwulire;
ISA.48.14	ani ku bo eyali abuulidde ebyo?
ISA.48.14	Mukama yamwagala;
ISA.48.14	alikola Babbulooni by'ayagala,
ISA.48.14	n'omukono gwe guliba ku Bakaludaaya.
ISA.48.15	Nze, nze mwene, njogedde;
ISA.48.15	mmuyise, mmuleese, era aliraba omukisa mu lugendo lwe.
ISA.48.16	Munsemberere, muwulire kino;
ISA.48.16	okuva ku lubereberye ssoogereranga mu kyama;
ISA.48.16	kasookedde kibaawo, nga wendi;
ISA.48.16	era kaakano Mukama Katonda antumye n'Omwoyo gwe.
ISA.48.17	Bw'atyo bw'ayogera Mukama,
ISA.48.17	omununuzi wo, Omutukuvu wa Isiraeri,
ISA.48.17	nti Nze Mukama Katonda wo,
ISA.48.17	akuyigiriza okugasa,
ISA.48.17	akukulembera mu kkubo ly'oba oyitamu.
ISA.48.18	Singa wawulira amateeka gange!
ISA.48.18	kale emirembe gyo gyandibadde ng'omugga,
ISA.48.18	n'obutuukirivu bwo ng'amayengo g'ennyanja:
ISA.48.19	era n'ezzadde lyo lyandibadde ng'omusenyu,
ISA.48.19	n'ab'enda yo ng'empeke zaagwo;
ISA.48.19	erinnya lyabwe teryandisanguliddwa
ISA.48.19	so teryandizikiridde mu maaso gange.
ISA.48.20	Mufulume mu Babbulooni, mudduke Abakaludaaya;
ISA.48.20	mubuulire mwogere kino mukirange,
ISA.48.20	okutuusa ku nkomerero y'ensi n'eddoboozi ery'okuyimba;
ISA.48.20	mwogere nti, “Mukama anunudde omuweereza we Yakobo.”
ISA.48.21	Tebaalumwa nnyonta bwe yabayisa mu malungu;
ISA.48.21	yabakulukusiza amazzi agaava mu lwazi;
ISA.48.21	era yayasa n'olwazi, amazzi ne gavaamu.
ISA.48.22	Tewali mirembe eri ababi, bw'ayogera Mukama.
ISA.49.1	Mumpulirize, mmwe ebizinga;
ISA.49.1	era mutege amatu, mmwe amawanga agali ewala.
ISA.49.1	Mukama yampita okuva mu lubuto;
ISA.49.1	okuva munda ya mmange yayatula erinnya lyange.
ISA.49.2	Yakola akamwa kange ng'ekitala eky'obwogi,
ISA.49.2	mu kisiikirize ky'omukono gwe mw'ankwese;
ISA.49.2	era anfudde akasaale akazigule,
ISA.49.2	mu mufuko gwe mw'ankuumidde ddala;
ISA.49.3	era yaŋŋamba nti, “Ggwe muweereza wange;”
ISA.49.3	Isiraeri gwe ndiweerwamu ekitiibwa.
ISA.49.4	Naye ne njogera nti, “Nateganira bwereere,
ISA.49.4	amaanyi gange gaafa busa,
ISA.49.4	naye mazima omusango gwange guli ne Mukama,
ISA.49.4	n'empeera yange eri ne Katonda wange.”
ISA.49.5	Era kaakano ayogera Mukama
ISA.49.5	eyammumba okuva mu lubuto okuba omuweereza we,
ISA.49.5	okumukomezaawo nate Yakobo
ISA.49.5	n'okukuŋŋaanya Isiraeri gy'ali,
ISA.49.5	kubanga ndi wa kitiibwa mu maaso ga Mukama,
ISA.49.5	era Katonda wange afuuse amaanyi gange:
ISA.49.6	weewaawo, ayogera
ISA.49.6	nti, “Ekigambo kyayinga obwangu ggwe okuba omuweereza wange
ISA.49.6	okugolokosa ebika bya Yakobo
ISA.49.6	n'okulokola abawonye ku Isiraeri;
ISA.49.6	era ndikuwaayo okuba omusana eri ab'amawanga,
ISA.49.6	obeerenga obulokozi bwange okutuusa ku nkomerero y'ensi.”
ISA.49.7	Bw'atyo bw'ayogera Mukama,
ISA.49.7	omununuzi wa Isiraeri, era Omutukuvu we,
ISA.49.7	ng'agamba oyo abantu gwe banyooma, oyo eggwanga gwe likyawa,
ISA.49.7	omuweereza w'abafuga,
ISA.49.7	nti Bakabaka baliraba ne bagolokoka;
ISA.49.7	abalangira baligolokoka ne basinza;
ISA.49.7	ku lwa Mukama omwesigwa,
ISA.49.7	Omutukuvu wa Isiraeri eyakulonda.
ISA.49.8	Bw'atyo bw'ayogera Mukama
ISA.49.8	nti, “ Nkwanukulidde mu biro eby'okukkirizibwamu,
ISA.49.8	era nkuyambye ku lunaku olw'okulokokeramu;
ISA.49.8	era ndikuwonya ne nkuwaayo
ISA.49.8	okuba endagaano eri abantu,
ISA.49.8	okugolokosa ensi,
ISA.49.8	okubasisa obusika obwazika:
ISA.49.9	ng'obuulira abo abasibiddwa nti, Mufulume;
ISA.49.9	abo abali mu kizikiza nti, Mwerage.
ISA.49.9	Banaaliiranga mu makubo,
ISA.49.9	ne ku nsozi enjereere kwe kunaabanga amalundiro gaabwe.
ISA.49.10	Tebaalumwenga njala newakubadde ennyonta;
ISA.49.10	so n'ebbugumu teribakwatenga newakubadde omusana okubookya.
ISA.49.10	kubanga oyo abasaasira anaabakulemberanga
ISA.49.10	era awali enzizi z'amazzi gy'anaabatwalanga.
ISA.49.11	Era ndifuula ensozi zange zonna okuba ekkubo,
ISA.49.11	n'enguudo zange zirigulumizibwa.
ISA.49.12	Laba, bano baliva wala;
ISA.49.12	era, laba, bano baliva obukiikakkono n'ebugwanjuba;
ISA.49.12	era bano mu nsi y'e Sinimu.”
ISA.49.13	Yimba, ggwe eggulu; era sanyuka, ggwe ensi;
ISA.49.13	era mubaguke okuyimba, mmwe ensozi:
ISA.49.13	kubanga Mukama asanyusizza abantu be,
ISA.49.13	era alisaasira ababe ababonyaabonyezebwa.
ISA.49.14	Naye Sayuuni n'ayogera nti, “ Mukama andese,
ISA.49.14	era Mukama anneerabidde.”
ISA.49.15	“Omukazi ayinza okwerabira omwana we ayonka,
ISA.49.15	n'atasaasira mwana wa nda ye?
ISA.49.15	abo bayinza okwerabira,
ISA.49.15	naye nze ssiikwerabirenga ggwe.
ISA.49.16	Laba, nkuyoze ku bibatu by'emikono gyange;
ISA.49.16	ebisenge byo biri mu maaso gange bulijjo.
ISA.49.17	Abakuzimba basukkuluma abo abaakuzikiriza
ISA.49.17	n'abaakuzisa balikuvaamu.
ISA.49.18	Yimusa amaaso go enjuyi zonna olabe;
ISA.49.18	abo bonna beekuŋŋaanya wamu ne bajja gy'oli.
ISA.49.18	Nga bwe ndi omulamu, bw'ayogera Mukama,
ISA.49.18	tolirema kubambala bonna ng'eky'obuyonjo,
ISA.49.18	n'obeesiba ng'omugole.
ISA.49.19	Kubanga ebifo byo ebyazika ebyalekebwawo
ISA.49.19	n'ensi yo eyazikirizibwa,
ISA.49.19	mazima kaakano olibayingirira obufunda abatuulamu,
ISA.49.19	n'abo abaakulyanga baliba wala.
ISA.49.20	Abaana abazaalibwa mu buwaŋŋanguse
ISA.49.20	balyogerera mu matu go;
ISA.49.20	nti, Ekifo kino nga kifuuse kifunda bulala;
ISA.49.20	mpa ekifo eky'okutuulamu.
ISA.49.21	N'olyoka oyogerera mu mutima gwo,
ISA.49.21	nti Ani eyanzaalira bano,
ISA.49.21	kubanga nnafiirwa abaana bange, era ndi omu,
ISA.49.21	nnawaŋŋangusibwa ne nsigala nzekka.
ISA.49.21	ani eyazaala bano?
ISA.49.21	Laba, n'asigala omu;
ISA.49.21	bano baava ludda wa?”
ISA.49.22	Bw'atyo bw'ayogera Mukama Katonda
ISA.49.22	nti Laba, ndigololera amawanga omukono gwange,
ISA.49.22	ne nsimbira abantu ebendera yange:
ISA.49.22	awo balireeta batabani bo mu kifuba kyabwe,
ISA.49.22	ne bawala bo balikongojjerwa ku bibegabega byabwe.
ISA.49.23	Era bakabaka baliba bakitaawo abalera,
ISA.49.23	ne bakaddulubaale baabwe baliba bannyoko abayonsa;
ISA.49.23	balikuvuunamira n'amaaso gaabwe,
ISA.49.23	ne bakomba enfuufu ey'omu bigere byo;
ISA.49.23	kale olimanya nga ndi Mukama,
ISA.49.23	n'abo abannindirira tebalikwatibwa nsonyi.
ISA.49.24	Omunyago guliggibwa ku b'amaanyi,
ISA.49.24	oba abawambibwa olw'ensonga baliteebwa?
ISA.49.25	Naye bw'atyo bw'ayogera Mukama
ISA.49.25	nti N'abo ab'amaanyi be baawamba baliggibwawo,
ISA.49.25	n'omunyago gw'ab'entiisa guliteebwa;
ISA.49.25	kubanga ndiyomba n'oyo ayomba naawe,
ISA.49.25	era ndirokola abaana bo.
ISA.49.26	Era abo abakujooga ndibaliisa ennyama yaabwe bo;
ISA.49.26	era balitamiira omusaayi gwabwe bo, nga n'omwenge omuwoomerevu;
ISA.49.26	n'abalina omubiri bonna balimanya
ISA.49.26	nga nze Mukama omulokozi wo,
ISA.49.26	era omununuzi wo, Ow'amaanyi owa Yakobo.
ISA.50.1	Bw'atyo bw'ayogera Mukama
ISA.50.1	nti, “Ebbaluwa ey'okugoba nnyammwe
ISA.50.1	eri ludda wa gye nnamugobya?
ISA.50.1	Oba aluwa ku abo abammanja
ISA.50.1	gwe nnabaguza?
ISA.50.1	Laba, olw'obutali butuukirivu bwammwe kyemwava mutundibwa,
ISA.50.1	era okusobya kwammwe kwe kwagobya nnyammwe.
ISA.50.2	Lwaki bwe nnajja tewaali muntu n'omu?
ISA.50.2	Bwe nnayita lwaki tewaali muntu n'omu annyanukula?
ISA.50.2	Omukono gwange guyimpawadde ne gutayinza n'akatono kununula?
ISA.50.2	Oba sirina maanyi n'akatono gakuwonya?
ISA.50.2	Laba olw'okunenya kwange nkaliza ennyanja,
ISA.50.2	emigga ngifuula eddungu;
ISA.50.2	ebyennyanja byamu ne biwunya, obutabaawo mazzi,
ISA.50.2	ne bifa ennyonta.
ISA.50.3	Nnyambaza eggulu obuddugavu,
ISA.50.3	era ndibikkako ebibukutu.”
ISA.50.4	Mukama Katonda ampadde
ISA.50.4	olulimi lw'abo abayigirizibwa,
ISA.50.4	ndyoke mmanye okugumya
ISA.50.4	n'ebigambo oyo akooye;
ISA.50.4	anzuukusa buli nkya,
ISA.50.4	azuukusa okutu kwange
ISA.50.4	okuwulira ng'abo abayigirizibwa.
ISA.50.5	Mukama Katonda aggudde okutu kwange,
ISA.50.5	ne ssiba mujeemu
ISA.50.5	ne ssikyuka kudda mabega.
ISA.50.6	Nnawaayo omugongo gwange eri abakuba,
ISA.50.6	n'amatama gange eri abo abakuunyuula ekirevu;
ISA.50.6	ssaakweka maaso gange
ISA.50.6	eri abo abansekerera n'eri abo abanfujjira amalusu.
ISA.50.7	Kubanga Mukama Katonda yannyamba;
ISA.50.7	kyennava nnema okuswazibwa;
ISA.50.7	kyenvudde nteeka amaaso gange ng'ejjinja ery'embaalebaale,
ISA.50.7	era mmanyi nga sirikwatibwa nsonyi.
ISA.50.8	Ali kumpi ampeesa obutuukirivu;
ISA.50.8	ani aliyomba nange?
ISA.50.8	tuyimirire ffembi.
ISA.50.8	Omulabe wange ye ani?
ISA.50.8	ansemberere.
ISA.50.9	Laba, Mukama Katonda ye alinnyamba;
ISA.50.9	ani oyo alinsalira omusango?
ISA.50.9	laba, bonna balikaddiwa ng'ekyambalo;
ISA.50.9	ennyenje eribaliira ddala.
ISA.50.10	Ani ku mmwe atya Mukama,
ISA.50.10	agondera eddoboozi ly'omuweereza we?
ISA.50.10	atambulira mu kizikiza,
ISA.50.10	nga talina musana,
ISA.50.10	yeesige erinnya lya Mukama,
ISA.50.10	era yeesigame ku Katonda we.
ISA.50.11	Laba, mmwe mwenna abakuma omuliro,
ISA.50.11	abeesiba emimuli enjuyi zonna;
ISA.50.11	mutambulire mu nnimi z'omuliro gwammwe,
ISA.50.11	ne mu mimuli gye mukoleezezza.
ISA.50.11	Ekyo kye muliweebwa mu mukono gwange;
ISA.50.11	muligalamira nga munakuwadde.
ISA.51.1	Mumpulirize, mmwe abagoberera obutuukirivu,
ISA.51.1	mmwe abanoonya Mukama;
ISA.51.1	mutunuulire olwazi lwe mwatemebwako,
ISA.51.1	n'ekirombe ky'amayinja mwe mwasimibwa.
ISA.51.2	Mutunuulire Ibulayimu jjajjammwe
ISA.51.2	ne Saala eyabazaala;
ISA.51.2	kubanga bwe yali ali omu yekka ne mmuyita
ISA.51.2	ne mmuwa omukisa ne mmwaza
ISA.51.3	Kubanga Mukama alisanyusa Sayuuni;
ISA.51.3	alisanyusa ebifo bye byonna ebyazika
ISA.51.3	n'afuula olukoola lwe okuba nga Edeni
ISA.51.3	n'eddungu lye okuba ng'olusuku lwa Mukama;
ISA.51.3	essanyu n'okujaguza birirabikira omwo,
ISA.51.3	okwebaza, n'eddoboozi ery'okuyimba.
ISA.51.4	Mumpulirize, mmwe abantu bange;
ISA.51.4	era muntegere okutu, mmwe eggwanga lyange;
ISA.51.4	kubanga etteeka lirifuluma gye ndi,
ISA.51.4	obwenkanya bwange bubeere omusana eri amawanga.
ISA.51.5	Obutuukirivu bwange buli kumpi,
ISA.51.5	obulokozi bwange bufulumye,
ISA.51.5	n'emikono gyange girisalira amawanga emisango
ISA.51.5	ebizinga birinnindirira,
ISA.51.5	n'omukono gwange gwe biryesiga.
ISA.51.6	Muyimuse amaaso gammwe eri eggulu,
ISA.51.6	era mutunuulire ensi wansi;
ISA.51.6	kubanga eggulu lirivaawo ng'omukka,
ISA.51.6	n'ensi erikaddiwa ng'ekyambalo,
ISA.51.6	n'abo abagituulamu balifa bwe batyo;
ISA.51.6	naye obulokozi bwange bunaabeereranga ennaku zonna,
ISA.51.6	so n'obutuukirivu bwange tebujjulukukenga.
ISA.51.7	Mumpulirize, mmwe abamanyi obutuukirivu,
ISA.51.7	eggwanga eririna amateeka gange mu mutima gwammwe,
ISA.51.7	temutyanga kuvuma kw'abantu,
ISA.51.7	so temukeŋŋentererwanga lwa kuyomba kwabwe.
ISA.51.8	Kubanga ennyenje eribaliira ddala nga bwerya ekyambalo,
ISA.51.8	n'enkuyege eribalya nga bwerya ebyoya by'endiga;
ISA.51.8	naye obutuukirivu bwange bunaabeereranga ennaku zonna,
ISA.51.8	n'obulokozi bwange okutuusa emirembe gyonna.
ISA.51.9	Zuukuka, zuukuka, yambala amaanyi,
ISA.51.9	ggwe omukono gwa Mukama;
ISA.51.9	zuukuka nga mu nnaku ez'edda,
ISA.51.9	mu mirembe egy'ebiro eby'edda.
ISA.51.9	Si ggwe wuuyo eyatemaatema Lakabu,
ISA.51.9	eyafumita ogusota?
ISA.51.10	Si ggwe wuuyo eyakaliza ennyanja,
ISA.51.10	amazzi ag'obuziba obuwanvu;
ISA.51.10	eyafuula obuziba bw'ennyanja okuba ekkubo
ISA.51.10	abaanunulibwa okusomokeramu?
ISA.51.11	N'abo Mukama be yagula balikomawo
ISA.51.11	ne bajja e Sayuuni nga bayimba;
ISA.51.11	n'essanyu eritaliggwaawo liriba ku mitwe gyabwe;
ISA.51.11	balifuna essanyu n'okujaguza,
ISA.51.11	ennaku n'okusinda biriddukira ddala.
ISA.51.12	Nze, nze mwene, nze nzuuyo abasanyusa;
ISA.51.12	ggwe ani n'okutya n'otya omuntu alifa,
ISA.51.12	n'omwana w'omuntu alifuuka ng'omuddo;
ISA.51.13	ne weerabira Mukama omutonzi wo,
ISA.51.13	eyabamba eggulu,
ISA.51.13	n'ateekawo emisingi gy'ensi;
ISA.51.13	n'ozibyanga obudde bulijjo ng'otya
ISA.51.13	olw'obukaali bw'omujoozi,
ISA.51.13	bwe yeeteekateeka okuzikiriza?
ISA.51.13	era buli ludda wa obukaali bw'omujoozi?
ISA.51.14	Eyawambibwa eyagobebwa aliteebwa mangu;
ISA.51.14	so talifa kukka mu bunnya,
ISA.51.14	so n'emmere ye teribula.
ISA.51.15	Kubanga nze ndi Mukama Katonda wo
ISA.51.15	asiikuusa ennyanja amayengo gaayo ne gawuluguma;
ISA.51.15	Mukama ow'eggye lye linnya lye.
ISA.51.16	Era ntadde ebigambo byange mu kamwa ko,
ISA.51.16	era nkubisse mu kisiikirize ky'omukono gwange,
ISA.51.16	ndyoke nsimbe eggulu
ISA.51.16	ne nteekawo emisingi gy'ensi
ISA.51.16	ne ŋŋamba Sayuuni nti, “muli bantu bange.”
ISA.51.17	Zuukuka, zuukuka,
ISA.51.17	yimirira, ggwe Yerusaalemi,
ISA.51.17	eyanywera mu mukono gwa Mukama
ISA.51.17	ku kikompe eky'obusungu bwe;
ISA.51.17	wanywa n'omaliramu ddala
ISA.51.17	ekikompe eky'okutagatta.
ISA.51.18	Ku baana bonna be yazaala
ISA.51.18	tekuli wa kumukulembera;
ISA.51.18	so tekuli amukwata ku mukono
ISA.51.18	ku baana bonna be yalera.
ISA.51.19	Bino byombi bikuguddeko;
ISA.51.19	ani alikukaabirako?
ISA.51.19	Okuzika n'okuzikirira, n'enjala n'ekitala;
ISA.51.19	ani anaakusanyusa?
ISA.51.20	Batabani bo bazirise,
ISA.51.20	bagalamira mu nguudo zonna we zisibuka,
ISA.51.20	ng'engabi mu kitimba;
ISA.51.20	babuutikiddwa obusungu bwa Mukama,
ISA.51.20	n'okunenya kwa Katonda wo.
ISA.51.21	Kale nno kaakano wulira kino, ggwe abonyaabonyezebwa,
ISA.51.21	atamidde naye si na mwenge,
ISA.51.22	bw'atyo bw'ayogera Mukama wo
ISA.51.22	Katonda wo awoza ensonga ey'abantu be,
ISA.51.22	nti Laba, nzigye mu mukono gwo ekikompe eky'okutagatta,
ISA.51.22	kye kikompe eky'obusungu bwange;
ISA.51.22	tolikinywako nate;
ISA.51.23	era ndikiteeka mu mukono gw'abo abaakubonyaabonya;
ISA.51.23	abaabagamba nti, “ Mugwe wansi tubatambulireko,”
ISA.51.23	naawe n'oteekawo omugongo gwo okuba ng'ettaka
ISA.51.23	era okuba ng'oluguudo eri abo abayitako.
ISA.52.1	Zuukuka, zuukuka,
ISA.52.1	yambala amaanyi go, ggwe Sayuuni;
ISA.52.1	yambala ebyambalo byo eby'obuyonjo,
ISA.52.1	ggwe Yerusaalemi, ekibuga ekitukuvu;
ISA.52.1	kubanga okuva leero temukyayingiranga mu ggwe
ISA.52.1	nate atali mukomole n'atali mulongoofu.
ISA.52.2	Weekunkumuleko enfuufu; golokoka otuule wansi,
ISA.52.2	ggwe Yerusaalemi,
ISA.52.2	weesumulule enjegere ez'omu bulago bwo,
ISA.52.2	ggwe omuwala wa Sayuuni eyanyagibwa.
ISA.52.3	Kubanga bw'atyo bw'ayogera Mukama nti, “Mwatundirwa bwereere; era mulinunulibwa awatali ffeeza.
ISA.52.4	Kubanga bw'atyo bw'ayogera Mukama Katonda nti Olubereberye abantu bange baaserengeta e Misiri okutuulayo; Omwasuli n'abajooga ng'abalanga bwereere.
ISA.52.5	Kale nno kaakano nkola ki wano, bw'ayogera Mukama, kubanga abantu bange baatwalirwa bwereere? Abo ababafuga bawowoggana, bw'ayogera Mukama, n'erinnya lyange bazibya obudde bulijjo okulivuma.
ISA.52.6	Abantu bange kyebaliva bamanya erinnya lyange; kyebaliva bamanya ku lunaku luli nga nze nzuuyo ayogera; laba, nze nzuuno.”
ISA.52.7	Nga birungi ku nsozi
ISA.52.7	ebigere by'oyo aleeta ebigambo ebirungi,
ISA.52.7	alanga emirembe, aleeta ebigambo ebirungi eby'obulungi,
ISA.52.7	alanga obulokozi;
ISA.52.7	agamba Sayuuni nti, “Katonda wo afuga.”
ISA.52.8	Eddoboozi ly'abasajja bo abakuuma!
ISA.52.8	bayimusa eddoboozi, bayimbira wamu;
ISA.52.8	kubanga baliraba n'amaaso gaabwe,
ISA.52.8	okudda kwa Mukama mu Sayuuni.
ISA.52.9	Mubaguke okusanyuka, muyimbire wamu,
ISA.52.9	mmwe ebifo eby'e Yerusaalemi ebyazika;
ISA.52.9	kubanga Mukama asanyusizza abantu be,
ISA.52.9	anunudde Yerusaalemi.
ISA.52.10	Mukama afungizza omukono gwe omutukuvu
ISA.52.10	mu maaso g'amawanga gonna;
ISA.52.10	n'enkomerero zonna ez'ensi ziriraba
ISA.52.10	obulokozi bwa Katonda waffe.
ISA.52.11	Mugende, mugende, muve omwo,
ISA.52.11	temukomanga ku kintu kyonna ekitali kirongoofu;
ISA.52.11	muve wakati mu ye: mubeerenga balongoofu,
ISA.52.11	mmwe abasitula ebintu bya Mukama.
ISA.52.12	Kubanga temulivaamu nga mwanguyiriza
ISA.52.12	so temuligenda nga mudduka;
ISA.52.12	kubanga Mukama alibakulembera;
ISA.52.12	era Katonda wa Isiraeri y'alibakuuma.
ISA.52.13	Laba, omuweereza wange alikola n'amagezi,
ISA.52.13	aliyimusibwa alisitulibwa,
ISA.52.13	era aligulumira nnyo.
ISA.52.14	Nga abangi bwe baakwewuunya,
ISA.52.14	endabika ye ng'eyonoonese nnyo, nga tafaananika,
ISA.52.14	era ng'eyonoonese evudde ku y'abantu,
ISA.52.15	bw'atyo bw'aliwunikiriza amawanga amangi;
ISA.52.15	bakabaka balibunira ku lulwe;
ISA.52.15	ekyo ekitababulirwanga balikiraba;
ISA.52.15	ne kye batawuliranga balikitegeera.
ISA.53.1	Ani akkiriza ebigambo byaffe?
ISA.53.1	Era ani abikkuliddwa omukono gwa Mukama?
ISA.53.2	Kubanga yakulira mu maaso ge ng'ekisimbe ekigonvu
ISA.53.2	era ng'ekikolo ekiva mu ttaka ekkalu;
ISA.53.2	talina mbala newakubadde obulungi;
ISA.53.2	era bwe tumulaba, nga tewali na kalungi akatumwegombesa.
ISA.53.3	Yanyoomebwa n'agaanibwa abantu;
ISA.53.3	omuntu ow'ennaku era eyamanyiira obuyinike;
ISA.53.3	era ng'omuntu abantu gwe bakweka amaaso gaabwe
ISA.53.3	bwe yanyoomebwa bw'atyo, ne tutamuyitamu ka buntu.
ISA.53.4	Mazima yeetikka obuyinike bwaffe
ISA.53.4	n'asitula ennaku yaffe;
ISA.53.4	naye twamulowooza nga yakubibwa
ISA.53.4	yafumitibwa Katonda n'abonyaabonyezebwa.
ISA.53.5	Naye yafumitibwa olw'okusobya kwaffe,
ISA.53.5	yabetentebwa olw'obutali butuukirivu bwaffe;
ISA.53.5	okubonerezebwa okw'emirembe gyaffe kwali ku ye;
ISA.53.5	era emiggo gye gye gituwonya.
ISA.53.6	Ffe fenna twawaba ng'endiga;
ISA.53.6	twakyamira buli muntu mu kkubo lye ye;
ISA.53.6	era Mukama atadde ku ye
ISA.53.6	obutali butuukirivu bwaffe fenna.
ISA.53.7	Yajoogebwa, naye ne yeetoowaza
ISA.53.7	n'atayasamya kamwa ke;
ISA.53.7	ng'omwana gw'endiga ogutwalibwa okuttibwa,
ISA.53.7	era ng'endiga esirika mu maaso g'abo abagisalako ebyoya;
ISA.53.7	weewaawo, teyayasamya kamwa ke.
ISA.53.8	Yaggibwawo olw'okujoogebwa n'omusango;
ISA.53.8	n'ab'ezzadde lye, ani ku bo eyalowooza nga yazikirizibwa mu nsi ey'abalamu?
ISA.53.8	Yakubibwa olw'okusobya kw'abantu bange.
ISA.53.9	Ne bamuziikira wamu n'ababi,
ISA.53.9	era n'abagagga mu kufa kwe;
ISA.53.9	newakubadde nga teyazza musango,
ISA.53.9	wadde akamwa ke okwogera eby'obulimba.
ISA.53.10	Naye Mukama yasiima okumubetenta;
ISA.53.10	nnamunakuwaza:
ISA.53.10	bwalifuula obulamu bwe okuba ekiweebwayo olw'ekibi,
ISA.53.10	aliraba ezzadde, alyongera ku nnaku ze,
ISA.53.10	n'ebyo Mukama by'ayagala biriraba omukisa mu mukono gwe.
ISA.53.11	Aliraba ku ebyo ebiva mu kulumwa kw'obulamu bwe, era birimumala;
ISA.53.11	olw'okumumanya omuweereza wange omutuukirivu
ISA.53.11	aliweesa bangi obutuukirivu;
ISA.53.11	era alyetikka obutali butuukirivu bwabwe.
ISA.53.12	Kyendiva mmugabira omugabo wamu n'ab'ekitiibwa,
ISA.53.12	era aligabana omunyago wamu n'ab'amaanyi;
ISA.53.12	kubanga yafuuka obulamu bwe okutuusa ku kufa,
ISA.53.12	n'abalirwa wamu n'abasobya;
ISA.53.12	naye yeetikka ekibi ky'abangi,
ISA.53.12	era yawolereza abasobya.
ISA.54.1	Yimba, ggwe omugumba, atazaalanga;
ISA.54.1	baguka okuyimba oyogerere waggulu,
