GEN.1.1	Tamin’ny fiandohana, fony Andriamanitra nahary ny lanitra sy ny tany
ECC.1.2	Hoy i Kôheleta hoe: «Zava-poana dia zava-poana izao rehetra izao, eny, zava-poana ny zava-drehetra.» 
ECC.1.3	Miasa mafy ny olona etỳ ambonin’ny tany, nefa tsy misy voka-tsoa azony amin’izany. 
ECC.1.4	Lasa ny taranaka iray, dia tonga ny iray hafa mandimby azy; nefa izao tontolo izao mbola maharitra hatrany. 
ECC.1.5	Miposaka ny masoandro, milentika ny masoandro, ary maika erỳ hiverina any amin’izay niaingany. 
ECC.1.6	Mbetika ny rivotra mitsoka mianatsimo, mbetika mitsoka mianavaratra. Mitsoka ny rivotra dia mitambolina ary mamerina ny fihodinany indray. 
ECC.1.7	Mivarina any an-dranomasina ny ony rehetra, nefa tsy mety feno ny ranomasina, na dia tsy an-kiato aza no ivarinan’ny ony amin’izany toerana izany. 
ECC.1.8	Tsy misy mihitsy afaka hilaza hoe hatraiza izany fitamberimberenan’ny zava-drehetra izany: fa ny maso tsy mba monai-mijery ary ny sofina tsy mba leon’ny mihaino. 
ECC.1.9	Izay efa teo ihany no mbola ho tonga indray, ary izay efa natao ihany no mbola hatao indray. Fa tsy misy zava-baovao akory izay rehetra mitranga etỳ ambonin’ny tany. 
ECC.1.10	Raha misy zavatra lazaina hoe: «Jereo fa zava-baovao ity!», dia izay efa nisy ela talohantsika ihany izany. 
ECC.1.11	Fa nohadinointsika kosa ireo razantsika fahagola. Ary ireo olona handimby antsika koa dia tsy hotsarovan’izay handimby azy.
ECC.1.12	Izaho Kôheleta dia nanjaka teo amin’ny vahoakan’i Israely tao Jerosalema. 
ECC.1.13	Tsy niroa fo tokoa aho nikaroka sy namantatra amim-pahendrena ny zava-drehetra atao etỳ ambonin’ny tany. Asa mafy ampanaovin’Andriamanitra ny olona izany. 
ECC.1.14	Efa hitako ny zava-drehetra atao etỳ ambonin’ny tany, fa zava-poana sy manenji-drivotra ihany izany rehetra izany. 
ECC.1.15	Satria izay mibiloka dia tsy azo ahitsy intsony; ary ny tsy misy tsy azo isaina.
ECC.1.16	Hoy aho anakampoko: «Indro aho fa nahangom-pahendrena mihoatra noho ireo mpanjaka rehetra nodimbiasako teto Jerosalema.» Ary nanankarem-pahendrena amam-pahalalana momba ny fiainana aho. 
ECC.1.17	Tsy niroa fo aho hahay manavaka ny fahendrena sy ny hadalana, ary koa manavaka ny fahalalana sy ny fahaverezan-tsaina. Tsapako fa ny manenji-drivotra ihany koa izany. 
ECC.1.18	Fa arakaraka ny mahabe fahendrena no mahabe fahasahiranana; ary izay mitombo fahalalana, dia mitombo fahoriana.
ECC.2.1	Ary dia hoy aho anakampoko: «Andeha hojerena ny lanjan’ny fifaliana eo amin’ny fiainana, ary hotadiavina ny atao hoe fahasambarana.» Kanjo indro fa zava-poana koa izany. 
ECC.2.2	Fahadalana ny fihomehezana, hoy aho; ary tsy mitondra mankaiza ny fifaliana. 
ECC.2.3	Tapa-kevitra aho hamalifaly tena amin’ny divay ka hisary adala, nefa dia mbola hanam-pahendrena ho tompon’ny tenako ihany. Mba tiako ho fantatra manko izay tsara tokony hataon’ny olona mandritra ny androm-piainany fohy etỳ ambonin’ny tany. 
ECC.2.4	Nanao asa lehibe ho ahy aho: nanangana trano maro ho ahy ary namboly voaloboka. 
ECC.2.5	Nanao zaridaina sy saha aho ary namboly hazo fihinam-boa isan-karazany. 
ECC.2.6	Nanamboatra lavaka famorian-drano aho mba hahafahana manondraka ny alan-jana-kazo. 
ECC.2.7	Nampiditra mpiasa lehilahy sy vehivavy aho, ho fanampin’ny mpanompo efa nananako. Nanana omby sy ondry aman’osy betsaka noho ireo rehetra nodimbiasako teto Jerosalema aho, 
ECC.2.8	ary nahangom-bolamena amam-bolafotsy izay fananan’ireo mpanjaka mbamin’ny faritany samy hafa. Mpihira lahy sy vavy maro no azoko hanala sorisory ahy; ary azoko izay mahafinaritra ny lehilahy, dia vady sy vaditsindrano betsaka. 
ECC.2.9	Tonga olona ambony aho ka nomem-boninahitra mihoatra noho ireo izay nanjaka talohako tao Jerosalema
ECC.2.10	Azoko avokoa izay nirîko rehetra. Tsy nanakana ny tenako tsy hifaly aho. Eny, nanararaotra ireo asako rehetra aho ka nahazo izay anjara fifaliana vokatr’izany. 
ECC.2.11	Natrehiko nodinihina ny asa rehetra nataoko sy ny fisasarako tamin’ny fanatontosana azy. Tsapako fa zava-poana sy manenji-drivotra izany rehetra izany; ary tsy misy voka-tsoa maharitra azo amin’izany etỳ ambonin’ny tany
ECC.2.12	Ary natrehiko nojerena izay tombontsoa azo, raha hendry na very saina na adala. Ka nanontany tena aho ny amin’izay hataon’ny mpanjaka handimby ahy, raha tsy ny hamerina ny natao teo aloha? 
ECC.2.13	Eny, hitako fa tsara kokoa ny fahendrena noho ny fahadalana, tahaka ny mahatsara kokoa ny fahazavana noho ny haizina. 
ECC.2.14	Satria ny hendry mahita ny tokony halehany, fa ny adala kosa miraparapa ao anaty haizina. Nefa fantatro koa fa mitovy ihany ny hanjo azy roa tonta. 
ECC.2.15	Dia hoy aho anakampoko: «Satria ny hanjo ny adala ihany no hanjo ahy, inona no tombontsoako amin’ny maha hendry ahy kokoa noho izy?» Ka hoy aho anakampoko: «Zava-poana koa izany». 
ECC.2.16	Ny zava-drehetra mitranga dia hadino amin’ny andro manaraka. Maty toy ny adala koa ny hendry, ary na ny andaniny na ny ankilany dia samy tsy hisy hahatsiaro. Fa ahoana izany? 
ECC.2.17	Koa halako ny miaina, satria ratsy no fahitàko ny asa atao etỳ ambonin’ny tany; fa zava-poana sy manenji-drivotra izany rehetra izany.
ECC.2.18	Halako ny fisasarana rehetra nataoko tetỳ ambonin’ny tany, satria izay rehetra vitako dia tsy maintsy havelako ho an’ny mpandimby ahy. 
ECC.2.19	Iza no mahalala na ho hendry na ho adala izy? Nefa dia ho eo am-pelatanany avokoa izay rehetra nisasarako sy nataoko tamim-pahendrena tetỳ ambonin’ny tany. Zava-poana koa izany. 
ECC.2.20	Nitarika ahy hamoy fo izany fisasarana rehetra nataoko tetỳ ambonin’ny tany izany. 
ECC.2.21	Misy manko olona izay nisasatra niasa tamim-pahakingana sy tamim-pahaizana ary tamim-pahombiazana, kanefa dia olona izay tsy nisasatra tamin’izany akory ny no tsy maintsy hamelany azy ho lova. Zava-poana koa izany, ary tsy rariny goavana. 
ECC.2.22	Koa araka izany, inona no tombontsoa azon’ny olona amin’ny fisasarany rehetra sy amin’ny ezaka ataony etỳ ambonin’ny tany? 
ECC.2.23	Fanaintainana sy fahasorenana no ateraky ny asany mandritra ny andro rehetra iainany; ary, na dia amin’ny alina aza, dia tsy miala sasatra ny sainy
ECC.2.24	Ny hany fahasambaran’ny olona dia ny mihinana sy ny misotro ary ny mifaly amin’ny valin-kasasarany
ECC.2.25	satria tsy misy olona afaka mihinana na mifaly, raha tsy Andriamanitra no manome azy izany
ECC.2.26	Eny, izay olona sitrak’Andriamanitra no omeny fahakingana sy ny fahaizana ary ny fifaliana. Fa izay mpanota kosa dia asainy manangona sy mamory mba hisy homeny an’izay sitrak’Andriamanitra
ECC.3.1	Ny zava-drehetra dia samy misy vaninandro voatendry ho azy avy; ary samy manana ny fotoany avy ny raharaha rehetra eto ambonin’ny tany. 
ECC.3.2	Misy ny fotoana ahaterahana ary misy ny fotoana ahafatesana; misy fotoana ambolena ary misy fotoana anongotana ny nambolena; 
ECC.3.3	misy fotoana amonoana ary misy fotoana itsaboana; misy fotoana andravana ary misy fotoana ananganana. 
ECC.3.4	Misy fotoana itomaniana ary misy fotoana ihomehezana; misy fotoana isentoana ary misy fotoana andihizana. 
ECC.3.5	Misy fotoana anariam-bato ary misy fotoana anangonam-bato; misy fotoana anorohana ary misy fotoana ifadiam-panorohana. 
ECC.3.6	Misy fotoana itadiavana ary misy fotoana ahaverezana; misy fotoana itahirizana ary misy fotoana anariana; 
ECC.3.7	misy fotoana androvitana ary misy fotoana anjairana. Misy fotoana anginana ary misy fotoana itenenana. 
ECC.3.8	Misy fotoana itiavana ary misy fotoana ankahalana; misy fotoana iadiana ary misy fotoana ihavanana.
ECC.3.9	Inona no tombontsoa azon’ny mpiasa amin’izay isasarany? 
ECC.3.10	Nodinihiko ny asa asain’Andriamanitra hilofosan’ny olona; 
ECC.3.11	fa nataon’Andriamanitra ho tsara amin’ny fotoany avy ny zava-drehetra. Nomeny antsika koa ny fanirian-kahafantatra ny lasa sy ny hoavy. Nefa tsy ho fantatry ny olombelona ny asan’Andriamanitra ankapobe hatramin’ny voalohany ka hatramin’ny farany. 
ECC.3.12	Fantatro araka izany fa ny mifaly sy ny manao izay hahasoa finaritra azy ihany no tsara ho an’ny olona, raha mbola velona koa izy. 
ECC.3.13	Ary koa, raha mihinana sy misotro ka mahatsiaro sambatra amin’ny asany rehetra ny olona, dia fanomezan’Andriamanitra izany. 
ECC.3.14	Fantatro fa izay rehetra ataon’Andriamanitra dia haharitra mandrakizay; tsy misy anampiana na anesorana izany fa nataony mba hanajan’ny olona Azy
ECC.3.15	Izay rehetra mitranga amin’izao fotoana izao sy izay mbola ho avy dia efa nisy tamin’ny lasa. Ataon’Andriamanitra miverimberina ny zava-mitranga.
ECC.3.16	Izao koa no zavatra hitako teto ambonin’ny tany: ny toerana tokony hampiharana ny rariny sy ny fahamarinana no anjakan’ny faharatsiana. 
ECC.3.17	Hoy aho anakampoko: «Samy hotsarain’Andriamanitra avy ny olo-marina sy ny olon-dratsy, satria misy fotoany avokoa ny zava-drehetra mbamin’ny asa rehetra.» 
ECC.3.18	Ny amin’ny olombelona dia nihevitra aho fa ampandalovin’Andriamanitra fitsapana izy mba hahitany fa raha ny tenany ihany, dia tsy mifankaiza amin’ny biby izy akory. 
ECC.3.19	Mitovy amin’ny fiafaran’ny biby ihany ny fiafaran’ny olona. Fofonaina mitovy no mamelona ny olona sy ny biby ka tsy maintsy ho faty izy roa tonta. Tsy manana hamboniana eo anatrehan’ny biby ny olona, satria zava-poana ny zava-drehetra
ECC.3.20	Mitovy avokoa ny fiafaràn’ny mananaina rehetra fa samy hody vovoka izy satria vovoka no nanaovana azy
ECC.3.21	Tsy misy afaka manamarina fa ny fofonain’ny olona dia miakatra any ambony ary ny an’ny biby kosa dia midina any ambany, ao anaty tany. 
ECC.3.22	Tsapako fa tsy misy tsara ho an’ny olombelona afa-tsy ny mifaly amin’ny vokatry ny asany. Tokony hionona amin’izany anjarany izany izy, satria tsy misy hampahita azy izay hitranga any aoriany.
ECC.4.1	Hitako koa ny tsy rariny rehetra atao eto ambonin’ny tany. Miantsoantso ireo voan’ny tsindry hazo lena, fa tsy mba misy afa-manampy azy. Eo am-pelatanan’ny mpamoritra manko ny fahefana, hany ka tsy mba misy afa-manampy azy. 
ECC.4.2	Ataoko fa ireo efa maty dia sambatra noho izay velona mbola miaina. 
ECC.4.3	Nefa sambatra kokoa noho izy roa tonta ireo aza ny tsy mbola àry akory, satria tsy hahita ny asa ratsy atao eto ambonin’ny tany
ECC.4.4	Hitako fa matoa ny olona misasatra sy milofo amin’ny asany dia ny hahomby kokoa noho ireo namany. Nefa mbola zava-poana manenji-drivotra koa izany. 
ECC.4.5	Mazava ho azy fa ny adala izay mipetra-potsiny dia mamono tena ho fatin-kanoanana. 
ECC.4.6	Nefa aleo fiadanana eran-tanan’ila toy izay fisasarana eran-tanan-droa izay manenji-drivotra ihany.
ECC.4.7	Ary izao koa no zava-poana hitako tetỳ ambonin’ny tany: 
ECC.4.8	indro lehilahy iray mitoetra irery tokoa tsisy namana na rahalahy na zanaka ary nisasatra mafy. Naniry hanan-karena betsaka izy ka nanao anakampo hoe: «Ho an’iza no isasarako sy tsy ahatsiarovako fahasambarana?» Zava-poana sy raharaha ratsy koa izany. 
ECC.4.9	Sambatra kokoa ny olon-droa noho ny mandeha irery fa mahatsara ny valin-kasasarana izany. 
ECC.4.10	Raha lavo ny iray, dia misy mpanarina. Fa loza kosa ny an’ny singany raha lavo, satria tsy hisy mpanarina azy. 
ECC.4.11	Mafana kokoa raha olon-droa no miara-matory; fa ahoana kosa no hampahafana ny matory irery? 
ECC.4.12	Manan-kery kokoa ny olon-droa hanoherana izay miady aminy noho ny singany miady irery. Ary ny mahazaka telo olana tsy mora tapahina.
ECC.4.13	Aleo tovolahy mahantra nefa hendry toy izay mpanjaka antitra nefa adala tsy azo toroan-kevitra. 
ECC.4.14	Ary na dia tao an-tranomaizina aza no nivoahan’ilay tovolahy mba hanjaka, na koa nateraka ho mpangataka aza izy any amin’izay hanjakàny. 
ECC.4.15	Hitako fa ny olon-drehetra tetỳ ambonin’ny tany dia nanotrona ilay tovolahy fony izy nandimby ilay mpanjaka teo alohany. 
ECC.4.16	Nahatarika olona maro izy. Nefa ireo taranaka atỳ aoriana dia tsy ho faly aminy, satria mbola zava-poana sy manenji-drivotra koa izany.
ECC.4.17	Aza mankao an-tranon’Andriamanitra tsy amim-pieritreretana, fa mandehana kosa mba hivonon-kihaino. Aleo izay noho ny manolotra 
ECC.5.1	Aza maika ny hiteny ary aza malaky manapa-kevitra hanao voady amin’Andriamanitra; fa any an-danitra Andriamanitra ary ianao kosa etỳ ambonin’ny tany. Koa lanjalanjao ny teninao. 
ECC.5.2	Fa izay be ahiahy, mpanonofy ratsy; ary izay be teny mpanao rediredin’adala
ECC.5.3	Raha manao voady amin’Andriamanitra ianao, dia tanteraho ara-potoana izany, satria tsy sitrak’Andriamanitra ny olona adala. Koa efao ny voady efa nataonao. 
ECC.5.4	Aleo tsy manome toky toy izay manome toky nefa tsy mahatanteraka. 
ECC.5.5	Halaviro ireo teny mety hamatotra anao. Aza miteny amin’ny mpisorona voairak’Andriamanitra hoe: «Tsy fanahy iniana iny». Fa ho tezitra Andriamanitra ary hopotehiny avokoa izay rehetra ataonao. 
ECC.5.6	Arakaraka ny mahabe ny teny no mahabe ny nofy sy ny zava-poana. Koa Andriamanitra no hajao.
ECC.5.7	Aza atao ho mahagaga ny fahitana ny mahantra ampijalîna na ny rariny sy ny fahamarinana voahitsakitsaka eto amin’ny tany. Fa ny olona anankiray ambony dia misy miaro azy ao amboniny ao, ary izy roa tonta ireo aza dia mbola misy ambony kokoa miaro azy. 
ECC.5.8	Tsara kokoa ho an’ny firenena ny manana mpanjaka izay mampandroso ny asa fambolena
ECC.5.9	Izay tia vola dia tsy ho afa-po mihitsy; ary izay tia harena dia tsy ho vokin’izany mihitsy. Zava-poana koa izany. 
ECC.5.10	Fa arakaraka ny ananan’ny olona no mampitombo ny mpihampitra aminy. Inona no tombontsoan’ny tompom-pananana afa-tsy ny mijery ny hareny? 
ECC.5.11	Mahita tory tsara ny mpiasa na kely na be ny harapany. Fa tsy mba mahita tory kosa ny mpanankarena vokatry ny hamaroan’ny fananany. 
ECC.5.12	Nahita zava-dratsy mampahory aho teto ambonin’ny tany, dia ny vola izay notahirizin’ny tompony nefa nampidi-doza azy. 
ECC.5.13	Very harena tamin-javatra mamohehatra izy ary tsy nanana na inona intsony nony tera-dahy. 
ECC.5.14	Tsy maintsy handao ity tany ity toy izay niaviany izy, dia toy ny nitanjahany fony izy nivoaka avy tao an-kibon-dreniny. Ary tsy hahatondra na inona na inona ho valin-kasasarany izy. 
ECC.5.15	Fahoriana lehibe ho azy fa toy ny nahatongavany teto an-tany no handaozany azy. Inona no tombontsoa azony? Nisasa-poana fotsiny izy
ECC.5.16	Ankoatra izany, maloka ny fiainany manontolo noho ny alahelo
ECC.5.17	Izao no tsapako fa tsara: mety ho an’ny olona ny mihinana sy ny misotro ary ny mifaly amin’ny vokatry ny asany mandritra ny androm-piainana omen’Andriamanitra azy; satria izany no anjarany. 
ECC.5.18	Rehefa misy olona omen’Andriamanitra vola aman-karena sady avelany hihinana sy haka ny anjarany amin’izany ary koa hifaly amin’ny vokatry ny asany, dia fanomezan’Andriamanitra izany. 
ECC.5.19	Hadinon’ny olona kosa amin’izay fa mandalo ny fiainany, satria fenoin’Andriamanitra fahasambarana ny fony.
ECC.6.1	Nahita zava-dratsy hafa mampahory aho teto ambonin’ny tany, ary mitambesatra amin’ny olombelona izany: 
ECC.6.2	dia olona omen’Andriamanitra vola aman-karena sy voninahitra ka manana izay rehetra iriny; kanefa tsy avelan’Andriamanitra hihinana amin’ny fananany izy fa olon-kafa no mitavana izany. Zava-poana sy zava-dratsy mampahory koa izany. 
ECC.6.3	Afaka miteraka zazalahy zato sy miaina an-taona maro ny olona iray. Saingy, na dia miaina an-taona maro aza izy, kanefa tsy mba voky fahasambarana sy tsy mahazo levenana, dia hoy aho hoe: ny zazarano aza sambatra kokoa noho izy. 
ECC.6.4	Fa na dia zava-poana aza ny nahatongavan’io zazarano io ka tao anaty haizina no nahalasanany ary tsy hotsarovana intsony izy; 
ECC.6.5	na tsy hitany na fantany akory aza izay masoandro, dia miadana kokoa noho ilay ela velona teo izy. 
ECC.6.6	Tsy ilaina akory ny miaina, na dia ho tratra arivo taona indroa aza, raha tsy mahita fahasambarana. Satria fahafatesana no fiafaran’ny fiainana rehetra.
ECC.6.7	Miasa ny olona mba hampitony ny filàny saingy tsy mety afa-po izy. 
ECC.6.8	Fa inona no soa azon’ny hendry miohatra amin’ny adala? Inona no soa azon’ny olo-mahantra izay mahay miavo-tena eo amin’ny fiainana
ECC.6.9	Aleo mifaly amin’izay ananana hitan’ny maso toy izay manaiky harebirebin’ny faniriana, satria zava-poana sy manenji-drivotra koa izany.
ECC.6.10	Izay rehetra misy dia efa voalaza anarana hatry ny ela ary iaraha-mahalala ny atao hoe olombelona; kanefa tsy azony atao ny mifandahatra amin’izay mahery noho izy. 
ECC.6.11	Fa arakaraka ny mahabe ny teny no mahabe ny zava-poana. Koa inona no soa azon’ny olona amin’izany? 
ECC.6.12	Mamakivaky ny fiainana toy ny fihelin’ny aloka ny olona. Iza no mahafantatra izay mahasoa ny olona amin’izao fiainana izao mandritra ny fotoana fohy iainany? Tsy misy hahalaza amin’ny olona izay zavatra hitranga eto ambonin’ny tany aorian’ny fahalasanany.
ECC.7.1	Aleo manana laza tsara toy izay manana ilomanitra lafo vidy
ECC.7.2	Aleo miditra amin’ny trano misy fisaonana toy izay mankany amin’ny trano misy fanasana. Ny fahafatesana no fiafaran’ny olona rehetra ka tsara ny hahatsiarovan’ny velona izany.
ECC.7.3	Aleo ny fijaliana toy izay ny fihomehezana; fa na dia manjombona aza ny tarehy, dia mety sambatra ihany ny fo. 
ECC.7.4	Ao amin’ny toerana misy fisaonana no ahitana ny fon’olon-kendry ary ao amin’ny toerana misy fifaliana no ahitana ny fon’olona adala.
ECC.7.5	Aleo mihaino ny anatry ny hendry toy izay ny hiran’adala. 
ECC.7.6	Fa ny fihomehezan’ny adala dia toy ny fipoapoaky ny tsilo mirehitra ao ambany vilany; zava-poana koa izany.
ECC.7.7	Fa mety hahalasa adala ny hendry ny fahazoa-mampahory; ary mety hahasimba toetra azy ny fandraisan-kolikoly.
ECC.7.8	Aleo ny mamarana asa toy izay ny manomboka azy; aleo olona mahari-po toy izay ny miavonavona.
ECC.7.9	Aoka tsy ho mora tezitra ianao fa ny adala ihany no malaky tezitra.
ECC.7.10	Aza manontany hoe: Nahoana no tsara ny taloha noho ny ankehitriny? Fa tsy fahendrena ny anontanianao izany. 
ECC.7.11	Tsara tahaka ny lova ny fahendrena ka mahasoa ny olon-drehetra
ECC.7.12	Ny fahendrena dia toy ny vola ka miaro amin’ny loza maro; manalava ny andron’izay manana azy izy, ka mahasoa ny fahalalana azy
ECC.7.13	Hevero ny asan’Andriamanitra, fa izay nataony mibiloka tsy misy afa-manitsy.
ECC.7.14	Amin’ny androm-pahasambarana dia aoka ho sambatra; fa amin’ny androm-pahoriana kosa dia mieritrereta. Samy nataon’Andriamanitra na ny fahasambarana na ny fahoriana mba tsy hahafantaran’ny olona akory izay hitranga amin’ny hoavy.
ECC.7.15	Nandritra ny androm-piainako mihelina no nahatsapako fa mety hitranga ny zava-drehetra. Misy olo-marina maty, satria olo-marina izy; kanefa misy olon-dratsy ela velona, satria ratsy toetra izy. 
ECC.7.16	Aoka tsy ho marina loatra na diso hendry koa. Nahoana no manimba tena ianao
ECC.7.17	Aza dia ratsy fanahy loatra na mitondra tena toy ny adala koa. Nahoana ianao no ho faty alohan’ny fotoanandronao? 
ECC.7.18	Tsara ny manaraka ireo torohevitra roa ireo, fa izay manaja an’Andriamanitra no hiala amin’ny toetra mihoa-pampana.
ECC.7.19	Ny fahendrena dia mahatarika ny hendry mihoatra noho ny mpitondra folo mifehy tanàna iray. 
ECC.7.20	Eto ambonin’ny tany manko dia tsy misy olo-marina izay manao ny tsara kanefa tsy diso
ECC.7.21	Aza henoina avokoa izay rehetra lazain’ny olona, fandrao handre ny mpanomponao hiteny ratsy anao ianao amin’ny farany. 
ECC.7.22	Fantatrao koa fa matetika ny tenanao no miteny fanaratsiana ny hafa.
ECC.7.23	Nodinihiko tamim-pahendrena izany rehetra izany, ka hoy aho anakampoko: «Mba ho hendry aho.» Nefa ambony ho ahy io tanjona io. 
ECC.7.24	Ambony noho ny zava-misy izany sady lalina dia lalina! Iza no hahatakatra azy? 
ECC.7.25	Koa dia nifantoka tamin’ny fianarana sy ny fikarohana aho. Notadiaviko ny atao hoe fahendrena sy ny antom-pisian-javatra. Nofantariko fa fahadalana, eny, fahadalana maha very saina ny haratsiam-panahy. 
ECC.7.26	Hitako fa mangidy noho ny fahafatesana ny vehivavy izay toy ny fandrika. Ny fitiavany dia toy ny harato ary ny sandriny toy ny fatorana. Izay lehilahy sitrak’Andriamanitra dia afa-mandositra azy, fa ny mpanota kosa: ho azony
ECC.7.27+ECC.7.28	Nodinihiko tsirairay ny zava-drehetra mba hahitako ny dikany, nefa ela nikarohana tsy nahita valiny aho. Izao no hitako, hoy i Kôheleta: Lehilahy iray ao anatin’ny arivo no mendrika io anarana io; nefa amin’ny vehivavy maro dia tsy nisy hitako mendri-panajana na dia iray aza. 
ECC.7.29	Izao no zavatra hany mba fantatro: Andriamanitra dia nanao ny olombelona mahitsy fo, saingy ireo no nampananosarotra zavatra maro.
ECC.8.1	Tsy misy olona tena hendry ary tsy misy koa mahafantatra ny tena dikan-javatra. Kanefa ny fahendren’ny olona manazava ny tarehiny ary manalefaka ny endriny.
ECC.8.2	Tandremo ny baikon’ny mpanjaka. Efa nianiana taminy teo anatrehan’Andriamanitra ianao, 
ECC.8.3	ka aoka tsy halaky hiendaka aminy. Aoka tsy hikiry amin’ny zavatra ratsy ianao, fa azon’ny mpanjaka atao avokoa izay sitrany. 
ECC.8.4	Tsy refesi-mandidy ny teniny ary tsy misy olona afaka manontany azy ny anton’ny zavatra ataony. 
ECC.8.5	Izay mitandrina ny didin’ny mpanjaka tsy idiran-doza na inona na inona. Nefa fantatry ny hendry fa hisy fotoam-pitsarana. 
ECC.8.6	Eny, ny asa rehetra dia hisy fotoam-pitsarana azy, satria lehibe ny faharatsian’ny olona
ECC.8.7	Tsy fantany akory izay zavatra ho avy. Iza no hampahafantatra azy ny ho fitrangan’izany? 
ECC.8.8	Tsy misy olona manam-pahefana hitazona ny ainy ary tsy misy olona afaka hampihemotra ny andro hahafatesany
ECC.8.9	Efa voajeriko tsara avokoa izay rehetra miseho eto ambonin’ny tany; misy fotoana izay anjakazakan’ny olona amin’ny namany, ka ampahorìny azy. 
ECC.8.10	Hitako ny nandevenana olon-dratsy. Ireo olona ireo dia mpandeha ao an-
ECC.8.11	Fa tsy tanterahina eo no ho eo akory ny famaliana ny ratsy atao; dia izany no ikirizan’ny olona hanao ratsy. 
ECC.8.12	Mety ho mpanao ratsy an-jatony ny mpanota iray, kanefa dia ela velona ihany. Fantatro kosa ny hoe: «Izay manaja an’Andriamanitra ihany no ho sambatra, dia ireo manaja Azy tokoa. 
ECC.8.13	Ny olon-dratsy kosa dia tsy ho sambatra. Hiserana toy ny aloka izy ary ho faty tanora satria tsy nanaja an’Andriamanitra
ECC.8.14	Izao koa no zava-poana mitranga eto ambonin’ny tany: misy olo-marina iharan’izay tokony ho mendrika ny ataon’olon-dratsy; ary misy olon-dratsy mahazo izay tokony ho mendrika ny ataon’olo-marina. Ka efa voalazako fa zava-poana koa izany.
ECC.8.15	Raha ny amiko, dia deraiko ny fifaliana, satria ny hany fahasambaran’ny olona eto ambonin’ny tany dia ny mihinana sy misotro ary miravoravo. Izany no tokony hanaraka ny asany mandritra ny andro omen’Andriamanitra hiainany etỳ ambonin’ny tany
ECC.8.16+ECC.8.17	Tsy niroa fo aho hahalala ny fomba mampahendry ary hitako ireo asa ataon’ny olona etỳ ambonin’ny tany. Tsapako fa na dia misy tsy matory andro tsy matory alina aza ny olona, dia tsy hahatakatra ny fomba fiasan’Andriamanitra amin’ny alalan’ny zava-mitranga eto ambonin’ny tany. Ho reraka hitady ny olona fa tsy hahatakatra; ary na dia milaza ho mahafantatra aza ny olon-kendry, dia tsy hahatakatra izany akory.
ECC.9.1	Rehefa nandinika izany rehetra rehetra izany tato anatiko aho, dia nahatsapa fa ny marina sy ny hendry mbamin’ny asany dia eo an-tanan’Andriamanitra. Fa tsy fantatry ny olona akory na ny fitiavana na ny fankahalana. Tsy afaka ny haminavina izany izy. 
ECC.9.2	Ary tahaka izany avokoa ny olona rehetra. Mitovy avokoa ny manjo ny olo-marina sy ny olo-meloka, ny tsara fanahy sy ny ratsy fanahy
ECC.9.3	Mitovy avokoa ny manjo ny olona rehetra: io no loza amin’izay rehetra atao eto ambonin’ny tany. Feno faharatsiana ny fon’ny olona ka fahadalana no ao aminy mandritra ny fiainany; avy eo anefa dia ho any amin’ny maty no hiafarany. 
ECC.9.4	Fa izay anisan’ny velona ihany no mahazo antoka fa aleo alika velona toy izay liona maty. 
ECC.9.5	Ny velona manko mba mahalala fa ho faty izy; fa ny maty kosa tsy mba mahalala na inona na inona, ary tsy misy valisoa intsony ho azy satria efa nohadinoina ireo. 
ECC.9.6	Ka na ny fitiavany na ny fankahalany na ny fialonany dia samy efa levona hatry ny ela; ka tsy manana anjara intsony amin’izay zavatra atao etỳ ambonin’ny tany izy.
ECC.9.7	Noho izany, hano amim-pifaliana ny haninao ary sotroy amin’ny fo ravoravo ny divainao, satria efa sitrak’Andriamanitra ireo asanao. 
ECC.9.8	Amin’ny fotoan-drehetra, mitafia akanjo fitondra amin’ny andro fety ary aza hadinoina ny manisy ilomanitra ny tarehinao. 
ECC.9.9	Ankamamio ny miaina miaraka amin’ilay vady malalanao
ECC.9.10	Ampiasao ny herinao hanatanterahanao izay rehetra azonao atao, fa any amin’ny toeran’ny maty izay halehanao tsy mba misy asa na famoronan-javatra na fahalalana na fahendrena.
ECC.9.11	Mbola nahita zavatra betsaka tetỳ ambonin’ny tany koa aho. Tsy ny faingam-pandeha hatrany no mandresy eo amin’ny fihazakazahana; ary tsy ny mahery fo hatrany no mandresy eo amin’ny ady. Tsy ny hendry no mora mahazo ny hanina hohaniny; ary tsy ny manan-tsaina no mora mahazo harena. Tsy ny olo-mahay no tsy maintsy homem-boninahitra, fa samy mpahazo ny rehetra na ny fanambinana na ny sampona. 
ECC.9.12	Tsy misy olona mahafantatra ny fotoana hiavian’ny loza. Fa toy ny trondro azon’ny harato, ary tahaka ny voron-kely voam-pandrika no hahitany loza mahavoa azy tampotampoka.
ECC.9.13	Izao koa no oha-pahendrena hitako teto ambonin’ny tany; ary zava-dehibe amiko izany. 
ECC.9.14	Nisy tanàna kely iray sady vitsy mponina. Tonga nanafika azy io ny mpanjaka lehibe iray ka nanao fahirano sady namboatra tovon-tany goavana hamelezana azy. 
ECC.9.15	Nisy lehilahy iray mahantra nefa hendry tao, izay afaka nahavonjy ny tanàna noho ny fahendreny. Saingy tsy mba nisy olona nahatsiaro ilay olo-mahantra. 
