MAT.1.2	Abraham Isak ka abatii, ho Isak Jakob ka aba, ho Jakob Juda la mohka anuabañ atañka aba, 
ACT.7.20	Siika myodu so Mose mi biitii, ho Pinii ka hataho kapyotii. Ho mohmi mohka aba ka ude ho piilo bariñhe asotii; 
ACT.7.21	ho mohmika chimpa lyikuho, Paraoh ka nyimii wiinga mohmi mohka attoh wiinga hiilyañpa asotii. 
ACT.7.22	Ho Mose mi hikha Egip daka chila mi lukotii, ho mo tamochikhotii mohka luniiñ ho miiniiñ atañ ho.
ACT.7.23	Mo nyang alyañpiilye kukele, mohka ahha ho mohka anubarmii Isrel ka oho atañ ko, soha dokoda hiila hentii. 
ACT.7.24	Ho hiikohokii kone mi miigya dopa kapa lala, mo hensḛrkadu miyu mi miipyatii ho mohmi miilitii membiidola Egip dakii bomi. 
ACT.7.25	Mo hiila hentii mohka anubarmii atañ hela dudo Pinii mohlumi tiipya kendo ngiika alah lo hiila, hojalo mohlu chimatii. 
ACT.7.26	Ho allo lohe yaho mo mohluka gasu ko ahtii ho mohlumi lyartii, lubiidola, Miyu atañ, nunu anubarmii siike, niimpa nunu kone anyañ gasu nyado? 
ACT.7.27	Hojalo hu miyu na aya mapa ariapii mi miitiinii mohmi nempa lintii, lubiidola, Hu niimi ngunumi sangiinii ho ayakacho kaniipa miitii? 
ACT.7.28	No ngiimi tiirḛ mempa hendoha biilyo ka Egip miyu mika mencha ho? 
ACT.7.29	Siika luniiñmi tapa lala Mose hagii tiiku, ho mompakoniiñ pa lyila Midian ka gandaho datii, nohna mo oho anye ka aba pa lyitiinii.
ACT.7.30	Siisi nyang alyañpiilye nyanja kukele, miidopopi kone mohko ahtii Sinai Putoo daka jabyo ho, tareapya ho yamu miilyo chuli. 
ACT.7.31	Mose siimi kapa dala la mo hemurtii; ho mo kadḛr dupa aruñ ahde kiile, Attoh ka luniiñ mohka ahtii, 
ACT.7.32	Ngo niika aba atañka Pinii ke, Abraham ka Pinii ho Isak ho Jakob ka. Ho Mose alyetii ho kadu pa haro matii. 
ACT.7.33	Ho Attoh mohmi lutii, Niika alih hokii luku mi khepato, niimpalukoda niika dako lengo si darii lengo ke. 
ACT.7.34	Ngo ngiika miyuatañ mika miihimiire niimi kapa doke Egip hoka dunii atañmi ho mohluka kheniiñ mi tapa doke, ho ngo mohlumi papya dupa todu. Ho siisi ahto, ngo niimi Egip ho kiiniñso.
ACT.7.35	Siika Mose humina mohlu luniiñ tama tiinii, lubiidola, Hu niimi sangiiniipa ho ayakacho kaniipa miitii? Pinii anyerupa sangiinii ho papyaniipa kiiniñtii miidopopi ka alah lo tareapya ho mohko ahla. 
ACT.7.36	Mo mohlumi lingii tiiku, Egip ho kahotamo ho kagiñnanii miibii dola ho Lanchañ Siimie ho, ho jabyo ho nyang alyañpiilye anyañ. 
ACT.7.37	Siika sike Mose huna Isrel miyu atañmi lutiinii, Pinii nunupa nyibuhenii nunuka anubarmii hokii sucha bikiñdo niihtañpa ngiimi suchatii. 
ACT.7.38	Siika sike hii huna jabyo daka miyu apurho danenii miidopopi ka agiñho mohmi Sinai Putoo ho lune, ho ngunuka aba atañ agiñho; ho mo turnii aguñ tapatii ngunumi bidupa. 
ACT.7.39	Ngunuka aba atañ mohmi talii matii, hojalo mohmi nempa lala, ho mohluka ahha Egip dalyi hoya henga tii, 
ACT.7.40	Aron mi lubiidola, Ngunupa pinii atañmi putope ngunu mika impyo giiniipa; siika Mose pakoda ngunu mika Egip ganda hoka lingii bosi, ngunu chima mo nii lyido hiila. 
ACT.7.41	Ho hiika allo ho mohlu subuñ atu dore putii, ho puchiniimi membitii ho mohluka alah loka miiniiñmi hempyo biinya tii. 
ACT.7.42	Hojalo Pinii mokurtii ho mohlumi yapuñ daka takḛr mi herii dopa bitii, nyibuhenii kheta hoka keniiñ chulipa:
ACT.7.42	Nunu ngiimi achu-amyo pakhii niimi la ho membi niisi miya bidu nii,
ACT.7.42	nyang alyañpiilye jabyo ho, Isrel daka miyuatañ?
ACT.7.43	Ho nunu Moloch ka tabyo mi pyatii,
ACT.7.43	ho Rephan uyi ka takḛrmi,
ACT.7.43	nunuka herii talyi hiila ka miichi nii;
ACT.7.43	ho ngo nunumi Babilon ka agoho nempa talyi.
ACT.7.44	Ngunuka aba atañ kii haki bina nanii tabyo jabyo ho dotii, Mose mika lurii bo lohepa mohmi siimi pento hiila lune, mohka kapanii chulipa. 
ACT.7.45	Ngunuka aba atañ hiimi Josua ka agiñho biilii mohluka gandasiiko mika pyadula miilyiho Pinii ka mohlumi ka nempa lyiho ngunuka aba atañ hataho. Hopa hiika hii David ka allo lohepa dotii. 
ACT.7.46	huna Pinii ka kata ho kaji kotiinii ho kutii Jakob ka Pinii ka dugii nanko pa meto hiila. 
ACT.7.47	Hojalo hiika hii Solomon tii huna ude mi mohpa peniiñ. 
ACT.7.48	Hojalo Hempḛr Kayeja alah loka ude peniiñ ho duma ke; nyibuhenii ka luchañ ho,
ACT.7.49	Dariiganda hii ngiika duta nangko,
ACT.7.49	ho kiiddiapiñ hii ngiika alih dagiñ nangko.
ACT.7.49	Niitañ ude nunu ngiipa pempa, Attoh lutii, malo niihtañ ka dumo ko ngiika dumo sako?
ACT.7.50	Hikha siika drih atañsi ngiika alah loka puniiñ masuha?
ACT.7.51	“Nunu henje manii miyuatañ, mitupipakomanii ahha ho yaroo atañ, nunu kiirañ Darii Yajiyallo mi mompa siida. Nunuka aba atañ miichañ ho, nunu tiirḛ. 
ACT.7.52	Nii nyibuhenii atañmi nunuka aba atañ miihimiire mane? Ho mohlu mempa biine huna lupyo la luko nenii Denki Kone ka ahsa niimi, humina nunu siisi talubalo tiinii ho mentiinii, 
ACT.7.53	nunu huna dapo mi larii tiinii miidopopi ka biniiñmi ho hiimi atiima.”
ACT.7.54	Siisi mohlu siika drih atañmi tapa lala mohlu hadii ritii, ho mohlu mohluka aih mi mohlumi hadiila nyensutii. 
ACT.7.55	Hojalo mo, Darii Yajiyallo poteje giitola, yapuñhaho ho kachatii ho Pinii ka hudakhada mi kappatii, ho Jisu Pinii ka lahbi alah ho datii; 
ACT.7.56	ho mo lutii, “Kato, ngo dariiganda mi miiko dopa kapa do, ho miyu ka Oho Pinii ka lahbi alah ho dapa.” 
ACT.7.57	Hojalo mohlu hempḛr uropa gyutii ho mohluka yaroo mi tage mapa ho bulu hiido tongepa mohko haratii. 
ACT.7.58	Ho mohlu mohmi citi ka agoho jopa limbiido ho mohmi yalañ kubiido; ho haki atañ mohka abitarii atañmi yapa atu koneka alih ho atiitii Sol hiiniiñboko. 
ACT.7.59	Ho mohluka Stepen mi yalañ kula dopa, mo kutii, “Attoh Jisu, ngiika yajiyallo mi larii to.” 
ACT.7.60	Ho mo liibañ khangatii ho hempḛr uropa gyutii, “Attoh, siika mohluka ingyamiigya mi mohlumi halii lyayo.” Ho mo hiila siimi lula la, mo shiihi tiiku.
ACT.8.1	Ho hiika allo ho hempḛr uro miihimiire miiri nyatii Jerusalem daka gyoliñkonii atañmi; ho mohlu hikha harpya harsa haja giitii Judia ho Samaria gandaho, kiiniñkonii atañmi apalala. 
ACT.8.2	Henjenii miyuatañ Stepen mi alie tiiku, ho mohpa hempḛr heru nyatii. 
ACT.8.3	Hojalo Sol gyoliñkonii atañmi pyadu lopa miitii, ho ude pinge abi ahla, mo nyimii milobomi seliñ lala ho mohlumi patiihude ho tuntii.
ACT.8.4	Siisi hutiina harpya harsa giitiinii ayapuyu mi tonsḛr tala intii. 
ACT.8.5	Pilip Samaria citi ho totii, ho mohlumi Kristo piigo mi gyukotii. 
ACT.8.6	Ho miyutaropa miilañru tongepa tage nyatii niihna Pilip lutiinii, mohlu mohka luniiñmi tala lala ho kagiñnanii mohka miiniiñmi kappatii. 
ACT.8.7	Niimpalukoda kacho yajiyallo abuje miyu kokii lintii ku hutiina jarpiñ kobii tiinii, hempḛr uropa gyubii dola; abuje hutiina liikuñlamu tiinii ho liicha tiinii hempyo nyatiiku. 
ACT.8.8	Hopa hiiko hempḛr hempyo nyatii citi ho.
ACT.8.9	Hojalo hiiko miyu kone Saimon hiila datii mo kapyo ho ashu miila citi ho datii ho Samaria ganda mi hemur dopa miitii, lubiidola mo attoh tiirḛ kahe kone ke hiila. 
ACT.8.10	Mohlu hikha mohmi tage nyatii, atu hokiila khiiri biila kaheja lohepa, lubiidola, “Siika miyu ko hiika Pinii ka harchichike giidonii mina Kahe hiila ludu nii.” 
ACT.8.11	Ho mohlu mohmi tage nyatii, niimpalukoda hempḛr myodu abuje mo mohlumi hemur dopa miitii mohka ashu miiniiñlo. 
ACT.8.12	Hojalo mohlu Pilip ka tonsḛr niimi tajetii ayapuyu Pinii ka raddeganda piigo ho Jisu Kristo ka armyañ mi, mohlu baptisma latii, nyimii milobo pada. 
ACT.8.13	Saimon mo tiirḛya henjetii, ho baptisma laku lala mo Pilip ka agiñ dabo montii ku. Ho kagiñnanii ho hempḛr kahe miimalyanii miiniiñmi kala la, mo hemurtii.
ACT.8.14	Siisi kiiniñkonii atañ Jerusalem ho Samaria Pinii ka aguñmi talii do hiila tapa lala, mohlu Pitar la Jon nyimi mohluko kiiniñtii, 
ACT.8.15	mo anye totii ho mohlupa kubitii mohlumi Darii Yajiyallo mi larii kiine dupa; 
ACT.8.16	niimpalukoda siisi lohe pa mohluko kone kotrḛ ahma tiirañ, hojalo mohlu baptisma kontii lato la dotii Attoh Jisu ka armyañ pa. 
ACT.8.17	Ho mohlu mohluka alah atañmi mohluko tencha tii ho mohlu Darii Yajiyallo mi lariitii. 
ACT.8.18	Siisi Saimon Yajiyallo biniiñ mi kapa lala kiiniñkonii atañka alah tencha niilo, mo mohlumi tiicko biso lubiido, 
ACT.8.19	lubiidola, “Ngiimi tiirḛ siika harchichike mi bipe, niimpalukoda hukohona ngo ngiika alah mi tenga talyi nii hiimi Darii Yajiyallo larii dopa.” 
ACT.8.20	Hojalo Pitar mohmi lutii, “Niikatiicko mi niika agiñho lyuke nento, niimpalukoda no hendo no Pinii ka ahmiñayiñ mi tiicko lo lala todo hiila! 
ACT.8.21	Niiko hang giita momake malo lyimake siika miigo so, niimpalukoda niika ahha hii Pinii kata ko denki make. 
ACT.8.22	Henkur to hopa siika niika diimmah hokii, ho kuto Attohmi, miila kendo milo, niika ahha daka heniiñmi niimi hello dokupa. 
ACT.8.23	Niimpalukoda ngo kapado no poteje kariñ giido ho ingyamiigyaniilo rabii kotola biido.” 
ACT.8.24	Ho Saimon lusitii, “Ngiipa kutope Attoh mi, niihna no lutiinii hiimi ngiiko hang ahma dopa.”
ACT.8.25	Siisi mohlu pyakotiiku ho Attoh ka aguñmi luku lala, mohlu Jerusalem ho chakur tiiku, ayapuyu mi abuje Samaritan atañka lemba ho tonsḛr biidola.
ACT.8.26	Hojalo Attoh ka miidopopi Pilip mi lutii, “Gurito ho inge ahadalyi lembo ho Jerusalem hokiila Gaza toko dalyiho.” Siikasi siikhiisuru lembo ke. 
ACT.8.27	Ho mo guritii ho intii. Ho kato, Itopia kone, eunuch, Kandace hoka miigiilugiibo, Itopia ka nyimiiradde, mohka hikha alḛrdrih mika kabibo, Jerusalem ho ahtii heriidupa 
ACT.8.28	ho ahkurkula dotii; goragari ho mo dutii, mo nyibuhenii Aijaya mi purila dotii. 
ACT.8.29	Ho Yajiyallo Pilip mi lutii, “Change ho siika goragari ho chabo monge.” 
ACT.8.30	Hopa Pilip mohmi harbo montii, ho nyibuhenii Aijaya mi purila dopa tapatii, ho takatii, “Niika puriniimi no chindu ha?” 
ACT.8.31	Ho mo lutii, “Niitañpa ngo chinchi, nii dahepa kone ngiimi luko tama?” Ho mo Pilip mi gyochatii ho mo agiñho dubotii. 
ACT.8.32	Siisi piniipota hokii nii mina mo ritiinii hiikahii sike:
ACT.8.32	“Subuñ mi mendu pa ingiitii
ACT.8.32	malo subuñatupa hiika amoo pinii rubido,
ACT.8.32	hopa mo mohka aguñmi gonko ma.
ACT.8.33	mohmika ensupiira miipa koho mohmi ayakacho kaku matii.
ACT.8.33	Hu mohka halugiira mi luko lakiñdo?
ACT.8.33	Niimpalukoda mohka sango mi kiiddiapiñ hokii ingii tiiku.”
ACT.8.34	Ho eunuch Pilip mi lutii, “Humi na, kutote ludonii, siika nyibuhenii si, mo atoh mipeha malo mi khiibe miya peha ludonii?” 
ACT.8.35	Ho Pilip mohka aguñmi gonkotii, ho siika piniipota ka kapyo jaho hokii mo Jisu ka aya puyu mi lukotii. 
ACT.8.36	Ho mo anye lembo ila dokele mo anye yasie aruñho ahtii, ho eunuch lutii, “Kato, si yasie! Nii ngiika baptisma lasa niimi lutiñ lakiñ kendo?”
ACT.8.38	Ho mo goragari mi domo tote hiila lubiido, ho anyeru tola yasie ho ahtii, Pilip la eunuch nyi, ho mo mohmi baptisma bibiido. 
ACT.8.39	Ho mohlu yasie hokii chaku kiile, Attoh ka Yajiyallo Pilip mi gatubiitii ku; ho eunuch hiikahiiba ho mohmi kapa kumatii, ho mohka lembo ho intiiku hempyo biidola. 
ACT.8.40	Hojalo Pilip mi Ajotas ho kapa biido, ho impobiila dola mo tonsḛrtii ayapuyu mi hikha taun ho mohka Kaesarea hoka ahchi menda hemi.
ACT.9.2	ho mohmi siitipota kutii Damaskas daka sinagog pa, niimpalukoda lembo ho humijalo kapa talyi, milobojalo malo nyimii jalo, mo mohlumi Jerusalem ho selii biidupa. 
ACT.9.3	Siisi mo myodi ilyila mo Damaskas aruñho ahchi tiiku, ho aluñpada hutoh yapuñ hokii mohka ayoh ho byohitii. 
ACT.9.4	Ho mo kiiddi ho giihitii ho aguñ gonge tapatii mohmi ludopa, “Sol, Sol, niimopa ngiimi miihimiire du?” 
ACT.9.5	Ho mo lutii, “Hu no, Attoh?” Ho mo lutii, Ngo Jisu, humina no miihimiire donii; 
ACT.9.6	hojalo gurito ho citi ho ahnge, ho niimi luko kendoke no nii miikiñdo hiila 
ACT.9.7	Miyu atañ hutiina mo agiñho imbo montii nii hang lusa giimapa datiiku, aguñ luniiñmi tapa siila la hojalo kone mitrḛ kapa ma. 
ACT.9.8	Sol kiiddi hokii guri tiiku; ho mo amee pyoko kiile, mo hang kapa matii; hopa mohlu mohmi alah sebiila ho mohmi Damaskas ho selii biitii. 
ACT.9.9	Ho allo lohiñhepa mo kapa mapa dutii, ho hang diima tama tii.
ACT.9.10	Siisi henjeajiñ kone Damaskas ho dutii Ananias hiila armyañ. Attoh mohmi lutii emmakoho, “Ananias.” Ho mo lutii, “Sike ngo danii, Attoh.” 
ACT.9.11	Ho Attoh mohmi lutii, “Gurito ho inge Parda luniiñ lembo ho, ho Judas ka ude ho taka he Tarsus hokii miyu kone Sol hiila armyañ saha; niimpalukoda kato, mo kula dokiñ doke, 
ACT.9.12	ho mo kappatii miyu kone Ananias hiila armyañ ahla ho mohka alah mi mohko tencha kendo niimpalukoda mohmi hiila kapa kiine dukupa.” 
ACT.9.13	Hojalo Ananias lusitii, “Attoh, ngo abuje miyu kokii siika miyu ka piigo mi tapato, niimkane diimmah mo miitii niika henjenii miyu atañmi Jerusalem ho; 
ACT.9.14	ho so mo otority biitola nyibu burii kokii miilañ rumi radu pa hiila huna niika armyañ mi ludonii.” 
ACT.9.15	Hojalo Attoh mohmi lutii, “Inge, niimpalukoda mo ngiika kahenii miinananii ke ngiika armyañ mi Midomiyu ho radde atañka hataho ho Isrel ka oho atañ ko luko kendoke; 
ACT.9.16	niimpalukoda ngo mohmi kakiñtii niimkane mo ngiika armyañ pa heru hembi kendo.” 
ACT.9.17	Hopa Ananias intii ho ude ho ahtii. Ho mohka alah mi mohko tenga biidola mo lutii, “Abañ Sol, Attoh Jisu niimika lembo hoka ahriibo, nii lembo hopa no ahtii, ngiimi kiiniñtii hiira niimi kapa kiine dukupa ho Darii Yajiyallo mi giike nendupa.” 
ACT.9.18	Ho ohepada ngoya kone ngiiyyi pakhu hiilyañ mohka amee hokii liipa hitii ho mo hiira kapa tiiku. Ho mo guritiiku ho baptisma latii ku, 
ACT.9.19	ho apiñ diitii ho tamoritii ku.
ACT.9.19	Hempḛr allo abuje mo Damaskas ho henjeajiñ atañ agiñho dabo montii. 
ACT.9.20	Ho sinagog ho nyibyaloda mo Jisu mi gyukotii, lubiidola, “Mo Pinii ka Oho ke.” 
ACT.9.21	Ho hikha hutiina mohmi tapa tiinii hemur nyatii, ho lutii, “Siika miyu simasa Jerusalem hoka payagayabo huna siika armyañ mi luko nyanenii? Ho mo siika piigo pa so ahdo, mohlumi sebiila nyibu burii ko selii biidupa.” 
ACT.9.22	Hojalo Sol uro yaya haro ritii, ho Damaskas daka Jew dunii atañmi Jisu jijeloda Kristo lodake hiila luko lukhañ patii. 
ACT.9.23	Allo abuje loku lala, Jew atañ mohmi mendupa miimyotii, 
ACT.9.24	hojalo mohluka miimyo niimi Sol chimpatii. Mohlu hagya ho allo ayoh dadumi kalyala datii, mohmi mendupa; 
ACT.9.25	hojalo mohka henjeajiñ atañ mohmi ayoh ho ingiila, mohmi naruñ pache ho jopa botii, yagiiho mohmi jolo lala.
ACT.9.26	Ho mo Jerusalem ahbiila mo henjeajiñ atañka agiñho ahbopa miika tii; ho hikha mohlu mohmi biisotii, niimpalukoda mohlu taje matii mo henjeajiñ hiila. 
ACT.9.27	Hojalo Barnabas mohmi sela lala, ho mohmi kiiniñkonii atañ ko ahgii bitii, ho mohlumi lukotii niihtañpa mo Attoh mi lembo ho kapa biine hiila, huna mohmi lurii biinenii, ho niihtañpa Damaskas ho mo haro loda tonsḛrtii Jisu armyañ pa. 
ACT.9.28	Hopa mo ahtii ho lintii mohluka agiñho Jerusalem ho, 
ACT.9.29	haroloda tonsḛrla Attoh ka armyañ pa. Ho mo luriitii ho Helenists atañ agiñho miilañ cheriine; hojalo mohlu mohmi mendupa miine. 
ACT.9.30	Ho hiimi anubarmii atañ chila la, mohlu mohmi Kaesarea ho togii, ho mohmi Tarsus ho kiiniñ biine.
ACT.9.31	Hopa gyoliñkonii hikha Judia ho Galili ho Samaria ho chimie dotii ho tonge pa sanchatii; ho Attoh mi biiso biidola intii ho Darii Yajiyallo ka hembyuñ kopa hiiko hii abu yaya tii.
ACT.9.32	Siisi Pitar siikaso inkele ho hiiko hikha mohluka agiñho, mo Laida hoka piniimiyu dunii atañ ko miilañ ahtii. 
ACT.9.33	Hiiko mo miyu kone Aeneas hiila kapa biido, mo nyampinye liikuñlamu la giitananii ho giila dotii. 
ACT.9.34	Ho Pitar mohmi lutii, “Aeneas, Jisu Kristo niimi miipya biineke; gurito ho niika dotananii mi Karbii toku.” Ho ohepada mo guri datii. 
ACT.9.35	Ho hikha Laida la Sharon daka dunii atañ mohmi kappatii, ho mohlu Attoh mi henje nyatii.
ACT.9.36	Siisi Joppa ho henjemiyu kone dutii Tabitha hiila armyañ, hiika hii Dorcas lusa niimi. Mo hempḛr denki ho hela bilakela nii. 
ACT.9.37	Hiika allo ho mo achihtii ho shiitii; ho mohlu mohmi harku lala, mohlu mohmi chidii ayoh ho atiitii. 
ACT.9.38	Laida Joppa ka aruñho dosu lyiniiñ, henjeajiñ atañ, tapatii Pitar ho da hiila, mohko miyu anye mi kiiniñtii mohmi lyarbii hiila, “Malokalohe ngunuko ahto diirii miikañ tamapa.” 
ACT.9.39	Hopa Pitar guritii ho mohluka agiñho imbo montii. Ho mo ahbii kiile, mohlu mohmi chidii ayoh ho chagii tii. Hikha hiimie atañ mohka aruñ dala khela dotii, ho abitarii ho pulye atañmi Dorcas ka mohluka agiñho mo dula ka miiniiñmi kakiñ biido. 
ACT.9.40	Hojalo Pitar miilañ rumi ago nempa lila la ho liibañ khanga la ho kutii; ho shiima dalyiho mobo biila mo lutii, “Tabitha, gurito.” Ho mo amee pyokotii, ho mo Pitar mi kapa lala mo dutii. 
ACT.9.41	Ho mohka alah mi mohmi lyurii lala ho mohmi seritii. Ho piniimiyu atañmi ho hiimie atañmi mohmi turdopa nembi tiiku. 
ACT.9.42	Ho hiimi hikha Joppa ho chinyatii, ho abuje Attoh mi henjenyatii. 
ACT.9.43	Ho mo Joppa ho abuje allo dutii Saimon ko, alyo pyunii.
ACT.10.2	henje nii miyu huna Pinii mi biiso donii hikha mohka uru atañ, hapumibya biidola miyu atañmi hembyuñ tii, ho kiirañ Pinii mi kutii. 
ACT.10.3	Alyiñdalyi ka gunta tahiñniiho mo hempḛr kadḛr pa mihu kappatii Pinii ka miidopopi ahla ho mohmi lubiido, “Kornelius.” 
ACT.10.4	Ho mo mohmi kadi biido biiso biidola, ho lutii, “Siikasi nii, Attoh?” Ho mo mohmi lutii, “Niika kuniiñ ho niika biliñkeliñ nii Pinii ko lohepa hempa hegiñ naniipa chachi doke. 
ACT.10.5	Ho siisi Joppa ho miyu atañmi kiiniñto, ho Saimon Pitar luniiñ bomi ahgii; 
ACT.10.6	mo Saimon agiñ hoke dunii, alyopyunii, siimie aruñhoka ude doniibo.” 
ACT.10.7	Miidopopi mohmika luriibo inke kiile, mo mohka miira anye mi gyolii tii ho henjenii sipahi kone mohmika kalyala danii apur hokii, 
ACT.10.8	ho hikha drih mi mohlumi luko lala, mo mohlumi Joppa ho kiiniñ biido.
ACT.10.9	Allo lohe yaho, mohlu mohluka myodi ila dokele ho citi aruñho ahchi kiile, Pitar ude ka ayoh ho chatii kudu pa hiila, allo liipa ka gunta talyañlenye ho. 
ACT.10.10	Ho mo hayatii ho ngoya ako diinala hentii, hojalo mohluka miimyo laka doho, mo mihu katii 
ACT.10.11	ho mo yapuñ mi ngeko dopa kapa biido, ho drihkone todopa kapa biido, kakoho hempḛr pulye beropa, nyetañ taperulo kiiddi ho jolo tii. 
ACT.10.12	Hiiko kapane achu-amyo atañ dotii ho tabutiyyo atañ ho yapuñ hoka gonii piita atañ. 
ACT.10.13	Ho hiiko aguñ gonge tapatii, “Gurito, Pitar, mela la diito.” 
ACT.10.14	Hojalo Pitar lutii, “Ma, Attoh; niimpalukoda ngo ronge hetrḛ diikama miibḛrniimi malo kachomi.” 
ACT.10.15	Ho hiira ronye niipa mo aguñ tapatii, “Nii mi Pinii darii miitii, hiimi no miibḛrnii hiila luyo.” 
ACT.10.16	Siika lyiniiñ si rohiñhe lyitii, ho drih mi ohepada yapuñ ho chagii datii ku.
ACT.10.17	Siisi Pitar ahha ura ho hendḛr lamatii mohka mihu kapa niisi niihiisa niimipe hiila, kato, Kornelius ka kiiniñ nii miyu, Saimon ka ude mi tajo biila, hagya ho datii 
ACT.10.18	ho gyola lala takatii Saimon Pitar luniiñbo so ha dunii hiila. 
ACT.10.19	Ho Pitar ka mihu kanii mi hela dorañpa, Yajiyallo mohmi lutii, “Kato, miyu midiñ hinge niimi mela doke. 
ACT.10.20	Gurito ho tonge, ho mohluka agiñho imbo monge henkohempe tama pa; niimpalukoda ngoke mohlumi kiiniñ tiinii.” 
ACT.10.21	Ho Pitar tobo montii miyuatañ agiñho ho lutii, Ngo ha humina nunu medunii; nii pape nunuka ahniiñsi? 
ACT.10.22	Ho mohlu lutii, Kornelius, sipahi sabii, denki ho Pinii mika biisonii miyu, huna hikha Jew ganda loka khiikonii, darii miidopopi lo luko kotola niipa kiiniñtii mohka ude ho ahgii hiila, ho niika lusaniimi tadupa 
ACT.10.23	hopa mohlu mohmi nyibopa gyotii.
ACT.10.23	Allo lohe yaho mo mohluka agiñho imbo montii, ho Joppa hoka anubarmii tonge mo agiñho imbo montii. 
ACT.10.24	Ho allo lohe yaho mohlu Kaesarea ho ahtii. Kornelius mohlu ahkiñ do hiila hembii tola ho mohka henii-myanii ho ajiñ arañ atañmi gyotii. 
ACT.10.25	Pitar ahkele, Kornelius mohmi kariitii ho mohka liidi ho giihila ho mohmi heriitii. 
ACT.10.26	Hojalo Pitar mohmi seri biido, lubiidola, “Guritoku; ngotiirḛ miyu kone siike.” 
ACT.10.27	Ho mo mohmi luriila dopa, mo ura ho ahtii ho abuje miyu dakuñ dopa kappatii; 
ACT.10.28	ho mo mohlumi lutii, “Nunu miilañru chindo siikasi niimpa ayamapa lyido Jew kone khiibe ganda miyu mika kariiniisi; hojalo Pinii ngiimi kakiñtii ngiimi kone mitrḛ miibḛrnii malo kacho luyo hiila. 
ACT.10.29	Hopa ngiimika gyolyiho, ngo ma lumapa ahdu. Ngo taka du niimpa ngiimi nunu gyodu.”
ACT.10.30	Ho Kornelius lutii, “Allo lope daku lala, siika myodu jaho, ngo ngiika gunta talyañlenye hoka kuniiñ mi kula dokele ngiika udeho; ho kato, miyu kone puloo pulye giitola ngiika agiñho dari, 
ACT.10.31	lubiidola, ‘Kornelius, niika kuniiñ mi tapa tiike ho niika binii keniiñ mi Pinii hataho hempa doke. 
ACT.10.32	Joppa ho Kiiniñto takabiidola gyoke nento Saimon mi humina Pitar ludunii; mo Saimon ka ude hoke dunii, alyopyunii, siimie aruñho.’ 
ACT.10.33	Hopa ngo nyibya loda niimi gyobii hiila kiiniñto, ho no hela la so ahdo. Siisi hopa ngunu miilañru Pinii ka kata ho du, tadupa hikha Attohka niimika luniiñmi.”
ACT.10.34	Ho Pitar mohka aguñmi gonko rila luritii ho lutii: “Jijeloda ngo helatii Pinii ko khiingu khiire nyima ke, 
ACT.10.35	hojalo ganda ponge abi hujalo mohmi biiso talyi ho miidi komi miichi hiimi larii doke. 
ACT.10.36	Nunu chindo aguñmi nii mina Isrel ho kiiniñ tiinii, chimie ka ayapuyu mi Jisu Kristo kiila (mo miilañruka Attoh), 
ACT.10.37	aguñ nii mina hikha Judia ho gyuko biinenii, Galili hokii gyuri biila Jon ka baptisma lanii mika tonsḛr bii hokii: 
ACT.10.38	niihtañpa Pinii Nazaret daka Jisu mi arrḛyartiiku Darii Yajiyallo agiñho ho harchichikelo; niihtañpa mo aya miigo miijola ho miipya la miilañrumi hutiina hensḛrkadu la igii ko dotiinii, niimpalukoda Pinii mo agiñho dabo montii. 
ACT.10.39	Ho ngunu haki pa lyido hikha anyeru ganda Jew atañ kala ho Jerusalem hoka miiniiñmi. mohlu mohmi shiidopa miibiine sannii ho leda lala; 
ACT.10.40	hojalo Pinii mohmi allo lohiñ niiho seri tiiku ho mohmi kakiñ siidopa miitii; 
ACT.10.41	hikha miyuatañ mima hojalo ngunumi humina Pinii kahe tiinii hakipa, huna diibo tambo tiinii mo agiñho mohka shiiniiñ hokiika turiturku lyikuho. 
ACT.10.42	Ho mo ngunumi miyu atañmi tonsḛr tote hiila lune, ho pyako tote hiila mo Pinii ka kaheniike turnii ho shiinii mika ayakacho kaniipa. 
ACT.10.43	Mohmi hikha nyibuhenii atañ tiirḛ haki bine hujalopa mohmi henje talyi ingyamiigyanii hokiika hellokoku niimi kapa kendo mohka armyañ pa.”
ACT.10.44	Pitar ka siimi lula dorañpa, Darii Yajiyallo miilañruko huhitii hutiina aguñmi tala dotiinii. 
ACT.10.45	Ho henjemiyu atañ hutiina Pitar agiñho ahbo montiinii hemur nyatii, niimpalukoda Darii Yajiyallo ka ahmiñayiñ mi Midomiyu atañ mitrḛ bitii. 
ACT.10.46	Niimpalukoda mohlu mohlumi mika aguñmi ludopa tapatii ho Pinii mi assañdopa. Ho Pitar lutii, 
ACT.10.47	“mi kone jalo lutiñ lakiñ dopeha yasie loka baptisma lasa nii hokii siika miyu atañmi hutiina Darii Yajiyallo larii nyabii nenii ngunu giichañ ho?” 
ACT.10.48	Ho mo mohlumi Jisu Kristo ka armyañ pa baptisma lato lutii. Ho mohlu mohmi lonye lohiñhe dutorañ lubiido.
ACT.11.1	Siisi kiiniñkonii atañ la Judia hoka dunii anubarmii atañ tapatii Midomiyu atañ tiirḛ Pinii ka aguñmi larii nyado hiila. 
ACT.11.2	Hopa Pitar Jerusalem ho chakele, mitupipakoniiñ atañ mohmi nyapa nyatii, 
