GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
1CH.11.7	David flyttede nu sin residens til klippeborgen, som derfor blev kaldt Davidsbyen. 
1CH.11.8	Han udbyggede byen og befæstede bymuren hele vejen rundt fra forsvarstårnet. Resten af byens genopbygning tog Joab sig af. 
1CH.11.9	I de følgende år styrkede David sit kongedømme, for Herren, den Almægtige, var med ham.
1CH.11.10	Her skal nævnes nogle af de dygtigste og tapreste af Davids krigere, der sammen med resten af Israels ledere støttede ham, så han blev valgt til konge og fik magten over riget, sådan som Herren havde lovet.
1CH.11.11	Jashobeam, søn af Hakmoni, var den mest berømte af de tre store helte. Med sit spyd dræbte han engang 300 modstandere i ét slag.
1CH.11.12	Den næste af de tre store var Elazar, en søn af ahohitten Dodo. 
1CH.11.13	Han kæmpede sammen med David i slaget mod filistrene ved Pas-Dammim. Kampen foregik midt i en bygmark, og den israelitiske hær flygtede. 
1CH.11.14	Men Elazar og hans mænd holdt stand og huggede filistrene ned. Den dag gav Herren israelitterne en stor sejr.
1CH.11.15	Foruden de tre store helte var der en større gruppe tapre krigere, som blev kaldt „De Tredive”. Engang da David opholdt sig ved Adullams klippehule, og filistrenes hær havde slået lejr i Refaimdalen, drog tre af „De Tredive” tapre krigere ned til David. 
1CH.11.16	Han opholdt sig som sagt i klippeborgen, mens en af filistrenes garnisoner havde besat Betlehem, som lå i nærheden. 
1CH.11.17	David var tørstig og sagde henkastet: „Det kunne være skønt med et krus vand fra brønden ved byporten hjemme i Betlehem!” 
1CH.11.18	Da sneg de tre mænd sig gennem filistrenes lejr, øste vand fra brønden ved byporten og bragte det til David. Men han kunne ikke få sig selv til at drikke det. I stedet hældte han det ud på jorden som et offer til Herren. 
1CH.11.19	„Gud forbyde, at jeg skulle drikke det!” udbrød han. „Det ville jo være som at drikke de tre mænds blod, der satte livet på spil for at hente det!” Derfor drak han det ikke. Det er blot ét eksempel på de tre heltes vovemod.
1CH.11.20+1CH.11.21	Abishaj, Joabs bror, var anfører for „De Tredive”. Engang dræbte han 300 fjendtlige soldater med sit spyd! Det var på grund af sådanne heltegerninger, at „De Tredive” så op til ham som deres anfører, men han kom ikke på højde med de tre store helte.
1CH.11.22	Benaja, Jojadas søn fra Kabtzeʼel, var en anden heltemodig kriger. Det var ham, der dræbte Ariels to sønner, kæmperne fra Moab. Det var også ham, der kravlede ned i en cisterne og dræbte en løve en dag, hvor det sneede. 
1CH.11.23	Ved en anden lejlighed gik han løs på en egyptisk kæmpe, der var næsten to og en halv meter høj og havde et enormt spyd. Benaja slog spyddet ud af hånden på ham med sin stok og dræbte ham med det. 
1CH.11.24	Det var den slags heltegerninger, som gjorde Benaja lige så berømt som de tre store helte, 
1CH.11.25	selv om han ikke regnedes med blandt dem. Men „De Tredive” så op til ham, og David udnævnte ham til chef for sin livvagt.
1CH.11.26+1CH.11.27+1CH.11.28+1CH.11.29+1CH.11.30+1CH.11.31+1CH.11.32+1CH.11.33+1CH.11.34+1CH.11.35+1CH.11.36+1CH.11.37+1CH.11.38+1CH.11.39+1CH.11.40+1CH.11.41+1CH.11.42+1CH.11.43+1CH.11.44+1CH.11.45+1CH.11.46+1CH.11.47	Her følger en liste over Davids heltemodige krigere: Asael, Joabs bror; Elhanan, Dodos søn fra Betlehem; Shammot fra Harod; Heletz fra Pelon; Ira, Ikkeshʼ søn fra Tekoa; Abiezer fra Anatot; Sibbekaj fra Husha; Ilaj fra Ahoa; Maharaj fra Netofa; Heled, Baʼanas søn fra Netofa; Ittaj, Ribajs søn fra Gibea i Benjamins land; Benaja fra Piraton; Huraj fra Gaʼashkløften; Abiel fra Arba; Azmavet fra Baharum; Eljahba fra Shaʼalbon; Jashens sønner fra Gizon; Jonatan, Shages søn fra Harar; Ahiam, Sakars søn fra Harar; Elifal, Urs søn; Hefer fra Mekera; Ahija fra Pelon; Hetzro fra Karmel; Naʼaraj, Ezbajs søn; Joel, Natans bror; Mibhar, Hagris søn; Zelek fra Ammon; Nahraj, Joabs våbendrager, fra Beʼerot; Ira fra Jattir; Gareb fra Jattir; hittitten Urias; Zabad, Ahlajs søn; Adina, Shizas søn—en leder fra Rubens stamme med 30 krigere under sig; Hanan, Maʼakas søn; Joshafat fra Mitan; Uzzija fra Ashtarot; Shama og Jeuel, Hotams sønner fra Aroer; Jediael, Shimris søn; Joha, hans bror fra Titz; Eliel fra Mahava; Jeribaj og Joshavja, Elnaʼams sønner; Jitma fra Moab; og endelig Eliel, Obed og Jaʼasiel fra Zoba.
1CH.12.1	Følgende krigere sluttede sig til David i Ziklag, mens han skjulte sig for kong Saul. De kæmpede tappert ved hans side, 
1CH.12.2	og de var alle fremragende bueskytter og slyngekastere—og de skød lige så godt med venstre som med højre hånd. Ligesom kong Saul hørte de til Benjamins stamme.
1CH.12.3	Deres anfører var Ahiezer, Shemaʼas søn fra Gibea, som blev assisteret af sin bror, Joash. Dernæst var der Jeziel og Pelet, Azmavets sønner; Beraka; Jehu fra Anatot; 
1CH.12.4	Jishmaja fra Gibeon—en berømt kriger, som var en af lederne blandt „De Tredive”; 
1CH.12.5	Jirmeja; Jahaziel; Johanan; Jozabad fra Gedera; 
1CH.12.6	Eluzaj; Jerimot; Bealja; Shemarja; Shefatja fra Haruf; 
1CH.12.7	Elkana; Jishija; Azarel; Joezer; Jashobeam—alle af Koras slægt. 
1CH.12.8	Desuden Joela og Zebadja, Jerohams sønner fra Gedor.
1CH.12.9	Mens David opholdt sig i klippeborgen i ørkenen, sluttede flere mænd fra Gads stamme sig til ham. Det var elitesoldater, trænet i at håndtere skjold og spyd, frygtindgydende som løver og hurtige som gazeller.
1CH.12.10	Deres øverste anfører hed Ezer. De øvrige var efter rang: Obadja, Eliab, 
1CH.12.11	Mishmanna, Jirmeja, 
1CH.12.12	Attaj, Eliel, 
1CH.12.13	Johanan, Elzabad, 
1CH.12.14	Jirmeja og Makbannaj. 
1CH.12.15	Disse 11 mænd var officerer i hæren. Den ringeste af dem havde 100 soldater under sig, og den bedste 1000. 
1CH.12.16	Engang da Jordanfloden gik over sine bredder, som den plejer i årets første måned, satte disse mænd over floden og fordrev alle indbyggerne i dalene fra øst til vest.
1CH.12.17	En anden gang opsøgte en flok mænd fra Benjamins og Judas stammer David i klippeborgen for at slutte sig til ham. 
1CH.12.18	David gik dem i møde og sagde: „Hvis I kommer for at hjælpe mig, er vi venner; men hvis jeres hensigt er at forråde mig til mine fjender, skønt jeg er uskyldig, vil vores fædres Gud føre min sag og dømme jer.”
1CH.12.19	Da kom Guds Ånd over Amasaj, der senere blev en af lederne blandt „De Tredive”, og han udbrød:
1CH.12.19	„Vi står bag dig, David!
1CH.12.19	Vi er med dig, Isajs søn!
1CH.12.19	Fred og fremgang til dig!
1CH.12.19	De, der hjælper dig, får succes,
1CH.12.19	for din Gud er med dig!”
1CH.12.19	Da bød David dem velkommen og gjorde dem til officerer i sin hær.
1CH.12.20	En flok mænd fra Manasses stamme deserterede fra Sauls hær til David, da han var sammen med filistrenes hær og klar til kamp mod Saul. Filistrenes officerer nægtede imidlertid at lade David og hans mænd deltage i slaget. Efter at have diskuteret sagen sendte filistrene dem hjem til Ziklag. De var bange for at miste livet, hvis David pludselig gik tilbage til sin tidligere herre.
1CH.12.21	Følgende højtstående officerer fra Manasses stamme fulgte med David tilbage til Ziklag: Adna, Jozabad, Jediael, Mikael, Jozabad, Elihu og Zilletaj. 
1CH.12.22	Det var tapre og dygtige krigere, som ved tilbagekomsten til Ziklag hjalp David med at bekæmpe de amalekitiske plyndringsbander, og de blev senere officerer i Davids hær.
1CH.12.23	For hver dag der gik, sluttede flere og flere sig til David, indtil han rådede over en mægtig hær. 
1CH.12.24	Kort efter flyttede David til Hebron med hele sit følge, og de var alle opsat på at få David til konge i stedet for Saul, sådan som Herren havde lovet. Hæren inkluderede krigere fra alle stammerne:
1CH.12.25	Fra Judas stamme: 6800 krigere bevæbnet med skjolde og spyd; 
1CH.12.26	fra Simeons stamme: 7100 erfarne krigere; 
1CH.12.27	fra Levis stamme: 4600; 
1CH.12.28	fra præsteslægten, Arons efterkommere: 3700 mænd under ledelse af Jojada 
1CH.12.29	samt en ung dygtig kriger, Zadok, med 22 ledende medlemmer af sin slægt; 
1CH.12.30	fra Benjamins stamme, som Saul tilhørte: 3000 mænd—hovedparten af denne stamme var stadig loyale over for Saul; 
1CH.12.31	fra Efraims stamme: 20.800 tapre krigere, der var fremtrædende mænd i deres respektive slægter; 
1CH.12.32	fra Manasses halve stamme blev 18.000 mænd sendt af sted for at hjælpe David til at vinde kongemagten; 
1CH.12.33	fra Issakars stamme: 200 ledere og deres slægtninge, som alle forstod at tolke tidens tegn og forstod, hvad der var bedst for Israels fremtid; 
1CH.12.34	fra Zebulons stamme: 50.000 dygtige, fuldt bevæbnede krigere, der var 100 procent loyale mod David; 
1CH.12.35	fra Naftalis stamme: 1000 officerer og 37.000 krigere udrustet med skjolde og spyd; 
1CH.12.36	fra Dans stamme: 28.600 mænd rede til kamp; 
1CH.12.37	fra Ashers stamme: 40.000 veltrænede og kamplystne krigere; 
1CH.12.38	fra den anden side af Jordanfloden hvor Ruben, Gad og Manasses anden halve stamme hørte hjemme: 120.000 fuldt rustede krigere.
1CH.12.39	Alle disse krigere kom til Hebron rede til kamp og fast besluttet på at gøre David til konge over Israel, for hele folket ønskede, at David skulle være deres konge. 
1CH.12.40	I tre dage fejrede de kroningen af David; de spiste og drak af de forsyninger, deres slægtninge kom med. 
1CH.12.41	Folk kom fra nær og fjern—ja, helt fra Issakars, Zebulons og Naftalis egne—med madvarer på æsler, kameler, muldyr og okser: store mængder mel, figenkager, rosiner, vin, olivenolie, kvæg og får. Al denne overflod var udtryk for den forventningens glæde, der havde bredt sig ud over hele Israel.
1CH.13.1	Efter at David havde rådført sig med sin militære ledelse og alle sine officerer, 
1CH.13.2	sagde han til den store forsamling af krigere, der var kommet fra alle Israels stammer:
1CH.13.2	„Hvis I mener, det er rigtigt, og at det er Guds vilje, så lad os sende bud ud over hele Israels land om, at alle stammeledere skal komme herned til os. Der skal også sendes besked til præsternes og levitternes ledere i de byer, de har fået tildelt at bo i. 
1CH.13.3	Når alle lederne er samlet, vil vi så hente Guds Ark, for lige siden Saul blev konge, har man ikke taget Herren med på råd.”
1CH.13.4	Davids forslag blev enstemmigt vedtaget, for de mente alle, at det var det rigtige at gøre.
1CH.13.5	På den måde fik David samlet hele Israels folk fra nord til syd, så de kunne være med til at hente Guds Ark i Kirjat-Jearim. 
1CH.13.6	Derefter drog David af sted i spidsen for den store skare til Kirjat-Jearim, som også kaldes Baʼala, i Judas stammeområde for at hente Gud Herrens Ark—den Gud, som troner mellem keruberne. 
1CH.13.7	Arken, der i lang tid havde stået i Abinadabs hus, blev anbragt på en ny oksekærre—og Uzza og Ahjo styrede okserne. 
1CH.13.8	David og Israels øvrige ledere dansede og sang af alle kræfter til Guds ære til musik fra lyrer, harper, tamburiner, bækkener og trompeter.
1CH.13.9	Men da de nåede til tærskepladsen ved Kidon, snublede okserne, og Uzza rakte hånden ud for at støtte arken. 
1CH.13.10	Da blev Herren vred og straffede Uzza, fordi han ikke viste ærefrygt for arken, som ikke måtte røres, og han døde på stedet. 
1CH.13.11	David var oprørt over, at Herren havde straffet Uzza så hårdt. Derfor kaldte han stedet for „Peretz-Uzza”,
1CH.13.12	Episoden gjorde, at David blev bange for Gud. „Hvordan tør jeg så bringe Guds Ark hjem til mig?” sagde han. 
1CH.13.13	Derfor ombestemte han sig, og i stedet for at føre arken ind i Davidsbyen, lod han den indtil videre opbevare hos Obed-Edom fra Gat. 
1CH.13.14	Der stod den i tre måneder—og Herren velsignede Obed-Edom og hans familie.
1CH.14.1	Kong Hiram af Tyrus sendte kong David en masse cedertræ som venskabsgave. Samtidig sendte han stenhuggere og tømrere, der skulle hjælpe med at bygge et flot palads til ham. 
1CH.14.2	Da forstod David, at Herren havde valgt ham til konge og styrket hans kongemagt for sit udvalgte folks skyld.
1CH.14.3	Efter at David var flyttet til Jerusalem, tog han flere koner, og han fik mange sønner og døtre. 
1CH.14.4	Her følger navnene på de sønner, der blev født i Jerusalem: Shammua, Shobab, Natan, Salomon, 
1CH.14.5	Jibhar, Elishua, Elpelet, 
1CH.14.6	Noga, Nefeg, Jafia, 
1CH.14.7	Elishama, Beʼeljada og Elifelet.
1CH.14.8	Da filistrene hørte, at David var blevet kronet til konge over Israel, mobiliserede de deres styrker og tog af sted for at tage ham til fange. Men David fik meddelelse om det og samlede sin egen hær imod dem. 
1CH.14.9	Filistrenes hær kom og invaderede Refaimdalen. 
1CH.14.10	Da spurgte David Gud til råds: „Skal jeg gå ud og kæmpe imod dem? Vil du give mig sejr over dem?”
1CH.14.10	Herren svarede: „Ja, jeg vil udlevere dem til dig.”
1CH.14.11	Derefter rykkede David ud og besejrede dem. „Det var Gud, der gjorde det!” erklærede han. „Gud brød gennem fjendens slagrækker som en flodbølge!” Derfor kaldte han stedet for Baʼal-Peratzim.
1CH.14.12	De flygtende filistre havde efterladt deres afgudsbilleder på slagmarken, og David gav ordre til, at de skulle brændes.
1CH.14.13	Men filistrene kom tilbage og invaderede endnu engang dalen. 
1CH.14.14	David rådførte sig igen med Gud, og svaret lød: „Undgå et frontalt angreb! Gå bag om fjenden og slå til ved baka-træerne.
1CH.14.15	Så snart du hører lyden af taktfaste skridt i toppen af træerne, skal du gå til angreb, for det betyder, at Gud selv er gået i forvejen for at tilintetgøre fjendens hær.”
1CH.14.16	David gjorde, som Gud havde sagt, og hans hær huggede filistrene ned fra Gibeon og helt til Gezer. 
1CH.14.17	Davids ry spredtes nu vidt omkring. Herren sørgede for, at alle de omkringboende folkeslag fik stor respekt for kong David.
1CH.15.1	Efter at David havde bygget et stort palads til sig selv i Davidsbyen, indrettede han et telt, hvor Guds Ark kunne stå. 
1CH.15.2	Derpå sagde han: „Kun levitterne må røre Guds Ark, for det er dem, Herren en gang for alle har udvalgt til at bære arken og gøre tjeneste for ham.”
1CH.15.3	Derefter samlede David alle Israels ledere i Jerusalem, for at de skulle overvære højtideligheden, når arken blev ført ind i det telt, som var indrettet til den. 
1CH.15.4	Følgende præster og levitter var til stede: 
1CH.15.5	Fra Kehats slægt: 120 mænd anført af Uriel; 
1CH.15.6	fra Meraris slægt: 220 mænd anført af Asaja; 
1CH.15.7	fra Gershons slægt: 130 mænd anført af Joel; 
1CH.15.8	fra Elitzafans slægt: 200 mænd anført af Shemaja; 
1CH.15.9	fra Hebrons slægt: 80 mænd anført af Eliel; 
1CH.15.10	og fra Uzziels slægt: 112 mænd anført af Amminadab.
1CH.15.11	David tilkaldte nu ypperstepræsterne Zadok og Ebjatar samt de levitiske ledere Uriel, Asaja, Joel, Shemaja, Eliel og Amminadab.
1CH.15.12	„I er overhoveder for de levitiske slægter,” sagde han til dem. „Sørg nu for, at I selv og jeres folk gennemgår renselsesritualet, så I kan føre Herrens, Israels Guds, Ark ind i teltet. 
1CH.15.13	Sidste gang, da I ikke var med, straffede Herren os, fordi vi ikke rådførte os med ham om, hvordan arken skulle flyttes.”
1CH.15.14	Derefter gennemgik præsterne og levitterne renselsesritualet, så de kunne flytte Israels Guds Ark på den rigtige måde. 
1CH.15.15	På den måde blev levitterne klar til at kunne løfte Guds Ark op i bærestængerne og bære den på skuldrene, sådan som Herren havde befalet Moses.
1CH.15.16	David gav de levitiske ledere ordre til at organisere et orkester og et kor, som kunne synge af hjertens fryd og spille på lyrer, harper og bækkener. 
1CH.15.17	Levitternes ledere udpegede følgende musikere som ledere: Heman, Joels søn; Asaf, Berekjas søn; og Etan, Kushajas søn fra Meraris slægt.
1CH.15.18	Følgende mænd blev udpeget som deres medhjælpere: Zekarja, Jaʼaziel, Shemiramot, Jehiel, Unni, Eliab, Benaja, Maʼaseja, Mattitja, Elifelehu, Mikneja og tempelvagterne Obed-Edom og Jeiel.
1CH.15.19	Heman, Asaf og Etan fik til opgave at slå på bronzebækkenerne. 
1CH.15.20	Zekarja, Aziel, Shemiramot, Jehiel, Unni, Eliab, Maʼaseja og Benaja skulle spille på harpe, 
1CH.15.21	og Mattitja, Elifelehu, Mikneja, Obed-Edom, Jeiel og Azazja skulle spille på lyre. 
1CH.15.22	Kenanja blev udpeget som instruktør for musikerne, for det var han særlig uddannet til.
1CH.15.23+1CH.15.24	Berekja, Elkana, Obed-Edom og Jehija skulle holde vagt omkring arken, og præsterne Shebanja, Joshafat, Netanel, Amasaj, Zekarja, Benaja og Eliezer skulle blæse i trompet foran Guds Ark.
1CH.15.25	Under stor jubel gik David nu i spidsen for Israels ledere og officerer til Obed-Edoms hus for at føre Herrens Pagts Ark til Jerusalem. 
1CH.15.26	Da levitterne nu kunne bære Herrens Pagts Ark uden problemer, ofrede man i taknemmelighed til Gud syv unge tyre og syv væddere. 
1CH.15.27	Både David, de levitter, der bar arken, deres leder, Kenanja, og sangerne var iført dragter af fintvævet linned. David bar desuden en efod af linned, den særlige præstedragt. 
1CH.15.28	Under stor festjubel førte Israels ledere derpå Herrens Pagts Ark til Jerusalem til akkompagnement af vædderhorn og trompeter, bækkener, harper og lyrer.
1CH.15.29	Men da processionen nåede ind til Davidsbyen, og Davids kone Mikal, Sauls datter, fra sit vindue så kong David hoppe rundt og danse af glæde, følte hun foragt for ham.
1CH.16.1	Guds Ark blev anbragt i det telt, som David havde ladet indrette til den. Derefter ofrede man brændofre og takofre til Gud, 
1CH.16.2	og David velsignede folket i Herrens navn. 
1CH.16.3	Så gav han hver af de tilstedeværende, både mænd og kvinder, en gave bestående af et brød, en daddelkage og en rosinkage.
1CH.16.4	David udpegede nogle af levitterne til at stå foran Herrens Ark og takke og lovprise Israels Gud. 
1CH.16.5	Asaf ledte lovsangen og spillede på bækken. Zekarja, Jaʼaziel, Shemiramot, Jehiel, Mattija, Eliab, Benaja, Obed-Edom og Jeiel spillede på harpe og lyre, 
1CH.16.6	mens præsterne Benaja og Jahaziel blæste trompet foran Guds Pagts Ark.
1CH.16.7	David gav fra den dag af Asaf og hans medhjælpere
1CH.16.8	Sig tak til Herren og giv ham ære!
1CH.16.8	Forkynd hans undere for alle folkeslag!
1CH.16.9	Syng og spil til hans ære,
1CH.16.9	tænk på alle de mirakler, han har udført.
1CH.16.10	Glæd jer over hans herlighed.
1CH.16.10	Lad alle, der kender ham, fryde sig!
1CH.16.11	Søg hjælp hos Herren og hans styrke,
1CH.16.11	hold jer altid nær til ham.
1CH.16.12	Tænk på de fantastiske ting, han har gjort,
1CH.16.12	alle de undere, han har udført.
1CH.16.13	I er jo børn af Guds tjener, Abraham,
1CH.16.13	I er de udvalgte efterkommere af Jakob.
1CH.16.14	Han er Herren, vor Gud,
1CH.16.14	han hersker over hele jorden.
1CH.16.15	Han holder altid sine løfter,
1CH.16.15	er trofast gennem tusind generationer.
1CH.16.16	Han står bag sin pagt med Abraham,
1CH.16.16	det løfte han højtideligt afgav til Isak.
1CH.16.17	Han bekræftede den over for Jakob
1CH.16.17	som en vedvarende pagt med Israels folk:
1CH.16.18	„Jeg giver jer Kanaʼans land,
1CH.16.18	det skal være jeres særlige ejendom.”
1CH.16.19	Det sagde han, da de endnu var få,
1CH.16.19	en lille flok fremmede i Kanaʼans land.
1CH.16.20	De vandrede fra land til land,
1CH.16.20	fra det ene rige til det andet.
1CH.16.21	Men han tillod ingen at skade dem,
1CH.16.21	han advarede konger om at holde sig væk.
1CH.16.22	„Rør ikke mine udvalgte,
1CH.16.22	gør ikke mine profeter fortræd!”
1CH.16.23	Lad hele jorden synge for Herren,
1CH.16.23	fortæl om hans frelse hver eneste dag.
1CH.16.24	Lad alle folk høre om hans vældige undere,
1CH.16.24	fortæl om de forunderlige ting, han har gjort.
1CH.16.25	For Herren er stor, og æren er hans,
1CH.16.25	ingen andre guder er værd at tilbede.
1CH.16.26	Andre folks guder er falske guder,
1CH.16.26	men Herren har skabt både himlen og jorden.
1CH.16.27	Han udstråler kongelig værdighed,
1CH.16.27	styrke og glæde kommer fra ham.
1CH.16.28	Pris Herren, alle verdens folk,
1CH.16.28	erkend hans herlighed og magt.
1CH.16.29	Giv Herren den ære, der tilkommer ham,
1CH.16.29	bring jeres gaver og træd frem for ham.
1CH.16.29	Tilbed Herren i helligt skrud,
1CH.16.30	bøj knæ for ham, alle jordens folk.
1CH.16.30	Han skabte jorden på et sikkert fundament,
1CH.16.31	lad himlen glæde sig og jorden juble.
1CH.16.31	Udråb blandt folkene:
1CH.16.31	„Herren har bevist, han er konge!”
1CH.16.32	Lad havene bruse i lovprisning,
1CH.16.32	lad marken med sin afgrøde juble,
1CH.16.33	lad lovsangen suse i skovens træer,
1CH.16.33	for Herren kommer for at dømme jorden.
1CH.16.34	Tak Herren, for han er god.
1CH.16.34	Hans trofasthed varer til evig tid.
1CH.16.35	Frels os, vor Gud!
1CH.16.35	Bring os tilbage fra landflygtigheden,
1CH.16.35	så vi kan give dig taknemmelighedsofre
1CH.16.35	og lovprise dit hellige navn.
1CH.16.36	Lovet være Herren, Israels Gud.
1CH.16.36	Lad os prise ham nu og til evig tid.
1CH.16.36	Hele folket råbte „Amen” og lovpriste Herren.
1CH.16.37	David indsatte således Asaf og hans levitiske medhjælpere til dagligt at synge og spille lovsange foran Herrens Pagts Ark. 
1CH.16.38	De blev assisteret af Obed-Edom, Jedutuns søn, og 68 levitter fra hans slægt. Obed-Edom fik også ansvaret for at holde vagt ved teltet sammen med Hosa.
1CH.16.39	Ofringerne i den gamle helligdom på højen ved Gibeon fortsatte som hidtil. David udvalgte præsten Zadok og en gruppe af de øvrige præster til at stå for ofringerne der. 
1CH.16.40	Hver morgen og aften skulle de ofre brændofre for Herren på det alter, som var indviet til formålet, og i det hele taget nøje følge alle de forskrifter, som Herren havde pålagt Israels folk, og som var nedskrevet i lovbogen. 
1CH.16.41	Desuden blev Heman, Jedutun og flere andre udvalgt til at tage sig af lovsangstjenesten dér og synge om Herrens evige trofasthed. 
1CH.16.42	Med deres trompeter, bækkener og øvrige musikinstrumenter akkompagnerede de lovsangen til Gud. Jedutuns sønner og slægtninge skulle holde vagt.
1CH.16.43	Da højtideligheden var overstået og folket gået hver til sit, gik David hjem for at velsigne sin familie.
1CH.17.1	Efter at David var flyttet ind i sit kongelige palads, sagde han en dag til profeten Natan: „Her sidder jeg i mit smukke palads af cedertræ—men Herrens Pagts Ark står stadig i et telt!”
1CH.17.2	„Gør du bare, hvad du har på hjerte,” svarede Natan, „for Gud er med dig.”
1CH.17.3	Men samme nat sagde Gud til Natan: 
1CH.17.4	„Sig til min tjener David, at han ikke skal bygge et hus til mig! 
1CH.17.5	Jeg har endnu aldrig haft et hus at bo i. Min bolig har været et telt lige siden den dag, jeg førte Israels folk ud af Egypten, og jeg er flyttet med dem fra den ene lejrplads til den anden. 
1CH.17.6	Har jeg nogen sinde beklaget mig over det til de ledere, jeg indsatte som hyrder for mit folk? Har jeg bedt nogen af dem om at bygge mig et fornemt hus af cedertræ?
1CH.17.7	Derfor skal du give David følgende besked fra den almægtige Herre: ‚Jeg hentede dig fra græsgangen, hvor du vogtede får, og satte dig til at være leder for mit folk. 
1CH.17.8	Overalt hvor du kom frem, var jeg med dig og tilintetgjorde dine fjender. Jeg vil gøre dig lige så berømt som de kendteste mænd i verden. 
1CH.17.9+1CH.17.10	Jeg har givet mit folk et sted at slå sig ned og bo uden frygt, og uden at blive mishandlet af deres fjender, sådan som det skete før i tiden, dengang jeg indsatte dommere til at lede mit folk. Jeg har skaffet dig fred fra alle dine fjender.
1CH.17.9+1CH.17.10	Hør nu efter, hvad jeg siger: I stedet for at 
1CH.17.11	Når du engang er død, skal en af dine efterkommere overtage tronen, og jeg vil gøre hans kongedømme stærkt. 
1CH.17.12	Han skal bygge mig et tempel, og jeg vil gøre hans herredømme urokkeligt for evigt.
1CH.17.13	Jeg vil være hans far, og han skal være min søn. Jeg vil altid være trofast over for ham. Jeg vil ikke rive kongemagten ud af hans hænder, som jeg gjorde med din forgænger. 
1CH.17.14	Jeg indsætter ham som konge i mit rige og leder for mit folk for evigt. Ja, hans herredømme vil vare til evig tid.’ ”
1CH.17.15	Så gik Natan til David og fortalte ham alt, hvad Gud havde sagt. 
1CH.17.16	David gik da ind i teltet, hvor arken stod, og han satte sig for Herrens ansigt og bad: „Herre, min Gud, du har allerede gjort så meget for mig. 
1CH.17.17	Og nu giver du mig tilmed løfter, der gælder mine efterkommere langt ud i fremtiden! Min Herre og Gud, du har løftet sløret for dine planer!
1CH.17.18	Hvad mere kan jeg sige om den ære, du viser mig? Du ved, at jeg ønsker at tjene dig. 
1CH.17.19	Du har gjort dette for din tjeners skyld, og fordi du ville det. Det er store løfter, du har åbenbaret for mig. 
1CH.17.20	Herre, du er uendelig stor—der er ingen anden Gud end dig! Det ved vi så godt. 
1CH.17.21	Hvilket andet folk på den vide jord har du gjort så meget for som for Israel, dit eget folk? Du har befriet dit folk, så de kunne bringe ære til dit navn. Du har udført mægtige undere ved at frelse dit folk fra slaveriet i Egypten og drive de andre folkeslag bort foran dig. 
1CH.17.22	Du udvalgte Israels folk til at være dit folk for evigt, og du blev Israels Gud.
1CH.17.23+1CH.17.24	Min Herre og Gud, gid det løfte, du har givet mig og min slægt, må stå fast for evigt. Må dets opfyldelse bringe dig evig ære, så folk erkender, at Israels Gud er den almægtige Gud. Må din tjener Davids slægt altid tjene dig. 
1CH.17.25	Min Gud, du har sagt, at du vil bygge mig et kongehus. Det er derfor, jeg drister mig til at komme med en bøn til dig. 
1CH.17.26	Min Herre og min Gud, du har givet mig gode løfter for fremtiden. 
1CH.17.27	Velsign min slægt, så den altid må bestå for dit ansigt. Når du, Herre, velsigner min slægt, vil den altid være velsignet!”
1CH.18.1	David besejrede efterhånden filistrene fuldstændigt og undertvang dem ved at indtage deres hovedstad, Gat, og de omliggende landsbyer. 
1CH.18.2	Han besejrede også moabitterne og gjorde dem til sine skattepligtige undersåtter.
1CH.18.3	Kong Hadadezer af Zoba forsøgte at generobre sit gamle territorium syd for Eufratfloden.
1CH.18.4	Ved den lejlighed erobrede David 1000 stridsvogne og tog 7000 ryttere og 20.000 fodfolk til fange. Han skar haserne over på samtlige heste bortset fra 100 af dem. 
1CH.18.5	Da aramæerne rykkede ud fra Damaskus for at hjælpe Hadadezer, huggede David 22.000 af dem ned. 
1CH.18.6	I Damaskusområdet udstationerede han flere garnisoner og indlemmede aramæerne blandt sine skattepligtige undersåtter. Herren gav David sejr over alle hans fjender. 
1CH.18.7	David beslaglagde alle de guldskjolde, som kong Hadadezers officerer havde brugt, og førte dem til Jerusalem 
1CH.18.8	sammen med en stor ladning bronze fra Hadadezers byer Tibat og Kun. Det var blandt andet det bronze, kong Salomon senere brugte til at få lavet „bronzehavet” ved templet samt søjlerne og de forskellige bronzeredskaber.
1CH.18.9	Da kong Tou af Hamat hørte om Davids triumf over Hadadezers hær, 
1CH.18.10	sendte han sin søn Hadoram af sted for at lykønske ham. Hadadezer og Tou var nemlig ærkefjender. Hadoram forærede David mange gaver af guld, sølv og bronze, 
1CH.18.11	og David indviede dem til Herren sammen med det guld og sølv, han havde taget i krigsbytte fra edomitterne, moabitterne, ammonitterne, filistrene og amalekitterne.
1CH.18.12	I Saltdalen slog Abishaj, Zerujas søn, en edomitisk hær på 18.000 mand, 
1CH.18.13	hvorefter han etablerede en række garnisoner i Edom, så edomitterne kom under Davids herredømme. Således gav Herren David sejr, hvor som helst han kom frem.
1CH.18.14	David var en retfærdig konge i Israel, og han gav alle en fair behandling. 
1CH.18.15	Joab var øverstbefalende for hæren; Joshafat, Ahiluds søn, var kongens øverste embedsmand med ansvar for arkiverne; 
1CH.18.16	Zadok, Ahitubs søn, og Ahimelek, Ebjatars søn, var de ledende præster; Shavsha var statssekretær; 
